[00:38.590 --> 00:43.830]  The event's been good. I think this is my favorite Secret Cup that we've done out
[30:30.120 --> 30:33.120]  And you start to feel like it's okay to be the way that I am.
[30:34.120 --> 30:36.120]  I like these things that I like.
[30:37.120 --> 30:39.120]  And in fact, maybe I'm going to get more into it.
[30:40.120 --> 30:43.120]  Start enjoying these things in a more celebratory way.
[30:43.120 --> 30:44.120]  Not just in the shadows.
[30:45.120 --> 30:49.120]  And that shouldn't be something that you get only once a year in Amsterdam.
[30:50.120 --> 31:06.500]  When events started to happen in California, I was all for it and I wanted to support all of those events and see where they went.
[31:07.500 --> 31:11.500]  But for High Times, there was a stigma that followed their competition.
[31:12.500 --> 31:18.500]  Over in Amsterdam, people had started to say that the competitions were fixed.
[31:18.500 --> 31:22.500]  I can say the winners were not the authentic best in the competition.
[31:23.500 --> 31:24.500]  So how were they winning?
[31:25.500 --> 31:31.500]  These big companies, obviously people thought they were paying or cheating in some sort of way.
[31:32.500 --> 31:35.500]  And I have enough experience now that I can say that's not true.
[31:36.500 --> 31:46.500]  May have happened, but it was marketing that was mostly winning the events because it's much easier to convince people that you're winning.
[31:46.500 --> 31:52.500]  It's much easier to convince people that you have the best than to authentically produce the best.
[31:53.500 --> 31:57.500]  And High Times got a bunch of bad press just because of the way their competitions worked.
[31:58.500 --> 31:59.500]  It was all about building your brand there.
[32:00.500 --> 32:03.500]  A lot of the attendees were fans of these hashmakers.
[32:04.500 --> 32:10.500]  So they'd go out and they'd actually be able to meet them and dab their personal stuff and form personal connections with these brands.
[32:11.500 --> 32:17.500]  Sometimes they'd already been supporting, sometimes they'd just seen and really wanted to try.
[32:21.760 --> 32:31.760]  This event, I'm all about having each event have their own unique terms or judging rules or whatever.
[32:32.760 --> 32:34.760]  Every event, I like that it's its own thing.
[32:35.760 --> 32:41.760]  And this clearly wasn't just regurgitation of High Times or anything like that.
[32:41.760 --> 32:43.760]  It was its own unique thing from the get-go.
[32:44.760 --> 32:47.760]  And knowing Jeremy and Dan, I know they just really care about Hash.
[32:48.760 --> 32:49.760]  They're very caring people.
[32:50.760 --> 32:54.760]  Jeremy helps me with Chalice, the Chalice Festival.
[32:55.760 --> 32:58.760]  He does it for the community and he does it because he cares.
[32:59.760 --> 33:02.760]  And that's what I love about these two guys.
[33:03.760 --> 33:05.760]  It's from the heart.
[33:06.760 --> 33:08.760]  We have a really good mix of people who compete.
[33:08.760 --> 33:13.760]  And everyone kind of works together to make the Secret Cup happen.
[33:22.760 --> 33:26.760]  And people bring all these great things to the table for free.
[33:27.760 --> 33:36.760]  They'll give their product or something from themselves just to make it better for their city or the other people that are attending.
[33:37.760 --> 33:40.760]  And so that's probably the thing that's the same.
[33:41.760 --> 33:48.760]  And it's amazing that we are able to find these really unique and helpful people in every city that make it possible.
[33:49.760 --> 33:51.760]  I think it's the bond with the brothers that we have here.
[33:52.760 --> 33:57.760]  With all the Hashmakers and the knowledge that's actually being spread amongst us now.
[33:58.760 --> 34:04.760]  Like I said, 2012 was a lot different where people were scared to give their technique out and all these things because of business.
[34:04.760 --> 34:10.760]  And now everyone I think is getting it like, there's a lot of business and man we can all teach each other and maybe grow from this.
[34:11.760 --> 34:13.760]  At least that's where my mindset is. I can't really speak for everyone else.
[34:14.760 --> 34:17.760]  But I feel like if you want change, right, then that has to be within yourself.
[34:18.760 --> 34:20.760]  So if I really want something to be different, then I need to change it from right here.
[34:21.760 --> 34:22.760]  And that's what we're doing.
[34:23.760 --> 34:25.760]  I saw it as a networking event. A lot of people saw it as a party.
[34:26.760 --> 34:32.760]  But this was high level networking that was causing lanes to open up all over the country.
[34:34.760 --> 34:39.760]  When we developed the event, we tried to think about the things that we didn't like.
[34:40.760 --> 34:46.760]  That weren't just personal opinion things that we didn't like about the other events.
[34:47.760 --> 34:50.760]  We tried to think fundamentally what was wrong with them.
[34:51.760 --> 34:59.760]  If we could improve the fairness, we wanted to make them more accurate representations of what our culture is really about.
[35:00.760 --> 35:03.760]  I've entered a lot of high times cups. I've entered a lot of different competitions.
[35:04.760 --> 35:10.760]  What always ends up happening is 9 times out of 10, they hire someone like Wiz Khalifa or Snoop Dogg to judge.
[35:11.760 --> 35:13.760]  And he doesn't know a thing about growing.
[35:14.760 --> 35:17.760]  He may know what Wheatie likes and what Wheatie doesn't like, but he doesn't know anything about growing.
[35:18.760 --> 35:19.760]  And so you get a lot of things.
[35:20.760 --> 35:28.760]  For instance, it's a lot harder to take a 16-week sativa full all the way, cure it properly, and have it be dense, hard, resinous.
[35:29.760 --> 35:33.760]  That's a lot harder to do than it is to grow cookies at 8 weeks, which frosts up for everyone.
[35:34.760 --> 35:38.760]  So there's a lot of things that aren't taken into consideration because the people judging aren't hands-on.
[35:39.760 --> 35:42.760]  When it comes to the secret cup, everyone judging is also entering.
[35:43.760 --> 35:45.760]  So they do this on a daily basis. They understand what to look for.
[35:46.760 --> 35:48.760]  They understand what not to look for, what they like, what they don't like.
[35:49.760 --> 35:56.760]  And it reflects in the judging. 9 times out of 10, when you look at the people that win first, second, or third place, they deserve to be there.
[35:57.760 --> 36:00.760]  And that says something about the competition in and of itself.
[36:03.160 --> 36:09.160]  So when we were first doing the events, we had really a lot of support from everyone in the industry.
[36:10.160 --> 36:17.160]  So the well-known brands were entering, the well-known hashmakers, all the biggest companies wanted to be a part of it.
[36:18.160 --> 36:22.160]  And then, as we started doing the events, and they couldn't even place in the top three,
[36:23.160 --> 36:32.160]  you started to realize these big brands had a lot to lose by entering these competitions with these smaller, more passionate growers and hashmakers.
[36:33.160 --> 36:40.160]  And they were universally defeating these big companies at every event, in every part of the country, even internationally.
[36:41.160 --> 36:49.160]  When we did our events in Spain and in Amsterdam, both times, people from the UK traveled there and won the events.
[36:49.160 --> 36:56.160]  And there's no medical cannabis in the UK. There's no legal cannabis of any kind in the UK.
[36:57.160 --> 37:05.160]  So these people are risking their lives. And when they would show up at the event, they reminded me of all of our people in California.
[37:06.160 --> 37:10.160]  They were at that level. And you're going to start to see that as cannabis becomes more open.
[37:11.160 --> 37:15.160]  Without you guys in the community, we would not be able to throw an event anywhere.
[37:15.160 --> 37:19.160]  So give yourselves a big round of applause for being part of the Seventh Day Community.
[37:20.160 --> 37:27.160]  Remember when we first started throwing them? We would put really, really, really long tables with power outlets underneath the tables and set them up.
[37:28.160 --> 37:33.160]  And throw out candy and waters and stuff for people just to go at it. We could have made so much more money.
[37:34.160 --> 37:38.160]  They wouldn't have remembered it the rest of their lives. And the people that got to go, remember it.
[37:38.160 --> 37:53.160]  This is why I wanted a secret cup here in DC. I have been traveling forever outside of DC, going to cannabis cups, going to events, going to the West Coast, where it's really, you know, three times ahead of where we're at.
[37:54.160 --> 37:58.160]  Because you have the temperature, you have the ability for people to flex that experience.
[37:59.160 --> 38:13.160]  And I wanted to see how that would happen over here. And just as I kind of saw it in my head, you know, first out of DC, most of the things that you saw were just fairly okay and homegrown.
[38:14.160 --> 38:24.160]  I wanted people to understand that there's more out there. There's gold oils. There are trees that look like Christmas, you know, a Christmas tree dusted in snow.
[38:25.160 --> 38:30.160]  The secret cup was like a party that made you feel exclusive just because you were there.
[38:31.160 --> 38:43.390]  Oh, I got it.
[38:49.170 --> 39:05.210]  I mean, it was something different, you know, than the high times events, which I'd been to and I'm a fan of. I enjoyed it. But this was another level.
[39:05.210 --> 39:15.210]  You had a lot of the people that came out that were smokers that they just wanted to, you know, they just wanted to smoke weed and they weren't really about the higher end of things.
[39:16.210 --> 39:20.210]  And that's where the secret cup came into place. That's where it gave a place for people that were into that kind of stuff.
[39:21.210 --> 39:30.210]  So I asked Dan if I could, you know, put together a song for him. I wanted to do a top shelf song for appreciation. And he said, no, I got this secret cup mixtape that I wanted to put out.
[39:31.210 --> 39:36.210]  So you should do a song about the secret cup because we're about to start doing them in other cities and expanding.
[39:37.210 --> 39:45.210]  So I ended up putting together the secret cup anthem. I came out to Denver for the finals and I had two verses done in the hook and I wrapped it for Dan and Jeremy.
[39:46.210 --> 39:51.210]  And they're like, oh, this shit is amazing. I'll put together the third verse after the event from the experiences.
[39:51.210 --> 40:00.210]  And that's really what it is. It's just the songs are all like a story of my life. So this was what that was. It was just documenting my times at the secret cup.
[40:01.210 --> 40:12.210]  And especially that third verse was just like soaking up that finals event. Mortimer out there rocking her belt, that energy of everybody in the place just having a great time. It's always peaceful. There's never problems at the events.
[40:13.210 --> 40:22.210]  Just being around so many like minded people, so many people that are into the same thing you are, that appreciate the same things you do.
[40:23.210 --> 40:29.210]  And it's not just it's not just the hash. I mean, it's it's everything else, too. It's all the trappings of the culture.
[40:30.210 --> 40:40.210]  Intense love of glass art that everybody shares a chance to meet people that are actually making medicine, the chance to meet people that are actually making the glass art.
[40:47.680 --> 40:58.680]  So when we were doing the secret cup, one of the things that I wanted to incorporate into it were some of the stereotypical things about cannabis that go along with the whole culture.
[40:59.680 --> 41:06.680]  I myself, I believe really strongly that cannabis and art are really closely connected.
[41:06.680 --> 41:15.680]  You've all heard stories of this musician talking about cannabis influencing their art. So we wanted to incorporate some of that into the secret cup.
[41:17.680 --> 41:24.680]  We had live glass blowing at almost all of the events and glass blowing for me is a really important part of the culture.
[41:25.680 --> 41:32.680]  For a long, long time, head shops were the main meeting point for stoners.
[41:32.680 --> 41:41.680]  When you got in trouble, a lot of times that was your only opportunity to still be in the cannabis industry in some sort of way.
[41:42.680 --> 41:51.680]  You could work at a head shop and that was OK. The glass aspects of cannabis has been one of the things that push the culture forward.
[41:52.680 --> 42:00.680]  So glass was very simple in the very beginning. And as it has innovated and become more intricate and more diverse in the colors and all the different things,
[42:00.680 --> 42:06.680]  it's pushed the whole culture forward in a classy and really respectable way.
[42:07.680 --> 42:18.680]  The first secret cup I did was the first one they did in California. And I mean, that's one of my favorite memories, blowing glass live, because I've done it before, but for head shop owners and they appreciate it.
[42:19.680 --> 42:26.680]  But this was a crowd of like virgin eyes for that kind of thing. So you had a whole bunch of people just staring at you.
[42:26.680 --> 42:36.680]  And I mean, I remember the event, the crowd was at the glass demo. I mean, that was where the most of the people that attended the event, they had music going on.
[42:37.680 --> 42:44.680]  The vendor booths with the different hashes and flowers and things to buy and people were buying for sure. I'm sure it was a lucrative event for them.
[42:45.680 --> 42:53.680]  But I just remember seeing this really big crowd of people that were all focused on us taking pictures and videos.
[42:53.680 --> 43:03.680]  And I see the pictures from that event and I mean, it just looks cool. We were blowing glass in front of this huge graffiti murals on these train tracks that were defunct.
[43:04.680 --> 43:12.680]  But I mean, we were literally set up on the train tracks and the pictures are just really cool. It wasn't a huge area. So the crowd looks tight.
[43:13.680 --> 43:17.680]  You know, it looks like there's a lot more people there that may have been there, but it was still a really large crowd.
[43:18.680 --> 43:33.680]  Super huge fan of glassblowing. I grew up around some really amazing glassblowers that I'm like, in a way baffled that they're not taking advantage of all this like what's going on around them, you know, and some of them have money and some of them are growing whatever else.
[43:34.680 --> 43:39.680]  But I just I felt like they're like missing out on this like huge opportunity in the glass world right now.
[43:40.680 --> 43:53.090]  And growing up, like even before I was really deep into the scene, like you would buy glass pipe that you liked at a head shop or somewhere.
[43:54.090 --> 44:03.090]  It would have a special meaning to you because you would take it around throughout your life and you would have all these special moments that you shared with this piece and with other people.
[44:04.090 --> 44:12.090]  And it became kind of part of your whole journey. And then when you would break it, it was like a loss. It was a real tragic loss.
[44:12.090 --> 44:22.090]  You would maybe buy a new piece or something like that and it would start a new journey. It was something that, you know, became really special.
[44:23.090 --> 44:30.090]  And as I learn more and more about glass, you know, I think that that is something that's underappreciated.
[44:31.090 --> 44:37.090]  People kind of don't even realize that they have this relationship with their glass pipe or their glass bong or whatever it is.
[44:37.090 --> 44:43.090]  I mean, I think that Concentrate's had a big role on how glass manufacturing has been changed.
[44:44.090 --> 44:51.090]  You've watched, you know, pieces go from being the four foot bong to being the four inch rig.
[44:53.090 --> 45:01.090]  It's very hard to walk into a head shop and find a piece that has a down stem for a flower bowl.
[45:02.090 --> 45:07.090]  Now everything's got a male ground joint for a dome or a domeless nail.
[45:08.090 --> 45:18.090]  So it's been interesting to watch it evolve. And obviously the Internet's had its role in that by giving everybody the immediate access to information.
[45:19.090 --> 45:28.090]  Where it would normally take word of mouth a long time to spread geographically, the Internet allows it to just spread like overnight.
[45:28.090 --> 45:34.090]  I think this is what's putting us, the hash makers and all that, kind of in the forefront.
[45:35.090 --> 45:41.090]  And it's like we're piggybacking off each other because they go hand in hand and this revolution is like, it's amazing.
[45:42.090 --> 45:49.090]  Glass had to change when the kind of hash that we smoked started to turn into a liquid.
[45:50.090 --> 45:56.090]  And so the tools that were being used originally became much more diverse.
[45:57.090 --> 46:04.090]  And when we entered the Cannabis Cup, we were entering with one of the very first dabbing tools that were out there.
[46:05.090 --> 46:14.090]  And as time progressed, those tools have become so innovative that that original tool is basically obsolete.
[46:15.090 --> 46:16.090]  Nobody uses it anymore.
[46:16.090 --> 46:26.090]  Just hitting it purely off the titanium device, all you were getting was that oil and it was getting vaporized super quick.
[46:27.090 --> 46:35.090]  It wasn't smoke. It's not setting it on fire. You're just getting it so hot that it changes from a plasma to a gas and you inhale it.
[46:36.090 --> 46:43.090]  And it bypasses your, what is it, the blood brain barrier and just instantly high.
[46:43.090 --> 46:48.090]  And the thing is, it's really easy to sort of regulate your dosage too.
[46:49.090 --> 46:53.090]  Oh, you smoked all my dab. You smoked all of my dab.
[46:54.090 --> 46:58.090]  When dabbing came onto the scene, it really changed everything.
[46:59.090 --> 47:08.090]  It gave us artists a new outlet to make things because now we're coming up with entirely new accessories that haven't been thought of before.
[47:09.090 --> 47:18.090]  All right, so this right here kind of changed everything for the glass industry.
[47:19.090 --> 47:25.090]  This is dabbing. What this is is concentrated THC oil or hash oil.
[47:26.090 --> 47:32.090]  And so we're heating up this nail, which is made of quartz on one of our glass rigs.
[47:33.090 --> 47:35.090]  We get this nail nice and hot.
[47:40.560 --> 47:45.560]  There's no combustion. You're not burning any plant material at all.
[47:46.560 --> 47:53.560]  The first time I saw someone take a dab, I was at Murr's house and he's since passed away.
[47:54.560 --> 48:03.560]  But he was a well-known glassblower in our industry and I showed up at his house and I see this torch and this rig just like that.
[48:03.560 --> 48:06.560]  Except we had titanium at the time and it was a swing.
[48:07.560 --> 48:11.560]  And they're heating it up and taking dabs and I'm like, oh my gosh, are you guys doing drugs here?
[48:12.560 --> 48:19.560]  That's what I was thinking because I never associate cannabis with that kind of thought, but I didn't know what's going on.
[48:20.560 --> 48:25.560]  They explained to me the process and I mean, it's like a whole different way to consume cannabis.
[48:26.560 --> 48:30.560]  And now we have a whole different line of things we need to make.
[48:30.560 --> 48:42.560]  We made these swings. It was basically a funnel that was bent and you'd sell these swings like this to other companies and they would wrap them with metal.
[48:43.560 --> 48:52.560]  In fact, this is one that was one of the first companies that marketed the swings they asked me to make.
[48:52.560 --> 49:00.560]  And I did pattern work ones and then I did these sculpted ones and looking back, I mean, these are really rough.
[49:01.560 --> 49:11.560]  But what they were doing was wrapping this titanium pad around the swing, around the glass and calling it a swing because it swings back and forth.
[49:12.560 --> 49:17.560]  So you'd heat this up and once it was glowing, you'd swing it back down and get your dab ready and you just drop it.
[49:17.560 --> 49:22.560]  And that's what this little opening was for. So you could get your dab tool in there and vaporize it.
[49:23.560 --> 49:27.560]  And you don't see very many people using the swings anymore.
[49:28.560 --> 49:34.560]  You know, every now and then I probably make one a year. Someone will hit me up and they want like a classic rig.
[49:35.560 --> 49:44.560]  So we started making the swings and then nails came out and domes and that's a whole thing that's like come and gone.
[49:44.560 --> 49:53.560]  Like that time, it's weird because it's still so new, but there's trends that have come and gone.
[49:54.560 --> 50:02.560]  And now everyone uses some form of a banger and even those are becoming a little different and taking on different shapes.
[50:03.560 --> 50:08.560]  And cannabis in general is just a very fast moving, innovative business.
[50:08.560 --> 50:13.560]  The thing that is popular this year might be completely obsolete by the end of the next year.
[50:14.560 --> 50:19.560]  So you have to stay on top of it really, really all the time.
[50:20.560 --> 50:27.560]  And having these events in all the different cities, that helped us to constantly be on the pulse of where cannabis was going.
[50:28.560 --> 50:40.170]  You know the rigs and the dab scene is big.
[50:41.170 --> 50:48.170]  So a lot of the more higher end pieces are going to be styled and engineered to do dabs.
[50:49.170 --> 50:55.170]  Whereas a lot of the flower pieces are made differently. They have a different way the diffusers go in and things like that.
[50:56.170 --> 51:01.170]  It's because, you know, without the dabbing rigs, like I said, it's a lot more difficult to get the right shape.
[51:01.170 --> 51:07.170]  It's because, you know, without the dabbing rigs, like I said, in 1999 we were making oil.
[51:08.170 --> 51:13.170]  There wasn't no dab rigs then though. We were pouring that shit on buds and killing our throat and lungs.
[51:14.170 --> 51:17.170]  And it was a horrible way to do oil. Some people tried to hot knife it and stuff.
[51:18.170 --> 51:22.170]  But I just think that's, like I said, it's piggybacking off each other.
[51:23.170 --> 51:29.170]  So it's a beautiful dynamic. It's the future. It's what it is.
[51:29.170 --> 51:34.170]  I think vaporizing the oil and stuff is the future. No more smoking the flower.
[51:35.170 --> 51:40.170]  And I love flowers to death, but I just really feel like vaporizing, even vaporizing flower I guess, is better than not.
[51:41.170 --> 51:46.170]  I think dabbing is still the future. There's all these youngsters that want to be a part of it still.
[51:47.170 --> 51:53.170]  Haven't got to experience all this. Now these certain states are becoming 21 years of age to partake.
[51:54.170 --> 51:56.170]  These kids are like, wow, I can't wait to be 21.
[51:56.170 --> 52:01.170]  People need to see that the stuff, if it's made properly, it's not dangerous.
[52:02.170 --> 52:06.170]  And in fact, can really approach like connoisseur grade levels.
[52:07.170 --> 52:12.170]  I want people to know what's possible, like the magic that you can get out of this plant.
[52:13.170 --> 52:20.170]  I want people to know how to smoke it, know how to judge the quality of it, have better access to meds wherever they're from.
[52:21.170 --> 52:23.170]  I want all that stuff to happen.
[52:24.170 --> 52:31.170]  So when you attended a secret cup, a lot of times you're being exposed to the next new trend in cannabis.
[52:32.170 --> 52:40.170]  People would show up to the secret cup and sometimes they would have worked on something for like, you know, maybe a year long.
[52:41.170 --> 52:47.170]  And they'd have this wonderful story of the plant that they grew or where their concentrate came from.
[52:47.170 --> 52:56.170]  Sometimes it was like a new technique. And I've even had, you know, my eyes opened on things that I didn't think were possible.
[52:57.170 --> 53:03.170]  Like I've had an alcohol extraction oil that was phenomenal tasting.
[53:04.170 --> 53:15.170]  And, you know, there's just been numerous things that even me as somebody who had experienced quite a lot in cannabis.
[53:15.170 --> 53:23.170]  I constantly am having my eyes open to new things. And I love that about the secret cup, the innovation, the real innovation.
[53:24.170 --> 53:32.170]  Because people that were into that whole part of the events, the secret cup was the kind of event that attracted a true cannabis connoisseur.
[53:33.170 --> 53:41.170]  Somebody that had really learned the history and a lot of people that were doing really, really cutting edge innovation.
[53:41.170 --> 53:55.170]  That's what I love about these two guys. You know, I mean, they really, it's from the heart, you know, and that's, I feel a little more rare, you know, in industry events or whatever.
[53:56.170 --> 54:00.170]  That it's from someone from the movement, from the industry, it's from, you know, the soul.
[54:01.170 --> 54:08.170]  And I think everybody notices that and the energy the event has now. And like, it means something to win the event.
[54:08.170 --> 54:20.170]  And if I don't win for a second or third or anything, at least I got to present myself and my side of the story and show people maybe something that they haven't had the opportunity to try.
[54:21.170 --> 54:35.170]  And, you know, that's a win to me. But, you know, winning, actually winning, that would be a large statement to where the cannabis industry is progressing and how much extract artists care about quality, clean meds.
[54:35.170 --> 54:42.170]  Because when you enter a solventless entry, it's zero PPM, zero, it's zero, you know, solvent is there's no nothing that can harm you.
[54:43.170 --> 54:54.170]  And so when you have something as loud as my entry and as flavorful as my entry, you know, and have them recognize that, recognize what it is as a medicine and vote for me to win.
[54:55.170 --> 55:03.170]  That would be probably one of the highlights of my life. I'd be really stoked, not just for myself, but for the cannabis industry and where we stand as extract artists.
[55:05.170 --> 55:14.170]  I don't want it to get big. A lot of the other events, their goal is to get bigger and make more money. And that's never been my goal.
[55:15.170 --> 55:20.170]  My goal has been to provide the best experience for the people that attend the event.
[55:21.170 --> 55:36.170]  And as we've done the events, I know where we're lacking and I know where we're strong. And I just want to focus on those kinds of things and bring to the people some more of the experiences that they're looking for.
[55:36.170 --> 55:51.170]  That's one of the hardest things is the budget that we're facing. But I believe that people see what we're trying to do now and that's going to open the doors to a much greater experience for all the people involved.
[55:52.170 --> 56:01.170]  I'm really excited that, you know, I think the face of the secret cup is changing a little bit. And the more knowledge, the more things that are like this, we get to express it to each other, you know.
[56:01.170 --> 56:14.170]  I really want to break new ground. So I like to do different things with the events. If I keep getting caught up in the same pattern, a lot of times that can be not so fun, you know.
[56:14.170 --> 56:34.170]  The other thing is I want to see everybody happy and I want to push the education. So this message that we've got, I want to get to everyone. And it's difficult, you know, we don't have the platform to speak just yet. And we're slowly building, you know.
[56:35.170 --> 56:56.170]  I would recommend it to anybody who's a connoisseur or someone who strives to know what real medicine in the cannabis community is. There's a lot of people that try to pass off, you know, nugg run or these other terms of what high quality things should be when they're really not anywhere close to it.
[56:56.170 --> 57:10.170]  And the competitors are a good example of what the perfect concentrates or what we strive to have should be like and what real medicine should be for people that need it, you know. And yeah, I think that's pretty much it.
[57:10.170 --> 57:13.170]  I'm going to actually take one nap. I'm over here.
[57:16.170 --> 57:34.170]  The goal was to make it a part of regular life and we were successful and it is now. But what was special was the fact that we were on the fringes, on the front lines, making something happen for the first time and that there was risk involved. And that was exciting.
[57:35.170 --> 57:45.170]  How's it going, everyone? I just started Fresh Off the Bud Extractions a little while ago. First and foremost, thank Dan and Nick of Tea for hosting this event.
[57:46.170 --> 58:01.170]  There have been a number of times in my career in the cannabis industry where I almost had to pinch myself where I'm like, think about what you're doing. Think about where you are.
[58:02.170 --> 58:04.170]  Hey, thanks to everybody.
[58:05.170 --> 58:30.170]  I mean, the only way I could compare it is it's like having like a rock star lifestyle. You're like traveling to these strange, unknown places. People are like bringing you into like these grows or these, you know, farms that they don't bring people into.
[58:31.170 --> 58:45.170]  And I'm like, I'm going to bring them attention. This is some sort of value, a new value to their company that wasn't something that existed before. And here I am. Thankfully, I am an authentic cannabis fan.
[58:46.170 --> 59:03.170]  So they could talk to me and know that I'm truly passionate about everything. And they felt a lot more comfortable bringing me into these places. But it was strange, you know, you could feel the danger in some of the situations, you know.
[59:04.170 --> 59:23.170]  And I'm in Oakland going to this different place or that different place. And, you know, here I am, you know, little me. And some of these people are heavily armed, going to other countries like Spain, dealing with the military police in Spain.
[59:24.170 --> 59:36.170]  Like they have cannabis over there, but they don't necessarily have like legal cannabis the way that we have. So it's constantly an evolving process.
[59:37.170 --> 59:56.170]  And, you know, it's stressful. A lot of times you're hating it. A lot of times you're thinking I should have done a regular job, that these risks that I'm taking are not worth it, that I'm not getting financially something that's going to get me set up for life out of this.
[59:57.170 --> 01:00:02.170]  This is just some sort of like passionate thing that I've got myself into because of how much I believe in this.
[01:00:02.170 --> 01:00:21.170]  You know, for some reason, a lot of credit comes my way. But the fact of the matter is the secret cup wouldn't exist. I wouldn't have been able to accomplish any of this without Jeremy. I mean, he has a mind for events and he puts in all the tough work. And anytime he needs someone needs to be an asshole like this guy is the one who does it.
[01:00:22.170 --> 01:00:45.170]  You know, you question. I think it's pretty normal to have those moments. But it's also pretty awesome to have those triumphs when you've won or you've done something, especially the events like we've thrown an event in some sort of unique place and people have like won awards.
[01:00:45.170 --> 01:01:06.170]  It's been this really wonderful thing for a lot of people and a really amazing adventure. You feel a triumph that's not really explainable. I mean, I've vacationed to Amsterdam many times. When I threw an event in Amsterdam, I felt like a totally different feeling.
[01:01:07.170 --> 01:01:33.130]  And those kind of things are really special. I'm glad to have been a part of it. And I think even just for the people that attend the events that they've had some of those really special moments to local laws are what determines what we're able to do as far as an event goes, because we don't want to run afoul of them.
[01:01:34.130 --> 01:01:45.130]  So that determines how, you know, like any kind of distribution, if possible, happens. That determines whether we have a big expo that's public or we have a small private event like this one.
[01:01:45.130 --> 01:02:04.130]  Vegas laws right now until they go fully recreational means that, you know, we can totally rent a house and have a private event, but we can't, you know, like just invite the public to it because they had an event here recently and totally had cops show up to it, shut down the medicating area. They weren't quite done with it yet.
[01:02:05.130 --> 01:02:26.130]  Yeah, that was a message. You know, one of the things also at the Seeker Cup was because we were experts at all this stuff, you know, we might be consuming these large amounts, but the idea was not to be like trashy about it. It was to be classy about it and to show that cannabis didn't have to be this like get fucked up and be a mess.
[01:02:26.130 --> 01:02:34.130]  You know, like this stereotypical negative thing that a lot of people look at it as, that you could enjoy it and still be like a functioning adult and do all kinds of things.
[01:02:35.130 --> 01:02:48.130]  I mean, there's a lot of things you can do to like leave a good impression on the city that you're working with. One thing that we did in Rhode Island that worked really well is we went to the city government. We told them exactly what we were going to do. We broke it down for them.
[01:02:48.130 --> 01:03:06.130]  They were completely on board. We got all the permits we needed and we were able to, on top of all that, raise a whole bunch of stuff for the homeless. So we had people bringing food and clothes and we had two truckloads full of stuff that we dropped off to the local homeless shelter.
[01:03:07.130 --> 01:03:26.130]  Even with the Secret Cup, I will say like as bad as the situation was with the law enforcement, my interactions with them were all fine. You know, nobody did anything to me that was inappropriate. They definitely put a lot of attention on events simply because we were smoking cannabis there.
[01:03:26.130 --> 01:03:44.130]  And that was the entire reason they had a problem with our event. We could have done almost the exact same event minus the actual cannabis part of them and they would have had no problem with the event. The problem was the smoking cannabis part. Not even the sales.
[01:03:44.130 --> 01:04:02.130]  The sales, obviously, I could see sometimes as being problems, you know, or issues. That was not the issue. The issue was smoking cannabis. And that to me is staggering. I can't believe that that's still a problem.
[01:04:03.130 --> 01:04:23.130]  People don't see all the wrestling that we have to do with regulations and laws. When we throw one of these events, we have to contract a lawyer and make sure that it's even possible to do it, first of all. Then it comes to actually putting the event together. That means that we have to raise a lot of money and we have to have the trust of the community in order to do so.
[01:04:24.130 --> 01:04:45.130]  Primarily what pays for these events is people that pay for the enhanced experience of like, you know, the chance to come to the VIP event, the chance to get a gift bag, that kind of thing, the chance to try the entries. You know, they're all paying extra for that stuff. And we use that money that we raise from them to like throw this event. We don't have major sponsors. We're a grassroots event.
[01:04:46.130 --> 01:05:02.130]  And so as far as manpower goes, we have a lot of volunteers, a lot of people that really believe in this. They might not be able to shell out the $300 necessary to get a ticket, but, you know, they are definitely willing to put their heart and their efforts into making sure the event goes well.
[01:05:02.130 --> 01:05:21.130]  Like we have people doing like web work, photography, people that are cooking, people that are serving, people that are cleaning up, people that are running errands and putting out any fire that pops up. So it's a 100% a group effort. It's like, you know, the family comes together and then we get it done.
[01:05:22.130 --> 01:05:47.130]  The very first Seeker Cup was targeted to just kind of be one event. And then as I wanted to do my own event in Los Angeles, other people that had gone to the first one wanted to do their own in their own cities too. But they were having trouble. So Dan contacted me, brought me on. So from that point on, I became involved with throwing all of the events all over the world.
[01:05:48.130 --> 01:06:03.130]  And ultimately, I'm the only person that was at every Seeker Cup in every city, in every state, in every country. And that's actually a very proud accomplishment and one of the best adventures of my life.
[01:06:04.130 --> 01:06:25.130]  Everywhere we went, people would just, you know, jump in and help out. Like when we had the Beast Coast thing, we ordered hundreds of lobsters. And it just turned out that we had a chef there. He's now one of my good friends, Ben. Had a chef there with his knives and stuff. And he started cooking them for everybody, you know, it was that it was that level of pitching in all the time.
[01:06:25.130 --> 01:06:50.130]  Everybody was just everywhere we went, like we had people just step up and help out, give us places to stay, drive around, work for free. I mean, there's so many people like everyone we did. It was a community and like we really what we did was facilitate, you know, everybody coming together. That's what we did. You know, we we created a lane and everybody else had to pitch in to work.
[01:06:51.130 --> 01:07:20.620]  So eventually there were little events that just focused on money making, vending aspects of the event scene. And they started popping up every day, basically. And there were huge concert based events every month or so. When we were first doing the events, and this is also true for Chalice, we had the community all coming together. It was really a special thing. It was a whole movement. It was incredible.
[01:07:21.620 --> 01:07:43.620]  And we were powerful. But as these things happen, and people would go to all these other events all the time, we lost that feeling that what we were doing was something special. And now most of the other events are gone. In fact, there's only a handful of events all over the world that I really think are worth going to.
