[00:00.000 --> 00:01.440]  One, two, last four!
[24:11.230 --> 24:16.230]  And yeah, there was a lot of things that.
[24:16.230 --> 24:21.230]  We were like the first documentarian kind of movie.
[24:21.230 --> 24:24.230]  You know, where it was more of a.
[24:24.230 --> 24:25.230]  Instead of a.
[24:25.230 --> 24:27.230]  A fictional set up.
[24:27.230 --> 24:28.230]  It was.
[24:28.230 --> 24:32.230]  These are real scenes that are happening all over America.
[24:32.230 --> 24:34.230]  You know, especially in Hollywood.
[24:34.230 --> 24:35.230]  Yeah.
[24:36.230 --> 24:38.230]  So we're just going to show you one scene.
[24:38.230 --> 24:39.230]  And it's going to be on screen.
[24:39.230 --> 24:41.230]  And you know.
[24:41.230 --> 24:42.230]  And that.
[24:42.230 --> 24:44.230]  And really, that was.
[24:44.230 --> 24:47.230]  That was the intent of Up In Smoke.
[24:47.230 --> 24:50.230]  And then.
[24:50.230 --> 24:52.230]  Then we couldn't get a movie.
[24:52.230 --> 24:54.230]  After Up In Smoke.
[24:54.230 --> 25:00.230]  Because Lou Adler, the producer or the director at the time of choice.
[25:00.230 --> 25:02.230]  You know.
[25:02.230 --> 25:04.230]  We had differences.
[25:04.230 --> 25:05.230]  Okay.
[25:05.230 --> 25:07.230]  With the ending of the movie.
[25:07.230 --> 25:09.230]  And so we kind of split.
[25:09.230 --> 25:11.230]  I wrote the ending for the movie.
[25:11.230 --> 25:13.230]  But I wouldn't tell Lou what it was.
[25:13.230 --> 25:16.230]  And I had to direct it myself.
[25:16.230 --> 25:18.230]  And so I get a special.
[25:18.230 --> 25:19.230]  On.
[25:19.230 --> 25:23.230]  What's it on.
[25:23.230 --> 25:26.230]  On something.
[25:26.230 --> 25:29.230]  Writing credit.
[25:29.230 --> 25:30.230]  Okay.
[25:30.230 --> 25:31.230]  Right.
[25:32.230 --> 25:34.230]  No directing directors credit.
[25:34.230 --> 25:35.230]  You know.
[25:35.230 --> 25:36.230]  But.
[25:36.230 --> 25:38.230]  But that was that was immaterial.
[25:38.230 --> 25:42.230]  You know, that's that's part of the dance that you do in Hollywood anyway.
[25:42.230 --> 25:43.230]  You know.
[25:43.230 --> 25:45.230]  That's.
[25:45.230 --> 25:46.230]  Habanera.
[25:46.230 --> 25:47.230]  You know.
[25:47.230 --> 25:50.230]  That was great that you were able to get in there and do that.
[25:50.230 --> 25:51.230]  I know.
[25:51.230 --> 25:52.230]  No, I had to.
[25:52.230 --> 25:53.230]  Yeah.
[25:53.230 --> 25:54.230]  I had to.
[25:54.230 --> 25:56.230]  You know, other than that.
[25:56.230 --> 25:58.230]  That would have been a disaster.
[25:59.230 --> 26:00.230]  But when I saw that.
[26:00.230 --> 26:03.230]  Well, like someone doing your act, you know.
[26:03.230 --> 26:06.230]  And then when you get to the finish and say, okay, you leave.
[26:06.230 --> 26:08.230]  I'll finish the eye for you.
[26:08.230 --> 26:09.230]  Can't do that.
[26:09.230 --> 26:10.230]  No, no.
[26:10.230 --> 26:11.230]  We've.
[26:11.230 --> 26:12.230]  Yeah.
[26:12.230 --> 26:13.230]  I'm a huge Twin Peaks fan.
[26:13.230 --> 26:14.230]  David Lynch.
[26:14.230 --> 26:18.230]  Wrote that, you know, back in the nineties and season one was his seasons.
[26:18.230 --> 26:21.230]  Two was the studios and there's a drastic difference.
[26:21.230 --> 26:22.230]  Yeah.
[26:22.230 --> 26:25.230]  I'm glad you were able to finish it in your vision.
[26:25.230 --> 26:28.230]  Well, I turned down TV, you know, before the movie we got,
[26:28.230 --> 26:30.230]  we got the biggest offer in television.
[26:30.230 --> 26:34.230]  Oh, and it turned out to be Chico and the man with Freddie Prince.
[26:34.230 --> 26:35.230]  Huh?
[26:35.230 --> 26:38.230]  But NBC followed teaching Sean around for a year.
[26:38.230 --> 26:40.230]  And he wrote.
[26:40.230 --> 26:43.230]  Chico and the man based on a couple of skits that teach.
[26:43.230 --> 26:44.230]  And I used to do.
[26:44.230 --> 26:45.230]  But.
[26:45.230 --> 26:48.230]  But the television show they wanted us to do, you know,
[26:49.230 --> 26:52.230]  You can put us down to two characters, you know?
[26:52.230 --> 26:56.230]  So, so I turned it down and then we did all the movies and then,
[26:56.230 --> 26:58.230]  and then we got into TV, you know.
[26:58.230 --> 27:00.230]  Which, which is okay.
[27:00.230 --> 27:03.230]  But had we just think of it, had we done that Freddie Prince thing.
[27:03.230 --> 27:05.230]  No one would.
[27:05.230 --> 27:06.230]  Have any idea.
[27:06.230 --> 27:07.230]  Yeah.
[27:07.230 --> 27:08.230]  No one would have.
[27:08.230 --> 27:11.230]  I mean, I think it's a, it's a, it's a, it's a, it's a,
[27:11.230 --> 27:14.230]  it's a, it's a, it's a, it's a, it's a, it's a, it's a, it's a,
[27:14.230 --> 27:17.230]  it's a, it's a, it's a, it's a, it's a, it's a, it's a, it's a,
[27:17.230 --> 27:21.230]  It would be remembered like Freddie Prince.
[27:21.230 --> 27:22.230]  Yeah.
[27:22.230 --> 27:23.230]  It's interesting.
[27:23.230 --> 27:25.230]  And it's all going for the money, by the way.
[27:25.230 --> 27:30.230]  You know, because that TV money is very attractive, you know?
[27:30.230 --> 27:31.230]  Right.
[27:31.230 --> 27:36.230]  But I've never been into, into anything for just for the money.
[27:36.230 --> 27:40.230]  Conceptual artists can't be confined.
[27:40.230 --> 27:43.230]  No, not at all.
[27:43.230 --> 27:44.230]  Not at all.
[27:44.230 --> 27:49.230]  In fact, I'm finding ways now to literally use the system,
[27:53.650 --> 27:58.650]  the movie system, to help the immigration problem,
[28:00.570 --> 28:01.710]  for instance.
[28:01.710 --> 28:02.550]  Good.
[28:02.550 --> 28:06.310]  See, for instance, I'll give you a slight example.
[28:06.310 --> 28:11.110]  I want to do a project where we document the march
[28:11.110 --> 28:16.110]  in South America from Guatemala and those countries
[28:16.630 --> 28:21.630]  into Tijuana, the march that Trump freaked out,
[28:22.430 --> 28:25.070]  everybody freaked out, and we tried to do it.
[28:25.070 --> 28:28.230]  Now, what I want to do with my movie company,
[28:28.230 --> 28:32.550]  I want to hire every marcher that was in that march
[28:32.550 --> 28:35.150]  and bring them into America as actors
[28:36.270 --> 28:39.390]  and bring their families in as actors
[28:39.390 --> 28:42.470]  and have them all employed by the movie company,
[28:42.470 --> 28:47.470]  Peace Fight Pictures, as actors, as children,
[28:48.230 --> 28:52.430]  as spouses, as grandmas, as extras.
[28:52.430 --> 28:56.350]  There's always gonna be work in a movie studio.
[28:56.350 --> 28:59.990]  There's always work besides acting.
[28:59.990 --> 29:00.810]  Yeah.
[29:00.810 --> 29:04.990]  But the main thing is I want the story of their migration
[29:05.030 --> 29:09.910]  because to me, walking 1,500 miles or whatever they walked
[29:09.910 --> 29:13.390]  is the ultimate audition to me.
[29:16.550 --> 29:19.550]  Now, we will bring them into the movie company
[29:19.550 --> 29:22.790]  and ask you about your journey,
[29:22.790 --> 29:25.710]  and if you're a writer or whatever you are,
[29:25.710 --> 29:29.670]  we got a place for you in our movie company,
[29:29.670 --> 29:32.630]  and then they'll all join the guilds,
[29:32.790 --> 29:34.830]  all the proper guilds.
[29:34.830 --> 29:38.130]  The art department will find proper housing for them,
[29:39.790 --> 29:43.790]  and there's gonna be schools, beautiful schools,
[29:43.790 --> 29:46.150]  that everybody will want to go to
[29:46.150 --> 29:51.150]  because we're not only just teaching English or whatever,
[29:51.470 --> 29:53.670]  English, we're teaching acting.
[29:53.670 --> 29:56.190]  You know, it's an acting school, a music school,
[29:56.190 --> 29:59.270]  depending on where, what lies.
[29:59.270 --> 30:01.990]  And by the way, there's a legal school too
[30:02.350 --> 30:04.470]  because we're gonna need those legal minds
[30:04.470 --> 30:09.070]  to keep everything working in harmony.
[30:09.070 --> 30:14.070]  Now, I'm going to start with the story of Cheech and Chong,
[30:14.550 --> 30:17.630]  the prequels of Cheech and Chong
[30:17.630 --> 30:21.790]  before Cheech was ever Cheech and Chong was ever Chong,
[30:21.790 --> 30:23.990]  and then we're going back into the various countries
[30:23.990 --> 30:26.470]  where our ancestors came from
[30:26.470 --> 30:29.830]  and then document their stories of their migration.
[30:29.830 --> 30:32.070]  And it's just gonna keep going,
[30:32.070 --> 30:37.070]  and then we're gonna also document the gains that we made
[30:38.550 --> 30:40.950]  by bringing these people in and being that.
[30:40.950 --> 30:44.710]  We're gonna show that story of success
[30:44.710 --> 30:47.150]  because if you get them young enough,
[30:47.150 --> 30:50.390]  by the time they're 10 years go by,
[30:50.390 --> 30:53.710]  they are such an asset to America,
[30:53.710 --> 30:56.270]  and that's what we're looking for.
[30:56.270 --> 30:57.590]  That's what any country's looking at.
[30:57.590 --> 30:59.990]  That's what every movie company's looking for.
[30:59.990 --> 31:03.030]  They're looking for the stars, the extras,
[31:03.030 --> 31:05.670]  the grips, the carpenters, everything.
[31:05.670 --> 31:09.270]  So if we can turn a movie company
[31:09.270 --> 31:13.750]  into the greatest way of vetting people
[31:13.750 --> 31:15.750]  coming into the country,
[31:15.750 --> 31:18.950]  that model can spread around the world.
[31:19.790 --> 31:24.790]  And so that, because when you document, say,
[31:25.510 --> 31:28.110]  an immigrant with the movie company,
[31:28.110 --> 31:30.350]  now you got a screen test.
[31:30.350 --> 31:31.710]  Now you got a DNA.
[31:31.710 --> 31:33.110]  You got history.
[31:33.110 --> 31:34.670]  You got everything.
[31:34.670 --> 31:38.450]  And so now you know who you got in the country.
[31:39.750 --> 31:42.710]  And then when you come across the badasses too,
[31:42.710 --> 31:43.710]  that works too.
[31:44.910 --> 31:46.310]  Because you need Paul.
[31:47.190 --> 31:48.310]  I want the smuggler.
[31:48.310 --> 31:51.950]  I want the guy, the guy that people pay a lot of money
[31:51.950 --> 31:53.550]  to sneak into.
[31:53.550 --> 31:55.590]  Because they're clever as can be.
[31:55.590 --> 31:59.650]  In fact, I was in jail with one of the smugglers.
[32:01.150 --> 32:03.510]  You know how we smuggled the immigrants in?
[32:03.510 --> 32:05.870]  At five, we put them in the pot.
[32:05.870 --> 32:07.110]  Wow, how?
[32:07.110 --> 32:08.390]  On his motorcycle.
[32:10.090 --> 32:12.230]  Put a motorcycle gear on him.
[32:12.230 --> 32:13.070]  Yeah?
[32:14.590 --> 32:16.310]  Zips through everywhere.
[32:16.310 --> 32:17.790]  Zips through anywhere.
[32:17.790 --> 32:20.270]  Oh yeah, motorcycles don't get caught.
[32:20.270 --> 32:21.110]  Anywhere.
[32:21.630 --> 32:22.470]  Wow.
[32:22.470 --> 32:24.310]  And there's no reason to stop.
[32:25.390 --> 32:26.230]  Right.
[32:26.230 --> 32:28.150]  They're on a motorcycle.
[32:28.150 --> 32:31.710]  And then you take them to wherever they had to go.
[32:31.710 --> 32:32.790]  You get paid.
[32:32.790 --> 32:34.950]  You go back and get another load.
[32:34.950 --> 32:37.190]  And so that's going on now.
[32:37.190 --> 32:38.030]  Yeah.
[32:38.030 --> 32:39.630]  So I wanna show that.
[32:39.630 --> 32:41.230]  I wanna show that.
[32:41.230 --> 32:43.470]  It's just like the war on pot.
[32:45.150 --> 32:47.750]  They had this cockamamie,
[32:47.750 --> 32:50.190]  the judge is thinking that marijuana
[32:50.190 --> 32:54.950]  made those rioters in Michigan.
[32:54.950 --> 32:55.790]  Oh gosh.
[32:55.790 --> 32:56.630]  What?
[32:56.630 --> 32:57.470]  What?
[32:57.470 --> 32:58.910]  Wanna kill the governor.
[32:58.910 --> 33:01.470]  It was because of marijuana use.
[33:01.470 --> 33:02.630]  Oh, 100%.
[33:02.630 --> 33:04.190]  100%, yes.
[33:04.190 --> 33:05.950]  Don't have to convince me.
[33:05.950 --> 33:07.670]  Yeah, but you see,
[33:10.430 --> 33:12.470]  the power of a movie company.
[33:12.470 --> 33:15.430]  And I wanna be the mogul, by the way.
[33:15.430 --> 33:16.510]  Because. Nice.
[33:17.270 --> 33:19.510]  The trouble, it's not a trouble.
[33:20.990 --> 33:25.990]  Like, I got no complaint against our electoral system at all
[33:26.510 --> 33:30.270]  because it really proved so strong.
[33:30.270 --> 33:32.990]  The Constitution, the American way of life
[33:32.990 --> 33:34.870]  was so powerful.
[33:34.870 --> 33:38.470]  No punk like Rudy Giuliani or any of those guys
[33:38.470 --> 33:39.830]  gonna mess with that.
[33:43.030 --> 33:45.550]  I mean, if you don't have military behind you
[33:45.590 --> 33:46.750]  when you do anything,
[33:47.750 --> 33:49.310]  you're not gonna go anywhere.
[33:49.310 --> 33:50.310]  No.
[33:50.310 --> 33:52.030]  Nowhere except to jail.
[33:54.550 --> 33:56.830]  Boy, I had the best time.
[33:56.830 --> 33:58.030]  I had to shut up, though.
[33:58.030 --> 34:01.070]  In fact, my son took me off Twitter.
[34:01.070 --> 34:01.910]  Oh no.
[34:03.790 --> 34:04.670]  It's weird, man.
[34:04.670 --> 34:06.470]  You gotta be careful these days.
[34:06.470 --> 34:11.070]  But being careful is not sometimes in the vocabulary
[34:11.070 --> 34:12.550]  of a passionate person.
[34:12.590 --> 34:15.910]  And I think what you're doing is fabulous.
[34:15.910 --> 34:18.310]  One is creating opportunity.
[34:18.310 --> 34:19.830]  Two, solving a problem.
[34:19.830 --> 34:22.030]  And then three, investing in people.
[34:22.030 --> 34:23.790]  When you invest in people,
[34:23.790 --> 34:26.990]  the Rain Corporation, that was the audio company
[34:26.990 --> 34:28.710]  that I worked for for many years.
[34:28.710 --> 34:31.630]  And I only mentioned their name because they got it.
[34:31.630 --> 34:34.270]  They invested in their people.
[34:34.270 --> 34:38.030]  And it was a phenomenal company.
[34:38.030 --> 34:40.590]  And it's short-sighted, I think,
[34:40.830 --> 34:42.110]  of a lot of companies today
[34:42.110 --> 34:43.510]  that don't invest in their people.
[34:43.510 --> 34:46.350]  Because you'd be amazed at how happy people will be,
[34:46.350 --> 34:48.550]  how much more production there is,
[34:48.550 --> 34:52.070]  and just better quality when people are happy.
[34:52.070 --> 34:55.390]  It's truth seekers.
[34:56.710 --> 35:01.030]  They're a very small minority.
[35:01.030 --> 35:02.270]  Very small.
[35:02.270 --> 35:04.870]  Because it's so easy to lie.
[35:04.870 --> 35:07.310]  And lying is a habit.
[35:07.310 --> 35:10.510]  And if you fool these people enough times,
[35:11.390 --> 35:13.590]  you think that's all there is on the planet
[35:13.590 --> 35:15.150]  is those people.
[35:15.150 --> 35:16.310]  Well, they're not.
[35:16.310 --> 35:18.510]  And they're in a minority.
[35:19.590 --> 35:22.630]  And if Trump, for instance,
[35:23.550 --> 35:25.350]  I had hope for him.
[35:25.350 --> 35:28.390]  Because I thought, okay, look at the bright side.
[35:28.390 --> 35:30.510]  I always look at the bright side of everything.
[35:30.510 --> 35:34.830]  And so when Trump looked like he might win,
[35:34.830 --> 35:36.430]  I started thinking of the positives.
[35:36.430 --> 35:38.710]  Okay, I says, well, he's a builder.
[35:38.710 --> 35:40.910]  And the first thing a builder ever does
[35:40.910 --> 35:43.350]  is to tear down the old building,
[35:43.350 --> 35:45.470]  wherever he has to tear it down.
[35:45.470 --> 35:47.070]  Builders don't wanna fix anything.
[35:47.070 --> 35:49.430]  Builders wanna start from scratch.
[35:49.430 --> 35:50.990]  So the first thing as a builder,
[35:50.990 --> 35:52.230]  you gotta tear down a ship.
[35:52.230 --> 35:54.110]  Because the reason you gotta tear it down
[35:54.110 --> 35:56.270]  is it's on the best property.
[35:56.270 --> 35:57.990]  Because if it wasn't there,
[35:57.990 --> 35:59.910]  then that's not the best property.
[35:59.910 --> 36:02.310]  So the property that's on is valuable.
[36:02.310 --> 36:06.070]  So I thought his ability to tear down buildings,
[36:06.070 --> 36:07.790]  which is pretty extensive.
[36:07.790 --> 36:09.270]  He's torn down a lot.
[36:10.190 --> 36:11.910]  If, just think of this,
[36:11.910 --> 36:14.790]  if Trump just focused on the infrastructure,
[36:15.750 --> 36:17.510]  the infrastructure,
[36:17.510 --> 36:19.430]  he would be going down
[36:19.430 --> 36:22.630]  as the greatest president of all times.
[36:22.630 --> 36:24.830]  That's investing in the people.
[36:24.830 --> 36:26.310]  That's how close he came.
[36:26.310 --> 36:30.310]  Because number one, he knows that industry.
[36:30.310 --> 36:31.550]  You don't do it yourself.
[36:31.550 --> 36:32.910]  You hire the best.
[36:32.910 --> 36:36.470]  And so you hire the best infrastructure people.
[36:36.470 --> 36:39.710]  And you sit back and just take phone calls
[36:39.710 --> 36:44.470]  appearing and breaking ground and cutting ribbons
[36:44.470 --> 36:48.470]  and being congratulated by everybody who you help.
[36:48.470 --> 36:50.870]  Because that's what infrastructure does.
[36:50.870 --> 36:53.150]  It's like bodybuilding.
[36:53.150 --> 36:58.150]  Now you're recreating this beautiful country physically.
[36:58.510 --> 37:03.510]  And the water's hip and the electrical stuff is the best.
[37:03.510 --> 37:06.070]  Everything, the internet, everything.
[37:06.670 --> 37:07.510]  And when you got all that,
[37:07.510 --> 37:09.510]  you got a superpower country
[37:09.510 --> 37:12.510]  that really lives up to its name.
[37:12.510 --> 37:14.950]  Not about what weapons you have.
[37:14.950 --> 37:19.950]  It's how many solar clean living entities
[37:21.430 --> 37:23.510]  you have running the country.
[37:24.390 --> 37:28.270]  And that's how close Trump came to being the best,
[37:28.270 --> 37:29.430]  the best of the best,
[37:29.430 --> 37:31.790]  without knowing shit.
[37:31.790 --> 37:33.350]  Without trying, accidentally.
[37:33.350 --> 37:34.190]  Without knowing nothing.
[37:34.190 --> 37:35.710]  All he had to do is tell,
[37:36.350 --> 37:39.270]  okay, you take care of all the spy shit.
[37:39.270 --> 37:40.550]  Fix the roads, yeah.
[37:40.550 --> 37:43.230]  Yeah, and I'll just take a little bit
[37:43.230 --> 37:47.510]  from every constructor, contractor coming in
[37:47.510 --> 37:50.430]  to pay, just to work on the thing.
[37:50.430 --> 37:51.750]  How rich would he be?
[37:51.750 --> 37:53.630]  Even just shave off half a cent.
[37:53.630 --> 37:55.030]  Just shave off half a cent.
[37:55.030 --> 37:55.870]  Yes.
[37:55.870 --> 37:57.390]  You're still rich.
[37:57.390 --> 37:58.470]  Yes.
[37:58.470 --> 38:01.030]  And, but be loved.
[38:01.030 --> 38:02.510]  Be loved.
[38:02.510 --> 38:03.470]  You see?
[38:03.470 --> 38:06.350]  Now, is Biden gonna do it?
[38:07.430 --> 38:09.390]  Eh, could be.
[38:09.390 --> 38:10.630]  He's doing a lot.
[38:10.630 --> 38:12.430]  He's, with what he's got, you know.
[38:12.430 --> 38:15.270]  The Trumpians are throwing everything his way.
[38:15.270 --> 38:16.790]  I mean, I love the way,
[38:16.790 --> 38:18.590]  you talk about truth, man.
[38:18.590 --> 38:22.950]  I can't, I hardly go on my mails
[38:22.950 --> 38:26.590]  because every Democrat famous,
[38:26.590 --> 38:29.190]  or not famous, is begging for money.
[38:29.190 --> 38:30.030]  Right.
[38:30.030 --> 38:30.870]  Begging for money.
[38:30.870 --> 38:32.910]  Just, oh, we're closed for a minute, you know.
[38:33.270 --> 38:34.870]  Like Biden's behind in the polls.
[38:37.070 --> 38:40.310]  And what kills me is the manipulation is so obvious,
[38:40.310 --> 38:45.310]  you know, because my partner that I was with today,
[38:45.710 --> 38:48.030]  he said, you know, if Trump gets in,
[38:48.030 --> 38:49.630]  I said, gets in what?
[38:49.630 --> 38:50.710]  If he gets reelected?
[38:50.710 --> 38:52.150]  I said.
[38:52.150 --> 38:52.990]  Gets in trouble.
[38:52.990 --> 38:54.430]  No, you can't, no.
[38:54.430 --> 38:56.550]  He's an ex-banker.
[38:56.550 --> 38:58.190]  I said, no.
[38:58.190 --> 39:00.550]  Are you seriously thinking?
[39:00.550 --> 39:02.790]  But that's the way straight people think.
[39:03.710 --> 39:04.550]  You know, they do.
[39:04.550 --> 39:07.310]  He's very straight and they forget.
[39:08.270 --> 39:11.190]  They forget all the shit that Trump's done.
[39:11.190 --> 39:12.430]  And it's irreplaceable.
[39:12.430 --> 39:14.310]  You can't put it back in the bottle.
[39:14.310 --> 39:15.710]  No, no.
[39:15.710 --> 39:17.590]  We tend to, especially politically,
[39:17.590 --> 39:19.790]  have a really short-term memory.
[39:19.790 --> 39:21.630]  It's almost as fast as the news cycle.
[39:21.630 --> 39:24.070]  So people do forget.
[39:24.070 --> 39:25.590]  Like you were saying, though,
[39:25.590 --> 39:26.750]  some of the fundraising,
[39:26.750 --> 39:28.150]  and just even some of the rhetoric.
[39:28.150 --> 39:29.910]  I try to listen to everybody.
[39:29.910 --> 39:32.190]  Some of it is just so damn obvious.
[39:32.550 --> 39:35.710]  They gave up trying to con you 10 years ago.
[39:35.710 --> 39:38.710]  They're just like, boilerplate, here you go.
[39:38.710 --> 39:40.990]  Come on, funnel into this little corral.
[39:40.990 --> 39:41.830]  There you go.
[39:41.830 --> 39:43.030]  Yeah, yeah.
[39:43.030 --> 39:45.830]  Because it's the same old song.
[39:46.830 --> 39:49.310]  Money talks, bullshit walks.
[39:49.310 --> 39:53.590]  And that's why the weapons thing is so crazy.
[39:53.590 --> 39:56.110]  Because the gun manufacturers,
[39:56.110 --> 39:58.310]  they're making a shitload of money.
[39:58.310 --> 40:01.430]  But they're the dark side.
[40:02.550 --> 40:04.710]  And you have to have a dark side.
[40:04.710 --> 40:05.750]  If you don't have a dark side,
[40:05.750 --> 40:07.830]  you don't have a light side.
[40:07.830 --> 40:09.430]  So that's the darkest side.
[40:10.390 --> 40:13.470]  But you're not gonna win any elections with it.
[40:13.470 --> 40:14.310]  No.
[40:16.190 --> 40:18.510]  With what, everything's gone down now.
[40:19.390 --> 40:22.110]  I mean, we think about it,
[40:22.110 --> 40:23.790]  the pandemic took Trump out.
[40:25.190 --> 40:26.350]  It took him out.
[40:26.350 --> 40:27.590]  Yeah.
[40:28.150 --> 40:30.550]  All of a sudden, his lies don't mean shit.
[40:31.470 --> 40:32.510]  No, people-
[40:32.510 --> 40:33.870]  When are we gonna get the vaccine?
[40:33.870 --> 40:35.830]  That's all that anybody worried about.
[40:36.710 --> 40:37.670]  Or the mask.
[40:37.670 --> 40:40.270]  We were the shortage of masks.
[40:40.270 --> 40:41.270]  You know, what were we doing?
[40:41.270 --> 40:42.470]  We were washing our hands.
[40:42.470 --> 40:45.190]  Just, oh my God, maybe that'll help.
[40:47.550 --> 40:48.390]  Yeah.
[40:48.390 --> 40:52.470]  Yeah, that's one of those unmasked truths
[40:52.470 --> 40:55.430]  that we kind of got, just about supply chains
[40:55.430 --> 40:56.870]  and about what we actually make.
[40:57.830 --> 40:59.110]  Not being prepared.
[40:59.110 --> 41:00.870]  I think that would have been a challenge
[41:00.870 --> 41:03.510]  for any sitting president to deal
[41:03.510 --> 41:05.350]  because we've never faced anything like that.
[41:05.350 --> 41:07.030]  But certainly-
[41:07.030 --> 41:08.950]  That's what Trump took on the part.
[41:10.350 --> 41:13.670]  First of all, there is no, well, just use Lysol.
[41:15.070 --> 41:15.910]  Kshhh.
[41:17.910 --> 41:18.750]  Lysol.
[41:19.870 --> 41:21.270]  Oh my God.
[41:21.270 --> 41:22.110]  Oh my God.
[41:22.990 --> 41:23.830]  Oh my God.
[41:23.830 --> 41:25.750]  I love that guy.
[41:25.750 --> 41:26.590]  Yeah.
[41:27.310 --> 41:31.350]  I've written a lot of poems and shit about him.
[41:31.350 --> 41:34.310]  But like I said, my son took me on Twitter.
[41:35.270 --> 41:36.910]  I was gonna say, as a comedian,
[41:36.910 --> 41:39.350]  I'm sure it's just like daily fodder.
[41:39.350 --> 41:40.190]  You love it.
[41:40.190 --> 41:41.910]  You're just like, what's happening today?
[41:41.910 --> 41:43.310]  Oh, you know it.
[41:43.310 --> 41:44.150]  You know it.
[41:44.150 --> 41:46.590]  Well, there's the late night shows.
[41:47.510 --> 41:49.710]  Yeah, the South African kid.
[41:50.750 --> 41:52.070]  Yeah, Trevor Noah.
[41:52.070 --> 41:52.910]  Yeah, Trevor.
[41:52.910 --> 41:55.190]  Oh man, he's incredible.
[41:55.190 --> 41:56.030]  All of them.
[41:57.750 --> 42:01.830]  Oh, Joe Coy, you know, the Filipino comedian?
[42:01.830 --> 42:03.270]  I'm not.
[42:03.270 --> 42:04.310]  I'm not.
[42:04.310 --> 42:05.750]  I don't think so.
[42:05.750 --> 42:08.230]  I probably have, but not ringing the bell right now.
[42:08.230 --> 42:12.230]  Well, I went to his premiere of his movie, Easter.
[42:12.230 --> 42:13.070]  It's worth seeing.
[42:13.070 --> 42:15.670]  It is definitely worth seeing, you know.
[42:15.670 --> 42:19.230]  And it was fun watching him on the late night show
[42:19.230 --> 42:24.230]  with Jimmy Kimball and the other guy.
[42:25.630 --> 42:26.750]  Jimmy Fallon?
[42:26.750 --> 42:27.590]  Yeah, Fallon.
[42:27.590 --> 42:28.430]  Okay.
[42:28.430 --> 42:30.990]  I don't know why I can't remember Fallon's name.
[42:30.990 --> 42:33.150]  We were on, Teach and I were on his show one time,
[42:33.150 --> 42:33.990]  you know.
[42:35.590 --> 42:36.710]  Yeah, it was great.
[42:36.710 --> 42:38.230]  We had a lot of fun.
[42:38.230 --> 42:39.310]  Love New York.
[42:39.310 --> 42:40.430]  Awesome.
[42:40.430 --> 42:41.270]  Awesome.
[42:41.270 --> 42:44.630]  Well, real quick, I know we're kind of coming up
[42:44.630 --> 42:46.510]  to the end and there were,
[42:46.510 --> 42:48.630]  I'm sure we could go indefinitely,
[42:48.630 --> 42:50.390]  have many fascinating conversations,
[42:50.390 --> 42:52.590]  but I'm definitely gonna respect your time here.
[42:52.590 --> 42:53.950]  There were just a couple of things
[42:53.950 --> 42:57.110]  that was really important for me to bring up.
[42:57.110 --> 42:57.950]  Sure.
[42:57.950 --> 43:00.710]  Again, we were talking about the movies earlier
[43:00.710 --> 43:04.270]  and you know, this, okay.
[43:04.270 --> 43:08.390]  So a lot of people may know you from some of the movies
[43:08.390 --> 43:09.350]  and that's your character.
[43:09.350 --> 43:12.950]  And there's people who can walk into a cannabis dispensary
[43:12.950 --> 43:15.990]  now that may not have known
[43:15.990 --> 43:18.870]  that you are actually a prisoner of cannabis.
[43:18.870 --> 43:23.230]  This was almost 20 years ago now, in 2003,
[43:23.550 --> 43:25.230]  you went to prison for cannabis.
[43:25.230 --> 43:28.790]  And that I think is something that should not be forgotten
[43:28.790 --> 43:32.670]  or should ever be forgotten or just not even talked about
[43:32.670 --> 43:36.350]  because you served one of the ultimate prices
[43:36.350 --> 43:40.030]  for something that a lot of people take for granted today.
[43:40.030 --> 43:43.750]  So can you maybe just speak a little bit about that
[43:43.750 --> 43:47.390]  or maybe fill in people briefly who aren't familiar with it?
[43:47.390 --> 43:49.430]  Because again, I think it's so important
[43:49.430 --> 43:52.070]  to honor you as that as well.
[43:52.830 --> 43:55.310]  We were shooting a documentary at the time
[43:56.470 --> 43:59.230]  and it was like serendipity again,
[43:59.230 --> 44:04.230]  you know, like, okay, we need a really good middle here.
[44:04.390 --> 44:07.470]  The next thing you know,
[44:07.470 --> 44:11.950]  because I never had the feeling
[44:11.950 --> 44:13.870]  that they were out to get me.
[44:15.070 --> 44:17.630]  I never had that feeling at all
[44:17.630 --> 44:20.310]  because I'm loved everywhere I go.
[44:20.990 --> 44:23.110]  I never had an enemy.
[44:23.110 --> 44:26.110]  I never confronted an enemy ever.
[44:27.750 --> 44:32.350]  And so when they were trying to bust me on tape,
[44:32.350 --> 44:37.030]  you know, undercover cops come in Arlington, Texas
[44:37.030 --> 44:39.630]  and it was like a bad movie, you know.
[44:40.710 --> 44:43.590]  They were wearing T-shirts and headbands.
[44:43.590 --> 44:44.990]  Oh, wow.
[44:44.990 --> 44:47.110]  You don't know wearing headbands
[44:47.950 --> 44:52.430]  and knapsacks with a camera in the knapsack.
[44:52.430 --> 44:54.670]  And so they took me outside and talked to me
[44:54.670 --> 44:56.750]  and asked me about these bongs,
[44:56.750 --> 44:59.510]  they're not just for smoking tobacco, are they?
[44:59.510 --> 45:01.150]  No, hell no.
[45:01.150 --> 45:02.710]  For pot, you know, marijuana.
[45:02.710 --> 45:06.470]  So I did everything they were looking for it to do.
