[00:00.000 --> 00:00.840]  Exactly.
[50:10.330 --> 50:13.170]  What Toad was talking about there is that incense,
[50:13.170 --> 50:15.290]  not so much cat piss in those.
[50:15.290 --> 50:16.730]  I haven't found much cat piss.
[50:16.730 --> 50:19.090]  So what I do is I find something.
[50:19.090 --> 50:20.530]  I wasn't expecting it with that.
[50:20.530 --> 50:23.210]  But when I find something like that, that's similar,
[50:23.210 --> 50:25.490]  I open pollinate it so I can take a look
[50:25.490 --> 50:29.430]  at the broader family, like what all is in there.
[50:30.430 --> 50:35.430]  And when you do that, you get to see a little bit more
[50:36.310 --> 50:39.290]  than just that little 10 or 18 pack that you get.
[50:41.430 --> 50:42.270]  So.
[50:42.270 --> 50:44.710]  I'm just throwing up comments.
[50:44.710 --> 50:46.670]  He's absolutely right, man.
[50:46.670 --> 50:50.790]  Okay, so the, that Dreamtime,
[50:52.190 --> 50:53.670]  you get a lot of Frankie in there.
[50:53.670 --> 50:55.470]  There's a lot of that frankincense stuff.
[50:55.470 --> 50:57.150]  There's sandalwood.
[50:57.150 --> 51:00.150]  There's just like split greenwood.
[51:00.150 --> 51:01.430]  That's in a lot of the hazes,
[51:01.430 --> 51:03.070]  like a split greenwood flavor.
[51:04.950 --> 51:06.870]  Yeah, like he says, nothing really sweet.
[51:06.870 --> 51:08.590]  There's some skunky stuff in there too,
[51:08.590 --> 51:13.230]  because this is, you know, it's just one of Shanti's hybrids
[51:13.230 --> 51:17.270]  that he was doing somewhere along the line.
[51:17.270 --> 51:19.990]  It was, yeah.
[51:19.990 --> 51:22.750]  So that stuff, and it's pretty stable.
[51:22.750 --> 51:24.490]  You don't get a lot of Hermes and stuff.
[51:24.490 --> 51:27.070]  Whereas with, you asked me what my favorite was.
[51:27.910 --> 51:31.750]  My favorite is that Haze times skunk number one from Sam.
[51:31.750 --> 51:34.670]  And I ordered that from Cultivator's Choice
[51:34.670 --> 51:36.470]  from, through Gypsy.
[51:36.470 --> 51:37.310]  And-
[51:37.310 --> 51:39.550]  So that's the other one that I have going.
[51:39.550 --> 51:41.270]  Yes, and I did the same with that,
[51:41.270 --> 51:43.270]  is I open pollinated everything that was,
[51:43.270 --> 51:46.430]  and everything that came out of that was pretty good.
[51:46.430 --> 51:49.610]  So, and I didn't have, I had fewer to choose from,
[51:49.610 --> 51:50.590]  so it couldn't be picky.
[51:50.590 --> 51:53.470]  So there was a few males and a few females,
[51:53.470 --> 51:57.190]  open blew that and searched through those.
[51:57.190 --> 52:01.150]  And what I found in there was some amazing, amazing stuff.
[52:01.150 --> 52:05.350]  It was a lot of that cat pissy stuff.
[52:05.350 --> 52:09.150]  There was some like indescribable flavors in there.
[52:09.150 --> 52:12.390]  Like nothing, I wouldn't say it was like tropical,
[52:12.390 --> 52:14.550]  but that was the vibe that it got, gave me.
[52:14.550 --> 52:19.550]  There's just like a funky, like pirate sweat or something.
[52:20.110 --> 52:20.950]  I don't know.
[52:20.950 --> 52:22.550]  It was just like weird.
[52:22.550 --> 52:27.550]  Like, so yeah, this, but what I liked about those plants,
[52:29.510 --> 52:30.910]  well, let me talk about what I don't like
[52:30.910 --> 52:31.950]  about those plants first,
[52:31.950 --> 52:35.130]  is because I like so much about those Haystack skunk ones.
[52:35.130 --> 52:37.390]  What I don't like about the Haystack skunk one
[52:37.390 --> 52:40.550]  is that they're almost guaranteed to harm on you.
[52:40.550 --> 52:44.190]  Some harm later than others, but they are very hermy.
[52:44.190 --> 52:48.030]  And I'm not, this isn't a knock on Sam or anything like that,
[52:48.030 --> 52:49.190]  Dave, whatever.
[52:49.190 --> 52:54.190]  He, it's, I may have just, those original plants,
[52:55.070 --> 52:56.830]  I got one in there that just does it.
[52:56.830 --> 53:00.410]  And that's just the way that it is, but it is great smoke.
[53:00.410 --> 53:03.870]  And the ones that I really like are the string of pearl.
[53:03.870 --> 53:06.070]  Haze is like, there's just like a calyx,
[53:06.070 --> 53:07.750]  like calyx here, calyx there.
[53:07.750 --> 53:10.630]  And there's like a little bit of space in between them.
[53:10.630 --> 53:13.190]  And you just like, not that little,
[53:13.190 --> 53:15.850]  it's not even a nug, that little string up
[53:15.850 --> 53:17.190]  and shove it in your bowl.
[53:17.190 --> 53:19.270]  And it'll just send you to heaven.
[53:19.270 --> 53:20.750]  And it never stops.
[53:20.750 --> 53:23.750]  Like it's, I love those plants.
[53:23.750 --> 53:25.950]  And I found several of them like that in there.
[53:25.950 --> 53:27.430]  Cause you only keep them around so much
[53:27.430 --> 53:28.510]  cause you get so pissed off
[53:28.510 --> 53:31.150]  fucking picking herms out of them.
[53:31.150 --> 53:32.350]  But stuff like that, you know,
[53:32.350 --> 53:33.910]  it's not for the commercial guy,
[53:33.910 --> 53:35.830]  but it's for somebody who wants some head stash.
[53:35.830 --> 53:37.790]  You got somebody special coming over,
[53:37.790 --> 53:39.030]  you want to impress them?
[53:39.030 --> 53:41.710]  Here, get out the old man weed.
[53:41.710 --> 53:42.950]  Let's have some of that.
[53:43.190 --> 53:48.190]  So yeah, my favorite was the Haze x Skunk One.
[53:48.990 --> 53:50.950]  And that's enough sativa for me.
[53:50.950 --> 53:55.630]  Like I can only imagine what Toad's plants are like.
[53:55.630 --> 53:58.990]  That being pure hazes, like from that area and everything.
[53:58.990 --> 54:00.830]  It's like, I could only,
[54:00.830 --> 54:03.150]  they were probably like what I saw in that plant
[54:03.150 --> 54:04.310]  that I threw away at Shanti's.
[54:04.310 --> 54:08.310]  It was just like four inches between the nodes and shit.
[54:08.310 --> 54:09.790]  Should we ask them?
[54:09.790 --> 54:10.830]  Yeah, man.
[54:10.830 --> 54:12.150]  I love to talk to Toad.
[54:13.910 --> 54:14.750]  Up.
[54:16.550 --> 54:18.510]  Some of that NorCal internet.
[54:18.510 --> 54:20.110]  Yeah.
[54:20.110 --> 54:23.270]  That was his dramatic entry and it's a black screen.
[54:24.230 --> 54:26.350]  It seems like all the guys up there, man,
[54:26.350 --> 54:28.910]  they're really in, out there in it
[54:28.910 --> 54:31.390]  because they all have shitty internet, man.
[54:31.390 --> 54:33.470]  Like all the really good guys up there.
[54:33.470 --> 54:38.270]  Our dramatic entrance ruined by crappy internet.
[54:38.270 --> 54:41.310]  So you just see black below us, right?
[54:41.310 --> 54:42.470]  Yeah, that's all I see.
[54:43.070 --> 54:43.910]  Okay.
[54:43.910 --> 54:47.870]  Mr. Toad will be on shortly as soon as the, yeah,
[54:47.870 --> 54:48.710]  get in there.
[54:48.710 --> 54:51.430]  Get in there Toad.
[54:51.430 --> 54:53.350]  Everybody will his internet.
[54:54.510 --> 54:56.110]  Yeah, cause I'd like to see some,
[54:56.110 --> 54:58.950]  like ask him about some of the stuff that he's seen
[54:58.950 --> 55:00.590]  in those hazes, like,
[55:00.590 --> 55:02.550]  because he's seen the pure shit.
[55:05.510 --> 55:06.990]  Go to the end of the driveway.
[55:08.150 --> 55:11.550]  And the stuff that I started off on was NL Haze.
[55:11.550 --> 55:13.470]  And it's nice.
[55:13.470 --> 55:16.990]  Like my favorite plant out of there was called the dog shit.
[55:16.990 --> 55:19.950]  And it was just, it smelled like dog shit
[55:19.950 --> 55:22.870]  and it tasted like almost nothing,
[55:22.870 --> 55:25.350]  but it would just, oh, it'd annihilate you.
[55:26.470 --> 55:31.230]  It would give some people like a real bad anxiety attacks.
[55:31.230 --> 55:32.070]  Oh, here we go.
[55:32.070 --> 55:33.110]  We're gonna try it again.
[55:36.190 --> 55:37.310]  There's the Toad.
[55:38.270 --> 55:39.190]  Here we go.
[55:40.510 --> 55:41.350]  How y'all doing?
[55:41.350 --> 55:42.390]  What's up man?
[55:42.390 --> 55:44.110]  How you guys doing?
[55:44.110 --> 55:46.070]  All right, all right.
[55:46.070 --> 55:47.830]  So you had some questions.
[55:48.910 --> 55:51.230]  Oh, go ahead.
[55:52.710 --> 55:55.150]  You have questions for me or I have questions,
[55:55.150 --> 55:56.430]  the questions I have for him.
[55:56.430 --> 55:58.190]  You had a question for Mr. Toad
[55:58.190 --> 55:59.910]  and he was gonna make his dramatic entrance.
[55:59.910 --> 56:00.750]  Yes, yes.
[56:02.670 --> 56:06.190]  All right, your haze is like a pure haze
[56:06.190 --> 56:08.670]  from up in NorCal and all of that, right?
[56:08.670 --> 56:09.990]  Yes.
[56:09.990 --> 56:11.990]  Yeah, man, I got my haze in 2000.
[56:11.990 --> 56:13.110]  The one I'm using now,
[56:13.110 --> 56:16.550]  I got in 2011 through a trade with a girl that passed away.
[56:16.550 --> 56:19.470]  I traded her my milk and cookie strain
[56:19.470 --> 56:22.350]  and the Girl Scout cookie clone when it first came out.
[56:22.350 --> 56:24.590]  She hit me up and asked to do some trading.
[56:24.590 --> 56:27.150]  I've already bred with haze for years since 96.
[56:27.150 --> 56:28.910]  I've been using haze in some crosses.
[56:28.910 --> 56:31.110]  So when she gave it to me,
[56:31.110 --> 56:34.350]  I didn't wanna put a pure haze out like an F4 like I did.
[56:34.350 --> 56:36.230]  So I made a cross called my Space Tiva,
[56:36.230 --> 56:41.230]  which is the original haze F3 cross to my angel male.
[56:41.590 --> 56:44.390]  And that thing puts out 50% purple phenotypes
[56:44.390 --> 56:46.630]  out of that cross.
[56:46.630 --> 56:48.790]  The purple that comes out of the original haze,
[56:48.790 --> 56:50.550]  which is also known as the magenta
[56:50.550 --> 56:52.670]  or the first root beer strain.
[56:52.670 --> 56:54.710]  That was the line that pulls out
[56:54.710 --> 56:56.990]  and matches up quite well with my angel,
[56:56.990 --> 57:00.190]  which likes to drop a lot of color and do different lines.
[57:00.190 --> 57:02.670]  So that one's a three-way Colombian.
[57:02.710 --> 57:05.470]  It's the Punto Rojo, the magenta Colombian
[57:05.470 --> 57:09.670]  and a green, what they call the silver Colombian.
[57:09.670 --> 57:14.230]  It came over here and it was crossed to a Corella India tie.
[57:14.230 --> 57:17.390]  So that's the full genetic breakdown on mine.
[57:17.390 --> 57:19.990]  There's also hazes that are just that three-way haze.
[57:19.990 --> 57:23.510]  Then you've got hazes that added an Afghani to the mix.
[57:24.510 --> 57:27.830]  And then from there, you get the Northern Light five crosses,
[57:27.830 --> 57:31.690]  the Skunk One crosses, the Bat crosses that come in there
[57:31.690 --> 57:34.170]  that Neville talks about finding all the catfish strains
[57:34.170 --> 57:37.290]  out of when he starts making F2s and F3s out of the line.
[57:37.290 --> 57:39.610]  Some of the phenotypes start to pop out of there
[57:39.610 --> 57:41.690]  or you start finding like more of the,
[57:41.690 --> 57:43.170]  it'll be easier to line breed
[57:43.170 --> 57:44.650]  in different phenotype directions.
[57:44.650 --> 57:47.490]  Like you're saying that electric taste,
[57:47.490 --> 57:49.610]  it's almost metallic in your mouth.
[57:49.610 --> 57:53.650]  There's also some citrusy stuff that comes out.
[57:53.650 --> 57:57.330]  They're not gonna be like tangy or nothing,
[57:57.330 --> 58:00.810]  but they have a back note on top of all the other stuff
[58:00.810 --> 58:04.970]  we've talked about there, that pissy, incense-y, leathery.
[58:07.490 --> 58:10.810]  It's like raw meat almost, the way it comes through,
[58:10.810 --> 58:13.090]  like the way blood in your mouth, that metallic flavor.
[58:13.090 --> 58:13.930]  That's it's just crazy.
[58:13.930 --> 58:16.050]  Yeah, that's a great way to describe it.
[58:16.050 --> 58:16.890]  Yeah. Yeah.
[58:16.890 --> 58:18.890]  And I get that from like, when I passed it to a lot of,
[58:18.890 --> 58:21.770]  I have a lot of friends that are Ross from Virgin Islands
[58:21.770 --> 58:24.490]  and shit, a lot of the Bobos, when they smoke it,
[58:24.490 --> 58:26.490]  all they tell me is that it tastes like food.
[58:26.490 --> 58:28.370]  And that's what they keep bringing up out of there,
[58:28.370 --> 58:30.010]  that to them, it tastes like a food.
[58:30.610 --> 58:32.090]  It's so complex.
[58:32.090 --> 58:34.810]  That could be that spiciness that I was talking about.
[58:34.810 --> 58:35.850]  Like pirate sweat.
[58:35.850 --> 58:38.090]  It's like, it's really strange.
[58:38.090 --> 58:39.130]  It's weird.
[58:39.130 --> 58:41.330]  Haze is a complex line, man.
[58:41.330 --> 58:42.970]  What can come out of those crosses
[58:42.970 --> 58:44.690]  that came out of the original,
[58:44.690 --> 58:46.570]  and what was called pure haze,
[58:46.570 --> 58:48.330]  the Colombians are called pure hazes,
[58:48.330 --> 58:50.330]  and then brought here called original hazes.
[58:50.330 --> 58:52.810]  And then there's three different versions of that original
[58:52.810 --> 58:55.890]  that I know of, that I found track down to.
[58:55.890 --> 58:56.730]  And then from there,
[58:56.730 --> 58:58.130]  everybody starts breeding them into the nineties,
[58:58.130 --> 58:59.410]  and everyone in the nineties thinks
[58:59.410 --> 59:00.930]  all those hazes are pure hazes,
[59:00.930 --> 59:05.130]  like the PIF, the COF, the PUDE, church,
[59:05.130 --> 59:07.370]  all these plants, Frankie,
[59:07.370 --> 59:09.090]  they all think that those are pure hazes,
[59:09.090 --> 59:11.570]  when in fact, most of them are an NL five cross,
[59:11.570 --> 59:12.810]  or they've got the,
[59:12.810 --> 59:15.770]  which means they're a Afghani Hawaiian haze.
[59:15.770 --> 59:19.090]  And that's a extreme polyhybrid now, which they're killer.
[59:19.090 --> 59:21.370]  I mean, some of the best herb that's ever been found
[59:21.370 --> 59:22.330]  came out of those lines,
[59:22.330 --> 59:24.690]  but a lot of the newer people don't know
[59:24.690 --> 59:26.690]  that those aren't the true hazes.
[59:26.730 --> 59:28.970]  They just, those are hazes, right?
[59:28.970 --> 59:32.170]  And so everyone starts to think that those terpene profiles
[59:32.170 --> 59:34.850]  are the profiles that the real hazes carry.
[59:34.850 --> 59:37.650]  And some of those aren't like super silver haze.
[59:37.650 --> 59:39.530]  That isn't a pure haze selection.
[59:39.530 --> 59:41.050]  It's a hybrid.
[59:41.050 --> 59:45.050]  You've got a Neville's avian hybrid.
[59:45.050 --> 59:47.370]  When you throw in that NL five and then back cross on it,
[59:47.370 --> 59:49.530]  you start getting a lot of different structure,
[59:49.530 --> 59:51.010]  a lot of different terpene profiles
[59:51.010 --> 59:52.770]  that come out of that line.
[59:52.770 --> 59:53.810]  And they're all killer.
[59:53.810 --> 59:55.490]  So that's what's killer about being able
[59:55.490 --> 59:58.730]  to go back into a haze and work your way back
[59:58.730 --> 59:59.690]  to the future, right?
[59:59.690 --> 01:00:02.690]  Instead of starting with everybody else's cross,
[01:00:02.690 --> 01:00:04.810]  if you go into as far back as you can,
[01:00:04.810 --> 01:00:08.170]  you can start pulling out these spectacular lines
[01:00:08.170 --> 01:00:09.730]  that are going to be killer, man.
[01:00:09.730 --> 01:00:11.290]  Old herb is not bad.
[01:00:11.290 --> 01:00:14.330]  It was just harvested too early and sold to everybody
[01:00:14.330 --> 01:00:16.010]  because we wanted fucking weed beds.
[01:00:16.010 --> 01:00:17.610]  So they pressed it with all the seeds in it,
[01:00:17.610 --> 01:00:19.050]  shit sprayed all over it.
[01:00:19.050 --> 01:00:20.410]  It wasn't finished.
[01:00:20.410 --> 01:00:22.650]  And now we're taking the time to finish these plants out
[01:00:22.650 --> 01:00:25.330]  and we can find out what the true power of them is.
[01:00:26.170 --> 01:00:30.370]  My haze, the F3 mother, tested at 24% THC,
[01:00:30.370 --> 01:00:34.290]  4% CBD and 5.7 CBG.
[01:00:34.290 --> 01:00:37.810]  She's got an extremely wide cannabinoid profile
[01:00:37.810 --> 01:00:39.410]  compared to some of these other lines
[01:00:39.410 --> 01:00:43.170]  that even under full sun can't even hit like 22%.
[01:00:43.170 --> 01:00:45.330]  And then they don't have any terpenes to back them up.
[01:00:45.330 --> 01:00:48.050]  So you're just smoking out fucking rolled up wood.
[01:00:48.050 --> 01:00:48.890]  Yeah.
[01:00:48.890 --> 01:00:51.650]  Just straight hay.
[01:00:52.610 --> 01:00:54.290]  That's a lot of,
[01:00:54.290 --> 01:00:56.690]  found a lot of people that they think that that,
[01:00:56.690 --> 01:00:59.090]  if it's not Jack, it's not haze,
[01:00:59.090 --> 01:01:02.490]  or it's either haze that comes out like hay.
[01:01:02.490 --> 01:01:03.330]  Yeah.
[01:01:03.330 --> 01:01:04.930]  So it's kind of like you did with the black domino.
[01:01:04.930 --> 01:01:06.010]  If you don't do the research
[01:01:06.010 --> 01:01:09.050]  and find out there was multiple different versions of it
[01:01:09.050 --> 01:01:11.330]  done for specific reasons,
[01:01:11.330 --> 01:01:13.810]  you're just searching for a story that you either remember
[01:01:13.810 --> 01:01:15.250]  or someone told you,
[01:01:15.250 --> 01:01:17.210]  or that you're wishing that you could be the next guy
[01:01:17.210 --> 01:01:18.810]  to tell, right?
[01:01:18.810 --> 01:01:21.410]  For real, that's 90% of the cannabis community
[01:01:22.170 --> 01:01:23.290]  right now, everybody out here trying to push
[01:01:23.290 --> 01:01:26.210]  the next best thing that was the last thing we gave up.
[01:01:26.210 --> 01:01:28.410]  And it's not the same version of what we were even after.
[01:01:28.410 --> 01:01:30.010]  And people just buying into the bullshit
[01:01:30.010 --> 01:01:32.090]  and nobody does the research on it.
[01:01:32.090 --> 01:01:32.970]  Yeah.
[01:01:32.970 --> 01:01:35.090]  And they're chasing other people's flavors.
[01:01:35.090 --> 01:01:38.250]  It's like, they don't know that they have their own tastes.
[01:01:38.250 --> 01:01:39.250]  Exactly, man.
[01:01:39.250 --> 01:01:40.090]  Exactly.
[01:01:40.090 --> 01:01:43.090]  Like I'm a guy that doesn't like to smoke lavender
[01:01:43.090 --> 01:01:46.810]  or lemons or specifically green crack.
[01:01:46.810 --> 01:01:48.770]  Those are the strains that I don't get down with,
[01:01:48.770 --> 01:01:50.770]  but other people find them magnificent, right?
[01:01:50.810 --> 01:01:51.930]  And I know they're good.
[01:01:51.930 --> 01:01:55.810]  I've ran a collective that pushed medicinal properties
[01:01:55.810 --> 01:01:58.810]  of the plant instead of the THC numbers.
[01:01:58.810 --> 01:02:01.090]  So we know what plants work when I ran through there.
[01:02:01.090 --> 01:02:03.410]  So they do have potential with people.
[01:02:03.410 --> 01:02:05.130]  They also are antagonistic to others.
[01:02:05.130 --> 01:02:06.690]  That's how you find out,
[01:02:06.690 --> 01:02:10.610]  when you run 176 lines through 4,000 people,
[01:02:10.610 --> 01:02:12.690]  you eventually find out 10% of that population
[01:02:12.690 --> 01:02:13.770]  cannot handle this strain,
[01:02:13.770 --> 01:02:16.770]  no matter what 90% of them can, right?
[01:02:16.770 --> 01:02:18.850]  And that's how we need to be with this plant.
[01:02:18.850 --> 01:02:21.690]  We need to start steering it towards the medicinal side
[01:02:21.690 --> 01:02:24.970]  of by utilizing the information the patients bring
[01:02:24.970 --> 01:02:26.610]  instead of what that test number says.
[01:02:26.610 --> 01:02:28.570]  Cause that test number is really nothing.
[01:02:28.570 --> 01:02:30.530]  It's a very small percentage of a piece
[01:02:30.530 --> 01:02:32.250]  they took off the top of a plant.
[01:02:32.250 --> 01:02:33.810]  So you get the highest numbers.
[01:02:34.610 --> 01:02:36.890]  And then you're selling them the very bottom of the plant
[01:02:36.890 --> 01:02:38.850]  because that's all that's left on the jar, right?
[01:02:38.850 --> 01:02:40.650]  And that's just been packaged up for three months.
[01:02:40.650 --> 01:02:42.850]  It starts to age, the CBN number goes up,
[01:02:42.850 --> 01:02:45.010]  the terpene profile goes down.
[01:02:45.010 --> 01:02:46.530]  It's not what you said.
[01:02:46.530 --> 01:02:47.930]  And the person gets it and smokes it
[01:02:47.930 --> 01:02:50.330]  and they're pissed off because it don't taste good.
[01:02:50.330 --> 01:02:51.690]  The shit was harsh.
[01:02:51.690 --> 01:02:55.970]  And now they've already started off on a bad foothold, right?
[01:02:55.970 --> 01:02:57.490]  So they already started off negatively.
[01:02:57.490 --> 01:02:58.410]  So now everywhere they go,
[01:02:58.410 --> 01:03:00.410]  that line doesn't have a medicinal effect to them
[01:03:00.410 --> 01:03:03.770]  because the first place sold them some fucking meds
[01:03:03.770 --> 01:03:04.890]  or some rolled up wood,
[01:03:04.890 --> 01:03:06.250]  whatever you want to call this shit,
[01:03:06.250 --> 01:03:09.290]  instead of being prideful in the fact
[01:03:09.290 --> 01:03:12.250]  that they're using medicine to sell to these patients.
[01:03:12.250 --> 01:03:13.330]  Unless you're in the rec market,
[01:03:13.330 --> 01:03:14.610]  and then that's a whole different story.
[01:03:14.610 --> 01:03:16.650]  Go ahead and smoke on your vapes,
[01:03:16.690 --> 01:03:17.530]  puffed and vapes.
[01:03:17.530 --> 01:03:18.370]  Yeah.
[01:03:18.370 --> 01:03:19.210]  Yeah.
[01:03:19.210 --> 01:03:20.050]  Yeah.
[01:03:20.050 --> 01:03:20.890]  Pins are ridiculous.
[01:03:21.890 --> 01:03:22.730]  All right.
[01:03:22.730 --> 01:03:25.490]  So going back to the thing you showed at the beginning
[01:03:25.490 --> 01:03:26.890]  with the chromosomes.
[01:03:26.890 --> 01:03:28.770]  Yeah, I sent pictures to Peter.
[01:03:28.770 --> 01:03:31.330]  He could show up here that shows that the male chromosome
[01:03:31.330 --> 01:03:33.610]  in cannabis is larger than the female.
[01:03:33.610 --> 01:03:38.250]  The mega base on a male cannabis is 843 mega base.
[01:03:38.250 --> 01:03:41.370]  And the mega base for females is 814, I believe,
[01:03:41.370 --> 01:03:42.770]  or it's 818.
[01:03:42.770 --> 01:03:43.970]  So in cannabis,
[01:03:43.970 --> 01:03:48.650]  males offer a larger potential for the genetic coding
[01:03:48.650 --> 01:03:49.930]  that's in that line.
[01:03:49.930 --> 01:03:51.690]  So there's a possibility that the purple
[01:03:51.690 --> 01:03:54.610]  or the mutation in the leaf is coming from the male side
[01:03:54.610 --> 01:03:56.570]  and you're breeding it through females.
[01:03:56.570 --> 01:03:58.010]  And it's never showing up
[01:03:58.010 --> 01:04:01.810]  because it's highly recessive on the males gamuts.
[01:04:01.810 --> 01:04:05.010]  So in cannabis, the male is larger.
[01:04:05.010 --> 01:04:07.730]  It's not very much larger, but it's larger.
[01:04:08.810 --> 01:04:09.770]  Huh?
[01:04:09.770 --> 01:04:11.650]  That's interesting.
[01:04:11.650 --> 01:04:14.530]  I thought that it correlated to the same as ours.
[01:04:14.530 --> 01:04:16.650]  No, I sent it over to Peter.
[01:04:16.650 --> 01:04:19.730]  It's in the lines on the Gmail.
[01:04:19.730 --> 01:04:21.170]  It says mega base.
[01:04:21.170 --> 01:04:22.570]  There's two pictures.
[01:04:22.570 --> 01:04:24.810]  Yeah, I'm going there.
[01:04:24.810 --> 01:04:28.570]  That's just so people know I'm not just making shit up.
[01:04:28.570 --> 01:04:31.210]  I do like to show a little bit of information with it.
[01:04:31.210 --> 01:04:33.570]  So, and it's not to bust nobody out, man.
[01:04:33.570 --> 01:04:35.930]  It's just to pass the information.
[01:04:35.930 --> 01:04:38.210]  The fact that the males carry more information
[01:04:38.210 --> 01:04:40.210]  and a majority of our breeding is done
[01:04:40.250 --> 01:04:43.010]  through feminized seeds these days with auto flowers
[01:04:43.010 --> 01:04:45.530]  and with everybody deciding they don't want to give you
[01:04:45.530 --> 01:04:48.330]  the male to breed with because they know for a fact
[01:04:48.330 --> 01:04:51.330]  that when they offer you a female that's been S1
[01:04:51.330 --> 01:04:54.410]  it's an F2 version that's being line bred.
[01:04:54.410 --> 01:04:56.250]  And you're not getting the full expression
[01:04:56.250 --> 01:04:58.250]  of that genetic possibility.
[01:04:58.250 --> 01:05:01.250]  You're basically getting sold only half the line, man.
[01:05:01.250 --> 01:05:05.130]  And only one phenotypes expression of that line.
[01:05:05.130 --> 01:05:06.850]  When you could do an open population of
[01:05:06.850 --> 01:05:09.850]  with as many males and as many females of that line
[01:05:10.490 --> 01:05:13.450]  and offer that to people or start breeding true F1s.
[01:05:13.450 --> 01:05:15.170]  Like we're not breeding true F1s out here.
[01:05:15.170 --> 01:05:18.130]  Most of us are passing off polyhybrids to people
[01:05:18.130 --> 01:05:20.170]  and everyone's expecting true breeding lines
[01:05:20.170 --> 01:05:22.330]  out of these things and they can't do it.
[01:05:22.330 --> 01:05:24.850]  The cannabis offers 30,000 gamuts to pass
[01:05:24.850 --> 01:05:26.370]  when it breeds each time.
[01:05:26.370 --> 01:05:31.050]  And I guarantee you, I can't even give you 30 of them
[01:05:31.050 --> 01:05:32.930]  that I can list off the top of my head
[01:05:32.930 --> 01:05:34.970]  that are gonna be the same in every plant.
[01:05:34.970 --> 01:05:37.650]  Everybody wants a plant not to be a morphodite
[01:05:37.650 --> 01:05:40.090]  when it's driven through endogenous hormones.
[01:05:40.090 --> 01:05:41.730]  So if I switch up the heat in the room
[01:05:41.730 --> 01:05:43.810]  or how much water I put on the plant
[01:05:43.810 --> 01:05:48.010]  or one night my heater goes out and it's cold that night.
[01:05:48.010 --> 01:05:50.690]  All these things are what's affecting that plant's
[01:05:50.690 --> 01:05:53.130]  phenotypical expression in that environment.
[01:05:53.130 --> 01:05:56.770]  And the more you run a plant from seed in that environment
[01:05:56.770 --> 01:05:58.930]  instead of running it in that environment
[01:05:58.930 --> 01:06:01.970]  till it's acclimated and then taking cuttings
[01:06:01.970 --> 01:06:04.010]  and running the cuttings off of that mom.
[01:06:04.010 --> 01:06:06.250]  You don't even have an idea of how that plant's
[01:06:06.250 --> 01:06:08.650]  truly expressing itself in your environment.
[01:06:08.650 --> 01:06:10.010]  And then you should take cuttings and run it
[01:06:10.010 --> 01:06:13.690]  in another environment to verify what you believe is true.
[01:06:13.690 --> 01:06:16.530]  Otherwise you just, it's the guessing game.
[01:06:16.530 --> 01:06:18.010]  That's where pro science comes from.
[01:06:18.010 --> 01:06:21.450]  We keep, we just keep deciding that what we see
[01:06:21.450 --> 01:06:24.490]  and this particular moment of time is the facts
[01:06:24.490 --> 01:06:27.450]  of what's happening instead of diving in to find out again
[01:06:27.450 --> 01:06:29.370]  like what you did with black domino.
[01:06:29.370 --> 01:06:33.290]  If I decide that the black domino fifth generation
[01:06:33.290 --> 01:06:36.010]  has this clone or this genetics and I stick to it
[01:06:36.770 --> 01:06:37.610]  and I never decide to check,
[01:06:37.610 --> 01:06:39.810]  I never find out that what I believed was in it
[01:06:39.810 --> 01:06:42.290]  actually wasn't in it and it was another line, right?
[01:06:42.290 --> 01:06:44.730]  I'm just stuck on stupid with the information I wanted to
[01:06:44.730 --> 01:06:47.890]  know instead of finding out the information that's truly
[01:06:47.890 --> 01:06:49.850]  out there and you're not gonna find it in one form.
[01:06:49.850 --> 01:06:52.210]  You gotta dive into multiple forms.
[01:06:52.210 --> 01:06:54.010]  You need to dive into multiple stories.
[01:06:54.010 --> 01:06:56.810]  The same person told to see if you ever switched it up,
[01:06:56.810 --> 01:06:59.170]  find out what's really going on with the plant.
[01:06:59.170 --> 01:07:01.690]  We putting people on pedestals and the stories that they have
[01:07:01.690 --> 01:07:03.610]  is the actual bedrock.
[01:07:03.610 --> 01:07:05.650]  That's the foundation to that story.
[01:07:06.290 --> 01:07:08.890]  The plants, the actual roots that started everything.
[01:07:08.890 --> 01:07:11.890]  Find out the actual facts of what they're passing around.
[01:07:11.890 --> 01:07:15.170]  If one year all of a sudden the story fucking changes,
[01:07:15.170 --> 01:07:16.850]  chances are the story changed, right?
[01:07:16.850 --> 01:07:18.530]  There wasn't right in the first place, right?
[01:07:18.530 --> 01:07:21.050]  All of a sudden, some of you got too high,
[01:07:21.050 --> 01:07:23.330]  you know, the plant's gonna tell you like with hazes,
[01:07:23.330 --> 01:07:26.370]  they're gonna be thin leaved, extremely long flower,
[01:07:26.370 --> 01:07:29.330]  tall as a son of a bitch, hard to control indoors.
[01:07:30.210 --> 01:07:33.570]  They're gonna come out like some shit you didn't wanna
[01:07:33.570 --> 01:07:35.170]  smoke indoors until you smoke them
[01:07:35.170 --> 01:07:37.210]  and then you're gonna wonder why all these other plants
[01:07:37.210 --> 01:07:38.850]  look like they do, but don't affect me
[01:07:38.850 --> 01:07:40.250]  the way this one does.
[01:07:40.250 --> 01:07:42.770]  And it's because we keep breeding for our eyes
[01:07:42.770 --> 01:07:45.690]  and bag of pill and test numbers that come up
