[00:06.840 --> 00:08.840]  We live?
[29:54.710 --> 29:55.710]  Yeah, everyone's doing it.
[29:55.710 --> 30:11.680]  Everyone's giving me a hard time for the internet connection right now.
[30:11.680 --> 30:18.560]  As I said earlier, my connection is choppy right now.
[30:18.560 --> 30:20.320]  You're fading in and out.
[30:20.320 --> 30:21.320]  I know.
[30:21.320 --> 30:24.320]  Why don't you just keep talking?
[30:24.320 --> 30:47.960]  I'm just waiting for all this water to come down.
[30:47.960 --> 30:53.520]  It was about 30 gallons, so it'll take about maybe 10 more minutes.
[30:53.520 --> 30:54.520]  We're going to rush hash.
[30:54.520 --> 31:00.840]  After we take this 220 out, we're going to put it back into the truck again.
[31:00.840 --> 31:06.960]  And then we're going to start washing up the stuff, the hash down, the rest of the
[31:06.960 --> 31:11.240]  bags, starting with the 190 and all the way down to the 220.
[31:11.240 --> 31:12.240]  And see what we get.
[31:12.240 --> 31:13.240]  Hopefully we get something, man.
[31:13.240 --> 31:27.190]  You know, sometimes you get those things that disappoint, but we'll find out.
[31:27.190 --> 31:30.510]  And again, the goal is to get some milk.
[31:30.510 --> 31:34.710]  You want to get some nice clean medicine.
[31:34.710 --> 31:41.590]  Of course, we are thankful to get whatever we can get to sleep.
[31:41.590 --> 32:00.040]  But you know, you want to get the good stuff.
[32:00.040 --> 32:01.040]  Any questions, anybody?
[32:01.040 --> 32:03.240]  We're just waiting for the stuff to drain out.
[32:03.240 --> 32:05.760]  It's getting kind of chilly in here.
[32:05.760 --> 32:10.480]  I'm actually glad that that 60, 61 degrees.
[32:11.480 --> 32:16.480]  The freeze dryer has been running for about two hours.
[32:16.480 --> 32:22.160]  We're getting the temperature down to wherever it needs to be, so we're ready.
[32:22.160 --> 32:26.400]  As soon as this stuff comes in, or comes out, as you say, you can put it in trays and start
[32:26.400 --> 32:28.320]  putting it in the freeze dryer.
[32:28.320 --> 32:32.600]  And whenever we have all of our hash completely done, we'll go ahead and put the rest of the
[32:32.600 --> 32:36.920]  trays, button it up, and save it, forget it.
[32:37.360 --> 32:42.000]  It's the longest time possible for a hash maker.
[32:42.000 --> 32:44.360]  This is my second year that I've had a freeze dryer.
[32:44.360 --> 32:46.200]  I didn't have one before.
[32:46.200 --> 32:50.920]  Previously, I just used the old cold air method.
[32:50.920 --> 32:53.600]  It worked for me.
[32:53.600 --> 32:56.600]  The hash was a little darker, but I don't have the dark hash.
[32:56.600 --> 33:02.280]  I mean, to be honest with you, if it's good medicine and it works for me, I mean, it's
[33:02.280 --> 33:04.120]  been working for me for a long time.
[33:04.120 --> 33:05.680]  But at this point.
[33:05.720 --> 33:08.480]  So, this freeze dryer was a blessing.
[33:08.480 --> 33:10.480]  I did a little hustle.
[33:10.480 --> 33:15.840]  I'm not going to tell you what I did, but I hustled this freeze dryer through.
[33:15.840 --> 33:16.840]  And here it is.
[33:16.840 --> 33:17.840]  It's been great.
[33:17.840 --> 33:24.720]  Although, every year I do keep some hash that I do make, and I dry it traditionally.
[33:24.720 --> 33:25.720]  Why?
[33:25.720 --> 33:31.880]  Because I just like the old traditional cured hash.
[33:32.080 --> 33:36.160]  That's what at Smoke Hash Not Dope is all about.
[33:36.160 --> 33:38.000]  It's smoking good quality medicine.
[33:38.000 --> 33:41.120]  It's not about snob color.
[33:41.120 --> 33:44.680]  It's about maturity at trichromes.
[33:44.680 --> 33:49.440]  It's about real medicine, full spectrums, taking it from all the way from the 40s all
[33:49.440 --> 33:51.320]  the way to the tops.
[33:51.320 --> 33:52.320]  Real medicine.
[33:52.320 --> 33:55.320]  So, that's what we're doing here, man.
[33:55.320 --> 33:57.320]  We're self-medicating, but we're doing it.
[33:57.320 --> 34:01.320]  We're trying to concentrate it so that we don't have to smoke so much, obviously.
[34:01.760 --> 34:05.760]  So, are we done?
[34:05.760 --> 34:09.760]  Have you done any dry sifting just for fun?
[34:10.760 --> 34:12.760]  You know, I have.
[34:12.760 --> 34:15.760]  I have done some.
[34:15.760 --> 34:19.760]  Unfortunately, in Southern California, it's not like...
[34:23.380 --> 34:24.380]  What?
[34:24.820 --> 34:30.820]  ...
[34:37.820 --> 34:39.820]  It just becomes the best.
[34:39.820 --> 34:44.820]  So, it's just easier for me to do it this way, hydrate and dry.
[34:44.820 --> 34:46.820]  So, yes, I have.
[34:46.820 --> 34:49.820]  In Mexico, in Michoacan, want to hear a story, Peter?
[34:49.820 --> 34:53.820]  When I was a kid in Mexico, we would put trash bags.
[34:54.260 --> 34:57.260]  I know everybody talks about this story, too, but we did it for real.
[34:57.260 --> 35:00.260]  We would put trash bags on us, put holes on them.
[35:00.260 --> 35:06.260]  We would run through the fields and we would take whatever hash that would stick on our
[35:06.260 --> 35:08.260]  bags.
[35:08.260 --> 35:10.260]  And I was a fat kid, to be honest with you.
[35:10.260 --> 35:15.260]  So, it was easy for me to collect a whole bunch of hash because, I mean, the bag was
[35:15.260 --> 35:16.260]  like, you know what I mean?
[35:16.260 --> 35:21.260]  I would stretch it out and I would be the one fat kid in the back behind the rest of
[35:21.260 --> 35:22.260]  the kids in front of me.
[35:22.700 --> 35:25.700]  And by that time, we had all that hash stuck in our stuff.
[35:25.700 --> 35:29.700]  We would gather all the bags from the two, three kids that we did it.
[35:29.700 --> 35:32.700]  And there was this one local store, they had one freezer.
[35:32.700 --> 35:36.700]  We would put all the bags into the freezer and as soon as we...
[35:36.700 --> 35:37.700]  I mean, we would let it sit.
[35:37.700 --> 35:40.700]  I mean, we were kids, we were drinking Coronas.
[35:40.700 --> 35:43.700]  Back then, it was Estrellitas in Michoacan.
[35:43.700 --> 35:45.700]  I love me some Estrellitas.
[35:45.700 --> 35:46.700]  Oh, boy.
[35:46.700 --> 35:47.700]  I can't...
[35:47.700 --> 35:48.700]  It's bringing back memories.
[35:49.140 --> 35:54.140]  We would crumble up all those bags and it was just straight hash.
[35:54.140 --> 35:56.140]  It would come down.
[35:56.140 --> 36:02.140]  We would bring it up and make little balls and we were hot knifing, man.
[36:02.140 --> 36:05.140]  It was really the thing to do back then.
[36:05.140 --> 36:08.140]  And that's where my passion for hash came from.
[36:08.140 --> 36:11.140]  So, it looks like this is running out.
[36:11.140 --> 36:16.140]  We're going to close the valve and we're going to start taking these bags and that's where
[36:16.580 --> 36:21.580]  the soda comes in and then we're going to take this material, this 220 bag, and we're
[36:21.580 --> 36:23.580]  going to take it back into the mixer.
[36:38.810 --> 36:39.810]  Oops.
[36:39.810 --> 36:40.810]  All right.
[36:40.810 --> 36:44.810]  So, am I on solo now?
[36:44.810 --> 36:46.810]  I have to tell jokes.
[36:48.810 --> 36:50.810]  Can you all see me or am I...
[36:53.340 --> 36:55.340]  Yeah, oops.
[36:57.340 --> 37:02.340]  I like the fat kid in the field story, though.
[37:02.340 --> 37:04.340]  We're working on it, people.
[37:04.340 --> 37:05.340]  Relax.
[37:05.340 --> 37:10.340]  Yeah, I don't know what happened because last week, his connection was pretty good and I
[37:10.340 --> 37:14.340]  asked him how far from the Wi-Fi he was and he said like 20 feet.
[37:16.340 --> 37:17.340]  Yeah.
[37:17.340 --> 37:18.340]  All right.
[37:18.780 --> 37:21.780]  Just for my own sanity, I look and sound okay.
[37:24.630 --> 37:28.630]  Oh, here he comes.
[37:29.630 --> 37:30.630]  He's back.
[37:31.630 --> 37:35.630]  Dude, I tried to run outside and smoke a bong and come back inside before you...
[37:35.630 --> 37:37.630]  And I'm just playing.
[37:39.630 --> 37:45.630]  Just quickly, do you guys have the door closed to where the Wi-Fi is?
[37:45.630 --> 37:47.630]  Maybe open it a crack?
[37:47.630 --> 37:48.630]  I can't, Peter.
[37:48.630 --> 37:49.630]  I'm sorry.
[37:50.630 --> 37:57.630]  This is my little poke room and if I crack it, I mean, I've sacrificed a freezer trying
[37:57.630 --> 37:58.630]  to get this thing open.
[37:58.630 --> 37:59.630]  So, if I crack this thing open...
[37:59.630 --> 38:00.630]  I know.
[38:00.630 --> 38:01.630]  I know.
[38:01.630 --> 38:02.630]  All right.
[38:02.630 --> 38:03.630]  I'm sorry.
[38:03.630 --> 38:04.630]  No worries.
[38:04.630 --> 38:05.630]  We'll chug along.
[38:05.630 --> 38:06.630]  So, everybody appreciate...
[38:07.630 --> 38:08.630]  Everybody's good?
[38:08.630 --> 38:09.630]  How many viewers we got?
[38:09.630 --> 38:10.630]  We're good?
[38:10.630 --> 38:15.630]  Everybody learning something at least or anything at least?
[38:15.630 --> 38:16.630]  Yeah, yeah, yeah.
[38:16.630 --> 38:18.630]  No, they're appreciative.
[38:19.070 --> 38:21.070]  We got a couple hundred people tuned in.
[38:21.070 --> 38:22.070]  All right, perfect.
[38:22.070 --> 38:23.070]  Here we go.
[38:23.070 --> 38:31.070]  So, in here, I have basically a sump pump hooked up to a hose spigot and I went and
[38:31.070 --> 38:34.070]  bought a hose at Home Depot and the plating was coming off.
[38:34.070 --> 38:41.070]  So, I went ahead and bought all food grade hosing or hose material and all the fittings
[38:41.070 --> 38:42.070]  are all brass.
[38:42.070 --> 38:44.070]  So, I made sure that everything was cool.
[38:44.070 --> 38:46.070]  I don't want nothing to end up in my hatch.
[38:46.510 --> 38:48.510]  So, I'm going to go ahead and plug it in.
[38:48.510 --> 38:54.160]  Yeah, you can take one of them out.
[38:57.160 --> 38:58.160]  There it is.
[39:06.760 --> 39:09.760]  So, there's two big, huge blocks of bison here.
[39:09.760 --> 39:12.760]  It's been kept in my cold water tank.
[39:12.760 --> 39:13.760]  Cold.
[39:13.760 --> 39:14.760]  I don't know if you can see it.
[39:14.760 --> 39:15.760]  But that water's...
[39:15.760 --> 39:18.760]  Aim it down a little bit.
[39:18.760 --> 39:21.760]  Angle the phone down.
[39:22.760 --> 39:23.760]  You see it?
[39:23.760 --> 39:24.760]  Yep, yep.
[39:26.760 --> 39:27.760]  A light block ice.
[39:31.030 --> 39:34.030]  So, it looks like the 190 doesn't have much at all.
[39:44.110 --> 39:46.110]  We're going to take this bag up.
[39:50.880 --> 39:53.880]  Now, these bags are like four years old or something.
[39:55.880 --> 39:58.880]  I always like to rinse the outside of these bags.
[40:04.000 --> 40:06.000]  You see it goes into the next bag.
[40:12.300 --> 40:15.300]  So, for the do-it-at-home...
[40:16.300 --> 40:18.300]  Guys, what I used to use...
[40:18.300 --> 40:19.300]  Bring it up a little bit.
[40:19.300 --> 40:23.300]  What I used to use in the past, I used to use a sprayer pump.
[40:23.300 --> 40:27.300]  I used to fill up the entire sprayer pump with ice.
[40:27.300 --> 40:29.300]  And I would fill it up with water.
[40:29.300 --> 40:31.300]  And I would use that as a sprayer pump.
[40:31.300 --> 40:33.300]  When I first started doing my first washes.
[40:33.300 --> 40:36.300]  And it worked for me if you don't have a sump pump.
[40:36.300 --> 40:38.300]  Or if you have any kind of pump.
[40:39.300 --> 40:41.300]  It just makes it a lot easier.
[40:41.740 --> 40:43.740]  But you really don't need a sprayer.
[40:43.740 --> 40:48.740]  Any kind of water that you can spray any cold water onto these bags will help out.
[40:48.740 --> 40:49.740]  To be honest with you.
[40:49.740 --> 40:52.740]  But a pump does facilitate the work a little bit.
[40:52.740 --> 40:55.740]  So, let's continue here and see what we've got.
[41:00.650 --> 41:03.650]  Sorry, what size is that one?
[41:05.650 --> 41:07.650]  The one we just took was the 190.
[41:09.650 --> 41:10.650]  This is the 160.
[41:10.650 --> 41:11.650]  Got it.
[41:28.360 --> 41:31.360]  I also have this little, small little...
[41:31.360 --> 41:33.360]  I like to use for collecting ash.
[42:01.850 --> 42:03.850]  And we carry this one.
[42:04.850 --> 42:05.850]  It's 190.
[42:17.660 --> 42:18.660]  You guys can see it?
[42:19.660 --> 42:20.660]  Yup.
[42:28.530 --> 42:32.530]  When I went to your episode at Venice Beach.
[42:32.530 --> 42:35.530]  I remember the history of Roslyn with Nikiti.
[42:35.530 --> 42:37.530]  And the rest of the gang.
[42:37.970 --> 42:38.970]  It was really cool.
[42:38.970 --> 42:39.970]  Thank you for the invite.
[42:39.970 --> 42:42.970]  My buddy Eric at Blaze Brands.
[42:43.970 --> 42:44.970]  Yes, Blaze Brands, right?
[42:44.970 --> 42:45.970]  Yeah, Blaze Brands.
[42:45.970 --> 42:46.970]  My buddy Eric.
[42:46.970 --> 42:47.970]  He's the one that brought me over there.
[42:47.970 --> 42:49.970]  Big shout out to my homie.
[42:49.970 --> 42:50.970]  He's a really good friend.
[42:50.970 --> 42:52.970]  He does a lot of good work.
[42:52.970 --> 42:53.970]  Go ahead and give him a follow.
[42:53.970 --> 42:55.970]  Anyways, let's take this out.
[42:56.970 --> 42:58.970]  I learned that the bigger heads...
[43:03.370 --> 43:07.370]  Normally, those 160s, 190s, those are the plumpy heads.
[43:07.810 --> 43:10.810]  And honestly, I'm not really concerned about pretty, man.
[43:10.810 --> 43:11.810]  I'm ugly as it is.
[43:12.810 --> 43:13.810]  You know what I mean?
[43:13.810 --> 43:17.810]  As long as it's self-tasting and it medicates me, that's what I'm going for.
[43:17.810 --> 43:18.810]  You'd be amazed.
[43:23.360 --> 43:24.360]  In terms of medication.
[43:25.360 --> 43:26.360]  So, don't knock it.
[43:27.360 --> 43:28.360]  And be honest.
[43:28.360 --> 43:32.360]  Everybody likes to get those 90s, those 73s, those 120s.
[43:33.360 --> 43:35.360]  But man, here we go.
[43:35.800 --> 43:37.800]  It's not much, but we're going to collect it.
[43:38.800 --> 43:41.800]  Can you aim the camera down a tiny bit so we can see it?
[43:41.800 --> 43:42.800]  Yep.
[43:45.800 --> 43:47.800]  Yeah, there we go.
[43:48.800 --> 43:50.800]  It's a good over-the-shoulder shot.
[43:52.800 --> 43:54.800]  Look at this creative camera work.
[43:55.800 --> 43:57.800]  So, someone asked...
[43:58.800 --> 43:59.800]  Or no, sorry.
[44:01.800 --> 44:02.800]  Someone asked,
[44:03.240 --> 44:05.240]  Someone asked how long you wash for.
[44:06.240 --> 44:07.240]  You said about five minutes?
[44:09.240 --> 44:12.030]  Correct.
[44:12.030 --> 44:13.030]  About five minutes.
[44:14.030 --> 44:19.030]  I normally would wash a little longer, but this particular instance, we're trying to go for milk.
[44:20.030 --> 44:23.030]  Just because we're trying to get something pretty, you know?
[44:24.030 --> 44:27.030]  That's basically the reason why we're getting down to that low of a wash.
[44:28.030 --> 44:31.030]  But I normally will go a little longer, to be honest with you.
[44:31.470 --> 44:32.470]  Alright.
[44:51.250 --> 44:59.700]  So, I'm going to go ahead and give this back to my lovely wife.
[44:59.700 --> 45:01.700]  And she's going to go ahead and rinse it out for us.
[45:01.700 --> 45:02.700]  Thank you very much.
[45:02.700 --> 45:04.700]  We love you long time, baby.
[45:05.700 --> 45:07.700]  Happy wife, happy life.
[45:07.700 --> 45:08.700]  Take some notes.
[45:08.700 --> 45:09.700]  I got to tell you, man.
[45:09.700 --> 45:13.700]  If you take care of your wife, all your problems will go away.
[45:14.700 --> 45:15.700]  Simple as that.
[45:15.700 --> 45:17.700]  You're making her weep.
[45:18.700 --> 45:19.700]  I'm not making her weep.
[45:19.700 --> 45:20.700]  I'm not making her weep.
[45:21.140 --> 45:23.140]  You're making her weed for the year, right?
[45:23.140 --> 45:27.140]  You're making her hash that's going to last her until next season.
[45:28.140 --> 45:29.140]  Absolutely.
[45:29.140 --> 45:33.140]  Luckily, we haven't had to buy zero medicine the entire year.
[45:33.140 --> 45:39.140]  We went through COVID, and we had her, we had hash, and it was great.
[45:39.140 --> 45:43.140]  As a matter of fact, I haven't bought her in 15 years, Peter.
[45:44.140 --> 45:46.140]  So, that's a good thing.
[45:48.140 --> 45:49.140]  That's really a good thing.
[45:49.140 --> 45:50.140]  So, let's go.
[45:50.580 --> 45:51.580]  Can you take us over?
[45:56.860 --> 45:57.860]  All right.
[46:01.520 --> 46:05.520]  And that drum is literally holding all my exit water.
[46:06.520 --> 46:10.520]  All that water is going to be pumped out with the sun pump right into the garden, bro.
[46:12.520 --> 46:13.520]  Nice.
[46:13.520 --> 46:16.520]  Put that lube in, you know, as much as possible.
[46:20.130 --> 46:21.130]  You still there, Peter?
[46:22.130 --> 46:23.130]  I'm still here.
[46:23.570 --> 46:26.570]  As are 250 other people.
[46:26.570 --> 46:27.570]  We're all here.
[46:28.570 --> 46:29.570]  All right.
[46:29.570 --> 46:30.570]  Hang out every word.
[46:33.570 --> 46:34.570]  I'm so sorry, Suda.
[46:35.570 --> 46:37.570]  You just dropped the phone in the bath.
[46:38.570 --> 46:40.570]  I just got soaked in the water.
[46:40.570 --> 46:41.570]  Oh, shit!
[46:42.570 --> 46:44.570]  That would be a tragic end to the phone.
[46:45.570 --> 46:46.570]  Never mind.
[46:46.570 --> 46:47.570]  I'm still here.
[46:47.570 --> 46:48.570]  I'm sorry, Suda.
[46:48.570 --> 46:49.570]  Are you there?
[46:49.570 --> 46:50.570]  All right.
[46:51.010 --> 46:52.010]  Sorry about that.
[46:52.010 --> 46:53.010]  You all right?
[46:53.010 --> 46:54.010]  All right.
[46:54.010 --> 46:55.010]  Here we go.
[46:56.010 --> 46:57.010]  That's the blooper.
[46:58.010 --> 47:06.060]  Luckily, it was the outgoing water.
[47:07.060 --> 47:08.060]  You all right, brother?
[47:09.060 --> 47:10.060]  No.
[47:11.060 --> 47:12.060]  Oh, look at that, bro.
[47:16.000 --> 47:17.000]  This is the 120.
[47:18.000 --> 47:19.000]  I hope.
[47:19.000 --> 47:20.000]  Yeah.
[47:21.000 --> 47:22.000]  There you go.
[47:33.780 --> 47:34.780]  Yeah.
[47:34.780 --> 47:35.780]  Oh, yeah, baby.
[47:36.220 --> 47:39.220]  The reason why I married myself a white woman is because I like blondes.
[47:40.220 --> 47:41.220]  I like my hair blonde as well.
[47:44.220 --> 47:45.220]  Hey, we got 20% battery.
[47:46.220 --> 47:47.220]  We're the white women!
[47:52.220 --> 47:53.220]  OK.
[47:53.220 --> 47:54.220]  There we go.
[47:54.220 --> 47:55.220]  You're back.
[47:57.220 --> 47:58.220]  You there?
[47:59.220 --> 48:02.200]  Yeah.
[48:03.200 --> 48:04.200]  I'm still here.
[48:10.370 --> 48:11.370]  I'm still here.
[48:11.810 --> 48:12.810]  You there?
[48:12.810 --> 48:13.810]  Yeah.
[48:20.240 --> 48:21.240]  I wish we could get better lighting.
[48:22.240 --> 48:23.240]  Suda was using his phone, but.
[48:26.240 --> 48:27.240]  So this is the 120?
[48:28.240 --> 48:29.240]  This is the 120.
[48:29.240 --> 48:30.240]  That is correct.
[48:31.240 --> 48:32.240]  The 90, the 270 degrees are down here.
[48:33.240 --> 48:34.240]  So let's go ahead and collect this.
[48:37.240 --> 48:40.240]  I'm going to rinse this spoon off over here.
[48:41.240 --> 48:42.240]  This is for the spirits.
[48:43.240 --> 48:46.240]  A little bit of 160 is going to go for the spirits.
[48:50.120 --> 48:51.120]  Here we go.
[48:52.120 --> 48:53.120]  Can you see it?
[49:00.320 --> 49:01.320]  Yeah.
[49:16.260 --> 49:17.260]  I think I'm losing you.
[49:18.260 --> 49:19.260]  No, I'm here.
[49:20.260 --> 49:21.260]  I'm here.
[49:21.260 --> 49:22.260]  We're good.
[49:23.260 --> 49:24.260]  We're good.
[49:25.260 --> 49:29.520]  But it looks like we're good.
[49:30.520 --> 49:32.520]  I wish we had better lighting, but there's not so much plant matter in there.
[49:33.520 --> 49:34.520]  So that's a good thing.
[49:35.520 --> 49:50.170]  There's probably 200 professionals watching me say, look at this guy over there making
[49:50.170 --> 49:51.170]  a fool of himself.
[49:51.610 --> 49:52.610]  It works for me, gentlemen.
[49:53.610 --> 49:56.610]  This is my little cocoon, my little backyard, and we're self-medicating.
[49:57.610 --> 49:58.610]  We're in the groove.
[49:59.610 --> 50:03.610]  And I was lucky enough that Peter invited me to showcase my little backyard, my grow,
[50:04.610 --> 50:05.610]  and now we're making hash.
[50:06.610 --> 50:09.610]  So thank you, Peter, once again for allowing me to do this.
[50:10.610 --> 50:11.610]  We'll be pressing next.
[50:12.610 --> 50:13.610]  We're doing the whole process.
[50:14.610 --> 50:15.610]  Let's do it, man.
[50:16.610 --> 50:17.610]  All right.
[50:18.050 --> 50:31.530]  And my lovely wife is going to go ahead and take care of this bag for me.
[50:32.530 --> 50:38.210]  Now, one of the most important things that I always recommend people that are making
[50:39.210 --> 50:42.210]  hash, never procrastinate in cleaning your bags right away.
[50:43.210 --> 50:44.210]  It's truly important.
[50:45.210 --> 50:46.210]  Trust me.
[50:47.210 --> 50:48.210]  I've messed up so many bags.
[50:49.210 --> 50:52.210]  If you do not rinse your bags right away, you're going to be in a heap of trouble.
[50:53.210 --> 50:54.210]  Simple as that.
[50:55.210 --> 50:56.210]  Especially if you're going to be doing a lot of work.
[50:57.210 --> 50:59.210]  So I'm going to go ahead and clean my bags.
[50:59.650 --> 51:02.650]  Especially if you're going to be doing several washes during the same day.
[51:03.650 --> 51:04.650]  Or doing the same...
[51:05.650 --> 51:06.650]  Or...
[51:07.650 --> 51:10.650]  You end up messing up your bags on the first run.
[51:11.650 --> 51:13.650]  So let's not get sidetracked.
[51:14.650 --> 51:15.650]  The 90s in there.
[51:16.650 --> 51:17.650]  Ooh, yeah, baby.
[51:17.650 --> 51:18.650]  Let's get it.
[51:24.060 --> 51:25.060]  Get the oil.
[51:26.060 --> 51:27.060]  A little bit of jerky.
[51:32.020 --> 51:33.020]  You guys are there?
[51:38.660 --> 51:39.660]  All right.
[51:41.660 --> 51:44.660]  Let me check the temperature of the water to make sure it's going all right.
[51:46.660 --> 51:47.660]  What's that?
[51:53.040 --> 51:54.040]  You there, Peter?
[51:55.040 --> 51:56.040]  I'm here.
[51:56.040 --> 51:57.040]  I just got another beer.
[51:58.040 --> 52:02.040]  Yeah, it's...
[52:03.040 --> 52:05.040]  31 degrees, so this water's pretty good.
[52:06.040 --> 52:07.040]  But I'm just going to make sure.
[52:08.040 --> 52:10.040]  I'm going to give it a little mix around.
[52:11.040 --> 52:14.040]  Make sure all that ice gets mixed around in there.
[52:14.480 --> 52:17.480]  I'm going to go ahead and grab one more block.
[52:18.480 --> 52:22.480]  As soon as I go grab one more block of ice, I'm going to throw it in the water supply.
[52:23.480 --> 52:25.480]  Like, once again, this is a shed.
[52:26.480 --> 52:28.480]  Basically, there's no drain.
[52:29.480 --> 52:30.480]  There's no...
[52:31.480 --> 52:32.480]  All I have is electrical.
[52:33.480 --> 52:34.480]  There's no plumbing.
[52:35.480 --> 52:38.480]  Or a sewer or anything like that.
[52:39.480 --> 52:42.480]  So we are doing everything improvised.
[52:42.920 --> 52:45.920]  We're bringing everything in here, chilling it down.
[52:46.920 --> 52:48.920]  However we can possibly.
[52:49.920 --> 52:51.920]  It's the do-it-yourself icebox.
[52:52.920 --> 53:03.920]  In Southern California, people that are doing hash washes in northern states that have the climate that allows them to do it in their...
[53:04.920 --> 53:06.920]  It's just basically open in the backyard.
[53:07.920 --> 53:08.920]  That's just a dream come true.
[53:09.920 --> 53:16.520]  Oh, there's the nice guy.
[53:17.520 --> 53:18.520]  There's the 90.
[53:19.520 --> 53:21.520]  Anybody's got any questions?
[53:22.520 --> 53:23.520]  Anybody out there?
[53:24.520 --> 53:26.520]  Am I boring you?
[53:27.520 --> 53:29.520]  No, no, no. They're digging it.
[53:32.520 --> 53:34.520]  Alright, so let's see that.
[53:37.520 --> 53:38.520]  This is the 90.
[53:58.650 --> 53:59.650]  Here we go.
[54:00.650 --> 54:01.650]  Alright.
[54:03.650 --> 54:04.650]  Smell that?
[54:05.090 --> 54:06.090]  Smell that?
[54:07.090 --> 54:08.090]  Oh, shit. Smell that, bro.
[54:12.160 --> 54:13.160]  Oh, dude.
[54:14.160 --> 54:15.160]  See this?
[54:16.160 --> 54:18.160]  You guys see that, bro?
[54:19.160 --> 54:22.160]  Sort of. The light's kind of blinding it out, though.
[54:22.160 --> 54:23.160]  Did I lose you?
[54:24.160 --> 54:25.160]  I'm here. Can you hear me?
[54:26.160 --> 54:28.160]  Yeah, now I see it. Yep, yep, yep.
[54:28.160 --> 54:29.160]  Yeah, I can hear you.
[54:31.160 --> 54:32.160]  Yep.
[54:35.320 --> 54:36.320]  Trippy lighting.
[54:36.320 --> 54:37.320]  Nice 90.
[54:37.320 --> 54:39.320]  It's not what I thought.
[54:39.760 --> 54:40.760]  Oh, there we go. Yeah, that was good.
[54:40.760 --> 54:42.760]  You had good lighting for a second.
[54:43.760 --> 54:45.760]  Yep. That looks good right there.
[54:53.800 --> 54:58.800]  Big ups to everybody that has big walking coolers and freezers to do their work.
[54:59.800 --> 55:01.800]  It must be badass.
[55:07.840 --> 55:11.840]  Normally, I'm to the middle of winter here in Sallie, California.
[55:11.840 --> 55:14.840]  Mid-January or February to start my washes.
[55:14.840 --> 55:18.840]  But we're running low on turf, so we gotta rush a couple washes.
[55:19.280 --> 55:21.280]  Get some stuff in the pan.
[55:24.070 --> 55:30.070]  I'm gonna go ahead and put these lower microns in the freeze dryer.
[55:31.070 --> 55:34.070]  I have seven trays. This is a pharmaceutical-grade unit.
[55:35.070 --> 55:37.070]  So I'm gonna put those in there to start freezing.
[55:39.070 --> 55:42.070]  That is correct. This is the harvest rack.
[55:45.040 --> 55:47.040]  Alright, let's check out this 90.
[55:48.040 --> 56:14.100]  You still there, Peter?
[56:14.100 --> 56:16.100]  I'm still here.
[56:19.330 --> 56:20.330]  Alright, brother.
[56:21.330 --> 56:24.330]  I'm running out of ideas to talk to you guys.
[56:24.330 --> 56:28.330]  I'm sorry if I'm boring you, but I'm trying to get this done as soon as possible.
[56:28.330 --> 56:30.330]  What the weather permits.
[56:31.330 --> 56:33.330]  I think people just want to see your step-by-step.
[56:34.330 --> 56:37.330]  So you're doing exactly what people want to be watching.
[56:38.330 --> 56:40.330]  Do you spread this out?
[56:42.330 --> 56:44.330]  No, not really, Peter.
[56:44.330 --> 56:47.330]  I really don't. I just throw it right in the freeze dryer the way it is.
[56:47.770 --> 56:56.770]  And when it comes out, I put it in parchment paper and I put it inside Tupperware
[56:57.770 --> 56:59.770]  with little holes drilled on top of the Tupperware lid.
[57:00.770 --> 57:02.770]  The cheapest Tupperware you can get, the zip-lock kind.
[57:03.770 --> 57:11.770]  And I put the Tupperware inside of vacuum-sealed bags.
[57:12.770 --> 57:13.770]  I'm having a quick buffering.
[57:14.210 --> 57:16.210]  Food saver. Thank you, Peter.
[57:17.210 --> 57:19.210]  What'd she say?
[57:20.210 --> 57:22.210]  She just reminded me of the food saver.
[57:23.210 --> 57:29.210]  Bro, this is awesome. Not boring at all. Right on, brother. Thank you.
[57:30.210 --> 57:33.210]  So here we go. We're going to continue to take this 90 off.
[57:42.900 --> 57:46.900]  And in the harvest, right? Is it like 12 to 24?
[57:46.900 --> 57:47.900]  Alright, guys.
[57:48.340 --> 57:52.340]  How long is it going to go in the harvest, right, for?
[57:54.340 --> 57:59.340]  About 24 hours, depending on the batch. The small batch, we'll take that off.
[58:00.340 --> 58:02.340]  Let me show you the 90.
[58:06.340 --> 58:07.340]  You see it?
[58:08.340 --> 58:09.340]  Yep.
[58:10.340 --> 58:11.340]  Peter?
[58:11.340 --> 58:12.340]  Yep, yep.
[58:13.340 --> 58:14.340]  Yeah, buddy.
[58:16.050 --> 58:20.050]  I think we're going to be having some good milk on this one. What do you think, Sunda?
[58:21.050 --> 58:25.050]  Now, Sunda is a hash connoisseur. If anybody doesn't know, this guy knows his shit.
[58:26.050 --> 58:27.050]  Excuse my language.
[58:28.050 --> 58:29.050]  We need battery, guys.
[58:30.050 --> 58:38.510]  Alright, I'm going to put this one in the freeze dryer.
[58:39.510 --> 58:41.510]  And I'll just stagger on one side and the other side.
[58:42.510 --> 58:46.510]  And I just know by looking at the hash if it was run number one or run number two.
[58:47.510 --> 58:49.510]  It's just it comes from experience, I guess.
[58:49.950 --> 58:51.950]  Let's get this hash out of here.
[59:05.830 --> 59:08.830]  Alright, so I got 273s coming up next.
