[00:00.000 --> 00:00.840]  How you doing?
[29:57.910 --> 30:00.110]  get out to the West Coast and just be a grower.
[30:00.110 --> 30:01.670]  So I ended up in Oregon.
[30:01.670 --> 30:04.030]  I was doing some little grows there
[30:04.030 --> 30:06.190]  and had a tight group of friends.
[30:06.190 --> 30:09.030]  And not too long after that is really when I met Sub.
[30:10.030 --> 30:11.790]  I never really thought about breeding
[30:11.790 --> 30:12.830]  up until that point in time.
[30:12.830 --> 30:15.270]  Sub was the person who really inspired me
[30:15.270 --> 30:18.150]  to make my own strains and using these cool genetics
[30:18.150 --> 30:19.470]  that we had at that point.
[30:21.150 --> 30:23.510]  That's kind of what started my fire with it.
[30:23.510 --> 30:27.550]  And ever since it's always been about how to make it better,
[30:27.550 --> 30:29.950]  how to do it better, how to do it bigger.
[30:29.950 --> 30:31.470]  Trying to take this to the next level.
[30:31.470 --> 30:34.110]  And that's to this day what I continue to try to do.
[30:35.110 --> 30:37.470]  I'm glad I'm on the right track.
[30:37.470 --> 30:38.670]  Good stuff.
[30:38.670 --> 30:42.270]  And as far as TGA, Sub had this knack
[30:42.270 --> 30:44.390]  of finding amazing people to work with
[30:44.390 --> 30:45.910]  and be part of the crew.
[30:45.910 --> 30:48.470]  And coming back, like Odie said,
[30:48.470 --> 30:51.470]  around 2015, I kind of resurfaced.
[30:51.470 --> 30:53.270]  I was hiding out and I was doing things.
[30:53.270 --> 30:56.510]  I was putting honey bees in some of the dispensaries
[30:56.510 --> 30:59.070]  in Portland and doing a couple of things.
[30:59.070 --> 31:01.070]  But they were all just like low key.
[31:01.070 --> 31:03.750]  And then I finally just decided to just man up
[31:04.390 --> 31:05.790]  and just kind of come back full circle
[31:05.790 --> 31:07.270]  and get back in the scene.
[31:07.270 --> 31:09.390]  And just me and everybody else,
[31:09.390 --> 31:11.270]  they'd become part of the TGA family.
[31:11.270 --> 31:12.750]  I mean, these people were all amazing.
[31:12.750 --> 31:13.910]  I was just blown away.
[31:14.830 --> 31:16.670]  I love people here.
[31:16.670 --> 31:18.670]  There are a lot of other people that are in this channel
[31:18.670 --> 31:22.270]  that are part of the team that, it's exceptional.
[31:22.270 --> 31:24.270]  And that's one thing that Sub really had.
[31:24.270 --> 31:25.550]  He had that passion.
[31:25.550 --> 31:27.270]  And he just kept on wanting to grow weed.
[31:27.270 --> 31:28.910]  He wanted to get seeds out there,
[31:29.750 --> 31:33.430]  teach people how to grow better cannabis, super soil,
[31:34.110 --> 31:35.230]  just drive it, make an army of people
[31:35.230 --> 31:37.990]  who are just growing weed and overgrowing the planet.
[31:37.990 --> 31:39.990]  And that's been his mission and his mission
[31:39.990 --> 31:41.710]  with Share With Me, and that's still my mission.
[31:41.710 --> 31:43.310]  Just keep on pushing.
[31:43.310 --> 31:45.310]  That's where we're going next.
[31:47.750 --> 31:48.590]  Awesome.
[31:49.670 --> 31:53.390]  So how do you guys feel about the Grateful Dead?
[31:53.390 --> 31:55.310]  I feel like as an industry,
[31:55.310 --> 31:56.870]  our whole industry has been affected
[31:56.870 --> 32:00.630]  and there's large contribution from the Grateful Dead.
[32:01.590 --> 32:03.750]  How has it impacted you guys growing up
[32:03.750 --> 32:05.190]  and also growing plants?
[32:05.190 --> 32:06.670]  You wanna start with that Shane?
[32:06.670 --> 32:09.030]  Yeah, I started going to dead shows,
[32:09.030 --> 32:11.150]  I think I was 13 when I kind of got introduced
[32:11.150 --> 32:12.630]  to that whole culture.
[32:12.630 --> 32:14.270]  Before that, I was looking through the records
[32:14.270 --> 32:15.590]  and my parents' collection.
[32:15.590 --> 32:17.150]  I always loved their album art.
[32:18.310 --> 32:20.190]  But after I started going to shows
[32:20.190 --> 32:22.590]  and then shortly around that time,
[32:22.590 --> 32:25.550]  that's when I got looking, seeking for that kind bud,
[32:25.550 --> 32:26.990]  always looking for that good weed.
[32:26.990 --> 32:29.310]  That's where I came across blueberry at that point in time.
[32:29.310 --> 32:30.390]  And that was a game changer.
[32:30.390 --> 32:33.390]  When the blueberry popped up on a lot of the Grateful Dead,
[32:34.550 --> 32:36.270]  the amazing weed back in the day,
[32:36.270 --> 32:37.590]  just those memories of it.
[32:38.910 --> 32:40.990]  Yeah, the Grateful Dead has always been an influence
[32:40.990 --> 32:42.270]  in my life and what I do.
[32:42.270 --> 32:45.310]  I have several strains that are named after dead songs,
[32:46.230 --> 32:48.310]  like Supplication and Smokestack Lightning
[32:48.310 --> 32:50.310]  and all kinds of weird things, as does Ray.
[32:50.310 --> 32:53.430]  And some of us, we definitely love the dead.
[32:54.630 --> 32:55.510]  Awesome.
[32:55.510 --> 32:57.310]  You wanna add anything to that, Ray?
[33:03.360 --> 33:04.680]  I think you might be muted.
[33:04.680 --> 33:05.960]  I think you might be muted.
[33:05.960 --> 33:07.680]  Yep, Ray, you're...
[33:07.680 --> 33:08.520]  Lower left.
[33:09.800 --> 33:12.680]  Unmute yourself, yeah, lower left.
[33:12.680 --> 33:14.480]  Tap on that audio icon.
[33:14.480 --> 33:16.320]  Gotcha, I think I got it.
[33:16.320 --> 33:17.360]  Can you hear me now?
[33:17.360 --> 33:18.200]  Yep.
[33:20.240 --> 33:25.240]  Yeah, no, it's just keep going and keep doing what we're doing.
[33:26.000 --> 33:29.320]  I mean, everybody here is definitely a great crew of people.
[33:29.760 --> 33:32.440]  How about Grateful Dead impacting what you do?
[33:32.440 --> 33:33.280]  I know you listen to it.
[33:33.280 --> 33:35.560]  Well, yeah, we have a few strains
[33:37.200 --> 33:38.640]  about on the Grateful Dead.
[33:38.640 --> 33:41.000]  Catch a Grey was one of our first ones.
[33:41.000 --> 33:44.080]  That was a Super Silver Haze cross,
[33:44.080 --> 33:46.480]  but either way, yeah, the Grateful Dead,
[33:46.480 --> 33:48.080]  I started going following them.
[33:48.080 --> 33:50.320]  I followed them 89 through 95.
[33:50.320 --> 33:52.360]  Last shows were in Vegas.
[33:52.360 --> 33:53.840]  It was such a fantastic time.
[33:53.840 --> 33:56.520]  Every time it was a traveling community
[33:56.560 --> 33:59.240]  and the love and commodity was fantastic.
[34:00.160 --> 34:03.120]  Met a lot of really cool people back in those days, for sure.
[34:03.120 --> 34:05.000]  It's great memories.
[34:05.000 --> 34:08.360]  I think Pat does more of a fish head, to tell you the truth.
[34:08.360 --> 34:10.000]  I got Jerry on my body.
[34:10.000 --> 34:12.840]  I got him coming out of the Magic Hat and the Deadbolt.
[34:12.840 --> 34:17.840]  And I got this and after I did my next packaging with,
[34:21.800 --> 34:24.160]  after I kind of split ways with Sub
[34:24.320 --> 34:26.720]  inside my interior packaging gold foil,
[34:26.720 --> 34:29.080]  it was kind of a steely logo and said,
[34:29.080 --> 34:31.240]  one drop or seed could change your life.
[34:31.240 --> 34:33.360]  And I still find that to be true.
[34:33.360 --> 34:34.200]  Yeah.
[34:36.680 --> 34:39.480]  Jinx, you have anything to contribute to Grateful Dead?
[34:39.480 --> 34:41.520]  Were you a Grateful Dead fan?
[34:41.520 --> 34:43.320]  Honestly, I wasn't.
[34:43.320 --> 34:45.160]  I was a rocker as a kid.
[34:45.160 --> 34:48.960]  It was all about Zeppelin and Sabbath and ACDC.
[34:48.960 --> 34:52.760]  When I was about 14, my mom did take me to the movies.
[34:52.800 --> 34:55.480]  When I was 14, my mom did take me to see the Grateful Dead
[34:55.480 --> 34:57.360]  because my mom was a total hippie.
[34:57.360 --> 35:00.000]  Like my dad was like a biker, my mom was a hippie.
[35:00.000 --> 35:01.120]  And it was a cool show.
[35:01.120 --> 35:04.760]  I wanna say it was in the Cow Palace in San Francisco.
[35:04.760 --> 35:08.080]  And I couldn't tell you what tour it was.
[35:08.080 --> 35:10.280]  Like I said, I was probably 14,
[35:10.280 --> 35:13.880]  back when you could still buy a sleeveless concert shirts.
[35:15.760 --> 35:16.960]  I had one, it was purple.
[35:16.960 --> 35:18.000]  I can't remember what was on it,
[35:18.000 --> 35:20.560]  but I definitely had a good time.
[35:20.600 --> 35:25.040]  I was never the kind of guy to put on a Grateful Dead record
[35:25.040 --> 35:25.960]  or anything like that.
[35:25.960 --> 35:27.840]  It's just, I don't know.
[35:27.840 --> 35:31.360]  I just never really had friends that were into it
[35:31.360 --> 35:32.240]  or stuff like that.
[35:32.240 --> 35:34.360]  My dad, mostly grew up with my dad.
[35:34.360 --> 35:38.000]  He was more of a credence, Janis Joplin kind of guy.
[35:40.480 --> 35:41.800]  Wasn't a lot of exposure to it.
[35:41.800 --> 35:44.200]  Definitely got mad respect for them and stuff.
[35:44.200 --> 35:46.800]  Has it influenced my work or anything like that?
[35:46.800 --> 35:48.640]  No, definitely not.
[35:48.680 --> 35:50.640]  Would I name a strain after them?
[35:50.640 --> 35:52.800]  Probably not, because if I did, it would be fake.
[35:52.800 --> 35:53.640]  You know what I mean?
[35:53.640 --> 35:57.200]  So I did recently come out with a limited edition.
[35:57.200 --> 35:58.600]  I called it Ride On.
[35:58.600 --> 36:01.760]  It was just like, I just came from a show in Oklahoma.
[36:01.760 --> 36:03.520]  And if you like bought two packs of seed,
[36:03.520 --> 36:05.160]  you got these packs of seeds for free.
[36:05.160 --> 36:06.640]  And they were definitely named
[36:06.640 --> 36:09.000]  after the ACDC song, Ride On.
[36:09.000 --> 36:10.840]  So that's probably,
[36:10.840 --> 36:12.600]  I have a few strains that are hard to find
[36:12.600 --> 36:14.320]  and they were named after Andrew Wood,
[36:14.320 --> 36:16.960]  who was the singer of Mother Love Bone,
[36:17.560 --> 36:19.520]  who passed away and then they became Pearl Jam.
[36:19.520 --> 36:22.480]  So I was a pretty big Andrew Wood fan,
[36:22.480 --> 36:23.640]  just the whole Seattle thing.
[36:23.640 --> 36:25.800]  But the Grateful Dead thing, like I said,
[36:25.800 --> 36:27.200]  I mean, mad respect.
[36:27.200 --> 36:28.040]  I've seen them.
[36:28.040 --> 36:30.520]  It's just, I never really,
[36:30.520 --> 36:33.360]  this never really grabbed me like it does so many people.
[36:36.000 --> 36:39.440]  I remember one of the first times I took acid as a kid,
[36:39.440 --> 36:41.000]  it was all about Pink Floyd.
[36:42.880 --> 36:45.280]  And I wasn't a huge Pink Floyd fan either.
[36:45.320 --> 36:47.400]  And we're sitting around and we're all just,
[36:47.400 --> 36:48.880]  we called it frying.
[36:48.880 --> 36:50.320]  You know, we're all just frying.
[36:50.320 --> 36:51.680]  And someone was like, put on some music.
[36:51.680 --> 36:54.200]  And someone put on like a heavy metal album or something.
[36:54.200 --> 36:56.120]  And it sounded so bad.
[36:56.120 --> 36:57.480]  It was like these guys were trapped
[36:57.480 --> 36:59.800]  in this little tin can or just,
[36:59.800 --> 37:01.080]  cause everything's so different.
[37:01.080 --> 37:02.960]  And someone was like, put on Pink Floyd.
[37:02.960 --> 37:05.520]  And it was like, you know, like Uma Guma or metal,
[37:05.520 --> 37:06.560]  one of those old records.
[37:06.560 --> 37:08.280]  And we were like, nah, nah.
[37:08.280 --> 37:10.160]  And then the second they put that on,
[37:11.360 --> 37:12.840]  we were just like,
[37:12.840 --> 37:15.200]  we were just tripping, tripping.
[37:15.200 --> 37:16.600]  You know, I never tripped.
[37:16.600 --> 37:17.920]  I mean, all the visuals and stuff,
[37:17.920 --> 37:18.880]  like I said, as a kid, you know,
[37:18.880 --> 37:20.240]  all that with the acid and stuff,
[37:20.240 --> 37:23.880]  but I'd never straight just tripped on music like that.
[37:23.880 --> 37:25.480]  You know, like it was just straight in the,
[37:25.480 --> 37:27.400]  you could practically see it, you know what I mean?
[37:27.400 --> 37:30.720]  So I guess for me, it was a little more, you know,
[37:30.720 --> 37:32.600]  as far as the psychedelic and stuff like that,
[37:32.600 --> 37:34.800]  it was a little more along the Pink Floyd lines.
[37:34.800 --> 37:38.240]  So just grateful that I just never really,
[37:38.240 --> 37:39.720]  like I said, I'm not against them or don't like them
[37:39.720 --> 37:42.480]  or anything, it just never really entered my life hard
[37:43.120 --> 37:45.440]  or anything like that, even though I have seen them.
[37:45.440 --> 37:47.760]  So that's about it.
[37:48.720 --> 37:49.560]  Awesome.
[37:49.560 --> 37:51.120]  Yeah, I think a lot of people came for the drugs
[37:51.120 --> 37:53.560]  and stayed for the music and vice versa.
[37:54.680 --> 37:58.560]  Jill, I know there's been some impact in your life
[37:58.560 --> 37:59.720]  with the Grateful Dead.
[38:00.680 --> 38:03.200]  Actually, I'm right on line with Jinx on that.
[38:04.120 --> 38:08.480]  I enjoy them, but I'm not a deadhead at all.
[38:08.480 --> 38:09.840]  More into the old rock
[38:10.120 --> 38:13.000]  and definitely it would be a Pink Floyd
[38:13.000 --> 38:15.640]  if I was tripping a little bit, so.
[38:16.560 --> 38:17.920]  Awesome.
[38:17.920 --> 38:19.480]  Excellent.
[38:19.480 --> 38:23.000]  So let's talk about fruit forward varieties of cannabis.
[38:23.000 --> 38:26.160]  And I feel like you guys were the first seed company
[38:26.160 --> 38:30.040]  to consistently breed like fruit forward and dessert turps,
[38:30.040 --> 38:32.040]  you know, real turpy sweet stuff
[38:32.040 --> 38:35.720]  before anybody else really bred it
[38:35.720 --> 38:37.200]  as a seed company, at least.
[38:37.240 --> 38:41.280]  I mean, there was like Calio from the late 80s and 90s.
[38:41.280 --> 38:42.520]  I got to try that in the 90s.
[38:42.520 --> 38:43.960]  That was the first time I tried anything
[38:43.960 --> 38:45.800]  with real bright orange turps.
[38:47.280 --> 38:49.200]  You know, I guess we could start with Jill.
[38:49.200 --> 38:50.680]  How do you feel about fruit forward
[38:50.680 --> 38:54.600]  and how did that kind of evolve in the beginning?
[38:54.600 --> 38:57.520]  Well, our main male is a Space Queen
[38:57.520 --> 38:59.440]  and that's very cherry flavored.
[38:59.440 --> 39:04.240]  And I had the Orange Velvet, very, very orange.
[39:04.240 --> 39:08.120]  And actually Orange Velvet is one of the base
[39:08.120 --> 39:10.600]  orange strains behind many of the orange strains
[39:10.600 --> 39:12.160]  available on the market.
[39:12.160 --> 39:15.600]  Originally I had made an OVBX
[39:15.600 --> 39:18.080]  and I believe that Crockett had used that
[39:18.080 --> 39:20.600]  as the mother of Tangy originally.
[39:20.600 --> 39:23.720]  So that's where our flavors came in
[39:23.720 --> 39:27.040]  was the orange and the cherry.
[39:27.040 --> 39:30.600]  And then we, ouch, my cat just bit me.
[39:30.600 --> 39:33.720]  Then we started with, we got some great flavors in there
[39:34.160 --> 39:35.040]  and we went from there.
[39:35.040 --> 39:39.160]  And of course, like we were talking about Dioxide earlier,
[39:39.160 --> 39:41.760]  he was one of the main breeders with TGA.
[39:41.760 --> 39:43.960]  He made a strain called Chernobyl.
[39:43.960 --> 39:48.640]  And during his testing phase, he had some seeds
[39:48.640 --> 39:53.200]  and he had given those to Danny from Uplifted Farms.
[39:53.200 --> 39:55.880]  Danny grew those out and he found a phenotype
[39:55.880 --> 39:58.480]  that he named the Golden Ticket.
[39:58.480 --> 40:00.000]  Later it got passed around
[40:00.040 --> 40:04.120]  and by Pome the Grower was renamed Slimer.
[40:04.120 --> 40:07.320]  So that was one of our lime flavors.
[40:07.320 --> 40:10.880]  So we have quite a few different flavors,
[40:10.880 --> 40:13.320]  fruit flavors in the TGA family.
[40:13.320 --> 40:16.680]  And I am bringing back a lot of those in my Jillybean line.
[40:16.680 --> 40:18.680]  I have a Jillybean Black Cherry
[40:18.680 --> 40:22.720]  and Jillybean Grape, a Jillybean Lime.
[40:22.720 --> 40:25.600]  And I have several more new ones coming out
[40:25.600 --> 40:27.240]  along that fruit line as well.
[40:28.240 --> 40:30.920]  So Ray, what do you feel about Fruit Forward?
[40:30.920 --> 40:35.000]  I know you're a big fan of it with your Dr. Who
[40:35.000 --> 40:37.120]  and some of those phenos that kind of went both
[40:37.120 --> 40:38.880]  in that kind of funky direction
[40:38.880 --> 40:42.800]  and also in that like a sweet candy direction.
[40:44.080 --> 40:47.600]  Yeah, I know I'm a big fan and smoking strains
[40:47.600 --> 40:49.560]  that when you walk back into the room an hour later,
[40:49.560 --> 40:52.360]  you're like, wow, that smells fantastic.
[40:52.360 --> 40:54.720]  And I found that in a lot of the fruit strains.
[40:55.480 --> 40:57.080]  When I first started working with them though,
[40:57.080 --> 40:59.680]  there wasn't much potency to them.
[40:59.680 --> 41:02.000]  So that was one of the things we really had to work on
[41:02.000 --> 41:06.200]  was bringing potency into colors and fruit flavors,
[41:07.360 --> 41:09.120]  which wasn't that difficult.
[41:09.120 --> 41:12.920]  But yeah, fruit flavors are fantastic.
[41:12.920 --> 41:16.080]  I wanted to do dessert limes forever.
[41:16.080 --> 41:20.120]  And that really just made a great fit for the whole TGA team
[41:20.120 --> 41:24.000]  because we all kind of really like those Fruit Forward limes
[41:25.000 --> 41:26.320]  as you call them for sure.
[41:28.000 --> 41:30.640]  Yeah, Shane, you wanna add anything to that?
[41:30.640 --> 41:33.840]  Yeah, in the original days that was subs goal
[41:33.840 --> 41:37.000]  and the goal of TGA was just to have a menu
[41:37.000 --> 41:39.840]  full of all these beautiful turp varieties,
[41:39.840 --> 41:42.160]  whether it was lemons or strawberries, cherries,
[41:42.160 --> 41:43.240]  I mean, that was the goal.
[41:43.240 --> 41:45.080]  Back then there really wasn't gas
[41:45.080 --> 41:48.520]  and that kind of evolved shortly after.
[41:48.520 --> 41:51.000]  That really wasn't something that was in our arsenal
[41:51.280 --> 41:53.960]  were the gas strains that we refer to these days.
[41:53.960 --> 41:56.320]  I used to call that narcotic back in the day,
[41:56.320 --> 41:57.200]  just because it always,
[41:57.200 --> 41:58.640]  you knew it was gonna get you ripped
[41:58.640 --> 42:01.000]  and it just did something to your mind.
[42:02.440 --> 42:04.920]  And it really wasn't until like the mid 2000s
[42:04.920 --> 42:07.760]  that I got introduced to some of the gas strains.
[42:07.760 --> 42:10.880]  But no, it's always been about terpenes and to this day,
[42:10.880 --> 42:12.840]  I wanna be able to open that jar.
[42:12.840 --> 42:14.880]  I want somebody 30 feet over that way
[42:14.880 --> 42:17.360]  to kind of get that whiff and be like, what the hell is that?
[42:17.360 --> 42:19.160]  And then I wanted to transfer to that palette
[42:19.160 --> 42:20.280]  and that's something that we all love
[42:20.560 --> 42:21.840]  to share those just beautiful varieties
[42:21.840 --> 42:26.840]  that are very flavorful and turps rule the world, man.
[42:26.880 --> 42:27.800]  They're good stuff.
[42:29.200 --> 42:32.360]  Yeah, so Pat, you have a bunch of diverse genetics
[42:32.360 --> 42:33.960]  that you've worked with over the years.
[42:33.960 --> 42:35.160]  How do you feel about fruit
[42:35.160 --> 42:37.720]  and then evolving into kind of what you're doing now?
[42:37.720 --> 42:39.280]  You know, it's kind of like what Shane said.
[42:39.280 --> 42:43.080]  I mean, so it was original goal and kind of not an argument,
[42:43.080 --> 42:45.360]  but always the discussion of topic that we had was,
[42:45.360 --> 42:47.320]  he was all about the fruit and he really,
[42:47.320 --> 42:48.400]  at the time we had started that,
[42:48.400 --> 42:50.400]  I had started kind of working with gas.
[42:50.400 --> 42:52.280]  He wasn't about the gas.
[42:52.280 --> 42:55.720]  You know, it's my personal flavor palette.
[42:55.720 --> 42:57.400]  You know, one of my other really good friends
[42:57.400 --> 42:59.520]  that bred dog walker, you know,
[42:59.520 --> 43:02.080]  anything that that thing touched or we touched with it,
[43:02.080 --> 43:03.080]  you know, it would really,
[43:03.080 --> 43:05.640]  it would just jump our numbers way up.
[43:05.640 --> 43:08.640]  So, you know, once I kind of got over, you know,
[43:08.640 --> 43:10.520]  the fruit forward phase,
[43:10.520 --> 43:13.080]  my goal was to take a lot of those fruity genetics,
[43:13.080 --> 43:15.760]  capture the look, some of the turp profile,
[43:15.800 --> 43:19.200]  get the numbers up, but bring that gas into it.
[43:19.200 --> 43:20.600]  So that's really when I started working
[43:20.600 --> 43:24.360]  with the Scooby snacks and started kind of, you know,
[43:24.360 --> 43:26.160]  the way it was created, it was on an accident.
[43:26.160 --> 43:27.520]  So there was no mail of it.
[43:27.520 --> 43:31.040]  So then I basically took the time wreck
[43:31.040 --> 43:32.920]  and then I crossed that with Girl Scout cookies,
[43:32.920 --> 43:35.680]  the same Girl Scout cookies that went into the dog walker
[43:35.680 --> 43:37.080]  to make the Scooby.
[43:37.080 --> 43:40.240]  And then I made Mystery Machine, then Guinness.
[43:40.240 --> 43:43.960]  And once I had that Guinness, anything I touched with that,
[43:44.000 --> 43:47.040]  it really just, it kind of project that Scooby in the gas,
[43:47.040 --> 43:50.080]  got all my numbers up and just really added
[43:50.080 --> 43:53.320]  something very unique to what we had going on.
[43:53.320 --> 43:57.240]  You know, personally, the fruit stuff, I love it,
[43:57.240 --> 43:59.200]  but it just doesn't get me high.
[43:59.200 --> 44:00.240]  I smoke way too much weed.
[44:00.240 --> 44:03.720]  So I do like a little bit more of the narcotic,
[44:03.720 --> 44:04.840]  as Shane would say.
[44:05.680 --> 44:08.800]  So, you know, definitely I love all the fruit stuff
[44:08.800 --> 44:12.800]  and my early lineage, you know, with Galactic Jack,
[44:12.840 --> 44:15.960]  Mary and Barry, you know, Mary and Barry eventually
[44:15.960 --> 44:17.080]  is what went into Skittles.
[44:17.080 --> 44:19.600]  Again, you know, people love to rename shit.
[44:19.600 --> 44:22.360]  AKA Head Dog is now the Flawn.
[44:22.360 --> 44:24.200]  You know, once things get out,
[44:24.200 --> 44:26.360]  they always morph into other people's stuff, which is cool.
[44:26.360 --> 44:28.720]  It used to piss me off, but it's humbling now.
[44:29.600 --> 44:33.400]  You know, I'm definitely more of a gas person,
[44:33.400 --> 44:35.280]  but you know, you've got to take
[44:35.280 --> 44:39.000]  all these different cultivars to make and create new things.
[44:39.000 --> 44:40.880]  You know, I just think it's what you hunt.
[44:41.040 --> 44:43.600]  My biggest passion over the last couple of years
[44:43.600 --> 44:45.160]  is just mass scale hunting.
[44:45.160 --> 44:48.320]  And that's what recreational has done for a lot of us
[44:48.320 --> 44:49.960]  and working with myself.
[44:49.960 --> 44:52.720]  And I know these guys have worked with Jord.
[44:52.720 --> 44:56.360]  We've been able to hunt over the last five years at a scale
[44:56.360 --> 44:58.600]  that has really allowed us to find
[44:58.600 --> 45:01.000]  more elite, unique genetics.
[45:01.000 --> 45:03.400]  And then with, you know, I know all of us
[45:03.400 --> 45:05.160]  where we started, we're definitely more old school,
[45:05.160 --> 45:06.760]  you know, stem rub.
[45:06.760 --> 45:09.600]  You know, I remember when testing first came out
[45:09.600 --> 45:11.280]  and I brought a list of testing,
[45:11.280 --> 45:15.920]  I think it was to the 2012 San Francisco cup.
[45:15.920 --> 45:17.320]  And, you know, Sub was blown away
[45:17.320 --> 45:20.560]  about all the information we had from Pat Marshall's lab,
[45:21.360 --> 45:23.040]  you know, Sunrise Analytical.
[45:23.040 --> 45:27.040]  And, you know, that was really the kind of the 2011, 12 era
[45:27.040 --> 45:29.680]  where I started going to a completely different direction
[45:29.680 --> 45:30.760]  in terms of that.
[45:31.640 --> 45:33.800]  But it was one of those things that once Sub
[45:33.800 --> 45:35.120]  saw kind of what I was doing,
[45:35.120 --> 45:38.360]  he actually kind of pushed me in that direction.
[45:38.360 --> 45:40.000]  But originally, like Shane said, you know,
[45:40.000 --> 45:43.320]  the fruit forward was definitely really the goal of his
[45:43.320 --> 45:46.320]  and, you know, us working for him and with him,
[45:46.320 --> 45:48.760]  you know, we all kind of tried to, you know,
[45:48.760 --> 45:52.440]  create what he was looking for so we could be distributed.
[45:52.440 --> 45:54.960]  But definitely the way that that man could describe,
[45:54.960 --> 45:57.640]  you describe something, you know, he'd smell something
[45:57.640 --> 45:59.640]  and, oh, cherries and this and that.
[45:59.640 --> 46:02.520]  It was always cool to see him dissect something
[46:02.520 --> 46:04.360]  with his passion.
[46:04.360 --> 46:05.200]  Awesome.
[46:05.200 --> 46:07.720]  Hey, so we got a question from one of the viewers
[46:08.080 --> 46:10.560]  that asked, Pat, did you cross the space dude
[46:10.560 --> 46:13.240]  to the GSC a couple of years ago?
[46:13.240 --> 46:14.960]  Yeah, yep.
[46:14.960 --> 46:17.520]  That was one of the ones that I gave out as freebies.
[46:17.520 --> 46:19.240]  It was a one and done.
[46:19.240 --> 46:21.040]  It was the same Girl Scout cookies
[46:21.040 --> 46:23.440]  that went into Scooby snacks.
[46:23.440 --> 46:26.080]  The same one that went into Girl Time.
[46:26.080 --> 46:29.000]  I don't even know if there was ever a name for it,
[46:30.240 --> 46:32.000]  you know, but yes, I did.
[46:32.000 --> 46:33.520]  Awesome.
[46:33.520 --> 46:36.080]  So Jinx, you wanna talk a little about Fruit Forward
[46:36.080 --> 46:39.640]  and kind of how it's evolved over time with you?
[46:39.640 --> 46:41.880]  Yeah, for me, I've always enjoyed it,
[46:41.880 --> 46:46.440]  except for I've never been a huge fan of the lemon bud,
[46:46.440 --> 46:48.800]  which seems to be so popular.
[46:48.800 --> 46:51.520]  I mean, I'm kind of a guy that gets like that
[46:51.520 --> 46:53.760]  with anything anyways, when something gets popular,
[46:53.760 --> 46:55.720]  I'm like, eh, you know, like I'm over it.
[46:55.720 --> 46:57.680]  And, you know, there's some great strains, obviously,
[46:57.680 --> 47:00.240]  that are just so lemon dominant,
[47:00.240 --> 47:02.160]  but to me, it's just not that special.
[47:02.160 --> 47:05.320]  For me, with my strains on the hammer,
[47:05.320 --> 47:07.320]  if you get the goo berry side,
[47:07.320 --> 47:09.920]  I mean, it's just straight berries, no doubt about it.
[47:09.920 --> 47:13.840]  I mean, there's several phenols of the hammer,
[47:13.840 --> 47:15.000]  of all the strains I've ever done,
[47:15.000 --> 47:17.840]  it probably has the most phenols.
[47:17.840 --> 47:20.080]  If you get the Jesus OG Don one,
[47:20.080 --> 47:22.200]  it's definitely not fruit at all, you know,
[47:22.200 --> 47:26.720]  but I always kind of joke with the goo berry from the hammer
[47:26.720 --> 47:29.520]  that I did, I also did Jesus OG
[47:29.520 --> 47:31.400]  when I created my mother tongue,
[47:31.400 --> 47:34.960]  which had the electric watermelon in it.
[47:36.000 --> 47:38.160]  And the electric watermelon and the goo berry,
[47:38.160 --> 47:40.160]  or the berry goo berry dominant,
[47:40.160 --> 47:43.760]  I would smoke those strains if they didn't get you high,
[47:43.760 --> 47:45.600]  because they're just so fun to smoke,
[47:45.600 --> 47:47.480]  it's just like, you just can't believe it, you know,
[47:47.480 --> 47:50.440]  it's like smoking a piece of candy or something, you know,
[47:50.440 --> 47:53.520]  but the goo berry is a Afghani dom,
[47:53.520 --> 47:56.320]  so it does get you plenty stone, you know,
[47:56.320 --> 47:57.600]  and same with the mother tongue.
[47:57.600 --> 48:01.320]  The mother tongue, I love some of the feedback I get,
[48:01.320 --> 48:04.960]  because it's so silly if they get the watermelon dominant,
[48:05.640 --> 48:06.480]  I get somebody write me like,
[48:06.480 --> 48:08.600]  I feel like somebody just slapped me in the face
[48:08.600 --> 48:10.280]  with a piece of watermelon.
[48:12.000 --> 48:14.720]  Some of the replies are just so funny and stuff like that.
[48:14.720 --> 48:17.760]  So I definitely, I enjoy the fruit stuff,
[48:17.760 --> 48:21.560]  but I also enjoy the dinky, you know, gassy stuff.
[48:21.560 --> 48:24.760]  It seemed for a while, for a minute there,
[48:24.760 --> 48:28.200]  all the baked goods took over, you know,
[48:28.200 --> 48:29.800]  once the cookies came in,
[48:29.800 --> 48:31.800]  and all the strains are named after baked goods
[48:31.800 --> 48:34.120]  or different kinds of cookies and stuff like that,
[48:34.120 --> 48:36.680]  which, you know, I've incorporated some of that stuff,
[48:36.680 --> 48:38.280]  but it's not really my deal.
[48:38.280 --> 48:40.200]  I'm definitely more of the dinky, gassy,
[48:40.200 --> 48:43.360]  or on the fruit side things are my favorites.
[48:45.600 --> 48:47.240]  Pat touched on the testing too,
[48:47.240 --> 48:50.520]  which was a big deal with sub two,
[48:50.520 --> 48:55.080]  and I've seen some companies throw up pages,
[48:55.080 --> 48:57.360]  like I'm taking these down and these will, you know,
[48:57.360 --> 48:58.880]  I'll be available soon,
[48:58.880 --> 49:01.400]  and then the seeds will be available in like two weeks.
