[00:00.000 --> 00:02.000]  era
[31:39.450 --> 31:45.650]  Are you breeding auto flower to something photo period and then trying to bring the auto flower traits back or?
[31:46.090 --> 31:50.650]  I'm doing both because the lion claws a hundred day auto and
[31:51.330 --> 31:56.050]  Then a lot of the other autos I get are the you know, 60 to 75 day
[31:56.170 --> 31:59.330]  But I did a huge that's just quickly that's good
[31:59.330 --> 32:04.530]  You said that cuz I get asked that question all the time like how long does it take to flower and I'm always like
[32:05.170 --> 32:12.570]  And I always like I think 90 is my guess cuz I totally forgot so a hundred is that the answer?
[32:13.090 --> 32:16.330]  Yes, oh, but autos so autos are not
[32:17.010 --> 32:21.410]  For the lion claw. Yeah for the line club autos in general. They're they're a hundred
[32:21.410 --> 32:26.130]  Not for the lion claw. Yeah for the line club autos in general. They're
[32:27.890 --> 32:29.770]  Not photo
[32:29.770 --> 32:32.810]  Dependent but they are photo influenced and weather influence
[32:32.810 --> 32:38.850]  So if it's colder and and wetter they're gonna go longer and if it's hotter and more sunshine
[32:38.850 --> 32:42.190]  They'll go shorter like our summer run of the lion claw goes 90 days
[32:43.290 --> 32:45.290]  whereas the early spring run will be like a
[32:46.810 --> 32:50.170]  110 and then when I do my like late season
[32:51.890 --> 32:53.890]  Usually for seed it takes them
[32:54.570 --> 32:59.610]  Like 125 days to mature, but it's like, you know, I'm harvesting those in December
[32:59.610 --> 33:05.770]  Is that because in their native environment where it gets cold fast and you better finish?
[33:06.410 --> 33:07.690]  like
[33:07.690 --> 33:14.490]  They're judging the hot days as like shit. This is about to end. So I need to like finish up. Oh, maybe yeah
[33:14.490 --> 33:16.490]  I mean, they're definitely influenced by the
[33:16.930 --> 33:18.930]  The weather and and
[33:19.250 --> 33:21.690]  autos will do I've seen them do weird things like
[33:22.210 --> 33:25.930]  my early spring runs before when they then you get a heatwave and they're like
[33:26.210 --> 33:29.530]  Some of them will even like revenge and then flower again
[33:30.370 --> 33:32.690]  Yeah, they just they do weird stuff
[33:33.610 --> 33:34.610]  like
[33:34.610 --> 33:36.610]  flower under 24 hours of light
[33:37.630 --> 33:39.630]  Which is cool
[33:41.610 --> 33:44.970]  Any interesting observations for autos and winter runs
[33:45.970 --> 33:47.970]  Yeah, I mean
[33:48.330 --> 33:54.170]  Against like cold weather and humidity XYZ. Oh, yeah, cuz I've done some late season
[33:54.730 --> 33:57.770]  breeding hoops with clones and autos and like let them
[33:58.010 --> 34:02.970]  pollinate I did one and you can tell which ones are the clones and which ones are the autos because the clones are like
[34:02.970 --> 34:04.610]  Oh help
[34:04.610 --> 34:09.570]  You know, they're like barely buds and the autos are like, oh those the autos are the nugs in there
[34:10.570 --> 34:12.570]  And
[34:12.570 --> 34:18.290]  They really of course because it's like colder and the sun's less intense. They definitely like a nice
[34:19.010 --> 34:23.930]  And they get that it would be a good hash run like you if you were to grow like, you know
[34:24.450 --> 34:28.970]  In a climate where you could pull off a late-season auto run for hash. I'm sure it would make really good hash
[34:30.090 --> 34:37.130]  Where you live does it freeze at all like in LA I never worry about
[34:37.130 --> 34:41.650]  It even dipping the freezing so like all year I'm growing
[34:42.650 --> 34:46.930]  And never like stressing about it's just like obviously it'll be different but like
[34:48.330 --> 34:53.330]  Can you grow all winter or like are you in a greenhouse in the winter?
[34:54.250 --> 34:56.250]  No, I mean at all
[34:57.690 --> 35:03.610]  Yeah, and that's kind of as like an outdoor farm you kind of want that winter reset to like I wouldn't want to be
[35:03.610 --> 35:07.530]  But in that without assisting with heat I
[35:08.770 --> 35:14.850]  Couldn't grow in a greenhouse all winter and then and then sometimes because I but I I have I do like to do
[35:16.130 --> 35:22.410]  Like I start some auto seeds in August to grow in a greenhouse for seeds and are and they'll finish up
[35:22.410 --> 35:25.410]  You know in December and sometimes we get a hard frost
[35:26.930 --> 35:28.930]  Early in December
[35:29.050 --> 35:32.010]  Sometimes it's later and this is like in December
[35:32.090 --> 35:35.690]  It just depends on the wind then on a hard frost night. I will turn on a heater
[35:36.570 --> 35:38.570]  because
[35:39.130 --> 35:42.650]  It would it would kill them in a greenhouse
[35:43.530 --> 35:45.530]  And that's like, you know where it's
[35:46.170 --> 35:49.010]  Our hard freeze so that's 20 degrees
[35:51.530 --> 35:57.290]  And that's about as cold as it gets in a normal winter here so that's like 12 below
[35:57.410 --> 35:59.410]  Freezing
[35:59.410 --> 36:03.730]  Yeah, I went from New England to Southern, California
[36:09.050 --> 36:13.410]  Oh, yeah, I mean it's northern California winters are still pretty nice like
[36:15.170 --> 36:17.170]  You know
[36:17.210 --> 36:22.410]  It's like a lightweight winter. Yeah. I mean I wear shorts and flip-flops all winter
[36:23.370 --> 36:27.930]  But people look at me funny. I'm like, oh, yeah, I'm a little bit of a flipper
[36:27.930 --> 36:35.530]  Yeah, I mean I wear shorts and flip-flops all winter but people look at me funny sometimes, you know, uh,
[36:37.050 --> 36:39.050]  Yeah
[36:39.050 --> 36:42.650]  That's funny because in Maine we wear flannels and wool hats even in August
[36:46.250 --> 36:48.250]  Yeah, I
[36:48.970 --> 36:53.210]  Mean are you looking forward to this winter up in Maine?
[36:53.450 --> 36:56.570]  Snowmobiling is what darkness darkness at 430
[36:57.450 --> 37:02.650]  Snowmobiling is one of my favorite activities and usually it's the slow season for growing so they go hand in hand
[37:02.650 --> 37:06.370]  And that's just when I start having fun. So I love when the days start getting short
[37:07.530 --> 37:09.530]  I'm also looking forward to winter
[37:13.120 --> 37:18.120]  That's the weekend so on the farm side of things
[37:19.640 --> 37:21.200]  Are you
[37:21.200 --> 37:25.440]  Like what's the scale of what you're growing and how's it going like
[37:26.320 --> 37:29.500]  How's the California regulated market treating you?
[37:30.920 --> 37:32.920]  Tell us about it
[37:34.240 --> 37:36.240]  We're
[37:38.160 --> 37:46.320]  10,000 square foot of cultivation and we you know, we grow large outdoor plants with lots of spacing and room, you know for
[37:47.680 --> 37:49.680]  permaculture and polyculture in between
[37:51.200 --> 37:54.320]  And then we have a 5 000 square foot nursery. I don't think we're
[37:55.680 --> 37:57.680]  quite at that and
[37:58.240 --> 38:00.240]  You know, the droughts have been hard on us
[38:01.120 --> 38:03.120]  um
[38:03.200 --> 38:05.200]  And
[38:05.680 --> 38:10.160]  You know, it's hard it's been a hard year to sell above the cost of production
[38:10.480 --> 38:13.840]  So that kind of makes hiring like any real labor
[38:14.800 --> 38:16.800]  uh
[38:16.800 --> 38:19.520]  So it's been a shoestring string year so
[38:19.600 --> 38:22.160]  We've scaled back a little bit and if things
[38:23.040 --> 38:28.000]  Continue to in this trend. We'll just keep scaling back till it's profitable and and focusing on the uh,
[38:28.000 --> 38:30.000]  the seeds and the genetics and
[38:31.120 --> 38:33.120]  And the whole
[38:33.360 --> 38:36.160]  Regulatory thing, you know, it's I don't think
[38:37.440 --> 38:39.440]  They want us to succeed
[38:40.560 --> 38:44.080]  Because it wouldn't it wouldn't it wouldn't be a frame like it is
[38:45.040 --> 38:47.920]  No one watching would disagree with that statement
[38:48.000 --> 38:50.000]  um and
[38:50.560 --> 38:54.080]  I don't know. We just had a code enforcement out to the farm
[38:54.880 --> 38:58.800]  So we're supposed to have like a county planner that would help us with like, you know
[38:58.800 --> 39:00.800]  We've been in the program for five years
[39:01.280 --> 39:05.920]  And then you know someone does the complaint on the farm and we have code enforcement now instead
[39:05.920 --> 39:09.680]  And now we have 30 days to fix a bunch of stuff that we should have had like someone help us
[39:09.840 --> 39:11.840]  Work on over the years, you know
[39:12.720 --> 39:16.320]  So you're like we're begging you to help set us up for success
[39:16.400 --> 39:19.680]  You're right and then they like punish you for not
[39:20.460 --> 39:22.560]  Understanding what exactly you need to do
[39:23.200 --> 39:24.880]  on certain things
[39:24.880 --> 39:29.040]  It's just this form of capitalism too. It just doesn't seem to be working out
[39:29.600 --> 39:33.520]  I think it might even be over. It's just we have all haven't realized it yet
[39:35.040 --> 39:36.640]  I think you know
[39:36.640 --> 39:41.280]  I think it's over with that being said. Have you been growing a lot more vegetables this season?
[39:42.240 --> 39:45.200]  You know, um, I've been growing a lot more vegetables
[39:45.280 --> 39:47.280]  you know, um
[39:47.680 --> 39:54.320]  Not a bump a year for veggies for us because we moved into a new house in may and had another baby and I just didn't
[39:55.440 --> 39:58.560]  Have a lot, you know, like the nursery is smaller this year
[39:59.360 --> 40:02.640]  So everything's kind of scaled back, but I look forward to um
[40:03.280 --> 40:05.280]  doing a lot of prep this winter to
[40:06.400 --> 40:11.760]  I I was about to say I look forward to when my kids are old enough that they can help me do my shit
[40:11.760 --> 40:14.640]  Whereas right now they're like they're like
[40:15.760 --> 40:17.760]  We need attention. You're like ah shit
[40:18.640 --> 40:20.640]  Yeah
[40:20.640 --> 40:26.720]  Yeah, I mean I have a the what six two and a half in six months. So it's it's a tight spread. Yeah
[40:27.760 --> 40:29.760]  It's grueling
[40:32.400 --> 40:35.840]  But uh, it's interesting, I mean it's like
[40:36.560 --> 40:43.200]  Talking about different income streams and ways to survive it's like the seed side of things. Yeah, the
[40:44.160 --> 40:46.960]  the traditional farming side of things like
[40:48.160 --> 40:56.160]  The second revenue stream like Casey Casey does a ton of that, right? Oh, yeah. Yeah. Um,
[40:57.760 --> 40:59.760]  Yeah, he has a um
[41:01.280 --> 41:03.680]  I love his post too on facebook and
[41:03.920 --> 41:09.920]  Instagram, um, he was just talking about winter too. This is the dog days of august, you know, this is the the girl
[41:10.560 --> 41:15.520]  Um, but yeah, they do a big market. They do a big market garden. They do a lot of foods and and I think
[41:16.560 --> 41:21.600]  Where he's at they're doing 2,500 square foot and then where his brother has the next door
[41:21.600 --> 41:24.640]  I think they're under well under 10k maybe
[41:25.360 --> 41:27.360]  7,500 square feet
[41:27.360 --> 41:29.760]  um, and yeah, and then you see like him and his
[41:29.840 --> 41:36.080]  Brother and his dad sitting around the table trimming it all too, you know, it's they're definitely a really inspiring cottage industry
[41:36.640 --> 41:38.640]  and but you know
[41:38.640 --> 41:41.680]  Very inspiring farm. Yeah, it sucks because
[41:42.880 --> 41:48.800]  Like all you guys are the people whose weed if anybody is weed should be smoked like grown by
[41:49.360 --> 41:52.960]  Someone should be smoked. It should be all of you guys and uh
[41:54.400 --> 41:56.400]  It it sucks kind of the
[41:56.480 --> 42:02.160]  Where you are where all of you like the most talented are like I may just walk away from this
[42:03.280 --> 42:07.760]  Well, and it's like that, you know, the regenerative sun-grown cannabis really is the best
[42:08.880 --> 42:12.960]  You know, but I think more people drink bud light in america
[42:14.240 --> 42:16.240]  than craft beer
[42:17.360 --> 42:20.080]  And we don't grow bud light. Do you see that?
[42:20.880 --> 42:22.880]  Yes, we don't
[42:22.880 --> 42:28.480]  Grow bud light. Do you see that? Yes. We are a part of the menacingos producers guild
[42:29.600 --> 42:31.600]  um, but we haven't
[42:31.680 --> 42:33.360]  we're gonna have stuff
[42:33.360 --> 42:35.360]  in packaging this year, we kind of
[42:35.920 --> 42:40.800]  You know snuck by another year with bulk sales, but i'm that's one thing I shifted doing too like
[42:42.080 --> 42:45.440]  because in the changing of the industry, you know, we
[42:46.320 --> 42:49.600]  It was like grow a little bit for packaging and then a lot for bulk
[42:50.080 --> 42:51.440]  but
[42:51.440 --> 42:56.320]  No one's buying bulk anymore. So so by growing you mean your own brand? Yeah
[42:56.800 --> 43:00.960]  So we're growing I think 15 varieties this year instead of five varieties on the farm
[43:02.640 --> 43:07.840]  To in in hitting that 10 to town 10 to 20 pound batch per variety to
[43:08.720 --> 43:13.060]  You know try to get um more of a variety out there and into more dispensaries
[43:14.560 --> 43:18.240]  What what do you have to test every 50 pounds so it's like
[43:18.960 --> 43:20.800]  Well, that's what yeah
[43:20.800 --> 43:24.320]  You have to that's why people want to like just distro one of like larger
[43:24.940 --> 43:26.480]  batches
[43:26.480 --> 43:29.200]  but if you're gonna package 10 pounds
[43:30.720 --> 43:32.140]  It's
[43:32.140 --> 43:33.600]  profitable
[43:33.600 --> 43:38.800]  And it's worth it to pay for the testing. Yeah, because I because i've talked to people about like
[43:39.760 --> 43:42.880]  sometimes you'd love to just grow a little bit of something and like
[43:43.360 --> 43:46.320]  Explore it and see if there's like a demand for it
[43:46.400 --> 43:50.400]  But you have to grow enough to make it worthwhile to do the testing
[43:51.360 --> 43:57.840]  yeah, I mean if and really it's you know developing the relationship with you know retail or like the
[43:58.480 --> 44:03.360]  Mendoza producers guilt like these farmer markets that are now becoming available. So it's
[44:05.360 --> 44:11.920]  Yeah, it is an interesting dilemma to you know get your product to the market
[44:14.240 --> 44:18.960]  And educating the marketplace so sorry as those types of like
[44:19.580 --> 44:23.600]  Saturday afternoon, uh farmers markets
[44:24.880 --> 44:28.560]  Because like i've seen posts where it seems like you guys are doing more and more of those
[44:28.560 --> 44:33.600]  So is everybody kind of like holy shit I can do again what I did like eight years ago
[44:34.320 --> 44:36.480]  And when I was most happiest in life
[44:38.080 --> 44:42.800]  Yeah, I mean it is a a beautiful thing I don't think it's
[44:44.320 --> 44:47.760]  Not sure how it's like translating into like sales like if it's
[44:49.840 --> 44:55.920]  Uh enough yet, but it's still in the early stages of doing it in this now legal and regulated market
[44:58.960 --> 45:03.920]  What are some of the food groups of the 15, uh genetics that you're running on the farm this year
[45:04.320 --> 45:08.720]  And also if you're doing six personals, what are the food groups on the ones that you're going for yourself?
[45:10.640 --> 45:14.000]  Um, yeah, well the part of the
[45:15.920 --> 45:17.600]  I mean when
[45:17.600 --> 45:21.440]  Prop 64 passed. Um, I pushed my dad to go legal
[45:22.240 --> 45:28.080]  Because of the nursery license where we could flower out 5 000 square foot for seed production. So I do a lot of my
[45:28.720 --> 45:30.720]  Research and development in the nursery
[45:30.720 --> 45:33.840]  So then I find something that really does well in the nursery
[45:34.000 --> 45:37.440]  And then I move it over to the flower side or if I got a good feeling about something
[45:38.640 --> 45:40.080]  so
[45:40.080 --> 45:45.280]  A lot of this stuff just came from my own stuff. I hit up some friends too that have like good stuff
[45:45.360 --> 45:52.400]  So i'm growing a batch of like cherry lotus from green source garden i'm growing a batch of dozy cot from stay fly
[45:53.280 --> 45:54.720]  um
[45:54.720 --> 45:56.720]  I'm growing the haze
[45:56.800 --> 45:58.800]  pure haze from covolo
[45:59.520 --> 46:04.480]  Which my friend noah has like acclimated there to the valley floor and covola covolo
[46:04.480 --> 46:11.440]  So it's a november furnisher, which is amazing because the weather is extreme in covolo and the fall like season ending weather
[46:11.520 --> 46:13.520]  And it makes it there
[46:14.320 --> 46:17.520]  Um, i'm growing the you know, like durban poison
[46:18.320 --> 46:20.000]  and then I have
[46:20.000 --> 46:22.400]  The lemon head f3 which is like a willets
[46:22.960 --> 46:28.560]  Tahoe kim that i've been growing for a few years now, but like i'm breeding it down the generation
[46:28.560 --> 46:30.640]  So I got it as like a bat cross one
[46:31.760 --> 46:38.000]  And I don't know if you've grown like ogs out. There's still bottlenecks sometimes that like an f1 is really stable
[46:38.880 --> 46:40.880]  it's
[46:41.360 --> 46:43.840]  Some disliked so I have seen
[46:44.640 --> 46:47.120]  The bat cross one I was growing was pretty stable
[46:47.600 --> 46:52.800]  The f2 was pretty stable. That's how you know, it's bottlenecked if you make an f2 of it and it's like stable
[46:54.560 --> 46:56.080]  Um
[46:56.080 --> 46:59.200]  Oh and i'm growing um glazed cherries, which is also from
[46:59.920 --> 47:03.440]  Green source garden. I think i've made a generation on that and the coffee
[47:05.280 --> 47:09.540]  So, um, and then the sphinx og is a new one that i'm growing for production
[47:10.880 --> 47:13.360]  i'm growing healer from dragonfly earth medicine
[47:15.040 --> 47:17.040]  Um, so none of these were really like
[47:18.160 --> 47:20.160]  market demand because
[47:20.640 --> 47:23.360]  Market demands like well like runs and I don't even know
[47:23.920 --> 47:25.920]  You know say the healer is it?
[47:26.560 --> 47:28.560]  Everybody in la is asking for it
[47:30.240 --> 47:32.240]  I think yeah, no, that's a bummer. I mean
[47:33.280 --> 47:39.200]  Statistically the highest seller and uh, most of the west coast legal market. I think washington oregon and california
[47:39.200 --> 47:43.600]  I think it's blue dream and I can't remember the other one at the top sellers, but it would surprise you
[47:44.400 --> 47:48.800]  I mean it would surprise you if you grew it on your rec farm and tried to put it in the back too
[47:51.280 --> 47:54.160]  Um who how much
[47:55.840 --> 47:59.840]  How much haze are you growing I I guess my question is like
[48:01.680 --> 48:03.680]  It takes longer
[48:04.320 --> 48:05.360]  it
[48:05.360 --> 48:12.480]  Look, you know the yield it's like not like shelf like eye candy look like
[48:14.880 --> 48:20.320]  Is there a way to get consumers or enough consumers who value that and would pay more
[48:22.240 --> 48:25.600]  Like do you see that as I mean happening or are we just kind of fucked
[48:26.640 --> 48:30.080]  No, I I think I I I do like we were growing the swazi gold
[48:30.560 --> 48:32.800]  We're gonna grow a batch out this year and it's like
[48:33.660 --> 48:37.600]  Amazing like sativa smoke and high like
[48:38.800 --> 48:40.800]  So I think for people
[48:41.040 --> 48:43.680]  Who are sativa lovers, which there are more, you know
[48:46.000 --> 48:48.320]  I I think that it does and it will sell
[48:48.960 --> 48:54.240]  Um, and the haze is more probably popular than like the swazi gold just like it has a more popular name
[48:55.360 --> 48:57.680]  Um, but we're going to small batch like, you know, six
[48:59.280 --> 49:01.280]  Six plants that are
[49:02.000 --> 49:04.560]  Um, they're tall and skinny they're like
[49:06.400 --> 49:14.160]  12 13 feet tall right now and maybe the biggest ones are five six feet wide like they're definitely
[49:16.400 --> 49:18.400]  Different than anything i've ever grown
[49:19.520 --> 49:21.520]  I mean i'm excited to smoke it
[49:22.560 --> 49:25.600]  But and I and I think that'll sell like if I go to these
[49:26.320 --> 49:32.960]  The like Laytonville farmer's market with some haze or other other other farmer other farmers would buy it, you know, like yeah
[49:33.600 --> 49:35.600]  It's it's pure haze, you know
[49:35.920 --> 49:41.360]  No, that's cool. So you can grow a little bit know that just kind of like within your local community
[49:41.360 --> 49:46.240]  you'll sell out of it and not have to be like I have a lot of this and I need to convince like
[49:47.040 --> 49:48.960]  the big markets
[49:48.960 --> 49:51.120]  To be like no, you don't understand. It's awesome
[49:51.760 --> 49:53.760]  And it costs me a lot more to grow
[49:54.640 --> 49:56.640]  So you need to sell it for more
[49:57.040 --> 49:59.680]  Well, um, you know, um apple and glow greg
[50:00.480 --> 50:03.280]  You know, he enlightened me on it. It's like it's not about
[50:03.900 --> 50:07.200]  Distro, it's about developing a relationship with retail
[50:07.920 --> 50:12.880]  And then you find whatever distro will fulfill it. So, you know you like this is what we have. This is our farm
[50:12.960 --> 50:15.360]  This is our story. Can we get on your shelves?
[50:16.400 --> 50:18.400]  so then and then you find people who will
[50:19.600 --> 50:22.480]  support and it's then even in the retail it's like
[50:23.440 --> 50:25.440]  Our blue thunder is like 17
[50:26.240 --> 50:28.240]  But it's rocket fuel
[50:28.560 --> 50:34.160]  But you have to have someone who's willing to carry that and have someone who's willing to like educate their consumers on it
[50:34.720 --> 50:36.720]  because everyone's so hyped about
[50:37.280 --> 50:42.800]  You know thc numbers when there's so much more, you know going on in the plant that's gonna um affect you
[50:44.480 --> 50:46.480]  So it
[50:47.200 --> 50:49.200]  It is interesting
[50:49.280 --> 50:51.280]  So
[50:51.280 --> 50:53.280]  Yeah, now that that's
[50:54.800 --> 50:56.640]  Given kind of
[50:56.640 --> 51:01.120]  What the market dictates it will value it's a bummer
[51:01.840 --> 51:04.160]  Knowing what the consequences of that will be
[51:05.680 --> 51:07.680]  And hopefully
[51:08.160 --> 51:13.200]  You know, it's like the craft wine where you're just like this shit's amazing and there's not a lot of it
[51:13.920 --> 51:15.920]  um
[51:16.080 --> 51:18.080]  And there's a lot to explore
[51:18.560 --> 51:20.560]  Which is why it'd be a bummer of like
[51:21.920 --> 51:24.240]  All these farms started shutting down
[51:25.360 --> 51:26.800]  Yeah, I mean, you know
[51:26.800 --> 51:30.560]  The mendocino county sheriff put out a statement from their surveillance. Uh,
[51:31.120 --> 51:34.960]  Aerial surveillance. It looks like 40 of fields are not planted this year
[51:35.920 --> 51:39.600]  It's probably more like our closest neighbors aren't growing
[51:40.880 --> 51:45.840]  You know, there's just a handful of people on this mountain still growing and only I think two legal farms
[51:46.640 --> 51:48.320]  You know
[51:48.320 --> 51:50.320]  it's uh
[51:51.520 --> 51:53.280]  Yeah, I mean you look at um
[51:53.280 --> 52:00.260]  How many small businesses walmart put under how many amazon's putting under it's the same thing happening in cannabis and it is unfortunate
[52:01.920 --> 52:04.800]  But I don't know I I uh
[52:06.720 --> 52:10.400]  I'm hoping there's a silver lining somewhere and and it might just be now that like
[52:10.560 --> 52:12.720]  Everyone's in the belly of the beast together now
[52:13.280 --> 52:14.880]  and we better
[52:14.880 --> 52:17.040]  Cut our way out before we come become poop
[52:20.650 --> 52:22.330]  Yeah
[52:22.330 --> 52:25.710]  Travis would now be the time to play some inspirational music
[52:27.750 --> 52:29.750]  Absolutely
[52:29.770 --> 52:32.090]  Did he reach back out to you or no, is he awake?
[52:32.730 --> 52:34.730]  uh, probably not but uh
[52:35.450 --> 52:37.930]  I can I can play it again tomorrow. So
[52:39.610 --> 52:45.930]  Uh to give context, uh, that's great. We're hearing that though. I have to say that before the positivity, uh
[52:47.210 --> 52:49.370]  Yeah, empty farms. Greg. Mar
[52:49.930 --> 52:56.250]  Yeah. Yeah, I I coined it the great california thistle bowl because you drive past like these old
[52:56.810 --> 52:59.930]  You know these hoop houses and there's just thistles growing. Yeah
[53:02.410 --> 53:04.490]  But it's it's changed, you know, it's in
[53:05.930 --> 53:11.930]  I think there really is like a bigger picture on you know, this like form of economics and capitalism
[53:12.010 --> 53:14.810]  That's just extracting everything and it you know
[53:15.770 --> 53:18.890]  Uh, I think we have an opportunity to
[53:19.930 --> 53:23.850]  you know do support farms and brands that are doing regenerative practices and
[53:25.290 --> 53:27.290]  Well, I I I feel like
[53:28.170 --> 53:30.170]  all of you
[53:30.170 --> 53:31.930]  Need to survive
[53:31.930 --> 53:36.890]  Until it turns into a normal market like in a normal market. You can sell your
[53:38.250 --> 53:40.250]  spanish wine to
[53:40.810 --> 53:43.130]  New york or your french wine like
[53:43.770 --> 53:45.770]  your china
[53:47.050 --> 53:53.930]  Yes, no, so so like 32 in in normal world like
[53:55.610 --> 53:57.610]  You're growing in a
[53:57.770 --> 54:03.130]  You're in like one the the wine growing like the best wine growing regions of the world
[54:03.610 --> 54:05.610]  And everyone's like we want their stuff
[54:06.330 --> 54:11.290]  Right, and uh, if you could just do that all of you guys would be like, ah
[54:12.010 --> 54:15.530]  This is I mean you have to you have to you have to wonder why we can't do that now
[54:15.530 --> 54:18.490]  Why it's not like been federally legalized too, you know
[54:19.290 --> 54:21.290]  Yeah
[54:22.010 --> 54:26.090]  But what's interesting is then they're the glass houses down in in uh
[54:26.890 --> 54:28.410]  now in ventura
[54:28.410 --> 54:31.470]  Who are like we're the opposite end of the spectrum?
[54:31.930 --> 54:36.510]  We're we want to be massive so that we can sell the budweiser
[54:38.150 --> 54:39.610]  Globally
[54:39.610 --> 54:41.210]  um
[54:41.450 --> 54:43.770]  and you guys would want to sell the craft and and
[54:44.970 --> 54:47.930]  Yeah, didn't they know you don't want to live in a glass house? Isn't that?
[54:48.330 --> 54:51.370]  You know, like I don't isn't that like the the moral of that story?
[54:52.010 --> 54:55.930]  But in the short term they're pumping out so much supply
[54:57.210 --> 55:00.570]  Right that like the rest of you are like would you guys stop doing that?
[55:01.610 --> 55:04.890]  I mean that that's I think that's uh a small part of the problem
[55:04.970 --> 55:09.850]  I think a much larger part of the problem was like there's the rollout of of 64 too
[55:10.570 --> 55:13.610]  I mean for one we're supposed to have like this
[55:14.170 --> 55:19.050]  You know, it wasn't supposed to be like till 2023 until anyone was allowed to grow more than one acre
[55:19.850 --> 55:23.050]  You know and they didn't we didn't get six months and then you know
[55:23.190 --> 55:28.670]  California had medical since 96 and there was no transitional rollout from medical to recreational
[55:29.050 --> 55:32.650]  It was all medical operations stopped start from scratch
[55:33.530 --> 55:36.170]  record here you guys, you know, it just it was
[55:36.250 --> 55:42.810]  And I I you know the um conspiracy theorist in me has to wonder if it wasn't on purpose, you know
[55:43.850 --> 55:45.850]  We'll find out now that like so now
[55:45.990 --> 55:48.170]  California heritage farmers are going under
[55:48.970 --> 55:55.850]  We'll see if it becomes legal next year that they did it on purpose. It's like federal legalization happens in 2023. It's like
[55:59.140 --> 56:02.500]  Anyway, yeah get out the tinfoil guys. We're going deep
[56:02.580 --> 56:04.580]  I
[56:04.820 --> 56:08.440]  Left, uh, I left california in uh mid 2017
[56:09.540 --> 56:16.420]  And it wasn't because prop 64 it was because of uh, lots of various, uh situations including living conditions, but
[56:17.380 --> 56:20.580]  It seems like it was a blessing in disguise. I mean, they're really
[56:22.900 --> 56:28.660]  Like I would have said I could I definitely would have and tried to you know, keep living the dream but
[56:28.820 --> 56:35.060]  It's crazy, yeah, I mean it's an interesting dream to hold on to it's like mediterranean climate mediterranean climate love growing things
[56:35.780 --> 56:41.300]  What the fuck are you guys doing in california though with the pot? You know and all other stuff, you know the rent and the
[56:42.180 --> 56:44.180]  crazy
[56:46.180 --> 57:02.930]  Yeah, that's kind of what I was saying before is if you can just last a little longer
[57:04.210 --> 57:07.410]  Well, you know luckily, you know, it's this is family land and it's
[57:07.570 --> 57:13.810]  That's huge and it's yeah and it's a regenerative agriculture, which is you know affordable because
[57:15.010 --> 57:16.130]  uh
[57:16.130 --> 57:18.130]  You know, you're closing the loops in the system
[57:18.130 --> 57:22.850]  You're building you're like building this healthy living soil, which you know doesn't need a lot of inputs
[57:24.370 --> 57:28.130]  Um and like heart rocks like, you know, it's like uh people want to cut like
[57:29.330 --> 57:33.810]  You know, it's I think interns is always a good thing. I mean, you know, it's it's it's it's
[57:33.810 --> 57:40.370]  You know, it's I think interns is also part of the future too because people hit me up all the time to come like
[57:40.450 --> 57:43.810]  Learn on the farm for a season. So I think we might start taking people up on that
[57:44.450 --> 57:47.730]  You know, i'd love to get a couple interns for next year who want to like
[57:48.370 --> 57:54.130]  Not only learn how to grow calf cannabis, but see the whole nursery production from seed to pollen to see it again
[57:55.090 --> 57:58.210]  I again if I didn't have the kids I would like to do that
[57:58.690 --> 58:05.170]  I mean shoot property's gonna be cheap around here. We could just you know, buy up all the mountaintop and you know start a
[58:05.970 --> 58:07.730]  cult or something
[58:07.730 --> 58:12.610]  You know, just just just hear me out just enough of a cult where the government leaves you alone
[58:13.330 --> 58:19.330]  But not enough of a not too much of a cult where they don't you know, there's a fine line, you know where the you know
[58:21.490 --> 58:23.490]  What do you guys think about
[58:23.730 --> 58:26.770]  keeping overhead low as opposed to
[58:27.730 --> 58:33.090]  Trying to put your energy into generating more sales, which i'm kind of picking up as far as like owning the property
[58:33.090 --> 58:36.230]  You're trying to work off of and not renting a warehouse or xyz
[58:36.770 --> 58:40.690]  Do you guys see that smart part of the strategy to just keep overhead low?
[58:41.250 --> 58:47.650]  In this in between time before federal is federal legalization instead of trying to just dominate the sales space
[58:48.370 --> 58:50.370]  Oh, yeah. I mean that's definitely
[58:51.490 --> 58:53.490]  Part of the strategy. It's just it's
[58:54.450 --> 58:56.450]  It's hard to grow
[58:57.250 --> 59:04.850]  like especially on a small, you know, we're like a mountain farm or not a tractor farm either, you know, but it produces like
[59:05.970 --> 59:08.770]  Really high quality can you know, we're northwest slope
[59:09.490 --> 59:10.930]  You know in the pine forest
[59:10.930 --> 59:16.770]  So we're getting that nice shade like people are spending money to cover their ganja with like, you know shade cloth and stuff
[59:16.770 --> 59:19.650]  You know, it really produced a high quality resin and flower
[59:20.450 --> 59:22.450]  But it's and then harvest labor
[59:23.250 --> 59:31.010]  The so even when you if you cut all the costs you can during the seat harvest is just the beast it's really hard
[59:32.610 --> 59:34.930]  You know to get around that, um
[59:38.210 --> 59:40.210]  Uh, I don't you know
[59:40.770 --> 59:46.450]  We're gonna try maybe like using some maybe some labor contractors for for some part of some
[59:46.770 --> 59:51.730]  Of the aspects of harvesting which if you can get some professionals that I can come in for something, you know
