[00:00.000 --> 00:02.000]  We're doing an introduction.
[21:38.000 --> 21:39.000]  It's price point.
[21:39.000 --> 21:41.000]  It's positioning on the shelf sometimes.
[21:41.000 --> 21:43.000]  There's a lot of psychological and physical factors involved.
[21:43.000 --> 21:46.000]  But at the end of the day, it's the people that drive it before the product.
[21:46.000 --> 21:53.000]  And I think this is where I think as an activation strategy and as an individual, just be out there, be present, be involved.
[21:54.000 --> 21:58.000]  And so, when you guys look to go advance your brands in the market, it's not just concerts.
[21:58.000 --> 22:02.000]  It's not just co-branding products and material.
[22:02.000 --> 22:04.000]  It's literally going out and visiting the people.
[22:04.000 --> 22:11.000]  You being here is creating recognition and profile and interest in Loophole because I got to meet you and talk to you about this vision and this plan.
[22:11.000 --> 22:15.000]  And this idea of supporting emerging artists and how important that is.
[22:15.000 --> 22:16.000]  We're all here trying to do that too.
[22:17.000 --> 22:23.000]  Breed that next generation of just intense, informed advocates that are emboldened and passionate in what they do.
[22:23.000 --> 22:25.000]  And that is all I want to see.
[22:25.000 --> 22:27.000]  And so, when music comes into that, way better.
[22:27.000 --> 22:30.000]  I mean we didn't have music on the rooftop before 20.
[22:30.000 --> 22:33.000]  And then we did downstairs and the vibe was way better downstairs.
[22:33.000 --> 22:35.000]  You can't miss music ever.
[22:35.000 --> 22:39.000]  And so, not to see it represented in an authentic way is so like, huh.
[22:39.000 --> 22:40.000]  It's not just authentic.
[22:40.000 --> 22:41.000]  I think that was the really big thing.
[22:41.000 --> 22:42.000]  It was authentic.
[22:42.000 --> 22:45.000]  It was just lacking that.
[22:45.000 --> 22:46.000]  It was just absolutely lacking that.
[22:46.000 --> 22:48.000]  And again, I come back to it.
[22:48.000 --> 22:52.000]  The really cool opportunity, I think, if you look at how fast this industry moves now.
[22:52.000 --> 22:56.000]  People who are sourcing the really, really great local BC craft stuff.
[22:56.000 --> 23:06.000]  We think we have a really great opportunity to help make that product become big, get the scale, get the size, really position it like cookies and really build this into a lit thing.
[23:06.000 --> 23:11.000]  But you do it, I would hope, in a very granular way.
[23:12.000 --> 23:15.000]  And really work with, don't be afraid to work with a lot of different producers.
[23:15.000 --> 23:17.000]  Even on the same strain.
[23:17.000 --> 23:19.000]  But be honest about the variety and the pheno.
[23:19.000 --> 23:21.000]  And just talk about the grower.
[23:21.000 --> 23:29.000]  People understand that every time you take a seed or cutting or whatever you're doing and you grow it under your conditions, under your methodology, it's different every time.
[23:29.000 --> 23:31.000]  And so, really lean into that.
[23:31.000 --> 23:38.000]  And the artists, I think, if you look at the compliance framework and how restrictive it is, it's more based around like, everyone's focused on the product.
[23:38.000 --> 23:40.000]  Focus on the purpose and the passion of the people.
[23:40.000 --> 23:42.000]  And just talk about it.
[23:42.000 --> 23:43.000]  Don't sell it.
[23:43.000 --> 23:45.000]  So, I don't know anything about this.
[23:45.000 --> 23:47.000]  But my wife, we were talking yesterday.
[23:47.000 --> 23:57.000]  And she was like, if I could be guaranteed of how I felt every time I smoked a certain amount, I would do it way more often.
[23:57.000 --> 24:00.000]  But she said to me, you're always saying to me, oh, this one's really chill.
[24:00.000 --> 24:01.000]  Don't worry.
[24:01.000 --> 24:04.000]  And I take a puff and I'm like totally fucking high.
[24:05.000 --> 24:13.000]  What in the science, what possibilities are there to make that happen with THC?
[24:13.000 --> 24:14.000]  You're hearing now.
[24:14.000 --> 24:16.000]  I mean, you look at the product formats that are coming out now.
[24:16.000 --> 24:27.000]  This is where I was always so excited about legalization, actually, as a person that came from legacy because I knew the sophistication and the science behind what we could do once legalization integrated and allowed for commercial capacity.
[24:27.000 --> 24:29.000]  We would just, all the products would take off.
[24:29.000 --> 24:31.000]  Because they're not going to be made in a bucket in some guy's whatever.
[24:31.000 --> 24:32.000]  Right?
[24:32.000 --> 24:35.000]  These are proper labs, proper facilities, GMP, GPP.
[24:35.000 --> 24:38.000]  They're going to be putting a banging fire on the shelf.
[24:38.000 --> 24:42.000]  And they're going to be in formats that are going to be accessible to more consumers.
[24:42.000 --> 24:43.000]  Right?
[24:43.000 --> 24:45.000]  So your wife may like a drink with like nano emulsion.
[24:45.000 --> 24:47.000]  So just the onset and offset are really quick.
[24:47.000 --> 24:52.000]  Like you can have a 90 minute experience on a very set milligram count because there's going to be no wavering from that.
[24:52.000 --> 24:55.000]  You like 2.5, you like 5, you like 10, you like 20.
[24:55.000 --> 24:56.000]  Hopefully you like 100.
[24:56.000 --> 24:57.000]  We'll get the regs there eventually.
[24:57.000 --> 24:59.000]  But baby steps.
[24:59.000 --> 25:00.000]  And this is what we're doing.
[25:00.000 --> 25:06.000]  You being here, being present, being active as people first will change and move the needle on things.
[25:06.000 --> 25:07.000]  Every single time.
[25:07.000 --> 25:14.000]  And, again, as a musician, then representing that and confusing that in your music and being honest about it when asked and being an advocate in that way.
[25:14.000 --> 25:15.000]  Right?
[25:15.000 --> 25:21.000]  Like that's the one thing in retail I always try to focus on is where I think you guys are going to be so successful is you're not just creating customers.
[25:21.000 --> 25:22.000]  You're creating advocates.
[25:22.000 --> 25:25.000]  And that extends beyond the transaction every single time.
[25:25.000 --> 25:36.000]  And so what your artist and what that creative experience and expression is going to look like for them as they enjoy your products, please dig deeper and deeper, not into the product, but into the people.
[25:36.000 --> 25:42.000]  And you will always win and you're always going to be able to maneuver the regulations that way because the regulations are really fixed on the product.
[25:42.000 --> 25:43.000]  Right?
[25:43.000 --> 25:48.000]  And, again, you have to be careful in terms of characterization and celebrity endorsement and all those other elements that are technical.
[25:48.000 --> 25:51.000]  But the real narratives actually aren't restricted.
[25:52.000 --> 25:54.000]  And you can have voice overlay on plant video all day.
[25:54.000 --> 25:55.000]  Right?
[25:55.000 --> 25:57.000]  Like this is where you've got to be creative.
[25:57.000 --> 25:58.000]  That's a very good point.
[25:58.000 --> 26:05.000]  People have to know how and who and what you do is valuable to them and valuable to you more importantly and they want to resonate with that.
[26:05.000 --> 26:06.000]  Totally.
[26:06.000 --> 26:07.000]  Be authentic in that expression.
[26:07.000 --> 26:08.000]  Totally.
[26:08.000 --> 26:12.000]  If it's at a concert, at the beach, whatever, I'm going to take Loop4 with me because I understand I'm vibing with that.
[26:12.000 --> 26:14.000]  They support artists.
[26:14.000 --> 26:15.000]  I love music.
[26:15.000 --> 26:16.000]  Great strains.
[26:16.000 --> 26:17.000]  Great cultivars.
[26:17.000 --> 26:20.000]  Great expressions of the people that do what they love.
[26:20.000 --> 26:22.000]  That's what I want to see come out of Loop4.
[26:22.000 --> 26:28.000]  That's what retailers and bud tenders and consumers are going to resonate with and that's why they're going to come back and get that fifth purchase.
[26:28.000 --> 26:29.000]  Right?
[26:29.000 --> 26:33.000]  It's the same logic as a band.
[26:33.000 --> 26:34.000]  You know?
[26:34.000 --> 26:39.000]  Like when we play shows now, we're trying to make people buy tickets for the 20th time sometimes.
[26:39.000 --> 26:48.000]  So it's taken years to form a relationship with people where they feel like it's worth buying it for that 20th time and not going and seeing the new thing.
[26:49.000 --> 26:59.000]  You only do that by actually showing love, by actually doing the thing you say you're going to do and showing up every time and fucking giving everything to it.
[26:59.000 --> 27:00.000]  Look what these farmers do.
[27:00.000 --> 27:01.000]  Look at this plant.
[27:01.000 --> 27:07.000]  You know how many hours go into all of that expression, the trimming, the hanging, the drying, the angst that comes if there's any issues?
[27:07.000 --> 27:09.000]  How much they bleed into that product.
[27:09.000 --> 27:16.000]  And then the science and complexity and beauty of technology and infrastructure around the extraction methodologies.
[27:17.000 --> 27:18.000]  It's incredible.
[27:18.000 --> 27:27.000]  It's just the synergy and the people that have evolved through this process, through prohibition and now into legalization, we're getting better and more refined every time.
[27:27.000 --> 27:30.000]  Every challenge comes up, we actually overcome it faster.
[27:30.000 --> 27:34.000]  And you look at alcohol rags, you talk about 80 years and it really developed mainstream.
[27:34.000 --> 27:37.000]  Well, you know, just an expression.
[27:37.000 --> 27:39.000]  No, but look at how fast it continues to change.
[27:39.000 --> 27:40.000]  Even 80 years later.
[27:40.000 --> 27:42.000]  10 years from now, this is all going to be wide open.
[27:42.000 --> 27:44.000]  Like Molson changed the name of their company a few years ago.
[27:44.000 --> 27:45.000]  Think about that.
[27:45.000 --> 27:50.000]  They used to be called Molson Coors Brewing Company and now they're the Molson Coors Beverage Company.
[27:50.000 --> 27:53.000]  People are buying vodka sodas, everything like that now.
[27:53.000 --> 27:55.000]  Like weed consumption is up, alcohol is down.
[27:55.000 --> 27:58.000]  Look at how much it's still changing 80 years later.
[27:58.000 --> 28:01.000]  What are we, three years into legalization?
[28:01.000 --> 28:02.000]  That's what I'm saying.
[28:02.000 --> 28:04.000]  This next five to 10 years are going to be tremendous.
[28:04.000 --> 28:13.000]  Now, what's coming along with that, just because of the kind of undermining of the current last two years of COVID and then just a general kind of economic decline on a lot of industries.
[28:13.000 --> 28:17.000]  Cannabis is really being seen as a huge saving grace in all of that.
[28:17.000 --> 28:21.000]  I mean, we contributed $43.5 billion to GDP since 2018.
[28:21.000 --> 28:24.000]  $15 billion in tax revenue, over $100,000 in jobs.
[28:24.000 --> 28:28.000]  And there's not a lot of other industries that have that kind of flex anymore.
[28:28.000 --> 28:30.000]  Territory, completely wiped out during this pandemic.
[28:30.000 --> 28:31.000]  Are they going to surge back?
[28:31.000 --> 28:35.000]  Yes, but their human infrastructure, their supply chain are under great threat.
[28:35.000 --> 28:39.000]  This is a product, like you said, you want to talk about local, keep it regional.
[28:39.000 --> 28:40.000]  That's what we can do here.
[28:40.000 --> 28:50.000]  And we're beginning to see that freeing up of the supply chain happen in a way that's really going to be unique for you to take advantage of, I think, because you're going to be able to get out to the farm and share that experience and bring people.
[28:50.000 --> 28:52.000]  I've got a dear friend of mine, Jeff, in Sweet Valley.
[28:52.000 --> 28:53.000]  He has a green mountain facility.
[28:53.000 --> 28:58.000]  He has this beautiful plot of land and he wants to host amazing fucking concerts there during the summer.
[28:58.000 --> 29:08.000]  Well, if a facility has a research license, if you were to create a star strain, it's totally, Torque has allowed you to go to the facility and to be able to go there and tour and consume and freely.
[29:09.000 --> 29:10.000]  Exactly.
[29:10.000 --> 29:11.000]  If I must.
[29:11.000 --> 29:12.000]  The obligations are heavy.
[29:12.000 --> 29:14.000]  The answer that we may make.
[29:14.000 --> 29:16.000]  But like, no, but like you can do that, right?
[29:16.000 --> 29:20.000]  Like an interesting way of like even connecting and making that a part of the experience.
[29:20.000 --> 29:24.000]  Like you talked about, like the video with the spoken overlay over it.
[29:24.000 --> 29:34.000]  Like there's little things still that you can do that to help like build that like identity, the community, that like the story, the love behind how the thing came to life.
[29:34.000 --> 29:37.000]  Like people just need to be doing that more as well, man.
[29:37.000 --> 29:38.000]  I don't know.
[29:38.000 --> 29:39.000]  We're opening up again.
[29:39.000 --> 29:40.000]  I feel it.
[29:40.000 --> 29:48.000]  I mean, you know, it's going to be progressive, but it's happening and the enjoyment and realization and appreciation, I think, is enriched and renewed in a lot of way.
[29:48.000 --> 29:55.000]  And, you know, I'm sensing the every time you go to a public event, it's like a special thing that we all share because it was taken away from us.
[29:55.000 --> 29:56.000]  Yeah.
[29:56.000 --> 29:59.000]  And so I think we're going to see a real bonding effect happen.
[30:00.000 --> 30:08.000]  And now that the conference scene is now getting momentum again in the industry, we're going to see that community exchange happen more and more and that mycelium get thicker and thicker.
[30:08.000 --> 30:17.000]  We're going to really exchange nutrients and information and best practices and be better every time and learn from, you know, again, experience.
[30:17.000 --> 30:25.000]  And when you infuse the, you know, different perspectives in the room, you know, you get the outcomes that you can't even imagine.
[30:25.000 --> 30:27.000]  And I look at where music hasn't taken cannabis yet.
[30:27.000 --> 30:30.000]  It's been denied that opportunity now in the legalized market.
[30:30.000 --> 30:34.000]  And where are you guys are going to take it in a people sense, in an experience sense, in a product sense?
[30:34.000 --> 30:35.000]  I'm very excited for it.
[30:35.000 --> 30:38.000]  I'm also just excited for it to be back in general.
[30:38.000 --> 30:39.000]  Yeah.
[30:39.000 --> 30:40.000]  Because that sucked.
[30:40.000 --> 30:41.000]  It did.
[30:41.000 --> 30:42.000]  Totally.
[30:42.000 --> 30:43.000]  Sorry.
[30:43.000 --> 30:49.000]  Like that really, really sucked not having like, like I felt like music brings people together so much, man.
[30:49.000 --> 30:50.000]  We have been so disconnected.
[30:50.000 --> 30:54.000]  Like your show at the Phoenix was one of the few that I've been to since it happened.
[30:54.000 --> 30:58.000]  It was just nice to, oh my God, people were all together.
[30:58.000 --> 31:01.000]  And like, you know, like it was 2019.
[31:01.000 --> 31:04.000]  I can't believe we have to reminisce about 2019, by the way.
[31:04.000 --> 31:09.000]  But like my point being is just, it's like, I just, I'm so glad that that is happening again.
[31:09.000 --> 31:10.000]  Yeah.
[31:10.000 --> 31:11.000]  Like shows are being announced.
[31:11.000 --> 31:14.000]  Like that's something that you didn't see for a year and a half.
[31:14.000 --> 31:17.000]  And all of a sudden it's like, whoa, concerts, they're back.
[31:17.000 --> 31:18.000]  Anyway, yeah.
[31:18.000 --> 31:19.000]  I got a question for you.
[31:19.000 --> 31:27.000]  One thing I actually don't have a perspective on yet with Loot Pool is how are the growers reacting to the potentiality of working with artists?
[31:27.000 --> 31:32.000]  I always have the perspective of the artist getting really excited, digging in the garden, learn about how the plants made and like all that.
[31:32.000 --> 31:33.000]  Like, yeah.
[31:33.000 --> 31:34.000]  How are the growers been receiving it?
[31:34.000 --> 31:39.000]  Because, you know, I know you're very careful in your sourcing and, you know, this is a journey you've come to BC on, right?
[31:39.000 --> 31:40.000]  Yeah.
[31:40.000 --> 31:45.000]  You know, really meeting the craft community, talking about your model, how it can activate and empower and enrich a new generation.
[31:45.000 --> 31:48.000]  And so tell me a little bit about what the growers are saying.
[31:48.000 --> 31:58.000]  So, I mean, like with the growers, when people are looking at it, so like originally with a growers going to look at a new company that goes, I'd like to buy, I'd like to buy some flower.
[31:58.000 --> 32:02.000]  What they're going to really look at is to go, how much are you going to move?
[32:02.000 --> 32:04.000]  But also, do they believe in you?
[32:04.000 --> 32:06.000]  Right. Like, like, how are you different than anything else?
[32:06.000 --> 32:08.000]  Or do they really believe in you?
[32:08.000 --> 32:15.000]  And so I think even when they saw this and they sort of saw like understanding it's support created, like it's just a different thing.
[32:15.000 --> 32:17.000]  They saw that it was unique.
[32:17.000 --> 32:29.000]  It really did help us open up conversations and really help us like build on relationships with some of these guys who believe in us to go like, okay, I'm willing to do this because I think this is going to be a long term thing.
[32:29.000 --> 32:38.000]  And what's been exciting about it is it's like, I don't know, like, like, I think for a lot of people, I maybe this is just my peer guess.
[32:38.000 --> 32:41.000]  I think there's a lot of people who've been burned by somebody buying something one off.
[32:41.000 --> 32:43.000]  And then that was it.
[32:43.000 --> 32:47.000]  Because like you came, you sort of threw your shit at the wall, you saw if it tried to stick or not, and it didn't.
[32:47.000 --> 32:50.000]  So I think there's just a lot of skepticism right now.
[32:50.000 --> 32:59.000]  And people, I think, really just want to have confidence that they're going to like get the repeat sales, let alone that it's a partner who they think like it's worth growing with.
[32:59.000 --> 33:07.000]  Because we'll say, okay, so like what we have with one of our like our companies, the Animal Cookies is Dunsberry Farm out of British Columbia here.
[33:07.000 --> 33:09.000]  And it's an incredible strain.
[33:09.000 --> 33:14.000]  And like, now we're talking with them about how we can be able to do, you know, additional strains and additional products with them.
[33:14.000 --> 33:17.000]  Because it's been a hit for us.
[33:17.000 --> 33:20.000]  Like, we've had a great relationship working with the people there.
[33:20.000 --> 33:23.000]  And they see the brand clicking and working.
[33:23.000 --> 33:25.000]  It's like, oh, okay, well, we have some new things coming.
[33:25.000 --> 33:32.000]  That's the really, really cool thing to be building is it's like they're seeing it like this is three months old.
[33:32.000 --> 33:35.000]  This is three months old, you know.
[33:35.000 --> 33:38.000]  But like to be still building that kind of rapport with people.
[33:38.000 --> 33:40.000]  That's really cool.
[33:40.000 --> 33:49.000]  And I think what will be really, really cool is like if they want to help put their places on the map, when we can talk about doing these new like artist co-branded limited editions, they can come and see the thing.
[33:49.000 --> 33:50.000]  Yeah, drops.
[33:50.000 --> 33:56.000]  I'm excited about that too with the album release with with the concert tour with the visit in town.
[33:56.000 --> 34:03.000]  I think there's an accelerated traction of commercial potential here that has yet to be harnessed and enjoyed and invested in further.
[34:04.000 --> 34:06.000]  And it's badly needed by the music industry, right?
[34:06.000 --> 34:07.000]  Yeah, it is.
[34:07.000 --> 34:09.000]  We need each other.
[34:09.000 --> 34:12.000]  You know, you need our ubiquity.
[34:12.000 --> 34:16.000]  You need our ability to reach the audience that you guys are trying to reach.
[34:16.000 --> 34:18.000]  And we need the capital.
[34:18.000 --> 34:19.000]  We need the hype.
[34:19.000 --> 34:25.000]  We need the fucking we need to like I'd stick loop pool on the side of our bus.
[34:25.000 --> 34:26.000]  You know what I mean?
[34:26.000 --> 34:28.000]  Because it's a big fucking bus.
[34:28.000 --> 34:30.000]  And that is space.
[34:30.000 --> 34:34.000]  I just you know, we three years ago was last time we toured in a bus.
[34:34.000 --> 34:43.000]  The price we just got a quote for a bus for 11 days for $41,000 before you get a driver or pay gasoline.
[34:43.000 --> 34:45.000]  And that used to be $12,000.
[34:45.000 --> 34:49.000]  Like everything in the music industry is triple what it used to be.
[34:49.000 --> 34:55.000]  Backline rentals, buses, venues and all the guarantees are lower.
[34:55.000 --> 34:56.000]  Forty one thousand.
[34:56.000 --> 34:59.000]  So the economics of music right now are punishing.
[34:59.000 --> 35:01.000]  And we need partners.
[35:01.000 --> 35:08.000]  We need people who are like who have a mutually beneficial relationship with us where we can both hype our shit.
[35:08.000 --> 35:12.000]  Because there's so much noise in the world too.
[35:12.000 --> 35:22.000]  You know, there's just so much fucking noise in every sphere that the more you can band together with people with the same values and the same core audience.
[35:22.000 --> 35:27.000]  The more deep your message is going to permeate.
[35:27.000 --> 35:29.000]  Give us the fair chance to get that message out there.
[35:29.000 --> 35:31.000]  Let us be like gambling.
[35:31.000 --> 35:32.000]  Yeah.
[35:32.000 --> 35:34.000]  Well, it can totally ruin people's lives.
[35:34.000 --> 35:36.000]  But for some reason you can advertise that.
[35:36.000 --> 35:44.000]  And the greatest benefit you have as a musician and what we have as an industry is that we have a product that fundamentally transforms the individual who consumes it.
[35:44.000 --> 35:46.000]  Fundamentally.
[35:46.000 --> 35:48.000]  Music fundamentally transforms me.
[35:48.000 --> 35:51.000]  Cannabis when I consume it fundamentally transforms me.
[35:51.000 --> 35:54.000]  It's a cascading effect across my systems.
[35:54.000 --> 36:03.000]  And it's just one of the most powerful things you can experience is someone who averted a very debilitating pharmaceutical drug regimen to turn to a much more benign and beneficial option.
[36:03.000 --> 36:06.000]  And music does that for me too.
[36:06.000 --> 36:07.000]  Right.
[36:07.000 --> 36:08.000]  It's another medicine of my soul.
[36:08.000 --> 36:09.000]  Absolutely.
[36:09.000 --> 36:10.000]  I'm grateful for that time.
[36:10.000 --> 36:11.000]  And you've been creating recently.
[36:11.000 --> 36:12.000]  You have a new album.
[36:12.000 --> 36:13.000]  Got a new record coming out.
[36:13.000 --> 36:15.000]  I'm very, very interested to hear about it.
[36:15.000 --> 36:16.000]  What's going on there?
[36:16.000 --> 36:17.000]  Oh, God.
[36:17.000 --> 36:20.000]  You know, it's us doing it so long.
[36:20.000 --> 36:22.000]  We just try to keep writing the perfect hook.
[36:22.000 --> 36:25.000]  And the last album was 2017.
[36:25.000 --> 36:27.000]  So this was a four year.
[36:27.000 --> 36:29.000]  In between we did this crazy play.
[36:29.000 --> 36:30.000]  We did a play.
[36:30.000 --> 36:31.000]  What?
[36:31.000 --> 36:32.000]  Yeah.
[36:32.000 --> 36:34.000]  We all did a play about ourselves starring us.
[36:34.000 --> 36:36.000]  It was really fucking weird.
[36:36.000 --> 36:40.000]  My friend Chris Abraham has this theater company in Toronto and we did.
[36:40.000 --> 36:45.000]  We built a show where we rebuilt our rehearsal space on stage.
[36:45.000 --> 36:46.000]  Oh, wow.
[36:46.000 --> 36:49.000]  Like an exact replica of our jam space.
[36:49.000 --> 36:53.000]  And we told the story of our lives together in a play form.
[36:53.000 --> 36:55.000]  And all the dudes in the band acted in it.
[36:55.000 --> 36:56.000]  They've never acted before.
[36:56.000 --> 36:57.000]  I come from an acting background.
[36:57.000 --> 36:58.000]  That's tremendous.
[36:58.000 --> 36:59.000]  They had never done it before.
[36:59.000 --> 37:02.000]  And we did it for like a month in Toronto and it was amazing.
[37:02.000 --> 37:07.000]  So that took like a year and a half to do, to figure out how to do.
[37:07.000 --> 37:11.000]  But yeah, we're just happy still to be here.
[37:11.000 --> 37:14.000]  And we've got shows coming up.
[37:14.000 --> 37:15.000]  What's the vibe for the record?
[37:16.000 --> 37:21.000]  It's very, what's the vibe?
[37:21.000 --> 37:24.000]  Well, we worked with Jace Lacek, who's in Besnard Lakes,
[37:24.000 --> 37:26.000]  who we worked with.
[37:26.000 --> 37:28.000]  He's a Montreal OG.
[37:28.000 --> 37:31.000]  He has this incredible studio called Break Glass where a lot of records
[37:31.000 --> 37:34.000]  that a lot of people love have been made.
[37:34.000 --> 37:36.000]  And he's a dear old friend.
[37:36.000 --> 37:38.000]  And he's a brilliant guy.
[37:38.000 --> 37:40.000]  He's got brilliant analog gear.
[37:40.000 --> 37:42.000]  And he's the same generation as us.
[37:42.000 --> 37:44.000]  I think there's a lot of,
[37:44.000 --> 37:48.000]  I think it sort of sounds like 90s Morrissey without the racism.
[37:48.000 --> 37:50.000]  Okay.
[37:50.000 --> 37:52.000]  It's big.
[37:52.000 --> 37:53.000]  It's lush.
[37:53.000 --> 37:56.000]  It's got lots of horns on it.
[37:56.000 --> 38:00.000]  It's about memory.
[38:00.000 --> 38:02.000]  It's about losing things.
[38:02.000 --> 38:04.000]  It's stars.
[38:04.000 --> 38:08.000]  It sounds, it's so hard to describe what you do.
[38:09.000 --> 38:10.000]  We're in line with cannabis here.
[38:10.000 --> 38:12.000]  Losing things, memories.
[38:12.000 --> 38:13.000]  Yeah, exactly.
[38:13.000 --> 38:15.000]  We try to write soundtracks for people's lives.
[38:15.000 --> 38:17.000]  We want songs that last.
[38:17.000 --> 38:19.000]  You guys have done some of the best ones ever, man.
[38:19.000 --> 38:20.000]  Thanks, man.
[38:20.000 --> 38:22.000]  Appreciate it.
[38:22.000 --> 38:24.000]  So we're just happy we're still doing it.
[38:24.000 --> 38:26.000]  We love each other a lot.
[38:26.000 --> 38:28.000]  It's not as easy as it used to be,
[38:28.000 --> 38:32.000]  but we can't imagine not being together and doing it.
[38:32.000 --> 38:33.000]  Well, that creative experience.
[38:33.000 --> 38:34.000]  Exactly.
[38:34.000 --> 38:36.000]  The creative side of it.
[38:36.000 --> 38:40.000]  Again, that journey on stage must have been just tremendous to run that show
[38:40.000 --> 38:41.000]  night after night.
[38:41.000 --> 38:42.000]  I can't imagine the energy.
[38:42.000 --> 38:44.000]  Everyone should do the play of their life.
[38:44.000 --> 38:45.000]  Good call.
[38:45.000 --> 38:49.000]  Because once you act yourself at your worst,
[38:49.000 --> 38:52.000]  it's like stepping outside of yourself and you're like,
[38:52.000 --> 38:55.000]  well, now I can't do it in real life.
[38:55.000 --> 38:59.000]  Because look, I'm doing it on stage and people are laughing at how insane I am.
[38:59.000 --> 39:03.000]  So now in real life, I have to behave like this.
[39:03.000 --> 39:04.000]  Look, I have to go.
[39:04.000 --> 39:05.000]  We have to pick up our kids.
[39:05.000 --> 39:06.000]  No doubt.
[39:06.000 --> 39:07.000]  Thank you for stopping by.
[39:07.000 --> 39:09.000]  Oh, dude, I wish I could stay.
[39:09.000 --> 39:10.000]  Tor Campbell.
[39:10.000 --> 39:12.000]  Is Luke Wall the name of the band?
[39:12.000 --> 39:14.000]  No, Luke Wall is the name of our company.
[39:14.000 --> 39:15.000]  What's the name of the band?
[39:15.000 --> 39:16.000]  Stars.
[39:16.000 --> 39:17.000]  Stars.
[39:17.000 --> 39:19.000]  Stars is the name of the band.
[39:19.000 --> 39:22.000]  The name of the band is Stars.
[39:22.000 --> 39:23.000]  From Montreal.
[39:23.000 --> 39:25.000]  Do I know Genevieve?
[39:25.000 --> 39:28.000]  Do I know Genevieve?
[39:28.000 --> 39:31.400]  Jenny Walker?
[39:31.400 --> 39:33.400]  Come on, man.
[39:33.400 --> 39:35.400]  That's my homegirl.
[39:36.400 --> 39:38.400]  Oh, my God.
[39:38.400 --> 39:39.400]  That's crazy.
[39:39.400 --> 39:41.400]  And Ganja family.
[39:41.400 --> 39:45.400]  We're talking about Genevieve Walker, who's one of the world's most beautiful and amazing humans.
[39:45.400 --> 39:48.400]  And she played in Stars for a while with us.
[39:48.400 --> 39:49.400]  But I grew up with Jenny.
[39:49.400 --> 39:51.400]  I've known her since we were like 11 years old.
[39:51.400 --> 39:52.400]  That's so beautiful.
[39:52.400 --> 39:53.400]  Yeah.
[39:53.400 --> 39:54.400]  And Renee.
[39:54.400 --> 39:55.400]  Renee Bisbee is another friend.
[39:55.400 --> 39:56.400]  Incredible people.
[39:56.400 --> 40:01.400]  And like Jenny's sister, Kathy, I went to high school, all through high school with her.
[40:01.400 --> 40:02.400]  So, yeah.
[40:02.400 --> 40:03.400]  That's sweet.
[40:03.400 --> 40:04.400]  Yeah, man.
[40:04.400 --> 40:05.400]  That's so nice that you bring her name up.
[40:05.400 --> 40:06.400]  I love that lady so much.
[40:06.400 --> 40:07.400]  Give thanks.
[40:07.400 --> 40:08.400]  Give thanks.
[40:08.400 --> 40:09.400]  Yeah.
[40:09.400 --> 40:10.400]  All right, my man.
[40:10.400 --> 40:11.400]  I got to run.
[40:11.400 --> 40:12.400]  Love it.
[40:12.400 --> 40:13.400]  Thank you so much, brother.
[40:13.400 --> 40:14.400]  That was a real pleasure.
[40:14.400 --> 40:15.400]  Thank you so much for having us.
[40:15.400 --> 40:16.400]  It was really lovely.
[40:16.400 --> 40:17.400]  Josh, great to meet you, brother.
[40:17.400 --> 40:18.400]  Take care of yourself.
[40:18.400 --> 40:19.400]  We'll catch up.
[40:19.400 --> 40:20.400]  I hope I see you soon.
[40:20.400 --> 40:21.400]  Take care, Drake.
[40:21.400 --> 40:22.400]  Thanks, man.
[40:22.400 --> 40:23.400]  Hello, Cleveland.
[40:23.400 --> 40:36.680]  All right.
[40:36.680 --> 40:37.680]  Thank Josh.
[40:37.680 --> 40:38.680]  Josh may take over that mic.
[40:38.680 --> 40:39.680]  Josh, you're on.
[40:39.680 --> 40:42.270]  Josh, you're on.
[40:42.270 --> 40:43.270]  Josh, you're on.
[40:43.270 --> 40:44.270]  Josh, you're on.
[40:44.270 --> 40:45.270]  Josh, you're on.
[40:45.270 --> 40:46.270]  Josh, you're on.
[40:46.270 --> 40:47.270]  Josh, you're on.
[40:47.270 --> 40:48.270]  Josh, you're on.
[40:48.270 --> 40:49.270]  Josh, you're on.
[40:49.270 --> 40:53.460]  Josh, you're on.
[40:53.460 --> 40:54.460]  All right, I'm going to take over that mic.
[40:54.460 --> 40:55.460]  Josh, you're on.
[40:55.460 --> 40:56.460]  Josh, you're on.
[40:56.460 --> 40:58.960]  I want to hear from the guy who's been rolling joints a thing, my connection.
[40:58.960 --> 41:10.080]  Yeah, he's just been sitting there rolling and rolling and rolling, just rolling away.
[41:10.080 --> 41:12.500]  What is he rolling?
[41:12.500 --> 41:13.500]  I would like to know.
[41:13.500 --> 41:16.080]  Yeah, no, I don't want that guy to leave.
[41:16.080 --> 41:17.760]  I want to hear from him.
[41:17.760 --> 41:20.900]  He's been rolling joints the entire conversation.
[41:20.900 --> 41:32.880]  Well, at least now we know the name of the band is Stars.
[41:32.880 --> 41:33.880]  I know.
[41:33.880 --> 41:38.560]  Did you see how many times I asked London to like get the name of the band?
[41:38.560 --> 41:40.440]  I sure did.
[41:40.440 --> 41:43.600]  Can you get the...
[41:43.600 --> 41:44.600]  What about comedians?
[41:44.600 --> 41:46.240]  You think comedians would be...
[41:46.240 --> 41:47.240]  Oh, 100%.
