[00:00.570 --> 00:02.570]  And we are live.
[01:27:46.780 --> 01:27:49.780]  But all I'm doing here is putting this in parchment paper.
[01:27:50.780 --> 01:27:56.780]  In the micro bag, in the flower, and simply heating pressure.
[01:27:57.780 --> 01:28:02.780]  And we can smoke this in about three, four minutes.
[01:28:09.780 --> 01:28:11.780]  Don't point the microphone at the chamber.
[01:28:26.340 --> 01:28:28.340]  All right, cool. Anybody got any questions?
[01:28:29.340 --> 01:28:30.340]  What's going on right now? Yeah, go ahead.
[01:28:32.340 --> 01:28:38.340]  Is there, do you change the temperature that you press at for the particular flower?
[01:28:38.340 --> 01:28:41.340]  Do you kind of press all the flowers at the same temperature?
[01:28:42.340 --> 01:28:45.340]  No, every strain is different.
[01:28:45.340 --> 01:28:49.340]  So normally if you're pressing a lot of flower at once, you actually want to press just a little bit.
[01:28:50.340 --> 01:28:55.340]  I'll take maybe a gram or two to work on that certain temperature and that pressure on how it's going to go.
[01:28:57.340 --> 01:29:03.340]  A good starting point for me is somewhere around about 90 degrees Celsius.
[01:29:05.340 --> 01:29:10.340]  Quick off the press, just to give me a test of seeing what the flower may give me.
[01:29:11.340 --> 01:29:18.340]  So like he asked with the flower press, I was doing that anywhere between 180 degrees up to 200.
[01:29:19.340 --> 01:29:24.340]  Just depending on the flower, depending on the cure, depending on how fresh it is, things like that.
[01:29:25.340 --> 01:29:31.340]  All of those matter. The humidity in the room, the temperature, the way it was grown, all of those become factors.
[01:29:32.340 --> 01:29:38.340]  So whenever you're doing that, it is a lot easier to just take a small portion, test that, and go from there.
[01:29:42.830 --> 01:29:45.830]  Awesome, thank you. See, I told you guys, one way to do this without the help.
[01:29:53.580 --> 01:29:54.580]  Anybody else got any questions?
[01:29:54.580 --> 01:29:58.580]  Yeah, they wanted to know again what tests, like are you doing different tests for different strains?
[01:29:59.580 --> 01:30:04.580]  Yes, you will, but in this situation right here, since I don't have a whole lot to be able to test with,
[01:30:04.580 --> 01:30:10.580]  it wouldn't be necessarily worth wasting the bag to be able to test one gram if I wanted to test, you know, press four or five.
[01:30:10.580 --> 01:30:17.580]  But yes, you will. If I was pressing strictly just flower and I was pressing a lot of flower, definitely,
[01:30:17.580 --> 01:30:21.580]  you will test the temperatures and how fast and quick it comes off.
[01:30:22.580 --> 01:30:28.580]  Like that is the most important part instead of going at it and not knowing exactly where you are
[01:30:31.580 --> 01:30:36.580]  and not having a clue about anything. Like I say, right now, I'll be able to start here.
[01:30:37.580 --> 01:30:41.580]  But it's very possible the temperature may not be right and there's just no way to know unless you try.
[01:30:42.580 --> 01:30:47.580]  I mean, there's no book out there that says, oh, okay, you got this strain, you know, you tested this temperature.
[01:30:47.580 --> 01:30:58.220]  I wish. So it's kind of hard to press normally. I'm like sitting down looking at this, you know, the entire time.
[01:30:58.220 --> 01:31:00.220]  So a little different.
[01:31:01.220 --> 01:31:07.220]  Can you talk about the medicinal differences between here and Old Man and President Obama?
[01:31:08.220 --> 01:31:17.220]  So there's still a huge debate right now about what's going on with fresh frozen and cured flower.
[01:31:17.220 --> 01:31:20.220]  It's pressing and making bubble hash and pressing flower.
[01:31:22.220 --> 01:31:28.220]  To me, in my opinion, I'm not a huge fan of fresh frozen at all.
[01:31:40.900 --> 01:31:43.900]  There's a flower press here.
[01:31:49.900 --> 01:31:55.900]  This one was the larger amount that I had just had.
[01:31:57.900 --> 01:32:00.900]  We bought the flower. Yeah, it was yours. Yeah, that was yours there.
[01:32:01.900 --> 01:32:13.620]  And then there was an ex-person that brought some smaller amount.
[01:32:16.620 --> 01:32:18.620]  Is that yours? Yeah. Okay. Okay.
[01:32:19.620 --> 01:32:21.620]  And then we have this right there.
[01:32:24.620 --> 01:32:26.620]  Oh, okay. Perfect.
[01:32:26.620 --> 01:32:32.620]  So normally after a flower press like that, I immediately go to my cold plate to cool it back down and try to preserve those serpents.
[01:32:33.620 --> 01:32:37.620]  Actually, in doing that, it makes it easier to collect off the parchment paper as well.
[01:32:37.620 --> 01:32:45.620]  So if you got a squishing at home and you can't get off the parchment paper, if you have a cold plate or a serpent tool, immediately get that cold.
[01:32:45.620 --> 01:32:49.620]  You can collect it off a lot, lot better and get more blood.
[01:32:49.620 --> 01:32:54.620]  Your return back. Instead of just sticking on the parchment paper, which I've had happen several times.
[01:32:55.620 --> 01:32:57.620]  That's one good tip to be able to do that.
[01:33:02.960 --> 01:33:12.960]  Do you have any tips for people who say they buy it and get the flower and they don't really have a gram of it to test?
[01:33:12.960 --> 01:33:18.960]  Do you think humidity is one of the biggest factors in how hot to press it?
[01:33:18.960 --> 01:33:20.960]  Oh, yeah, for sure. Humidity.
[01:33:20.960 --> 01:33:26.960]  Because the thing is, when you're doing heat and pressure, as you increase pressure, you automatically increase heat.
[01:33:26.960 --> 01:33:31.960]  So you're also adding the humidity in there as well.
[01:33:31.960 --> 01:33:35.960]  You have to think about all those factors when it goes into pressing on the temperature.
[01:33:35.960 --> 01:33:40.960]  Because higher humidity means you should probably actually press at a lower temperature, would be my opinion.
[01:33:40.960 --> 01:33:43.960]  So all of that would go into effect.
[01:33:43.960 --> 01:33:46.960]  Right now, this room is extremely humid.
[01:33:47.960 --> 01:33:52.960]  If I was pressing on a commercial level, I wouldn't be pressing these kinds of temperatures.
[01:33:52.960 --> 01:33:56.960]  You have to cool it off in this room. You have to get a dehumidifier.
[01:33:56.960 --> 01:34:01.960]  It would take hours to get it down to where it was that you need it to be.
[01:34:01.960 --> 01:34:07.960]  So all of those things go into effect whenever you're pressing, especially bubble hash and flowers as well.
[01:34:07.960 --> 01:34:10.960]  And like you were saying about fresh frozen, here.
[01:34:11.960 --> 01:34:23.960]  So with fresh frozen, if you're doing true fresh frozen, and if you are, in my opinion, doing straight fresh frozen, washed and off the press,
[01:34:23.960 --> 01:34:27.960]  I mean, you would have to get that done, in my opinion, within 48 hours.
[01:34:27.960 --> 01:34:31.960]  Which is extremely, I mean, you can do that. It's kind of hard to do, but you can't do that.
[01:34:31.960 --> 01:34:37.960]  So you can cut it down, freeze it overnight, wash it, dry it, press it, all within 48 hours.
[01:34:38.960 --> 01:34:41.960]  But, in my opinion, I am not a fan of it.
[01:34:41.960 --> 01:34:47.960]  Actually, what we have to press with bubble hash today is some fresh frozen.
[01:34:47.960 --> 01:34:52.960]  And in my opinion, I would think that you still need somewhat of a cure on your tripod.
[01:34:52.960 --> 01:34:59.960]  I mean, just like everybody out there who's a grower, I don't, I mean, unless you were just that much into Russia, hurting that bad,
[01:34:59.960 --> 01:35:03.960]  you never went in there and cut a bullet off and just let it roll down the snow.
[01:35:04.960 --> 01:35:07.960]  Let it dry, let it cure for a bit, and I mean, at least a few days, you know.
[01:35:07.960 --> 01:35:09.960]  Same thing with this, I believe.
[01:35:09.960 --> 01:35:14.960]  Doing the fresh frozen, I mean, that's cool, but in my opinion, it's kind of a fad.
[01:35:14.960 --> 01:35:19.960]  Because as you allow those tripods to age just a little bit, it's just like five watts.
[01:35:19.960 --> 01:35:27.960]  The more you allow it to age, and typically to a certain point of gentrification, you actually make those terpenes and those profiles come out a little bit better.
[01:35:27.960 --> 01:35:31.960]  So, like I say, we pride ourselves on having high terpenes.
[01:35:31.960 --> 01:35:43.960]  And in my flower, whenever we do it, we are drying for at least a couple of days in order to get that green taste, in my opinion, that chlorophyll taste out of the bollash.
[01:35:43.960 --> 01:35:52.960]  And so I've seen, I've actually watched it go from the being cut down all the way through fresh frozen and being dried,
[01:35:53.960 --> 01:35:55.960]  you still have that green chlorophyll taste.
[01:35:55.960 --> 01:36:02.960]  That, to me, is not the taste that gives the plant its essence, because any plant is going to have that essence grown, you know.
[01:36:02.960 --> 01:36:08.960]  So, we'll take time to cure for a few days and then start our separation process.
[01:36:08.960 --> 01:36:18.960]  And another thing you said earlier about nomaplasia, so when we're doing ice water hash, making bubble hash, we're not doing extraction.
[01:36:18.960 --> 01:36:21.960]  Extraction is just using a solvent of some type.
[01:36:21.960 --> 01:36:23.960]  Like I said, we don't use any chemicals at all.
[01:36:23.960 --> 01:36:25.960]  So, what we're doing is a separation.
[01:36:25.960 --> 01:36:30.960]  We are taking the trichrome head and separating it from the stem and collecting it.
[01:36:30.960 --> 01:36:34.960]  We're not using any chemicals at all in order to be able to do this.
[01:36:34.960 --> 01:36:42.960]  And we do this just to stay true to the plant, stay true to the terpenes that are in the plant.
[01:36:43.960 --> 01:36:49.960]  And so, we don't have to take terpenes out and add them back in and anything like that.
[01:36:49.960 --> 01:36:51.960]  We like to keep it 100% true all the way.
[01:36:51.960 --> 01:36:57.960]  And one of the reasons I say is because, just like water, water is H2O.
[01:36:57.960 --> 01:37:03.960]  Well, if you split water and you have just hydrogen, or then you have a bomb, and that becomes extremely dangerous.
[01:37:03.960 --> 01:37:06.960]  If you have oxygen and straighten, oxygen becomes poisonous.
[01:37:06.960 --> 01:37:09.960]  However, if you put it together and keep it together, then you have water.
[01:37:09.960 --> 01:37:11.960]  That's what everybody needs in order to live.
[01:37:11.960 --> 01:37:14.960]  So, we're looking at the same way with our terpenes.
[01:37:14.960 --> 01:37:21.960]  We like to keep our terpenes together and not strip them away and add them back in or do anything like that.
[01:37:21.960 --> 01:37:23.960]  We just want to keep it the way that it is.
[01:37:23.960 --> 01:37:25.960]  It's extremely hard to do.
[01:37:25.960 --> 01:37:27.960]  It's not necessarily the most profitable.
[01:37:27.960 --> 01:37:29.960]  The yields are not always, always there.
[01:37:29.960 --> 01:37:34.960]  And sometimes you may have a bad day and have a bad go out.
[01:37:35.960 --> 01:37:44.960]  And my opinion, in our opinion, with our company, is this is the cleanest way to consume the cannabis doing it this way.
[01:37:44.960 --> 01:37:49.960]  We get rid of, the way I explain it to people is like taking an apple tree.
[01:37:49.960 --> 01:37:53.960]  I will take an apple tree and I'll get rid of the stems.
[01:37:53.960 --> 01:37:54.960]  I'll get rid of the leaves.
[01:37:54.960 --> 01:37:57.960]  I'll get rid of the roots, the dirt, the algae that's on it.
[01:37:57.960 --> 01:37:58.960]  I'll get rid of everything.
[01:37:58.960 --> 01:37:59.960]  I'll get rid of the apples.
[01:37:59.960 --> 01:38:01.960]  I'll get rid of the seeds.
[01:38:01.960 --> 01:38:02.960]  I'll get rid of the juice.
[01:38:02.960 --> 01:38:05.960]  And so I'll take that entire tree and I'll give you the juice.
[01:38:05.960 --> 01:38:07.960]  And essentially that's what I'm doing here with the cannabis.
[01:38:07.960 --> 01:38:12.960]  I'm taking the entire cannabis plant, pressing out the essentials and giving you the juice.
[01:38:12.960 --> 01:38:17.960]  And that juice will mature, like you said, in a safe way in order for you to heal yourself.
[01:38:17.960 --> 01:38:20.960]  And so, like I said, it ain't always the most profitable.
[01:38:20.960 --> 01:38:24.960]  Sometimes some strains yield a lot more than others, stuff like that.
[01:38:25.960 --> 01:38:34.960]  Reaching the high terpenes, we have found that a lot of our patients are really, really now starting to understand the benefits of terpenes
[01:38:34.960 --> 01:38:37.960]  and understand that that is where the medicine is.
[01:38:37.960 --> 01:38:38.960]  Every strain has THC in it.
[01:38:38.960 --> 01:38:39.960]  It may have a lot of THC.
[01:38:39.960 --> 01:38:41.960]  It may not have a whole lot of THC.
[01:38:41.960 --> 01:38:43.960]  But the terpene profiles where it's at.
[01:38:43.960 --> 01:38:44.960]  And that's what's different.
[01:38:44.960 --> 01:38:49.960]  And so I had a buddy of mine, Squeezer Palace on Instagram, shout out to him.
[01:38:49.960 --> 01:38:52.960]  He told me one day it was like the steering wheel.
[01:38:52.960 --> 01:38:55.960]  If you have the THC, your THC is the car.
[01:38:55.960 --> 01:38:56.960]  The terpene is where your steering wheel.
[01:38:56.960 --> 01:38:59.960]  They're going to tell you which direction you're going to go, what kind of high you're going to get.
[01:38:59.960 --> 01:39:02.960]  You're going to get the calcified, you're going to get the up, you know, the steeper.
[01:39:02.960 --> 01:39:05.960]  Either way, that is what's coming from your terpenes.
[01:39:05.960 --> 01:39:08.960]  And so we pride ourselves on keeping those terpenes.
[01:39:08.960 --> 01:39:16.960]  So with our strains, our lowest right now we have is the Divine Berry strain from Mid-Austin X that we grew.
[01:39:17.960 --> 01:39:23.960]  And it had about 6.7% terpenes, which is decent terpenes, and it was okay.
[01:39:23.960 --> 01:39:24.960]  Wonderful smell.
[01:39:24.960 --> 01:39:28.960]  The smell, I don't know if you guys are here, I mean, totally go right there and try it out.
[01:39:28.960 --> 01:39:29.960]  Like it's super gassy.
[01:39:29.960 --> 01:39:31.960]  It smells amazing.
[01:39:31.960 --> 01:39:32.960]  But 6.7% wasn't good enough for me.
[01:39:32.960 --> 01:39:34.960]  So I was like, ah, I think we can do better.
[01:39:34.960 --> 01:39:38.960]  So I had another strain on Black Cherry Punch.
[01:39:38.960 --> 01:39:40.960]  And we changed a few methods the way we were doing things.
[01:39:41.960 --> 01:39:46.960]  Waters, the temperatures in the room, pay attention to the humidity, things like that.
[01:39:46.960 --> 01:39:48.960]  Try to be able to get those terpenes a little bit higher.
[01:39:48.960 --> 01:39:53.960]  So we grew a strain, Black Cherry Punch, and again, everything is organic.
[01:39:53.960 --> 01:40:00.960]  And we washed and pressed it, and we hit 11.11% terpenes.
[01:40:00.960 --> 01:40:03.960]  And so I was like, okay, hey, we can do something, all right?
[01:40:03.960 --> 01:40:06.960]  So that ain't good enough.
[01:40:06.960 --> 01:40:07.960]  We can correct that.
[01:40:07.960 --> 01:40:09.960]  So 11.11%, that's good.
[01:40:10.960 --> 01:40:15.960]  I'm sorry, can you speak specifically to leaving or excluding the 45-U bag?
[01:40:15.960 --> 01:40:17.960]  Oh, yeah, sure.
[01:40:17.960 --> 01:40:19.960]  Can you repeat the question?
[01:40:19.960 --> 01:40:21.960]  Oh, yeah, I definitely will.
[01:40:21.960 --> 01:40:24.960]  So he asked about getting rid of the 45 bag.
[01:40:24.960 --> 01:40:28.960]  So when you look at a micron head under a microscope, we can measure it,
[01:40:28.960 --> 01:40:33.960]  and most of your micron heads will land about in the 90 micron bag.
[01:40:33.960 --> 01:40:39.960]  And so that's the actual size or around the size of most of the normal,
[01:40:39.960 --> 01:40:41.960]  mature trichome heads.
[01:40:41.960 --> 01:40:44.960]  And so whenever you're sifting through bubble bags like that,
[01:40:44.960 --> 01:40:48.960]  every 220 was just what you collect in your plant material, your 190,
[01:40:48.960 --> 01:40:54.960]  your, you know, all the way down to 160, 170, 390 bag all the way down.
[01:40:54.960 --> 01:41:00.960]  So 45 is actually where you will possibly catch more trichome,
[01:41:00.960 --> 01:41:04.960]  more stems, depending on what your flower looks like.
[01:41:04.960 --> 01:41:10.960]  So whenever we're able to harvest and have the growing and processing together,
[01:41:10.960 --> 01:41:13.960]  we can actually take time with a microscope and go out there and look at
[01:41:13.960 --> 01:41:17.960]  the trichome heads and be able to have a good idea about where they should land.
[01:41:17.960 --> 01:41:21.960]  And so doing that, I can tell if the stems are long, if it's really lengthy,
[01:41:21.960 --> 01:41:26.960]  how big the heads are, how much agitation I should be looking at to be able
[01:41:26.960 --> 01:41:28.960]  to separate those trichomes.
[01:41:28.960 --> 01:41:32.960]  I can get an idea of possibly how many times I may have to wash that.
[01:41:32.960 --> 01:41:37.960]  So a lot of that goes into when you're figuring out which bag to throw away
[01:41:37.960 --> 01:41:41.960]  because sometimes 45-5 bag can have some good stuff in it.
[01:41:41.960 --> 01:41:47.960]  And keeping that 45 bag, and I've done this and tested it to see,
[01:41:47.960 --> 01:41:50.960]  can actually have a lot of good medicinal benefits in there.
[01:41:50.960 --> 01:41:54.960]  Now, your 25 bag, which is your lower, your very bottom bag,
[01:41:54.960 --> 01:41:57.960]  is going to have most of your food grain, what we call,
[01:41:57.960 --> 01:41:59.960]  and what should be most of your stems.
[01:41:59.960 --> 01:42:02.960]  Which means the stems, they are still kind of have those in there,
[01:42:02.960 --> 01:42:04.960]  just most of them are in the trichome.
[01:42:04.960 --> 01:42:08.960]  So whenever you're sitting through your bags and stuff like that,
[01:42:08.960 --> 01:42:12.960]  being able to have that control, having a microscope,
[01:42:12.960 --> 01:42:16.960]  being able to go out and look, can actually give you a really great idea
[01:42:16.960 --> 01:42:19.960]  of when to get rid of that, what bag to actually get rid of.
[01:42:19.960 --> 01:42:23.960]  Anybody else have a question?
[01:42:24.960 --> 01:42:28.960]  Yeah, sure. We'll do another one.
[01:42:28.960 --> 01:42:34.680]  This one is yours.
[01:42:34.680 --> 01:42:41.680]  Yeah, we can set you up on the email and you can actually try it.
[01:42:41.680 --> 01:42:44.680]  We've got the stuff out there.
[01:42:44.680 --> 01:42:49.680]  So who's got the next bag?
[01:42:49.680 --> 01:42:52.680]  What's your name here?
[01:42:52.680 --> 01:42:53.680]  This one's yours, right?
[01:42:53.680 --> 01:42:54.680]  Cannon.
[01:42:54.680 --> 01:42:55.680]  Cannon?
[01:42:55.680 --> 01:42:56.680]  What strain is this?
[01:42:56.680 --> 01:42:58.680]  That is King Sherd.
[01:42:58.680 --> 01:42:59.680]  King Sherd?
[01:42:59.680 --> 01:43:00.680]  Sherd.
[01:43:00.680 --> 01:43:01.680]  Sherd? Okay.
[01:43:01.680 --> 01:43:02.680]  Most of that's the grain.
[01:43:02.680 --> 01:43:05.680]  That's actually probably...
[01:43:05.680 --> 01:43:12.190]  This is from O'Kane.
[01:43:13.190 --> 01:43:16.190]  Someone goes special.
[01:43:16.190 --> 01:43:19.190]  I actually want to turn it up a little bit.
[01:43:19.190 --> 01:43:22.190]  What?
[01:43:22.190 --> 01:43:25.190]  I want to turn it up a little bit.
[01:43:25.190 --> 01:43:27.190]  Okay.
[01:43:27.190 --> 01:43:37.190]  We'll do it.
[01:43:38.190 --> 01:43:40.190]  Okay, yeah.
[01:43:40.190 --> 01:44:04.190]  This is where I'm going to put the small cups over here.
[01:44:04.190 --> 01:44:07.190]  I didn't get a dab on camera.
[01:44:07.190 --> 01:44:09.190]  No.
[01:44:09.190 --> 01:44:10.190]  Dave Dankers?
[01:44:10.190 --> 01:44:11.190]  That's who it is?
[01:44:11.190 --> 01:44:12.190]  Okay, cool.
[01:44:12.190 --> 01:44:30.170]  Let me get you guys to work.
[01:44:30.170 --> 01:44:33.170]  Do you have a specific...
[01:44:33.170 --> 01:44:35.170]  Can you grow the flowers?
[01:44:35.170 --> 01:44:37.170]  Yes, I grow all the flowers.
[01:44:37.170 --> 01:44:44.170]  Do you have a specific cure that you like to do for it?
[01:44:44.170 --> 01:44:45.170]  A specific cure?
[01:44:45.170 --> 01:44:46.170]  Yeah.
[01:44:46.170 --> 01:44:53.170]  Again, being able to have that grow and process from there makes it so I can control a lot of that.
[01:44:53.170 --> 01:44:57.170]  And so...
[01:44:58.170 --> 01:45:01.170]  I'm able to look at the trichomes and see how they're doing.
[01:45:01.170 --> 01:45:05.170]  Normally, for me personally, I will go about a three-day market.
[01:45:05.170 --> 01:45:09.170]  So, in about a three-day market, I'll look at trichomes and see what's going on.
[01:45:09.170 --> 01:45:13.170]  So, anywhere between two or three days of actually being cut and hung up,
[01:45:13.170 --> 01:45:19.170]  would happen that little small pot here will greatly increase the yield of that thing
[01:45:19.170 --> 01:45:22.170]  and still be able to preserve those terpenes and that taste.
[01:45:23.170 --> 01:45:29.170]  So, like I said earlier, I honestly think the fresh frozen deal is almost as bad
[01:45:29.170 --> 01:45:34.170]  because I've seen the fresh frozen, I've done fresh frozen, and I've done a small cure like that.
[01:45:34.170 --> 01:45:39.170]  My yield has increased, the taste has increased, the terpenes have increased, just in those three days.
[01:45:39.170 --> 01:45:44.170]  So, me personally, I'm not really understanding the whole point of fresh frozen other than saying that it's fresh frozen
[01:45:44.170 --> 01:45:48.170]  because if you're looking for the medicinal effects of it, that cure is extremely important.
[01:45:49.170 --> 01:45:53.170]  So, even a three, four day cure on that thing definitely makes a difference.
[01:45:57.170 --> 01:45:59.170]  Are you trying to get down?
[01:45:59.170 --> 01:46:02.170]  Spotlight's on you now, buddy.
[01:46:07.170 --> 01:46:10.170]  Brandon, I would like to know what you're smoking on right now.
[01:46:12.170 --> 01:46:15.170]  Wesley Crusher. I think it's Do-Si-Do times.
[01:46:18.170 --> 01:46:20.170]  That smells amazing.
[01:46:30.170 --> 01:46:32.170]  Okay, we'll press.
[01:46:32.170 --> 01:46:40.170]  Hey, Jer, is it, once you press, is it something you look for on the part set or do you just take what you got?
[01:46:41.170 --> 01:46:46.170]  In a sense, after you press that, I mean, take what you got.
[01:46:46.170 --> 01:46:48.170]  I mean, it is what you got.
[01:46:48.170 --> 01:46:52.170]  Can you tell from looking at it, if it's a good quality press or is it?
[01:46:52.170 --> 01:46:58.170]  Yeah, yields, for one thing, will definitely tell if you got a better press on that.
[01:46:58.170 --> 01:47:02.170]  Sometimes you can have totally different consistencies straight off the press.
[01:47:02.170 --> 01:47:07.170]  You can have something that will give you a butter like consistency, you know, while it's still coming off the press.
[01:47:08.170 --> 01:47:15.170]  I've noticed these mercery strings like that are really high THC-like, that they are burning up that quick.
[01:47:15.170 --> 01:47:24.170]  So, during my process, I've learned that if it's, the faster it takes for it to cure and get that butter consistency, the higher THC it's going to have.
[01:47:24.170 --> 01:47:26.170]  I mean, sorry, the higher THC it's going to have.
[01:47:26.170 --> 01:47:34.170]  Now, the longer it takes in a cold cure for it to actually cure and separate and you get that turquoise on there, then it will have higher THC.
[01:47:35.170 --> 01:47:46.170]  And so, doing things like making softness diamonds and stuff like that, that becomes extremely important because if it has a higher amount of THC in it, it's going to dissolve that THC in it and it's going to be extremely hard to get a good yield out of it.
[01:47:46.170 --> 01:47:53.170]  So, definitely looking at that press after you get it off, depending on what you plan on doing after that next, will definitely depend.
[01:47:53.170 --> 01:47:55.170]  So, does that steer you into what you're going to do with it?
[01:47:55.170 --> 01:47:56.170]  Most of the time it does.
[01:47:56.170 --> 01:47:59.170]  I mean, you can still be able to get that, those different products.
[01:48:00.170 --> 01:48:04.170]  We can make just a hash browns on there or we can go and even make browns and bakes.
[01:48:04.170 --> 01:48:12.170]  And so, looking at that, I will be able to tell if I want to steer towards just doing a cold cure or do a jar tag and maybe try to get it.
[01:48:12.170 --> 01:48:15.170]  Because if you were going to do it, you'd probably burn it too.
[01:48:15.170 --> 01:48:17.170]  That's right.
[01:48:17.170 --> 01:48:19.170]  Yeah, I'll just ask a few questions.
[01:48:19.170 --> 01:48:24.170]  And then sometimes you see where it looks almost watery when it's in the jar.
[01:48:24.170 --> 01:48:27.170]  Do you know what kind of makes it more wet?
[01:48:27.170 --> 01:48:30.170]  Yeah, that is the terpene content in there.
[01:48:30.170 --> 01:48:34.170]  So, if you're looking at it, it has like a shiny look to it.
[01:48:34.170 --> 01:48:36.170]  And like you say, it looks like it's wet.
[01:48:36.170 --> 01:48:42.170]  There's usually a higher terpene content in it compared to some that will look almost chalky.
[01:48:42.170 --> 01:48:44.170]  Like it looks dry.
[01:48:44.170 --> 01:48:48.170]  Those will have a lower terpene content from what I've seen.
[01:48:48.170 --> 01:48:50.170]  I may not have all the facts right.
[01:48:50.170 --> 01:48:51.170]  But in general, yeah.
[01:48:51.170 --> 01:49:03.170]  So, like even with my shrimps there, our lowest one is a 6.7, and it looks kind of like a chalky consistency compared to the other ones that are like super juicy looking and stuff like that.
[01:49:03.170 --> 01:49:09.170]  But, I mean, I was able to actually make a rotten bait out of the chalky consistency as well.
[01:49:09.170 --> 01:49:13.170]  So, normally, if you were doing something like that, you would be higher terpene.
[01:49:13.170 --> 01:49:15.170]  All right. Thank you.
[01:49:15.170 --> 01:49:18.170]  Any questions?
[01:49:18.170 --> 01:49:20.170]  Okay, so we're going to go into this push real quick.
[01:49:20.170 --> 01:49:22.170]  And then we're going to go ahead and press the bow eyes.
[01:49:22.170 --> 01:49:37.700]  That's the color part.
[01:49:37.700 --> 01:49:48.700]  So, I did notice with the last press a couple of things that I look for is like the hue, the color, and stuff like that.
[01:49:48.700 --> 01:49:50.700]  That was more of a sheer flower.
[01:49:51.700 --> 01:49:54.700]  So, therefore, we got somewhat of a darker color.
[01:49:54.700 --> 01:50:01.700]  But with the yellow being quite as low as it was, I thought it could have been a little bit more, so I raised the temperature on that.
[01:50:01.700 --> 01:50:11.700]  And I think that was just a generalization just from it being humid in this room and not being quite as cold.
[01:50:11.700 --> 01:50:15.700]  How do you feel the humidity difference in the room can affect that?
[01:50:15.700 --> 01:50:22.700]  If it's 80% humidity in here, close to 20%, how does that change?
[01:50:22.700 --> 01:50:25.700]  Sorry, I didn't hear the last part you said. I almost got it.
[01:50:25.700 --> 01:50:29.700]  How does the humidity difference change what you do?
[01:50:29.700 --> 01:50:34.700]  Like, if it's humid, are you pressing hotter or are you pressing lower?
[01:50:34.700 --> 01:50:39.700]  Yeah, if it's humid, to me, I'm going to ‑‑ if it's humid, I'm trying not to press if it's humid at all.
[01:50:39.700 --> 01:50:44.700]  If I have to press if it's humid, I'd rather just wait until it's a different day.
[01:50:44.700 --> 01:50:51.700]  Days like, especially where I am, I'm in a building, yes, it's controlled, but it still matters on what's going on outside.
[01:50:51.700 --> 01:50:56.700]  So if it rained last week and it's still wet outside, that means it's still humid outside.
[01:50:56.700 --> 01:50:59.700]  So I don't try to press on it at all.
[01:50:59.700 --> 01:51:05.700]  But if I am having to press, I will increase my temperature somewhat on my higher humidity.
[01:51:05.700 --> 01:51:13.920]  Do you have any idea why that is?
[01:51:13.920 --> 01:51:17.920]  Just from my experience, doing it that way.
[01:51:17.920 --> 01:51:21.920]  I've pressed on days where, first to God, I wouldn't press.
[01:51:21.920 --> 01:51:27.920]  And it would be in a little bit too warm or too humid, decrease those yields.
[01:51:27.920 --> 01:51:33.920]  And so I noticed on that day when I did increase my temperature, I was able to get better yields.
[01:51:33.920 --> 01:51:36.920]  But still, it would have been better just to wait.
[01:51:36.920 --> 01:51:40.920]  But that's just from my experience with pressing.
[01:51:40.920 --> 01:51:44.920]  I don't have a hundred percent logic.
[01:51:44.920 --> 01:51:47.920]  Like, okay, I know for a fact that this is the way to do it.
[01:51:47.920 --> 01:51:48.920]  It's just from my experience.
[01:51:48.920 --> 01:51:51.920]  I mean, I know that, like I say, from the very beginning, trial and error.
[01:51:51.920 --> 01:51:53.920]  Like, when I did it this way, it didn't quite work.
[01:51:53.920 --> 01:51:55.920]  When I increased my temperature, it tends to work this way.
[01:51:55.920 --> 01:52:02.920]  And I'm sure on some of those days, there's probably, it might be a scientific reason on why it worked that time or why it may work.
[01:52:02.920 --> 01:52:09.920]  But, I mean, just from my experience of trying it over and over and over, that's what it is that I feel like it works the best way.
[01:52:09.920 --> 01:52:12.920]  If I have to press in those conditions.
[01:52:12.920 --> 01:52:23.740]  I wish we had a scale so we could get a percentage of yield on there.
[01:52:23.740 --> 01:52:27.740]  But this actually came out really nice and really, really, really pretty color.
[01:52:27.740 --> 01:52:32.010]  This one was yours.
[01:52:32.010 --> 01:52:33.010]  What strain did you say it was?
[01:52:33.010 --> 01:52:34.010]  King's Shirt.
[01:52:34.010 --> 01:52:35.010]  King's Shirt.
[01:52:35.010 --> 01:52:36.010]  Okay, here you go, bro.
[01:52:36.010 --> 01:52:38.010]  This is all you, man.
[01:52:38.010 --> 01:52:43.010]  And like that was, again, simply heat and pressure, pressing up those essentials.
[01:52:44.010 --> 01:52:47.010]  And, I mean, you see there's no chemicals or anything like that.
[01:52:47.010 --> 01:52:49.010]  We still have the flour.
[01:52:49.010 --> 01:52:50.010]  It's right here.
[01:52:50.010 --> 01:52:51.010]  Just simply press.
[01:52:51.010 --> 01:53:01.010]  And so, actually, you can actually take this and if you wanted to infuse some butter or tea or anything like that, you can totally use this.
[01:53:01.010 --> 01:53:07.010]  And actually, we do use some of that in our topicals whenever we press, especially when we're making donuts and things like that.
[01:53:07.010 --> 01:53:12.010]  We will use our rosin bag chip bags in order to make our topical.
[01:53:12.010 --> 01:53:15.010]  Does anybody in the room have a scale?
[01:53:15.010 --> 01:53:18.010]  The viewers would like it to be weighed out.
