[00:01.340 --> 00:09.940]  Welcome, everybody, to episode 16 of the James Loud Show. Today's special guest is James
[38:18.080 --> 38:31.080]  Utilizing isopropyl alcohol when it's necessary for anything that's metal, your tools, your scissors, anything that's metal, I would recommend using isopropyl alcohol.
[38:32.080 --> 38:37.080]  Unless you're trying to prevent HPLV, then you need bleach or something a little stronger.
[38:38.080 --> 38:47.080]  When you cut to the viral level, bleach isn't as effective, but the Sanodate and all those other things are as effective.
[38:48.080 --> 38:58.080]  Using chlorine products, it's an iffy subject in cannabis, but if it's all you have, it's better than nothing.
[38:59.080 --> 39:04.080]  CLO2 to clean your lines, I get it. That's chlorine dioxide. That works great for cleaning lines.
[39:04.080 --> 39:07.080]  Let's take a step back and talk about alcohol.
[39:08.080 --> 39:13.080]  I think there's a lot of people that think 90 plus percent alcohol is better than 70 percent.
[39:14.080 --> 39:17.080]  I think that's one of the biggest misconceptions in the whole world.
[39:18.080 --> 39:20.080]  People go, oh, 90, it's a little more expensive. It must be better.
[39:21.080 --> 39:22.080]  You want to talk about that a little bit?
[39:23.080 --> 39:30.080]  Yeah. When you talk about 70 percent alcohol, a 70 with 30 percent being distilled water.
[39:30.080 --> 39:45.080]  If you're attacking microorganisms with an alcohol, there needs to be a water barrier between the microorganism and the alcohol.
[39:46.080 --> 39:53.080]  The microorganisms absorb water and they utilize water for their metabolic activities.
[39:53.080 --> 40:02.080]  If you have a precursor of water into the microorganism, or at least a higher concentration of hydrogen and oxygen bonded together,
[40:03.080 --> 40:14.080]  being there next to the microorganism as the alcohol is attacking it, the microorganism literally absorbs that water and then it takes in the alcohol as well.
[40:15.080 --> 40:27.080]  70 percent to me, from all of the studies that I've ever read, and please look them up, there are plenty of scientific studies and journals that talk about this,
[40:28.080 --> 40:38.080]  where having a water barrier with microorganism eradication with alcohol is highly effective versus having 99 or pain alcohol or 90 percent.
[40:39.080 --> 40:47.080]  Totally. And then even surfaces. The other thing is, if you're sanitizing a surface and you have 90 percent, the evaporation rate is so much faster than the 70 percent.
[40:48.080 --> 40:56.080]  I think most people, when you look at a stainless steel table, depending on the grade, there's different grades.
[40:57.080 --> 41:02.080]  There's ones that are $50 and there's ones that are $700 for the same exact table, at least looking at it.
[41:02.080 --> 41:09.080]  But then if you look at it, Peter McGuire taught me this about the porous, the ones that are more expensive are less porous.
[41:10.080 --> 41:15.080]  And that 70 percent, you basically put that on there, it's going to evaporate slower, so it's going to sanitize better.
[41:16.080 --> 41:22.080]  Yep. So it's going to evaporate less and it'll be there longer, killing more microorganisms. Correct.
[41:23.080 --> 41:31.080]  Right. Totally. Excellent. So what other things do you see all the time that people can correct?
[41:32.080 --> 41:40.080]  Basic stuff. Well, let's talk about how people can fix problems. I mean, everybody knows what the problems are, right?
[41:41.080 --> 41:47.080]  There's aphids and there's powdery mildew and there's molds and there's, yeah, I could sit here all day and talk about each one of those.
[41:48.080 --> 41:55.080]  I think it's more important that you're able to identify what your problem is. Right. So to me, it's all about microscopy.
[41:55.080 --> 42:01.080]  Get yourself a digital microscope and utilize it. Have the ones that shoot the image to your phone.
[42:02.080 --> 42:08.080]  And they're so effective in identifying what your problems are, especially when you talk about mites.
[42:09.080 --> 42:18.080]  Try to identify the species of mite. I know I walked into a grow one year and everybody's freaking out about all these new clones that keep coming back or mites all over it.
[42:18.080 --> 42:27.080]  And so they keep spraying chemicals on it and bringing the genetic strength down. And by the time these cuts are growing into veg, they've just been phytotoxied.
[42:28.080 --> 42:39.080]  I go, let's take a look. Pop it under a microscope. Those are predatory mites that were put up there by Dark Heart and they put them on there so that you wouldn't have issues.
[42:40.080 --> 42:50.080]  You need to need to have the full picture identifying and knowing what your problems are. Is it a rusted mite or is it a spider mite? Is it a two spotted?
[42:51.080 --> 42:57.080]  What is it? And then understanding that each one of those have completely different eradication techniques.
[42:58.080 --> 43:05.080]  So microscopy and then I think analysis, if you have it, if you're in a larger scale grow or you're in a licensed grow,
[43:05.080 --> 43:16.080]  if you can get your plants having a crown analysis, I don't know too many people in cannabis that do this. Everywhere I go, I recommend it. And then they are much more successful.
[43:17.080 --> 43:24.080]  And it's essentially just sending in actual plants with a little bit of root material, the crown of the plant.
[43:25.080 --> 43:30.080]  And then you just slice off the plant at the top. So it looks like just a stalk, a little bit of roots on the bottom.
[43:30.080 --> 43:40.080]  Sending those into the laboratories to see if you actually have some sort of pathogen, some sort of vascular tissue damage.
[43:41.080 --> 43:48.080]  You would never be able to know unless you send these off to the lab. I have gone into so many groves and they just don't even know what their issue is.
[43:49.080 --> 44:00.080]  Turns out it's a phytophthora or some sort of Pythium. Right. And every time we try to grow the plants, they grow to this stage and then they turn to crap.
[44:01.080 --> 44:12.080]  Well, that's what Pythium does. It doesn't want to kill the plant. It wants to utilize the plant enough so that it can send out more Oomycetes and more Propygules into the environment.
[44:13.080 --> 44:22.080]  So identifying if you have those issues by getting crown samples. Those are done in California by hemp farms.
[44:23.080 --> 44:33.080]  Just a recommendation. Every state that has hemp now has hemp analysis laboratories for doing crowns.
[44:33.080 --> 44:41.080]  Even the universities are doing them. And a cannabis plant and a hemp plant when sent to the lab as a crown are essentially the same.
[44:42.080 --> 44:50.080]  So if you have the resource available to you to utilize those laboratory analysis and actually identifying what your problems are.
[44:50.080 --> 45:10.080]  I had a grove in Oakland that did this and they had 100% inoculation rate for Fusarium. They had no idea. And so every day, three buildings, every one of their buildings had it.
[45:11.080 --> 45:24.080]  And so if you don't know, you don't know. And so microscopy, identifying your problems and using lab analysis is probably the best way to cure all of your issues when it comes to integrated pest management.
[45:25.080 --> 45:38.080]  Now, you're asking what are the biggest problems that people see? The biggest problem I see is getting genetics from other people and having them bring garbage into your grove.
[45:39.080 --> 45:42.080]  Your brand new facility you're bringing dirty clones in.
[45:43.080 --> 45:55.080]  Yeah, getting into a facility and bringing clones from any company in California is risky, to say the least. There are some wonderful companies out there that have clean products.
[45:56.080 --> 46:08.080]  And so doing the research and not chasing how much does the cut cost? No, it's how clean it is. Do they let you go visit? Can you go see your cuts before you take them home?
[46:09.080 --> 46:16.080]  Can you treat them at the nursery before you take them home?
[46:17.080 --> 46:30.080]  Can you tell your nursery to address these issues for you because you're scared of getting these problems? Can you put these products out on my cuts before I get them because that's part of my integrated pest management plan?
[46:31.080 --> 46:46.080]  You can stop all of those issues. If you buy clones from a retailer or even black market or whatever, chances are, I don't know, give me a number James, 80% chance there's something on it? 60% chance?
[46:47.080 --> 47:02.080]  Yeah, higher. It's probably above 80%. I would say into the 90s. It's very rare that you have someone on the black market that has a clean... I know a couple people. But most people in those environments, they have closed loop systems that they keep for themselves.
[47:03.080 --> 47:11.080]  There's not a lot of people that put the time and effort into having a good IPM program for their nurseries. It's challenging and it's difficult.
[47:12.080 --> 47:28.080]  Yeah, I think that if you can have a preventative, sorry, eradicative treatment ready for your cuts and clones before they come in. Here's an example of something that I would utilize, right?
[47:28.080 --> 47:40.080]  If I'm not allowed into the nursery before I purchase them, but I go out and I drive out with my box truck and I go out to pick up 1000 cuts or 2000 cuts, what have you.
[47:41.080 --> 47:50.080]  First thing I'm going to do is bring all of my materials with me to treat those plants right there in the box truck.
[47:51.080 --> 48:02.080]  As we're loading them in the box truck, they go through a dip process and I already have my bins out and I have everything. Every tray comes in and gets dipped and it gets moved over to this one and it gets sprayed on the top.
[48:02.080 --> 48:20.080]  If I feel that there's an issue or risk of root aphids, yeah, I'm going in with the debug turbo dip on the roots and then maybe an MP treatment or maybe something with a potassium salts on top.
[48:21.080 --> 48:27.080]  And then that goes into the box truck and then usually I take that box truck back to the grow.
[48:28.080 --> 48:41.080]  I'll wheel out a couple CO2 tanks, put that in the back of the box truck, pop that CO2 tank wide open, got my little meter in there, keeping it above 3000 ppm and sometimes 4500.
[48:42.080 --> 48:46.080]  And just letting it sit in there and make sure that it's climate controlled and the sun's not beating down on my box truck.
[48:47.080 --> 49:02.080]  But just having that CO2 treatment go in and then as it's coming out, they go to a separate area within the grow, usually within a loading dock area, where they are fully inspected by, get this everybody, an integrated pest management specialist.
[49:03.080 --> 49:11.080]  Every company, if you're doing large scale or just medium scale grows, should have an integrated pest management specialist and you doesn't have to be college trained.
[49:12.080 --> 49:19.080]  It has to be somebody whose job it is to make sure that you are preventing and eradicating all the microorganisms possible.
[49:20.080 --> 49:21.080]  And that's their job.
[49:22.080 --> 49:23.080]  Pretty much every grow should have one.
[49:24.080 --> 49:25.080]  Every facility, as you're saying.
[49:26.080 --> 49:30.080]  And then at what point do you scale to one person that that's all they do for their full time job?
[49:30.080 --> 49:33.080]  I think if you have a license, that's it.
[49:34.080 --> 49:35.080]  You have one person that there's a full time job.
[49:36.080 --> 49:37.080]  If you're a hemp farm, definitely.
[49:38.080 --> 49:40.080]  You should have one, maybe even three.
[49:41.080 --> 49:42.080]  Sure.
[49:43.080 --> 49:48.080]  But their job is to inspect the problems and go in and do audits.
[49:49.080 --> 49:56.080]  Their job is to focus on making sure that they have all the materials necessary.
[49:57.080 --> 50:02.080]  They focus on making sure the equipment is sanitized and ready to be used.
[50:03.080 --> 50:06.080]  They do the scheduling for the applications.
[50:07.080 --> 50:09.080]  They do the acquisition of all the materials.
[50:10.080 --> 50:11.080]  They have their own budgets.
[50:12.080 --> 50:25.080]  And the growers work in tandem with these individuals on a schedule, meaning the growers know that the integrated pest management solution specialist is coming into grow room five to do a fully run inspection.
[50:26.080 --> 50:27.080]  And they're going to do your treatment on this day.
[50:28.080 --> 50:29.080]  And that's on the schedule and that's part of it.
[50:30.080 --> 50:31.080]  But he's not part of the team.
[50:32.080 --> 50:33.080]  He's not part of the grow.
[50:34.080 --> 50:38.080]  You're not pulling a grower from one room who is doing planting.
[50:39.080 --> 50:40.080]  And then now he's got to go do integrated pest management.
[50:41.080 --> 50:42.080]  No, no, no, no, no.
[50:43.080 --> 50:45.080]  That way somebody focuses on that all day long.
[50:46.080 --> 50:50.080]  And then you have one person who's task it is to ensure that you don't have those pressures.
[50:51.080 --> 50:52.080]  It's the only way to be successful.
[50:53.080 --> 50:55.350]  Awesome.
[50:55.350 --> 50:57.350]  So we had a question about CO2 treatment.
[50:58.350 --> 51:00.350]  How long do you do the CO2 treatment for?
[51:01.350 --> 51:02.350]  12 to 24 hours.
[51:03.350 --> 51:04.350]  12 hours is good.
[51:05.350 --> 51:06.350]  But no, no less than 12.
[51:07.350 --> 51:08.350]  No less than 12.
[51:09.350 --> 51:10.350]  OK.
[51:11.350 --> 51:12.350]  Let's see.
[51:13.350 --> 51:14.350]  Let me talk about another treatment real quick.
[51:15.350 --> 51:16.350]  Sure.
[51:16.350 --> 51:20.350]  If you have a large scale grow or even if you don't.
[51:20.350 --> 51:26.350]  If you can get your temperature in your grow room after you've taken the plants out.
[51:27.350 --> 51:28.350]  So you've done a harvest.
[51:29.350 --> 51:34.350]  Well, first of all, everybody stop doing continuous harvests and continuous grow rooms.
[51:35.350 --> 51:36.350]  Stop, stop, stop.
[51:37.350 --> 51:42.350]  The only way to really have a clean environment is to chop your plants down and clean the entire room.
[51:43.350 --> 51:47.350]  If you have plants growing in tandem at different phases, you're always going to have issues.
[51:47.350 --> 51:51.350]  But if you can isolate your grows into one room or you're doing it in a tent.
[51:52.350 --> 51:54.350]  And after you take those plants out and you harvest.
[51:55.350 --> 51:59.350]  If you could treat that area at 140 degrees Fahrenheit for two hours.
[52:00.350 --> 52:05.350]  You will successfully kill definitely every micro-organism.
[52:06.350 --> 52:07.350]  Sorry, every macro-organism that's in there.
[52:08.350 --> 52:13.350]  Or at least push the populations down to a preventative level treatment level.
[52:14.350 --> 52:23.350]  But for instance, if I can go into a large scale grow and we can make sure that the sprinklers are rated to 140 degrees.
[52:24.350 --> 52:28.350]  Because you don't want to set off the sprinkler systems by by blasting heat in there.
[52:29.350 --> 52:34.350]  And actually using an artificial heat source.
[52:35.350 --> 52:40.350]  Propane burners, the heaters they use to dry out buildings when they flood.
[52:40.350 --> 52:45.350]  Gas heater systems that bring tubes into the room and bring in that temperature up.
[52:46.350 --> 52:48.350]  Using your lights does not work.
[52:49.350 --> 52:50.350]  It does not work.
[52:51.350 --> 52:53.350]  So you can bring your temperature at 140 degrees with your lights.
[52:54.350 --> 52:59.350]  But because of the different temperature zones above the lights, it just doesn't have the same effect.
[53:00.350 --> 53:06.350]  But if you can treat your rooms at 130, 140 degrees for two hours, highly effective.
[53:06.350 --> 53:07.350]  Plus CO2 treatments.
[53:08.350 --> 53:13.350]  If you have injection lines or burners and you can bring that CO2 level up at the same time.
[53:14.350 --> 53:21.350]  Then you are doing a really good job at non-chemical integrated pest management solutions.
[53:22.350 --> 53:26.350]  So what's your best recommendation for getting your temperatures up?
[53:27.350 --> 53:28.350]  Turning off the fans?
[53:29.350 --> 53:30.350]  Letting it go? Trying to control it that way?
[53:31.350 --> 53:32.350]  With your lights?
[53:33.350 --> 53:34.350]  No, not with lights.
[53:34.350 --> 53:35.350]  Again, using a separate...
[53:36.350 --> 53:38.350]  I was listening.
[53:39.350 --> 53:42.350]  Peter was listening. Okay, good.
[53:43.350 --> 53:46.350]  So do we want to jump into sanitation?
[53:47.350 --> 53:48.350]  Yeah, we could do that.
[53:49.350 --> 53:54.350]  Yeah. So some of your techniques that you use for sanitation and common problems.
[53:55.350 --> 54:03.350]  Sure. I mean, really the biggest technique is maintaining your air quality.
[54:04.350 --> 54:05.350]  Your air flow systems.
[54:06.350 --> 54:20.350]  Making sure that if you're in an indoor grow, in a large scale grow or a licensed grow, that you're cleaning your ducts, your vents, your HVAC system and your coils.
[54:21.350 --> 54:24.350]  If you're using some sort of climate system, right?
[54:25.350 --> 54:29.350]  Heating, air conditioning. If you're cleaning your coils and maintaining those, that's true sanitation.
[54:29.350 --> 54:36.350]  If you're walking into a room and spraying Xeritol on the walls and on the floor and then that's it, that's not sanitation.
[54:37.350 --> 54:47.350]  Because when your air blows right back into that room with all of those spores and powdery mildew and who knows, body parts of whatever mite that's in there.
[54:48.350 --> 54:52.350]  If you're not cleaning out your ducting systems, I think you're really missing out.
[54:52.350 --> 54:58.350]  Even if you're in a tent, making sure that your air filters, if you have filters using those, are clean.
[54:59.350 --> 55:03.350]  If you're using HEPA coming in, make sure your HEPA filter is replaced and clean.
[55:04.350 --> 55:17.350]  But I think really just maintaining your HVAC and ducting is the number one place where most companies don't succeed in their sanitations.
[55:18.350 --> 55:24.350]  Floors and walls. Using a fogger to treat your walls.
[55:25.350 --> 55:30.350]  If you're in a room that has drywall, don't use a fogger. I guess you could.
[55:31.350 --> 55:35.350]  If you're in a room with drywall, don't. Stop, please.
[55:36.350 --> 55:40.350]  Put some sort of insulated, or not even insulated, panelling, steel panelling on the wall is more effective.
[55:41.350 --> 55:47.350]  Just so that you can get in a way that you can actually spray liquid on your walls and be able to clean them off.
[55:48.350 --> 56:06.350]  If you have that already set up, say you have IMP panelling in a cultivation centre, using foggers with Xerotol, and then getting as much of that material into every crevice that would allow it as possible.
[56:06.350 --> 56:16.350]  Hand wiping and cleaning is very effective. There has to be some aspect of wiping down in grows when you talk about sanitation.
[56:17.350 --> 56:24.350]  Biggest problem that people don't do is the conduit. You've got to remember the conduit is warm. This is where the power runs through, right? It's warm.
[56:25.350 --> 56:30.350]  This is a great place for powdery mildew to sit and wait and actually go into a hibernation state.
[56:31.350 --> 56:45.350]  This is a great place for mites and other insects to hibernate and wait out this phase until the next phase of lush, beautiful plants comes in on your lights and around your electrical.
[56:46.350 --> 56:54.350]  Focusing heavy on those, but making sure that you're not soaking those areas. That's when hand wiping comes into play.
[56:55.350 --> 57:03.350]  If you're using a fogger around conduit, danger, danger, Will Robinson, watch where you're spraying that thing. For those areas, come in and do hand wiping and hand cleaning.
[57:04.350 --> 57:07.350]  Benches and trays.
[57:08.350 --> 57:21.350]  Most grows I see, the guys who are in charge of cleaning the trays are not the most educated growers. They are not the ones who understand the plant science.
[57:22.350 --> 57:26.350]  Generally speaking, they're usually the guys who just started there and they're working their way up.
[57:26.350 --> 57:33.350]  These guys and girls tend to not understand proper ways for cleaning benches and trays.
[57:34.350 --> 57:40.350]  Making sure that you're getting in between all of the cracks. If you see any green or any red color, that's algae.
[57:41.350 --> 57:48.350]  A lot of people don't realize that a pinkish hue to their previous white trays, now they're pink.
[57:49.350 --> 57:59.350]  That's actually an algae. If you're not eradicating that, you're causing enzyme issues for your roots and enabling other pathogens to exist.
[58:00.350 --> 58:05.350]  Really taking the time to make sure that you clean it properly.
[58:06.350 --> 58:12.350]  Tops and underneath. A lot of times I walk into a grow and there's rolling benches.
[58:12.350 --> 58:17.350]  They don't go underneath and clean the rolling bench areas. The mechanism is underneath there.
[58:18.350 --> 58:27.350]  Really it's just being anal retentive and being a total hypochondriac when it comes to am I cleaning properly.
[58:28.350 --> 58:34.350]  Using the right tools, the right brushes, the right sponges, the right rags.
[58:35.350 --> 58:38.350]  Making sure that those materials are clean and new when you start.
[58:38.350 --> 58:43.350]  I see a lot of companies that use the same sponge over and over and over again.
[58:44.350 --> 58:50.350]  You're sanitizing it with the materials, but after a while those just become vectors for disease.
[58:51.350 --> 58:58.350]  Would one of the onboarding questions to new employees be, do you have a little bit of OCD?
[58:59.350 --> 59:00.350]  I mean, totally.
[59:01.350 --> 59:03.350]  That'd be a positive trait.
[59:04.350 --> 59:08.350]  There's a certain type of person that I like when I get into a grow.
[59:09.350 --> 59:14.350]  Somebody that just cannot do it wrong.
[59:15.350 --> 59:17.350]  Has to do it right every time.
[59:18.350 --> 59:23.350]  Especially when you talk to people that want to work their way up in the company.
[59:24.350 --> 59:25.350]  People that recognize those things.
[59:25.350 --> 59:30.350]  Being able to train people to do it right.
[59:31.350 --> 59:34.350]  Anybody off the street can be trained to do any task in a grow.
[59:35.350 --> 59:38.350]  You just have to have the right training and you have to have the right standard operating procedures.
[59:39.350 --> 59:43.350]  You have to have auditing and testing of that individual.
[59:44.350 --> 59:46.350]  Does this individual understand how to clean a bench?
[59:47.350 --> 59:48.350]  How do I test that?
[59:49.350 --> 59:51.350]  He doesn't know I'm watching. I'm looking at him on the cameras.
[59:52.350 --> 59:53.350]  Or I'm sitting outside the grow watching him clean the thing.
[59:53.350 --> 59:54.350]  And he's worried about his headphones.
[59:55.350 --> 59:56.350]  And he changes his song every five minutes.
[59:57.350 --> 59:58.350]  He touches his face.
[59:59.350 --> 01:00:00.350]  He's not wearing gloves.
[01:00:01.350 --> 01:00:03.350]  And again, then I write up a little report.
[01:00:04.350 --> 01:00:06.350]  Put it in front of him. Let him know that this is not the protocols.
[01:00:07.350 --> 01:00:08.350]  Here are the protocols.
[01:00:09.350 --> 01:00:10.350]  And you don't start firing people and writing them up.
[01:00:11.350 --> 01:00:12.350]  It's just about education.
[01:00:13.350 --> 01:00:16.350]  If I have to teach this guy nine times how to clean a bench, that's okay.
[01:00:17.350 --> 01:00:18.350]  That's okay.
[01:00:19.350 --> 01:00:20.350]  Maybe people just don't get it.
[01:00:21.350 --> 01:00:29.350]  If you teach them the right way to do it and they consistently know the right way to do it and choose to do it another way, that's a different subject.
[01:00:30.350 --> 01:00:31.350]  Yeah, you have to get rid of people like that for sure.
[01:00:32.350 --> 01:00:36.350]  Totally. And that's three out of four people, generally speaking.
[01:00:37.350 --> 01:00:39.350]  Unfortunately, yeah. There's just so many people they want to be creative.
[01:00:40.350 --> 01:00:42.350]  It's not a creative role typically.
[01:00:43.350 --> 01:00:46.350]  But that goes away. You can look across different occupations all over the place.
[01:00:46.350 --> 01:00:50.350]  Me with my background in kitchens, people want to be creative. You got to be the chef to be creative.
[01:00:51.350 --> 01:00:53.350]  If you're a cook, you just need to cook.
[01:00:54.350 --> 01:00:56.350]  You're like, I get to be creative. None of you do.
[01:00:57.350 --> 01:00:58.350]  Right.
[01:00:59.350 --> 01:01:00.350]  I'm the boss.
[01:01:01.350 --> 01:01:02.350]  My father taught me at a very young age. He said to me one thing.
[01:01:03.350 --> 01:01:07.350]  He said, the worst thing you could do is show initiative.
[01:01:10.350 --> 01:01:15.350]  Do what the boss wants you to do and you will be president of the company.
[01:01:16.350 --> 01:01:17.350]  Yeah.
[01:01:18.350 --> 01:01:20.350]  Do not show initiative.
[01:01:25.350 --> 01:01:28.350]  Take it how you want. But I took it that way. It really makes sense. It really does.
[01:01:29.350 --> 01:01:32.350]  Just do what the guy wants because he knows more than you.
[01:01:33.350 --> 01:01:36.350]  And then in a couple of years, months, whatever, you could be at that level.
[01:01:37.350 --> 01:01:38.350]  Definitely.
[01:01:39.350 --> 01:01:44.350]  Yeah, I think even breeding, I think following the people that you respect the most and kind of seeing what they're doing.
[01:01:44.350 --> 01:01:51.350]  I feel like there's a lot to be said about mimicking people, whether it's breeding or anything like that.
[01:01:52.350 --> 01:01:56.350]  If you're just starting out, kind of looking at what the best people do and kind of following those paths.
[01:01:57.350 --> 01:02:03.350]  Rather than trying to think outside the box and see what concentration of STS you can use that's more effective.
[01:02:04.350 --> 01:02:06.350]  There's one recipe that really works. Use that.
[01:02:07.350 --> 01:02:08.350]  Yep. And never stop learning, right?
[01:02:08.350 --> 01:02:15.350]  I still go and visit growers and meet with people and watch them do what they do.
[01:02:16.350 --> 01:02:20.350]  And I learn something every time. And so don't think you know everything.
[01:02:21.350 --> 01:02:22.350]  Yeah.
[01:02:23.350 --> 01:02:24.350]  Because you don't.
[01:02:25.350 --> 01:02:30.350]  Yeah. No matter how old you get, you're constantly learning because we're constantly evolving in this industry.
[01:02:31.350 --> 01:02:36.350]  In some ways, it's so new. We've been around a while. You've been doing stuff a while.
[01:02:36.350 --> 01:02:40.350]  I've been smoking since 91. I've been growing for a really long time.
[01:02:41.350 --> 01:02:42.350]  Yeah, 95.
[01:02:43.350 --> 01:02:46.350]  I'm constantly learning stuff. Thanks to the Grateful Dead, right?
[01:02:47.350 --> 01:02:49.350]  Among other people. Some people, right?
[01:02:50.350 --> 01:02:54.350]  Yeah. I want to talk a little bit about tools for sanitation.
[01:02:55.350 --> 01:03:01.350]  One of those things can be light treatments in your intake.
[01:03:02.350 --> 01:03:10.350]  There's a lot of good science behind UV and titanium dioxide lighting inside your light ducts.
[01:03:11.350 --> 01:03:15.350]  And I think that that's a portion of sanitation that a lot of people don't consider.
[01:03:16.350 --> 01:03:25.350]  And it costs very little for the return that you get if you put UVs in your coils, in each one of your HVAC systems.
[01:03:26.350 --> 01:03:27.350]  It's highly effective.
[01:03:27.350 --> 01:03:34.350]  And then also, there's using lighting UV in your grow facility.
[01:03:35.350 --> 01:03:45.350]  If you're putting UV bars up, they've shown in studies with UV bars in greenhouses that there's a much lower pathogen occurrence.
[01:03:46.350 --> 01:03:52.350]  If you just have those in the cultivation facility, which benefits the plant, right?
[01:03:52.350 --> 01:03:57.350]  Because it sees that spectrum that most lights and LEDs don't provide.
[01:03:58.350 --> 01:04:04.350]  So when you talk about equipment, yeah, using lighting, UV specifically and titanium dioxide systems.
[01:04:05.350 --> 01:04:11.350]  There's a system called FICEL that uses that as well.
[01:04:12.350 --> 01:04:26.350]  I think that if you're looking at a large scale grow or even something as big as a room, utilizing those UV lights for your air systems is something that I recommend.
[01:04:27.350 --> 01:04:28.350]  Nice.
[01:04:29.350 --> 01:04:37.350]  Can I give you an opportunity to plop your big KNF nuts on the table?
[01:04:37.350 --> 01:04:41.350]  So here's the comment.
[01:04:42.350 --> 01:04:47.350]  And I want to give you the opportunity to respond and maybe drop your domain.
[01:04:48.350 --> 01:04:50.350]  Do you dislike microbes?
[01:04:51.350 --> 01:04:52.350]  Are you a microbe hater?
[01:04:53.350 --> 01:04:54.350]  That's great.
[01:04:55.350 --> 01:04:56.350]  And go.
[01:04:57.350 --> 01:04:59.350]  Yeah, so I've actually trained mycologists.
[01:05:00.350 --> 01:05:01.350]  So I would say I dislike them.
[01:05:02.350 --> 01:05:05.350]  They actually got me into academia.
[01:05:05.350 --> 01:05:21.350]  So for everybody who doesn't know, I did working at the University of Hawaii and publishing papers for the University of Hawaii during my master's thesis period.
[01:05:22.350 --> 01:05:25.350]  I did four years of research on KNF farming.
[01:05:25.350 --> 01:05:35.350]  I've studied every material you can use in KNF from the fish solutions to the fermented plant solutions.
[01:05:36.350 --> 01:05:38.350]  I am 04.
[01:05:38.350 --> 01:05:57.350]  I wrote a hundred and something page study on the review of inoculants, indigenous microorganism inoculants, and how effective they are in large scale production or in agricultural production systems.
[01:05:58.350 --> 01:06:01.350]  And so I learned a lot of things over that time.
[01:06:02.350 --> 01:06:05.350]  I trained with Cho and all the groups out there.
[01:06:05.350 --> 01:06:10.350]  I'm sure a lot of you guys know Drake Weiner and all that are good friends of mine.
[01:06:11.350 --> 01:06:25.350]  And so I have, I feel like I've gone down the road as far as you can go on KNF on studying it from an analytical perspective.
[01:06:26.350 --> 01:06:35.350]  In my thesis, we studied the use of IMO4 in field application of corn and a couple other crops.
[01:06:36.350 --> 01:06:47.350]  We made the batches of IMO4 in multiple locations and did multiple tests in multiple production areas.
[01:06:48.350 --> 01:06:52.350]  So if you could understand how complicated that is to do, we did it.
[01:06:52.350 --> 01:07:07.350]  And in the end, you know, to make a long story short, we were able to discern that there was no significant effect of IMO4 on crop production.
[01:07:07.350 --> 01:07:36.350]  Mainly because, and the reason is, in Hawaii, at least, the microbe rich soils that they have there, by isolating out microorganisms from the environment, and then almost babying them at a level to create a compost pile like IMO4 with all of the high carbon and high nitrogen.
[01:07:37.350 --> 01:07:43.350]  Amendments that are added to it. Those microorganisms become very settled in that compost environment.
[01:07:44.350 --> 01:08:04.350]  But when they are applied to the field in competition with all of the other microorganisms that are in the field, they tend to not survive, or at least they don't show any significant change to microbial levels in the soil.
[01:08:04.350 --> 01:08:23.350]  So applying IMO4 multiple times over a long period of time, we did not see any difference of growth, crop size, microbial respiration, which is a measurement of the amount of microorganisms that are in soil.
[01:08:23.350 --> 01:08:39.350]  There was no nutritional difference, and no physical appearance from the crop, being leaf size or yield or what have you.
[01:08:40.350 --> 01:08:54.350]  No different than if I had taken IMO4, which I did, I made the IMO4, and then I took that IMO4 and put it in an oven, and I killed all the microorganisms that were in it.
[01:08:55.350 --> 01:09:00.350]  So I had IMO4 that didn't have any microorganisms in it, it was essentially compost.
[01:09:01.350 --> 01:09:07.350]  Then I had IMO4 that did have the microorganisms in it, made it multiple locations, and then planted in multiple environments.
[01:09:09.350 --> 01:09:14.350]  There was no significant difference between the non-inoculated and the inoculated IMO4.
[01:09:17.350 --> 01:09:35.350]  And that when I look at the efficiency and the cost effectiveness of producing these materials and putting them in field application, it was much more cost effective to put out compost or some sort of mulch material and not inoculate it at all.
[01:09:36.350 --> 01:09:50.350]  And actually we found that there's more microorganism presence in the areas that are just given compost, because not ones that were toasted, if you will.
[01:09:51.350 --> 01:10:02.350]  A different study, putting out just compost actually has a better effect than going through the rigmarole of turning and heating and all these other things.
[01:10:03.350 --> 01:10:10.350]  So, no, I don't hate microorganisms, and I don't hate IMO4, and I know people that have had an effect with it.
[01:10:11.350 --> 01:10:13.350]  Notice I say an effect.
[01:10:15.350 --> 01:10:22.350]  And I know that people will take this material, put it at the base of their plants and see wonderful things happening to their plants.
[01:10:23.350 --> 01:10:40.350]  But from what I was able to discern, there would be no difference than putting out compost materials at the base of your plant and then just walking away and spending all that time with your family instead of stirring heated compost piles.
[01:10:42.350 --> 01:10:50.350]  But at the same time, the materials like fermented plant solutions that we studied that did have a pretty good effect on plants.
[01:10:52.350 --> 01:11:09.350]  But we also did discern that if we were to apply those same plant materials soaked in water and filtered with a strainer and then applied to the plant, we had very similar effects.
[01:11:09.350 --> 01:11:33.350]  Then if I went through the whole process of fermenting this type of root or that type of leaf or, you know, bringing these Japanese and Korean plants together to bring up the health of the plant, in the end, there was no different effect than, like I said, soaking your grass clippings in water and then putting it back out on your lawn.
