[00:00.000 --> 00:08.060]  And let me.
[39:55.420 --> 40:01.420]  Yeah, so so Virginia Bass, she's District 3.
[40:01.420 --> 40:02.420]  Thank you, Ed.
[40:02.420 --> 40:09.420]  She also received some campaign contributions, the maximum amount from a Canadian cannabis company.
[40:10.420 --> 40:21.420]  I don't know exactly where that led or what that means, but she's she was the president of CSAC, California State Association for Counties, who gave out this award.
[40:21.420 --> 40:25.420]  Estelle Fennell was the president like two years ago.
[40:25.420 --> 40:34.420]  And they're all, you know, on the board of directors now and in the elite cabinet.
[40:34.420 --> 40:36.420]  Yeah, that's Rex Fone there.
[40:36.420 --> 40:43.420]  And he he basically has the the honeydew farm complex of like 13 acres, I think, out there.
[40:43.420 --> 40:46.420]  It's horrible looking when you drive out honeydew.
[40:46.420 --> 40:51.420]  It used to be the most lovely drive and now it's just greenhouses for miles.
[40:52.420 --> 40:59.420]  Okay, so last question for me. This really sounds like a simmering story of government malfeasance and corruption.
[40:59.420 --> 41:16.420]  So your three part article over three months, which kudos to you for all of that research and doing it and getting your numbers backed up was a step, you know, really congratulations for for doing that.
[41:16.420 --> 41:22.420]  It was over three months, March, April and May. So so now we're in October.
[41:22.420 --> 41:39.420]  And my question is, has have you heard from anyone? Has there been any action from the PCC, from the legislature, from the governor's office, from any trade groups to to this expose?
[41:39.420 --> 41:42.420]  And just quickly that that's Trevor on the left, right?
[41:43.420 --> 41:44.420]  Yeah.
[41:44.420 --> 41:56.420]  Okay, so so the board of supervisors son, who pepper sprayed kids and seems like got arrested now has a seven acre cultivation in Humboldt County.
[41:56.420 --> 42:01.420]  So he was fast track because I know plenty of and speak up Humboldt Ridgetop Farms.
[42:01.420 --> 42:04.420]  How many of your friends are still waiting for their licenses?
[42:04.420 --> 42:08.420]  Yeah, many, many applied in 2017. And they're still waiting.
[42:08.420 --> 42:09.420]  That reminds me.
[42:09.420 --> 42:21.420]  Yeah, I have a friend. You know, what's interesting that the most recent list that I just got in July revealed that only 12 people who applied in 2016 have actually finished their permit.
[42:21.420 --> 42:27.420]  Several are in the interim phase. I also know a fellow who I'm covering. I'm doing a story on him next.
[42:28.420 --> 42:40.420]  He's just done everything he possibly could. He even applied early in 2016. Beautiful permaculture, small farm. It's it's ridiculous that it's taken him so long to just get that permit.
[42:40.420 --> 42:44.420]  We're making vaccines faster than that. Right.
[42:44.420 --> 42:59.420]  I think with regards to Ed's earlier sentiments, with regards to the objectives of the county and the reason they're doing this, it seems to me from the outside looking in, that it would be easier for the county to regulate and keep their eyes on 500
[42:59.420 --> 43:06.420]  permitted farms in the county, rather than 10,000 or 12,000 perfect permitted farms.
[43:06.420 --> 43:07.420]  Sure.
[43:07.420 --> 43:21.420]  I think, though, look at it as a jobs program for the county. It doesn't cost the money to regulate these farms, they charge fees for doing.
[43:21.420 --> 43:23.420]  They're.
[43:23.420 --> 43:35.420]  So, I don't, I don't know it's hard to get into the exact psychology of this. I just think that I'm, I'm probably repeating myself.
[43:35.420 --> 43:49.420]  But, but when they came up with this idea. It didn't work. And they couldn't figure out how to fix it. This is like beating your puppy for peeing on the floor.
[43:49.420 --> 43:53.420]  The puppy is peeing on the floor to appease you.
[43:53.420 --> 43:57.420]  And the response is you beat it some more.
[43:57.420 --> 44:00.420]  This isn't going anywhere.
[44:00.420 --> 44:08.420]  What we're doing with this is the county's economy is really in a shambles.
[44:08.420 --> 44:21.420]  I mean before the COVID thing business and Garberville was down 25 or 30% because of the mess from them doing the licensing and abatement program.
[44:22.420 --> 44:26.420]  And now the NGOs are going under.
[44:26.420 --> 44:35.420]  Because now no one has money to donate. We had a thriving community here. And they destroyed it.
[44:36.420 --> 44:57.420]  For me just quickly as an outsider down in LA looking in, I would think that the, you know, county of Humboldt would know damn well how they're making money as a community and supporting their citizens and community centers and things like that and they've completely bungled, you know, logins not coming back.
[44:57.420 --> 45:02.420]  What were the other ones? Was it mining, logging, fisheries?
[45:02.420 --> 45:08.420]  I mean, you guys are the Bordeaux of cannabis.
[45:08.420 --> 45:20.420]  And I also view it like, you know, I was in New York for 13 years and it's such a transient world where like everybody is not from there and you don't really have any community connections to other people.
[45:21.420 --> 45:46.420]  Again, this is my outsider's perception but like, these are communities where everybody, my assumption, generally knows other people and it's like you're abating and penalizing the father of a kid in your kid's school and crushing the dreams of people who, you know, are part of your community and shooting yourselves in the foot.
[45:47.420 --> 45:58.420]  Literally, like our volunteer firefighters, a lot of them had actually grown small farm, you know, farm cannabis, smaller farms, they had smaller farms, and they can't afford to do that anymore.
[45:58.420 --> 46:12.420]  Our t-ball coaches, our nonprofits, our schools, I mean people used to volunteer, our radio station, and a lot of people just can't afford to do that anymore because they don't have their 20 plants outside, which is tragic.
[46:17.420 --> 46:33.420]  So, it seems like there's a combination of kind of just stupidity and like if I get back to Rex Bone, nefarious shenanigans.
[46:33.420 --> 46:41.420]  But would you say kind of the building, John Ford's what the building and planning commissioner what's that department called?
[46:41.420 --> 46:44.420]  The planning and building department, he's the director.
[46:44.420 --> 46:57.420]  Is that just kind of like, when you look at what they're doing, like, do you put them in the nefarious bucket or the incompetent kind of stupidity shooting themselves in the foot bucket?
[46:57.420 --> 47:02.420]  Shooting themselves in the foot, absolutely. I mean, they have no incentive.
[47:02.420 --> 47:16.420]  They're definitely nefarious. I don't think they have an incentive to be honest with the public. I think they want people to think that oh everything's going great. They always, Rex Bone actually yesterday, the supervisors meeting was like hey, cannabis is going so well, we're leading the state.
[47:16.420 --> 47:26.420]  We're not leading the state when you compare what we had in farms prior to legalization. We're totally getting beat by Trinity, by Mendocino, by Santa Barbara counties.
[47:27.420 --> 47:50.420]  They had less farms to begin with and they're, you know, rivaling our numbers. So yeah, they're constantly harping into us saying that well they're approving these mega farms, there's multi billion dollars on the line, you know, maybe more eventually and so I do think there's definitely opportunity for corruption to happen and it's just the nature of regulatory capture, as they say.
[47:51.420 --> 47:56.420]  Is district one up for re-election this November?
[47:56.420 --> 47:59.420]  Shockingly, no.
[47:59.420 --> 48:03.420]  We thought this fellow was going to win but who?
[48:03.420 --> 48:06.420]  Yeah, Rex won the primary.
[48:06.420 --> 48:07.420]  I can't imagine.
[48:07.420 --> 48:11.420]  Estelle did not win the primary.
[48:11.420 --> 48:19.420]  She was not the loser, but she didn't get enough votes to have a majority.
[48:19.420 --> 48:33.420]  And I have no idea, of course that was back when COVID was just sort of starting. I have no idea what's going on in the supervisors campaigns.
[48:33.420 --> 48:34.420]  They have a meeting today.
[48:34.420 --> 48:36.420]  And here it is four weeks away.
[48:36.420 --> 48:37.420]  Yeah.
[48:37.420 --> 48:40.420]  But I don't know. I mean...
[48:41.420 --> 48:48.420]  Wait, but you're saying he's not up for any sort of vote right now but there was a primary before?
[48:48.420 --> 48:49.420]  He was not.
[48:49.420 --> 48:51.420]  Okay, so he is safe.
[48:51.420 --> 49:02.420]  When is Rex next up for us to put a candidate against him and put a heavy PR campaign behind that candidate?
[49:02.420 --> 49:09.420]  I think someone just tried to do that and it's got more to do with the lines of the zoning of, or sorry, the lines of the districts.
[49:09.420 --> 49:14.420]  Because Rex is representing Eureka, similar to Estelle with district two.
[49:14.420 --> 49:20.420]  She has all of Fortuna and these like, you know, city centers and then this very rural population.
[49:20.420 --> 49:24.420]  Same with Rex Bone. He's got this huge rural population that hates him.
[49:24.420 --> 49:25.420]  Same with Estelle.
[49:25.420 --> 49:28.420]  The rural folks, they're like, no, get these people out of office.
[49:29.420 --> 49:34.420]  But then the city dwellers, they align with their policies and they just keep voting for them.
[49:34.420 --> 49:37.420]  So I think we need to redraw the districts personally.
[49:37.420 --> 49:42.420]  Either in for two or four years.
[49:42.420 --> 49:44.420]  I don't know which.
[49:44.420 --> 49:45.420]  Two.
[49:45.420 --> 49:46.420]  Two?
[49:46.420 --> 49:47.420]  Yeah.
[49:47.420 --> 49:50.420]  Then 2022, Peter.
[49:50.420 --> 49:51.420]  Okay.
[49:51.420 --> 49:58.420]  So in a year and a half, we will all get back on and bring on the candidate running against Rex.
[49:58.420 --> 50:03.420]  Well, can you guys give a shout out to any how many supervisors are there in Humboldt?
[50:03.420 --> 50:05.420]  Five.
[50:05.420 --> 50:11.420]  And can you give a shout out to any who are truly like deserving of a pat on the back?
[50:11.420 --> 50:13.420]  Oh, yeah.
[50:13.420 --> 50:15.420]  Steve Madrone, District 5.
[50:15.420 --> 50:23.420]  He just got elected and beat the fellow that also got that Canadian cannabis money campaign contributions, Ryan Sundberg.
[50:23.420 --> 50:25.420]  He has a mining company, I believe, as well.
[50:25.420 --> 50:27.420]  But he beat him.
[50:27.420 --> 50:31.420]  And it's mostly because he's all rural residents and they know better.
[50:31.420 --> 50:32.420]  Right.
[50:32.420 --> 50:34.420]  Than to vote for that fellow again.
[50:34.420 --> 50:38.420]  District 5 is the north end of the county.
[50:38.420 --> 50:40.420]  Yeah, Steve Madrone is great.
[50:41.420 --> 50:45.420]  District 2, where I am, is Estelle Fennell.
[50:45.420 --> 50:47.420]  It's the south end.
[50:47.420 --> 50:59.420]  We had big expectations for Estelle when she got in office because she lived in the rural part of the county.
[50:59.420 --> 51:03.420]  She is or was a marijuana grower.
[51:04.420 --> 51:08.420]  She should have understood that the community.
[51:08.420 --> 51:13.420]  But, well, it is what it is.
[51:13.420 --> 51:17.420]  You give people power. With it comes responsibility.
[51:17.420 --> 51:24.420]  They have assumed the power, but not the responsibility.
[51:25.420 --> 51:36.420]  Just quickly, in the YouTube chat, City Soulshine Growing asked, is there a way people watching who have skills such as paralegals can help with this important work?
[51:36.420 --> 51:42.420]  Because it seems like a lot of what you guys are doing is not for high pay or compensation.
[51:43.420 --> 51:57.420]  How can people get involved in, and let's take the case study of Humboldt County, of kind of helping to sculpt policy in a sensible direction?
[51:57.420 --> 52:01.420]  Can they reach out to you guys?
[52:01.420 --> 52:03.420]  Yeah, absolutely.
[52:03.420 --> 52:04.420]  Sorry, Ed, go ahead.
[52:05.420 --> 52:09.420]  I was going to say, that's a good question.
[52:09.420 --> 52:13.420]  We are, of course, need more people.
[52:13.420 --> 52:25.420]  But, with like what I'm doing, legal work, you need people who are trained to do legal work.
[52:26.420 --> 52:40.420]  Because, if I'm in court saying, these people made all these mistakes and did all this wrong stuff, and they can turn around and say, yeah, well, look at your stuff.
[52:40.420 --> 52:44.420]  I'm blown out of the water.
[52:44.420 --> 52:56.420]  I think Nicole needs also a good deal of help, but from people who have certain skills, not just...
[52:56.420 --> 52:59.420]  Yeah, it's data crunching.
[52:59.420 --> 53:03.420]  Yeah, I need 15 of me. Really, I always say that.
[53:04.420 --> 53:16.420]  If anyone wants to contact me, they can reach out to Nikki, N-I-K-K-I, Jean, J-E-A-N, Norris, N-O-R-R-I-S, at Gmail, Nikki, Jean, Norris, at Gmail.
[53:16.420 --> 53:21.420]  I would love to talk with them, especially if they have any sort of paralegal skills, or data crunching.
[53:21.420 --> 53:23.420]  I just posted it in the chat.
[53:23.420 --> 53:28.070]  Thank you.
[53:28.070 --> 53:31.070]  Yeah, activism in cannabis is really strange right now.
[53:31.070 --> 53:42.070]  That's why I say I need 15 of me, because so many people are tied up in either the permit process, or they're afraid of the abatement process, or they're doing the safe homes.
[53:42.070 --> 53:44.070]  And we're, again, so rural.
[53:44.070 --> 53:51.070]  There's a lot of elders in this community, too, that are just getting old and don't want to stand up.
[53:51.070 --> 53:54.070]  They can't stand up and fight anymore, really, is what it is.
[53:55.070 --> 54:01.070]  I don't know if the county intentionally did that, but they've definitely taken advantage of our lack of organization so much.
[54:01.070 --> 54:09.070]  But there's a bunch of people like me, too, a couple handfuls of folks that are really dedicated, and we're fighting the good fight.
[54:09.070 --> 54:12.070]  But yeah, if you've got any skills, hit me up, please.
[54:13.070 --> 54:21.070]  Can you talk about, you know, you posted the multi-part article series in Redheaded Black Belt.
[54:21.070 --> 54:26.070]  That's read by a lot of local cannabis farmers.
[54:26.070 --> 54:30.070]  So what were the reactions in the comments section?
[54:30.070 --> 54:35.070]  Well, it's really surprising.
[54:35.070 --> 54:38.070]  I just had my baby, so I've been a little bit out of the loop.
[54:39.070 --> 54:40.070]  I was writing before Redheaded Black Belt.
[54:40.070 --> 54:48.070]  I was writing for a local newspaper called The Green Fuse run by Paul Insomer and Joshua Golden, a radical little green newspaper.
[54:48.070 --> 54:53.070]  And I was reporting on this, but I was one of the only people in the whole county covering this.
[54:53.070 --> 55:03.070]  It's not a popular issue because the way that legalization is kind of unfolded, according to UC Berkeley, they're regulating it as if it's a problem.
[55:04.070 --> 55:15.070]  Whether that be environmental or culturally, like with certain populations across California, like the Hmong population, you know, they'll use legalization to kind of eradicate the whole culture.
[55:15.070 --> 55:22.070]  And they're doing that here in Cumbell County, too, with the hippies or conscious humans or whatever you want to call them.
[55:22.070 --> 55:24.070]  Let me break in here.
[55:24.070 --> 55:25.070]  Please.
[55:25.070 --> 55:30.070]  Nicole is way too modest about the response to this article.
[55:30.070 --> 55:31.070]  Oh.
[55:32.070 --> 55:38.070]  If you look at the comments to her articles, they're almost entirely favorable.
[55:38.070 --> 55:42.070]  And there are quite a few of them.
[55:42.070 --> 55:48.070]  She is the only writer to do anything of substance.
[55:49.070 --> 55:56.070]  You know, I mean, anyone can write a comment and say, I don't like this program, we should get rid of it still.
[55:56.070 --> 56:04.070]  But Nicole has written factual articles that demonstrate what the problems are.
[56:04.070 --> 56:10.070]  And that's what it's a way to let people appreciate it.
[56:10.070 --> 56:11.070]  Thank you, Ed.
[56:12.070 --> 56:13.070]  It's just really important to get the information out there.
[56:13.070 --> 56:18.070]  I was truly inspired by Ed's comments on the CSAC award initially.
[56:18.070 --> 56:24.070]  I'm like, I've got to refute this because John Ford is just completely lying about someone I admire immensely.
[56:24.070 --> 56:26.070]  Ed was like, don't worry about it.
[56:26.070 --> 56:27.070]  I'm not worried about it.
[56:28.070 --> 56:42.070]  But when John Ford said that Ed's comments about the abatement program was inaccurate, and I knew full well that everything Ed said was right on, and everything I had seen in person with this agency, I had to stand up.
[56:42.070 --> 56:45.070]  And it was impossible to get John Ford to call me back.
[56:45.070 --> 56:48.070]  So I just submitted record requests after record requests.
[56:48.070 --> 56:52.070]  And I'm not a mathematician, but I crunched the data.
[56:52.070 --> 56:55.070]  I cross-referenced it with UC Berkeley.
[56:55.070 --> 56:57.070]  And I had them run the numbers.
[56:57.070 --> 57:00.070]  But I could always use more data crunching assistance.
[57:00.070 --> 57:02.070]  There's so much to crunch.
[57:02.070 --> 57:04.070]  I just got this massive list from the state.
[57:04.070 --> 57:07.070]  So I'll have some more information for you guys soon.
[57:08.070 --> 57:23.070]  And Robert, can you talk about, you know, we just touched a little bit on kind of like, you know, you have the older farmers who are kind of, you know, hanging up their hats right now.
[57:24.070 --> 57:39.070]  But can you talk about kind of the landscape of the, you know, small farmers and farming community from like 2016, you know, to present time and kind of, it's almost like complete decimation.
[57:39.070 --> 57:44.070]  So feel free to paint a picture of decimation and sadness.
[57:44.070 --> 57:51.070]  Yeah, like I said earlier, I always like to use my personal mountain here at home as kind of my pulse of the community.
[57:52.070 --> 58:01.070]  And so in the old days, driving up and down my mountain, we all used to wave to each other because we all knew we were participating in the same illicit activity.
[58:01.070 --> 58:04.070]  And if we were pulling it off, we were proud of each other.
[58:04.070 --> 58:13.070]  And even though there was some people that maybe we frowned upon because we felt like they were bringing heat to the community, we still respected those people because they were still part of our community.
[58:13.070 --> 58:14.070]  Does that make sense?
[58:15.070 --> 58:28.070]  As opposed to now, there's this big division in our community where you have the licensed operators, and then you have the illicit operators, and we're not all waving at each other like we used to.
[58:28.070 --> 58:35.070]  And we don't have a cohesive community like we used to. There's a lot of division, you know.
[58:35.070 --> 58:38.070]  It definitely didn't bring people together is what I'm seeing.
[58:38.070 --> 58:42.070]  And then as you guys were talking, something that I feel is an important point.
[58:42.070 --> 58:48.070]  When the county set out to do this in 2017, they wanted to decimate the traditional market.
[58:48.070 --> 58:56.070]  And in doing so for three years, the only thing they've done is raise the prices of traditional market cannabis.
[58:56.070 --> 59:01.070]  And so I don't know if that was an unintended consequence or if that was something that they planned to happen.
[59:02.070 --> 59:06.070]  But I hear there's an uptick as far as the price of cannabis.
[59:06.070 --> 59:12.070]  I don't think it's just related to the COVID situation and the fires.
[59:12.070 --> 59:17.070]  It has to do with the amount of eradication that's been happening over the past three years.
[59:17.070 --> 59:22.070]  We're the epicenter for production for the entire nation, not for the state of California.
[59:22.070 --> 59:24.070]  We're the epicenter for the whole nation.
[59:25.070 --> 59:33.070]  So, you know, the county, they went about this one way when in my mind, I can think of 10 other ways that they could have approached this.
[59:33.070 --> 59:43.070]  That probably would have had a more favorable outcome for the entire community rather than six, seven, eight families in every mountain community that exists in Humboldt.
[59:44.070 --> 59:58.070]  Right. Yeah. The price per pound in fall of 2017, according to a study done by UC Berkeley, was 500 to 1100 on average.
[59:58.070 --> 01:00:02.070]  So it was quite low back then when legalization hit.
[01:00:02.070 --> 01:00:07.070]  And then this year, it's just astronomical and it's really chasing people indoors.
[01:00:07.070 --> 01:00:11.070]  I'd say this year, my guess, what did I hear last?
[01:00:11.070 --> 01:00:18.070]  23 for indoor and indoors really popular now because people have to make a living and they can't grow outdoor now.
[01:00:18.070 --> 01:00:25.070]  It's horrible. What legalization has done for the environment is ironic because people aren't stopping growing.
[01:00:25.070 --> 01:00:32.070]  It's very true, Nicole. If people have high time centerfold indoor weed, it's going for three thousand dollars a pound right now.
[01:00:32.070 --> 01:00:36.070]  Those are numbers that we haven't seen since the early 2000s.
[01:00:36.070 --> 01:00:41.070]  You know, and that was that was due to the eradication efforts that were occurring here.
[01:00:41.070 --> 01:00:44.070]  And like Nicole just mentioned, it is pushing people indoors.
[01:00:44.070 --> 01:00:53.070]  And if you look at the stats from this year, some of the operations that law enforcement did get, they were indoor operations and guys are running generators again.
[01:00:53.070 --> 01:00:58.070]  And it just it doesn't make any sense. You know, like the price of fuel isn't cheap like it used to be.
[01:00:58.070 --> 01:01:01.070]  And no one wants to be polluting their communities.
[01:01:01.070 --> 01:01:06.070]  But people feel like they have no other choice. And not to say that I'm I'm pro that or anti that.
[01:01:06.070 --> 01:01:12.070]  I can just understand when people feel like they're pushed into a corner and they have no other option.
[01:01:12.070 --> 01:01:22.070]  Absolutely. You really can't blame them. And also another aspect of this is the mega grows that didn't get permitted, which is, in my opinion, I seen so few of those.
[01:01:22.070 --> 01:01:26.070]  I don't think there are a lot more of those left that are like, you know, an acre in size.
[01:01:26.070 --> 01:01:37.070]  Those guys, I have heard they're going underground indoor. I've talked to a fellow. He's like, I, I heard of a farm that was like an acre long or something ridiculous like that.
[01:01:37.070 --> 01:01:43.070]  I mean, people can go underground now with indoors. It's just it's it's wild.
[01:01:43.070 --> 01:01:47.070]  But yeah, so the prices this year are wild and.
[01:01:48.070 --> 01:01:58.070]  And although, although the prices are up over the past three years like you guys said earlier, we are one of the only counties to report lost sales tax during that that period of time.
[01:01:58.070 --> 01:02:12.070]  And so even though prices are up now it shows that we're still using that sales tax revenue. And like Ed said towns like Garberville today, it should almost feel like the day of reggae on the river in Garberville.
[01:02:12.070 --> 01:02:20.070]  I don't know. But if you drive to Garberville today it looks like a ghost town and it doesn't feel like the day before reggae on the river.
[01:02:20.070 --> 01:02:24.070]  Right. I'm really worried about our, our region.
[01:02:24.070 --> 01:02:39.070]  Very few rural communities can take it the sort of hit that we've had in the last few years with millions and millions extracted 75% of which has been from our small district, where I don't know Ed are there 20,000 people that are in this area.
[01:02:40.070 --> 01:02:55.070]  36 million, oh sorry 40 something million. It's like, how, who can who can take that sort of hit, and you can definitely see it and you see it in drug overdoses you see it in suicides, you see it and substance abuse issues, aces.
[01:02:56.070 --> 01:03:09.070]  Like we already talked about nonprofits, it's widespread, and I don't, I don't know what the trade off was supposed to be but they haven't. They haven't seized the opportunity that humble county cannabis industry should have been.
[01:03:09.070 --> 01:03:23.070]  And even looking at the low numbers if there was 10,000 farms farms pre legalization and 500 permitted farms maybe in February that means only 5% assimilated I don't see that as being a success in my mind.
[01:03:23.070 --> 01:03:39.070]  Yeah, yeah, the like I said Santa Barbara is much higher percentage I forget I ran the numbers, Trinity and Mendocino as well have higher percentage success rate, the farms pre legalization were 10 to 30,000 to and humble county so it could be lower than that,
[01:03:39.070 --> 01:03:42.070]  than five for sure.
[01:03:42.070 --> 01:03:44.070]  Yeah.
[01:03:44.070 --> 01:03:46.070]  I think something we do.
[01:03:46.070 --> 01:03:52.070]  What can we do what we do and you know, I think an important point also is during the onset of the pandemic.
[01:03:52.070 --> 01:04:04.070]  We were hearing through the local community that residents were fearing growing vegetables and their small greenhouses at their homesteads, because they didn't want to be drug into this drag net that the county has been doing county wide.
[01:04:04.070 --> 01:04:18.070]  And so I feel it's a real important time that people should be stuffing their greenhouses with their vegetables, growing as much as possible you know we're experiencing a pandemic when, when else would be a better time for people to be growing tons of vegetables
[01:04:19.070 --> 01:04:23.070]  in the greenhouses existing infrastructure that they already have on their land.
[01:04:23.070 --> 01:04:37.070]  Exactly. I literally came to Humboldt County to grow food and live sustainably in harmony with the planet. I didn't come here for cannabis. I just had a scholarship and I wanted to go back to school before it expired but I found my love for cannabis while I was
[01:04:38.070 --> 01:04:41.070]  But when we're.
[01:04:41.070 --> 01:04:49.070]  I'm so sorry, what, what were you talking about I lost my train of thought so yeah growing food and fruit and vegetables in a greenhouse we need to be doing this right now.
[01:04:49.070 --> 01:04:59.070]  Right, and it's it's never a better time. The moment that I need the food in the greenhouse that I've grown for the past 1012 years in Humboldt County. I'm not allowed to anymore.
[01:05:00.070 --> 01:05:16.070]  I didn't get an abatement. I didn't get a warning letter, my landlords are just scared of the abatement program, understandably, and so they don't want a greenhouse, and I get it but basically the county has taken food out of my child's mouth and a breastfeeding mother's mouth.
[01:05:17.070 --> 01:05:39.070]  So, it's gross, and I literally went in November 2019 and I begged the supervisors, I told them this story I said, I just want to grow food for my son. In the winter, I grow food year round without a greenhouse I cannot do that in Humboldt County down in Los Angeles Peter and I remember I had a rooftop garden in downtown LA and I grew a lot of stuff in the winter and fall and all year round but in
[01:05:40.070 --> 01:05:46.070]  Oh yeah, I got I got a watermelon growing right now and beans and tomatoes, I mean I got everything.
[01:05:46.070 --> 01:05:50.070]  I'm looking at it right now it's good to be in LA.
[01:05:50.070 --> 01:06:00.070]  So John Ford if you're watching right now you're you're taking food out of the mouths of a breastfeeding mother and her newborn child.
[01:06:00.070 --> 01:06:02.070]  Wow, what a terrible thing.
[01:06:02.070 --> 01:06:03.070]  During a pandemic.
[01:06:03.070 --> 01:06:04.070]  Yeah, during a pandemic.
[01:06:04.070 --> 01:06:06.070]  An economic collapse.
[01:06:07.070 --> 01:06:13.070]  Maybe john I'll click on that zoom login and defend his honor.
[01:06:13.070 --> 01:06:15.070]  But, all right.
[01:06:15.070 --> 01:06:24.070]  Something about john john for is an extremely decent man.
[01:06:24.070 --> 01:06:35.070]  He's got a great heart, and he will correct. A lot of these problems, one at a time.
[01:06:35.070 --> 01:06:54.070]  He doesn't seem to be able to see the systematic problem that's going on. And he cannot fix all the problems that are being caused by the policies, he helped right and that he's implementing.
[01:06:54.070 --> 01:07:03.070]  So, I feel, I really feel bad for john for because he's a good man doing bad things.
[01:07:03.070 --> 01:07:13.070]  He sure is doing bad things I mean when I lost my train of thought again I'm so sorry.
[01:07:13.070 --> 01:07:15.070]  It's been an hour and a half.
[01:07:15.070 --> 01:07:27.070]  John Ford, and I think he means well and. But yeah, when he's taking something away he's or when he's giving something to us he's like, Oh yeah, that's what I wanted to say.
[01:07:28.070 --> 01:07:41.070]  There's this ongoing like assumption in their department and I think that it must be this opinion must be held by john Ford, that everyone in cannabis has money, and they owe it to their criminals so they owe it to the county.
[01:07:41.070 --> 01:07:53.070]  And when you walk into the planning and building department you are a criminal it feels like a lot of people have told me when they're going to get the permits or their safe home applications, they feel like they're being criminalized still just by the nature
[01:07:54.070 --> 01:08:07.070]  of the cannabis, even though it's legal. So I've had several times from the planning and building department I have a great interview and they're like, you know, I asked why, why don't you charge penalties for regular abatements that aren't involving cannabis that's interesting
[01:08:07.070 --> 01:08:12.070]  because the penalties are so extreme for cannabis, and they say, Oh well they have money.
[01:08:12.070 --> 01:08:14.070]  They can afford it.
[01:08:15.070 --> 01:08:27.070]  God really is that right because the elders I see going through the abatement program barely have, you know, clothes without holes in them and they just want to grow food and the nuns at the monastery you know they're.
[01:08:27.070 --> 01:08:37.070]  It's wild. It's wild, but I think so breastfeeding breastfeeding mothers and nuns john Ford.
[01:08:38.070 --> 01:08:45.070]  Yeah, I think he's imposing additional stress on a community that's still recovering from the drug war that's never ended.
[01:08:45.070 --> 01:08:57.070]  And, you know, just people around here, we're, we're, we have PTSD from years of living under the blades, and it's it's not just me it's our collective community.
[01:08:58.070 --> 01:09:11.070]  Yeah, and the least that they owe us is like a small permit a micro permit for a 2000 square foot farm that should be like no questions asked a 600 square foot greenhouse, whatever you want to grow in it food, cannabis, any medicine.
[01:09:11.070 --> 01:09:25.070]  It should be like no questions asked. Sorry about the drug war but it's not that way at all. It's more illegal now right at it, you said that before it feels more illegal now, or does feel like that more legal than when camp was around.
[01:09:26.070 --> 01:09:49.070]  So just Robert I feel like the, I don't even that last someone posted there were like 260 people watching so I feel like we've made them eat their spinach and sprouts by listening to a deep wonk ish legal conversation so I want to give them a little
[01:09:49.070 --> 01:09:57.070]  bit of background and I want you to talk about what you what you grew this season, and tell us about it.
[01:09:57.070 --> 01:10:14.070]  Sure. So most of my lineup this season is from Jesse Dodd from bio vortex. I found Jesse seeds do very well in my microclimate and Jesse does most of his breeding on the coast, where it's really foggy and moist.
[01:10:14.070 --> 01:10:24.070]  And I've been telling him that none of his strains that I've run rot out here where I live in the inland valleys where it's hot and dry during the summer.
[01:10:24.070 --> 01:10:41.070]  And I've been running his genetics for the past three years, and I've been extremely happy with everything that I've run from him. And he's been doing some back crosses that he's had for years, including his black dog.
[01:10:41.070 --> 01:10:54.070]  I've done some of his black dog crosses and yeah just everything that I'm running of his I can't even think off of the top of my head everything that I have this year of his, but it's phenomenal and the qualities, always top of the line.
[01:10:54.070 --> 01:11:08.070]  And if anyone can get their hands on his seeds I would highly recommend it Jesse's a phenomenal breeder he's a really down to earth guy. And yeah you know this season it's been tough for cultivators here in the Emerald Triangle.
[01:11:08.070 --> 01:11:21.070]  We've been dealing with smoke since, shoot I'd say August, the end of August where I live, and it's been on and off but it's been more on than it's been off.
[01:11:22.070 --> 01:11:38.070]  And there's been ash on the plants, and yeah we just persevere that's kind of, that's the thing about this community is you can like knock us down in the ground, everyone could be get knocked down but we still kind of rise up again, and it's just there's a lot
[01:11:38.070 --> 01:11:42.070]  of perseverance that goes on in this region of California.
[01:11:43.070 --> 01:11:48.070]  You have deep roots cultivating on that specific hill right?
[01:11:48.070 --> 01:11:56.070]  Yeah so I've lived in Humboldt since 1997 I bought my land in 2000 I built my house in 2002.
[01:11:56.070 --> 01:12:08.070]  So can you kind of talk about the evolution of kind of the genetics and cultivars that have kind of crossed your path over, like have you seen trends I mean you're currently running Jesse's stuff but
[01:12:08.070 --> 01:12:15.070]  So you know I've always made my own seeds over the years it's one of the things that I really enjoy about growing cannabis.
[01:12:15.070 --> 01:12:31.070]  It's kind of like you know making the next generation that you get to see your offspring the following year. And, you know, the way the markets been working is some people are kind of chasing more trendy trend, you know trendy strains and trends and this and that.
[01:12:32.070 --> 01:12:43.070]  And I've always worked with the heirloom strains I found that the strains that are from my hill or from my microclimate are always programmed to do the best here.
[01:12:43.070 --> 01:12:59.070]  It's like they just naturally do better in our bio region, and so you know when I first got my land. We were given seeds from old timers who lived up here on the mountain they had been here from the 70s and they were some of the original growers, and they
[01:13:00.070 --> 01:13:14.070]  And the black was a black Afghani cross with an Alaskan black and I'm not talking about purple weed I'm talking about weed that's black like like a black wood stove that's painted with cast iron black paint.
