[00:00.250 --> 00:03.890]  All right, take two.
[36:08.090 --> 36:10.130]  inches, you know, about as much as I go.
[36:10.490 --> 36:15.370]  And then I'll put them in like something I can seal up, seal it for 24 hours, open it
[36:15.370 --> 36:18.970]  up. And you'll notice everything went back to a little damp because the innermost
[36:18.970 --> 36:23.410]  moisture has started to wick out toward the toward the dryer outside.
[36:23.410 --> 36:27.170]  So you got to continue doing that to really finish it off.
[36:27.650 --> 36:32.890]  And another thing was people found like, all right, cool, we're dry.
[36:33.250 --> 36:39.090]  Let's, you know, jar it up, even if they have got to that point that the smell.
[36:39.450 --> 36:42.970]  So like you might notice like, hey, man, you know, I got my shit.
[36:42.970 --> 36:45.850]  It stinks. It goes away, but we're good.
[36:45.850 --> 36:46.850]  I'm just going to put it away.
[36:47.370 --> 36:52.050]  So that typically will, you know, it's going to screw you in the long run.
[36:52.410 --> 36:54.970]  So what I would do is you would open it up.
[36:55.010 --> 36:57.010]  The smell hits you in the face and it fades away.
[36:57.010 --> 36:58.570]  And people are like, oh, my God, it's gone.
[36:58.570 --> 36:59.890]  It's gone. Let me seal it back up.
[37:00.290 --> 37:02.650]  Don't do that. Just leave it open.
[37:03.050 --> 37:05.450]  The smell is going to come back when the smell starts coming back.
[37:05.450 --> 37:08.010]  Seal it up. Open it the next day.
[37:08.410 --> 37:10.650]  All right. So I was going to hit you in the face.
[37:10.650 --> 37:14.570]  Right. And then after a little bit, you know, a few minutes, it's gone.
[37:14.650 --> 37:16.170]  Fades away. Leave it open.
[37:16.210 --> 37:17.850]  You'll notice the smell start coming back.
[37:18.570 --> 37:20.050]  You know, it's still finishing.
[37:20.850 --> 37:22.450]  So go ahead, seal it up.
[37:22.450 --> 37:25.130]  And you're going to repeat this process at the point where you can open it.
[37:25.130 --> 37:26.970]  The smell hits you in the face. Right.
[37:27.410 --> 37:28.890]  And it doesn't fade away.
[37:28.890 --> 37:32.690]  At that point, you should be dealing with one very stinky good shit.
[37:32.890 --> 37:37.170]  And to the bud should have like a kind of a stale marshmallow consistency,
[37:37.210 --> 37:39.290]  you know, cultivar dependent.
[37:39.290 --> 37:41.410]  Some shit's as hard as a fucking rock, you know.
[37:41.930 --> 37:43.770]  But you should be you should be good to go.
[37:43.770 --> 37:45.730]  You're not overly dry.
[37:45.730 --> 37:47.050]  You're not wet either.
[37:47.050 --> 37:48.370]  You know, you're right.
[37:48.370 --> 37:49.850]  You're right in that sweet spot.
[37:49.850 --> 37:51.930]  It's stinking. The smell is not going away.
[37:52.290 --> 37:53.930]  Now you're ready for the door.
[37:53.930 --> 37:55.850]  So now you're going to keep it in the door.
[37:55.850 --> 37:57.770]  Cool place, dark place.
[37:57.770 --> 37:59.010]  You're going to degrade it.
[37:59.010 --> 38:00.810]  So don't leave it in the sunshine.
[38:00.810 --> 38:02.090]  Just keep it in the cabinet.
[38:02.090 --> 38:04.090]  Do you like it? Like a bottle of wine or something.
[38:04.610 --> 38:08.490]  And then after that, you know, burp it, you know, for a minute, you know, each day.
[38:08.810 --> 38:12.770]  And over time, you know, these these glands like they're still doing their thing.
[38:13.250 --> 38:15.650]  So, you know, I wouldn't touch anything.
[38:16.170 --> 38:20.610]  Shit. Six weeks after the chop would be about the first time I start
[38:20.610 --> 38:21.850]  poisoning anything.
[38:21.850 --> 38:25.090]  There are some guys I knew that, you know, eight weeks,
[38:25.090 --> 38:26.930]  10 weeks before they would touch it.
[38:26.930 --> 38:31.130]  And you'll notice like if you take a bud and, you know, burn it like right away
[38:31.130 --> 38:33.410]  and then you wait that six weeks and then do it again.
[38:33.890 --> 38:38.170]  Yeah, it's a world of different smell, taste, everything, you know.
[38:38.530 --> 38:41.490]  So just remember, like the whole time you're growing,
[38:41.650 --> 38:45.130]  you're focusing on these on these heads because that's that's our endgame,
[38:45.130 --> 38:49.250]  especially for the the the oil, you know, ash producers.
[38:50.930 --> 38:55.210]  But, you know, the fight isn't up until until it's done, you know,
[38:55.210 --> 38:57.650]  so you got to keep it going the whole way.
[38:57.970 --> 39:00.290]  And if you're putting a lot of money into the growth,
[39:00.290 --> 39:04.730]  don't start cheaping it out on your on your drying process, you know.
[39:04.930 --> 39:07.370]  So keep keep up the work through that.
[39:07.730 --> 39:11.650]  And then you end up with a much, much better, better thing at the
[39:11.690 --> 39:13.090]  at the end of the day.
[39:13.090 --> 39:15.770]  So this is just my two cents on it.
[39:17.490 --> 39:22.370]  Yeah, I mean, you know, for an advanced farmer, that's very basic stuff.
[39:22.370 --> 39:24.410]  But I feel like when you get to an elite level
[39:24.410 --> 39:27.010]  and you actually start to hear a professional talk about their day,
[39:27.010 --> 39:28.450]  the way they break things down,
[39:28.450 --> 39:31.330]  a lot of that stuff is just repetitive, same kind of thing,
[39:31.650 --> 39:34.370]  knowing what to do and what not to do.
[39:34.930 --> 39:38.810]  There was a meme video, I remember, that went around maybe a year or two ago.
[39:39.170 --> 39:41.410]  Marco, I think you might remember this one
[39:41.410 --> 39:44.210]  where they were bouncing the all the the plants.
[39:44.530 --> 39:47.010]  They were basically like the whole line of these people
[39:47.010 --> 39:50.850]  were playing basically like the conga drums with the plants themselves,
[39:50.850 --> 39:52.850]  just smashing everything.
[39:52.850 --> 39:56.650]  So even I feel like, especially at the corporate level,
[39:56.850 --> 40:00.850]  I don't think that they really value the trichomes the way
[40:00.850 --> 40:03.250]  that the small time individual does.
[40:03.570 --> 40:07.490]  And that I feel like is our our secret, something that we can hopefully
[40:07.490 --> 40:10.770]  hold on to is that it doesn't seem like they give a shit about.
[40:11.130 --> 40:13.970]  So if the industry knows that that's the real secret of things,
[40:13.970 --> 40:17.890]  even with fake cannabis, when they give that to individuals,
[40:18.570 --> 40:21.050]  from what I understand, it doesn't work the same.
[40:21.050 --> 40:25.090]  And then God only knows if you've you know, if you were only able to smoke
[40:25.090 --> 40:28.650]  like K2 or something like that, that's a I don't even feel like that's
[40:28.890 --> 40:30.810]  saying the word synthetic cannabis.
[40:30.810 --> 40:33.690]  I don't even feel like that's justified because there's no way
[40:33.690 --> 40:37.090]  you're near the same thing with cannabis and K2.
[40:37.090 --> 40:40.530]  So you can't recreate those organic compounds.
[40:40.530 --> 40:41.250]  You know what I mean?
[40:41.250 --> 40:44.210]  Like, yeah, synthetics aren't going to do that.
[40:44.210 --> 40:48.330]  Synthetics will give you kind of the overall cannabis feel.
[40:48.370 --> 40:52.210]  You know, you'll get that, but you'll never get that full profile
[40:52.210 --> 40:54.930]  like a good grown flower will give you.
[40:55.530 --> 40:57.330]  I know Duke can agree with that.
[40:57.330 --> 40:58.330]  Oh, yeah.
[40:58.330 --> 41:00.090]  Now I've watched his motherfucking smoke.
[41:00.090 --> 41:03.250]  There's men like nothing can be about that shit.
[41:03.290 --> 41:05.530]  And it's close to the goddamn angel does
[41:06.050 --> 41:08.410]  like a motherfucker smoking and bombing fluid and shit.
[41:09.010 --> 41:10.890]  I seen some shit.
[41:10.890 --> 41:13.770]  Well, that's like a love boat back in the day.
[41:14.250 --> 41:15.410]  Yeah, yeah, exactly.
[41:15.410 --> 41:18.090]  It looks like a smoke boat, all of them
[41:19.250 --> 41:22.250]  shaking out, screaming and hollering at shit that ain't there.
[41:23.170 --> 41:24.890]  Yeah, ain't nothing can about that.
[41:27.690 --> 41:31.130]  All right, Duke, so I would say your style, especially your early
[41:31.130 --> 41:33.450]  when you were vocal with a lot of things is,
[41:34.530 --> 41:37.290]  I guess the easiest way to describe is kind of like no to you.
[41:37.290 --> 41:40.970]  You know, I don't think you started this before that was even a buzzword.
[41:41.610 --> 41:44.250]  But I noticed that, you know, your pots were a little bit smaller
[41:44.250 --> 41:46.410]  than what is conventional thinking today.
[41:46.410 --> 41:48.730]  And I was hoping that we could kind of go down, you know,
[41:48.730 --> 41:50.730]  why you view things the way that you do.
[41:51.010 --> 41:53.010]  I know that you're big on top dressing.
[41:53.010 --> 41:55.530]  You're one of the first ones that broke down insect frass,
[41:55.530 --> 41:59.610]  where I felt like Georgia boy could understand why that was extremely important
[42:00.370 --> 42:03.170]  because when you read it in the book, I mean, it comes across a few things.
[42:03.170 --> 42:04.410]  Insect frass, read that.
[42:04.410 --> 42:06.890]  Maybe you go and Google what that means.
[42:06.890 --> 42:09.810]  It just doesn't have the same caliber when someone breaks down
[42:09.810 --> 42:11.850]  what that's really doing for the plant.
[42:12.330 --> 42:14.370]  So I was hoping we could kind of run down that road, too, man,
[42:14.370 --> 42:16.570]  because that was something that really stuck out to me
[42:16.570 --> 42:18.930]  when you were talking about that once on a podcast.
[42:18.930 --> 42:22.930]  I do. Can you talk on get into kind of like your progression to have grown?
[42:22.930 --> 42:26.570]  You know how we all kind of started and what led you to where you are
[42:26.570 --> 42:27.690]  and that kind of thing, too.
[42:27.690 --> 42:29.890]  All right. Well, I'll start there.
[42:30.530 --> 42:36.330]  So let's go start.
[42:38.090 --> 42:40.210]  Let's start with some cool and.
[42:41.930 --> 42:44.690]  So soil growing.
[42:46.210 --> 42:50.810]  I mean, just just on a very basic level at work, it was good.
[42:52.010 --> 42:54.770]  You're just going off old time.
[42:55.770 --> 43:00.290]  Farm knowledge and just farming at the end of the day.
[43:02.530 --> 43:08.010]  Internet, horrible, horrible thing, but very cool to very good tool.
[43:08.330 --> 43:12.250]  And it allowed me to to talk to other people. Right.
[43:13.050 --> 43:18.530]  And that's something that I noticed over decades now.
[43:20.370 --> 43:23.010]  And this part's kind of gone by the wayside,
[43:23.130 --> 43:28.530]  like people helping other people and learning from each other's mistakes
[43:28.530 --> 43:32.050]  and our successes and sharing knowledge
[43:32.690 --> 43:37.290]  and just talking and having like a good knowledge exchange and not.
[43:38.210 --> 43:43.690]  A lot of people just get crazy in the field and but hurt and prideful,
[43:44.530 --> 43:48.170]  especially nowadays where we get used to be like that.
[43:48.490 --> 43:52.730]  And I was just all ears, you know, like whatever you're doing,
[43:53.010 --> 43:57.330]  I want to hear all about it, man, because whatever successes you're having
[43:57.930 --> 44:00.570]  could definitely impact mine and vice versa.
[44:00.970 --> 44:02.530]  You know, I might be doing something.
[44:02.530 --> 44:04.770]  You might be doing something neither one of us does.
[44:05.130 --> 44:06.770]  And we share that with one another.
[44:06.770 --> 44:11.130]  And now we both we both came up, you know, off of that. So.
[44:12.970 --> 44:15.770]  So a big high and subcool as well,
[44:16.410 --> 44:18.330]  what they would call, you know, super soul
[44:18.930 --> 44:22.090]  I'm putting a lot of amendments
[44:22.570 --> 44:28.090]  in into into a soul and just and just rolling from there.
[44:28.930 --> 44:32.610]  So I was like, all right, you know, these dudes,
[44:32.890 --> 44:35.650]  obviously, they're very, very good.
[44:35.970 --> 44:38.650]  And, you know, I'm going to I'm going to try that.
[44:39.050 --> 44:43.250]  So I did. I noticed like for me,
[44:43.490 --> 44:49.330]  it was way too hot, just way, way, way too hot right off the bat.
[44:49.730 --> 44:52.450]  So the rest of it I had made up.
[44:52.690 --> 44:56.850]  I kind of I kind of cut it down, you know, watered it down, if you will.
[44:57.170 --> 44:59.410]  And I noticed my plants were a lot happier.
[44:59.410 --> 45:02.610]  Now I can't say like, OK, well, this shit was too hot.
[45:02.610 --> 45:03.850]  Shouldn't be done that way.
[45:03.850 --> 45:06.170]  But for what I was growing at that time,
[45:07.210 --> 45:09.410]  it was it was a little bit a little bit too much.
[45:10.090 --> 45:13.370]  And then just fast forward over the years, tweaking
[45:13.610 --> 45:16.570]  like little things here, little things there, because.
[45:17.570 --> 45:21.010]  At the end of the day, like we're all like not perfectionist,
[45:21.010 --> 45:25.930]  but, you know, we want to do the best, the best thing that we can do.
[45:26.410 --> 45:29.050]  So it all started with
[45:30.130 --> 45:32.810]  having a question and wanting an answer
[45:33.210 --> 45:38.690]  and then learning the science behind why does this do what it does
[45:39.210 --> 45:40.370]  when it does it?
[45:40.370 --> 45:44.490]  And then that way you can kind of get a control of these things.
[45:44.970 --> 45:48.410]  So the search for knowledge
[45:48.770 --> 45:54.130]  and it turned into a manic OCD reading everything,
[45:54.810 --> 45:58.450]  trying to trying to get a better knowledge of what we're working with
[45:58.890 --> 46:02.410]  and then taking that knowledge and saying, OK, well, if this is happening,
[46:02.410 --> 46:04.650]  maybe I should do this, do that.
[46:04.690 --> 46:07.050]  So introducing new things,
[46:07.330 --> 46:11.850]  learning more about micro microbiology and these microbes
[46:13.170 --> 46:14.250]  that helped a lot.
[46:14.250 --> 46:15.770]  Like, what are they doing?
[46:15.770 --> 46:18.690]  And furthermore, not only like what exactly are they doing?
[46:18.690 --> 46:20.970]  And like, what does this train do? What does this train do?
[46:21.330 --> 46:24.930]  But how do I make these little critters
[46:25.250 --> 46:28.450]  as happy as possible and the most productive as possible?
[46:29.050 --> 46:31.970]  So, you know, good,
[46:32.970 --> 46:35.530]  good knowledge backing,
[46:35.530 --> 46:38.770]  you know, changing little things and only changing one thing at a time.
[46:39.170 --> 46:41.170]  So that way I can like quantify it.
[46:41.170 --> 46:43.290]  So I can't change 10 things.
[46:43.530 --> 46:46.450]  And if something goes wrong, well, I, you know, I don't
[46:46.450 --> 46:47.530]  I don't know what it was.
[46:47.530 --> 46:49.530]  So I can I be like, yes, this definitely works.
[46:49.530 --> 46:50.850]  This definitely got better.
[46:50.850 --> 46:52.610]  This definitely didn't work.
[46:52.610 --> 46:54.730]  It got worse. And this is why.
[46:54.730 --> 46:57.570]  And just tweaking little things back and forth, back and forth.
[46:58.010 --> 47:01.570]  And then say, I mean, I mean, dudes like y'all and you're like, oh, yeah.
[47:01.570 --> 47:03.810]  Well, you know.
[47:04.530 --> 47:06.010]  I don't know.
[47:06.370 --> 47:08.370]  I don't think of a good example.
[47:08.370 --> 47:10.530]  Yeah. So he's like earthworm cassins.
[47:10.530 --> 47:14.890]  OK, and you got you got your, you know, some some cow manure in there
[47:14.890 --> 47:16.450]  for a compost. Cool.
[47:16.450 --> 47:19.570]  You know, be like, yeah, you ever you ever mess with like Alaskan
[47:19.930 --> 47:21.330]  hammock and shit?
[47:21.330 --> 47:22.650]  Oh, what's that?
[47:22.650 --> 47:24.650]  And you get to reading about it.
[47:24.650 --> 47:26.170]  You know, the overall benefits of it.
[47:26.170 --> 47:27.650]  You're like, OK, that's cool.
[47:27.650 --> 47:28.770]  Let me try it. And you do it.
[47:28.770 --> 47:30.850]  And you're like, hey, this just got better.
[47:32.210 --> 47:34.570]  Get turned on to like mixing a little bit of need cake.
[47:36.250 --> 47:39.090]  People that use that to make sure all these like little things,
[47:39.090 --> 47:41.730]  you know, just got picking up, try it works, it works.
[47:42.250 --> 47:45.370]  Cool. Not, you know, goes to the wayside.
[47:45.730 --> 47:49.170]  So talking and hanging out
[47:49.330 --> 47:54.490]  with a lot of people from all over the place with very experiences
[47:55.570 --> 47:58.530]  kind of kind of kind of led to what was going on.
[47:59.170 --> 48:02.570]  So, you know, I made mistakes like anybody does
[48:03.050 --> 48:06.970]  and learning from those mistakes and that experience over time.
[48:07.170 --> 48:09.290]  It makes you better, better and better.
[48:11.210 --> 48:13.410]  And I would say like.
[48:15.770 --> 48:19.490]  Just being being open and keeping your eyes,
[48:21.530 --> 48:25.210]  keeping your eyes and your ears open, talk less, listen more,
[48:25.810 --> 48:30.890]  kind of kind of let it turn into what it what it turned into
[48:31.250 --> 48:35.970]  and having results that were purposeful.
[48:36.610 --> 48:39.130]  They weren't happening, happening by accident.
[48:39.170 --> 48:43.290]  It was purposely going through it step by step by step by step
[48:43.850 --> 48:47.850]  and trying to make things as perfect in every step, every step of the way.
[48:49.890 --> 48:54.330]  And then that ends up leading to like Ryan saying,
[48:55.730 --> 48:59.970]  so pot size, I'm running huge pots, I'm running little pots,
[48:59.970 --> 49:02.610]  you know, try to grow huge plants and solar cups.
[49:03.210 --> 49:06.970]  Yes. Yes. To see, man, just to see what I could do, how long
[49:07.810 --> 49:09.930]  the plants are low cup challenge.
[49:09.930 --> 49:12.290]  Yeah, exactly. And just seeing what they do.
[49:13.610 --> 49:15.610]  I found that.
[49:16.050 --> 49:19.370]  I could get better, better space management
[49:20.290 --> 49:23.530]  with a smaller, smaller pots, Brian, and,
[49:24.050 --> 49:27.890]  you know, I'm looking at it in a cubic footage kind of way.
[49:27.930 --> 49:31.490]  So I knew that for the height that I really like
[49:32.690 --> 49:35.370]  and putting in there like, you know, light penetration
[49:35.370 --> 49:40.290]  that we're getting from the from the lights that we were using at the time.
[49:40.610 --> 49:44.650]  I know that optimally I'm going to get my best results
[49:44.650 --> 49:48.170]  from something between five and six feet.
[49:49.330 --> 49:52.050]  Based on that, that height or whatever,
[49:52.050 --> 49:57.170]  I knew I was good to go with, say, like a 10 to a 15 gallon gallon pot.
[49:57.490 --> 49:59.650]  And some guys are going 50 gallon pots.
[50:00.130 --> 50:05.130]  And I just felt I got the overall potential out of my plant
[50:05.130 --> 50:08.610]  better when it was sized, you know, that height,
[50:09.250 --> 50:13.930]  you know, and the diameters that, you know, were working for me.
[50:14.650 --> 50:19.330]  I could get more productive weight out of out of each, you know,
[50:20.090 --> 50:23.450]  you know, meter squared, however you want to, how you want to measure it.
[50:24.570 --> 50:29.850]  And I could get more quality, actual non-larvae bud that way.
[50:29.970 --> 50:35.290]  You know, so it's it was all about the economics of the space,
[50:35.290 --> 50:39.290]  making the space work for me, you know, versus trying to make the plant
[50:39.290 --> 50:41.690]  work in the space, if that makes sense.
[50:41.690 --> 50:45.810]  So I like, you know, like I said, the 10 to the 15 gallons
[50:45.810 --> 50:48.770]  for that size smaller, you know, I could do a five gallon
[50:49.050 --> 50:51.970]  just depends like the garden and where I'm at and what
[50:52.290 --> 50:55.170]  what I'm trying to accomplish at the at the end of that.
[50:58.090 --> 51:00.330]  As far as like the inputs and everything,
[51:02.210 --> 51:04.890]  you know, a lot of shit, you know, I would just I would just make it
[51:05.210 --> 51:07.810]  grocery store items and stuff like that.
[51:09.290 --> 51:13.210]  I mean, we could go that be a whole another episode for you.
[51:13.210 --> 51:17.010]  You know, the whole teaming with grocery stores, shit, you know, how to make,
[51:17.530 --> 51:20.330]  you know, things that are sold for hundreds of dollars a gallon
[51:20.770 --> 51:23.850]  and make it for like a couple bucks.
[51:23.850 --> 51:25.770]  That's a whole another whole another thing.
[51:25.770 --> 51:28.090]  But the approach always stayed the same.
[51:28.090 --> 51:30.970]  You know, make the environment as good as you can.
[51:31.770 --> 51:35.690]  If you got your your regimen dialed down for the soil that you're using
[51:36.250 --> 51:39.850]  with the knowledge that you that you gain in your experiences,
[51:41.290 --> 51:44.530]  you know, you should be having a having a good run.
[51:45.010 --> 51:49.410]  And just avoiding, especially for the new people,
[51:50.570 --> 51:52.330]  less is more.
[51:53.130 --> 51:56.610]  People, when it comes to growing, they never under do shit.
[51:56.970 --> 52:00.090]  Everybody always does everything to the nine.
[52:00.090 --> 52:03.490]  So, you know, just reel it back, start slow,
[52:03.850 --> 52:06.130]  you know, and then work yourself up a little bit.
[52:06.570 --> 52:09.050]  And, you know, versus the other way around.
[52:10.490 --> 52:14.370]  And you'll find that you'll have something better to show.
[52:14.690 --> 52:18.370]  At the end of it, you know, because like these plants, they're not
[52:18.570 --> 52:20.370]  they're not strippers, man.
[52:20.370 --> 52:23.930]  Like they don't respond to dollar bills being thrown at them.
[52:24.090 --> 52:26.970]  Like, you know, it's just at the end of the day, it's a,
[52:27.810 --> 52:30.290]  you know, it's it's science, you know. So,
[52:31.970 --> 52:36.130]  you know, learn as much as you can about as much as you can.
[52:36.370 --> 52:39.890]  When it when it comes comes to the task at hand, no matter what it is
[52:39.890 --> 52:43.130]  that you're doing and you'll you'll always do better.
[52:43.730 --> 52:49.610]  And as far as like the no-till thing, like people would like
[52:49.610 --> 52:52.250]  when they when that came to be, they're like, oh, yeah, no till, no till.
[52:52.250 --> 52:56.410]  And I was like, yeah, man, I'm not telling that or throwing it away.
[52:56.410 --> 52:59.130]  Like, yeah, your cover crop and this and that.
[52:59.130 --> 53:01.730]  I'm like, I don't know. Oh, that's not no till.
[53:02.410 --> 53:05.490]  Like, bro, I'm just I'm just doing my thing, man.
[53:05.490 --> 53:07.170]  I'm just I'm just doing my grow.
[53:07.170 --> 53:10.730]  And, you know, like I mulch it like when I strip off my lower thirds,
[53:11.130 --> 53:13.690]  you know, I always take the scissors and I would mulch it up real good.
[53:13.890 --> 53:14.730]  Throw it on top.
[53:14.730 --> 53:16.610]  Throw a little bit of kashi on there.
[53:16.610 --> 53:19.730]  You know, I'm getting you know, I'm getting a little similar
[53:19.730 --> 53:22.970]  similar job going, but, you know, I'm not I'm not trying to grow
[53:22.970 --> 53:27.210]  beets and weird weeds and shit on my on my soil.
[53:27.210 --> 53:28.290]  Like, that's super cool.
[53:28.290 --> 53:32.890]  Like outside, you know, I've seen people do that in greenhouses and outdoors.
[53:32.890 --> 53:36.970]  It's just it just wasn't my jam, you know, for for what I was doing.
[53:37.370 --> 53:38.490]  Like, I'm all about it.
[53:38.490 --> 53:42.530]  You know, whatever, whatever, you know, people like to do.
[53:42.530 --> 53:45.450]  It's just it didn't fit well.
[53:45.450 --> 53:46.890]  With with what I was doing.
[53:46.890 --> 53:52.490]  So with that being said, like, don't just roll with whatever
[53:52.490 --> 53:55.610]  just for the sake of it, you know, like you got it, you got to
[53:56.730 --> 53:59.810]  do what works for you in your environment, in your space, right?
[54:00.290 --> 54:03.050]  Because, you know, not everybody's space is the same.
[54:03.050 --> 54:04.850]  Not everybody's around the same thing.
[54:04.850 --> 54:07.690]  You know, you really got to dial in your space, your plants
[54:07.810 --> 54:09.970]  with you and your regiment, you know what I mean?
[54:10.290 --> 54:12.010]  And just try to.
[54:12.370 --> 54:16.330]  You know, accommodate this plant the best you can, you know,
[54:16.370 --> 54:20.010]  and you're going to be able to do that with knowledge and education.
[54:20.650 --> 54:21.210]  So.
[54:22.930 --> 54:23.450]  Read a book.
[54:24.650 --> 54:25.130]  All right.
[54:27.090 --> 54:27.490]  All right.
[54:29.610 --> 54:33.930]  And then I kind of wanted to get more into, especially at the at the basic level,
[54:33.930 --> 54:36.770]  I was hoping that you could kind of explain to a newer person
[54:36.770 --> 54:40.450]  that was wanting to buy genetics, especially during the fall, winter months.
[54:41.730 --> 54:44.970]  What does it really take to be like a hype breeder?
[54:45.730 --> 54:47.050]  What are they actually doing?
[54:47.050 --> 54:49.370]  Can you kind of break that down from your point of view?
[54:50.050 --> 54:53.010]  And then I'd love for you to talk about, you know, why
[54:53.210 --> 54:56.690]  why the work is so important to to put in the work
[54:56.930 --> 54:59.090]  if you're going to sell that to the community.
[55:01.170 --> 55:05.450]  Oh, man, you're going to hit on it on all the points, aren't you, buddy?
[55:06.210 --> 55:10.930]  Oh, and like this to make sure like I'm understanding,
[55:10.930 --> 55:13.410]  like when you say like a hype breeder, you're talking about
[55:13.890 --> 55:16.010]  the some might take in the whoever that is.
[55:16.050 --> 55:20.770]  Yeah. But how easy it is to be that I'm not trying to call out anything.
[55:20.770 --> 55:23.330]  I'm just saying, like, how easy it could potentially be
[55:23.330 --> 55:24.770]  when someone doesn't put in the work.
[55:24.770 --> 55:28.010]  And then if you still, you know, if you still want to rock those genetics,
[55:28.010 --> 55:30.330]  that's you. I just want people to be informed.
[55:31.010 --> 55:34.290]  Yeah, I think another way to say it to Duke is to
[55:34.890 --> 55:37.450]  what do you look for in your breeder, your breeder?
[55:37.450 --> 55:39.730]  What's a who's a breeders breeder? You know what I mean?
[55:40.570 --> 55:42.730]  Yeah, I got you, man.
[55:43.130 --> 55:45.850]  So as far as how simple it would be,
[55:47.330 --> 55:52.570]  you could I mean, I've observed it being even worse.
[55:52.570 --> 55:55.730]  I was going to say, you just go out, get the new hype plan.
[55:56.450 --> 55:59.570]  It can be bought somewhere, you know, probably like a nursery or whatever.
[55:59.570 --> 56:02.210]  But even if it isn't, I've seen people say, oh, I got it.
[56:02.570 --> 56:04.010]  And it ain't even it.
[56:04.010 --> 56:06.250]  Just use the name slap, whatever on it.
[56:06.250 --> 56:12.130]  They'll go by seed company, ABC, whatever kind of mail or maybe reverse something.
[56:12.130 --> 56:14.290]  Hit it. Throw it in some packaging.
[56:14.650 --> 56:16.530]  You know, they don't name testing and nothing.
[56:16.970 --> 56:18.970]  Slap a dessert name on it.
[56:18.970 --> 56:21.370]  Be like, all right, roll it, you know.
[56:21.370 --> 56:23.730]  And people are like, oh, man, you know, I need that.
[56:23.730 --> 56:25.050]  I need that. I need that.
[56:25.050 --> 56:26.970]  Then they get it and they grow it.
[56:26.970 --> 56:29.610]  Or maybe they don't. Maybe the seeds don't even germinate.
[56:30.170 --> 56:33.010]  And it's just not what they want.
[56:33.010 --> 56:34.850]  And then they get burned and.
[56:37.330 --> 56:39.010]  You know, they're unhappy.
[56:39.010 --> 56:42.730]  So what I look for.
[56:48.690 --> 56:51.410]  I look for somebody who's
[56:51.610 --> 56:55.250]  who's one starting, it's grabbing my interest, you know,
[56:55.530 --> 56:59.370]  they're doing the type of thing like if you're looking for
[56:59.370 --> 57:02.490]  something to eat, somebody that's like they're they're cooking what you're
[57:02.490 --> 57:04.570]  what you want. So it's going to start there.
[57:04.810 --> 57:06.690]  So obviously you're looking for something.
[57:06.690 --> 57:10.810]  Your search is like you to to this person or this company.
[57:11.570 --> 57:14.210]  From there, I'm looking like how much.
[57:15.170 --> 57:19.050]  Do they actually get into to to doing what they're doing?
[57:19.050 --> 57:23.610]  Like, is it just a thing that we're doing this to do it,
[57:23.730 --> 57:27.770]  you know, just to have it out there, or is this like a project that they want to do
[57:28.610 --> 57:31.530]  for them or, you know, something that they're passionate about?
[57:31.530 --> 57:34.330]  So I guess I'm looking for passion, you know,
[57:35.490 --> 57:38.170]  that they're they're really doing it for,
[57:38.170 --> 57:41.610]  you know, a reason other than just chopping some shit together and getting paid.
[57:43.730 --> 57:45.850]  I like to see that there,
[57:45.850 --> 57:50.210]  you know, that there's a little thought process behind what they're doing
[57:50.210 --> 57:53.210]  and that they do have like an end goal.
[57:53.210 --> 57:56.930]  I like to see them growing up and like actually testing it.
[57:57.450 --> 58:00.690]  And having having a thought on, you know, like,
[58:01.330 --> 58:02.890]  you know, this is what's happening here.
[58:02.890 --> 58:06.090]  They turned out good and the project's done.
[58:06.290 --> 58:08.890]  And here now to now to be offered.
[58:10.930 --> 58:14.130]  I like to see people that offer
[58:15.010 --> 58:17.210]  some some support on their side.
[58:18.050 --> 58:21.850]  It's really a weird thing now because you'll get people
[58:21.850 --> 58:24.650]  that don't even grow certain people shit and they
[58:25.610 --> 58:28.530]  they'll troll them just for the sake of doing it.
[58:28.530 --> 58:32.810]  You know, so Internet trolls, weird people, they've kind of fucked that up
[58:32.810 --> 58:34.930]  a little bit, but you still got a lot of them out there.
[58:34.930 --> 58:37.850]  If you got a problem, they'll walk you through it.
[58:37.850 --> 58:40.730]  They're not greedy with the knowledge
[58:40.730 --> 58:44.170]  and they'll stand behind their product after after the sale.
[58:45.690 --> 58:49.930]  Those are those are the primary things that I'm looking for, you know.
[58:50.690 --> 58:52.410]  So it's grabbed my interest.
[58:52.410 --> 58:55.050]  They're actually putting in putting in the work.
[58:55.050 --> 58:56.450]  And there was an end goal.
[58:56.450 --> 58:59.490]  And you actually see them come to that, you know,
[59:00.730 --> 59:04.010]  if you're if you're hitting all those notes like you're probably
[59:04.850 --> 59:07.690]  you're you're going to be happy, you know, at the end of the day.
[59:08.090 --> 59:11.210]  And it's like there's a lot of guys out there that don't
[59:11.610 --> 59:14.130]  literally do any of that and they make money.
[59:14.130 --> 59:18.090]  But I mean, they only they only get away with it for so long.
[59:18.090 --> 59:21.610]  You know, you're only going to, you know, get get one over so many times.
[59:22.170 --> 59:25.570]  So but you'll notice that a lot of these other guys
[59:25.930 --> 59:28.050]  have been around, you know, a hot minute.
[59:28.330 --> 59:30.410]  And there's a reason why they've been around a hot minute.
[59:30.410 --> 59:33.010]  It's because they're they're doing good work, you know.
