[00:00.000 --> 00:02.000]  and
[28:09.460 --> 28:11.460]  Yeah
[28:12.060 --> 28:14.060]  I
[28:15.140 --> 28:21.660]  Gold man, so how and you only need to you only need to net them for a for the period when they're getting in there
[28:27.620 --> 28:30.500]  It's crucial dude like I'm telling you right now like
[28:33.140 --> 28:35.420]  If you grow a real plant it's
[28:36.020 --> 28:40.340]  3-8 10 foot tall like a fucking tree you growing real fucking plants
[28:40.340 --> 28:42.780]  You know what I mean out there even little plants is it's pretty cool
[28:42.780 --> 28:45.220]  You can run a little mini hoop with the little I mean I do that
[28:45.580 --> 28:49.540]  But if you're going a big-ass plant that big-ass plant is gonna attract those
[28:49.540 --> 28:51.820]  I mean you're you're gonna be you're gonna throw away half of it
[28:51.820 --> 28:56.820]  You know what I mean out and just out in the open doing nothing unless you're spraying it and like really
[28:56.980 --> 28:58.860]  You know you're gonna throw away half of it
[28:58.860 --> 29:02.820]  You're gonna get blood rots and attacked by the worms, and you're gonna have all those issues
[29:02.820 --> 29:04.820]  So if you just grow it up
[29:05.620 --> 29:08.540]  You know how big it's gonna be when it goes into flower for the most part
[29:08.540 --> 29:14.580]  You just throw that hoop up right over the top man leave enough room for the stretch and and then a little bit
[29:14.660 --> 29:17.540]  It's like you you you're unbeatable
[29:17.540 --> 29:20.660]  I mean you really are in my climate if you're here in a rainy climate
[29:20.660 --> 29:25.300]  Then you're you're sucking because that that netting will get all clogged up with water
[29:25.780 --> 29:29.220]  Get all friggin ratty and shit like that, and that's just that sucks ass
[29:29.220 --> 29:31.700]  You know what I mean, but if you're in a drier climate
[29:31.980 --> 29:35.660]  It's not gonna get any rain until the end you only have to worry about that at the end
[29:35.660 --> 29:38.460]  You know I mean you can pull them down on those rainy nights
[29:38.460 --> 29:40.820]  You can you can adjust which is pretty cool
[29:43.180 --> 29:47.060]  Keep them covered and then you're you're solid but ever since I started covering
[29:47.860 --> 29:48.980]  like
[29:48.980 --> 29:54.260]  It's just the bins are full of fire. You know what I mean instead of like worrying about
[29:54.260 --> 29:56.420]  Oh is this one rotten and you have to like
[29:56.420 --> 29:58.420]  I
[30:03.060 --> 30:09.900]  Mean I never have a problem with mites or anything because you know I I spray the name, but yeah once it flowers man
[30:09.900 --> 30:10.580]  I don't do anything
[30:10.580 --> 30:15.580]  And I just end up picking them out like you said you end up losing a couple ounces out of every plant
[30:15.580 --> 30:21.980]  And it's just you know it's frustrating. You know especially on the commercial side of it, and and you know I
[30:22.260 --> 30:27.380]  Honestly don't smoke indoor weed guys like I I grow it I grow it all the same
[30:27.500 --> 30:35.380]  I just I don't feel healthy when I smoke it if that makes sense like I feel like nothing can raise the metal
[30:35.820 --> 30:43.340]  That outside like I can grow the inside stuff, but it just man. It doesn't they're not resinous buds
[30:43.700 --> 30:49.980]  It's like soft weed when you put it in a joint it like you can it feels like and get like two or three grams
[30:49.980 --> 30:55.580]  In there you know you can't it. Just don't even smoke the same. They don't roll the same
[30:55.900 --> 31:01.580]  It's not the same, and I don't feel healthy when I smoke it, so I just smoke outdoor weed, but I
[31:02.220 --> 31:04.620]  do love to grow the indoor weed because
[31:04.980 --> 31:11.740]  You know things that aren't working outside in your environment you can take indoors and grow them and and that's how some of the phenomenal
[31:12.300 --> 31:15.760]  Terpenes that we have today have come about so I mean
[31:16.120 --> 31:20.040]  I'm really stoked about this Pam one cross guys like
[31:21.080 --> 31:26.240]  Dude, I wish you could smell this mail that I have it's but it's just it's
[31:28.080 --> 31:30.080]  It's like man
[31:30.200 --> 31:33.360]  It reminds me some old-school some old-school weed
[31:33.360 --> 31:39.900]  I I don't know just like I had some lambs bread back in the day, and that's really close smelling to that
[31:40.720 --> 31:43.040]  Like it's it smells good, man
[31:45.760 --> 31:50.280]  In bed, there's no I like I like picking this the veg thinkers
[31:50.960 --> 31:53.660]  They really it's nice. It's nice to have them a little bit
[31:54.480 --> 31:57.700]  You know gives you something to look forward to you know to you smell one
[31:57.700 --> 32:02.060]  You're like you smell a couple you're like. I there's nothing really here. It smells like a plant smells like oh
[32:02.160 --> 32:07.960]  That smells pretty fucking good. It's got something it gives you a little little pep in your step. I love I love that
[32:07.960 --> 32:09.960]  I love a little tickle
[32:11.400 --> 32:13.400]  So that's cool
[32:14.400 --> 32:16.400]  Go over it coastal
[32:16.640 --> 32:20.560]  Yes, I want to do a little one man. You just rub that one I
[32:22.240 --> 32:24.720]  Wanted to agree with Nick on the
[32:25.520 --> 32:32.280]  Difference with the organics versus the salt and I use the man-made salts along with organics
[32:32.280 --> 32:35.360]  I try to just drive the system using both
[32:36.200 --> 32:40.000]  To take advantage and double dip, but I completely agree
[32:40.760 --> 32:46.200]  Especially with like food you can like it tastes metallic you get this like salt buildup taste and
[32:46.880 --> 32:50.080]  especially with like commercial agriculture you get this like
[32:50.520 --> 32:52.520]  It just builds up into the food
[32:52.520 --> 32:59.580]  and if they don't flush it which they typically don't you you can definitely tell the difference between organic versus non-organic and then
[32:59.640 --> 33:01.640]  With the way it burns absolutely
[33:02.720 --> 33:04.720]  100% it's it's
[33:04.920 --> 33:09.560]  It's just night and day I don't even like the way it makes me feel
[33:22.630 --> 33:27.710]  Like I'm so West Coast and like every time you pop in I'm like, oh there's Cory again
[33:27.710 --> 33:29.710]  I just appreciate that
[33:31.590 --> 33:34.270]  No, but I don't I don't like the way it makes me feel I I
[33:34.270 --> 33:37.950]  Think it makes me feel like edgy ringy. I don't know
[33:37.950 --> 33:44.430]  it's almost like the feeling that I used to get that made me not smoke weed for a long time and
[33:45.230 --> 33:48.390]  I'm almost wondering if it's because of you know
[33:49.270 --> 33:50.950]  pesticides or
[33:50.950 --> 33:57.150]  Just the synthetic growing or God only knows but you know had gotten into it back then that put me off for so long
[33:57.150 --> 33:59.150]  you know
[34:00.270 --> 34:06.610]  So I gotta ask you
[34:07.450 --> 34:09.450]  So I gotta ask
[34:09.610 --> 34:11.610]  Mr. Trees I
[34:11.610 --> 34:17.810]  Got some plants here. I'm gonna taught them what node should I taught them that I think?
[34:17.810 --> 34:21.650]  We're gonna leave it up to the breeder or or to the group to decide
[34:23.210 --> 34:27.850]  Is as I said, I always just take this the very very
[34:28.250 --> 34:35.390]  Not even even though I keep those and I'll go even just this just to come out just a little the brand new tip
[34:35.630 --> 34:41.710]  I'll reach into the brand new tip and I'll just I'll layer just literally just pull it up and it pops right off just like
[34:41.710 --> 34:45.150]  a little little pop that's it. That's all I ever do and
[34:45.790 --> 34:50.550]  Then and then and then they'll grow out and I'll either take if I unless I'm taking a clone
[34:50.550 --> 34:51.070]  You know what?
[34:51.070 --> 34:51.310]  I mean
[34:51.310 --> 34:56.870]  so either you're taking the top clone or you're or you're or you're topping them that way and I like to kind of grow them up
[34:56.870 --> 34:59.670]  a little bit and then just take that first that
[35:00.470 --> 35:05.690]  That brand new set of leaves just just those little tiny ones right out and then that's it man
[35:08.030 --> 35:14.550]  Fucking clone them in there when they branch out and then throw that bottom half into flour, you know
[35:16.550 --> 35:17.950]  I
[35:17.950 --> 35:21.030]  Love munching my little tip tops when I get to do it
[35:22.830 --> 35:28.270]  You know, you can actually root you can actually root that little teeny tip top that little fuck off
[35:28.990 --> 35:31.310]  Little fucking thing you can root that dude
[35:32.190 --> 35:37.710]  You can put that right into a little into a little block or a little piece of soil and you know
[35:37.710 --> 35:42.450]  Dome it, you know and I've I've seen I've seen them
[35:42.470 --> 35:44.670]  You know what? I mean be rooted which is like
[35:47.670 --> 35:51.110]  I mean, it's not it's not it's not as easy as other stuff
[35:51.110 --> 35:56.790]  But it actually is blew me away when when I was told that and and then saw it I was like, yeah
[35:57.590 --> 35:59.590]  I gotta try it now
[36:02.670 --> 36:06.830]  So you find there's anything to like for these for these
[36:08.070 --> 36:13.270]  Crosses you find there's anything that we should be cautious of or be weary powdery mildew
[36:16.670 --> 36:22.710]  So only only just like the cake is is the only thing that I would worry about like inner
[36:23.030 --> 36:27.790]  Intersex traits like popping out, you know, I mean more frequently, you know, cuz the ice cream cake
[36:27.790 --> 36:33.030]  I mean I keep this that thing off or run it in a weird room and it it herms out like nobody's business
[36:33.030 --> 36:40.310]  You know it is what it is, but it's a sparkly beauty with some killer earth and some stuff in there. It's it's undeniable. So
[36:41.510 --> 36:43.670]  That's the only one that I would say, you know
[36:44.390 --> 36:48.990]  I'd strip off the bottoms, you know what I mean? And and not worry, you know, not worry too much
[36:48.990 --> 36:52.190]  But I wouldn't just let it run raw without looking at it, you know
[36:52.710 --> 36:55.710]  the Pam ones and you know the
[36:56.630 --> 37:01.550]  You know, the OG's are less likely to I mean the OG but less likely to
[37:02.310 --> 37:04.310]  than that than that cake so
[37:04.590 --> 37:08.030]  But the Pam's bulletproof, but other than that no, I think that
[37:09.030 --> 37:14.750]  So far, they've all been really stout. I don't know if you guys are got more stoutness and yours or not
[37:14.750 --> 37:16.750]  but most of them even
[37:17.670 --> 37:18.630]  Um
[37:18.630 --> 37:21.190]  DOGs and stuff had a little bit more stoutness to them
[37:21.510 --> 37:25.710]  Especially the Royals had a lot of stoutness to them. The ice cream cakes had a lot of stoutness to them
[37:26.270 --> 37:29.830]  The Pam's had you know, I mean they battle it out a little bit
[37:29.830 --> 37:34.510]  They're still more stout closer noting, you know, but I haven't had any real rock star
[37:35.030 --> 37:38.230]  Tall lanky ones come through so that's not that's interesting
[37:39.910 --> 37:46.550]  On the on the Herm thing man, so, you know, I've been diving deep into research
[37:47.230 --> 37:49.230]  some people I mean
[37:49.390 --> 37:50.470]  You know
[37:50.470 --> 37:58.390]  Rotalization was a thing back in the day and that's how people collectively kept seed and ran feminized see through in fields
[37:59.910 --> 38:01.910]  Generations and
[38:02.590 --> 38:04.910]  They taught I mean dude and I've had it myself
[38:06.470 --> 38:12.030]  You know, they've had plants that have that have those intersex traits that throw
[38:13.030 --> 38:14.190]  Phenomenal
[38:14.190 --> 38:21.870]  Terpenes or numerics and a lot higher than any of the ones without sex traits and it's like some of those you wonder
[38:22.270 --> 38:29.390]  Do you keep them around? Do you breed back with those? Do you outcross after you stabilize?
[38:29.750 --> 38:36.990]  What you have, you know because you will potentially still see that in that but those are the outliers
[38:37.310 --> 38:39.310]  sometimes and it do
[38:42.030 --> 38:47.870]  All the chems the chem 91 the the OG's
[38:48.750 --> 38:50.350]  Yeah
[38:50.350 --> 38:53.350]  You know what? I mean? All those are gorilla glue
[38:56.710 --> 39:00.950]  Our chance friggin, you know something went off that shouldn't have the sour diesel
[39:01.670 --> 39:06.590]  You know what? I mean? Like yeah, they're all they're all that way, you know
[39:06.590 --> 39:10.790]  And it's funny though because I have seen some of those that are just like wow
[39:11.110 --> 39:16.030]  This is the most stellar fucking herb, but the plant fucking Herm's like, you know
[39:20.070 --> 39:26.030]  You know, they're not the ones that show up at the end and the nanners that are like, yeah sneaky sneaky ones
[39:26.030 --> 39:32.910]  You know, those are like the ones that just like day 17 day 22 somewhere in there. You're seeing that you're like, you know
[39:32.910 --> 39:34.910]  Yeah
[39:36.470 --> 39:39.630]  But that stuff I had I had a gorilla butter one time
[39:39.950 --> 39:45.590]  Then I was running through a bunch of seeds and man, dude, this gorilla butter was fucking fire, dude
[39:45.590 --> 39:50.350]  But I had to pull off all the lower branches on the thing. So it was just like the top Cola
[39:51.350 --> 39:53.350]  Without
[39:59.150 --> 40:03.510]  And I kept it around for like three runs just just for the smoke just to smoke it
[40:03.510 --> 40:04.110]  You know what? I mean?
[40:04.110 --> 40:08.950]  And I'd run a little bit and I'd strip it down to that that little thing and it's like man, it's not worth it
[40:08.950 --> 40:14.710]  It's like eventually I threw it in the trash. I couldn't breathe with it and it was it was a waste of time
[40:14.710 --> 40:17.150]  But the herb was fucking fire, dude
[40:17.630 --> 40:24.470]  Damn you felt get you feel guilty. You're like man smoking this herring thing right now. I feel really guilty because I
[40:26.110 --> 40:29.530]  Have a plan like what you're talking about right now
[40:30.230 --> 40:36.330]  Like dude, I even tried to reverse it. No pollen, but I got something to breed to it
[40:36.330 --> 40:39.230]  But I mean that's just feminized and I'm like, okay
[40:39.230 --> 40:45.350]  Well, maybe that I could get something out of but who knows it was just like a one-time deal
[40:45.670 --> 40:49.150]  Actually honestly guys a freebie seed, you know
[40:49.150 --> 40:53.990]  And that's what really got me into wanting to be a testing because you never know
[40:54.230 --> 41:01.270]  Like, you know that ice cream cake that you got could be just like phenomenal this Pam that I got
[41:01.270 --> 41:04.350]  It's just you never know and someone could just have this
[41:04.990 --> 41:12.190]  you know you get into those positions when you come up with some really good things and some really sticky things and
[41:12.750 --> 41:20.950]  Sometimes mistakes happen from the best things. It's just crazy, you know, like what kind of situations we put ourselves in and
[41:21.470 --> 41:24.790]  The outcome of it. Sometimes it's great. You know, I'm like
[41:25.390 --> 41:26.790]  Mr. Trees
[41:26.790 --> 41:30.350]  Got like a beef jerky aroma to it. I don't know why
[41:32.750 --> 41:34.350]  It smells like
[41:34.350 --> 41:36.350]  like no like
[41:36.350 --> 41:42.630]  A thing in the in the Kandahar is meat turps like like rotting meat
[41:43.710 --> 41:45.710]  Stuff like that. So like
[41:52.350 --> 41:54.830]  Coastal you look like you wanted to say something there, but
[41:56.030 --> 41:59.710]  oh, yeah on the intersect tendencies, I
[42:00.350 --> 42:04.270]  remember growing up when like in the 90s growing and
[42:04.430 --> 42:08.390]  Like people always talked about don't don't allow or a mafra did it
[42:08.390 --> 42:15.150]  I have a blah blah blah blah blah blah and it's so much bullshit because all the best stuff was the chem 91
[42:15.710 --> 42:21.910]  And chem 91 was self in a bag seed to create OG good and then everyone else that has their ghost
[42:21.910 --> 42:26.870]  Oh gee, everything else is self. Oh gee push from the chem 91 or it and
[42:27.510 --> 42:32.270]  And then you know the chem D all that has huge intersect tendencies
[42:32.510 --> 42:35.030]  But there's I think a lot of the best plans are
[42:35.550 --> 42:41.070]  Usually her math or did it and I don't think it's an on-off great. I think it's a metabolic function
[42:41.790 --> 42:48.430]  Along with all the other metabolic functions that leaves the plant driving itself to try to recreate itself
[42:49.430 --> 42:51.430]  uh, and and I think there's just
[42:51.950 --> 42:59.070]  The genetics are the tendency the tendency the ability how much is willing to try to save its life
[42:59.070 --> 43:03.470]  When it doesn't get pollinated by an outside source or it thinks it's going to die
[43:04.230 --> 43:07.670]  And with males particularly when you're selecting males
[43:08.030 --> 43:11.990]  The best males are always the ones that have intersect tendencies
[43:12.550 --> 43:16.790]  And have tons of resin the ones that show the female flowers. I've found
[43:17.750 --> 43:22.910]  That you can basically be guaranteed. They're going to bang out the best seed stock
[43:22.910 --> 43:26.510]  You can get out of all your other meals out of all the other pollens
[43:26.510 --> 43:29.350]  And I even found that in sense II stuff and
[43:30.310 --> 43:35.470]  They really try to vet all their stuff. But I mean you'll find it everywhere. It's just part of the plant
[43:35.470 --> 43:40.030]  It's not an on-off thing. It's just a tendency to do that. And so I
[43:40.910 --> 43:46.030]  Just I just wanted to bring that up because I've been doing this forever and and I've noticed it
[43:46.630 --> 43:51.790]  In every single type of cannabis and you can force anything to go her math or did it through stress?
[43:51.790 --> 43:57.710]  It's it's something that triggers it and it doesn't matter what the trigger is if it's got that potential it's gonna happen
[43:58.790 --> 44:05.950]  It's it's basically the plants level like it's basically it's every plan is different
[44:08.190 --> 44:14.390]  Yeah, yeah, they get to a certain point and how stressed they get and so some more more stress tolerant than others
[44:14.390 --> 44:17.790]  So that's where people say they're breeding non hermaphroditic
[44:17.790 --> 44:21.230]  Yeah, yeah funny thing I did a funny thing back in the day where I
[44:22.350 --> 44:27.870]  I was trying to breed the hermaphroditic trait out of out of this out of this plant this
[44:28.550 --> 44:32.390]  Bag seed plant that you know, I always found a few seeds in there
[44:32.390 --> 44:36.070]  It always do through flowers at some point and it was just like paying the button
[44:36.070 --> 44:40.150]  I wanted to kind of plant it and I was like, okay, I'm gonna plant it and I'm gonna plant it
[44:40.150 --> 44:44.430]  I'm gonna plant it and I'm gonna plant it and I'm gonna plant it and I'm gonna plant it and I'm gonna plant it
[44:44.430 --> 44:47.270]  Through flowers at some point it was just like paying the button
[44:47.270 --> 44:50.390]  I wanted to kind of breed that out of there, but as soon as I like
[44:51.190 --> 44:54.030]  Got plants that didn't do that
[44:54.430 --> 45:00.270]  The herb wasn't as good like it that traveled with it like that trait traveled with
[45:00.630 --> 45:04.690]  Like this went with the fire earth, you know what I mean?
[45:04.690 --> 45:09.030]  Like there was as soon as I broke you break them apart and you go a different way like you lose the fire
[45:09.030 --> 45:10.110]  Herb, you know what I mean?
[45:10.550 --> 45:14.510]  It was a weird thing and like I always used to put them in one gallon pots and
[45:14.950 --> 45:20.670]  Flower them in one gallon pots to to stress them out, you know because they would have too big of a root ball
[45:20.670 --> 45:24.790]  They get hot they dry out quick, you know, I mean you have to be on top of it
[45:24.790 --> 45:27.670]  You know other stuff and it just I always found that the smaller
[45:27.990 --> 45:31.550]  Smaller the pot that I tried to force them to flower and I always would get more
[45:31.670 --> 45:34.670]  Plants would want to throw the throw the throw the herm. So
[45:35.670 --> 45:38.110]  Yeah, as soon as I stopped seeing
[45:38.910 --> 45:45.110]  That pop up all those plants never had never had that it factor, you know what I mean?
[45:45.110 --> 45:46.470]  And it was like man, it was crazy
[45:46.470 --> 45:52.550]  It was like I figured out like, you know, I figured that maybe it just it traveled with that and maybe it's just that particular
[45:52.750 --> 45:56.750]  you know variety or whatever and different ones can be unlocked and
[45:57.310 --> 45:58.950]  Chased out of there through numbers
[45:58.950 --> 46:02.390]  But it was one of those things that every time you saw it like without it
[46:02.510 --> 46:06.510]  The herb was like this and every time you saw it when I was like this and said fuck
[46:06.510 --> 46:09.070]  Can't you can't work with that? You know what I mean?
[46:09.070 --> 46:11.470]  She can't give those to people and can ruin lives
[46:11.470 --> 46:13.470]  So it's just that the project died
[46:13.710 --> 46:20.390]  But you know something that I really wanted to kind of do that. I kind of figured they traveled together in some weird way
[46:20.390 --> 46:24.550]  You know and then looking at all the other weird varieties that have the characteristic
[46:24.550 --> 46:26.950]  They're all you know, they're all fire fire, you know what I mean?
[46:26.950 --> 46:29.990]  You try to break them apart and everybody's been trying to break them apart to make you know
[46:29.990 --> 46:35.150]  It's like as soon you break them apart. It's you know, you don't you know have that same herb anymore, you know
[46:35.150 --> 46:37.150]  so it's hard that I
[46:37.910 --> 46:41.550]  Wish we could you know, I wish I could run through all the numbers and have the
[46:42.230 --> 46:43.470]  infinity
[46:43.470 --> 46:45.150]  space and
[46:45.150 --> 46:47.950]  Budget to figure it all out, you know, it would be cool
[46:48.990 --> 46:56.870]  Yeah, as soon as you pull that one metabolic process you pull away from another you're always just playing playing this game
[46:56.870 --> 47:03.390]  Of pull push, you know one way or another with with everything and it's always just chasing your tail a whole damn time
[47:03.990 --> 47:10.750]  With breeding, um, we'll never play God I think I think it's just you know, just do what you can with what you got
[47:14.780 --> 47:16.780]  Calculated betting
[47:17.620 --> 47:23.440]  Calculated betting, you know, it's like I know what's in the deck and I know it's good what could happen
[47:23.440 --> 47:25.440]  Let's just try and find what I want
[47:25.860 --> 47:29.680]  Hopefully I can lay a landing at the hand of cards that result in what I'm looking for
[47:30.360 --> 47:35.520]  But you just got to keep playing that game and play it play in another round playing another hand playing another
[47:37.680 --> 47:40.880]  Yeah, right like you got to see what comes out of it
[47:40.880 --> 47:45.040]  and I think that's half the fun of the collectors and why people love it love it is because it's like
[47:45.480 --> 47:48.760]  Now I got a 10 pack and I get to find my gold card, you know
[47:48.760 --> 47:54.940]  I get to buy my rookie card or you know, what have you and I think it's just it's it's a lot of fun
[47:54.940 --> 47:59.240]  And I'm like, there's there's a couple in here. I'm looking at I'm like you're gonna be fucking epic
[47:59.680 --> 48:01.880]  I can just see the shape in you
[48:01.880 --> 48:06.520]  I see how you're developing or a lot of the signs that I look for you got a good sturdy frame
[48:06.520 --> 48:09.900]  You know, you're not like super hollow on the on the stem
[48:09.900 --> 48:13.060]  But there's a little bit of all enough so the close look at the middle middle section of the plant
[48:13.060 --> 48:17.520]  It's okay at this period of time. They're growing and developing really well, which is nice
[48:17.520 --> 48:21.140]  So I'm hoping to have my first plants into flower
[48:22.240 --> 48:24.240]  Like in a month
[48:24.240 --> 48:26.240]  To to two months
[48:27.280 --> 48:29.280]  my goal
[48:30.200 --> 48:31.720]  Hell yeah
[48:31.720 --> 48:38.100]  I'm excited for those cakes man, because you know that that can the heart is gonna be you know
[48:38.100 --> 48:41.400]  It's it's it's got nasty in it in its blood. You know what I mean?
[48:41.400 --> 48:44.880]  It's got that rotten meat and that those earthy type tones in there
[48:45.680 --> 48:46.880]  and
[48:46.880 --> 48:48.880]  if it can kind of
[48:49.080 --> 48:53.960]  Keep some of that that modern-day sparkle, you know that cake sparkle that it's got
[48:53.960 --> 48:56.720]  You know what? I mean and like that that that
[48:57.440 --> 49:03.540]  Just just that bag of peel and and then keep some of that cakeyness with its you know
[49:03.600 --> 49:09.760]  Flavors that it has in there. I mean man, those are gonna be some some funky plants and they're definitely gonna have dense
[49:10.280 --> 49:15.600]  Dense type flowers that are gonna travel well because of the you know, the types of plants that we're working with
[49:15.600 --> 49:18.680]  You know what? I mean in general so it's gonna be it's gonna be a denser
[49:19.920 --> 49:25.820]  Nastier frosty, you know, so I'm excited. I'm excited for those those cakes to see how much
[49:26.720 --> 49:29.080]  How much sparkle we can get to hang in there? I
[49:33.720 --> 49:38.800]  Think I should bring up some of the photos and stuff from the Dagger Academy
[49:42.400 --> 49:47.160]  There to show everybody what we got in the in the whole thing in the jigger I
[50:00.080 --> 50:15.960]  Like those
[50:16.400 --> 50:20.920]  Hey, I noticed that there was some cool ranch on there for a half a minute and
[50:21.520 --> 50:24.200]  Then they disappeared somebody bought them up quick
[50:27.150 --> 50:29.150]  Yeah, I don't know
[50:29.950 --> 50:34.950]  Sometimes Peter pulls aside things when he gets them he pulls side one or two or something, you know
[50:35.470 --> 50:38.210]  Yeah, there's a problem or anything or whatever, you know
[50:38.990 --> 50:44.910]  Somebody's going after after enough people ask for it or you know, it goes it goes up there. I'm sure
[50:45.590 --> 50:49.910]  So I I wish that's one of those ones that I wish I would have made more of you know
[50:49.910 --> 50:56.350]  Cuz I had this I was doing this whole pine tar thing for like two seasons. I was looking at the pine tar
[50:57.110 --> 51:01.590]  in and out and backwards and I made a bunch of stuff and and
[51:02.150 --> 51:04.150]  went at it with it, so
[51:05.070 --> 51:07.590]  That cool ranch was the one that was the winner though
[51:07.590 --> 51:09.130]  Everybody always asked for that cool ranch
[51:09.130 --> 51:13.390]  So I wish I could go back and make a little bit more of those but anybody you got them make some
[51:14.710 --> 51:16.710]  make some more because
[51:17.670 --> 51:19.670]  People like those
[51:19.910 --> 51:21.710]  No, no, I
[51:21.710 --> 51:27.950]  Feel like you have to say it with an ace like who ranch like like, you know, like Brian from Family Guy says
[51:36.140 --> 51:38.140]  That's cool
[51:38.580 --> 51:40.840]  Yeah, I'm smoking this dog Walker
[51:41.660 --> 51:43.660]  cherry gasm fam
[51:43.700 --> 51:46.780]  That I did another thing. I probably should have
[51:47.900 --> 51:50.900]  Made more of because I just planted two seeds
[51:51.700 --> 51:53.980]  Just to kind of look at I didn't make very many of them
[51:53.980 --> 51:58.020]  I just planted two seeds just to look at them through them in the corner didn't take care of it and it turned out to
[51:58.020 --> 52:02.620]  Be just supreme friggin fire. I was like, oh my god, of course, of course it did
[52:03.540 --> 52:08.020]  So I think it's it is it time for a tour of coastal groans?
[52:08.580 --> 52:13.220]  Flower plants you want to give it you want to tell us what you got going on there, brother?
[52:14.620 --> 52:16.700]  Yeah, if I can't make the camera work
[52:17.460 --> 52:21.460]  Let me see here tell me when it comes into focus
[52:30.020 --> 52:32.020]  They got a little bit of stretch
[52:32.500 --> 52:36.100]  Because I switched them to an LED instead of a fluorescent
[52:36.820 --> 52:39.300]  Are you able to put white lights on them?
[52:40.180 --> 52:44.500]  Just so I see like the plant color is or is it like is it not possible?
[52:45.460 --> 52:47.460]  Can you get a light
[52:47.980 --> 52:53.100]  I don't think so. Okay, cool. Oh good. I just thought I'd ask I just yeah, they're gonna
[52:53.780 --> 52:57.540]  They're gonna be going under HPS and probably a week
[52:58.580 --> 53:00.580]  thousand watt and
[53:00.820 --> 53:04.420]  So they're not gonna be living in this tent probably very much longer
[53:04.820 --> 53:06.820]  But this was a temporary solution
[53:06.820 --> 53:11.300]  I might keep them in here a little bit longer if I have a mite problem because I just
[53:11.460 --> 53:13.460]  Issues with some other stuff
[53:14.100 --> 53:19.220]  But which ones you which ones are those right now you got which ones are you running again?
[53:19.780 --> 53:21.300]  XFB
[53:21.300 --> 53:22.900]  Oh, gee
[53:22.900 --> 53:24.900]  Yeah, yeah
[53:24.980 --> 53:32.100]  Yeah, I really love these things and they are they look very OG like there's they look either very OG or very much
[53:32.100 --> 53:35.620]  just some sort of more sativa like kind of thing, but the
[53:35.620 --> 53:41.060]  OG ones are so pretty because they got these really really thick thick leaves and I really love that and
[53:42.020 --> 53:46.020]  It's just it's a joy to grow and just to be able to do this
[53:47.620 --> 53:50.340]  Coastal what what point how old are they here?
[53:50.340 --> 54:02.240]  I brought a picture from the daggers at that Academy that by the way
[54:02.240 --> 54:06.880]  Everybody can get on if it's in the it's in the set is in the description down below
[54:06.880 --> 54:11.600]  So I'll put that link in the description down below and I'll put that link in the description down below
[54:11.760 --> 54:13.760]  So is in the description down below
[54:14.600 --> 54:17.880]  to check out dagger dot Academy and be able to check this out, but
[54:18.840 --> 54:22.600]  this this is your post that you've shown here coastal right and
[54:23.480 --> 54:29.240]  So what do we have? These are the set what at what age are they looking? They're looking really sharp, too
[54:29.240 --> 54:31.660]  They look quite nice. Tell me a little bit about what's going on here
[54:33.000 --> 54:40.060]  Honestly, I I can't even remember how long I just started them as soon as Peter sent the sent them
[54:41.060 --> 54:43.940]  Other day he sent him I got him going and
[54:44.620 --> 54:45.780]  and
[54:45.780 --> 54:51.320]  That that's what two three weeks ago. I think so. They're a little further than that now
[54:52.380 --> 54:54.380]  but uh
[54:54.980 --> 55:01.260]  Four weeks my wife says at least four does I'm gonna say four to six weeks in probably
[55:04.180 --> 55:08.460]  But uh, yeah, I don't even keep track of any of this stuff anymore I've had
[55:09.420 --> 55:12.180]  More than ten strokes and my memory is totally gone
[55:12.180 --> 55:18.100]  So I just I just go with it as I can because it's just a fun like hobby to do right now. So I
[55:20.660 --> 55:23.700]  Just go with it and I don't even measure the weeks anymore
[55:24.660 --> 55:31.060]  You can feel the plant but it makes exact those have like way you can see like a major
[55:31.420 --> 55:35.900]  Difference in structure of the leaf in the shape of the plant in comparison
[55:36.220 --> 55:40.260]  To those San Fernando valleys in the ice cream cake like they're clearly
[55:41.740 --> 55:46.940]  Completely different beasts like and they have been affected completely differently, which is very cool. Totally
[55:47.500 --> 55:49.500]  Got a longer pointy or leaf a
[55:50.420 --> 55:52.980]  Lot of differences I see there too. That's cool
[55:55.100 --> 55:57.100]  That's cool
[55:57.100 --> 55:59.100]  The weeks anyway
[56:00.540 --> 56:02.540]  They're ready when they're ready
[56:03.380 --> 56:08.580]  Everything it takes it takes how long it takes, you know, I'm like they're hanging around for a while
[56:08.580 --> 56:14.420]  You're like you're taking too long and I take notice to that. You know, I mean, they don't know like he's taking too long
[56:14.420 --> 56:17.740]  Maybe I'll pay attention a little bit a little closer, but really
[56:18.420 --> 56:24.660]  Yeah, I don't count anything. It just is what it is. All that matters is with what it's like in the jar and
[56:25.420 --> 56:27.420]  It was like a
[56:27.500 --> 56:29.020]  pleasure to grow
[56:29.020 --> 56:32.660]  You know, so it was easy to grow you'll do it again
[56:32.660 --> 56:38.380]  And if it was great in the jar, you'll do it again, you know, so that's two for two, you know, so
[56:41.380 --> 56:46.340]  Can it can I ask a little bit about your opinions on curing when it comes to your
[56:46.860 --> 56:48.540]  what you're running and
[56:49.540 --> 56:57.000]  Because like I find some plants like I I've got like I just recently did a run of a few things if you know to
