[00:00.000 --> 00:03.600]  C-Tuesdays and T-Thursdays.
[43:23.070 --> 43:25.790]  from my buddy Craig Mountain at Rizal.
[43:27.110 --> 43:29.910]  And, you know, they kind of watch out
[43:29.910 --> 43:32.030]  for my water board certification
[43:32.030 --> 43:35.110]  and keep an eye out for notices I have coming in now
[43:35.110 --> 43:37.670]  and stuff because it's really hard
[43:37.670 --> 43:39.870]  to be able to handle all your stuff.
[43:39.870 --> 43:42.510]  And handle the new stuff.
[43:42.510 --> 43:47.510]  I mean, anybody who already has grown cannabis,
[43:48.150 --> 43:51.790]  you know that it takes a lot of hands-on time
[43:51.790 --> 43:53.070]  just to handle your stuff.
[43:53.070 --> 43:54.270]  You're usually pretty taxed.
[43:54.270 --> 43:56.070]  I mean, when I'm really working,
[43:56.070 --> 43:58.710]  it's an easy 12 hour work days, you know?
[43:58.710 --> 44:02.550]  And when I used to have a little garden,
[44:02.550 --> 44:05.910]  I could get by by only having 12 hour work days
[44:05.910 --> 44:07.870]  in the spring and the fall.
[44:07.910 --> 44:12.910]  But, you know, now in order to handle all your extra stuff,
[44:13.990 --> 44:16.910]  you need to put in a lot more time.
[44:16.910 --> 44:21.150]  It becomes a full-time with overtime job,
[44:21.150 --> 44:23.790]  even though you're self-employed all the time.
[44:23.790 --> 44:28.790]  And, you know, I just like, however it worked out,
[44:30.230 --> 44:32.270]  I have the really good fortune of being able to do it.
[44:32.270 --> 44:34.550]  I just don't see that many people who can do it.
[44:34.550 --> 44:37.270]  And my big issue is that a lot of these people
[44:37.710 --> 44:39.670]  who really built everything,
[44:39.670 --> 44:44.670]  the people who made it possible for me to know this stuff
[44:44.830 --> 44:46.470]  and to be able to do it,
[44:46.470 --> 44:49.070]  I didn't invent any of this culture.
[44:49.070 --> 44:52.070]  I came into it and it was already here.
[44:52.070 --> 44:53.190]  It was already established.
[44:53.190 --> 44:55.630]  We worked out some kinks
[44:55.630 --> 44:57.950]  and got some stuff to be different.
[44:57.950 --> 45:00.990]  But those people who are really the pioneers
[45:00.990 --> 45:05.070]  who really deserve to be able to shine now,
[45:05.070 --> 45:07.950]  for the most part, they are left in the dust.
[45:07.950 --> 45:09.310]  And a lot of them don't,
[45:10.470 --> 45:14.390]  they don't have the ability to keep up with all this stuff.
[45:14.390 --> 45:17.110]  A lot of those people come from the generation of people
[45:17.110 --> 45:22.110]  who moved up here in the 70s, 60s, early 80s.
[45:23.870 --> 45:25.950]  And a lot of them are elderly.
[45:25.950 --> 45:28.510]  And a lot of them have at this point conditions
[45:28.510 --> 45:30.510]  that originally they were growing there before.
[45:30.510 --> 45:32.710]  You can imagine someone in Humboldt
[45:32.710 --> 45:36.350]  who now is not allowed to grow.
[45:40.510 --> 45:42.190]  Dan was saying some of the stuff
[45:42.190 --> 45:44.470]  is not necessarily people who are really growing.
[45:44.470 --> 45:45.310]  Some of these people,
[45:45.310 --> 45:47.270]  they have a hoop house for their veggies
[45:47.270 --> 45:48.830]  and they have their little bit of plants.
[45:48.830 --> 45:49.870]  And all of a sudden they're like,
[45:49.870 --> 45:51.390]  well, we're gonna get our land taken away.
[45:51.390 --> 45:53.510]  We can't grow anything at all.
[45:53.510 --> 45:57.630]  And so now you've got people who have all these needs
[45:57.630 --> 45:59.790]  for having weed who really can't do it.
[45:59.790 --> 46:03.910]  And a lot of them also were supplementing their lifestyle
[46:03.910 --> 46:06.790]  with a little bit of weed and it got cut off.
[46:06.790 --> 46:10.870]  And it's, you know, bureaucracy does stuff
[46:10.870 --> 46:13.270]  with these broad strokes where there's not really
[46:13.270 --> 46:18.070]  a lot of nuance for them to be able to dissect stuff
[46:18.070 --> 46:20.150]  properly to know who's who and what's what
[46:20.150 --> 46:21.150]  and what's going on.
[46:21.150 --> 46:24.270]  And I can understand if people wanna block the creek
[46:24.270 --> 46:28.310]  and pour toxic shit in the creek and kill all everything
[46:28.310 --> 46:29.150]  and mess everything.
[46:29.510 --> 46:32.550]  That stuff is all criminal outside of weed.
[46:32.550 --> 46:37.550]  I feel like everything that is criminal related to weed,
[46:38.190 --> 46:40.630]  it should just only be the things that are criminal
[46:40.630 --> 46:41.630]  in and of themselves.
[46:41.630 --> 46:43.430]  Like weed shouldn't really have a part in that
[46:43.430 --> 46:45.190]  because in and of itself,
[46:45.190 --> 46:49.230]  cannabis is generally helpful, not harmful.
[46:49.230 --> 46:53.990]  And so I just think everything's kind of,
[46:53.990 --> 46:56.390]  they kind of turned it into this big quagmire
[46:56.550 --> 47:01.550]  trying to be too uptight about the wrong things.
[47:03.070 --> 47:06.470]  And I mean, I know it's all complicated to figure out,
[47:06.470 --> 47:10.390]  but at this point it just seems like they dropped the ball
[47:10.390 --> 47:11.870]  and it looked like they were dropping the ball
[47:11.870 --> 47:13.630]  as soon as they were putting everything together.
[47:13.630 --> 47:16.350]  And it was real easy to see, but like Bamboo said,
[47:16.350 --> 47:18.230]  you don't have people working on it
[47:18.230 --> 47:20.790]  who are the appropriate people.
[47:20.790 --> 47:24.790]  It'd be like if you were gonna try to revolutionize
[47:25.790 --> 47:30.790]  the internet and you went and hired a bunch of carpenters.
[47:30.830 --> 47:31.870]  It's like, this is not,
[47:31.870 --> 47:33.710]  you guys don't understand what you're doing.
[47:33.710 --> 47:37.230]  Are you saying Lori Ajax doesn't know what she's doing?
[47:38.470 --> 47:40.590]  Man, I don't even know.
[47:40.590 --> 47:42.750]  I don't follow stuff closely enough
[47:42.750 --> 47:44.990]  to even know who everybody is and everything.
[47:47.510 --> 47:49.950]  I keep notes on plants, you know what I mean?
[47:50.110 --> 47:55.110]  And so I just see these issues
[47:55.270 --> 47:57.030]  and they're all really simple,
[47:57.030 --> 48:00.750]  but I think that everybody's eyes get so big
[48:00.750 --> 48:02.270]  when they look like Bam was saying,
[48:02.270 --> 48:04.310]  they get a hundred pounds and they say it's a million
[48:04.310 --> 48:06.830]  dollars, like they think there's so much money,
[48:06.830 --> 48:09.790]  but they're not considering the fact that while some people
[48:09.790 --> 48:11.550]  are making huge profits,
[48:11.550 --> 48:15.350]  the majority of people basically are breaking even.
[48:15.350 --> 48:17.190]  I mean, in a normal business,
[48:17.190 --> 48:21.030]  if all your bills cover you breaking even,
[48:21.030 --> 48:26.030]  if you're making a hundred thousand dollars a year
[48:26.830 --> 48:31.830]  and your bills divided by that are coming up to 12,
[48:31.830 --> 48:36.830]  then you're not really making anything.
[48:37.150 --> 48:38.950]  And that's how it is for most people.
[48:38.950 --> 48:43.630]  And then they go ahead and slap all these fees
[48:43.630 --> 48:45.270]  to do all this different stuff on it.
[48:45.270 --> 48:50.270]  And I just feel like they didn't need to make everything
[48:50.670 --> 48:53.630]  so complicated and that they've kind of fucked everything up
[48:53.630 --> 48:57.790]  by doing too much and having it not be
[48:57.790 --> 48:59.310]  really practically minded.
[48:59.310 --> 49:04.310]  So that's the state of where everything is right now,
[49:04.710 --> 49:05.830]  as far as I can see it.
[49:05.830 --> 49:10.830]  And it's some bullshit and hopefully it can be straightened
[49:11.470 --> 49:13.710]  out, but it's just unfortunate because most people
[49:13.710 --> 49:18.710]  who are interested in weed are not interested in politics,
[49:19.230 --> 49:20.390]  even at a local level.
[49:20.390 --> 49:24.910]  And a lot of people who are involved
[49:24.910 --> 49:27.350]  in growing weed historically,
[49:27.350 --> 49:31.230]  a lot of the reason is because they were able to get away
[49:31.230 --> 49:34.150]  from everything and just do that.
[49:34.150 --> 49:39.150]  And although I know that that to square mainstream society
[49:40.150 --> 49:44.070]  seems like it's a little off, in reality,
[49:44.070 --> 49:45.910]  I don't really see anything wrong with it.
[49:45.910 --> 49:50.910]  And I feel like it's another case of this weird classism
[49:54.190 --> 49:55.910]  that exists where it's like, okay,
[49:55.910 --> 49:59.110]  it's almost like weed growers are,
[49:59.110 --> 50:04.110]  because for so long it's like persecuted as criminals.
[50:04.150 --> 50:06.630]  And why were they persecuted as criminals?
[50:06.670 --> 50:09.190]  Well, because weed is bad, obviously, right?
[50:09.190 --> 50:13.670]  It's this evil substance and it's gonna freak out your kids
[50:13.670 --> 50:17.390]  and turn society against itself and be crazy and horrible.
[50:17.390 --> 50:21.350]  And well, now we know that it's just a basic medicine
[50:21.350 --> 50:23.910]  and it's a basic drug.
[50:23.910 --> 50:28.910]  And so you would think that once that distinction is made,
[50:29.910 --> 50:32.950]  that these other things would go away, but they don't.
[50:32.950 --> 50:35.910]  And what I've always said about it is it's really
[50:35.950 --> 50:39.030]  interesting when you have something that's terrible
[50:39.030 --> 50:43.350]  and evil and dangerous, but then if you have the right
[50:43.350 --> 50:47.790]  piece of paper with it, it becomes completely innocuous
[50:47.790 --> 50:50.830]  and helpful and profitable for everybody.
[50:50.830 --> 50:52.470]  And now they want the money.
[50:52.470 --> 50:54.030]  They didn't want the money, it was dirty,
[50:54.030 --> 50:55.430]  but now it's great.
[50:55.430 --> 51:00.430]  And the whole thing just stinks of political fuckery
[51:00.670 --> 51:02.550]  and backwards classism.
[51:02.550 --> 51:04.990]  So that's my take on it.
[51:08.750 --> 51:13.070]  So Jesse has a life in Riverside County,
[51:15.270 --> 51:17.230]  which I think is within viewing distance
[51:17.230 --> 51:18.750]  of Desert Hot Springs.
[51:20.830 --> 51:22.910]  And let me wait, let me unmute you.
[51:25.390 --> 51:26.510]  Hold on.
[51:29.110 --> 51:30.830]  Or can you unmute yourself?
[51:34.740 --> 51:35.580]  There we go.
[51:36.460 --> 51:39.580]  I gotta keep my phone up there so it gets better service.
[51:41.540 --> 51:45.580]  Yeah, Coachella Valley is about a stone's throw away,
[51:46.740 --> 51:51.580]  but it's same old, same old as every county is going
[51:51.580 --> 51:54.100]  through the same process in California.
[51:54.100 --> 51:59.020]  You're realizing that the whole Prop 64 framework
[51:59.020 --> 52:04.020]  is corrupt from, I'm not gonna go get all into it,
[52:04.860 --> 52:09.860]  but each county is going through its own issues,
[52:10.300 --> 52:12.860]  but we're kind of fighting the same giant here.
[52:13.860 --> 52:18.460]  And it's unions and it's certain people
[52:18.460 --> 52:20.940]  that wanna control this plant.
[52:21.900 --> 52:26.900]  And really it's screwing the rest of California.
[52:28.260 --> 52:33.260]  As a whole, we have one of the probably best places
[52:33.540 --> 52:35.620]  in North America to produce cannabis.
[52:35.620 --> 52:37.740]  And then we've got so many different microclimates
[52:37.740 --> 52:38.740]  and regions.
[52:40.620 --> 52:43.340]  The only thing that keeps me in this industry right now
[52:43.340 --> 52:45.780]  is the excitement to one day,
[52:45.780 --> 52:47.860]  hopefully I can plant these trees
[52:47.860 --> 52:50.380]  that I might be able to sit under the shade of them,
[52:50.380 --> 52:53.940]  but I don't see it happening anytime soon
[52:53.940 --> 52:57.100]  with the way all these politicians,
[52:57.100 --> 53:00.300]  they come into this thinking that the money's,
[53:00.300 --> 53:02.660]  the risk and reward's still there.
[53:03.260 --> 53:05.020]  And the money isn't there anymore.
[53:05.020 --> 53:08.020]  And you got another group of people that,
[53:08.020 --> 53:11.780]  these consultants that they don't understand agriculture.
[53:13.340 --> 53:17.460]  Like you said, you got carpenters trying to wire
[53:17.460 --> 53:19.100]  the internet together.
[53:19.100 --> 53:20.020]  It's not working.
[53:22.740 --> 53:25.420]  Riverside County, it's a joke.
[53:25.420 --> 53:27.820]  I mean, we got probably one of the best
[53:27.820 --> 53:30.620]  appellations for cannabis.
[53:30.660 --> 53:33.020]  I mean, I'll argue in all of North America,
[53:33.020 --> 53:35.100]  but definitely in Southern California.
[53:36.980 --> 53:38.900]  This microclimate down here is,
[53:40.940 --> 53:43.140]  we grow avocados in certain regions.
[53:43.140 --> 53:48.140]  We grow agave in certain regions for a reason.
[53:48.380 --> 53:51.380]  We don't put oranges up in Boston
[53:55.060 --> 53:56.260]  because they don't grow.
[53:58.140 --> 53:59.900]  There's so much greed in the industry right now.
[54:00.220 --> 54:03.100]  Nobody's even seeing straight that this is just a plant
[54:03.100 --> 54:04.900]  and it is agriculture.
[54:04.900 --> 54:08.460]  A lot of it's culture, but in the end, it's agriculture.
[54:08.460 --> 54:13.020]  So rather than California in a whole working together,
[54:13.020 --> 54:15.500]  you got all these counties working against each other.
[54:15.500 --> 54:19.540]  You're turning everybody against each other.
[54:19.540 --> 54:23.100]  And it's kind of sad to see what's happening.
[54:23.100 --> 54:26.980]  The greed in this state has gotten out of control.
[54:26.980 --> 54:28.700]  We're supposed to legalize this plant
[54:28.700 --> 54:31.220]  so we can all enjoy the benefits of it,
[54:31.220 --> 54:32.780]  whether it's fiber.
[54:32.780 --> 54:35.340]  What they're doing with hemp now is just mind blowing.
[54:35.340 --> 54:37.660]  Like I finally, in Riverside County,
[54:37.660 --> 54:39.380]  we can't even grow outdoors.
[54:39.380 --> 54:43.780]  You know, they made the decision that they're gonna issue,
[54:43.780 --> 54:45.900]  you know, 50 permits total.
[54:45.900 --> 54:48.420]  That's not just, you know, 50 cultivation,
[54:48.420 --> 54:53.420]  that's 50 retail, but any cultivation is gonna be indoors.
[54:53.860 --> 54:57.780]  You know, when you realize you're sitting on the gold mine
[54:57.940 --> 55:01.220]  of Tawar in the cannabis industry,
[55:01.220 --> 55:04.740]  but yet your county is forcing you into a process
[55:04.740 --> 55:07.260]  of cultivating cannabis indoors.
[55:07.260 --> 55:10.020]  And like, to me, it's just like, wow,
[55:10.020 --> 55:11.820]  these are the people who are in charge.
[55:11.820 --> 55:14.740]  You know, no wonder we're in the situation that we're in.
[55:15.620 --> 55:18.220]  So, but as far as, you know, enforcement,
[55:18.220 --> 55:20.020]  it's the same old bullshit.
[55:20.020 --> 55:23.140]  You know, they're coming out, stealing people's livelihood
[55:23.140 --> 55:25.100]  and not on top of stealing, you know,
[55:25.100 --> 55:26.860]  what puts their food on the table,
[55:26.900 --> 55:28.500]  they're taking people's tractors,
[55:28.500 --> 55:31.060]  they're taking people's generators,
[55:31.060 --> 55:34.620]  you know, things that we grade our own roads.
[55:34.620 --> 55:37.100]  You know, county doesn't come out here and grade my road.
[55:37.100 --> 55:39.860]  You know, I'd grade it for them so they can come on down,
[55:39.860 --> 55:43.580]  bust everybody and raid all these black market,
[55:43.580 --> 55:45.940]  you know, Asian guys that are just trying to put food
[55:45.940 --> 55:48.180]  on their table, you know, or brought over here
[55:48.180 --> 55:50.060]  because they were trying to fight communism.
[55:50.060 --> 55:52.140]  And then you stick them in this position.
[55:52.140 --> 55:52.980]  I think it's funny.
[55:52.980 --> 55:55.500]  I hope these people break the state's back.
[55:55.540 --> 55:58.220]  As far as, you know, they're not gonna be able to do.
[55:58.220 --> 55:59.980]  I got so many growth around me.
[56:01.220 --> 56:03.660]  Go on Google Earth and look at ends in the region
[56:03.660 --> 56:05.420]  and it's just mind blowing.
[56:05.420 --> 56:09.500]  You know, they don't have the tax paying dollars to fund it.
[56:09.500 --> 56:13.380]  It's earlier, you know, they can't even file their paperwork
[56:13.380 --> 56:16.380]  let alone, you know, keep up with the situation
[56:16.380 --> 56:17.980]  they've made up here.
[56:17.980 --> 56:20.140]  So I would eventually like to see something
[56:20.140 --> 56:24.300]  that kind of was looking like how hemp was gonna roll out.
[56:24.300 --> 56:29.020]  But, you know, the state, I mean, I don't mind
[56:29.020 --> 56:30.140]  what the state's done with it,
[56:30.140 --> 56:33.340]  but what the counties are trying to do with it,
[56:33.340 --> 56:35.940]  they're going back to using, you know, zoning
[56:35.940 --> 56:40.940]  as a way of, you know, a catalatory way
[56:41.100 --> 56:44.460]  of just leaving us small farmers out of the game.
[56:44.460 --> 56:45.780]  And it's not right.
[56:45.780 --> 56:49.260]  You know, in the end, people need to wake up.
[56:50.220 --> 56:53.820]  So it's getting the county to realize,
[56:54.340 --> 56:57.060]  hey, there's $2 billion probably coming out
[56:57.060 --> 56:58.620]  of this region right now,
[56:58.620 --> 57:01.540]  regardless if it's licensed or not.
[57:01.540 --> 57:04.620]  I mean, the money's there, but it's, you know,
[57:04.620 --> 57:07.300]  it's going elsewhere because people don't want to invest
[57:07.300 --> 57:08.140]  in the community.
[57:08.140 --> 57:10.460]  They're scared they're gonna get, you know,
[57:10.460 --> 57:15.460]  the sheriffs are gonna come out and cut their hoop houses up
[57:15.820 --> 57:17.340]  and steal their tractors.
[57:17.340 --> 57:21.540]  And so, you know, people don't, it's sad what's happening.
[57:21.580 --> 57:25.340]  You know, I hope, I wish some of these sheriff departments
[57:25.340 --> 57:27.940]  would realize that they're just being used as puppets.
[57:27.940 --> 57:29.100]  You know, they're really just,
[57:29.100 --> 57:31.940]  all they are is portfolio protection
[57:31.940 --> 57:34.660]  for, you know, these big Canadian companies, you know,
[57:34.660 --> 57:37.420]  that are coming in with all the Wall Street money
[57:37.420 --> 57:39.540]  and they're screwing your own state,
[57:39.540 --> 57:42.060]  screwing your own county, you know,
[57:42.060 --> 57:43.940]  get it together and realize this.
[57:45.420 --> 57:48.540]  I mean, for us, we got a long battle.
[57:48.540 --> 57:51.420]  I mean, we got some big companies down in Coachella
[57:52.300 --> 57:54.060]  and luckily they're kind of losing their asses finally,
[57:54.060 --> 57:58.180]  but we're not like-minded like Humboldt or Santa Cruz
[57:58.180 --> 57:59.780]  or some of these other regions, you know,
[57:59.780 --> 58:01.380]  it's a melting pot down here.
[58:01.380 --> 58:05.020]  And some people are sitting in good positions
[58:05.020 --> 58:06.860]  and then there's people like me that are like,
[58:06.860 --> 58:11.540]  tried to go legit and tried to go through this process.
[58:11.540 --> 58:14.660]  And, you know, now I'm just sitting here again with hemp,
[58:14.660 --> 58:16.940]  like, how am I gonna go back through?
[58:17.780 --> 58:19.180]  You know, it's always money with them.
[58:19.620 --> 58:23.860]  You know, they don't care about developing these regions,
[58:23.860 --> 58:26.180]  these appellations, these places that, you know,
[58:26.180 --> 58:28.180]  could potentially make a lot of money.
[58:28.180 --> 58:30.060]  They just want it up front, you know,
[58:30.060 --> 58:34.980]  and it's frustrating, very frustrating process.
[58:36.100 --> 58:39.940]  So, we'll work through it, right, California?
[58:41.860 --> 58:42.940]  A couple of months ago,
[58:42.940 --> 58:47.140]  you had sent me some videos of the helicopters.
[58:47.140 --> 58:50.220]  So, what's been going on on that front?
[58:50.220 --> 58:52.940]  Well, they can't afford to fly the helicopters anymore,
[58:52.940 --> 58:56.060]  county-wise, you know, they pissed through their budget
[58:56.060 --> 58:58.300]  when they were doing all their marijuana Mondays.
[58:58.300 --> 59:00.980]  And, you know, unless, you know,
[59:00.980 --> 59:04.860]  the Riverside County Sheriff's Association
[59:04.860 --> 59:06.380]  is gonna start coughing up some money.
[59:06.380 --> 59:09.220]  I don't see where they're gonna be able to keep up
[59:09.220 --> 59:11.500]  this whack-a-mole stuff, you know,
[59:11.500 --> 59:14.740]  because all they do is hit one farm and another one's up,
[59:14.740 --> 59:16.540]  you know, and they're dealing with different people
[59:16.940 --> 59:18.140]  than up North, you know,
[59:18.140 --> 59:21.900]  we have a whole new culture within this Valley.
[59:21.900 --> 59:26.900]  And, you know, you gotta respect, you know,
[59:27.460 --> 59:30.420]  the fact that, you know, these people, they got balls,
[59:30.420 --> 59:31.340]  you know, they don't care.
[59:31.340 --> 59:33.500]  I mean, the county, I mean, literally they,
[59:34.700 --> 59:37.140]  I think it was like 12 different agencies
[59:37.140 --> 59:42.140]  that came back and something like 600 different personnel.
[59:43.140 --> 59:48.140]  I mean, it was a pretty big raid back in June 5th of 2019.
[59:50.180 --> 59:54.260]  I think they cleaned up about 70 tons total,
[59:55.940 --> 59:57.500]  but these people are still going at it.
[59:57.500 --> 59:59.100]  I mean, they're not, they didn't go anywhere
[59:59.100 --> 01:00:02.820]  and they're not gonna go anywhere, God bless them, you know.
[01:00:02.820 --> 01:00:06.500]  And so the county's gotta figure out what it's gonna do.
[01:00:06.500 --> 01:00:10.060]  How do we work with what we have here
[01:00:10.060 --> 01:00:11.540]  and not work against them anymore?
[01:00:12.060 --> 01:00:14.660]  I try to go to these board of supervisors meeting
[01:00:14.660 --> 01:00:15.940]  and try to tell, you know,
[01:00:15.940 --> 01:00:17.780]  don't you know what an appellation is?
[01:00:17.780 --> 01:00:19.740]  Like our Chuck Washington, our supervisor,
[01:00:19.740 --> 01:00:23.900]  the guy lives in Temecula, he lives in a wine region.
[01:00:23.900 --> 01:00:25.500]  You know, when you just think like,
[01:00:25.500 --> 01:00:27.180]  oh, okay, there's a bunch of cannabis
[01:00:27.180 --> 01:00:28.020]  being grown up there.
[01:00:28.020 --> 01:00:30.460]  It's not because the land's cheap anymore.
[01:00:30.460 --> 01:00:33.820]  It's because the plant grows really good there.
[01:00:34.900 --> 01:00:36.620]  So, but it's hard to get,
[01:00:36.620 --> 01:00:38.420]  and I got other people in their ears
[01:00:38.420 --> 01:00:40.660]  telling them a different thing.
[01:00:40.660 --> 01:00:43.780]  So it's frustrating down here,
[01:00:43.780 --> 01:00:46.300]  at least up North, you guys got it going.
[01:00:46.300 --> 01:00:50.460]  And there is, you know, there is hope.
[01:00:50.460 --> 01:00:52.980]  Down here, sometimes it feels like, you know,
[01:00:52.980 --> 01:00:56.340]  it's just every year it's another door slammed in your face
[01:00:56.340 --> 01:00:59.620]  and it's like, okay, well, you know how, you know.
[01:00:59.620 --> 01:01:02.700]  And when you're trying to do things right, you know,
[01:01:02.700 --> 01:01:05.660]  but your neighbor's growing, you know,
[01:01:05.660 --> 01:01:07.900]  three, $4 million worth of cannabis
[01:01:07.900 --> 01:01:09.940]  and living out in a fifth wheel,
[01:01:11.500 --> 01:01:15.540]  you know, it's like, man, it's a slap in the face, really,
[01:01:15.540 --> 01:01:18.700]  you know, because some people care and some people don't.
[01:01:18.700 --> 01:01:20.820]  But in the end, it's just a plant, you know,
[01:01:20.820 --> 01:01:23.380]  that is plant that we are lied to about.
[01:01:23.380 --> 01:01:25.660]  You know, we were told that it's a dangerous plant
[01:01:25.660 --> 01:01:27.420]  and it's not a dangerous plant.
[01:01:27.420 --> 01:01:29.460]  You know, it's dangerous to patents
[01:01:29.460 --> 01:01:31.220]  and it's dangerous to corporations
[01:01:31.220 --> 01:01:34.180]  who wanna sell you things that this plant,
[01:01:34.180 --> 01:01:39.020]  you know, can provide for us in a sustainable manner.
[01:01:39.060 --> 01:01:40.900]  But, you know, you've got these corporations
[01:01:40.900 --> 01:01:42.620]  that don't wanna lose profit
[01:01:42.620 --> 01:01:47.180]  and they got these patents on everything that this plant,
[01:01:47.180 --> 01:01:49.020]  you know, eventually we'll get it,
[01:01:49.020 --> 01:01:50.820]  but it's gonna take time.
[01:01:50.820 --> 01:01:53.460]  I hope one day I can sit under that tree,
[01:01:53.460 --> 01:01:54.780]  enjoy some of the shade.
[01:01:55.740 --> 01:02:00.740]  All right, well, Omar, I'm gonna throw it to you
[01:02:02.580 --> 01:02:07.260]  to give kind of a legal policy perspective.
[01:02:07.380 --> 01:02:09.620]  And one of the things I wanna talk about is,
[01:02:09.620 --> 01:02:14.620]  it seems my question is like for each of you feeling pain,
[01:02:16.100 --> 01:02:18.860]  it seems like more of your issues
[01:02:18.860 --> 01:02:20.780]  or talk about the distinction
[01:02:20.780 --> 01:02:25.380]  between like state policy and regulations
[01:02:25.380 --> 01:02:27.660]  and then how much of the pain points
[01:02:27.660 --> 01:02:28.860]  for everyone are related.
[01:02:28.860 --> 01:02:33.460]  So just like local interpretation of everything
[01:02:33.460 --> 01:02:35.380]  and local autonomy.
[01:02:36.220 --> 01:02:38.260]  So, and then actually Todd McCormick
[01:02:38.260 --> 01:02:39.860]  spent peppering the message boards.
[01:02:39.860 --> 01:02:43.340]  So Todd, I'm gonna shoot you an email to jump on,
[01:02:43.340 --> 01:02:46.020]  but all right, Omar, take it away.
[01:02:47.260 --> 01:02:50.620]  Well, I think Proposition 64,
[01:02:52.060 --> 01:02:54.820]  you know, did not really think through
[01:02:54.820 --> 01:02:57.740]  what would happen with local land use decisions,
[01:02:57.740 --> 01:03:01.100]  which is basically a rush to impose bans
[01:03:01.100 --> 01:03:02.620]  all over California.
[01:03:02.660 --> 01:03:05.580]  And we had a rush of cultivation bans
[01:03:06.700 --> 01:03:08.500]  and then they were followed by, you know,
[01:03:08.500 --> 01:03:10.900]  bans of every type of license.
[01:03:10.900 --> 01:03:13.900]  And so what that really did is everybody has noted
[01:03:13.900 --> 01:03:17.860]  is it advantaged those who have the political connections
[01:03:17.860 --> 01:03:20.660]  and the pool at the local level.
[01:03:20.660 --> 01:03:24.700]  It was also a recipe for what the FBI has, you know,
[01:03:24.700 --> 01:03:29.700]  called a lot of graft and that's like local payoffs.
[01:03:29.900 --> 01:03:32.300]  And there's been a lot of bus happening recently
[01:03:33.860 --> 01:03:36.980]  and, you know, a lot of oversight happening
[01:03:36.980 --> 01:03:40.900]  at the federal level with local politicians getting payoffs
[01:03:40.900 --> 01:03:42.980]  in order to give out the local permits.
[01:03:42.980 --> 01:03:44.540]  It didn't have to be that way.
[01:03:45.460 --> 01:03:47.460]  I remember in 2016,
[01:03:47.460 --> 01:03:51.100]  when there were numerous proposals for initiatives
[01:03:51.100 --> 01:03:53.860]  so that we could have legalization after, you know,
[01:03:53.860 --> 01:03:56.540]  California tried in 2010 with Prop 19,
[01:03:56.540 --> 01:03:59.460]  which as Dan said, you know, was not that great.
[01:04:00.220 --> 01:04:02.020]  It was, I think the Richard Lee Monopoly Act
[01:04:02.020 --> 01:04:04.020]  and I'm glad it didn't pass.
[01:04:04.020 --> 01:04:07.220]  But, you know, what we got in 2016
[01:04:07.220 --> 01:04:09.700]  might've been even worse, which was, you know,
[01:04:09.700 --> 01:04:12.660]  something that was a Frankensteinian monster
[01:04:12.660 --> 01:04:16.100]  written by what back then was the Olson firm
[01:04:16.100 --> 01:04:20.460]  that was hired by the billionaire guy, Sean.
[01:04:20.460 --> 01:04:21.300]  What's his name?
[01:04:21.300 --> 01:04:23.900]  Sean, somebody help me out here.
[01:04:23.900 --> 01:04:24.980]  Whatever, Sean.
[01:04:24.980 --> 01:04:26.060]  Napster, Sean.
[01:04:26.060 --> 01:04:26.900]  Yeah, Napster.
[01:04:26.900 --> 01:04:27.740]  Parker.
[01:04:27.740 --> 01:04:29.260]  That's right, Sean Parker.
[01:04:30.060 --> 01:04:35.060]  And so, you know, they ended up writing this monstrosity
[01:04:35.300 --> 01:04:39.300]  that basically like enshrined into a statute
[01:04:39.300 --> 01:04:43.140]  because it was initiative that could not easily be changed.
[01:04:43.140 --> 01:04:45.340]  This super convoluted system,
[01:04:45.340 --> 01:04:48.060]  and they put in the distributor
[01:04:48.060 --> 01:04:51.580]  as this quasi tax collector.
[01:04:51.580 --> 01:04:54.980]  And now they're realizing the error of their ways.
[01:04:54.980 --> 01:04:56.820]  And the governor's office has announced
[01:04:57.580 --> 01:05:00.980]  that rather than have three primary cannabis agencies,
[01:05:00.980 --> 01:05:02.860]  you know, Cal Cannabis Cultivation Licensing
[01:05:02.860 --> 01:05:05.420]  for cultivation and processing,
[01:05:05.420 --> 01:05:07.860]  and then the Manufactured Cannabis Safety Branch
[01:05:07.860 --> 01:05:10.740]  within the Department of Public Health
[01:05:10.740 --> 01:05:15.740]  for manufacturers and extractors and infusers
[01:05:15.900 --> 01:05:19.580]  and packaging and labeling licensees.
[01:05:19.580 --> 01:05:21.260]  And then there's totally new agency,
[01:05:21.260 --> 01:05:23.100]  the Bureau of Cannabis Control
[01:05:23.100 --> 01:05:26.380]  within the Department of Consumer Affairs
[01:05:26.460 --> 01:05:30.220]  for distributors and retailers
[01:05:30.220 --> 01:05:33.220]  and event organizers and testing laboratories.
[01:05:33.220 --> 01:05:34.740]  You know, it doesn't really make sense
[01:05:34.740 --> 01:05:37.380]  for them all to be spread out over different agencies.
[01:05:37.380 --> 01:05:39.500]  Although I can understand why many growers
[01:05:39.500 --> 01:05:41.460]  wanted to be under CDFA.
[01:05:41.460 --> 01:05:44.300]  It's less burdensome and onerous
[01:05:44.300 --> 01:05:46.860]  than the other agencies, it turns out.
