[00:00.700 --> 00:08.700]  All right, good morning. Welcome to the East Bay Sea Collective show.
[34:42.510 --> 34:43.350]  So is that like as long?
[34:43.350 --> 34:44.990]  Well, yeah, I guess there's a super auto,
[34:44.990 --> 34:45.830]  which can go on,
[34:45.830 --> 34:50.830]  because there's like the Red Cross hemp one we got.
[34:51.270 --> 34:52.390]  It's more like a super auto,
[34:52.390 --> 34:54.350]  because that goes 125 days.
[34:55.190 --> 34:58.110]  But like I said, sometimes with the 100 day autos,
[34:58.110 --> 35:03.110]  if you're starting in like late winter or late fall,
[35:04.150 --> 35:05.070]  like especially, I've seen,
[35:05.070 --> 35:10.070]  the longest I've seen autos go is in my late runs.
[35:11.310 --> 35:12.910]  But I'm usually doing them for seeds.
[35:12.910 --> 35:14.870]  I'm waiting for the seeds to mature.
[35:14.870 --> 35:19.590]  But I've had autos go 125 days in the later,
[35:19.590 --> 35:21.750]  in winter, I'm harvesting in January.
[35:21.750 --> 35:24.110]  You know, started in the fall.
[35:24.110 --> 35:26.670]  But yeah, I've actually not,
[35:26.670 --> 35:28.430]  I guess I need to do some research on the,
[35:28.430 --> 35:32.030]  you know, is the super auto and then the semi auto.
[35:32.030 --> 35:32.870]  So yeah.
[35:33.990 --> 35:34.830]  For sure.
[35:35.950 --> 35:38.390]  No, I mean, it's, like I said earlier,
[35:38.390 --> 35:42.910]  autos are not dependent on the photo period,
[35:42.910 --> 35:44.990]  but they are influenced on the photo period.
[35:44.990 --> 35:47.870]  And autos will do some weird shirt.
[35:48.710 --> 35:53.710]  Like a couple summers ago, my early run,
[35:55.270 --> 35:56.110]  it was like that.
[35:56.110 --> 35:58.870]  It was so, it was not last year,
[35:58.870 --> 36:00.630]  because last year was a really nice summer.
[36:00.630 --> 36:02.230]  But the summer before was so brutal.
[36:02.230 --> 36:04.830]  We started with like triple digit heat waves in May.
[36:04.830 --> 36:06.670]  And it was like, we were on the ropes.
[36:06.670 --> 36:08.670]  It was just one after the other.
[36:08.670 --> 36:11.030]  Like as soon as one was over, you looked in the forecast,
[36:11.030 --> 36:13.790]  there was another one coming, you know.
[36:13.790 --> 36:18.670]  And I had some autos that were deep in the flower,
[36:18.670 --> 36:21.390]  and that heat wave hit,
[36:21.390 --> 36:24.910]  and I don't know, a percentage of them re-vetched.
[36:24.910 --> 36:27.750]  They're like, oh, it's, the weather's good.
[36:27.750 --> 36:30.910]  We're gonna re-vetch.
[36:30.910 --> 36:33.190]  And then they finished, you know.
[36:33.190 --> 36:36.230]  So there's just some weird stuff in the genetics of auto.
[36:36.230 --> 36:40.230]  Or some people will, if it's too cold,
[36:40.230 --> 36:41.790]  and the light's not good enough,
[36:41.790 --> 36:43.390]  I've seen, you know, they'll,
[36:43.390 --> 36:47.070]  regardless of what you do, autos will, you know,
[36:47.070 --> 36:49.310]  and maybe it's something to do with the roots, actually,
[36:49.310 --> 36:52.070]  now that I think of it, in those kind of conditions.
[36:52.070 --> 36:53.510]  Because I haven't experienced,
[36:53.510 --> 36:54.590]  but I've seen people do it,
[36:54.590 --> 36:58.430]  where it's a six inch auto fire plant when it's done.
[36:58.430 --> 37:00.710]  But it's probably because of the roots didn't get,
[37:00.710 --> 37:02.950]  got damage on it more.
[37:02.950 --> 37:03.910]  Because I've had, like I said,
[37:03.910 --> 37:05.350]  I've had autos go into January.
[37:05.350 --> 37:06.830]  So it's not necessarily,
[37:08.110 --> 37:10.750]  you see there's other factors involved,
[37:10.750 --> 37:13.110]  other than the photo period in the auto.
[37:14.190 --> 37:18.230]  And another good thing too is don't overfeed your autos.
[37:18.230 --> 37:19.070]  Don't.
[37:19.070 --> 37:20.310]  Like we grow ours in clay.
[37:20.310 --> 37:21.830]  Like I said, the ones that have been installed,
[37:21.830 --> 37:23.150]  I mean, they've been growing in clay
[37:23.150 --> 37:24.270]  with a little bit of compost.
[37:24.270 --> 37:26.390]  Like hardly anything.
[37:26.390 --> 37:27.230]  No feeding.
[37:28.470 --> 37:31.510]  So it sounds like they could be a good candidate
[37:31.510 --> 37:35.270]  for some sort of like dry farming techniques.
[37:35.270 --> 37:37.750]  Oh, I would love to see some autos grown
[37:37.750 --> 37:39.790]  on some of these dry farms.
[37:39.790 --> 37:41.510]  Yeah, they do that.
[37:41.510 --> 37:43.270]  Because also with, you've got,
[37:43.270 --> 37:44.710]  that's another way you can,
[37:45.710 --> 37:47.630]  you really don't want to give them too much nitrogen
[37:47.630 --> 37:49.830]  or you will get a higher herm rate.
[37:49.830 --> 37:52.230]  And there is a herm rate in all cannabis seeds.
[37:52.230 --> 37:54.670]  Like all lines will do it.
[37:54.670 --> 37:57.190]  Give them the right conditions or stress or factors.
[37:57.190 --> 37:58.790]  Like any plant will hermaphrodite.
[37:58.790 --> 38:02.830]  And autos are, because of how they grow and survive,
[38:02.830 --> 38:05.190]  they're definitely more susceptible to it.
[38:05.190 --> 38:08.470]  But not, you know, I look back at my career,
[38:08.470 --> 38:09.710]  you know, 20 years of growing,
[38:09.710 --> 38:12.270]  I've seen a handful of hermaphrodites in full terms.
[38:12.270 --> 38:13.750]  But in just a couple of seasons,
[38:13.750 --> 38:16.430]  I've grown more autoflowers than I ever have
[38:16.430 --> 38:18.630]  with the numbers behind the full term.
[38:18.630 --> 38:21.070]  Similar rates, but you know,
[38:21.070 --> 38:24.350]  but they're definitely more susceptible to too much nitrogen.
[38:24.350 --> 38:27.510]  And a good rule of thumb is a third of what you would get
[38:27.510 --> 38:28.550]  if you're gonna feed,
[38:28.550 --> 38:33.270]  a third of what you would give a full term plant.
[38:33.270 --> 38:36.350]  But then it also depends on the autos.
[38:36.390 --> 38:40.750]  Like, you know, if you're breeding your autoflower lines
[38:40.750 --> 38:43.590]  into cush lines and making them autoflowers again,
[38:43.590 --> 38:46.270]  you can, with these new modern autos,
[38:46.270 --> 38:48.630]  breed something that can take in more nutrients,
[38:48.630 --> 38:50.430]  but you know, just ask your breeder.
[38:51.870 --> 38:54.070]  Interesting, interesting.
[38:54.070 --> 38:59.070]  So as far as like, you're a regular auto breeder,
[38:59.550 --> 39:01.270]  not a feminized auto breeder.
[39:01.270 --> 39:02.750]  Yeah.
[39:02.790 --> 39:07.150]  How do you select males in auto breeding?
[39:07.150 --> 39:08.470]  Yeah, how do you select males in auto breeding?
[39:08.470 --> 39:11.150]  Cause I mean, you can't take clones of these plants.
[39:11.150 --> 39:13.030]  You know, it's like a moving target.
[39:13.030 --> 39:15.270]  That to me is really, really interesting
[39:15.270 --> 39:17.150]  to hear auto breeders on the topic.
[39:21.870 --> 39:24.270]  And there is, you know,
[39:24.270 --> 39:27.830]  there is at least in that first generation population,
[39:27.830 --> 39:30.670]  it, you know, I would almost,
[39:30.670 --> 39:33.750]  yeah, I would definitely recommend taking a male,
[39:34.390 --> 39:35.510]  especially if you're trying to create
[39:35.510 --> 39:37.030]  a specific flavor that you want,
[39:37.030 --> 39:39.230]  and you want to get away from that, you know,
[39:39.230 --> 39:43.030]  autoflower flavor that might be in some of these autos,
[39:43.030 --> 39:44.950]  and you're trying to get something, you know, better,
[39:44.950 --> 39:46.710]  you would want to take a male autoflower
[39:46.710 --> 39:47.950]  and cross it into the full term.
[39:47.950 --> 39:51.510]  Cause at least in that first generation population,
[39:51.510 --> 39:54.790]  you'll see more plants that resemble the mother,
[39:54.790 --> 39:58.550]  but you will see some from the, you know,
[39:58.550 --> 39:59.910]  the father's line as well.
[39:59.910 --> 40:03.310]  It's just in that first generation, it's less,
[40:03.870 --> 40:05.390]  but you know, like if you start enough seeds,
[40:05.390 --> 40:07.390]  it doesn't really matter, male to female,
[40:07.390 --> 40:11.670]  female to male, what you're going to end up with.
[40:11.670 --> 40:15.510]  Just like I said, keep going back cross if necessary.
[40:16.350 --> 40:18.470]  Oh yeah, someone just popped some lion claw.
[40:18.470 --> 40:19.310]  Nice. Yeah.
[40:19.310 --> 40:20.830]  You will not be disappointed.
[40:23.190 --> 40:24.990]  It really is like, you know,
[40:24.990 --> 40:27.830]  one of the best autos in the game as far as,
[40:28.750 --> 40:32.590]  you know, flavor, terpenes, THC, yield.
[40:34.150 --> 40:39.150]  But yeah, actually someone who has grown large populations
[40:42.310 --> 40:47.310]  of males, I find more hermaphrodites in males than females.
[40:47.750 --> 40:49.150]  And I don't know if it's something that,
[40:49.150 --> 40:52.670]  and you really got to look your male over
[40:52.670 --> 40:56.070]  because sometimes you'll find just one female hair
[40:56.070 --> 40:58.830]  on a lower branch of an autoflower.
[40:58.830 --> 41:00.510]  And you want to make sure that you're not breeding,
[41:00.550 --> 41:03.990]  you really got to give the autos a good look over
[41:03.990 --> 41:04.950]  and make sure you're not finding
[41:04.950 --> 41:08.310]  just one sneaky little female flower or hair even.
[41:08.310 --> 41:09.990]  Just, you know, yeah.
[41:12.030 --> 41:15.270]  And then, and then like, you know, males flower too.
[41:15.270 --> 41:18.190]  So you're looking at the structure and, you know,
[41:18.190 --> 41:20.790]  you're looking for the aroma as well.
[41:24.440 --> 41:25.280]  For sure.
[41:25.280 --> 41:28.880]  I mean, I'm assuming when you look through, you know,
[41:28.880 --> 41:31.440]  a population of male autos,
[41:31.440 --> 41:33.480]  it'll be like looking through a population
[41:33.480 --> 41:37.440]  of regular males where you'll have some that flower sooner,
[41:37.440 --> 41:40.160]  some that flower later, some that are stretchier,
[41:40.160 --> 41:43.240]  just that it's a bit quicker is my assumption
[41:43.240 --> 41:45.960]  that they would just, it would just be sooner,
[41:45.960 --> 41:47.520]  all those different things.
[41:47.520 --> 41:51.480]  And if you're keeping the male to put on your full terms,
[41:51.480 --> 41:54.600]  you also want to consider that either the timing of that
[41:54.600 --> 41:56.760]  or the storage of your pollen.
[41:56.760 --> 41:58.880]  And if you're going to keep pollen for months
[41:58.880 --> 42:01.440]  before you're going to use it, I would recommend the fridge.
[42:01.440 --> 42:04.080]  If you, you know, if you're going to keep it for a month
[42:04.080 --> 42:05.680]  or weeks before you're going to use it,
[42:05.680 --> 42:09.880]  just like the pantry, just stable, cool temperature, not.
[42:09.880 --> 42:13.600]  Cause, and actually I was on the Shingo Lose
[42:13.600 --> 42:15.240]  Shaping Fire podcast.
[42:15.240 --> 42:19.120]  And I know there's a whole hour of pollen talk.
[42:19.120 --> 42:21.200]  So if you're interested in more pollen talk,
[42:21.200 --> 42:23.280]  go dive into that one.
[42:24.320 --> 42:25.160]  For sure.
[42:25.160 --> 42:28.720]  So like, let's say you're doing a breeding project.
[42:29.560 --> 42:30.640]  You're looking for a male.
[42:30.640 --> 42:34.240]  You have, I would assume you're females in a separate area.
[42:34.240 --> 42:37.640]  If you chose like, let's say a single male
[42:37.640 --> 42:40.200]  or would you be choosing like a group of males
[42:40.200 --> 42:43.360]  to then hit to those females?
[42:44.800 --> 42:48.560]  It depends on what you're trying to do
[42:48.560 --> 42:51.040]  and where you're at in your breeding program.
[42:53.000 --> 42:58.000]  I know usually, so if you want more diversity,
[42:59.400 --> 43:01.000]  you use more males.
[43:01.000 --> 43:04.000]  If you want less, and there's times in breeding programs
[43:04.000 --> 43:06.480]  where you're going to want more or less diversity.
[43:06.480 --> 43:09.320]  And I know some breeders will like, when they're doing,
[43:09.320 --> 43:12.200]  when they're making that F2,
[43:12.200 --> 43:14.320]  they'll use up to 10 males just to get,
[43:14.320 --> 43:16.520]  cause the F2 you're already going to see more diversity
[43:16.520 --> 43:17.440]  within that gene pool.
[43:17.440 --> 43:19.680]  So if you really want to see some more,
[43:20.800 --> 43:25.400]  you bring more out and then,
[43:25.400 --> 43:27.880]  you know, you've heard the term like bottlenecking, right?
[43:27.920 --> 43:28.760]  Yeah.
[43:28.760 --> 43:31.080]  So bottlenecking is not, that's just, you know,
[43:31.080 --> 43:34.640]  so, you know, when you're then stabilizing your lines,
[43:34.640 --> 43:36.720]  your traits, and you want to get that more homogenous
[43:36.720 --> 43:40.600]  look to it, you would select one male.
[43:40.600 --> 43:43.360]  But then if you wanted to get,
[43:43.360 --> 43:45.160]  and then once you've got something that was stable,
[43:45.160 --> 43:48.400]  homogenous, and that might take you six to 10 generations.
[43:48.400 --> 43:50.840]  If you wanted to keep breeding that line,
[43:52.280 --> 43:54.600]  then you would open up the population
[43:54.600 --> 43:58.920]  almost to what I like to call selected open pollination,
[43:58.920 --> 44:03.640]  where you would have a population of females and males,
[44:03.640 --> 44:07.240]  and you would maybe, you know, a hundred females, 15 males,
[44:07.240 --> 44:08.800]  and just let them open pollination.
[44:08.800 --> 44:12.360]  Cause then you're going to open back up that diversity
[44:12.360 --> 44:14.120]  within a very bottleneck line,
[44:14.120 --> 44:16.880]  but it's still there because it's cannabis.
[44:18.240 --> 44:21.720]  So then you can keep breeding that line,
[44:21.720 --> 44:23.360]  you know, 10, 20, who knows?
[44:23.360 --> 44:28.000]  We don't need, you know, but, and that's another
[44:31.520 --> 44:33.960]  just positive aspect about regular breeding.
[44:33.960 --> 44:36.280]  So feminized seed breeders,
[44:36.280 --> 44:40.960]  they usually don't go past S3, self three, right?
[44:40.960 --> 44:43.800]  And regular line breeding, you can go, you know,
[44:44.680 --> 44:47.160]  F8, F10, and then, like I said,
[44:47.160 --> 44:49.680]  we're using these techniques where you then open back up
[44:49.680 --> 44:54.680]  the population, you can go 15, 20, 30, 40 generations.
[44:54.960 --> 44:57.720]  So, but there are, you know,
[44:57.720 --> 45:00.720]  there's aspects of, you know, feminized breeding,
[45:00.720 --> 45:02.720]  and, you know, it's a tool, but, you know,
[45:02.720 --> 45:05.400]  for if you want to keep a line going, you know,
[45:05.400 --> 45:07.480]  for a long time with the seed,
[45:07.480 --> 45:08.640]  which is what you want to grow,
[45:08.640 --> 45:10.080]  which is what the earth wants you to grow,
[45:10.080 --> 45:11.040]  is from the seed.
[45:12.520 --> 45:15.480]  You got, you know, get into the regulars.
[45:15.480 --> 45:19.480]  And I appreciate that you are growing auto regulars.
[45:20.280 --> 45:22.440]  I have grown feminized, made feminized seeds,
[45:22.440 --> 45:24.400]  but the one thing that I don't like about it
[45:24.400 --> 45:26.920]  is that you have to work with chemicals that are not safe.
[45:26.920 --> 45:28.880]  And I just like-
[45:28.880 --> 45:31.880]  Yeah, if you want that 99% rate, you know,
[45:31.880 --> 45:34.760]  you can work with colloidal silver and get like an 80% rate
[45:34.760 --> 45:38.040]  or, you know, I know it's a lower successful rate,
[45:38.040 --> 45:40.280]  but, you know, colloidal silver is not a harmful chemical.
[45:40.280 --> 45:42.440]  And then there are other ways you can,
[45:43.400 --> 45:45.520]  you can stress them out.
[45:45.520 --> 45:49.280]  But like I said, you, it's, I mean, like the,
[45:50.080 --> 45:51.200]  I think it's in the cannabis readers Bible.
[45:51.200 --> 45:52.480]  It says like feminized seeds
[45:52.480 --> 45:55.320]  will make them weak like kittens, you know?
[45:55.320 --> 46:00.320]  So it's not a good way to keep genetics going.
[46:01.960 --> 46:04.360]  Yeah, yeah, no, for sure.
[46:04.360 --> 46:06.360]  It's not a good way for the diversity of the gen,
[46:06.360 --> 46:09.560]  the strength of the line of, you know, it's,
[46:10.800 --> 46:12.680]  I don't know, it's a big debate.
[46:12.680 --> 46:15.440]  And, you know, I like to see both sides of it, you know,
[46:15.720 --> 46:18.360]  and, you know, I think we have to, you know,
[46:18.360 --> 46:20.440]  respect all ways in which this plant
[46:20.440 --> 46:22.240]  wants to present itself to us.
[46:22.240 --> 46:25.000]  And, but I think the proof
[46:25.000 --> 46:27.080]  is kind of in the pudding on that one.
[46:27.080 --> 46:32.080]  And I, yeah, I mean, there, yeah,
[46:33.160 --> 46:36.400]  there is like the, and I've seen,
[46:38.080 --> 46:39.480]  yeah, you lose some vigor,
[46:39.480 --> 46:44.160]  but then you gain a lot of ease with, you know,
[46:44.160 --> 46:46.480]  so there's pros and cons.
[46:46.480 --> 46:50.800]  For sure, so like back to breeding and using your male,
[46:54.000 --> 46:56.840]  is that like a limiting factor?
[46:56.840 --> 47:00.000]  Because if you have like, let's say like a selected male,
[47:00.000 --> 47:03.000]  that selected male is going in the flower.
[47:03.000 --> 47:04.840]  I mean, you're kind of limited in like
[47:04.840 --> 47:07.360]  the amount of pollen that it's producing.
[47:07.360 --> 47:09.880]  You can't keep that specimen.
[47:09.880 --> 47:14.200]  Like it seems like that can kind of be like an issue
[47:14.200 --> 47:16.880]  with breeding and autoflowers in general,
[47:16.880 --> 47:19.960]  because there's no moving of these plants.
[47:19.960 --> 47:23.520]  Yeah, I mean, it's just, we do,
[47:24.560 --> 47:26.440]  our farm is kind of unique,
[47:26.440 --> 47:27.440]  Heart Rock Mountain Farm here,
[47:27.440 --> 47:30.480]  this is the family farm, you know, where I grew up.
[47:30.480 --> 47:31.680]  So our farm is kind of unique.
[47:31.680 --> 47:35.360]  We're kind of like the end of the road, you know,
[47:35.360 --> 47:37.280]  where they got that Northwest slope,
[47:37.320 --> 47:39.640]  and then we're in the forest behind us,
[47:39.640 --> 47:42.520]  it's like a huge cattle ranch and then the national forest.
[47:42.520 --> 47:44.760]  So we can get away with more like, you know,
[47:45.880 --> 47:47.640]  open pollination practices,
[47:47.640 --> 47:52.640]  but I do use the frost protection fabric,
[47:53.360 --> 47:57.480]  the remake and the thicker micron on that.
[47:57.480 --> 48:01.000]  And so we will do our little plots,
[48:01.000 --> 48:04.960]  put T-posts around them, remake it off.
[48:04.960 --> 48:06.760]  So, you know, there'll be, you know,
[48:06.760 --> 48:08.680]  40 autos in the plot like that,
[48:08.680 --> 48:11.080]  and I'll keep maybe a couple males
[48:11.080 --> 48:14.000]  if I'm doing, you know, initial crossing,
[48:14.000 --> 48:14.840]  but then, you know,
[48:14.840 --> 48:16.960]  once I start getting to the F3 generations,
[48:16.960 --> 48:19.320]  I'll just keep single male.
[48:19.320 --> 48:21.200]  And then that one little single male
[48:22.680 --> 48:26.360]  will do its whole thing in that little plot.
[48:26.360 --> 48:31.360]  And then, or I've even done some without curtains
[48:31.480 --> 48:33.440]  and I just go there out there every day,
[48:33.440 --> 48:34.280]  look at the males,
[48:34.280 --> 48:36.880]  pick off the flowers that are about to open
[48:36.880 --> 48:39.600]  and give them a little twist and then drop,
[48:39.600 --> 48:41.800]  put the pollen right where I want it to go.
[48:43.520 --> 48:45.960]  And that's another thing, like, I'm, you know,
[48:45.960 --> 48:47.880]  I'm a regenerative craft farmer.
[48:47.880 --> 48:50.320]  So yeah, you're gonna get some cross pollination
[48:50.320 --> 48:51.160]  in this technique,
[48:51.160 --> 48:52.440]  but you're gonna get a lot of good seeds.
[48:52.440 --> 48:53.560]  You're gonna, you know,
[48:53.560 --> 48:55.520]  if for me, it's easy to tell, like,
[48:55.520 --> 48:57.560]  I grow out like large populations of,
[48:57.560 --> 48:59.800]  and I go, oh, there's a purple plant
[48:59.800 --> 49:01.000]  where it's not supposed to be that,
[49:01.000 --> 49:02.880]  that's from a different pollen.
[49:04.400 --> 49:07.640]  Just one pollen that ended up on the hair,
[49:07.640 --> 49:09.220]  which will happen.
[49:09.220 --> 49:11.080]  But, you know, for the most part,
[49:11.080 --> 49:13.480]  you're getting like a homogenous, you know,
[49:13.480 --> 49:15.280]  looking line, but you get some anomalies
[49:15.280 --> 49:16.440]  every once in a while.
[49:17.960 --> 49:21.360]  But also if you're gonna collect the pollen,
[49:21.360 --> 49:23.400]  one auto flower male,
[49:23.400 --> 49:25.560]  and I, if you, you know,
[49:26.440 --> 49:27.920]  you would grow it in, you know,
[49:27.920 --> 49:30.560]  if you're doing your breeding outdoors,
[49:30.560 --> 49:32.480]  or, you know, you could eat, you know,
[49:32.480 --> 49:35.760]  like you, so my idea with the behind the curtains
[49:35.760 --> 49:37.880]  was to make like a little, you know,
[49:37.880 --> 49:39.840]  little tent, because it's wind pollination.
[49:39.840 --> 49:41.480]  So if you have a six foot screen
[49:41.480 --> 49:43.520]  around your little section of your garden,
[49:43.520 --> 49:45.000]  where you're gonna make your seeds outdoors
[49:45.000 --> 49:47.720]  in your backyard, that wind's not gonna hit it.
[49:47.720 --> 49:49.840]  It's not gonna take that pollen out.
[49:49.840 --> 49:52.400]  And then let it get seeded,
[49:52.400 --> 49:54.960]  mist the male down from the outside
[49:54.960 --> 49:57.000]  when you're ready to cut it out,
[49:57.000 --> 49:58.240]  go in and then cut it out.
[49:58.240 --> 50:00.280]  And then you didn't, I guarantee you,
[50:00.280 --> 50:02.160]  you're not gonna have more than one or two seeds
[50:02.840 --> 50:05.160]  in your females that are growing right next to it,
[50:05.160 --> 50:06.720]  you know?
[50:06.720 --> 50:10.760]  So you have to be careful when you're working with pollen,
[50:10.760 --> 50:12.200]  but you can work with pollen, but you know,
[50:12.200 --> 50:14.400]  it's definitely something that you have to
[50:15.960 --> 50:18.120]  really focus on and really be on it.
[50:18.960 --> 50:21.640]  If you don't wanna see yourself and your neighbors,
[50:21.640 --> 50:23.560]  and you definitely don't wanna see your neighbors.
[50:23.560 --> 50:25.720]  Seeing yourself is not the biggest problem.
[50:30.170 --> 50:31.210]  But you're on mute.
[50:31.490 --> 50:34.490]  So you pollinated some plants and they're, you know,
[50:34.490 --> 50:38.290]  they're seeded up and the seeds are ripening.
[50:38.290 --> 50:41.650]  And you see that some of these plants
[50:41.650 --> 50:43.210]  are different than others.
[50:43.210 --> 50:45.730]  Do you keep all of those plants?
[50:45.730 --> 50:46.730]  Cause it's like, you know,
[50:46.730 --> 50:49.410]  they're all plants that you've never tried before.
[50:49.410 --> 50:52.450]  Like do all of those go to seeds for sale?
[50:52.450 --> 50:56.250]  Or is there some selecting in that process?
[50:56.290 --> 50:58.490]  In that process, you know, I definitely,
[50:59.810 --> 51:03.490]  you know, I had a couple of guys help on the farm
[51:03.490 --> 51:06.290]  this summer and we went through, we took notes,
[51:06.290 --> 51:07.850]  we, you know, we labeled some things,
[51:07.850 --> 51:09.850]  we found our favorites.
[51:09.850 --> 51:14.850]  And, you know, I usually keep my favorite for breeding,
[51:15.250 --> 51:16.770]  the vine on further.
[51:16.770 --> 51:21.330]  And then, you know, if there's some really nice phenos,
[51:21.330 --> 51:22.170]  I do those.
[51:22.170 --> 51:23.490]  And then I'll just keep them.
[51:23.690 --> 51:25.690]  And then if there's some really nice phenos,
[51:25.690 --> 51:27.810]  I do those in the special editions.
[51:27.810 --> 51:29.970]  And then, you know, for some of the other ones,
[51:29.970 --> 51:34.610]  it's just, it's in your more bulk auto pricing, you know.
[51:35.850 --> 51:40.850]  But, and it's, yeah, but you definitely,
[51:41.170 --> 51:43.610]  and then sometimes you find what you're looking for,
[51:43.610 --> 51:44.530]  which is great.
[51:44.530 --> 51:47.010]  And sometimes you find what you're not looking for
[51:47.010 --> 51:47.970]  and it's fantastic.
[51:49.170 --> 51:53.370]  You know, and that's another beautiful thing
[51:54.250 --> 51:57.530]  about the diversity in cannabis is, you know,
[51:57.530 --> 51:59.330]  we get to take it a direction where we wanna go,
[51:59.330 --> 52:02.290]  but we can also follow her in another direction too.
[52:02.290 --> 52:04.850]  It's just, you know, it's, you know,
[52:04.850 --> 52:07.170]  everything's like this creative consciousness
[52:07.170 --> 52:09.010]  that we're working with.
[52:09.010 --> 52:11.850]  And it's really fun to play with the cannabis plant
[52:11.850 --> 52:15.690]  in that realm of that creativity.
[52:15.690 --> 52:19.210]  And it sounds like, I mean, what I'm gathering is like,
[52:19.210 --> 52:21.850]  even though you don't have as much control as you would
[52:21.850 --> 52:23.330]  with the clone where you can be like,
[52:23.330 --> 52:26.010]  I want this plant with this plant.
[52:27.730 --> 52:32.090]  It's a lot more fluid, but it seems like in the fluidity,
[52:32.090 --> 52:35.170]  you're still, the samples that are coming up
[52:35.170 --> 52:39.250]  in the population are still things that people are desirable
[52:39.250 --> 52:41.290]  and that, you know, that people wanna smoke.
[52:41.290 --> 52:43.570]  It's not like a lot of things that come up,
[52:43.570 --> 52:45.850]  people are like, oh, that's the dud.
[52:45.850 --> 52:48.930]  Not like, it seems like most of them are pretty good.
[52:48.970 --> 52:51.010]  Well, you know, like I said,
[52:51.010 --> 52:52.890]  there's two sides of the coin, right?
[52:52.890 --> 52:54.690]  And having the clone is great
[52:54.690 --> 52:58.450]  because you're gonna get exactly what you want.
[52:58.450 --> 53:01.090]  And in growing large populations of seeds,
[53:01.090 --> 53:02.810]  especially if we're breeding, you know,
[53:02.810 --> 53:04.210]  I'll find one that's like,
[53:04.210 --> 53:06.290]  oh, you look just like your mother.
[53:06.290 --> 53:08.010]  You're the one I wanna make the seeds on, right?
[53:08.010 --> 53:10.850]  But then I go, oh, you look better than your mother.
[53:10.850 --> 53:12.250]  You're the one I wanna make seeds on.
[53:12.250 --> 53:16.130]  So with clones, you're removing that part of it
[53:16.130 --> 53:18.010]  from your experience.
[53:18.050 --> 53:20.530]  And with seeds, you're really not
[53:20.530 --> 53:22.090]  if you have that large population.
[53:22.090 --> 53:24.370]  But also if it's, you know,
[53:24.370 --> 53:26.090]  if you have a space to keep clones
[53:26.090 --> 53:27.850]  and you wanna keep your, you know,
[53:27.850 --> 53:29.850]  something really special you found,
[53:32.050 --> 53:33.950]  you know, that's a good thing too, so.
[53:35.090 --> 53:37.130]  For sure, I mean, I guess it's like,
[53:37.130 --> 53:40.210]  it's a completely, it's a different concept of breeding.
[53:40.210 --> 53:42.090]  Cause you know, like when I breed things,
[53:42.090 --> 53:43.770]  I look for a specific clone, right?
[53:43.770 --> 53:45.490]  You know, search for a clone, take the clone,
[53:45.490 --> 53:49.170]  keep the clone, find a male, take a clone, keep the clone,
[53:49.170 --> 53:51.930]  and then start, you know, mixing things together
[53:51.930 --> 53:52.890]  and seeing what I get.
[53:52.890 --> 53:55.370]  But this is, you know, a different concept
[53:55.370 --> 53:56.890]  that you're kind of moving forward
[53:56.890 --> 54:00.630]  with these continuous generations a lot faster.
[54:02.250 --> 54:06.090]  And we're trying like to create, you know,
[54:06.090 --> 54:07.410]  IVLs and bread lines.
[54:07.410 --> 54:10.010]  We're trying to breed like good breeding stuff,
[54:10.010 --> 54:12.890]  which, you know, a lot of your clones
[54:12.890 --> 54:16.210]  aren't good breeding stock.
[54:16.210 --> 54:18.530]  It's like something from a pheno hunt.
[54:18.530 --> 54:21.290]  It's not, it might not even be stable genetics.
[54:21.290 --> 54:22.890]  So then you're taking them,
[54:22.890 --> 54:25.290]  you're making seeds on something that looks good,
[54:25.290 --> 54:30.290]  smokes good, but is it good breeding stock is the question.
[54:30.290 --> 54:31.130]  Right.
[54:32.210 --> 54:33.050]  That's a great point.
[54:33.050 --> 54:35.570]  And I guess with autos, you know off the bat,
[54:35.570 --> 54:37.930]  if it's good breeding stock or not.
[54:37.930 --> 54:41.310]  And if it's not, you just move on with something else.
[54:43.810 --> 54:44.650]  Yeah.
[54:44.650 --> 54:46.570]  And the fun thing with autos is you can see
[54:46.570 --> 54:50.010]  a couple of generations in a year outdoors,
[54:50.010 --> 54:53.170]  which is fun to like take seeds that you made
[54:53.170 --> 54:56.170]  in the spring, grow them out, harvest them in the fall.
[54:56.170 --> 54:58.850]  And, you know, just,
[54:58.850 --> 55:01.470]  I don't think they're ever gonna go away.
[55:01.470 --> 55:06.370]  I think they're a very useful part of this, you know,
[55:06.370 --> 55:07.270]  sacred plant.
[55:07.270 --> 55:10.010]  And it's so amazing that, you know,
[55:10.010 --> 55:11.410]  that they'll do that.
[55:11.410 --> 55:16.410]  That, you know, that is, that they've evolved to grow
[55:17.050 --> 55:22.050]  in every ecosystem on this planet that sustains life.
[55:22.250 --> 55:23.210]  Cannabis will grow.
[55:25.090 --> 55:26.930]  Yeah. I mean, I never thought of it that way,
[55:26.930 --> 55:29.290]  but I guess you can grow them in the garden.
[55:33.710 --> 55:36.430]  Yeah. That's where it originally come from is,
[55:36.430 --> 55:39.870]  you know, the hemp that went wild in Siberia.
[55:40.830 --> 55:43.270]  Hemp that went wild in Siberia is where we get
[55:43.270 --> 55:44.870]  that auto flower trait from.
