[00:00.510 --> 00:01.510]  Twin Peaks.
[24:23.060 --> 24:26.780]  Yeah. And from what I understand is, you know, they wind up taking,
[24:26.780 --> 24:29.580]  you know, all of the inventory, basically all the possessions
[24:29.580 --> 24:31.940]  and then never actually really filing charges.
[24:31.940 --> 24:33.980]  But after that, what can you do?
[24:33.980 --> 24:39.660]  Like you said, the advertisers fled and the the the subsequent magazine,
[24:39.660 --> 24:43.260]  though, is something a lot of people will probably recognize from growth stores,
[24:43.260 --> 24:47.180]  because I remember that one and it's, you know, tomatoes.
[24:47.620 --> 24:49.340]  Yeah, exactly. Exactly.
[24:49.340 --> 24:51.900]  That was that was the whole thing.
[24:51.900 --> 24:54.820]  Yeah. You had to use code words like that.
[24:54.980 --> 25:00.020]  And oh, but it was it was just nuts because there was entrapment
[25:00.020 --> 25:04.020]  then during those times, and there was it was just years of that,
[25:04.020 --> 25:06.980]  years and years of it. And then
[25:08.980 --> 25:10.300]  then what was it?
[25:10.300 --> 25:12.180]  2005 was it that
[25:13.900 --> 25:16.100]  the law in California changed?
[25:16.420 --> 25:19.700]  Yeah, it's the canvas came to California
[25:20.300 --> 25:22.420]  and everything changed.
[25:22.420 --> 25:24.700]  Well, that started things changing.
[25:25.260 --> 25:30.700]  And then Oregon and then and then later Washington for the medical.
[25:30.940 --> 25:34.060]  Yeah. And it made a big difference.
[25:34.420 --> 25:36.740]  But everybody was still afraid
[25:38.300 --> 25:43.740]  because. It seemed like they've been doing the same thing for so long that
[25:45.700 --> 25:47.180]  you can't change this.
[25:47.180 --> 25:50.100]  Nobody believes it. It's not true.
[25:50.100 --> 25:54.300]  So it really did take quite a while for people to start growing.
[25:55.340 --> 25:58.140]  It was spooky.
[25:58.140 --> 26:02.380]  A lot of it was almost, you know, self incriminating in that point.
[26:02.380 --> 26:03.900]  I was you know, I'm in Washington.
[26:03.900 --> 26:06.260]  I was in Washington when the medical laws passed.
[26:07.060 --> 26:09.500]  Medical card holder.
[26:09.700 --> 26:12.900]  But to do like collectives and stuff, you still had to register.
[26:12.900 --> 26:16.580]  You had to put things on paper and commit to what you were doing.
[26:16.580 --> 26:19.780]  And that that was that was a little bit scary.
[26:19.980 --> 26:25.300]  And it still is today, even in a fully legal marketplace here, because.
[26:25.300 --> 26:28.500]  Well, it's the United States
[26:29.300 --> 26:32.740]  and the United States has a very poor track record.
[26:32.980 --> 26:36.660]  Yes. Because for green merchant,
[26:36.660 --> 26:39.860]  they use the fucking Rico laws against us, right?
[26:40.220 --> 26:43.380]  Racketeering, the same ones they use for the mafia, the same ones
[26:43.380 --> 26:45.060]  they use for Hell's Angels.
[26:45.060 --> 26:48.260]  Those guys are they're way tougher, way tougher than that.
[26:49.140 --> 26:52.260]  It's like we're not tough guys, you know, gardeners, right?
[26:53.460 --> 26:58.700]  And so they use the same laws and they said they wouldn't when they implemented them.
[26:58.700 --> 27:02.540]  You know, they said they were specifically for for these organized crimes.
[27:03.100 --> 27:05.500]  And so so it's hard to believe.
[27:05.900 --> 27:08.820]  But I have to give this credit here in Spain.
[27:10.060 --> 27:13.700]  They separate those records because here
[27:14.420 --> 27:16.300]  cannabis isn't legal.
[27:16.300 --> 27:19.860]  It's tolerated in as much as you can grow a little at home.
[27:20.380 --> 27:23.020]  You're not supposed to to sell it. Right.
[27:23.860 --> 27:25.820]  But there's dispensaries.
[27:25.820 --> 27:28.780]  They don't. Well, they're called social clubs. But
[27:30.540 --> 27:34.140]  they they you know, there's kind of a gray area here.
[27:34.140 --> 27:37.340]  They don't say where they get the canvas from.
[27:38.780 --> 27:41.220]  But you can go there and buy it and smoke it.
[27:41.220 --> 27:45.660]  So the deal is you have to register there to, you know,
[27:45.660 --> 27:48.740]  give me your DNI or your you know, your ID.
[27:49.140 --> 27:54.540]  So they don't use that for anything else.
[27:54.540 --> 27:57.020]  It's only to prove this.
[27:57.020 --> 28:00.260]  It's only relegated just for that.
[28:00.780 --> 28:05.020]  And in America, it's like no way in hell you would ever fucking believe that in your life.
[28:05.020 --> 28:08.100]  No, it just doesn't happen.
[28:08.100 --> 28:09.900]  But here it actually does.
[28:09.900 --> 28:11.900]  It does. Yeah.
[28:12.460 --> 28:15.260]  Yeah. So that's reassuring, actually.
[28:15.900 --> 28:19.940]  It would be that'd be a nice feeling because, you know, again, there's
[28:19.940 --> 28:24.300]  there's conflicts of interest or something in the laws.
[28:24.300 --> 28:27.660]  One that comes up frequently, you know, again, in America is like, well,
[28:27.660 --> 28:32.140]  if you have a cannabis recommendation because, again, they're not prescriptions,
[28:32.140 --> 28:33.660]  they got to be recommendations.
[28:33.660 --> 28:37.300]  Well, then you can't own a firearm legally and have it licensed.
[28:37.540 --> 28:44.260]  It's just one of those weird gray areas that, as you said, the track record is not so good.
[28:44.260 --> 28:46.420]  No, no, not at all.
[28:46.420 --> 28:49.700]  I mean, the whole firearms thing there is now.
[28:49.700 --> 28:51.700]  What is it this year?
[28:52.900 --> 28:59.380]  Six hundred in one calendar year, there's like six hundred, six hundred mass shootings in America.
[28:59.380 --> 29:02.260]  That's like that is fucking crazy.
[29:02.260 --> 29:06.260]  You know, I read that the last one was the last one was the last one.
[29:06.340 --> 29:08.260]  The last one was a Walmart.
[29:08.900 --> 29:10.580]  Yes. American press.
[29:10.580 --> 29:13.460]  And you just don't see that stuff over here.
[29:14.420 --> 29:16.900]  There's no people just don't have a bunch of guns.
[29:17.460 --> 29:20.820]  You know, if you don't have the guns, you can't shoot them.
[29:20.820 --> 29:26.420]  You know, and it seems like there's so much aggression and stuff.
[29:27.860 --> 29:33.860]  We don't have so much aggression here, you know, it's a nicer, nicer place.
[29:34.660 --> 29:37.140]  That way, it's not I'm not afraid.
[29:37.140 --> 29:38.820]  Right. And it just works.
[29:38.820 --> 29:43.300]  We were talking a little bit before we came on air about a recent trip to Mexico.
[29:43.300 --> 29:44.020]  You have been there.
[29:44.020 --> 29:49.460]  But one of the things that, you know, we all commented on while we were there is just,
[29:49.460 --> 29:52.660]  you know, the driving, the way they drive the roads, you know, it's it's, you know,
[29:52.660 --> 29:58.020]  like basically two cars wide, but you got oncoming and you got little tuk tuks and you got all this.
[29:58.020 --> 30:02.020]  But they just know as long as you just keep doing what you're doing, stay in your place.
[30:02.020 --> 30:03.140]  They cruise right by.
[30:03.140 --> 30:04.340]  They'll pull over.
[30:04.340 --> 30:05.700]  Not a middle finger.
[30:05.700 --> 30:08.580]  Not, you know, not an angry look at the window.
[30:08.580 --> 30:09.460]  It just works.
[30:10.100 --> 30:10.900]  And we all come in there.
[30:10.900 --> 30:12.900]  I'm like in America, somebody had been shot.
[30:14.340 --> 30:20.580]  No, see everybody get by there and stuff because they have a hard time sometimes, you know,
[30:20.580 --> 30:27.300]  because they have what you call the room is those landslides and landslides sometimes,
[30:27.300 --> 30:30.100]  you know, but overall they got pretty good roads there.
[30:30.820 --> 30:37.780]  Oh, they have those with those maxi pistas, the freeways, you know, the big freeways.
[30:37.780 --> 30:38.740]  Those are really good.
[30:40.340 --> 30:43.780]  And but you were on the secondary roads out there, but it's.
[30:45.540 --> 30:47.300]  Yeah, they're good.
[30:47.300 --> 30:50.820]  You got to watch it because, you know, you could run off and stuff.
[30:52.020 --> 30:55.060]  There was there was jungle, jungle on either side.
[30:55.060 --> 30:59.060]  And there was one point when we were actually going to Maya Pond where it really was.
[30:59.060 --> 31:01.060]  It was just wide enough for one and a half cars.
[31:01.620 --> 31:06.260]  But it was it was like a hedge maze, how they had to just cut the jungle road.
[31:07.220 --> 31:12.260]  Yeah, they plant, they take cut trees and then make a fence out of the trees
[31:12.260 --> 31:18.420]  that they cut and it starts growing, you know, they put it in the ground and it grows.
[31:19.140 --> 31:24.820]  Yeah, I remember in Guatemala, the guys they'd be on the it is a long time ago.
[31:25.060 --> 31:30.580]  They were on that they were on the front of the train with machetes like.
[31:34.020 --> 31:37.300]  I mean, you know how tired you get with that machete after I mean,
[31:37.300 --> 31:42.420]  you know, 20 minutes is enough to go for a long time, you know.
[31:42.420 --> 31:46.500]  And oh, man, then they have to switch sides so they do the other arm, you know.
[31:49.460 --> 31:53.860]  But man, yeah, it's a selva, selva, you know,
[31:53.860 --> 31:56.660]  you don't really understand how it goes until you're there.
[31:56.660 --> 31:59.540]  It's like selva total. Yeah.
[32:01.220 --> 32:03.220]  It was it was a beautiful place.
[32:03.220 --> 32:07.940]  We had a wonderful time and, you know, we saw nothing but good, happy people.
[32:07.940 --> 32:11.860]  So, you know, different living conditions than I've ever seen in my life.
[32:11.860 --> 32:13.700]  But again, happy people.
[32:13.700 --> 32:17.060]  So it was we enjoyed ourselves back there.
[32:17.060 --> 32:17.560]  Yeah.
[32:18.420 --> 32:23.060]  They eat the tortillas, tortillas, tortillas out there, a little thicker.
[32:23.380 --> 32:23.880]  Yeah.
[32:26.100 --> 32:27.460]  Nice corn tortillas.
[32:27.460 --> 32:31.940]  And we went to so Merida on Sunday, we wound up going there and they have,
[32:31.940 --> 32:36.740]  you know, the big town square and Sunday is a big day in all of the towns there.
[32:36.740 --> 32:37.460]  Yep.
[32:37.460 --> 32:38.500]  Marketplace.
[32:38.500 --> 32:42.180]  They had, you know, like the clown performer entertaining the kids.
[32:42.180 --> 32:44.100]  They were doing all kinds of fun stuff.
[32:44.100 --> 32:44.740]  Music.
[32:44.740 --> 32:46.980]  I was like, man, that would be fun.
[32:46.980 --> 32:49.700]  Every Sunday, just town kind of gets down like that.
[32:50.660 --> 32:56.340]  No, it's really interesting, you know, that part because what you see it,
[32:56.340 --> 33:01.300]  well, maybe more a little bit further south there, but you got the cathedrals.
[33:01.300 --> 33:03.140]  There's all the Catholics.
[33:03.140 --> 33:04.420]  They took over that area.
[33:05.060 --> 33:10.580]  And then there's all these pagan ceremonies that happen within the Catholic Church.
[33:11.140 --> 33:12.820]  It's it's really pretty cool.
[33:13.380 --> 33:13.880]  Yeah.
[33:15.540 --> 33:18.740]  So a lot of good times out there.
[33:18.820 --> 33:19.700]  A lot of good times.
[33:20.900 --> 33:21.700]  Yeah.
[33:21.700 --> 33:28.900]  So, but the cannabis, I mean, I remember, God, we used to, we had some killer cannabis back.
[33:28.900 --> 33:31.540]  I went to university there in Mexico.
[33:32.020 --> 33:32.520]  Okay.
[33:33.620 --> 33:35.780]  University Americas in Puebla.
[33:35.780 --> 33:36.980]  Actually, it's in Cholula.
[33:38.420 --> 33:44.020]  Hello, the Puebla, but Cholula is a suburb of Puebla.
[33:44.420 --> 33:50.180]  The town of Puebla or city of Puebla and southeast of Mexico city about two hours.
[33:53.780 --> 33:54.420]  Yeah.
[33:54.420 --> 34:01.940]  And we, I mean, I was there three days and bought a kilo of this killer.
[34:03.540 --> 34:04.660]  It was great.
[34:05.300 --> 34:06.900]  It was, oh man.
[34:07.460 --> 34:12.980]  And it was like 25 bucks, you know, 25 bucks was a bit of money back then, but
[34:13.460 --> 34:16.420]  you know, it'd be like about maybe, you know, 50 bucks now.
[34:17.860 --> 34:19.700]  It wasn't such a bad deal.
[34:20.260 --> 34:22.820]  And, you know, I had come rolled in paper and stuff.
[34:22.820 --> 34:25.860]  It was a newspaper about three thick and just.
[34:25.860 --> 34:26.360]  Geez.
[34:27.620 --> 34:28.120]  Yeah.
[34:28.500 --> 34:30.100]  And not pressed.
[34:30.100 --> 34:32.500]  She didn't want to get it pressed because they'd press it.
[34:32.500 --> 34:35.540]  And that, you know, those Adobe brick presses.
[34:35.540 --> 34:36.340]  No. Oh yeah.
[34:37.300 --> 34:38.820]  Infamous brick weed.
[34:38.820 --> 34:39.140]  Yeah.
[34:39.140 --> 34:41.140]  They just stuff everything in there.
[34:41.780 --> 34:43.380]  Lizards rocks, everything.
[34:45.620 --> 34:51.220]  But anyway, we would get back to, we would get the, you know, the volcanoes there's.
[34:51.860 --> 34:58.100]  There's East popo and what's your, yeah.
[34:59.300 --> 35:02.740]  But we would get the, the, the, they call it popo blue.
[35:04.260 --> 35:08.100]  And that was it would turn colors.
[35:08.180 --> 35:16.180]  It would turn purple because it was blue because it was grown at a high altitude and it got cold.
[35:16.820 --> 35:21.380]  So, but anyway, that was a really good thing to me that we got locally there.
[35:22.180 --> 35:25.460]  And we got several other really good ones.
[35:27.060 --> 35:30.500]  There was a Mishawa Khan that came and Wahaka.
[35:31.060 --> 35:32.900]  We would get regularly at school.
[35:34.340 --> 35:34.980]  Yeah.
[35:34.980 --> 35:35.460]  Yeah.
[35:35.460 --> 35:37.940]  There was really good, really good cannabis there.
[35:38.900 --> 35:41.140]  It was pretty nice.
[35:41.140 --> 35:45.060]  And then back then that was in the seventies back then.
[35:45.060 --> 35:52.420]  Nobody was shipping, seeing some media to America.
[35:52.980 --> 35:54.820]  Nobody even knew what it was.
[35:54.820 --> 35:55.140]  Right.
[35:56.020 --> 35:56.420]  Yeah.
[35:56.420 --> 36:01.380]  We had it in Mexico in the well, mid seventies.
[36:01.380 --> 36:02.100]  Yeah.
[36:02.100 --> 36:02.580]  Wow.
[36:02.580 --> 36:03.380]  Okay.
[36:03.380 --> 36:05.620]  Cause we always, we always think of it backwards.
[36:05.620 --> 36:12.100]  And, you know, when we were there, we, we got a really big 20 sack, but it did have seeds in it.
[36:12.100 --> 36:13.860]  So that was kind of exciting in itself.
[36:14.580 --> 36:15.060]  Yeah.
[36:15.060 --> 36:22.420]  Most of it had seeds in it, but the, the popo a lot of times didn't, but you couldn't count.
[36:22.420 --> 36:23.700]  Yeah.
[36:23.700 --> 36:24.100]  Yeah.
[36:24.100 --> 36:27.940]  But 20% didn't have seeds, seeds in me.
[36:29.220 --> 36:29.620]  Yeah.
[36:29.620 --> 36:30.740]  Just a small portion.
[36:32.340 --> 36:32.580]  Yeah.
[36:32.580 --> 36:33.060]  Yeah.
[36:33.060 --> 36:34.580]  Well, those were good days.
[36:34.580 --> 36:37.380]  It was always a good sativa buzz.
[36:38.100 --> 36:41.460]  And then we could get the Acapulco cannabis too.
[36:42.580 --> 36:45.780]  We didn't get tons of that at where I was at.
[36:46.820 --> 36:50.740]  And then I went, you know, I mean, that was in the seventies and I've been back at, you know,
[36:52.100 --> 36:53.060]  numerous times.
[36:53.700 --> 36:58.180]  And then, God, this one, Oh man.
[36:59.140 --> 37:00.900]  Some crazy people I met.
[37:00.900 --> 37:01.460]  Oh, I know.
[37:01.780 --> 37:03.220]  Oh geez.
[37:03.220 --> 37:08.260]  Oh, this one guy, I know Ed, Ed, he just got out of jail.
[37:08.260 --> 37:10.260]  He just got out of jail.
[37:10.260 --> 37:13.540]  And soon as, I mean, he's, he's off probation.
[37:13.540 --> 37:17.700]  Soon as he can get across the border, he's out working again.
[37:17.700 --> 37:18.020]  Right.
[37:19.220 --> 37:20.500]  He's really a nice guy.
[37:20.500 --> 37:24.580]  One of those guys that you just, he's fun to hang around and you always kind of like
[37:24.580 --> 37:26.420]  draws attention and stuff.
[37:26.500 --> 37:30.420]  Well, he could, his, his job was to like score dope.
[37:30.420 --> 37:36.340]  And he was like, and so, so he left, I remember he came over to visit and then he left and he
[37:36.340 --> 37:42.660]  came back about a month later and the fucker comes back and he's got like the whole car
[37:42.660 --> 37:45.540]  full of dope and they're all in his 20 liter.
[37:45.540 --> 37:47.300]  Well, they're five gallon containers.
[37:47.300 --> 37:47.540]  Right.
[37:48.180 --> 37:52.180]  And he's got like about, I don't know, the whole car was full of them.
[37:52.180 --> 37:52.660]  Yeah.
[37:52.740 --> 37:58.180]  And then, oh man, but he'd been all over the place up and down the coast.
[37:58.180 --> 37:58.420]  Yeah.
[37:58.420 --> 38:02.500]  And he just was one of those guys that just, well, usually he was pretty lucky.
[38:03.700 --> 38:07.140]  But his whole house, you can smell it about a block away.
[38:12.660 --> 38:18.420]  Now back then, you know, I mean, little towns, it's, I don't know.
[38:18.500 --> 38:23.940]  You, if you didn't want to have troubles, you didn't have troubles, you know, I mean,
[38:23.940 --> 38:26.020]  you could work things out so you have no trouble.
[38:26.660 --> 38:26.820]  Yeah.
[38:26.820 --> 38:28.260]  And now it's a bit different.
[38:28.260 --> 38:32.420]  It seems like everybody kind of is got their nose in your business.
[38:33.060 --> 38:33.300]  Yeah.
[38:34.260 --> 38:35.220]  It's more expensive.
[38:37.220 --> 38:39.140]  But yeah, yeah.
[38:39.140 --> 38:39.780]  Mexico.
[38:42.580 --> 38:42.980]  Anyway.
[38:43.700 --> 38:45.940]  Oh gosh.
[38:45.940 --> 38:46.180]  Yeah.
[38:46.180 --> 38:49.300]  It's just kind of drifting off there thinking about Mexico.
[38:49.300 --> 38:50.980]  Haven't been there for a while.
[38:50.980 --> 38:59.540]  Actually, I was there, you know, well, Vicente Fox, Vicente Fox, he was the president from
[38:59.540 --> 39:02.580]  2000 to 2006 of Mexico.
[39:02.580 --> 39:09.540]  He was a member of the party, not the, not the PRI, and which was a big upset.
[39:10.260 --> 39:17.700]  But anyway, he's down in Guanajuato or Guanajuato state.
[39:18.500 --> 39:21.060]  And yeah, I know him.
[39:21.060 --> 39:24.660]  He wrote the forward to that one book, the cannabis.
[39:26.740 --> 39:29.540]  Yeah, he's an interesting guy.
[39:29.540 --> 39:30.500]  Interesting guy.
[39:30.500 --> 39:30.980]  Yeah, yeah.
[39:31.620 --> 39:35.220]  That would be, you know, an interesting person just to even converse with.
[39:35.220 --> 39:42.260]  I mean, the president of a nation is multifaceted, probably rather intelligent and can probably
[39:42.260 --> 39:49.140]  offer some, you know, insight even without having technical prowess in gardening.
[39:49.140 --> 39:50.420]  That's an assumption, but.
[39:50.420 --> 39:54.500]  Yeah, actually, he's got a big farm there or ranch there.
[39:54.500 --> 39:55.380]  What they call it?
[39:55.380 --> 39:57.620]  Everybody has a rancho grande.
[39:58.020 --> 39:59.780]  Rancho grande.
[40:01.620 --> 40:07.940]  But anyway, yeah, he's married to, to, oh, what was it?
[40:07.940 --> 40:12.500]  Like a land aristocracy heir of a woman.
[40:12.500 --> 40:19.140]  They're mega rich in Guanajuato state.
[40:20.180 --> 40:26.100]  And yeah, he used to be the president of Coca-Cola.
[40:28.260 --> 40:33.860]  In Mexico, but he's got, you know, political connections.
[40:33.860 --> 40:36.020]  It's, it's, it's pretty amazing.
[40:36.660 --> 40:41.700]  All of the, all of the connections, but, you know, I have to say Mexico, and if there's
[40:41.700 --> 40:49.060]  Mexican guys listening to this, I'm sure they'll chime in, but, or Latinos, man, Mexico is just
[40:49.060 --> 40:53.140]  rough, you know, it's really rough to make things go.
[40:53.380 --> 40:58.260]  And it's hard.
[40:58.260 --> 41:01.700]  It's been, it's been legal, the cannabis, they want it legal.
[41:01.700 --> 41:03.220]  It was a human rights issue.
[41:04.100 --> 41:10.580]  And, you know, like my buddy, like, for example, Julio Sunil, Julio that has Canemo, Canemo,
[41:10.580 --> 41:16.980]  the magazine, Canemo, hemp magazine in, in Mexico City.
[41:16.980 --> 41:18.260]  I think he's in Mexico City.
[41:18.260 --> 41:18.900]  Yeah.
[41:18.900 --> 41:20.580]  Anyway, he, yeah, it is.
[41:21.300 --> 41:29.460]  He's, he's barely eking out a living, you know, it's hard to make everything work there.
[41:30.580 --> 41:32.740]  They haven't set up any markets.
[41:32.740 --> 41:34.260]  It's not totally legal.
[41:35.220 --> 41:36.660]  They don't have the rules set.
[41:37.860 --> 41:46.660]  A lot of people have invested, but politicians are still jockeying around to get control
[41:46.660 --> 41:47.620]  of stuff.
[41:47.620 --> 41:48.500]  So I don't know.
[41:48.900 --> 41:50.020]  It's really hard.
[41:50.020 --> 41:57.300]  And then each, each state is different, you know, the folks, he, he like, he's like the
[41:57.300 --> 41:58.820]  guy they see in Guanajuato.
[41:59.780 --> 42:06.340]  But you go, you go say, well, Durango, now that's, see, and then there's a bunch of mafia
[42:06.340 --> 42:07.460]  influence there too.
[42:08.180 --> 42:13.300]  You got like, you know, and they just, they're just, it's just a fact of life.
[42:13.300 --> 42:14.260]  That's the way it is.
[42:14.980 --> 42:16.980]  So there's, there's a lot of factors there.
[42:16.980 --> 42:17.620]  So I don't know.
[42:17.620 --> 42:23.780]  I mean, I, I hope they get things going, but for small growers, it's pretty hard for a
[42:23.780 --> 42:24.500]  lot of guys.
[42:25.060 --> 42:27.860]  There's good associations, man.
[42:27.860 --> 42:34.260]  There's some really good friends there, you know, small guys, but as far as being a country
[42:34.260 --> 42:36.020]  that produces a lot, I don't know.
[42:37.060 --> 42:41.540]  And same other places with the Sudamerica, Latin America too.
[42:42.340 --> 42:48.580]  They just, the politics are so difficult internally that it's hard for them to get organized.
[42:49.460 --> 42:49.860]  It is.
[42:49.860 --> 42:54.260]  And I see, you know, again, just kind of based off of the climate, the amount of sun that
[42:54.260 --> 43:00.180]  they get that, you know, that, that two, 300 acre project might be what it is, but it's
[43:00.180 --> 43:05.940]  not going to be like consumer grade flower that you put on the shelf.
[43:05.940 --> 43:09.540]  It's more than likely going to be extracted for its cannabinoid content.
[43:09.540 --> 43:11.140]  That, that's kind of what I picture there.
[43:11.860 --> 43:12.420]  Yeah.
[43:12.420 --> 43:13.300]  A lot of it is.
[43:13.300 --> 43:17.380]  Well, see, one of the biggest problems is the politics and the international borders,
[43:18.020 --> 43:21.460]  because, you know, they have to have a domestic market.
[43:22.100 --> 43:28.980]  I think, like Mexico, they got a hundred and about 120,000, 120 million Mexicans, I think.
[43:30.740 --> 43:34.580]  So, you know, they, they, they have a local market.
[43:34.580 --> 43:36.340]  Everybody wants to export it, right?
[43:36.900 --> 43:38.340]  Well, who's going to export it?
[43:38.340 --> 43:42.900]  Because most of those countries that can, you know, would buy it, they can also grow it.
[43:43.460 --> 43:46.180]  And Germany, everybody look at Germany over here.
[43:48.020 --> 43:53.300]  And Germany, they've got all of the means to, to, to grow all the cannabis they need.
[43:53.860 --> 43:56.900]  And they're a huge agricultural country too.
[43:57.540 --> 44:01.780]  I don't know so many people if you realize that, but it's a very, very big.
[44:02.420 --> 44:04.100]  Agriculture is real big in Germany.
[44:04.820 --> 44:08.180]  So I just don't know where all those guys are going to go.
[44:09.700 --> 44:12.340]  They can overproduce and we'll see.
[44:12.340 --> 44:12.820]  Right.
[44:12.820 --> 44:16.500]  Thailand, you know, Thailand's kind of a new, a new game right now.
[44:16.500 --> 44:18.820]  They, they kind of opened it up like Colorado did.
[44:18.820 --> 44:21.620]  They just said, okay, everything's, everything's good.
[44:22.340 --> 44:31.780]  Well, in Thailand, there's, there's quite a movement to, to scale back or stop the recreational
[44:31.780 --> 44:38.900]  part, but scale back there's a movement right now in the, in the, the government within
[44:39.700 --> 44:44.500]  one of the houses or both the houses of government, the conservative guys,
[44:45.060 --> 44:46.580]  which is kind of a backlash.
[44:46.580 --> 44:48.980]  You kind of expect that kind of stuff.
[44:50.660 --> 44:53.220]  So we'll see what happens there.
[44:53.220 --> 44:55.220]  Cause it's just gone hog wild.
[44:55.220 --> 45:00.180]  And, and, you know, I don't know if those guys realize it, but once you let the cat out of the
[45:00.180 --> 45:09.140]  bag, there are so many seeds in such an attitude change that it's really expensive to get people to
[45:09.140 --> 45:09.640]  quit.
[45:10.180 --> 45:15.300]  You know, you gotta, you gotta have a lot of police action and that's expensive.
[45:16.020 --> 45:17.220]  And then, oh yeah.
[45:17.220 --> 45:19.620]  Public, public relations campaign.
[45:19.620 --> 45:22.020]  And then you have to lie to everybody.
[45:22.020 --> 45:22.660]  It's horrible.
[45:23.780 --> 45:28.020]  And, and, and, you know, we, we've seen that happen here when they try to scale back or,
[45:28.020 --> 45:34.260]  you know, the, the, or stop it, the, the war on drugs, which I think we all agree is abject
[45:34.260 --> 45:34.760]  failure.
[45:36.180 --> 45:37.780]  It's a bad approach to it.
[45:39.540 --> 45:44.260]  And yeah, so that's, you know, again, Netherlands it's, and it sounds like Spain too.
[45:44.260 --> 45:49.380]  It's like, we're going to focus on drugs that are lethal ones that cause more crime.
[45:49.940 --> 45:54.500]  We'll give you a little bit of freedom to do what you want, but on the mass scale where we're not
[45:54.500 --> 45:58.260]  there yet and, and Netherlands is going backwards, actually.
[45:58.260 --> 46:04.260]  Well, yeah, they are, but see, there was all that drug tourism and they got really conservative.
[46:04.260 --> 46:10.020]  That guy, oh, what's his, Velders, Velders.
[46:10.020 --> 46:14.900]  He, he was a big leader of the conservative party.
[46:14.900 --> 46:21.700]  And then now they've got the conservative government for some time, also in Amsterdam too.
[46:21.780 --> 46:27.140]  And so they've just gone backwards and see in Spain, all like most of those guys moved down
[46:27.140 --> 46:29.620]  here because the weather's way better.
[46:29.620 --> 46:33.540]  And, but now there's a bit, a lot of growing and stuff going on here.
[46:33.540 --> 46:42.420]  In fact, I just saw this, it was just as the Guardia Civil, Saint Patron de Helena's, this was,
[46:44.020 --> 46:46.980]  this was all popped on, this happened.
[46:51.860 --> 47:01.940]  They found 50 tons of cannabis around Valencia.
[47:04.660 --> 47:07.060]  That's like a hundred thousand pounds people.
[47:08.100 --> 47:09.300]  Quite the report.
[47:09.300 --> 47:09.700]  Yeah.
[47:09.700 --> 47:10.660]  Quite the report.
[47:11.780 --> 47:17.220]  Oh, hopefully they, hopefully they do the classic move where they just put it in a field and then
[47:17.220 --> 47:20.500]  burn it and wonder why everybody around is so giggly afterwards.
[47:21.460 --> 47:21.860]  Right.
[47:22.980 --> 47:23.700]  Right.
[47:23.700 --> 47:24.020]  Yeah.
[47:24.020 --> 47:29.700]  But it's, they've been having really big arrests here.
[47:29.700 --> 47:33.860]  And then there was one right after that, another one for 32.
[47:35.860 --> 47:36.100]  Yeah.
[47:36.900 --> 47:37.460]  32.
[47:39.780 --> 47:40.980]  This is the other one.
[47:40.980 --> 47:41.780]  Yeah.
[47:41.780 --> 47:50.180]  And this is a, well, yeah, but the 32, the thing is with the 32 tons,
[47:50.660 --> 47:56.420]  that was all CBD and they were making fun of the cops.
[47:56.420 --> 47:59.860]  They said, you confiscated all of this, you're in big trouble.
[48:01.220 --> 48:02.420]  Ooh, wow.
[48:03.620 --> 48:04.180]  Yeah.
[48:04.180 --> 48:05.700]  Little overzealous there.
[48:06.340 --> 48:07.060]  Yeah.
[48:07.060 --> 48:07.460]  Gosh.
[48:08.340 --> 48:14.180]  That's like the cop here in front of the table with, you know, like the ounce laid out,
[48:14.180 --> 48:16.820]  the $20 bills in front of it, just smiling.
[48:17.540 --> 48:17.860]  Oops.
[48:17.860 --> 48:18.100]  Yeah.
[48:18.100 --> 48:19.460]  They do that here all the time.
[48:20.100 --> 48:22.100]  But yeah, yeah.
[48:22.100 --> 48:27.380]  But the place to be really, I mean, United States is really a good place to be for cultivation now.
[48:28.340 --> 48:29.780]  Everything's going on there.
[48:30.980 --> 48:32.500]  It's what is it?
[48:33.060 --> 48:38.740]  More than 90, 95% of all the legal cannabis in the world is sold in the United States now.
[48:40.900 --> 48:41.060]  Yeah.
[48:41.060 --> 48:41.380]  Yeah.
[48:44.420 --> 48:44.660]  Yeah.
[48:44.660 --> 48:48.900]  I wish we could improve, you know, on the quality that'll, I think, come with time.
[48:49.860 --> 48:55.220]  My thought is if it does go federally legal, then that's going to be an open market where
[48:55.220 --> 48:57.140]  Kraft is going to be able to get in there.
[48:57.140 --> 49:02.260]  You're never going to compete on volume or price, but if you have something that's good,
[49:02.260 --> 49:05.780]  consumers are willing to pay for top shelf things at times.
[49:05.780 --> 49:07.540]  So yeah, they will.
[49:07.540 --> 49:13.860]  And I think if we continue to promote small home growers, I'd like to see a lot of, you know,
[49:13.860 --> 49:18.740]  like backyard tomatoes are better than the ones you buy down at the fruit stand.
[49:19.620 --> 49:24.020]  You know, you can let them ripen on the vine and pick it at the right time.
[49:24.020 --> 49:28.740]  Or the corn, it's got all the sugar in the kernel rather than starch because you pick it really
[49:28.740 --> 49:29.220]  quickly.
[49:29.940 --> 49:35.140]  You know, you pick it and cook it at that time and that keeps it from converting to starch.
[49:35.140 --> 49:37.780]  So there's all these really important things.
