[00:28.410 --> 00:31.650]  How's it going, everybody?
[32:46.940 --> 32:47.940]  Yes.
[32:48.940 --> 32:49.940]  Yeah, they're all going up right now.
[32:50.940 --> 32:52.940]  Again? On Sunday?
[32:53.620 --> 32:55.620]  What is Canopy doing?
[32:56.620 --> 32:58.620]  I know Canopy went up like 50%.
[32:59.620 --> 33:00.620]  I don't know what the hell is going on there.
[33:02.620 --> 33:03.620]  Yeah, they're at 40%.
[33:04.620 --> 33:06.620]  You know, I mean, I think last year they were at, what, 60?
[33:07.620 --> 33:09.620]  55 February 10th and they're at 40 now.
[33:10.620 --> 33:11.620]  So that's not that great.
[33:12.620 --> 33:14.620]  But, you know, over the long haul,
[33:15.620 --> 33:19.620]  over the last year, they were really low and now they've bounced up.
[33:20.620 --> 33:22.620]  You know, we're seeing that a lot with cannabis stocks, with Bitcoin.
[33:23.620 --> 33:24.620]  You guys work with Bitcoin at all?
[33:26.620 --> 33:27.620]  Not sure.
[33:28.620 --> 33:29.620]  Maybe on the website, but...
[33:30.620 --> 33:31.620]  Yeah, I don't think we have Bitcoin payment on the website.
[33:32.620 --> 33:33.620]  I don't remember that.
[33:34.620 --> 33:35.620]  We need to ask Heiko that.
[33:36.620 --> 33:39.620]  He's our chief on that point.
[33:40.620 --> 33:41.620]  Bitcoin chief.
[33:44.620 --> 33:45.620]  Yeah.
[33:46.620 --> 33:47.620]  Yeah, it's wild with Bitcoin.
[33:48.620 --> 33:50.620]  Now Tesla, they're taking on Bitcoin and they're going to offer it to
[33:51.300 --> 33:53.300]  their customers to pay for Tesla's in Bitcoin.
[33:54.300 --> 33:56.300]  And, you know, I don't see Bitcoin going down anytime soon.
[33:57.300 --> 33:58.300]  It's just going to keep going up the way it looks.
[33:59.300 --> 34:01.300]  Yeah, it seems to be the hype lately.
[34:02.300 --> 34:03.300]  How high is it going to go?
[34:04.300 --> 34:05.300]  A million eventually.
[34:06.300 --> 34:07.300]  Is that what they're saying?
[34:08.300 --> 34:09.300]  You hear things from different people.
[34:10.300 --> 34:14.300]  But yeah, I think that within 10 years, you hear people saying it could be a million dollars.
[34:15.300 --> 34:17.300]  I heard within five years, $250,000.
[34:17.980 --> 34:20.980]  It's, you know, I think it wouldn't be a bad investment.
[34:21.980 --> 34:23.980]  I'm waiting for it to go down below $20,000 before I buy more.
[34:24.980 --> 34:25.980]  I'm hoping that that happens.
[34:26.980 --> 34:27.980]  I doubt it will, but...
[34:28.980 --> 34:29.980]  Yeah, that's going to take a while.
[34:30.980 --> 34:31.980]  Yeah.
[34:32.980 --> 34:33.980]  Well, we got Elon Musk who just put $1.5 billion.
[34:34.980 --> 34:35.980]  And so he doesn't want it to go down to that level.
[34:36.980 --> 34:37.980]  He lost half of his investment.
[34:38.980 --> 34:39.980]  I follow him a bit, you know, and he likes pushing stuff around.
[34:40.980 --> 34:41.980]  So he's playing with people.
[34:42.980 --> 34:43.980]  Is it his money or Tesla's money?
[34:44.980 --> 34:45.980]  Yeah, it's Tesla's money.
[34:46.660 --> 34:47.660]  He's manipulating the market with his company's money.
[34:48.660 --> 34:49.660]  It's great.
[34:50.660 --> 34:53.660]  Yeah, but I read something that US government is going to change some law about that.
[34:54.660 --> 34:58.660]  Because too many big companies are investing billions in crypto money and they're not too happy about it.
[34:59.660 --> 35:01.660]  So that's probably not going to last too long either.
[35:02.660 --> 35:05.660]  Well, with banks looking at crypto too, I mean, I think crypto is the future.
[35:06.660 --> 35:07.660]  There's definitely future in crypto.
[35:08.660 --> 35:09.660]  It's not going away.
[35:10.660 --> 35:12.660]  No, it just won't be so easy to get it.
[35:13.660 --> 35:14.660]  Right.
[35:15.340 --> 35:16.340]  So Musk should be in jail.
[35:17.340 --> 35:18.340]  We have comments here.
[35:19.340 --> 35:20.340]  Someone says Musk should be in jail.
[35:21.340 --> 35:22.340]  I don't think so.
[35:23.340 --> 35:24.340]  Why is that?
[35:25.340 --> 35:26.340]  Why should he be in jail?
[35:27.340 --> 35:28.340]  Yeah, because he's successful, right?
[35:29.340 --> 35:30.340]  I don't know.
[35:30.340 --> 35:32.340]  Look, you know, he's a great entrepreneur doing crazy stuff, building tunnels and shooting rockets to the moon.
[35:33.340 --> 35:34.340]  And, you know, I don't know.
[35:35.340 --> 35:38.340]  But yeah, who knows, man?
[35:39.340 --> 35:40.340]  We're just simple marijuana growers, you know?
[35:41.340 --> 35:42.340]  Yeah.
[35:43.020 --> 35:45.020]  Hey, I'm with Soma buying gold bars, you know?
[35:46.020 --> 35:48.020]  So is he still in the gold, Soma?
[35:49.020 --> 35:50.020]  I'm sure he's still in the gold and the silver.
[35:51.020 --> 35:53.020]  He's been preaching that for ever since I've known him.
[35:54.020 --> 35:57.020]  And how much is the gold price now compared to 20 years ago?
[35:58.020 --> 35:59.020]  It hasn't gone up.
[36:00.020 --> 36:05.020]  Well, it's got, you know, I guess 20 years ago in 2000, it was $400 an ounce.
[36:06.020 --> 36:08.020]  And now it's like $1,800 an ounce.
[36:09.020 --> 36:10.020]  That's not a bad investment.
[36:10.700 --> 36:11.700]  So I think $1,200, right?
[36:12.700 --> 36:14.700]  $1,200 more in 20 years?
[36:15.700 --> 36:16.700]  Yeah.
[36:17.700 --> 36:18.700]  Four times?
[36:19.700 --> 36:20.700]  $80 a year.
[36:21.700 --> 36:22.700]  Yeah.
[36:22.700 --> 36:23.700]  I mean, as a long-term investment, it's not a bad thing.
[36:24.700 --> 36:25.700]  Like silver jumps up and down so much.
[36:26.700 --> 36:27.700]  Silver, I think, is undervalued.
[36:28.700 --> 36:29.700]  So eventually silver is supposed to go up.
[36:30.700 --> 36:35.700]  So I think silver is a real interesting investment, you know, but that silver, you know, goes up and down.
[36:36.700 --> 36:37.700]  So you can buy it at $12 and sell it at $30.
[36:38.380 --> 36:39.380]  You know, Soma's all up on that stuff.
[36:40.380 --> 36:43.380]  I guarantee you, we'll get him on the show one of these days to talk about silver and gold.
[36:44.380 --> 36:48.380]  And just quickly, James is not offering professional investment advice.
[36:49.380 --> 36:50.380]  Not at all.
[36:51.380 --> 36:52.380]  Not at all.
[36:53.380 --> 36:54.380]  Yeah, my investments are never that great.
[36:55.380 --> 37:02.380]  So investments in seeds, you know, I got a, we got seeds, we got gelato autos available on the website today.
[37:03.380 --> 37:04.380]  I got a little show and tell stuff too.
[37:05.380 --> 37:06.380]  We got some pollen.
[37:07.060 --> 37:09.060]  This is a great way to preserve your pollen, guys.
[37:10.060 --> 37:16.060]  With your whole plants after you've pollinated them, if you're trying to preserve them for the future, you can separate it.
[37:17.060 --> 37:21.060]  Or like if you're lazy like me, sometimes you can just put them in a jar like this and you can sift it out.
[37:22.060 --> 37:27.060]  You can actually get pollen bags that you use for the bubble bags and shake them right over your plants.
[37:28.060 --> 37:29.060]  It works great.
[37:30.060 --> 37:31.060]  How long will you keep your pollen in that jar?
[37:32.060 --> 37:35.060]  Oh, my pollen, this will be here for maybe a month.
[37:35.740 --> 37:37.740]  How long will it stay kind of fertile enough?
[37:38.740 --> 37:47.740]  If you use desiccant packs and you keep them in the fridge or you keep it cooler, it'll last, you know, it'll start within three months.
[37:48.740 --> 37:49.740]  It's not going to be as good within six months.
[37:50.740 --> 37:51.740]  You got to throw it away.
[37:52.740 --> 37:53.740]  Yeah.
[37:54.740 --> 37:56.740]  You know, and I mean, there are people that preserve pollen, you know, in the freezer.
[37:57.740 --> 38:01.740]  You can, you know, here's an example of some really, you know, this is pollen that I haven't mixed with any flour.
[38:02.420 --> 38:04.420]  This is right here.
[38:05.420 --> 38:08.420]  We've got creme rosé dosie times gelato 41.
[38:09.420 --> 38:13.420]  And this, this I haven't mixed.
[38:14.420 --> 38:20.420]  I typically mix it with and then put desiccants and put them either freeze or in the refrigerator, depending on how soon I'm using it.
[38:21.420 --> 38:22.420]  But how do you guys preserve your pollen?
[38:23.420 --> 38:25.420]  Or how long do you preserve it for?
[38:26.420 --> 38:28.420]  Like the fresh metal, but most of the time we use it directly.
[38:29.420 --> 38:30.420]  Yeah.
[38:31.100 --> 38:33.100]  You know, so we don't preserve a lot.
[38:34.100 --> 38:37.100]  We've got the males on side or we spray the females.
[38:38.100 --> 38:39.100]  Yeah.
[38:40.100 --> 38:41.100]  Yeah, I do.
[38:42.100 --> 38:46.100]  We also work with like a lot of varieties, you know, like 60 to 100.
[38:47.100 --> 38:50.100]  So you want to more hit quickly and move on.
[38:51.100 --> 38:52.100]  Right.
[38:53.100 --> 38:56.100]  You know, you don't need too many different males going around.
[38:57.100 --> 38:58.100]  Yeah.
[38:59.100 --> 39:00.100]  Cross pollination is a bad thing when you're making seeds.
[39:01.100 --> 39:02.100]  But what, yeah.
[39:03.100 --> 39:09.100]  So like what I try to do is I try to use a redundancy because sometimes some of the newer varieties I'm working with, I don't know how they're going to respond.
[39:10.100 --> 39:14.100]  So I try to collect pollen in advance so I can apply it if necessary.
[39:15.100 --> 39:23.100]  I just, I've had some interesting issues coming up, you know, in the past I've had problems with pollinating plants where it didn't reverse that well and I had to dry it out.
[39:24.100 --> 39:25.100]  And then my, my yields on my seeds weren't that good.
[39:26.100 --> 39:27.100]  So, but now I'm using a nano silver.
[39:27.780 --> 39:36.780]  I don't know if you guys have switched over to nano silver or using nano silver, but one of my friends recipes, it works great and it reverses almost every plant.
[39:37.780 --> 39:41.780]  Like even Blue Dream, which has been difficult, was something that easily reversed with it.
[39:42.780 --> 39:44.780]  So you guys still use STS or?
[39:45.780 --> 39:46.780]  Yeah.
[39:47.780 --> 39:48.780]  No.
[39:48.780 --> 39:50.780]  I haven't heard about that nano silver yet.
[39:51.780 --> 39:52.780]  We'll try it out.
[39:53.780 --> 39:56.780]  It's always nice to hear from friends some new stuff, you know, we can fool around with.
[39:57.780 --> 39:58.780]  Well, the nice thing with nano silver is the plant health.
[39:59.780 --> 40:03.780]  So, you know, with STS, the more you spray it, the worse the plant looks.
[40:04.780 --> 40:09.780]  And with nano silver, it's like colloidal silver in the same sense where your plant stays super healthy the whole time.
[40:10.780 --> 40:16.780]  So I got a question off the top of my head, but who created, who was the first person to figure out how to do feminized seeds?
[40:17.780 --> 40:18.780]  I think there's a lot.
[40:19.780 --> 40:20.780]  I've heard Hank was the one.
[40:21.780 --> 40:25.780]  Oh man, he came out of the normal agriculture industry in Holland way in the, I don't know, in the fifties, sixties.
[40:26.460 --> 40:27.460]  Oh wow.
[40:28.460 --> 40:29.460]  No, it's a very, you can look it up.
[40:30.460 --> 40:39.460]  It's coming out of the normal, look, science in Holland on, on, yeah, still 60 to 70% of all world seeds come from the north of Holland.
[40:40.460 --> 40:47.460]  Where it's like 15 huge companies that make all kinds of seeds with amazing machines.
[40:48.140 --> 40:59.140]  And yeah, they have the, of course they have the, the University of Wageningen, which is one of the most advanced agriculture universities in the world that supplies all those people.
[41:00.140 --> 41:05.140]  I think even right now, because we were talking about hiring more people, but really professionals.
[41:06.140 --> 41:14.140]  And then they said there's 1200 open jobs in that area that they cannot fill in because they're so specific, you know?
[41:14.820 --> 41:19.820]  So, yeah, that's, that's where it all originates from this whole flower industry.
[41:20.820 --> 41:22.820]  That's where basically we come from, you know?
[41:23.820 --> 41:28.820]  And then I think, I think Dutch Passion was the first to implement it.
[41:29.820 --> 41:30.820]  I'm not really sure.
[41:31.820 --> 41:35.820]  And then, yeah, we shortly after implemented and some other guys, you know, now everybody's doing it, of course.
[41:36.820 --> 41:37.820]  And in the beginning, everyone is complaining.
[41:38.820 --> 41:43.820]  Yeah, it's not, the plants are not so healthy as regular plants, which is bullshit.
[41:44.820 --> 41:45.820]  They're exactly the same.
[41:46.820 --> 41:47.820]  There's no difference, I would say.
[41:48.820 --> 41:59.820]  And now it's very common practice because, yeah, you can imagine if you live in Tokyo or in New York and you buy 10 seeds and six are males and you're growing very illegal, you know, that doesn't help a lot.
[42:00.820 --> 42:01.820]  You want to have 10 females.
[42:02.820 --> 42:05.820]  So, yeah, it's a great thing for the people.
[42:06.820 --> 42:13.820]  I think it's for the customer because many of our colleagues, breeders always said, yeah, it's not a way to go.
[42:14.820 --> 42:19.820]  But I think for the customer, it's the best they can have, you know, they always have females.
[42:20.820 --> 42:23.820]  So you get more and more for your money.
[42:24.820 --> 42:26.820]  It seems to be spreading in America also lately.
[42:27.820 --> 42:29.820]  I see more and more seed banks that are doing feminized seeds.
[42:30.820 --> 42:38.820]  Before it was kind of not hard, you know, but when you would see the top of the players, you know, all the super hype stuff, they would have mainly regular lines.
[42:39.820 --> 42:41.820]  And now I see a lot are going to feminize.
[42:42.500 --> 42:44.500]  So let's see, you know, in 5-10 years how it is in America.
[42:45.500 --> 42:48.500]  In 5 years, all those Americans all have feminized seeds.
[42:49.500 --> 42:50.500]  Agreed.
[42:51.500 --> 42:53.500]  I think it's going the same way also because the market is just opening.
[42:54.500 --> 42:56.500]  So you just have regular lines.
[42:57.500 --> 43:00.500]  We will emphasize what they all said 10 years ago about the Dutch.
[43:03.500 --> 43:07.500]  It's funny because everyone was so scared of feminized seeds in the 90s.
[43:08.500 --> 43:09.500]  Even I thought, oh man, it's going to ruin the gene pool.
[43:10.180 --> 43:14.180]  And that's just because we were told that by other people who weren't educated.
[43:15.180 --> 43:16.180]  Uneducated.
[43:17.180 --> 43:18.180]  Uneducated completely.
[43:19.180 --> 43:20.180]  And I think there was problems with hermaphrodites.
[43:21.180 --> 43:22.180]  And I think that was the big thing.
[43:23.180 --> 43:24.180]  But you have that problem whether it's regular or feminized.
[43:25.180 --> 43:26.180]  Yeah, that's a genetic problem.
[43:27.180 --> 43:28.180]  That's a genetic problem.
[43:29.180 --> 43:31.180]  That's what's in this really good genetics in America, you know.
[43:32.180 --> 43:35.180]  In most of our lands, we hardly have any hermaphrodites.
[43:35.860 --> 43:39.860]  But at the moment, these super varieties in America are so inbred and crossed and overcrossed.
[43:40.860 --> 43:41.860]  And God knows what happened to all to them.
[43:42.860 --> 43:43.860]  Then you have all these problems, you know.
[43:44.860 --> 43:51.860]  And it's the same when people accuse us of polluting an area in Africa or Asia with the strains we have.
[43:52.860 --> 43:58.860]  But we see in four generations, the local land race just outgrown the genetics we brought there.
[43:59.860 --> 44:04.860]  The European genetics have absolutely zero chance against a local land race.
[44:05.860 --> 44:06.860]  It just gets demolished.
[44:07.860 --> 44:14.860]  Yeah, I got some hate mail about you coming on the show about you going to places and bringing your genetics and ruining the gene pool.
[44:15.860 --> 44:18.860]  And I think that people need to understand that it's just not true.
[44:19.860 --> 44:23.860]  Ask them for a scientific report that backs that up, you know.
[44:24.860 --> 44:29.860]  Yeah, you would need really millions and millions of seeds and during a lot of years to do it.
[44:30.860 --> 44:31.860]  It doesn't make any sense.
[44:32.540 --> 44:34.540]  What makes sense is to help poor people.
[44:35.540 --> 44:40.540]  And here's the whole discussion, you know, also with, look, I'm not a big fan of GM food and all that kind of stuff, you know.
[44:41.540 --> 44:46.540]  But we also have to face the world like now with the pandemic, you know.
[44:47.540 --> 44:48.540]  And also we have to face the world.
[44:49.540 --> 44:50.540]  And where I'm from Africa, and Africa is going to double in size.
[44:51.540 --> 44:55.540]  And we're going on this planet, we're going from 7 to 12 billion people.
[44:56.220 --> 45:06.220]  Now we already know that our cattle is responsible for 25% of all our CO2 problems and all these things that are happening in the world.
[45:07.220 --> 45:09.220]  And we all know that this is not sustainable, you know.
[45:10.220 --> 45:11.220]  We can't eat seven days a week meat anymore.
[45:12.220 --> 45:14.220]  We're going to have to bring that back to once a week or not at all.
[45:15.220 --> 45:24.220]  And then the land that we're going to use, we have to use that for proper farming, you know, responsible farming.
[45:24.900 --> 45:27.900]  But even then, we probably don't have enough.
[45:28.900 --> 45:34.900]  So then you're going to come in a situation, okay, or we're going to let a lot of people die.
[45:35.900 --> 45:38.900]  Literally, like what happens occasionally in some parts of the world.
[45:39.900 --> 45:44.900]  Or we're going to create a super seed, which only needs 25% of the water that it needs now.
[45:45.900 --> 45:49.900]  It can be corn or can be some vegetables, God knows what.
[45:50.900 --> 45:52.900]  And it grows like six weeks faster.
[45:53.580 --> 45:58.580]  So this means we can produce 25% more so we can feed 25% more.
[45:59.580 --> 46:04.580]  You know, the thing is, this is an ethical question and everybody has to answer that question for himself.
[46:05.580 --> 46:06.580]  How are we going to solve this problem?
[46:07.580 --> 46:12.580]  Because the problem is that to control the world population is not a problem, you know.
[46:13.580 --> 46:14.580]  And is that ethical, you know.
[46:15.580 --> 46:17.580]  So I don't know.
[46:18.580 --> 46:19.580]  It's on everybody's plate now.
[46:20.580 --> 46:21.580]  You can choose.
[46:22.260 --> 46:25.260]  Yeah, and I think there's a lot of people that don't understand it fully.
[46:26.260 --> 46:33.260]  But, you know, I think glyphosate, glyphosate, they are probably a problem.
[46:34.260 --> 46:35.260]  Roundup is a problem. We know that's bad.
[46:36.260 --> 46:37.260]  Roundup is a huge problem.
[46:38.260 --> 46:40.260]  Yeah, I mean, I think we can all agree that it's a huge problem.
[46:41.260 --> 46:44.260]  And I think rounding everything up to, you know, I think even molecular breeding.
[46:45.260 --> 46:51.260]  People don't understand that molecular breeding, you know, GMO and actually breeding with data are two different things.
[46:52.260 --> 46:53.260]  That you can actually take analytics and breed.
[46:54.260 --> 46:57.260]  We don't necessarily need to breed cannabis GMO yet.
[46:58.260 --> 46:59.260]  And there may be some benefits down the road.
[47:00.260 --> 47:02.260]  But I think everything should be explored.
[47:03.260 --> 47:04.260]  And I've gotten a lot of shit for that in the past.
[47:05.260 --> 47:06.260]  But I feel like, you know, we're talking about science here.
[47:07.260 --> 47:08.260]  I think we need to explore all options.
[47:09.260 --> 47:10.260]  We need to take these things very seriously.
[47:11.260 --> 47:14.260]  And I'll get a lot of shit about the whole GMO thing.
[47:15.260 --> 47:18.260]  But it's like, I think data driven breeding is super important.
[47:18.940 --> 47:20.940]  Yeah, it's definitely on the way.
[47:21.940 --> 47:24.940]  You can see a lot of medicinal projects, you know, that are starting to think about it.
[47:25.940 --> 47:28.940]  And starting in how they could apply this to everything.
[47:29.940 --> 47:30.940]  It's definitely the future for sure.
[47:31.940 --> 47:32.940]  There's a lot of techniques popping out.
[47:33.940 --> 47:34.940]  And I'm open for discussion also.
[47:35.940 --> 47:36.940]  I'm like, I am in the base of it.
[47:37.940 --> 47:39.940]  I wouldn't eat some GMO food and stuff like this.
[47:40.940 --> 47:43.940]  And I try to eat as close from where I live, you know.
[47:44.620 --> 47:47.620]  Like try to really consume local.
[47:48.620 --> 47:51.620]  But yeah, I mean, it's gonna come.
[47:52.620 --> 47:58.620]  Don't forget, without us realizing, we already eat a lot of GM food.
[47:59.620 --> 48:00.620]  Oh, yeah.
[48:01.620 --> 48:02.620]  If you eat any GMO product.
[48:03.620 --> 48:04.620]  95% of soy beans is already GM.
[48:05.620 --> 48:06.620]  Yeah.
[48:07.620 --> 48:08.620]  If you go, and this is the other problem we have.
[48:09.620 --> 48:10.620]  If you go all the way from Japan, all the way down to Indonesia.
[48:11.620 --> 48:12.620]  And I live in Malaysia.
[48:13.300 --> 48:14.300]  Singapore and Indonesia.
[48:15.300 --> 48:16.300]  There's one big rice grain.
[48:17.300 --> 48:18.300]  Yeah.
[48:19.300 --> 48:21.300]  Because, of course, it gives more crop, you know, and blah, blah, blah.
[48:22.300 --> 48:23.300]  But here again, there you go.
[48:24.300 --> 48:30.300]  You know, if one animal or one virus comes, you kill 800 million people.
[48:31.300 --> 48:33.300]  It's like the Cavendish banana.
[48:34.300 --> 48:35.300]  What's the Cavendish?
[48:36.300 --> 48:39.300]  Well, like globally, there's kind of one banana cultivar.
[48:40.300 --> 48:41.300]  Yes.
[48:41.980 --> 48:42.980]  Yeah.
[48:43.980 --> 48:44.980]  And don't forget banana.
[48:45.980 --> 48:47.980]  You know how many times bananas save my life?
[48:48.980 --> 48:51.980]  Life is a big word because I always have cans of tuna also with me.
[48:52.980 --> 48:56.980]  But in the Bushman, wherever you are, you know, a bunch of bananas.
[48:57.980 --> 48:58.980]  You know, you can do a whole day on one banana.
[48:59.980 --> 49:01.980]  You can live with 30 bananas.
[49:02.980 --> 49:03.980]  You can live 30 days, you know.
[49:04.980 --> 49:06.980]  So it's a very important product.
[49:07.980 --> 49:08.980]  Yeah.
[49:09.660 --> 49:10.660]  But this is the whole discussion we're having.
[49:11.660 --> 49:14.660]  And people are just screaming and not realizing what they're saying, you know,
[49:15.660 --> 49:18.660]  when they talk about these land races or when we talk about power.
[49:19.660 --> 49:21.660]  Look, you know, America is the perfect country.
[49:22.660 --> 49:26.660]  Donald Trump killed the Paris environment thing, you know.
[49:27.660 --> 49:28.660]  Now Joe Biden is signing it again.
[49:29.660 --> 49:36.660]  But we all, I think, what is it, 2030 or 2050, we have to be carbon print neutral or something?
[49:37.660 --> 49:38.660]  Right.
[49:39.340 --> 49:40.340]  It's impossible.
[49:41.340 --> 49:42.340]  It's impossible.
[49:42.340 --> 49:44.340]  It's impossible where we go from 7 to 12 billion people.
[49:45.340 --> 49:48.340]  My father says it's possible that he says you have to build nuclear power.
[49:49.340 --> 49:50.340]  Yeah.
[49:51.340 --> 49:54.340]  My father is a science guy, you know, he said, he said, everybody's crazy in this world.
[49:55.340 --> 49:56.340]  You guys making it way too complicated.
[49:57.340 --> 49:58.340]  You're polluting the whole ocean with windmills.
[49:59.340 --> 50:00.340]  Just put nuclear power.
[50:01.340 --> 50:02.340]  It's the cleanest power there is.
[50:03.340 --> 50:06.340]  And if you do it safe and you don't put it on an earthquake line or with a crazy dictator,
[50:07.020 --> 50:08.020]  he says it's the safest thing.
[50:09.020 --> 50:10.020]  It solves all your problem.
[50:11.020 --> 50:13.020]  So, you know, I don't know, you know, I'm not an expert on these kind of things,
[50:14.020 --> 50:16.020]  but one person says this, the other person says that.
[50:17.020 --> 50:20.020]  But we all understand when we go from 7 to 12 billion people.
[50:21.020 --> 50:24.020]  And we are already having a problem.
[50:25.020 --> 50:26.020]  Look at this pandemic.
[50:27.020 --> 50:30.020]  And with this pandemic, we are blaming, now we're blaming the Chinese.
[50:31.020 --> 50:34.020]  But don't forget Ebola and HIV came from Africa.
[50:34.700 --> 50:37.700]  And my country here in Holland, we got all kinds of crazy stuff, you know,
[50:38.700 --> 50:39.700]  like mad cow disease.
[50:40.700 --> 50:42.700]  We have this goat thing, they call it the Q fever.
[50:43.700 --> 50:46.700]  Came in Holland from South Holland because we're one of the countries in the world
[50:47.700 --> 50:49.700]  where we put the most animals small together in stables.
[50:50.700 --> 50:52.700]  You know, this kind of factory farming, which is not good.
[50:53.700 --> 50:55.700]  So, yeah, you know, the whole world is to blame.
[50:56.700 --> 51:00.700]  It is not, it's just a way of how we evolved in the last, let's say,
[51:01.700 --> 51:02.700]  after the Second World War.
[51:03.380 --> 51:06.380]  So in the last 80 years, you know, this industrial thing.
[51:07.380 --> 51:11.380]  And if this planet will keep, want to make a profit,
[51:12.380 --> 51:16.380]  instead of becoming profit neutral, like where we kind of say,
[51:17.380 --> 51:19.380]  okay guys, you know, this is kind of the level we should be living in.
[51:20.380 --> 51:21.380]  But everybody wants more and more and more.
[51:22.380 --> 51:25.380]  That also will not help to keep this neutral carbon footprint
[51:26.380 --> 51:27.380]  in the next 20 or 40 years.
[51:28.380 --> 51:31.380]  So it's all very complicated, but we are pot growers, you know,
[51:32.060 --> 51:36.060]  and we know, I remember one old thing when I was talking to Jack Herrera,
[51:37.060 --> 51:40.060]  I don't know when that was, late 80s, early 90s.
[51:41.060 --> 51:45.060]  He said, if we put 4% of the world full of marijuana,
[51:46.060 --> 51:49.060]  which is of course technically impossible because 4% is a huge amount of hectares.
[51:50.060 --> 51:53.060]  He said, it will bring the CO2 down with 30%.
[51:54.060 --> 51:55.060]  Yeah.
[51:56.060 --> 51:57.060]  Yeah.
[51:58.060 --> 51:59.060]  You know, so.
[51:59.740 --> 52:00.740]  I mean, but these are all possibilities.
[52:01.740 --> 52:03.740]  If we get together and we plan properly,
[52:04.740 --> 52:07.740]  but it's so complicated because there's so many governments at hand,
[52:08.740 --> 52:11.740]  so many people, and we have exponential growth with people,
[52:12.740 --> 52:13.740]  and we have a limited amount of resources.
[52:14.740 --> 52:16.740]  And so eventually those resources and that's going to cross.
[52:17.740 --> 52:19.740]  And the big thing with that is human suffering.
[52:20.740 --> 52:21.740]  We're just going to see more and more suffering.
[52:22.740 --> 52:24.740]  Disease, I mean, this is, you know, the disease is,
[52:25.740 --> 52:27.740]  you know, like if we're looking at COVID,
[52:28.420 --> 52:29.420]  I mean, COVID is the reason,
[52:30.420 --> 52:32.420]  the problem is because of the population we have in the world.
[52:33.420 --> 52:34.420]  Exactly.
[52:35.420 --> 52:37.420]  And COVID is nothing because we've been talking and talking in Canada, everywhere.
[52:38.420 --> 52:40.420]  And I told my team this was going to come for years.
[52:41.420 --> 52:43.420]  And I predict you the next one will come in the next 15 years.
[52:44.420 --> 52:46.420]  And it will wipe out one on eight or one on 12.
[52:47.420 --> 52:48.420]  Yeah.
[52:48.420 --> 52:49.420]  The next one.
[52:50.420 --> 52:54.420]  And the power of nature is so strong that it will kind of put us back in our cage.
[52:55.420 --> 52:56.420]  You know, at one point,
[52:57.100 --> 52:58.100]  like it's basically doing now.
[52:59.100 --> 53:00.100]  Yeah.
[53:01.100 --> 53:04.100]  And then also here, you know, we are not united at all.
[53:05.100 --> 53:06.100]  Yeah.
[53:07.100 --> 53:08.100]  Europe does its own thing.
[53:09.100 --> 53:10.100]  And within Europe, we don't do our own thing.
[53:11.100 --> 53:12.100]  In America, every state does its own thing.
[53:13.100 --> 53:14.100]  That's a little bit like Europe.
[53:15.100 --> 53:16.100]  And then if you go to Asia, they're much more organized.
[53:17.100 --> 53:19.100]  You know, there with New Year, everybody was partying again.
[53:20.100 --> 53:22.100]  You know, so you saw Taiwan, you saw New Zealand,
[53:23.100 --> 53:26.100]  you know, 10,000, 20,000 people on the street with a bottle of champagne.
[53:27.100 --> 53:28.100]  Here it's impossible.
[53:29.100 --> 53:30.100]  They're much stricter in their lockdowns.
[53:31.100 --> 53:32.100]  They're much stricter in their testing.
[53:33.100 --> 53:34.100]  They're much stricter with everything.
[53:35.100 --> 53:36.100]  And they do it properly for four weeks.
[53:37.100 --> 53:38.100]  And everybody stays at home and we all go chill.
[53:39.100 --> 53:40.100]  And then in four weeks, it's all good.
[53:41.100 --> 53:42.100]  And we do massive testing.
[53:43.100 --> 53:44.100]  Now, what we do here in Europe, we leave all the borders open.
[53:45.100 --> 53:46.100]  Some kids go to school.
[53:47.100 --> 53:48.100]  Some kids don't go to school.
[53:49.100 --> 53:50.100]  Some people go work.
[53:51.100 --> 53:52.100]  Some people don't go to work.
[53:53.100 --> 53:54.100]  Airplanes keep flying.
[53:55.100 --> 53:56.100]  America stays open.
[53:56.780 --> 53:58.780]  We are really smart and then bring the virus back to America.
[53:59.780 --> 54:00.780]  You know what to say.
[54:01.780 --> 54:02.780]  And now we're all in a mess here.
[54:03.780 --> 54:04.780]  Yeah.
[54:05.780 --> 54:06.780]  Yeah.
[54:06.780 --> 54:07.780]  I mean, they're quarantining for a month over in China.
[54:08.780 --> 54:09.780]  You want to go to China, you have to quarantine for a full month.
[54:10.780 --> 54:11.780]  You know, and that's you don't get to leave the house.
[54:12.780 --> 54:13.780]  They actually come test you during that period.
[54:14.780 --> 54:15.780]  They'll come to the door and they come and test you.
[54:16.780 --> 54:17.780]  I was a big Dutch DJ going to Taiwan.
[54:18.780 --> 54:19.780]  And what they basically do, they give you a SIM card.
[54:20.780 --> 54:21.780]  They call you once a day.
[54:22.780 --> 54:23.780]  And they give you a SIM card.
[54:24.460 --> 54:25.460]  They call you once a day.
[54:26.460 --> 54:27.460]  And they see they track you on a SIM card.
[54:28.460 --> 54:29.460]  Wow.
[54:30.460 --> 54:31.460]  So you can't go nowhere.
[54:32.460 --> 54:33.460]  You know, it's basically like a house arrest.
