[00:00.000 --> 00:01.280]  good connectivity there, Nick.
[59:46.710 --> 59:47.790]  So it's like I don't really want to
[59:47.790 --> 59:49.590]  have like too much on the
[59:49.590 --> 59:51.230]  go. I've got a bunch of seed down.
[59:51.230 --> 59:52.510]  I got a bunch of small stuff, but
[59:52.510 --> 59:53.710]  it's like I don't have a lot of
[59:54.590 --> 59:55.510]  a lot of stuff on the go.
[59:55.510 --> 59:56.510]  I want to clones.
[59:56.590 --> 59:57.550]  Hopefully I can get a bunch more
[59:57.550 --> 59:58.550]  clones in soon.
[59:58.990 --> 01:00:00.670]  London, London,
[01:00:00.670 --> 01:00:02.270]  you look like you have the little
[01:00:02.270 --> 01:00:03.950]  shop of fucking horrors.
[01:00:04.070 --> 01:00:05.510]  It looks like the plants are going
[01:00:05.510 --> 01:00:06.510]  to eat you.
[01:00:07.070 --> 01:00:08.590]  That's how many plants you have
[01:00:09.870 --> 01:00:10.870]  overgrown.
[01:00:11.590 --> 01:00:13.390]  I love not a bad way
[01:00:14.190 --> 01:00:15.390]  in the best way ever.
[01:00:15.430 --> 01:00:16.990]  But it's like, oh, my
[01:00:16.990 --> 01:00:17.990]  God.
[01:00:19.190 --> 01:00:20.830]  I love all the varieties that
[01:00:20.830 --> 01:00:22.550]  you have, you know, like that's been
[01:00:22.550 --> 01:00:23.790]  my biggest thing.
[01:00:25.390 --> 01:00:27.070]  Just becoming, you know, loving
[01:00:27.070 --> 01:00:28.590]  the lifestyle of farming
[01:00:28.590 --> 01:00:30.110]  and gardening and plants
[01:00:30.110 --> 01:00:31.710]  is just getting the most out of
[01:00:31.710 --> 01:00:32.710]  it.
[01:00:32.710 --> 01:00:33.910]  And I love the way that you're
[01:00:33.910 --> 01:00:35.750]  talking about the plants is just
[01:00:35.750 --> 01:00:37.110]  getting the mess with all the
[01:00:37.110 --> 01:00:38.510]  varieties like,
[01:00:40.590 --> 01:00:42.350]  you know, just the simple house
[01:00:42.350 --> 01:00:44.590]  plants to the vegetables
[01:00:44.590 --> 01:00:45.590]  to the.
[01:00:46.790 --> 01:00:47.990]  No, look at Corey.
[01:00:48.630 --> 01:00:49.670]  Back it up a little bit.
[01:00:49.670 --> 01:00:50.670]  Back it up.
[01:00:50.710 --> 01:00:52.310]  Put your put your hand in front of
[01:00:52.310 --> 01:00:53.790]  the screen for a second.
[01:00:53.950 --> 01:00:55.270]  Like, hold it. So it fucks up the
[01:00:55.270 --> 01:00:56.510]  screen. Yeah. Like, put it right in
[01:00:56.510 --> 01:00:57.750]  front. Right in front. So screws it
[01:00:57.750 --> 01:00:59.550]  up. But keep the camera close.
[01:00:59.870 --> 01:01:01.270]  But keep the camera close to the
[01:01:01.270 --> 01:01:02.190]  weed.
[01:01:02.230 --> 01:01:03.230]  Yeah.
[01:01:04.430 --> 01:01:05.430]  Almost.
[01:01:05.630 --> 01:01:06.630]  Yeah.
[01:01:07.990 --> 01:01:08.990]  What is that?
[01:01:09.030 --> 01:01:10.910]  Like Nick was saying, I can't get
[01:01:10.910 --> 01:01:11.910]  it right.
[01:01:11.910 --> 01:01:12.910]  I don't know what.
[01:01:14.470 --> 01:01:15.470]  Angle with me.
[01:01:16.190 --> 01:01:17.630]  It's really pretty, man.
[01:01:17.950 --> 01:01:19.510]  Is that your indoor that you pulled
[01:01:19.510 --> 01:01:20.230]  down?
[01:01:20.230 --> 01:01:22.430]  Yeah, that's some
[01:01:24.590 --> 01:01:25.590]  dark sunset.
[01:01:28.190 --> 01:01:29.830]  Where are you located,
[01:01:29.830 --> 01:01:30.630]  T.Y. Grote?
[01:01:30.630 --> 01:01:32.750]  I am. I am available to take
[01:01:32.750 --> 01:01:34.790]  plants if you have them
[01:01:34.790 --> 01:01:35.790]  available.
[01:01:35.790 --> 01:01:37.590]  I would if you're in the Pacific,
[01:01:37.750 --> 01:01:38.710]  if you're in B.C.
[01:01:38.710 --> 01:01:40.430]  and you got some some stuff to fuck
[01:01:40.430 --> 01:01:42.310]  around with right now, I am so in the
[01:01:42.310 --> 01:01:44.750]  fucking mood and you will never,
[01:01:45.230 --> 01:01:47.030]  ever, ever hear me say
[01:01:47.030 --> 01:01:48.950]  that. OK, like it's like every time
[01:01:48.950 --> 01:01:50.430]  anybody has ever offered me plants,
[01:01:50.430 --> 01:01:52.110]  it's always been like, oh, yeah,
[01:01:52.510 --> 01:01:54.510]  you know, six months, you
[01:01:54.510 --> 01:01:56.590]  know, like, OK, maybe three
[01:01:56.590 --> 01:01:58.430]  months, you know, maybe maybe
[01:01:58.430 --> 01:02:00.150]  like, yeah, I don't know.
[01:02:00.950 --> 01:02:02.230]  You know, I got a lot of stuff I want
[01:02:02.230 --> 01:02:02.990]  to work through.
[01:02:02.990 --> 01:02:05.150]  It's like it's always is always.
[01:02:05.550 --> 01:02:06.630]  Yeah, I'm sorry.
[01:02:06.630 --> 01:02:08.590]  Yes. CT, that's probably not
[01:02:08.590 --> 01:02:09.590]  going to work.
[01:02:10.150 --> 01:02:11.430]  I want. Yeah, I want to.
[01:02:11.430 --> 01:02:12.670]  Yeah, right now I'm down.
[01:02:13.670 --> 01:02:15.750]  I wanted to offer all y'all fucking
[01:02:15.750 --> 01:02:16.910]  plans of everything.
[01:02:17.230 --> 01:02:19.150]  But like the
[01:02:19.150 --> 01:02:21.150]  fucking shit had fucking
[01:02:21.150 --> 01:02:22.990]  mites all over it because my dog is
[01:02:22.990 --> 01:02:23.990]  an asshole.
[01:02:24.270 --> 01:02:25.750]  So don't send me
[01:02:25.750 --> 01:02:27.110]  my going to me, mates.
[01:02:28.230 --> 01:02:29.390]  Yeah, I'm not going to
[01:02:30.830 --> 01:02:32.630]  basically throw that on
[01:02:32.710 --> 01:02:33.870]  every one of y'all.
[01:02:34.110 --> 01:02:35.110]  You know what I mean?
[01:02:35.950 --> 01:02:37.750]  So what I'm going to do is
[01:02:37.750 --> 01:02:39.790]  basically just make seeds this
[01:02:39.790 --> 01:02:41.710]  year and hopefully by
[01:02:41.710 --> 01:02:43.470]  the end of December have seeds
[01:02:43.470 --> 01:02:45.310]  and I'll give some seeds to each
[01:02:45.310 --> 01:02:47.430]  of y'all for free and
[01:02:47.430 --> 01:02:50.070]  then we'll sell them through FCP
[01:02:50.390 --> 01:02:52.270]  if they allow me to.
[01:02:52.430 --> 01:02:54.270]  And that's how I'll just
[01:02:54.270 --> 01:02:55.270]  work it out. But.
[01:02:57.590 --> 01:02:59.670]  Yeah, I am not going
[01:02:59.670 --> 01:03:01.510]  to be throwing fucking clones
[01:03:01.510 --> 01:03:03.390]  on people that are fucking full of
[01:03:03.390 --> 01:03:05.030]  fucking mites and shit on them.
[01:03:05.310 --> 01:03:07.350]  Like we got white flies,
[01:03:07.350 --> 01:03:08.550]  mites and like.
[01:03:10.110 --> 01:03:12.270]  It all came from the dog.
[01:03:12.950 --> 01:03:14.750]  I never had these problems
[01:03:14.750 --> 01:03:16.750]  like for like 15 fucking
[01:03:16.750 --> 01:03:18.190]  years, never had these problems.
[01:03:18.830 --> 01:03:20.430]  You got to give into it, man.
[01:03:21.030 --> 01:03:22.070]  OK, I'm going to tell you something.
[01:03:22.070 --> 01:03:23.830]  OK, yesterday
[01:03:24.390 --> 01:03:26.470]  I caught a bug with
[01:03:26.470 --> 01:03:28.470]  my hands and I opened
[01:03:28.470 --> 01:03:29.910]  it and it was a lace swing.
[01:03:29.950 --> 01:03:32.150]  OK, and these things are like five
[01:03:32.150 --> 01:03:33.350]  bucks a fucking pop.
[01:03:33.590 --> 01:03:35.230]  And for once I didn't crush the
[01:03:35.230 --> 01:03:36.750]  fucking piece of shit because it
[01:03:36.750 --> 01:03:38.710]  buzzed by my goddamn head.
[01:03:39.030 --> 01:03:40.830]  So you just got like I know it sucks
[01:03:40.830 --> 01:03:42.110]  and it's weird and your wife will
[01:03:42.110 --> 01:03:43.950]  probably like we know about it.
[01:03:43.950 --> 01:03:45.790]  But you know what happens now is
[01:03:45.790 --> 01:03:47.950]  now I don't have ants in my house
[01:03:48.030 --> 01:03:49.310]  anymore for some reason.
[01:03:49.790 --> 01:03:51.150]  You know, all the other bugs are
[01:03:51.150 --> 01:03:52.910]  gone. You know, I saw this year is
[01:03:52.910 --> 01:03:54.630]  like some of the craziest looking
[01:03:54.630 --> 01:03:56.830]  dragonflies I've ever seen,
[01:03:56.830 --> 01:03:57.990]  like all sorts of like kind of
[01:03:57.990 --> 01:03:59.990]  little ones and bigger ones, like
[01:03:59.990 --> 01:04:02.150]  all sorts of weird, weird bugs.
[01:04:02.150 --> 01:04:04.070]  And I was like because the neighbors
[01:04:04.070 --> 01:04:06.270]  sprayed poison for fucking years
[01:04:06.270 --> 01:04:07.350]  and I've been only using like
[01:04:07.350 --> 01:04:08.590]  predatory bugs and I stopped
[01:04:08.590 --> 01:04:10.070]  spraying. It's just like it's so
[01:04:10.070 --> 01:04:11.070]  nice. So it's
[01:04:12.190 --> 01:04:13.190]  like a fucking new world.
[01:04:13.230 --> 01:04:14.870]  You got to give in to the bugs and
[01:04:14.870 --> 01:04:16.270]  just live with them in you.
[01:04:16.550 --> 01:04:18.430]  Sometimes we're in the car of
[01:04:18.430 --> 01:04:20.310]  my house on my way from
[01:04:20.310 --> 01:04:21.990]  somewhere and there's a crazy
[01:04:21.990 --> 01:04:23.630]  mite like those little red fucking
[01:04:23.630 --> 01:04:25.550]  mites that eat shit like in the on
[01:04:25.550 --> 01:04:27.070]  the window, like just holding on for
[01:04:27.070 --> 01:04:28.750]  dear life on the outside of it.
[01:04:28.750 --> 01:04:30.870]  I swear to God, it totally
[01:04:30.870 --> 01:04:31.870]  happened.
[01:04:32.190 --> 01:04:33.550]  We were coming back from soccer and
[01:04:33.550 --> 01:04:34.790]  there's a fucking crazy man on
[01:04:34.790 --> 01:04:36.350]  there. You just you just you become
[01:04:36.350 --> 01:04:37.510]  one with the bugs.
[01:04:38.430 --> 01:04:39.430]  Yeah, yeah.
[01:04:39.870 --> 01:04:41.590]  I love like I love like the
[01:04:41.590 --> 01:04:43.430]  roly poly's like I'll pick
[01:04:43.430 --> 01:04:45.270]  them up off the ground and I'll
[01:04:45.270 --> 01:04:46.830]  just be like, now you're going into
[01:04:46.830 --> 01:04:47.830]  my 50 gallon.
[01:04:48.110 --> 01:04:49.790]  Like I got like four 50 gallon
[01:04:49.790 --> 01:04:51.710]  containers as we can have
[01:04:51.710 --> 01:04:53.550]  four containers
[01:04:53.630 --> 01:04:54.830]  for state
[01:04:55.750 --> 01:04:57.590]  per whatever residence
[01:04:57.590 --> 01:04:58.590]  and.
[01:04:59.670 --> 01:05:01.630]  And it's like
[01:05:01.630 --> 01:05:03.070]  fucking hilarious because
[01:05:03.430 --> 01:05:05.390]  it's just like, no, now you're going
[01:05:05.390 --> 01:05:07.030]  in here, now you're going here and
[01:05:07.030 --> 01:05:08.870]  all the little early polies just go
[01:05:08.870 --> 01:05:10.870]  in there and it's it's
[01:05:10.870 --> 01:05:11.870]  this.
[01:05:13.070 --> 01:05:14.950]  I, I don't even
[01:05:14.950 --> 01:05:16.430]  know why people pay for them.
[01:05:16.670 --> 01:05:18.350]  I kind of want to go and like
[01:05:18.350 --> 01:05:20.750]  support the other people on FCP
[01:05:20.750 --> 01:05:21.750]  that do the
[01:05:22.350 --> 01:05:23.750]  rubber ducky isopod.
[01:05:23.750 --> 01:05:25.670]  Shout out to shout out to him.
[01:05:25.830 --> 01:05:27.830]  Dude, those are so cool.
[01:05:27.830 --> 01:05:29.710]  Like the little dairy cows and
[01:05:29.710 --> 01:05:31.030]  stuff. Did you guys watch his
[01:05:31.030 --> 01:05:32.110]  episode the other day?
[01:05:32.870 --> 01:05:34.590]  You shout out and like if you're
[01:05:34.590 --> 01:05:35.870]  bored after this, go watch that
[01:05:35.870 --> 01:05:37.790]  because that was just genuine
[01:05:37.790 --> 01:05:38.990]  and really, really good.
[01:05:38.990 --> 01:05:40.870]  And they covered a lot of fun stuff.
[01:05:41.110 --> 01:05:41.950]  Yeah, they did.
[01:05:41.950 --> 01:05:43.950]  They put on a lot of great content.
[01:05:45.350 --> 01:05:47.390]  I just I want to support them,
[01:05:47.390 --> 01:05:49.390]  you know, and but I don't
[01:05:49.390 --> 01:05:51.550]  even know what to fucking select.
[01:05:51.590 --> 01:05:53.550]  Like I can meet just all
[01:05:53.590 --> 01:05:55.390]  these early polies are just rolling
[01:05:55.390 --> 01:05:56.390]  polies.
[01:05:56.390 --> 01:05:57.990]  Throw them in the damn fucking
[01:05:57.990 --> 01:05:58.990]  soil.
[01:05:59.590 --> 01:06:01.510]  Like that's the way I
[01:06:01.510 --> 01:06:03.390]  go at it. And same thing with arms
[01:06:03.390 --> 01:06:04.150]  and everything else.
[01:06:04.150 --> 01:06:06.230]  It's like, you know, let them go at
[01:06:06.230 --> 01:06:08.150]  it and and they'll do it,
[01:06:08.470 --> 01:06:09.670]  you know, and that's it.
[01:06:10.470 --> 01:06:11.470]  But
[01:06:12.790 --> 01:06:14.470]  there's there's other scientists
[01:06:14.470 --> 01:06:16.270]  that are more,
[01:06:17.790 --> 01:06:19.590]  I guess, attuned to whatever
[01:06:19.590 --> 01:06:21.470]  they they know with with
[01:06:21.470 --> 01:06:23.470]  all this stuff, because I am
[01:06:23.470 --> 01:06:25.430]  a scientist, but I'm not a scientist
[01:06:25.430 --> 01:06:26.270]  in that stuff.
[01:06:26.270 --> 01:06:28.350]  So that that doesn't really
[01:06:28.350 --> 01:06:30.350]  allow me to know
[01:06:30.350 --> 01:06:31.830]  exactly what
[01:06:32.910 --> 01:06:33.910]  their
[01:06:34.630 --> 01:06:36.910]  specific, I guess, ideas
[01:06:37.350 --> 01:06:39.510]  for what to put into
[01:06:39.510 --> 01:06:40.750]  the soil would be.
[01:06:41.670 --> 01:06:43.710]  And so I would really like,
[01:06:43.710 --> 01:06:45.230]  yeah, I'd appreciate and.
[01:06:46.670 --> 01:06:48.710]  And yeah, I'd
[01:06:48.710 --> 01:06:50.510]  really like to try and go in that
[01:06:50.510 --> 01:06:52.110]  direction and like try and talk to
[01:06:52.110 --> 01:06:54.110]  those folks and and
[01:06:54.110 --> 01:06:56.350]  talk to them about like, OK,
[01:06:56.350 --> 01:06:58.150]  do I get these isopods, these
[01:06:58.150 --> 01:07:00.350]  isopods and then try
[01:07:00.350 --> 01:07:01.590]  to do this, that and the other.
[01:07:01.590 --> 01:07:03.390]  Because we've already set up
[01:07:03.390 --> 01:07:04.750]  our horizontal soil.
[01:07:04.750 --> 01:07:06.110]  We've already gotten everything all
[01:07:06.110 --> 01:07:07.110]  set up. So
[01:07:08.710 --> 01:07:09.710]  we're just.
[01:07:12.830 --> 01:07:14.670]  We're just jamming at it with this
[01:07:14.670 --> 01:07:15.750]  whole thing now.
[01:07:17.150 --> 01:07:18.150]  So.
[01:07:19.950 --> 01:07:22.070]  I love I love all their methods,
[01:07:22.790 --> 01:07:24.390]  they're really great show and just
[01:07:24.390 --> 01:07:25.550]  genuinely good people.
[01:07:25.550 --> 01:07:26.910]  I got to have a good chat with Brian
[01:07:26.910 --> 01:07:28.430]  the other day. That's really nice.
[01:07:28.430 --> 01:07:30.470]  And I think some of those isopods,
[01:07:30.470 --> 01:07:31.630]  like Brian was saying,
[01:07:32.830 --> 01:07:34.550]  you know, they they collect them.
[01:07:34.550 --> 01:07:36.470]  They're almost pets, you know.
[01:07:38.070 --> 01:07:39.070]  And I think there's.
[01:07:40.030 --> 01:07:42.110]  The cost reflects that.
[01:07:42.110 --> 01:07:43.550]  I think there's some that you can use
[01:07:43.550 --> 01:07:45.790]  as genuine workers that are
[01:07:45.790 --> 01:07:46.910]  much lower on the.
[01:07:48.150 --> 01:07:50.510]  On the price scale, I
[01:07:50.510 --> 01:07:52.510]  thought that the dairy cows was kind
[01:07:52.510 --> 01:07:54.550]  of the way to go to just like throw
[01:07:54.550 --> 01:07:55.590]  them in there if you already got it,
[01:07:55.590 --> 01:07:57.470]  because I have a like
[01:07:57.470 --> 01:07:58.470]  a lot of isopods.
[01:07:59.630 --> 01:08:01.390]  Like they're they're they're
[01:08:01.390 --> 01:08:03.110]  problematic at times like they
[01:08:03.110 --> 01:08:04.550]  fuck they fuck stuff up.
[01:08:04.550 --> 01:08:05.670]  They like they like getting to my
[01:08:05.670 --> 01:08:07.870]  celery root and
[01:08:07.870 --> 01:08:09.950]  do all sorts of bad stuff and try
[01:08:09.950 --> 01:08:11.590]  and find holes where there's water
[01:08:11.590 --> 01:08:12.670]  and things like that.
[01:08:12.670 --> 01:08:14.350]  So it's like I get
[01:08:14.350 --> 01:08:15.990]  I hear what he's saying.
[01:08:15.990 --> 01:08:17.830]  I've never really constituted
[01:08:17.830 --> 01:08:19.710]  them as a problem for my weed,
[01:08:19.710 --> 01:08:21.230]  but they really fuck everything
[01:08:21.230 --> 01:08:22.990]  else up. So if I could like put
[01:08:22.990 --> 01:08:24.670]  another population out there that
[01:08:24.670 --> 01:08:26.750]  just continues to populate like
[01:08:26.750 --> 01:08:28.150]  the ones that I already have, but
[01:08:28.150 --> 01:08:30.070]  will eat them or something like
[01:08:30.070 --> 01:08:30.990]  I'm down with that.
[01:08:30.990 --> 01:08:32.510]  That sounds like that sounds like a
[01:08:32.510 --> 01:08:33.910]  nudge I could get behind.
[01:08:33.910 --> 01:08:34.910]  You know what I mean?
[01:08:35.910 --> 01:08:38.390]  I just try to utilize
[01:08:38.390 --> 01:08:41.670]  is top and bottom
[01:08:41.670 --> 01:08:44.310]  dwelling east
[01:08:44.310 --> 01:08:47.230]  in my IMO
[01:08:47.230 --> 01:08:49.590]  to try and help with everything.
[01:08:49.590 --> 01:08:51.550]  And I know that's not the same
[01:08:51.550 --> 01:08:53.390]  as like actual
[01:08:53.390 --> 01:08:55.270]  bugs going around moving and
[01:08:55.270 --> 01:08:56.110]  doing things.
[01:08:56.110 --> 01:08:58.310]  But I
[01:08:58.310 --> 01:09:00.190]  feel like trying to
[01:09:00.190 --> 01:09:02.350]  use two different types of yeast
[01:09:02.350 --> 01:09:04.670]  kind of like they'll they will
[01:09:04.670 --> 01:09:05.670]  kind of.
[01:09:07.990 --> 01:09:10.150]  They'll stay like kind of
[01:09:10.150 --> 01:09:12.430]  stabilize where they're at and
[01:09:12.430 --> 01:09:14.910]  like even if you make a container
[01:09:14.910 --> 01:09:16.510]  with both of them in it, they will
[01:09:16.510 --> 01:09:18.150]  still stabilize.
[01:09:18.150 --> 01:09:20.630]  And when you throw them into some
[01:09:20.630 --> 01:09:23.230]  form of like oil,
[01:09:23.230 --> 01:09:24.230]  it'll work.
[01:09:26.910 --> 01:09:29.190]  I've done this for years and
[01:09:29.190 --> 01:09:32.190]  it it does work.
[01:09:32.190 --> 01:09:34.590]  It just it's one of those things
[01:09:34.590 --> 01:09:36.950]  like you you've got to like.
[01:09:38.510 --> 01:09:41.310]  Be really careful with like
[01:09:41.310 --> 01:09:42.910]  whatever you're using to drive the
[01:09:42.910 --> 01:09:44.870]  fucking yeast like
[01:09:44.870 --> 01:09:46.990]  that, like if you like, for example,
[01:09:46.990 --> 01:09:49.310]  you're using bananas,
[01:09:49.310 --> 01:09:51.310]  you've got to be careful that like
[01:09:51.310 --> 01:09:52.790]  there's going to be a lot of potassium
[01:09:52.790 --> 01:09:55.270]  now in that liquid.
[01:09:55.270 --> 01:09:57.190]  So then you got to know,
[01:09:57.190 --> 01:09:59.270]  OK, you're throwing more potassium
[01:09:59.270 --> 01:10:00.270]  in there.
[01:10:00.550 --> 01:10:02.430]  You know, don't be using
[01:10:02.430 --> 01:10:04.830]  more potassium nutrient,
[01:10:04.830 --> 01:10:06.910]  you know, or whatever.
[01:10:06.910 --> 01:10:08.830]  And like other than
[01:10:08.830 --> 01:10:10.830]  that, it's one
[01:10:10.830 --> 01:10:13.630]  of these like it's really simple
[01:10:13.630 --> 01:10:14.670]  as shit.
[01:10:14.670 --> 01:10:15.670]  It's like.
[01:10:17.510 --> 01:10:20.110]  Let the crap just
[01:10:20.110 --> 01:10:21.790]  all just
[01:10:21.790 --> 01:10:24.230]  meld together and
[01:10:24.230 --> 01:10:25.230]  get broke.
[01:10:25.830 --> 01:10:26.830]  And
[01:10:29.070 --> 01:10:31.110]  and that's I
[01:10:31.110 --> 01:10:32.830]  hate to say it, but
[01:10:32.830 --> 01:10:34.510]  it's like, yeah, that's that's the
[01:10:34.510 --> 01:10:35.510]  way
[01:10:36.190 --> 01:10:38.190]  it ultimately
[01:10:38.190 --> 01:10:40.190]  works out is
[01:10:40.190 --> 01:10:41.190]  is that.
[01:10:43.870 --> 01:10:46.030]  Yeah, I like to use IMOs
[01:10:46.030 --> 01:10:48.030]  and stuff, you
[01:10:48.030 --> 01:10:49.350]  know, I have a few that I've been
[01:10:49.350 --> 01:10:50.350]  working with.
[01:10:51.550 --> 01:10:53.670]  I really, really like
[01:10:53.670 --> 01:10:55.950]  the the FFA.
[01:10:57.630 --> 01:11:00.110]  That's a good one, man.
[01:11:00.110 --> 01:11:02.150]  I kind of do my own like how
[01:11:03.430 --> 01:11:05.270]  you know, you guys say you
[01:11:05.270 --> 01:11:07.110]  use a little bit of fish shit,
[01:11:07.110 --> 01:11:08.110]  Corey.
[01:11:08.110 --> 01:11:10.030]  Yeah, I make well,
[01:11:10.030 --> 01:11:11.710]  I go catfish and we got a river
[01:11:11.710 --> 01:11:13.270]  nearby and
[01:11:14.270 --> 01:11:16.230]  man, well, we got this fifty five
[01:11:16.230 --> 01:11:18.870]  gallon drum and we'll put
[01:11:18.870 --> 01:11:20.710]  we'll cut the meat out that we want
[01:11:20.710 --> 01:11:22.510]  to eat and we'll catch, you know,
[01:11:22.510 --> 01:11:25.070]  probably like ten, fifteen,
[01:11:25.070 --> 01:11:26.990]  eight to twenty pounders
[01:11:26.990 --> 01:11:28.790]  on a rod, you know, we'll go out
[01:11:28.790 --> 01:11:30.670]  and fish all night.
[01:11:30.670 --> 01:11:32.910]  The last weekend of
[01:11:32.910 --> 01:11:35.590]  September every year
[01:11:35.590 --> 01:11:36.590]  and
[01:11:38.630 --> 01:11:40.670]  man, and we catch we catch the shit
[01:11:40.670 --> 01:11:41.670]  out of and
[01:11:41.990 --> 01:11:43.510]  well, I mean, not September,
[01:11:43.510 --> 01:11:45.110]  last weekend of August
[01:11:45.110 --> 01:11:46.910]  and we'll put
[01:11:46.910 --> 01:11:49.150]  them in a barrel with water
[01:11:49.150 --> 01:11:51.390]  and we'll let the water just
[01:11:51.390 --> 01:11:53.110]  melt the fish,
[01:11:53.110 --> 01:11:55.110]  you know, bones, meat and
[01:11:55.110 --> 01:11:57.030]  all and eventually maggots start
[01:11:57.030 --> 01:11:58.430]  crawling in there.
[01:11:58.430 --> 01:12:00.230]  And we met the we made a mistake
[01:12:00.230 --> 01:12:02.150]  the first year that we did it.
[01:12:03.750 --> 01:12:05.590]  We used one that was painted
[01:12:05.590 --> 01:12:07.790]  inside and the paint
[01:12:07.790 --> 01:12:09.310]  killed the maggots.
[01:12:09.310 --> 01:12:10.950]  And when we put that stuff in the
[01:12:10.950 --> 01:12:13.230]  we put that stuff on our plant,
[01:12:13.230 --> 01:12:15.190]  it killed all of our plants because
[01:12:15.190 --> 01:12:17.430]  the paint was toxic at that point.
[01:12:17.430 --> 01:12:19.710]  But man, we've
[01:12:19.710 --> 01:12:21.830]  figured from then on,
[01:12:21.830 --> 01:12:23.990]  you know, if we saw maggots crawling,
[01:12:23.990 --> 01:12:25.190]  it was good.
[01:12:25.190 --> 01:12:27.190]  And we did you have to
[01:12:27.190 --> 01:12:28.870]  hold your nose or something because
[01:12:28.870 --> 01:12:30.710]  it's the worst foul
[01:12:30.710 --> 01:12:32.910]  smelling stuff you ever
[01:12:32.910 --> 01:12:34.390]  buy. I mean, like these maggots is
[01:12:34.390 --> 01:12:37.030]  like melted the meat
[01:12:37.030 --> 01:12:39.230]  off the bones and then the bones
[01:12:39.230 --> 01:12:41.030]  have disintegrated, you know, and
[01:12:41.030 --> 01:12:43.150]  the maggots have like chewed it all
[01:12:43.150 --> 01:12:44.870]  up. And it's like this
[01:12:44.870 --> 01:12:46.830]  surfy, softy mess,
[01:12:46.830 --> 01:12:48.670]  you know, like I feel like the fish
[01:12:48.670 --> 01:12:50.510]  stuff, it stinks, you
[01:12:50.510 --> 01:12:51.750]  know what I mean? But it's still
[01:12:51.750 --> 01:12:52.670]  clean.
[01:12:52.670 --> 01:12:54.630]  Like it's really clean because
[01:12:54.630 --> 01:12:56.350]  they got to do
[01:12:56.350 --> 01:12:57.350]  that to sell it.
[01:12:57.350 --> 01:12:58.790]  A lot of it.
[01:12:58.790 --> 01:13:00.710]  Yeah. I mean, this stuff's so
[01:13:00.710 --> 01:13:02.670]  bad and don't get it on you.
[01:13:02.670 --> 01:13:03.670]  Do not get it on.
[01:13:03.670 --> 01:13:05.950]  You can't you'll smell it for a week
[01:13:05.950 --> 01:13:07.790]  and you just get you a little.
[01:13:07.790 --> 01:13:10.310]  I mean, literally a cup full
[01:13:10.310 --> 01:13:12.350]  and you'll pour it on your plant
[01:13:12.350 --> 01:13:14.110]  and you can watch the plants, they'll
[01:13:14.110 --> 01:13:15.830]  like vibrate.
[01:13:16.910 --> 01:13:18.710]  But those maggots are out there
[01:13:18.710 --> 01:13:21.150]  and within a day to
[01:13:21.150 --> 01:13:22.390]  one day.
[01:13:22.390 --> 01:13:24.390]  But man, I really
[01:13:24.390 --> 01:13:26.310]  like to mix just a little bit of
[01:13:26.310 --> 01:13:29.310]  that, like a teaspoon of that
[01:13:29.310 --> 01:13:31.350]  with my name oil or my
[01:13:31.350 --> 01:13:33.230]  cron when I do my full
[01:13:33.230 --> 01:13:35.550]  your sprays and something about
[01:13:35.550 --> 01:13:37.310]  adding like fish
[01:13:37.310 --> 01:13:39.230]  emulsion like FAA or
[01:13:39.230 --> 01:13:41.990]  something about just that microbial
[01:13:41.990 --> 01:13:43.790]  that are in fish
[01:13:43.790 --> 01:13:45.310]  is just it
[01:13:45.310 --> 01:13:47.390]  could it's
[01:13:47.390 --> 01:13:49.270]  so synergistic to your
[01:13:49.270 --> 01:13:51.350]  foliar spray that
[01:13:51.350 --> 01:13:53.350]  it just it's a game changer.
[01:13:53.350 --> 01:13:55.430]  I mean, like, you know, you're
[01:13:55.430 --> 01:13:57.550]  batting tests and fighting
[01:13:57.550 --> 01:13:59.350]  them and you're you know, you can't
[01:13:59.350 --> 01:14:01.310]  spray the same thing over and
[01:14:01.310 --> 01:14:02.390]  over and over again.
[01:14:02.390 --> 01:14:03.230]  You're going to lose.
[01:14:03.230 --> 01:14:04.830]  You got to switch it up.
[01:14:04.830 --> 01:14:06.830]  And so here I got a question
[01:14:06.830 --> 01:14:09.230]  for you, man, because I like for me
[01:14:09.230 --> 01:14:10.630]  like
[01:14:11.030 --> 01:14:13.510]  names, the antimicrobial
[01:14:13.510 --> 01:14:15.630]  right, like it kills most bacteria
[01:14:15.630 --> 01:14:16.390]  and fungus.
[01:14:16.390 --> 01:14:18.230]  Right. So I wouldn't putting
[01:14:18.230 --> 01:14:20.030]  your microbes and bacteria and with
[01:14:20.030 --> 01:14:22.470]  your name spray be counterproductive.
[01:14:22.470 --> 01:14:22.950]  You know what I mean?
[01:14:22.950 --> 01:14:24.910]  Like I because I used to do the same
[01:14:24.910 --> 01:14:26.350]  thing and I was thinking about it one
[01:14:26.350 --> 01:14:28.270]  day and I was talking to a micro.
[01:14:28.270 --> 01:14:29.470]  I'm like, what do you think about this,
[01:14:29.470 --> 01:14:31.710]  man? I'm like, do you think
[01:14:31.710 --> 01:14:33.230]  like because I mean, you won't kill
[01:14:33.230 --> 01:14:35.270]  all of them by any means,
[01:14:35.270 --> 01:14:37.550]  but you might not have the optimum
[01:14:37.550 --> 01:14:38.910]  thing is doing them as separate
