[00:32.700 --> 00:34.700]  Well
[33:32.020 --> 33:34.020]  where the places where they were
[33:34.660 --> 33:37.660]  Originally, they grow and 1%
[33:39.220 --> 33:44.820]  For thousand years because they use it to feed animals to make ropes
[33:45.540 --> 33:48.900]  Because we sail the sea with the ropes made
[33:49.540 --> 33:56.820]  And then for making the paper that was very important for culture development
[33:57.700 --> 33:59.940]  printing making paper writing
[34:00.740 --> 34:02.380]  was the
[34:02.380 --> 34:04.380]  real we could
[34:04.420 --> 34:07.460]  definitely say that if the culture
[34:08.460 --> 34:15.660]  In a part of it is born in this country was thanks to the presence of the hemp
[34:16.140 --> 34:18.140]  Yeah
[34:19.340 --> 34:23.700]  Hemp all you'd hemp is your middle name. You don't do any THC strains
[34:24.540 --> 34:27.780]  yeah, yeah, I'm doing quite a few because
[34:28.940 --> 34:31.820]  after a long struggle I get the permit to
[34:34.020 --> 34:36.180]  Make different strains and
[34:37.540 --> 34:39.860]  it's something that I started in
[34:40.460 --> 34:48.060]  last year or two and I was working on the 101 because of the my favorite one, obviously and
[34:50.220 --> 34:53.120]  There is quite a lot of work to do
[34:54.020 --> 34:58.860]  But I'm really interesting because after this journey in hemp
[35:00.220 --> 35:01.460]  I
[35:01.460 --> 35:04.180]  Want to try to do something else?
[35:05.180 --> 35:12.020]  Because I'm seeing the wave that is coming already Germany have
[35:12.740 --> 35:14.740]  those days
[35:14.940 --> 35:17.220]  legalized the cannabis for
[35:17.980 --> 35:19.340]  recreational use
[35:19.340 --> 35:25.980]  So the wave is coming and in any case I'm connected to the industry
[35:26.260 --> 35:31.060]  to the industry of the extraction to the pharmaceutical company because
[35:31.860 --> 35:33.620]  developing a
[35:33.620 --> 35:38.300]  professional work on the genetics that is my passion
[35:39.820 --> 35:44.860]  I'm getting involved also in something that was different respect
[35:45.780 --> 35:48.300]  What I am and what I did in my life
[35:49.020 --> 35:54.580]  In the sense that I run a farm. I have all the droves. I'm pretty independent and
[35:55.300 --> 35:57.300]  I work for myself
[35:57.740 --> 35:59.740]  nice nice
[36:00.740 --> 36:03.460]  Smoke do you smoke the flower? That's the
[36:04.140 --> 36:10.780]  Yeah, because we started we started for a smokable flower market. Okay, so this was why
[36:11.420 --> 36:14.700]  We try at the beginning to take down the quantitative
[36:15.460 --> 36:20.620]  side of the cannabinoid content because our interest was the
[36:21.260 --> 36:25.700]  Turpenoids profile and to have something compliant for our market
[36:26.220 --> 36:28.220]  Then during this journey
[36:28.300 --> 36:35.580]  we realized that we were able to make double or triple of these cannabinoid profile and we were
[36:36.020 --> 36:38.020]  approached by
[36:39.020 --> 36:42.820]  Pharmaceutical industry and destruction industry that is at the early beginning
[36:44.460 --> 36:50.780]  But where I really think that our aroma races and our variety pool
[36:51.300 --> 36:53.220]  Could be
[36:53.220 --> 36:55.060]  restored
[36:55.060 --> 36:58.260]  For you know, because that's the point
[36:58.260 --> 37:06.140]  There is something that is related to our culture and our history. We have all these variety pool that have to be
[37:06.900 --> 37:12.820]  Restored in order to have a meaning in the modernity in the modern world. Otherwise, we will lose them
[37:12.820 --> 37:18.260]  we cannot talk about maintenance of something that is useless, you know, and
[37:19.220 --> 37:25.540]  I don't have the capability to maintain all the variety that are in this country that are very very a lot
[37:26.180 --> 37:27.540]  very
[37:27.540 --> 37:30.580]  big number if I don't do something that
[37:31.700 --> 37:33.700]  Give me the economical
[37:34.100 --> 37:37.460]  Opportunity to do that also in a small part, you know
[37:38.540 --> 37:44.460]  So I have to be recording. Where did you get your starting genetics? Because we're all building
[37:45.100 --> 37:46.180]  Somebody
[37:46.180 --> 37:50.220]  Yeah, always always I started my genetics on
[37:51.100 --> 37:54.620]  population of variety of Piedmont that is a region
[37:56.060 --> 37:57.940]  that have the
[37:57.940 --> 38:05.900]  majority part of the variety Italian variety pool and then I tried to get some small batches of
[38:06.060 --> 38:09.860]  these teaching as a purple area that is a variety more of
[38:11.620 --> 38:13.620]  Mountain side of
[38:14.260 --> 38:15.740]  Italian Alps
[38:15.740 --> 38:21.820]  That were was maintained by Swiss breeder and those with seed producer
[38:22.220 --> 38:25.180]  but the interesting side is that
[38:26.340 --> 38:27.780]  all
[38:27.780 --> 38:33.260]  Mostly of our variety and our genital was maintained by the government
[38:33.580 --> 38:35.580]  We were so lucky of that
[38:36.140 --> 38:39.740]  because in mostly of the country they lost
[38:40.740 --> 38:44.020]  95% of the genital because no one maintained
[38:45.220 --> 38:50.020]  unfortunately the maintenance of all those variety was done in
[38:51.980 --> 38:53.660]  Different way
[38:53.660 --> 39:01.100]  Respect the modern achievement and the modern necessity that we put inside the variety
[39:01.940 --> 39:04.820]  So we have these raw
[39:05.780 --> 39:07.780]  varieties
[39:07.780 --> 39:09.700]  Where there is inside
[39:09.700 --> 39:13.300]  Mostly of everything, you know from CBD
[39:13.820 --> 39:15.580]  chemotype CBG
[39:15.580 --> 39:20.780]  Chemotype and many many other CBC chemotype and so on
[39:21.980 --> 39:25.220]  but all mixes together and this package of
[39:25.540 --> 39:29.900]  Mixing was done from the government and the places where was maintained
[39:30.300 --> 39:34.140]  Think about that. Italy is a really small country
[39:35.060 --> 39:38.860]  With many different region all divided from
[39:39.700 --> 39:41.700]  mountains piece of sea
[39:42.420 --> 39:44.500]  so unique in their
[39:45.260 --> 39:48.060]  Being closed to the rest of the world
[39:48.740 --> 39:51.140]  so during all those centuries
[39:52.700 --> 39:55.180]  There were so many small variety
[39:55.980 --> 39:58.940]  pure line that were adapted
[39:59.900 --> 40:02.980]  to a certain category of production
[40:03.700 --> 40:07.140]  For ropes for paper for
[40:09.020 --> 40:11.020]  Making food for animals
[40:11.660 --> 40:19.540]  in different climate and in different condition very separate one to the other so we could
[40:20.020 --> 40:22.020]  suppose that at the beginning
[40:23.500 --> 40:25.500]  Of the destruction of the
[40:26.900 --> 40:32.820]  Destruction of our variety pool. We will have very very a lot of variety
[40:32.980 --> 40:35.980]  each single valley, you know as in
[40:36.660 --> 40:38.900]  in a much Alpra dash or those
[40:40.180 --> 40:46.500]  area where the cultivation is historically, you know come from history and from these
[40:47.380 --> 40:50.420]  possibility of a small amount of
[40:51.620 --> 40:55.140]  plant to be grown in a separate environment
[40:55.940 --> 41:01.140]  respect all the rest with no possibility of cross-pollination no possibility of
[41:02.100 --> 41:07.660]  Contamination from other variety from outside. Yeah, so you're saying basically a land race
[41:08.340 --> 41:10.140]  you
[41:10.140 --> 41:17.260]  Gathered land races from from all over then they threw them up in one bag and then they gave you some of that
[41:17.260 --> 41:19.020]  and then
[41:19.020 --> 41:22.100]  you had to go and mine through that bag of
[41:23.540 --> 41:25.540]  scrambled eggs to
[41:25.540 --> 41:32.300]  Yeah, absolutely and is that how you got your different you have various flavors to you have a
[41:33.820 --> 41:38.260]  Yeah, yeah, yeah, you know I work only on a single population
[41:40.060 --> 41:47.220]  The very oh the single population has various flavors because when I when I read you have like
[41:47.740 --> 41:49.500]  six different names
[41:49.500 --> 41:54.540]  Five of them have the same chemo to kikes the bottom one has a little different chemotype
[41:54.780 --> 41:57.620]  Chemotype but the five ones are identical
[41:57.620 --> 42:02.460]  Are those five different flavors that came from the same line that you went one way with one?
[42:02.580 --> 42:09.500]  Another way with another one in another way because one had the spicy flavor. Another one was more fruity. Another one was more gas
[42:10.180 --> 42:12.180]  We have in our genital
[42:12.820 --> 42:18.020]  all the the Turks related to our fruit and it's I
[42:18.740 --> 42:21.980]  Suppose also related to the environment where they grow
[42:22.700 --> 42:27.620]  Anyway, when we say peach it means that it's smell peach, you know
[42:28.060 --> 42:34.060]  And the orange it smelled orange and all those come from a singular population
[42:34.060 --> 42:37.700]  I work on the same population for five years, you know
[42:38.060 --> 42:44.180]  And then at the end I made those feminized line where I separate
[42:45.540 --> 42:47.780]  the also the terpene profile
[42:48.300 --> 42:51.100]  In order to don't have a mix of lemon
[42:51.660 --> 42:52.740]  orange
[42:52.740 --> 42:55.820]  strawberry and peach all melted together
[42:56.660 --> 43:03.020]  You know and you have to go in the fields and separate them. I did something more
[43:03.780 --> 43:07.300]  respect to the beginning where they were all together and
[43:08.460 --> 43:12.580]  I made those lines that come from the same population
[43:13.380 --> 43:19.820]  So I work to one only variety then after five years of inbreeding of
[43:20.660 --> 43:21.860]  cutting
[43:21.860 --> 43:25.700]  the extreme results of the population or
[43:26.180 --> 43:30.540]  Trying to go to a direction in the selection
[43:31.300 --> 43:34.500]  I'm at the moment. I am
[43:36.100 --> 43:41.940]  In the point where I tasted already all the out crosses that I did
[43:43.220 --> 43:45.220]  with many variety
[43:45.420 --> 43:50.100]  at the beginning with CBG pure variety
[43:51.740 --> 43:53.740]  Because
[43:53.980 --> 43:57.900]  The the the genetical characteristic of those are
[43:58.700 --> 43:59.900]  somehow
[43:59.900 --> 44:02.060]  related to the same genepool, so was
[44:03.140 --> 44:05.140]  Interesting to put them in
[44:06.060 --> 44:13.300]  Inside this genepool and try to do something more balanced between CBD and
[44:13.860 --> 44:15.060]  CBG
[44:15.060 --> 44:18.700]  Mm-hmm, then I decide I don't know that you can ever get those two
[44:18.700 --> 44:22.900]  but I I don't think those two will ever line up you'll always have
[44:23.660 --> 44:25.660]  CBG as about a
[44:26.460 --> 44:30.500]  10% ratio of the other cannabinoids. I've never seen it outside that
[44:32.060 --> 44:34.060]  Like I've never seen
[44:34.220 --> 44:36.220]  We have also
[44:36.220 --> 44:43.140]  We have also pure line of CBD CBG that get only that's all it has it doesn't have CBD in it at all
[44:43.380 --> 44:45.380]  At all at all Wow
[44:45.820 --> 44:51.020]  Is the perugina is a land race from that place that is called the Perugia
[44:52.220 --> 44:55.020]  Was usually grown and selected
[44:56.500 --> 44:58.900]  To make ropes for
[45:00.140 --> 45:02.620]  very tall a lot of girls nothing but
[45:03.620 --> 45:11.100]  Exactly so maybe maybe I'm not sure I wasn't there and I don't have a genetical analysis that prove it
[45:12.780 --> 45:15.820]  Maybe this selection for long fiber
[45:18.980 --> 45:23.660]  Occasionally went in this direction of having pure lines of CBD CBG
[45:24.460 --> 45:28.060]  Then they were mixed up with all the rest all together
[45:28.980 --> 45:30.580]  with the
[45:30.620 --> 45:34.460]  Central Central Italy varieties were a little bit mixed
[45:35.020 --> 45:37.020]  but we have
[45:37.580 --> 45:42.740]  Variety that stain only CBG with no THC no CBD
[45:44.060 --> 45:51.180]  And then if you make seed from that, let's say I bought a thousand seeds. I planted a thousand. I'm not gonna get differentiation
[45:51.180 --> 45:55.380]  They're just gonna stay now 5% What kind of percentage does it do?
[45:56.380 --> 46:04.380]  We could say that the the best one and then the more improved one go around 10 to 12% of
[46:04.780 --> 46:06.780]  CBG and
[46:07.780 --> 46:10.220]  They don't have anything else Wow
[46:12.860 --> 46:15.540]  What does it look like is it a really small bud
[46:16.660 --> 46:18.060]  on it
[46:18.060 --> 46:22.180]  Not so much not so small not so small even big
[46:22.780 --> 46:26.420]  Mostly green it's interesting the tricones
[46:27.260 --> 46:30.500]  Because are very why are really white white?
[46:30.780 --> 46:36.220]  Yeah, yeah, like snow really white like snow and they have these chemical
[46:41.100 --> 46:47.580]  Strange attitude that those tricones fall very easily and could be collected
[46:48.820 --> 46:50.220]  with
[46:50.220 --> 46:51.500]  electromagnetic
[46:51.540 --> 46:53.540]  Nice that's a good plan
[46:53.940 --> 46:58.580]  Yeah, it's a good plan. It's a good plan plan when they figure that out. That'll be a good plan
[46:59.140 --> 47:00.420]  Yeah
[47:00.420 --> 47:07.260]  Every flavor I've noticed that some of the ones that I have CBG if it's like I've grown various
[47:07.620 --> 47:10.740]  Ones out just to see what they are. They have like a certain
[47:11.540 --> 47:14.100]  characteristic peppery flavor that runs
[47:14.620 --> 47:16.220]  in CBG
[47:16.220 --> 47:19.100]  Yeah. Yeah, that's true. They have a
[47:20.100 --> 47:22.100]  Characteristic flavor
[47:22.220 --> 47:25.180]  Then there are some breeders in Europe
[47:25.820 --> 47:29.660]  Very well known that are doing things
[47:30.380 --> 47:32.740]  interesting on those variety
[47:34.340 --> 47:38.300]  Giving them the capability to have like strawberry
[47:38.980 --> 47:40.460]  herbs and
[47:40.460 --> 47:45.140]  Flavor, so I think that also those variety will be improved for sure
[47:45.740 --> 47:47.740]  it's interesting because
[47:47.980 --> 47:54.380]  Those variety have blocked all the process, you know of production of cannabinoids
[47:56.420 --> 48:04.020]  They get to see me the CBG and they stopped, you know, there's nothing over is
[48:05.140 --> 48:11.500]  Very interesting. What happens if you cross that to something else that that has the
[48:12.500 --> 48:17.460]  Gene that then it just it goes away completely then it's recessive
[48:17.740 --> 48:22.380]  It's pretty responsive. So the first generation you see the dominant one
[48:22.380 --> 48:25.300]  So if you cross it with a CBD or a
[48:25.940 --> 48:33.900]  THC you will see only the THC only the CBD if you goes on in the back crossing and selection the crossing and
[48:33.980 --> 48:41.140]  Selection with the proper parental line that carry the CBG you could get to have a percentage
[48:42.380 --> 48:44.460]  of the population coming out
[48:46.140 --> 48:49.060]  That will show higher level of
[48:50.020 --> 48:51.420]  CBG
[48:51.420 --> 48:53.420]  absolutely
[48:54.020 --> 48:59.420]  Yeah, it's very interesting all these minor are very interesting maybe sometimes
[49:00.220 --> 49:06.940]  Seems to be more study cases, you know that a real opportunity for the industry
[49:07.420 --> 49:11.220]  but more that I goes in to
[49:11.860 --> 49:12.860]  these
[49:12.860 --> 49:16.900]  subject and the stand that they have their own
[49:17.980 --> 49:22.260]  Application fields we are just at the beginning of all of that, you know
[49:22.820 --> 49:29.900]  Mm-hmm, and we are inside this river and we will be carried and we don't know where you know
[49:30.300 --> 49:32.220]  Yeah
[49:32.220 --> 49:35.180]  Try to figure out where we're gonna go. But but sometimes
[49:36.020 --> 49:38.660]  right now in Canada the market is
[49:39.460 --> 49:44.620]  It's not the best, you know, it's not like shooting ducks in a barrel like it like
[49:45.180 --> 49:48.340]  We all thought it was gonna be pretty easy, but it's not easy
[49:49.980 --> 49:57.060]  Me a mess also here. It's a mess the market. I think worldwide it's gonna remain a mess for a while, but
[49:58.180 --> 50:01.660]  Eventually, I think genetics is going to make the difference
[50:01.660 --> 50:07.780]  Like you say you're making something that you're hopeful that will replace the CB or the the cigarette
[50:07.780 --> 50:09.780]  Let's say yeah. Yeah
[50:10.300 --> 50:12.740]  a Marlboro green and it's not
[50:13.260 --> 50:15.260]  It's it's flower
[50:16.340 --> 50:18.340]  Yeah
[50:18.420 --> 50:20.420]  It will come and they'll be able to
[50:22.620 --> 50:24.620]  Harvest it and everything and
[50:25.300 --> 50:30.980]  Indoor I I imagine will will be a thing of the past. I got this right here
[50:31.500 --> 50:33.500]  This plant right here. I
[50:33.940 --> 50:35.940]  planted it out in
[50:36.340 --> 50:38.340]  In
[50:38.380 --> 50:45.260]  July 9th outside here in Canada and it completely finished to this and it's got the most beautiful turps
[50:45.260 --> 50:48.200]  I don't know. It's that it doesn't do it justice
[50:48.200 --> 50:53.180]  But if you can grow stuff like that in three months in a week or two
[50:53.940 --> 51:00.680]  I tell you one story. I tell you one story this summer. I was without water because all my
[51:00.680 --> 51:04.960]  The system that give us the water me and all the other farmers that are here
[51:05.840 --> 51:07.840]  This area was failed
[51:07.840 --> 51:14.320]  And so we were really really sad and we don't know if we have the possibility to plant or not
[51:14.680 --> 51:20.800]  My greenhouses to make seeds and to run test their own source of water
[51:20.800 --> 51:23.720]  so they were safe, but for the
[51:24.840 --> 51:26.840]  outdoor fields I
[51:27.760 --> 51:33.720]  Outdoor fields I wasn't sure to have the water until 15 of July
[51:34.720 --> 51:36.720]  15 of July we
[51:36.800 --> 51:44.040]  Replace the pump. We did all the work that we have to do to have the water and I finally planted I
[51:45.160 --> 51:50.960]  Planted a small amount of plant obviously because we were in a very difficult situation
[51:51.720 --> 51:53.720]  no water for
[51:54.040 --> 51:56.040]  From think about that we had
[51:58.320 --> 52:03.120]  170 millimeter of water in one entire here
[52:04.240 --> 52:07.080]  It's something crazy. Anyway, I
[52:07.600 --> 52:13.520]  Planted those planted very very late. They made a production. That was unbelievable
[52:14.880 --> 52:16.160]  unbelievable
[52:16.160 --> 52:18.160]  You seeded directly to the soil
[52:19.640 --> 52:21.640]  Quite short
[52:21.640 --> 52:23.640]  Yeah
[52:24.120 --> 52:31.840]  Did you did you seed your seed right into no I seeded in a small pot for a week or so and
[52:41.430 --> 52:43.590]  Did do we got a microphone off
[52:46.830 --> 52:52.850]  I think he's going closer. I hear it now
[52:55.430 --> 52:57.430]  Like running over
[53:00.150 --> 53:03.670]  Can you hear me now, yeah, I can hear now
[53:04.590 --> 53:07.810]  Yeah, sorry was the computer failing it was failing
[53:08.790 --> 53:10.790]  the battery oh
[53:10.910 --> 53:12.830]  Yeah
[53:12.830 --> 53:21.590]  Yeah, I I plant them so late and I've got harvest of 500 gram a plant and I was really surprised
[53:22.430 --> 53:25.030]  in a short time to have these
[53:25.550 --> 53:31.670]  Huge production I have to say that the soil where I planted is a
[53:32.030 --> 53:35.670]  Not till soil that I work from 12 years
[53:36.430 --> 53:39.150]  with compost with all the right thing
[53:39.830 --> 53:47.110]  Really well done and you could see it when you plant a small plant 15 of July
[53:47.630 --> 53:49.630]  and
[53:49.990 --> 53:52.190]  You make those kind of harvest
[53:53.190 --> 53:59.710]  You are really happy because also in those so difficult condition where we are working
[54:01.070 --> 54:08.750]  That are changing so fast and we are not able to fix all the problems in so tiny space of time
[54:11.470 --> 54:14.990]  We are very happy of our production absolutely
[54:15.590 --> 54:17.590]  right, yeah, what
[54:17.630 --> 54:22.230]  So what what do you see we're getting close to the end so what what do you see is
[54:23.230 --> 54:27.510]  Hot and new coming up from the from the hemp perspective. I
[54:28.430 --> 54:36.150]  Don't know. I I don't think you could sell hemp to Jameson because he's a big dab guy. I don't think but
[54:36.830 --> 54:38.830]  but what what's gonna be the
[54:39.430 --> 54:43.310]  The big thing in hemp coming coming forward to us. I
[54:44.310 --> 54:52.230]  Don't know I think that extraction uses will be much much relevant in the future
[54:53.430 --> 54:55.430]  especially as volume of seeds
[54:56.750 --> 54:57.950]  because
[54:57.950 --> 55:02.350]  For what I see here in Europe the potential market
[55:02.750 --> 55:07.350]  It's quite big and not explored yet
[55:08.350 --> 55:10.350]  so I think that all the
[55:10.830 --> 55:13.510]  Uses of those variety
[55:14.830 --> 55:19.670]  Are very interesting for these for the CBD line
[55:20.510 --> 55:22.510]  for these double aptitude
[55:23.070 --> 55:24.830]  smokable flower
[55:24.830 --> 55:26.830]  to in order to
[55:26.950 --> 55:29.870]  have those analog of tobacco that are
[55:30.950 --> 55:36.590]  Anyway, interesting and on the other side this possibility of the extraction
[55:36.590 --> 55:43.590]  I think that will be much more relevant in the future because mostly of the potential customers or the
[55:44.310 --> 55:51.070]  potential patient that could enjoy this don't even know that exists in mostly of
[55:52.070 --> 55:56.590]  Europe for example or Italy, of course, but
[55:59.230 --> 56:04.830]  It's not just something that we do the genetics for a specific purpose
[56:05.510 --> 56:12.030]  We understand the purpose is lowly slowly in our lifetime if we are lucky
[56:13.590 --> 56:15.590]  I think that
[56:15.790 --> 56:18.150]  It's necessary to goes on
[56:18.990 --> 56:20.990]  many different direction
[56:21.390 --> 56:23.470]  also related to the
[56:24.550 --> 56:27.590]  Capability that you have to make things right in so many
[56:28.670 --> 56:30.590]  genetics line
[56:30.590 --> 56:32.150]  because
[56:32.150 --> 56:34.150]  there were
[56:34.790 --> 56:38.150]  Possibility of use those variety that we don't know yet
[56:39.390 --> 56:41.390]  This is the the nice
[56:42.710 --> 56:46.350]  Possibility that we have being at the beginning of something
[56:46.670 --> 56:51.950]  Much bigger than us and much bigger of respect the perspective
[56:52.310 --> 56:58.030]  That we could see now of the of the possibility of use it, you know
[56:59.150 --> 57:01.150]  so I think that
[57:02.030 --> 57:04.030]  It's necessary
[57:04.230 --> 57:05.510]  to
[57:05.510 --> 57:07.510]  goes on
[57:08.030 --> 57:10.030]  Studying so much
[57:10.070 --> 57:12.070]  especially the genetics of the population
[57:12.990 --> 57:15.230]  Because we could find interesting things
[57:16.430 --> 57:18.430]  Everything is more
[57:21.110 --> 57:26.790]  Complicated on a side but also give you the tools to understand
[57:27.110 --> 57:29.110]  That
[57:29.590 --> 57:31.590]  In reality there is much more
[57:32.430 --> 57:36.430]  Plasticity, you know, we could change things much more than I would think
[57:37.470 --> 57:38.550]  generally
[57:38.550 --> 57:45.430]  Our work is to maintain and preserve or to keep it like it is to don't change it to don't lose it, you know
[57:46.150 --> 57:48.150]  in reality, I
[57:48.830 --> 57:53.270]  guess that there are much more opportunity and possibility to
[57:54.670 --> 57:56.030]  move
[57:56.030 --> 57:59.750]  from a starting point to our ending point and
[58:00.950 --> 58:04.670]  the capability of the genetics to change himself
[58:05.510 --> 58:09.510]  Respect our necessity is already in history
[58:10.070 --> 58:14.550]  You know, he adapt with us and with our necessity the difference between
[58:15.230 --> 58:22.230]  I don't know hundred years ago or 200 years ago respect now that now we have tools to understand
[58:22.670 --> 58:25.030]  The tools to make things right
[58:26.270 --> 58:27.150]  and
[58:27.150 --> 58:33.990]  science have made huge steps in the last century on the genetics of population and
[58:36.270 --> 58:39.390]  I'm studying a lot and I think
[58:40.670 --> 58:44.950]  That mostly of the application are not understood yet
[58:46.110 --> 58:48.190]  right, but we have
[58:48.430 --> 58:57.630]  We need to preserve all those heirloom races because inside of this genepool and there are all the resources
[58:58.510 --> 59:02.430]  For what come next next and we don't see so
[59:03.070 --> 59:05.070]  every breather when apply
[59:05.550 --> 59:08.590]  The founder effect and the bottleneck
[59:09.550 --> 59:14.190]  bottleneck of the selection have to find his way to keep on
[59:14.190 --> 59:20.990]  Rejected from the selection and to maintain them properly because we don't know
[59:22.190 --> 59:24.190]  Why we will use them?
[59:24.510 --> 59:26.510]  But have a sense
[59:26.830 --> 59:28.830]  to don't
[59:28.910 --> 59:30.910]  Make an erosion
[59:30.990 --> 59:32.990]  of the genepool
[59:32.990 --> 59:34.990]  This is important in my opinion
[59:35.550 --> 59:37.550]  Yeah, okay
[59:37.550 --> 59:39.550]  I think that the gene pool
[59:39.950 --> 59:45.070]  Since the opening of the internet and if you think back just 40 years
[59:45.630 --> 59:48.430]  about how we have access to email and
[59:50.430 --> 59:53.150]  Genetics from Dutch genetics
[59:53.950 --> 59:58.990]  Mexican genetics Thai genetics afghanistan genetics, you know india
[59:59.550 --> 01:00:04.190]  They all have access to email and they have access to
[01:00:04.410 --> 01:00:10.990]  Afghanistan genetics, you know india they all come together with the african genetics and then people go
[01:00:10.990 --> 01:00:16.910]  Oh, this is cool. And they just start banging them together and you wind up getting all these scrambled eggs
[01:00:17.390 --> 01:00:23.390]  And it's it's just such a it's all the genes are out there, but they're all in the same omelet, right?
[01:00:23.470 --> 01:00:26.350]  And so it makes it a bit harder for us
[01:00:26.910 --> 01:00:29.070]  I mean personally I probably will
[01:00:29.950 --> 01:00:35.550]  Anything that's hemp that doesn't have the right metrics i'm i'm sifting those out
[01:00:35.710 --> 01:00:41.630]  They're going away because it's not me. I can see how some people might have a reason to go that way
[01:00:41.630 --> 01:00:46.670]  But each each individual person is like a facet on a diamond
[01:00:46.910 --> 01:00:52.930]  It's like each person stays in their own lane and you're over there in italy protecting those hemp varieties
[01:00:53.230 --> 01:00:58.590]  You know and so they'll be around and then there's people that are doing mexican varieties and some thai varieties
[01:00:58.590 --> 01:01:02.910]  Which I have a lot of and a few african and and I got the old hazes
[01:01:02.910 --> 01:01:05.070]  But i'm not working with those because they're so long
[01:01:05.630 --> 01:01:07.630]  Eight the eight week flower
[01:01:08.110 --> 01:01:13.230]  Is is something that's around to stay it's not going to go anywhere because nobody wants to wait
[01:01:13.790 --> 01:01:18.190]  Around for 14 weeks for their flower to be done and have it as big as a thimble
[01:01:18.510 --> 01:01:21.230]  I'd rather have it be as big as a beer can
[01:01:21.710 --> 01:01:24.830]  And and take eight weeks to finish and be tight and great buds
[01:01:24.830 --> 01:01:31.330]  So there's everybody's got different directions different goals and and i'm glad to know somebody over there sativa creations
[01:01:32.030 --> 01:01:35.710]  in italy, uh, keeping track a part of the genetics and and
[01:01:36.270 --> 01:01:42.830]  Thank you for talking with us today. I hope uh, the people out there got a little education on hemp. I don't know
[01:01:43.550 --> 01:01:48.910]  Uh, it is future cannabis project a lot, you know, and so people are thinking about the future
[01:01:48.910 --> 01:01:53.790]  They haven't just they're not going to quit they're going to keep these genetics. So keep doing what you're doing
[01:01:54.510 --> 01:01:56.510]  Uh, thank you for coming
[01:01:56.750 --> 01:01:58.910]  yeah, thank you for coming on the show do you want to uh,
[01:01:59.390 --> 01:02:05.950]  Get uh, say any last things before he he's going to give us a little intro extra and then we'll be done for another week
[01:02:06.030 --> 01:02:08.110]  but uh, uh
[01:02:08.110 --> 01:02:10.670]  Say something to encouraging to the crowd
[01:02:11.630 --> 01:02:13.070]  to the crowd
[01:02:13.070 --> 01:02:15.390]  Yeah, I don't I don't know. Uh,
[01:02:16.430 --> 01:02:22.990]  If you are interesting in trying those variety that we selected and breed for a long time
[01:02:23.950 --> 01:02:26.430]  Catch up catch with up catch up with us
[01:02:27.070 --> 01:02:30.430]  in many different way with instagram follow us
[01:02:31.070 --> 01:02:35.170]  And we will be there to reply to all your questions
[01:02:36.110 --> 01:02:38.750]  I hope that all this work with
[01:02:39.550 --> 01:02:41.550]  Will will be shared
[01:02:41.550 --> 01:02:45.470]  Everywhere in the world in order to keep it safe
[01:02:46.110 --> 01:02:47.870]  for the future
[01:02:47.870 --> 01:02:51.230]  For sure. Well, there you go sativa creations everybody
[01:02:51.630 --> 01:02:56.910]  It's been glad to have another have you on for another week. We're going to have another great week coming up. We got uh,
[01:02:57.290 --> 01:03:00.910]  Atlas seeds coming up. We got uh, kevin jodery coming up
[01:03:00.910 --> 01:03:05.950]  We got a bunch of different people coming up for in the show. So i'm i'm looking forward to you guys
[01:03:06.110 --> 01:03:10.610]  Uh london if you're out there, can you give us a little extra intro?
