[00:00.000 --> 00:02.000]  We just started
[49:32.590 --> 49:35.470]  Is fishing a sport?
[49:35.470 --> 49:36.990]  I'm gonna go with no.
[49:36.990 --> 49:38.710]  Because you sit on a fucking boat.
[49:39.590 --> 49:40.710]  Is fishing a sport?
[49:41.870 --> 49:45.310]  I could argue that certain fish are sport.
[49:45.310 --> 49:49.510]  Like, hey, spend four hours reeling in a marlin.
[49:49.910 --> 49:51.230]  That's okay.
[49:51.230 --> 49:53.990]  Bass, perch, trout.
[49:53.990 --> 49:57.470]  Doesn't it come down to like the competition aspect of it?
[49:57.470 --> 49:58.950]  You know what I mean?
[49:58.950 --> 50:01.790]  It's like technically like a professional
[50:01.790 --> 50:04.790]  is someone who gets paid to do something, right?
[50:04.790 --> 50:07.190]  So, you know.
[50:09.830 --> 50:11.790]  Yeah, so I would have to say yeah,
[50:11.790 --> 50:14.150]  because then it's like, you know,
[50:15.150 --> 50:18.310]  you know, there's a competition aspect to it, you know?
[50:19.550 --> 50:21.350]  It's a skill, not a sport, hobby.
[50:21.350 --> 50:22.190]  Okay, so.
[50:22.190 --> 50:26.790]  But if you see booth, there you go, right?
[50:26.790 --> 50:28.230]  Like it is a hobby, right?
[50:28.230 --> 50:33.230]  But if you do it competitively for like a prize, you know,
[50:34.430 --> 50:37.830]  then doesn't it become like a sport?
[50:37.830 --> 50:40.350]  It's like, how is our definition of sport?
[50:40.350 --> 50:41.750]  You know what I mean?
[50:41.750 --> 50:43.590]  Do you sweat?
[50:43.590 --> 50:46.110]  Okay, I guess, I guess, I guess.
[50:46.110 --> 50:46.950]  All right.
[50:46.990 --> 50:49.990]  I guess if it is bowling is too.
[50:49.990 --> 50:52.510]  And yes, curling absolutely is a sport.
[50:52.510 --> 50:54.310]  Those people sweep hard.
[50:54.310 --> 50:55.150]  Yes, they do.
[50:55.150 --> 50:56.390]  Yes, they do.
[50:56.390 --> 50:58.910]  Would NASCAR be a sport then by your logic?
[50:58.910 --> 51:00.950]  No, they just go left.
[51:01.950 --> 51:05.430]  Go real fast, I'm gonna turn to the left.
[51:07.670 --> 51:09.790]  So I actually changed the bubbles there
[51:09.790 --> 51:12.270]  to bring up real questions about seeds.
[51:12.270 --> 51:15.070]  I had to get that tangent in while I could.
[51:15.590 --> 51:17.950]  What about skateboarding, right?
[51:17.950 --> 51:20.550]  Skateboarding is definitely a sport, man.
[51:20.550 --> 51:24.990]  Physical skills, mental skills, blood, sweat, tears.
[51:24.990 --> 51:26.550]  For sure, for sure.
[51:26.550 --> 51:28.110]  I played pro paintball.
[51:28.110 --> 51:29.230]  That was a sport.
[51:29.230 --> 51:31.350]  That hurts, dude.
[51:31.350 --> 51:33.270]  Yeah, feels good.
[51:33.270 --> 51:35.270]  People take that pretty serious.
[51:35.270 --> 51:36.990]  Oh yeah, for sure.
[51:36.990 --> 51:40.350]  The guy asked about the Savage headband, what that's like.
[51:40.390 --> 51:44.990]  Fucking real fucking limey tennis ball,
[51:44.990 --> 51:46.990]  kind of a sour funk.
[51:46.990 --> 51:48.950]  Yields crazy good.
[51:48.950 --> 51:51.150]  The stretch is like hella productive.
[51:51.150 --> 51:53.670]  So like, you know, you do get the stretch,
[51:53.670 --> 51:55.390]  but it stacks up along the way.
[51:55.390 --> 51:56.670]  So you don't have a whole bunch
[51:56.670 --> 51:59.950]  of like unproductive middle spacing, you know.
[51:59.950 --> 52:03.350]  And yeah, it punch you right in the fucking brain too.
[52:03.350 --> 52:07.430]  Like it'll definitely stupefy you.
[52:07.430 --> 52:10.070]  Stupefy you, nice, Savage headband.
[52:10.790 --> 52:13.790]  And what was the cross there?
[52:13.790 --> 52:16.510]  It's a figure four to the headband.
[52:16.510 --> 52:20.950]  So the figure four is the TK to the ass man,
[52:20.950 --> 52:25.470]  which was the Airborne G13 Skelly skunk hybrid.
[52:25.470 --> 52:26.390]  Nice.
[52:26.390 --> 52:29.070]  Added a lot of strong branching and everything
[52:29.070 --> 52:32.710]  to everything that it hit too.
[52:33.910 --> 52:37.430]  Nice, and someone, Roman Numerals,
[52:37.430 --> 52:39.830]  was asking too about the headband
[52:39.830 --> 52:42.230]  that you used in the skunk band versions.
[52:42.230 --> 52:45.710]  If you had any info with that one.
[52:45.710 --> 52:49.230]  Yes, that's like been like this weird like topic lately.
[52:49.230 --> 52:52.870]  And it's like all the headbands that like started coming
[52:52.870 --> 52:55.350]  like out in like, I don't know,
[52:55.350 --> 52:58.310]  I guess like the last five to 10 years, you know,
[52:58.310 --> 53:00.630]  people like which one's what and this and that.
[53:00.630 --> 53:03.390]  So the only thing I can say is it's the old one
[53:03.390 --> 53:06.510]  that came out of fucking New York way, way back in the day
[53:06.510 --> 53:08.870]  before there was area code headbands
[53:08.870 --> 53:11.430]  and named headbands and this and that.
[53:11.430 --> 53:15.670]  So when people ask that, I don't know what the answer
[53:15.670 --> 53:19.190]  because like I haven't grown any other plants,
[53:19.190 --> 53:20.390]  you know, called headband
[53:20.390 --> 53:22.790]  or really had any experience with the other ones.
[53:22.790 --> 53:27.790]  So yeah, just old plain old East Coast headband.
[53:28.150 --> 53:30.270]  Yeah, no, that's a great answer too.
[53:30.270 --> 53:32.710]  Because I mean, it's not really possible
[53:32.710 --> 53:35.030]  to run or see everything.
[53:35.030 --> 53:36.870]  And something that, you know,
[53:36.870 --> 53:41.870]  I'm doing just a little video on my channel
[53:42.230 --> 53:45.910]  is just about, you know, provenance,
[53:45.910 --> 53:47.670]  like following the seeds.
[53:47.670 --> 53:50.270]  There's so many companies out there,
[53:50.270 --> 53:55.030]  just mass seed producers that will put the headband's name
[53:55.030 --> 53:56.830]  on some white label seeds.
[53:56.830 --> 54:00.870]  And then the person who gets that no fault of their own
[54:00.870 --> 54:03.270]  generally thinks they have headband.
[54:03.350 --> 54:05.190]  And then they take a cut and they pass it.
[54:05.190 --> 54:08.310]  It's like back in the day, like if you tell me like,
[54:08.310 --> 54:10.590]  hey, I'm growing sour, I'm like, all right, cool.
[54:10.590 --> 54:12.670]  I don't ask you like which cut.
[54:12.670 --> 54:14.150]  Like motherfucker, there was one,
[54:14.150 --> 54:17.230]  there was a sour diesel, not multiples of,
[54:17.230 --> 54:20.230]  but like now, goddamn, like I don't even know
[54:20.230 --> 54:21.950]  how many of them there are.
[54:21.950 --> 54:23.750]  And most of them don't taste sour.
[54:23.750 --> 54:24.750]  You know what I mean?
[54:24.750 --> 54:27.670]  And that was like the big distinguishing thing with it.
[54:27.670 --> 54:30.030]  Like, you know, there's a smell and there's a look,
[54:30.030 --> 54:31.430]  but that shit won't sour.
[54:31.470 --> 54:34.270]  Like, ain't fucking sour, you know?
[54:34.270 --> 54:35.710]  So I don't know.
[54:35.710 --> 54:38.230]  So it's kind of a fucked up game out there right now,
[54:38.230 --> 54:39.390]  for real.
[54:39.390 --> 54:42.430]  Like it kind of sucked to be getting into it right now,
[54:42.430 --> 54:45.070]  trying to figure heads from tails, you know?
[54:45.070 --> 54:47.230]  I'm sure Jack off and shit, fucking around,
[54:47.230 --> 54:50.030]  taking names and this and that, trying to make a dollar.
[54:50.910 --> 54:52.390]  Well, yeah, names, I mean,
[54:52.390 --> 54:54.950]  names are almost to the wayside anymore,
[54:54.950 --> 54:57.910]  unless you're talking with like a breeder like yourself
[54:57.910 --> 54:59.750]  or, you know, like breeder like me, Gene,
[54:59.750 --> 55:03.070]  someone who is intimately familiar with the line,
[55:03.070 --> 55:04.470]  they've worked the line,
[55:04.470 --> 55:07.710]  that you've not just splashed A and B together
[55:07.710 --> 55:08.750]  because they were hot
[55:08.750 --> 55:10.790]  and they came in the mail two months ago.
[55:11.870 --> 55:12.710]  That's-
[55:12.710 --> 55:13.830]  I'm gonna go call it Abba.
[55:14.830 --> 55:19.590]  Abba, Larry, Barry.
[55:20.350 --> 55:22.430]  Oh God, I forget the names of all of them.
[55:24.230 --> 55:27.390]  But yeah, no, and that's why I'm, you know,
[55:27.390 --> 55:28.990]  like I'm not convinced.
[55:29.110 --> 55:32.590]  I've had plenty of things that were called Acapulco Gold,
[55:32.590 --> 55:34.950]  but in my genuine heart,
[55:34.950 --> 55:37.510]  I'm not convinced I've really had Acapulco Gold before,
[55:37.510 --> 55:40.750]  because I don't have that frame of reference either.
[55:40.750 --> 55:41.950]  And a lot of people,
[55:41.950 --> 55:45.150]  oh, I got the, you know, I've got XYZ.
[55:45.150 --> 55:49.630]  So yeah, man, don't get disappointed
[55:49.630 --> 55:51.790]  because what the name says,
[55:51.790 --> 55:53.750]  or the pack's name isn't what it is.
[55:53.750 --> 55:56.030]  You still might find a treasure, but yeah,
[55:56.070 --> 55:59.750]  unless you're dealing direct with some of these breeders.
[55:59.750 --> 56:03.310]  Yeah, and you got like a lot of like real like shit bag
[56:03.310 --> 56:06.790]  people on the internet that'll try to like,
[56:06.790 --> 56:10.030]  they'll throw shade out there on legit shit,
[56:10.030 --> 56:13.550]  trying to pass off their Fugazi shit, right?
[56:13.550 --> 56:14.390]  Right.
[56:14.390 --> 56:15.510]  And it's one of those things,
[56:15.510 --> 56:18.110]  like I said it the other day and some dude was like,
[56:18.110 --> 56:19.790]  yeah, some famous Nazi said that.
[56:19.790 --> 56:20.790]  I was like, whoa.
[56:20.790 --> 56:23.390]  But it's something to the effect of like, you know,
[56:23.390 --> 56:26.350]  if somebody says a lie enough fucking times,
[56:26.350 --> 56:29.430]  it like starts to become true and accepted.
[56:29.430 --> 56:32.470]  And you know, there's quite a few of those out there
[56:32.470 --> 56:35.310]  and you gotta really be wary of those people
[56:35.310 --> 56:39.910]  because they're looking at your wallet pretty hard,
[56:39.910 --> 56:42.310]  you know, and it just,
[56:42.310 --> 56:45.230]  you got a lot of fucking weirdos out there in general,
[56:45.230 --> 56:49.350]  but especially like the weed game, seed game and whatnot.
[56:50.190 --> 56:51.030]  It's a lot of-
[56:51.030 --> 56:55.790]  Anywhere there's the thought of a quick buck, you're right.
[56:55.790 --> 57:00.270]  Is there, I mean, is there anything that we could do
[57:00.270 --> 57:05.270]  to maybe like identify or see these people for who they are
[57:05.390 --> 57:08.150]  or questions we can ask to maybe expose them?
[57:08.150 --> 57:11.950]  Like what is a question that somebody who bred a line
[57:11.950 --> 57:14.470]  would like, should be able to answer?
[57:14.470 --> 57:17.590]  Yeah, like, I mean, shit, if you just ask them like,
[57:17.590 --> 57:20.790]  for like your simple fly-by-night seed company,
[57:20.790 --> 57:22.870]  yeah, you could ask them about like the traits
[57:22.870 --> 57:26.190]  that they were looking for in the parents, you know,
[57:26.190 --> 57:28.310]  and how that they've been, you know,
[57:28.310 --> 57:29.910]  seen in the progeny and shit.
[57:29.910 --> 57:33.550]  Did they do like a recurrent selection process or,
[57:33.550 --> 57:36.830]  you know, ask them about the actual process of it.
[57:36.830 --> 57:38.630]  You can look at their timelines, you know,
[57:38.630 --> 57:42.350]  it's like, if you got a clone, you know, three months ago
[57:42.350 --> 57:44.510]  and you already got like a seed line out, you know,
[57:44.510 --> 57:48.230]  a month after that, like, that shit don't add up.
[57:48.230 --> 57:52.150]  With some of like the more in-depth fucking pieces of shit,
[57:52.150 --> 57:54.230]  like they've been doing it for so many years,
[57:54.230 --> 57:57.230]  but like people call them out, this and that,
[57:57.230 --> 58:00.110]  but between stoners and like, you know,
[58:00.110 --> 58:01.850]  the current situation of the world,
[58:01.850 --> 58:04.710]  people's got like real, real short-term memories.
[58:04.710 --> 58:07.550]  So it gets forgotten, a new group of idiots, you know,
[58:07.550 --> 58:10.110]  falls for it and it's just how it is.
[58:10.110 --> 58:13.310]  But I got a good solution to that though.
[58:13.310 --> 58:15.590]  It's like, I'm gonna get off fucking probation.
[58:15.590 --> 58:16.670]  I'm gonna see them at shows.
[58:16.670 --> 58:19.150]  I'm just gonna start stomping their fucking ass,
[58:19.150 --> 58:21.590]  treat it like a prison yard, you know, just run them off.
[58:21.590 --> 58:22.630]  You ain't welcome here.
[58:22.630 --> 58:24.510]  Get the fuck out of here.
[58:24.510 --> 58:26.350]  Yeah, yeah.
[58:26.350 --> 58:29.150]  You know, so you're welcome, everybody.
[58:29.150 --> 58:29.990]  You're welcome.
[58:31.030 --> 58:31.870]  Thank you.
[58:32.830 --> 58:35.030]  He's got to serve a dick soup for them all.
[58:35.030 --> 58:37.350]  Yeah, yeah.
[58:37.350 --> 58:39.350]  I mean, there's something to be said
[58:39.350 --> 58:43.950]  for the way business is conducted in the new market.
[58:43.950 --> 58:47.550]  Things are a little, everybody's got lawyers now,
[58:48.710 --> 58:52.430]  which is some bullshit, but yeah.
[58:52.430 --> 58:53.710]  So, okay, so that's good, man.
[58:53.710 --> 58:55.030]  People should be able to answer
[58:55.030 --> 58:56.710]  some of these just basic questions.
[58:56.710 --> 58:58.670]  And like you said, timeline is an important one.
[58:58.670 --> 59:00.230]  That's something that I see a lot.
[59:00.230 --> 59:03.070]  People will trip themselves up with Instagram of like,
[59:03.070 --> 59:06.550]  yo, got this cut, yo, pop these seeds.
[59:06.550 --> 59:08.110]  And you're right, three months later,
[59:08.110 --> 59:10.830]  all of a sudden they're ABC Seed Company.
[59:10.830 --> 59:15.310]  Yeah, Abba Seeds, it's all been tested for quality.
[59:17.190 --> 59:19.030]  It's real shitty, man.
[59:19.030 --> 59:22.990]  But like, you know, there's so many reputable ones out there
[59:22.990 --> 59:26.550]  and you got like such a diversity
[59:26.550 --> 59:29.710]  amongst like these very reputable people.
[59:29.710 --> 59:32.710]  Like everybody, shit, it's like, you know,
[59:32.710 --> 59:34.670]  it's got their own signature on it, you know?
[59:34.670 --> 59:36.910]  It's so, so unique.
[59:36.910 --> 59:37.950]  So like you said, you know,
[59:37.950 --> 59:40.510]  you got some of me and Gene's work,
[59:40.510 --> 59:42.830]  phenomenal fucking work, right?
[59:42.830 --> 59:45.830]  Barry's like very different from anything I'm gonna do.
[59:47.190 --> 59:50.190]  So you got some Swamp Boys, you know what I mean?
[59:50.190 --> 59:53.510]  Fucking totally, totally different, super awesome.
[59:53.510 --> 59:57.110]  So you got some Top Dog, dude, the list goes on and on.
[59:57.110 --> 01:00:00.470]  And like, you can really have some very solid things,
[01:00:00.470 --> 01:00:03.150]  but it kind of fucks it up for the new guy
[01:00:03.150 --> 01:00:05.630]  because you might have somebody who really is like
[01:00:05.630 --> 01:00:08.150]  putting in the work and the time and everything
[01:00:08.150 --> 01:00:10.830]  and they get overlooked because they're doing it,
[01:00:10.830 --> 01:00:13.270]  but the last hundred shit heels before them was,
[01:00:13.270 --> 01:00:15.990]  you know, fucking up, lying and, you know,
[01:00:15.990 --> 01:00:19.950]  doing some bullshit, so, and it's tough.
[01:00:19.950 --> 01:00:21.950]  And the people who put in the time
[01:00:21.950 --> 01:00:26.430]  to do proper breeding work risk missing that wave
[01:00:26.430 --> 01:00:28.990]  of the market for whatever particular trait
[01:00:28.990 --> 01:00:31.910]  that they're looking for, which is unfortunately
[01:00:31.910 --> 01:00:33.550]  why some people skip those,
[01:00:33.550 --> 01:00:37.750]  that important process of stabilizing a strain.
[01:00:37.750 --> 01:00:40.550]  Yeah, breeding for passion or breeding for profit.
[01:00:40.550 --> 01:00:42.910]  If you're breeding for the profit, like, yeah,
[01:00:42.910 --> 01:00:45.270]  like you gotta stay on top of that.
[01:00:45.270 --> 01:00:47.030]  But if it's more of a passion thing,
[01:00:47.030 --> 01:00:49.830]  then your timeline isn't gonna matter so much.
[01:00:49.830 --> 01:00:52.550]  It's gonna be the quality and the work that's, you know,
[01:00:52.550 --> 01:00:56.470]  put out and, you know, you might not be the most wealthy guy
[01:00:56.470 --> 01:00:58.110]  because of that, but you know what?
[01:00:58.110 --> 01:00:59.910]  You're wealthy in spirit, you know,
[01:00:59.950 --> 01:01:01.510]  chock full, that type of shit.
[01:01:01.510 --> 01:01:04.110]  So that's cool with me.
[01:01:04.110 --> 01:01:06.070]  Yeah, and knowledge and you've helped people too.
[01:01:06.070 --> 01:01:08.470]  And, you know, I think that was kind of one of the,
[01:01:08.470 --> 01:01:11.430]  you know, again, early on I got influenced by TGA.
[01:01:11.430 --> 01:01:13.790]  Just, I was like blown away by like, wow,
[01:01:13.790 --> 01:01:15.510]  weed has these kinds of flavors,
[01:01:15.510 --> 01:01:18.030]  but also just the medicinal aspect of,
[01:01:18.030 --> 01:01:20.590]  they were trying to really narrow in
[01:01:20.590 --> 01:01:23.630]  on specific medical conditions.
[01:01:23.630 --> 01:01:24.910]  And that was the goal.
[01:01:24.910 --> 01:01:26.830]  And it was just a happy circumstance
[01:01:26.830 --> 01:01:29.870]  that other people enjoyed the same strains.
[01:01:30.830 --> 01:01:33.190]  And that's kind of what I wanna do for myself too.
[01:01:33.190 --> 01:01:35.950]  I use cannabis medicinally and I am looking,
[01:01:37.030 --> 01:01:40.230]  always looking for the right one for my body.
[01:01:40.230 --> 01:01:44.030]  And once I find it, and if I can make it just that way,
[01:01:44.030 --> 01:01:46.790]  always, and other people happen to enjoy it, then cool.
[01:01:46.790 --> 01:01:48.990]  But that's a long ways off.
[01:01:48.990 --> 01:01:50.470]  That's a long ways off.
[01:01:50.470 --> 01:01:51.750]  And that's the thing, man, you'll find,
[01:01:51.750 --> 01:01:55.510]  especially like, you know, if you use something medicinally,
[01:01:55.510 --> 01:01:57.390]  like when you get relief from something,
[01:01:58.350 --> 01:02:01.870]  other people will feel that even more so.
[01:02:01.870 --> 01:02:02.710]  You know what I mean?
[01:02:02.710 --> 01:02:07.710]  So like, you're basically,
[01:02:08.710 --> 01:02:10.670]  I don't know, like you're really hitting
[01:02:10.670 --> 01:02:13.950]  those fine tuned things that are part of
[01:02:13.950 --> 01:02:17.630]  a much more complex effect, you know?
[01:02:17.630 --> 01:02:22.190]  So yeah, so if you dig it, there's a chance,
[01:02:22.190 --> 01:02:24.630]  a lot of other people are gonna dig it too, for sure.
[01:02:24.630 --> 01:02:25.750]  Yep, yep.
[01:02:25.750 --> 01:02:27.670]  And I'm glad, you know, both Dave
[01:02:27.670 --> 01:02:29.230]  and you kind of touched on it too.
[01:02:29.230 --> 01:02:32.710]  There's enough solid people out there that, you know,
[01:02:32.710 --> 01:02:36.750]  if I'm looking for a particular type of, you know, profile,
[01:02:36.750 --> 01:02:39.790]  I kind of know, oh, you know, this person really nails it.
[01:02:41.630 --> 01:02:43.950]  And you mentioned Swamp Boys, you know,
[01:02:43.950 --> 01:02:47.030]  maybe who are some of those people for you?
[01:02:47.030 --> 01:02:49.870]  Or maybe like, if you want, what are you looking for
[01:02:49.870 --> 01:02:51.870]  and why do you go to these people?
[01:02:51.870 --> 01:02:54.510]  And I know it's hard to think of everybody on the spot.
[01:02:55.390 --> 01:02:56.230]  So you'll probably forget somebody,
[01:02:56.230 --> 01:02:59.390]  but anything come to mind for you there?
[01:02:59.390 --> 01:03:00.550]  Yeah, for sure.
[01:03:01.710 --> 01:03:05.950]  So yeah, like I would definitely grow out Minjin's stuff.
[01:03:05.950 --> 01:03:08.110]  I would grow out AK Beanbrain's stuff.
[01:03:08.110 --> 01:03:09.990]  I would grow out Swamp Boys stuff.
[01:03:09.990 --> 01:03:13.350]  I would grow out, let's see here.
[01:03:14.790 --> 01:03:17.270]  See his texts with these fucking guys.
[01:03:17.270 --> 01:03:21.110]  Fuck you Bumbles, I'll fucking behave myself.
[01:03:21.110 --> 01:03:21.950]  Anyways.
[01:03:21.950 --> 01:03:24.190]  You need a second phone, man.
[01:03:24.870 --> 01:03:25.710]  Yeah, I know, right?
[01:03:25.710 --> 01:03:28.670]  Like I'm just gonna start giving the burner number out.
[01:03:28.670 --> 01:03:29.510]  For real.
[01:03:29.510 --> 01:03:31.630]  I'll talk about what I want to.
[01:03:31.630 --> 01:03:34.070]  Okay, and I'm, and there's fucking people.
[01:03:34.070 --> 01:03:38.030]  Anyways, Top Dog, you know, I'd grow some of his stuff.
[01:03:39.030 --> 01:03:42.070]  I saw like when y'all were putting up your advertising
[01:03:42.070 --> 01:03:45.910]  for the Seed Bank there, I got me some nerds right here.
[01:03:45.910 --> 01:03:46.750]  Nice.
[01:03:46.750 --> 01:03:47.710]  That's another one.
[01:03:47.710 --> 01:03:49.590]  Definitely got the Day Tripper.
[01:03:50.430 --> 01:03:55.430]  So like there's a lot of like really good stuff out there.
[01:03:55.470 --> 01:04:00.470]  It's just, you know, it gets overlooked, you know.
[01:04:01.550 --> 01:04:04.070]  So, but yeah, like I said,
[01:04:04.070 --> 01:04:07.670]  all very reputable people and everything.
[01:04:09.190 --> 01:04:13.790]  Very good quality stuff that have come out of it.
[01:04:13.790 --> 01:04:18.630]  And yeah, I can't say enough about,
[01:04:19.590 --> 01:04:23.630]  you know, some of the people I just mentioned.
[01:04:23.630 --> 01:04:26.390]  Like, let's see here.
[01:04:26.390 --> 01:04:30.590]  Yeah, it's like that silver bag's definitely full
[01:04:30.590 --> 01:04:33.290]  of a lot of cool things here.
[01:04:34.230 --> 01:04:37.710]  Jeez Louise, I got so much shit in here.
[01:04:37.710 --> 01:04:39.510]  This is like why I need like one of those
[01:04:39.510 --> 01:04:42.030]  like big, big gnarly facilities, man.
[01:04:42.030 --> 01:04:44.070]  So I can just like pop everything at once
[01:04:44.070 --> 01:04:47.310]  and get rocking and rolling, you know.
[01:04:47.390 --> 01:04:49.790]  I hope you find something you've totally forgot about
[01:04:49.790 --> 01:04:51.510]  that's like, holy shit, I need to pop this now.
[01:04:51.510 --> 01:04:54.110]  Like that's what I'm kind of hoping happens tonight.
[01:04:54.110 --> 01:04:57.590]  Yeah, so like just out of the AK Bean Reins,
[01:04:57.590 --> 01:05:01.790]  we got TK by NL5 Hayes.
[01:05:01.790 --> 01:05:02.630]  Nice.
[01:05:02.630 --> 01:05:04.670]  We got NL5 by Big Skunk.
[01:05:05.710 --> 01:05:07.190]  Let's see here.
[01:05:07.190 --> 01:05:09.710]  And like all this, I'll be getting to this winter.
[01:05:10.630 --> 01:05:12.390]  Got Williams Wonder.
[01:05:12.390 --> 01:05:13.510]  Nice.
[01:05:13.510 --> 01:05:15.270]  And like I said, this is like all stuff
[01:05:15.870 --> 01:05:17.870]  other people can get too.
[01:05:17.870 --> 01:05:21.310]  Yeah, those are on the dagga.garden website actually.
[01:05:21.310 --> 01:05:23.070]  Oh yeah, perfect, man.
[01:05:23.070 --> 01:05:24.670]  NL2 by five.
[01:05:26.550 --> 01:05:28.390]  Let's see here.
[01:05:28.390 --> 01:05:29.950]  He hooked it up, man.
[01:05:29.950 --> 01:05:32.630]  Okay, and I just got back from the halfway house.
[01:05:32.630 --> 01:05:34.070]  I got some NL1.
[01:05:36.830 --> 01:05:38.910]  Oh yeah, it's gonna be a cool winter.
[01:05:38.910 --> 01:05:40.610]  Got the Durven F4.
[01:05:41.590 --> 01:05:45.190]  We got, let's see here.
[01:05:46.190 --> 01:05:48.110]  Bush Bros Freezeland.
[01:05:48.110 --> 01:05:50.790]  Don't know what it is, but he sent it.
[01:05:50.790 --> 01:05:52.390]  So I know it's gonna be good.
[01:05:52.390 --> 01:05:57.270]  NL5 Hayes F4, definitely all about that.
[01:05:58.710 --> 01:06:01.030]  Got a pack of the, look at that.
[01:06:02.350 --> 01:06:04.150]  Look at that, Dave, we're twins, bud.
[01:06:04.150 --> 01:06:04.990]  Yeah.
[01:06:04.990 --> 01:06:05.830]  Yeah.
[01:06:05.830 --> 01:06:08.390]  It was hiding in there.
[01:06:08.390 --> 01:06:10.510]  We got some Beatrix Choice.
[01:06:10.510 --> 01:06:12.350]  That's gonna be super good.
[01:06:12.630 --> 01:06:16.350]  Hopefully I get one of the good bubble gum ones out of that.
[01:06:16.350 --> 01:06:20.230]  Let's see here, M48 African Hayes.
[01:06:20.230 --> 01:06:21.950]  That'll be cool.
[01:06:21.950 --> 01:06:23.470]  Bean Granger, the man.
[01:06:24.350 --> 01:06:25.190]  Oh yeah.
[01:06:25.190 --> 01:06:26.030]  NL hybrid.
[01:06:27.230 --> 01:06:29.030]  Yeah, fuck, man.
[01:06:29.030 --> 01:06:30.790]  Things like Santa's bag.
[01:06:30.790 --> 01:06:34.430]  Yeah, yeah, yeah, and this is just from him, you know.
[01:06:34.430 --> 01:06:37.510]  Yeah, NL5s, yeah.
[01:06:37.510 --> 01:06:41.310]  Yeah, man, so all that stuff, it's all on deck.
[01:06:41.310 --> 01:06:42.910]  He was a good dude.
[01:06:42.910 --> 01:06:47.910]  It was a five and a half hour show we did together here
[01:06:48.070 --> 01:06:50.910]  on FCP, that was a fun conversation.
[01:06:50.910 --> 01:06:54.030]  He's just a fascinating person in general,
[01:06:54.030 --> 01:06:55.950]  but he breeds like chickens.
[01:06:55.950 --> 01:07:00.150]  Like right now he's got a Shetland chickling, I believe,
[01:07:00.150 --> 01:07:04.790]  but it's basically almost extinct and he's bringing it back
[01:07:04.790 --> 01:07:06.790]  and he's making eggs and he's getting them out.
[01:07:06.790 --> 01:07:09.670]  So like breeding has been a passion
[01:07:09.710 --> 01:07:12.110]  for this man for a long time.
[01:07:12.110 --> 01:07:13.670]  Yeah, yeah, it really is.
[01:07:13.670 --> 01:07:16.190]  That might grow in really good weed.
[01:07:16.190 --> 01:07:20.830]  And yeah, just really, really cool fucking guy too, man.
[01:07:20.830 --> 01:07:23.830]  Just real solid, solid, nice fellow.
[01:07:23.830 --> 01:07:26.790]  And yeah, so like that would be something
[01:07:26.790 --> 01:07:29.670]  I would really recommend for somebody that's like,
[01:07:29.670 --> 01:07:32.470]  yeah, if you're looking for something different
[01:07:32.470 --> 01:07:35.430]  and something of that old school, you know,
[01:07:35.430 --> 01:07:38.350]  that would definitely be a guy, you know.
[01:07:38.390 --> 01:07:40.270]  Definitely wanna get some of that.
[01:07:40.270 --> 01:07:41.550]  Nice, hitting that up.
[01:07:41.550 --> 01:07:44.350]  We got a peace of mind farming, what's up?
[01:07:44.350 --> 01:07:48.470]  Asking any screaming eagle in the bag.
[01:07:48.470 --> 01:07:50.390]  Yeah, there's some in here.
[01:07:50.390 --> 01:07:52.030]  There is some in here.
[01:07:52.030 --> 01:07:53.790]  There's a-
[01:07:53.790 --> 01:07:56.190]  The screaming eagle is your work, correct?
[01:07:56.190 --> 01:07:57.670]  Yeah, yeah.
[01:07:57.670 --> 01:07:59.010]  That's all me, buddy.
[01:07:59.950 --> 01:08:00.790]  Yes, sir.
[01:08:01.950 --> 01:08:04.950]  Have you ever had the instance like we almost had here
[01:08:04.950 --> 01:08:07.710]  where Dave or like somebody else has something,
[01:08:08.070 --> 01:08:09.350]  and you're like, you know, I made that.
[01:08:09.350 --> 01:08:11.150]  I don't have it, wish I did.
[01:08:14.510 --> 01:08:15.350]  I've seen that.
[01:08:15.350 --> 01:08:17.110]  Somebody's had like one of my CDs before.
[01:08:17.110 --> 01:08:18.550]  I'm like, oh dude, I haven't heard that.
[01:08:18.550 --> 01:08:20.990]  You know, I haven't listened to that CD for years.
[01:08:20.990 --> 01:08:22.110]  They're like, yeah, I got it.
[01:08:22.110 --> 01:08:23.550]  I'm like, yeah.
[01:08:23.550 --> 01:08:24.750]  Yeah, exactly.
[01:08:24.750 --> 01:08:26.870]  Yeah, no, I've always been good.
[01:08:26.870 --> 01:08:31.430]  Like I've kept things like backed up, you know.
[01:08:31.430 --> 01:08:33.670]  I had like a few friends, anything I ever made,
[01:08:33.670 --> 01:08:36.550]  I'd send them, you know, 100 seeds to each one of them
[01:08:36.550 --> 01:08:39.110]  and they won't grow them, but they'll hold onto them
[01:08:39.110 --> 01:08:41.590]  for me, you know, just in case.
[01:08:41.590 --> 01:08:44.730]  So always got shit backed up around the board.
[01:08:45.630 --> 01:08:46.470]  Nice.
[01:08:46.470 --> 01:08:48.150]  Very important.
[01:08:48.150 --> 01:08:49.590]  Now I got a question for you.
[01:08:49.590 --> 01:08:52.310]  You did a collab with AK Beanbrains,
[01:08:52.310 --> 01:08:54.030]  the Thunderhole, right?
