[00:00.000 --> 00:01.000]  How you doing?
[23:50.020 --> 23:55.580]  And, you know, at the infancy of the market, to be fair, there was a you know, there's
[23:55.580 --> 23:57.580]  50 percent snakes and 50 percent.
[23:57.580 --> 24:01.420]  We just don't know. Like Kevin was saying earlier, we haven't gone this big before.
[24:01.420 --> 24:07.820]  And so there's a lot of guessing or hoping or, you know, somebody convincing you this
[24:07.820 --> 24:12.700]  is the path. And it turns out not to be appropriate at scale and it doesn't work
[24:12.700 --> 24:17.260]  properly. And.
[24:19.420 --> 24:25.180]  Yeah, well, for me, I end up in a lot of new greenhouses, but it's almost 50 50
[24:25.180 --> 24:28.060]  sometimes because there's a lot of retrofits that do go on.
[24:28.060 --> 24:33.100]  But at the end of the day, a lot of the new stuff is even basic hoops, new PVC.
[24:33.420 --> 24:38.060]  You know, I mean, it's not always big, massive, fancy greenhouses because people are
[24:38.060 --> 24:43.980]  scaling up to ten thousand square feet or more with PVC hoops and trying to do AG exempt
[24:43.980 --> 24:47.660]  stuff. And they're getting all new plastics and new way of doing things.
[24:47.660 --> 24:53.580]  And so scaling up isn't always a fancy, you know, state of the art new greenhouse these
[24:53.580 --> 24:56.780]  days. It's a mixed bag, so to speak.
[24:56.780 --> 25:00.300]  And so while there's a lot of new, there's still a lot of retrofits going on.
[25:00.300 --> 25:05.340]  And some of the common mistakes are just things that for workflow, for contamination
[25:05.340 --> 25:09.580]  purposes. You know, one of the things that we deal with a lot and I don't want to speak
[25:09.580 --> 25:14.540]  for both Kevin and Scott, but I know we all deal with it is the cross contamination and
[25:14.540 --> 25:18.060]  setting up a workflow so that people aren't going backwards.
[25:18.460 --> 25:22.380]  And it's really easy to have a facility that causes people to go from clone rooms to
[25:22.380 --> 25:26.780]  flowering rooms or pass by the same doors or the same areas sometimes.
[25:26.780 --> 25:30.140]  And they don't realize that some of that stuff needs to be separated.
[25:30.140 --> 25:34.220]  And some of these massive facilities, you know, we try to create people that only work
[25:34.220 --> 25:37.180]  in the veg zones. They don't go over to flowering the propagation.
[25:37.180 --> 25:41.900]  People stay in the propagation when, you know, tours don't necessarily start out in the
[25:41.900 --> 25:44.380]  flowering rooms and then end up in the cloning rooms.
[25:44.380 --> 25:48.620]  I mean, which is most common, very common because I get a lot I get toured around a
[25:48.620 --> 25:52.860]  lot and it's, you know, people are starting to get the hang of it a little bit.
[25:52.860 --> 25:56.620]  But when it comes to the design, you know, it makes sense on paper.
[25:56.620 --> 26:00.300]  If I was somebody that just was looking at something cool on paper, I would say, yeah,
[26:00.300 --> 26:05.020]  that's beautiful. But if you don't take into the considerations that we're thinking about
[26:05.020 --> 26:08.620]  or the fallout that we've seen for some of these reasons, then you'd look at these
[26:08.620 --> 26:10.220]  drawings and go, this is crazy.
[26:10.220 --> 26:12.060]  This is like, no way.
[26:13.100 --> 26:15.340]  And so, you know, I don't know.
[26:15.340 --> 26:16.380]  What do you think, Kevin?
[26:17.260 --> 26:25.340]  I don't I don't think I think for me, I see new facilities, both small ag exempt poops
[26:25.340 --> 26:31.740]  going in and they I think they have less problems with those in terms of integrating how you
[26:31.740 --> 26:33.740]  use it because they're more comfortable with it.
[26:34.300 --> 26:39.260]  The newer facilities that I get to tour, they're, you know, state of the art that word gets
[26:39.260 --> 26:41.500]  thrown around. But I mean, these things are impressive.
[26:41.500 --> 26:46.060]  It's just that they're way too sophisticated for an average operator to understand.
[26:46.460 --> 26:51.660]  And when they laid it out, they didn't lay out the understanding that it's not normal
[26:51.660 --> 26:54.460]  agriculture. So you can't use chemical spray models.
[26:55.340 --> 27:00.940]  So if I chemically treat, I can I can control most all pathogen problems.
[27:00.940 --> 27:05.980]  But cannabis is so regulated that it creates this situation where you have to be hyper
[27:05.980 --> 27:10.140]  clean to the degree that like when I show up at jobs and I'm like, you know, like, are
[27:10.140 --> 27:10.940]  you going to dress me?
[27:10.940 --> 27:12.460]  And they go, no, no, we know who you are.
[27:12.460 --> 27:14.220]  And I'm like, I'm a fucking vector.
[27:14.780 --> 27:16.140]  It doesn't matter who I am.
[27:16.780 --> 27:18.700]  Like, where's my contamination shit?
[27:19.660 --> 27:23.660]  And I think that people are not aware of the fact that, you know, like the aphid right
[27:23.660 --> 27:25.260]  now, that's our special guest of the day.
[27:26.380 --> 27:29.340]  The multiplication rate of that thing is unbelievable.
[27:29.980 --> 27:34.380]  And in the aphid family, even though we're working with a different type of aphid, root
[27:34.380 --> 27:37.740]  aphids changed French wine forever.
[27:37.740 --> 27:39.020]  It wiped out an industry.
[27:39.100 --> 27:43.980]  They had to go to American root stock, which they didn't want to do because they had to
[27:43.980 --> 27:47.660]  admit that the pathogen came from America like 1870.
[27:48.220 --> 27:51.660]  So it comes over, smashes the whole French industry.
[27:51.660 --> 27:55.980]  They have to go to American root stock because they had resistant varieties.
[27:55.980 --> 28:00.540]  It changed an entire industry because no one could deal with the problem.
[28:00.540 --> 28:06.460]  And it still is that issue where you still can't use specific grapes in specific regions
[28:06.460 --> 28:11.740]  because the moisture level in the soil just allows them to flourish and the plants are
[28:11.740 --> 28:12.860]  non-resistant.
[28:12.860 --> 28:19.820]  So we bring in this aphid issue and it is deadly in an operation if you're not having
[28:19.820 --> 28:21.420]  a containment that's incredible.
[28:22.060 --> 28:27.420]  And I don't think anybody really designed the operations to have that level of sterility.
[28:27.420 --> 28:33.020]  I think one of the cleanest ops I know is the is it's an indoor, but it's a Wonder
[28:33.100 --> 28:38.140]  Brex op down in Long Beach where you have to go through basically blow tubes to go in.
[28:38.140 --> 28:43.340]  So it's almost like you're going into a virology lab, but that's the only way you're going
[28:43.340 --> 28:44.380]  to be able to run it.
[28:44.380 --> 28:49.900]  And I think that that's the change is that on these massive mega operations, we have
[28:49.900 --> 28:55.100]  to have to rethink the whole workflow containment, who goes where, who's allowed to be where
[28:55.900 --> 28:59.660]  and how you absolutely keep yourself protected.
[28:59.660 --> 29:03.580]  Because once you get an infestation and canopy that dense, there's nothing you can do.
[29:03.580 --> 29:08.940]  You can't bring in any kind of predation that's going to outcompete the reproduction rate
[29:08.940 --> 29:11.900]  of any of these predatory problems for us.
[29:13.900 --> 29:17.660]  So actually, and I think they drink some of the shit that we're allowed to use.
[29:17.660 --> 29:23.340]  Like, I mean, these fucking aphids like thrive on some of the shit we use to try to get rid
[29:23.340 --> 29:24.220]  of them.
[29:24.220 --> 29:28.860]  I mean, I don't know what it is, but I don't want to name any names of some of these products,
[29:28.860 --> 29:32.380]  but there's only a few of them you can use in the late flower.
[29:32.380 --> 29:37.340]  And I mean, it's at the point where I think the aphids, like I said, just drink that shit.
[29:37.340 --> 29:43.020]  Some of them die, but they multiply so fucking fast that it just, it blows the doors off.
[29:43.980 --> 29:45.900]  Anything it starts at the nursery.
[29:45.900 --> 29:46.540]  And that's the thing.
[29:47.900 --> 29:48.460]  Exactly.
[29:48.460 --> 29:49.740]  I was just going to say that.
[29:49.740 --> 29:52.780]  You start at the fucking nursery, you move it downstream.
[29:52.780 --> 29:53.580]  You screw.
[29:53.580 --> 29:54.080]  Yeah.
[29:55.040 --> 29:55.540]  Yeah.
[29:56.160 --> 30:01.040]  Actually, I mean, quickly that gets to, so you sent me a picture.
[30:04.000 --> 30:06.960]  There's a special guest, but yeah.
[30:06.960 --> 30:10.240]  Do you want to talk about kind of just in case you brought him?
[30:15.920 --> 30:20.800]  So just quickly, do you want to talk about some of the stuff you've seen and operations
[30:20.800 --> 30:25.040]  you've consulted on and kind of some standard operating procedures and best practices for
[30:25.040 --> 30:30.000]  bringing things in from the outside, which typically is, you know, clones and cuttings?
[30:31.920 --> 30:34.640]  Yeah. I mean, you know, there has to be a quarantine
[30:35.360 --> 30:38.800]  a portion of the facility when you're bringing stuff in for intake,
[30:38.800 --> 30:41.360]  and then you got to be able to look stuff over pretty good.
[30:43.120 --> 30:47.520]  And, and whether you're using, you know, I just posted a little story of a little
[30:47.520 --> 30:54.240]  microscope thing that isn't a fancy microscope like Scott use, but it cooks up to your computer,
[30:54.240 --> 30:59.680]  or you can use like a jewelers type of a microscope, handheld deal that you go around.
[30:59.680 --> 31:04.320]  And a lot of the PCAs and regular ag use these things and you just look at the leaves.
[31:04.320 --> 31:09.040]  And so, you know, there's just a lot of looking at these clones when you're bringing them in,
[31:09.040 --> 31:13.040]  because, you know, every nursery has a little something.
[31:13.040 --> 31:14.160]  It's just at scale.
[31:14.160 --> 31:16.560]  There's just no getting around some of that stuff.
[31:16.640 --> 31:21.760]  And so no matter how hard they try, you have to try just as hard and not, you know,
[31:22.800 --> 31:25.680]  kind of waver on thinking that things are clean when they're not.
[31:26.720 --> 31:30.480]  Because you can look at 30 different leaves all around all these trays,
[31:30.480 --> 31:33.440]  and it takes, you know, one leaf to finally find something.
[31:33.440 --> 31:35.200]  And most people give up on five.
[31:36.480 --> 31:41.360]  And so, you know, it's a tremendous amount of looking at things, paying attention to that stuff.
[31:41.360 --> 31:47.200]  And it's not necessarily my, you know, my original deal, but I've just been seeing a lot
[31:47.200 --> 31:47.760]  of it lately.
[31:47.760 --> 31:52.560]  And so communicating with a lot of the farms and people that I work with, even up in Humboldt,
[31:52.560 --> 31:54.640]  it's not just in, you know, a valley type of thing.
[31:54.640 --> 31:56.720]  It happens to be all over.
[31:56.720 --> 32:02.480]  Like I'm talking, and if you talk to people, you know, at least when I talk to them one on one,
[32:02.480 --> 32:05.920]  you know, people are say straight up, yeah, I'm fucking having problems.
[32:05.920 --> 32:10.640]  This situation this year, some people blame it on the big rains we had two years ago that
[32:10.640 --> 32:14.480]  all of a sudden, you know, brought in all the aphids after the drought, you know, there's all
[32:14.480 --> 32:16.560]  these folklore going around or whatever.
[32:16.560 --> 32:20.080]  But nevertheless, they're here and they multiply fast.
[32:20.080 --> 32:25.200]  And it doesn't matter where you are in cannabis, this state, that state, up north, down south,
[32:25.200 --> 32:25.760]  or whatever.
[32:25.760 --> 32:28.000]  It's a problem for a lot of people.
[32:28.000 --> 32:34.000]  And it comes back also to the viroid, you know, it's, you know, the viroid for the plants,
[32:34.000 --> 32:38.560]  whatever you want to call it, the dudding is a huge problem too.
[32:38.560 --> 32:40.800]  And I think that's a big vector for bugs.
[32:40.800 --> 32:42.160]  It's a generational thing.
[32:42.160 --> 32:43.920]  It's been transferred around.
[32:43.920 --> 32:48.640]  And a lot of the people that found this viroid don't want to say or say bugs don't transmit
[32:48.640 --> 32:49.760]  this shit.
[32:49.760 --> 32:54.320]  But there's a few people that I really believe in online and stuff that I follow, and they're
[32:54.320 --> 32:55.280]  deep into bugs.
[32:55.280 --> 32:56.880]  And they say that it does.
[32:56.880 --> 33:00.800]  And I kind of agree with them because it's another vector.
[33:00.800 --> 33:04.720]  The thing that people have to realize with quarantine too, right, is you're not just
[33:04.720 --> 33:06.240]  quarantining shit you can see.
[33:06.960 --> 33:09.280]  So that I like, I'll give a plug to the company.
[33:09.280 --> 33:09.840]  I like that.
[33:09.840 --> 33:14.480]  I mean, I wish they gave me the microscope, but I love my little dynalite because it plugs
[33:14.480 --> 33:17.520]  into my pad and it gives me a big screen to look at.
[33:17.520 --> 33:20.320]  And it's really efficient, but that doesn't let me look at viral issues.
[33:20.320 --> 33:26.240]  And so the problem that people would bring new plants in is it's not just pathogens that
[33:26.240 --> 33:28.480]  are going to multiply in that form, but it's in viroid.
[33:29.360 --> 33:35.280]  And once you bring that plant into the facility, anything you cut a touch and transfer sap,
[33:35.920 --> 33:37.360]  you can transfer that.
[33:37.360 --> 33:39.680]  And now you start to move it into your populations.
[33:40.560 --> 33:47.120]  And by the time you realize what you've done, you've reduced your overall TURP levels, potency
[33:47.120 --> 33:50.720]  levels, resistance, anything that has to do with sugar transport.
[33:51.440 --> 33:55.440]  And so I think that what people don't do is they get new plants and they need to send
[33:55.440 --> 33:57.520]  out tissue sample of those plants to a lab.
[33:57.520 --> 34:01.120]  It's about 150 bucks and you can get a virus analysis.
[34:01.840 --> 34:06.800]  And then you do your diligence on searching the plant for things that you can visibly
[34:06.800 --> 34:07.040]  see.
[34:07.840 --> 34:11.040]  And then you let the lab search it for things that you can't see.
[34:11.040 --> 34:13.760]  And now you know you have a plant that's pretty decent.
[34:13.760 --> 34:18.560]  And if it's priceless, then you send it off to a lab and get it meristem cultured, let
[34:18.560 --> 34:20.960]  them scrub it, let them return it to you clean.
[34:21.600 --> 34:25.520]  If it doesn't have any virus issues, it doesn't need to be meristem scrubbed.
[34:25.520 --> 34:27.120]  So you can save yourself the five grand.
[34:27.920 --> 34:29.280]  But you got to make that decision.
[34:30.000 --> 34:33.280]  I ask people all the time when I go to these jobs, I said, who picked the library?
[34:34.000 --> 34:35.440]  Why are you growing these plants?
[34:35.440 --> 34:37.600]  And they go, because this is what was here before.
[34:38.160 --> 34:42.560]  And I said, what's the basis of the choice?
[34:42.560 --> 34:43.840]  And no one can answer it.
[34:43.840 --> 34:45.280]  The investors can't answer it.
[34:45.280 --> 34:46.560]  The growers can't answer it.
[34:47.200 --> 34:51.600]  And so you look at these things and you're just like, wait a second, there has to be
[34:51.600 --> 34:58.720]  a really clear idea of what you're trying to do with your production destination, where
[34:58.720 --> 35:00.800]  the products are going to go, what you're going to use.
[35:01.360 --> 35:05.440]  And instead of trying to make these phenomenal collections of 8000 different types of
[35:05.440 --> 35:10.560]  varieties, you get core varieties you can work with that, you know, that you can understand
[35:10.560 --> 35:14.000]  that there are problems that they have inherently with resistance.
[35:14.000 --> 35:17.760]  And then you can simplify it and then you can expand what you work with.
[35:17.760 --> 35:20.400]  But people take on so much complexity.
[35:20.400 --> 35:23.200]  They don't look at the problem clearly enough.
[35:23.200 --> 35:27.920]  And then when it moves out of that quarantine into the nursery, then it spreads into all
[35:27.920 --> 35:28.720]  the bays.
[35:28.720 --> 35:30.960]  So it's not even isolated in one bay.
[35:30.960 --> 35:32.480]  It's in all the bays.
[35:32.480 --> 35:34.080]  And now there's nothing you can do.
[35:34.880 --> 35:39.600]  It's just nonstop trying to sterilize the space, bring new material in.
[35:39.600 --> 35:43.280]  But I'm telling you, these things can hide in a fucking molecule.
[35:43.280 --> 35:46.800]  And when they pop out, they pop out with like 8000 children.
[35:46.800 --> 35:51.760]  Brusset mites were considered deadly, but the aphid makes all of these things look
[35:51.760 --> 35:53.040]  really, really simple.
[35:55.600 --> 35:56.800]  It's true, man.
[35:57.040 --> 36:01.840]  And the virus, the protocols now with some of this stuff are insane.
[36:01.840 --> 36:05.600]  And that's something that people can also, you know, a lot of times these nurseries are
[36:05.600 --> 36:07.600]  kind of transparent on how they do things.
[36:07.600 --> 36:13.200]  And so you might be able to pick up nowadays on how well they're doing on containing their
[36:13.200 --> 36:16.000]  virus, because this shit is no joke.
[36:17.520 --> 36:20.640]  And so there's nurseries I know and things, their protocols are insane.
[36:20.640 --> 36:23.280]  And I mean, each mom has its own set of scissors.
[36:23.280 --> 36:25.040]  They don't transfer scissors for it.
[36:25.760 --> 36:26.880]  Yeah, it doesn't move.
[36:26.880 --> 36:28.320]  You don't take it with you anywhere.
[36:28.320 --> 36:34.880]  It stays in a cup of bleach right there near that plant or that specific area of the plant.
[36:34.880 --> 36:37.040]  So each plant has its own scissors.
[36:37.680 --> 36:41.840]  The de-leafing when you're moving around and de-leafing because you're making wounds there.
[36:41.840 --> 36:43.280]  I mean, it's just kind of crazy.
[36:43.280 --> 36:47.520]  I mean, it's kind of coincidental that we're dealing with the, you know, I know the dudding
[36:47.520 --> 36:53.760]  has been around for a while, but now with this coronavirus and the HPL virus or whatever,
[36:53.760 --> 36:57.360]  everybody's getting real fucking, you know, sanitary.
[36:58.320 --> 37:00.240]  Talking about drinking Clorox and shit.
[37:02.080 --> 37:08.720]  The thing is that if you're running these nursery operations and you get this infestation
[37:09.520 --> 37:14.160]  and you release it into any of these operations, the lawsuits are going to bury you alive.
[37:15.120 --> 37:20.000]  And the thing that I noticed is that, you know, every investment group has some attorneys on
[37:20.000 --> 37:21.040]  the team.
[37:21.040 --> 37:25.040]  So lawsuits aren't hard to file when your business partner is a lawyer.
[37:25.920 --> 37:31.520]  And it really starts to create issues where the nurseries, and even if it's in-house nursery,
[37:31.520 --> 37:34.400]  if it's your in-house nursery, you have to treat it like you're going to get sued
[37:35.120 --> 37:37.280]  because you're going to end up killing your own business.
[37:37.280 --> 37:40.240]  But for, you know, offshoot nurseries that provide to the public,
[37:40.960 --> 37:46.000]  the diligence they have to put together to make sure they're protected because there'll be no
[37:46.000 --> 37:50.560]  forgiveness for the mistake because the margins are so small that you can't make it up.
[37:50.640 --> 37:54.880]  Years past, we could make mistakes because we were all in the learning curve.
[37:54.880 --> 38:00.080]  And we all had a different level of ability to what we could do because lack of legalization
[38:00.080 --> 38:04.400]  changed our ability to actually put together stable infrastructure.
[38:04.400 --> 38:09.440]  But now that all that's in play, man, it puts you in a hell of vulnerable situation.
[38:09.440 --> 38:14.720]  And I think that's where the rise of the labs are coming in, where the technology to get around
[38:14.720 --> 38:19.520]  these issues with orchid, to get around it with banana, to get around it with strawberry,
[38:19.520 --> 38:22.640]  they had to go that route because they couldn't control it any other way.
[38:22.640 --> 38:24.400]  They're going to transfer it in our direction.
[38:24.960 --> 38:28.720]  And I just think that that's important for nursery operators to understand that
[38:29.280 --> 38:35.520]  the technology that's coming out to deal with these issues is expensive and it's not simple to
[38:35.520 --> 38:40.080]  do. And you have to make sure you're clear that that's going to be the future that's coming.
[38:40.080 --> 38:44.640]  So if you make the decision to be a nursery operator, you develop partnerships with these
[38:44.640 --> 38:48.720]  groups or you become your own laboratory based system.
[38:48.720 --> 38:52.240]  But I think a lot of the conventional agricultural practices we had
[38:52.880 --> 38:56.320]  and how we function prior are going to change dramatically, just like socially with the
[38:56.320 --> 38:59.760]  coronavirus. I mean, this shit just changed the world in a day.
[39:03.360 --> 39:13.280]  So just quickly, Scott, we have a bunch of living soil, JADAM, K&F enthusiasts watching right now.
[39:13.360 --> 39:19.680]  And I know you run a lot of, you do a lot of experimentation.
[39:19.680 --> 39:23.760]  And so can you talk about maybe, like, I love that you, I don't know if you still have your
[39:23.760 --> 39:28.800]  home grow, but like, it seems like you were always experimenting there to, you know, prove
[39:28.800 --> 39:34.000]  or disprove things. So can you talk about some things that you've been experimenting and what
[39:34.000 --> 39:41.840]  you've learned, whether it's related to pests or plant growth, but generally the kind of ecosystem
[39:41.840 --> 39:45.600]  of microbes, plant roots and plants and soil and all that stuff?
[39:48.800 --> 39:51.600]  Yeah, I guess, deep, I guess, I guess to clarify.
[39:52.560 --> 39:58.560]  Yeah, my wife, Sarah and I, we use our personal home grow to really just go bananas on.
[39:58.560 --> 40:02.320]  And that's one of the reasons why I rarely show it is because I don't think the mindset of the
[40:02.320 --> 40:07.120]  average viewer from the internet can really wrap their head around what we're doing.
[40:07.120 --> 40:10.800]  They just see that there's mold in my garden and they say, I don't know shit, but they don't
[40:10.800 --> 40:16.000]  understand that we're purposely putting in there so that we can get repetitions on how to defeat
[40:16.000 --> 40:21.680]  it so that I can confidently go into a facility and fix things. And so, yeah, so the last run
[40:21.680 --> 40:25.200]  that we did, we were, you know, I purposely let them get moldy so we could clear it out.
[40:25.200 --> 40:31.760]  The run before that, I took in some spider mite infested clones and duped it out with those. And
[40:31.760 --> 40:39.600]  then, and so that's what we do because, you know, my job is fixing problems and I come from a sports
[40:39.600 --> 40:43.040]  background. So if you're going to be asked to hit home runs in the world series, you better do some
[40:43.040 --> 40:50.000]  batting practice. So the stuff that we've seen has pretty much completely removed any fear of a
[40:50.000 --> 40:55.360]  problem from us, just because we've seen such horrific problems and navigated people out of
[40:55.360 --> 41:01.280]  them using living soil techniques. To kind of tie in what Kevin was saying earlier is we come into
[41:01.280 --> 41:07.120]  these facilities that have a dysfunctional attachment to genetics. And there's a lot of
[41:07.120 --> 41:13.200]  times we come in with a new cultivator to renovate a property and the property owners insist that
[41:13.200 --> 41:18.800]  they maintain genetics. So we've had a lot of experience taking clones that were contaminated
[41:18.800 --> 41:24.720]  with things like mycobutanol and AVID and all the things that you're not at all supposed to use, but
[41:24.720 --> 41:29.760]  during the times of problem they did use. And so what we've kind of found over the last handful
[41:29.760 --> 41:36.080]  of years is that if you have a good soil that has adequate mineral density and mineral balance,
[41:36.160 --> 41:51.150]  and you have high... Sorry, Scott, you cut out without... Sorry, can you take it back to when you have good soil?
[41:52.670 --> 42:00.590]  Mineral density. So yeah, so what we found is if you have good mineral density in your soil and you
[42:00.590 --> 42:06.350]  have high populations of good soil food web organisms, all the things that tissue culture
[42:06.350 --> 42:15.070]  claims, nature also has a strategy for. And so if you have really high biological populations,
[42:15.870 --> 42:21.870]  if there is a virus in the plant, the plant has the ability to kind of quarantine it to a branch
[42:21.870 --> 42:28.270]  and it'll form like this really weird callus, almost like it has a scar tissue.
[42:29.070 --> 42:37.970]  Scott, we lost you again after scar tissue.
[42:39.650 --> 42:46.370]  Scott, can you pick it up with scar tissue again? Yeah, sorry.
[42:50.040 --> 42:57.880]  If you can hear me, Scott, we cannot hear you. So we'll wait for you to come back.
[42:58.440 --> 43:05.400]  What he's saying though... Sorry, sorry. So Scott, bring it back to the scar tissue again.
[43:06.840 --> 43:10.840]  Sorry about that. We're out here in the mountains and it's a little dodgy. Sorry, we gotta
[43:12.440 --> 43:21.080]  repoint the satellite dish. So what I'm trying to say is that, you know, a lot of the
[43:21.080 --> 43:27.960]  things that tissue culture claims that is the benefit, good living soil biology and good
[43:27.960 --> 43:33.320]  mineral density can also provide those same benefits. There was one particular farm that
[43:34.120 --> 43:39.960]  had plants that were, you know, coated in systemic fungicides. They were treated with Avid, things
[43:39.960 --> 43:46.760]  like that. And we actually put them into a good living soil system, veged them out. We hacked out
[43:46.920 --> 43:53.000]  the, that first biomass that came out and threw it away. That next round of biomass that came out,
[43:53.000 --> 43:59.800]  we cloned, ran through propagation and into the flowering and all that flower tested clean. So
[43:59.800 --> 44:06.200]  in about a, you know, six week period, we were able to clean some plants up, get them ready for
[44:06.200 --> 44:10.200]  production. And the flower tested clean, which actually kind of blew the mind of the lab.
[44:11.320 --> 44:15.080]  All the labs said that there was no way that was going to work. We didn't know, we were just
[44:15.080 --> 44:21.560]  tinkering. And so I think there's a lot of untapped potential out there that people have no
[44:21.560 --> 44:28.520]  real idea exist because, you know, the people that did that study, they definitely don't tell
[44:28.520 --> 44:34.120]  anybody about it. And that was back in, I was in like mid 2017 when we did that. And, you know,
[44:34.120 --> 44:38.440]  that farm is definitely not that information. Cause that's a tremendous advantage in the market.
[44:38.440 --> 44:42.040]  If you can clean up problems in a few weeks, you're not going to share that with your neighbor,
[44:42.840 --> 44:49.000]  you know, but, um, we, we did that with, with, with, with, with the years ago,
[44:49.000 --> 44:55.000]  with before, before the dark art said that they found the virus, Rick Crumb was a virologist.
[44:55.000 --> 44:59.400]  I don't know if you know, Rick, but crumb and a couple of guys from, uh, I would say UCLA
[44:59.400 --> 45:05.640]  brought us plants and Alan Atkinson. And I had a conversation about using, uh, biologically
[45:05.640 --> 45:11.000]  driven methodologies to increase natural resistance and would it work against the virus?
[45:11.000 --> 45:16.680]  And so next thing I know, I guess some virus plants with me and I was able to do the tests
[45:16.680 --> 45:21.080]  and we were able to get the plant back to functionality to where it had no change because
[45:21.080 --> 45:26.600]  we had already had labs on it prior. So I knew what it did when it was clean. And then we saw
[45:26.600 --> 45:31.400]  what it did when it was affected. And then we saw what it did after the cleansing, but it didn't
[45:31.400 --> 45:37.240]  remove the virus. It just brought it to a level that was workable. So we kind of, we, we used an
[45:37.240 --> 45:42.440]  analogy of, it was kind of like the way magic Johnson was able to get HIV to a level that it
[45:42.440 --> 45:47.960]  was almost non-detectable and non-invasive in his life. It doesn't change the fact that he still
[45:47.960 --> 45:54.760]  holds it in his body. And so TC doesn't change the fact that good biologically driven methods
[45:54.760 --> 46:00.600]  of production are to me are the best way to get a plant's resistance high. And I think that it
[46:00.600 --> 46:09.000]  helps shed and scrub issues, but TC is, is by far the only, you're not going to get that virus
[46:09.000 --> 46:14.040]  problem, any virus out of the plant completely. You'll just get it to a workable level. And what
[46:14.040 --> 46:18.680]  we found was when we took those plants and then put them into any other environment, other than
[46:18.680 --> 46:24.120]  that biologically driven one back into like a chemical situation, the biofactors that allowed
[46:24.120 --> 46:28.520]  that to function weren't present. And we don't know which ones they were because the, you know,
[46:28.520 --> 46:34.760]  it's too complex. It's a combination, not a single thing. And the stress would then, if the
[46:34.760 --> 46:40.280]  plant got overheated, if it had too much salinity, you would see it start to exhibit these viral
[46:40.280 --> 46:45.080]  traits. And I didn't get a chance to do the, any work with them after that point, but I would love
[46:45.080 --> 46:50.760]  to have seen the change in a viroid issue within the plant, meaning how much obstruction was in
[46:50.760 --> 46:57.800]  the vascular bundles relative to what was there prior. So I'm someone who is like, my farm is
[46:57.800 --> 47:02.040]  biologically driven and I don't seem to have any issues up top and I'm grateful for that,
[47:02.040 --> 47:07.400]  but I do a lot of containment where I don't let anybody go up the hill. I don't have any neighbors
[47:07.400 --> 47:13.000]  and I make sure that my mineral density is as high as I can drive it so that the plant has as much
[47:13.000 --> 47:21.000]  natural response as possible. But I still think that, you know, science in preservation of things
[47:21.000 --> 47:26.600]  that are damaged and to protect the nursery operations, the tool to hold and clean,
[47:27.720 --> 47:29.480]  I don't see us ever going away from it.
[47:31.880 --> 47:37.080]  Yeah. And I definitely advocate tissue culture. I wasn't necessarily saying it's definitely a
[47:37.080 --> 47:41.880]  tool that needs to be implemented and can provide great benefit. I was just necessarily saying that
[47:41.880 --> 47:46.280]  like nature has a lot of strategies for these things. Yeah. You know? Yeah. Yeah. Totally.
[47:46.840 --> 47:51.080]  And I fully agree because you and I've had this conversation many times about
[47:51.080 --> 47:55.240]  once the bottom end is right, the plant seems to work out the problem pretty well.
[47:56.440 --> 48:02.680]  Once we have the correct nutrient balance, the plant isn't exhibiting stress symptoms that bring
[48:02.680 --> 48:09.320]  insects on. Once our epidural layers are adequately built, we don't seem to have probing insects
[48:09.320 --> 48:15.160]  penetrating and causing the problems. But the thing is that I know that it's a secret you
[48:15.160 --> 48:20.680]  want to keep for the for yourself because it's a market advantage. But the situation is that
[48:20.680 --> 48:24.920]  you're you're I mean, that's why I try to give information out all the time. It's that
[48:25.720 --> 48:31.720]  we're in the beginning of building an industry and that if if more of us survive, the better.
[48:32.600 --> 48:38.840]  And what that'll do is it allow a much better unity as an industry. You have the ability to
[48:38.840 --> 48:44.760]  have success. Success builds finances. Finances build lobby. Lobby builds influence. And that's
[48:44.760 --> 48:49.000]  what we don't have. We don't have any of these things. And so a lot of this information, that's
[48:49.000 --> 48:55.160]  why, you know, these type of little symposium we're on today is killer because it's all unfiltered
[48:55.160 --> 48:59.640]  shit. But you get it in a real opinion. And I think they know that that's the part that has to
[48:59.640 --> 49:05.240]  get shared is that the big picture has to be shown and then the details that has to be worked out
[49:05.240 --> 49:16.770]  individually. Yeah, for sure. Yeah. If we can only yeah. If only everybody would get together.
[49:17.650 --> 49:23.250]  Get along. No, no. But it's it's it's it's a process. We're getting along right now, you know,
[49:23.250 --> 49:28.930]  so we we've all all of us have had common interest on projects that we wanted to see succeed and
[49:28.930 --> 49:33.970]  we try to do the best we can. And I think that's what the the public has to see.
[49:33.970 --> 49:39.650]  Meaning the grower public is that so much of this stuff is complicated. And a lot of times
[49:39.650 --> 49:44.210]  the only way you're going to succeed is if you share the information. The larger corporations,
[49:44.210 --> 49:48.610]  they all believe they have proprietary IP. Each one lets me know, you know, we have all this
[49:48.610 --> 49:59.650]  top secret shit. And I'm like, it's a fucking injector. It's not that. Yeah. Yeah. No hybrid
[49:59.650 --> 50:05.330]  state of the art. All these, you know, we're about to show the world, you know, it's crazy.
[50:06.130 --> 50:11.970]  Yeah. I'm like, you ain't going to show anybody shit. I see a paint sprayer in there.
[50:15.090 --> 50:22.690]  I see. Eric, can you because we touched on that, the paint sprayer. And I know, Scott,
