[00:00.000 --> 00:03.040]  with this phytocannabinoid diet.
[01:36:04.460 --> 01:36:06.460]  get up to four crops per year,
[01:36:07.340 --> 01:36:09.500]  and it's gonna be sucking CO2 out of the atmosphere
[01:36:09.500 --> 01:36:10.860]  four times faster.
[01:36:10.860 --> 01:36:13.180]  As well as improving the soil system as well.
[01:36:13.740 --> 01:36:15.700]  Yes, exactly, yeah.
[01:36:15.700 --> 01:36:18.420]  So we have a lot of places that have been deforested,
[01:36:18.420 --> 01:36:23.420]  et cetera, and pretty quickly,
[01:36:23.460 --> 01:36:26.140]  a lot of places, say these rainforests,
[01:36:26.140 --> 01:36:28.620]  the soils degrade very rapidly,
[01:36:28.620 --> 01:36:32.620]  and hemp could potentially regenerate some of those soils.
[01:36:33.580 --> 01:36:35.780]  Or it could be planted in a lot of the places
[01:36:35.780 --> 01:36:38.500]  where mining, strip mining is gonna happen,
[01:36:38.500 --> 01:36:40.900]  happen for mining, et cetera.
[01:36:41.620 --> 01:36:45.860]  Here's another thing that just blows my mind.
[01:36:45.860 --> 01:36:50.860]  I recently saw a documentary about how bad livestock,
[01:36:56.020 --> 01:36:58.180]  raising livestock is for the planet.
[01:36:58.180 --> 01:37:01.500]  I mean, I can't remember the name of it was.
[01:37:01.500 --> 01:37:03.780]  Just trying to feed all the animals.
[01:37:03.780 --> 01:37:06.220]  It's mainly cattle.
[01:37:06.220 --> 01:37:10.860]  Just the amount of water that they consume,
[01:37:11.700 --> 01:37:13.660]  and the amount of pasture, et cetera.
[01:37:14.620 --> 01:37:18.540]  But it's one of the primary reasons
[01:37:18.540 --> 01:37:20.660]  for deforestation right now.
[01:37:21.940 --> 01:37:25.380]  So imagine this, if all of a sudden
[01:37:25.380 --> 01:37:30.380]  we could make hempcrete homes 22 stories tall
[01:37:31.780 --> 01:37:35.980]  with compressed wood from Greg Wilson and hempwood, right?
[01:37:35.980 --> 01:37:39.980]  Imagine if we could replace 50% of all steel,
[01:37:39.980 --> 01:37:41.660]  aluminum fiber, glass and carbon fiber
[01:37:41.660 --> 01:37:44.500]  for using carbon negative fiber instead of hemp.
[01:37:46.180 --> 01:37:48.140]  And then we're starting,
[01:37:49.060 --> 01:37:52.300]  and now the hempcrete that we would be putting
[01:37:52.300 --> 01:37:54.700]  into these tall structures,
[01:37:54.700 --> 01:37:57.740]  because now hemp can hold them up instead of steel,
[01:37:57.740 --> 01:37:59.540]  instead of wood, right?
[01:37:59.540 --> 01:38:02.300]  So we're using a whole lot more hempcrete.
[01:38:02.300 --> 01:38:03.780]  I mean, we're going in the right direction.
[01:38:03.780 --> 01:38:08.780]  And now as well, if we're growing hemp for that fiber,
[01:38:10.140 --> 01:38:13.180]  that's used, and also for the seed, right?
[01:38:13.180 --> 01:38:15.660]  Which could be made into hamburgers, right?
[01:38:15.660 --> 01:38:17.140]  And feed poor people.
[01:38:17.140 --> 01:38:19.500]  I mean, that's the reason for a lot of deforestation
[01:38:19.500 --> 01:38:22.220]  is subsistence of subsistence living.
[01:38:22.220 --> 01:38:25.820]  People cut down trees in Brazil
[01:38:25.820 --> 01:38:27.620]  just to be able to raise a couple of pigs,
[01:38:27.620 --> 01:38:29.900]  maybe a lot of people have them, right?
[01:38:29.900 --> 01:38:31.580]  But if they can get their protein
[01:38:31.580 --> 01:38:33.020]  from a better source of protein,
[01:38:33.020 --> 01:38:34.540]  which we all know is hemp seed.
[01:38:34.540 --> 01:38:35.380]  A hundred percent.
[01:38:35.380 --> 01:38:36.460]  Exactly.
[01:38:36.460 --> 01:38:37.420]  It's a beautiful thing.
[01:38:37.420 --> 01:38:40.460]  So now we're talking about making,
[01:38:41.540 --> 01:38:45.500]  from going from where reforestation could potentially
[01:38:45.500 --> 01:38:47.700]  affect about five gigatons per year
[01:38:47.700 --> 01:38:49.340]  if it was done really seriously.
[01:38:49.340 --> 01:38:52.700]  We're talking now to get into the neighborhood of twice that
[01:38:52.700 --> 01:38:56.620]  simply by growing hemp to address,
[01:38:56.620 --> 01:38:58.520]  you know, replacing a lot of concrete.
[01:39:00.140 --> 01:39:03.340]  Again, I'm sure you've explained to some of your guests,
[01:39:03.340 --> 01:39:06.300]  to your guests or to your audience,
[01:39:06.300 --> 01:39:07.900]  you've had people talking about hemp green.
[01:39:07.900 --> 01:39:09.980]  It's not the same as concrete.
[01:39:09.980 --> 01:39:11.420]  Oh yeah, absolutely.
[01:39:11.420 --> 01:39:13.180]  We plan to talk about that more.
[01:39:13.180 --> 01:39:15.260]  All of our viewers, so you know, Bruce,
[01:39:15.260 --> 01:39:16.380]  we're living soil.
[01:39:16.380 --> 01:39:18.140]  We believe that we're, you know,
[01:39:18.140 --> 01:39:21.260]  we're going out of our way to use the microbial life
[01:39:21.260 --> 01:39:24.380]  to produce cannabis and hemp instead of synthetic.
[01:39:24.380 --> 01:39:27.180]  So we're really big on everything that you're about.
[01:39:27.180 --> 01:39:31.980]  Our viewers are just hardened and passionate about.
[01:39:31.980 --> 01:39:32.820]  It's the plant.
[01:39:32.820 --> 01:39:34.860]  I mean, Future Cannabis Project,
[01:39:35.340 --> 01:39:36.460]  that's hosted by Peter here.
[01:39:36.460 --> 01:39:38.540]  He's the owner of Future Cannabis Project.
[01:39:38.540 --> 01:39:40.140]  He goes out of his way.
[01:39:40.140 --> 01:39:41.660]  You should see this guy as an animal
[01:39:41.660 --> 01:39:43.420]  with the amount of free education
[01:39:43.420 --> 01:39:46.180]  that he's putting out there for the viewership.
[01:39:46.180 --> 01:39:48.500]  And again, it's all coming back to more of a
[01:39:48.500 --> 01:39:50.340]  beyond organic living soil,
[01:39:50.340 --> 01:39:53.100]  like for lack of a better term,
[01:39:53.100 --> 01:39:54.940]  we call that Korean natural farming,
[01:39:54.940 --> 01:39:56.940]  even though it was created in Japan.
[01:39:56.940 --> 01:39:58.300]  So a lot of us are trying to change that
[01:39:58.300 --> 01:40:01.140]  into like modern natural farming or natural farming,
[01:40:01.140 --> 01:40:02.700]  but that's getting back to the basics,
[01:40:02.740 --> 01:40:05.460]  using plants to create cannabis,
[01:40:05.460 --> 01:40:08.660]  using aloe vera to clone instead of using synthetic.
[01:40:08.660 --> 01:40:12.660]  So all of our viewers are really big into saving the planet.
[01:40:13.820 --> 01:40:16.700]  The earth is just as important as for us
[01:40:16.700 --> 01:40:18.700]  as it should be for our future children.
[01:40:18.700 --> 01:40:20.420]  Yeah.
[01:40:20.420 --> 01:40:21.860]  Hemp is the answer.
[01:40:21.860 --> 01:40:22.700]  Yes sir.
[01:40:22.700 --> 01:40:24.540]  Can you guys hear me by the way?
[01:40:24.540 --> 01:40:25.420]  We can.
[01:40:25.420 --> 01:40:26.260]  Now we can.
[01:40:26.260 --> 01:40:27.100]  Oh my God.
[01:40:27.100 --> 01:40:27.940]  All right.
[01:40:27.940 --> 01:40:29.660]  So just some curiosity questions.
[01:40:29.660 --> 01:40:34.660]  A lot of the hemp seed breeding and production
[01:40:35.580 --> 01:40:39.540]  is geared towards extraction of high CBD.
[01:40:39.540 --> 01:40:43.180]  So can you talk about what you'd like to see in the market
[01:40:43.180 --> 01:40:47.140]  for people breeding towards your needs of like fiber
[01:40:47.140 --> 01:40:49.580]  and tensile strength and things like that
[01:40:49.580 --> 01:40:50.740]  and where we are today
[01:40:50.740 --> 01:40:53.500]  and who's doing some interesting breeding
[01:40:53.500 --> 01:40:57.420]  or who needs to step up for other hemp uses
[01:40:57.460 --> 01:41:00.100]  besides extraction?
[01:41:00.100 --> 01:41:01.140]  Is that Peter?
[01:41:01.140 --> 01:41:01.980]  That is Peter.
[01:41:01.980 --> 01:41:04.420]  The secret voice that's coming through these headphones?
[01:41:04.420 --> 01:41:05.260]  Yeah.
[01:41:05.260 --> 01:41:06.620]  Peter, you wanna put your face up?
[01:41:06.620 --> 01:41:08.180]  Hey Peter.
[01:41:08.180 --> 01:41:09.020]  That's him.
[01:41:09.020 --> 01:41:10.500]  Hey, how you doing?
[01:41:10.500 --> 01:41:11.340]  Sure.
[01:41:11.340 --> 01:41:12.900]  I'll comment on that.
[01:41:12.900 --> 01:41:16.260]  Here at the show, we're hoping to run into more people
[01:41:16.260 --> 01:41:18.180]  that are focused on fiber.
[01:41:18.180 --> 01:41:19.020]  Absolutely.
[01:41:22.740 --> 01:41:24.820]  Last time I was at this show was two years ago
[01:41:24.820 --> 01:41:29.220]  and it was just CBD, CBD.
[01:41:29.220 --> 01:41:30.420]  Kind of like-
[01:41:30.420 --> 01:41:32.140]  That was the hot word that year.
[01:41:32.140 --> 01:41:32.980]  Who are you?
[01:41:32.980 --> 01:41:34.740]  You made a car out of hemp fiber?
[01:41:36.660 --> 01:41:41.100]  But right now I think that the fiber thing,
[01:41:41.100 --> 01:41:43.980]  the message really starting to really stick strong.
[01:41:45.140 --> 01:41:50.140]  So we are looking, I am looking for the best cultivars
[01:41:51.100 --> 01:41:56.100]  for fiber, which will give us the highest strength fiber.
[01:41:57.820 --> 01:41:59.820]  Are there any brands that you feel like-
[01:41:59.820 --> 01:42:04.140]  I can't say that I recommend anything right now.
[01:42:05.860 --> 01:42:09.140]  In building the prototype
[01:42:09.140 --> 01:42:11.020]  and then the first limited production car,
[01:42:11.020 --> 01:42:12.940]  we use commercial off the shelf stuff.
[01:42:14.340 --> 01:42:19.340]  And so some of it was from Enviro Textiles,
[01:42:20.900 --> 01:42:23.420]  Barbara and Summer in Colorado.
[01:42:23.420 --> 01:42:25.260]  Some of it was from Lawrence Serbin
[01:42:25.260 --> 01:42:29.580]  in Southern California, Hemp Traders.
[01:42:29.580 --> 01:42:31.740]  And some of it was from China.
[01:42:31.740 --> 01:42:34.900]  So all good suppliers.
[01:42:34.900 --> 01:42:37.820]  But as we go forward, we know just from studies
[01:42:37.820 --> 01:42:40.100]  that have been done by scientists
[01:42:40.100 --> 01:42:45.100]  that the smaller diameter of the hemp fiber,
[01:42:47.740 --> 01:42:49.500]  the stronger it is.
[01:42:49.500 --> 01:42:52.780]  So I've had probably a hundred different people contact me
[01:42:52.780 --> 01:42:57.460]  saying, move your car manufacturing facility to our state
[01:42:57.460 --> 01:42:58.300]  because we're gonna grow hemp
[01:42:58.300 --> 01:43:00.860]  and we want to make the hemp fiber.
[01:43:00.860 --> 01:43:03.020]  And I said, well, what are you guys doing now?
[01:43:03.020 --> 01:43:03.860]  They say CBD.
[01:43:03.860 --> 01:43:05.860]  I say, it's not good.
[01:43:05.860 --> 01:43:09.300]  If you want to get really, really high quality fiber
[01:43:10.300 --> 01:43:11.780]  for this type of application
[01:43:11.780 --> 01:43:14.940]  to replace structural materials,
[01:43:14.940 --> 01:43:17.460]  you want to grow specifically for fiber
[01:43:17.460 --> 01:43:21.340]  and you really want to use the male part of the plant.
[01:43:21.340 --> 01:43:23.500]  So here, everybody else is running around.
[01:43:23.500 --> 01:43:24.340]  Yeah, we love the females.
[01:43:24.340 --> 01:43:25.900]  All we want is females.
[01:43:25.900 --> 01:43:28.340]  I'm going like, what the hell do you do with females?
[01:43:28.340 --> 01:43:29.180]  So-
[01:43:30.100 --> 01:43:31.700]  The male fiber from the plant
[01:43:31.700 --> 01:43:34.620]  is significantly stronger than the female.
[01:43:34.620 --> 01:43:38.500]  The male fiber at just at the point of pollination
[01:43:38.500 --> 01:43:41.980]  is its optimum strength.
[01:43:41.980 --> 01:43:44.780]  So what we're gonna discover is probably
[01:43:44.820 --> 01:43:48.340]  some optimal cultivars over this next coming year.
[01:43:48.340 --> 01:43:52.820]  We are currently looking for capital
[01:43:52.820 --> 01:43:54.500]  to raise a little bit of capital
[01:43:54.500 --> 01:43:57.420]  to do an R&D facility in Fort Lauderdale.
[01:43:58.540 --> 01:44:03.060]  And we'll be experimenting with those different things.
[01:44:03.060 --> 01:44:05.740]  So we'll know more next year.
[01:44:05.740 --> 01:44:07.020]  Let's do this again next year.
[01:44:07.020 --> 01:44:09.380]  Absolutely, we plan to do this every year
[01:44:09.380 --> 01:44:12.700]  as long as Mr. Polis lets us have events like this.
[01:44:12.700 --> 01:44:13.780]  Yeah, this is great.
[01:44:13.780 --> 01:44:14.700]  Yeah, awesome.
[01:44:15.620 --> 01:44:16.460]  Well, we appreciate your time.
[01:44:16.460 --> 01:44:17.300]  I know you're up there.
[01:44:17.300 --> 01:44:18.580]  He's got one of the most popular booths up there.
[01:44:18.580 --> 01:44:20.620]  So for him to spend this much time with us,
[01:44:20.620 --> 01:44:22.220]  we really appreciate it.
[01:44:22.220 --> 01:44:23.380]  If you guys are coming down,
[01:44:23.380 --> 01:44:25.660]  I know a lot of you are coming tomorrow.
[01:44:25.660 --> 01:44:26.500]  Check him out.
[01:44:26.500 --> 01:44:28.020]  I think it's 200A is your booth.
[01:44:28.020 --> 01:44:29.180]  Is that correct?
[01:44:29.180 --> 01:44:30.340]  Check him out, 200A.
[01:44:30.340 --> 01:44:32.580]  He's got a beautiful, beautiful booth
[01:44:32.580 --> 01:44:34.620]  with an unbelievable car.
[01:44:34.620 --> 01:44:36.780]  We'll talk to you guys here again shortly.
[01:44:36.780 --> 01:44:38.140]  Thanks, Brian.
[01:44:38.140 --> 01:44:39.220]  Thanks again, Peter.
[01:44:42.160 --> 01:44:43.000]  Thank you.
[01:44:43.000 --> 01:44:45.080]  Sorry, I forgot you guys can hear me now.
[01:44:46.600 --> 01:44:48.480]  Before, you guys couldn't hear me.
[01:44:48.480 --> 01:44:49.840]  But I know that was awesome.
[01:44:49.840 --> 01:44:53.880]  So I can get a interview with Hempwood as well.
[01:44:53.880 --> 01:44:55.400]  So we'll try to make that happen.
[01:44:55.400 --> 01:44:58.920]  Yeah, I emailed Greg Wilson's company
[01:44:58.920 --> 01:45:01.160]  just to say we're in the basement level
[01:45:01.160 --> 01:45:03.000]  doing interviews if he wants to come down.
[01:45:03.000 --> 01:45:05.760]  But yeah, if you guys see him, grab him.
[01:45:06.800 --> 01:45:08.000]  Okay, I think I know where he's at.
[01:45:08.000 --> 01:45:08.840]  I can go grab him.
[01:45:08.840 --> 01:45:11.760]  And Glenn Kyle from Hemp Plastics would be good.
[01:45:11.760 --> 01:45:13.040]  Glenn Kyle, all right.
[01:45:13.040 --> 01:45:16.600]  Also one of the principals for the original principal
[01:45:17.600 --> 01:45:20.440]  is Paul Bennett as well.
[01:45:20.440 --> 01:45:22.400]  You guys know Paul.
[01:45:22.400 --> 01:45:23.520]  I've heard that name, I don't know him.
[01:45:23.520 --> 01:45:25.600]  He's one of the original OGs.
[01:45:25.600 --> 01:45:26.880]  Australian guy.
[01:45:29.440 --> 01:45:31.280]  First guy to make a Frisbee out of hemp
[01:45:31.280 --> 01:45:34.680]  and the first one to make a snack out of hemp seeds.
[01:45:34.680 --> 01:45:36.040]  I've never met him.
[01:45:36.040 --> 01:45:38.160]  How do you spell Glenn's last name?
[01:45:39.320 --> 01:45:41.680]  I believe it's K-Y-L-L.
[01:45:43.160 --> 01:45:44.000]  I got it.
[01:45:46.120 --> 01:45:48.680]  K-A-Y-L-L, yeah.
[01:45:48.680 --> 01:45:51.280]  Okay, and there's another guy you guys need to interview too
[01:45:51.280 --> 01:45:52.120]  who's gonna be here.
[01:45:52.120 --> 01:45:54.440]  I just found out he's gonna be.
[01:45:54.440 --> 01:45:59.440]  I lent him my first hemp car a couple years ago at EarthX.
[01:45:59.680 --> 01:46:04.680]  And as you know, EarthX is the biggest earth show
[01:46:05.520 --> 01:46:06.360]  on the planet.
[01:46:06.360 --> 01:46:09.440]  It's like the NOCO of everything.
[01:46:09.440 --> 01:46:10.600]  Yeah.
[01:46:10.760 --> 01:46:13.480]  And his name is Trammell Pro.
[01:46:14.760 --> 01:46:15.720]  Super guy.
[01:46:18.400 --> 01:46:19.720]  You will love him.
[01:46:19.720 --> 01:46:21.640]  He's a total character.
[01:46:21.640 --> 01:46:24.280]  And every year he throws a couple million dollars
[01:46:24.280 --> 01:46:29.280]  into EarthX as his way to make a pet project.
[01:46:30.560 --> 01:46:32.280]  Well, the guy's a super guy.
[01:46:33.200 --> 01:46:34.520]  When I first met him,
[01:46:36.440 --> 01:46:39.800]  I brought the car out to Dallas
[01:46:39.800 --> 01:46:44.800]  and the guys who sponsored bringing the car out,
[01:46:45.120 --> 01:46:47.000]  they said, we're gonna go over and meet Trammell
[01:46:47.000 --> 01:46:48.640]  on his compound.
[01:46:49.960 --> 01:46:51.760]  Trammell's got a little money.
[01:46:51.760 --> 01:46:53.880]  Yeah, yeah, anytime you use the word compound,
[01:46:53.880 --> 01:46:55.040]  it kind of gets handed to you.
[01:46:55.040 --> 01:46:58.920]  And so we ended up, he said,
[01:46:58.920 --> 01:47:00.840]  let me just use your car for a week.
[01:47:00.840 --> 01:47:03.200]  So I left him the car.
[01:47:03.200 --> 01:47:04.640]  Trammell's car was, you know.
[01:47:04.640 --> 01:47:05.480]  Yeah, hey.
[01:47:05.480 --> 01:47:07.360]  Joe Biden wants to borrow my car for a week.
[01:47:07.360 --> 01:47:09.040]  Yeah, Joe, no problem.
[01:47:09.960 --> 01:47:14.960]  So I walk in to Trammell's dining room, right?
[01:47:16.880 --> 01:47:18.840]  And there's the head of the,
[01:47:18.840 --> 01:47:21.440]  chief scientist for the International Panel
[01:47:21.440 --> 01:47:23.040]  on Climate Crisis.
[01:47:25.000 --> 01:47:27.960]  And Buzz Aldrin, wow.
[01:47:27.960 --> 01:47:32.080]  And, you know, two heavy hitter guys.
[01:47:32.080 --> 01:47:34.720]  And they're almost going fist to cuffs
[01:47:34.720 --> 01:47:36.960]  because Buzz Aldrin's saying there's no such thing
[01:47:36.960 --> 01:47:38.080]  as climate change.
[01:47:38.120 --> 01:47:40.840]  And the head of IPC, he doesn't exactly agree with them.
[01:47:40.840 --> 01:47:43.440]  And here's Trammell, like holding these guys apart,
[01:47:43.440 --> 01:47:44.960]  arguing.
[01:47:44.960 --> 01:47:45.960]  And it was just at the end,
[01:47:45.960 --> 01:47:49.040]  just before they broke up and started the interviews.
[01:47:49.040 --> 01:47:51.680]  So that was my first experience with Trammell.
[01:47:51.680 --> 01:47:52.880]  He's a really cool guy.
[01:47:52.880 --> 01:47:54.120]  Yeah.
[01:47:54.120 --> 01:47:56.640]  What a room to be a fly on the wall there, Buzz.
[01:47:56.640 --> 01:47:59.240]  Yeah, give me your car, and if I run into Trammell,
[01:47:59.240 --> 01:48:01.040]  I'll ask him if he'll give you a call.
[01:48:01.040 --> 01:48:01.880]  Okay.
[01:48:01.880 --> 01:48:02.720]  What a character.
[01:48:02.720 --> 01:48:03.560]  Yeah.
[01:48:03.560 --> 01:48:04.400]  What a super guy.
[01:48:04.400 --> 01:48:05.600]  And he's doing a whole lot to save the planet.
[01:48:05.600 --> 01:48:09.000]  And he got involved with hemp.
[01:48:09.000 --> 01:48:11.000]  That was first year.
[01:48:11.000 --> 01:48:13.920]  He had a small hemp pavilion,
[01:48:13.920 --> 01:48:16.920]  which our prototype was key to.
[01:48:16.920 --> 01:48:19.320]  And then after that, I got in touch with Morris.
[01:48:20.960 --> 01:48:23.320]  I said, Morris, you gotta get connected
[01:48:23.320 --> 01:48:25.440]  with this Trammell pro guy.
[01:48:25.440 --> 01:48:26.680]  The way your face is lighting up,
[01:48:26.680 --> 01:48:29.040]  I would definitely love to interview him.
[01:48:29.040 --> 01:48:30.160]  Yeah, you gotta do it.
[01:48:30.160 --> 01:48:32.040]  And again, Bruce, you're speaking today.
[01:48:32.040 --> 01:48:34.800]  That's one of the reasons why we wanted to have you on here.
[01:48:34.840 --> 01:48:35.680]  Today and tomorrow.
[01:48:35.680 --> 01:48:38.000]  All right, so we're gonna record the one today
[01:48:38.000 --> 01:48:39.640]  and tomorrow, I would imagine.
[01:48:39.640 --> 01:48:42.080]  So what room is that in for the people that,
[01:48:42.080 --> 01:48:44.600]  I know some of those people will be coming down later today.
[01:48:44.600 --> 01:48:46.400]  The business.
[01:48:46.400 --> 01:48:47.760]  You're in the big boy room.
[01:48:47.760 --> 01:48:48.600]  Is that it?
[01:48:48.600 --> 01:48:49.440]  With the LED lights and stuff.
[01:48:49.440 --> 01:48:50.880]  That's this afternoon at four.
[01:48:50.880 --> 01:48:52.160]  The business symposium.
[01:48:52.160 --> 01:48:54.320]  There's a big boy speaker stage,
[01:48:54.320 --> 01:48:55.760]  and then the little kid stage.
[01:48:55.760 --> 01:48:57.800]  I think that's what it's called.
[01:48:57.800 --> 01:48:59.840]  Yeah, Bruce is on the big boy stage.
[01:48:59.840 --> 01:49:01.880]  And then tomorrow is the material stage.
[01:49:01.880 --> 01:49:03.960]  So today at 4.05.
[01:49:03.960 --> 01:49:05.560]  4.05 to 4.20.
[01:49:06.480 --> 01:49:08.440]  And that's, I assume,
[01:49:09.480 --> 01:49:13.200]  that that's one of the more stringently kept schedules
[01:49:13.200 --> 01:49:14.200]  of the day.
[01:49:14.200 --> 01:49:15.040]  I would imagine.
[01:49:15.040 --> 01:49:18.240]  Because at 4.20, I think, you know,
[01:49:18.240 --> 01:49:19.080]  the crowds might-
[01:49:19.080 --> 01:49:20.200]  We all know what happens then.
[01:49:20.200 --> 01:49:21.680]  Yeah, who knows?
[01:49:21.680 --> 01:49:22.640]  We'll see.
[01:49:22.640 --> 01:49:24.160]  Well, thank you for your time, Bruce.
[01:49:24.160 --> 01:49:25.000]  Thanks, guys.
[01:49:25.000 --> 01:49:26.160]  Peter, do you wanna keep this going?
[01:49:26.160 --> 01:49:29.360]  You want me to run up there and grab some more people?
[01:49:29.360 --> 01:49:32.840]  I'll just throw some music on while you go.
[01:49:32.880 --> 01:49:34.040]  That was fun.
[01:49:34.040 --> 01:49:34.880]  Thank you, Bruce.
[01:49:34.880 --> 01:49:36.040]  Really appreciate it, brother.
[01:49:36.040 --> 01:49:41.040]  I think if everybody can cut us some slack in our-
[01:49:41.440 --> 01:49:42.680]  Yeah, please cut us some slack.
[01:49:42.680 --> 01:49:46.000]  We're at a, this is like where all the stock show stuff is.
[01:49:46.000 --> 01:49:47.840]  So it's extremely spread out.
[01:49:47.840 --> 01:49:49.320]  This is where they, you know,
[01:49:49.320 --> 01:49:51.400]  they move cattle through the hallways
[01:49:51.400 --> 01:49:52.240]  and that kind of thing.
[01:49:52.240 --> 01:49:54.560]  So let me run upstairs and grab that.
[01:49:54.560 --> 01:49:56.600]  Daguerre will sing for you guys here.
[01:49:57.440 --> 01:49:58.280]  Nice.
[01:49:59.400 --> 01:50:00.840]  I do have a beautiful voice.
[01:50:03.200 --> 01:50:06.160]  So I'm gonna throw some music on for a little bit.
[01:50:08.960 --> 01:50:11.400]  We'll see where this show goes.
[01:50:11.400 --> 01:50:12.360]  So hold on.
[01:50:13.760 --> 01:50:16.080]  You guys let me know when the music, oh, wait.
[01:50:21.720 --> 01:50:22.560]  Hold on.
[01:50:24.280 --> 01:50:26.840]  Strong style, I got you, boy.
[01:50:26.840 --> 01:50:28.400]  Strong style, organic.
[01:50:42.220 --> 01:50:43.060]  Oh, yeah.
[01:50:44.420 --> 01:50:45.260]  Oh, yeah.
[01:51:08.580 --> 01:51:09.420]  My man.
[01:51:14.420 --> 01:51:17.420]  We're now on with one, two,
[01:51:17.420 --> 01:51:19.420]  better pull your screws.
[01:51:19.420 --> 01:51:22.580]  Four, five, let's keep your alarm.
[01:51:22.580 --> 01:51:25.580]  Seven, eight, creation is great.
[01:51:25.580 --> 01:51:27.340]  So don't be too late.
[01:51:30.780 --> 01:51:32.540]  It's sweet harmonious.
[01:51:33.460 --> 01:51:35.220]  Let's drop the grips.
[01:51:37.420 --> 01:51:39.420]  Now listen to the music.
[01:51:44.580 --> 01:51:49.480]  It's sweet harmonious.
[01:51:54.300 --> 01:51:56.220]  I'm not a preacher man.
[01:51:59.860 --> 01:52:02.620]  Remember I'm not a preacher man.
[01:52:02.620 --> 01:52:04.140]  I'm a teacher man.
[01:52:06.620 --> 01:52:09.060]  I'm only singing you my songs.
[01:52:10.740 --> 01:52:12.060]  Oh yes, oh yes.
[01:52:13.420 --> 01:52:16.100]  Don't let your glory go to waste.
[01:52:17.340 --> 01:52:18.180]  Oh no, so.
[01:52:19.180 --> 01:52:20.020]  Oh, yeah.
[01:52:22.020 --> 01:52:23.020]  Be blessed.
[01:52:24.300 --> 01:52:26.860]  Morning times, evening times.
[01:52:26.860 --> 01:52:28.780]  Every minute of the day.
[01:52:30.980 --> 01:52:32.140]  Every time is.
[01:52:33.460 --> 01:52:35.380]  Let the jam be blessed.
[01:52:37.500 --> 01:52:38.660]  Oh no, no, no.
[01:52:40.100 --> 01:52:42.220]  Don't say there'll be big shots.
[01:52:42.220 --> 01:52:44.060]  Better watch that.
[01:52:44.060 --> 01:52:45.660]  Come over right now.
[01:52:46.620 --> 01:52:48.540]  Let the jam be blessed.
[01:52:50.500 --> 01:52:52.580]  Watch that on your mind.
[01:52:52.580 --> 01:52:55.100]  See you carrying a heavy load.
[01:52:56.420 --> 01:52:57.260]  Yeah.
[01:52:58.820 --> 01:53:01.740]  All right, so I just grabbed Greg Wilson.
[01:53:01.740 --> 01:53:03.940]  He should be coming over here in a second.
[01:53:03.940 --> 01:53:07.780]  He's the guy that Bruce was just talking about.
[01:53:07.780 --> 01:53:08.620]  Nice.
[01:53:10.780 --> 01:53:13.540]  Peter, I wish you could see how fucking big this is, dude.
[01:53:13.540 --> 01:53:14.380]  Oh, I know.
[01:53:14.380 --> 01:53:15.220]  You can't?
[01:53:15.780 --> 01:53:16.620]  We're hanging out with.
[01:53:16.620 --> 01:53:17.940]  Switch cameras.
[01:53:18.860 --> 01:53:21.180]  Give us the cattle loading.
[01:53:28.540 --> 01:53:30.220]  They got us down in the basement, boys.
[01:53:30.220 --> 01:53:33.020]  Yeah, it's like the dude in the office space
[01:53:33.020 --> 01:53:35.260]  who keeps getting put down into the basement.
[01:53:35.260 --> 01:53:37.460]  So I gotta be, they said it's right over here.
[01:53:37.460 --> 01:53:38.300]  Okay.
[01:53:38.300 --> 01:53:40.220]  Here's the headphones.
[01:53:42.460 --> 01:53:44.340]  All right, so for the viewers out there,
[01:53:44.420 --> 01:53:46.780]  this is Greg that Bruce was just talking about.
[01:53:46.780 --> 01:53:49.780]  You, he was basically singing your praises, buddy.
[01:53:49.780 --> 01:53:51.620]  So if you kind of want to tell the audience
[01:53:51.620 --> 01:53:52.780]  more about your company,
[01:53:52.780 --> 01:53:55.340]  I know that you got a bunch of cool little demonstrations
[01:53:55.340 --> 01:53:57.620]  upstairs with your hemp wood and that kind of stuff.
[01:53:57.620 --> 01:53:59.300]  So you can just tell the viewers
[01:53:59.300 --> 01:54:00.900]  kind of what you guys are about.
[01:54:00.900 --> 01:54:01.740]  Sweet.
[01:54:01.740 --> 01:54:02.860]  Well, hey, thanks for having us.
[01:54:02.860 --> 01:54:05.140]  So our company is Hempwood.
[01:54:05.140 --> 01:54:07.500]  The actual company name is Fibonacci.
[01:54:07.500 --> 01:54:09.860]  So we're named after the Fibonacci sequence.
[01:54:09.860 --> 01:54:11.140]  And that's because we use that
[01:54:11.140 --> 01:54:12.700]  in our manufacturing algorithm
[01:54:12.700 --> 01:54:14.420]  for a bunch of different products I've worked on
[01:54:14.420 --> 01:54:15.580]  for the last 20 years.
[01:54:16.580 --> 01:54:18.260]  It's actually my compression ratio
[01:54:18.260 --> 01:54:20.220]  for my bamboo products,
[01:54:20.220 --> 01:54:21.980]  for my hemp products, for the different things.
[01:54:21.980 --> 01:54:24.140]  So it's all based on an algorithm
[01:54:24.140 --> 01:54:25.820]  and that's the algorithm of nature.
[01:54:25.820 --> 01:54:28.500]  That's how we turn fast growing plant fibers
[01:54:28.500 --> 01:54:30.780]  into replacements for tropical hardwoods
[01:54:30.780 --> 01:54:34.380]  or your kind of higher end old growth forests.
[01:54:34.380 --> 01:54:37.020]  So we do lumber, we do flooring,
[01:54:37.020 --> 01:54:39.260]  we do furniture and cabinetry,
