[00:00.000 --> 00:00.840]  Damn it.
[41:20.750 --> 41:22.670]  Yeah, and then this was the 90s
[41:22.670 --> 41:24.310]  that I was smoking on this stuff.
[41:24.310 --> 41:28.950]  And the sour diesel, like, it did come a little bit later.
[41:29.510 --> 41:31.710]  I know I've smoked it,
[41:31.710 --> 41:34.750]  but probably not when it had a name to it.
[41:34.750 --> 41:37.990]  Like, there was a lot of counterfeit that came out
[41:37.990 --> 41:40.110]  just to kind of sell a bag.
[41:40.110 --> 41:43.870]  But yeah, the 90s, man, like that chem was awesome.
[41:43.870 --> 41:45.790]  And days from the garden in there,
[41:45.790 --> 41:49.710]  he's saying that the 91 is a bitch to grow.
[41:49.710 --> 41:52.070]  Just cut her down, because it wasn't cutting it.
[41:52.070 --> 41:53.470]  And I've kind of heard that,
[41:53.470 --> 41:56.190]  but I've got a bunch of seeds to go through.
[41:56.190 --> 41:58.830]  And you said, you know, like chemd, chem4,
[41:59.710 --> 42:00.670]  I'm looking in those too, man.
[42:00.670 --> 42:02.070]  I'm convinced it's the 91,
[42:02.070 --> 42:03.630]  because again, this is 91 chem
[42:03.630 --> 42:05.550]  that from this company was just fucking,
[42:05.550 --> 42:07.270]  I'm like, that's it?
[42:07.270 --> 42:09.830]  That's what I'm searching for.
[42:09.830 --> 42:12.550]  And you mentioned skunk too, you know,
[42:12.550 --> 42:15.030]  the elusive roadkill skunk,
[42:15.030 --> 42:16.990]  that was in the 90s when I was smoking it.
[42:16.990 --> 42:19.110]  But the last time I smelled it
[42:19.110 --> 42:21.790]  was in the parking lot of a snowboarding.
[42:21.790 --> 42:23.270]  Yeah, of a mountain.
[42:23.270 --> 42:26.710]  Like so many genetics have moved
[42:27.390 --> 42:29.870]  through the winter rain.
[42:29.870 --> 42:31.470]  It had nothing to do, like, I mean,
[42:31.470 --> 42:32.550]  especially if you're growing,
[42:32.550 --> 42:33.870]  you're not going out and partying.
[42:33.870 --> 42:36.190]  Like I didn't start growing
[42:36.190 --> 42:38.150]  until I was pretty much done partying.
[42:38.150 --> 42:41.310]  I mean, great hobby, you know what I mean?
[42:41.310 --> 42:43.710]  Being snowboard all day, check on your plants,
[42:43.710 --> 42:47.430]  you know, you're good, go to sleep, life's good.
[42:47.430 --> 42:48.350]  Yeah, you're on the road
[42:48.350 --> 42:50.550]  and it's a place to meet up with people.
[42:50.550 --> 42:53.950]  But did you ever, you know, kind of like trade genetics
[42:53.950 --> 42:55.870]  or meet people from just like different areas
[42:55.870 --> 42:58.510]  of the country through your riding
[42:58.510 --> 43:00.470]  and, you know, kind of build
[43:00.470 --> 43:02.550]  separate relationships that way?
[43:02.550 --> 43:05.110]  I mean, you know, I stuck pretty close
[43:05.110 --> 43:07.670]  just because, you know, I was,
[43:07.670 --> 43:09.990]  I kind of felt like a big fish in a small pond for a while.
[43:09.990 --> 43:11.070]  I mean, Tahoe's pretty small
[43:11.070 --> 43:12.550]  and I'm not saying I'm a big boy at all.
[43:12.550 --> 43:16.550]  I was just like, I mean, I had, you know,
[43:16.550 --> 43:17.910]  there was some medical days
[43:17.910 --> 43:21.270]  and there was no dispensaries in the North Lake.
[43:21.270 --> 43:22.870]  I was a North Lake person, you know,
[43:22.870 --> 43:25.590]  there was one in Southern, South Lake Tahoe
[43:26.430 --> 43:31.430]  and so, I mean, I had edibles, I had like hash, you know,
[43:32.350 --> 43:35.430]  I had things you would get at a dispensary
[43:35.430 --> 43:36.470]  and there was no dispensary.
[43:36.470 --> 43:37.750]  So, you know, I was just,
[43:39.630 --> 43:42.030]  you have Squaw Valley, Alpine Meadows,
[43:42.030 --> 43:44.510]  like all these other different, you know,
[43:44.510 --> 43:46.390]  people who are all in to having a good time
[43:46.390 --> 43:48.870]  and you have the product, it just kind of-
[43:48.870 --> 43:49.830]  Tourists too.
[43:49.830 --> 43:51.750]  Yeah, so I mean, yeah, tourists are awesome.
[43:51.750 --> 43:54.150]  Like respect to the tourists who got the hot pockets,
[43:54.150 --> 43:54.990]  like for real.
[43:55.190 --> 43:56.030]  Yep.
[43:57.190 --> 43:58.630]  But, you know, and even like, you know,
[43:58.630 --> 44:02.230]  cause Tahoe, they have like work exchange programs,
[44:02.230 --> 44:04.270]  like respect to all those people coming up
[44:04.270 --> 44:07.390]  from out of country, South America, Australia,
[44:07.390 --> 44:11.470]  New Zealand, South Africa, like all over the world, Spain.
[44:11.470 --> 44:12.470]  It's beautiful, you know?
[44:12.470 --> 44:16.430]  So, I mean, I got to meet a lot of cultured people.
[44:16.430 --> 44:17.350]  I was very grateful.
[44:17.350 --> 44:19.430]  I just didn't, I mean, I didn't have to go anywhere.
[44:19.430 --> 44:21.510]  Tahoe is a vortex, you know,
[44:21.510 --> 44:24.710]  Tahoe is a vortex of high vibration, you know,
[44:25.430 --> 44:27.790]  a lot of stints, you know, a lot of vibration, you know,
[44:27.790 --> 44:29.750]  people from all over the world meeting each other.
[44:29.750 --> 44:30.750]  And it was beautiful.
[44:30.750 --> 44:33.630]  Like, you know, it was really, it was really cool.
[44:33.630 --> 44:35.350]  I'm sure it's still that same way, you know,
[44:35.350 --> 44:38.150]  like I had to tap out after one of my last concussions.
[44:38.150 --> 44:40.470]  It was just kind of a heavy one, you know?
[44:40.470 --> 44:42.030]  So I just had to step away,
[44:42.030 --> 44:44.190]  but Tahoe is a very special place.
[44:44.190 --> 44:45.550]  What up to the Tahoe crew?
[44:45.550 --> 44:46.550]  One love in the house.
[44:46.550 --> 44:49.270]  Hope you shredding, like this season looks dope.
[44:49.270 --> 44:52.190]  Like have a great time, be safe.
[44:52.190 --> 44:53.910]  But yeah, Tahoe is special.
[44:53.950 --> 44:54.870]  I mean, I think, you know,
[44:54.870 --> 44:58.030]  what Squaw Valley is Palisades, Tahoe now,
[44:58.030 --> 44:59.190]  something like that.
[44:59.190 --> 45:01.270]  You know, things change when, you know,
[45:01.270 --> 45:04.470]  they get bought out by corporations and it was special.
[45:04.470 --> 45:07.190]  I mean, Squaw's still special, but there's, you know,
[45:07.190 --> 45:08.030]  it was special.
[45:08.030 --> 45:10.870]  Like the hostel, you know,
[45:10.870 --> 45:14.190]  the hostel employee housing hostel, you know,
[45:14.190 --> 45:17.750]  people from all over the world, like, man, it was like,
[45:17.750 --> 45:18.630]  it was a party.
[45:18.630 --> 45:20.750]  Like you said, I'm sure you know, like.
[45:21.550 --> 45:23.630]  And there is, there's nothing else to do.
[45:23.630 --> 45:27.350]  So you do kind of have to like be around people
[45:27.350 --> 45:28.270]  and get along.
[45:28.270 --> 45:30.030]  That's so rad that they had, you know,
[45:30.030 --> 45:32.270]  like that world exposure because dude,
[45:32.270 --> 45:35.070]  that's so priceless to learn from like other people's
[45:35.070 --> 45:36.550]  cultures and other people's ways.
[45:36.550 --> 45:38.190]  And to get to like share in that,
[45:38.190 --> 45:42.390]  you've learned a lot of cool little things that who knew.
[45:42.590 --> 45:45.270]  Yo entiendo muy poquito espanol.
[45:47.710 --> 45:51.670]  I just went to Mexico and I did not pick that much up.
[45:52.830 --> 45:53.950]  It's a beautiful language.
[45:53.950 --> 45:55.430]  It's a beautiful language.
[45:55.430 --> 45:58.590]  Australians party harder than anybody I've ever met
[45:58.590 --> 45:59.430]  in my life.
[45:59.430 --> 46:02.230]  They are a wild bunch, respect to all you guys.
[46:02.230 --> 46:04.030]  I love the whole culture.
[46:04.030 --> 46:05.510]  You know, people from all over the world,
[46:05.510 --> 46:06.430]  they're just beautiful.
[46:06.430 --> 46:08.950]  Like we're all just one blood, you know,
[46:08.950 --> 46:11.830]  like we're all the same race, one race, human race,
[46:12.270 --> 46:13.950]  one race, that's all we are.
[46:13.950 --> 46:15.590]  We're all trying to have a good time.
[46:15.590 --> 46:17.910]  You know, we're all here to shred, send it,
[46:17.910 --> 46:20.350]  you know, whether you're shredding the garden
[46:20.350 --> 46:23.070]  or you're shredding the oceans
[46:23.070 --> 46:24.630]  or you're shredding the parks, you know,
[46:24.630 --> 46:26.750]  like skate parks, like we're all just trying
[46:26.750 --> 46:27.710]  to have a good time, you know,
[46:27.710 --> 46:29.550]  like trying to find your happiness, you know,
[46:29.550 --> 46:32.030]  however it is, as long as you're not hurting anybody,
[46:32.030 --> 46:33.870]  hopefully you're not hurting yourself too much,
[46:33.870 --> 46:36.270]  you know, like, right.
[46:36.270 --> 46:37.830]  And you know, there's,
[46:39.710 --> 46:41.590]  and I'm sure you've felt this too,
[46:42.350 --> 46:43.950]  but you know, there's a time when you just kind of like bend
[46:43.950 --> 46:45.110]  and you bounce back up.
[46:45.110 --> 46:47.750]  And then there's a time in life where you just start breaking
[46:47.750 --> 46:50.350]  and not getting back up so quickly.
[46:50.350 --> 46:52.590]  And the brain wants to fucking jump it,
[46:52.590 --> 46:54.550]  but the body is like, no.
[46:54.550 --> 46:57.910]  And there is a point where the body can overtake the brain
[46:57.910 --> 46:58.950]  in decision-making.
[46:58.950 --> 47:00.550]  I think I've reached that point,
[47:00.550 --> 47:04.990]  but I still love to look at things and just be like,
[47:04.990 --> 47:07.150]  you could do it, you can make it.
[47:07.150 --> 47:09.750]  That's like all my Instagram feed is,
[47:09.790 --> 47:11.390]  is snowboarding and weed.
[47:11.390 --> 47:13.070]  Like that's-
[47:13.070 --> 47:13.910]  Beautiful.
[47:13.910 --> 47:14.870]  Daydreaming.
[47:16.270 --> 47:17.470]  Beautiful.
[47:17.470 --> 47:21.430]  We had a question here from Daisy.
[47:21.430 --> 47:25.350]  I was just mentioning him with the chem 91.
[47:26.870 --> 47:29.470]  Can you ask him about Tahoe OG?
[47:29.470 --> 47:31.630]  I never got to, I've never grown it.
[47:31.630 --> 47:33.470]  I've smoked and moved.
[47:33.470 --> 47:36.230]  I smoked it and I've had it around, you know,
[47:36.230 --> 47:37.190]  I've definitely had it around.
[47:37.190 --> 47:38.310]  It's around Tahoe.
[47:39.310 --> 47:42.350]  But tight and at the time that I had it,
[47:42.350 --> 47:43.710]  it was definitely a high ticket,
[47:43.710 --> 47:46.990]  but it moved around Tahoe and it was top notch,
[47:46.990 --> 47:50.790]  you know, more of a piney OG, but potent, you know,
[47:50.790 --> 47:51.790]  great OG.
[47:51.790 --> 47:53.390]  And, you know, like I said, OGs were rare.
[47:53.390 --> 47:56.990]  So anytime you could get like a Tahoe OG or LA OG
[47:56.990 --> 47:59.350]  or any OG that actually had that nose
[47:59.350 --> 48:01.790]  and that like, that punch, you know?
[48:01.790 --> 48:03.950]  So, I mean, like I said, back in the day,
[48:03.950 --> 48:07.630]  before you buy, you know, a nice amount,
[48:07.710 --> 48:09.230]  you could at least sample it, you know?
[48:09.230 --> 48:12.070]  You could, I used to be like, that's not OG.
[48:12.070 --> 48:13.110]  I'm not buying that.
[48:14.390 --> 48:15.350]  Sorry.
[48:15.350 --> 48:16.390]  Yeah.
[48:16.390 --> 48:17.350]  You're like, no, it's OG.
[48:17.350 --> 48:19.750]  I was like, no, it's not, you know?
[48:19.750 --> 48:20.910]  Yeah.
[48:20.910 --> 48:23.870]  Yeah, there's a few, there's a few,
[48:23.870 --> 48:26.670]  a few strains like that where it's just like, yeah, no,
[48:26.670 --> 48:29.590]  I'm gonna confidently just gonna say absolutely not.
[48:29.590 --> 48:30.590]  That's one of them.
[48:31.470 --> 48:35.150]  You had mentioned some OGs earlier.
[48:35.150 --> 48:39.030]  Well, I mean, older growers, not the strain.
[48:39.030 --> 48:42.070]  Earlier showing you kind of like some organic methods
[48:42.070 --> 48:44.310]  and they lived out, you know, out in the cut,
[48:44.310 --> 48:48.070]  doing their vegetables, doing everything to self-sustain.
[48:48.070 --> 48:50.150]  And then you also mentioned too, when you started out,
[48:50.150 --> 48:52.230]  you know, just like slamming it with bottles.
[48:52.230 --> 48:54.990]  Where, what are you doing now?
[48:54.990 --> 48:57.510]  Or where is, was there kind of a transition?
[48:58.710 --> 49:00.790]  Well, I mean, like I started going and like,
[49:00.790 --> 49:04.150]  even though bottles, like, I'll be like real bottles
[49:04.150 --> 49:06.910]  is a really sensitive subject because I like to put out
[49:06.910 --> 49:09.750]  on shit and I'm like, well, even if you're KNF,
[49:09.750 --> 49:12.070]  like what do you put your liquid into?
[49:14.310 --> 49:16.750]  Thank you, because people still call it a mixed tape
[49:16.750 --> 49:20.110]  and I'm perplexed by that as somebody who made that forever.
[49:20.110 --> 49:22.390]  And be like, oh, like, oh, he's a custody
[49:22.390 --> 49:25.190]  or like a dude runs bottles or like, like, cool.
[49:25.190 --> 49:27.110]  You got a big ego, that shows like,
[49:27.110 --> 49:28.670]  you should probably smoke some more of your weed.
[49:28.670 --> 49:32.590]  Like, I mean, I, bottles, yeah, I started with bottles.
[49:32.590 --> 49:34.230]  I definitely, I didn't know what I was doing.
[49:34.230 --> 49:36.430]  You know, the grow Bible is what I started,
[49:36.430 --> 49:38.390]  you know, shout out for, hey, you know, I mean,
[49:38.390 --> 49:40.950]  like I'm definitely, that's not what I do anymore,
[49:40.950 --> 49:42.750]  but that's definitely what I started on.
[49:42.750 --> 49:43.750]  Sitting right there.
[49:44.830 --> 49:47.110]  I mean, we have, we have our elders and our teachers
[49:47.110 --> 49:50.550]  and we can rely on, you know, like, you know, hopefully,
[49:50.550 --> 49:53.870]  you know, like us, the youth can rise up, right?
[49:53.870 --> 49:56.110]  So like, not on like any like anarchist way,
[49:56.110 --> 49:58.950]  but like, that's like what an elder wants to do
[49:58.950 --> 49:59.990]  is rise the youth up.
[49:59.990 --> 50:01.950]  Like you won't want to surpass, you know, I mean,
[50:02.510 --> 50:03.750]  in my opinion, so it's like,
[50:04.710 --> 50:06.550]  I've had a lot of elders help me out, you know,
[50:06.550 --> 50:08.990]  like a lot of people who taught me the way we're old
[50:08.990 --> 50:10.950]  and OG and they were growing organic.
[50:10.950 --> 50:13.670]  I mean, like, and I going back to bottles,
[50:13.670 --> 50:16.230]  like myself, like I had buddies who were reps
[50:16.230 --> 50:18.790]  of Roots Organic who were just giving me,
[50:18.790 --> 50:19.630]  they're like here.
[50:19.630 --> 50:20.870]  I'd use their stuff, yeah.
[50:20.870 --> 50:22.230]  Yeah, they're like, hey, you want to,
[50:22.230 --> 50:24.150]  you want like two, four or five runs here?
[50:24.150 --> 50:24.990]  Boom, like.
[50:24.990 --> 50:25.910]  Yeah, hell yeah.
[50:25.910 --> 50:27.830]  You know, it was just, they were friends.
[50:27.830 --> 50:30.350]  They were, you know, that's what friends do.
[50:30.350 --> 50:33.670]  So, I mean, I started with Roots Organic bottles
[50:33.670 --> 50:37.150]  after like doing Earth Juice for a while,
[50:37.150 --> 50:39.630]  but just like soil, Earth Juice.
[50:39.630 --> 50:41.470]  And then I did the Roots Organics.
[50:41.470 --> 50:43.950]  And then like, he gave me this product that had like,
[50:43.950 --> 50:45.390]  he was like, yeah, you just top dress it.
[50:45.390 --> 50:47.550]  And I'm like, what do you mean?
[50:47.550 --> 50:50.430]  You know, like I'm like young, I'm like,
[50:50.430 --> 50:51.390]  but what about the bottle?
[50:51.390 --> 50:52.950]  Like, what do you mean top dress it?
[50:52.950 --> 50:54.590]  And then he goes, you just like mix it in,
[50:54.590 --> 50:56.350]  you massage it in the top and water it in.
[50:56.350 --> 50:58.870]  I'm like, huh, okay.
[50:58.870 --> 51:01.150]  Well, let's look at like, let's look into this, you know?
[51:01.150 --> 51:03.150]  And so I was still in Tahoe growing,
[51:03.150 --> 51:04.510]  growing my little medical thing.
[51:04.510 --> 51:09.510]  And when I moved to Hawaii,
[51:09.510 --> 51:11.590]  when I left Tahoe,
[51:11.590 --> 51:14.390]  because my last concussion was very heavy.
[51:14.390 --> 51:16.830]  I had like, it kind of got a small stutter.
[51:16.830 --> 51:19.110]  I kind of got gnarly migraines.
[51:19.110 --> 51:20.830]  It was my fifth major concussion.
[51:20.830 --> 51:22.510]  And it was scary.
[51:22.510 --> 51:23.950]  Like, so head trauma's real,
[51:23.950 --> 51:25.390]  be safe out there, wear a helmet.
[51:25.390 --> 51:28.310]  I've exploded three helmets.
[51:29.630 --> 51:31.630]  If I exploded, I just mean like cracked open,
[51:31.630 --> 51:33.430]  you know, like better that than my head.
[51:33.430 --> 51:34.750]  But you know, it's a-
[51:34.750 --> 51:36.310]  It takes a lot.
[51:36.310 --> 51:37.150]  Yeah.
[51:37.150 --> 51:38.350]  And it's scary, you know?
[51:38.350 --> 51:40.630]  So when you wake up and you're like,
[51:40.630 --> 51:41.790]  how long have I been out?
[51:41.790 --> 51:42.750]  You know, it's just scary.
[51:42.750 --> 51:44.950]  And you can go into, you know,
[51:45.830 --> 51:47.710]  you know, like they make movies
[51:47.710 --> 51:49.910]  about those football players that have concussions.
[51:49.910 --> 51:50.750]  You know, like-
[51:50.750 --> 51:55.190]  CTE. Yeah, that's a real, real concern of mine too.
[51:55.190 --> 51:56.350]  A depression.
[51:56.350 --> 51:59.030]  And like, I definitely changed as a person.
[51:59.030 --> 52:01.590]  It was really a dark time for me after that concussion.
[52:01.590 --> 52:04.350]  I was just really in a weird head space,
[52:04.350 --> 52:06.590]  literally, like a weird mental spot.
[52:06.590 --> 52:10.230]  I felt I just pushed it too hard snowboarding.
[52:10.230 --> 52:12.310]  And if I keep doing it, I'm going to kill myself.
[52:12.310 --> 52:14.350]  And I enjoy life.
[52:14.350 --> 52:15.190]  I like life.
[52:15.190 --> 52:16.750]  Life is a fun thing to do.
[52:16.750 --> 52:19.590]  I'd rather do life than not doing life.
[52:19.590 --> 52:22.670]  So I moved to Hawaii because Hawaii is fucking cool.
[52:22.670 --> 52:24.470]  Like I've traveled there.
[52:24.470 --> 52:26.270]  You know, you do good on a run
[52:27.030 --> 52:29.070]  or you save up some money on a couple moves.
[52:29.070 --> 52:33.830]  And you're like, hey, I'm done festival hopping.
[52:33.830 --> 52:35.750]  Snow hasn't really hit yet.
[52:35.750 --> 52:37.310]  I'm going to go to Hawaii later.
[52:37.310 --> 52:39.150]  You know, so you go to Hawaii and check it out.
[52:39.150 --> 52:39.990]  I fell in love.
[52:39.990 --> 52:43.670]  Like I spent a month on Oahu one time.
[52:43.670 --> 52:46.310]  I spent a month in Maui one time.
[52:46.310 --> 52:49.830]  And I spent like my first time on the big island.
[52:49.830 --> 52:51.390]  It was only like three weeks.
[52:51.390 --> 52:54.150]  And as soon as I put my foot on that ground,
[52:54.150 --> 52:55.710]  I felt Mama Pele.
[52:55.710 --> 52:59.750]  And I was like, wow, this is a vibration.
[52:59.750 --> 53:01.990]  Like as soon as you touch down, if you're in the vibe,
[53:01.990 --> 53:02.830]  like you feel it.
[53:02.830 --> 53:04.310]  There's a vibration on that island.
[53:04.310 --> 53:06.910]  I'm no disrespect to the all islands.
[53:06.910 --> 53:08.870]  All those islands are magical and beautiful.
[53:08.870 --> 53:11.630]  And I highly recommend people go
[53:11.630 --> 53:13.070]  and show them respect and love
[53:13.070 --> 53:15.030]  because Hawaiians are a beautiful culture,
[53:15.030 --> 53:17.350]  a beautiful place, big ups and respect.
[53:18.270 --> 53:21.030]  But when I felt Hawaii, I just touched down.
[53:21.030 --> 53:22.470]  I was like, this is where I'm going to be.
[53:22.510 --> 53:24.670]  And so when I was like over Tahoe,
[53:24.670 --> 53:26.470]  I picked up and moved to Hawaii.
[53:26.470 --> 53:30.790]  I was like, just kind of been a lucky situation.
[53:31.670 --> 53:34.190]  I had a little bit left over,
[53:34.190 --> 53:37.150]  got a job at the local deli and live in Hawaii
[53:37.150 --> 53:38.630]  and just try to start figuring it out.
[53:38.630 --> 53:41.670]  I was like, here's a whole new chapter in my life.
[53:42.830 --> 53:43.670]  Yeah.
[53:43.670 --> 53:45.230]  Extended, you know, so.
[53:45.230 --> 53:46.830]  It's a 180.
[53:46.830 --> 53:48.350]  It was really magical.
[53:48.350 --> 53:49.190]  I'm very blessed.
[53:49.190 --> 53:51.550]  It was a really, like I said, gnarly time,
[53:51.790 --> 53:53.150]  mentally and emotionally
[53:53.150 --> 53:55.510]  because of what I was going through.
[53:55.510 --> 53:56.990]  I just didn't feel like myself
[53:56.990 --> 53:59.390]  because of all the head trauma I had
[53:59.390 --> 54:01.110]  or maybe whatever, I don't know.
[54:01.110 --> 54:04.910]  So I was just kind of like figuring my shit out
[54:04.910 --> 54:09.830]  and I was lucky enough to just like meet some crews
[54:09.830 --> 54:11.910]  who were like super organic,
[54:11.910 --> 54:15.270]  like did it like all the elders who I was trimming for,
[54:15.270 --> 54:16.310]  who I was digging holes for,
[54:16.310 --> 54:18.350]  all the elders who taught me like,
[54:18.350 --> 54:19.670]  you do, this is how you do it.
[54:19.670 --> 54:21.230]  You dig holes, you mix bird,
[54:21.910 --> 54:23.590]  like organic fertilizer and you water
[54:23.590 --> 54:24.710]  and you maybe make a tea.
[54:24.710 --> 54:27.190]  Like, that's just how I was.
[54:27.190 --> 54:28.510]  That's just how I saw it done.
[54:28.510 --> 54:30.310]  Not how I wasn't like taught, you know,
[54:30.310 --> 54:32.630]  like until I kind of got to Hawaii
[54:32.630 --> 54:36.390]  and like shot out fresh farms, crew, big ups,
[54:36.390 --> 54:38.670]  shot out Conscious Rhythms crew, big ups.
[54:38.670 --> 54:41.990]  Like they're just beautiful residents,
[54:41.990 --> 54:44.590]  beautiful crew family that, you know,
[54:44.590 --> 54:45.710]  took me under their wing.
[54:45.710 --> 54:47.510]  Cause I love the plant, you know,
[54:47.510 --> 54:50.150]  like we were talking earlier, this plant spider webs,
[54:50.470 --> 54:53.430]  and like, as long as you come with an open heart,
[54:53.430 --> 54:55.870]  a humble mind and a hard work ethic,
[54:55.870 --> 54:58.230]  I feel like you can make it anywhere really.
[54:58.230 --> 55:01.910]  That's just, my family was work for hours,
[55:01.910 --> 55:04.710]  like my pops smoked a time or two,
[55:04.710 --> 55:07.990]  but like it wasn't a thing in my family.
[55:07.990 --> 55:08.830]  You trust that?
[55:08.830 --> 55:09.670]  You know, it's both.
[55:09.670 --> 55:11.510]  You know, it's fair.
[55:11.510 --> 55:14.910]  Led in by crews who are like, just like by word of mouth
[55:14.910 --> 55:19.590]  or by just, you know, your work ethic and your heart.
[55:20.350 --> 55:22.110]  They opened up and I'm, you know,
[55:22.110 --> 55:24.830]  like I'm grateful for everything I've learned from them.
[55:24.830 --> 55:26.390]  You know, we've had our ups and downs,
[55:26.390 --> 55:29.670]  but I'm sure like, you know,
[55:29.670 --> 55:31.710]  I just actually reached out to Rusty yesterday,
[55:31.710 --> 55:33.110]  like big ups, fresh farms, you know,
[55:33.110 --> 55:36.730]  like I got so much love for the Hawaiian experience.
[55:37.710 --> 55:41.310]  Everybody there has a extreme diverse amount
[55:41.310 --> 55:42.870]  of growing tactics, you know,
[55:42.870 --> 55:47.870]  from the chemical grow and some gnarly spray
[55:47.990 --> 55:51.350]  they get from a friend to KNF,
[55:51.350 --> 55:54.470]  like, you know, Master Cho, respect Master Cho,
[55:54.470 --> 55:55.870]  you know, KNF family.
[55:55.870 --> 55:57.710]  You know, that's where he kind of spearheaded.
[55:57.710 --> 55:59.150]  That's where I first heard of him.
[55:59.150 --> 56:01.990]  Yeah. The University of Hawaii, I think.
[56:01.990 --> 56:02.810]  Yeah.
[56:02.810 --> 56:04.750]  Did a lot of studies or work, field trials,
[56:04.750 --> 56:07.070]  as they call them officially.
[56:07.070 --> 56:09.150]  Well, I actually had a friend, you know,
[56:09.150 --> 56:11.870]  who had a coffee farm who I ended up working on
[56:11.870 --> 56:15.150]  with my lady who I'm with now.
[56:15.150 --> 56:16.930]  We met in Hawaii.
[56:16.930 --> 56:21.290]  She was on a yoga retreat and we caught each other's spark
[56:21.290 --> 56:23.050]  and she ended up staying a lot longer.
[56:23.050 --> 56:26.150]  And just we're nine years later, still together.
[56:27.170 --> 56:28.490]  But yeah, very special.
[56:28.490 --> 56:30.910]  And we worked on a coffee farm together.
[56:30.910 --> 56:32.770]  That was an organic coffee farm.
[56:32.770 --> 56:35.210]  So we got to kind of meet the,
[56:35.210 --> 56:37.170]  and it was like very close friends, you know,
[56:37.170 --> 56:38.930]  Hawaii, you know, it's a big island,
[56:38.930 --> 56:40.170]  but it's a small island too.
[56:40.170 --> 56:43.570]  You know, it's like everybody knows each other, right?
[56:44.290 --> 56:47.450]  We got to meet the USDA certified organic people
[56:47.450 --> 56:50.690]  who actually go around and like pass people
[56:50.690 --> 56:51.630]  for certifications.
[56:51.630 --> 56:54.090]  And we kind of learned that like,
[56:54.090 --> 56:57.170]  organics may not be what you think it means, you know?
[56:57.170 --> 56:58.010]  So at least-
[56:58.010 --> 57:00.090]  100% these days, dude.
[57:00.090 --> 57:01.210]  Yeah. USDA scale.
[57:01.210 --> 57:03.090]  So it's just,
[57:03.090 --> 57:07.010]  and I'm sure everybody has a different opinion
[57:07.010 --> 57:08.550]  on what organics is, but you know,
[57:08.550 --> 57:10.770]  like the Hawaiian crew that I work with,
[57:10.770 --> 57:12.170]  that kind of took me under their wing.
[57:12.210 --> 57:15.050]  It's just, you know, dry amendments and microbes,
[57:15.050 --> 57:16.450]  you know, dry amendments and microbes,
[57:16.450 --> 57:18.450]  a foyer here and there, you know, it's like,
[57:18.450 --> 57:21.650]  and then, you know, one of my friend's ladies
[57:21.650 --> 57:25.450]  was going to the, you know, the university there
[57:25.450 --> 57:27.610]  just for some classes, you know,
[57:27.610 --> 57:30.430]  she was already a very accoladed, you know,
[57:30.430 --> 57:33.250]  Cecilia, you're a rockstar, Celia, big ups.
[57:33.250 --> 57:35.850]  Like she's a horticulturalist, you know,
[57:35.850 --> 57:40.250]  she's into roses and she just heard about this KMF stuff
[57:40.250 --> 57:41.170]  through the school.
[57:41.170 --> 57:43.450]  And I remember kind of me and my buddy were like,
[57:43.450 --> 57:44.450]  you do what?
[57:44.450 --> 57:45.290]  You like-
[57:45.290 --> 57:46.130]  Yeah, me too.
[57:46.130 --> 57:46.950]  What?
[57:46.950 --> 57:49.970]  You ferment sugar and what?
[57:49.970 --> 57:51.650]  Like, that seems like a lot of sugar.
[57:51.650 --> 57:53.670]  Like, I mean, you know, just kind of like,
[57:53.670 --> 57:55.970]  not talking shit, but definitely like-
[57:55.970 --> 57:58.370]  You don't believe it till you believe it.
[57:58.370 --> 58:02.730]  Yeah. And you know, so I didn't really get into KMF
[58:02.730 --> 58:03.910]  in Hawaii.
[58:03.910 --> 58:07.310]  We were just, you know, pumping dry amendments
[58:07.310 --> 58:09.690]  and, you know, compost teas, you know,
[58:10.130 --> 58:12.010]  maybe like a fish spray and veg or something,
[58:12.010 --> 58:15.210]  but like rocking, you know, a few different greenhouses.
[58:15.210 --> 58:17.970]  I was just, you know, working, you know, I was a worker.
[58:17.970 --> 58:20.050]  I was ready to be a work dog, you know,
[58:20.050 --> 58:22.970]  a hound dog just sitting on a property.
[58:22.970 --> 58:24.490]  Most valuable person.
[58:24.490 --> 58:28.570]  Watching plants grow, smoking herbs, smoking hash,
[58:28.570 --> 58:32.130]  watching plants grow, pruning plants, loving it.
[58:32.130 --> 58:32.970]  I loved it.
[58:32.970 --> 58:33.810]  Like I learned a lot.
[58:33.810 --> 58:36.690]  Like I was in a really, you know,
[58:36.690 --> 58:39.210]  I don't want to say dark, but it was definitely not,
[58:39.730 --> 58:40.570]  because it was Hawaii.
[58:40.570 --> 58:42.250]  Like how dark of a time could I have
[58:42.250 --> 58:45.130]  figuring out how to get in a jungle growing weed in Hawaii?
[58:45.130 --> 58:49.450]  So I was just, you know, like I was mentally recuperating.
[58:49.450 --> 58:52.890]  You know, I turned, I was a vegan at a time.
[58:52.890 --> 58:54.570]  I'm not anymore.
[58:54.570 --> 58:56.530]  Respect to everybody and their wishes,
[58:56.530 --> 58:58.930]  but I personally, I'm a, you know,
[58:58.930 --> 59:00.530]  I'm a vegetarian that eats meat
[59:00.530 --> 59:02.810]  probably once or twice a year, you know,
[59:02.810 --> 59:05.730]  but I don't call myself any,
[59:05.730 --> 59:08.170]  I don't like to put myself in a box, you know.
