[00:01.720 --> 00:16.000]  Hello, everyone.
[24:13.010 --> 24:15.010]  The thing is they're getting the best they can get.
[24:15.010 --> 24:17.730]  And I kind of say, well, it's like a raw food desert.
[24:17.730 --> 24:22.050]  If you're in the middle of the country and all you can have is a salad from fast food
[24:22.050 --> 24:25.090]  restaurant, at least it's a salad.
[24:25.450 --> 24:26.610]  Let me educate you.
[24:26.610 --> 24:29.930]  Let me sit with you for 20 minutes and tell you why that's not the right thing for your
[24:29.930 --> 24:31.290]  body system.
[24:31.290 --> 24:33.610]  And so that's where I get super passionate.
[24:33.610 --> 24:35.210]  That's why I threw it in there real quick.
[24:35.210 --> 24:36.210]  Yeah.
[24:36.210 --> 24:37.210]  Okay.
[24:37.210 --> 24:38.210]  So let's talk about the entourage effect.
[24:38.210 --> 24:42.730]  We had this discussion the other day and we were on this topic for a very long period
[24:42.730 --> 24:43.730]  of time.
[24:43.730 --> 24:44.730]  This is the hot button word.
[24:44.730 --> 24:49.370]  A lot of people as I'm interviewing them or speaking with them, I also do a podcast and
[24:49.370 --> 24:51.370]  so I interview people.
[24:51.370 --> 24:53.570]  This is the word that they're using.
[24:53.570 --> 24:58.330]  And we had this great conversation about, it's not just about THC.
[24:58.330 --> 25:03.650]  It's like the entourage effect makes you think that there's one shiny star and everything
[25:03.650 --> 25:05.370]  else is just surrounding it.
[25:05.370 --> 25:06.370]  Right?
[25:06.370 --> 25:07.370]  Like the HBO show.
[25:07.370 --> 25:08.370]  Yeah.
[25:08.370 --> 25:09.370]  Yeah.
[25:09.370 --> 25:10.370]  Okay.
[25:10.370 --> 25:12.890]  But you had a great story that I'd love for you to share with me again if you'd like.
[25:12.890 --> 25:13.890]  Sure.
[25:13.890 --> 25:14.890]  Yeah.
[25:14.890 --> 25:18.050]  So one of the things that we've done in our basic research is we've been trying to take
[25:18.050 --> 25:22.530]  the complexity of whole plants and then through the use of things that are more common to
[25:22.530 --> 25:26.130]  the pharmaceutical industry, they're called high throughput screening and medical models
[25:26.130 --> 25:28.050]  and animal testing and such like that.
[25:28.050 --> 25:34.450]  We've been trying to determine what assortment of ingredients from a whole plant extract
[25:34.450 --> 25:38.210]  do you absolutely need to be able to have high clinical value.
[25:38.210 --> 25:42.690]  And what we're finding is that single ingredients barely move the needle when it comes to clinical
[25:42.690 --> 25:43.690]  effectiveness.
[25:43.690 --> 25:48.210]  The power of whole plant medicine comes in the combinations of compounds that are in
[25:48.210 --> 25:50.770]  those plants when we start our analysis.
[25:50.810 --> 25:54.650]  And when we start to look at the readouts of if we measure the ingredients separately,
[25:54.650 --> 25:55.890]  most of them don't have any signal at all.
[25:55.890 --> 26:00.610]  So we realized that if we didn't have access to the whole plants, we never would have found
[26:00.610 --> 26:02.370]  the right mixtures.
[26:02.370 --> 26:07.690]  And so, but what we're finding is in most of the pets, so we've also filed patents on
[26:07.690 --> 26:11.850]  these and that we're doing them for specific conditions like Parkinson's disease, Alzheimer's
[26:11.850 --> 26:15.410]  disease, neuropathic pain, cardiovascular diseases.
[26:15.450 --> 26:22.330]  So one of the common themes in our research seems to be that THC isn't always the star.
[26:22.330 --> 26:26.530]  And in fact, in all of those conditions that I just mentioned, THC isn't a part of the
[26:26.530 --> 26:29.530]  formulation that we ended up with when we did a screen.
[26:29.530 --> 26:33.130]  CBD is important in some, but about 25%.
[26:33.130 --> 26:38.490]  So what we're seeing, and this is really early research, is that the next wave of cannabis
[26:38.490 --> 26:42.290]  medicines is really going to leverage minor cannabinoids and terpenes a whole lot more
[26:42.290 --> 26:44.330]  and specifically in mixtures.
[26:44.330 --> 26:48.010]  And there haven't been any big pharma companies that have stepped up and say, you know what,
[26:48.010 --> 26:52.370]  I'm going to go to the FDA with something that has nine ingredients, but we are.
[26:52.370 --> 26:56.010]  We've got a pharmaceutical composition that we're going to try to take to the FDA next
[26:56.010 --> 26:57.010]  year.
[26:57.010 --> 26:59.050]  It's got nine active ingredients.
[26:59.050 --> 27:04.650]  And so, but what we're trying to show is that the power of this kind of medicine is in the
[27:04.650 --> 27:08.370]  combinations and we've done a lot of like the geeky science stuff to show you need all
[27:08.370 --> 27:09.730]  of those ingredients.
[27:09.730 --> 27:11.810]  And that's what you should take away from whole plant medicine.
[27:11.810 --> 27:15.770]  It's not just that it has THC or CBD, it's that it has the whole assortment and that
[27:15.770 --> 27:16.770]  for...
[27:16.770 --> 27:17.770]  Molecular synergy.
[27:17.770 --> 27:18.770]  Molecular synergy.
[27:18.770 --> 27:19.770]  So we've tried to not call it entourage effect.
[27:19.770 --> 27:22.890]  We try to call it molecular synergy.
[27:22.890 --> 27:25.690]  These molecules work better together than they do apart.
[27:25.690 --> 27:27.210]  And that's the power of whole plant medicine.
[27:27.210 --> 27:29.210]  Yeah, it's fair.
[27:29.210 --> 27:30.210]  Yeah.
[27:30.210 --> 27:31.210]  Okay.
[27:31.210 --> 27:34.130]  I think that we are about wrapped up and you had a couple...
[27:34.130 --> 27:35.890]  Okay, well, we can continue to go.
[27:35.890 --> 27:41.690]  If there's any questions that you may have, we'll take a few.
[27:42.570 --> 27:43.570]  Okay.
[27:43.570 --> 27:44.570]  For Q&A.
[27:44.570 --> 27:45.570]  Can we go right into Q&A?
[27:45.570 --> 27:46.570]  Yeah.
[27:46.570 --> 27:47.570]  Yeah.
[27:47.570 --> 27:48.570]  Let's go into Q&A.
[27:48.570 --> 27:49.570]  I want to say one thing about this.
[27:49.570 --> 27:50.570]  So...
[27:50.570 --> 27:51.570]  Oh, yep.
[27:51.570 --> 27:52.570]  Go ahead.
[27:52.570 --> 27:55.890]  Our summary slide is that if we could encourage people to do one thing, is try to find ways
[27:55.890 --> 27:58.530]  to label beyond CBD and THC.
[27:58.530 --> 28:02.170]  I know it's going to be hard, but in different states I've been talking with people who are
[28:02.170 --> 28:06.410]  either using color coding or there's lots of different tricks that we can use to help
[28:06.410 --> 28:10.970]  break down the complexity so that when patients go to a dispensary, they can get the same
[28:10.970 --> 28:12.330]  thing every time, right?
[28:12.330 --> 28:15.970]  That's super important for maintaining their health.
[28:15.970 --> 28:16.970]  And so...
[28:16.970 --> 28:21.130]  But none of this is going to happen without patient education and money has to come from
[28:21.130 --> 28:22.130]  somewhere.
[28:22.130 --> 28:30.090]  So we need to, as an industry, be rolling back into patient education and basic research.
[28:30.090 --> 28:31.090]  Thank you.
[28:31.090 --> 28:32.090]  You're awesome.
[28:32.090 --> 28:33.090]  Thank you.
[28:33.090 --> 28:34.090]  Yeah.
[28:34.090 --> 28:39.110]  Does it affect...
[28:39.110 --> 28:46.110]  So does the delivery method of a terpene...
[28:46.110 --> 28:47.110]  A hundred percent.
[28:47.110 --> 28:48.110]  Okay.
[28:48.110 --> 28:49.110]  So what would you...
[28:49.110 --> 28:50.110]  Talk to me.
[28:50.110 --> 28:51.110]  Tell me.
[28:51.110 --> 28:52.110]  Go first.
[28:52.110 --> 28:53.110]  Well, that was it.
[28:53.110 --> 28:54.110]  Did the terpene...
[28:54.110 --> 28:55.110]  Is the delivery system of cannabis and the terpenes?
[28:55.110 --> 29:02.110]  Does the delivery system affect the effect on the body of the terpene?
[29:02.110 --> 29:03.110]  Absolutely.
[29:03.110 --> 29:09.470]  So what would be, in your opinion, like three of the best delivery methods for terpenes
[29:09.470 --> 29:10.470]  to get to your body system?
[29:10.470 --> 29:11.470]  It would depend on...
[29:11.470 --> 29:12.470]  And make an effect.
[29:12.470 --> 29:13.470]  Okay.
[29:13.470 --> 29:16.150]  It would depend on the particular body system that you were wanting to work with.
[29:16.150 --> 29:19.510]  So let's narrow that down, saying like the nervous system, for example.
[29:19.510 --> 29:25.470]  If you're doing it for the nervous system, the best delivery method would possibly be,
[29:25.470 --> 29:26.470]  depending on the person, the age.
[29:26.470 --> 29:28.070]  I mean, there's a lot of things that go into that.
[29:28.070 --> 29:29.470]  You have to dial it in.
[29:29.470 --> 29:33.110]  But once you do that, then you look at possible tinctures.
[29:33.110 --> 29:37.190]  Tinctures are going to be the easiest way to get that into the body system.
[29:37.190 --> 29:39.990]  The digestive system works completely different, though.
[29:39.990 --> 29:44.510]  If you're doing an edible and it breaks down in your intestines, that's a completely different
[29:44.510 --> 29:45.510]  thing.
[29:45.510 --> 29:46.510]  We've all had that happen.
[29:46.510 --> 29:52.110]  We've had the brownie and then three hours later and then four hours later.
[29:52.110 --> 29:53.110]  Sublingual's great.
[29:53.110 --> 29:54.110]  Sublingual's great.
[29:54.110 --> 29:57.110]  I work mostly with non-psychoactive cannabis.
[29:57.150 --> 30:01.510]  And so getting those particular, the body system or the way that the dosage method that
[30:01.510 --> 30:06.790]  I suggest for most people are sublingual's, tinctures and topicals.
[30:06.790 --> 30:11.070]  But it depends on what particular body system is needing that medicine.
[30:11.070 --> 30:12.070]  Right?
[30:12.070 --> 30:13.070]  Can I add to that?
[30:13.070 --> 30:14.070]  Of course.
[30:14.070 --> 30:16.270]  So from the producer side, there's some challenges with terpenes.
[30:16.270 --> 30:19.910]  Terpenes as chemicals are lighter.
[30:19.910 --> 30:24.950]  And so when you're trying to prepare cannabis-based products, they just naturally go into the
[30:24.950 --> 30:25.950]  air.
[30:25.950 --> 30:26.950]  Right?
[30:26.950 --> 30:33.590]  So there is a real challenge to, so if you have whole plant, if you're talking about
[30:33.590 --> 30:35.590]  flour, then this is less of a problem.
[30:35.590 --> 30:36.590]  Right?
[30:36.590 --> 30:39.870]  What will matter there is how it was cured because you can use a lot of terpenes depending
[30:39.870 --> 30:44.790]  upon how that raw plant material is cured and processed before it gets into the bag
[30:44.790 --> 30:45.790]  or jar.
[30:45.790 --> 30:46.790]  Right?
[30:46.790 --> 30:51.190]  But for terpenes, when it comes to extraction, different extraction methods, usually the
[30:51.190 --> 30:56.910]  terpenes end up in a different fraction or different part of the equation from the cannabinoids.
[30:57.870 --> 30:58.870]  Yeah.
[30:58.870 --> 31:02.310]  So that's where some people are getting creative with the juicing and stuff.
[31:02.310 --> 31:06.630]  So taking a raw plant and juicing probably is going to give you the most natural blend
[31:06.630 --> 31:08.870]  of the terpenes that were in the original plant.
[31:08.870 --> 31:13.270]  However, if you want a more convenience of some of these other methods, what producers
[31:13.270 --> 31:16.470]  have to do is you have to then add them back, usually.
[31:16.470 --> 31:19.830]  Because in an extraction method, usually, like I said, they end up in different places.
[31:19.830 --> 31:22.190]  So in the final product, you have to add them back.
[31:22.190 --> 31:26.270]  And then with respect to their absorption into the body, that's challenging too.
[31:26.350 --> 31:31.750]  Because like I said, mercine, one of the most common terpenes out there, is the smallest
[31:31.750 --> 31:33.510]  and the most likely to end up in the air.
[31:33.510 --> 31:34.510]  Right?
[31:34.510 --> 31:38.070]  So yeah, in some of the trials that we're doing, we're showing that it has, and other
[31:38.070 --> 31:41.430]  people know this too, is that it has a high potential for pain relief.
[31:41.430 --> 31:44.870]  But how do you actually get it into the product that you're trying to take?
[31:44.870 --> 31:48.430]  And how do you not lose the terpenes?
[31:48.430 --> 31:49.430]  Yeah.
[31:49.430 --> 31:50.430]  Yeah.
[31:50.430 --> 31:53.110]  So one of the things that we're doing, but this is still experimental, is we're doing
[31:53.110 --> 31:55.790]  something called creating nanoparticles.
[31:56.310 --> 31:57.310]  Nanoparticles make them heavier.
[31:57.310 --> 31:58.830]  They can have blood.
[31:58.830 --> 32:00.510]  And they increase the bioavailability.
[32:00.510 --> 32:03.070]  But like I said, these are sort of next gen type stuff.
[32:03.070 --> 32:06.830]  But one of the things to be careful of right now with the stuff you're consuming, if you
[32:06.830 --> 32:10.350]  want to make sure there's terpenes in there, is figure out how they processed it.
[32:10.350 --> 32:14.070]  The thing that's closest to fresh and raw is going to be the closest to the real terpene
[32:14.070 --> 32:15.070]  profile.
[32:15.070 --> 32:16.070]  Yeah.
[32:16.070 --> 32:17.070]  And read labels.
[32:17.070 --> 32:18.070]  Yeah.
[32:18.070 --> 32:23.310]  And I think we touched on it a little bit, but I think that we're really pushing getting
[32:23.350 --> 32:24.670]  everything tested.
[32:24.670 --> 32:27.190]  Know what is in your product.
[32:27.190 --> 32:28.190]  Know what's in your product.
[32:28.190 --> 32:32.070]  Because there's so many times I go and I ask someone to go into the dispensary, or I go
[32:32.070 --> 32:37.470]  in myself, and I look at the label and it just says this percentage TSC, this percentage
[32:37.470 --> 32:38.470]  CBD.
[32:38.470 --> 32:40.570]  And I said, what plant did this come from?
[32:40.570 --> 32:41.990]  What is the terpene profile?
[32:41.990 --> 32:43.310]  What's the cannabis fingerprint?
[32:43.310 --> 32:44.670]  It's not on there.
[32:44.670 --> 32:51.190]  So how can this be good for this particular ailment that I'm trying to get down to the...
[32:51.190 --> 32:52.190]  And one of the things that's true.
[32:52.190 --> 32:53.190]  Makes me crazy.
[32:54.070 --> 32:57.350]  We're advocates as producers in producing single strain whole plant extracts, but those
[32:57.350 --> 32:59.350]  are super rare.
[32:59.350 --> 33:05.910]  And so there's got to be also feedback to the people who are creating the products and
[33:05.910 --> 33:06.910]  to...
[33:06.910 --> 33:09.230]  The whole system has to understand that there is a demand for that.
[33:09.230 --> 33:13.150]  Because right now, the kinds of things that people ask for in dispensaries are usually
[33:13.150 --> 33:15.390]  pretty straightforward.
[33:15.390 --> 33:19.230]  But if we're ever going to get beyond where we are today into the next gen of what cannabis
[33:19.230 --> 33:21.990]  medicine can be, it's not just on our side.
[33:21.990 --> 33:25.390]  We can make these products, but if nobody buys them, and if we haven't educated people
[33:25.390 --> 33:28.750]  to understand why they need to buy them, we'll never get out of this phase.
[33:28.750 --> 33:32.830]  To the next phase where cannabis medicines are considered, of course we're using cannabis
[33:32.830 --> 33:33.830]  for this.
[33:33.830 --> 33:34.830]  That's where we need to be.
[33:34.830 --> 33:35.830]  It's coming.
[33:35.830 --> 33:36.830]  We're just educating.
[33:36.830 --> 33:37.830]  We're just in the education.
[33:37.830 --> 33:45.190]  I have a question of alkaline water and cannabis, a combination of how alkaline water can open
[33:45.190 --> 33:48.070]  up and give more oxygen to the plant to consume.
[33:48.190 --> 33:51.990]  I want to know if you guys have any studies or heard anything about that.
[33:51.990 --> 33:54.910]  I'll let you as the grower.
[33:54.910 --> 34:00.470]  I have been approached by a vendor who provides alkaline water, but I have not seen studies
[34:00.470 --> 34:01.910]  that support claims.
[34:01.910 --> 34:03.350]  I'm not trying to diss it.
[34:03.350 --> 34:06.470]  I'm just saying I don't have any evidence to evaluate, or I would tell you.
[34:06.470 --> 34:10.390]  From a logical perspective, I would imagine it would be really healing because it's very
[34:10.390 --> 34:12.830]  healing to the human body.
[34:12.830 --> 34:15.670]  But there is no studies that I know of.
[34:15.670 --> 34:17.670]  Thank you for that question.
[34:17.670 --> 34:23.940]  I've been hearing about flavonoids.
[34:23.940 --> 34:27.540]  Is that a different term?
[34:27.540 --> 34:28.540]  Is that something else?
[34:28.540 --> 34:31.460]  I just read that it's better than aspirin or something.
[34:31.460 --> 34:32.460]  We read that too.
[34:32.460 --> 34:33.460]  It's very exciting.
[34:33.460 --> 34:34.460]  Yeah.
[34:34.460 --> 34:38.900]  We're being advocates of learning all the compounds of the plant that are potentially
[34:38.900 --> 34:39.900]  active.
[34:39.900 --> 34:44.540]  When I quoted this, there's a study that showed that there's over 480 compounds in the cannabis
[34:44.540 --> 34:49.140]  plant that could be potential drugs because they have bioactivity.
[34:49.140 --> 34:52.660]  There's the cannabinoids, there's the terpenes, but there's also the flavonoids.
[34:52.660 --> 34:56.100]  There's other compounds too that are in that.
[34:56.100 --> 34:57.100]  Here's the thing.
[34:57.100 --> 35:00.060]  The studies are so early yet, but I think that's going to be one of the more active
[35:00.060 --> 35:02.260]  areas of research.
[35:02.260 --> 35:06.540]  To that, GB is actually sponsored a trial where we're doing with the University of Athens
[35:06.540 --> 35:11.300]  in Greece, where we're doing something called metabolomic analysis, where we've defined
[35:11.300 --> 35:14.100]  that these plant strains seem to be good at this.
[35:14.100 --> 35:16.740]  We're looking at not just the cannabinoids and terpenes that are in there, but what are
[35:16.740 --> 35:20.620]  the other compounds that we don't normally measure that could potentially have clinical
[35:20.620 --> 35:21.620]  value.
[35:21.620 --> 35:22.620]  I think you're right.
[35:22.620 --> 35:26.820]  That is going to be some brand new drug categories, which will be pretty awesome.
[35:26.820 --> 35:35.420]  Dr. Smallhauer, did you say that mercine as a terpene is good for pain relief?
[35:35.420 --> 35:40.060]  That is what we've ... Our work is still in preclinical, meaning we've done cell-based
[35:40.380 --> 35:42.380]  and we're doing animal trials right now.
[35:42.380 --> 35:46.620]  The other thing that we've found is that we were able to demonstrate that mercine and
[35:46.620 --> 35:51.540]  a couple of the other terpenes binds directly to receptors in the human body that regulate
[35:51.540 --> 35:52.540]  pain.
[35:52.540 --> 35:56.340]  It's not just we put some stuff in there and it seems to work.
[35:56.340 --> 35:58.700]  We're looking at the molecular mechanism.
[35:58.700 --> 36:03.260]  We've also used nanoparticles to help because mercine was so hard to deal with.
[36:03.260 --> 36:07.940]  We put these compounds into nanoparticles so it's easier to orally dose them without
[36:07.940 --> 36:09.540]  them floating into the air.
[36:09.540 --> 36:12.620]  My question was, I just wanted to make sure I heard you correctly because it's on the
[36:12.620 --> 36:13.620]  Prop 65 list.
[36:13.620 --> 36:14.620]  I know that.
[36:14.620 --> 36:15.620]  It is.
[36:15.620 --> 36:20.740]  There are two, marijuana smoke and mercine are the two things in cannabis that that's
[36:20.740 --> 36:23.140]  why we have to put the Prop 65 warnings.
[36:23.140 --> 36:25.060]  I was just wondering if you knew why that was the case.
[36:25.060 --> 36:27.940]  I don't, but that's something I want to look into and write a letter.
[36:27.940 --> 36:28.940]  Okay, let's do it.
[36:28.940 --> 36:32.420]  That's so wild because mercine is the most known in cannabis.
[36:32.420 --> 36:34.060]  It's the most abundant, right?
[36:34.060 --> 36:35.060]  That's interesting.
[36:35.060 --> 36:38.460]  We have time for one more question.
[36:38.460 --> 36:40.460]  Yeah, hold on.
[36:40.460 --> 36:47.000]  Hi, great talk.
[36:47.000 --> 36:50.400]  Dr. Nathan Schramm here.
[36:50.400 --> 36:51.800]  I'm in the sunscreen business.
[36:51.800 --> 36:55.160]  It's one of my businesses.
[36:55.160 --> 37:01.800]  We make a sunscreen that's mineral based, but nano is a big no-no in sunscreen.
[37:01.800 --> 37:09.480]  The European Union is regulating it heavily because nano passes through cell membranes.
[37:09.480 --> 37:12.960]  We don't know where it ends up even in the environment.
[37:12.960 --> 37:18.680]  Or in terms of zinc oxide and titanium dioxide, which are in sunscreens, it can deposit into
[37:18.680 --> 37:20.720]  the coral reefs and be damaging.
[37:20.720 --> 37:27.200]  I'm wondering if any of you have concerns about nano and cannabis and terpenes and stuff
[37:27.200 --> 37:28.200]  like that.
[37:28.200 --> 37:29.200]  Sure, sure.
[37:29.200 --> 37:30.200]  Let me address that.
[37:30.200 --> 37:32.880]  Certainly something we've considered because at the end of the day, we want to be helping
[37:32.880 --> 37:34.120]  people, right?
[37:34.120 --> 37:41.760]  But like many fields, nanotechnology covers a huge variety of technology.
[37:41.760 --> 37:47.200]  There's nano in medicine, there's nano in paint, there's nano in building materials.
[37:47.200 --> 37:51.520]  Nano touches a lot of our lives that we don't even know.
[37:51.520 --> 37:56.280]  There are both responsible molecules that you can use in building nano that have already
[37:56.280 --> 37:58.960]  been tested extensively.
[37:58.960 --> 38:03.080]  And then there's ones where they're showing either bioaccumulation or potential toxicity.
[38:03.080 --> 38:07.280]  We are very cognizant of that and we're trying to steer away from things that don't already
[38:07.280 --> 38:10.760]  have a safety profile that's established.
[38:10.760 --> 38:15.840]  But you're right, because people don't understand the whole breadth of the field, it is a hot
[38:15.840 --> 38:16.840]  button.
[38:16.840 --> 38:22.760]  But on the other hand, the thing that made me a believer in nano is that at the University
[38:22.760 --> 38:28.400]  of Sevilla, they published a study where they had taken a derivative of THC called CB13
[38:28.400 --> 38:31.040]  and put it in a time-released nanoparticle.
[38:31.040 --> 38:36.600]  And they orally dosed, with a single oral dose to a rodent in a neuropathic pain model,
[38:36.600 --> 38:41.000]  one dose gave 11 days worth of relief in that mouse model.
[38:41.000 --> 38:44.000]  Whereas the same compound without the nano gave eight hours.
[38:44.000 --> 38:49.880]  I'm not saying eight hours is horrible, but what if we could extend the therapeutic window
[38:49.880 --> 38:53.040]  of cannabinoids in a way that was controlled?
[38:53.040 --> 38:54.680]  For me, that was the future.
[38:54.680 --> 39:00.600]  But I see every advance also has potential pitfalls, so it's good that people keep on that.
[39:07.520 --> 39:08.520]  No?
[39:08.520 --> 39:09.520]  Thank you guys so much.
[39:09.520 --> 39:12.520]  Have a wonderful time at your event, a great weekend.
