[00:00.000 --> 00:15.100]  Cheers, everybody.
[43:15.750 --> 43:19.670]  He gave those to dutch blooms dutch blooms made f2s out of them
[43:20.070 --> 43:25.510]  And he handed them out to everybody in the community that went to these regen conferences and he said, you know
[43:25.590 --> 43:29.270]  Do community projects with them do stuff with them and we really kind of
[43:29.990 --> 43:32.150]  Respect that, you know, and I so I kind of
[43:32.710 --> 43:37.830]  started to take that and I started to cross them towards a few different things like the
[43:39.510 --> 43:41.510]  Apples and bananas
[43:42.470 --> 43:44.470]  Okay right there
[43:44.470 --> 43:46.470]  So that's you know
[43:46.710 --> 43:48.710]  Yeah
[43:48.710 --> 43:56.890]  We got like 200 cherry reserve seeds from that era. Yeah, the new england snowblower or whatever you had something snowblower
[43:57.830 --> 44:02.870]  Cross it to the gushman. So basically we're just kind of continuing that soto effort
[44:03.590 --> 44:05.110]  um
[44:05.110 --> 44:11.110]  And I want continued hunting to find more and more the the cuts themselves are really cool. They have some
[44:11.990 --> 44:13.990]  Um root beer
[44:14.310 --> 44:18.550]  In them but more leaning towards that chem dog special reserve
[44:19.110 --> 44:23.110]  Which is a cross of chem four times stardog. Um, nice
[44:24.070 --> 44:26.230]  and you know, so those are
[44:32.470 --> 44:35.030]  I'm sorry rich, but uh while you're on it
[44:35.110 --> 44:40.230]  You said uh just recently you had a chance to chop it up with kevin and he gave you the down low on
[44:40.630 --> 44:42.630]  The chem dog special reserve, right?
[44:43.110 --> 44:47.270]  Um, and you said it was around the time I believe leo's. Um
[44:48.310 --> 44:53.110]  Past girlfriend was murdered and maybe since we have a buddy on with us
[44:53.430 --> 44:56.870]  The community might be able to get a little insight to that story. Um
[44:57.830 --> 45:02.630]  I can have you take it away from there, uh rich and then maybe joshua might have a little
[45:03.190 --> 45:04.870]  Info he can
[45:04.870 --> 45:08.150]  Fill in for us. Oh, I mean, I don't know much about that
[45:08.870 --> 45:17.430]  The back story about that incident. That's for sure. I was i'm I um, kevin was really nice enough this industry
[45:18.150 --> 45:21.430]  Let me just go on a little side note here for this business. Where else?
[45:22.870 --> 45:30.410]  Can a guy like reach out to say the one of the executives in coca-cola and ask him a question about home brewing?
[45:30.810 --> 45:35.690]  Soda and have them like literally call you back on your phone and say hey
[45:35.770 --> 45:39.530]  let's talk about this because I don't want to just text it'll take you know, and
[45:40.650 --> 45:43.050]  Stuff like that in this community people like dutch
[45:43.370 --> 45:48.810]  Opening things up people like kevin opening the doors for us to learn more and more and more
[45:49.050 --> 45:53.770]  And that that's what that call was about. It was about me asking about the lineage of the genetics
[45:53.770 --> 45:55.770]  I was trying to work with right so I
[45:56.490 --> 45:58.490]  being from the east coast
[45:58.810 --> 46:00.810]  Tem kemdog only
[46:00.970 --> 46:04.910]  Is og there's no dawg in the writing of kemdog
[46:05.370 --> 46:08.670]  From what I know right because i'm out here in massachusetts
[46:09.450 --> 46:11.290]  so when I heard
[46:11.290 --> 46:12.330]  um
[46:12.330 --> 46:14.330]  When I heard kemdog special reserve
[46:14.330 --> 46:20.250]  I scratched my head a little bit and kevin was really nice enough to tell me the full story about how it was
[46:20.330 --> 46:22.330]  So it was a combination
[46:22.970 --> 46:26.970]  Um project originally between kyle kushman and leo stone
[46:27.610 --> 46:29.690]  with the chem four and the star dog
[46:30.250 --> 46:32.250]  and I guess they picked kind of a
[46:32.570 --> 46:33.610]  real
[46:33.610 --> 46:35.050]  gassy leader
[46:35.050 --> 46:37.450]  um with that chem dog project
[46:38.730 --> 46:41.050]  Um, and you know, I I don't know much
[46:42.010 --> 46:45.290]  More than that as far as what genetics and who started that?
[46:45.530 --> 46:48.570]  Um kemdog special reserve and eventually kem
[46:49.050 --> 46:50.890]  Kevin selected one
[46:50.890 --> 46:56.810]  And he liked it a lot and other people have selected them along the line and other people have used it to work with
[46:57.450 --> 47:04.730]  I believe it's been used in black lime reserve and a bunch of other other work, you know across the board since then
[47:05.210 --> 47:08.490]  But it was new to me on the east coast. So I needed to research a little bit
[47:09.450 --> 47:11.450]  But it's a really unique
[47:12.490 --> 47:14.170]  um
[47:14.250 --> 47:16.890]  I like it. I like it a lot. I like the flavor of it
[47:17.210 --> 47:21.130]  Oh, at least what i'm getting out of it through this uh cross with the root beer
[47:23.610 --> 47:27.850]  What does it smell like to you how would you describe those turps the um those chem
[47:28.570 --> 47:30.570]  those chem dog turps
[47:30.570 --> 47:33.450]  Uh, well, I wouldn't call it. Yeah, it's more
[47:34.010 --> 47:34.970]  uh
[47:34.970 --> 47:41.130]  Star dog like I would say then um and a little bit earthier than a chem dog
[47:41.610 --> 47:43.610]  um straight chem dogs
[47:44.250 --> 47:49.770]  I wouldn't say it's that or the chem four even is more astringent and lemony. I think that um
[47:50.730 --> 47:55.850]  The chem dog special reserve is a little bit different than all of those. That's why I was you know
[47:56.470 --> 48:00.090]  Questioning it I could taste something different than the root beer with flavor
[48:00.090 --> 48:05.630]  Which I already knew but the chem notes that I was tasting weren't exactly what I was expecting
[48:06.330 --> 48:08.730]  when i'm thinking chem dog, so I
[48:09.530 --> 48:10.890]  you know
[48:10.970 --> 48:15.610]  The star dog makes a lot of sense to me because i've had this star dog and I love the um
[48:16.310 --> 48:18.570]  Illuminati cut, um that I had
[48:19.210 --> 48:25.210]  For quite a while. It is one of the best returns i've ever had on a planet even before I you know
[48:25.370 --> 48:27.610]  Um knew the importance of returns
[48:31.910 --> 48:34.170]  No, yeah to be more specific
[48:35.590 --> 48:39.350]  Sorry go on go on. No. No, I was just saying I have three soto
[48:39.830 --> 48:45.110]  Females that i'm one that i'm flowering now i'll get to see I know the chef has got a few
[48:46.230 --> 48:48.230]  now we have rick to uh, um
[48:51.270 --> 48:54.790]  What we should find sorry, but i'm i'm psyched because I think that
[48:55.590 --> 49:01.350]  Dutch when I got those when we got those seeds dutch really was interested in my purple feno of the 818 headband that i've been
[49:01.350 --> 49:03.350]  running for the past eight years because
[49:03.510 --> 49:06.550]  It when it gets older and cures it does have that
[49:07.110 --> 49:12.310]  And this root beer type of thing to it so he's like I want to bring this back and show it to mean gene
[49:12.870 --> 49:13.910]  um
[49:13.910 --> 49:16.310]  and um, but I think it you know
[49:17.590 --> 49:18.870]  yeah, so
[49:18.870 --> 49:23.530]  That my headband is that 818 headband from swerve. So it's got that sfv
[49:24.950 --> 49:27.190]  Uh og idl in there
[49:28.230 --> 49:35.590]  Yeah, I agree. I don't I really like that one. Um, I I describe this whole side of chirps as like perfumes but the uh,
[49:36.790 --> 49:39.750]  Your headband is is really really unique
[49:39.830 --> 49:44.790]  It's like on the lighter side and I think the reserve is on like the heavier funkier side of that
[49:45.430 --> 49:49.910]  And I I really like I really like that headband you have so fire. I love sweat
[49:49.910 --> 49:53.510]  well, that's why the green pheno is like it's almost like sour diesel and then
[49:54.230 --> 49:59.430]  Everything else is purple like there was only one pack that I had but that was the only one that was green
[49:59.990 --> 50:03.590]  And it was actually leo that I met at a con at at the new england
[50:03.750 --> 50:08.790]  Cannabis convention in boston at the heinz convention center. I actually got to lay some buds on him
[50:09.430 --> 50:13.030]  Um, he gave me some seeds back then I still need to get into they're old
[50:13.110 --> 50:16.550]  I remember told you about the vanilla berry pie and the forbidden candy
[50:17.110 --> 50:19.110]  Um, I grew the vanilla
[50:20.870 --> 50:22.870]  Yeah, one of the most beautiful
[50:28.390 --> 50:32.710]  Even james loud said that's like one to grow one of his favorites to grow. I remember him saying
[50:33.590 --> 50:38.170]  These are probably worth like a thousand to two thousand dollars a pack right now. Maybe they're priceless
[50:39.350 --> 50:42.790]  Those are having problems. He has very few of them. So I don't know if I have to
[50:43.410 --> 50:48.310]  Scarify them or if I have to seed crack them or I have to use be careful
[50:49.590 --> 50:52.310]  Treat them with so much. Oh, man, that's amazing
[50:53.270 --> 50:58.710]  Yeah, I have them. Uh kush kirk crossed them onto something. So I have those turps on something this year
[50:59.590 --> 51:06.710]  Nice, I yeah, I love that plant that I brought that out of the cup like seven years ago or something and it was
[51:09.110 --> 51:11.110]  Yeah
[51:15.510 --> 51:19.110]  And then there's I see the aficionado there too upside down but that's cool
[51:19.910 --> 51:25.670]  Those are the fit beginning. Is that what the the one that you're talking about in hand? I bought this from seeds here now from
[51:25.910 --> 51:26.870]  um
[51:26.870 --> 51:28.230]  james bean
[51:28.230 --> 51:30.950]  there at the end and he gave me this because
[51:31.350 --> 51:34.550]  I went to go get money at the bank machine and then he was kind of like I felt like
[51:35.350 --> 51:39.590]  You know here kid like I felt like, you know, the coke and the shirt like it was awesome
[51:40.230 --> 51:43.750]  And then I saw him the next day and I got to lay the buds on him and that's when he was like, dude
[51:44.150 --> 51:47.830]  You what is this? And I and I gave him a bud of my purple and the green
[51:48.390 --> 51:53.910]  And he was like, this is the underdog cut or this is the underdog and oh this purple
[51:53.990 --> 51:56.950]  Yeah, this is what it's normally like he's like this. Have you bred with this?
[51:56.950 --> 51:59.270]  It came from a it came from a feminized pack
[51:59.830 --> 52:00.870]  but he was like
[52:00.870 --> 52:05.270]  oh and then the next day he hit me up and said it was some of the best weed that he smoked on the east coast
[52:05.670 --> 52:08.710]  And and I didn't know if he told me if it was real or whatever
[52:08.790 --> 52:12.870]  I was like just starting to get confident like even though i've been doing it for a while
[52:12.950 --> 52:15.270]  like I was like what you know, and
[52:15.990 --> 52:18.710]  And that's actually inspired me. Um, and I
[52:19.750 --> 52:25.030]  Yeah, I I need to get like one of tony's seed crackers and crack this or do something. I know they're very old now
[52:25.670 --> 52:28.230]  Um, I tried to get into them before and then I was like, oh
[52:28.950 --> 52:30.550]  It's not working
[52:30.550 --> 52:33.110]  I don't know. Maybe we need to touch on tips on that later
[52:33.110 --> 52:38.550]  but like I i'd be happy to ask that question later because I have some too that
[52:39.270 --> 52:42.790]  I've stopped trying until there's something new for me to try
[52:43.830 --> 52:48.950]  I'm, sorry if I went off on a tangent. Um, it's really about these fellas. That was good
[52:52.190 --> 52:53.150]  But
[52:53.150 --> 52:54.510]  I got into that
[52:54.510 --> 53:00.430]  Our og and also one of those 818 heads. We're hoping to find something kind of like that and uh,
[53:00.750 --> 53:02.750]  Hopefully rich you find some
[53:02.910 --> 53:05.950]  perks like that out of that, uh sour og number one
[53:06.750 --> 53:10.350]  I got these myself from uh, mean gene recently for
[53:10.970 --> 53:13.630]  Hollywood pure kush crop to the jarro
[53:14.350 --> 53:16.350]  Oh, yeah the jarro the uh
[53:18.350 --> 53:20.350]  The sour diesel
[53:20.670 --> 53:22.670]  to the coffee og male
[53:23.310 --> 53:25.310]  I think is the hollywood
[53:25.470 --> 53:30.350]  So we do we see jarro and we see sky jarro in a lot of things
[53:30.830 --> 53:32.830]  And that's you know, then peter
[53:33.150 --> 53:36.350]  But also other people I see it being part of the crosses
[53:37.870 --> 53:38.910]  Yeah
[53:38.910 --> 53:44.990]  No, the sky comes through really good. And actually I have some sky cuddler kush rosin that jason blessed me up with. Thank you
[53:45.070 --> 53:48.430]  Jason, this is some sun-grown rosin from last season as well
[53:48.990 --> 53:54.590]  But peter, thank you peter for uh, oh the root beer freeze who got back rich
[54:09.790 --> 54:12.910]  If you say that three times does a root beer appear in your hand
[54:14.510 --> 54:16.510]  There's no place like home
[54:18.430 --> 54:20.430]  This
[54:22.030 --> 54:27.790]  Yeah, and uh, I have the gg4 lime one, uh from brandon rust that uh
[54:27.870 --> 54:33.630]  John and I have been growing for a little while now. That's just like all gas and lime. So like this jarro
[54:36.350 --> 54:40.830]  Hopefully lime and you know some that classy hashy
[54:42.190 --> 54:45.150]  Old school og peter never sends me freebies
[54:45.870 --> 54:49.470]  Jarro though his answer to that is probably order something first
[54:54.990 --> 55:00.270]  I'll even i'll kick some auto flower seeds that i've been working to towards the giveaway. I wouldn't
[55:03.790 --> 55:10.350]  I showed those last I showed those last episode the the sour stomper times. What was it?
[55:11.230 --> 55:17.310]  Chef the uh thor's hammer at four. Yes. There we go. Okay. Thank you. Let's see. Yeah
[55:17.870 --> 55:19.870]  Oh, there we go
[55:20.670 --> 55:22.670]  Okay
[55:25.470 --> 55:27.470]  In the spring for sure
[55:28.990 --> 55:30.990]  Definitely
[55:32.110 --> 55:38.030]  Part of the outdoor spring thing around here for me is getting some autos in um
[55:38.190 --> 55:40.030]  um
[55:40.030 --> 55:43.070]  I just love that process now, especially since um
[55:44.510 --> 55:46.510]  getting some of
[55:46.750 --> 55:48.030]  alex's
[55:48.030 --> 55:50.030]  seeds lot season, um
[55:50.350 --> 55:54.510]  Along with another fellow. Uh, it was the high striker farm out of maine
[55:54.750 --> 56:00.910]  They both gave me some auto seeds and I tried both of them back to back at the same time last spring and it changed
[56:00.990 --> 56:02.990]  My mind I I enjoy
[56:02.990 --> 56:04.990]  I don't mind me an auto put it that way
[56:05.950 --> 56:07.950]  In the right
[56:08.590 --> 56:09.550]  You know
[56:09.550 --> 56:16.110]  Yeah, we joke and we call it weed light like bud light. We're like man if you're not used to smoking weed. Here's some weed light
[56:16.430 --> 56:17.390]  um
[56:17.390 --> 56:20.130]  But i'm i'm consulting for a permaculture
[56:20.830 --> 56:26.510]  Project out east that's um an aravidic farm where we'll be growing all kinds of herbs and plants
[56:27.390 --> 56:29.070]  and um
[56:29.070 --> 56:30.190]  the
[56:30.190 --> 56:32.190]  so i'm looking at
[56:32.410 --> 56:36.110]  Auto flower genetics for the east coast and so i'd love to talk to you more about
[56:36.750 --> 56:42.110]  That well, why don't you just tell people what a aromatic medicine is, you know, or just briefly?
[56:43.710 --> 56:45.710]  In case people yeah, sure
[56:46.590 --> 56:52.430]  Now that I I see how how nerdy this conversation goes. I wanted to go back to the wedding cake real quick. Um,
[56:52.990 --> 56:54.990]  So the origin of that goes
[56:55.150 --> 56:59.790]  Um, yeah, I had a lot of cuts from that era and I didn't realize how spoiled I was
[57:00.350 --> 57:05.790]  Um stinky pete, he's a great extractor seed person. Um been around him for years
[57:06.110 --> 57:10.990]  He's out of the cup era and then it went resin hits. Shout out to zack. He was in a
[57:11.710 --> 57:17.470]  I mean, he was one of the very first rosin people period and he was working with uh, brandon from third gen
[57:18.270 --> 57:20.830]  At the point of origin of rosin being introduced
[57:21.550 --> 57:23.550]  during that era, so
[57:23.630 --> 57:28.610]  Um, I we were growing the banana og the wedding cake the papaya
[57:29.570 --> 57:31.730]  And also the um,
[57:33.090 --> 57:35.090]  The uh
[57:35.490 --> 57:37.250]  Peach ring
[57:37.250 --> 57:43.650]  Those were all coming out of that lineage from that group and I didn't know what I had back then
[57:44.030 --> 57:46.130]  Honestly, all right. We let those guts go
[57:47.570 --> 57:49.570]  It's the baseball card now i'm like
[57:50.690 --> 57:56.530]  Now they're totally now they're like, uh, the breeding backbone for like the new era lineage i'm like
[57:57.330 --> 57:59.330]  Wow, there you go
[57:59.650 --> 58:01.650]  That didn't make fire
[58:03.730 --> 58:07.170]  It's been spoiled living in the triangle, you know
[58:08.050 --> 58:12.850]  Well, yeah, dude, and that's you know what I say, too. I grew up in the pacific northwest
[58:12.930 --> 58:20.290]  So we always had fireweed like i'm old, but I don't know mexican brick beasters is the worst that i've had like
[58:21.090 --> 58:26.370]  There's just always good weed around man a lot of music a lot of musicians weed goes hand in hand
[58:26.850 --> 58:30.050]  But I can't imagine it's anything to that real triangle though
[58:30.610 --> 58:35.090]  It was like is it weed? Yeah, it's weed. I'll take it. We didn't have a choice back in the day, right?
[58:36.130 --> 58:38.130]  We still didn't have a choice
[58:39.010 --> 58:41.010]  Good
[58:41.410 --> 58:45.730]  Sometimes on the east coast even um your first weed can be homegrown
[58:46.050 --> 58:52.530]  Um, you know, there's some back, you know, I was raised in massachusetts, but in you go far west
[58:52.610 --> 58:56.710]  There's lots of small hill towns that are very country very small population
[58:57.330 --> 59:01.250]  with lots of people doing their own homesteading thing and um
[59:02.210 --> 59:04.690]  you know, it might have been a super long time ago, but
[59:05.650 --> 59:08.050]  I was my first inclinations were
[59:09.410 --> 59:15.490]  To know that it was something that you did you could do yourself as part of a garden type of situation
[59:15.570 --> 59:19.170]  So I was very lucky to be able to be introduced to in that fashion
[59:19.890 --> 59:21.890]  um as as
[59:22.530 --> 59:27.330]  Part of something that could be done. Um, you know, uh as a homegrown thing
[59:27.410 --> 59:32.370]  Even though it was something you couldn't ever talk about or you know, it was the whole thing
[59:32.450 --> 59:35.490]  You guys know the whole story. So it was a matter of
[59:37.710 --> 59:39.710]  Self-sufficiency
[59:40.030 --> 59:46.670]  Kind of situation, um, you know independence keeping yourself satisfied with what you knew you loved
[59:47.390 --> 59:50.510]  Yeah, and that's that's how I started making seeds as well
[59:50.590 --> 59:57.310]  It was just a preservation for my own future type of thing, but I didn't I didn't have access to cuts early on
[59:57.870 --> 59:58.910]  um
[59:58.910 --> 01:00:05.710]  once I did get medical in washington and I got a card there then I did actually have some access through that but uh,
[01:00:06.350 --> 01:00:12.510]  Yeah, no missing out on some of those older ones, uh, or the you know the wedding cake and
[01:00:13.310 --> 01:00:15.310]  some of the other cuts man, it's
[01:00:16.830 --> 01:00:18.190]  Is there a friend
[01:00:18.190 --> 01:00:23.170]  Still around that you could get them from if you like really had to have them again. Are you able to source them? Hopefully?
[01:00:25.210 --> 01:00:27.210]  Personally i've been lucky to
[01:00:28.350 --> 01:00:34.750]  Oh, um, i'm not sure who you're asking but I could find the one that I have because I passed it along to a few
[01:00:34.910 --> 01:00:38.590]  Friends that I know still hold it. Um
[01:00:40.110 --> 01:00:47.310]  Um as far as that kind of situation goes i've been pretty lucky, um shout out, uh elite finos out of
[01:00:48.010 --> 01:00:51.310]  Massachusetts here. He's a kind of tissue culture. Um
[01:00:52.430 --> 01:00:57.150]  Lab, he's set up for himself. Um when I first met him we were you know
[01:00:58.110 --> 01:00:59.390]  uh
[01:00:59.390 --> 01:01:01.390]  genetic nerds trading
[01:01:01.470 --> 01:01:07.070]  Genetics back and forth but through him i've been able to test tons and tons and tons of hype cuts
[01:01:07.150 --> 01:01:11.790]  so that it's been kind of like I mean tons and tons and tons, but lots of
[01:01:12.190 --> 01:01:15.150]  um a lot of all the hype cuts so i'm able to
[01:01:16.750 --> 01:01:18.750]  Really uh
[01:01:19.470 --> 01:01:25.950]  It's really awesome, it's really great to be able to um taste the things that I might not have chosen
[01:01:25.950 --> 01:01:27.950]  Myself
[01:01:28.590 --> 01:01:36.510]  Because of maybe their cost or prohibiting value or different ways like, you know, my taste might be going a different area
[01:01:36.750 --> 01:01:40.350]  But just to have all these ones that are really famous. Um
[01:01:40.990 --> 01:01:46.750]  Was a really blessing for me, even though I don't necessarily use them all that much. I really love
[01:01:47.390 --> 01:01:50.830]  having them in the system and uh getting to taste them and
[01:01:51.790 --> 01:01:52.590]  You know
[01:01:52.590 --> 01:01:58.370]  So being part of the experience. Yeah all along the way since legalization here in massachusetts
[01:01:58.510 --> 01:02:00.590]  it was a real like pipeline of just
[01:02:01.390 --> 01:02:05.870]  A lot of the hype genetics coming through whereas before like you said kyle
[01:02:06.190 --> 01:02:12.190]  It was a long time of just doing your own thing growing some seeds. There were no cuts. We were just kind of
[01:02:13.370 --> 01:02:15.230]  self-sustaining and watching
[01:02:15.230 --> 01:02:17.230]  You know either your genetic selection
[01:02:17.790 --> 01:02:22.670]  Um improving or falling apart into a big mess of watered down
[01:02:23.230 --> 01:02:27.630]  Genetics that you you know either had potency or didn't you just kind of went from there
[01:02:28.350 --> 01:02:32.670]  Right and and how about you cannabis fine the the cuts are they still?
[01:02:33.070 --> 01:02:36.190]  Somewhat accessible if you wanted to go back and revisit them
[01:02:36.990 --> 01:02:42.990]  Yeah, well, it's a funny conversation because like when I got these cuts years ago, um,
[01:02:43.310 --> 01:02:50.270]  Rosin wasn't uh that big of a deal. The price was way higher and every market was like, uh, what's this?
[01:02:50.830 --> 01:02:52.830]  And this is amazing
[01:02:53.070 --> 01:02:54.750]  and so
[01:02:54.750 --> 01:02:56.750]  Every market i've met
[01:02:57.070 --> 01:03:00.030]  In my career i've introduced it to um
[01:03:01.470 --> 01:03:04.750]  It was introduced to me at the cup through brandon and third gen
[01:03:04.910 --> 01:03:10.270]  Uh, that was my kind of eye open to it. The cherry chem was the first. Uh
[01:03:10.990 --> 01:03:17.230]  The first rosin I hit I love those genetics from south fork and love that rosin, but so my point is is
[01:03:18.270 --> 01:03:20.350]  We let those cuts go now
[01:03:21.130 --> 01:03:25.170]  Rosin is very popular honey bananas won all these national competitions
[01:03:26.510 --> 01:03:28.930]  Now these cuts are very valuable
[01:03:29.870 --> 01:03:31.870]  So yeah, I could go
[01:03:31.950 --> 01:03:33.950]  track down the breeders
[01:03:34.270 --> 01:03:39.790]  And maybe get to them if I really wanted them. I have to assume their their values like
[01:03:40.270 --> 01:03:42.270]  10 to 100 times more than they were
[01:03:42.910 --> 01:03:44.510]  seven years ago
[01:03:44.510 --> 01:03:46.510]  paying a premium
[01:03:46.830 --> 01:03:51.550]  That's it's a trip. It's a trip the whole culture's grown up a lot
[01:03:52.030 --> 01:03:56.990]  And and when you talk to the breeders the banana, oh, geez the bet is the superior one
[01:03:57.310 --> 01:03:59.970]  Honey banana is just the new era of the genetics
[01:04:01.310 --> 01:04:03.310]  We all like the banana. Oh, gee
[01:04:04.270 --> 01:04:07.790]  Yeah, we think that that's the original banana smacking
[01:04:08.350 --> 01:04:14.670]  Flavor, um, it was the weirdest planter bro. Oh my gosh a lot of these hash plants are so like
[01:04:15.070 --> 01:04:18.990]  Awkward to look at you're like wow, you really went for strange
[01:04:19.790 --> 01:04:22.590]  Are they just a lot of you just have to love them?
[01:04:23.710 --> 01:04:29.150]  Yeah, well end result. I mean the the at the end of the day the customer doesn't see the plant
[01:04:29.230 --> 01:04:32.830]  They don't necessarily care particularly if it's rosin. You don't even know
[01:04:34.030 --> 01:04:36.030]  It never gets
[01:04:37.870 --> 01:04:39.870]  A little yield
[01:04:39.950 --> 01:04:41.550]  But yeah
[01:04:41.550 --> 01:04:43.550]  Exactly. Just keep them clean
[01:04:43.870 --> 01:04:49.630]  They're a little more finicky. You got to watch them more for mold. You have to treat them with more care
[01:04:49.950 --> 01:04:52.990]  Um, but it's worth it when you see that hash come back
[01:04:53.630 --> 01:04:55.790]  um, you know sadly I
[01:04:56.910 --> 01:05:01.950]  Just lost my seven or plus year old eight year old mimosa cut
[01:05:02.430 --> 01:05:07.310]  I pulled that seed from origin from the year. It was dropped at my close friend's
[01:05:08.190 --> 01:05:10.750]  Request and we held that for a long time
[01:05:10.830 --> 01:05:16.030]  It's created some really good lineages into some of stay fly stuff into some local stuff
[01:05:16.110 --> 01:05:22.270]  We really like that. It was a great hash and rosin cut more so some of it. Yeah, I can go back to it
[01:05:23.470 --> 01:05:31.230]  But not all of it, you know, some of the stuff was really specific like we had it ourselves. It was our own precious pheno
[01:05:31.950 --> 01:05:38.590]  But you know, it's a long career and the tissue labs are just showing up and it's it's hard to hold on to these plants
[01:05:38.590 --> 01:05:40.030]  they get
[01:05:40.030 --> 01:05:44.510]  If you don't have it, perfect man, those mothers they keep getting harder and harder and harder
[01:05:45.390 --> 01:05:47.390]  Oh, man
[01:05:47.790 --> 01:05:49.790]  Let's see here I am, um
[01:05:50.190 --> 01:05:53.070]  In the background rebel grown. Let's see here
[01:05:54.090 --> 01:05:56.590]  Supernova, what is in that sticky richie?
[01:05:58.590 --> 01:06:00.590]  I'm grown
[01:06:02.190 --> 01:06:08.110]  A solid outdoor performer. It's a class of his book purple anarchy times stardust. Um
[01:06:09.070 --> 01:06:11.070]  I'm, really excited. I'm gonna pop great
[01:06:15.750 --> 01:06:17.830]  Shout out to rebel dan he's live
[01:06:18.630 --> 01:06:21.030]  with dutch on their
[01:06:21.650 --> 01:06:26.390]  Cannabis network while we're going live guys, so I know it's going to be hard to choose between
[01:06:27.030 --> 01:06:28.550]  Oh, no, everybody's
[01:06:28.550 --> 01:06:30.870]  No, i'm just but I got some good stuff, too
[01:06:31.430 --> 01:06:33.190]  natty bumpo
[01:06:33.590 --> 01:06:35.910]  From got that over to rich as well
[01:06:37.750 --> 01:06:42.890]  I got the double og. They make me hash. I got three things. They make good genetics
[01:06:45.350 --> 01:06:47.350]  Yeah
[01:06:48.310 --> 01:06:50.310]  You know, they grow well outdoors
[01:06:50.470 --> 01:06:56.230]  Uh, they're they're good genetics. I like them a lot. I've grown the sour lines. I've grown their blue dream lines
[01:06:56.230 --> 01:07:02.950]  I've grown their og lines. I've I actually am sitting on like 500 seeds of theirs right now from about
[01:07:03.190 --> 01:07:08.470]  Three or four years ago. I had a bunch of seeds of theirs that didn't pop and I called the owner
[01:07:08.710 --> 01:07:12.470]  Um, he was so respectful. He like he gifted me like
[01:07:13.110 --> 01:07:14.310]  hundreds of seeds
[01:07:14.310 --> 01:07:16.310]  Um really good company
[01:07:17.030 --> 01:07:20.950]  Fire guava that looks good real quick. Um
[01:07:22.230 --> 01:07:28.070]  We've passed an hour into the show. I want to do a giveaway real quick here. We we've been talking
[01:07:28.710 --> 01:07:30.550]  uh cakes
[01:07:30.550 --> 01:07:33.350]  Wedding cakes and again this this giveaway today
[01:07:33.910 --> 01:07:39.910]  Uh, this one is coming from mirror seeds, uh mirror seeds, uh reached out to me
[01:07:40.150 --> 01:07:47.670]  And mirror seeds is actually a group of three different breeders. They are from michigan. Uh, they've got james lee
[01:07:48.150 --> 01:07:54.070]  Uh scott town and chris mason. They've been working together for a few years making different seeds
[01:07:54.070 --> 01:07:58.550]  But they're all doing that under the uh, the mirror seeds and they just reached out said hey
[01:07:58.550 --> 01:08:01.990]  We want to send you some things I said i'm not opposed to that at all
[01:08:02.390 --> 01:08:07.510]  I want to give some away. So we're going to give some away and we'll do two batches here
[01:08:07.830 --> 01:08:12.790]  Uh two batches of two the first one since we've kind of mentioned something similar
[01:08:13.270 --> 01:08:18.710]  Uh, we're gonna go so the first batch will be black sundae, which is an ice cream cake
[01:08:19.430 --> 01:08:24.870]  We we can talk about where that fits into the wedding cake of it all but ice cream cake times black mamba
[01:08:25.270 --> 01:08:31.350]  And then the other one in that because we kind of talked about apples, uh, this one is eden secret
[01:08:31.350 --> 01:08:36.150]  It's an apple punch times black mamba. I see mr. Kazoo kush
[01:08:36.790 --> 01:08:42.070]  In the chat big ups kazoo. He has actually sent me some crosses with the black mamba as well
[01:08:42.630 --> 01:08:47.430]  And he is from michigan. So this is one of those things that may be around that area
[01:08:47.590 --> 01:08:49.590]  I'm excited to do that
[01:08:49.590 --> 01:08:57.430]  And i'm also excited to use the stream yard giveaway tool which I have just figured out
[01:08:58.610 --> 01:09:01.990]  Congratulations to me. Let me see if I can get it on the screen now
[01:09:02.630 --> 01:09:09.510]  Can you guys excuse me? Just for a moment? I gotta go take my shot. Um, yes, please do john my glucometer is telling me
[01:09:11.110 --> 01:09:13.270]  Yes, please do okay so everybody
[01:09:13.830 --> 01:09:14.710]  Uh in chat
[01:09:14.710 --> 01:09:21.670]  All you have to do is just type wedding cake into chat and we will be giving away this two-pack us only guys
[01:09:21.990 --> 01:09:23.490]  girls, I
[01:09:23.490 --> 01:09:25.030]  apologize
[01:09:25.030 --> 01:09:26.310]  us
[01:09:26.310 --> 01:09:33.910]  Only we call it the mr. Magpie rule if he's listening. That's hilarious. But uh, yeah us only it's uh,
[01:09:35.030 --> 01:09:37.350]  It's just such a bitch to ship anywhere else. So
[01:09:37.990 --> 01:09:40.630]  Type wedding cake into chat. We'll leave this up here
[01:09:40.630 --> 01:09:45.270]  But we'll keep talking for a couple minutes while they get into
[01:09:47.110 --> 01:09:51.830]  The queue there, but does anybody know where ice cream cake fits into the whole
[01:09:52.470 --> 01:09:53.990]  wedding cake fiasco
[01:09:53.990 --> 01:09:56.790]  I feel like a lot of times when you do get that winner like
[01:09:57.030 --> 01:10:01.510]  Trophy wife, then you got divorce wife then you got mafia wife, then you got ex-wife
[01:10:02.310 --> 01:10:05.130]  Where does ice cream cake fit into this whole conversation?
[01:10:06.550 --> 01:10:08.150]  Sure, I can
