[00:00.000 --> 00:05.760]  Make the connection.
[54:28.480 --> 54:30.480]  I'll give you 20 seeds and tell you how to do it yourself
[54:30.480 --> 54:32.480]  and then boom
[54:32.480 --> 54:34.480]  you'd get it figured out
[54:34.480 --> 54:36.480]  you'd teach 10 of your friends
[54:36.480 --> 54:38.480]  people would just
[54:38.480 --> 54:40.480]  get excited about it
[54:40.480 --> 54:42.480]  some people would kill the 20 plants
[54:42.480 --> 54:44.480]  and other people would get them going
[54:45.200 --> 54:47.200]  it was just a hobby
[54:47.200 --> 54:49.200]  totally started as a hobby
[54:49.200 --> 54:51.200]  they started
[54:51.200 --> 54:53.200]  selling seeds as
[54:53.200 --> 54:55.200]  spice of life seeds in 94
[54:55.200 --> 54:57.200]  and that was
[54:57.200 --> 54:59.200]  the first releases
[54:59.200 --> 55:01.200]  first release was
[55:01.200 --> 55:03.200]  Jolly Rancher
[55:03.200 --> 55:05.200]  and then a number of Sweet Pink Grapefruit
[55:05.200 --> 55:07.200]  Five Alive
[55:07.200 --> 55:09.200]  a few other ones
[55:09.200 --> 55:11.200]  and what's known as the
[55:11.200 --> 55:13.200]  Sweets Gun
[55:13.920 --> 55:15.920]  95 I think is when
[55:15.920 --> 55:17.920]  the really fun ones came out
[55:17.920 --> 55:19.920]  and then 96 was when
[55:19.920 --> 55:21.920]  the Sweet Tooth Shishkaberry
[55:21.920 --> 55:23.920]  Plum Bud Blue Domino
[55:23.920 --> 55:25.920]  was pollinated
[55:25.920 --> 55:27.920]  that room and the Sweet Tooth and Shishkaberry
[55:27.920 --> 55:29.920]  carried on strong out of there
[55:29.920 --> 55:31.920]  the Blue Domino got
[55:31.920 --> 55:33.920]  sold almost entirely to one shop
[55:33.920 --> 55:35.920]  in Ottawa and still
[55:35.920 --> 55:37.920]  in Ottawa they grow Blue Domino
[55:37.920 --> 55:39.920]  but it didn't go anywhere else
[55:39.920 --> 55:41.920]  they loved it and they just cleaned me out of it
[55:42.640 --> 55:44.640]  and then the Plum Bud
[55:44.640 --> 55:46.640]  was a Corolla
[55:46.640 --> 55:48.640]  a pure Corolla from South India
[55:48.640 --> 55:50.640]  that got hit with the same special
[55:50.640 --> 55:52.640]  Blueberry Dad that made the
[55:52.640 --> 55:54.640]  F1 Sweet Tooth and Shishkaberry
[55:54.640 --> 55:56.640]  so when it hit
[55:56.640 --> 55:58.640]  when it hit Dutch Treat
[55:58.640 --> 56:00.640]  it became the Blue Domino
[56:00.640 --> 56:02.640]  and when it hit
[56:02.640 --> 56:04.640]  the Corolla
[56:04.640 --> 56:06.640]  which was like baby Aspirin
[56:06.640 --> 56:08.640]  it had a faint candy orange
[56:08.640 --> 56:10.640]  nose it was really nice and soft smoking
[56:11.360 --> 56:13.360]  but very not strong weed
[56:13.360 --> 56:15.360]  pleasant weed
[56:15.360 --> 56:17.360]  but it would have been
[56:17.360 --> 56:19.360]  super interesting crossed with that Blueberry
[56:19.360 --> 56:21.360]  I never even grew one out
[56:21.360 --> 56:23.360]  because I had a Chinese friend
[56:23.360 --> 56:25.360]  that was going back to Southern China
[56:25.360 --> 56:27.360]  and wanted to have
[56:27.360 --> 56:29.360]  the arm he planted
[56:29.360 --> 56:31.360]  for him
[56:31.360 --> 56:33.360]  he said
[56:33.360 --> 56:35.360]  how many of you got through somewhere hot and humid
[56:35.360 --> 56:37.360]  and it was like the only thing I had
[56:37.360 --> 56:39.360]  that was
[56:40.080 --> 56:42.080]  like mom
[56:42.080 --> 56:44.080]  we can still say that
[56:44.080 --> 56:46.080]  and I thought this would be your best hope
[56:46.080 --> 56:48.080]  and there's
[56:48.080 --> 56:50.080]  I don't know whatever I had like 10,000 seeds of it
[56:50.080 --> 56:52.080]  or something and he was like sold
[56:52.080 --> 56:54.080]  he took that whole lot of those
[56:54.080 --> 56:56.080]  and took them to Southern China
[56:56.080 --> 56:58.080]  and I never heard what happened with the Plum Bud
[56:58.080 --> 57:00.080]  I think 10% of them
[57:00.080 --> 57:02.080]  had got released at the beginning
[57:02.080 --> 57:04.080]  that were sold in town
[57:04.080 --> 57:06.080]  and then
[57:06.080 --> 57:08.080]  through a shop downtown
[57:08.800 --> 57:10.800]  and then
[57:10.800 --> 57:12.800]  90% that I was
[57:12.800 --> 57:14.800]  sitting on after I had sold the first 10
[57:14.800 --> 57:16.800]  that's when my friend came by and bought them all
[57:16.800 --> 57:18.800]  so the ones that
[57:18.800 --> 57:20.800]  I kept working were the Sweet Tooth
[57:20.800 --> 57:22.800]  and Shishkaberry which not coincidentally
[57:22.800 --> 57:24.800]  were also the biggest yielding
[57:24.800 --> 57:26.800]  ones of those four
[57:26.800 --> 57:28.800]  and the
[57:28.800 --> 57:30.800]  at the time especially I used to dream
[57:30.800 --> 57:32.800]  of the time when the tasty stuff
[57:32.800 --> 57:34.800]  would take precedence over
[57:34.800 --> 57:36.800]  this you know
[57:37.520 --> 57:39.520]  straight up bag of peel yield
[57:39.520 --> 57:41.520]  conundrum which is what people were
[57:41.520 --> 57:43.520]  looking for if you had a seed company
[57:43.520 --> 57:45.520]  back then
[57:45.520 --> 57:47.520]  like mid 90's to early 2000's
[57:47.520 --> 57:49.520]  when I did at least you'd have
[57:49.520 --> 57:51.520]  80% or
[57:51.520 --> 57:53.520]  more of your sales would be
[57:53.520 --> 57:55.520]  of your best yielding stuff
[57:55.520 --> 57:57.520]  you know it was really
[57:57.520 --> 57:59.520]  all people cared
[57:59.520 --> 58:01.520]  they would say oh those are really prettier
[58:01.520 --> 58:03.520]  yeah that's really tastier that's really
[58:03.520 --> 58:05.520]  strong and a few heady growers
[58:06.240 --> 58:08.240]  would opt for those but you couldn't
[58:08.240 --> 58:10.240]  justify
[58:10.240 --> 58:12.240]  from a business point of view
[58:12.240 --> 58:14.240]  devoting a lot of space to those
[58:14.240 --> 58:16.240]  you know even when you'd find
[58:16.240 --> 58:18.240]  those selections
[58:18.240 --> 58:20.240]  you'd be like oh my god I'm going to
[58:20.240 --> 58:22.240]  keep growing that for myself
[58:22.240 --> 58:24.240]  on the side but I'm going to breed with this one
[58:24.240 --> 58:26.240]  because people are going to kill me if it's not
[58:26.240 --> 58:28.240]  you know a solid big top
[58:28.240 --> 58:30.240]  you know they don't want these little
[58:30.240 --> 58:32.240]  tops yet eventually they'll be
[58:32.240 --> 58:34.240]  okay with the little ones with lots of flavor
[58:34.960 --> 58:36.960]  but overall it had to meet a certain
[58:36.960 --> 58:38.960]  weight standard so
[58:38.960 --> 58:40.960]  you know the seeds were popular
[58:40.960 --> 58:42.960]  because they were consistent
[58:42.960 --> 58:44.960]  for what people were looking for
[58:44.960 --> 58:46.960]  which was an easy to grow
[58:46.960 --> 58:48.960]  decent smoke I won't say
[58:48.960 --> 58:50.960]  the strongest ones but many of the
[58:50.960 --> 58:52.960]  sweet tooth generations got to be
[58:52.960 --> 58:54.960]  really sweet so that was
[58:54.960 --> 58:56.960]  nice and I really love
[58:56.960 --> 58:58.960]  to this day
[58:58.960 --> 59:00.960]  still the sweetest pot I know
[59:00.960 --> 59:02.960]  is good sweet tooth selections
[59:03.680 --> 59:05.680]  I love it but I don't see
[59:05.680 --> 59:07.680]  too many and because I'm not
[59:07.680 --> 59:09.680]  growing in North America
[59:09.680 --> 59:11.680]  like a real garden with
[59:11.680 --> 59:13.680]  a bedroom and a collection I'm just
[59:13.680 --> 59:15.680]  putting a few plants out that are pretty random
[59:15.680 --> 59:17.680]  just whatever friends happen to
[59:17.680 --> 59:19.680]  give me in the spring I pop out
[59:19.680 --> 59:21.680]  and
[59:21.680 --> 59:23.680]  you know it's frustrating when you've
[59:23.680 --> 59:25.680]  got a massive library of plants
[59:25.680 --> 59:27.680]  close to you but it's on another continent
[59:27.680 --> 59:29.680]  you can't just go and flower them all
[59:29.680 --> 59:31.680]  out at will
[59:32.400 --> 59:34.400]  it's a bit of a bite
[59:34.400 --> 59:36.400]  but it's cool
[59:36.400 --> 59:38.400]  Hey guys I apologize
[59:38.400 --> 59:40.400]  if I can interrupt
[59:40.400 --> 59:42.400]  I've got to run I've got some family visiting
[59:42.400 --> 59:44.400]  any moment now so things are going to get pretty
[59:44.400 --> 59:46.400]  disruptive on my end
[59:46.400 --> 59:48.400]  Well really nice meeting you man
[59:48.400 --> 59:50.400]  No mine
[59:50.400 --> 59:52.400]  It was my pleasure Peter
[59:52.400 --> 59:54.400]  I appreciate the invite
[59:54.400 --> 59:56.400]  We'll bring you back
[59:56.400 --> 59:58.400]  Steve and Kevin you guys are real heavy hitters
[59:58.400 --> 01:00:00.400]  legends in the industry so I couldn't
[01:00:01.120 --> 01:00:03.120]  I couldn't resist at least meeting you
[01:00:03.120 --> 01:00:05.120]  so I've got your contact
[01:00:05.120 --> 01:00:07.120]  information so Steve I'm interested
[01:00:07.120 --> 01:00:09.120]  in the library experiment in Columbia
[01:00:09.120 --> 01:00:11.120]  and Kevin I'm interested in visiting
[01:00:11.120 --> 01:00:13.120]  your summer home on the coast in Maine
[01:00:13.120 --> 01:00:15.120]  when you buy it
[01:00:15.120 --> 01:00:17.120]  Have fun with the family
[01:00:17.120 --> 01:00:19.120]  Alright see you Ryan
[01:00:19.120 --> 01:00:21.120]  See you Peter thanks guys
[01:00:27.120 --> 01:00:29.120]  Justin Cash asked about
[01:00:29.840 --> 01:00:31.840]  I'm finally going to ask it
[01:00:31.840 --> 01:00:33.840]  Can we get Kevin to update
[01:00:33.840 --> 01:00:35.840]  on the sour skunk strain
[01:00:35.840 --> 01:00:37.840]  Oh people
[01:00:37.840 --> 01:00:39.840]  Did you ever get that question?
[01:00:39.840 --> 01:00:41.840]  I get it every time
[01:00:41.840 --> 01:00:43.840]  What I did is
[01:00:43.840 --> 01:00:45.840]  By the way
[01:00:45.840 --> 01:00:47.840]  I think we've answered this
[01:00:47.840 --> 01:00:49.840]  question about 10 times
[01:00:49.840 --> 01:00:51.840]  in previous episodes
[01:00:51.840 --> 01:00:53.840]  but anyway go ahead
[01:00:53.840 --> 01:00:55.840]  Yeah no what happened was
[01:00:55.840 --> 01:00:57.840]  I got really ill a couple years back
[01:00:58.560 --> 01:01:00.560]  I died in the hospital I was in a coma for a minute
[01:01:00.560 --> 01:01:02.560]  and
[01:01:02.560 --> 01:01:04.560]  when I got out of the ICU and went back
[01:01:04.560 --> 01:01:06.560]  to my life I just
[01:01:06.560 --> 01:01:08.560]  didn't have any energy
[01:01:08.560 --> 01:01:10.560]  It took a while to get back to normal
[01:01:10.560 --> 01:01:12.560]  so I had to let the project sit
[01:01:12.560 --> 01:01:14.560]  and then we ended up losing the old
[01:01:14.560 --> 01:01:16.560]  facility due to zoning changes
[01:01:16.560 --> 01:01:18.560]  and so I lost my
[01:01:18.560 --> 01:01:20.560]  facility that I was going to do all the R&D
[01:01:20.560 --> 01:01:22.560]  at and so I lose probably
[01:01:22.560 --> 01:01:24.560]  8-10 months from illness
[01:01:24.560 --> 01:01:26.560]  and then I get fucked from zoning
[01:01:27.280 --> 01:01:29.280]  and we put in a
[01:01:29.280 --> 01:01:31.280]  new facility but we tied it into a larger
[01:01:31.280 --> 01:01:33.280]  company to stabilize
[01:01:33.280 --> 01:01:35.280]  the operation
[01:01:35.280 --> 01:01:37.280]  and I just didn't have the space
[01:01:37.280 --> 01:01:39.280]  of the ability to be able to go through the
[01:01:39.280 --> 01:01:41.280]  populations and so what I did is I licensed
[01:01:41.280 --> 01:01:43.280]  them over to another group
[01:01:43.280 --> 01:01:45.280]  and over the next
[01:01:45.280 --> 01:01:47.280]  couple years it's already beginning where we're starting
[01:01:47.280 --> 01:01:49.280]  to go through the forms and opening up
[01:01:49.280 --> 01:01:51.280]  the plants themselves
[01:01:51.280 --> 01:01:53.280]  we can kind of take a look at a bigger population
[01:01:53.280 --> 01:01:55.280]  level and that's what's going on
[01:01:56.000 --> 01:01:58.000]  I held all the stock, I kept all the pieces
[01:01:58.000 --> 01:02:00.000]  I just realized that
[01:02:00.000 --> 01:02:02.000]  I had my window closed
[01:02:02.000 --> 01:02:04.000]  and I didn't expect to get sick, it was sudden
[01:02:04.000 --> 01:02:06.000]  and one day I was fine and the next day I was
[01:02:06.000 --> 01:02:08.000]  getting rushed to the hospital for emergency surgery
[01:02:08.000 --> 01:02:10.000]  and there you go
[01:02:10.000 --> 01:02:12.000]  so I kind of was a little above my
[01:02:12.000 --> 01:02:14.000]  control but all the
[01:02:14.000 --> 01:02:16.000]  materials still there, all the seed stock I
[01:02:16.000 --> 01:02:18.000]  acquired, all the old stock from
[01:02:18.000 --> 01:02:20.000]  the 80's that I put together
[01:02:20.000 --> 01:02:22.000]  all of that's still present but in order to do
[01:02:22.000 --> 01:02:24.000]  a good job you need big populations
[01:02:24.720 --> 01:02:26.720]  you need big populations to sift outliers
[01:02:26.720 --> 01:02:28.720]  every now and then you can pull something
[01:02:28.720 --> 01:02:30.720]  wonderful out of a small selection
[01:02:30.720 --> 01:02:32.720]  but man if you can take a look at
[01:02:32.720 --> 01:02:34.720]  a bigger population it's nice
[01:02:34.720 --> 01:02:36.720]  I took a look the other day
[01:02:36.720 --> 01:02:38.720]  two or three months ago
[01:02:38.720 --> 01:02:40.720]  at the Royal and the GMO
[01:02:40.720 --> 01:02:42.720]  so the Royal, the original Royal mom
[01:02:42.720 --> 01:02:44.720]  and the GMO cut
[01:02:44.720 --> 01:02:46.720]  and I had shared them with
[01:02:46.720 --> 01:02:48.720]  a group that has massive
[01:02:48.720 --> 01:02:50.720]  research facility potential
[01:02:50.720 --> 01:02:52.720]  and I got to see thousands
[01:02:53.440 --> 01:02:55.440]  of different plants
[01:02:55.440 --> 01:02:57.440]  and I had the same exact
[01:02:57.440 --> 01:02:59.440]  plant selfed and opened
[01:02:59.440 --> 01:03:01.440]  up into population form so I could
[01:03:01.440 --> 01:03:03.440]  see the distribution
[01:03:03.440 --> 01:03:05.440]  of the traits within the population
[01:03:05.440 --> 01:03:07.440]  and it was incredible because it
[01:03:07.440 --> 01:03:09.440]  lets you really start to see the picture
[01:03:09.440 --> 01:03:11.440]  and that's the only way to do this
[01:03:11.440 --> 01:03:13.440]  correctly is to open these populations
[01:03:13.440 --> 01:03:15.440]  up. The thing with the skunk was
[01:03:15.440 --> 01:03:17.440]  that I love the smell of skunk piss herb
[01:03:17.440 --> 01:03:19.440]  but that wasn't what I was seeking
[01:03:19.440 --> 01:03:21.440]  primarily, that was one of the things
[01:03:22.160 --> 01:03:24.160]  that took me back to my childhood
[01:03:24.160 --> 01:03:26.160]  in New England because we were moving so much
[01:03:26.160 --> 01:03:28.160]  Colombian stock through the neighborhood
[01:03:28.160 --> 01:03:30.160]  and because my neighborhood
[01:03:30.160 --> 01:03:32.160]  was real crime
[01:03:32.160 --> 01:03:34.160]  it means that there was real
[01:03:34.160 --> 01:03:36.160]  weight moving through so
[01:03:36.160 --> 01:03:38.160]  you were seeing it coming in in huge
[01:03:38.160 --> 01:03:40.160]  quantities and the people that were moving
[01:03:40.160 --> 01:03:42.160]  all of it were all into weed
[01:03:42.160 --> 01:03:44.160]  heavily too so they would always sift out
[01:03:44.160 --> 01:03:46.160]  the best shit all the time
[01:03:46.160 --> 01:03:48.160]  and a lot of that stock
[01:03:48.160 --> 01:03:50.160]  from Colombia coming from Panama
[01:03:50.880 --> 01:03:52.880]  coming from Afghanistan
[01:03:52.880 --> 01:03:54.880]  Central America
[01:03:54.880 --> 01:03:56.880]  India, it would come in seasonally
[01:03:56.880 --> 01:03:58.880]  once it was harvested and it made its way
[01:03:58.880 --> 01:04:00.880]  into the US
[01:04:00.880 --> 01:04:02.880]  and there was just those, that's like
[01:04:02.880 --> 01:04:04.880]  my youth and what I wanted
[01:04:04.880 --> 01:04:06.880]  was I wanted to go back to my youth
[01:04:06.880 --> 01:04:08.880]  just to enjoy things
[01:04:08.880 --> 01:04:10.880]  from that time period
[01:04:10.880 --> 01:04:12.880]  and I was able to collect a lot of stock
[01:04:12.880 --> 01:04:14.880]  from the 80s
[01:04:14.880 --> 01:04:16.880]  and start to mine into it
[01:04:16.880 --> 01:04:18.880]  and it was just a beautiful experience
[01:04:19.600 --> 01:04:21.600]  once I got ill I was done
[01:04:21.600 --> 01:04:23.600]  I'm glad I had insurance
[01:04:23.600 --> 01:04:25.600]  and even with full insurance it still cost me
[01:04:25.600 --> 01:04:27.600]  like 70, 80 grand on top of the
[01:04:27.600 --> 01:04:29.600]  couple hundred grand it cost to be in the ICU
[01:04:29.600 --> 01:04:31.600]  go in a coma
[01:04:31.600 --> 01:04:33.600]  while you're sleeping they're still ripping all the money
[01:04:33.600 --> 01:04:35.600]  out of your pocket
[01:04:35.600 --> 01:04:37.600]  and so it's just chilling
[01:04:37.600 --> 01:04:39.600]  so it's not going anywhere, all the material's held
[01:04:39.600 --> 01:04:41.600]  everything is in vitro, stored, scrubbed
[01:04:41.600 --> 01:04:43.600]  so we've gotten all the pathogens out
[01:04:43.600 --> 01:04:45.600]  the amount of pathogenic
[01:04:45.600 --> 01:04:47.600]  baggage on most of the plants you see
[01:04:48.320 --> 01:04:50.320]  it's rare that you see anything
[01:04:50.320 --> 01:04:52.320]  that doesn't have some type of weight on it
[01:04:52.320 --> 01:04:54.320]  I was telling someone
[01:04:54.320 --> 01:04:56.320]  I used to plant regular 50 count cube
[01:04:56.320 --> 01:04:58.320]  clones, so the clone would be 3-4 inches
[01:04:58.320 --> 01:05:00.320]  tall, 50 cell size
[01:05:00.320 --> 01:05:02.320]  so you had inch and a half
[01:05:02.320 --> 01:05:04.320]  by inch and a half
[01:05:04.320 --> 01:05:06.320]  root ball
[01:05:06.320 --> 01:05:08.320]  I would plant it into soil-less
[01:05:08.320 --> 01:05:10.320]  and we would knock in out of 16
[01:05:10.320 --> 01:05:12.320]  plants planted that way with like
[01:05:12.320 --> 01:05:14.320]  24 hours veg
[01:05:14.320 --> 01:05:16.320]  we would knock in 2.5 pounds of light
[01:05:17.040 --> 01:05:19.040]  off a 16 square foot grid
[01:05:19.040 --> 01:05:21.040]  in the late 90s
[01:05:21.040 --> 01:05:23.040]  and so
[01:05:23.040 --> 01:05:25.040]  I had a collection
[01:05:25.040 --> 01:05:27.040]  of plants that could throw weight like that
[01:05:27.040 --> 01:05:29.040]  and was good grass
[01:05:29.040 --> 01:05:31.040]  and we saw these changes in yield
[01:05:31.040 --> 01:05:33.040]  potential decrease over time
[01:05:33.040 --> 01:05:35.040]  and I just realized that there was stuff we didn't
[01:05:35.040 --> 01:05:37.040]  see and once we started really being able to do
[01:05:37.040 --> 01:05:39.040]  virology tests we saw how much crap was
[01:05:39.040 --> 01:05:41.040]  weighed into our stock
[01:05:41.040 --> 01:05:43.040]  and so scrub everything up and now we can
[01:05:43.040 --> 01:05:45.040]  take a real look at it
[01:05:45.760 --> 01:05:47.760]  and the people that do leaf pressing
[01:05:47.760 --> 01:05:49.760]  and
[01:05:49.760 --> 01:05:51.760]  like say data preservation
[01:05:51.760 --> 01:05:53.760]  of what a plant is supposed to look like
[01:05:53.760 --> 01:05:55.760]  for
[01:05:55.760 --> 01:05:57.760]  banking
[01:05:57.760 --> 01:05:59.760]  that's where you really want to take a look at what the plant
[01:05:59.760 --> 01:06:01.760]  really looks like because with
[01:06:01.760 --> 01:06:03.760]  all the viral issues
[01:06:03.760 --> 01:06:05.760]  it changes the leaf shape
[01:06:05.760 --> 01:06:07.760]  it changes the structure of the plant
[01:06:07.760 --> 01:06:09.760]  so it's all good
[01:06:09.760 --> 01:06:11.760]  I just had a window
[01:06:11.760 --> 01:06:13.760]  and I went at it and I collected and gathered
[01:06:14.480 --> 01:06:16.480]  and I built the project
[01:06:16.480 --> 01:06:18.480]  but then I got sick
[01:06:18.480 --> 01:06:20.480]  and we had a setback change
[01:06:20.480 --> 01:06:22.480]  the county changed the setbacks at my old facility
[01:06:22.480 --> 01:06:24.480]  and wiped out
[01:06:24.480 --> 01:06:26.480]  the whole facility
[01:06:26.480 --> 01:06:28.480]  so I had probably 25-26 people
[01:06:28.480 --> 01:06:30.480]  working there for me
[01:06:30.480 --> 01:06:32.480]  and we were about to fill
[01:06:32.480 --> 01:06:34.480]  the whole back with new ranges
[01:06:34.480 --> 01:06:36.480]  and it was going to be a really killer situation
[01:06:36.480 --> 01:06:38.480]  and then
[01:06:38.480 --> 01:06:40.480]  I had this killer dream of I had another operation
[01:06:40.480 --> 01:06:42.480]  that we were putting together that we were going to use
[01:06:43.200 --> 01:06:45.200]  and we were going to use old wonderland
[01:06:45.200 --> 01:06:47.200]  as a breeding facility but we were going to use it
[01:06:47.200 --> 01:06:49.200]  for other people
[01:06:49.200 --> 01:06:51.200]  so what we would do is we would allow the breeder
[01:06:51.200 --> 01:06:53.200]  to come in, the breeder could make
[01:06:53.200 --> 01:06:55.200]  the selections, the breeder would
[01:06:55.200 --> 01:06:57.200]  receive the credit, we would just do
[01:06:57.200 --> 01:06:59.200]  the production because I knew how
[01:06:59.200 --> 01:07:01.200]  many breeders I was working with that didn't have
[01:07:01.200 --> 01:07:03.200]  licenses because they didn't have the ability
[01:07:03.200 --> 01:07:05.200]  to acquire them. The amount of money it took
[01:07:05.200 --> 01:07:07.200]  to get the real estate, the license
[01:07:07.200 --> 01:07:09.200]  all the stuff was just staggering
[01:07:09.200 --> 01:07:11.200]  staggering
[01:07:11.920 --> 01:07:13.920]  and so we wanted to be able to
[01:07:13.920 --> 01:07:15.920]  further the people we had worked with
[01:07:15.920 --> 01:07:17.920]  for years because we knew that
[01:07:17.920 --> 01:07:19.920]  the diversity is the only way you're going to have
[01:07:19.920 --> 01:07:21.920]  real success. I don't think anybody's
[01:07:21.920 --> 01:07:23.920]  smart enough on their own to cover the spectrum
[01:07:23.920 --> 01:07:25.920]  and I mean I meet some brilliant people
[01:07:25.920 --> 01:07:27.920]  Steve, one of them, you know
[01:07:27.920 --> 01:07:29.920]  you've been laying down stock forever
[01:07:29.920 --> 01:07:31.920]  but you
[01:07:31.920 --> 01:07:33.920]  know too you're only one guy, you can only go
[01:07:33.920 --> 01:07:35.920]  so far. No, that's why having
[01:07:35.920 --> 01:07:37.920]  satellite places is the key
[01:07:37.920 --> 01:07:39.920]  the satellite places is where you
[01:07:40.640 --> 01:07:42.640]  get to validate everything you think you're learning
[01:07:42.640 --> 01:07:44.640]  in your tea place, you know.
[01:07:44.640 --> 01:07:46.640]  Exactly.
[01:07:46.640 --> 01:07:48.640]  You can substantiate it.
[01:07:48.640 --> 01:07:50.640]  Well you're picking out different recesses
[01:07:50.640 --> 01:07:52.640]  like you said you find different groups
[01:07:52.640 --> 01:07:54.640]  within the population and when you
[01:07:54.640 --> 01:07:56.640]  start a hundred thousand of the same seed
[01:07:56.640 --> 01:07:58.640]  in ten different climates
[01:07:58.640 --> 01:08:00.640]  you're going to lean towards
[01:08:00.640 --> 01:08:02.640]  different ones potentially, right?
[01:08:02.640 --> 01:08:04.640]  Yep, and it's going to give you what you need
[01:08:04.640 --> 01:08:06.640]  you need it to work correctly
[01:08:06.640 --> 01:08:08.640]  It's a numbers game though, like you said
[01:08:09.360 --> 01:08:11.360]  numbers is a selection
[01:08:11.360 --> 01:08:13.360]  Yeah, and you know a good
[01:08:13.360 --> 01:08:15.360]  breed package lets an individual who wants
[01:08:15.360 --> 01:08:17.360]  to cultivate cannabis from a ten pack
[01:08:17.360 --> 01:08:19.360]  they can get some killer stock
[01:08:19.360 --> 01:08:21.360]  but that's not where you want
[01:08:21.360 --> 01:08:23.360]  to build a line from
[01:08:23.360 --> 01:08:25.360]  you know, it'd help if you
[01:08:25.360 --> 01:08:27.360]  had a much bigger population
[01:08:27.360 --> 01:08:29.360]  The bigger the better for sure
[01:08:29.360 --> 01:08:31.360]  but I think the minimum
[01:08:31.360 --> 01:08:33.360]  out of what I've talked to
[01:08:33.360 --> 01:08:35.360]  other breeders as well is that we seem
[01:08:35.360 --> 01:08:37.360]  to start seeing repetition
[01:08:38.080 --> 01:08:40.080]  after lots of 250
[01:08:40.080 --> 01:08:42.080]  and that's when I found
[01:08:42.080 --> 01:08:44.080]  like my sweet skunk was a
[01:08:44.080 --> 01:08:46.080]  recessive sativa
[01:08:46.080 --> 01:08:48.080]  coming out of the cross that was mostly
[01:08:48.080 --> 01:08:50.080]  looking like northern lights
[01:08:50.080 --> 01:08:52.080]  and it was like 2 out of 500
[01:08:52.080 --> 01:08:54.080]  the F1 I planted out 500
[01:08:54.080 --> 01:08:56.080]  seeds and I had 2
[01:08:56.080 --> 01:08:58.080]  that looked like haze
[01:08:58.080 --> 01:09:00.080]  and 490 that looked like
[01:09:00.080 --> 01:09:02.080]  hindicance and they were just like
[01:09:02.080 --> 01:09:04.080]  well Jesus, these are
[01:09:04.080 --> 01:09:06.080]  exactly what they mean by recessive
[01:09:06.800 --> 01:09:08.800]  you just get a little throwback
[01:09:08.800 --> 01:09:10.800]  but other times I started stuff
[01:09:10.800 --> 01:09:12.800]  I would keep that ratio in mind
[01:09:12.800 --> 01:09:14.800]  and I always found that you saw
[01:09:14.800 --> 01:09:16.800]  the loosest recessive would show up
[01:09:16.800 --> 01:09:18.800]  on the 250th seed
[01:09:18.800 --> 01:09:20.800]  you know, so if you had 4
[01:09:20.800 --> 01:09:22.800]  of them from 1000
[01:09:22.800 --> 01:09:24.800]  you'd start seeing, you'd still get to choose
[01:09:24.800 --> 01:09:26.800]  between them, it's better to have 1000
[01:09:26.800 --> 01:09:28.800]  than 250 but I think the minimum
[01:09:28.800 --> 01:09:30.800]  you need to look at to see the different
[01:09:30.800 --> 01:09:32.800]  expressions is at least 250
[01:09:32.800 --> 01:09:34.800]  you know
[01:09:35.520 --> 01:09:37.520]  even in work they've developed, I was talking
[01:09:37.520 --> 01:09:39.520]  to
[01:09:39.520 --> 01:09:41.520]  Louis from
[01:09:41.520 --> 01:09:43.520]  ACE and we were talking about haze
[01:09:43.520 --> 01:09:45.520]  with the psychoactive
[01:09:45.520 --> 01:09:47.520]  component in high
[01:09:47.520 --> 01:09:49.520]  and even though they've
[01:09:49.520 --> 01:09:51.520]  worked these lines so heavily, you only see
[01:09:51.520 --> 01:09:53.520]  it really pop out 1 in 100 plus
[01:09:53.520 --> 01:09:55.520]  so you really
[01:09:55.520 --> 01:09:57.520]  only get that and they're not even sure
[01:09:57.520 --> 01:09:59.520]  really what's the indicators for it
[01:09:59.520 --> 01:10:01.520]  you have to go through and smoke them
[01:10:01.520 --> 01:10:03.520]  and so you know, it's the same
[01:10:04.240 --> 01:10:06.240]  thing, you need big populations to hunt
[01:10:06.240 --> 01:10:08.240]  the stuff that are outliers and then from there
[01:10:08.240 --> 01:10:10.240]  we can run it on clonal form
[01:10:10.240 --> 01:10:12.240]  but I ran that sweet skunk you had
[01:10:12.240 --> 01:10:14.240]  I had that and the grapefruit
[01:10:14.240 --> 01:10:16.240]  and then a couple years later
[01:10:16.240 --> 01:10:18.240]  I hooked up with Red from Legends
[01:10:18.240 --> 01:10:20.240]  and I was running
[01:10:20.240 --> 01:10:22.240]  the Legends
[01:10:22.240 --> 01:10:24.240]  ultimate indica which was your sweet
[01:10:24.240 --> 01:10:26.240]  tooth male into their Ortega
[01:10:26.240 --> 01:10:28.240]  and they had an Ortega
[01:10:28.240 --> 01:10:30.240]  and that did really well
[01:10:30.240 --> 01:10:32.240]  I made that too actually
[01:10:32.960 --> 01:10:34.960]  I got the Ortega
[01:10:34.960 --> 01:10:36.960]  clone from California
[01:10:36.960 --> 01:10:38.960]  to Switzerland
[01:10:38.960 --> 01:10:40.960]  and when I made sweet tooth 3
[01:10:40.960 --> 01:10:42.960]  and 4, the same
[01:10:42.960 --> 01:10:44.960]  father which was sweet tooth
[01:10:44.960 --> 01:10:46.960]  BX2P1
[01:10:46.960 --> 01:10:48.960]  that same father hit the Ortega
[01:10:48.960 --> 01:10:50.960]  at the same time as it was making
