[00:00.000 --> 00:06.480]  In one week.
[28:17.540 --> 28:21.500]  And what are your projections for you think it's going to hold steady there?
[28:22.340 --> 28:23.340]  The.
[28:24.420 --> 28:29.100]  The government has gotten involved because it's pushed back from big companies to get
[28:29.100 --> 28:30.220]  rid of the black market.
[28:31.020 --> 28:36.420]  And there's been a lot of closures of warehouses.
[28:37.420 --> 28:42.660]  As of late and also a crackdown on the light up and outdoor farming.
[28:44.460 --> 28:45.460]  That's on license.
[28:45.500 --> 28:46.500]  The diesel.
[28:46.660 --> 28:47.780]  Right. The diesel market.
[28:48.060 --> 28:49.060]  Yeah.
[28:51.260 --> 28:54.660]  So that's drawn prices up again.
[28:54.980 --> 28:58.620]  And so whoever's still in business is obviously benefiting from that.
[29:01.860 --> 29:03.140]  So it's become a commodity.
[29:03.940 --> 29:08.100]  And then there's obviously because of that, there's higher demand.
[29:08.140 --> 29:09.340]  It's spurring that.
[29:12.300 --> 29:15.380]  And talk about because you said you've also grown outdoors to.
[29:16.340 --> 29:18.340]  I've grown outdoors a couple of different times.
[29:18.900 --> 29:19.900]  The.
[29:20.700 --> 29:26.580]  Product isn't as good and certainly for my market, the.
[29:29.220 --> 29:30.420]  The discerning customer.
[29:30.660 --> 29:33.580]  Just look at this. I just want to make sure that they are pulled out.
[29:33.860 --> 29:39.740]  But but when you're defining a good product, is it based on like look and THC?
[29:41.660 --> 29:45.500]  Old school heads can tell whether or not it's grown outdoors and grown indoors.
[29:46.220 --> 29:47.220]  Some people can't.
[29:47.660 --> 29:53.140]  And so there are some times where you'll get a light that that's passing for an
[29:53.140 --> 29:54.980]  end. And.
[29:55.980 --> 30:02.580]  I guess certainly there's more margins to be made there, but I like my product to
[30:02.580 --> 30:07.100]  sell itself and I don't want to have anybody come back and tell me that it wasn't
[30:07.100 --> 30:08.100]  what I said it was.
[30:08.940 --> 30:13.420]  So I've always dealt with environments that I can control.
[30:13.660 --> 30:17.420]  And if I'm going to put my stamp on it, it's going to be the bomb.
[30:17.780 --> 30:18.780]  Hey, number one.
[30:19.780 --> 30:25.900]  In growing outdoors, there are so many variables that you can't control, and so
[30:25.900 --> 30:32.340]  then you're at the whim of nature and the like I said, the end product is is
[30:33.180 --> 30:34.620]  certainly not up to snuff.
[30:35.940 --> 30:38.820]  Well, I think it depends to who, though, because I know plenty of right.
[30:38.860 --> 30:46.180]  Amazing cultivators who are old school people who can tell indoor and don't like
[30:46.700 --> 30:51.300]  right. I know this is an allure to the sun grown product.
[30:52.660 --> 30:57.340]  Like for me, I'm always kind of like you don't drink wine that was grown from
[30:57.340 --> 30:58.500]  grapes and door.
[30:58.740 --> 31:06.060]  No, it's kind of like like I feel like indoor obviously has the bag appeal because
[31:06.060 --> 31:14.700]  it looks perfect and you can crank up the kind of THC percentages and really for the
[31:14.700 --> 31:16.500]  streets, that's the end result.
[31:16.500 --> 31:22.220]  That's how I guess what I'm getting at is like the judgment of what is and is not
[31:22.220 --> 31:23.900]  good is different for different people.
[31:23.940 --> 31:24.940]  Right. Right.
[31:25.260 --> 31:26.700]  So your average L.A.
[31:26.700 --> 31:31.060]  market consumer is basically does this look like a shiny red apple?
[31:31.060 --> 31:33.900]  And is it dripping with THC?
[31:34.340 --> 31:35.340]  Exactly.
[31:36.340 --> 31:41.500]  What about when a like kind of purple punch and kind of the.
[31:44.100 --> 31:50.060]  Like I'm just thinking of things that were desirable and like trends, you've
[31:50.060 --> 31:53.020]  noticed that have become fads and desirable in the market.
[31:54.940 --> 32:02.420]  I guess there's a lot of different strains that have presented themselves that I
[32:02.500 --> 32:06.220]  guess get some noise, but then that noise kind of quiets down.
[32:06.700 --> 32:14.500]  So it may be hot for a minute and then it's not Gorilla Glue, for instance.
[32:14.500 --> 32:17.700]  Like there was a time where you couldn't grow enough of it.
[32:18.260 --> 32:22.460]  And then people was like, well, OK, I've had enough of that.
[32:23.140 --> 32:26.780]  And so then you have all this Gorilla Glue and then you can't get rid of it.
[32:27.420 --> 32:34.180]  And so then another strain will be heard in a rap song or whatnot, and then it
[32:34.180 --> 32:36.700]  becomes desirable and then you run to that.
[32:37.700 --> 32:41.580]  For me, I try and stick with the tried and true.
[32:42.180 --> 32:46.940]  Oh, geez, will always be marketable because they do what you want them to do.
[32:46.980 --> 32:52.220]  And it's a smell that's reminiscent of what you're accustomed to.
[32:53.260 --> 32:54.980]  Much the same as a sour diesel.
[32:56.980 --> 33:02.420]  I think that a lot of these strains are really nothing but residual from Northern
[33:02.420 --> 33:05.380]  Lights, the grandfather of all.
[33:08.140 --> 33:16.300]  The land race strains, and so for me, I can't really gamble on.
[33:17.620 --> 33:24.380]  The what's new, what's hot right now, I can't feed my family that way, it takes a dip
[33:24.700 --> 33:29.900]  in the market and then doesn't get what I thought it was going to three months ago
[33:30.100 --> 33:31.740]  after going through that process.
[33:32.220 --> 33:40.260]  So I've always stuck to what is tried and true and is representative of what my
[33:40.260 --> 33:41.220]  market wants.
[33:42.420 --> 33:46.460]  Well, how about this, if we forget the market, if you were just growing for
[33:46.460 --> 33:52.260]  yourself. Oh, well, those purples, they taste nice, you know, and give you a nice
[33:52.260 --> 33:59.940]  effect. But as a grower, for instance, purples take a lot longer to vegetate than
[33:59.940 --> 34:01.140]  some of the other strains.
[34:01.460 --> 34:06.060]  So then your calendar is extended and then it costs you more to produce it.
[34:06.420 --> 34:10.820]  And you're not necessarily getting more for the product at the end of the day.
[34:11.100 --> 34:16.260]  So if it were me, first of all, for me, it's not a hobby.
[34:16.500 --> 34:17.420]  It's a way of life.
[34:17.980 --> 34:22.460]  But if I were just growing for myself, I would have all those different varieties
[34:22.460 --> 34:27.500]  because they taste nice, they have different effects, and they all I guess they have
[34:27.500 --> 34:29.260]  their moments when you would want to consume them.
[34:29.260 --> 34:34.980]  Right. When you said the purples take a lot, why is that that they take longer?
[34:36.020 --> 34:37.780]  Is it the flowering stage that takes longer?
[34:37.780 --> 34:38.780]  No, it's the vegetative.
[34:38.940 --> 34:39.300]  OK.
[34:41.820 --> 34:46.260]  Genetics do different things, you know, some plants mature faster than others, just
[34:46.260 --> 34:47.740]  like kids.
[34:48.580 --> 34:49.820]  OK, yeah.
[34:49.820 --> 34:53.940]  And I think that's a big driver, especially in the indoor market of like, you know, if
[34:53.940 --> 34:59.940]  you look at the past 30 years of what people have bred towards, right, it's like
[34:59.940 --> 35:04.540]  short plants, you know, fast flowering.
[35:06.060 --> 35:10.860]  I had this strain called Sensi Star.
[35:11.860 --> 35:18.460]  It took two, two and a half weeks to grow large enough to flower and with flower in
[35:18.460 --> 35:21.460]  six weeks, start to finish.
[35:21.780 --> 35:22.700]  It was awesome.
[35:25.020 --> 35:27.980]  Once my warehouse was closed, I lost the strain.
[35:29.780 --> 35:31.420]  Same with the strawberry.
[35:31.780 --> 35:33.420]  Actually, we used to call it strawberry.
[35:33.420 --> 35:35.620]  I think now it's more referred to as strawberry cough.
[35:36.540 --> 35:38.540]  But that was a wonderful plant.
[35:39.540 --> 35:44.540]  So the Sensi, that would be an example of something from a long time ago that you wish
[35:44.540 --> 35:45.540]  you could get your hands on.
[35:45.540 --> 35:46.540]  Oh, certainly.
[35:47.540 --> 35:51.540]  I'm pretty sure it has its roots from the Netherlands.
[35:52.060 --> 36:01.260]  But so another strain that I really liked was, was it AK-47?
[36:01.260 --> 36:02.260]  Yeah.
[36:02.260 --> 36:03.260]  Yeah.
[36:03.980 --> 36:11.420]  That string grew vigorously and in different systems, you know, it'll grow at
[36:11.420 --> 36:17.820]  different rates. But I had this NFT system that I was using and they really thrived in
[36:17.820 --> 36:19.820]  that system and literally.
[36:19.820 --> 36:20.820]  What's NFT stand for?
[36:21.340 --> 36:22.580]  Nutrient film technique.
[36:24.540 --> 36:29.900]  And the buds that were coming off of that plant was as large as your head.
[36:30.900 --> 36:35.900]  Christmas tree size, like plants that were, you know, eight feet tall, six to eight feet
[36:35.900 --> 36:36.900]  tall.
[36:36.900 --> 36:37.900]  And where were you at this point?
[36:37.900 --> 36:38.900]  That was when I was in Brooklyn.
[36:38.900 --> 36:39.900]  In Brooklyn, okay.
[36:41.900 --> 36:42.900]  Massive.
[36:43.900 --> 36:45.900]  And you can't get that, you can't find that?
[36:46.900 --> 36:49.900]  Look, a lot of those strains, like I told you, I got from Amsterdam.
[36:49.900 --> 36:54.900]  And so some of those companies are still in existence and some of those companies that
[36:54.900 --> 36:56.900]  are still in existence still have those strains.
[36:56.900 --> 37:00.900]  But, you know, those things develop over time.
[37:02.900 --> 37:07.900]  Are there, is there any, because right now you're growing basically hydroponically,
[37:07.900 --> 37:08.900]  right?
[37:08.900 --> 37:11.900]  And you've also grown in soil.
[37:12.900 --> 37:18.900]  So can you talk about like same genetics that maybe you've grown both different ways
[37:18.900 --> 37:20.900]  and just some nuanced differences that you've seen?
[37:21.900 --> 37:27.900]  I find that growing in soil, it takes longer for the plants to develop in a vegetative
[37:27.900 --> 37:28.900]  state.
[37:29.900 --> 37:32.900]  I think that the taste and the after product is better.
[37:33.900 --> 37:38.900]  But the bottom line for me is production.
[37:39.900 --> 37:40.900]  And so the time, yeah.
[37:41.900 --> 37:44.900]  So the time involved is always a factor for me.
[37:44.900 --> 37:49.900]  And if it doesn't fit within the timeline, then it's not going to be something that I'm
[37:49.900 --> 37:50.900]  going to consider.
[37:52.900 --> 37:58.900]  So everything is about kind of marginal, this like marginal improvement in taste.
[37:58.900 --> 38:01.900]  Does that lead to marginal per pound?
[38:02.900 --> 38:06.900]  No, I mean, I get good results out of the method that I use.
[38:06.900 --> 38:10.900]  And that's been over trial and error throughout the years.
[38:11.900 --> 38:15.900]  There are a lot of different ways to grow marijuana.
[38:15.900 --> 38:18.900]  I would say hundreds, but maybe that's a stretch.
[38:18.900 --> 38:25.900]  But there are certainly a bunch of different ways to grow marijuana.
[38:26.900 --> 38:28.900]  And the variables then vary.
[38:29.900 --> 38:35.900]  The medium that you grow in, how long you're going to vegetate, the nutrients that you
[38:35.900 --> 38:44.900]  use, the techniques that you use, the light spectrums that you use at different times.
[38:45.900 --> 38:46.900]  All those are factors.
[38:47.900 --> 38:51.900]  Can you touch on light spectrums and kind of your thought process of different stages
[38:51.900 --> 38:52.900]  of growth?
[38:53.900 --> 39:00.900]  The, I guess the plant in a vegetative state likes blue light, which is a metal halide.
[39:00.900 --> 39:04.900]  And then in the flowering stage, likes a red light.
[39:06.900 --> 39:10.900]  The first couple of weeks in flowering, your plant will start to stretch.
[39:12.900 --> 39:16.900]  And under a red light, that stretching can be significant.
[39:16.900 --> 39:23.900]  So in a lot of times, the grower will use a metal halide for the first two weeks of
[39:23.900 --> 39:28.900]  flowering to keep the profile of his garden down and avoid stretching.
[39:30.900 --> 39:33.900]  So that's one technique some people would use.
[39:33.900 --> 39:39.900]  The plant needs the red light to flower.
[39:39.900 --> 39:45.900]  And look, there are some people who use blue light to flower or a combination of the two.
[39:46.900 --> 39:52.900]  I found that I get good results with the genetics that I'm using out of using the blue light
[39:52.900 --> 39:58.900]  in veg and the high pressure sodium red light in the flowering stage.
[39:59.900 --> 40:01.900]  And I account for the stretching.
[40:02.900 --> 40:07.900]  Also, when you're growing different strains, they'll like different things and they'll
[40:07.900 --> 40:10.900]  react differently to conditions.
[40:11.900 --> 40:20.900]  So the other aspect of that is that all strains don't like the same mixture that you're giving.
[40:21.900 --> 40:25.900]  And in your ideal world, you have those, each of those three strains would be in different
[40:25.900 --> 40:26.900]  groups.
[40:26.900 --> 40:31.900]  Ideally, and then I'd be able to tweak their needs.
[40:31.900 --> 40:38.900]  So with those three, can you talk about what each of them, something that each of them
[40:38.900 --> 40:43.900]  would like that's different, but you had to kind of compromise and go kind of down the middle?
[40:44.900 --> 40:49.900]  It's hard to pinpoint exactly what the needs are for the different strains.
[40:50.900 --> 40:55.900]  For instance, the sour diesel doesn't like additives.
[40:56.900 --> 41:00.900]  It likes a very basic soup, if you will, nutrient mix.
[41:02.900 --> 41:08.900]  The formulas that I'm using right now, that strawberry banana loves what I'm giving it,
[41:09.900 --> 41:12.900]  as does the wedding cake.
[41:13.900 --> 41:23.900]  But the gas leak, it could use a little bit different additive list, if you will.
[41:24.900 --> 41:27.900]  Not saying that it would need more, it probably needs less.
[41:27.900 --> 41:28.900]  Less is more.
