[00:00.000 --> 00:02.000]  Let's see
[47:26.990 --> 47:28.990]  Really kicking in I feel it
[47:29.950 --> 47:31.950]  It's almost like a lightning quick
[47:33.710 --> 47:35.710]  I'm getting goosebumps
[47:35.710 --> 47:37.710]  I'm getting goosebumps
[47:38.430 --> 47:40.430]  And
[47:40.630 --> 47:44.510]  Yeah, it feels great well you you need him as your official hype man
[47:47.270 --> 47:49.270]  Like the goose well, I think
[47:50.270 --> 47:52.270]  Being a
[47:52.270 --> 47:55.070]  Do you judge that too, right? So you were just focused up
[47:55.470 --> 48:00.870]  That was something that I feel like shout out to sticky lungs where he allowed build a soil those guys allowed us to have
[48:00.870 --> 48:03.710]  I think it was like a month to be able to smoke his stuff
[48:03.710 --> 48:07.590]  And I feel like that's really the difference and I hope that in time we start to see
[48:08.110 --> 48:13.350]  If someone's gonna talk about putting a cup together, let's let's have a real cup where you know
[48:13.350 --> 48:18.070]  You give us a month maybe two months to judge that stuff. I feel like this is the next level obviously
[48:18.390 --> 48:22.870]  That's why I'm a huge proponent for living soils because I want to be able to smoke clean medicine
[48:22.870 --> 48:24.670]  I mean, that's really the goal
[48:24.670 --> 48:28.750]  I should be able to blow that out of my nose and my opinion and and
[48:28.750 --> 48:32.670]  So I feel like that's where the market is going at least in my opinion
[48:35.270 --> 48:41.430]  Just a quick I'm looking at the chat again, so is Ezekiel Vasquez
[48:42.750 --> 48:49.150]  Or Vasquez said bugs don't infest big thriving luscious plants. They infest and kill off all the sick and weak plants
[48:49.150 --> 48:52.150]  So only the strong and the weak plants are allowed to grow
[48:52.150 --> 48:55.110]  So I think that's a really good point. I think that's a really good point
[48:55.330 --> 48:57.330]  So, you know if you have bugs is because
[48:58.050 --> 49:03.130]  basically your plants are sickly, but I feel like with with caterpillars specifically
[49:03.130 --> 49:07.770]  I don't think they discriminate between weak and healthy plants. I think like a
[49:08.510 --> 49:11.270]  Healthy plant is a delicious plant for a caterpillar
[49:12.470 --> 49:16.570]  Yeah, I mean, I would agree with that too, but I do think there is
[49:17.490 --> 49:21.750]  There's a level of you know, there's a lot of stuff that has to do with your environment as well that you know
[49:21.750 --> 49:25.850]  There's a lot of stuff that has to do with your environment as well that will invite
[49:25.850 --> 49:33.030]  pests in, not necessarily just whether the plant is weak or sick, but most definitely
[49:33.030 --> 49:39.490]  a super healthy, robust plant is going to be much more resistant to pretty much anything
[49:39.490 --> 49:49.050]  you throw at it than something that's a little old and tired or imbalanced or sick in some
[49:49.050 --> 49:56.010]  sort of way, like holistically or literally nutritionally sick.
[49:56.010 --> 49:58.490]  I think that's absolutely true.
[49:58.490 --> 50:05.850]  But there's also a level to your pest pressure too that I don't care how healthy your garden
[50:05.850 --> 50:15.090]  is, if you let your pests become a problem and their numbers get so high, they're going
[50:15.090 --> 50:16.090]  to kill everything.
[50:16.090 --> 50:23.410]  It doesn't matter how beautiful or lush it is, it's just a numbers game at that point.
[50:23.410 --> 50:28.850]  We talked about this with Josh and Leighton last time, Peter, where I do feel like if
[50:28.850 --> 50:33.370]  you're able to start to put in that crustacean meal and get that chitin up, are you familiar
[50:33.370 --> 50:37.170]  with building that up?
[50:37.170 --> 50:47.650]  I know that it's a great food source for fungus and actually mushrooms are a great producer
[50:47.650 --> 50:54.410]  of chitin other than sea animals and seashells.
[50:54.410 --> 51:01.650]  But I do think there's benefits both ways of having it.
[51:01.650 --> 51:04.250]  I think you can overdo it with crustacean meal.
[51:04.250 --> 51:09.730]  A lot of that's not plant available, so you've really got to have your enzymes and your biological
[51:09.730 --> 51:10.730]  activity rocking.
[51:10.730 --> 51:17.890]  Because the plant cannot take a shrimp shell, it needs to be digested by the worms and by
[51:17.890 --> 51:18.890]  the other stuff that's in your soil.
[51:18.890 --> 51:19.890]  That's for the microbes, I feel like, for sure.
[51:19.890 --> 51:20.890]  Yeah, definitely.
[51:20.890 --> 51:26.530]  For me, it's one of the first things I put in because I know it might not even be for
[51:26.530 --> 51:28.370]  the first food, to be honest.
[51:28.370 --> 51:29.370]  Yeah, absolutely.
[51:29.370 --> 51:30.370]  That's definitely long-term nutrition.
[51:31.370 --> 51:35.970]  When you're thinking oyster shell flower, you might not see that digested and become
[51:35.970 --> 51:39.410]  plant available for a year, straight up.
[51:39.410 --> 51:47.250]  It can affect your pH one way or the other, but really it's very, very, very slow release.
[51:47.250 --> 51:49.250]  You don't need a lot of that.
[51:49.250 --> 51:58.290]  Chitin is, I just see my plant supercharged when it's available and it's being broken
[51:58.290 --> 51:59.290]  down quickly.
[51:59.290 --> 52:07.090]  The biology, really, it's the biology that gets ripped from it and then the soil churns
[52:07.090 --> 52:12.730]  and your plant really benefits from everything being super available and being able to take
[52:12.730 --> 52:13.730]  what it needs.
[52:13.730 --> 52:15.770]  Have you been able to experiment with kefir?
[52:15.770 --> 52:17.770]  Are you familiar with that?
[52:17.770 --> 52:22.210]  Yeah, I've actually never put that in my soil.
[52:22.210 --> 52:25.850]  I do add kombucha to something.
[52:25.850 --> 52:27.850]  Kind of the same concept.
[52:28.410 --> 52:32.410]  Yeah, just not without the dairy portion, but I'm all about labs.
[52:32.410 --> 52:35.410]  I'm all about labs though.
[52:35.410 --> 52:37.410]  I'm a fan of the lactic acid.
[52:37.410 --> 52:41.410]  I feel like intermittent fasting, to change over for a second, I've been on that for almost
[52:41.410 --> 52:42.410]  90 days now.
[52:42.410 --> 52:46.410]  I feel like everything is starting to really work for me.
[52:46.410 --> 52:48.410]  Do you guys ever try that?
[52:48.410 --> 52:50.410]  I just kind of do that anyway.
[52:50.410 --> 52:51.410]  It's just because I'm busy.
[52:51.410 --> 52:52.410]  I know him too.
[52:52.410 --> 52:55.410]  It's just like, I don't know, I got time to eat all the time.
[52:55.970 --> 52:59.970]  I wake up, get some coffee, and the next thing you know, it's dinner time.
[52:59.970 --> 53:04.970]  My body just naturally relates to that sort of diet.
[53:04.970 --> 53:08.970]  That's when I started growing my plants and I would notice that, like you were saying
[53:08.970 --> 53:13.970]  before, the 30 gallon is more of like, I don't know if you said stomach, but that's really
[53:13.970 --> 53:14.970]  where I view it.
[53:14.970 --> 53:18.970]  Once I started to drizzle that kefir around that stuff and the microbial world started
[53:18.970 --> 53:21.970]  to break that down, I see the praying leaves start to take hold.
[53:22.530 --> 53:25.530]  That's when I started to enjoy kombucha and kefir.
[53:25.530 --> 53:29.530]  I feel like my whole view of life again kind of changed.
[53:29.530 --> 53:31.530]  I grew up in Georgia.
[53:31.530 --> 53:35.530]  We eat lard with green beans that nobody talks about.
[53:35.530 --> 53:38.530]  We thought chicken for 99 cents was the same thing.
[53:38.530 --> 53:39.530]  It was organic.
[53:39.530 --> 53:40.530]  It was chicken.
[53:40.530 --> 53:41.530]  It was cheaper.
[53:41.530 --> 53:44.530]  So misled for a lot of my life.
[53:44.530 --> 53:47.530]  Yeah, we can learn a lot from our plants.
[53:48.090 --> 53:53.090]  You can tell when the plants have optimal nutrition and a lot of those same things are
[53:53.090 --> 53:55.090]  going to be helpful for us.
[53:55.090 --> 54:02.090]  A lot of this living soil, like K&F sort of style, the nutrients I'm making for my plant,
[54:02.090 --> 54:04.090]  I can consume them too.
[54:04.090 --> 54:06.090]  It's like air.
[54:06.090 --> 54:07.090]  That's the way it should be.
[54:07.090 --> 54:10.090]  We're not feeding the plant poison.
[54:10.090 --> 54:11.090]  That's the same thing as the plants need?
[54:11.090 --> 54:12.090]  Absolutely.
[54:12.090 --> 54:13.090]  You know what I mean?
[54:13.090 --> 54:16.090]  Ultimately, the plants are going to be feeding us.
[54:16.650 --> 54:18.650]  The nutrition you give it translates to us.
[54:18.650 --> 54:25.650]  You can cut out the middleman a lot of times with the plant and just go right for it.
[54:25.650 --> 54:28.650]  But yeah, kefir, I'm a huge fan.
[54:28.650 --> 54:31.650]  I've consumed it for myself.
[54:31.650 --> 54:33.650]  I've never given it to my plants.
[54:33.650 --> 54:35.650]  I've heard a lot of testimonials.
[54:35.650 --> 54:36.650]  People love doing that.
[54:36.650 --> 54:44.650]  Like I said, I know my plants respond to probiotics very, very, very positively.
[54:45.210 --> 54:51.210]  Stephen said, but kombucha has alcohol.
[54:51.210 --> 54:53.210]  Does kombucha have...
[54:55.210 --> 54:57.210]  It has a tiny bit, right?
[54:57.210 --> 54:59.210]  Yeah, it's got some alcohol in it.
[54:59.210 --> 55:02.210]  A lot of these byproduct of fermentation, not just kombucha.
[55:02.210 --> 55:05.210]  When you ferment stuff, you're going to get some alcohols.
[55:05.210 --> 55:06.210]  That's okay.
[55:06.210 --> 55:09.210]  Obviously, your plant's not going to take a shot of vodka very well.
[55:09.770 --> 55:14.770]  But if it has a little bit of alcohol in it, that's okay.
[55:14.770 --> 55:20.770]  A lot of those alcohols will help break down other things in your soil.
[55:21.770 --> 55:28.770]  Alcohol's been used for generations as a pest control for your plants.
[55:28.770 --> 55:34.770]  You can spray alcohol on your plants and high-grain alcohol will evaporate quicker.
[55:35.770 --> 55:37.770]  Obviously, you got to be very careful about that.
[55:38.330 --> 55:39.330]  I wouldn't recommend it to most people.
[55:39.330 --> 55:43.330]  But alcohol is okay in small doses.
[55:44.330 --> 55:48.330]  Kombucha has like 0.5% alcohol or something less by volume.
[55:48.330 --> 55:53.330]  When you're giving it to your plants, obviously, you're probably diluting it in your reservoir.
[55:54.330 --> 55:59.330]  To some way, the amount of alcohol in those type of ferments is pretty negligible.
[55:59.890 --> 56:00.890]  I agree with that.
[56:01.890 --> 56:09.890]  I've seen no detrimental effects from little bits of alcohol in my ferments.
[56:10.890 --> 56:12.890]  The plant factory seemed to like it.
[56:14.890 --> 56:16.890]  You're playing around with different sugars and stuff.
[56:16.890 --> 56:18.890]  I know you said you were doing more extracts.
[56:18.890 --> 56:26.890]  I feel like more of the older guard, if you will, seems to also be moving away from making
[56:27.450 --> 56:32.450]  the actively aerated compost teas, moving towards the extract, and moving on with their day.
[56:33.450 --> 56:34.450]  Yeah.
[56:34.450 --> 56:37.450]  What the plant does is make carbohydrates.
[56:38.450 --> 56:40.450]  The plant makes all the sugars that it needs.
[56:41.450 --> 56:44.450]  It's going to feed the sugars directly to the soil biology.
[56:45.450 --> 56:50.450]  A majority of the carbohydrates that the plant makes in photosynthesis, it feeds to the soil.
[56:50.450 --> 56:56.450]  It sends down to the root zone so that it can activate some biology over the other.
[56:57.450 --> 57:00.450]  Some microbe that likes the sugar, that like carbohydrate.
[57:03.450 --> 57:07.450]  Just quickly, people are hammering on the chat, where can they buy your damn seeds?
[57:09.450 --> 57:10.450]  I know you mentioned it earlier.
[57:13.450 --> 57:16.450]  You can hit me direct on my Instagram.
[57:17.450 --> 57:18.450]  I'll post that.
[57:19.450 --> 57:20.450]  Cool.
[57:20.450 --> 57:25.450]  You can hit my email, greg, g-r-e-g, at genomealchemy.com.
[57:26.010 --> 57:29.010]  That's like I said, I sell direct.
[57:30.010 --> 57:31.010]  I'm not in any seed banks at the moment.
[57:32.010 --> 57:37.010]  I was in a couple that have since stopped doing their thing.
[57:38.010 --> 57:41.010]  Right now, if you want seeds, just hit me up direct and I'll get you seeds.
[57:43.010 --> 57:45.010]  Or hit Nick up and he'll get you seeds.
[57:46.010 --> 57:47.010]  That's why we're doing this, man.
[57:48.010 --> 57:50.010]  We want to get Greg on the map a little bit.
[57:50.570 --> 57:55.570]  Anyone can reach out to me and I'll help you figure it out after.
[57:55.570 --> 57:57.570]  I posted your Instagram.
[58:00.570 --> 58:01.570]  Awesome.
[58:03.570 --> 58:04.570]  That's great.
[58:05.570 --> 58:07.570]  Carry on with your knowledge drop-in.
[58:08.570 --> 58:10.570]  I don't even remember where I was at this point.
[58:11.570 --> 58:13.570]  I was off a tangent somewhere.
[58:14.130 --> 58:15.130]  I feel like there's a thing.
[58:16.130 --> 58:21.130]  Red State Rebels asked, how do we know if we are buying a good compost?
[58:22.130 --> 58:27.130]  If you're doing an extraction rather than a tea,
[58:28.130 --> 58:31.130]  what are you using as your source wash material?
[58:32.130 --> 58:38.130]  Is that the Malibu compost or something like your own home compost?
[58:39.130 --> 58:40.130]  All of the above.
[58:40.690 --> 58:45.690]  The best way to know if you're getting a good compost is to ask whoever you're buying compost from
[58:45.690 --> 58:46.690]  to see a soil test.
[58:47.690 --> 58:50.690]  There's a lot of good resources on how to read those soil tests.
[58:52.690 --> 58:54.690]  How do you know you're getting a good compost?
[58:55.690 --> 58:56.690]  You vermicompost it yourself.
[58:57.690 --> 58:59.690]  Obviously, homemade is the best.
[59:02.690 --> 59:07.690]  Actually, Brian, he said he can't produce enough compost himself,
[59:08.250 --> 59:10.250]  so he needs to bring it in from the outside.
[59:11.250 --> 59:12.250]  That's a challenge.
[59:13.250 --> 59:14.250]  I try to be proactive.
[59:15.250 --> 59:19.250]  I'll say if it's a larger grow, we get 100-gallon fabric pots
[59:20.250 --> 59:22.250]  and try to be as proactive as possible and get that churning
[59:23.250 --> 59:25.250]  so that we can at least inoculate on a higher level,
[59:26.250 --> 59:27.250]  especially with composting worms,
[59:28.250 --> 59:31.250]  so that they start to churn that soil into worm castings
[59:32.250 --> 59:34.250]  and break down organic matter.
[59:34.810 --> 59:41.810]  Back to the extract talk, you can definitely spread a little bit of compost
[59:42.810 --> 59:45.810]  a lot farther when you put it in the solution and make a compost extract.
[59:46.810 --> 59:47.810]  Compost tea, too.
[59:48.810 --> 59:52.810]  Once you start aerating compost and start making aerated brews,
[59:53.810 --> 59:57.810]  you really got to know what you're doing and have your cycles on point
[59:58.810 --> 59:59.810]  and your timing on point,
[01:00:00.810 --> 01:00:03.810]  or you'll brew maybe something you didn't want in there.
[01:00:04.810 --> 01:00:08.810]  If there was some E. coli or something in your source of compost,
[01:00:09.810 --> 01:00:13.810]  you'll brew that and give it some molasses and E. coli is going crazy.
[01:00:14.810 --> 01:00:17.810]  I like extracts because that gives me directly,
[01:00:18.810 --> 01:00:20.810]  it just washes off all the biology and puts it into the soil
[01:00:21.810 --> 01:00:28.810]  so that my soil volume, strata, whatever, the stomach of my plant's digestive system
[01:00:29.810 --> 01:00:30.810]  can do what it will with it.
[01:00:31.370 --> 01:00:38.370]  Obviously, sourcing good compost and then not, a little goes a long way.
[01:00:39.370 --> 01:00:40.370]  That's what I was going to ask.
[01:00:41.370 --> 01:00:42.370]  Are you doing small batch?
[01:00:43.370 --> 01:00:44.370]  Are you doing a five-gallon bucket?
[01:00:45.370 --> 01:00:46.370]  Do you have a go-to bucket?
[01:00:47.370 --> 01:00:51.370]  Generally, depending on what I'm doing, it might be 10 gallons.
[01:00:52.370 --> 01:00:58.370]  I might do an IBC tote, a thousand liter tote of compost extract.
[01:00:58.930 --> 01:01:01.930]  Obviously, it depends on how much compost I have.
[01:01:02.930 --> 01:01:05.930]  I don't do that too often because my biology is pretty set.
[01:01:06.930 --> 01:01:10.930]  I don't need to be making weekly or biweekly compost extracts.
[01:01:11.930 --> 01:01:16.930]  If you have compost around and you want to stretch it,
[01:01:17.930 --> 01:01:22.930]  I would say making an extract is better than top dressing with it.
[01:01:23.930 --> 01:01:24.930]  You can stretch it farther, put it on more plants,
[01:01:25.490 --> 01:01:31.490]  and get the biology onto more surface area when you put it in a solution
[01:01:32.490 --> 01:01:38.490]  versus you've got a yard of compost that's going to give you a few plants worth
[01:01:39.490 --> 01:01:42.490]  two inches thick where you can take that yard of compost
[01:01:43.490 --> 01:01:48.490]  and make insane amounts of liquid extract that you can then put on acres.
[01:01:49.050 --> 01:01:54.050]  If you can get good compost, and like I said, I like Olly Mountain
[01:01:55.050 --> 01:01:56.050]  and I like Malibu compost.
[01:01:57.050 --> 01:02:00.050]  Besides Malibu compost, say the other one slowly.
[01:02:01.050 --> 01:02:02.050]  It's called Olly Mountain, O-L-L-Y.
[01:02:03.050 --> 01:02:07.050]  That's not a dairy compost where Malibu is straight from cows.
[01:02:08.050 --> 01:02:15.050]  A lot of people like to grow veganic or maybe don't want cow manure
[01:02:15.610 --> 01:02:20.610]  or cow sources of compost and want to go more of a...
[01:02:21.610 --> 01:02:25.610]  This comes from fish and lots of forest products.
[01:02:26.610 --> 01:02:30.610]  I find that Olly Mountain tends to be really fungally dominant,
[01:02:31.610 --> 01:02:34.610]  which is good for a lot of applications.
[01:02:35.610 --> 01:02:39.610]  I'm a fan of manure because cows are just kind of umbilical
[01:02:40.610 --> 01:02:41.610]  and ruminants are like kind of...
[01:02:42.170 --> 01:02:49.170]  This is my permaculture mindset, but they are the key to building soil
[01:02:50.170 --> 01:02:52.170]  is having that component.
[01:02:53.170 --> 01:02:57.170]  Not only their manure, but actually them stepping around on things
[01:02:58.170 --> 01:03:00.170]  and eating it, grazing it, and all that.
[01:03:01.170 --> 01:03:03.170]  I think dairy manure is a...
[01:03:04.170 --> 01:03:06.170]  When it's clean and it's ethically sourced
[01:03:07.170 --> 01:03:09.170]  and all of those things that Malibu is,
[01:03:09.730 --> 01:03:12.730]  I think it's a vital component in living soil.
[01:03:13.730 --> 01:03:17.730]  Even if you have a local source of vegetable compost,
[01:03:18.730 --> 01:03:24.730]  like at your community garden or at an organic farm near you,
[01:03:25.730 --> 01:03:29.730]  all those sort of things, shop local and definitely try to find
[01:03:30.730 --> 01:03:34.730]  a farmer that's transparent or just a seller that's transparent
[01:03:35.730 --> 01:03:37.730]  with you about what you're getting for your compost.
[01:03:38.290 --> 01:03:40.290]  If they're not going to provide you a soil test,
[01:03:41.290 --> 01:03:43.290]  obviously take a sample and get one.
[01:03:44.290 --> 01:03:46.290]  That's a big red flag right there.
[01:03:47.290 --> 01:03:48.290]  Absolutely.
[01:03:49.290 --> 01:03:52.290]  A lot of people, they don't have one because they're just small-time farmers
[01:03:53.290 --> 01:03:55.290]  that haven't put it on a work site, they haven't tested it, whatever.
[01:03:56.290 --> 01:04:00.290]  But obviously, know what you're getting into when you get compost
[01:04:01.290 --> 01:04:04.290]  because that's probably the single most...
[01:04:04.850 --> 01:04:10.850]  I've seen more pests and awful shit come in on contaminated compost.
[01:04:11.850 --> 01:04:14.850]  So the compost is the vector in that situation.
[01:04:15.850 --> 01:04:17.850]  Yeah, it is. Not only for herbicides and pesticides,
[01:04:18.850 --> 01:04:19.850]  a lot of things that...
[01:04:20.850 --> 01:04:21.850]  Will it show the pests or something like that?
[01:04:22.850 --> 01:04:23.850]  Absolutely. You get the wrong compost.
[01:04:24.850 --> 01:04:25.850]  Atritis, fusarium.
[01:04:26.850 --> 01:04:30.850]  Yeah. A lot of the bad fungi and a lot of problems
[01:04:31.410 --> 01:04:37.410]  can come from poorly sourced compost or just generally shitty practices
[01:04:38.410 --> 01:04:39.410]  when it comes to making compost.
[01:04:40.410 --> 01:04:42.410]  What about mushroom compost?
[01:04:43.410 --> 01:04:45.410]  I feel like that's something I've been playing around with the last few weeks.
[01:04:46.410 --> 01:04:47.410]  I love it. I think it's especially...
[01:04:48.410 --> 01:04:49.410]  A lot of people go one way or the other.
[01:04:50.410 --> 01:04:54.410]  They like mushroom compost that hasn't been used for growing mushrooms.
[01:04:55.410 --> 01:04:56.410]  I'm a huge...
[01:04:57.410 --> 01:04:59.410]  Yeah, it's going to be a little bit depleted from nutrition
[01:04:59.970 --> 01:05:03.970]  if you have a compost that's had mushrooms eat it already.
[01:05:04.970 --> 01:05:07.970]  But man, it is inoculated with all the fungus that you want.
[01:05:08.970 --> 01:05:12.970]  You get some oyster logs or get some compost that's got wood in it
[01:05:13.970 --> 01:05:15.970]  that has had a bunch of fungus digesting it,
[01:05:16.970 --> 01:05:18.970]  has all that mycorrhizae and all that good stuff in it.
[01:05:19.970 --> 01:05:23.970]  It eliminates you having to put that as an additive into your soil
[01:05:24.970 --> 01:05:25.970]  that's already there.
[01:05:26.530 --> 01:05:28.530]  And it's filled with things like chitin
[01:05:29.530 --> 01:05:31.530]  and all of the good things that mushroom provide.
[01:05:32.530 --> 01:05:33.530]  They are the world's digesters.
[01:05:34.530 --> 01:05:37.530]  They are the ultimate composters.
[01:05:38.530 --> 01:05:39.530]  Fungal world.
[01:05:40.530 --> 01:05:41.530]  Yeah, that's what they do.
[01:05:42.530 --> 01:05:47.530]  They live off of digesting stuff outside of their bodies
[01:05:48.530 --> 01:05:49.530]  and then bringing in the nutrition.
[01:05:50.530 --> 01:05:53.530]  So, fungal compost and mushroom compost is the way to go.
[01:05:54.090 --> 01:05:58.090]  If you had to pick one and only one, I would say that would be it.
[01:05:59.090 --> 01:06:02.090]  Yeah, and going out of your way to source a quality source, I think.
[01:06:03.090 --> 01:06:05.090]  Because once I started to get that fungal aspect
[01:06:06.090 --> 01:06:08.090]  where you can get that bouquet start to grow in your raised beds,
[01:06:09.090 --> 01:06:11.090]  I feel like that's when you can pat yourself on the back
[01:06:12.090 --> 01:06:16.090]  and start to be like, alright, soon my plants are going to show their full genetic expressions.
[01:06:17.090 --> 01:06:18.090]  I feel like when that starts to build up.
[01:06:19.090 --> 01:06:22.090]  And that's really the goal, I feel like, for all of us
[01:06:22.650 --> 01:06:26.650]  is to eventually get to where we're only cultivating with microbial world and water.
[01:06:27.650 --> 01:06:30.650]  Yeah, clean water is a big thing too.
[01:06:31.650 --> 01:06:32.650]  A lot of people overlook that.
[01:06:33.650 --> 01:06:34.650]  That's your world, bro.
[01:06:35.650 --> 01:06:37.650]  Like clean water is...
[01:06:38.650 --> 01:06:44.650]  I mean, you have any sort of tap water, even non-RO, filter water,
[01:06:45.650 --> 01:06:46.650]  anything in your process.
[01:06:47.650 --> 01:06:50.650]  Yeah, we highly promote it because we're seeing heavy metals and stuff.
[01:06:51.210 --> 01:06:52.210]  And other things come through.
[01:06:53.210 --> 01:06:54.210]  The water is a big carrier in everything.
[01:06:55.210 --> 01:06:58.210]  So I'm assuming, yeah, same way with cultivation as it is in ash making.
[01:06:59.210 --> 01:07:00.210]  It's just a big carrier.
[01:07:01.210 --> 01:07:02.210]  It's exactly the same.
[01:07:03.210 --> 01:07:04.210]  A lot of that stuff, if it's in your water, it's going to end up in the plant,
[01:07:05.210 --> 01:07:06.210]  it's going to end up in your ash.
[01:07:07.210 --> 01:07:09.210]  And clean water is step one.
[01:07:10.210 --> 01:07:14.210]  And then obviously have a system that does a lot of the work for you.
[01:07:15.210 --> 01:07:17.210]  Literally the first thing my grandpa taught me,
[01:07:17.770 --> 01:07:21.770]  when I sent him a photo of a plant just like kind of shriveling up.
[01:07:22.770 --> 01:07:26.770]  And he's known for organic gardening in general.
[01:07:27.770 --> 01:07:28.770]  And I'm like, what's happening to this plant?
[01:07:29.770 --> 01:07:31.770]  This is 20 years ago when I first moved to Colorado.
[01:07:32.770 --> 01:07:33.770]  He's like, well, what kind of water are you feeding it?
[01:07:34.770 --> 01:07:39.770]  I was like, tap water, you know, little 15, 16 year old, 17 year old,
[01:07:40.770 --> 01:07:41.770]  tap water.
[01:07:42.770 --> 01:07:43.770]  And he's like, there's a bunch of salt in that water.
[01:07:44.330 --> 01:07:47.330]  He's like, I'm taking all that salt and drying it out.
[01:07:48.330 --> 01:07:50.330]  So yeah, that was like literally the first little.
[01:07:51.330 --> 01:07:53.330]  Yeah, and TerraBot does a garden show, right?
[01:07:54.330 --> 01:07:56.330]  It does. Still does a garden show right now.
[01:07:57.330 --> 01:08:00.330]  Yeah, on KSFO, Bob Tannum in the Garden.
[01:08:01.330 --> 01:08:02.330]  It's like 8am on Sundays.
[01:08:03.330 --> 01:08:04.330]  Check it out.
[01:08:05.330 --> 01:08:09.330]  We should all tune in tomorrow morning.
[01:08:10.330 --> 01:08:11.330]  Yo, for real though, like send him some love.
[01:08:12.330 --> 01:08:13.330]  Tell him I said what's up.
[01:08:14.330 --> 01:08:15.330]  You don't really want to talk about ganja.
[01:08:16.330 --> 01:08:17.330]  It'll probably cut you.
[01:08:18.330 --> 01:08:20.330]  But you can still ask the same exact questions that we're talking about.
[01:08:21.330 --> 01:08:22.330]  As Greg mentioned, you know, in the beginning of this,
[01:08:23.330 --> 01:08:24.330]  you can ask the same questions.
[01:08:25.330 --> 01:08:26.330]  You just don't have to mention the term cannabis.
[01:08:27.330 --> 01:08:28.330]  Talk about you're growing your tomatoes or whatever.
[01:08:29.330 --> 01:08:30.330]  But he'll got you.
[01:08:31.330 --> 01:08:32.330]  Old school growth store stuff.
[01:08:33.330 --> 01:08:34.330]  Like I'm growing tomatoes and strawberries.
[01:08:35.330 --> 01:08:36.330]  I need this.
[01:08:37.330 --> 01:08:38.330]  There's a growth store literally in Aurora right here that was called the Big Tomato.
[01:08:39.330 --> 01:08:41.330]  You went in there, you'd get pissed and you'd say anything but tomato.
[01:08:41.890 --> 01:08:42.890]  Right?
[01:08:43.890 --> 01:08:44.890]  This is what you say.
[01:08:45.890 --> 01:08:48.890]  Speaking of water too, man, like here in Denver,
[01:08:49.890 --> 01:08:53.890]  there's water sources all over that are contaminated one way or the other.
[01:08:54.890 --> 01:08:57.890]  But there's been a big thing this summer with Denver Water and Lead.
[01:08:58.890 --> 01:09:01.890]  And they've been adjusting pH here.
[01:09:02.890 --> 01:09:03.890]  And a lot of people don't even know it.
[01:09:04.890 --> 01:09:09.890]  But you know, this water is coming out of the tap at like 10.5.
[01:09:10.450 --> 01:09:13.450]  I'm at 8 still, but it was higher than it was.
[01:09:14.450 --> 01:09:15.450]  It used to be at 7.
[01:09:16.450 --> 01:09:17.450]  Absolutely.
[01:09:18.450 --> 01:09:19.450]  Especially for us living soil growers.
[01:09:20.450 --> 01:09:21.450]  I don't even use my pH.
[01:09:22.450 --> 01:09:25.450]  It's something to pay attention to.
[01:09:26.450 --> 01:09:27.450]  Your source of water is really important.
[01:09:28.450 --> 01:09:30.450]  Even if you filter it, you're still going to have a super high pH.
[01:09:31.450 --> 01:09:35.450]  And obviously, in a living soil system, you know, your balance is pH itself.
[01:09:36.010 --> 01:09:40.010]  You always got to look at, you know, you go down the rabbit hole of bicarbonates
[01:09:41.010 --> 01:09:45.010]  and the way carbonates interact with your soil structure and how that affects pH.
[01:09:46.010 --> 01:09:48.010]  But really, your source of water matters.
[01:09:49.010 --> 01:09:52.010]  And for people that may not be paying attention,
[01:09:53.010 --> 01:09:57.010]  it's worth having a pH pen or be paying attention to your city water source
[01:09:58.010 --> 01:10:01.010]  if you're not using RO, which I don't.
[01:10:02.010 --> 01:10:03.010]  And a lot of us don't use RO.
[01:10:04.010 --> 01:10:05.010]  It's filtered water.
[01:10:06.010 --> 01:10:10.010]  I take my carbon, just a carbon-sensitive filter, like the little small boy or whatever.
[01:10:11.010 --> 01:10:12.010]  It definitely went up a little bit.
[01:10:13.010 --> 01:10:14.010]  For sure.
[01:10:15.010 --> 01:10:19.010]  I feel like it's like a catch-22 when there's chlorine and chloramine that's going into a living soil system.
[01:10:20.010 --> 01:10:25.010]  I was never really able to, I feel like, get everything to just become alive and thrive.
[01:10:26.010 --> 01:10:30.010]  As I like to say, and I feel like once I started to understand water on another level
[01:10:31.010 --> 01:10:34.010]  and get the filters, the charcoal filters, and start to experiment with that kind of stuff,
[01:10:34.570 --> 01:10:39.570]  adding oxygen to that system as well, which can kind of like boil off the chlorine.
[01:10:40.570 --> 01:10:41.570]  Yeah, yeah, because chlorine is gas.
[01:10:42.570 --> 01:10:43.570]  You know what I mean?
[01:10:44.570 --> 01:10:45.570]  That's how it exists in nature.
[01:10:46.570 --> 01:10:48.570]  And it's put in your water so that it can, literally, it's antimicrobial.
[01:10:49.570 --> 01:10:50.570]  So it's counterintuitive.
[01:10:51.570 --> 01:10:53.570]  In a living soil system, you're killing the biology that you're trying to build
[01:10:54.570 --> 01:10:55.570]  by adding water with chlorine.
[01:10:56.570 --> 01:10:59.570]  And chlorine doesn't boil off, or boil is the wrong term,
[01:11:00.570 --> 01:11:02.570]  but it doesn't gasify in the same way.
[01:11:03.130 --> 01:11:08.130]  So you just, you gotta, there's some filter systems that you really gotta pay attention to
[01:11:09.130 --> 01:11:12.130]  in living soil because those little things, you know what I mean?
