[00:00.640 --> 00:04.640]  This is a production of Cornell University.
[38:27.000 --> 38:34.000]  So I don't think, you know, I'll just kind of briefly go through. So cannabinoid production in Canada, there's both outdoor and indoor.
[38:35.000 --> 38:40.000]  These are, again, a much different looking plant, hemp plant than the grain production.
[38:41.000 --> 38:44.000]  It's much more, I call them more of a Christmas tree look.
[38:45.000 --> 38:57.000]  Whereas I think what we're trying to do in the grain side of things is make it more like a palm tree where, you know, we've got two foot of seed head and maybe a foot of stock is the ideal amount of hemp that we want and stuff.
[38:57.000 --> 39:03.000]  So, again, we're trying to harvest these little trichomes is the objective there.
[39:03.000 --> 39:10.000]  It's much more, like I said, as a, like a Christmas tree type operation, which I'm sure most of you have seen this again.
[39:11.000 --> 39:17.000]  And it's only been since 2017 when Canada was able to start to actually play with the leaf material or the flower material.
[39:18.000 --> 39:21.000]  Up till then, we can only take the seed and the stock off the field.
[39:22.000 --> 39:26.000]  All of that had to stay on. So we are now just getting into more of these genetics.
[39:27.000 --> 39:33.000]  Just an example here. This is a variety of grain variety on the left. This is a CBD variety right down the middle.
[39:33.000 --> 39:36.000]  It's a replicated trial that I did on my own farm.
[39:36.000 --> 39:41.000]  You know, a couple weeks later, you can see the canopy closes in very rapidly.
[39:42.000 --> 39:53.000]  So there's not, you know, you have to make sure that you've got a weed control plan with that low planting rate as opposed to the grain, which is seeded at 25 pounds to the acre.
[39:53.000 --> 40:01.000]  This is probably seeded at, well, it's probably 2,500 plants per acre. So quite a difference.
[40:02.000 --> 40:05.000]  So autoflower varieties, I think, are an important part of it.
[40:06.000 --> 40:14.000]  Seed certification, again, I'm a strong proponent of seed certification to know what you're getting.
[40:15.000 --> 40:22.000]  And this is just a friend of mine that had some CBD production and sent a picture. I thought it looked kind of cool.
[40:23.000 --> 40:28.000]  This is his unit as far as harvesting for flower materials. So again, this is an outdoor grow.
[40:29.000 --> 40:32.000]  Same kind of combine that I have, just a newer one.
[40:33.000 --> 40:38.000]  Basically, he sets his system so that he closes a sieve and chaffer down. The flower material goes into the back.
[40:38.000 --> 40:49.000]  A little bit of grain goes into the tank. That flower material in the back is then immediately frozen, I think, in his case, and then extracted for CBD.
[40:49.000 --> 40:56.000]  This is from Formation Ag, a company out of Colorado that I've been doing trade shows with that we share videos back and forth.
[40:57.000 --> 41:00.000]  Kind of give you an idea what that looks like. This is their unit again.
[41:01.000 --> 41:06.000]  So this is, again, outdoor production, which is the predominant one in Canada.
[41:07.000 --> 41:13.000]  There are a few greenhouses, but just because of our cold winters, the production predominantly is outside.
[41:14.000 --> 41:22.000]  So with that, harvesting fiber, I mean, there's a ton of ways we're getting to know a little bit about this.
[41:23.000 --> 41:30.000]  I guess the only thing that I'll say about fiber, this is some of the fiber trials we were doing back in the day when I was a younger man, thinner man.
[41:31.000 --> 41:35.000]  Retting process. This is the one that I think that a lot of work needs to be done.
[41:36.000 --> 41:40.000]  The retting process is almost like in China, they've got a wet ret.
[41:41.000 --> 41:44.000]  We don't have enough experience here. We don't know what the environment is really going to do.
[41:45.000 --> 41:48.000]  We don't have even enough processing to tell us this is what they want.
[41:49.000 --> 41:54.000]  Most of the processing is for herd, which the retting process has an effect.
[41:55.000 --> 42:03.000]  But this was predominantly for producing high quality textile fiber, which is the highest value for hemp fiber.
[42:04.000 --> 42:10.000]  So with that, I think the moon is bright. This is a picture of my combine this year. I thought it was kind of cool.
[42:11.000 --> 42:13.000]  Then I had a beautiful sunset one day too.
[42:14.000 --> 42:15.000]  With that, I just want one more announcement.
[42:16.000 --> 42:21.000]  HGI is a company that I currently work for.
[42:22.000 --> 42:29.000]  As of two weeks ago, we are proud to announce that we have merged with a company called Tridium T3H, which is in the bottom right here.
[42:29.000 --> 42:33.000]  Tridium is the one that I mentioned that had a lot of the genetics on the CBD varieties.
[42:34.000 --> 42:37.000]  We just felt it was a good fit. Industry is still kind of small.
[42:38.000 --> 42:44.000]  Our new company will be called Bird Seed Solutions. I've been nominated or hired on as the general manager.
[42:45.000 --> 42:48.000]  My Twitter account is the same. This is my new address.
[42:49.000 --> 42:54.000]  Both Tony and all the people have both my hemp genetics and this address.
[42:54.000 --> 42:59.000]  I'm more than happy to answer as many questions as I can. I know I kind of went a little bit over time.
[43:00.000 --> 43:05.000]  With that, I'll turn it back over to our crew here. Thank you very much.
[43:06.000 --> 43:09.000]  Thank you, Jeff. That was incredible.
[43:10.000 --> 43:17.000]  Something tells me you probably could have gone for three more hours with a lot of high depth information.
[43:18.000 --> 43:22.000]  That was really fun and fascinating. We greatly appreciate your time.
[43:22.000 --> 43:31.000]  I know Tony has been working on some of the questions here. Let's put Jeff through the ringer and see how many he can answer.
[43:32.000 --> 43:39.000]  First question. We have a lot of questions here. I'll try to get through as many as possible before the 3 p.m. mark.
[43:40.000 --> 43:50.000]  Babu from Lincoln University asks, can you please suggest a plot combine for us to harvest the grains?
[43:50.000 --> 43:56.000]  The one we used this year got fire after the fiber stuck inside. SP20.
[43:57.000 --> 44:05.000]  The new winter cider ones, I forget the name, they're Eclipse maybe. I think they're able to handle hemp now.
[44:06.000 --> 44:14.000]  What I was using again was an old Hagee 125B. If you can find one of those with an adjustable sieve, that will work.
[44:15.000 --> 44:26.000]  Zern makes one. The Zern came off when Hagee was bought by Wintersteiger. Those are the two I know.
[44:27.000 --> 44:34.000]  It's the beater you have to watch right under your butt there, Babu. That's generally where you'll get some wrapping.
[44:35.000 --> 44:43.000]  Lloyd Wilson asks, can you please give us a percentage of hemp grown outside versus indoor growing? I assume he means in Canada?
[44:44.000 --> 44:54.000]  For Canada, yeah. As far as hemp acres, I would say 99% is outdoor with a 1%.
[44:54.000 --> 45:00.000]  As far as the revenue, that's a different story, I guess, because of the high cannabinoid revenue.
[45:01.000 --> 45:15.000]  Particularly, there's some indoor grow operations in BC, a couple in Ontario. The western prairies are predominantly all outside, outdoor.
[45:16.000 --> 45:18.000]  Well into the 90s for sure.
[45:19.000 --> 45:28.000]  Iris asks, can seed serve for multiple use? Example, a seed that serves as CBD be used for grain slash fiber?
[45:29.000 --> 45:42.000]  The short answer is yes. The long answer is no. What we're finding, particularly because we are exporting product into the EU now, so THC is a concern, as is now becoming CBD.
[45:43.000 --> 45:52.000]  There are some tri-purpose crops where we've got a good grain yield or an average grain yield, lots of fiber, but still some high cannabinoid in that flour.
[45:53.000 --> 46:04.000]  High, I mean 4% to 6%. What we're finding is some of that CBD is being transferred onto the seed, goes into the food product, and the EU will start testing for that in the not too distant future.
[46:04.000 --> 46:17.000]  So it is a concern. So that's what I mean. Yes, it can. It is kind of the same seed. There might be some differences within oil content or amino acid profile, but yeah, the seed is basically the same.
[46:18.000 --> 46:25.000]  Laura asks, any research available on degradation of cannabinoids during storage in biomass?
[46:26.000 --> 46:36.000]  That's coming. We worked with the Prairie Machinery Institute in Canada. This is also a CHTA project on basically on both things.
[46:37.000 --> 46:41.000]  So now we know exactly how many CFUs we need to make sure that we can maintain that quality in hemp.
[46:42.000 --> 46:50.000]  And their second part of that project is how quickly we need to dry down hemp flour for cannabinoid production.
[46:51.000 --> 46:58.000]  Now, the degradation I think comes into more play when in regards to the overhandling of it. It's the same thing.
[46:59.000 --> 47:05.000]  So you're working with a wet material, probably 30-40% moisture at least. And so mold is going to be an issue.
[47:06.000 --> 47:12.000]  So you've got to make sure that you saw I quickly went through that one round baler there. It's called an oracle baler.
[47:12.000 --> 47:21.000]  So some people have put that biomass at a higher moisture, wrapped it with plastic. Once the oxygen was used up in that, so you do have some ensiling happen.
[47:22.000 --> 47:27.000]  Once the oxygen is used up, they were still able to have the majority of that product still be good.
[47:28.000 --> 47:31.000]  So that's another important one. I think there's more research that needs to be done.
[47:31.000 --> 47:47.000]  Dr. Ryan Robinson asks, are there dry disinfection methods that have been considered? I have been aware of non-thermal plasma treatments of seeds to prevent mold and bacterial growth.
[47:48.000 --> 47:49.000]  There's some that we use.
[47:53.000 --> 47:54.000]  Not infrared light.
[47:56.000 --> 48:00.000]  Basically, removing the oxygen, etc.
[48:01.000 --> 48:03.000]  I can't remember the name, it escapes me right now.
[48:04.000 --> 48:10.000]  There's things that are there, but most of them are kind of a wet solution.
[48:11.000 --> 48:13.000]  And that does tend to leave a taste on hemp.
[48:14.000 --> 48:17.000]  So there's a few kill stops that are coming along.
[48:18.000 --> 48:24.000]  The biggest one is that we just can't use heat because that all of a sudden starts to play with the nutritional value of the seed.
[48:25.000 --> 48:35.000]  And that's one of our major selling features is that high protein, very good, you know, omega-3, omega-6, omega-9 portfolios.
[48:37.000 --> 48:42.000]  Okay, so next question, kind of a two-part question.
[48:43.000 --> 48:49.000]  Cindy asks, your slide said no clone purchases at this time.
[48:50.000 --> 48:52.000]  Is it illegal to sell hemp plants in Canada?
[48:52.000 --> 48:55.000]  And Bill asks, you said no clones approved.
[48:56.000 --> 48:59.000]  At Ayasco, we certified the first CBD clone, Unicorn.
[49:00.000 --> 49:02.000]  Could our certified clone be approved in Canada?
[49:03.000 --> 49:04.000]  Yeah, we're working on it in Canada.
[49:05.000 --> 49:06.000]  So that's exactly what we need is to bridge that data.
[49:07.000 --> 49:08.000]  So that was the thing.
[49:09.000 --> 49:15.000]  So I think, you know, utilizing the likes of the potato industry with a tuber, it's just, you know, there has to be a certification there.
[49:16.000 --> 49:18.000]  So it's just, it was not in Canada yet.
[49:18.000 --> 49:30.000]  It doesn't mean that you couldn't have your own greenhouse, start the plants there and transplant, but the sale of clones, although happened and happens, is, you know, under the regulations, not, not legal, I guess.
[49:33.000 --> 49:39.000]  Manuel Lopez says, our farm is in a tropical location.
[49:40.000 --> 49:41.000]  How will that impact the plant cycles?
[49:42.000 --> 49:43.000]  That's a very good question.
[49:43.000 --> 49:45.000]  And I mean, you know, obviously there's genetics from there.
[49:46.000 --> 49:49.000]  They're likely more backgrounded in marijuana, I'm guessing.
[49:50.000 --> 49:53.000]  But on a photo period plant, that's the thing.
[49:54.000 --> 50:00.000]  I predict if we sent, if we sent our variety CRS1 to you, it would grow probably two to three inches, start flowering and that would be it.
[50:01.000 --> 50:07.000]  It just, there just is not that day length difference that it can adapt to.
[50:08.000 --> 50:09.000]  So auto flower would be an option.
[50:09.000 --> 50:22.000]  And like I said, there's thousands and thousands of genetics or this is a plant that's the most, the most uniform thing about hemp is that it's non-uniform.
[50:23.000 --> 50:29.000]  Like it's extremely difficult to, you know, to certify a crop and the pollen flow is so prolific.
[50:30.000 --> 50:35.000]  You know, it's just, it's a challenge to keep varieties pure.
[50:35.000 --> 50:44.000]  So from my knowledge, like at least for our varieties, that's the impact it would have would be basically just a plant that tall.
[50:45.000 --> 50:53.000]  Lamar asks what US registry exists or is being developed for pre-approved green and or fiber varieties?
[50:54.000 --> 51:01.000]  I mean, there's, this is the tricky part about the US because it, you know, I'll say that each of your states seems to be a country in its own.
[51:01.000 --> 51:07.000]  And so there's different, you know, Colorado has a certification, but that's just for Colorado.
[51:08.000 --> 51:11.000]  No, it's not just for Colorado. They can put the Colorado certification on there.
[51:12.000 --> 51:16.000]  And it almost sounds like the Colorado Seed Growers Association is all the same as the Canadian Seed Growers Association.
[51:17.000 --> 51:25.000]  But that, all they do there is look at the THC content where the Ayahuasca certification is third party inspected.
[51:25.000 --> 51:32.000]  So the breeder has to say, okay, this variety has to look distinctly different from this variety with these traits or aspects.
[51:33.000 --> 51:38.000]  So that's the uniformity part of it. So a certain percentage can fall outside of that.
[51:39.000 --> 51:45.000]  So if you had a dioecious crop predominantly and you had a hermaphrodite in there, that's where you start to get that cross-pollination.
[51:46.000 --> 51:53.000]  You're only allowed so much of that. So Ayahuasca, OECD are the two that are sort of world recognized, I guess.
[51:53.000 --> 51:56.000]  And Ayahuasca is really the North American one.
[51:57.000 --> 52:03.000]  So there are some of the hemp companies in the U.S. are going down that same route, even on the CBD side.
[52:04.000 --> 52:12.000]  Arcadia Bioscience, Jeremy Klecky up in Oregon, they also go with Ayahuasca certification.
[52:13.000 --> 52:19.000]  It's not mandatory, but I, yeah, I guess I think it's a good thing.
[52:20.000 --> 52:23.000]  Awesome. Babu has another question.
[52:24.000 --> 52:33.000]  Have you noticed differences in herd filling in the fiber hemp stock? Any suggestion? We found some varieties with hollow insides.
[52:34.000 --> 52:46.000]  Yeah, that's a lot of that's varietal, could be moisture also. Again, it's a great research project, Babu, but seeding rate, seeding density, I guess, seeding date and varietal.
[52:46.000 --> 52:49.000]  I would say those are the three things that you want to take a look there.
[52:50.000 --> 53:01.000]  But you're absolutely right. I think seeding density, like to get the most amount of fiber off an acre of crop, you want your stock to be pencil thin.
[53:01.000 --> 53:04.000]  Like this is, again, the best fiber gives you the highest quality best fiber.
[53:05.000 --> 53:10.000]  I'm not necessarily sure on herd. I think you can probably reduce that to grow more herd within that.
[53:10.000 --> 53:13.000]  But there's got to be a point in there where there's a trade off.
[53:13.000 --> 53:19.000]  So again, that's another great, the herd was really just a byproduct.
[53:19.000 --> 53:23.000]  It was what the heck are we going to do with the herd once we got all this best fiber?
[53:23.000 --> 53:38.000]  Now, it's the exact opposite to a degree where herd has a pretty good value right now for bedding and everything else in hempcrete, where the best fiber, we don't just don't have the processing in North America to scale to make that.
[53:38.000 --> 53:40.000]  And then anytime we're shipping bales, it's always an issue.
[53:41.000 --> 53:44.000]  Awesome. Thank you for that.
[53:44.000 --> 53:54.000]  Jarius asks, does the THC level fluctuate throughout the growing process of hemp? And if so, how do you maintain the 0.3% THC level?
[53:54.000 --> 54:03.000]  So there is a technical manual that the Health Canada puts out for when you are supposed to test for THC in these crops.
[54:04.000 --> 54:14.000]  So basically, in a nutshell, it's when 50% of the seeds, so obviously a grain crop or a fiber crop, when 50% of the seeds resist compression is the time that they suggest that you take.
[54:14.000 --> 54:27.000]  So I know the difference in the US where you continually take THC testing until you get to a point where you know that 20 days later you have to harvest and you know that if I can wait until here, then I still fall within regulation.
[54:28.000 --> 54:42.000]  In Canada, it's not. So it's grown. There's a certain physiological time when you have to test on a feminized plant and also on a grain plant. So yes, it will fluctuate. I've seen it fluctuate after yield.
[54:42.000 --> 54:55.000]  I mean, again, the non-uniformity part, the heterozygous aspect of hemp, you can test one hemp plant and it changes within the structure of the plant too.
[54:55.000 --> 55:03.000]  So the top two or three inches has a higher CBD or chamomile content than the bottom leaves.
[55:04.000 --> 55:10.000]  We call those the sugar leaves and the fan leaves. So there's differences not only...
[55:10.000 --> 55:27.000]  There's just differences. Varietal, environmental, fertility. If it's under stress, it seems to me, I know Larry will probably argue with me, a lot of it is genetic and it doesn't change but that's what we all have to talk over a beer sometimes.
[55:27.000 --> 55:40.000]  So one of the leading researchers on this question is sitting in this Zoom call. I don't know if George wants to chime in or not, but he wrote an awesome paper about this question.
[55:40.000 --> 55:45.000]  Probably too hard to summarize in five minutes.
[55:45.000 --> 55:52.000]  Yeah, I mean my study was mostly focused on high CBD varieties, and obviously it's very variety specific.
[55:53.000 --> 55:59.000]  So there is definitely a genetic component and then there's an environmental component to total cannabinoid content.
[55:59.000 --> 56:04.000]  And every variety is different, so you have to be familiar with what you're growing, just as Jeff said.
[56:04.000 --> 56:07.000]  Thanks, George. I've been following your work there for sure.
[56:07.000 --> 56:11.000]  We kind of met a couple years ago there. Yeah, perfect. Thanks.
[56:11.000 --> 56:28.000]  Awesome. We have one final question. I believe this is Ernie from Alabama A&M. He says, since you do not test for THC at farm production, can we rely on your genetics for the 0.03 level that is enforced at farm production in the US?
[56:28.000 --> 56:32.000]  I can confidently say that for three of our varieties for sure.
[56:33.000 --> 56:41.000]  Our C variety, CRS1, which is the ones that do better in the US anyway. I mean, we've tested them for just about 20 years.
[56:41.000 --> 56:47.000]  They were actually taken off the list to even have to test and then Health Canada changed it again.
[56:47.000 --> 56:53.000]  So it's just they are so stable. They're just so low in THC. They just do not go over.
[56:53.000 --> 57:10.000]  Unless you do something completely, some sort of a, you know, spray or, you know, there are tricks or things that other growers use to enhance THC and CBD. If it's grown in a commercial, you would not have to worry.
[57:10.000 --> 57:11.000]  Awesome.
[57:11.000 --> 57:13.000]  Thank you.
[57:13.000 --> 57:18.000]  I guess we do have time for one more question. This might be more towards for you, Zach.
[57:18.000 --> 57:27.000]  Cindy Cooper asks, is anybody working to get hemp designated as a USDA specialty crop that will open access to millions of research dollars?
[57:27.000 --> 57:38.000]  I do not know the answer to that question, honestly. I think it's a very valid question. I'm a little bit upstream of that right now.
[57:38.000 --> 57:40.000]  George, do you know?
[57:40.000 --> 57:46.000]  I have not heard of anybody doing that, but I wouldn't be surprised if somebody is working on it.
[57:47.000 --> 57:49.000]  Awesome.
[57:49.000 --> 58:02.000]  Well, I believe that is, we're at time. I'm sorry if I didn't get to your question, but if I did not get to your question, please reach out to Jeff with the email he provided.
[58:02.000 --> 58:13.000]  I want to say, join us again in two weeks, where we'll have Dr. Bruce Bugbeat of Utah State University talking about indoor cultivation.
[58:13.000 --> 58:17.000]  So I really look forward to that talk. And thank you all for joining this talk.
[58:17.000 --> 58:23.000]  Thank you so much. This is, yeah, just looking at the participants, that's been one of the highest participant level that I've spoke to in some time.
[58:24.000 --> 58:31.000]  If anybody happens to be going to the World Ag Expo in California, we're going to have a booth there. So drop in and say hi.
[58:31.000 --> 58:38.000]  It's one of my first trips after this big COVID lockdown. So yeah, looking forward to stretching the legs a little.
[58:38.000 --> 58:42.000]  So thank you very much for the opportunity to Tony, Zach and George. Really appreciate it.
[58:42.000 --> 58:49.000]  And again, anything else we can do to collaborate with any of the other research institutes, I'm all for it.
[58:50.000 --> 58:55.000]  As I said, that's my bread and butter. So I think it's a huge value for the industry.
[58:55.000 --> 58:58.000]  Awesome. You're getting a lot of thank yous.
[59:07.720 --> 59:13.720]  This has been a production of Cornell University on the web at cornell.edu.
