[00:00.000 --> 00:01.680]  Alright, happy Monday everybody!
[22:40.080 --> 22:41.080]  I've got a couple of notes.
[22:41.080 --> 22:43.800]  Oh, I overlooked a couple of details.
[22:43.800 --> 22:47.000]  Scarlet Begonias will make your eyes feel squinty.
[22:47.000 --> 22:48.060]  That's a note that I wrote.
[22:48.180 --> 22:50.420]  And also I've got the words time travel.
[22:50.420 --> 22:54.940]  I feel like when I smoke Scarlet Begonias, sometimes I might time travel.
[22:54.940 --> 22:57.400]  I might smoke Scarlet Begonias at 420.
[22:57.400 --> 22:59.660]  The next thing I know, it is 6 p.m.
[22:59.660 --> 23:01.620]  I call that time travel weed.
[23:01.620 --> 23:04.460]  I need to figure out bud that makes me go backwards.
[23:04.460 --> 23:06.160]  That'll be the million dollar project.
[23:06.160 --> 23:09.580]  But for now, we're going to time travel forward when we smoke.
[23:09.580 --> 23:15.740]  The last note I've got that I skipped over is great leaf to calyx ratio, which means
[23:15.820 --> 23:19.380]  The buds are huge and there are not a lot of leaves to trim off.
[23:19.380 --> 23:23.060]  That is a great thing for any grower who doesn't want to waste time trimming.
[23:23.060 --> 23:28.360]  That is an extra great thing for anyone running a commercial cultivation facility who will
[23:28.360 --> 23:31.500]  have hours and hours of trim work to do.
[23:31.500 --> 23:36.140]  So great leaf to calyx ratio on the Scarlet Begonias.
[23:36.140 --> 23:39.500]  All right, ladies and gentlemen, boys and girls, that wraps up my report on Scarlet
[23:39.500 --> 23:40.500]  Begonias.
[23:40.500 --> 23:48.460]  If you are interested in acquiring a pack of Scarlet Begonia seeds, I recommend seedsherenow.com.
[23:48.460 --> 23:51.820]  I recommend dankseed.store.
[23:51.820 --> 23:57.640]  And also, don't forget our friends at OregonEliteSeeds.com.
[23:57.640 --> 24:01.860]  If you would like more information on any Irie Genetics strain, I encourage you to visit
[24:01.860 --> 24:04.640]  IrieGeneticsColorado.com.
[24:04.640 --> 24:06.020]  Check out the genetics page.
[24:06.020 --> 24:07.500]  Check out the podcast page.
[24:07.500 --> 24:11.620]  Maybe check out our web store and grab a Grow From Your Heart podcast t-shirt or maybe an
[24:11.620 --> 24:13.940]  Irie Genetics t-shirt or hoodie.
[24:13.940 --> 24:16.380]  Show your support for Irie Genetics.
[24:16.380 --> 24:18.860]  Before you get to the website, let me make a disclaimer.
[24:18.860 --> 24:24.060]  My website is a little bit embarrassing and needs some updates and needs to be modernized.
[24:24.060 --> 24:29.620]  I am proud to announce that the website will be revamped and relaunched in 2020.
[24:29.620 --> 24:33.620]  So please check back in just a few months and see the progress we are making.
[24:33.620 --> 24:36.220]  In the meantime, enjoy the website that is there.
[24:36.220 --> 24:40.100]  Big thanks and big shout out to my friend who built that for me and helps me keep it going.
[24:40.100 --> 24:41.820]  I do appreciate that.
[24:41.820 --> 24:45.580]  So again, check out IrieGeneticsColorado.com.
[24:45.580 --> 24:47.000]  Check out the genetics page.
[24:47.000 --> 24:48.480]  Check out the podcast tab.
[24:48.480 --> 24:53.300]  And don't forget to check out the Irie store and grab some sweet merchandise.
[24:53.300 --> 24:57.700]  Ladies and gentlemen, boys and girls, if you feel like this episode was educational, informative,
[24:57.700 --> 25:01.420]  or entertaining and you would like to make a financial contribution to the show, you
[25:01.420 --> 25:07.780]  can do so by visiting www.patreon.com.
[25:07.780 --> 25:11.780]  All of the information you need to support the show will be right there on the screen.
[25:11.780 --> 25:16.620]  Once again, big thank you and big shout out to everybody who continues to support the
[25:16.620 --> 25:21.780]  Patreon campaign in the past, in the present, and in the future.
[25:21.780 --> 25:25.540]  If you're not in a financial contribution to help out the show, you can still support
[25:25.540 --> 25:27.100]  us for free.
[25:27.100 --> 25:29.940]  You can go to YouTube and subscribe to the YouTube channel.
[25:29.940 --> 25:34.060]  Simply search for the Grow From Your Heart podcast, click subscribe, click like on some
[25:34.060 --> 25:36.340]  videos, let me know what you think about the show.
[25:36.340 --> 25:38.960]  I would love your support that way.
[25:38.960 --> 25:41.500]  You can also follow me on Cannabuzz.
[25:41.500 --> 25:46.360]  Cannabuzz is a free, cannabis-friendly social media application.
[25:46.360 --> 25:51.020]  You cannot buy, sell, or trade cannabis on Cannabuzz, but you can post your cannabis
[25:51.020 --> 25:52.020]  photography.
[25:52.020 --> 25:56.300]  You can post your dab videos and you can ask for Grow help.
[25:56.300 --> 26:01.260]  If you are experiencing garden issues that you can't identify, you can snap a photo,
[26:01.260 --> 26:04.580]  post it to Cannabuzz, you can say, what's wrong with my plants?
[26:04.580 --> 26:10.180]  And a community of experienced growers will chime in and help you diagnose your problems.
[26:10.180 --> 26:14.300]  I think we have built a great community on Cannabuzz and I look forward to seeing you
[26:14.300 --> 26:15.300]  there.
[26:15.300 --> 26:18.860]  It is a free application available for your Android or Apple device.
[26:18.860 --> 26:21.740]  Give it a download, sign in, and give me a follow.
[26:21.740 --> 26:27.220]  I am Irie underscore genetics, and I look forward to seeing you on Cannabuzz.
[26:27.220 --> 26:30.060]  If you've got something you'd like to say and you're not into all that social media
[26:30.060 --> 26:33.820]  nonsense, maybe you've got a product you'd like me to review, perhaps you'd like to sponsor
[26:33.820 --> 26:36.140]  the show, you can send me an email.
[26:36.140 --> 26:39.860]  My email address is growfromyourheartathotmail.com.
[26:39.860 --> 26:42.620]  You know that I would love to hear from you.
[26:42.620 --> 26:51.260]  Don't forget to visit our sponsors, seedshearnow.com, OregonEliteSeeds.com, and dankseed.store.
[26:51.260 --> 26:54.780]  Ladies and gentlemen, boys and girls, that is all I've got for you for this episode.
[26:54.780 --> 26:57.620]  I'll be back in just a couple of days with fresh new content.
[26:57.620 --> 27:00.700]  I want to give a giant shout out to my friend, GP Frosty.
[27:00.700 --> 27:04.300]  And until next time, take a fat dab and give your mom a hug for me.
[27:21.340 --> 27:24.700]  Not a chill to the winner, but a dip to the air.
[27:27.700 --> 27:32.700]  From the other direction, she was called divine.
[27:33.700 --> 27:39.700]  It could be an illusion, but I might as well try, might as well try.
[27:44.700 --> 27:48.700]  She had rings on her fingers and belts on her shoes.
[27:49.140 --> 27:54.140]  And I knew without asking, she was into the blues.
[27:56.140 --> 28:01.140]  She wore scarlet bandanas tucked into her clothes.
[28:02.140 --> 28:08.140]  I knew right away she was not like other girls, other girls.
[28:13.140 --> 28:16.140]  In the thick of the evening when the dealer got rough.
[28:19.140 --> 28:22.140]  She was too packed to open and too cool to puff.
[28:25.140 --> 28:30.140]  As I picked up my matches, it was closing the door.
[28:31.140 --> 28:37.140]  I had one of those lashes, I've been there before, been there before.
[28:42.140 --> 28:45.140]  Well, I ain't no fag, but I've never been wrong.
[28:45.580 --> 28:48.580]  This devil turns out the way it does in the sun.
[28:53.580 --> 28:55.580]  Once in a while, he gets shown the light.
[28:55.580 --> 28:59.580]  In the strangest of places, you get no good advice.
[29:12.360 --> 29:16.360]  Well, there ain't nothing wrong with the way she moves.
[29:17.360 --> 29:21.360]  Her scarlet begonias are a touch of the blues.
[29:24.360 --> 29:29.360]  And there's nothing wrong with the look that's in her eyes.
[29:30.360 --> 29:36.360]  I had to learn the hard way to let her pass by, let her pass by.
[30:07.640 --> 30:11.640]  The wind in the willows played T-42.
[30:13.640 --> 30:17.640]  The sky was yellow and the sun was blue.
[30:19.640 --> 30:24.640]  Strangers stopping strangers just to shake their hand.
[30:25.640 --> 30:31.640]  Everybody's playing in the heart of old plan, heart of old plan.
[30:37.200 --> 30:41.640]  Heart of old plan.
