[00:14.590 --> 00:18.410]  Like reggae till they bantz down a couple times. I swear it's fucking
[23:13.130 --> 23:16.170]  We'll fire you while you're on your phone while you're on your phone all day
[23:16.410 --> 23:21.730]  There are so many people there are so many people from around the world that want in this industry
[23:22.250 --> 23:27.610]  Performed a top-notch will fire you they I can't say we I just got into this shit. I moved here. I'll fire you
[23:27.610 --> 23:29.610]  You know like I can tell you firsthand
[23:29.610 --> 23:36.250]  Like if you don't there's plenty of people that hit the you know hit the wall every day and then they get paid and they're just
[23:36.250 --> 23:40.650]  Like I'm I'm rich and I you know, I'm around marijuana all day and it's like nope
[23:41.730 --> 23:49.290]  They just drop out like flies. I mean it's uh, it may be a cool job, but it is still very much a job
[23:50.250 --> 23:54.570]  I visit dispensaries here in town and when I go in there every week and
[23:56.130 --> 24:03.610]  Nobody's there or it's different people in there every week different employees. Yeah, no customers that will plenty of customers, especially
[24:03.850 --> 24:07.530]  You know recreational and stuff like that. There's there's always lines
[24:08.210 --> 24:13.230]  I've been going to the spot for a couple of reasons recently mostly to talk to the owners out there and the bosses and to
[24:13.230 --> 24:18.490]  See if we can negotiate and also my favorite person a second favorite person. I have a daughter. Sorry girlfriend
[24:18.490 --> 24:21.030]  You're second the daughter comes first. I'm just kind of picking on you
[24:21.030 --> 24:25.050]  But she's out there and I go out there to visit her and go take her lunch or just go see what's up and dude
[24:25.050 --> 24:27.570]  It's hard for her to get away from the counter because they've got business
[24:27.570 --> 24:33.570]  Yeah, it's you're not gonna go and sit down behind a counter and be like socializing with people you would you would think that you know
[24:33.570 --> 24:39.010]  You still have to have customer service, but it's you have 14 people out and I'm the lobby waiting, you know
[24:39.010 --> 24:43.410]  I told the bosses there that I don't want a bud tend. I said no I'd rather not be a bud tender
[24:43.410 --> 24:46.130]  I just rather stick with being the grower, you know, cuz it'll be downtime for me
[24:46.210 --> 24:49.850]  But I think once in a while just for fun and I'll announce it on the podcast
[24:49.850 --> 24:52.290]  I'll be like hey guys, and I'm not I don't mean this right now
[24:52.290 --> 24:55.290]  You guys this is just hypothetical and I'm not even gonna say it like a real sentence
[24:55.290 --> 24:56.410]  I'll say on this day
[24:56.410 --> 24:58.410]  I will be bud tending at the spot
[24:58.530 --> 25:04.450]  If you guys want to come and buy some capel tin from Ross to Jeff you mentioned the agriculture podcast will give you 10% off
[25:04.970 --> 25:09.450]  That's cool. Yeah, that shit's gonna be happening pretty soon. That's kind of the kind of stuff that we have in mind
[25:09.450 --> 25:14.330]  But tending is kind of fun. I like people I really love before so that's how I start
[25:14.330 --> 25:16.370]  Yeah, that's how I got my foot in the medical industry
[25:16.370 --> 25:17.050]  I was well
[25:17.050 --> 25:19.050]  I started helping transplant somebody
[25:19.050 --> 25:23.930]  Helping somebody transplant that had their own shop and too many plants who couldn't handle it and I saw him struggling
[25:23.930 --> 25:26.170]  I was like you need help. He's like, you know how I was like fuck you
[25:26.970 --> 25:30.790]  He's like grab a bucket do this and he was older than me
[25:30.790 --> 25:35.330]  So I was able to work circles around him and he's like come back tomorrow and I'll pay you and he gave me way more
[25:35.330 --> 25:37.330]  Than I expected and that was for the rest of the week
[25:37.330 --> 25:41.010]  So this works kind of how I got my first job
[25:41.450 --> 25:46.450]  So guys, I guess that's the point go show that you can do some work. Don't show initiative show some initiative
[25:46.970 --> 25:51.570]  It is the way it's the weed industry. Why right? So you're gonna think I can show up with my long hair down
[25:51.570 --> 25:54.570]  I don't need to take a shower. I could put on my Grateful Dead shirt my fucked up jeans
[25:55.210 --> 25:57.290]  And you can you can you work?
[25:57.890 --> 26:01.810]  But it may you still got to treat it like a real job interview. We want you to be able to work
[26:02.650 --> 26:06.610]  If I I'm saying we because I've got my own cannabis business. I own a seed company
[26:06.610 --> 26:11.130]  I guess I can qualify I'd rather you kind of just show up and maybe show some help
[26:11.130 --> 26:11.630]  Yeah
[26:11.630 --> 26:16.650]  I got you know like and you wouldn't if somebody would come in and sit at the table and not do anything the whole time and
[26:16.890 --> 26:19.850]  Not show any initiative then they probably wouldn't be there
[26:20.210 --> 26:22.130]  That's why the trimmers that were here
[26:22.130 --> 26:24.890]  there were three tremors here for like four nights in a row and
[26:25.130 --> 26:29.610]  That's kind of stressful to have for all three of those people to take four nights out of their lives and get a trim pot
[26:29.610 --> 26:32.530]  For me with me helping them. I could have called two or three other people
[26:33.010 --> 26:38.850]  But I liked and trusted everybody here, yeah, and I could have driven to the store and came back and nothing would have gone wrong
[26:38.850 --> 26:42.930]  That's why I keep the people that I keep it's that's what it's about trust you be trustworthy
[26:42.930 --> 26:48.650]  You know like and be kind of you're not if you're working in the weed industry industry. We want some clean people
[26:49.170 --> 26:54.610]  You're around stuff that people are consuming and the MED is a stickler for dirtiness
[26:54.810 --> 26:58.690]  Jesse just shook his head and rolled his eyes because he knows the MED is kind of a bitch
[26:58.690 --> 27:04.210]  I love you guys for giving me my my badge, but you guys have some crazy fucked up rules Wow shots fired
[27:06.130 --> 27:09.690]  All right, we've been talking a lot about a lot of good news I do have some semi sad news
[27:09.690 --> 27:11.690]  I hope you guys are ready for this
[27:12.090 --> 27:15.850]  There is rumor that the podcast will receive a cease and desist letter
[27:16.370 --> 27:19.830]  We can continue to podcast but not under the name. I grow culture
[27:20.810 --> 27:23.770]  Nobody has sent me anything yet a lot of businesses and
[27:24.250 --> 27:31.570]  Podcasts and YouTube and Facebook and Instagram things have been being forewarned that a business called I grow which is a college
[27:32.210 --> 27:38.470]  Institution that does college horticultural stuff is coming after people using the I grow moniker
[27:39.410 --> 27:41.010]  I've no problem changing the name
[27:41.010 --> 27:44.010]  I just want to do it slowly if it does happen and I kind of want to do it
[27:44.370 --> 27:46.370]  preemptively before I actually get a
[27:46.530 --> 27:50.130]  Cease and desist letter in the mail or email to me or however, it's gonna happen
[27:50.370 --> 27:54.510]  I think it just be responsible and kind I don't if that's their name and they've got it
[27:54.510 --> 27:57.010]  I don't really feel like I want to rip them off. I just thought it was cute
[27:57.010 --> 27:58.410]  My buddy Kevin and I came up with it
[27:58.410 --> 28:03.450]  I was like it's like I wanted to use the I because it's the the modern I grow I for an iPod
[28:03.450 --> 28:06.570]  It's yeah, and it's the I world and it's I grow you're listening
[28:06.570 --> 28:10.370]  You're learning to grow from me on your iPhone and it's it's a play on the word
[28:10.810 --> 28:15.330]  Agriculture is what we thought also. Yeah, so it's the I grow culture, but we're gonna have to change it
[28:15.330 --> 28:19.010]  I already know what the name will become if it I haven't decided for sure that I want to do it
[28:19.010 --> 28:24.610]  I may just do it on December 1st. We'll go I grow culture slash this podcast for a month or two
[28:25.490 --> 28:27.410]  Used to it. Yeah. Yeah, no
[28:27.410 --> 28:30.030]  But we may have to change the name you guys it'll still be the same show
[28:30.410 --> 28:34.590]  Nothing's gonna change but the logo and the title. Hey bender if you're listening, bro
[28:34.590 --> 28:38.450]  The new title of the show will be the grow from your heart podcast
[28:38.610 --> 28:41.290]  All right, I could I could just relate that to him
[28:41.290 --> 28:45.190]  But all right, you know, you know with the listeners if you guys are listening now and this shit disappears
[28:45.190 --> 28:48.970]  Look for the grow from your heart podcast. It's the same thing. It'll be the same feat
[28:49.010 --> 28:54.650]  So nothing will change all you can type in the title on the feed and change the feed in my my website stuff
[28:54.890 --> 29:00.130]  Everything will be legit. I'll stay the same other than the words. So that bender help me out, bro
[29:00.130 --> 29:03.090]  I'll make it up to you somehow if you got a pal bro, we'll hook you up
[29:04.370 --> 29:07.490]  Grow from your heart podcast or the grow from your heart podcast
[29:07.490 --> 29:11.570]  However, you want to do it like a heart with maybe some herb coming out of it or whatever, dude
[29:11.570 --> 29:15.450]  You know red gold and cream nailed it last time. So nailed that last one, you know
[29:16.370 --> 29:20.090]  Dope I can't even kind of looks like a seed split open to Oh
[29:20.770 --> 29:23.530]  Jesse Jesse just hit gold over there a heart
[29:24.010 --> 29:28.810]  Of a seed splitting open a little sprout coming out of the sprout with the two leaves being the heart
[29:29.530 --> 29:34.530]  Jesse's on this shit. Whoever can do some art if you're in Colorado and you're an adult and you can find me face-to-face
[29:34.530 --> 29:40.650]  I'll pay you in seeds or herb. I will gift you seeds and herb in return for making me this I won't pay you
[29:40.650 --> 29:41.490]  I can gift you shit
[29:41.490 --> 29:47.170]  I can totally give you a gift of kindness to say and you can also give me a gift of a sweet-ass logo
[29:47.170 --> 29:50.530]  I don't even know if you're not 21 and you're not in Colorado
[29:50.530 --> 29:53.530]  I'll get you like an irie genetics t-shirt if I have your size in stock
[29:53.530 --> 29:58.370]  I'll send you something fucking cool from Colorado to make it up for you up to you. I also need a logo
[29:58.370 --> 30:00.370]  I'm not begging but I need a logo
[30:02.050 --> 30:05.890]  Man I mean need a theme song when it's community made nine times out of ten
[30:05.890 --> 30:10.010]  You'll probably get a flood of stuff. You have to be like help me pick this, you know
[30:10.930 --> 30:12.930]  If you guys send theme songs
[30:13.130 --> 30:17.570]  Grow from your heart podcast that's gonna I'm gonna have to I'm just gonna start saying that pretty soon here
[30:17.570 --> 30:19.370]  That's gonna be well that way we gotta do it
[30:19.370 --> 30:23.450]  I don't want to get I don't even want to start hearing it that other company that owns the name
[30:23.450 --> 30:29.890]  So that was a phrase you told me one of the first times we like set down and like really talked about growing and breeding
[30:30.890 --> 30:34.570]  Yeah, pretty firm your heart actually what you said breed with love and grow from your heart
[30:35.450 --> 30:37.450]  Yeah
[30:38.010 --> 30:41.470]  Yeah, I've been preaching those things for a long time those have always been
[30:42.170 --> 30:45.570]  Yeah, and it makes your life and your cannabis if you're yeah
[30:45.570 --> 30:49.690]  If you're not doing that your dick if you're gonna grow cannabis and you're not
[30:50.130 --> 30:57.330]  Starting and just like sitting in that room 24 7 just like on your hands and knees cross-legged like Indian style like loving on them
[30:58.290 --> 31:05.070]  Then it that's you're not getting this part of the story. I'm gonna write it down. It's official grow from your heart podcast
[31:05.510 --> 31:10.310]  Grow from your heart I like it. We just gotta get people now spread the word
[31:10.950 --> 31:13.010]  That's what we're trying to do spread the word
[31:14.070 --> 31:16.750]  Well, most people are listening. Most of you guys are listening
[31:16.750 --> 31:21.630]  Well, you already know because you're listening. All right, these are one of those times that we were talking about where I say something dumb
[31:22.350 --> 31:25.970]  Um, I don't know that it's dumb. We're not even gonna critique what you said
[31:25.970 --> 31:27.970]  You can go on
[31:30.170 --> 31:31.690]  Nah
[31:31.690 --> 31:33.370]  Likes to get picked on in our hair
[31:33.370 --> 31:35.770]  What are my favorite things to do Adam likes to start a rant?
[31:36.050 --> 31:39.490]  He'll stare at you as he does it waiting for you to reply and we don't reply
[31:39.490 --> 31:41.250]  He just puts his foot deeper in his mouth
[31:41.250 --> 31:41.610]  Yeah
[31:41.610 --> 31:45.810]  Just like and then you look at him like uh-huh and it would be the perfect time right then to stop
[31:45.810 --> 31:49.330]  But he has three more things that he really wants to cram in there
[31:49.330 --> 31:54.090]  Jesus Christ what is wrong with this asshole?
[31:54.090 --> 31:58.770]  my favorite is when we're in the car and he just starts to do in it and he doesn't know if I'm silent because he's
[31:58.770 --> 32:03.930]  Being a dipshit or if I'm just driving or what it is and he's like and blah blah blah blah blah and I just nope
[32:03.930 --> 32:05.930]  No reply. I want to see what's next
[32:06.610 --> 32:09.930]  I just want to see what's gonna come after that. Can he top that shit?
[32:09.930 --> 32:13.850]  Yeah, he's does always he always manages to top his own foot in his mouth
[32:14.850 --> 32:20.450]  Yeah, that's that's why we keep you around bro, oh, I know I'm good for a laugh every now
[32:20.450 --> 32:26.290]  And then working with them either with me or at me one of the other and I either way it's fun working with them this
[32:26.290 --> 32:28.850]  Last week I've had some good laughs. Yeah, and thank you man
[32:28.850 --> 32:34.130]  Like for real you put food on the plate like it for the shout out this week you brother like straight up
[32:34.450 --> 32:42.370]  It's built a new a new play hut. Yeah. Yeah playing in the dirt all day screwing off. I can it's the Denver Bud company
[32:43.050 --> 32:45.050]  They're gonna be wholesalers and
[32:46.650 --> 32:50.730]  Thank you, you know going to their business plan is to be able to
[32:51.570 --> 32:57.490]  Buy their brand of cannabis in dispensaries all over the all over the state. So nice
[32:58.090 --> 33:01.930]  But yeah, they'll be opening sometime soon when we're done building it
[33:03.130 --> 33:06.850]  Now they got a few other hurdles after that. Oh, yeah inspections. Yeah
[33:07.370 --> 33:10.090]  The hardest part in Colorado right now is getting damn water
[33:10.930 --> 33:14.370]  Yeah, getting water rights for your girl is a big big big deal
[33:14.370 --> 33:19.730]  Yeah, we saw a huge freaking grow today and out of south of Pueblo
[33:19.730 --> 33:23.890]  They're all around us right now. If you go out Highway 96 towards wet more
[33:25.370 --> 33:30.370]  It's just right up against the highway their chain-link fence. You can almost like flicker your fingers in it when you drive
[33:30.850 --> 33:32.850]  It's right up against the highway. Yeah
[33:32.850 --> 33:39.190]  Oh, yeah, I know which one that is and then the one you guys saw down south that that thing that place has a freaking
[33:39.190 --> 33:40.310]  Eric air strip on it
[33:40.310 --> 33:45.670]  I gotta say one of the neatest I have seen is my boy Hanky be over at the greener side dispensary on
[33:46.330 --> 33:51.290]  State you haven't seen they've got a bunch of LED lights going there. It's not happening right now
[33:51.290 --> 33:56.130]  But last season towards the end of the season they had Ellie LED lights and it made that hole
[33:56.410 --> 34:00.330]  What is it like a 60 by a hundred foot greenhouse 60, but there are no
[34:00.930 --> 34:03.690]  Shit 120s the length. Okay. I can't remember the
[34:04.210 --> 34:08.370]  Huge it's bigger than your house. Oh, yeah, and it was filled with LED lights
[34:08.370 --> 34:12.850]  And so when the Sun set right at sunset, it looked like aliens were invading for about a mile
[34:12.850 --> 34:16.530]  It's just a big purple. They shit ball. Yeah, it was so awesome. Yeah
[34:17.170 --> 34:21.530]  It's a neat greenhouse. That was one of one of the best stuff. Was that forever flowering?
[34:21.530 --> 34:22.050]  Yes, sir
[34:22.050 --> 34:24.050]  Shout out to forever flowering northern
[34:24.330 --> 34:29.690]  Altitude or hemisphere or something like that is the model with all the bells and whistles all of them
[34:29.690 --> 34:32.130]  Yeah, yeah that thing sings to you in the morning
[34:32.770 --> 34:38.410]  All right. Um, I do have a couple of news articles. We're 35 minutes in a great crazy rambling guys
[34:38.410 --> 34:43.250]  I hope you like these episodes where we just come and hang out a little bit the past couple of episodes have been really intense
[34:43.730 --> 34:47.170]  My friend hippie nurse. I haven't talked to you in quite a while. I hope you're still listening to the show
[34:47.170 --> 34:50.550]  I hope you're well, we haven't talked just been busy I guess
[34:51.370 --> 34:53.730]  She takes notes. And so I hope this episode
[34:53.730 --> 34:58.370]  I hope you could put down your pen and just enjoy and hang out with us and maybe smoke a bowl or take a dad
[34:58.890 --> 35:00.890]  Let's do that you guys want to take a dad
[35:01.370 --> 35:05.890]  All right, whoever if you guys are listening like it when they when you know, we all sit around and puff and yeah
[35:07.330 --> 35:12.330]  I don't know. I moved everything went fucking crazy the wire on the wires there fuck
[35:12.330 --> 35:16.090]  I hope that didn't happen in the recording you guys cuz we all I hope it didn't either
[35:18.970 --> 35:23.810]  My brain exploded in my head and electricity happened that's basically I think what happened
[35:24.170 --> 35:30.010]  Think we'd all just got hit by lightning through the headphones. Holy shit. So I have a news article to yeah
[35:30.890 --> 35:37.010]  First time ever reading a news article so do it bear with me. I'm not reading it either, but I'll just hit the points
[35:37.670 --> 35:39.670]  so basically the
[35:40.370 --> 35:47.490]  good old Congress which I believe acts as City Council kind of sort of of Washington DC is
[35:50.130 --> 35:52.490]  One of the congressmen is thrown in a
[35:54.810 --> 35:59.370]  Um shit, I'm just trying to gather up some information here anyways
[35:59.770 --> 36:03.730]  I've got it on my screen if you want me to read it for you. Yeah, let me take this one tab news articles
[36:03.730 --> 36:06.410]  Yeah, we actually did you find it on the cannabis?
[36:07.130 --> 36:11.770]  Huff post is where I got it. I saw it on the cannabis this morning. I'm gonna take this quick dab
[36:11.770 --> 36:17.250]  I got some live resin from the Garden of Weedon. This is uh, let me read you the proper serious fucking bullshit
[36:17.570 --> 36:19.970]  Gorilla hate not the dab. The dab is not bullshit. Yeah
[36:20.770 --> 36:27.170]  This dab is fucking for real the the dab is some serious fucking fire. This is gorilla. Haze. It's moonshine. Haze
[36:27.770 --> 36:32.750]  Gorilla glue number four. Yes, and they were blasted together in the obidos
[36:33.850 --> 36:38.130]  Obidos obidos shout out to emo tech dude emo tech sent me a brand new email
[36:38.130 --> 36:41.330]  I've had it running basically for a week straight without turning it off
[36:41.330 --> 36:43.730]  I turned it off when I go to bed and shit, but honestly I
[36:44.170 --> 36:49.090]  Walk up. It's like my coffee pot when you wake up. I walk up and turn it on you spend a lot of time sitting
[36:49.970 --> 36:52.430]  It's on a lot of feature for the you know
[36:53.170 --> 36:58.890]  Coffee pot timer time that don't do I actually put my old email on a timer because I used to fall asleep with it on
[36:58.890 --> 37:01.050]  So I put her on a timer to shut off about 3 in the morning
[37:01.050 --> 37:07.650]  This one's got a fucking USB port that I charge my phone on and it charges my iPhone so fast
[37:07.850 --> 37:10.410]  We I bet it does especially the higher temperature
[37:10.410 --> 37:12.810]  You raise it up to probably connected to that like
[37:15.090 --> 37:20.450]  I'm gonna take this nap. Yeah, it smells great. What up Spence?
[37:22.370 --> 37:24.370]  Somebody tell me I've yet about
[37:24.770 --> 37:29.450]  But I'm sure I will here Spencer check out a garden of weed
[37:30.330 --> 37:37.250]  He just killed or actually Maddie did but they both did they just killed some government meal of mine
[37:37.730 --> 37:39.730]  Man
[37:42.330 --> 37:45.610]  Quite possibly one of the best rounds I've ever seen of it
[37:45.610 --> 37:51.650]  I haven't got to grow that strain inside as much as I would have liked to the stuff. They post is just
[37:54.810 --> 37:57.130]  I mean, what's the cross on your government meal?
[37:57.690 --> 37:59.450]  It is
[37:59.450 --> 38:01.130]  g13
[38:01.130 --> 38:03.650]  crossed with Tom Hills deep junk
[38:04.250 --> 38:06.250]  That sounds delicious Hill is a
[38:06.890 --> 38:08.410]  Everything he makes is amazing
[38:08.410 --> 38:11.170]  So we've got a little collaboration happening
[38:11.170 --> 38:14.690]  Jesse is actually gonna breathe and I'm gonna put the seeds in I read genetics packages
[38:14.770 --> 38:17.610]  And we're gonna sell them as I read genetics products because I need some help
[38:18.530 --> 38:25.050]  Will that rats on that? Well that the government you'll be involved in that project. Yeah, that times a OG mail. Oh
[38:25.970 --> 38:27.530]  I
[38:27.530 --> 38:29.530]  Literally don't have a name for it
[38:29.930 --> 38:34.050]  And you know, I'm not gonna try to make up some crazy name to
[38:34.890 --> 38:39.330]  For this mail I can just say it's it's a really good mail. It's been proven
[38:40.170 --> 38:45.170]  It's made several crosses for some small-time breeders. Is it the OG mail I think of?
[38:46.090 --> 38:49.210]  Yeah, yeah the one we were talking about the other night. Yeah, cool
[38:50.170 --> 38:55.290]  So unfortunately, you know, there's not gonna be anything fancy on the package in regards to you know
[38:55.290 --> 39:00.170]  It's just mystery mail or something like that, but the government meals serious fire
[39:01.250 --> 39:07.210]  The two cross together. It's just it's gonna be a any the government meals real deep chunk leaning
[39:07.210 --> 39:12.810]  We've got to give your mail a name like gauge calls his mail Joseph. Yeah, so we just got to name it
[39:12.810 --> 39:14.810]  It just needs a cool name
[39:14.810 --> 39:16.210]  Henry
[39:16.210 --> 39:18.210]  It could be Henry could be the Henry. Oh, dude
[39:18.210 --> 39:22.170]  I could be what it is that was the name of the meal that I grew up next to it was Henry the meal
[39:22.170 --> 39:24.170]  You'd hear him every morning
[39:24.170 --> 39:27.630]  That shit might have just accidentally happened Tonya there it is
[39:28.170 --> 39:34.090]  So I'm gonna read this news article, but first I want to remind myself. Oh, that's fucking dangerous. You can do that. That's cool
[39:47.130 --> 39:51.650]  Yeah, you're quick I just hit 10,000 Instagram I was gonna write that down
[39:55.130 --> 40:01.130]  10,000 Instagram followers. Thank you guys all 10,000 of you or at least the hundred and fifty of you that like my pictures
[40:01.130 --> 40:03.130]  What the fuck is that?
[40:03.290 --> 40:08.890]  Can I get a goddamn like well, you gotta think though, you know people just don't get on it
[40:08.890 --> 40:14.210]  No all that often and actually Instagram is going through and cleaning up spam accounts and taking off all kinds of shit
[40:14.210 --> 40:16.210]  So good. I got one form
[40:16.210 --> 40:18.210]  By
[40:20.530 --> 40:26.890]  The way guys that's over grown your gov just because somebody I forgot somebody had taken that that's the only
[40:29.610 --> 40:33.650]  Twitter who has got like 60 followers and hasn't posted in two years
[40:34.250 --> 40:39.170]  Like I would think if you went there and it has nothing to do with cannabis and then nothing to do with
[40:39.450 --> 40:44.090]  Anything slowly say you properly say your Instagram order grow
[40:44.770 --> 40:49.530]  Grown your gov overgrown your gov or grown you might even following you
[40:50.050 --> 40:54.910]  Yes, you found me. I mean usually people find me it's it's it's definitely happened
[40:54.910 --> 40:56.910]  But can we say your real name on the show your full name?
[40:57.210 --> 41:01.730]  Adam Gaskins. Yeah, I call him gas cans when I call him. I told my I tell Siri call Adam gas cans
[41:01.730 --> 41:05.450]  Yeah, that's that that's what I heard when I was a kid. So, you know, it's fun
[41:05.450 --> 41:09.730]  Put your phone your Siri on a British accent with a chick. Yeah, and it's hot dude. Yeah
[41:10.610 --> 41:13.110]  Call Adam gas she's all ringing
[41:16.370 --> 41:22.010]  You're kind of weird with that I stuff I like my I devices I like them right Apple cool
[41:22.890 --> 41:26.250]  So yeah, let's read this article to Jesse kind of started to read it says
[41:26.850 --> 41:30.670]  Obama opposes congressional effort to stop DC pot legalization
[41:30.670 --> 41:37.090]  Oh, you mentioned that and the picture it looks like he's clapping, but he's not he's got this like weird facial expression
[41:37.570 --> 41:44.290]  This article is from it just says Associated Press. Nobody gets any credit here the AP. That's all so whoever wrote it. Sorry, bro
[41:44.290 --> 41:46.290]  You know what he cared
[41:47.050 --> 41:52.170]  It says president president Barack Obama plans to sign a 1.1
[41:52.730 --> 41:56.250]  Trillion dollar government spending bill if it reaches his desk
[41:56.250 --> 42:02.410]  Although he opposed a provision blocking the District of Columbia from legalizing marijuana. Jesse's frantically searching his phone
[42:02.410 --> 42:04.410]  I may be reading a different article
[42:04.410 --> 42:08.130]  I just want to get that asshole Congress congressman's name. So
[42:09.370 --> 42:14.210]  White House spokesman Josh Earnest said Thursday that despite reservations Obama is set to sign
[42:14.890 --> 42:20.090]  Legislation to fund nearly the entire government through the end of the budget year September 30th
[42:20.970 --> 42:28.330]  District voters approved an initiative November 4th to allow possession of up to two ounces of pot or up to three mature plants for personal use
[42:28.970 --> 42:35.690]  But here we go language inserted by Republicans in the spending bill would bar the city from moving forward with legalization
[42:36.090 --> 42:41.610]  Earnest says the president believes Congress shouldn't interfere with the will of city voters on marijuana and other issues
[42:42.010 --> 42:45.290]  Obama supports statehood for the district so
[42:45.890 --> 42:52.890]  They wrote a new budget proposal by they looks like the Republicans have submitted this right but in the wording
[42:53.330 --> 42:54.970]  they also
[42:54.970 --> 42:59.650]  Try to block the legalization of cannabis in the District of Columbia
[43:00.050 --> 43:03.130]  So just in the city not in the state, correct?
[43:04.330 --> 43:09.210]  Like you know, it's a district but you know what I'm saying? It's like it's the whole state from what I read
[43:09.210 --> 43:14.450]  It's gonna be the whole state Washington DC. I didn't I was speaking as I read it
[43:14.450 --> 43:16.890]  So I may not blind provision a lot district of Columbia
[43:16.890 --> 43:23.730]  Yeah, it's gonna be the only see like the whole the area around the White House and that you know, like the presidential land
[43:25.050 --> 43:30.690]  District. Yeah, so here's what sucks is Obama would so it'll be legal Obama's down with DC being
[43:31.250 --> 43:36.290]  Legalized he says he's cool. He didn't write out his spokesperson says they have to pass the budget
[43:36.290 --> 43:41.290]  They have to pass that budget. I couldn't find that cocksuckers name. Can't he go out? Can he just he's a president, bro?
[43:41.290 --> 43:43.290]  Can't why doesn't he just fucking erase that line?
[43:43.650 --> 43:46.890]  Wipe that shit out something to do with some kind of bullshit. Yeah
[43:46.890 --> 43:50.550]  I'm sure I'd be the first one to say it like go ahead and say I see that he
[43:50.970 --> 43:54.130]  decriminalizes it at least before he gets out, you know because he was so
[43:55.130 --> 43:57.130]  I'll leave it alone. I'll leave it alone
[43:57.130 --> 44:03.530]  and then the raids and stuff like he was here and he's still like there's a war on drugs still and this then the other and
[44:05.690 --> 44:10.210]  You know, it's it's one of those things that I feel like if he's gonna do anything that
[44:11.810 --> 44:17.810]  Gives him a like on the way out. It'll be something along that line if he can just bring it down to a new
[44:18.410 --> 44:20.410]  substance law, you know
[44:20.410 --> 44:22.410]  I don't know
[44:22.410 --> 44:25.950]  Yeah, it just sucks because he's got to do something before he's gonna tell her this
[44:26.650 --> 44:28.650]  he's gonna pass and
[44:28.650 --> 44:30.410]  spokesperson says
[44:30.410 --> 44:35.570]  He believes Congress shouldn't interfere with the will of city voters on marijuana and other issues and he supports statehood
[44:36.810 --> 44:38.810]  What it does is it blocks any?
[44:39.450 --> 44:46.210]  Any congressional or city money being used to implement the program? So it's like a shitty ultimatum
[44:46.210 --> 44:51.530]  Yeah, it's just like we don't need your money. They'll gladly give it to you by the droves
[44:51.530 --> 44:58.050]  Have you not what happened paying attention? What happened to voting and then what the voters vote for happening?
[44:58.050 --> 44:59.650]  No, no, like what happened to that?
[44:59.650 --> 45:05.410]  It's like your parents telling you go to a house party on Saturday when they damn well know you'll be in, Texas. I
[45:07.490 --> 45:09.490]  Like that
[45:10.090 --> 45:12.610]  There's nothing I can do about it. It's in the president's hands now
[45:12.610 --> 45:16.210]  I hope you guys in DC get to smoke your recreational legal cannabis, right?
[45:16.610 --> 45:20.550]  Tell them so they won't have a store, but they can still you know, I mean
[45:21.290 --> 45:23.290]  Fight the good fight guys, you know
[45:23.890 --> 45:26.890]  What they're doing is it sounds like they're encouraging the gray market
[45:27.490 --> 45:30.930]  You know, it's exactly what I thought when I read the article
[45:30.930 --> 45:35.410]  I mean, it sounds like a good place to be a caregiver in Colorado. That gray market is getting squeezed out
[45:35.410 --> 45:38.770]  I know pots super illegal or expensive. What's not super illegal?
[45:38.770 --> 45:40.530]  It's super fucking expensive at the dispensaries
[45:40.530 --> 45:43.970]  But it seems like from hanging out in the shop as much as I have been lately
[45:43.970 --> 45:49.090]  There are a lot of people that would rather just go that go to the dispensary shop from the jars
[45:49.210 --> 45:54.730]  There are like 12 strains on the shot on the shelf at the shop. You don't get choice honestly in my opinion
[45:54.730 --> 45:57.250]  It's too expensive, but that's cuz I'm a spoiled bitch. I
[45:58.050 --> 46:00.930]  Grow my own herb. I know what it costs. I've been paying
[46:01.490 --> 46:04.610]  really low prices for several years now and to go there and it's
[46:05.170 --> 46:10.810]  Double a little more than double what I'm used to paying but it's legal but and it's you don't have to wait for anybody
[46:10.810 --> 46:14.670]  You have to sit in a cushy comfy chair and listen to decent reggae music
[46:14.670 --> 46:16.770]  They play good reggae there too. That has nothing to do with me
[46:17.210 --> 46:20.650]  You sit in these cozy little chairs and chill out and it's a chill environment
[46:20.730 --> 46:25.170]  and if you don't want to wait for your dude to show up if you just want to grab an eighth on the way home
[46:25.170 --> 46:28.730]  From work if you don't want it because deals are sketchy in a parking lot and shit
[46:28.730 --> 46:30.730]  You don't want to be doing that anymore. Just go to that
[46:30.730 --> 46:36.770]  It's I could see the black and I'm a markets just being I'm telling you they would be they would be totally wiped out
[46:36.770 --> 46:40.770]  I feel if it was accessible in every street corner, you know
[46:40.770 --> 46:45.770]  almost like a damn liquor store where there's you know, 13 of them in town spread out instead of
[46:46.250 --> 46:49.570]  You know 14 of them out there in a mile area
[46:49.570 --> 46:53.850]  And I mean that's just hard you guys in states that are just about to legalize her that are pushing it
[46:53.850 --> 46:56.170]  You got to get on top of shit the day it pops
[46:56.170 --> 46:58.170]  You got to get your shop open
[46:58.330 --> 47:02.550]  Because you have to start making enough money to comply with the regulations
[47:02.550 --> 47:07.530]  They're coming because now that Colorado has set the standard other places are just kind of adopting that
[47:08.110 --> 47:13.130]  They're just saying Colorado's doing this. They kind of set it around that. They're not making the same mistakes as well
[47:13.130 --> 47:14.250]  They already have a template
[47:14.250 --> 47:17.970]  You're not getting what we used to call here was the wild wild west that I talked about
