[00:03.840 --> 00:31.220]  Welcome back, podcast world!
[43:02.330 --> 43:03.650]  may be really wet.
[43:03.650 --> 43:07.230]  You may have to leave them open for four to six, maybe the whole shift of eight to 10
[43:07.230 --> 43:08.230]  hours.
[43:08.230 --> 43:09.230]  They may have to stay open.
[43:09.230 --> 43:10.230]  That's not uncommon.
[43:10.230 --> 43:14.030]  Try not to cut them down and put them into the bends so early next time, but you'll be
[43:14.030 --> 43:15.030]  okay.
[43:15.030 --> 43:18.810]  This is something you're going to have to dial in with your facility and with your technique.
[43:18.810 --> 43:23.730]  The duration of burp time is going to decrease slowly as the buds dry.
[43:23.730 --> 43:30.970]  These bends are going to sit in a room, ideally, that is at 50% humidity and 70 degrees until
[43:30.970 --> 43:32.610]  you have time to trim them.
[43:32.610 --> 43:38.690]  I run a humidifier and a dehumidifier at the same time, and they're both set at 50% humidity.
[43:38.690 --> 43:43.390]  If that room gets to 55% humidity, that dehumidifier kicks on immediately.
[43:43.390 --> 43:47.650]  If it gets to 45%, the humidifier comes on immediately.
[43:47.650 --> 43:51.270]  I don't get out of that 10 degree range, and it stays pretty close with both of those
[43:51.270 --> 43:52.890]  machines and they're fighting each other.
[43:52.890 --> 43:55.450]  They pretty much just stay on all the time.
[43:55.450 --> 43:57.190]  I've got these buds.
[43:57.190 --> 43:58.190]  They are in containers.
[43:58.190 --> 44:02.810]  They have not been trimmed yet, and they still need to be burped on a daily basis.
[44:02.810 --> 44:06.810]  The first thing the dry and cure manager or the trim team manager should do when they
[44:06.810 --> 44:12.130]  get to the grow is pop open these bends and see what type of situation you've got.
[44:12.130 --> 44:15.890]  They should be getting drier and more smokable, and they should start smelling more like dank
[44:15.890 --> 44:17.550]  cannabis every day.
[44:17.550 --> 44:22.470]  That fresh green wet smell should be going away, but you're going to have to pop them
[44:22.470 --> 44:26.270]  every day and pay attention to how long they need to be opened.
[44:26.270 --> 44:29.870]  Like I said, that first day, you're going to get four to six hours.
[44:29.870 --> 44:31.950]  Maybe the second day, four to six hours.
[44:31.950 --> 44:33.630]  Maybe the third day, four hours.
[44:33.630 --> 44:35.190]  Maybe the fourth day, three hours.
[44:35.190 --> 44:38.590]  Then maybe you're just going to have to pop them open for an hour every day and see what's
[44:38.590 --> 44:40.510]  going on and check it out.
[44:40.510 --> 44:43.430]  Eventually you won't have to open them anymore.
[44:43.430 --> 44:48.350]  Once you've gotten them to about 65% humidity inside the container consistently, you don't
[44:48.350 --> 44:49.390]  have to burp it.
[44:49.390 --> 44:51.430]  That is cured where you want it.
[44:51.430 --> 44:56.430]  It's also in that room with 50% humidity, so it's going to stay about 50% humidity and
[44:56.430 --> 44:58.550]  it won't get less than that.
[44:58.550 --> 45:03.390]  The containers hold moisture in there, so it's going to stay above 50%, trust me.
[45:03.390 --> 45:07.630]  While you're drying and curing inside those bends, be sure to burp the bends every day
[45:07.630 --> 45:12.470]  and rotate the buds to prevent mold and funky aromas until they get dry enough to leave
[45:12.470 --> 45:13.470]  alone.
[45:13.470 --> 45:17.150]  Don't be afraid to take the buds and pick them up right outside of the container and
[45:17.150 --> 45:20.910]  flip them over and set them back in so all the buds that were on the bottom are now on
[45:20.910 --> 45:21.910]  the top.
[45:21.910 --> 45:27.230]  You can do that once or twice a day if you feel like you need to if they are really wet.
[45:27.230 --> 45:30.810]  Something I want to keep stressing is if they are too moist, don't be afraid to leave the
[45:30.810 --> 45:35.710]  lid off the containers until the buds are nice and dry and you feel comfortable closing
[45:35.710 --> 45:38.870]  them up and you're sure there's not going to get any mold in there.
[45:39.430 --> 45:43.510]  If you leave it closed for too long or you bend these buds too early, you're going to
[45:43.510 --> 45:48.530]  create an ammonia-type, funky, terrible smell inside your buds.
[45:48.530 --> 45:52.190]  They're not going to burn well, they're going to taste terrible, they're going to smell
[45:52.190 --> 45:55.790]  funky and it's not going to be desirable and you're not going to be able to sell it at
[45:55.790 --> 45:58.910]  your dispensary or however you plan on selling it.
[45:58.910 --> 46:03.130]  One problem you may run into if you leave it closed too long is funky aromas.
[46:03.130 --> 46:06.190]  The only thing you can do to fix that is try to air it out.
[46:06.190 --> 46:10.750]  Just leave it open, let it dry, try to let that smell go away and it's probably not going
[46:10.750 --> 46:13.470]  to, you've probably gone too long.
[46:13.470 --> 46:17.310]  Make sure not to seal it up for too long and make sure not to seal it up when it's too
[46:17.310 --> 46:18.790]  moist.
[46:18.790 --> 46:21.950]  Another problem you could run into during the drying and curing process is the buds
[46:21.950 --> 46:24.030]  could get too dry.
[46:24.030 --> 46:29.350]  If your buds get too dry in those containers, a trick you can do is to go pull a few leaves
[46:29.350 --> 46:32.230]  from your growing plants.
[46:32.230 --> 46:35.870]  If you've got a flower room, you probably need to defoliate a little bit and pull some
[46:36.550 --> 46:38.750]  leaves off those flowering plants anyway.
[46:38.750 --> 46:44.950]  Go get, I would say four to six large leaves per Rubbermaid container is more than enough
[46:44.950 --> 46:49.110]  to rehydrate some semi-dry buds in one of those containers.
[46:49.110 --> 46:53.670]  We tried to put too much in there and it made it really wet really quickly.
[46:53.670 --> 46:58.230]  Four to six leaves is more than enough to re-moisten an entire Rubbermaid container
[46:58.230 --> 47:00.990]  if you left it open just a little bit too long.
[47:00.990 --> 47:04.590]  If you got it down into that Colorado crunch zone, then you've done fucked up and you might
[47:04.590 --> 47:05.590]  not be able to fix it.
[47:05.790 --> 47:08.590]  We'll talk about that a little bit later in the episode.
[47:08.590 --> 47:12.950]  If you didn't go too far, just grab four or five, maybe six leaves, throw them in the
[47:12.950 --> 47:16.950]  container and seal it up for just a few hours, then go check on it.
[47:16.950 --> 47:20.790]  That moisture will reconstitute the buds and give you a second chance.
[47:20.790 --> 47:25.510]  I would not recommend using anything other than cannabis leaves, maybe Boveda packs,
[47:25.510 --> 47:27.510]  Boveda packs, however you like to say it.
[47:27.510 --> 47:31.430]  The Boveda packs come in 62% humidity.
[47:31.430 --> 47:34.950]  You can use those if you'd like, although I do not prefer them myself.
[47:34.990 --> 47:38.630]  I think they make a weird flavor in my cannabis buds.
[47:38.630 --> 47:42.310]  I think that using the leaves of the same plant is the best idea.
[47:42.310 --> 47:47.950]  All right, so that is basically the commercial grow version of drying and curing your cannabis
[47:47.950 --> 47:50.990]  plants on a large scale.
[47:50.990 --> 47:55.190]  Now I'm going to take a giant dab and when we get back, we will talk about drying and
[47:55.190 --> 47:59.190]  curing your cannabis on a smaller scale for the home grower.
[48:16.880 --> 48:18.040]  All right, podcast world.
[48:18.080 --> 48:21.240]  Let's get back into this dry and cure episode.
[48:21.240 --> 48:25.720]  The home grow or the connoisseur version of drying and curing your final product is a
[48:25.720 --> 48:29.520]  little bit different than the commercial grow version, but it's basically the same idea.
[48:29.520 --> 48:31.720]  We want to slow down the drying process.
[48:31.720 --> 48:33.880]  We want to get those buds to feel nice and sticky.
[48:33.880 --> 48:36.200]  We want them to smell nice and sweet.
[48:36.200 --> 48:38.520]  We want them to burn nice and smooth.
[48:38.520 --> 48:44.520]  This is how I would dry and cure my product in a small connoisseur batch.
[48:44.520 --> 48:49.120]  In a smaller grow, a home grow or a boutique grow, or maybe something I was going to enter
[48:49.120 --> 48:55.440]  into a competition, if this was going into a cup, this is how I would cure my product.
[48:55.440 --> 49:00.040]  The main difference is that I would not be using the gigantic Rubbermaid containers.
[49:00.040 --> 49:04.160]  I would use quart size, wide mouth glass jars.
[49:04.160 --> 49:05.760]  I don't want to use bigger jars.
[49:05.760 --> 49:08.560]  I feel like maybe too much moisture gets stuck in there.
[49:08.560 --> 49:11.920]  You have the same conditions that you create in those Rubbermaid containers.
[49:11.920 --> 49:14.400]  I like the smaller, more focused jars.
[49:14.440 --> 49:18.160]  Another note before we get too far, make sure you label each jar.
[49:18.160 --> 49:22.440]  If you're working with more than one strain, label the jars, not the lids.
[49:22.440 --> 49:23.760]  Lids are interchangeable.
[49:23.760 --> 49:25.400]  Be careful with this, please.
[49:25.400 --> 49:30.920]  If you're working with different phenotypes, label the jar, whatever, Arise Phenotype 2,
[49:30.920 --> 49:32.560]  Arise Phenotype 3.
[49:32.560 --> 49:36.120]  If you're running a pack of seeds or whatever, label the jars so that you know what you're
[49:36.120 --> 49:38.400]  working with.
[49:38.400 --> 49:42.280]  Basically everything up to the point of the sticks snapping is the same.
[49:42.280 --> 49:43.960]  We're waiting for the sticks to snap.
[49:43.960 --> 49:49.440]  Once the sticks snap, that's when we can start the jar curing process.
[49:49.440 --> 49:54.320]  For jar tech, I would take the snappy sticks and chop off every bud into a bucket.
[49:54.320 --> 49:58.480]  Just get all those buds off the sticks, into the bucket, throw those sticks away, get rid
[49:58.480 --> 50:01.640]  of them, do whatever you do with them, compost them, shred them up, toss them.
[50:01.640 --> 50:02.640]  Those are done.
[50:02.640 --> 50:04.200]  Then, I hand trim the buds.
[50:04.200 --> 50:06.800]  I'll do another episode all about hand trimming the buds.
[50:06.800 --> 50:11.240]  I don't like trim machines and I don't like wet trim, but I'll talk about that in the
[50:11.240 --> 50:13.000]  trimming episode that is coming up.
[50:13.040 --> 50:14.040]  I trim the buds.
[50:14.040 --> 50:18.240]  They should be dry enough by now to knock off most of the leaves with your thumbs and
[50:18.240 --> 50:19.240]  thumbnails.
[50:19.240 --> 50:24.320]  Trim them up pretty closely with your thumb, then put the trimmed buds into the glass jars
[50:24.320 --> 50:28.280]  that we talked about, the wide-mouth quart-sized mason jars.
[50:28.280 --> 50:32.240]  Fill those jars about 75% to 90% full.
[50:32.240 --> 50:37.440]  If your buds are fluffier, if your buds are bigger, you're only going to be able to get
[50:37.440 --> 50:39.880]  75% in there because of all the air space.
[50:39.880 --> 50:40.880]  I get it.
[50:40.880 --> 50:41.880]  It makes sense.
[50:41.880 --> 50:46.320]  If you've got smaller buds, you can put up to 90% in there, but do not press them down
[50:46.320 --> 50:49.800]  into the jar and don't overpack them and don't squish them in.
[50:49.800 --> 50:52.920]  You just want them lightly sitting in there.
[50:52.920 --> 50:56.000]  Once the jar is full, I add the lid and I set a timer.
[50:56.000 --> 51:02.000]  I like to check my buds about four hours after being sealed up for the first time.
[51:02.000 --> 51:05.120]  This first check lets me see how much moisture is trapped in my buds.
[51:05.120 --> 51:10.240]  If the inside of the jar is extremely humid, I'll just leave that lid off for an hour or
[51:10.240 --> 51:11.240]  more.
[51:11.600 --> 51:15.840]  A year ago, we were talking about four to six, maybe eight hours, maybe even 10 hours.
[51:15.840 --> 51:21.000]  Those are much larger plants, much larger batches, and much larger containers.
[51:21.000 --> 51:23.000]  There is much more moisture in there.
[51:23.000 --> 51:28.360]  For these smaller jars, I only want to leave it off for a little bit at a time.
[51:28.360 --> 51:32.880]  These smaller batches can get away from you quite quickly, so pay more attention.
[51:32.880 --> 51:33.880]  Open it up.
[51:33.880 --> 51:34.880]  See how humid it is.
[51:34.880 --> 51:38.640]  If it's really humid and really squishy, you're going to want to leave it open for an hour,
[51:38.640 --> 51:39.820]  maybe a little bit more.
[51:39.820 --> 51:42.140]  Just keep checking on it and do not forget about it.
[51:42.140 --> 51:43.140]  Set another timer.
[51:43.140 --> 51:48.580]  If the humidity has not made the buds squishy again, I'll leave the jar open for only 15
[51:48.580 --> 51:53.340]  to 30 minutes to let the moisture out and that old funky air out of the jar.
[51:53.340 --> 51:55.780]  Then it'll refresh with fresh air in there.
[51:55.780 --> 51:59.740]  Then I'll reseal the jar and let it sit for another four to six hours.
[51:59.740 --> 52:01.580]  I set a timer for this.
[52:01.580 --> 52:06.300]  Then in four to six hours, I pop that jar and I gently stir the buds around and check
[52:06.300 --> 52:09.020]  the aroma that comes out of there.
[52:09.020 --> 52:16.220]  What I'm looking for when I smell is an aroma of ammonia or funk.
[52:16.220 --> 52:17.220]  You'll notice it.
[52:17.220 --> 52:20.220]  Your nose will crinkle up and your eyes will make a weird squint and you'll go, fuck, I
[52:20.220 --> 52:21.220]  fucked up.
[52:21.220 --> 52:22.700]  I'm looking for that aroma.
[52:22.700 --> 52:24.300]  I'm hoping that's not present.
[52:24.300 --> 52:25.300]  It shouldn't be.
[52:25.300 --> 52:28.820]  Also, I'm looking to see if it smells less wet.
[52:28.820 --> 52:34.500]  Has it gone from that wet, juicy hay smell to more of that cured chronic smell that I'm
[52:34.500 --> 52:35.500]  looking for?
[52:35.500 --> 52:38.820]  Because it'll start doing it quickly and then it will improve over time.
[52:39.620 --> 52:40.620]  I'm cracking the jar open.
[52:40.620 --> 52:43.500]  I'm looking to see how much humidity is in there.
[52:43.500 --> 52:44.980]  I stir them around.
[52:44.980 --> 52:50.340]  If the buds seem damp or extra spongy at this point, I'll dump them out of the jar and let
[52:50.340 --> 52:54.000]  them sit for a few minutes until that excess moisture evaporates.
[52:54.000 --> 52:57.180]  You don't want the buds super soggy and sealed in a jar.
[52:57.180 --> 52:59.860]  You don't want the buds super wet and pressed together in a jar.
[52:59.860 --> 53:04.660]  If they still feel wet and spongy on the outside, I'll dump them out and let them sit out for
[53:04.660 --> 53:07.060]  a few minutes until they feel dry on the outside.
[53:07.660 --> 53:10.740]  When you squeeze them, they're mushy still a little bit.
[53:10.740 --> 53:13.700]  You just want them dry on the outside, wet on the inside is what you're going for at
[53:13.700 --> 53:14.700]  this point.
[53:14.700 --> 53:18.980]  If the buds are sticking together, then I dump them out completely and let them dry
[53:18.980 --> 53:21.140]  more before putting them back in.
[53:21.140 --> 53:24.220]  Now we want a little bit of moisture in these buds.
[53:24.220 --> 53:28.380]  The little bit of moisture is going to make the drying and curing process happen, but
[53:28.380 --> 53:32.180]  we don't want enough moisture to cause mold and funk.
[53:32.180 --> 53:36.500]  We burp the jar about every four hours to make sure we don't seal too much water in
[53:36.500 --> 53:38.360]  the jar for too long.
[53:38.360 --> 53:42.500]  We let some of the curing process happen by opening the jar, letting that old gas out
[53:42.500 --> 53:46.420]  that contains the chlorophyll, that contains the sugars, that gas evaporates out of the
[53:46.420 --> 53:47.420]  jar.
[53:47.420 --> 53:49.460]  We replace it with fresh air, we seal it back up.
[53:49.460 --> 53:52.300]  Then when we seal it, it's allowed to restart the curing process.
[53:52.300 --> 53:57.260]  It'll start deteriorating and eating up more of that chlorophyll, more of those excess
[53:57.260 --> 54:01.460]  minerals and sugars inside of there, and they will start evaporating out of your buds.
[54:01.460 --> 54:03.060]  You'll get them out.
[54:03.060 --> 54:04.860]  Let's get back on track here.
[54:04.860 --> 54:09.580]  After the first couple of days, you can slowly increase your burp intervals as the buds get
[54:09.580 --> 54:10.580]  drier.
[54:10.580 --> 54:14.900]  You may only need to open these jars up every six to eight hours after a little bit.
[54:14.900 --> 54:18.260]  The time that you leave them open will also decrease.
[54:18.260 --> 54:21.300]  Maybe after a few days, you pop it open every eight hours.
[54:21.300 --> 54:24.020]  Maybe you pop it open right before you go to work, you leave it open while you're brushing
[54:24.020 --> 54:26.780]  your teeth and getting your shoes on, and then you close it up and you leave.
[54:26.780 --> 54:28.460]  You come back from work and then you pop it open.
[54:28.460 --> 54:30.260]  It's probably been 10 hours by now.
[54:30.260 --> 54:33.220]  Pop it open again, stir the buds around, make sure nothing's gone funky.
[54:33.220 --> 54:36.460]  If nothing's gone funky, just leave it open for five minutes.
[54:36.460 --> 54:39.420]  Let that air exchange in there, seal it right back up.
[54:39.420 --> 54:42.260]  Then you can go 10 hours and you know you're safe at 10 hours.
[54:42.260 --> 54:43.580]  See what happens at 11 hours.
[54:43.580 --> 54:44.820]  See what happens at 12 hours.
[54:44.820 --> 54:46.900]  Just start stretching it every day.
[54:46.900 --> 54:51.100]  By the end of two weeks, you'll just be popping these jars open once a day.
[54:51.100 --> 54:54.220]  You'll check it out, you'll give it a good smell, and you'll say, that is so close, and
[54:54.220 --> 54:55.780]  then you can close it back up.
[54:55.780 --> 55:01.420]  By the end of two weeks, these buds will be beautifully, beautifully cured.
[55:01.420 --> 55:07.340]  The buds should be sticky on the outside and spongy, but not dry and crumbly.
[55:07.340 --> 55:10.460]  They should almost have a little bit of squeeze, a little bit of give to them, and then stick
[55:10.460 --> 55:11.460]  to your fingers.
[55:11.460 --> 55:16.860]  They shouldn't fall apart and just crumble up like a lot of the Colorado dispensary bud
[55:16.860 --> 55:18.060]  does unfortunately.
[55:18.060 --> 55:21.780]  The reason for that, you guys, is because it's sitting on the shelf out there all day.
[55:21.780 --> 55:24.660]  They're opening up those jars and showing it to you all day.
[55:24.660 --> 55:26.540]  That stuff is just getting dry.
[55:26.540 --> 55:28.100]  That's the problem with the Colorado Crunch.
[55:28.100 --> 55:29.260]  I apologize for that.
[55:29.260 --> 55:33.060]  The growers work hard to get it proper, and then it's sent to the dispensary and left
[55:33.060 --> 55:37.820]  in those jars, and the bud tenders don't do us justice, so I apologize.
[55:37.820 --> 55:40.700]  On day one, I chop the buds off the sticks and I trim them up.
[55:40.700 --> 55:43.180]  Then I fill the jars about 90% full.
[55:43.180 --> 55:44.460]  Then I seal the jar.
[55:44.460 --> 55:46.740]  I check the jar in about four hours.
[55:46.740 --> 55:50.380]  I open it long enough for the excess moisture to come out of the jar.
[55:50.380 --> 55:51.500]  That could be a little while.
[55:51.500 --> 55:53.620]  That could be a short amount of time.
[55:53.620 --> 55:56.980]  It kind of depends on how wet the buds were when you jarred them up.
[55:56.980 --> 55:58.660]  Then I check it again in about four hours.
[55:58.660 --> 56:01.700]  I shuffle the buds if I feel that's necessary.
[56:01.700 --> 56:03.940]  It's likely necessary.
[56:03.940 --> 56:07.580]  Then I check again in four to six hours and leave open as necessary.
[56:07.580 --> 56:10.220]  If they're getting too sticky again, I'll dump them out.
[56:10.220 --> 56:12.940]  You'll want to check as soon as you wake up the next day.
[56:12.940 --> 56:15.900]  The burp process will slow down over the next few days.
[56:15.900 --> 56:20.180]  You want it to take as long as possible without allowing mildew to develop.
[56:20.180 --> 56:21.260]  You want to slow it down.
[56:21.260 --> 56:22.620]  The longer it takes, the better.
[56:22.620 --> 56:26.800]  The more time that it takes for that moisture to come out, the more opportunity you have
[56:26.800 --> 56:29.080]  for chlorophyll to be removed.
[56:29.080 --> 56:33.840]  The only thing to worry about, very similarly to the Rubbermaid technique, is trapping too
[56:33.840 --> 56:40.640]  much moisture in your containers for too long and causing yourself mildew or funky flavors.
[56:40.640 --> 56:44.540]  If you locked your buds up in these jars long enough to where you got like white moldy webbing
[56:44.540 --> 56:48.320]  growing on there and it looks like some cotton coming out, you fucked up and didn't pay any
[56:48.320 --> 56:50.660]  attention, throw that away.
[56:50.660 --> 56:54.400]  If your jar is starting to get an ammonia smell, you've sealed it up too long, you've
[56:54.400 --> 56:57.480]  got to open it more frequently and longer next time.
[56:57.480 --> 56:59.400]  You may be able to save it, but it's unlikely.
[56:59.400 --> 57:02.840]  The only thing you can do is leave it open and let it dry out and hopefully that smell
[57:02.840 --> 57:04.400]  will go away.
[57:04.400 --> 57:07.280]  So don't leave it closed too long.
[57:07.280 --> 57:08.560]  Don't let mildew happen.
[57:08.560 --> 57:10.000]  Don't let that funky smell happen.
[57:10.000 --> 57:14.120]  Once you're past the first few days, you'll kind of be out of the mildew danger zone,
[57:14.120 --> 57:15.800]  but still be careful.
[57:15.800 --> 57:21.200]  Also keep your jars in a cool, dark place while you're curing your buds, but also don't
[57:21.200 --> 57:24.560]  leave them somewhere where you're going to forget about them.
[57:24.560 --> 57:30.000]  Also here in Colorado, I'm running a swamp cooler in the main portion, the living area
[57:30.000 --> 57:31.700]  of my house.
[57:31.700 --> 57:34.380]  Don't go dump your buds on the table near the swamp cooler.
[57:34.380 --> 57:35.980]  This is not going to do you any good.
[57:35.980 --> 57:39.040]  This is going to reconstitute them and make them wetter.
[57:39.040 --> 57:40.040]  Think about wetter.
[57:40.040 --> 57:41.320]  Is that a word?
[57:41.320 --> 57:45.400]  Anyway, think about the environment where you were drying and curing your products.
[57:45.400 --> 57:49.280]  If you're going to dump them out on the table and an attempt to get them more dry, make
[57:49.280 --> 57:53.760]  sure that the room is drier than the bud or it's not going to work.
[57:53.760 --> 57:55.360]  Just keep that kind of stuff in mind, you guys.
[57:55.360 --> 57:56.420]  Think about your environment.
[57:56.420 --> 57:58.100]  Think about your products.
[57:58.100 --> 58:02.180]  So I feel like we've got a basic understanding of how to cure our buds.
[58:02.180 --> 58:08.680]  Now let's get into the technical talk about why we do it and what's technically happening.
[58:08.680 --> 58:13.080]  So curing your buds properly makes your buds burn and smoke smoothly, and it also brings
[58:13.080 --> 58:15.880]  out the best flavors and aromas.
[58:15.880 --> 58:19.560]  So drying and curing will also increase your potency.
[58:19.560 --> 58:20.560]  Now why?
[58:20.560 --> 58:21.560]  Why does that happen?
[58:21.560 --> 58:23.560]  Because your buds contain chlorophyll.
[58:23.560 --> 58:29.000]  Chlorophyll is what gives your buds that harsh smoke and hay-like flavor, that burn-your-throat
[58:29.000 --> 58:30.560]  kind of funky flavor.
[58:30.560 --> 58:31.860]  That's from too much chlorophyll.
[58:31.860 --> 58:34.080]  That's from excess minerals in the plant.
[58:34.080 --> 58:38.980]  That could also be from an improper flush, but it's usually from an improper cure.
[58:38.980 --> 58:43.900]  So curing the buds will remove chlorophyll and increase your potency at the same time.
[58:43.920 --> 58:48.380]  The only way to remove chlorophyll is by turning it into a gas.
[58:48.380 --> 58:52.580]  Sealing our moist buds in a jar creates an environment that will break down the chlorophyll
[58:52.580 --> 58:54.420]  and turn it into a gas.
[58:54.420 --> 59:00.300]  Darkness, moisture, and oxygen will create a bacteria within the jar.
[59:00.300 --> 59:04.740]  That bacteria will break down the sugars and leftover minerals created by the decomposition
[59:04.740 --> 59:09.640]  of the chlorophyll, and it will turn into a vapor that can escape the jar when you pop
[59:09.640 --> 59:10.640]  it open.
[59:10.640 --> 59:13.540]  That was what I was talking about earlier when I said we pop open the jar and let the
[59:13.540 --> 59:15.060]  chemical reaction happen.
[59:15.060 --> 59:17.900]  Now this process is going to make your bud burn smoother.
[59:17.900 --> 59:19.800]  It's going to make it taste better.
[59:19.800 --> 59:24.420]  It's going to bring out the proper aromas, the proper terpene profile that you're looking
[59:24.420 --> 59:30.660]  for, and it's also going to increase the overall potency of your finished product.
[59:30.660 --> 59:35.300]  Now if you really want to nerd out and dial this in and create a connoisseur product,
[59:35.300 --> 59:39.040]  find yourself a hygrometer that fits inside of your mason jar.
[59:39.040 --> 59:41.880]  There are a couple available that fit right inside the mason jar.
[59:41.880 --> 59:44.840]  You can press it up to the front of the jar to where you can read the display without
[59:44.840 --> 59:46.600]  opening the jar.
[59:46.600 --> 59:51.540]  Find yourself hygrometers that will fit in the jar, and here are some suggestions on
[59:51.540 --> 59:56.280]  when to open and close your jars and how to dial them in perfectly.
[59:56.280 --> 01:00:02.200]  If your buds feel wet or if they are above 70% humidity, if the little display on that
[01:00:02.200 --> 01:00:08.200]  hygrometer inside of your jar reads above 70% humidity, you need to dump those buds
[01:00:08.200 --> 01:00:15.040]  out of the jar and let them dry until they get to 65 to 70% humidity.
[01:00:15.040 --> 01:00:18.360]  When you dump them out and you leave them somewhere that's not by the fan, that's not
[01:00:18.360 --> 01:00:21.840]  by the swamp cooler, that's not by the air conditioner, that's not by something that's
[01:00:21.840 --> 01:00:26.360]  going to drastically affect the rate of their drying, don't forget about them.
[01:00:26.360 --> 01:00:28.360]  Set a timer and go find them.
[01:00:28.360 --> 01:00:29.960]  Some of you are a little obsessive.
[01:00:29.960 --> 01:00:31.520]  You're definitely not going to forget.
[01:00:31.520 --> 01:00:34.720]  Some of you are going to take a couple of dabs and go play Fortnite and your buds are
[01:00:34.720 --> 01:00:36.180]  going to dry up to shit.
[01:00:36.180 --> 01:00:38.080]  Don't let that happen, you guys.
[01:00:38.080 --> 01:00:40.280]  If they are too humid, dump them out.
[01:00:40.280 --> 01:00:41.480]  Let them dry out a little bit.
[01:00:41.480 --> 01:00:44.440]  Get them down to 65 to 70% humidity.
[01:00:44.440 --> 01:00:48.760]  Now if your buds feel moist to the touch, if they're sticky and wet to the outside of
[01:00:48.760 --> 01:00:56.240]  the buds and the display reads 65 to 70% humidity, pop the lid off of that jar for 15 to 30 minutes
[01:00:56.240 --> 01:00:58.840]  and let a little moisture evaporate out.
[01:00:58.840 --> 01:01:04.360]  If you think they need longer than 15 to 30 minutes, let them go longer, but like I said,
[01:01:04.360 --> 01:01:07.840]  start playing Fortnite and start building shit and shooting people and forget about
[01:01:07.840 --> 01:01:10.480]  them because you don't want them to get too crunchy.
[01:01:10.480 --> 01:01:16.480]  So 15 to 30, maybe 45 minutes, maybe an hour, seal them back up, set yourself a timer to
[01:01:16.480 --> 01:01:20.520]  remember to check on them in a little bit, and now you can go play Fortnite and relax.
[01:01:20.520 --> 01:01:24.320]  Now your goal is 60 to 65% humidity.
[01:01:24.320 --> 01:01:30.900]  You want that hygrometer to read between 60 and 65% humidity and you want them dry but
[01:01:30.900 --> 01:01:31.900]  not crunchy.
[01:01:31.900 --> 01:01:36.580]  They're going to feel squishy and sticky hopefully, but they're not wet.
[01:01:36.580 --> 01:01:39.340]  You just want them dry but not crunchy.
[01:01:39.340 --> 01:01:43.100]  You might need to let your buds sit out for a little bit before you roll a joint if it's
[01:01:43.100 --> 01:01:44.460]  cured perfectly.
[01:01:44.460 --> 01:01:47.160]  The display will say 60 to 65%.
[01:01:47.160 --> 01:01:50.360]  You may need to take a couple of buds out of there and set them, I just set them right
[01:01:50.360 --> 01:01:53.300]  here on the front of my computer if I'm going to roll one, it's a little warmer right there,
[01:01:53.300 --> 01:01:54.300]  just let them chill.
[01:01:54.300 --> 01:01:56.100]  They're not like in the path of the fan or anything.
[01:01:56.100 --> 01:01:57.380]  Just let them chill right here.
[01:01:57.380 --> 01:02:00.620]  That's what I'm going to roll a joint within a few minutes and just let them sit there
[01:02:00.620 --> 01:02:01.700]  just for a little bit.
[01:02:01.700 --> 01:02:04.300]  Next maybe if I'm going to go to lunch and come back and smoke a joint, I'll set them
[01:02:04.300 --> 01:02:05.980]  out right before I go to lunch.
[01:02:05.980 --> 01:02:08.500]  And then you go to lunch and then you come back and then they grind up nice and fine
[01:02:08.500 --> 01:02:11.580]  and they're still sticky, they're still juicy.
[01:02:11.580 --> 01:02:14.060]  And then your joint burns super smoothly.
[01:02:14.060 --> 01:02:18.220]  And if your joint's not burning super smooth, then you probably have too much moisture in
[01:02:18.220 --> 01:02:22.060]  there and you got to let it dry and cure just a little bit longer.
[01:02:22.060 --> 01:02:27.140]  Now if you hit that 55% or lower mark, you're entering what I call the Colorado crunch area
[01:02:27.140 --> 01:02:30.540]  and your buds are going to burn too fast and you're also losing weight.
[01:02:30.540 --> 01:02:34.140]  If you're working with more than a quarter pound there and you're drying it up, you risk
[01:02:34.140 --> 01:02:37.940]  losing a quarter of an ounce or whatever, depends on how much you let it dry.
[01:02:37.940 --> 01:02:43.340]  So if your buds get too dry, don't add anything funky to rehydrate them.
[01:02:43.340 --> 01:02:49.020]  The only thing I would use are fresh cannabis leaves and a little bit goes a long way.
[01:02:49.020 --> 01:02:53.180]  So take them out when the moisture comes back and don't let those leaves mold up in there
[01:02:53.180 --> 01:02:54.620]  and fuck up your crop.
[01:02:54.620 --> 01:02:56.220]  Check on them frequently.
[01:02:56.220 --> 01:03:01.660]  If you put wet leaves inside of either your curing jars or your packs or your fucking
[01:03:01.660 --> 01:03:06.260]  turkey bags, however you do it, make sure you take them out and don't leave them for
[01:03:06.260 --> 01:03:07.260]  too long.
[01:03:07.260 --> 01:03:09.060]  Check on them after an hour.
[01:03:09.060 --> 01:03:11.140]  One hour is more than enough.
[01:03:11.140 --> 01:03:12.340]  Go check on it.
[01:03:12.340 --> 01:03:13.420]  Set yourself a timer.
[01:03:13.420 --> 01:03:16.740]  Don't get stuck doing an Instagram live video and forget to check on your buds.
[01:03:16.740 --> 01:03:17.740]  All right.
[01:03:17.740 --> 01:03:21.940]  So it's going to take a little bit for your hygrometer to measure the humidity in the
