[00:00.000 --> 00:01.000]  Let's do it.
[21:42.520 --> 21:46.640]  We'll accept the vegetarians, but screw them. They can go outside and eat grass
[21:47.880 --> 21:52.320]  Fuck you Paula Dean. I'm gonna go outside and eat grass while your shows on and never watch your fucking show again
[21:52.320 --> 21:54.320]  I would go outside eat
[21:54.320 --> 21:56.320]  I'm not gonna go down that road in your podcast
[22:00.120 --> 22:03.600]  I've never really done a fuck you on the show. I feel almost a little bad now, but
[22:04.280 --> 22:06.720]  Suck you racist. You're not fucking rude to vegetarians
[22:07.400 --> 22:12.800]  So I do I would I send her a letter. I was like I will go outside neat grass until Giada de Laurentiis comes back on
[22:13.320 --> 22:15.800]  Yeah, didn't you have a correction?
[22:16.760 --> 22:21.260]  Okay, if you want to get to the point no banter, I didn't know that's cool. Whatever Adam
[22:21.260 --> 22:27.220]  You can drive the podcast today, bro. Hey, I wasn't trying to drive the podcast. I'm correction. You're right. You're totally right
[22:27.220 --> 22:31.220]  I in an edible and you're gonna have to keep me on track. You're gonna have to do that guys
[22:31.220 --> 22:35.420]  We've been smoking live resin. Yeah and unicorn hash
[22:37.020 --> 22:40.380]  And butt naked also known as bear naked depends on where you are
[22:41.220 --> 22:46.740]  If you don't know about the unicorn hash the live resin or the butt naked you don't even know brah that love resin the love
[22:46.740 --> 22:52.060]  Resin that's it. You heard all that shit here first on the agriculture podcast. Remember it you're gonna ask questions later
[22:52.140 --> 22:59.060]  Yeah, we've got answers a correction. I did an episode about veg growth at some point in the episode
[22:59.060 --> 23:04.640]  I said keep your veg plants on 1212. Don't fucking do that. I fucked up
[23:04.640 --> 23:07.940]  I said something wrong was me being a man and telling you I fucking said that wrong
[23:07.940 --> 23:10.300]  I'm correcting myself right now on the air where I have the chance
[23:10.300 --> 23:10.940]  I apologize
[23:10.940 --> 23:14.340]  I am the captain of this ship and I almost drove it into the wall
[23:14.340 --> 23:18.300]  I and see now I feel kind of like an asshole because I forgot it was about that
[23:18.300 --> 23:23.180]  I thought it was something else because I thought you corrected about that last week or the last podcast episode
[23:23.180 --> 23:26.460]  He did so I know that was correcting my now you're pointing out that I fucked up twice
[23:31.140 --> 23:35.460]  No, no awesome, no, I did I that's why I said I'm being a man about it
[23:35.460 --> 23:37.780]  I could just be all no fuck that. We'll just keep talking like that didn't happen
[23:37.780 --> 23:41.620]  No, we got to correct it because we're I'm the captain of this fucking pirate ship right here
[23:41.740 --> 23:44.700]  This is my ship that I'm driving and I got to guide you guys into the right way
[23:44.820 --> 23:47.820]  But we're all gonna fail together and I want you to win is why I'm doing a show
[23:47.820 --> 23:52.020]  I'm trying to improve your growing not fuck it up. Sorry. I'm trying to just the music test got a little loud for me
[23:52.660 --> 23:54.100]  But I want to make your growing better
[23:54.100 --> 23:59.220]  So yeah, my first mistake was I don't even know if I said it on the podcast or in a personal conversation
[23:59.220 --> 24:02.500]  But I mentioned the red light spectrum and I got it totally backwards
[24:02.500 --> 24:07.660]  And then my second mistake was saying to keep your vegging plants on 1212 do not do this
[24:08.100 --> 24:13.100]  Keep your vegging plants on at least 18 hours of at least 16 hours of light
[24:13.620 --> 24:15.620]  18 would be better 24 is what I do
[24:16.620 --> 24:19.140]  To be perfectly fair. You didn't say it like
[24:20.060 --> 24:21.620]  By the way, put your plants
[24:21.620 --> 24:27.460]  no, it was at the end of your sentence at the end of your lesson that the end of your ramble of
[24:28.860 --> 24:35.880]  How lights work so it's probably high. Yeah. Yeah, you would definitely back probably been doing it doing a show for an hour
[24:35.880 --> 24:39.800]  So, excuse me, I apologize, but I admit it I fucked up and I'm driving this
[24:39.800 --> 24:43.800]  But I'm just telling you from a listeners point of view tighten your shit up. I'll be buying more of these edibles
[24:43.800 --> 24:47.880]  All right, that's so good, dude. I've got this chocolate peanut chocolate peanut butter is a pothead Street
[24:48.400 --> 24:54.240]  I've got it in my mouth and it tastes so good. I'm a peanut butter fudge dude from Sonic this song that's popping up right now
[24:54.240 --> 24:56.240]  It's called hashtag and you can't get enough though
[24:57.080 --> 25:00.200]  Perfect because chocolate peanut butter and you can't get enough though
[25:01.080 --> 25:07.800]  Yeah, let me know because I'd like I said I would have definitely been like yo 11 bucks you'll be here over yeah
[25:07.800 --> 25:09.800]  I know you'll see what happens
[25:10.320 --> 25:12.320]  All right. So we did a correction. I
[25:13.600 --> 25:17.480]  Ate the edible goddamn. It's good. We should talk about Jesse's wedding reception
[25:17.480 --> 25:19.840]  I want to give a big shout out to Jesse and burn, of course
[25:20.560 --> 25:23.400]  Mr. Whit I got to meet Jesse's father
[25:24.040 --> 25:27.280]  That's a character there. Yeah, that guy is awesome
[25:27.920 --> 25:32.960]  He can party harder than you and me and then if we cloned each of us and set them next to us
[25:34.320 --> 25:38.960]  He would win the fuck out. He would doubt dab us he would out whiskey us and then he would look at us and be
[25:38.960 --> 25:45.160]  Like why are you guys so fucked up? Yeah. Yeah, he is a professional and he's a man to the man's man world
[25:45.160 --> 25:49.960]  He's a champ. So shout out. It was great meeting you. I think he listens to the show. So a big handshake. Mr
[25:49.960 --> 25:54.000]  Whit I know wedding reception was great. The bride looked beautiful the groom
[25:54.960 --> 26:00.440]  Well, he was pretty awesome so about halfway through the night he decided to wear a young lady's wife beater for the rest of the
[26:00.440 --> 26:01.240]  evening
[26:01.240 --> 26:05.600]  Each nipple stuck out just a little bit and he's quite a hairy man. So it looked great in the beard
[26:06.280 --> 26:08.940]  You looked great through the start of the night, bro
[26:08.940 --> 26:12.600]  And then once you've done to the wife beater I threw up in my mouth a little bit
[26:16.000 --> 26:20.200]  Shout out to the Garden of Weeden crew everybody showed up looking classy as a
[26:20.520 --> 26:24.960]  Motherfucker and I think if you say classy as fuck that describes him perfectly Spence looked sharp as shit
[26:25.160 --> 26:28.880]  Maddie has always looked beautiful. Big Mike was fucking dressed to the nines
[26:30.080 --> 26:36.440]  Joe even brought a skateboard to skate in this cool place. And then of course my my homie sloppy looked sharp as hell
[26:36.840 --> 26:40.560]  Fung we wish you were there, bro. I don't know if you listen to the podcast Fung is out of town
[26:40.920 --> 26:45.360]  We miss you Fung. That's a somber note right there. But at the wedding reception, I didn't go to the actual wedding
[26:46.160 --> 26:51.760]  The pothead crews I was calling us wasn't we chose to just go to the after there was like a wedding and then a
[26:51.760 --> 26:54.560]  Reception and then kind of an after-party that started about 830
[26:55.320 --> 26:57.320]  once the kids bailed out
[26:57.480 --> 27:02.240]  We set up a dab bar and Spence from the Garden of Weeden and myself with also the help of Maddie
[27:02.240 --> 27:05.520]  And if I missed anybody the Garden of Weeden list of people, I'm sorry. I'm trying to do a podcast
[27:05.520 --> 27:08.520]  I got like 9,000 thoughts in my head at once. I don't mean to miss anybody
[27:08.520 --> 27:12.080]  I love all you guys at the Garden of Weeden. So rockin Nana included and even honey
[27:12.600 --> 27:17.560]  So Spence and Maddie and I were pretty much giving out dabs to the entire wedding party
[27:17.560 --> 27:20.240]  that was over 21 and stuck around after the
[27:21.040 --> 27:23.040]  the old folks and the children left
[27:23.560 --> 27:26.760]  Shit, some of the old folks got down better than the youngsters, but uh
[27:27.880 --> 27:29.480]  Did we had an email?
[27:29.480 --> 27:33.320]  We had a regular rig and we couldn't keep up with the dabs that people were
[27:33.880 --> 27:36.600]  Wanting because Jesse handed me his live resin
[27:36.600 --> 27:39.520]  He gave me a nice chunk of live resin to dab out the wedding party
[27:39.560 --> 27:43.320]  So it was my job I volunteered to go there and be the dab tender
[27:43.320 --> 27:47.360]  So we set up a little dab bar. I needed help better. Yeah. Yeah, right. Yeah
[27:47.360 --> 27:50.960]  He's like, I know you'll fucking give out good dabs and I know you had a know how to manage dab. So
[27:51.600 --> 27:55.440]  Dishing out dabs. I'm getting buzzed. I think from that my head just swirled. That was pretty awesome
[27:55.440 --> 27:58.000]  We'll take a dab here in just a minute, too. We'll slowly watch Jeff degree
[27:58.880 --> 28:00.320]  I'll start melting here
[28:00.320 --> 28:05.520]  If anybody's got that weed if you've seen that commercial that that girl smoked and she fucking melts into the couch and becomes like play-doh
[28:05.520 --> 28:07.520]  It's like a little bit of a commercial
[28:07.520 --> 28:13.280]  Melts into the couch and becomes like play-doh if you have any of that weed and or hash hit me up at I grow culture
[28:13.280 --> 28:18.400]  I'm Twitter. They're lying to you, dude. They've been lying to you. That was photoshop. They don't have the she photoshopped that chick
[28:18.400 --> 28:23.760]  Yeah, I want some of that weed dude. That looks like some great shit. It's that pink stuff in that and that
[28:25.120 --> 28:29.820]  So I think we dished out probably seven to ten grams a live resin last night to the wedding party
[28:29.820 --> 28:31.660]  Some people kept coming back and coming back
[28:32.180 --> 28:39.180]  We probably broke the dab record for Pueblo County in one building at one time with a certain amount of people
[28:39.180 --> 28:41.180]  I don't know what the fucking
[28:42.100 --> 28:45.020]  Dude we we won I'm guessing no team
[28:45.620 --> 28:51.060]  On an average day and people are gonna shit their pants. I take 25 dabs. No problem on an average day
[28:52.060 --> 28:54.140]  Maybe 30 or 40 on a heavy dab day
[28:54.660 --> 29:01.140]  I've gone to secret cups and we've had to judge 42 samples and I've done those all in one day and was okay and went
[29:01.140 --> 29:07.020]  Back for seconds on a couple. So I'm I'm in the 25 to 50 dabs per day range, which I don't know if that's that
[29:08.300 --> 29:09.660]  and
[29:09.660 --> 29:12.440]  When you see the size of dabs he does it is a lot
[29:13.300 --> 29:17.700]  So and what's odd is all I'll wake up and I'll rock for a few hours before I take a dab
[29:17.700 --> 29:21.420]  I try to do a couple things like I try to get food and water in my body and fucking check my email
[29:21.420 --> 29:24.740]  I'm over here. I get to dab dab in a clock at night and you yeah
[29:24.740 --> 29:29.940]  I haven't taken a dab because it will if you take that if you get up a reasonable time somewhere between 8 and 10
[29:29.940 --> 29:34.060]  You know do your day get some food in you get functional get your blood moving
[29:34.060 --> 29:40.060]  It don't take a dab till 7 10 in the afternoon or in the evening you get fucking higher than you would so yeah, but
[29:40.620 --> 29:44.540]  What I was gonna say is I wait until like 6 or 7 or 4 20 lately
[29:44.540 --> 29:46.300]  It's been too hot to get dabbed out all day
[29:46.300 --> 29:51.100]  So you gotta wait until fucking 6 and the Sun starts going down and then by 9 you can get dad the fuck out
[29:51.420 --> 29:53.420]  Then I'll take fucking
[29:54.020 --> 29:59.100]  7 dabs per hour. I'll sit down and take 6 dabs in succession, you know in 20 or 30 minutes
[29:59.100 --> 30:02.420]  You're shaking your head because I ruin you doing it right. Yeah, I just I
[30:03.580 --> 30:05.580]  Feel bad for you, you know
[30:06.660 --> 30:09.420]  That's all you know, I'm sitting here shaking my head
[30:09.420 --> 30:13.660]  I imagine if I was doing bong hits a flower that and see that but that's what I'm thinking though is
[30:14.420 --> 30:19.100]  You know, I smoke flower most of time so it's not sitting there smoking, you know
[30:19.620 --> 30:23.720]  10 bong hits a flower where if I'm just sitting there smoking by myself, it's to
[30:24.340 --> 30:27.420]  Then another four or five hours later or two more, you know
[30:27.700 --> 30:33.220]  So I get what you're saying I I go slower with the dabs and I do with the flower so
[30:34.420 --> 30:39.720]  Less your lungs probably your lungs are like any anything. I think a smoker too
[30:39.720 --> 30:41.820]  So they've got a certain amount of inhales and exhales
[30:41.820 --> 30:47.340]  Your lungs are going to give you before they start to burn out just like any sort of equipment or a fucking device or moving
[30:47.340 --> 30:49.900]  country anything that moves is going to break eventually and
[30:50.620 --> 30:53.460]  If I've only got 72 billion ins and outs
[30:53.460 --> 30:57.740]  I'd rather spend half of those on a dab than three-quarters of them trying to smoke herb
[30:58.460 --> 31:02.840]  Maybe I should just get half of those on oxygen at least but you know what? I mean? I'm turning
[31:02.840 --> 31:07.920]  Hey, no, I get what you're saying and you know, it's understandable my vapor to smoke ratio
[31:07.920 --> 31:10.720]  hey tonight would have been the night that we would have done that event at the
[31:12.540 --> 31:17.500]  Bar owner give an apology to everybody that was excited about that. I myself was excited me too. There were some
[31:18.060 --> 31:22.260]  bureaucracy discrepancies and some stuff that happened and I'm no longer a member of the
[31:22.940 --> 31:27.860]  Citizens for the responsible regulation of cannabis. I don't know if that even exists anymore to tell you the truth. I've backed out of that
[31:28.820 --> 31:32.780]  Just gonna stick with being a breeder and a podcast host and doing what I know. I'm good at
[31:32.780 --> 31:38.480]  I don't like the I used to go to City Council meetings and stuff when I was with it another dispensary group
[31:38.480 --> 31:42.580]  I don't like being in that realm. That's a little uncomfortable to me. I
[31:43.100 --> 31:49.820]  Don't know. I'd rather just it's one thing going there when you have to you know, but when you know, you're just volunteering
[31:50.820 --> 31:54.740]  Voluntarily going there and it still feels like court. Yeah
[31:55.620 --> 32:01.700]  Once you've been to court going in the courtroom type building. It still feels like court. I don't you're just they're judging you
[32:01.700 --> 32:04.660]  Oh completely. Yeah, and they don't I don't feel I
[32:05.220 --> 32:10.120]  backed out of going to those meetings because I felt like I was a hindrance to the group because I'm just a cliche looking
[32:10.120 --> 32:13.260]  Pied and I didn't speak. Anyway, we had spokespeople for the group
[32:13.260 --> 32:18.380]  So I just quit go and you want to know the worst thing that I think about courtrooms is can't wear a hat
[32:19.380 --> 32:23.780]  Yeah, so, you know your long hair you can't hide it from anyone
[32:24.900 --> 32:28.780]  Yeah, you can't hide my dreadlocks. Anyway, but there's no hiding. Yeah, you know
[32:28.780 --> 32:33.860]  So yeah, I was talking about the wedding reception and we got way sidetracked, but that's cool. We're just having a fun episode this time
[32:34.860 --> 32:36.460]  sidetracked ab track
[32:36.460 --> 32:39.060]  We're just having a fun episode. We're not gonna try to do a whole bunch of stuff
[32:39.060 --> 32:41.620]  I may tell you how I dry trimmed some of this weed maybe
[32:42.940 --> 32:47.860]  Just gonna tease about that. The wedding was awesome. I saw a lot of people that I haven't seen in a long time
[32:48.460 --> 32:50.460]  Shout out to bullheaded shout out to
[32:50.940 --> 32:54.780]  Khan Khan performed without booger. I don't know why booger didn't show up, but he still killed it by himself
[32:57.300 --> 33:00.580]  Despicable dialects wrapped who else performed. I know I'm gonna miss somebody
[33:01.700 --> 33:04.860]  Jesse Whit grabbed a microphone and wrapped that was pretty entertaining
[33:06.660 --> 33:09.440]  Yeah, a lot of people did a lot of cool things and it was a great time
[33:09.500 --> 33:12.700]  I'm gonna put in the request for next growth lesson then
[33:14.180 --> 33:16.020]  Freestyle
[33:16.020 --> 33:19.700]  Though all the music's fading out get the music back. Let's get it going. Yeah
[33:21.100 --> 33:22.620]  There it is
[33:22.620 --> 33:26.140]  Yeah, the wedding was awesome. It went off without a hitch. Everything was fun. Everybody got home safely
[33:26.140 --> 33:28.220]  We made sure everybody got home safe because they got kind of silly
[33:28.340 --> 33:29.820]  Some people got a little bit goofy
[33:29.820 --> 33:33.460]  Just want to make sure to give shout outs to the Garden of Weed and crew for running the dab bar like a champ
[33:33.460 --> 33:34.860]  Shout outs to those guys for getting married
[33:34.860 --> 33:38.940]  We'll get off the topic of them getting married. I don't have a lot more left to say about it live resin
[33:38.940 --> 33:40.780]  I keep talking about live resin
[33:40.780 --> 33:47.580]  Everybody's tweeting me messaging me. What is it? WTF live resin? What's great. It tastes great, right less filling
[33:48.460 --> 33:50.460]  It's like a very light
[33:51.340 --> 33:57.700]  Light, let's take a dab love resin. It's funny. Ah, I told I texted I sent Adam a text message saying hey, bro
[33:57.700 --> 34:00.120]  I got some love resin what I actually meant to say it was live resin
[34:00.120 --> 34:02.640]  And so he's been laughing at that ever since that's what it is
[34:02.780 --> 34:06.320]  I'm gonna take and claim take a pretty chunky dab of some live resin right now
[34:06.880 --> 34:11.280]  Some friends that were kind enough to gift me a little bit of live resin super awesome I
[34:12.480 --> 34:17.560]  Hate the torch or heat the nail a little bit less heat and make sure to use the carb cap with the live resin
[34:17.560 --> 34:21.700]  I don't want to burn it up because it's a lot more turpy. It's more turpid oids, you know about turps
[34:21.700 --> 34:25.320]  That's what mostly gives you the flavor. They're flavonoids and paleo. It's that
[34:26.360 --> 34:31.840]  Contribute to that but mostly it's the turpid oids that you want to taste and it's a very clean
[34:32.840 --> 34:35.720]  Yeah, you can see the cleanliness and the clarity in the hash
[34:35.720 --> 34:38.120]  I think I might have talked about it a little on the show. Here we go doing a dab
[34:46.860 --> 34:51.660]  Yeah
[34:52.020 --> 34:58.380]  That was a dab of live resin here take that part tick torch oh
[35:01.420 --> 35:06.740]  My goodness shout out to task rock for making super awesome nails and carb caps
[35:07.220 --> 35:09.740]  Highly educated is not a sponsor of the show, but they should be
[35:10.340 --> 35:12.340]  One day they will be I just got a
[35:12.540 --> 35:14.540]  Task and I've been talking
[35:14.700 --> 35:19.140]  Shout out to highly educated. I'm sorry. I just think of me and dad. So words are complicated right now
[35:19.140 --> 35:23.380]  I'm trying to say that you can pick up highly educated products. He did a little more bro. Sorry
[35:23.380 --> 35:29.740]  I don't even have your dad ready. I'm over here rambling. You can pick up highly educated products at aqua lab technologies comm
[35:29.740 --> 35:36.980]  I recommend if you've got a rig with an 18 or 14 millimeter male joint sticking out of it. I recommend
[35:37.540 --> 35:40.580]  The duality nail that's probably the way to go
[35:41.420 --> 35:47.460]  There it's gonna fit if you've got a 10 millimeter. There is a 10 millimeter dome list that works perfectly as well
[35:48.540 --> 35:54.020]  Catching my breath and get yourself a carb cap carb caps are the new shit and they're awesome
[35:56.420 --> 35:59.820]  You don't have to heat your nail as hot you start you drop your dab in there
[35:59.820 --> 36:03.800]  You let it puddle up a little bit you cover it with the carb cap and it requires less heat
[36:03.800 --> 36:05.900]  So you choke less and your dab tastes a little bit better
[36:06.620 --> 36:10.260]  You'll need a little more heat next time bro. That wasn't too bad. You got a dad but a little more
[36:10.260 --> 36:11.900]  He'll be better for you
[36:11.900 --> 36:16.620]  Let's try not to heat it up because of what you just said. Yeah, there's that you'll find it
[36:16.620 --> 36:19.660]  I usually I counted the ten. I usually heat it for you when you're here, but
[36:20.480 --> 36:22.020]  Once your nail gets a little bit older
[36:22.020 --> 36:25.300]  You'll need to give it a little bit more heat is something that you guys will learn once it starts getting
[36:25.580 --> 36:29.140]  Too too worn out. It's time to replace it by the truth
[36:30.340 --> 36:34.680]  Shout out to task. I'm giving him a big ol ad. He doesn't even sponsor the show. He's just task is a badass
[36:34.720 --> 36:37.220]  He's a he's a pioneer for the community. It's done a lot of shit
[36:37.220 --> 36:40.600]  He's a hell of a rapper to were listening to in the background also, so
[36:41.280 --> 36:42.840]  multitasker
[36:42.840 --> 36:44.840]  multifaceted ingenious man
[36:45.640 --> 36:47.160]  live resin
[36:47.160 --> 36:49.340]  You're ready for this live resin
[36:50.400 --> 36:52.400]  pretty much
[36:52.680 --> 36:57.100]  Take a plant that is growing chop it down at harvest time. It's been flushed
[36:57.100 --> 37:00.240]  You know, I flush in here 10 or 14 days chop it down. It's harvest time
[37:01.800 --> 37:03.800]  Maybe a couple of days ago
[37:04.040 --> 37:06.120]  You went through and pulled off all the big fan leaves
[37:06.120 --> 37:06.720]  All right
[37:06.720 --> 37:10.320]  If not, hang the plant upside down to take off all the fan leaves right now
[37:10.560 --> 37:12.760]  Let it dry for like and you know
[37:12.760 --> 37:17.140]  Some guys are leaving the fan leaves on I should mention that some guys leave the fan leaves on especially frosty strain
[37:17.140 --> 37:19.140]  Let it dry up for like three to four hours
[37:19.360 --> 37:24.880]  Then chop it up into buds and other guys are this is one method I've seen and it varies a little bit
[37:24.880 --> 37:30.240]  But this is basically it chop the buds off the sticks. So you just have the bud buds and leaves
[37:30.840 --> 37:35.760]  You know, you got like a fucking five gallon bucket or so, whatever put that in a freezer
[37:35.760 --> 37:39.320]  If you need to use bags put them in bags and put them in your normal freezer. We've got a fancy freezer
[37:39.320 --> 37:45.680]  We'd be using so freeze your buds get them nice and frozen. They've been putting them in a deep freeze is what I've been seeing
[37:46.440 --> 37:49.160]  Then it's ran through a closed-loop system
[37:50.360 --> 37:55.120]  I'm not there for that part most of the time. No, I'm not a hash maker dried and cured
[37:55.200 --> 37:59.680]  No fresh you cut down the plants. Okay. Good question
[37:59.680 --> 38:01.680]  I'll emphasize that again you cut them down
[38:01.680 --> 38:06.860]  You let them hang for like three to four hours and take off the leaves and then freeze them
[38:07.400 --> 38:13.520]  Okay, that's all they hang to dry right boom frozen chop down frozen and then blasted in the
[38:14.200 --> 38:16.200]  closed-loop system
[38:16.200 --> 38:21.880]  Taken out of the closed-loop system and vacuum purge really really gently and I'm not the hash maker
[38:21.920 --> 38:27.680]  This is the process I have observed and gathered from hanging out with all of my friends that are extract artists
[38:27.680 --> 38:31.120]  all right, that's that's the basics, you know, don't don't rush out and
[38:32.840 --> 38:38.880]  You most people and I sound like an asshole most people don't have access to the machine you need to do this
[38:39.120 --> 38:43.320]  You're not gonna have the machine. There are a couple of specific machines that you need to do this
[38:43.320 --> 38:48.760]  There are only a couple brands and I don't know exactly which to everybody would recommend to fight over
[38:48.760 --> 38:53.840]  So if one of them wants to sponsor the show hit me up. We'll start talking about your machine on the show
[38:53.840 --> 38:57.160]  So maybe someone close to us maybe where would they even?
[38:57.880 --> 39:04.240]  Start to look once this this develops where would they look for a dim Denver? Yeah, Denver's the only place
[39:04.240 --> 39:08.560]  I know if you can get live resin right now. Okay, there was and it's gone now
[39:08.560 --> 39:14.000]  So I'm sorry guys, but it was there it went fucking quickly. There was tangy live resin at the clinic
[39:14.000 --> 39:21.000]  I was 250 bucks for three grams for one of our friends that bought some I think that's $85 a gram is roughly what that
[39:21.480 --> 39:23.760]  But it's you got to thank your pan for the machine
[39:24.560 --> 39:26.720]  Well, and it's kind of the hype
[39:27.560 --> 39:32.480]  That's part of I mean, how many people have you seen on Facebook or anywhere?
[39:32.620 --> 39:38.120]  Yeah, right and it's our crew pretty much the Denver crew has got it figured out the Denver crew is smoking the live resin
[39:38.320 --> 39:39.980]  I'm not sure who came up with it
[39:39.980 --> 39:45.380]  I don't have any I think I think it was giddy up is one of the first people that I ever saw smoking live resin
[39:46.480 --> 39:50.320]  but seen it online, but it didn't look I'm gonna give giddy up and
[39:51.720 --> 39:55.800]  Do I even want to say the other people so it's like giddy up Garden of Weeden
[39:56.240 --> 40:02.040]  Maybe some greener side Empire that crew I'm gonna give them credit for inventing the bare naked and the butt naked
[40:02.760 --> 40:05.340]  Right here the show pretty sure those guys invented that shit
[40:05.340 --> 40:08.760]  That was their idea giddy up was definitely one of the pioneers of that shit
[40:08.760 --> 40:11.600]  And now that I've recovered from my dab, let me tell you Wow
[40:12.600 --> 40:14.600]  Isn't that smooth?
[40:15.160 --> 40:17.800]  People are arguing that it's not cured
[40:17.800 --> 40:23.240]  So it can't be as good that the fucking weed isn't as good because it's not cured before it's blasted is the taste
[40:23.720 --> 40:25.720]  not incredible it is
[40:26.440 --> 40:28.440]  more flavorful than
[40:28.680 --> 40:30.200]  anything if
[40:30.200 --> 40:34.760]  Any any if I've had here if an apple tasted like?
[40:35.600 --> 40:38.440]  Some dank weed. This is Girl Scout cookies
[40:38.440 --> 40:43.120]  We were dabbing if you had a Girl Scout cookies flavored apples and you bit into it
[40:43.160 --> 40:47.920]  You know how apples take a second for that juice to come out of the fiber of the apple and the drip into your mouth
[40:47.920 --> 40:49.920]  Right, is that what like?
[40:50.800 --> 40:56.440]  If you had a weedle a weed apple is that what it would taste like that's what that is where compared to shatter would be
[40:56.440 --> 41:03.480]  Like buying slices from a bag. Yeah, I'm like it's already pre-cut. It's got that air on the on the okay
[41:03.480 --> 41:06.960]  It's not as we're not down great. We're not meaning to downgrade shatter. We're just upgrading
[41:07.400 --> 41:14.560]  Yeah upgrading the live resin that's all upgrade we got the upgrade that's two DS to upgrade
[41:14.960 --> 41:19.800]  Yeah, yeah for a double dose you're from the south if you got two DS and upgrade, buddy
[41:19.800 --> 41:22.760]  You've never seen that movie somebody you'll get it out there and tweet it to you
[41:22.760 --> 41:25.920]  I'm not even gonna let you know hope they do you want to shout out your Twitter address
[41:26.680 --> 41:30.740]  That's over grow the gov had over grow the gov. That's my buddy Adam over here
[41:31.540 --> 41:37.500]  He's from the south so excuse the shit that he says yeah, it should be changed to like Adam with no filter it may
[41:37.980 --> 41:41.860]  You know that's pretty good. That's Adam with no filter over there. Yeah
[41:42.740 --> 41:48.460]  Who cares or just rambling guys? I hope you're having fun on the podcast this time. I've been talking about maybe talking about
[41:49.540 --> 41:55.280]  Talking about maybe talking. I know I was waiting for you to catch. That's why I paused. Oh, dude one more thing one more thing
[41:56.280 --> 42:00.920]  Toot some horns so live resin guys. I hope we explained that enough. We're blasting fresh frozen plants
[42:00.920 --> 42:07.120]  Don't dry them blast them fresh frozen and don't sit vacuum purge it really lightly because the vacuum purge fucks up your terpenoids
[42:07.120 --> 42:09.120]  And it collapses a lot of things
[42:09.240 --> 42:16.520]  If you're doing this process you should know what I'm talking about all the vacuum purge lighter and a little longer
[42:17.040 --> 42:21.600]  Just go lighter and longer less heat don't expect to get shatter through the same process
[42:22.480 --> 42:24.480]  It's
[42:24.720 --> 42:28.720]  Some of it came out shattery some of it is what we're calling sugary, and it looks like we fucked up
[42:28.720 --> 42:34.040]  It looks like old-school hash that we fucked up, but it's almost clear it tastes. Oh my gosh, dude
[42:34.040 --> 42:40.640]  It is and that's and I'm higher from it. Yeah, it's uh it's a cleaner. I don't cough. Yeah, I don't cough from doesn't I do
[42:40.640 --> 42:44.880]  Cuz I smoke so well if I take you know I don't I don't die from it
[42:44.880 --> 42:49.080]  I don't know if I could do a half gram dab of live resin that why would you want to though because I like dropping
[42:49.080 --> 42:51.680]  Half-gram dabs of fucking regular shatter. I like that
[42:52.040 --> 42:58.080]  They're like kicking the dick kind of feeling that it gives you and I guess on my level sometimes it takes a half-gram dab
[42:58.560 --> 43:00.560]  YouTube video in the making
[43:01.200 --> 43:06.680]  How much live resin is on this little sheet right now? No you should that's not even big enough to be impressive all right yet
[43:06.680 --> 43:10.240]  Yeah, that's a lot of library. It's a fucking dude $85 a gram at the clinic. Yeah
[43:10.240 --> 43:14.880]  No, I'm gonna drop a $45 gram or $45 dab this coming from the man
[43:14.880 --> 43:17.480]  Who has burned quite a few things that I don't even want to talk about?
[43:18.480 --> 43:24.840]  I'll post that picture up. I'll post a picture somewhere. He's talking about me burning things. It was $100 bill. It was the 4th of July
[43:26.280 --> 43:28.280]  Post that picture one day somewhere
[43:29.480 --> 43:31.000]  If that's not a crime I
[43:31.000 --> 43:34.240]  Resort I was afraid to post it up because I thought that me I may get in trouble for that
[43:34.240 --> 43:39.600]  It's not it's not a crime. It's an actual form of protest. That's acceptable. It's a political protest. Yeah
[43:40.200 --> 43:44.640]  Isn't that random you guys I burned $100 bill. There's a story behind that one. There's
[43:45.200 --> 43:50.880]  Well there were $200 bill yeah, there's a story behind it so it's a really good story behind it
[43:50.880 --> 43:54.240]  It is maybe next year. I might have to edit that part out, but you never know
[43:55.640 --> 43:58.220]  And we also said somebody's last name that I may have to edit out
[43:59.160 --> 44:03.380]  I'm not gonna repeat it if you guys didn't catch it the first time then you didn't catch it
[44:03.840 --> 44:05.360]  So I'm gonna toot my own horn
[44:05.360 --> 44:12.360]  But also I'm going to recommend that you guys go and check out cannabis sativa the essential guide to the world's finest marijuana strains
[44:12.400 --> 44:18.000]  Edited by ST owner the name is stoner. This is volume 3 released by green candy press
[44:18.680 --> 44:20.680]  This book is $20
[44:20.880 --> 44:23.600]  It should be released very soon. I'm gonna go to amazon.com
[44:23.600 --> 44:28.040]  I'm not sure that it's even out yet, but when it comes out you got to get this fucking book dude because on page
[44:28.560 --> 44:32.220]  I think it's 45 or 54 I suffer from it's 54
[44:32.640 --> 44:38.800]  Page 54 there are some glorious photos of golden goat those photos are by myself
[44:39.280 --> 44:41.280]  Took those pictures. Yeah, thanks a lot
[44:41.440 --> 44:43.440]  I'm just joking I
[44:43.560 --> 44:46.160]  Actually took those pictures with a an Olympus
[44:47.760 --> 44:52.360]  What's it called now I can't remember the fucking course it's a little Olympus camera. It's not even anything fancy
[44:54.000 --> 44:57.280]  It's a Panasonic Olympus, it's just a little 16
