[00:01.920 --> 00:03.800]  What's up, Podcast World?
[56:41.020 --> 56:43.380]  And since I started eating better,
[56:43.660 --> 56:45.220]  I try to eat a little better and better and better
[56:45.220 --> 56:46.060]  all the time.
[56:46.060 --> 56:48.860]  But the more I take care of my body, the better I feel.
[56:48.860 --> 56:49.700]  It's so great.
[56:49.700 --> 56:50.540]  So eat your vegetables, guys.
[56:50.540 --> 56:51.380]  That's a not a-
[56:51.380 --> 56:53.260]  Don't eat as much meat.
[56:53.260 --> 56:57.740]  Even if you do eat meat, America eats way, way too much of it.
[56:57.740 --> 56:58.620]  And try to eat food.
[56:58.620 --> 57:01.900]  Quit eating like food product,
[57:01.900 --> 57:04.060]  like processed shit that kind of resembles food.
[57:04.060 --> 57:04.900]  You don't want that.
[57:04.900 --> 57:05.740]  You want food.
[57:05.740 --> 57:07.660]  If it's got like 17 ingredients in it,
[57:07.660 --> 57:08.820]  that's not food anymore.
[57:08.820 --> 57:11.420]  Yeah, look for the fewer ingredients
[57:11.460 --> 57:13.460]  and the easier they are to pronounce.
[57:13.460 --> 57:15.220]  Yeah, yeah.
[57:15.220 --> 57:19.700]  All those ooktoses and extoses and oodle-a-mates-ins.
[57:19.700 --> 57:21.940]  None of that shit is good for you.
[57:21.940 --> 57:23.020]  All right, we're kind of rambling now.
[57:23.020 --> 57:25.380]  How about we wrap up a podcast
[57:25.380 --> 57:27.700]  and we'll look forward to talking to you guys
[57:27.700 --> 57:29.860]  in about seven days.
[57:29.860 --> 57:30.860]  Where's the end?
[57:30.860 --> 57:32.860]  I've got that thing I read at the end of the show
[57:32.860 --> 57:34.100]  and I can't find it, guys.
[57:34.100 --> 57:35.580]  What am I going to do?
[57:35.580 --> 57:36.420]  I'm going to have to ad-lib.
[57:36.420 --> 57:37.260]  I think I saw it.
[57:37.260 --> 57:38.460]  There's the paper I need.
[57:38.460 --> 57:40.460]  All right, guys, don't forget to follow Jesse
[57:40.460 --> 57:41.580]  on Instagram and Twitter.
[57:41.580 --> 57:43.340]  It's at jessegrowsog on Twitter.
[57:43.340 --> 57:45.340]  It's jessegrows on Instagram.
[57:45.340 --> 57:47.940]  Make sure you follow iregenetics on Instagram.
[57:47.940 --> 57:50.660]  Make sure you follow igrowculture on Twitter,
[57:50.660 --> 57:52.180]  Instagram, and Facebook.
[57:52.180 --> 57:53.500]  That's a lot of demands.
[57:53.500 --> 57:54.540]  Just check us out if you can.
[57:54.540 --> 57:56.020]  I'll quit begging.
[57:56.020 --> 57:57.260]  Do it and do it now.
[57:57.260 --> 57:59.060]  Yes, open up your,
[57:59.060 --> 58:00.900]  we need to get some like really cool tone.
[58:00.900 --> 58:02.900]  Open up your phone and follow us.
[58:02.900 --> 58:03.740]  Let me see.
[58:03.740 --> 58:08.740]  Hey, I want to give a shout out to Yeti OG.
[58:09.380 --> 58:11.060]  That's just an awesome strain.
[58:12.780 --> 58:17.140]  I got some Yeti in middle of week five and it is fire.
[58:17.140 --> 58:17.980]  It looks great.
[58:17.980 --> 58:19.580]  That's my favorite new strain
[58:19.580 --> 58:21.460]  that I got my hands on this year.
[58:23.260 --> 58:24.100]  We'll see.
[58:24.100 --> 58:25.300]  Well, I haven't run the glue yet.
[58:25.300 --> 58:26.140]  I'm getting close to it.
[58:26.140 --> 58:27.780]  I've got them next to each other in a room.
[58:27.780 --> 58:31.860]  There's cookies, Yeti, sour diesel, grateful dog,
[58:31.860 --> 58:35.220]  two gorilla glues, and then two platinum OGs all in a row.
[58:35.220 --> 58:36.940]  So that's like my stellar row.
[58:36.940 --> 58:37.780]  Yeah, I'm like, ooh,
[58:37.780 --> 58:39.740]  let's see what these girls do next to each other.
[58:39.740 --> 58:40.940]  They're all getting fed the same thing.
[58:40.940 --> 58:42.300]  They're all under the same two lights.
[58:42.300 --> 58:43.140]  We'll see what they do.
[58:43.140 --> 58:44.980]  And they're in seven gallon pots.
[58:44.980 --> 58:45.980]  I'm getting excited.
[58:47.020 --> 58:49.380]  Just recently, I got to chuck pollen,
[58:49.380 --> 58:51.580]  took a grateful dog mail and threw his pollen
[58:51.580 --> 58:53.460]  all over a bunch of sexy ladies.
[58:53.460 --> 58:55.980]  So about January, nature's green remedies
[58:55.980 --> 58:57.020]  will be stocked up.
[58:58.540 --> 58:59.420]  Yeah.
[58:59.420 --> 59:00.980]  All right, now that the show's over,
[59:00.980 --> 59:03.580]  go to iTunes and or Stitcher, search for iGrow Culture,
[59:03.580 --> 59:05.780]  find the review section, give me a five-star rating.
[59:05.780 --> 59:06.860]  After that, type in a comment
[59:06.900 --> 59:08.780]  and let me know what you think of the podcast.
[59:08.780 --> 59:11.740]  And I will read your comments on a future episode.
[59:11.740 --> 59:13.260]  Big thanks to all the guys that have left comments.
[59:13.260 --> 59:14.100]  I appreciate that.
[59:14.100 --> 59:15.980]  The guys and gals that have left comments.
[59:15.980 --> 59:17.500]  I do appreciate that.
[59:17.500 --> 59:20.060]  Don't forget that the show is available on iTunes, Stitcher,
[59:20.060 --> 59:23.980]  and every episode is available on iRegeneticsColorado.com.
[59:23.980 --> 59:26.460]  Yes, I have been slacking off on putting videos on YouTube,
[59:26.460 --> 59:28.020]  but I will catch up pretty soon.
[59:28.020 --> 59:29.820]  I've been having too much fun lately.
[59:29.820 --> 59:31.300]  Went to Garden of the Gods with my friend
[59:31.300 --> 59:32.700]  and had a great time.
[59:32.700 --> 59:34.220]  Just enjoyed life for a couple of days.
[59:34.220 --> 59:35.060]  I'm sorry.
[59:35.060 --> 59:35.900]  I'll get back on track.
[59:35.900 --> 59:36.780]  Don't worry.
[59:37.580 --> 59:38.540]  I want to give a huge shout out to my ninja Spence.
[59:38.540 --> 59:40.340]  I want to send an extra special thanks to Jesse
[59:40.340 --> 59:41.700]  for coming to all these episodes.
[59:41.700 --> 59:42.540]  It's really cool.
[59:42.540 --> 59:43.380]  Thanks a lot, bro.
[59:43.380 --> 59:44.220]  No problem.
[59:44.220 --> 59:45.060]  I enjoy it.
[59:45.060 --> 59:45.900]  I'm having fun.
[59:45.900 --> 59:46.860]  He's getting good at it, isn't he, guys?
[59:46.860 --> 59:48.700]  You can tell he's so much more comfortable now.
[59:48.700 --> 59:51.300]  I'll sit in here like Larry King with a pen in my hand.
[59:51.300 --> 59:53.620]  We can get you some suspenders, bro.
[59:53.620 --> 59:54.460]  That'd be dope.
[59:54.460 --> 59:56.100]  Hijack my dad's closet.
[59:56.100 --> 59:57.420]  There we go.
[59:57.420 --> 59:58.260]  All right, guys.
[59:58.260 --> 59:59.100]  Thanks again for listening.
[59:59.100 --> 01:00:01.740]  Take a fat dab and give your mom a hug for me.
[01:00:01.740 --> 01:00:02.580]  Hey, baby.
[01:00:21.150 --> 01:00:22.390]  Yeah, what's up, ladies and gentlemen?
[01:00:23.070 --> 01:00:23.910]  Welcome.
[01:00:23.910 --> 01:00:25.430]  It's time for episode number 40 of the I Grow Culture
[01:00:25.430 --> 01:00:26.270]  podcast.
[01:00:26.270 --> 01:00:27.310]  I'm your host, Rasta Jeff.
[01:00:27.310 --> 01:00:29.190]  Joining me at the table again is our good buddy, Jesse.
[01:00:29.190 --> 01:00:30.030]  How you doing, bro?
[01:00:30.030 --> 01:00:31.230]  Pretty good.
[01:00:31.230 --> 01:00:34.150]  How's it going out there, podcast land?
[01:00:34.150 --> 01:00:36.510]  Podcast land, internet world.
[01:00:36.510 --> 01:00:37.710]  Hopefully you guys are listening to us
[01:00:37.710 --> 01:00:39.510]  while you're driving to work or playing in the garden
[01:00:39.510 --> 01:00:41.550]  or doing something fun.
[01:00:41.550 --> 01:00:43.190]  Whatever you're doing, I hope you got a dab
[01:00:43.190 --> 01:00:46.070]  or a fat joint or a bowl of something super dank.
[01:00:46.070 --> 01:00:48.510]  We're smoking some live resin, some bounty killer,
[01:00:48.510 --> 01:00:49.590]  or no, not bounty killer.
[01:00:49.590 --> 01:00:51.470]  It's, oh, it is bounty killer live resin.
[01:00:51.470 --> 01:00:52.310]  No, it's not.
[01:00:53.110 --> 01:00:53.950]  Sorry, I just lied.
[01:00:53.950 --> 01:00:55.950]  It's Cable 10 live resin.
[01:00:55.950 --> 01:00:57.350]  Stuff is tasty.
[01:00:57.350 --> 01:00:58.910]  Good, big shout out to the dude that grew it.
[01:00:58.910 --> 01:00:59.750]  What's up, Ryan?
[01:00:59.750 --> 01:01:00.590]  Nice work.
[01:01:00.590 --> 01:01:01.630]  And an extra special shout out to the guy
[01:01:01.630 --> 01:01:03.430]  that blasted, extracted it for us.
[01:01:03.430 --> 01:01:05.590]  This stuff is super tasty.
[01:01:05.590 --> 01:01:09.070]  Who would imagine that the iRegenetics guy
[01:01:09.070 --> 01:01:12.030]  would have all those iRegenetics dabs sitting over there?
[01:01:12.030 --> 01:01:13.310]  Dude, it's really nice to see-
[01:01:13.310 --> 01:01:14.510]  Can't even keep them straight.
[01:01:14.510 --> 01:01:15.710]  Yeah, true.
[01:01:15.710 --> 01:01:18.470]  It's really nice to watch my friends grow my genetics
[01:01:18.470 --> 01:01:22.190]  and then to have one of our good brothers extract it for us.
[01:01:23.030 --> 01:01:24.150]  And then he gets his hash back and he calls me,
[01:01:24.150 --> 01:01:25.590]  dude, come over and get some of this hash
[01:01:25.590 --> 01:01:27.110]  I just had made from your strains.
[01:01:27.110 --> 01:01:29.470]  I'm like, hell yeah, I'm on my way.
[01:01:29.470 --> 01:01:31.510]  I got a nice gram of heart of gold.
[01:01:31.510 --> 01:01:34.150]  There was grateful dog and there was Cable 10 live resin.
[01:01:34.150 --> 01:01:36.590]  And dude, that was tasty stuff.
[01:01:36.590 --> 01:01:39.310]  It left a, I keep saying citronella candles
[01:01:39.310 --> 01:01:40.950]  sort of scent in the room.
[01:01:40.950 --> 01:01:43.150]  If you're into that, that was a great smell.
[01:01:44.310 --> 01:01:45.590]  Guys, I want to take one quick second
[01:01:45.590 --> 01:01:46.790]  and give a huge shout out.
[01:01:46.790 --> 01:01:47.990]  I always do this at the end of the show,
[01:01:47.990 --> 01:01:49.870]  but we got to do a special shout out.
[01:01:49.870 --> 01:01:52.070]  Extra special shout out to my ninja Spence.
[01:01:52.950 --> 01:01:54.230]  Spence has been sick as hell.
[01:01:54.230 --> 01:01:56.150]  We found out just recently that his appendix
[01:01:56.150 --> 01:01:59.470]  had ruptured inside of him and he had to have it removed.
[01:01:59.470 --> 01:02:01.470]  Dude, I'm so glad you're on the way to recovery.
[01:02:01.470 --> 01:02:02.790]  We were super worried about you.
[01:02:02.790 --> 01:02:04.710]  I was stressing out, worried about my brother.
[01:02:04.710 --> 01:02:06.590]  I love you more than you ever will realize.
[01:02:06.590 --> 01:02:08.350]  So big shout out to Spence, dude.
[01:02:08.350 --> 01:02:11.150]  Everybody send your love and energy to getting Spence better.
[01:02:11.150 --> 01:02:12.150]  Get better, buddy.
[01:02:12.150 --> 01:02:13.150]  Come on, feller.
[01:02:13.150 --> 01:02:13.990]  Yeah, buddy, get up.
[01:02:13.990 --> 01:02:14.870]  You got to shoot some hoops.
[01:02:14.870 --> 01:02:16.190]  You got to make some hash.
[01:02:16.190 --> 01:02:19.710]  Spence is going to win the secret cup finals in Vegas.
[01:02:19.710 --> 01:02:21.070]  I'm confident.
[01:02:21.070 --> 01:02:22.470]  Minus an appendix.
[01:02:22.470 --> 01:02:25.590]  Can he fly cheaper?
[01:02:25.590 --> 01:02:26.550]  He just lost some weight.
[01:02:26.550 --> 01:02:27.390]  Oh, no shit.
[01:02:27.390 --> 01:02:28.430]  Yeah.
[01:02:28.430 --> 01:02:30.670]  Isn't your appendix only like about an inch long anyway?
[01:02:30.670 --> 01:02:32.030]  Yeah, I actually looked it up today.
[01:02:32.030 --> 01:02:33.110]  That thing almost killed him.
[01:02:33.110 --> 01:02:33.950]  It almost killed him.
[01:02:33.950 --> 01:02:35.550]  I'm pretty sure he was pretty bad shape.
[01:02:35.550 --> 01:02:38.510]  And it's almost, it's completely worthless.
[01:02:38.510 --> 01:02:39.910]  Somebody asked me, what does your appendix do?
[01:02:39.910 --> 01:02:41.470]  And I looked at him and said, I don't know.
[01:02:41.470 --> 01:02:43.270]  It's full of a poison vial.
[01:02:43.270 --> 01:02:44.110]  That's what it does.
[01:02:44.110 --> 01:02:45.630]  That's an awesome thing to do.
[01:02:45.630 --> 01:02:47.510]  Let's just stick this inside of a human
[01:02:47.510 --> 01:02:49.710]  and wait for it to rupture one day.
[01:02:49.710 --> 01:02:50.790]  Good job, creator.
[01:02:51.470 --> 01:02:53.510]  That's the self-destruct switch he gave us all, I guess.
[01:02:53.510 --> 01:02:54.510]  I guess so.
[01:02:54.510 --> 01:02:56.790]  Also, since we're sending out love and energy
[01:02:56.790 --> 01:02:57.870]  to people that need some help,
[01:02:57.870 --> 01:03:00.030]  I want to send a big, huge healing vibe
[01:03:00.030 --> 01:03:01.550]  to my good friend, Angela.
[01:03:01.550 --> 01:03:02.910]  She hasn't been feeling well the past week.
[01:03:02.910 --> 01:03:04.910]  She's got some medical things going on
[01:03:04.910 --> 01:03:05.750]  that's kind of private to her,
[01:03:05.750 --> 01:03:06.570]  so we don't need to elaborate.
[01:03:06.570 --> 01:03:09.590]  But dude, send a lot of healing vibes to Angela.
[01:03:09.590 --> 01:03:10.550]  Big shout out to Angela.
[01:03:10.550 --> 01:03:11.390]  Care a lot about you.
[01:03:11.390 --> 01:03:12.230]  I want you better.
[01:03:12.230 --> 01:03:13.430]  I want to see you smiling again.
[01:03:13.430 --> 01:03:14.270]  Hey, what's up guys?
[01:03:14.270 --> 01:03:15.830]  I have to jump in and do a disclaimer.
[01:03:15.830 --> 01:03:17.230]  I played the shout out for Angela.
[01:03:17.230 --> 01:03:18.910]  And when she heard it, she said that I made it sound
[01:03:18.910 --> 01:03:20.910]  like there's something wrong with her vagina.
[01:03:20.910 --> 01:03:23.710]  I need to assure you, there's absolutely nothing wrong
[01:03:23.710 --> 01:03:25.470]  with Angela's vagina.
[01:03:25.470 --> 01:03:26.790]  Let's get back to the show.
[01:03:27.710 --> 01:03:29.990]  Yeah, let's get off the somber vibe and get into a show.
[01:03:29.990 --> 01:03:31.190]  I do owe another shout out.
[01:03:31.190 --> 01:03:32.630]  Two more shout outs.
[01:03:32.630 --> 01:03:35.190]  Dude, I owe a shout out to the man Afro Man.
[01:03:35.190 --> 01:03:38.510]  I got to hang out with this dude, Afro Man.
[01:03:38.510 --> 01:03:40.790]  He sings that song, Because I Got High.
[01:03:40.790 --> 01:03:43.190]  He played a show in a town near me.
[01:03:43.190 --> 01:03:45.990]  There's a little VIP party at a dispensary called The Spot.
[01:03:45.990 --> 01:03:47.190]  Shout out to The Spot.
[01:03:47.190 --> 01:03:48.030]  What's up, Robert?
[01:03:48.030 --> 01:03:48.870]  What's up, Vegas?
[01:03:49.750 --> 01:03:50.750]  Hope you guys are listening to the show.
[01:03:50.750 --> 01:03:52.430]  Shout out to everyone at The Spot.
[01:03:52.430 --> 01:03:54.310]  They got me to see Afro Man.
[01:03:54.310 --> 01:03:56.070]  Got a couple of photos with Afro Man.
[01:03:56.070 --> 01:03:57.150]  It was actually Angela's fault.
[01:03:57.150 --> 01:03:58.070]  She works there.
[01:03:58.070 --> 01:03:59.470]  She got me the little VIP hookup.
[01:03:59.470 --> 01:04:00.790]  So thanks again, Angela.
[01:04:00.790 --> 01:04:01.630]  Super shout out.
[01:04:02.870 --> 01:04:05.790]  I walked in and Afro Man was taking pictures with people
[01:04:05.790 --> 01:04:07.950]  and doing a little quick private meet and greet.
[01:04:07.950 --> 01:04:10.550]  And he saw me and he goes, oh shit, come here, my man.
[01:04:10.550 --> 01:04:12.430]  And he took pictures with me.
[01:04:12.430 --> 01:04:14.470]  He posted my photos up on his Instagram.
[01:04:14.470 --> 01:04:15.510]  I thought it was kind of funny.
[01:04:15.510 --> 01:04:16.350]  Awesome.
[01:04:16.350 --> 01:04:17.190]  Yeah, he blew off a lot of people
[01:04:17.190 --> 01:04:19.070]  to come hang out with Rasta Jeff for some reason.
[01:04:19.070 --> 01:04:19.950]  Fuck yeah.
[01:04:19.950 --> 01:04:22.430]  The owners of The Spot said that he could come smoke
[01:04:22.430 --> 01:04:25.110]  with me, but he probably would not make it to his show.
[01:04:25.110 --> 01:04:27.550]  So he opted to not smoke with me.
[01:04:27.550 --> 01:04:29.270]  He was like, you look like you might murder me
[01:04:29.270 --> 01:04:30.110]  with some smoke.
[01:04:30.110 --> 01:04:31.470]  So yeah, he didn't want to do that.
[01:04:31.470 --> 01:04:33.510]  Yeah, well, and then you're also, yeah.
[01:04:34.750 --> 01:04:37.390]  At a dispensary and unfortunately,
[01:04:37.390 --> 01:04:39.070]  not allowed to smoke at a dispensary.
[01:04:39.070 --> 01:04:41.550]  They totally knew I was gonna drive him off in my car.
[01:04:41.550 --> 01:04:42.390]  We didn't talk.
[01:04:42.390 --> 01:04:43.230]  Oh yeah, yeah, yeah.
[01:04:43.230 --> 01:04:44.070]  Yeah, we were gonna do that.
[01:04:44.070 --> 01:04:46.390]  Had you just been able to hand him a joint,
[01:04:46.430 --> 01:04:47.550]  it would have been a lot easier.
[01:04:47.550 --> 01:04:50.470]  You know, he did do a show in Colorado Springs after that.
[01:04:50.470 --> 01:04:52.270]  So we can't talk about what happened.
[01:04:54.310 --> 01:04:56.070]  All right, I want to talk about a couple other things too.
[01:04:56.070 --> 01:04:56.910]  Shout outs are done.
[01:04:56.910 --> 01:04:58.150]  Shout out to everybody that's listening to the show.
[01:04:58.150 --> 01:04:59.150]  Dude, this is episode 40.
[01:04:59.150 --> 01:05:01.230]  We made it 40 episodes, bro.
[01:05:01.230 --> 01:05:02.070]  This is getting good.
[01:05:02.070 --> 01:05:03.870]  I promise you guys, the episodes are getting better.
[01:05:03.870 --> 01:05:05.710]  I've been doing more preparation.
[01:05:05.710 --> 01:05:06.690]  Been doing more planning.
[01:05:06.690 --> 01:05:09.270]  I've got the next few episode topics already listed
[01:05:09.270 --> 01:05:10.450]  of what I'm gonna do.
[01:05:11.430 --> 01:05:12.610]  Coming up in a couple of episodes,
[01:05:12.610 --> 01:05:14.990]  we're gonna do an episode about nutrients.
[01:05:14.990 --> 01:05:16.550]  I've had a couple of people ask me,
[01:05:16.550 --> 01:05:17.470]  tell me about nutrients.
[01:05:17.470 --> 01:05:21.270]  What does all this NPK 539 on my bottles,
[01:05:21.270 --> 01:05:22.510]  what does this shit mean?
[01:05:22.510 --> 01:05:23.590]  What should I be feeding?
[01:05:23.590 --> 01:05:24.670]  What do I need?
[01:05:24.670 --> 01:05:25.990]  So we're gonna cover that.
[01:05:27.110 --> 01:05:32.070]  And also our friend, Ross Cola, King Cola, Sean,
[01:05:32.070 --> 01:05:33.590]  is gonna come be on the show.
[01:05:34.550 --> 01:05:35.590]  I haven't called him yet,
[01:05:35.590 --> 01:05:37.070]  but he did send me his phone number.
[01:05:37.070 --> 01:05:38.630]  I've got his phone number so I could text him
[01:05:38.630 --> 01:05:39.870]  and ask him to be on the show.
[01:05:39.870 --> 01:05:40.710]  Fuck yeah.
[01:05:40.710 --> 01:05:42.190]  He hypes a growing system
[01:05:42.190 --> 01:05:44.670]  that he has labeled organic as fuck.
[01:05:45.350 --> 01:05:46.190]  And I'm kind of impressed.
[01:05:46.190 --> 01:05:47.010]  I've been growing for quite a while
[01:05:47.010 --> 01:05:49.830]  and he has the approach that I hope to get to.
[01:05:49.830 --> 01:05:51.430]  I'm not where he is yet.
[01:05:51.430 --> 01:05:53.470]  He's got a very environmentally friendly,
[01:05:53.470 --> 01:05:56.670]  environmentally sustainable way of growing.
[01:05:56.670 --> 01:05:57.590]  And it's kind of impressive.
[01:05:57.590 --> 01:05:58.410]  I'm impressed.
[01:05:58.410 --> 01:06:00.430]  And it takes a little bit to impress me.
[01:06:00.430 --> 01:06:05.430]  Yeah, he does these fermentations that look delicious.
[01:06:07.110 --> 01:06:07.950]  You know, I would almost,
[01:06:07.950 --> 01:06:09.070]  if I didn't know what was in there,
[01:06:09.070 --> 01:06:10.390]  some of that stuff would look tasty.
[01:06:10.390 --> 01:06:11.790]  Yeah, yeah, no, they really do.
[01:06:11.790 --> 01:06:14.470]  And it smells good because of the molasses.
[01:06:15.230 --> 01:06:16.070]  All right, we'll let Sean tell you about his stuff
[01:06:16.070 --> 01:06:16.890]  when we get him on the show.
[01:06:16.890 --> 01:06:19.750]  So shout out to Ras Cola, King Cola, and Organic as Fuck.
[01:06:20.630 --> 01:06:21.950]  We'll get him on here pretty soon.
[01:06:21.950 --> 01:06:22.870]  And guys, I'm saying that for her,
[01:06:22.870 --> 01:06:24.150]  but it doesn't cost money anymore.
[01:06:24.150 --> 01:06:25.990]  And I'm actually quoting this guy's brand.
[01:06:25.990 --> 01:06:27.630]  So you can't charge me on that one.
[01:06:27.630 --> 01:06:29.110]  Something you can charge me for.
[01:06:29.110 --> 01:06:32.190]  This podcast is brought to you by Highly Educated Titanium.
[01:06:32.190 --> 01:06:33.990]  If you're using a high quality concentrate,
[01:06:33.990 --> 01:06:35.990]  like these Heart of Gold Live Resin dabs,
[01:06:35.990 --> 01:06:38.110]  you definitely deserve a high grade titanium nail
[01:06:38.110 --> 01:06:39.550]  made right here in America.
[01:06:39.550 --> 01:06:41.190]  Don't trust those Chinese nails
[01:06:41.190 --> 01:06:42.870]  you keep seeing in head shops that are cheap.
[01:06:42.870 --> 01:06:44.990]  They're cheap for a damn reason.
[01:06:44.990 --> 01:06:46.290]  It's not titanium.
[01:06:46.290 --> 01:06:49.470]  You want grade two titanium because it's the most,
[01:06:49.470 --> 01:06:51.270]  like I can read you off the website.
[01:06:51.270 --> 01:06:53.190]  Trust me, you want type two titanium.
[01:06:53.190 --> 01:06:54.870]  It's what you want for your dabs.
[01:06:54.870 --> 01:06:55.950]  And you know who uses them?
[01:06:55.950 --> 01:06:56.870]  Highly Educated.
[01:06:56.870 --> 01:06:58.430]  That's where you get the best titanium.
[01:06:58.430 --> 01:07:00.150]  The industry leader, Highly Educated.
[01:07:00.150 --> 01:07:02.550]  So check out highlyeducatedti.com.
[01:07:02.550 --> 01:07:04.270]  If you wanna buy a nail right now,
[01:07:04.270 --> 01:07:06.350]  check out aqualabtechnologies.com.
[01:07:06.350 --> 01:07:07.470]  They've got all kinds of sweet,
[01:07:07.470 --> 01:07:08.870]  highly educated products on there.
[01:07:08.870 --> 01:07:10.510]  They have the new colored stuff.
[01:07:10.510 --> 01:07:12.230]  It looks sweet.
[01:07:12.230 --> 01:07:14.910]  Make sure you guys check out naturesgreenremedies.com.
[01:07:14.910 --> 01:07:16.430]  I don't have a coupon code for them this month.
[01:07:16.430 --> 01:07:18.470]  I will probably in December,
[01:07:18.470 --> 01:07:21.070]  but make sure you support naturesgreenremedies.com.
[01:07:22.390 --> 01:07:23.670]  I wanna give a big shout out to Jesse
[01:07:23.670 --> 01:07:25.710]  for coming and doing all these episodes.
[01:07:25.710 --> 01:07:26.790]  This podcast is brought to you
[01:07:26.790 --> 01:07:29.070]  by Hygro Indoor Growing Supplies.
[01:07:29.070 --> 01:07:31.150]  Hygro Indoor Growing Supplies has two locations
[01:07:31.150 --> 01:07:32.050]  to serve Colorado.
[01:07:32.050 --> 01:07:34.830]  Check out the Denver store at 6271 Beach Street
[01:07:34.830 --> 01:07:37.870]  or the Pueblo location, 618 East 4th Street
[01:07:37.870 --> 01:07:39.350]  in Pueblo, Colorado.
[01:07:39.350 --> 01:07:41.350]  Do you have any deals this month, bro?
[01:07:41.350 --> 01:07:44.830]  We still got the roots, 707 for 25 bucks.
[01:07:44.830 --> 01:07:45.670]  Nice.
[01:07:46.630 --> 01:07:50.150]  Mentioned the Hygro Culture Podcast for commercial pricing.
[01:07:50.150 --> 01:07:51.890]  I went there today and she had no problem
[01:07:51.890 --> 01:07:53.410]  typing in commercial pricing for me.
[01:07:53.410 --> 01:07:55.830]  I got myself a bag of soil for my seedlings.
[01:07:55.830 --> 01:07:57.010]  It was nice and easy.
[01:07:57.010 --> 01:07:59.950]  Dude, can I tell them what they'll pay for that bag of,
[01:07:59.950 --> 01:08:00.790]  what did I get there?
[01:08:00.790 --> 01:08:01.610]  Is that light warrior?
[01:08:01.610 --> 01:08:02.790]  Yeah.
[01:08:02.790 --> 01:08:04.390]  That bag was less than 18 bucks.
[01:08:04.390 --> 01:08:06.670]  It was $17 and some change for that bag.
[01:08:06.670 --> 01:08:08.630]  Usually that's a $25 bag of dirt.
[01:08:08.630 --> 01:08:10.470]  So we saved, I saved eight bucks
[01:08:10.470 --> 01:08:12.070]  just by using or by telling them,
[01:08:12.070 --> 01:08:13.790]  hey, I listened to the Hygro Culture Podcast.
[01:08:13.790 --> 01:08:14.630]  Damn.
[01:08:14.630 --> 01:08:16.150]  Yeah, so go get yourself a bag of soil, dude.
[01:08:16.150 --> 01:08:16.970]  It was really cool.
[01:08:16.970 --> 01:08:17.810]  It was really easy.
[01:08:17.810 --> 01:08:18.910]  They didn't even, you know when you get a discount
[01:08:18.910 --> 01:08:20.390]  some places they act like you're a dick.
[01:08:20.390 --> 01:08:22.070]  She's like, don't I owe you pricing?
[01:08:22.070 --> 01:08:23.170]  And I was like, yes, you do.
[01:08:23.170 --> 01:08:25.030]  You do give me a deal.
[01:08:25.030 --> 01:08:25.870]  So make sure you tell them
[01:08:25.870 --> 01:08:27.670]  that you're listening to the Hygro Culture Podcast
[01:08:27.670 --> 01:08:30.870]  and also check out their website, hygrodenver.com.
[01:08:30.870 --> 01:08:31.990]  Pretty sure.
[01:08:31.990 --> 01:08:33.470]  I didn't write it down because I thought I remembered
[01:08:33.470 --> 01:08:34.710]  and apparently I just forgot.
[01:08:34.710 --> 01:08:36.110]  Yeah, hygrodenver.com.
[01:08:36.110 --> 01:08:41.110]  I think we also have hygro.us.
[01:08:41.390 --> 01:08:42.230]  Okay.
[01:08:42.230 --> 01:08:44.310]  And they also have Hygro Pueblo has a Facebook.
[01:08:44.310 --> 01:08:45.150]  If you're in Pueblo
[01:08:45.150 --> 01:08:47.150]  and you wanted to team up on their Facebook, check it out.
[01:08:47.150 --> 01:08:48.830]  Cause they post a lot of cool stuff on there.
[01:08:48.830 --> 01:08:50.830]  We have an Instagram too.
[01:08:52.530 --> 01:08:54.990]  Getting around to using it a little more.
[01:08:54.990 --> 01:08:56.910]  It's hard to keep up with all the social media, isn't it?
[01:08:56.910 --> 01:08:57.750]  Yeah.
[01:08:57.750 --> 01:08:58.590]  Yeah.
[01:08:58.590 --> 01:08:59.410]  Well, especially like,
[01:08:59.410 --> 01:09:01.950]  I don't know how to Instagram be in a shop.
[01:09:01.950 --> 01:09:02.790]  It feels weird.
[01:09:02.790 --> 01:09:04.870]  Right, take pictures of products
[01:09:04.870 --> 01:09:07.430]  in front of the store and this is what's on sale.
[01:09:07.430 --> 01:09:08.270]  Yeah.
[01:09:08.270 --> 01:09:09.710]  We're going to start doing some cool stuff.
[01:09:09.710 --> 01:09:12.990]  We ordered a grow tent for the store.
[01:09:12.990 --> 01:09:13.830]  Sweet.
[01:09:13.830 --> 01:09:14.670]  So you can set that up.
[01:09:14.670 --> 01:09:15.490]  Yeah.
[01:09:15.490 --> 01:09:16.330]  We're going to show how to work it.
[01:09:16.330 --> 01:09:17.150]  Get some stuff going.
[01:09:17.150 --> 01:09:17.990]  Yeah.
[01:09:17.990 --> 01:09:22.990]  So, and then we've got the next growers meeting next Friday.
[01:09:23.510 --> 01:09:24.990]  I believe we've got a horrible Friday.
[01:09:24.990 --> 01:09:25.910]  The 21st.
[01:09:25.910 --> 01:09:26.750]  Yeah.
[01:09:26.750 --> 01:09:27.570]  Yes.
[01:09:27.570 --> 01:09:28.410]  The 21st.
[01:09:28.410 --> 01:09:29.250]  It's the day after my mama's birthday.
[01:09:29.250 --> 01:09:30.070]  So happy birthday, mama.
