[00:00.000 --> 00:01.720]  Hey, welcome back everyone!
[20:52.540 --> 20:56.700]  It tends to like it fairly warm, so keep it warm all the way through flower.
[20:56.700 --> 20:58.260]  Don't worry about reducing the temps.
[20:58.260 --> 21:00.200]  Don't try to get it cold late in the cycle.
[21:00.200 --> 21:01.700]  That is not necessary.
[21:01.700 --> 21:07.060]  Now that may be really advantageous for people who are growing large facilities or running
[21:07.060 --> 21:08.900]  perpetual cycles.
[21:08.940 --> 21:12.260]  Sometimes you might want to reduce the temperature in your grow room so that you can get that
[21:12.260 --> 21:14.460]  one strain to finish earlier.
[21:14.460 --> 21:17.860]  Sometimes reducing the temperature late in flower will bring out some great colors.
[21:17.860 --> 21:19.860]  Sometimes it makes the plants dense up a little bit.
[21:19.860 --> 21:23.540]  I have noticed that that does not work for the orange chasm.
[21:23.540 --> 21:25.660]  She likes it warm all the way through.
[21:25.660 --> 21:30.900]  All right, so I think that covers all of the grow details of orange chasm.
[21:30.900 --> 21:33.800]  Let's talk a little bit about smoking orange chasm.
[21:33.800 --> 21:38.840]  Orange chasm is a delight to smoke, of course, because those tremendous orange and tangerine
[21:38.840 --> 21:40.600]  and sweet candied orange flavors.
[21:40.600 --> 21:46.480]  But what I really like about it is the really good mood and great vibe that I get from smoking
[21:46.480 --> 21:47.640]  orange chasm.
[21:47.640 --> 21:51.720]  It doesn't completely obliterate my brain to where I can't think and can't focus, but
[21:51.720 --> 21:53.560]  it does put me in a really good mood.
[21:53.560 --> 21:55.400]  It just puts a smile on your face.
[21:55.400 --> 21:59.280]  If you're having a rough morning, if you've had a shitty day, smoke a little orange chasm.
[21:59.280 --> 22:00.800]  You will be smiling.
[22:00.800 --> 22:02.320]  I call it the O face.
[22:02.320 --> 22:05.440]  You'll smoke a little and you go, oh, you just blow out your smoke.
[22:05.440 --> 22:08.020]  Your mouth tastes like oranges and your stress goes away.
[22:08.020 --> 22:09.240]  Your shoulders relax.
[22:09.240 --> 22:10.520]  You feel better.
[22:10.520 --> 22:14.880]  Another thing that I have noticed is that it works great for people with anxiety.
[22:14.880 --> 22:19.400]  If you are experiencing anxiety or if you want to keep the anxiety away, smoking the
[22:19.400 --> 22:21.880]  orange chasm will chill you the fuck out.
[22:21.880 --> 22:23.060]  It puts you in a good mood.
[22:23.060 --> 22:24.540]  It makes you forget that you are anxious.
[22:24.540 --> 22:26.720]  It makes you forget that you were worried about something.
[22:26.720 --> 22:29.920]  And it just puts a little pep in your step and puts you in a good vibe.
[22:29.920 --> 22:33.400]  I really think orange chasm would make great morning medicine.
[22:33.400 --> 22:36.440]  If you're a person who likes to medicate in the morning, but you still want to be able
[22:36.440 --> 22:39.160]  to function, you don't want your brain to get too blown away.
[22:39.160 --> 22:42.300]  You don't want to get too lazy, but you want to put a little pep in your step and lively
[22:42.300 --> 22:43.380]  up the vibe.
[22:43.380 --> 22:45.680]  That is where orange chasm fits in perfectly.
[22:45.680 --> 22:47.320]  All right, podcast world.
[22:47.320 --> 22:50.080]  That is all of the information I have got for you on orange chasm.
[22:50.080 --> 22:53.000]  If you have any more questions, I do encourage you to ask me.
[22:53.000 --> 22:56.200]  My email address is growfromyourheartathotmail.com.
[22:56.200 --> 22:57.200]  Don't be shy.
[22:57.200 --> 22:58.500]  I look forward to hearing from you.
[22:58.500 --> 23:03.620]  If you are interested in acquiring Orange Chasm seeds, they will be available on 710
[23:03.620 --> 23:06.540]  at seedsherenow.com.
[23:06.540 --> 23:09.060]  They will be available at dankseed.store.
[23:09.060 --> 23:14.900]  And you will also be able to find them at oreganoleetseeds.com.
[23:14.900 --> 23:19.300]  If you're not into shopping on the internet, I will be at the Dude Grows Concentration
[23:19.300 --> 23:24.160]  Celebration on July 13th at Cultivated Synergy in Denver, Colorado.
[23:24.160 --> 23:30.200]  And I will have Orange Chasm, Lemon Jeffrey, and Golden Goat Femini seeds on hand and available
[23:30.200 --> 23:31.200]  for my friends.
[23:31.200 --> 23:37.480]  For more information on the Dude Grows Concentration Celebration, check out dudegrows.com.
[23:37.480 --> 23:40.120]  There's a 710 cup tab right on the page.
[23:40.120 --> 23:42.680]  All the information you need will be right there.
[23:42.680 --> 23:47.680]  So don't miss the 710 drop at Seeds Here Now, Oreganoleetseeds, and the Hella Dank Seed
[23:47.680 --> 23:48.680]  Company.
[23:48.680 --> 23:52.760]  And if you're able to make it to Denver for 713, I look forward to meeting you and shaking
[23:52.760 --> 23:56.800]  your hand at the Dude Grows Concentration Celebration.
[23:56.800 --> 23:58.640]  Ladies and gentlemen, that is all I've got for this episode.
[23:58.640 --> 24:02.760]  I want to thank you for hanging out and learning all about my new strain, Orange Chasm.
[24:02.760 --> 24:04.320]  I look forward to seeing your pictures.
[24:04.320 --> 24:05.960]  I look forward to hearing your reviews.
[24:05.960 --> 24:09.080]  I cannot wait to get this new strain in your hands.
[24:09.080 --> 24:12.640]  If you feel like this podcast was educational, informative, or entertaining, and you'd like
[24:12.640 --> 24:18.400]  to make a financial contribution to the show, you can do so by visiting patreon.com slash
[24:18.400 --> 24:19.640]  growfromyourheart.
[24:19.640 --> 24:22.680]  All of the information you need will be right there on the screen.
[24:22.720 --> 24:25.880]  I would also appreciate it if you support me on social media.
[24:25.880 --> 24:27.640]  You can find the show on Facebook.
[24:27.640 --> 24:30.000]  Simply search for the Grow From Your Heart Podcast.
[24:30.000 --> 24:33.120]  On Twitter, the show is at GFYH Podcast.
[24:33.120 --> 24:36.200]  My personal Twitter account is at Rastajeff420.
[24:36.200 --> 24:38.400]  I would love it if you'd give me a follow.
[24:38.400 --> 24:40.960]  Also give me a follow on Cannabuzz.
[24:40.960 --> 24:45.480]  Cannabuzz is a new cannabis-friendly social media application.
[24:45.480 --> 24:49.080]  Other social media platforms like to censor and delete our posts.
[24:49.080 --> 24:53.680]  We are not able to post cannabis-related content freely on many other social media
[24:53.680 --> 24:58.560]  applications, but Cannabuzz encourages and promotes your cannabis posts.
[24:58.560 --> 25:00.240]  Come join us on Cannabuzz.
[25:00.240 --> 25:01.540]  Post your cannabis pictures.
[25:01.540 --> 25:04.760]  If you've got a plant that has given you problems, snap a picture.
[25:04.760 --> 25:07.800]  Post the picture to Cannabuzz and say, what's wrong with my plant?
[25:07.800 --> 25:12.400]  Folks like myself and other experienced growers will chime in and give you helpful advice,
[25:12.400 --> 25:15.720]  and we will help correct the issues you are having with your plants.
[25:15.720 --> 25:16.720]  Join us on Cannabuzz.
[25:16.720 --> 25:18.120]  I look forward to seeing you over there.
[25:18.160 --> 25:19.560]  It is a free application.
[25:19.560 --> 25:23.400]  It is available on your iPhone, and it is available on your Android device.
[25:23.400 --> 25:26.080]  So join us on Cannabuzz.
[25:26.080 --> 25:28.840]  If you've got something you'd like to say, perhaps you've got a product you'd like me
[25:28.840 --> 25:33.280]  to review, maybe you'd like to sponsor the podcast, maybe you've just got a grow question.
[25:33.280 --> 25:36.960]  If you're not into all that social media nonsense, you can send me an email.
[25:36.960 --> 25:42.800]  My email address is growfromyourheartathotmail.com, and I do look forward to hearing from you.
[25:42.800 --> 25:46.840]  If you have sent me an email and I haven't gotten to it yet, please do not feel discouraged.
[25:46.840 --> 25:49.280]  I have got a mountain of emails in front of me.
[25:49.280 --> 25:53.440]  I can only get through so many in so many episodes, but your email is coming up.
[25:53.440 --> 25:54.440]  Just be patient.
[25:54.440 --> 25:55.440]  Do not get discouraged.
[25:55.440 --> 25:58.240]  I will get your advice to you very soon.
[25:58.240 --> 26:01.280]  Ladies and gentlemen, that is all I've got for you for this episode.
[26:01.280 --> 26:03.800]  Don't forget to check out that new drop on 710.
[26:03.800 --> 26:07.320]  I look forward to seeing all of my friends at the Dude Groves Concentration Celebration
[26:07.320 --> 26:08.320]  on 713.
[26:08.320 --> 26:11.840]  And I think that is all I've got for you for this episode.
[26:11.840 --> 26:14.560]  Ladies and gentlemen, I'll be back in just a few days with fresh new content.
[26:15.000 --> 26:17.760]  I want to give a huge shout out to my friend AZ Cushman.
[26:17.760 --> 26:21.200]  And until next time, take a fat dab and give your mom a hug for me.
