[00:00.000 --> 00:01.000]  Take three.
[21:45.500 --> 21:50.180]  Green Dot concentrate cartridge because I bought this at my favorite dispensary.
[21:50.180 --> 21:54.500]  So I know I just shit all over the black market for a minute, but until we can get
[21:54.500 --> 22:00.660]  people to be honest, we need to buy our carts from reputable dispensaries.
[22:00.660 --> 22:07.460]  Now I don't think any of the health concerns or problems right now are caused by store
[22:07.460 --> 22:09.340]  bought legitimate vape pens.
[22:09.340 --> 22:14.380]  I think to the best of my knowledge, most of the problems have been from e-juice or
[22:14.380 --> 22:16.020]  nicotine vapes.
[22:16.020 --> 22:19.580]  I admit that I did not go read the news before I came here to record.
[22:19.980 --> 22:23.260]  I had this idea fresh in my head and wanted to get it out while it was hot.
[22:23.260 --> 22:26.060]  So I did not do the proper research.
[22:26.060 --> 22:31.860]  But the way to avoid any of these problems is to not vape random shit.
[22:31.860 --> 22:36.500]  If somebody passes you something and you are not certain where it came from, you may want
[22:36.500 --> 22:37.500]  to skip on it.
[22:37.500 --> 22:41.540]  Whether it's a nicotine vape, whether it's a cannabis vape, whether it is a concentrate
[22:41.540 --> 22:46.340]  pen, now is the time to start being a little conceited and a little bit discerning about
[22:46.340 --> 22:48.660]  the products that we do consume.
[22:48.740 --> 22:52.860]  And I understand that there are some areas of our great country where you cannot go to
[22:52.860 --> 22:56.660]  the dispensary and grab yourself a reliable Green Dot Labs pen.
[22:56.660 --> 22:57.940]  I get that.
[22:57.940 --> 23:02.420]  Until we can get everybody to be honest and start thinking about our health and our safety
[23:02.420 --> 23:07.300]  and stop worrying so much about their wallets, we need to be a little bit more discerning
[23:07.300 --> 23:11.420]  about where we spend our money and what we put into our bodies.
[23:11.420 --> 23:12.620]  Now I get it.
[23:12.620 --> 23:14.860]  You might not have another opportunity.
[23:14.860 --> 23:18.700]  Those carts and pens may be the thing that comes around in your area.
[23:18.700 --> 23:20.300]  Now you have to make a decision.
[23:20.300 --> 23:22.600]  Is it really worth risking my lung health?
[23:22.600 --> 23:26.480]  Is it really worth risking my future, my entire body health?
[23:26.480 --> 23:27.540]  You only get one body.
[23:27.540 --> 23:28.900]  You only got two lungs.
[23:28.900 --> 23:31.260]  When you fuck those up, that might be it.
[23:31.260 --> 23:33.940]  So do you want to get high that bad?
[23:33.940 --> 23:35.860]  That is another part of this problem.
[23:35.860 --> 23:40.700]  For every shitty dealer out there selling what we're calling a booth cart, there is
[23:40.700 --> 23:44.180]  another guy out there who's going, man, I wish I could find a fucking cart.
[23:44.180 --> 23:48.060]  And they don't even care that it is going to put their health at risk.
[23:48.060 --> 23:51.100]  So please don't be the guy buying a shitty cart.
[23:51.100 --> 23:55.300]  Don't be the guy supporting the shitty cart sales people.
[23:55.300 --> 23:56.300]  Educate yourself.
[23:56.300 --> 23:58.860]  And if you can, educate your friends.
[23:58.860 --> 24:03.060]  Unfortunately, when it comes to health and safety and consumption of products that make
[24:03.060 --> 24:06.700]  us feel a certain way, most people don't give a shit about education.
[24:06.700 --> 24:09.860]  They're going to do what they like to do, what makes them feel good.
[24:09.860 --> 24:12.080]  We want instant gratification as humans.
[24:12.080 --> 24:16.680]  If it makes me feel good now but kills me in 10 years, I might be okay with that.
[24:16.680 --> 24:19.180]  That's just how we are as people, some of us.
[24:19.180 --> 24:21.080]  So the best I can say is educate yourself.
[24:21.080 --> 24:23.520]  I hope I taught you something here today.
[24:23.520 --> 24:27.680]  Educate your friends if they will listen and be very careful about the products which you
[24:27.680 --> 24:28.680]  consume.
[24:28.680 --> 24:29.680]  Don't be a fiend.
[24:29.680 --> 24:35.120]  I love to smoke, but I pass on plenty of shitty looking concentrates and I rarely hit anybody
[24:35.120 --> 24:36.120]  else's pen.
[24:36.120 --> 24:41.760]  So again, this was not meant to be a Green Dot Labs concentrate or a pen commercial,
[24:42.440 --> 24:43.440]  but they are the product that I trust right now.
[24:43.440 --> 24:46.240]  I know that they are putting pure live resin into these pens.
[24:46.240 --> 24:48.380]  It gets me heavily medicated.
[24:48.380 --> 24:49.380]  It tastes great.
[24:49.380 --> 24:54.580]  And I have experienced zero adverse side effects from this product.
[24:54.580 --> 24:59.920]  So ladies and gentlemen, boys and girls, smokers and growers, that is my rant on vape pens
[24:59.920 --> 25:01.200]  and vape carts.
[25:01.200 --> 25:02.400]  You are an adult.
[25:02.400 --> 25:03.620]  Please be safe out there.
[25:03.620 --> 25:05.320]  Please use your best judgment.
[25:05.320 --> 25:09.860]  Please trust wherever your concentrates and your concentrate pens are coming from.
[25:09.980 --> 25:15.420]  I don't want to hear about any of you in the hospital from a terrible concentrate pen experience.
[25:15.420 --> 25:16.760]  Please take care of yourself.
[25:16.760 --> 25:17.980]  Take care of your loved ones.
[25:17.980 --> 25:19.020]  Be good to one another.
[25:19.020 --> 25:20.180]  I'm going to wrap up this episode.
[25:20.180 --> 25:22.160]  I want to thank you guys for listening.
[25:22.160 --> 25:25.580]  If you feel like this episode was educational, informative, or entertaining, and you would
[25:25.580 --> 25:32.820]  like to make a financial contribution to the show, you can support us by visiting www.patreon.com
[25:32.820 --> 25:34.660]  slash growfromyourheart.
[25:34.660 --> 25:38.140]  All of the information you need will be right there on the screen.
[25:38.140 --> 25:41.780]  If you would like to support iRegenetics or the Grow From Your Heart podcast, and you
[25:41.780 --> 25:44.860]  cannot make a financial contribution, I still love you.
[25:44.860 --> 25:46.300]  I still want to be your friend.
[25:46.300 --> 25:50.580]  What you can do for free, you can follow us on CannaBuzz.
[25:50.580 --> 25:53.940]  CannaBuzz is my new favorite social media application.
[25:53.940 --> 25:55.340]  It is cannabis friendly.
[25:55.340 --> 26:01.580]  We cannot share, sell, buy, or trade cannabis on there, but we can absolutely post our cannabis
[26:01.580 --> 26:02.580]  photography.
[26:02.580 --> 26:04.640]  You can post photos of your concentrates.
[26:04.640 --> 26:06.380]  You can post your grow room pics.
[26:06.380 --> 26:08.260]  You can post your dab videos.
[26:08.260 --> 26:12.380]  Feel free to be a Canna nerd over on CannaBuzz.
[26:12.380 --> 26:14.420]  CannaBuzz is a free social media application.
[26:14.420 --> 26:17.220]  It is available for your iPhone or Apple.
[26:17.220 --> 26:20.580]  No, wait, it's your iPhone, your Apple or Android device.
[26:20.580 --> 26:23.460]  Wow, I really got carried away with that one.
[26:23.460 --> 26:24.460]  Download CannaBuzz.
[26:24.460 --> 26:25.460]  It's free.
[26:25.460 --> 26:28.340]  Join us, create a username, log in, join the community.
[26:28.340 --> 26:29.340]  Give me a follow.
[26:29.340 --> 26:30.860]  I am iRee underscore genetics.
[26:30.860 --> 26:33.140]  I would appreciate your support on CannaBuzz.
[26:33.140 --> 26:35.140]  I have got my own breeders group.
[26:35.140 --> 26:38.700]  If you go to the top, type in the search bar, the groups tab will come up.
[26:38.700 --> 26:39.700]  Scroll down.
[26:39.700 --> 26:41.580]  It is breeders dash iRee genetics.
[26:41.580 --> 26:45.100]  If you are growing iRee genetics, if you are interested in iRee genetics, or if you're
[26:45.100 --> 26:49.660]  just supporting iRee, or if you listen to the podcast, I would love to see you in the
[26:49.660 --> 26:52.620]  iRee genetics breeders group.
[26:52.620 --> 26:53.960]  Join us on CannaBuzz.
[26:53.960 --> 26:54.960]  Follow the group.
[26:54.960 --> 27:00.220]  I am giving away lots of prizes on CannaBuzz, and I will continue to give away more prizes
[27:00.220 --> 27:04.860]  as the application grows, as my following grows, and as the group grows.
[27:04.860 --> 27:06.260]  Come join us on CannaBuzz.
[27:06.260 --> 27:08.220]  Look forward to some free prizes.
[27:08.220 --> 27:11.860]  Also, I would appreciate it if you follow my YouTube channel.
[27:11.860 --> 27:15.740]  Go to YouTube, look for the Grow From Your Heart podcast, click subscribe, type some
[27:15.740 --> 27:19.700]  comments in some videos, and let me know what you think about the show.
[27:19.700 --> 27:22.700]  If you've got something you'd like to say and you're not into all of that social media
[27:22.700 --> 27:24.380]  nonsense, you can send me an email.
[27:24.380 --> 27:30.380]  My email address is growfromyourheartathotmail.com, and you know I would love to hear from you.
[27:30.380 --> 27:32.500]  Ladies and gentlemen, that is all I've got for this episode.
[27:32.500 --> 27:34.140]  I want to thank you again for joining me.
[27:34.180 --> 27:36.580]  I'll be back in a couple of days with fresh new content.
[27:36.580 --> 27:41.740]  I want to give a huge shout out to my buddy CJ, and until next time, take a fat dab and
[27:41.740 --> 27:42.860]  give your mom a hug for me.
