[00:00.000 --> 00:09.960]  Yeah, welcome back podcast world. I'm your host my friends call me Rasta Jeff and this is episode
[23:51.220 --> 23:55.940]  Started taking pictures take a couple and switch the settings this way as I go and pay attention to the differences
[23:56.060 --> 24:00.860]  Then learn how those two settings kind of work with each other. That's how I learned photography
[24:00.860 --> 24:04.580]  I know that's not the way to do it, but that is kind of how I learned stuff
[24:04.940 --> 24:09.740]  I've been learning under the gun. I got a camera and I thought I want to take pictures and I started shooting pictures
[24:09.740 --> 24:14.220]  They went online immediately. My photos got better. I just kept doing it as I was learning
[24:14.220 --> 24:17.260]  I never stopped to like take a class or learn anything
[24:17.860 --> 24:20.700]  Then I ended up doing a podcast ended up doing a video podcast
[24:20.780 --> 24:27.740]  I'm learning the video production the same exact way I produce the shows I edit them and then as I'm producing and editing them
[24:27.740 --> 24:31.620]  I learned mistakes. I made corrections. I can make improvements. I can make as I go
[24:31.620 --> 24:36.380]  That is how I learned photography video production podcasting. So I learned cannabis growing
[24:36.380 --> 24:39.120]  I did a lot of reading and research on cannabis growing because I was
[24:39.740 --> 24:45.780]  Completely passionate about it, but photography just came kind of naturally to me. I don't know what I'm doing
[24:45.780 --> 24:50.060]  I don't know how to take pictures of anything but cannabis plants and sneakers
[24:50.060 --> 24:51.980]  That is what I can take pictures of
[24:51.980 --> 24:55.380]  If you sign me up to be the photographer at your wedding or at a birthday party
[24:55.380 --> 25:00.700]  You're gonna be fucking mad because I don't know what I'm doing. Like I honestly I just have a good eye for the shot
[25:00.700 --> 25:05.220]  I know what I want. I've looked at magazines long enough to see what works well
[25:05.740 --> 25:07.740]  But honestly, I don't know what I'm doing
[25:08.300 --> 25:14.040]  Technically, there's no schooling behind it. It's all just hey, that's a good image. Let's catch that. So that is my disclaimer
[25:14.040 --> 25:18.520]  I am NOT a photographer. I play with a camera. So one of the first things you said
[25:19.240 --> 25:19.840]  Let's see
[25:19.840 --> 25:23.200]  One of the first things you want to know about some simple tips with gear to get started
[25:23.440 --> 25:29.320]  Honest, bro. Most of my photos are done with an iPhone 8 plus that is honest
[25:29.320 --> 25:37.040]  I've got this 8 plus and I love it for photography. It works very it's simple. I also have a Canon
[25:37.840 --> 25:43.120]  No, it's a Nikon d3200. Sorry my brain farted right there. I have a Nikon d3200
[25:43.120 --> 25:48.480]  That is kind of an older camera. I've got two lenses for it. One is close up and one is further away
[25:48.480 --> 25:53.280]  I use the further away lens and zoom in really close and I get beautiful shots
[25:53.280 --> 25:59.560]  It's a Nikon d3200 not a super expensive camera kind of an older camera. That's what I learned with
[25:59.560 --> 26:03.940]  That is how I learned how to take photos of cannabis a lot of the stuff you see
[26:04.360 --> 26:08.120]  From commercial grows that I post is with a Nikon d3200
[26:08.480 --> 26:11.160]  Now it's a very affordable camera because it's kind of old
[26:11.760 --> 26:14.240]  I do not use the auto settings
[26:14.240 --> 26:15.680]  I've learned a couple of settings on there
[26:15.680 --> 26:21.140]  Once you get your aperture setting right and your ISO setting right you'll learn exactly how to shoot in a grow room
[26:21.720 --> 26:29.320]  So what I'm getting at now, I've upgraded I've actually got the the Sony a6400 which takes beautiful pictures
[26:29.320 --> 26:33.280]  But I prefer it for the video camera. It doesn't move a lot right now that I've got it set up in the video spot
[26:33.280 --> 26:36.640]  It's beautiful, but that's what I'm using now. You don't see a lot of photos from that
[26:37.480 --> 26:41.720]  Most of it comes from the Nikon because it's a that's actually kept near the grow space
[26:42.200 --> 26:48.240]  so what I was gonna get out with that the most important part about your photography equipment in my opinion is
[26:48.840 --> 26:55.720]  understand the tool you have got if you're using an iPhone if you're using an Android phone if you're using a Canon camera a
[26:55.760 --> 27:01.280]  Nikon camera a Sony camera learn that device, but I don't think you
[27:02.160 --> 27:06.600]  Need a device that is above your skill level. I've got the Sony
[27:07.480 --> 27:14.800]  Which is this one the a6400 the a7 III would take a much better photo a much better video
[27:14.960 --> 27:20.800]  But it's got so many buttons and so many settings that I think it would just stumble me
[27:20.800 --> 27:24.960]  It would trip me up and confuse me more than it would help me to be productive
[27:24.960 --> 27:30.480]  I've got the highest camera that I think I could understand to be productive in a couple of years
[27:30.480 --> 27:32.800]  Once I understand all these settings and tools and tricks
[27:32.800 --> 27:36.840]  I will upgrade to that a7 III by then there'll be something better out. It'll be the a
[27:37.440 --> 27:41.520]  Fucking 22 5 or some shit. We'll get that one. But you see what I'm saying
[27:42.440 --> 27:47.760]  Just get the best tool that you can understand. I am NOT a professional guitar player
[27:47.760 --> 27:52.840]  So I don't have fucking Les Paul guitars and amplifiers everywhere. I'm a half-assed guitar player
[27:52.840 --> 27:57.400]  So I've got a Yamaha acoustic on a stand that's dusty get the best that you can handle
[27:57.400 --> 28:00.060]  Don't get something out of your league. That's gonna intimidate you
[28:00.720 --> 28:03.240]  Cameras can be confusing if you don't know what you're doing
[28:03.240 --> 28:07.620]  I honestly don't know what any of those buttons and settings mean I had to learn all of that stuff on the fly
[28:08.200 --> 28:10.920]  I learned all of it on YouTube, honestly
[28:10.960 --> 28:16.480]  So no know the gear that you've got learn the gear that you've got the best. It's not about having the best gear
[28:16.480 --> 28:18.960]  It's about mastering the gear that you do have
[28:20.440 --> 28:25.680]  Then where are we gonna go? There's a big learning curve when you do get a new camera
[28:25.760 --> 28:30.440]  You're gonna think oh, I'm gonna point this camera at the fucking plants and take a picture
[28:30.800 --> 28:36.760]  there are so many settings to play with like I talked about before that you're gonna have to figure out how to shoot in your
[28:36.920 --> 28:38.920]  environment a big tip and
[28:39.920 --> 28:41.200]  You can't do this everywhere
[28:41.200 --> 28:47.240]  If I did this in some commercial environments the lead grower the owner would come and throw a fucking fit turn off the grow lights
[28:47.240 --> 28:51.100]  In my personal grow space island plug the grow lights when I'm taking pictures now
[28:51.100 --> 28:57.980]  It's dark in there and I turn on a fluorescent light and we just got normal white lighting in the room the 4800 the 48k
[28:58.340 --> 29:03.580]  4800 Kelvin that's what I'm looking for that color looks really good for photography and for lighting
[29:03.580 --> 29:04.580]  That's what I got going on right here
[29:04.580 --> 29:08.980]  Those are at 4,800 K is what I believe the lighting in front of me is the one behind me different spectrum
[29:08.980 --> 29:12.100]  Don't judge me by that one. I just did that for ambience behind me these two in front
[29:12.780 --> 29:16.240]  4,800 K is where they are set. I think that's a beautiful color for photography
[29:16.660 --> 29:20.420]  So just use a fluorescent light turn off the grow lights use a fluorescent light in there
[29:20.940 --> 29:22.940]  The more lighting the better
[29:23.980 --> 29:25.980]  Let's talk about the shot. Um
[29:27.340 --> 29:33.160]  It doesn't matter how good your gear is if you can't frame a shot if you don't can't get your subject, right?
[29:33.160 --> 29:36.480]  You're not gonna take a good photo. Think look at what you're shooting
[29:36.480 --> 29:38.020]  Think about the subject
[29:38.020 --> 29:44.520]  Get the subject in the shot and then don't have a bunch of extra stuff in the shot if you can clean up the background
[29:44.520 --> 29:47.020]  I know where a lot of us are taking pictures in the garden
[29:47.020 --> 29:52.100]  We're in the grow so we can't just move everything out of the background if you can move that plant in front of a background
[29:52.100 --> 29:54.900]  like this curtain behind me or a cool color or a
[29:55.180 --> 29:58.980]  contrasting color something that's not green if you can put it in front of black or purple or
[29:59.100 --> 30:03.380]  Blue or something like that to make the greens and the Reds pop out. That's always a good idea
[30:03.380 --> 30:08.460]  Don't put it right against the background put it about a foot off of the background and lots of lighting
[30:08.460 --> 30:11.860]  But think about what's behind that picture
[30:11.860 --> 30:17.020]  Do you want to see like a bunch of crates and five-gallon buckets and maybe the toilet or something like that?
[30:17.020 --> 30:19.380]  You don't want to see all that dumb shit in the background. We want to see a beautiful
[30:19.900 --> 30:25.100]  Pleasing picture everything in the picture should catch my eye and make me go. Oh, that's a nice shot
[30:25.100 --> 30:31.700]  We don't need to see your pH pen. That's all crusty and the floor that's dirty and shit like that. Give us a pleasant shot
[30:37.070 --> 30:40.830]  What's the goal of your shot what are you trying to show me what do you want me to see as
[30:41.430 --> 30:48.190]  The photographer it's your responsibility to show me what you wanted me to see all I've got is this picture
[30:48.190 --> 30:52.350]  You're not gonna be there to say look at those trichomes if you want me to look at those trichomes
[30:52.670 --> 30:55.190]  Get those trichomes in the shot. That's all you got to do
[30:55.230 --> 31:00.950]  The one picture is your opportunity to tell me the story so frame it the way you want it get it framed up in there
[31:00.990 --> 31:02.750]  Like the shot you're looking at right now
[31:02.750 --> 31:05.570]  There's not a bunch of junk in the background not a bunch of junk on the sides
[31:05.710 --> 31:09.070]  If you do take a picture and there's a bunch of shit on the sides of your picture
[31:09.070 --> 31:13.230]  Don't be afraid to crop it. You could trim out the sides of your pictures like over here off-camera
[31:13.270 --> 31:18.630]  There's some recording equipment. You can't even see you think this room looks super clean and organized. No, there's a mess right there
[31:18.630 --> 31:22.950]  You can't even see it, but we just crop it out make it look super good and super professional
[31:23.070 --> 31:25.470]  Nobody has to know about that stuff unless you tell them
[31:26.070 --> 31:31.570]  So make the shot pleasing frame it have a good angle. Have a good background think about good colors
[31:32.430 --> 31:38.190]  Colors that contrast your plant colors that complement your plant. What are you trying to highlight? I've talked about this a little bit
[31:38.190 --> 31:40.990]  Are you trying to highlight the trichomes the colors the leaf shape?
[31:41.430 --> 31:47.870]  The density of the buzz are you trying to show me the whole plant get what you want in that shot step back step forward
[31:47.870 --> 31:50.550]  Move around don't be afraid to move around in the grow
[31:50.550 --> 31:51.710]  Sometimes I'll be in there
[31:51.710 --> 31:56.710]  Hanging off of a step ladder with one foot on the step ladder and one foot against the wall leaning up against the door
[31:57.030 --> 31:59.470]  Fucking precariously trying to get these shots
[32:00.390 --> 32:03.110]  Get the shots you need get in there take that shot
[32:03.390 --> 32:07.070]  Then when it's time when it's possible move that plant somewhere better
[32:07.070 --> 32:11.830]  So you can put it in front of a good background put it about a foot off of the background put some good lighting
[32:11.830 --> 32:14.430]  On it then start getting photos there. Um
[32:15.430 --> 32:21.710]  Lighting lighting lighting lighting is amazing. The more lighting the better in my opinion
[32:21.710 --> 32:24.510]  You can't add light to a photo once you take it
[32:24.510 --> 32:30.390]  You can adjust the exposure a little bit, but you can't add lighting to a photo. You can take lighting out later
[32:30.390 --> 32:32.390]  so the more lighting is
[32:32.550 --> 32:34.310]  Fucking the better in my opinion
[32:34.310 --> 32:35.270]  That's what I'm getting at
[32:35.270 --> 32:41.150]  Lighting lighting lighting light it from all angles if you can light it from the bottom up from the back forward from the front back
[32:41.150 --> 32:45.270]  The more lighting the better that takes out your shadows that takes out all the weirdness
[32:45.270 --> 32:50.870]  It makes it easier to edit then later on when you learn photo stacking. You've just got so many more options
[32:50.870 --> 32:52.590]  We're not even gonna talk about photo stacking now
[32:52.590 --> 32:53.750]  That's a whole nother ballgame
[32:53.750 --> 32:57.470]  Shout out to the people who try to teach me that that I just simply don't have the patience for it
[32:57.470 --> 33:01.710]  I get it, but that's a lot of time you photographers are crazy. Um
[33:02.390 --> 33:08.470]  Lighting lighting lighting light that shit up. The 4,800 Kelvin lighting is beautiful put a light in front of it
[33:09.150 --> 33:12.010]  Maybe take a couple of pictures with your flash and see what it does
[33:12.010 --> 33:15.830]  Take a couple of pictures without the flash and see what it does. You're gonna notice a huge difference
[33:16.310 --> 33:22.410]  If the lighting is not right, the flash is going to give you shadows see where that shadow lies adjust your lighting there
[33:22.410 --> 33:27.110]  I've got two lights in front of me and a light behind me for this recording the light behind me
[33:27.350 --> 33:31.190]  Separates me from my background. I think it gives me a little bit of depth when you put the plants
[33:31.990 --> 33:37.150]  To the background and a light between them it'll provide depth it'll cut out a bunch of shadows. That'll work really well
[33:37.150 --> 33:39.610]  That's a big photography secret put a light behind you
[33:40.790 --> 33:43.830]  So the beauty the beauty about photography now
[33:44.550 --> 33:48.750]  We've come a long way. We're digital. We've got memory cards back in the day
[33:49.030 --> 33:53.390]  Every photo costed you money costed money. Is that the appropriate is costed a word?
[33:53.390 --> 33:55.150]  I don't know back in the day
[33:55.150 --> 34:01.950]  Every photo was an expense because film wasn't free every photo went on to a piece of film and it had to be developed in
[34:01.950 --> 34:07.130]  A dark room somebody had to go develop that film that got expensive that got time-consuming now
[34:07.130 --> 34:11.150]  It's all digital now just fucking spray and pray and take a bunch of shots
[34:11.430 --> 34:16.170]  Take get the angle you want set your camera up where you want it get your subject where you want it for this
[34:16.170 --> 34:21.070]  We're just gonna say that my hand right here is my subject and my microphone is my camera get it set up
[34:21.230 --> 34:25.130]  Take a couple of shots chop chop chop. You got the shot you want right now change the setting
[34:25.270 --> 34:29.430]  Just change one or two settings a couple of directions take a couple more shots chop chop chop
[34:30.110 --> 34:32.390]  Change the setting a couple more times take a couple more
[34:32.630 --> 34:36.910]  Then when you're going through later on and looking at your photos that one that shines for you
[34:36.910 --> 34:42.790]  If you've got a good camera the settings will pop up on the camera and show you what settings you use to take that photo
[34:43.170 --> 34:48.150]  Now is your chance to grab a pen and write down those settings and duplicate those settings the next time you go into the grow
[34:48.150 --> 34:51.030]  room just go in there and change that setting again or
[34:51.550 --> 34:56.310]  Put your camera on auto and go into the room and take a couple of shots and then once it's on auto
[34:56.310 --> 35:00.790]  It's gonna adjust itself for you find the setting you want and then kind of mimic that and play with it from there later
[35:00.790 --> 35:03.390]  I like to use the macro mode on the camera
[35:03.390 --> 35:07.490]  It's the one with a little tiny flower on it and gets me nice and close gets me some good close shots
[35:07.490 --> 35:10.190]  If I'm backing up, I generally use that portrait mode
[35:10.750 --> 35:12.750]  You'll learn your camera
[35:13.350 --> 35:17.190]  One of the funnest parts about cameras and photography is there are no rules
[35:17.190 --> 35:22.310]  The only rules are like don't take pictures of the wrong person at the wrong time and don't get yourself in trouble you fucking creep
[35:22.310 --> 35:26.910]  But the main part about photography, there's no rules take pictures and have a good time. You're not hurting anything
[35:26.910 --> 35:27.910]  It doesn't cost you a lot
[35:27.910 --> 35:31.110]  Once you got the gear the memory card is in there snap snap snap
[35:31.510 --> 35:36.530]  Take a bunch of shots delete the ones you don't like repeat the process get better get more comfortable
[35:37.270 --> 35:40.150]  Eventually, you'll get to where you get us walk in you can set up your camera to go
[35:40.150 --> 35:42.350]  Oh, look, there's the shot that we need and you take two shots
[35:42.430 --> 35:44.430]  You move over and you go
[35:44.430 --> 35:45.730]  And you go, thank you guys
[35:45.730 --> 35:46.750]  I was ten thousand dollars
[35:46.750 --> 35:48.750]  They pay you ten G's and you go back to your
[35:48.910 --> 35:53.390]  Studio and you edit a couple things for a couple of seconds and you send them their fucking pristine photos
[35:53.390 --> 35:57.830]  I only took you two shots because you knew exactly what you were looking for. You developed that photographers
[35:57.830 --> 35:59.750]  I you just look at a shot and you go
[35:59.750 --> 36:04.230]  Oh that looks good right there the way that plant shines right there the way that leaf goes that direction in that direction
[36:04.790 --> 36:09.710]  You'll learn get this part of the plan in there and kind of crop this part out because it makes me want to see more
[36:09.710 --> 36:14.070]  Get just the top of the bud in there and leave a little top for visual like you'll start seeing it
[36:14.070 --> 36:16.870]  Then you'll learn the camera setting you'll say oh, there's this much light in here
[36:16.870 --> 36:19.510]  I want to get this much depth in here. I should use this lens
[36:19.590 --> 36:25.150]  Let's go shebang and you'll take two shots like a fucking sniper sniper gets one shot. I want two angles
[36:25.390 --> 36:30.030]  We're hitting two targets here. So shot move over shot again. Go home make your money
[36:30.550 --> 36:36.130]  So I am NOT a professional photographer. I told you what I do. That's what you asked for
[36:36.130 --> 36:40.630]  I can't teach you what a professional photographer does. I do not claim to be a professional photog
[36:41.170 --> 36:42.490]  That is not what I do
[36:42.490 --> 36:47.430]  I'm a guy with a camera who's passionate about cannabis who wanted to share those photos with my friends
[36:47.430 --> 36:52.170]  I just learned how to take pictures because of that. So I'm gonna make sure I answer the questions
[36:52.530 --> 36:58.930]  What do you use iPhone Nikon and a Canon some tips tips for better social media posts?
[36:59.610 --> 37:02.970]  That's a little tiny square. What are you trying to show me in that little tiny square?
[37:02.970 --> 37:09.050]  If you look at most of my photos, I am a seed maker who is trying to highlight my seed brand
[37:09.050 --> 37:15.250]  I'm showing you the colors the textures the trichome level of the plants that are coming from my seeds
[37:15.250 --> 37:18.210]  I try to have a good clear background without a bunch of shit in the background
[37:18.850 --> 37:22.370]  Good clear solid post that shows you exactly what you're looking at
[37:22.410 --> 37:27.810]  Then I try to use somewhere between three and five hashtags if you use the same hashtag too many times
[37:27.810 --> 37:34.170]  They'll start blocking that hashtag. They'll shadow ban it won't get seen so rotate your hashtags pick three or five and stick with them
[37:34.650 --> 37:40.770]  Also before you use those hashtags search them see if they have been shadow banned or blocked because they're blocking a lot of the cannabis
[37:40.770 --> 37:45.490]  Community popular hashtags on social media now, so make sure they aren't blocked
[37:45.490 --> 37:49.210]  Also, I've noticed that my stories get viewed more than my posts
[37:49.210 --> 37:53.330]  So maybe post in your stories post a post on Instagram then share it to your story
[37:53.850 --> 37:58.130]  Stories and posts with the location definitely get more views. That's something that I've noticed
[37:59.210 --> 38:02.050]  Where are we with that tips for more social media?
[38:02.050 --> 38:06.810]  I think that's what I've got for you for the best social media post put in my tester application
[38:06.810 --> 38:12.330]  Is there anything I could do to improve my chances right now? I'm taking a break from selecting testers because I've got
[38:13.210 --> 38:14.410]  I'm in over my head
[38:14.410 --> 38:18.710]  I got a lot going on and I don't want to commit to sending out a bunch of test seeds to people right now
[38:18.710 --> 38:22.050]  I've got enough out there. I'm getting reports. I've got enough going on
[38:22.050 --> 38:25.050]  But I've got you written down. I know who you are
[38:25.050 --> 38:30.770]  Now you are now on my radar radar when it comes time to selecting testers. Your name does look familiar
[38:31.450 --> 38:37.210]  That does help you out a lot. And I also now I know that you're on patreon. That does help out a lot as well
[38:37.810 --> 38:42.490]  Jethro Earl, thank you, bro. You gave me a good question to ramble on. I hope I answered some questions
[38:43.050 --> 38:49.210]  Honestly, I think honesty is the best policy. I am NOT a trained educated skilled photographer
[38:49.450 --> 38:54.050]  I am just I'm an idiot with a lot of experience to be quite honest with you
[38:54.050 --> 38:56.190]  I just did it until I figured it out
[38:56.190 --> 38:57.170]  I failed a few times
[38:57.170 --> 39:01.650]  But the best part about failing with photography is all you got to do is delete a couple photos. Nothing went wrong
[39:01.930 --> 39:06.170]  Just wasted some space on a memory card a couple of flashes on the flash is all so
[39:06.690 --> 39:12.010]  Yeah, get experienced to get there and take pictures and then watch the settings that work for you modify repeat
[39:12.690 --> 39:17.410]  Adjust and adapt and most importantly dude have fun with it. Have fun
[39:17.490 --> 39:24.610]  We've all been programmed and brainwashed to make all of our posts look exactly the same for social media when we scroll through social media
[39:24.610 --> 39:28.490]  It all looks basically the same. There's a little we've all got the same filters
[39:28.570 --> 39:35.490]  There's like a little we're all we've all fallen into an algorithm accidentally to make our photos pleasing and appealing for social media
[39:36.490 --> 39:41.730]  Get away from that and have fun take pictures of what you love snap the images that you see
[39:41.730 --> 39:46.770]  That's what that's the beauty of the camera. You've got the camera you get to capture what you see
[39:46.770 --> 39:50.770]  So get it the best you can it's like playing an instrument when I first got drums
[39:50.770 --> 39:53.450]  I didn't know how to say what I was thinking on the drums
[39:53.450 --> 39:55.930]  I would think book it to catch a doom doom pow and I would play it
[39:55.930 --> 39:59.450]  It would say but now I could say book it to catch a boom boom pow
[39:59.450 --> 40:03.210]  And then I could say well, how about chicka chicka peck it to deck it to deck a pile on top of it?
[40:03.210 --> 40:05.050]  And I can think it and play it now
[40:05.050 --> 40:09.370]  Eventually, you'll get the same way with your camera. You'll say ooh, I see that shot. I want to get lighting here
[40:09.370 --> 40:14.290]  I want to get these colors. I want this texture hit these buttons. Turn this knob zoom in chip chop. You got it
[40:14.290 --> 40:17.250]  You're ready to go. So bro. Thank you for the great question
[40:17.250 --> 40:21.290]  It is time for me to wrap up this long episode of the grow from your heart podcast
[40:21.290 --> 40:23.790]  I want to thank you for hanging out. I had fun recording this episode
[40:24.210 --> 40:30.290]  This wrap-up portion of the show is brought to you by my friend ADHD grower big shout-outs my buddy ADHD grower
[40:30.290 --> 40:33.050]  We don't have corporate sponsors here at the grow from your heart podcast
[40:33.170 --> 40:36.930]  We've got friends and family that support us and I want to make sure to give them some shout outs
[40:36.930 --> 40:40.650]  If you feel like this episode was educational informative and or entertaining
[40:40.650 --> 40:44.530]  Maybe you like to just throw me a couple of bucks because I taught you something or made you laugh a couple of times
[40:44.530 --> 40:46.530]  All you have to do is visit
[40:46.530 --> 40:48.250]  www.patreon.com
[40:48.250 --> 40:52.570]  Forward slash grow from your heart all of the information you need is right there on the screen
[40:52.570 --> 40:57.050]  And again, there is a link in the show notes and the video description to make it nice and easy
[40:57.290 --> 41:01.650]  For all of my friends if you have got any questions corrections comments or concerns
[41:01.650 --> 41:06.850]  I would love to hear from you. The email address for the podcast is grow from your heart at hotmail.com
[41:07.290 --> 41:09.690]  Once again, we do have a website
[41:10.370 --> 41:17.450]  Ireegenetics.com all things I re genetics all things grow from your heart all things Rasta Jeff are listed right there at Iree
[41:17.850 --> 41:22.890]  Genetics.com, please do check it out. That is all I've got for you for this episode
[41:22.890 --> 41:26.850]  I want to thank you once again for listening to a long episode of the grow from your heart podcast
[41:26.850 --> 41:32.490]  I want to give a big shout out to my buddy North North turps and until next time take a fat dad and give
[41:32.490 --> 41:34.490]  Your mama hug for me
