[00:03.900 --> 00:31.030]  Welcome back, Podcast World!
[34:42.640 --> 34:46.320]  Every single day, I will feed my plants a solid base mix.
[34:46.320 --> 34:50.960]  Then I will add a booster every day and I will rotate those boosters depending on what
[34:50.960 --> 34:52.560]  the plants may need.
[34:52.560 --> 34:55.920]  In this small veg case, my booster would be the CalMag.
[34:55.920 --> 34:57.320]  I would water the nutrients.
[34:57.320 --> 35:01.920]  I would put the base nutrient, I would put the fulvic acid, and I would put the mycos
[35:01.920 --> 35:04.480]  in my nutrient solution every single day.
[35:04.480 --> 35:07.000]  Then once a week, I would put that CalMag in there.
[35:07.000 --> 35:09.980]  That would be my booster for these small plants.
[35:09.980 --> 35:14.380]  Now if you're working in soil or soilless mix, you don't need to feed nutrients as often
[35:14.380 --> 35:16.900]  because they stick around in the dirt a little better.
[35:16.900 --> 35:21.700]  I would recommend you feed with nutrients one feed, then water the next feed.
[35:21.700 --> 35:26.300]  When you're feeding with just clean water, please adjust the pH just like you do when
[35:26.300 --> 35:27.900]  you're mixing nutrients.
[35:27.900 --> 35:32.220]  Fill your container with water, stick your pH meter in there, see what it says, adjust
[35:32.220 --> 35:34.340]  it up or down accordingly.
[35:34.340 --> 35:37.300]  You need to adjust the pH at every feeding.
[35:37.300 --> 35:42.700]  I would recommend you do one feeding of nutrients, one watering of pH adjusted water, then I
[35:42.700 --> 35:47.140]  would go back to that basic nutrient regimen for the next watering.
[35:47.140 --> 35:50.220]  These small veg plants will need frequent watering.
[35:50.220 --> 35:51.340]  Pay attention to them.
[35:51.340 --> 35:52.820]  Don't let them get too dry.
[35:52.820 --> 35:54.100]  Don't let them be over watered.
[35:54.100 --> 35:57.420]  Once again, check out the one through five watering tech.
[35:57.420 --> 36:00.780]  Another thing we need to pay attention to is over-nutrienting.
[36:00.780 --> 36:02.460]  Are we over-fertilizing these plants?
[36:02.460 --> 36:03.620]  Are we burning them?
[36:03.620 --> 36:05.660]  Pay attention to the leaf tips.
[36:05.660 --> 36:10.100]  If the very tips of the leaves start to look brown or the wrong color, or if they start
[36:10.100 --> 36:12.300]  to curl, we are feeding too much.
[36:12.300 --> 36:16.560]  If your leaves look pale and yellow, we are not feeding enough.
[36:16.560 --> 36:20.780]  If you have a mixture of those two symptoms, your pH is probably off.
[36:20.780 --> 36:24.980]  One of the very first things I recommended in these grow lessons was that you buy a book
[36:24.980 --> 36:26.780]  and you read it.
[36:26.780 --> 36:28.600]  Hopefully you've already done some reading.
[36:28.600 --> 36:32.320]  Hopefully you have looked at some leaf charts and you know what deficiencies look like so
[36:32.320 --> 36:33.860]  you know what to pay attention to.
[36:33.860 --> 36:37.980]  You know what a healthy leaf looks like and you know what an unhealthy leaf looks like.
[36:37.980 --> 36:39.500]  It's going to pop out in your head.
[36:39.500 --> 36:42.340]  When you see those leaves doing something weird, you're going to say, that's not what
[36:42.340 --> 36:44.940]  the book said this should look like.
[36:44.940 --> 36:46.360]  Hopefully you've gotten the book.
[36:46.360 --> 36:48.220]  Hopefully you have read the book.
[36:48.220 --> 36:49.340]  Pay attention to your plants.
[36:49.340 --> 36:53.820]  If they are showing you that they need more nutrients, increase your nutrients.
[36:53.820 --> 36:56.000]  Give it a little more base nutrients.
[36:56.000 --> 36:59.200]  You probably don't need to increase the amount of fulvic.
[36:59.200 --> 37:05.280]  When it comes to mycos, I have learned that it is better to feed small amounts more frequently
[37:05.280 --> 37:08.320]  than to try to feed a whole bunch at one time.
[37:08.320 --> 37:11.280]  You're not going to do any good by pouring the whole bottle in there at one time.
[37:11.280 --> 37:16.520]  It would be more effective to pour the bottle in there slowly over a course of time.
[37:16.520 --> 37:20.120]  Maybe if you see a deficiency, just increase that base nutrient.
[37:20.120 --> 37:23.640]  What you're going to run into a deficiency with in small plants is either going to be
[37:23.640 --> 37:25.800]  nitrogen or cow mag.
[37:25.800 --> 37:28.280]  That is going to be your most common deficiency.
[37:28.360 --> 37:33.160]  Pay attention to those two things and learn what that looks like.
[37:33.160 --> 37:36.320]  The next common thing you're going to find is nutrient burn.
[37:36.320 --> 37:39.240]  People are going to try to feed too much to these plants.
[37:39.240 --> 37:41.920]  I heard somebody say the term moron.
[37:41.920 --> 37:45.400]  I just want to put more on it to make it grow faster.
[37:45.400 --> 37:47.280]  I thought it was hilarious when I heard that.
[37:47.280 --> 37:49.200]  I know a lot of people like that.
[37:49.200 --> 37:50.720]  Don't be that guy.
[37:50.720 --> 37:55.480]  Now, if you're running a hydroponic system, if you're in Rockwell Cubes and you're doing
[37:55.480 --> 38:00.280]  a top feed, or if you're in some type of ebb and flow system, your small veg phase
[38:00.280 --> 38:04.840]  will not be nearly as long as us growing in cocoa or a soilless mix.
[38:04.840 --> 38:07.520]  Your small veg phase zips right by.
[38:07.520 --> 38:10.860]  I think the hydro grows go much more quickly in veg.
[38:10.860 --> 38:13.940]  Your small veg phase may be only about a week long.
[38:13.940 --> 38:20.720]  You're going to need to introduce more nutrients at a higher rate sooner in a hydroponic setup.
[38:20.720 --> 38:22.360]  But pay attention to the plants.
[38:22.360 --> 38:25.760]  That is very plant-specific and very strain-specific.
[38:25.760 --> 38:31.440]  But since the plants grow a little more quickly, you are going to need more nutrients sooner.
[38:31.440 --> 38:36.280]  One thing I'm going to remind you of in your hydroponics is to stay on top of your pH and
[38:36.280 --> 38:38.400]  your EC or your PPMs.
[38:38.400 --> 38:42.720]  Check it every single day and adjust as needed.
[38:42.720 --> 38:47.880]  Water is going to evaporate from your hydroponic setup, but the nutrients will not evaporate.
[38:47.880 --> 38:52.320]  So your pH and your PPMs are going to fluctuate during that evaporation.
[38:52.320 --> 38:55.360]  Also, the plants are going to consume some of the water.
[38:55.360 --> 38:59.280]  So the water is going to disappear throughout the day, which is going to cause changes in
[38:59.280 --> 39:00.800]  your reservoir.
[39:00.800 --> 39:05.160]  As a hydroponic grower, you need to be on top of that every single day.
[39:05.160 --> 39:10.600]  Also, I'm going to recommend you take extra notes as a hydro grower.
[39:10.600 --> 39:13.680]  Reactions happen a little more quickly and the plants are a little more sensitive when
[39:13.680 --> 39:18.840]  you're running hydro because you don't have that big soil life system to work as a buffer.
[39:18.840 --> 39:23.240]  All right, boys and girls, I feel like that is a good talk on small veg.
[39:23.240 --> 39:27.120]  We're going to leave these plants in these pots for two to four weeks, depending on how
[39:27.120 --> 39:28.580]  quickly they grow.
[39:28.580 --> 39:29.840]  That's very strain-dependent.
[39:29.840 --> 39:32.080]  That's very environment-dependent.
[39:32.080 --> 39:36.000]  One thing I want to remind you to do is spread your small veg plants out.
[39:36.000 --> 39:40.080]  We do have them crushed together now because they're small plants, but as they get larger,
[39:40.080 --> 39:41.360]  make sure you spread them out.
[39:41.360 --> 39:42.360]  Give them more space.
[39:42.360 --> 39:43.360]  They want to grow.
[39:44.040 --> 39:45.040]  They want to branch out.
[39:45.040 --> 39:47.960]  If you've got them all crushed together, they're going to grow straight up and get really,
[39:47.960 --> 39:48.960]  really tall.
[39:48.960 --> 39:51.800]  If you give them space to branch out, they will do so.
[39:51.800 --> 39:54.680]  Then when you top them, you've got nice bushes.
[39:54.680 --> 39:56.400]  That's coming up in the future.
[39:56.400 --> 39:58.440]  You guys, I know I didn't talk about soil.
[39:58.440 --> 40:00.600]  I didn't talk about containers in this episode.
[40:00.600 --> 40:04.560]  I feel like I covered that in the previous episode, so we were up to speed there.
[40:04.560 --> 40:07.680]  We're going to leave these plants in these containers for two to four weeks.
[40:07.680 --> 40:13.100]  Then we will pot them into three gallon or five gallon or perhaps seven gallon containers.
[40:13.840 --> 40:16.740]  Maybe some of you out there are going to go huge and go into a 20 or an even larger container,
[40:16.740 --> 40:19.420]  but we're going to work on that on the next episode.
[40:19.420 --> 40:21.980]  We've got a little time to let these plants grow.
[40:21.980 --> 40:26.800]  Your job now is to keep them healthy, keep them happy, keep them pest and pathogen free.
[40:26.800 --> 40:28.540]  Keep working on those roots.
[40:28.540 --> 40:32.580]  If you see any yellow or funky leaves, make sure you pull that stuff off.
[40:32.580 --> 40:34.520]  Just take good care of your new sweet little babies.
[40:34.520 --> 40:38.100]  Make sure they don't have any problems so that when we transplant them into their bigger
[40:38.100 --> 40:39.580]  pots, they're ready to go.
[40:39.580 --> 40:43.860]  We've got a fat root system and they don't go into any shock from a transplant.
[40:43.860 --> 40:48.140]  I just realized that I did not cover any pest management for our small plants.
[40:48.140 --> 40:50.420]  Let's talk about that really quickly.
[40:50.420 --> 40:55.340]  Hopefully you have decided on an integrated pest management system for your garden before
[40:55.340 --> 40:56.340]  this point.
[40:56.340 --> 40:59.060]  Hopefully that was part of your planning phase.
[40:59.060 --> 41:02.640]  Hopefully we don't have any pests or problems on our small plants.
[41:02.640 --> 41:06.780]  Some folks will choose to apply a pesticide as a preventative.
[41:06.780 --> 41:12.140]  Some folks will wait until they see a problem to use a pesticide on a plant this small.
[41:12.140 --> 41:16.660]  I would like to wait until I transplant these into their three gallon pots before I put
[41:16.660 --> 41:18.340]  any pesticides on them.
[41:18.340 --> 41:23.100]  However, in some environments, I don't trust the place and I need to put a pesticide on
[41:23.100 --> 41:24.100]  it.
[41:24.100 --> 41:29.340]  I would use something like evergreen and I would probably use it around 15 mils per gallon.
[41:29.340 --> 41:33.140]  I would make sure to apply it while the lights were off and I would be sure that the plants
[41:33.140 --> 41:36.900]  were completely dry before I turned the lights back on.
[41:36.900 --> 41:42.700]  I would probably do this approximately every five to seven days while the plants are little
[41:42.700 --> 41:48.180]  if I were in a place that had a reputation for getting a pest infestation.
[41:48.180 --> 41:52.260]  I feel like that should keep us pest free for the first four weeks and then we can really
[41:52.260 --> 41:58.060]  start implementing our integrated pest management once we transplant into those three gallon
[41:58.060 --> 41:59.060]  pots.
[41:59.060 --> 42:00.180]  All right, podcast world.
[42:00.180 --> 42:03.620]  I feel like that is a solid show about small veg.
[42:03.620 --> 42:07.700]  If you feel like this episode was educational, informative, or entertaining and you would
[42:07.700 --> 42:11.980]  like to make a financial contribution to the show, I encourage you to do so.
[42:11.980 --> 42:17.700]  You can do that by going to patreon.com slash growfromyourheart.
[42:17.700 --> 42:21.340]  All of the information you need to become a patron will be right there on the screen
[42:21.340 --> 42:23.340]  and I do appreciate all of the support.
[42:23.340 --> 42:27.500]  Now, while I'm talking about Patreon, let me bring up something I keep forgetting to
[42:27.500 --> 42:29.340]  mention on the podcast.
[42:29.500 --> 42:35.140]  Recently, Patreon changed the way that contributors cards are billed.
[42:35.140 --> 42:40.700]  During that process, many contributors were removed from content creators pages.
[42:40.700 --> 42:45.420]  If you feel like you are contributing to a Patreon campaign, I encourage you to log into
[42:45.420 --> 42:50.300]  your Patreon account and check the status of all your content creators.
[42:50.300 --> 42:53.980]  Please make sure you are still signed up and contributing to all of the people in which
[42:53.980 --> 42:55.900]  you have been supporting.
[42:55.900 --> 43:00.540]  Grow from our community means a lot to content creators and it would really break our hearts
[43:00.540 --> 43:03.620]  to lose contributions because of a technical glitch.
[43:03.620 --> 43:06.340]  Again, please check on your Patreon campaigns.
[43:06.340 --> 43:09.860]  Make sure you are contributing to all of the creators which you believe you are creating
[43:09.860 --> 43:13.060]  and keep the vibe alive and keep showing them love and support.
[43:13.060 --> 43:15.860]  All right, you guys, that's all I've got for you for this week.
[43:15.860 --> 43:19.500]  I would appreciate it if you find me on the social media, on Facebook.
[43:19.500 --> 43:21.900]  Simply search for the Grow From Your Heart podcast on Twitter.
[43:21.900 --> 43:24.060]  It's at GFYH podcast.
[43:24.060 --> 43:26.260]  Of course, I do have an Instagram feed.
[43:26.260 --> 43:28.400]  It's irie underscore genetics.
[43:28.400 --> 43:29.400]  Find me on Instagram.
[43:29.400 --> 43:31.300]  Jump into my Instagram live videos.
[43:31.300 --> 43:34.860]  You can hang out, take dabs, chat, ask me some questions.
[43:34.860 --> 43:37.700]  Maybe I will answer your questions there on the live feed.
[43:37.700 --> 43:39.620]  I encourage you to join.
[43:39.620 --> 43:42.420]  Don't forget that I added some new merchandise to my web store.
[43:42.420 --> 43:47.380]  Go to iriegeneticscolorado.com slash irie-store.
[43:47.380 --> 43:50.000]  There are Grow From Your Heart podcast t-shirts.
[43:50.000 --> 43:52.200]  There are Grow From Your Heart podcast hoodies.
[43:52.200 --> 43:57.680]  There are Irie Genetics t-shirts and hoodies, and there are new Irie Army t-shirts.
[43:57.680 --> 44:01.940]  I think they would all look great on you, so support the web store.
[44:01.940 --> 44:04.880]  If you've got any questions, you guys, you can reach out to me via email.
[44:04.880 --> 44:07.760]  My email address is growfromyourheartathotmail.com.
[44:07.760 --> 44:10.400]  I do love all of the interaction.
[44:10.400 --> 44:12.600]  Make sure you support our sponsor, the Hella Dank Seed Company.
[44:12.600 --> 44:15.240]  Of course, they are at dankseed.store.
[44:15.240 --> 44:19.280]  You guys, my voice is burning out just in time, so thanks for listening to this episode.
[44:19.280 --> 44:21.680]  I'll be back in a couple of days with another grow lesson.
[44:21.680 --> 44:25.480]  I want to give a huge shout out to my buddy, Stabby McStabberson.
[44:25.480 --> 44:29.200]  Until next time, take a fat dab and give your mom a hug for me.
[44:29.200 --> 44:30.800]  Welcome to the show, Podcast World.
[44:30.800 --> 44:34.560]  It's time for episode 369 of the Grow From Your Heart podcast.
[44:34.560 --> 44:37.680]  This episode is brought to you by the Hella Dank Seed Company.
[44:37.680 --> 44:42.640]  If you need new seeds for your garden, I highly recommend the Hella Dank Seed Company, and
[44:42.640 --> 44:48.320]  you can find them at www.dankseed.store.
[44:48.360 --> 44:51.560]  You guys know I like to start the show off by letting you know what I'm smoking.
[44:51.560 --> 44:56.840]  Today, I'm taking dabs of something called Fluffernutter Sauce from Contraband Concentrates.
[44:56.840 --> 44:59.720]  I picked this up at a cut above in Colorado Springs.
[44:59.720 --> 45:02.560]  This stuff has a very unique aroma and flavor to it.
[45:02.560 --> 45:05.720]  I'm going to bust the container open again just to get a fresh smell to try to explain
[45:05.720 --> 45:07.920]  this to you.
[45:07.920 --> 45:10.960]  It's got that dryer sheet sort of smell that I really enjoy.
[45:10.960 --> 45:14.400]  A lot of the concentrates from Contraband have that dryer sheet terp.
[45:14.400 --> 45:16.600]  I'm not sure which terp that is.
[45:16.600 --> 45:17.640]  It really smells great.
[45:17.640 --> 45:19.200]  My body really likes it.
[45:19.200 --> 45:20.400]  It's kind of sweet.
[45:20.400 --> 45:21.720]  It's kind of sharp.
[45:21.720 --> 45:24.280]  It's got almost a citrus thing to it.
[45:24.280 --> 45:26.880]  If you let it sit on the nose for a minute and you just give it a nice smell and let
[45:26.880 --> 45:31.520]  it rest, it has a really warm aroma to it, something warm in the background.
[45:31.520 --> 45:32.720]  That may sound crazy.
[45:32.720 --> 45:36.600]  A lot of people tell me that my strain descriptions are completely crazy, but if you bought a
[45:36.600 --> 45:39.960]  gram of this and you cracked it open and gave it a smell, you would say that is sweet with
[45:39.960 --> 45:44.400]  a hint of citrus with a little warmth at the end, and you would probably agree with me.
[45:44.400 --> 45:48.880]  You guys, I always love the high of the products I buy from Contraband Concentrates.
[45:48.880 --> 45:50.280]  It's always got that nice head buzz.
[45:50.280 --> 45:55.640]  I feel like maybe that sharp dryer sheet sort of aroma has something to do with the head
[45:55.640 --> 45:57.520]  buzz that I get from this concentrate.
[45:57.520 --> 45:59.080]  Anyway, they always do a good job.
[45:59.080 --> 46:02.320]  Big shout out to the Fluffernutter Sauce from Contraband Concentrates.
[46:02.320 --> 46:04.680]  It's obviously got me nice and rambly.
[46:04.680 --> 46:06.960]  This will be a great podcast.
[46:06.960 --> 46:10.400]  I do have a lot of great information written down for you in this episode, but before we
[46:10.400 --> 46:13.760]  get to it, I would like to give a few people some shout outs.
[46:14.120 --> 46:15.440]  Let's start off with Brett Gorman.
[46:15.440 --> 46:17.440]  How about a big giant shout out to Brett Gorman?
[46:17.440 --> 46:18.840]  Thanks for all the support, dude.
[46:18.840 --> 46:20.160]  Also a big shout out to Aldridge.
[46:20.160 --> 46:22.360]  Once again, I totally appreciate that support.
[46:22.360 --> 46:27.560]  And also a shout out to Sam and Steve F. Thank you for all of the support on Patreon.
[46:27.560 --> 46:30.240]  I truly do appreciate that.
[46:30.240 --> 46:34.280]  If you would like to learn how to become a patron, you can do so by going to patreon.com
[46:34.280 --> 46:35.600]  slash growfromyourheart.
[46:35.600 --> 46:37.840]  All the information you need will be right there.
[46:37.840 --> 46:39.880]  And once again, thanks for all the support, everybody.
[46:39.880 --> 46:41.080]  It does mean a lot to me.
[46:41.080 --> 46:42.640]  All right, podcast world.
[46:42.640 --> 46:45.500]  In this episode, I am going to do another grow lesson.
[46:45.500 --> 46:49.960]  If you have been following along, you know I've been doing a long series of grow lessons.
[46:49.960 --> 46:52.560]  In that series, we set a goal for our grow.
[46:52.560 --> 46:54.640]  We found a safe place for our grow.
[46:54.640 --> 46:57.360]  We've selected the appropriate equipment for our grow.
[46:57.360 --> 47:01.680]  We've also selected the appropriate nutrients and pest management system for that grow.
[47:01.680 --> 47:04.800]  Now we have either sprouted seeds or potted some clones.
[47:04.800 --> 47:09.520]  Now in this point of our grow, we have got clones or seedlings in small pots.
[47:09.520 --> 47:13.520]  They're probably six to 10 inches tall at this point, and they're developing nice fat
[47:13.520 --> 47:14.520]  roots.
[47:14.520 --> 47:16.240]  That's where we are in these grow lessons.
[47:16.240 --> 47:19.680]  In this lesson, I plan to talk a little bit more about small veg.
[47:19.680 --> 47:23.120]  We're going to continue that conversation since time has progressed, since we put our
[47:23.120 --> 47:25.040]  plants into the small pots.
[47:25.040 --> 47:29.080]  Then I want to work my way into talking about microbe products and root development and
[47:29.080 --> 47:34.880]  the importance of healthy roots and the benefits of using a quality microbe product.
[47:34.880 --> 47:36.760]  Some of this episode may feel like a recap.
[47:36.760 --> 47:40.760]  Some of it will be a recap, but we will work our way right into our current state, so be
[47:40.760 --> 47:41.760]  patient.
[47:41.760 --> 47:43.680]  Sometimes I feel like it's good to remind people.
[47:43.680 --> 47:47.760]  Not everybody listens to every episode, so I like to get people up to speed.
[47:47.760 --> 47:50.440]  Before I move forward, I do need to correct myself.
[47:50.440 --> 47:52.840]  I made a mistake on the last episode.
[47:52.840 --> 47:56.960]  In the last episode, I was talking about ideal lighting for our small plants, and I feel
[47:56.960 --> 48:01.160]  like I completely overlooked ceramic metal halide lighting.
[48:01.160 --> 48:05.960]  Ceramic metal halide lighting is a very viable and useful option for your small plants.
[48:05.960 --> 48:10.320]  If you feel like I left you out by not mentioning the CMH lighting, I apologize.
[48:10.320 --> 48:14.640]  Those are quality lights, and I recommend new growers to use those lights for small
[48:14.640 --> 48:15.640]  plants if that is an option.
[48:15.640 --> 48:19.000]  They are affordable, they don't put out a lot of light, and they don't use a lot of
[48:19.000 --> 48:25.280]  electricity, so a ceramic metal halide light is a very viable option for a new grower for
[48:25.280 --> 48:26.280]  small plants.
[48:26.280 --> 48:31.120]  Also, if you want to step up, move up from the 315s to the 630s, I've seen great results
[48:31.120 --> 48:34.280]  with those in a flowering room as well.
[48:34.280 --> 48:36.560]  Don't let me forget the ceramic metal halide lighting anymore.
[48:36.560 --> 48:39.640]  That is always a viable option in a cannabis grow.
[48:39.640 --> 48:44.440]  Now let's get back on track and talk more about continuing our small veg phase.
[48:44.440 --> 48:50.200]  Again, what I consider small veg are small plants, anything basically from a cloner or
[48:50.200 --> 48:54.560]  a seedling that is in a small pot, maybe like a four-inch pot, maybe a six-inch net pot,
[48:54.560 --> 48:56.600]  maybe all the way up to an eight-inch pot.
[48:56.600 --> 49:00.480]  But our smaller plants that don't have a super strong, healthy developed root system are
[49:00.480 --> 49:03.320]  plants that are probably only eight to 10 inches tall.
[49:03.360 --> 49:06.720]  Those are what I am considering my small veg plants.
[49:06.720 --> 49:11.600]  Now up to this point, we've mainly been focusing on healthy, pest and pathogen-free plants.
[49:11.600 --> 49:16.020]  I suggest you check every day for the presence of pests or pathogens.
[49:16.020 --> 49:19.640]  Even as the plants are small, we still need to pay close attention.
[49:19.640 --> 49:23.040]  Flip a leaf over, see if you see any weirdness on the bottom of the leaves.
[49:23.040 --> 49:24.640]  Pay attention to the tops of the leaves.
[49:24.640 --> 49:25.800]  Do you see any stippling?
[49:25.800 --> 49:27.000]  That's a sign of spider mites.
[49:27.000 --> 49:28.680]  Do you see any gooey stuff?
[49:28.680 --> 49:30.020]  That's a sign of thrips.
[49:30.020 --> 49:31.480]  Just pay attention.
[49:31.480 --> 49:32.480]  Flick some of the plants.
[49:32.480 --> 49:33.480]  Flick some of the containers.
[49:33.480 --> 49:35.000]  Do you see anything fly out?
[49:35.000 --> 49:37.800]  That is a sign of either fungus gnats or white flies.
[49:37.800 --> 49:38.960]  If they're white, they're white flies.
[49:38.960 --> 49:41.240]  If they're black, they're probably fungus gnats.
[49:41.240 --> 49:43.880]  Just pay attention for pests in our small plants.
[49:43.880 --> 49:48.320]  It's really easy to take care of them if we do get them, but we need to identify our problems
[49:48.320 --> 49:51.920]  early so that we can conquer them before they get out of control.
[49:51.920 --> 49:54.720]  Go in and check for pests every day.
[49:54.720 --> 49:56.180]  Check for powdery mildew.
[49:56.180 --> 49:59.160]  You should be able to spot it on these little plants very easily.
[49:59.160 --> 50:01.280]  It will start in the center of a leaf.
[50:01.280 --> 50:04.680]  It will usually start at the whitest point of one of your biggest leaves.
[50:04.680 --> 50:08.800]  It will look like somebody just took a little drop of donut powdered sugar and just dropped
[50:08.800 --> 50:09.800]  it right on your leaf.
[50:09.800 --> 50:14.120]  It will look like some sort of white powdery water that dried up and just left a little
[50:14.120 --> 50:15.420]  stain right there.
[50:15.420 --> 50:18.160]  That is the first indicator of powdery mildew.
[50:18.160 --> 50:20.960]  It will probably happen in a low light area.
[50:20.960 --> 50:24.200]  We are not getting a lot of light, but there is a lot of moisture.
[50:24.200 --> 50:27.900]  Oftentimes it will happen where that little bit of water just hangs on that one leaf in
[50:27.900 --> 50:30.360]  that one spot and it never quite goes away.
[50:30.440 --> 50:32.440]  That is where you are going to get the PM.
[50:32.440 --> 50:33.640]  Pay attention for bugs.
[50:33.640 --> 50:35.380]  Pay attention for powdery mildew.
[50:35.380 --> 50:40.640]  Our main goal right now is to keep these plants pest and pathogen free and keep them developing
[50:40.640 --> 50:45.760]  strong healthy root systems so that we have strong healthy plants when it is time to transplant
[50:45.760 --> 50:48.520]  them and then later move them into flower.
[50:48.520 --> 50:51.440]  Now that your plants are starting to grow and you have spent some time with them, you
[50:51.440 --> 50:55.120]  have probably seen what happens when you over and underwater them a little bit.
[50:55.120 --> 50:59.360]  You have probably done one or the other, which has probably caused a little bit of funky
[50:59.360 --> 51:02.920]  I encourage you to pull off all of the ugly leaves.
[51:02.920 --> 51:06.280]  If you have got yellowing, crispy leaves, take those off.
[51:06.280 --> 51:10.240]  Those yellow leaves are an invitation for spider mites.
[51:10.240 --> 51:14.080]  That is why we use yellow sticky cards in the garden to help the pests go to those cards.
[51:14.080 --> 51:17.760]  We see them on the cards and we can tell that they are there, but the pests love to go to
[51:17.760 --> 51:18.760]  that yellow.
[51:18.760 --> 51:20.240]  They think that is a weak leaf.
[51:20.240 --> 51:24.200]  Imagine you are a hungry spider mite and you see a big healthy robust leaf that has got
[51:24.200 --> 51:28.440]  a really thick layer of healthy vegetation to chew through before you can get some nutrients
[51:28.520 --> 51:29.520]  out of it.
[51:29.520 --> 51:33.040]  Or imagine just a little lower on the plant, you have got a weak leaf that is yellow on
[51:33.040 --> 51:34.040]  the outside.
[51:34.040 --> 51:36.960]  It has got a real thin layer and you can just poke right through it and suck all the juice
[51:36.960 --> 51:40.280]  you want right out of it like a hungry little vampire bug you are.
[51:40.280 --> 51:42.960]  You are going to go right to those weak yellow leaves.
[51:42.960 --> 51:44.520]  It is not as much work for food.
[51:44.520 --> 51:46.280]  You can get right in there and get what you need.
[51:46.280 --> 51:49.360]  The spider mites are going right for that yellow weak part.
[51:49.360 --> 51:50.840]  Pull off all those weak parts.
[51:50.840 --> 51:52.320]  Pull off all the yellow leaves.
[51:52.320 --> 51:54.120]  That is where the problems are going to start anyway.
[51:54.120 --> 51:55.800]  That is where the plant is the weakest.
[51:55.800 --> 51:57.320]  Get that out of there.
[51:57.320 --> 52:00.880]  Now while you are pulling off leaves, you may notice that the couple of branches at
[52:00.880 --> 52:04.560]  the very bottom of your plant are just weak and shitty and kind of in the way.
[52:04.560 --> 52:07.760]  If you have got a couple of leaves that are hanging down into the dirt, pick that stuff
[52:07.760 --> 52:08.760]  right off.
[52:08.760 --> 52:10.600]  We do not need that very bottom crap on the plant.
[52:10.600 --> 52:15.360]  By the time it makes it to flower, we are going to clean up the bottom 8 to 10 inches
[52:15.360 --> 52:16.640]  of that stalk anyway.
[52:16.640 --> 52:19.120]  Those bottom branches will not even be there.
[52:19.120 --> 52:22.800]  I feel like if you take some of those little sucker branches off the bottom now, it will
[52:22.800 --> 52:25.240]  encourage growth up to the top of the plant.
[52:25.240 --> 52:26.520]  We do not need that stuff on the bottom.
[52:26.720 --> 52:28.040]  The light is not going to get to it.
[52:28.040 --> 52:29.680]  That is where the problems are going to happen.
[52:29.680 --> 52:31.840]  Why not cut that stuff right off?
[52:31.840 --> 52:35.480]  If you are happy with the way your plants look without pruning anything off the bottom,
[52:35.480 --> 52:37.120]  you do not have to do it.
[52:37.120 --> 52:40.600]  But if you have got two or three branches on the bottom that just are not growing to
[52:40.600 --> 52:44.300]  reach the rest of the branches, if they look weak, why not take them off?
[52:44.300 --> 52:48.000]  We do not need that weak shit down there at the bottom of the plant, wasting energy, wasting
[52:48.000 --> 52:50.080]  nutrients and wasting water.
[52:50.080 --> 52:53.640]  Let us just cut it right off and send that energy right up to the top of the plant.
[52:53.760 --> 52:57.320]  As the plants get bigger, you will notice they are starting to branch out a little bit.
[52:57.320 --> 53:01.200]  On the bottoms of some of the branches, you may start developing shoots.
[53:01.200 --> 53:04.920]  If those little shoots are weak, you can pinch those off as well.
[53:04.920 --> 53:07.160]  You do not have to take off the entire branch.
[53:07.160 --> 53:10.600]  You can just take off the shitty shoots at the bottom and you can still leave the ends
[53:10.600 --> 53:14.920]  of those branches and you can still have more bud sites and more branches.
[53:14.920 --> 53:16.560]  Do not take off too much now.
[53:16.560 --> 53:18.820]  You can always take off more in the future.
[53:18.820 --> 53:21.840]  You cannot glue branches back onto the plant.
[53:21.840 --> 53:25.760]  Keep in mind the plant grows out of the top, so the shit you take off the bottom will not
[53:25.760 --> 53:26.760]  replace itself.
[53:26.760 --> 53:28.560]  You're cleaning up the bottom, that is gone.
[53:28.560 --> 53:30.320]  It's going to grow out of the top.
[53:30.320 --> 53:31.320]  Keep that in mind.
[53:31.320 --> 53:33.320]  Now, let's talk a little bit about nutrients.
[53:33.320 --> 53:36.020]  I always recommend starting off with light nutrients.
[53:36.020 --> 53:39.360]  If your plants are showing any yellow or if they're not growing as quickly as you would
[53:39.360 --> 53:44.120]  like them to, you may need to increase the overall amount of nutrients we are giving
[53:44.120 --> 53:45.120]  the plants.
[53:45.120 --> 53:48.600]  I always recommend starting low and increasing as time goes on.
[53:48.600 --> 53:52.200]  If your plants are a little bit pale or yellowish, if they're not as green as we would hope they
[53:52.200 --> 53:56.000]  would be at this point, it is probably time to increase our nutrients.
[53:56.000 --> 53:59.560]  Also, it may be time to add some cow mag to the mix.
[53:59.560 --> 54:03.200]  If your plants are growing properly, if they're nice and robust, if they've got a nice root
[54:03.200 --> 54:08.360]  system in this small pot, I would recommend adding a small dose of cow mag once a week
[54:08.360 --> 54:10.360]  to your feeding regimen.
[54:10.360 --> 54:13.800]  If you feel like you're feeding your plants properly, you're giving them a proper amount
[54:13.800 --> 54:17.520]  of nitrogen, you're giving them the proper amount of cow mag, you're also giving them
[54:17.520 --> 54:21.520]  some beneficials for the roots, and you're not seeing the growth you would like to see,
[54:21.520 --> 54:24.800]  I would suspect that it's probably a pH issue.
