[00:00.000 --> 00:01.560]  Hi, le ho, neighbors.
[19:02.200 --> 19:06.200]  has got a little bit of foot to it because those long purple petioles are a trait of
[19:06.200 --> 19:09.260]  the Daybreaker and that's where you're going to get the foot aroma.
[19:09.260 --> 19:12.360]  So those are probably the three different phenotypes you're going to find.
[19:12.360 --> 19:13.360]  You're going to find the straight oranges.
[19:14.280 --> 19:18.080]  You're going to find oranges and gas, and then you're going to get the astringent grapefruit
[19:18.080 --> 19:20.560]  rind, kind of orange peel oranges.
[19:20.560 --> 19:21.560]  They're all delicious.
[19:21.560 --> 19:22.560]  They're all amazing.
[19:22.560 --> 19:24.720]  They're all beautiful in their own way.
[19:24.720 --> 19:29.580]  You may find some different combos of different things therein, but I think you will be happy
[19:29.580 --> 19:31.760]  with any phenotype you get of Sunkiss.
[19:31.760 --> 19:37.160]  I have never gotten any bad reviews or negative feedback on Sunkiss.
[19:37.160 --> 19:41.900]  And as a seed maker, as a breeder who has put out a lot of seeds, I do get feedback.
[19:41.900 --> 19:45.460]  And some of it, unfortunately, is negative, but that's how you improve a business.
[19:45.460 --> 19:47.040]  That's how you improve a product.
[19:47.040 --> 19:49.220]  There's always going to be some type of negative feedback.
[19:49.220 --> 19:50.220]  That's how you improve.
[19:50.220 --> 19:53.600]  But I never get any negative feedback from Sunkiss.
[19:53.600 --> 19:55.000]  So I've talked about the phenotypes.
[19:55.000 --> 19:57.620]  That kind of talked about the flavors, mostly oranges.
[19:57.620 --> 19:59.420]  It is just orange candy.
[19:59.420 --> 20:04.300]  Some of those orange Tic Tac sort of flavors, not as much like orange tang, but more fresh
[20:04.300 --> 20:06.880]  oranges, gassy oranges.
[20:06.880 --> 20:12.240]  And then that straight up Jolly Rancher, sweet, delicious, drooly kind of orange flavor.
[20:12.240 --> 20:14.240]  Those are the flavors you're going to get.
[20:14.240 --> 20:17.600]  Now let's talk a little bit about the buzz from Sunkiss.
[20:17.600 --> 20:23.360]  A lot of people ask me for advice on flowers or concentrates that would reduce anxiety
[20:23.360 --> 20:24.720]  or kind of calm them down.
[20:24.720 --> 20:28.320]  A lot of people get too high and they get anxious when they smoke or they're already
[20:28.320 --> 20:30.100]  experiencing anxiety.
[20:30.100 --> 20:33.680]  Some people want something that will help them in a social situation just to be a little
[20:33.680 --> 20:36.700]  more available for social activity.
[20:36.700 --> 20:39.680]  Some of us don't want to go out until we smoke and then it kind of makes your brain
[20:39.680 --> 20:40.680]  a little more friendly.
[20:40.680 --> 20:43.060]  You want to go be around more people, be more social.
[20:43.060 --> 20:46.580]  A lot of people ask me for that type of a strain.
[20:46.580 --> 20:51.020]  I often recommend Sunkiss for that type of situation.
[20:51.020 --> 20:54.300]  Sunkiss will give you a nice, friendly, smiley buzz.
[20:54.300 --> 20:57.720]  You want to talk, you want to be around other people, and it doesn't give you that I hate
[20:57.720 --> 21:02.000]  society kind of vibe that a lot of people sort of seem to wake up with.
[21:02.000 --> 21:06.140]  It also just puts a smile on your face and it'll give you a nice buzz without making
[21:06.140 --> 21:07.140]  you anxious.
[21:07.140 --> 21:11.820]  If you're prone to getting anxiety when you smoke, something about the orange turps are
[21:11.820 --> 21:15.060]  real calming, are real, they put you in a friendly mood.
[21:15.060 --> 21:16.420]  They're just friendly orange turps.
[21:16.420 --> 21:18.220]  I can't describe it any other way.
[21:18.220 --> 21:22.620]  There are very few people that when they smell oranges, they say, that is unpleasant.
[21:22.620 --> 21:26.160]  Most of the planet really enjoys an orange fragrant turp.
[21:26.160 --> 21:28.060]  That is something that is really popular.
[21:28.060 --> 21:31.020]  Those fruity sort of turps make almost everybody happy.
[21:31.020 --> 21:33.580]  The orange smell just puts everybody in a good mood.
[21:33.700 --> 21:36.820]  When you smoke those orange turps, it really just lifts you up.
[21:36.820 --> 21:39.780]  It's like a good breakfast dab or a good breakfast joint.
[21:39.780 --> 21:43.180]  If you're looking for something to smoke during the day that's not going to bog you out, that's
[21:43.180 --> 21:46.620]  not going to make you too stupid, that's going to keep you peppy, going to keep your brain
[21:46.620 --> 21:50.820]  moving, going to keep you social, keep you functioning with people, or if you're looking
[21:50.820 --> 21:54.280]  for cannabis that you can smoke that doesn't make you too anxious, because a lot of people
[21:54.280 --> 21:58.380]  get that anxiety, you take a dab and you just start, oh shit, I got to go.
[21:58.380 --> 22:00.540]  This will not give you dab anxiety.
[22:00.540 --> 22:02.580]  This should not give you smoke anxiety.
[22:02.580 --> 22:06.540]  If you want something that is great for breakfast smoke, for daytime smoke, SunKiss is the way
[22:06.540 --> 22:07.580]  to go.
[22:07.580 --> 22:11.020]  If you've got to go talk to people and you're not really in the mood to be around people,
[22:11.020 --> 22:14.360]  if you've got to maybe work somewhere where you've got to deal with customers, SunKiss
[22:14.360 --> 22:18.980]  just may put a smile on your face that you might not have had when you started the day.
[22:18.980 --> 22:20.940]  That is my brief report on SunKiss.
[22:20.940 --> 22:24.340]  At this point, I would usually talk about problems and struggles you would run into
[22:24.340 --> 22:28.620]  while growing this plant, but this plant is such a breeze to grow that I really don't
[22:28.620 --> 22:30.120]  think you're going to find problems.
[22:30.120 --> 22:33.160]  Like I said, I don't get negative feedback on this plant.
[22:33.160 --> 22:37.360]  The only problem you will have with SunKiss is that if you leave the jar around, somebody
[22:37.360 --> 22:40.880]  will smoke all of your buds because that shit smells delicious.
[22:40.880 --> 22:44.600]  All right, podcast world, that is my story and I am sticking to it.
[22:44.600 --> 22:48.920]  If you would like to add some SunKiss seeds to your garden, I've got a few sources I can
[22:48.920 --> 22:50.000]  suggest for you.
[22:50.000 --> 22:53.520]  I would start off by checking with seedsherenow.com.
[22:53.520 --> 22:57.400]  You may also be able to find SunKiss seeds at the Hella Dank Seed Company.
[22:57.400 --> 23:00.920]  You can find them at dankseed.store.
[23:00.920 --> 23:07.080]  Also I can recommend the Oregon Elite Seed Company at oregoneliteseeds.com.
[23:07.080 --> 23:08.080]  Make sure you shop around.
[23:08.080 --> 23:09.400]  Check out all three vendors.
[23:09.400 --> 23:12.320]  They all offer different sales and specials at different times.
[23:12.320 --> 23:16.520]  I know everybody has their preferred seed bank, so shop where you're comfortable.
[23:16.520 --> 23:22.240]  Once again, I recommend seedsherenow, the Hella Dank Seed Company, and Oregon Elite
[23:22.240 --> 23:23.240]  Seeds.
[23:23.240 --> 23:27.280]  I can promise you that those are official iRegenetics SunKiss seeds.
[23:27.280 --> 23:28.560]  If that is where you get them.
[23:28.560 --> 23:32.280]  All right, podcast world, I think that is all I've got for you for this episode.
[23:32.280 --> 23:35.160]  Thank you for listening to my strain review on SunKiss.
[23:35.160 --> 23:39.200]  If you get some SunKiss seeds and you do a grow with them, I would love to see your photos.
[23:39.200 --> 23:42.680]  Send me photos of any iRegenetics plants you are growing.
[23:42.680 --> 23:44.240]  That is how I select new testers.
[23:44.240 --> 23:47.800]  If I like the photos that you send me of your current grow and I have new seeds that I need
[23:47.800 --> 23:51.960]  grown, those are the photos I look through to find candidates to be potential testers
[23:51.960 --> 23:52.960]  in the future.
[23:52.960 --> 23:56.920]  So please send me your photos of any iRegenetics strains you may be growing.
[23:56.920 --> 24:01.520]  My email address is growfromyourheart at hotmail.com, and I look forward to hearing
[24:01.520 --> 24:02.520]  from you.
[24:02.520 --> 24:05.960]  Ladies and gentlemen, boys and girls, smokers and growers, if you feel like this episode
[24:05.960 --> 24:10.320]  was educational, informative, or entertaining, and you would like to make a financial contribution
[24:10.320 --> 24:17.120]  to the show, you can do so by visiting www.patreon.com slash growfromyourheart.
[24:17.120 --> 24:20.520]  All of the information you need will be right there on the screen.
[24:20.520 --> 24:23.520]  I would also appreciate it if you subscribe to the YouTube channel.
[24:23.520 --> 24:27.200]  All you have to do is go to YouTube, search for the Grow From Your Heart podcast, click
[24:27.200 --> 24:31.000]  on the subscribe button, maybe watch a couple of videos, maybe leave some comments on the
[24:31.000 --> 24:33.000]  videos and let me know what you think of the show.
[24:33.000 --> 24:36.280]  Again, you know that I do love listener interaction.
[24:36.280 --> 24:38.880]  If you've got something you'd like to say and you're not into all that social media
[24:38.880 --> 24:40.760]  nonsense, you can send me an email.
[24:40.760 --> 24:43.840]  My email address is growfromyourheart at hotmail.com.
[24:43.840 --> 24:46.280]  Once again, you know I would love to hear from you.
[24:46.280 --> 24:48.160]  Ladies and gentlemen, my voice is burning out.
[24:48.160 --> 24:49.160]  My throat is gone.
[24:49.160 --> 24:50.640]  So we are done with this episode.
[24:50.640 --> 24:51.640]  Thank you again for listening.
[24:52.160 --> 24:56.240]  I want to give a giant Grow From Your Heart podcast shout out to my buddy James Butterson.
[24:56.240 --> 24:59.640]  And until next time, take a fat dab and give your mom a hug for me.
