[00:00.000 --> 00:02.080]  Welcome back, Podcast World!
[20:36.000 --> 20:39.000]  We can build a cannabis community together on Cannabuzz.
[20:39.000 --> 20:40.080]  They won't delete our posts.
[20:40.080 --> 20:41.440]  They won't censor us.
[20:41.440 --> 20:46.080]  You don't have to worry about your account being deleted because you post cannabis-related
[20:46.080 --> 20:47.440]  content.
[20:47.440 --> 20:49.200]  Give me a follow over at Cannabuzz.
[20:49.200 --> 20:50.880]  It's irie underscore genetics.
[20:50.880 --> 20:52.480]  I look forward to seeing you.
[20:52.480 --> 20:55.160]  If you've got something to say, maybe you've got a grow question.
[20:55.160 --> 20:57.160]  Maybe you've got a product you'd like me to review.
[20:57.160 --> 20:58.960]  Maybe you'd like to sponsor the podcast.
[20:58.960 --> 20:59.960]  You can send me an email.
[20:59.960 --> 21:05.080]  My email address is growfromyourheartathotmail.com, and you know I'd love to hear from you.
[21:05.080 --> 21:07.880]  Ladies and gentlemen, I'll be back in a couple of days with fresh new content.
[21:07.880 --> 21:09.440]  I want to thank you again for listening.
[21:09.440 --> 21:12.560]  I want to give a huge shout out to my buddy, Kelvin Medina.
[21:12.560 --> 21:16.040]  Until next time, take a fat dab and give your mom a hug for me.
