[00:00.000 --> 00:05.380]  Hey, what's up podcast world? Welcome to a very special episode of the grow from your heart podcast
[22:38.140 --> 22:42.940]  Yeah, actually I brought two because it you know, it was like a three-hour concert. Well, yeah, and if they took one then he had another
[22:43.900 --> 22:45.900]  You took both you blew my plan
[22:46.180 --> 22:50.280]  And you gotta have one in this pocket and one in this pocket and when they pay here you go. That's my pen
[22:50.280 --> 22:53.220]  I'm sorry, and then you just walk right? It is a weird world man
[22:53.220 --> 22:56.020]  There's places I go and they're like no you have to bring a clear backpack
[22:56.100 --> 23:00.180]  If you want to come in and I'm just like that's the future that's happening
[23:00.180 --> 23:03.380]  You know have some dreadlocks and look like me go to the concert. They get the gloves
[23:03.540 --> 23:08.220]  I love aquaponics. The potent panic Steve is always like it's weird. I get searched at the airport
[23:10.780 --> 23:15.060]  He's fun to hang out with eyes another friend I made through this show that I'm absolutely super pretty
[23:15.060 --> 23:19.540]  He's a friend that I made through your show. So I'm appreciative of the DGC crew. Love it. Love it
[23:19.540 --> 23:23.060]  All right. Come on. I've also got the orange gas. I'm orange guys. I'm is kind of new
[23:23.060 --> 23:28.740]  I talked about the lemon Jeffrey being super lemon turps, right? Guess what orange turps we got straight up oranges tangerines
[23:28.740 --> 23:32.740]  You know, I was reading the turp book. I'm trying to study up on turps
[23:32.740 --> 23:37.100]  I can't smell them, but at least I can bullshit about a carofeline. Thank you
[23:37.860 --> 23:44.040]  Carofeline funny. I tried to send it in a text. That's not no you did it was good. What is it?
[23:44.040 --> 23:48.140]  I don't remember how I typed it. I said it was good type it out thinking beta
[23:48.780 --> 23:52.400]  Ra those are yeah me and Steve are sitting there trying to correct each other, right?
[23:52.400 --> 23:56.340]  Do you stone or something? I'm probably saying wrong also. No, it's cool though
[23:56.340 --> 24:01.260]  But what I was gonna say is there's one that's a Valencia or something like that and there's a Valencia orange
[24:01.260 --> 24:04.280]  Yeah, so there is an orange terpene. I remember I would drive by the
[24:05.060 --> 24:11.780]  citrus squeeze plants in Florida and they would have big barrels of orange juice and then it would have a little tiny barrel of
[24:11.780 --> 24:13.780]  something like a 25
[24:14.020 --> 24:18.900]  25 gallon barrel it was always so different a hundred bucks hundred bucks as those are the terpenes, right?
[24:18.900 --> 24:22.700]  Oh, yeah, and all those aren't man. They got a little bit of turpene
[24:22.820 --> 24:25.820]  You probably make cleaner and all kinds of crazy stuff out of that
[24:25.820 --> 24:29.820]  I want or I wonder if they sell it for stuff or ozium. Yeah, you're right
[24:29.820 --> 24:33.220]  Yeah, I think this smells like the orange ozium if you get the orange one, right?
[24:33.220 --> 24:36.940]  It smells like the orange ozium is what I think this we shout out to that was one of the best
[24:36.940 --> 24:38.940]  I mean they saved my ass so many
[24:39.380 --> 24:43.860]  Smoke a joint in the car smoke a bowl in the car. We'll go crazy and spray a little hit of ozium
[24:43.940 --> 24:50.180]  Just one. Yeah, cuz two dashes of that. It's too powerful good one. And yeah, the car smells like oranges for a week
[24:50.540 --> 24:55.580]  This one is platinum tangy, so you got platinum cookies right Angie cross to the golden goat
[24:55.580 --> 24:58.420]  So and feminized as well, right eyes as well
[24:58.420 --> 25:01.700]  It's so fucking important people give me seeds all the time
[25:01.700 --> 25:04.980]  And I was looking through and being like I need some stuff to plant
[25:04.980 --> 25:09.340]  I was gonna actually for the greenhouse and I was like, I don't want to go on a female hunt
[25:09.340 --> 25:10.500]  Yeah, not only a female hunt
[25:10.500 --> 25:12.180]  I don't want to lose half my crop to
[25:12.180 --> 25:17.700]  Males and you don't want to accidentally pollinate the neighbors for the next three miles if you forget a male and the wind comes
[25:17.700 --> 25:21.820]  Yeah, people forget about that. I think that's one of the things we need to pay more attention to
[25:21.820 --> 25:27.140]  So yeah fem seeds for lots of new Instagram breeders online now, they all come from here. It'll come
[25:27.780 --> 25:33.940]  They're all come from within a half mile of my mail. That's it. So, you know what everybody's crosses, right?
[25:33.940 --> 25:39.380]  Yeah, right, and then I've got the the staple the golden goat s1 some of those labels get confusing
[25:39.380 --> 25:44.420]  It's a golden goat reversed. So I made golden goat to create pollen and put that on another golden goat
[25:44.420 --> 25:46.180]  So it's just a self golden goat, you know
[25:46.180 --> 25:51.740]  I heard you say golden goat and I was already thinking of my next question and I just have to stop and cuz that's a
[25:51.740 --> 25:54.820]  Really special strain. I grew up when I first got here
[25:55.740 --> 26:01.940]  Amazing flavor to it a great plant, you know, just a big just a beautiful plant. Yeah, and
[26:02.780 --> 26:09.300]  Man, who was it that made that shatter? Was it was it a darkness gross grows and that beautiful orange shadow
[26:09.500 --> 26:16.640]  Opened that slab this smell hit my face and came back down and I went oh, that's the most delicious golden goat and he smiled
[26:17.260 --> 26:23.940]  Golden goat. It's absolutely beautiful. It was so delicious. Yeah. Yeah wonderful job with that. You can't lose with that plant
[26:23.940 --> 26:27.940]  You can't you can crack it. You could twist it. You can kick it over. Yeah, and it just grows it goes
[26:27.940 --> 26:32.020]  Okay now that's why the dude gave it to me when I first got here. That was the one he gave
[26:33.700 --> 26:36.660]  Set you up for success. Well, that's partly why I love breeding with her
[26:36.660 --> 26:41.740]  You can't do her wrong, right if the pH is too high or too low sugar then that'll be alright
[26:41.740 --> 26:44.780]  I sure likes a lot of nutrients so you can't really overfeed her
[26:44.780 --> 26:50.460]  It's real simple to work with I'm good potency good flavor good harvest and she breeds really well now
[26:50.460 --> 26:54.440]  You said as long as you're good at explaining stuff, so I'm gonna take a little lesson
[26:54.440 --> 26:57.180]  I'll be listening in this back and I keep on glossing over stuff
[26:57.340 --> 27:00.860]  How'd you get the golden goat again? Cuz I want to learn this you reversed
[27:00.860 --> 27:06.260]  Did you say reverse what the the seeds come from making getting a golden goat clone, right?
[27:06.260 --> 27:10.820]  And I treat it with a silver thiosulfate got a mission and it turns it into it's basically a male
[27:10.820 --> 27:16.460]  It looks like a male, but it's still a female. It's just got male pollen sacks with female pollen
[27:16.460 --> 27:21.940]  Got it, and I put that on a female plant. So it's just golden goat to golden goat. Okay, I got the plant
[27:21.940 --> 27:27.180]  I didn't create it. A lot of people think I made golden goat. I didn't I got it as a gift from my friend
[27:27.180 --> 27:30.540]  Who I call pineapple Express. All right, he's actually from Hawaii
[27:30.540 --> 27:35.180]  The golden goat has nothing to do with Hawaii, but my friend pineapple Express is from Hawaii
[27:35.820 --> 27:39.140]  That's what I named him. That's just his nickname. He doesn't want his real name out there
[27:39.140 --> 27:42.420]  Sure, so he got that clone from another person. It actually came from
[27:42.940 --> 27:47.500]  Mr. Dank in Topeka, Kansas. He read yes Topeka, Kansas
[27:47.500 --> 27:53.700]  There's a recycling center in Topeka known as the golden goat recycling plant and it's a hundred degrees out here
[27:53.700 --> 27:57.820]  Imagine if I had a bunch of soda bottles out there and how sweet and sticky and good that would smell right?
[27:57.940 --> 28:04.140]  Smells like a golden goat plant and that's why he named it golden goat after the golden goat recycling center. Yeah, that's a lesson
[28:04.140 --> 28:09.680]  A lot of people probably I get credit for it quite often and it was not me. I didn't create that. Huh? Okay
[28:09.700 --> 28:14.060]  Yeah, mr. Dank from Topeka, Kansas. It's Island sweets gunk Hawaiian sativa and Romulan
[28:14.060 --> 28:18.340]  Oh, I remember the Romulan back in the great and that's what keeps it short and squat
[28:18.340 --> 28:20.460]  That's what because the other two are tall monster, right?
[28:20.700 --> 28:23.420]  Keeps it short and keeps the finishing time down. Is that Romulan?
[28:24.420 --> 28:28.220]  Beautiful great job with the Romulan excellent lineage. Yes
[28:28.220 --> 28:33.140]  All right, and I will just go back and touch on dude feminized seeds. You give me a five pack
[28:33.140 --> 28:37.540]  I know I got five females. Yes, that's big for me. You don't have to pull those boys down
[28:37.540 --> 28:41.560]  You'll find one that looks just like what you're looking for. Yeah, easy. Yeah, I love it
[28:41.560 --> 28:45.620]  I love yours. So I hope you find a keeper in there. Oh, I will brought some for the DGC crew
[28:46.180 --> 28:51.300]  Thank you so much door prizes, yes, sir, gotta share the love will do it take good care of me I
[28:52.500 --> 28:58.500]  Appreciate it man. Yeah, you right back at you reciprocation. That's what makes the world go around respect for us. Let's go respect
[28:59.180 --> 29:05.200]  Respect. I love being in Jamaica. That's all you're reminding me of we got to get Steve and go god the weed there
[29:05.200 --> 29:07.860]  It's just outdoor weed, but it got me so high. What do they say?
[29:07.860 --> 29:11.980]  I think I learned in sixth grade health set and setting, you know who you're hanging out with
[29:12.060 --> 29:18.100]  Yeah, and where you're at I'm like just going down a river in Jamaica smoking a freaking fat one
[29:20.100 --> 29:23.300]  Yes, yeah, yes called Irie that feeling
[29:25.780 --> 29:29.060]  I love it. I love it. Hey do me a favor man
[29:29.060 --> 29:34.100]  Tell me a little bit about your grow and give me a little bit of you gave me a we're working and we've been
[29:34.380 --> 29:38.860]  Collaborating lately. Yes. Yeah. Yeah. So sometimes I don't know these concentrate companies
[29:38.860 --> 29:44.340]  I don't really know exactly, you know some of the specific questions to ask so I was getting with Jeff and one of the questions
[29:44.340 --> 29:46.060]  He said to me was hey, man
[29:46.060 --> 29:52.900]  How would these guys assure that they're delivering a really high quality a really clean medical product, you know IPM?
[29:53.020 --> 29:58.780]  You know nutrients leach in that kind of stuff even going as far as having mold on there, you know
[29:58.780 --> 30:03.340]  Are you know curing processes man? I'll ask you this, you know ask you the same thing
[30:03.340 --> 30:05.660]  you're not in a commercial production like that, but
[30:06.380 --> 30:13.620]  What what kind of advice could you give as far as IPM as far as keeping a good making a good safe product
[30:14.420 --> 30:20.020]  Even I do consulting for commercial grows, right? So I know and I'm also certified by the Colorado Department of Agriculture
[30:21.020 --> 30:26.940]  Everything I do in any grow I follow Colorado Colorado Department of Agriculture and Marijuana Enforcement Division
[30:27.620 --> 30:29.220]  pesticide guidelines, right
[30:29.220 --> 30:34.820]  So nothing I put in any grow that I consult for none of my personal grows none of my breeding grows if the Colorado
[30:34.860 --> 30:37.020]  Department of Ag won't let us use it. I don't use it
[30:37.020 --> 30:42.220]  Sure, I'm not restricted by those guidelines in my private grow, but I still choose to follow that sort of a restriction
[30:42.220 --> 30:46.740]  Yeah, I mean that concentrates are exactly what they say your cause you're taking it
[30:46.740 --> 30:51.680]  Yeah, you think about somebody yields from these things you take a whole plant and get three grams out of it or something
[30:51.720 --> 30:56.060]  you're taking that all the essence of that whole plant or at least all the trichomes and
[30:57.220 --> 31:01.940]  Concentrating it down dude. If there's even a tiny fraction of pesticide on there. Oh, yeah
[31:02.300 --> 31:07.120]  Enough that you smoke a little flower and it'd be okay. Now you're concentrating it down to where you're smoking
[31:07.660 --> 31:13.780]  Right, it may be sprayed on that plant. You just basically broke that back down into a little ball. It's dangerous
[31:13.780 --> 31:14.740]  I smelled sulfur
[31:14.740 --> 31:19.980]  I've tasted sulfur before the concentrate tastes like fish or like burnt fish or something, right?
[31:19.980 --> 31:21.980]  They use sulfur too late in their flowering process
[31:22.260 --> 31:25.900]  Really what that's from and I mean you can I could see that happening, you know
[31:25.900 --> 31:27.180]  Yeah, I could put it this way
[31:27.180 --> 31:32.460]  I could see somebody making that mistake if I had a big pot of soup or chili
[31:32.500 --> 31:35.580]  How much pesticide can I put in there that you still want to eat it?
[31:35.580 --> 31:38.260]  You know, that's how much you like the people you're serving
[31:40.060 --> 31:42.140]  Absolutely, right come on guys, it's really right
[31:42.700 --> 31:47.660]  Come on, and we've all gotten I had thrips before I used the mammoth IPM and knocked them out for me
[31:47.660 --> 31:52.960]  What do you do when you have bugs? Are you preventing it with with other bugs? Give me some advice in veg
[31:52.960 --> 31:58.160]  I am a spray guy. I like to use a reliable sprays in veg later on to the veg phase
[31:58.160 --> 32:01.420]  I like to get the the predator bugs going. I like to use swarski's
[32:02.040 --> 32:07.680]  Depends on what kind of pests I think I'm gonna get right skis are always the go-to nice swarski's and green lace wings
[32:08.360 --> 32:09.940]  They're definitely
[32:09.940 --> 32:13.440]  Aggressive and they'll keep anything away. So if you get them colonized and get them started
[32:13.440 --> 32:19.800]  I like to so I do the sprays it's easier to spray smaller plants and control them keep the moms all sprayed up
[32:19.800 --> 32:22.760]  It's reliable and as I move toward the flowering phase, I'll start releasing
[32:23.280 --> 32:29.200]  Massive amounts of predator bugs my god and they're always filled with predators and I like to keep perpetual flowering areas
[32:29.200 --> 32:31.640]  So there's always predators over here
[32:31.640 --> 32:35.920]  So just move to the next spot as they come in and they're coming from the late veg plants
[32:35.920 --> 32:38.680]  So I like to start with sprays and then move to the predator bugs
[32:38.680 --> 32:44.560]  I also do a lot of defoliation if you defoliate that's less opportunity for a pathogen, right?
[32:44.560 --> 32:46.920]  If you don't have a leaf that where's that bug gonna go?
[32:46.960 --> 32:49.760]  Come on, give us give us your advice on day. What and day?
[32:49.760 --> 32:55.360]  What do you defoliate you got specific days when I go into flower? I defoliate hard. I put on the trellis
[32:55.360 --> 32:57.360]  I pop all the sticks. I trust all the stems
[32:57.360 --> 33:01.280]  I work everything into the net and I take off quite a bit of loose a twist on the stem super cropping
[33:01.280 --> 33:04.520]  That's a super crop and put one hand here one hand here and give it a twist. Yep
[33:04.520 --> 33:08.480]  Google that if y'all don't know that's an interesting technique. It sounds just like a knuckle pops
[33:08.480 --> 33:09.760]  That's how you know, you did it, right?
[33:09.760 --> 33:11.760]  Yeah, go up a few inches and do it again
[33:11.880 --> 33:15.440]  Let that heal about two or three weeks and go back and do it all over again, right?
[33:15.440 --> 33:19.600]  Yeah, I like to do and that'll prevent your stretch in early flower. So I'll do that on day one
[33:19.600 --> 33:25.200]  I'll do defoliation in about week three do some defoliation then again about week five or six, okay?
[33:25.200 --> 33:30.100]  And then as they mature and harvest I'll just strip them as they're getting close to the end week eight week nine
[33:30.100 --> 33:35.200]  Really? Yeah. Well a lot of times I'm in a large commercial cultivation facility with hundreds of lights, right?
[33:35.200 --> 33:38.160]  And so I'll just send a crew of dudes in there and just say make them naked boys
[33:38.160 --> 33:42.040]  And that way when it comes time for harvest, you don't have all that leaf to take off you chop them
[33:42.040 --> 33:47.600]  Hang them upside down. You don't have that mess of chlorophyll basically to deal with. Yeah, I used to do that
[33:47.600 --> 33:52.560]  I think sure I think it was in the 90s that people like yes strip off all the leaves boys, you know
[33:52.560 --> 33:58.280]  You only want buds. Yep. And yeah, I wasn't sure that take not the science behind that. So I stopped doing it
[33:58.280 --> 34:02.480]  You're saying you don't if you do it late enough, you're not seeing any negative. So you do it late enough
[34:02.480 --> 34:04.960]  You don't see any negatives. I've already done what they're gonna do
[34:04.960 --> 34:08.760]  You're just working and I don't strip them completely naked naked, but right at the end, right?
[34:08.760 --> 34:10.760]  We'll go naked but we've got to week six there
[34:10.760 --> 34:15.560]  I'm keeping some of the bigger leaves, but I take if it's got a purple petiole that comes off like a purple
[34:16.240 --> 34:20.880]  Something that'll stay there. Yeah. Okay. Yeah, I want as much light penetration as I can get
[34:20.880 --> 34:25.000]  I want as much airflow as I can get right in a big it changes when you're in a big facility
[34:25.320 --> 34:30.080]  That one little spot of powdery mildew can multiply. Oh, yeah pounds and pounds
[34:30.080 --> 34:34.000]  I'm not risking one pound like in a home, right? I'm risking 500 pounds
[34:34.000 --> 34:36.720]  Sure, so I've got to be a little more aggressive with my prevention
[34:36.720 --> 34:41.640]  And as far as PM goes you got any I mean any advice there correct the rooms. It's all about
[34:42.320 --> 34:45.860]  VPD we talked about VPD a lot of our shows all about proper
[34:45.920 --> 34:51.200]  Yeah, no micro climates people forget that you need a fan here and sure not just way over there
[34:51.200 --> 34:54.120]  They used to be my I was like, I never got powdery mildew
[34:54.120 --> 34:57.080]  But I'll be damned if I didn't be go crazy with the fans
[34:57.080 --> 34:58.960]  You wouldn't be like dude, what's up with you in these fans?
[34:58.960 --> 35:02.560]  I get big floor fans and put a fan on the floor and point it up
[35:02.560 --> 35:05.560]  Yeah, and over there and point it down. Yeah, and don't have all your fans
[35:05.560 --> 35:10.280]  I've seen rooms where all the fans oscillate together. You're just moving you want to stir the air?
[35:10.280 --> 35:13.360]  Yeah, it was moving that heat over here and move the heat over here
[35:13.360 --> 35:16.800]  We want to mix it so the heat and the cool and the humid and the you know combines
[35:16.800 --> 35:23.200]  Yeah, and since we're talking grow VPD is basically vapor pressure deficit. We talked about it all the time
[35:23.200 --> 35:25.440]  If you it's this first time you tuned in here
[35:25.440 --> 35:31.800]  It's basically the pressure that's keeping the water onto the leaf if you're able to get it correctly the leaves actually able to
[35:32.240 --> 35:38.000]  Respire and breathe basically. Yes. Yeah, it's almost like if we were in a rubber suit man. Yeah, I'm gonna work so good
[35:38.000 --> 35:44.360]  Yeah, you're getting good at this Scotty. Oh, man. Where's my mr. Analogy coffee cup man another gold star for you. I
[35:45.480 --> 35:50.160]  Appreciate I love bullshitting with you about grow. I also like bullshitting with you
[35:50.160 --> 35:54.160]  You know if you listen to the show, I'm more about the culture. I'm more about what's it right?
[35:54.160 --> 35:58.640]  Just didn't what's happening now and we listen to all the same podcasts. We're in all the same shit
[35:59.640 --> 36:03.120]  It's an absolute revolution what's happening, I love it
[36:03.120 --> 36:06.680]  I got my mother-in-law using started off with CBD now
[36:06.680 --> 36:11.680]  She hits the pen every now and again, you know, but I never would I don't say I never would have thought
[36:11.680 --> 36:13.600]  I don't know would have been hard to imagine this
[36:13.600 --> 36:20.160]  I think the the easy way that we got in here is because it is really good medicine
[36:20.160 --> 36:27.520]  It is super easy to convince people that this is really good medicine. Usually it just takes one hit off one of those price
[36:28.240 --> 36:34.960]  If you were running things man, all right, if you had a minute to talk I would tell you my father-in-law, holy shit
[36:34.960 --> 36:38.880]  He don't believe it man. You don't believe you just you stay the course
[36:38.880 --> 36:39.360]  actually
[36:39.360 --> 36:44.280]  It was weird because I you knew I was a grower and never admitted it and then after it became legal and I came here
[36:44.280 --> 36:47.160]  And he goes up good. I'm glad I just didn't want you breaking the law
[36:47.160 --> 36:51.800]  He had a problem breaking the law not cannabis as medicine or anything like that
[36:52.480 --> 36:56.760]  But if you were trying to convince somebody like him that cannabis is real medicine
[36:56.920 --> 37:02.640]  What would you say? Oh, I got a minute. I had a traumatic brain injury in 2015
[37:02.640 --> 37:05.640]  And I'm usually a pretty upbeat guy. You could tell I like life, right?
[37:05.640 --> 37:10.920]  I'm not dark and sad crazy. Absolutely. My brain injury had me thinking it was tricking me into thinking
[37:10.920 --> 37:16.640]  I wanted to hurt myself and do bad things to my life and I knew that wasn't right, right?
[37:16.640 --> 37:22.040]  But my head hurts so bad and my thoughts are so twisted from a brain injury like my brain just my wires were fucking
[37:22.440 --> 37:24.480]  I get it. I was going purple orange
[37:24.480 --> 37:29.800]  I thought that purple was orange now and I thought that a burrito was called a banana. Oh, I shit
[37:29.880 --> 37:31.240]  Yeah, that's where my brain was
[37:31.240 --> 37:35.480]  It took a while for it to come back and then amazing how it works and they're like you have something like that
[37:35.480 --> 37:39.160]  You're like, I can't believe it worked in the first place. My computer was scrambled
[37:39.160 --> 37:43.600]  Yeah, and then you go to the doctor and you feel you're like, no we can watch it work
[37:43.600 --> 37:45.880]  We kind of we don't really know how it works though
[37:46.680 --> 37:48.320]  They tried were scary
[37:48.320 --> 37:54.960]  One of my friends was entering a cannabis cup for a CBD concentrate and he said hit this and I said, okay
[37:54.960 --> 37:58.920]  Right when I was smoking dabs or flowers, it would make my head throb from the injury
[37:58.920 --> 38:05.000]  I hit I dabbed that CBD and it felt like I had a belt around my head and when I hit that CBD
[38:05.000 --> 38:09.800]  It felt like he just went back there and turned a little knob that loosened that belt two or three notches really. Oh
[38:10.800 --> 38:14.880]  And as soon as I hit it and exhaled his girlfriend goes give him another one
[38:15.120 --> 38:19.000]  Just like they could see my puzzle pieces just coming. I was like, whoa
[38:19.480 --> 38:23.960]  Like hey, hey guys, like I'm back and they're like keep hitting this Wow
[38:23.960 --> 38:28.440]  So they gave me a few days supplied like I can't give you a lot right cannabis cup entry
[38:28.440 --> 38:32.000]  But here's you know, it's working hit this and so I smoked CBD first
[38:32.000 --> 38:34.080]  So I don't like CBD now, right?
[38:34.080 --> 38:38.620]  But I smoked CBD for several days and then it kind of put me back on the trade sped up my healing
[38:38.620 --> 38:44.700]  Whatever was happening in my brain it put it back together. I knew 2000 when she's high as 2015. Holy crap
[38:44.700 --> 38:50.340]  Yeah, that's not long. No long ago, and I'm pretty much back to there are still things that happen. It's your sure
[38:50.340 --> 38:54.300]  Oh, you ever have the thoughts and you're going? Hey, wait, we're I don't end up in this room
[38:55.020 --> 38:59.520]  Like only when I'm super duper stoned now at the end of the joint of the way
[38:59.520 --> 39:04.760]  What room am I and see when I smoke my brain doesn't I say that there's like a skip on my record wherever I hit
[39:04.760 --> 39:09.880]  Right, my record was spinning. I dinged it right there. And so and so and so sometimes I
[39:10.880 --> 39:16.000]  Right when I smoke that little they wipe off the skips on my record when I dab like the lemon
[39:16.000 --> 39:21.680]  Jeffrey sure golden go the right the right strains will just clean my my skips right on up. So that's
[39:22.200 --> 39:27.200]  That's amazing. I want to kill myself anymore from consuming CBD and that sounds really weird to say, but I wasn't
[39:27.200 --> 39:30.640]  It wasn't like me being crazy. It was a brain injury an injury that this thing saw
[39:30.640 --> 39:32.640]  I mean CBD really does have anti-inflammatory
[39:33.440 --> 39:36.040]  Properties, I mean if you think about what inflammation is
[39:36.800 --> 39:40.320]  Shoving everything together that don't need to be together. We don't need our space man
[39:41.920 --> 39:46.200]  My three brain cells that get along we're fighting in there, you know, I get clustered together
[39:46.200 --> 39:52.280]  Yeah, dude, but you're in business then right you've been trying. Yeah, I'm a fucking keep motivated when you got something like that
[39:52.280 --> 39:59.280]  How do you motivate it in general man? You just get up every day man. I should do the passion. I love cannabis
[39:59.280 --> 40:04.160]  I loved it before my brain injury it it sure my my smile you could tell I talked too much and it I
[40:04.400 --> 40:09.600]  Talked to just right brother. Just right. I would talk too much then if I didn't consume right?
[40:10.000 --> 40:13.240]  but so the brain injury the just the passion and then I became a
[40:13.320 --> 40:19.120]  caregiver and I was involved in the medical marijuana from the beginning very cool people would come to our dispensary and we would I
[40:19.120 --> 40:21.760]  Had time then at dispensaries to sit just like this, right?
[40:21.880 --> 40:26.540]  What's wrong and they would say it hurts and I would say where and they would tell me how and where and I'd say
[40:26.540 --> 40:29.980]  Oh you want this strain and we'd actually get to develop that so I would see
[40:30.500 --> 40:35.620]  young guys like you and I and little old ladies and everybody all walks of life would come in and
[40:35.820 --> 40:41.660]  After a week of talking to me and consuming a product I recommend they would I would see improvement in their quality of life
[40:41.900 --> 40:47.620]  Just a better smile. Yeah, maybe a little more pep in their step and do that put something in you that is irreplaceable
[40:47.620 --> 40:53.740]  I'm a father and that that's a magical feeling that thing when you see other people healed from a product you made so true
[40:53.860 --> 40:55.460]  Next best thing
[40:55.460 --> 40:57.500]  The next best. Yeah, it's funny
[40:57.500 --> 41:03.220]  we were talking about this book that I read and it talks about the joy of being able to actually produce something and then say
[41:03.220 --> 41:05.620]  That see something that you produce like be enjoyed
[41:05.780 --> 41:12.420]  It gives you like a fulfillment and the book was about a lot of people don't get that anymore because we stop producing most stuff
[41:12.420 --> 41:13.820]  Oh, yeah
[41:13.820 --> 41:19.140]  Just talk about it. Yeah. Well, I get to make seeds. I get to teach people how to grow
[41:19.140 --> 41:25.660]  I see people grow those seeds. I see people grow for other people. I'm sure I see my best friend Mike
[41:25.660 --> 41:29.640]  He smokes a product I grow he shows up to my house going fucking back hurts, dude
[41:29.860 --> 41:37.300]  Takes two dabs and goes. Oh, thank you, buddy. Yeah, it's the dab and the social interaction. Those are medicinal and therapeutics
[41:37.300 --> 41:42.740]  We're making people feel better and then to keep me motivated dude. I've got the DGC. I've got the ivory army
[41:43.260 --> 41:45.560]  Anytime I wake up and I'm like, oh, it's a bummer day
[41:45.560 --> 41:49.280]  I open up the social media and there's not all people saying killer podcast
[41:49.280 --> 41:53.880]  Thanks for teaching me how to grow you look great and you can't be down when you have support like that
[41:53.880 --> 41:58.160]  No, so it's that's part of what does it and we talked about checking out the one negative?
[41:58.160 --> 42:03.960]  But a hundred people that say nice things and all our friends it does drown it out very significantly does
[42:03.960 --> 42:08.800]  Yeah, it's just weird how your brain works. Oh, yeah, you don't want that bad. You want to make everybody happy
[42:08.800 --> 42:10.760]  You know what? I think it is. I think it's primal
[42:10.760 --> 42:15.540]  I think it's like when when you would see a fire back in the day, you know from being thousands of years
[42:15.540 --> 42:20.300]  A guy back stamp out that fire, you know as a potential problem there when somebody falls you want to pick them up
[42:20.300 --> 42:26.240]  Yeah, I think it's really like you you want to pick them up make money. Sometimes you're just gonna say it's not me
[42:26.240 --> 42:28.240]  This one's you bubba
[42:28.380 --> 42:34.540]  Yeah, I tried hard on that podcast. I'm sorry. You didn't learn anything. Hey, what can you do? All right, we'll wrap this up
[42:34.540 --> 42:37.620]  I've enjoyed the hell out of talking. This is great. Are we gonna start the podcast?
[42:38.400 --> 42:40.740]  Yeah, did we turn the cameras on Kyle?
[42:41.460 --> 42:45.460]  Recording this warehouse Kyle is doing it today. They're good job brother doing a good job
[42:45.500 --> 42:52.200]  Yeah, there is a gurus on vacation and warehouse Kyle is running. Thanks. Thanks to our friend guru. Hope he enjoys his vacation
[42:52.200 --> 42:55.460]  Absolutely catch up that dog catch a trout for me, sir
[42:56.580 --> 43:01.660]  I give a little parting words of wisdom. There's probably someone that's younger than us
[43:01.660 --> 43:07.380]  I'm sure most people are younger than than me. Anyhow that are sitting here being like man rosted Jeff awesome
[43:07.380 --> 43:09.740]  I'd love to have a career like that. I'd love to have
[43:10.260 --> 43:12.220]  Let's say life like that. That's creepy
[43:12.220 --> 43:18.660]  What do they just think of you as a role model give me some people some advice on the business end on the anything you want
[43:18.660 --> 43:22.940]  And it just do what is right for you. You can't follow you can't judge yourself by anybody else
[43:22.940 --> 43:26.180]  I can't look at you and say well Scott. He's doing this. I need to do this. I know what I need
[43:26.180 --> 43:29.540]  I want I know what works for me do what is for you
[43:29.540 --> 43:35.020]  Don't judge yourself on anybody else's success or failures. Don't judge yourself on your success or failures
[43:35.020 --> 43:39.220]  You can fix all that right now do it needs to be done. I do do what's right
[43:39.220 --> 43:41.800]  Don't follow the hype don't follow the money follow your heart
[43:42.460 --> 43:45.220]  Grow from your heart. That's the name of my podcast or a reason
[43:45.220 --> 43:48.780]  So do it all from the way it should be done do what's right and just listen to yourself
[43:48.860 --> 43:52.460]  Listen to your heart listen to whatever you believe in and I think you'll get where you need to be
[43:52.460 --> 43:57.340]  Don't don't listen to social media. Don't listen to the YouTube haters. Don't listen to your whoever
[43:57.340 --> 44:01.620]  Well, how do you get information though? I get a lot of information through saying, okay
[44:01.620 --> 44:06.820]  We can get information and encouragement and things but I don't get don't take too much life direction
[44:06.820 --> 44:12.940]  Yeah, because everyone's gonna say you should don't let people should on you like yeah, don't let people should on you
[44:14.540 --> 44:17.280]  Can I make that a bumper sticker I would love to see that as a sticker
[44:17.940 --> 44:21.660]  Do what you feel you should right? You know, you they don't know your goal
[44:21.660 --> 44:24.420]  You may see that I want a seed company and I want to be a breeder
[44:24.420 --> 44:26.020]  You'll say you should do this, right?
[44:26.020 --> 44:30.020]  That also I want to be a podcaster and a dad and your idea may not work
[44:30.020 --> 44:31.860]  So I've got to do what's right for me
[44:31.860 --> 44:35.380]  I wish I could give somebody better advice and say like you need to do these steps
[44:35.380 --> 44:38.820]  But do the steps and you'll know what the steps are, right?
[44:38.820 --> 44:45.180]  Oh, whatever your path is the steps will come and avoid the bullshit. You'll know, you know when there's bullshit, you know
[44:45.180 --> 44:48.500]  Oh, yeah, like whatever you're doing even when you're driving you're like, I'm gonna go to fat
[44:48.500 --> 44:50.300]  You feel you know driving too fast
[44:50.300 --> 44:50.700]  All right
[44:50.700 --> 44:53.460]  I'm gonna get a ticket for this right like don't do that and
[44:53.620 --> 44:57.020]  Stay on the highway and get to Fort Collins on time and do the show. Yeah
[44:57.020 --> 45:02.220]  Yeah, I will say a positive attitude is huge being when you have a positive attitude
