[00:00.000 --> 00:01.920]  What's up, cannabis community?
[21:12.980 --> 21:18.680]  on the show, so I won't reveal their identity, but I will say thank you for the great message.
[21:18.680 --> 21:22.560]  Thank you for sharing your grow of a rise on growdiaries.com.
[21:22.560 --> 21:26.920]  I will definitely save that in my favorites so I can go check that out at least once a
[21:27.000 --> 21:29.600]  week and see what your progress looks like.
[21:29.600 --> 21:33.580]  And hopefully one day you will be able to test some brand new seeds for me.
[21:33.580 --> 21:38.280]  So again, thank you for the great message, and I look forward to seeing your diary on
[21:38.280 --> 21:39.280]  growdiaries.com.
[21:39.280 --> 21:43.400]  All right, I've got one more email for this episode.
[21:43.400 --> 21:46.760]  The last email for today's episode goes just like this.
[21:46.760 --> 21:48.760]  Hey, Ross to Jeff.
[21:48.760 --> 21:52.600]  First off, man, I just want to say thank you for all you do for the cannabis community.
[21:52.600 --> 21:56.680]  Hey, thank you for the recognition, and you are very welcome.
[21:56.720 --> 22:01.440]  The message goes on to say, my name is Kodiak from Oklahoma, and I admittedly am new to
[22:01.440 --> 22:04.800]  finding your podcast, but I can't get enough of it.
[22:04.800 --> 22:06.520]  Well, I'm glad you found me.
[22:06.520 --> 22:07.640]  Welcome to the show.
[22:07.640 --> 22:13.480]  The message goes on to say, your expert insight is invaluable and exactly what I need.
[22:13.480 --> 22:17.480]  I am a longtime smoker, but I am a total newbie to growing.
[22:17.480 --> 22:22.760]  I am nearing the end of my first grow, and I've been fairly pleased with my first attempt.
[22:22.760 --> 22:26.320]  I credit your knowledge for getting me through my first grow.
[22:26.360 --> 22:31.400]  I grow for myself, so my growing goal is just to grow bomb-ass weed.
[22:31.400 --> 22:35.360]  Potency is what I want, so I do have a question for you.
[22:35.360 --> 22:37.720]  All right, so we've got a good foundation here.
[22:37.720 --> 22:40.680]  We've got a new friend named Kodiak from Oklahoma.
[22:40.680 --> 22:42.160]  They are a new grower.
[22:42.160 --> 22:44.560]  They are nearing the end of their first grow.
[22:44.560 --> 22:46.960]  They are fairly pleased with the first grow.
[22:46.960 --> 22:52.160]  They're growing for themselves, and their main goal is potent bomb-ass weed.
[22:52.160 --> 22:53.520]  So they've got a question.
[22:53.520 --> 22:56.520]  The question goes like this.
[22:56.520 --> 23:01.640]  Something I have found to be a little overwhelming as a new grower is definitely nutrients and
[23:01.640 --> 23:03.700]  additives alike.
[23:03.700 --> 23:10.280]  This first go-around, I used Fox Farm Ocean Forest Soil and Fox Farm Bottled Nutrients.
[23:10.280 --> 23:12.120]  I have added nothing else.
[23:12.120 --> 23:14.840]  I use a 4x4x8 Groten.
[23:14.840 --> 23:21.320]  My question is, what would you recommend for a small-time grower to use nutrient-wise going
[23:21.320 --> 23:22.320]  forward?
[23:22.560 --> 23:27.840]  Also, bro, I totally imagine you as a hella busy dude, and I won't sweat in the slightest
[23:27.840 --> 23:29.880]  if you don't respond here.
[23:29.880 --> 23:30.880]  It's all love.
[23:30.880 --> 23:34.400]  I just figured I couldn't hurt to ask for advice from the best.
[23:34.400 --> 23:36.200]  I'm sending good vibes to you.
[23:36.200 --> 23:38.800]  They wrap it up with, take it easy and happy growing.
[23:38.800 --> 23:43.360]  Well, yeah, I am a busy dude, but I've got a podcast, and I love helping people with
[23:43.360 --> 23:46.120]  my podcast, so you are in luck.
[23:46.120 --> 23:48.240]  Let's talk a little bit about your question.
[23:48.240 --> 23:51.960]  You started growing with the Fox Farms Ocean Forest Soil.
[23:51.960 --> 23:53.240]  That is an acceptable soil.
[23:53.240 --> 23:56.920]  Not the most expensive, not the cheapest, not the best, not the worst.
[23:56.920 --> 23:59.920]  That is an acceptable, quality, soilless mix.
[23:59.920 --> 24:00.920]  Nothing wrong with that.
[24:00.920 --> 24:05.520]  Then you used the Fox Farms Bottled Nutrients, probably the trio.
[24:05.520 --> 24:10.880]  You didn't say exactly what you bought, but you are asking what you can use nutrient-wise
[24:10.880 --> 24:12.560]  to go forward.
[24:12.560 --> 24:14.760]  You have got a lot of options.
[24:14.760 --> 24:20.400]  Fortunately, I am writing an episode all about my own personal feed mix.
[24:20.400 --> 24:24.320]  That will take a couple of more weeks before I get it out, but it is coming.
[24:24.320 --> 24:30.920]  In the meantime, let's talk about a couple of things we can add to this Fox Farms mix.
[24:30.920 --> 24:33.960]  I'm going to assume you are using the trio.
[24:33.960 --> 24:35.880]  They've got a basic trio that they sell.
[24:35.880 --> 24:37.160]  Every growth store has it.
[24:37.160 --> 24:42.520]  I think a lot of the hardware stores with a garden center actually offer Fox Farms products
[24:42.520 --> 24:45.620]  at this time, so it is very available.
[24:45.620 --> 24:51.180]  There is nothing wrong with the Fox Farms lineup and I have seen very high quality products
[24:51.180 --> 24:57.820]  come from those nutrients, but I do feel like it is a very entry-level product.
[24:57.820 --> 25:00.820]  Since you are a new grower, that is perfect for you.
[25:00.820 --> 25:06.580]  Fox Farms nutrients are gentle enough that if you do make a small mistake in your feeding,
[25:06.580 --> 25:10.420]  you will not destroy a crop with one simple mistake.
[25:10.420 --> 25:15.300]  They are also very affordable and it is very easy to mix when you've only got three, maybe
[25:15.340 --> 25:17.620]  four or five bottles to deal with.
[25:17.620 --> 25:20.380]  I really feel like there is nothing wrong with that product.
[25:20.380 --> 25:25.000]  I just feel that there are better options once you become a better grower and you understand
[25:25.000 --> 25:27.460]  what to watch for in the plants.
[25:27.460 --> 25:32.980]  For this situation, I am going to assume that you are using the Fox Farms trio as your base
[25:32.980 --> 25:37.220]  and that is the Grow Big, the Tiger Bloom, and what is the other one there?
[25:37.220 --> 25:39.460]  It's the Big Bloom, I believe is what that's called.
[25:39.460 --> 25:46.260]  They also offer three powdered nutrients, Open Sesame, Cha-Ching, and what's the name
[25:46.260 --> 25:47.260]  of that third one?
[25:47.260 --> 25:48.260]  Beastie Blooms.
[25:48.260 --> 25:50.540]  I used Fox Farms a really long time ago.
[25:50.540 --> 25:54.360]  That might have been the first or second product that I attempted to use and I just was not
[25:54.360 --> 25:57.020]  satisfied with it so I moved on.
[25:57.020 --> 26:00.620]  Let's just assume you were using the trio to start with.
[26:00.620 --> 26:04.720]  Perhaps you've got the three powders, maybe you've got some Bush Doctor, but let's talk
[26:04.720 --> 26:10.840]  about a couple of things you can add to your nutrient recipe to enhance your next crop.
[26:10.840 --> 26:15.360]  I always recommend some sort of microbes in your feeding regimen.
[26:15.360 --> 26:18.920]  There are many options when it comes to microbes.
[26:18.920 --> 26:25.000]  Microbe products can be very affordable and microbe products can also be astronomically
[26:25.000 --> 26:26.560]  expensive.
[26:26.560 --> 26:30.960]  Before you select any product for your grow, do a little bit of research on the product
[26:31.960 --> 26:36.760]  Find what it is made from, find out who is making it, and find out how you want to spend
[26:36.760 --> 26:37.920]  your dollars.
[26:37.920 --> 26:42.240]  Then find a product that fits your price range and add that to your mix.
[26:42.240 --> 26:46.480]  You do not have to use the most expensive microbe products you can find.
[26:46.480 --> 26:51.040]  If you can't afford something really expensive, use the microbes you can afford because some
[26:51.040 --> 26:55.040]  microbes are way better than no microbes.
[26:55.040 --> 26:59.620]  Adding beneficial microbes to your nutrient mix will be beneficial in many ways.
[26:59.620 --> 27:04.380]  The first way is that it will simply increase root mass development.
[27:04.380 --> 27:09.500]  You will grow stronger, fatter, thicker, healthier roots in less time.
[27:09.500 --> 27:11.420]  Fatter roots, bigger fruits.
[27:11.420 --> 27:14.420]  More healthy roots, more healthy plants.
[27:14.420 --> 27:20.100]  Adding microbes to our nutrient regimen will also help keep our plants pathogen free.
[27:20.100 --> 27:25.380]  If we have already developed colonies of beneficial fungus in our root zone, there won't be room
[27:25.380 --> 27:26.380]  for pathogens.
[27:26.380 --> 27:30.460]  If anything else tries to come in, those microbes go, nope, this is our turf bro, you're
[27:30.460 --> 27:31.980]  not allowed here.
[27:31.980 --> 27:36.500]  So I would always recommend some sort of a microbe product.
[27:36.500 --> 27:41.500]  Now I keep saying that there are many microbe products available at many different price
[27:41.500 --> 27:42.500]  points.
[27:42.500 --> 27:46.260]  Let me recommend three of my favorite microbes to you.
[27:46.260 --> 27:53.060]  I will recommend Recharge, I will recommend Plus Life, and I will recommend Mammoth Pea.
[27:53.060 --> 27:57.780]  Now those are three equal but very different microbe products and they will all fall at
[27:57.780 --> 28:00.060]  very different price points.
[28:00.060 --> 28:05.260]  You can use any microbe product individually or you can use most of them mixed together.
[28:05.260 --> 28:11.420]  But I definitely recommend you use at least one microbe product at least once a week in
[28:11.420 --> 28:13.300]  your nutrient mix.
[28:13.300 --> 28:16.900]  So the first thing I would add is a quality microbe product.
[28:16.900 --> 28:21.740]  Then I've got a few other recommendations that I would consider adding to that Fox Farms
[28:21.740 --> 28:22.740]  lineup.
[28:23.420 --> 28:26.540]  I would add a product called Shine to my lineup.
[28:26.540 --> 28:28.380]  I think Shine is a great product.
[28:28.380 --> 28:30.460]  It is made by the folks that make Veg Bloom.
[28:30.460 --> 28:32.400]  It is part of the Veg Bloom lineup.
[28:32.400 --> 28:34.820]  It is available from Hydroponic Research.
[28:34.820 --> 28:39.740]  You can find them at hydroponic-research.com.
[28:39.740 --> 28:42.900]  Now let's talk about why I recommend Shine.
[28:42.900 --> 28:46.180]  I think Shine adds to my bud density.
[28:46.180 --> 28:49.880]  I think Shine adds to my trichome density.
[28:49.880 --> 28:53.480]  I think Shine adds to my aroma and flavor.
[28:53.480 --> 28:59.440]  And I also think that if I use Shine early in the flowering phase, it slows down part
[28:59.440 --> 29:01.340]  of my early stretch.
[29:01.340 --> 29:07.600]  So I would add Shine to my mix and you will see an increase in bud density and trichome
[29:07.600 --> 29:12.520]  density and possibly an increase in aromas and flavors.
[29:12.520 --> 29:16.740]  So now we've got microbes making things work a little more quickly in the root zone.
[29:16.740 --> 29:21.020]  Now we've got some Shine beefing up the buds, giving you more trichomes.
[29:21.020 --> 29:24.340]  Something else I would add would be some fulvic acid.
[29:24.340 --> 29:27.800]  And I would recommend Ruby from our friends at New Millennium.
[29:27.800 --> 29:34.340]  And I would use five milliliters of Ruby for every gallon of nutrient solution you mix
[29:34.340 --> 29:37.980]  up every time you feed those plants.
[29:37.980 --> 29:40.820]  Now why do I suggest fulvic acid?
[29:40.820 --> 29:45.220]  We're feeding our plants high quality, expensive nutrients.
[29:45.220 --> 29:52.100]  Fulvic acid essentially makes those nutrients more available and more absorbable by our
[29:52.100 --> 29:53.100]  plants.
[29:53.100 --> 29:54.100]  That is the short explanation.
[29:54.100 --> 29:57.460]  It is sort of like that gas additive that they sell for your car.
[29:57.460 --> 29:59.540]  They say, yeah, that gas works great in your car.
[29:59.540 --> 30:03.380]  It makes the car go vroom, vroom, add a little bit of this shit to the gas and the car will
[30:03.380 --> 30:05.180]  go vroom, vroom, vroom, vroom.
[30:05.180 --> 30:07.780]  So that's basically what fulvic acid does.
[30:07.780 --> 30:12.660]  It gives you just a few more RPMs, a couple more horsepower, a little bit more turbo charge.
[30:12.660 --> 30:17.420]  It makes all of those expensive nutrients we are feeding to the plant more absorbable,
[30:17.420 --> 30:19.980]  more available to our plant.
[30:19.980 --> 30:25.420]  So I would suggest or recommend adding some fulvic acid to your feeding regimen.
[30:25.420 --> 30:30.540]  My favorite fulvic acid product is again, Ruby from New Millennium.
[30:30.540 --> 30:35.940]  And I use Ruby at five milliliters per gallon of everything I mix up.
[30:35.940 --> 30:42.400]  If I mix nutrients, I put five milliliters of Ruby in every gallon, every time I feed.
[30:43.140 --> 30:47.320]  Now at this point with this many new additives, we have kind of turbo charged our plants.
[30:47.320 --> 30:49.880]  We need to pay attention to CalMag.
[30:49.880 --> 30:52.160]  Are you getting a CalMag deficiency?
[30:52.160 --> 30:58.760]  If you don't have a CalMag product, this may be the time to consider adding CalMag to your lineup.
[30:58.760 --> 31:02.240]  Do you know what a CalMag deficiency looks like?
[31:02.240 --> 31:08.280]  Because we are currently not adding any calcium or magnesium supplements to these plants with
[31:08.280 --> 31:10.220]  this current nutrient feed.
[31:10.220 --> 31:16.660]  So with these extra additives we just put in the mix, we may need to watch for a CalMag deficiency.
[31:16.660 --> 31:21.380]  So before we start boosting up our nutrients, I recommend you find the chart on the internet
[31:21.380 --> 31:27.940]  that shows the cannabis leaf and all of the nutrient symptoms of deficiencies and toxicities.
[31:27.940 --> 31:34.180]  It will show you a cannabis leaf and it will say nitrogen deficiency or toxicity, calcium
[31:34.180 --> 31:37.980]  toxicity or deficiency, and it will show you what they look like.
[31:37.980 --> 31:41.420]  Get a good idea of what the CalMag deficiency looks like.
[31:41.420 --> 31:44.700]  Get a good idea of what the nitrogen deficiency looks like.
[31:44.700 --> 31:49.260]  Get a good idea of what phosphorus and potassium deficiencies look like.
[31:49.260 --> 31:51.740]  That way when those things come up, we know how to adjust.
[31:51.740 --> 31:54.340]  But right now we're focusing on CalMag.
[31:54.340 --> 31:58.900]  Learn what a CalMag deficiency looks like and think about if it's time to start adding
[31:58.900 --> 32:01.620]  CalMag to your nutrient regimen.
[32:01.620 --> 32:06.420]  So we've added some microbes, we've added some shine, we put some fulvic acid in there.
[32:06.420 --> 32:10.140]  We may need some CalMag now that we're going so hard with these plants, we're turbocharging
[32:10.140 --> 32:11.380]  them.
[32:11.380 --> 32:13.740]  What can we possibly do next?
[32:13.740 --> 32:19.580]  At this point, I would recommend a product called Winter Frost from New Millennium.
[32:19.580 --> 32:24.940]  Winter Frost is used right at the end of the flowering phase, just before flush.
[32:24.940 --> 32:31.940]  I feel like if you use Winter Frost and shine together, you will see tremendous results.
[32:32.020 --> 32:37.420]  You have to be careful not to burn your plants when you are adding this many additives to
[32:37.420 --> 32:38.580]  your recipe.
[32:38.580 --> 32:40.940]  I recommend that you start slowly.
[32:40.940 --> 32:45.860]  The first time you introduce Winter Frost to your feed mix, maybe go half strength and
[32:45.860 --> 32:47.020]  see what it does.
[32:47.020 --> 32:48.140]  Does it burn the plants?
[32:48.140 --> 32:49.540]  Did you notice anything?
[32:49.540 --> 32:55.580]  If it didn't have any adverse effects to the plants, increase the dosage on the next feed.
[32:55.580 --> 33:00.540]  Make sure you keep notes of what you are feeding your plants so that you know how much you
[33:00.540 --> 33:03.580]  fed it and how the plant responded.
[33:03.580 --> 33:07.420]  Start lightly, maybe a quarter, maybe 50% of the recommended dosage.
[33:07.420 --> 33:08.420]  Feed it that.
[33:08.420 --> 33:09.620]  See how the plant responds.
[33:09.620 --> 33:14.060]  Next time, feed it more if you want to, feed it less if you need to, but don't go full
[33:14.060 --> 33:19.740]  strength right away when you are adding this many additives to your nutrient solution.
[33:19.740 --> 33:23.540]  I've still got a couple of things I'd like to recommend, so let's keep moving.
[33:23.540 --> 33:28.780]  At this point, I may suggest adding some enzymes to your nutrient mix.
[33:28.780 --> 33:33.260]  Enzymes work with the microbes, enzymes work with the fulvic acid, and they help to make
[33:33.260 --> 33:38.080]  all of the nutrients more available to the plants.
[33:38.080 --> 33:42.780]  Enzymes will also work with the microbes and the fulvic acid to keep the plants pathogen
[33:42.780 --> 33:43.780]  free.
[33:43.780 --> 33:49.300]  So I would recommend adding an enzymatic product to your nutrient mix.
[33:49.300 --> 33:54.140]  Now the next product is just something that I personally add to my personal grows because
[33:54.140 --> 33:57.500]  I believe it adds aroma and flavor.
[33:57.500 --> 34:03.060]  I really think this product brings out the skunky, funky, dirty, cushy aromas, and the
[34:03.060 --> 34:06.540]  product I am talking about is called Liquid Karma.
[34:06.540 --> 34:08.060]  Liquid Karma is from Botanicare.
[34:08.060 --> 34:10.060]  It is very affordable.
[34:10.060 --> 34:16.100]  It is more of a supplement, but it is a product that I add for aroma and flavor and possibly
[34:16.100 --> 34:18.580]  a little bit of bud density.
[34:18.580 --> 34:19.780]  I don't know if I'm crazy.
[34:19.780 --> 34:21.400]  I don't know if I'm making it up.
[34:21.400 --> 34:27.180]  It could possibly be a placebo effect, but I do feel that when I use Liquid Karma, that
[34:27.220 --> 34:31.900]  my buds smell just a little bit stinkier than when I don't use it.
[34:31.900 --> 34:35.600]  So that is the last specific product I'm going to recommend.
[34:35.600 --> 34:41.780]  You may also want to add a bloom booster to your regimen, but I don't have a specific
[34:41.780 --> 34:43.740]  bloom booster recommendation.
[34:43.740 --> 34:46.980]  There are countless options available for bloom boosters.
[34:46.980 --> 34:51.960]  Again, stay tuned to the show because in the very near future, I am going to do a very
[34:51.960 --> 34:59.000]  detailed episode, possibly two episodes on my very specific nutrient recipe and how
[34:59.000 --> 35:00.320]  I mix it.
[35:00.320 --> 35:01.320]  So let's recap.
[35:01.320 --> 35:06.200]  I think I said I would add microbes because microbes will make the roots grow faster and
[35:06.200 --> 35:07.560]  keep pathogens away.
[35:07.560 --> 35:12.140]  Then I would add some shine because shine is going to give us more trichomes and more
[35:12.140 --> 35:16.940]  bud density, and who doesn't like denser trichome-covered buds?
[35:16.940 --> 35:21.540]  Then I would add some fulvic acid to make all of those nutrients better available to
[35:21.540 --> 35:22.700]  the plants.
[35:22.700 --> 35:25.740]  At this point, we may need some CalMag.
[35:25.740 --> 35:31.100]  Then I got a little bit random and I went with some winter frost, some Liquid Karma,
[35:31.100 --> 35:35.200]  some enzymes, and possibly a bloom booster.
[35:35.200 --> 35:39.060]  So I hope I have opened your mind, given you a few options of things you can add to your
[35:39.060 --> 35:40.380]  Fox Farms lineup.
[35:40.380 --> 35:43.080]  Again, any of those products will be beneficial.
[35:43.080 --> 35:47.120]  A couple of them in conjunction with each other will really do a great job.
[35:47.120 --> 35:52.280]  I would always recommend some fulvic acid because you're already paying for the nutrients.
[35:52.280 --> 35:58.800]  Why not add that fulvic acid to actually make all of the nutrients available to the plants?
[35:58.800 --> 36:02.480]  Then once we've got the basic nutrition covered, that's when we want to start adding things
[36:02.480 --> 36:07.480]  to give us beefier, bulkier plants with more stank and more resin.
[36:07.480 --> 36:12.160]  That's when we move in to the products like shine, the winter frost, and then eventually
[36:12.240 --> 36:14.840]  we end with bloom boosters.
[36:14.840 --> 36:16.360]  So I hope I have inspired you.
[36:16.360 --> 36:18.360]  I hope I did not overwhelm you.
[36:18.360 --> 36:22.800]  If you want to learn more about nutrients and you want to learn exactly what I am mixing,
[36:22.800 --> 36:25.320]  stay tuned because I like to keep teasing it.
[36:25.320 --> 36:31.360]  But in a few episodes, I'm going to put out a very detailed episode on exactly what I
[36:31.360 --> 36:34.720]  feed and how I feed my plants.
[36:34.720 --> 36:38.240]  I want to thank my new friend, Kodiak in Oklahoma, for the great email.
[36:38.240 --> 36:42.680]  If anybody else out there has a cannabis cultivation or cannabis culture question,
[36:42.680 --> 36:43.840]  I would love to hear from you.
[36:43.840 --> 36:48.840]  My email address is growfromyourheart.com.
[36:48.840 --> 36:52.040]  Ladies and gentlemen, that is all I've got for this episode of the Grow From Your Heart
[36:52.040 --> 36:53.040]  podcast.
[36:53.040 --> 36:54.860]  I want to thank you again for listening.
[36:54.860 --> 36:58.760]  If you feel like this episode was educational, informative, or entertaining, and you'd like
[36:58.760 --> 37:05.840]  to make a financial contribution to the show, you can do so by visiting www.patreon.com
[37:05.840 --> 37:07.720]  slash growfromyourheart.
[37:07.720 --> 37:13.040]  All of the information you need to support the show will be right there on the screen.
[37:13.040 --> 37:16.080]  You can also support the show by following us on YouTube.
[37:16.080 --> 37:20.400]  Simply go to YouTube, search for the Grow From Your Heart podcast, click the subscribe
[37:20.400 --> 37:24.360]  button, click like on some of the videos, type in some comments, and let me know what
[37:24.360 --> 37:25.520]  you think about the show.
[37:25.520 --> 37:29.100]  I do love that type of listener interaction.
[37:29.100 --> 37:31.960]  If you've got something you'd like to say and you're not into all of that social media
[37:31.960 --> 37:34.100]  nonsense, you can send me an email.
[37:34.140 --> 37:37.820]  My email address is growfromyourheart at hotmail.com.
[37:37.820 --> 37:41.060]  Once again, you know I love to hear from you.
[37:41.060 --> 37:44.340]  Ladies and gentlemen, boys and girls, that is all I've got for this episode.
[37:44.340 --> 37:46.660]  I'll be back in just a few days with fresh new content.
[37:46.660 --> 37:50.020]  I want to give a giant shout out to my buddy Mason Pitt.
[37:50.020 --> 37:53.500]  Until next time, take a fat dab and give your mom a hug for me.
[37:55.500 --> 37:58.500]  She came to my high school.
[37:58.500 --> 38:01.500]  She caused quite a stir.
[38:01.900 --> 38:07.900]  All the kids at big time high wanted to be just like her.
[38:07.900 --> 38:13.900]  Make lots of money till you grow old.
[38:13.900 --> 38:18.900]  Sell your diamond decently for 24 grams of gold.
[38:18.900 --> 38:23.900]  She was a porno star.
[38:24.900 --> 38:29.900]  She drove a fast, fast car.
[38:31.900 --> 38:35.900]  Kept all her money in a plastic bag.
[38:44.970 --> 38:47.970]  He used to teach at my high school.
[38:47.970 --> 38:50.970]  He caused quite an uproar.
[38:50.970 --> 38:53.970]  With diamonds and pearls and a ring on each finger.
[38:53.970 --> 38:56.970]  And a whole lot more.
[38:56.970 --> 39:02.970]  None of us raised our hand to ask him why.
[39:02.970 --> 39:05.970]  Because it was a hell of a chore.
[39:06.370 --> 39:12.370]  He was a porno star.
[39:13.370 --> 39:21.880]  He drove a fast, fast car.
[39:21.880 --> 39:32.210]  He put it in the journal of science.
[39:32.210 --> 39:35.210]  And yeah, yeah, yeah.
[39:35.210 --> 39:38.480]  Da da da da.
[39:38.480 --> 39:40.480]  Yeah, yeah, yeah.
[39:40.480 --> 39:42.480]  Da da da da.
[39:42.480 --> 39:48.760]  Da da da da.
[39:48.760 --> 39:50.760]  Da da da da.
[39:51.160 --> 41:59.140]  They were the topic that made her rock so great.
[41:59.140 --> 42:02.140]  Went to the preacher to save their souls.
[42:02.140 --> 42:05.140]  And he said it's not too late.
[42:05.140 --> 42:11.140]  When we asked them about their car and their finest day.
[42:11.140 --> 42:14.140]  They said we like who we are.
[42:14.140 --> 42:16.140]  And we're feeling great.
[42:16.140 --> 42:21.140]  They were a porno star.
[42:21.540 --> 42:39.870]  He drove a fast, fast car.
[42:39.870 --> 42:47.440]  And yeah, yeah, yeah.
[42:47.440 --> 42:49.440]  Da da da da.
[42:49.440 --> 42:51.440]  Da da da da.
[42:51.440 --> 42:54.440]  Yeah, yeah, yeah.
[42:54.440 --> 42:56.440]  Da da da da.
[42:56.440 --> 42:58.440]  Da da da da.
[42:58.440 --> 43:01.440]  Yeah, yeah, yeah.
[43:49.300 --> 43:51.300]  People are people.
[43:51.300 --> 43:53.300]  I'm not a judge.
[43:53.700 --> 43:55.700]  People are people.
[43:55.700 --> 43:57.700]  And I'm not a judge.
[43:57.700 --> 43:59.700]  People are people.
[43:59.700 --> 44:00.700]  I'm not a judge.
[44:00.700 --> 44:02.700]  I'm not a judge.
[44:02.700 --> 44:04.700]  I'm not a judge.
[44:04.700 --> 44:06.700]  People are people.
[44:06.700 --> 44:08.700]  And I'm not a judge.
[44:08.700 --> 44:10.700]  People are people.
[44:10.700 --> 44:12.700]  And I'm not a judge.
[44:12.700 --> 44:14.700]  I'm not a judge.
[44:14.700 --> 44:16.060]  I'm not a judge.
