[00:05.950 --> 00:25.250]  What?
[17:49.250 --> 17:53.690]  If you have any topics you'd like me to cover, any grow questions you'd like to ask, I would
[17:53.690 --> 17:54.690]  love to hear from you.
[17:54.690 --> 17:57.690]  Also, check out the website, ieregenetics.com.
[17:57.690 --> 18:00.450]  There's a link to the Discord, a link to Seed Vendors.
[18:00.450 --> 18:02.290]  There's a Grow Help tab there.
[18:02.290 --> 18:05.970]  On that Grow Help tab, I do ask you a few preliminary questions.
[18:05.970 --> 18:09.810]  We ask what's up with your temperature, your humidity, what you're growing.
[18:09.810 --> 18:10.810]  Is it indoors?
[18:10.810 --> 18:11.810]  Is it outdoors?
[18:11.810 --> 18:14.410]  A few basic questions so I know what's going on with your grow.
[18:14.410 --> 18:15.410]  Scroll down to the bottom.
[18:15.410 --> 18:19.170]  I will give you the opportunity to explain what is going on in your grow and ask for
[18:19.170 --> 18:20.170]  help.
[18:20.170 --> 18:21.170]  Let me know if you have problems.
[18:21.170 --> 18:24.610]  If you don't have grow problems or grow help, if you've got a basic cannabis culture question,
[18:24.610 --> 18:27.250]  a cultivation question, skip all the part above.
[18:27.250 --> 18:28.290]  Put your question right in there.
[18:28.290 --> 18:30.510]  I will answer that for you on the show.
[18:30.510 --> 18:33.250]  If I haven't answered your message already, please be patient.
[18:33.250 --> 18:37.490]  I've been doing a lot of focused episodes on the silver thiosulfate and other things.
[18:37.490 --> 18:40.290]  I will be getting to more listener emails very soon.
[18:40.290 --> 18:42.770]  I save them up and make big episodes out of those.
[18:42.770 --> 18:43.810]  Keep the messages coming.
[18:43.810 --> 18:44.810]  Don't forget about Patreon.
[18:45.210 --> 18:48.530]  Patreon.com forward slash grow from your heart.
[18:48.530 --> 18:49.530]  My throat is done.
[18:49.530 --> 18:51.010]  My ADD is firing up.
[18:51.010 --> 18:52.730]  That is all I've got for you for this episode.
[18:52.730 --> 18:55.730]  I'll be back in a couple of days with fresh new content.
[18:55.730 --> 19:00.050]  Let's give a giant shout out to my friend ADHD Grower.
[19:00.050 --> 19:05.170]  Until next time, take a fat dab and give your mom a hug for me.
