[00:00.000 --> 00:01.000]  Boo!
[20:13.580 --> 20:14.580]  some shit.
[20:14.580 --> 20:17.860]  Don't just try to get money out of my pocket without sending me out of there happy.
[20:17.860 --> 20:21.740]  If you send me out of the grocery store with a smile, I'll spend all my money, but if you
[20:21.740 --> 20:25.860]  bother me and you upset my shopping experience, I won't give you any of my money.
[20:25.860 --> 20:27.860]  I'll go somewhere where they do it correctly.
[20:27.860 --> 20:30.900]  So that is probably some of the best advice I can give you.
[20:30.900 --> 20:33.300]  That is just basic sales school stuff.
[20:33.300 --> 20:34.820]  Be friendly, be knowledgeable.
[20:34.820 --> 20:35.940]  Don't be a dickhead.
[20:35.940 --> 20:37.660]  Don't be in there to steal money from people.
[20:37.660 --> 20:38.660]  Don't be in there to get rich.
[20:38.660 --> 20:40.460]  Be there to help people out.
[20:40.460 --> 20:43.300]  Don't pitch products because a company told you to pitch a product.
[20:43.300 --> 20:47.180]  Pitch a product because you believe in it, but if somebody doesn't want that, have another
[20:47.180 --> 20:49.420]  solution, another option for them.
[20:49.420 --> 20:51.580]  And here's another great piece of advice.
[20:51.580 --> 20:54.660]  Don't ever be afraid to say, I don't know.
[20:54.660 --> 20:57.620]  If somebody comes in and they're trying to tell you they've got a problem or ask you
[20:57.660 --> 21:02.940]  for some sort of advice and you don't have a solution, just say, wow, I don't know.
[21:02.940 --> 21:06.660]  Because if you tell me that I have got this problem and I buy a bunch of shit and try
[21:06.660 --> 21:11.540]  to go solve that problem with your solution and all it does is backtrack me, guess who
[21:11.540 --> 21:13.180]  I'm never trusting again?
[21:13.180 --> 21:15.100]  Guess where I'm never going to shop again?
[21:15.100 --> 21:16.100]  That's you, buddy.
[21:16.100 --> 21:20.040]  So give solid advice, but don't be afraid to say, I don't know.
[21:20.040 --> 21:26.340]  Other than that, bro, follow basic sales class techniques, approach, position, engage, follow
[21:26.340 --> 21:27.340]  through.
[21:27.340 --> 21:28.340]  That's all you got to do, man.
[21:28.340 --> 21:30.980]  Make the sale happen and it will sell itself.
[21:30.980 --> 21:35.140]  Be friendly, be a good person, and the customers will keep coming on back.
[21:35.140 --> 21:37.340]  So I want to thank you again for the great email.
[21:37.340 --> 21:39.260]  You're a drummer and you said you were on tour.
[21:39.260 --> 21:42.840]  So that means that you've probably got some music you could send to me and I can play
[21:42.840 --> 21:45.440]  that on the show and we can get you some exposure.
[21:45.440 --> 21:48.980]  So I look forward to getting an MP3 from you in the very near future.
[21:48.980 --> 21:53.140]  All right, ladies and gentlemen, boys and girls, pimps and hoes, smokers and growers,
[21:53.140 --> 21:56.580]  I want to thank everybody for listening to this spooky Halloween edition of the Grow
[21:56.580 --> 21:58.480]  From Your Heart podcast.
[21:58.480 --> 22:02.020]  If you feel like this episode was educational, informative, or entertaining, and you would
[22:02.020 --> 22:09.420]  like to make a financial contribution to the show, again, you can do so by visiting www.patreon.com
[22:09.420 --> 22:11.180]  slash growfromyourheart.
[22:11.180 --> 22:15.700]  All of the information you need to sign up will be right there on the screen.
[22:15.700 --> 22:19.020]  I would also appreciate it if you subscribe to my YouTube channel.
[22:19.020 --> 22:23.820]  Just go to YouTube, search for the Grow From Your Heart podcast, click that subscribe button,
[22:23.820 --> 22:27.260]  like some videos, leave some comments, let me know what you think of the show.
[22:27.260 --> 22:30.060]  You know I love that type of listener interaction.
[22:30.060 --> 22:33.860]  I would also appreciate it if you stalk me on Cannabuzz.
[22:33.860 --> 22:36.480]  Cannabuzz is a new social media application.
[22:36.480 --> 22:37.480]  It is free.
[22:37.480 --> 22:40.580]  It is available on your Android or Apple mobile device.
[22:40.580 --> 22:45.300]  Go to your app store, download Cannabuzz, create yourself an account, sign in, give
[22:45.300 --> 22:46.300]  me a follow.
[22:46.300 --> 22:48.700]  I'm irie underscore genetics on Cannabuzz.
[22:48.700 --> 22:53.460]  Check out the new cannabis-friendly social media application.
[22:53.460 --> 22:56.580]  If you've got something you'd like to say or if you've got a cannabis cultivation or
[22:56.580 --> 22:59.580]  cannabis culture question, you can send me an email.
[22:59.580 --> 23:03.600]  Again, my email address is growfromyourheart at hotmail.com.
[23:03.600 --> 23:06.100]  You know I would love to hear from you.
[23:06.100 --> 23:08.900]  Ladies and gentlemen, that is all I've got for you for this Thursday episode.
[23:08.900 --> 23:11.660]  I hope everybody out there is staying warm, staying safe.
[23:11.660 --> 23:14.860]  I want to give a giant shout out to my buddy JR Token.
[23:14.860 --> 23:18.380]  Until next time, take a fat dab and give your mom a hug for me.
[23:23.460 --> 23:35.570]  The Army's on ecstasy, so they say.
[23:35.570 --> 23:39.570]  I read all about it in USA Today.
[23:39.570 --> 23:42.570]  They stepped up urine testing, tough to make it go away.
[23:42.570 --> 23:45.570]  It's hard to kill the enemy on OMDMA.
[23:45.570 --> 23:49.570]  I said the king of contradiction to the queen of mystery.
[23:49.570 --> 23:52.570]  The prince of paradox, he dogs me like a flea.
[23:52.570 --> 23:56.570]  So I'll set my troops upon him and bring him to his knees.
[23:56.570 --> 23:59.570]  When all is said and done, I'll pick a fight with the Chinese.
[23:59.570 --> 24:02.570]  The queen, she stared him long and hard and then she softly said,
[24:02.570 --> 24:05.570]  I'll fuck you down with linseed oil to ease your throbbing.
[24:05.570 --> 24:09.570]  She slipped a note into an apricot and threw it to the horse.
[24:09.570 --> 24:13.570]  The jester read the words, something wicked this way roars.
[24:13.570 --> 24:16.570]  The Army's on ecstasy, so they say.
[24:16.570 --> 24:19.570]  I read all about it in USA Today.
[24:19.570 --> 24:22.570]  They stepped up urine testing, tough to make it go away.
[24:22.570 --> 24:26.570]  It's hard to kill the enemy on OMDMA.
[24:58.640 --> 25:01.640]  The prize they put upon the heads of folks with pointed views
[25:01.640 --> 25:04.640]  would be better spent on the children without shoes.
[25:04.640 --> 25:07.640]  And when the king condoned the actions of the liar,
[25:07.640 --> 25:11.640]  he forgot to weigh the awesome power of the village crier.
[25:11.640 --> 25:14.640]  The Army's on ecstasy, so they say.
[25:14.640 --> 25:17.640]  I read all about it in USA Today.
[25:17.640 --> 25:20.640]  They stepped up urine testing, tough to make it go away.
[25:20.640 --> 25:23.640]  It's hard to kill the enemy on OMDMA.
[25:41.640 --> 25:56.640]  The Army's on ecstasy, so they say.
[25:56.640 --> 26:08.640]  I read all about it in USA Today.
[26:08.640 --> 26:12.640]  They stepped up urine testing, tough to make it go away.
[26:12.640 --> 26:18.640]  It's hard to kill the enemy on OMDMA.
[26:18.640 --> 26:22.640]  The Army's on ecstasy, so they say.
[26:22.640 --> 26:25.640]  I read all about it in USA Today.
[26:25.640 --> 26:28.640]  They stepped up urine testing, tough to make it go away.
[26:28.640 --> 26:31.640]  It's hard to kill the enemy on OMDMA.
[26:31.640 --> 26:34.160]  The absurdest anarchist decree
[26:34.460 --> 27:05.700]  You understand no one to understand
[27:05.880 --> 27:07.360]  It's design you will need to know
[27:07.500 --> 27:18.160]  Oh, diacon
