[00:01.790 --> 00:18.200]  Alright, here we go.
[18:15.820 --> 18:18.060]  And I'll get a clone of it and I'll cross it to Jack the Ripper.
[18:18.060 --> 18:19.060]  And guess what?
[18:19.060 --> 18:20.060]  Full success.
[18:20.060 --> 18:23.740]  It's just something intuitive in me after doing it for so long.
[18:23.740 --> 18:28.220]  So I say, learn about breeding, learn about your plants, learn about each plant that you're
[18:28.300 --> 18:30.100]  going to breed with.
[18:30.100 --> 18:34.420]  Learn about the male plant, learn its traits, learn how long it flowers, learn what it enjoys,
[18:34.420 --> 18:36.980]  learn the female plants you're going to breed with.
[18:36.980 --> 18:38.180]  What are they susceptible to?
[18:38.180 --> 18:39.300]  What are they resistant to?
[18:39.300 --> 18:42.000]  How do they react to certain environmental stresses?
[18:42.000 --> 18:44.300]  How do they react to your abuse?
[18:44.300 --> 18:48.780]  Learn all of the plants, then learn about aliel charts and Mendel charts and learn about
[18:48.780 --> 18:52.120]  chromosomes and learn about DNA transfer.
[18:52.120 --> 19:00.440]  Learn about progeny and memetics and then forget all of that and breed with your intuition.
[19:00.440 --> 19:04.120]  I know that sounds completely crazy, but I know how to read music.
[19:04.120 --> 19:05.120]  I know how to write music.
[19:05.120 --> 19:08.760]  I know how to think about my posture and my finger grip and where my foot's placed on
[19:08.760 --> 19:12.600]  the pedal and how my back is straight and how my arms and shoulders are aligned on the
[19:12.600 --> 19:13.720]  drum kit.
[19:13.720 --> 19:17.440]  And I know how to think that the, I know how to count compound time and I know how to think
[19:17.440 --> 19:19.800]  where the bass player and the guitar player are in the music.
[19:20.120 --> 19:24.360]  But when it comes to playing music, I forget all that shit and I play what sounds really
[19:24.360 --> 19:28.480]  good because I've got enough experience to rely on myself and know that I know how to
[19:28.480 --> 19:32.320]  make the right choices musically and I can do that with breeding plants as well.
[19:32.320 --> 19:37.920]  If I were on stage counting one E and a two E and a, the music's going to sound like shit.
[19:37.920 --> 19:43.220]  But if I go up there and go, we can all dance and it sounds like a really good time.
[19:43.220 --> 19:48.320]  So learn the things that you need to know, get a good education, a solid foundation,
[19:48.680 --> 19:50.520]  you'll be good at it and do it comfortably.
[19:50.520 --> 19:53.400]  And I kind of think that breeding, my breeding works that way.
[19:53.400 --> 19:57.960]  It's sort of like I, I say that like I'm a plant matchmaker, I'm a cannabis porn producer
[19:57.960 --> 19:58.960]  or something like that.
[19:58.960 --> 20:03.240]  I just, I can see it and I just know I can kind of, when I'm going to cross plants, I
[20:03.240 --> 20:07.280]  can tell you pretty closely to what the progeny will be.
[20:07.280 --> 20:11.960]  I can give predictions and most of the time my breeding predictions are fairly accurate
[20:11.960 --> 20:13.480]  and that's just from doing it so long.
[20:13.480 --> 20:15.480]  It's like being a chef or a musician.
[20:15.480 --> 20:17.800]  You've been in the kitchen, you've been on the stage so long.
[20:17.800 --> 20:21.320]  You throw your hands up in the air and suddenly magic happens because you're so experienced
[20:21.320 --> 20:22.320]  at it.
[20:22.320 --> 20:24.920]  So I'd like to give you really good breeding advice.
[20:24.920 --> 20:29.360]  I've given you a few strains to choose from, but honestly learn the Mendel charts, learn
[20:29.360 --> 20:33.400]  the plant biology, learn all of that stuff as deep as you can.
[20:33.400 --> 20:38.600]  Then forget it all and use your intuition by looking at the plants, touch them, rub
[20:38.600 --> 20:39.880]  them, smell them.
[20:39.880 --> 20:41.880]  Like that's what really matters.
[20:41.880 --> 20:45.400]  We've got all of the right senses to make all of the right decisions.
[20:45.400 --> 20:48.880]  Your nose, your fingers, your eyes, all of those things.
[20:48.880 --> 20:51.780]  Just use those things to make the right decisions in breeding.
[20:51.780 --> 20:55.000]  Of course you're going to have to breed out, grow out those seeds to see if you did anything
[20:55.000 --> 20:59.880]  right or wrong, but in most cases if you're working with good modern cannabis and you're,
[20:59.880 --> 21:04.260]  especially not to toot my own horn, if you're selecting a male from my line, you're going
[21:04.260 --> 21:05.960]  to find something quality.
[21:05.960 --> 21:09.840]  You know you're starting with quality genetics and it's going to be something good.
[21:09.840 --> 21:13.840]  So you'll see improvement on the line and that is your main goal to improve the line.
[21:13.840 --> 21:17.360]  So find something that gets your attention.
[21:17.360 --> 21:19.360]  It's got to smell good, taste good, look good.
[21:19.360 --> 21:20.360]  It's got to sing to you.
[21:20.360 --> 21:23.960]  It's like finding a date and I don't want to be responsible for picking your date.
[21:23.960 --> 21:27.960]  I don't know what you're into and I don't want you to blame it on me later when it goes
[21:27.960 --> 21:28.960]  wrong.
[21:28.960 --> 21:32.920]  So do your best to make your best selections based on the criteria that I have given you.
[21:32.920 --> 21:36.480]  I'm quite rambly so I'm going to get back into this message.
[21:36.480 --> 21:40.480]  It says, I'm really confident in your strains because every strain of yours I've tried I
[21:40.480 --> 21:41.480]  have loved.
[21:41.480 --> 21:44.720]  And it kind of backs up what I just said that my strains are going to work for you.
[21:44.720 --> 21:46.480]  So respect, thank you for that.
[21:46.480 --> 21:48.240]  Thank you for trying my strains.
[21:48.240 --> 21:52.560]  They're all dank as hell, stank like hell and everything except for, and then you list
[21:52.560 --> 21:53.760]  a couple, grew like crazy.
[21:53.760 --> 21:57.680]  And I'm not going to list a couple because those should have grown like crazy for you.
[21:57.680 --> 22:00.640]  You just had small phenos or something.
[22:00.640 --> 22:03.280]  But it says, head and shoulders above everything else.
[22:03.280 --> 22:09.220]  I really enjoyed the Arise, Firefly, Sun Kiss, Sunshine Girl, Dragon Punch, and Scarlet Begonias.
[22:09.220 --> 22:15.180]  And I liked Sonic Boom so much that I bred it to about 30 of over 300 strains re-grew
[22:15.180 --> 22:18.620]  commercially in 2019.
[22:18.620 --> 22:23.380]  I don't think that I had read that part of the message when I decided to tell you to
[22:23.380 --> 22:24.620]  breed to Sonic Boom.
[22:24.620 --> 22:27.020]  That may, I don't think I got that far.
[22:27.020 --> 22:28.380]  So do that again.
[22:28.380 --> 22:29.740]  It sounds like it's working for you.
[22:29.740 --> 22:31.080]  It sounds like it was a good decision.
[22:31.080 --> 22:32.740]  We both thought of that.
[22:32.740 --> 22:33.740]  Do that again.
[22:33.740 --> 22:36.980]  If we both think that's the way to go, that is the way to go.
[22:36.980 --> 22:42.300]  It says, some awesome iReed discord server members recommended that Donatello would bring
[22:42.300 --> 22:47.620]  some crazy vigor while either Orangegasm or Blueberry Butcher would throw in the potency
[22:47.620 --> 22:50.660]  department, would throw down in the potency department.
[22:50.660 --> 22:52.580]  All of that is highly accurate.
[22:52.580 --> 22:58.600]  Unfortunately, Donatello is sold out and discontinued and it is feminized.
[22:58.600 --> 23:01.980]  So you'd have to reverse that if you were going to work with that.
[23:01.980 --> 23:04.220]  There's no male to be found.
[23:04.220 --> 23:06.140]  The same thing with the Orangegasm.
[23:06.140 --> 23:10.420]  The Orangegasm is not discontinued, but it is sold out on most formats in most places.
[23:10.420 --> 23:11.420]  It will be back.
[23:11.420 --> 23:12.420]  Don't worry.
[23:12.420 --> 23:14.060]  But it is feminized.
[23:14.060 --> 23:15.780]  So you won't find a male in there.
[23:15.780 --> 23:20.240]  You would have to reverse it and make a feminized outcross of these seeds, which wouldn't be
[23:20.240 --> 23:22.380]  a problem, but I don't know that that's your goal.
[23:22.380 --> 23:26.020]  It sounds like you're looking for a male to pollinate your freak show plants with.
[23:26.020 --> 23:32.260]  So I may sway away or stray away from the Donny or the Orangegasm for the fems.
[23:32.260 --> 23:37.260]  The Blueberry Butcher though is absolutely correct that it would throw down in that potency
[23:37.260 --> 23:38.340]  department.
[23:38.340 --> 23:42.740]  Also vigorous plants, super vigor, good potency, good turps.
[23:42.740 --> 23:48.480]  I would do a lot of repairing, but also you're going to find longer finishing plants in there
[23:48.480 --> 23:52.180]  because of that haze history within those genetics.
[23:52.180 --> 23:53.460]  So it says, what do you think?
[23:53.460 --> 23:55.500]  Man, I think I told you what I think.
[23:55.500 --> 23:57.620]  I think I spit out enough info on that one.
[23:57.620 --> 23:59.260]  I hope you got some good advice.
[23:59.260 --> 24:01.740]  It says, thank you again for everything you do.
[24:01.740 --> 24:04.580]  Much love from Locomotive Medical.
[24:04.580 --> 24:07.900]  My man Locomotive Medical, big thank you for the great question.
[24:07.900 --> 24:10.100]  Big thanks and respect for breeding with my products.
[24:10.100 --> 24:14.740]  It means a lot to me that everybody out there, it means a lot to me that you guys trust my
[24:14.740 --> 24:17.420]  brand enough to breed with my seeds.
[24:17.420 --> 24:18.420]  That's a lot.
[24:18.420 --> 24:20.620]  Just growing it is a big dedication, a big commitment.
[24:20.620 --> 24:22.420]  You spent money on a product.
[24:22.420 --> 24:23.420]  Money's expensive.
[24:23.420 --> 24:24.420]  I know how hard you work.
[24:24.420 --> 24:28.820]  You're sweating, you're doing shit you don't want to do for somebody that doesn't respect
[24:28.820 --> 24:30.540]  you that you don't want to be around.
[24:30.540 --> 24:32.860]  You'd rather go pet your puppy or play your Xbox.
[24:32.860 --> 24:33.860]  I get it.
[24:33.860 --> 24:37.580]  So it means a lot to me that first of all, you chose to buy seeds from my brand.
[24:37.580 --> 24:39.120]  That does mean a lot to me.
[24:39.120 --> 24:41.720]  You trusted them to grow them and put in your garden.
[24:41.720 --> 24:45.860]  You've got them for nine weeks in flower, another five weeks in veg probably.
[24:45.860 --> 24:48.300]  You've got my plants for 14 weeks in your garden.
[24:48.300 --> 24:49.300]  Thank you.
[24:49.300 --> 24:52.360]  Then you guys trust my product enough to breed to it.
[24:52.360 --> 24:53.560]  That means a lot to me.
[24:53.560 --> 24:57.740]  Your future gardens rely on my garden, my product.
[24:57.740 --> 24:59.160]  So that means a lot to me.
[24:59.160 --> 25:00.420]  That does hit me.
[25:01.300 --> 25:02.300]  It's not left unnoticed.
[25:02.300 --> 25:03.300]  It's humbling.
[25:03.300 --> 25:04.820]  It fills me with pride.
[25:04.820 --> 25:06.000]  It gives me a lot of emotion.
[25:06.000 --> 25:07.000]  So thank you guys.
[25:07.000 --> 25:08.000]  That means a lot to me.
[25:08.000 --> 25:11.840]  It inspires me to keep going and make even better shit for you guys to breed with.
[25:11.840 --> 25:12.840]  That's the only way to do it.
[25:12.840 --> 25:15.620]  I got to stay ahead so that you guys can breed with good shit.
[25:15.620 --> 25:16.620]  All right.
[25:16.620 --> 25:17.620]  I am rambly.
[25:17.620 --> 25:18.620]  I hope you enjoyed this episode.
[25:18.620 --> 25:20.880]  I'm going to wrap it up because my voice is burning out.
[25:20.880 --> 25:21.980]  My throat is starting to hurt.
[25:21.980 --> 25:23.420]  I'm getting super dry.
[25:23.420 --> 25:24.660]  These muscles right here are done.
[25:24.660 --> 25:26.060]  So it is time to wrap up this podcast.
[25:26.060 --> 25:31.420]  I want to thank you once again for listening to episode 679 of the Grow From Your Heart
[25:31.420 --> 25:32.420]  podcast.
[25:32.420 --> 25:34.780]  It blows my mind to say 679.
[25:34.780 --> 25:36.140]  That's such a big number.
[25:36.140 --> 25:37.140]  Thank you.
[25:37.140 --> 25:39.080]  Really, thank you for listening and watching.
[25:39.080 --> 25:42.420]  If you have any questions, corrections, comments, or concerns, I would love to hear from you.
[25:42.420 --> 25:45.860]  The email address is growfromyourheart.com.
[25:45.860 --> 25:46.860]  Don't be shy.
[25:46.860 --> 25:48.220]  Let me know what you think of the show.
[25:48.220 --> 25:49.260]  Send me your questions.
[25:49.260 --> 25:50.260]  Send me that feedback.
[25:50.260 --> 25:52.020]  We'll get it going on the show.
[25:52.020 --> 25:55.580]  If you feel like this episode was educational, informative, or entertaining, maybe you'd
[25:55.580 --> 25:57.900]  like to just throw me a couple of bucks because I helped you out.
[25:57.900 --> 25:59.060]  Maybe I made you giggle.
[25:59.060 --> 26:04.740]  All you have to do is visit www.patreon.com forward slash growfromyourheart.
[26:04.740 --> 26:07.100]  All of the information is right there on the screen.
[26:07.100 --> 26:10.140]  And of course, don't forget about my website, ireygenetics.com.
[26:10.140 --> 26:11.940]  All right.
[26:11.940 --> 26:13.980]  That is all I've got for you for this episode.
[26:13.980 --> 26:15.940]  You know I'll be back in a few days with fresh new content.
[26:15.940 --> 26:19.140]  I want to give a big shout out to my buddy Yannick Bucci.
[26:19.140 --> 26:37.460]  Until next time, take a fat dab and give your mom a hug for me.
