[00:00.000 --> 00:02.640]  Are you ready? I'm ready. Let's do this.
[23:17.820 --> 23:24.380]  But we all know five or six or ten people who all have Kovat and we all know somebody who has passed from Kovat at
[23:24.380 --> 23:26.940]  This point so yes, it is getting hit very hard
[23:26.940 --> 23:31.940]  It says I am very fortunate to be in my current situation, which has left me better off than most
[23:32.500 --> 23:37.660]  Isn't it great when people realize that they are better off than most and it's such a good feeling to see you're like man
[23:37.660 --> 23:41.540]  I'm doing pretty good for myself and the to acknowledge that you're doing better off than most
[23:41.820 --> 23:45.660]  That's a compassionate thing. I'm rambling today, but we're gonna stay focused
[23:46.220 --> 23:53.060]  It says but to show my support and thanks I have increased my patreon subscription. Although small it still helps. I am sure
[23:53.740 --> 23:58.580]  Tonto you're a family man and just the fact that you are able to contribute at all and you
[23:59.060 --> 24:00.860]  Volunteered to do so that means a lot to me
[24:00.860 --> 24:07.340]  So don't ever feel like your contribution is little nobody out there feel like your contribution is little some people give a dollar some people
[24:07.340 --> 24:09.180]  give a hundred dollars I
[24:09.180 --> 24:12.860]  Love the people that give me a dollar as much as the people who give me
[24:13.580 --> 24:19.260]  $100 some of those people that give me a dollar may have two dollars and they gave me one of them some of those people
[24:19.260 --> 24:22.740]  That have a hundred dollars may have a hundred and one and they gave me a hundred of them
[24:22.740 --> 24:25.900]  That means a lot to me just one dollar and a hundred dollars
[24:25.900 --> 24:30.540]  I know it probably feels weird to the people who gave me a hundred to say that you mean as much to me if you
[24:30.540 --> 24:34.600]  Gave me one or if you gave me a hundred I appreciate love and respect you just the same
[24:34.600 --> 24:39.140]  But I do see the different contributions. I don't try to judge you for it. I appreciate it all
[24:39.500 --> 24:44.820]  That just sounds weird because now the people that gave me more feel like I don't respect them more but don't worry
[24:44.820 --> 24:49.620]  I think they get it. I'm gonna try to talk myself out of this circle. Let's jump back into the email
[24:49.620 --> 24:52.500]  That's a good way to do it. Haha. It says I do have a couple of questions
[24:52.620 --> 24:55.020]  I was hoping you can answer these for me
[24:55.020 --> 24:58.220]  I have searched the internet for answers, but the information wasn't available
[24:58.220 --> 24:58.880]  And yes
[24:58.880 --> 25:00.100]  when you do find the information
[25:00.100 --> 25:01.660]  You're gonna find one article that
[25:01.660 --> 25:07.020]  Contradicts the article that you thought was working and then another article that will really spin your mind and give you different ideas
[25:07.020 --> 25:09.860]  So the internet can be really challenging to find new information
[25:09.900 --> 25:12.700]  I'm glad you reached out to me because I can give you real advice
[25:12.820 --> 25:16.460]  It says I didn't trust the internet and there was no real source for the information
[25:16.460 --> 25:20.780]  You have mentioned in your episodes that you remove any large fan leaves with a purple stem
[25:20.780 --> 25:25.960]  I'm curious as to why because that is the first time I heard it and I've been curious since I heard it
[25:25.960 --> 25:30.420]  I've been doing a bit more defoliation every grow as I get more confident
[25:30.700 --> 25:31.200]  Okay
[25:31.200 --> 25:33.320]  So the question is in a recent episode
[25:33.320 --> 25:40.600]  I've said to when you were defoliating to defoliate any leaf with a purple stem and our friend Tonto is asking why I take
[25:40.600 --> 25:42.600]  off the leaves with the purple stems
[25:43.320 --> 25:50.440]  The main basic reason that I say remove the leaves with the purple stems is that is a very trainable task
[25:50.440 --> 25:57.140]  If I say, alright guys, we're going to our gals guys and gals grow team. We're going to defoliate this whole room today
[25:57.140 --> 26:03.260]  I want you to go in and take off every leaf with a purple petiole. That is really easy to follow
[26:03.260 --> 26:05.940]  That's a really easy guideline a really easy instruction
[26:05.940 --> 26:09.400]  You can visually see purple petiole break it off not purple
[26:09.400 --> 26:16.060]  Keep moving purple break it off and it makes it real easy real trainable for anybody to understand that now
[26:16.060 --> 26:19.660]  Why do I want those leaves gone is the next part of this question?
[26:20.220 --> 26:24.220]  Usually if the leaf has developed a purple petiole or petiole
[26:24.220 --> 26:30.820]  However, you want to pronounce it that is probably a big enough leaf that it is blocking something beneath it and that bud site below
[26:30.940 --> 26:33.700]  Should be getting the light that this big leaf is blocking
[26:33.700 --> 26:36.420]  So if you got a big leaf here, you got a bud development here
[26:36.420 --> 26:41.540]  This petiole is probably purple go ahead and pull that leaf off that light is now going to hit this bud
[26:41.540 --> 26:47.100]  This buds gonna get those the PPFD that photon energy and that bud will grow bigger and fatter
[26:47.220 --> 26:51.820]  So that is why I remove those big leaves with the purple petioles. Those are older leaves
[26:52.380 --> 26:54.380]  They are thicker they're probably
[26:55.140 --> 26:59.740]  If you're going to get a deficiency or a problem, those are the leaves that it's going to show up on first
[27:00.100 --> 27:02.860]  Those are where the spider mites the powdery mildew go first
[27:02.860 --> 27:06.580]  If we get rid of those leaves that are those are less hotels for bugs
[27:06.740 --> 27:11.860]  Less opportunities for powdery mildew and those are the oldest and biggest leaves that are blocking the light
[27:11.860 --> 27:18.420]  So there are several reasons why I'm taking those out of there mainly to stop blocking the light and also it will help with
[27:18.620 --> 27:24.340]  Humidity problems in a giant grow we get a lot of respiration and transpiration in a giant grow without that many leaves
[27:24.340 --> 27:26.540]  You're not releasing that much moisture into the air
[27:26.540 --> 27:30.380]  It will help you out and we're also mitigating bug problems at the same time
[27:30.580 --> 27:32.740]  so the reason I say purple petioles is
[27:32.900 --> 27:39.900]  Because those are the bigger leaves and those are the older leaves and those are most likely the leaves blocking my developing bud sites
[27:39.900 --> 27:44.140]  I hope I made that one clear for you because there are more parts to this question
[27:44.220 --> 27:48.500]  It says could you explain or point to me a podcast about reusing soil?
[27:48.580 --> 27:51.140]  I'd like to be more eco-friendly and save a bit
[27:51.140 --> 27:56.100]  I would like to reuse my soil if there are not too many cons to doing so
[27:56.580 --> 28:00.900]  Okay, recycling and reusing soil can be very cost-effective
[28:00.900 --> 28:06.740]  It can also be very dangerous if you had any problems in your grow if you saw one bug
[28:06.740 --> 28:09.260]  I don't care if it was a thrip a spider mite or a fungus net
[28:09.260 --> 28:12.580]  I would reconsider recycling the soil and not do that
[28:12.580 --> 28:16.980]  If you did not have any problems in your grow through the entire grow
[28:17.140 --> 28:21.140]  Then you can consider recycling the soil in part of your message
[28:21.140 --> 28:24.740]  You do tell me that you were using HP Pro mix with added perlite
[28:24.980 --> 28:29.980]  One of the first things that comes to mind is if you do recycle that soil, it's going to be dead
[28:29.980 --> 28:35.380]  There's nothing in there. It is basically just a little bag of dirt to hold your roots
[28:35.380 --> 28:40.660]  There's no living stuff in there because at the end of your last cycle you should have flushed heavily
[28:40.660 --> 28:45.580]  You removed all of the bottled nutrients all the built-up salts all the stuff that was in that soil
[28:45.580 --> 28:49.700]  You have washed it out. You've basically got a bag of dirt at this point
[28:49.700 --> 28:54.340]  There's nothing living in there. If you're using the pro mix you've washed all that stuff out
[28:54.340 --> 29:00.660]  So the very first thing I would recommend is you need to reactivate that soil with some microbes
[29:00.660 --> 29:04.500]  I would put probably some recharge in there big shout out to Scotty real
[29:04.500 --> 29:07.340]  I would put some recharge in that soil. I would honestly
[29:08.500 --> 29:13.860]  Rinse out that soil. So let me back up get your harvest your plants. You've got your soil
[29:13.860 --> 29:17.860]  You got your three or five gallon pot. Do you tell me what size pots you use? Um
[29:19.860 --> 29:24.260]  Doesn't look like it you've got your pots of soil dump those pots of soil into a big container
[29:24.940 --> 29:26.900]  Remove the big root balls
[29:26.900 --> 29:31.340]  If you can get as much of the big stuff out of there as you can get a claw type thing
[29:31.340 --> 29:32.060]  And just break it up
[29:32.060 --> 29:36.660]  I forget what the that claw looking thing use two of those with both hands and just get in there break all that soil up
[29:36.660 --> 29:38.860]  The best you can pull out all the big root balls
[29:39.140 --> 29:41.340]  Then when you re-pop the pots
[29:41.340 --> 29:48.260]  I would water them before you even put plants in there mix up a batch of water and put the recommended amount of recharge in
[29:48.260 --> 29:53.900]  That water and water that through your plants. Also, maybe put some enzymes in that same mix
[29:53.900 --> 29:56.500]  What we are doing now is we are reactivating that water
[29:56.580 --> 30:03.340]  We're gonna get some microbial life into that soil if you put some enzymes in there those enzymes will help break down all the old
[30:03.340 --> 30:06.020]  Dead decaying shit that is left behind from your old plants
[30:06.020 --> 30:10.420]  It will actually turn that stuff into usable food for your new plants that go in there
[30:10.460 --> 30:15.460]  So I would cut down the plants pull out the root balls break up the dirt put it into a container
[30:15.540 --> 30:17.540]  Stir it up real good get it all mixed
[30:17.780 --> 30:22.740]  Maybe consider adding a percentage of fresh soil to this mix
[30:22.740 --> 30:27.020]  I say that because that old soil is burnt. It's dead. There's nothing in there
[30:27.100 --> 30:30.860]  Maybe add some fresh soil add some more perlite just to give it a little bit of life
[30:30.980 --> 30:33.940]  So then once you've got that all mixed in put it into your pots
[30:33.940 --> 30:35.780]  I don't know if you're using threes fives or sevens
[30:35.780 --> 30:39.660]  But put it into the pots then water those pots with recharge and enzymes
[30:39.740 --> 30:43.180]  That is going to reactivate your soil and revitalize your soil
[30:43.260 --> 30:48.780]  Now you are back to that original pro mix because that pro mix is sold with mycorrhizal mix inside of there
[30:48.780 --> 30:51.420]  So you need to add something to get you back to ground zero?
[30:51.940 --> 30:55.260]  So we've got it all cleaned up we've got it re
[30:56.140 --> 30:58.980]  My code we've got an enzyme to start cleaning stuff out
[30:58.980 --> 31:02.600]  I think that is going to work safely for you in my opinion
[31:02.600 --> 31:05.860]  That is probably the most effective and efficient way to do it
[31:05.860 --> 31:10.380]  Make sure that you flushed heavily before you harvested make sure you get all those root balls out of there
[31:10.380 --> 31:14.780]  Put some mycos in there put some enzymes in there before you plant your plants water at once
[31:14.780 --> 31:18.940]  Maybe water it twice let it dry then do your normal transplant method
[31:19.180 --> 31:23.340]  But if you had any bugs any problems I would not do this
[31:23.500 --> 31:29.180]  This is much much easier in cocoa than it is in soil or soil is mix in
[31:29.500 --> 31:35.580]  Cocoa cocoa doesn't hold anything you can run a bunch of water through the cocoa and all the nutrients all the stuff will strip right out
[31:35.580 --> 31:40.700]  Of there then you can measure the EC or the pH or the ppms of the water that's coming out and you could tell there's nothing
[31:40.700 --> 31:45.980]  Left in there. That's not as easy in soil or dirt, but I think you will be successful
[31:46.140 --> 31:52.300]  I know you're a smart guy. So i'm sure you will know this is probably good soil to recycle or bad soil to recycle
[31:52.540 --> 31:54.860]  You can tell if you had bugs if you had problems
[31:54.940 --> 31:58.060]  That's when you're not going to want to do it if it looks healthy if it feels good in your hands
[31:58.300 --> 32:02.380]  Go ahead and do it if it doesn't feel good to your hands if it doesn't feel good in your heart avoid it
[32:02.460 --> 32:06.860]  I think you will know better. Where do we go from there? Because there are more parts to this question
[32:07.660 --> 32:07.980]  All right
[32:07.980 --> 32:13.360]  The next part of the message says during covet 19 my access to ro water from the store could be restricted
[32:13.760 --> 32:20.640]  If the situation arises that I cannot get ro would the calcium buildup do any harm in my veg tent or would it just build?
[32:20.720 --> 32:22.720]  white powder on everything
[32:22.960 --> 32:27.840]  Uh, that's a really good question. Honestly. I do not use ro water in my personal grows
[32:27.920 --> 32:33.760]  I don't use ro water in most of my commercial grows here in colorado. We've got pretty good pretty clean water
[32:34.080 --> 32:38.320]  Um at the commercial grows I use a big boy filter. That's all I use it
[32:38.320 --> 32:41.840]  It's not ro in a personal grow. I use it straight from the hose
[32:42.160 --> 32:45.840]  So I am not using ro water and I do not experience any issues
[32:46.160 --> 32:51.760]  Ro water kind of makes things a little bit more challenging because it's harder to adjust the ph there's no buffering in there
[32:52.080 --> 32:56.880]  So I think you will be just fine if you are not able to get to your ro water
[32:56.960 --> 33:04.720]  Especially if you're using the hp pro mix and the nutrients you listed, uh, there will be no problems not using the ro water
[33:05.040 --> 33:06.720]  you may need to uh
[33:06.720 --> 33:13.040]  Adjust the amount of calmag you are feeding the plants because that calmag is in the calcium is actually in the ro water
[33:13.280 --> 33:16.240]  But I don't think it will make a huge difference pay attention to that
[33:16.720 --> 33:19.680]  There is more it says I don't know if you have an answer for this
[33:19.840 --> 33:26.420]  But I remember hearing on one episode not to mix liquid add-ons with organics. I'm currently using gaia greens all-purpose
[33:26.880 --> 33:32.720]  Uh with dry dry amendments, I would would I be able to use liquid karma without doing any harm?
[33:33.040 --> 33:36.640]  Is there even is there any cons to mixing the two?
[33:37.840 --> 33:42.240]  Um, I think you will be okay mixing liquid karma in with that organic mix
[33:42.640 --> 33:47.280]  the thing to think about when you are working with organics and bottled nutrients is
[33:47.920 --> 33:51.600]  whatever is in that bottle is chelated and buffered and
[33:52.000 --> 33:58.480]  Really concentrated and who knows if I don't know if the product you are using is going to kill off your organics
[33:58.480 --> 34:03.840]  Some of the buffers some of the you're from canada. So there are chelates in canada in uh, the states
[34:03.840 --> 34:09.680]  It's uh, chelation. We say she late chelate. I don't know the words are different up there. I just confused my own brain, but uh,
[34:10.400 --> 34:12.960]  worry about the uh, the salt nutrients
[34:13.500 --> 34:16.800]  Destroying your micos if you're using a lot of organic stuff
[34:16.880 --> 34:20.260]  Those bottled salt nutrients can wreak havoc on your organics
[34:20.560 --> 34:24.320]  It all depends on what products you are using together. Some things will work together
[34:24.400 --> 34:30.480]  Some things will not it is always best though in my opinion if you're going to run organics stick with organics if you're going to
[34:30.480 --> 34:33.680]  use synthetics stick with the synthetics because there may be
[34:34.320 --> 34:38.480]  You may just be killing off one thing by adding the other I am not a chemistry expert
[34:38.640 --> 34:42.800]  Organic chemistry is not my area of expertise. I am not the organic grower
[34:42.880 --> 34:46.640]  I do the bottles and salts so I know that there's no problem in my mix
[34:46.960 --> 34:51.680]  However, liquid karma is a very gentle product. That is seabird guano. That is kelp
[34:51.920 --> 34:56.080]  Uh, there are a couple other things that I can't remember in there, but they are uh, they're basically organic
[34:56.620 --> 35:02.800]  Ingredients and I do not foresee a problem by mixing the liquid karma in with your gaia products
[35:03.200 --> 35:04.720]  Gaia products, right?
[35:04.720 --> 35:08.560]  Yes, gaia greens. Okay, so there should not be a problem with that. Um
[35:10.000 --> 35:13.040]  I feel like i've covered you do list the details of your grow
[35:13.200 --> 35:15.840]  We don't need to cover that because I think i've answered your questions
[35:16.160 --> 35:21.360]  Uh tanto wraps it up with lastly i'm very excited to tell you that i've ordered some of your genetics boy
[35:21.360 --> 35:24.400]  Am I excited to see your grow with my genetics in there?
[35:24.560 --> 35:26.480]  It says I picked up some orange gasm
[35:26.480 --> 35:27.680]  Shout out to the orange gasm
[35:27.680 --> 35:31.200]  If you're not if you're watching the video, you can see i'm wearing the orange gasm t-shirt
[35:31.200 --> 35:36.320]  You can get that on my website at ireadgenetics.com click on the I think it says i restore
[35:36.720 --> 35:42.000]  Click on that get yourself an orange gasm t-shirt. There are orange gasm shirts lemon jeffrey t-shirts
[35:42.160 --> 35:46.720]  There are golden goat shirts on the website. There's an iread genetics logo t-shirt
[35:46.960 --> 35:53.600]  There is a grow from your heart podcast t-shirt up there and maybe just maybe by the time this episode airs or a couple of
[35:53.600 --> 35:59.520]  Days shortly thereafter there will be brand new iry army t-shirts available on the website
[35:59.520 --> 36:06.800]  The new iry army t-shirts are gray. They're on the way. They're supposed to be here monday. However, uh shipping is basically
[36:07.120 --> 36:10.400]  At a standstill right now. All the tracking numbers have just stopped updating
[36:10.720 --> 36:15.600]  I am rambling now, but get yourself some iry genetics t-shirts and I will get back into tanto's message
[36:16.400 --> 36:20.560]  Tonto has got uh, orange gasm lemon jeffrey and strawberry starburst coming
[36:20.800 --> 36:23.760]  I will start posting pics most likely around the fall
[36:24.080 --> 36:29.600]  I heard you last night on instagram saying no one ever follows through and I will yes a lot of people say hey
[36:29.600 --> 36:33.440]  I'm growing this strain and I say send me pictures, bro, and I don't get pictures of it
[36:33.760 --> 36:36.000]  That's cool. A few people do send me amazing pics
[36:36.000 --> 36:40.320]  It looks like tanto is going to send me some great pictures and I cannot wait it says
[36:40.800 --> 36:44.080]  Uh, where are we? They won't be the last but I will I do have intentions
[36:44.080 --> 36:48.160]  Oh, they won't be the best but I will bro pictures are pictures. They may be amazing
[36:48.400 --> 36:54.480]  Who knows what you're gonna send me? It does say I do have intentions of starting my first breeding project sometime next year
[36:54.560 --> 36:56.560]  So once again from the bottom of my heart
[36:56.640 --> 37:00.800]  Thank you for all that you do for this community and arming us new growers with knowledge
[37:01.200 --> 37:06.960]  If you are ever up in canada, please let me know from your friend tanto
[37:06.960 --> 37:10.960]  Hey tanto, I may come visit you one day up there in canada. I've never been to canada
[37:11.120 --> 37:13.680]  I would love to go check it out. I need to go visit my friend the dude
[37:13.840 --> 37:15.840]  There are a couple of grows up there that have invited me
[37:16.080 --> 37:20.400]  So one day bro, you may need to uh clear off some couch space a lot of couch space
[37:20.480 --> 37:24.800]  I'm, like six five dude, but i'm narrow so I just need one couch space clear off some space
[37:24.800 --> 37:28.720]  Because I may need some place to crash one day get to smoke some of that great canadian herb with you
[37:29.280 --> 37:32.960]  Hey tanto. Thank you for the great message. I hope I answered all of your questions
[37:32.960 --> 37:36.960]  I feel like I was quite rambly and going quite fast, but I feel like this was a good fun podcast
[37:37.280 --> 37:40.560]  I want to wish you a happy holidays brother you and your whole family a happy holidays
[37:40.960 --> 37:43.120]  I hope everything goes well for you up there in canadia
[37:43.280 --> 37:49.440]  If you've got any more questions, please do reach out if anybody else out there has any questions corrections comments or concerns
[37:49.440 --> 37:50.560]  You can reach out as well
[37:50.560 --> 37:54.960]  My email address is grow from your heart at hotmail.com and I do look forward to hearing from you
[37:55.360 --> 37:59.460]  Please do not be shy. Also make sure to check out the website at ireadgenetics.com
[38:00.480 --> 38:05.520]  All things i read genetics rasta jeff grow from your heart. It will all be right there on the website
[38:05.600 --> 38:09.360]  You can find seed vendors. You can find shirts. You can find the podcast
[38:09.600 --> 38:12.480]  You can find a contact me tab. There's a grow help tab
[38:12.880 --> 38:16.720]  A lot of people have taken advantage of that grow help tab if you've got a grow question
[38:17.040 --> 38:21.680]  There are a few questions that I ask you on that website. Like what is the temperature of your room?
[38:21.760 --> 38:24.080]  What's the humidity of your room? What are you feeding the plants?
[38:24.160 --> 38:29.360]  What was the ph of your last feed the reason I ask you those questions is because when you say hey rasta
[38:29.440 --> 38:31.360]  Jeff, my plant turned yellow. What's wrong?
[38:31.360 --> 38:34.320]  I'm going to send you another email that asks you all of those questions
[38:34.400 --> 38:36.480]  Anyway, and now i've skipped us both a step
[38:36.480 --> 38:41.200]  You've got to tell me the details of your room and of your problem before you can even send me the question
[38:41.360 --> 38:45.360]  That makes it easier for both of us. So take advantage of the grow help tab on
[38:45.980 --> 38:49.840]  Ireadgenetics.com send me your grow questions. I will answer your questions
[38:49.920 --> 38:52.960]  and if it's a really good question that I feel like other people may uh,
[38:53.520 --> 38:57.280]  Learn something from I will use it right here on the podcast. I may keep you anonymous
[38:57.360 --> 39:00.240]  There's an option to give me your name on there. Let me know what you think
[39:00.640 --> 39:06.960]  Um also patreon if you feel like this episode was educational informative and or entertaining and you like to make a financial contribution
[39:07.040 --> 39:09.040]  To the show. All you have to do is visit
[39:09.580 --> 39:11.580]  www.patreon.com
[39:12.640 --> 39:16.000]  Grow from your heart, of course all of the information you need to sign up and support
[39:16.080 --> 39:21.220]  The show is right there on the screen and I did put a link in the show notes and the video description
[39:21.520 --> 39:26.640]  To make it super easy for all of my stoner and working friends. I don't know if you're busy
[39:26.800 --> 39:28.800]  I don't know if you're dabbing. I don't know if you're driving
[39:28.800 --> 39:30.800]  Don't reach into your pocket and get out your phone right now
[39:31.040 --> 39:34.640]  Do it when you're parked do it when you're safe do it when you're not going to get fired
[39:35.200 --> 39:37.280]  All right, you guys this was a fun show. I had a good time
[39:37.280 --> 39:41.200]  I look forward to recording the next episode. I'll be back in a couple of days with fresh new content
[39:41.440 --> 39:42.960]  I want to give a giant shout out to my buddy
[39:42.960 --> 39:48.260]  Willie's armpit and until next time take a fat dab and give your mom a hug for me
