[00:05.950 --> 00:25.900]  Hi, Leho Podcast World.
[18:07.100 --> 18:09.820]  I don't know if there's a specific bug that comes where you are.
[18:09.820 --> 18:13.820]  Every region is going to have an extra attacker that the farmers there know about.
[18:13.820 --> 18:17.380]  I know about the caterpillars here because I hear people bitch about it every year here.
[18:17.380 --> 18:19.580]  I know that that's a thing.
[18:19.580 --> 18:22.820]  Do some research and be prepared for what bugs are going to come your way.
[18:22.820 --> 18:27.020]  Also keep in mind, we also get grasshoppers.
[18:27.020 --> 18:29.380]  I couldn't think of what fucking grasshoppers were.
[18:29.380 --> 18:31.380]  We get a lot of grasshoppers here in Pueblo.
[18:31.380 --> 18:34.780]  Midsummer there'll just be a gang of grasshoppers appear out of nowhere.
[18:34.780 --> 18:36.500]  We also get deer in this area.
[18:36.500 --> 18:37.900]  We also get bear in this area.
[18:37.900 --> 18:38.900]  It sounds crazy.
[18:38.900 --> 18:41.980]  I live in the city, but a few miles that way, you'll see bear and they'll get into your
[18:41.980 --> 18:42.980]  grow.
[18:42.980 --> 18:43.980]  That shit smells good.
[18:43.980 --> 18:44.980]  They want to see what it is.
[18:44.980 --> 18:47.740]  If you're feeding it organics, it smells real good and the bears really want to know what
[18:47.740 --> 18:48.740]  it is.
[18:48.740 --> 18:52.980]  If you used a fish product and you live by the river and you're in Colorado, expect a
[18:52.980 --> 18:54.320]  bear to come up to that shit.
[18:54.320 --> 18:56.660]  That's very likely, very possible.
[18:56.660 --> 19:02.780]  We get deer, bear, rabbits, grasshoppers, then all kinds of small rodents and ground
[19:02.780 --> 19:06.740]  dwelling animals, just low fucking low, small stuff, skunks and shit like that.
[19:06.740 --> 19:07.740]  We'll eat your weed plants.
[19:07.740 --> 19:10.180]  Cats, cats will eat the fucking weed plants.
[19:10.180 --> 19:12.980]  I've seen plenty of cats and weed grows.
[19:12.980 --> 19:17.780]  So my first piece of advice is to see what bugs, what pests, what problems may be present,
[19:17.780 --> 19:19.340]  who may show up.
[19:19.340 --> 19:21.620]  You can Google that probably through the internet.
[19:21.620 --> 19:23.260]  There may be a growers group in your area.
[19:23.260 --> 19:25.660]  I don't know if it's legal or illegal and I don't know where you are.
[19:25.660 --> 19:29.740]  So half of my recommendations are going to be vague, but find what bugs are coming.
[19:29.740 --> 19:31.840]  Find what problems are coming.
[19:32.440 --> 19:38.920]  Then also do some research with that insectiary, other grows, forums, websites to find out
[19:38.920 --> 19:43.440]  what bugs, predator bugs will do well in your neighborhood.
[19:43.440 --> 19:45.960]  We could release all of the predator bugs on the planet.
[19:45.960 --> 19:50.240]  We could spend a million bucks, but doorbell, I'll be right back.
[19:50.240 --> 19:51.240]  All right.
[19:51.240 --> 19:52.240]  I apologize for that.
[19:52.240 --> 19:53.240]  The doorbell did ring.
[19:53.240 --> 19:54.240]  I was expecting a delivery.
[19:54.240 --> 19:55.240]  It is here.
[19:55.240 --> 19:56.240]  Now I can focus more on the show.
[19:56.240 --> 19:57.600]  I got the package I needed.
[19:57.600 --> 19:58.600]  I'm excited.
[19:58.600 --> 20:01.200]  I may show you that in a future episode.
[20:01.560 --> 20:02.560]  Let's get back where I was.
[20:02.560 --> 20:03.560]  What was I saying?
[20:03.560 --> 20:07.720]  I said you can order a million dollars worth of predator insects to try to guard your garden,
[20:07.720 --> 20:08.920]  your outdoor plot.
[20:08.920 --> 20:13.960]  But if they are not the appropriate insects for your environment, they may die.
[20:13.960 --> 20:15.120]  They may fly away.
[20:15.120 --> 20:16.600]  They may just crawl away.
[20:16.600 --> 20:17.760]  They may not even stick around.
[20:17.760 --> 20:19.960]  They may get eaten by other bugs.
[20:19.960 --> 20:23.600]  They may battle each other if you get the wrong combination of things.
[20:23.600 --> 20:27.900]  So I would do a little bit of research on what predator bugs will work well in your
[20:27.900 --> 20:28.900]  area.
[20:28.900 --> 20:32.140]  I know that sounds crazy, but an insectiary would give you good advice.
[20:32.140 --> 20:36.700]  They would say, hey, these bugs work well in your heat, your humidity, in your environment.
[20:36.700 --> 20:39.100]  Because if you buy, I'm just going to give you an example.
[20:39.100 --> 20:43.300]  Maybe you spend a thousand dollars on hypoaspis miles and you put those out there.
[20:43.300 --> 20:44.900]  And I don't know the range that the hypos like.
[20:44.900 --> 20:46.620]  I know that they do like my indoor grow.
[20:46.620 --> 20:48.260]  That's what I buy for the indoor cultivation.
[20:48.260 --> 20:52.660]  If you put the hypoaspis miles out there and it's too hot or too cold, they'll either
[20:52.660 --> 20:54.180]  die or they'll leave.
[20:54.180 --> 20:58.020]  They'll just simply fucking crawl away and go find a more desirable environment.
[20:58.140 --> 20:59.140]  They're just like us.
[20:59.140 --> 21:01.100]  If they don't like what's going on, they're going to go somewhere else.
[21:01.100 --> 21:05.060]  So you've got to get the bugs that are appropriate for your environment.
[21:05.060 --> 21:08.700]  A website that will help you do that, of course, is Arbico Organics.
[21:08.700 --> 21:12.900]  It's A-R-B-I-C-O-organics.com.
[21:12.900 --> 21:18.980]  I cannot give them any positive or negative endorsements on their products nor their customer
[21:18.980 --> 21:19.980]  service.
[21:19.980 --> 21:25.060]  I've seen plenty of positive reviews and I've also seen plenty of negative reviews.
[21:25.100 --> 21:28.460]  I'm right in the middle with the reviews I've read.
[21:28.460 --> 21:30.140]  I would do my own research.
[21:30.140 --> 21:34.460]  When you order bugs, there's got to be a closer insectiary to you to order the bugs from.
[21:34.460 --> 21:37.860]  The advantage of Arbico is they'll sell you very small batches.
[21:37.860 --> 21:41.300]  A lot of other places don't sell small batches of bugs.
[21:41.300 --> 21:43.660]  Arbico will deliver a small batch to you.
[21:43.660 --> 21:47.220]  Again, I can't support or say they're good or bad.
[21:47.220 --> 21:49.460]  I know that they do offer the products we need.
[21:49.460 --> 21:50.980]  I know their catalog is awesome.
[21:50.980 --> 21:52.700]  I know their website is awesome.
[21:52.700 --> 21:54.860]  But I've seen people say that they get dead bugs from them.
[21:54.860 --> 21:58.660]  I've also seen people say that they get amazing bugs from them.
[21:58.660 --> 21:59.700]  Be careful with that.
[21:59.700 --> 22:01.860]  That is going to be your decision to make there.
[22:01.860 --> 22:06.380]  Although their website and their magazines and catalogs are awesome for research, for
[22:06.380 --> 22:08.580]  information, for educational purposes.
[22:08.580 --> 22:11.780]  Even if you don't purchase from them, you can use their website to get you a lot of
[22:11.780 --> 22:15.800]  information, get you a lot of education, get yourself a nice foundation and background.
[22:15.800 --> 22:17.620]  You can read a lot from their website.
[22:17.620 --> 22:23.020]  Again, it's Arbico, A-R-B-I-C-O-organics.com.
[22:23.020 --> 22:26.820]  I believe to the best of my recollection, did not write that down.
[22:26.820 --> 22:31.420]  But one thing that I read is they don't breed any bugs.
[22:31.420 --> 22:35.180]  They buy their bugs from an insectiary and then mail them to you.
[22:35.180 --> 22:36.500]  They're kind of like a third party.
[22:36.500 --> 22:38.660]  They're like the Amazon of bugs.
[22:38.660 --> 22:43.460]  So it may be easier if you can find a local insectiary near you to get the appropriate
[22:43.460 --> 22:44.460]  bugs.
[22:44.460 --> 22:45.860]  That's the way to do it and use Arbico for your research.
[22:45.860 --> 22:49.860]  Again, if you can't find a supplier, that website is always there for you.
[22:49.860 --> 22:51.020]  Do your own research.
[22:51.020 --> 22:53.060]  I'm trying to be really diplomatic about this.
[22:53.060 --> 22:54.620]  I've read good and bad reviews, you guys.
[22:54.620 --> 22:56.460]  I don't know which way I sway.
[22:56.460 --> 23:00.580]  If it's my only option, I may risk it, risk a few bucks to save the garden.
[23:00.580 --> 23:01.580]  Where was I?
[23:01.580 --> 23:02.580]  Do some research.
[23:02.580 --> 23:06.420]  Then once you've established which bugs will live in your area and which bugs are going
[23:06.420 --> 23:10.100]  to battle your area, order the appropriate bugs.
[23:10.100 --> 23:11.860]  I like to set up the subscription service.
[23:11.860 --> 23:17.100]  You can order them, order them to ... You can schedule them to come on specific intervals.
[23:17.100 --> 23:21.340]  When I run a commercial grow, I usually have them show up either every week or every two
[23:21.340 --> 23:24.100]  weeks depending on the threat that is present.
[23:24.100 --> 23:25.420]  If I see bugs, we double up.
[23:25.420 --> 23:30.660]  If I don't see bugs, we go once a week with the sachets and with the releasing of pests.
[23:30.660 --> 23:34.580]  So let me give you a quick list of the predators that I did write down.
[23:34.580 --> 23:37.580]  I don't think I wrote down all of them because I just thought of kookamarus and it's not
[23:37.580 --> 23:38.900]  on the list.
[23:38.900 --> 23:41.360]  The kookamarus, the californicus.
[23:41.360 --> 23:42.540]  Some of these, they changed their names.
[23:42.540 --> 23:45.220]  I may repeat things because they've got double names.
[23:45.340 --> 23:51.940]  The californicus, the kookamarus, the swarsky, hypoaspis miles, lacewings.
[23:51.940 --> 23:52.940]  That's a good start.
[23:52.940 --> 23:57.060]  I think those will work in a lot of environments and they are very aggressive predators.
[23:57.060 --> 23:59.940]  A lot of people like ladybugs.
[23:59.940 --> 24:02.060]  Ladybugs are lazy in my opinion.
[24:02.060 --> 24:03.300]  That is my honest opinion.
[24:03.300 --> 24:05.580]  You can buy a lot of ladybugs and they're not going to do a lot.
[24:05.580 --> 24:11.060]  The ladybug larvae will eat a lot, but the green lacewing in my opinion will eat three
[24:11.060 --> 24:12.060]  times.
[24:12.060 --> 24:13.060]  I don't know the science behind this.
[24:13.060 --> 24:14.060]  I don't know.
[24:14.260 --> 24:19.180]  When I use ladybugs, they end up in the whites and the ducting on the floor, just over there
[24:19.180 --> 24:20.180]  humping each other.
[24:20.180 --> 24:21.260]  You see them fucking all the time.
[24:21.260 --> 24:24.420]  They make really cool pictures, but they don't eat the fucking bugs.
[24:24.420 --> 24:27.540]  When I release green lacewing eggs, I don't see any more bugs.
[24:27.540 --> 24:29.980]  I don't see any lacewings anywhere.
[24:29.980 --> 24:30.980]  They're not over there chilling out.
[24:30.980 --> 24:32.420]  I'm not taking pictures of them.
[24:32.420 --> 24:36.860]  They're being fucking warriors and they're eating all of the bugs I want them to eat.
[24:36.860 --> 24:38.300]  They're really, really fun to watch.
[24:38.300 --> 24:39.300]  They're so ugly.
[24:39.300 --> 24:43.060]  They start off as little crocodiles and they start getting little wings and they just go
[24:43.060 --> 24:45.580]  through this weird metamorphosis.
[24:45.580 --> 24:47.340]  Those are the lacewings.
[24:47.340 --> 24:49.140]  So I am not a bug expert.
[24:49.140 --> 24:53.780]  I'm not an outdoor growing expert, but I do recommend that you research the bugs that
[24:53.780 --> 24:55.900]  will be coming to your area.
[24:55.900 --> 25:00.940]  It's going to be spider mites, thrips, aphids, caterpillars, fungus gnats.
[25:00.940 --> 25:03.420]  Whatever bugs come in your area, I don't know where you are.
[25:03.420 --> 25:04.780]  See, it's hard for me to anticipate.
[25:04.780 --> 25:06.980]  You got to find what's coming to your area.
[25:06.980 --> 25:09.820]  Then think about a cucamorous californis.
[25:09.820 --> 25:11.460]  Is it californicus?
[25:11.460 --> 25:13.900]  You'll figure it out when you search predator.
[25:13.900 --> 25:16.140]  Arbico Organics will have it all right there for you.
[25:16.140 --> 25:17.380]  I don't even need to repeat this.
[25:17.380 --> 25:20.260]  Once you get to Arbico, you're going to see more than what I'm saying.
[25:20.260 --> 25:21.540]  Rove beetles are fucking great.
[25:21.540 --> 25:22.540]  There's a lot of great things.
[25:22.540 --> 25:24.620]  What are the assassin beetles?
[25:24.620 --> 25:27.660]  There are a lot that you can release, but if they're not right for your area, they're
[25:27.660 --> 25:28.900]  not going to have a good time.
[25:28.900 --> 25:29.900]  They're going to leave.
[25:29.900 --> 25:32.820]  Like if you took me to a fish concert, I'm sticking around all day.
[25:32.820 --> 25:36.300]  If you take me to, I would stay to most concerts because I like music.
[25:36.300 --> 25:41.940]  If you took me to a Keith Urban concert, I'd probably leave.
[25:41.940 --> 25:43.620]  Sorry, it's not into the country music.
[25:43.620 --> 25:44.940]  You guys, I'm going to just leave.
[25:44.940 --> 25:48.660]  So that somebody who is a Keith Urban fan can have the ticket and enjoy the show.
[25:48.660 --> 25:50.740]  That's the way it should be.
[25:50.740 --> 25:51.780]  I'm rambling.
[25:51.780 --> 25:53.060]  There's no need to go on with this message.
[25:53.060 --> 25:54.780]  I have answered your question.
[25:54.780 --> 25:57.300]  As for host plants, dude, I don't know.
[25:57.300 --> 25:58.860]  That's my straight up answer for host plants.
[25:58.860 --> 26:01.420]  We would have to contact my buddy Jesse Grows.
[26:01.420 --> 26:02.920]  He is the outdoor grower.
[26:02.920 --> 26:07.800]  If anybody out there has any recommendations for host plants, we can plant outdoors to
[26:07.800 --> 26:09.400]  help mitigate pests.
[26:09.400 --> 26:11.840]  Send your info to growfromyourheartathotmail.com.
[26:11.840 --> 26:14.720]  I will read that on a future episode.
[26:14.720 --> 26:18.800]  Also, make sure you follow the bug lady, Susan Wainwright-Evans.
[26:18.800 --> 26:20.120]  Is it Suzanne or Susan?
[26:20.120 --> 26:21.400]  Suzanne Wainwright-Evans.
[26:21.400 --> 26:22.580]  That sounds right.
[26:22.580 --> 26:25.080]  Follow the bug lady on Instagram.
[26:25.080 --> 26:26.920]  She is a pest expert.
[26:26.920 --> 26:28.280]  She's a pesticide expert.
[26:28.280 --> 26:33.440]  I am trained by the Colorado Department of Agriculture, the Colorado State University,
[26:33.440 --> 26:37.680]  also trained by the Colorado Department of Public Health and Environment in pesticide
[26:37.680 --> 26:39.960]  application, pesticide handling.
[26:39.960 --> 26:41.920]  I am train the trainer certified.
[26:41.920 --> 26:44.640]  I do know quite a bit about pesticides and pesticide application.
[26:44.640 --> 26:48.400]  However, what you're asking is very regionally specific.
[26:48.400 --> 26:53.120]  I would focus in on your region, on the pests attacking your area, the pests, the prevention
[26:53.120 --> 26:55.880]  that would work in your area, and then go a little bit from there.
[26:55.880 --> 26:57.960]  I hope I put you off on the right foot.
[26:57.960 --> 27:00.520]  Got you onto the right start.
[27:00.520 --> 27:02.160]  Leaned you toward the right website.
[27:02.160 --> 27:03.720]  Hope I got you going in the right direction.
[27:03.720 --> 27:07.840]  Ladies and gentlemen, boys, girls, pimps, hoes, friends, foes, smokers, growers, clone
[27:07.840 --> 27:12.520]  cutters, pollen chuckers, organic growers, salt spillers, I want to thank each and every
[27:12.520 --> 27:16.040]  one of you for listening to another episode of the Grow From Your Heart podcast.
[27:16.040 --> 27:17.080]  My voice is burning out.
[27:17.080 --> 27:19.360]  I think I've covered enough ground on this episode.
[27:19.360 --> 27:22.200]  I'll be back in a couple of days with fresh new content.
[27:22.200 --> 27:25.240]  If you have any questions, corrections, comments, or concerns, I'd love to hear from you.
[27:25.240 --> 27:28.520]  The email address is growfromyourheart.com.
[27:28.520 --> 27:32.360]  If you feel like the episode was educational, informative, entertaining, maybe you just
[27:32.360 --> 27:35.240]  want to throw me a couple of bucks because you like what I'm doing, all you have to do
[27:35.240 --> 27:38.920]  is visit patreon.com forward slash growfromyourheart.
[27:38.920 --> 27:42.080]  All of the information to support the show will be right there on the screen.
[27:42.080 --> 27:44.200]  Make sure you support the show in the month of April.
[27:44.200 --> 27:48.920]  If you are looking for merchandise, t-shirts, stickers, hats, things like that, I will give
[27:48.920 --> 27:54.120]  you great coupon codes in the month of April based on the tiers of support on Patreon.
[27:54.120 --> 27:58.840]  Make sure you support Patreon in the month of April.
[27:58.840 --> 28:00.840]  Everything else, check out the website, iRegenetics.com.
[28:00.840 --> 28:03.000]  That's all I've got for you.
[28:03.000 --> 28:04.280]  My throat is done.
[28:04.280 --> 28:05.440]  I'll be back.
[28:05.440 --> 28:09.000]  One of the upcoming episodes, probably not the next one, but maybe the one right after
[28:09.000 --> 28:12.600]  that, I do intend to do a groovy gravy recap episode.
[28:12.600 --> 28:15.520]  I'll let you guys know how that event went, so stay tuned.
[28:15.520 --> 28:17.240]  That is all I've got for you for this episode.
[28:17.240 --> 28:19.520]  You know I'll be back in a couple of days with fresh new content.
[28:19.520 --> 28:23.160]  Let's give a big shout out to my friend Tree Starmeadow.
[28:23.160 --> 28:27.760]  Until next time, take a fat dab and give your mom a hug for me.
