[00:00.000 --> 00:02.120]  Greetings from podcastville.
[14:56.140 --> 14:57.780]  I'm marking off the things that we've already done
[14:57.780 --> 14:59.460]  because I went out of order.
[14:59.460 --> 15:01.380]  Check off that list, homie.
[15:01.380 --> 15:02.820]  Yeah.
[15:02.820 --> 15:04.780]  I like to give garden updates, dude.
[15:04.780 --> 15:05.620]  I have a garden.
[15:05.620 --> 15:07.540]  People know I'm a fucking ganja grower.
[15:07.540 --> 15:08.780]  I really like to give updates
[15:08.780 --> 15:10.700]  when I've got something cool going on.
[15:11.660 --> 15:14.980]  Recently we lost a very important cannabis soldier.
[15:14.980 --> 15:16.580]  Subcool is no longer with us.
[15:16.580 --> 15:17.700]  Subcool passed a while back.
[15:17.700 --> 15:18.540]  We cried over that.
[15:18.540 --> 15:19.380]  I did an episode about it,
[15:19.500 --> 15:21.180]  but I still love Sub, still miss Sub.
[15:21.180 --> 15:22.820]  Sub's still on my mind sometimes.
[15:23.700 --> 15:26.100]  I wouldn't be the breeder, grower, shit talker,
[15:26.100 --> 15:28.140]  podcaster, social media thing.
[15:28.140 --> 15:29.060]  I wouldn't be that guy
[15:29.060 --> 15:31.220]  without a lot of Subcool's influence.
[15:31.220 --> 15:33.660]  Subcool taught me a lot of what to do.
[15:33.660 --> 15:36.100]  I jokingly say that Subcool also taught me
[15:36.100 --> 15:37.980]  a fucking whole lot of what not to do.
[15:39.220 --> 15:41.620]  That guy was fucking cantankerous and a loose cannon,
[15:41.620 --> 15:43.420]  but I fucking love the shit out of him, dude.
[15:43.420 --> 15:44.460]  I wouldn't have been here without him.
[15:44.460 --> 15:47.820]  So I got some Jack the Ripper seeds from a good friend
[15:47.820 --> 15:49.060]  who was very close to Subcool,
[15:49.740 --> 15:52.260]  who actually thanked me for my podcast about Subby.
[15:52.260 --> 15:54.340]  He sent me some Jack seeds, Jack the Ripper.
[15:54.340 --> 15:56.620]  I germinated them right around 420.
[15:56.620 --> 15:59.820]  They are now under some Canon LED lights
[15:59.820 --> 16:02.380]  in a five by five tent that is my tester area,
[16:02.380 --> 16:03.220]  is what I've called it.
[16:03.220 --> 16:05.140]  Now it's my breeding chamber for today.
[16:05.140 --> 16:08.180]  I have got a stellar, stellar looking
[16:08.180 --> 16:09.620]  Jack the Ripper male, dude.
[16:10.820 --> 16:13.460]  This Jack the Ripper male is what I wanted.
[16:13.460 --> 16:14.580]  I planted five seeds
[16:14.580 --> 16:16.500]  and I found a killer male out of that pack.
[16:16.500 --> 16:18.380]  I've got a female that looks really well.
[16:18.380 --> 16:19.860]  They're gonna breed very well together.
[16:19.860 --> 16:21.260]  The photos look sick.
[16:21.260 --> 16:22.540]  Thank you, I'm glad you've seen that.
[16:22.540 --> 16:24.420]  They are under Canon LEDs.
[16:24.420 --> 16:26.940]  I've spoken about Canons on a previous episode.
[16:26.940 --> 16:30.300]  Those plants grow so vigorously under Canons.
[16:30.300 --> 16:32.860]  I should have flipped to flower like a week earlier
[16:32.860 --> 16:34.380]  because they're just taking off, dude,
[16:34.380 --> 16:36.020]  but the Canons are killing it.
[16:36.020 --> 16:37.020]  I love the Canons.
[16:37.020 --> 16:37.940]  Nice.
[16:37.940 --> 16:39.940]  I love it when a new piece of gear kicks off, right?
[16:39.940 --> 16:40.780]  Yeah, yeah.
[16:40.780 --> 16:43.140]  So I've got the new lights and a new male plant
[16:43.140 --> 16:45.660]  and a new environment and it's got me super excited.
[16:45.660 --> 16:47.460]  I'm always passionate and stoked about growing,
[16:47.460 --> 16:49.540]  but right now I'm like, woohoo, new shit.
[16:49.540 --> 16:52.900]  And I also changed my mom and veg space to Canon LEDs.
[16:52.900 --> 16:56.180]  So I've only got one more flowering area to go
[16:56.180 --> 16:58.340]  until we're all Canoned out in this place.
[16:58.340 --> 16:59.860]  So it's gonna be cool.
[16:59.860 --> 17:01.740]  And I think I may need to get some Canons in my friends
[17:01.740 --> 17:03.420]  to get them growing too.
[17:03.420 --> 17:05.260]  But I've got this Jack the Ripper male.
[17:05.260 --> 17:06.660]  I'm super excited about it, bro.
[17:06.660 --> 17:07.500]  It's dumping pollen.
[17:07.500 --> 17:08.340]  It looks great.
[17:08.340 --> 17:10.860]  It's right about pollination time for the females.
[17:10.860 --> 17:13.380]  I do have, I haven't talked about the females
[17:13.380 --> 17:14.300]  that are in there too much.
[17:14.300 --> 17:17.220]  I like to keep my stuff kinda, not super secretive,
[17:17.980 --> 17:19.940]  but yeah, well, I feel like sometimes I've talked
[17:19.940 --> 17:21.740]  about projects and then they failed and I was like,
[17:21.740 --> 17:22.860]  oh, it's cause I talked about it.
[17:22.860 --> 17:25.460]  I gave it too much, like too much energy, too much hope.
[17:25.460 --> 17:27.660]  I put it on a pedestal and I fucked it all up.
[17:27.660 --> 17:29.420]  But I do have a Jack the Ripper male,
[17:29.420 --> 17:30.700]  a Jack the Ripper female.
[17:31.820 --> 17:35.020]  And there is an Arise female in there
[17:35.020 --> 17:37.820]  amongst several other females, not several, a couple.
[17:37.820 --> 17:40.420]  We're limited by plants here, but yeah,
[17:40.420 --> 17:43.060]  half my account is dedicated to this breeding area.
[17:43.060 --> 17:46.660]  So there will be some Jack the Ripper F2s.
[17:47.100 --> 17:48.140]  That's just for myself to like make more
[17:48.140 --> 17:48.980]  Jack the Ripper seeds,
[17:48.980 --> 17:51.220]  cause we gotta make more Jack because Subby's gone.
[17:51.220 --> 17:53.900]  And then I crossed, there are also my,
[17:53.900 --> 17:55.100]  there are other things in there, Mike.
[17:55.100 --> 17:56.540]  You'll be happy with what I put in there.
[17:56.540 --> 17:58.100]  One of your favorites is in there.
[17:58.100 --> 18:01.060]  So there will be some Irie Genetics Classics.
[18:01.060 --> 18:02.180]  More than one.
[18:02.180 --> 18:05.060]  Yes, yes, some Irie Genetics Classics crossed
[18:05.060 --> 18:07.660]  to one of Subcool's Classics.
[18:07.660 --> 18:08.740]  This will be not the first time
[18:08.740 --> 18:09.780]  that I've worked with Sub stuff,
[18:09.780 --> 18:12.140]  but the first time I've used his pollen.
[18:12.140 --> 18:15.580]  I was a serious Jack the Ripper fan.
[18:15.620 --> 18:17.620]  And it's just, it disappeared.
[18:17.620 --> 18:19.100]  It's not like I stopped being a fan.
[18:19.100 --> 18:22.260]  It's just, it stopped being widely available.
[18:22.260 --> 18:25.180]  And I cannot wait to see where this project leads.
[18:25.180 --> 18:26.740]  All of the cookies and cake stuff.
[18:26.740 --> 18:28.860]  Listeners are as psyched as I am.
[18:28.860 --> 18:30.500]  Yeah, all the, yeah, yeah.
[18:30.500 --> 18:32.220]  I get, they are because I get messages.
[18:32.220 --> 18:34.940]  Every time I say it, they want testers.
[18:34.940 --> 18:37.340]  You guys, the pollen is just now starting to drop.
[18:37.340 --> 18:41.340]  I need weeks to get the seeds done, harvested, packaged.
[18:41.340 --> 18:42.380]  Then I will grow them.
[18:42.380 --> 18:43.820]  If they're worth a shit when I grow them,
[18:43.820 --> 18:46.860]  that's when I'll look to giving them out to testers.
[18:46.860 --> 18:47.940]  I'm gonna interrupt myself
[18:47.940 --> 18:49.620]  because I said something a minute ago.
[18:49.620 --> 18:52.140]  You said that the Jack the Ripper disappeared.
[18:52.140 --> 18:53.700]  And then I said it got overran
[18:53.700 --> 18:55.740]  by like cookies and stuff like that.
[18:55.740 --> 18:57.380]  That triggered a memory in my head.
[18:57.380 --> 18:59.780]  An episode or three ago, I don't know when,
[18:59.780 --> 19:01.380]  because we're so far ahead.
[19:01.380 --> 19:03.100]  I called a few strains hype strains,
[19:03.100 --> 19:05.940]  and apparently I offended a close friend.
[19:05.940 --> 19:07.340]  And I don't want to offend anybody.
[19:07.340 --> 19:09.980]  I said that a strain, I listed off strains.
[19:09.980 --> 19:11.300]  Then I was just rambling.
[19:11.300 --> 19:12.460]  I was putting words together.
[19:12.460 --> 19:14.140]  I was like, this sounds like a hype strain.
[19:14.140 --> 19:17.900]  I said two words together and my friend bred that strain.
[19:17.900 --> 19:19.660]  And I don't want to diss my friend.
[19:19.660 --> 19:20.940]  So no disrespect to you.
[19:20.940 --> 19:22.660]  Bro, you're listening to the show right now, I hope,
[19:22.660 --> 19:24.220]  or somebody will relay the message to you.
[19:24.220 --> 19:26.620]  He's a really popular girl where he's on YouTube.
[19:26.620 --> 19:29.180]  I don't need to, I didn't mean to offend you, bro.
[19:29.180 --> 19:30.780]  But it was all, I was just running names
[19:30.780 --> 19:31.700]  off the top of my head.
[19:31.700 --> 19:34.180]  And I said, this sounds like a fucking hype strain.
[19:34.180 --> 19:35.020]  Your shit's fire.
[19:35.020 --> 19:35.860]  I apologize, bro.
[19:35.860 --> 19:37.100]  Nothing but love and respect.
[19:37.100 --> 19:39.020]  I really don't have any beef with any breeders out there.
[19:39.020 --> 19:40.620]  I think all that shit is silly.
[19:40.620 --> 19:42.260]  But when I thought of cookies,
[19:43.060 --> 19:43.900]  I just thought it would be polite of me
[19:43.900 --> 19:45.260]  to fucking go ahead and apologize to my buddy.
[19:45.260 --> 19:47.340]  I said cake bomb was all hype.
[19:47.340 --> 19:48.420]  Cake bomb's not all hype, bro.
[19:48.420 --> 19:50.900]  Cake bomb is fucking all gas, no brakes.
[19:50.900 --> 19:52.460]  So fucking sorry, bro.
[19:52.460 --> 19:53.300]  I apologize.
[19:53.300 --> 19:54.140]  I'm just rambling.
[19:54.140 --> 19:55.300]  I picked a strain out of the fucking thin air.
[19:55.300 --> 19:56.500]  I pissed somebody off doing it.
[19:56.500 --> 19:57.540]  I'll be more careful.
[19:58.580 --> 19:59.620]  I'm sure he wasn't pissed off.
[19:59.620 --> 20:01.100]  I'm sure he was like, fucker, you just called.
[20:01.100 --> 20:02.820]  I'd be like, if somebody called a rise,
[20:02.820 --> 20:05.380]  I'd be like, hey bro, a rise is fucking hype meds.
[20:05.380 --> 20:06.900]  I'd be like, oh, ouch.
[20:06.900 --> 20:08.540]  Like, fuck, stop.
[20:08.540 --> 20:09.580]  That's my kid.
[20:09.580 --> 20:11.060]  It's like calling one of your kids a fucking,
[20:11.060 --> 20:12.020]  you know, the wrong word.
[20:12.780 --> 20:13.620]  I get it.
[20:13.620 --> 20:14.460]  I get it.
[20:14.460 --> 20:15.660]  Look at that little R word.
[20:15.660 --> 20:16.740]  Like, hey, wait, bro.
[20:18.100 --> 20:19.060]  Can't say that word anymore,
[20:19.060 --> 20:20.580]  especially about my fucking kid.
[20:20.580 --> 20:21.420]  Right?
[20:21.420 --> 20:22.580]  Why are you picking on kids, bro?
[20:22.580 --> 20:23.420]  Yeah, exactly.
[20:23.420 --> 20:24.700]  So sorry I picked on your child, bro.
[20:24.700 --> 20:26.820]  Nothing but love and respect.
[20:26.820 --> 20:28.260]  Keep killing it on fucking Patreon.
[20:28.260 --> 20:30.700]  The person I'm talking about kills it on Patreon
[20:30.700 --> 20:32.700]  and on Twitch and on fucking Patreon.
[20:32.700 --> 20:34.660]  I'm impressed with your Patreon, by the way.
[20:34.660 --> 20:37.540]  Okay, I'm rambling myself fucking all day long.
[20:37.540 --> 20:38.460]  My throat's gonna be too dry
[20:38.460 --> 20:40.260]  to even cover any cannabis topics.
[20:40.260 --> 20:42.820]  These rambles are brought to you by Dabbs.
[20:42.820 --> 20:43.820]  Big shout out to Dabbs
[20:43.820 --> 20:45.180]  and also a big shout out to our friends
[20:45.180 --> 20:46.860]  at seedsherenow.com.
[20:47.940 --> 20:49.900]  So Stitcher error covered that.
[20:49.900 --> 20:51.740]  Make sure you find the show on Spotify.
[20:51.740 --> 20:53.940]  I really prefer you check the show out on YouTube.
[20:53.940 --> 20:55.820]  I'm just trying to get most of the audience to YouTube.
[20:55.820 --> 20:57.500]  I understand you may be driving
[20:57.500 --> 20:58.780]  and unless you've got YouTube read,
[20:58.780 --> 21:00.420]  you can't lock your phone and close your phone
[21:00.420 --> 21:02.980]  and put it away or in your pocket or something and hear it.
[21:02.980 --> 21:05.500]  So I understand you may need to listen on Spotify
[21:05.500 --> 21:06.900]  or Stitcher or Apple Podcast,
[21:06.900 --> 21:08.980]  but if Stitcher fails you again,
[21:08.980 --> 21:10.420]  there are backup options.
[21:10.420 --> 21:13.020]  Spotify is free, it's available.
[21:13.020 --> 21:15.340]  There are other services that I will try to get the show on.
[21:15.340 --> 21:17.300]  It just takes, I had a technical issue
[21:17.300 --> 21:18.940]  and I, dude, I didn't know that I knew
[21:18.940 --> 21:20.700]  how to make an RSS feed and solve issues.
[21:20.700 --> 21:21.540]  I fucking did it.
[21:21.540 --> 21:22.700]  Matt was sitting here and he's like,
[21:22.700 --> 21:23.740]  why aren't you on Spotify?
[21:23.740 --> 21:24.940]  And I was like, this is my excuse.
[21:24.940 --> 21:26.780]  And I was like, I could do this.
[21:26.780 --> 21:27.620]  I could do that.
[21:27.620 --> 21:28.460]  Oh, I could do that.
[21:28.460 --> 21:30.180]  And within 20 minutes, my shit was on Spotify.
[21:30.180 --> 21:32.180]  I just had to take a couple of dabs and get the idea.
[21:32.180 --> 21:33.340]  Take a minute and think about it.
[21:33.340 --> 21:34.180]  Yeah.
[21:34.180 --> 21:36.340]  So I think we've covered all of the news
[21:36.340 --> 21:38.100]  and all the crap in the first start of the show.
[21:38.100 --> 21:39.780]  We're only like 20 minutes in now.
[21:39.780 --> 21:42.340]  I think we got caught up with the do list.
[21:42.340 --> 21:43.180]  Yeah, yeah.
[21:43.180 --> 21:46.180]  I think they call it housekeeping in the podcast business.
[21:46.180 --> 21:48.740]  Now we can actually move on to the edumacational
[21:48.740 --> 21:51.340]  and entertainment part of the podcast.
[21:51.340 --> 21:54.300]  I like to take questions from email.
[21:54.300 --> 21:56.940]  If you've got a question, the best way to get it to me,
[21:56.940 --> 22:00.100]  honestly, the best way to get it to me is through Patreon.
[22:00.100 --> 22:01.620]  Go for the appropriate tier.
[22:01.620 --> 22:02.500]  I've changed the pricing,
[22:02.500 --> 22:04.460]  but go for the question answering tier.
[22:04.460 --> 22:06.460]  Sign up, throw me your question on Patreon.
[22:06.500 --> 22:08.180]  The Patreon questions go first.
[22:08.180 --> 22:10.740]  Obviously, that's an expensive ticket to ride.
[22:10.740 --> 22:12.180]  You get to the front of the line.
[22:12.180 --> 22:14.300]  The next best way is to send me an email.
[22:14.300 --> 22:16.580]  It's growfromyourheartathotmail.com.
[22:16.580 --> 22:18.780]  Yeah, laugh at me because it's a hotmail fucking,
[22:18.780 --> 22:20.580]  but all the other ones get hacked and broken into
[22:20.580 --> 22:22.260]  and Gmail failed me once and now I'm scared.
[22:22.260 --> 22:23.380]  So it's Hotmail, bro.
[22:23.380 --> 22:26.500]  Growfromyourheartathotmail.com will get you right to me.
[22:26.500 --> 22:28.460]  I don't remember where I found this question
[22:28.460 --> 22:29.700]  because I didn't print it,
[22:29.700 --> 22:31.500]  which makes me think it came from YouTube.
[22:31.500 --> 22:33.620]  I love that people comment on YouTube,
[22:33.620 --> 22:35.700]  but it's more challenging for me to print them off
[22:35.740 --> 22:37.740]  because it wants to print the entire YouTube screen.
[22:37.740 --> 22:40.100]  Unless I catch it in the email, it's difficult.
[22:40.100 --> 22:41.460]  I'm not complaining.
[22:41.460 --> 22:44.300]  Third world, first world problems, white people problems.
[22:44.300 --> 22:45.940]  But if you really want me to get it,
[22:45.940 --> 22:47.420]  YouTube isn't the place to send it.
[22:47.420 --> 22:49.020]  Growfromyourheartathotmail.com is the best.
[22:49.020 --> 22:51.260]  I did find this one on YouTube, I believe.
[22:51.260 --> 22:54.140]  And all I wrote down was DLI question.
[22:55.220 --> 22:56.340]  Somebody asked me,
[22:56.340 --> 22:58.780]  hey, Ross to Jeff, why are my plants drooping
[22:58.780 --> 23:01.460]  toward the end of the day cycle?
[23:01.460 --> 23:02.820]  A little bit before the light cycle,
[23:02.820 --> 23:05.500]  my start, my plants, my leaves start to droop down.
[23:06.300 --> 23:07.220]  They need water right before they go to sleep.
[23:07.220 --> 23:08.620]  Did I do something wrong?
[23:08.620 --> 23:10.900]  They were really worried about their plants.
[23:10.900 --> 23:12.020]  Mike, you look like you might know
[23:12.020 --> 23:12.940]  what's going on with these.
[23:12.940 --> 23:14.420]  Do you have any input on this?
[23:14.420 --> 23:15.620]  Nope.
[23:15.620 --> 23:17.540]  Oh, you look like you really fucking knew.
[23:17.540 --> 23:19.180]  I tried to give them more space to talk, bro.
[23:19.180 --> 23:20.220]  I've seen this before
[23:20.220 --> 23:23.820]  and I'm eagerly awaiting your diagnosis.
[23:23.820 --> 23:26.700]  Do you start to get droopy toward the end of the day?
[23:26.700 --> 23:27.540]  I do.
[23:27.540 --> 23:28.740]  The plants are doing the same thing.
[23:28.740 --> 23:31.300]  I think they'd be pissed if I gave them Red Bull though.
[23:31.300 --> 23:32.500]  Yeah, yeah, don't do that.
[23:32.500 --> 23:33.460]  Give them a nap.
[23:33.460 --> 23:36.900]  So what's happening is they have reached their,
[23:36.900 --> 23:38.540]  he's got that mountain dude going strong
[23:38.540 --> 23:40.540]  for you people only listening on audio.
[23:41.980 --> 23:44.260]  Daily light integral is,
[23:44.260 --> 23:46.820]  that means the daily light integral.
[23:46.820 --> 23:47.940]  They've had their amount of light
[23:47.940 --> 23:48.780]  that they want for the day.
[23:48.780 --> 23:51.180]  Your light is however far away.
[23:51.180 --> 23:52.780]  Yeah, it's basically it, bro.
[23:52.780 --> 23:56.020]  They go, hey, I only want this many U moles per joule today
[23:56.020 --> 23:57.220]  and that is a measurement of light.
[23:57.220 --> 23:58.940]  Don't worry about PARs, don't worry about photons.
[23:58.940 --> 24:00.780]  What matters is U moles per joule
[24:00.780 --> 24:01.860]  and they've gotten enough.
[24:01.860 --> 24:03.260]  So they're starting to shut down.
[24:03.940 --> 24:04.860]  They're going, yeah, there's no reason for me
[24:04.860 --> 24:06.740]  to keep fucking photosynthesizing.
[24:06.740 --> 24:08.260]  I'm just gonna let my leaves hang.
[24:08.260 --> 24:09.180]  I'm gonna kind of take a rest
[24:09.180 --> 24:11.180]  and start doing the functions that I do
[24:11.180 --> 24:12.500]  during the night cycle.
[24:12.500 --> 24:13.620]  And then when the lights shut off,
[24:13.620 --> 24:15.860]  it's beautiful nighttime for them.
[24:15.860 --> 24:17.580]  So that is why the plants are drooping.
[24:17.580 --> 24:19.700]  They could be thirsty, but most,
[24:19.700 --> 24:23.300]  if it's happening like 15, 20, 30 minutes before nighttime,
[24:23.300 --> 24:24.620]  they've reached their.
[24:24.620 --> 24:26.780]  They'd be the other symptoms of thirsty.
[24:26.780 --> 24:27.620]  Yeah, exactly.
[24:27.620 --> 24:29.380]  It'd be easier to diagnose than this.
[24:29.380 --> 24:32.100]  Now, one thing that does happen in strains
[24:32.140 --> 24:34.740]  is that they're spread from my daybreaker.
[24:34.740 --> 24:37.060]  If that's something that came from the daybreaker line,
[24:37.060 --> 24:38.780]  because I cross stuff straight from daybreaker,
[24:38.780 --> 24:41.180]  I made daybreaker F2s and a few daybreaker things,
[24:41.180 --> 24:43.180]  a rise was made in that batch.
[24:43.180 --> 24:46.580]  So things that come from a rise also have the potential
[24:46.580 --> 24:49.900]  to make, if you get the big leaved phenotypes
[24:49.900 --> 24:52.060]  of crosses that come from a rise,
[24:52.060 --> 24:55.180]  those do have the potential to be a little bit droopy
[24:55.180 --> 24:57.140]  just because they're so big
[24:57.140 --> 24:58.940]  that like the plants don't have enough energy
[24:58.940 --> 25:01.260]  to keep that giant leaf turgid and upright.
[25:01.260 --> 25:03.100]  So it hangs a little tiny bit.
[25:03.100 --> 25:03.940]  Don't get worried about that.
[25:03.940 --> 25:04.780]  It's making me think of the lemon OG
[25:04.780 --> 25:06.340]  we used to work with all the time.
[25:06.340 --> 25:09.340]  Yeah, that fucker got big in the pre-98 Bubba Kush,
[25:09.340 --> 25:10.180]  used to make droopy leaves.
[25:10.180 --> 25:11.500]  Glitter bottle colas, and then yeah,
[25:11.500 --> 25:13.180]  it would get droopy at the end of the day.
[25:13.180 --> 25:14.260]  Yeah, and it was just tired.
[25:14.260 --> 25:15.940]  It was just like, nah, bro, these leaves are,
[25:15.940 --> 25:17.780]  the leaves are longer than my fucking foot.
[25:17.780 --> 25:20.940]  So they were like, I can't even keep the tip going anymore.
[25:20.940 --> 25:23.020]  It needed a little bit of plant Viagra on the leaves.
[25:23.020 --> 25:23.860]  It was just tired, bro.
[25:23.860 --> 25:26.420]  It was just getting a little plant ED, I guess.
[25:26.420 --> 25:28.900]  But what I think is happening for the person
[25:28.900 --> 25:30.420]  who asked me this question is,
[25:30.420 --> 25:32.300]  the plants basically need a nap.
[25:32.300 --> 25:36.300]  So you could, and I don't know the condition of your plants.
[25:36.300 --> 25:38.460]  I don't know how long your lights are on.
[25:38.460 --> 25:40.700]  If they are on for 24 hours a day,
[25:40.700 --> 25:43.580]  and you're seeing droop toward a certain period of the day,
[25:43.580 --> 25:44.700]  give them some nighttime.
[25:44.700 --> 25:47.260]  Start introducing some dark to your plants.
[25:47.260 --> 25:49.260]  If you're on an 18.6, maybe not,
[25:49.260 --> 25:50.860]  because then they may be telling you,
[25:50.860 --> 25:52.380]  I'm ready to start flowering.
[25:52.380 --> 25:54.300]  So be careful, start paying attention.
[25:54.300 --> 25:57.460]  If they're starting to droop at the end of that daytime,
[25:57.460 --> 25:58.900]  they're starting to tell you, hey bro,
[25:58.900 --> 26:01.020]  it is almost time for me to start flowering,
[26:01.020 --> 26:03.220]  unless you either put me in a bigger pot
[26:03.220 --> 26:04.140]  or something changes.
[26:04.140 --> 26:05.660]  They could be starting to get root bound.
[26:05.660 --> 26:07.180]  It could be one of the reasons they'll do that.
[26:07.180 --> 26:09.260]  But it's the daily light integral
[26:09.260 --> 26:10.580]  that is mainly doing that.
[26:10.580 --> 26:11.940]  If you put them into flower,
[26:11.940 --> 26:14.820]  you'll also see that happen toward the end of the day
[26:14.820 --> 26:16.860]  in flower, they will also start to droop.
[26:16.860 --> 26:18.340]  You can't really change the light cycle.
[26:18.340 --> 26:20.220]  So you gotta keep them on 12.12 there.
[26:21.620 --> 26:22.660]  Just keep giving them that light.
[26:22.660 --> 26:24.060]  They'll pump out those big old fat buds,
[26:24.060 --> 26:26.140]  but they've already processed as much as they can.
[26:26.140 --> 26:28.740]  So nothing wrong with your plants,
[26:29.580 --> 26:30.940]  but if they're in small pots and you're vegging,
[26:30.940 --> 26:32.020]  it may be time to up pot.
[26:32.020 --> 26:33.780]  That's the only thing I could recommend.
[26:33.780 --> 26:35.700]  But if everything else is in line,
[26:35.700 --> 26:37.300]  just enough light, you're cool.
[26:38.260 --> 26:39.620]  Next question, let's move right on.
[26:39.620 --> 26:41.420]  This one came from Patreon.
[26:41.420 --> 26:42.260]  Like I said before,
[26:42.260 --> 26:44.700]  Patreon is the best way to get your message onto the show.
[26:44.700 --> 26:46.660]  That is the ticket to the front of the line.
[26:46.660 --> 26:49.340]  Patreon.com forward slash grow from your heart.
[26:49.340 --> 26:51.180]  Also help out my buddy, White Mike.
[26:51.180 --> 26:54.380]  Patreon.com forward slash White Mike.
[26:54.380 --> 26:55.540]  This one came from Patreon.
[26:55.540 --> 26:57.340]  It comes from our friend.
[26:57.340 --> 26:58.700]  I'm gonna straight up say his name
[26:59.540 --> 27:00.380]  because he signed it.
[27:00.380 --> 27:01.220]  There's a lot of stuff in.
[27:01.220 --> 27:02.860]  I think his name is Craig Compton.
[27:02.860 --> 27:03.900]  And he said, hey, Ross DeJeff,
[27:03.900 --> 27:05.900]  I ran across your podcast and YouTube channel
[27:05.900 --> 27:07.020]  about a month ago,
[27:07.020 --> 27:09.420]  and I wanted to tell you that I am hooked.
[27:09.420 --> 27:10.260]  Thank you, bro.
[27:10.260 --> 27:11.580]  Glad you took the bait.
[27:11.580 --> 27:13.260]  It says, I really appreciate the way you present
[27:13.260 --> 27:14.420]  your knowledge, your passion,
[27:14.420 --> 27:17.300]  and your dedication to the plant and the industry.
[27:17.300 --> 27:19.260]  They are all a 10 out of 10.
[27:19.260 --> 27:21.860]  So we're getting 10 stars today, bro.
[27:21.860 --> 27:23.540]  Thank you for the compliment, Craig.
[27:23.540 --> 27:25.460]  It goes on to say, I'm a new grower.
[27:25.460 --> 27:26.620]  I'm a commercial grower,
[27:26.620 --> 27:29.380]  and I love to listen to people who can elevate my game,
[27:29.380 --> 27:31.940]  and you are now one of my faves.
[27:31.940 --> 27:32.780]  Thank you, bro.
[27:32.780 --> 27:35.980]  I like to educate and inform.
[27:35.980 --> 27:38.500]  And what I really like is knowing that somebody
[27:38.500 --> 27:40.860]  is getting educated and informed and enlightened.
[27:40.860 --> 27:42.380]  That feels good.
[27:42.380 --> 27:45.740]  I threw a dart, and I didn't know where my bullseye was,
[27:45.740 --> 27:46.740]  but I fucking hit it.
[27:46.740 --> 27:47.780]  So that feels really good.
[27:47.780 --> 27:50.460]  As somebody, an educator, a podcaster, a producer,
[27:50.460 --> 27:52.060]  a passionate person,
[27:52.060 --> 27:54.660]  those compliments all mean a lot of shit to me.
[27:54.660 --> 27:55.700]  A lot of good shit.
[27:55.700 --> 27:57.940]  So here's where this message gets really fun.
[27:57.940 --> 28:00.300]  It says, I almost spit my coffee on my windshield
[28:00.300 --> 28:02.300]  the other day when you said you had to stop listening
[28:02.300 --> 28:05.140]  to your guru because you started talking like him.
[28:06.100 --> 28:08.420]  I don't know if it was on this podcast or in a live feed
[28:08.420 --> 28:11.860]  or on Embracing Organics or in another platform.
[28:11.860 --> 28:13.900]  For a while, I was listening to a guy
[28:13.900 --> 28:16.340]  who was very educational and informative.
[28:16.340 --> 28:18.020]  I feel like I've got to educate myself
[28:18.020 --> 28:19.140]  with more knowledgeable people
[28:19.140 --> 28:21.100]  so that I can keep you guys educated.
[28:21.100 --> 28:22.820]  I got to get a lot of education sources.
[28:22.820 --> 28:25.180]  So I try to fill my brain with knowledge.
[28:25.700 --> 28:28.460]  I had a fucking bromance and a man crush
[28:28.460 --> 28:30.900]  on this fucking weed cultivator that I found.
[28:30.900 --> 28:33.820]  He was just filling my brain with so much great information.
[28:33.820 --> 28:36.300]  And I started, he's got a East Coast accent.
[28:36.300 --> 28:38.620]  I wasn't talking like the East Coast accent,
[28:38.620 --> 28:42.460]  but I was using his terms and his ideologies way too much.
[28:42.460 --> 28:44.900]  Like I caught it infecting, affecting my brain.
[28:44.900 --> 28:47.540]  Affecting with an A, I was affecting my brain
[28:47.540 --> 28:49.540]  and my speech and my thoughts.
[28:49.540 --> 28:51.620]  So I had to stop talking like, or listening to him.
[28:51.620 --> 28:52.900]  I had to cut myself off for a minute.
[28:52.900 --> 28:54.820]  I was like, no, no more of him for a minute.
[28:55.460 --> 28:56.740]  It's like, if you listen to the same rapper for a while,
[28:56.740 --> 28:58.020]  you probably, if you listen to Eminem,
[28:58.020 --> 29:00.020]  you probably start doing the Eminem, Eminem, Eminem.
[29:00.020 --> 29:02.140]  Start doing the Eminem shit eventually.
[29:02.140 --> 29:03.460]  If you listen to fucking whoever he is,
[29:03.460 --> 29:04.300]  if you listen to Metallica,
[29:04.300 --> 29:05.940]  you start playing fucking chin, chin, chin, chin, chin, chin.
[29:05.940 --> 29:07.140]  Just too much of that.
[29:07.140 --> 29:08.500]  So I had to quit listening to this guy.
[29:08.500 --> 29:10.500]  But this guy says,
[29:10.500 --> 29:12.820]  I knew immediately you were talking about Kev
[29:12.820 --> 29:14.020]  because I am the same way.
[29:14.020 --> 29:15.980]  And it made me bust out laughing
[29:15.980 --> 29:19.500]  that he has the same effect on you as he does me.
[29:19.500 --> 29:21.260]  I was talking about Kevin Jodry.
[29:21.260 --> 29:23.740]  I had to quit listening to Kevin Jodry for a while, you guys,
[29:23.740 --> 29:25.740]  because I started saying all of his words,
[29:25.740 --> 29:27.580]  his glossary, his dictionary.
[29:27.580 --> 29:29.180]  It all spilled into my brain.
[29:29.180 --> 29:31.660]  It wasn't a bad thing, but I wanted to be me again
