[00:00.000 --> 00:01.720]  What's up, podcast world?
[19:56.200 --> 20:05.880]  A good OG Kush is more on that gassy, fuel, chemicals, pine, dank, musty, skunky, swampy,
[20:05.880 --> 20:09.560]  chocolate, coffee, dirt sort of side of the aroma palette.
[20:09.560 --> 20:15.480]  It will be very easy to confuse the aromas of a good OG Kush with some of the Chemdog
[20:15.480 --> 20:17.200]  or Diesel varietals.
[20:17.200 --> 20:23.360]  But the main difference is going to be that darker pine, chocolate, coffee, swampy sort
[20:23.360 --> 20:24.360]  of a thing.
[20:24.560 --> 20:26.480]  Chemdog is going to have that chemical aroma.
[20:26.480 --> 20:30.440]  It's going to have the skunk in the feet, but it's going to be more on the, uh, like
[20:30.440 --> 20:33.600]  a fresh can of tennis balls or fresh tires.
[20:33.600 --> 20:35.600]  You're also going to have that aroma in there.
[20:35.600 --> 20:39.360]  So there's a little bit of a difference when it comes to the chems, the diesels and the
[20:39.360 --> 20:40.360]  Kushes.
[20:40.360 --> 20:44.200]  Unfortunately, the only real way to smell something is to smell something.
[20:44.200 --> 20:49.880]  So I recommend coming to Colorado, heading to a legal state and going to a reputable
[20:49.880 --> 20:55.000]  dispensary and smelling some good Kush and smelling some good Hayes and smelling some
[20:55.000 --> 20:59.320]  good whatever else is available so that you can kind of get a nice idea of what the different
[20:59.320 --> 21:01.440]  options are and what different things smell like.
[21:01.440 --> 21:05.360]  So I think it's time for you to start planning a road trip.
[21:05.360 --> 21:07.120]  This listener does ask a few more questions.
[21:07.120 --> 21:08.120]  They ask about Hayes.
[21:08.120 --> 21:11.000]  How do we describe the flavor of Hayes?
[21:11.000 --> 21:12.640]  That is a very unique flavor.
[21:12.640 --> 21:15.520]  I describe Hayes as a sandalwood flavor.
[21:15.520 --> 21:17.520]  It's got a woody flavor.
[21:17.520 --> 21:21.360]  Sometimes I think Hayes smells a little bit like a gentle incense.
[21:21.360 --> 21:25.040]  It also sometimes has a bit of a spicy flavor to it.
[21:25.040 --> 21:28.720]  Sometimes I describe Hayes as a green apple sort of a flavor.
[21:28.720 --> 21:34.400]  So it's sandalwood, it's incense, it's a little bit spicy and it's got a green apple flavor.
[21:34.400 --> 21:39.400]  It's harder for me to describe the flavor of a Hayes because a Hayes is not as common.
[21:39.400 --> 21:45.760]  A true Hayes plant is going to take at least 11 or 12, probably 14 weeks if you're smoking
[21:45.800 --> 21:47.720]  the true Hayes.
[21:47.720 --> 21:51.660]  So it's going to be very unlikely that you run into a true Hayes plant.
[21:51.660 --> 21:55.880]  You may find some Hayes crosses just like I was talking about the OG Kush, but a pure
[21:55.880 --> 21:59.260]  Hayes is going to be very unlikely.
[21:59.260 --> 22:03.960]  Things you can look for in a Hayes flavor like I mentioned earlier are that woody flavor,
[22:03.960 --> 22:05.820]  sort of a sandalwood flavor.
[22:05.820 --> 22:09.920]  Some Hayeses have a spicy green apple type of a flavor to them.
[22:09.920 --> 22:14.020]  Some of them have got a sweet perfumey sort of aroma to them.
[22:14.320 --> 22:18.260]  Most of the Hayeses I have experienced have been a hybrid that were crossed with something
[22:18.260 --> 22:22.860]  else to reduce flowering time because like I mentioned earlier, a good Hayes takes too
[22:22.860 --> 22:24.100]  damn long to flower.
[22:24.100 --> 22:28.780]  So it's very unlikely that you're going to find a pure Hayes unless you or one of your
[22:28.780 --> 22:31.900]  very close friends are growing it for yourselves.
[22:31.900 --> 22:36.060]  So I know my description of the flavor of Hayes was not as nearly in depth as my flavor
[22:36.060 --> 22:40.860]  description of OG, but that tells you how much Hayes I have been exposed to and how
[22:40.860 --> 22:43.580]  much OG Kush I have been exposed to.
[22:43.580 --> 22:48.660]  Like I said a moment ago in Colorado, when the medical marijuana market took off, everybody
[22:48.660 --> 22:50.340]  went Kush crazy.
[22:50.340 --> 22:54.580]  Since Hayes takes so long to grow, you don't see it here in the commercial market.
[22:54.580 --> 23:00.620]  The legal cannabis cultivation market in Colorado is already trying to find ways to pinch every
[23:00.620 --> 23:02.880]  penny and save every dollar.
[23:02.880 --> 23:08.420]  So growing a 12 to 14 week cultivar is really not an option in a commercial cultivation
[23:08.420 --> 23:09.420]  facility.
[23:09.420 --> 23:10.420]  All right.
[23:10.420 --> 23:11.420]  There is more to this message.
[23:11.420 --> 23:16.060]  Being a relatively youngish grower, I started smoking cannabis right after college and then
[23:16.060 --> 23:18.060]  began growing a few years back.
[23:18.060 --> 23:22.040]  I am unfamiliar with what these strains are supposed to smell like.
[23:22.040 --> 23:26.100]  I feel like this question is great for you because you do a very good job at describing
[23:26.100 --> 23:30.620]  smells and flavors and seem to have a real gift for doing so.
[23:30.620 --> 23:31.620]  Hey, thank you for that.
[23:31.620 --> 23:33.380]  I hope I did a good job.
[23:33.380 --> 23:38.020]  I apologize that I did not have a thoroughly detailed description on Hayes, but I think
[23:38.020 --> 23:41.380]  I made up for it with my great description on the Kush.
[23:41.380 --> 23:42.940]  So there is still more to this email.
[23:42.940 --> 23:47.180]  The last paragraph says, my other question is, when should I expect to see fading in
[23:47.180 --> 23:49.860]  my plants for an organic grow?
[23:49.860 --> 23:54.020]  I'm worried that the beginning of fade I see earlier on in flower, and then he says weeks
[23:54.020 --> 24:00.820]  four and five is a nutrient deficiency I should deal with rather than an actual proper fade.
[24:00.820 --> 24:03.660]  Then he wraps the email up with, thanks again for everything you do.
[24:03.660 --> 24:08.120]  I will continue to support you via Patreon and I will continue to look forward to every
[24:08.120 --> 24:11.320]  new episode you roll out best.
[24:11.320 --> 24:12.400]  And then they sign their name.
[24:12.400 --> 24:14.160]  I don't know if you want your name set on the show.
[24:14.160 --> 24:16.600]  So big thank you for the great email.
[24:16.600 --> 24:19.160]  Let's talk about this fading question.
[24:19.160 --> 24:24.300]  The question is, when should I expect to see fading in my plants in an organic grow?
[24:24.300 --> 24:28.480]  Because this listener is worried that the fade is beginning too early.
[24:28.480 --> 24:32.720]  This listener has plants that are in weeks four or five and they are showing a fade and
[24:32.720 --> 24:35.640]  they are in fear that it is a nutrient deficiency.
[24:35.640 --> 24:38.680]  Yes, that is probably a nutrient deficiency.
[24:38.680 --> 24:40.960]  Let's talk about what the fade is.
[24:40.960 --> 24:45.600]  Toward the end of the flowering phase, we like to flush our plants, which means we are
[24:45.600 --> 24:50.700]  removing all of the built up nutrients from the soil, the soilless mix or whatever you've
[24:50.700 --> 24:52.280]  got in your container.
[24:52.280 --> 24:56.600]  We're just feeding water for 10 to 14 days to rinse out that container.
[24:56.600 --> 24:58.360]  So the plants don't have anything to eat.
[24:58.360 --> 25:01.200]  And then they essentially begin to cannibalize themselves.
[25:01.200 --> 25:05.280]  They will use their stored nutrients, which are stored within the plant cells.
[25:05.280 --> 25:06.600]  They will start sucking that up.
[25:06.600 --> 25:07.600]  That's all of their life.
[25:07.600 --> 25:09.800]  They're basically working off that fat belly.
[25:09.800 --> 25:11.720]  Then once they don't have a fat belly, they're starving.
[25:11.720 --> 25:14.160]  They begin looking a little bit yellow.
[25:14.160 --> 25:18.320]  That is exactly what we want at the last part of the flowering phase.
[25:18.320 --> 25:22.440]  Flushing the plants, cleaning out all of those nutrients will make that final dried and cured
[25:22.440 --> 25:24.840]  bud taste delicious.
[25:24.840 --> 25:27.640]  So later in flower, we look to see what we call the fade.
[25:27.640 --> 25:32.760]  We just want to watch those leaves slowly turn from robust, lush green leaves to kind
[25:32.760 --> 25:34.560]  of faded out yellow leaves.
[25:34.840 --> 25:36.920]  Some cultivars will get really unique colors.
[25:36.920 --> 25:39.400]  You'll see some purples and oranges and yellows.
[25:39.400 --> 25:43.240]  You'll see a nice fall display come out of your grow room.
[25:43.240 --> 25:46.120]  Our friend here has this happening way too early.
[25:46.120 --> 25:51.440]  It is happening in weeks four and five, which means we have got a nutrient deficiency.
[25:51.440 --> 25:56.440]  Without more info, without some pictures or some details, I cannot identify the deficiency.
[25:56.440 --> 26:00.880]  But if you were at week four or five in an organic grow and you were seeing yellowing,
[26:00.880 --> 26:03.500]  you were going to be struggling until the end of this grow.
[26:03.500 --> 26:05.860]  You were doing what is called chasing the plant.
[26:05.860 --> 26:09.940]  You are never going to catch up with that plant's appetite for nutrients.
[26:09.940 --> 26:11.860]  You did state that the grow is organic.
[26:11.860 --> 26:15.780]  I don't know if you're using a super soil or some sort of amended soil or if you were
[26:15.780 --> 26:21.900]  feeding teas or maybe even organic bottled nutrients, but you do need to increase your
[26:21.900 --> 26:22.900]  feedings.
[26:22.900 --> 26:25.940]  I may recommend some type of a foliar feed.
[26:25.940 --> 26:31.900]  One thing I will really suggest is don't try to correct this issue by radically increasing
[26:32.020 --> 26:33.020]  your feeds.
[26:33.020 --> 26:38.460]  A major increase in feed is only going to cause more problems.
[26:38.460 --> 26:41.620]  I would carefully diagnose the issue with the plant.
[26:41.620 --> 26:43.820]  What do you feel like the plant is deficient in?
[26:43.820 --> 26:45.900]  Is it showing a nitrogen deficiency?
[26:45.900 --> 26:48.080]  Is it phosphorus or potassium deficient?
[26:48.080 --> 26:49.660]  Does it need CalMag?
[26:49.660 --> 26:54.780]  Let's correctly identify the deficiency, then let's use the appropriate amendment to fix
[26:54.780 --> 26:55.780]  that deficiency.
[26:55.780 --> 27:00.460]  I don't know, again, if you're using super soil or teas or an amended soil.
[27:00.460 --> 27:03.820]  I don't know what you're using, so I don't know what the solution will be.
[27:03.820 --> 27:08.940]  When you're using organics, many of those products will take several days, if not several
[27:08.940 --> 27:14.260]  weeks, to break down and become bioavailable for that plant to uptake to help solving your
[27:14.260 --> 27:15.420]  problem.
[27:15.420 --> 27:17.460]  That's why I recommend a foliar feed.
[27:17.460 --> 27:22.140]  You may be able to help this plant out by directly spraying these nutrients onto the
[27:22.140 --> 27:23.140]  plant.
[27:23.140 --> 27:25.020]  Don't spray undiluted nutrients onto the plant.
[27:25.020 --> 27:29.900]  If you're going to foliar feed, mix up the appropriate nutrient, dilute it very, very
[27:29.900 --> 27:30.900]  light.
[27:30.900 --> 27:33.900]  We don't need strong nutrients directly applied to the plants.
[27:33.900 --> 27:35.580]  Very low ratios.
[27:35.580 --> 27:39.780]  Then spray that onto the plant, and then watch the plant recover over a few days.
[27:39.780 --> 27:43.160]  Do not go in there and think, my plant is nitrogen deficient.
[27:43.160 --> 27:46.920]  I'm going to feed the fuck out of it with a bunch of nitrogen and fix this problem.
[27:46.920 --> 27:48.220]  That will not work.
[27:48.220 --> 27:52.740]  We need to increase the nitrogen a little bit, and then feed it frequently, and pay
[27:52.740 --> 27:53.740]  attention.
[27:53.740 --> 27:57.940]  Unfortunately, you probably will not be able to catch up to this plant.
[27:57.940 --> 28:01.220]  Those leaves that look like shit will always look like shit.
[28:01.220 --> 28:03.700]  If they are really terrible, pull them right off.
[28:03.700 --> 28:05.380]  They don't have to stay there.
[28:05.380 --> 28:08.540]  Just make sure that the new growth is healthy.
[28:08.540 --> 28:13.460]  So carefully identify the deficiency, then let's increase that nutrient.
[28:13.460 --> 28:16.700]  I'm not sure how you're going to deliver that nutrient to the plant because I don't know
[28:16.700 --> 28:21.620]  your style of grow, but it definitely sounds like you are fading too early because you
[28:21.620 --> 28:23.400]  have got a deficiency.
[28:23.400 --> 28:28.200]  If you did use a super soil or an amended soil, it needs to be a little richer next
[28:28.200 --> 28:30.800]  time, or you need to veg for less time.
[28:30.800 --> 28:34.840]  Again, I know I keep saying this, but without seeing your plants and without a little more
[28:34.840 --> 28:39.040]  information, it's hard for me to diagnose exactly what you are deficient in, but it
[28:39.040 --> 28:43.880]  does sound like you are experiencing a nutrient deficiency in your garden.
[28:43.880 --> 28:47.760]  Now before somebody out there starts typing an email, let me address what I just said.
[28:47.760 --> 28:52.400]  I did recommend foliar feeding these plants that are in flower.
[28:52.400 --> 28:55.360]  Because they are nutrient deficient, they are going to struggle all the way through
[28:55.360 --> 28:57.600]  their life if we don't take action.
[28:57.600 --> 28:59.800]  We are four or five weeks into flower.
[28:59.800 --> 29:05.000]  I am assuming these buds are not giant and chunky because they are nutrient deficient.
[29:05.000 --> 29:11.200]  I think one or two foliar feeds at the right time will rescue these plants and not cause
[29:11.200 --> 29:13.840]  too much risk of causing a problem to the buds.
[29:13.840 --> 29:18.320]  We won't get any bud mold because there's not bud there, and we're not spraying a pesticide,
[29:18.320 --> 29:21.540]  so it is not going to contaminate our final product.
[29:21.540 --> 29:25.380]  So if you're typing an email because I just told somebody to foliar feed in week four
[29:25.380 --> 29:27.780]  or five, just hit cancel.
[29:27.780 --> 29:29.460]  It's going to be okay.
[29:29.460 --> 29:33.940]  As long as those buds aren't giant and chunky, and as long as we're not applying a pesticide,
[29:33.940 --> 29:37.940]  and as long as we don't completely soak those plants like a giant sponge and then close
[29:37.940 --> 29:42.660]  the room up and let it get stagnant, I think that this will be a good idea to foliar feed
[29:42.660 --> 29:46.140]  those plants with the correct nutrients.
[29:46.140 --> 29:51.460]  Now I will assume that you want to keep your garden as organic as possible, but think about
[29:51.580 --> 29:52.580]  this.
[29:52.580 --> 29:56.540]  Many of the organics will take time to become bioavailable to your plant.
[29:56.540 --> 29:59.060]  Your plant is already struggling.
[29:59.060 --> 30:06.020]  Salt-based bottled nutrients are much more bioavailable to your plant and will be uptaken
[30:06.020 --> 30:11.340]  by the plant almost immediately upon that nutrient finding a root.
[30:11.340 --> 30:17.340]  You will have much more success and much more chance of rescuing this plant if you bite
[30:17.340 --> 30:23.780]  the bullet and use a non-organic bottled nutrient to attack your problem.
[30:23.780 --> 30:28.940]  If you want to stay organic, disregard that advice, but if you really want to rescue these
[30:28.940 --> 30:35.580]  plants, it may be time to think about switching it up and adding a non-organic ingredient
[30:35.580 --> 30:36.580]  to your grow.
[30:36.580 --> 30:41.620]  Again, if that's not something you're interested in doing, totally disregard this section,
[30:41.620 --> 30:44.780]  but it may be your best option at this time.
[30:45.260 --> 30:49.420]  I do really hope you were able to rescue this crop and I want to thank you for the great
[30:49.420 --> 30:50.420]  email.
[30:50.420 --> 30:53.340]  This was sent a while back, so it is time for an update.
[30:53.340 --> 30:54.740]  I would love to hear an update.
[30:54.740 --> 30:55.780]  What did you do?
[30:55.780 --> 30:56.780]  How did it work?
[30:56.780 --> 30:58.380]  And how did the garden turn out?
[30:58.380 --> 30:59.380]  Send me another email.
[30:59.380 --> 31:04.300]  My email address, of course, is growfromyourheartathotmail.com.
[31:04.300 --> 31:06.380]  Ladies and gentlemen, that is all I've got for this episode.
[31:06.380 --> 31:08.160]  I want to thank you again for listening.
[31:08.160 --> 31:11.940]  If you feel like this episode was educational, informative, or entertaining, and you would
[31:11.940 --> 31:18.940]  like to make a financial contribution to the show, you can do so by visiting www.patreon.com
[31:18.940 --> 31:21.300]  slash growfromyourheart.
[31:21.300 --> 31:25.620]  All of the information you need to support the show will be right there on the screen.
[31:25.620 --> 31:29.620]  I would also appreciate it if you support the show on Cannabuzz.
[31:29.620 --> 31:33.560]  Cannabuzz is a cannabis-friendly social media application.
[31:33.560 --> 31:38.620]  You cannot buy, sell, or trade cannabis or cannabis products on Cannabuzz, but you can
[31:38.620 --> 31:41.260]  post your cannabis photography.
[31:41.260 --> 31:43.060]  You can post your pictures of your plants.
[31:43.060 --> 31:44.860]  You can post your pictures of your buds.
[31:44.860 --> 31:46.980]  You can post your fancy dab videos.
[31:46.980 --> 31:50.620]  If you've got a question about your plant, you can snap a photo of it, post it up to
[31:50.620 --> 31:53.500]  Cannabuzz and say, hey, what the hell is wrong with my plant?
[31:53.500 --> 31:59.300]  And a large community of experienced cannabis growers will chime in and give you diagnosis
[31:59.300 --> 32:02.900]  on what is wrong with your plant and try to help you solve your problems.
[32:02.900 --> 32:05.420]  We have built a wonderful community at Cannabuzz.
[32:05.420 --> 32:07.220]  Big shout out to my buddy Q Grows.
[32:07.220 --> 32:08.820]  Big shout out to JR Token.
[32:08.820 --> 32:11.780]  And I invite you to come join us at Cannabuzz.
[32:11.780 --> 32:16.220]  It is a free application available on your Apple or Android mobile device.
[32:16.220 --> 32:22.020]  Simply go to your app store, download Cannabuzz, open it up, log in, create an account, then
[32:22.020 --> 32:23.020]  give me a follow.
[32:23.020 --> 32:28.180]  I'm iry underscore genetics, and I look forward to seeing you on Cannabuzz.
[32:28.180 --> 32:30.900]  If you've got something you'd like to say and you're not into all of that social media
[32:30.900 --> 32:32.860]  nonsense, you can send me an email.
[32:32.860 --> 32:38.060]  My email address is growfromyourheartathotmail.com, and you know that I would love to hear from
[32:38.300 --> 32:41.300]  Ladies and gentlemen, I'll be back in just a few days with fresh new content.
[32:41.300 --> 32:44.940]  I want to give a huge shout out to my buddy OG Purple Thumb.
[32:44.940 --> 32:48.420]  And until next time, take a fat dab and give your mom a hug for me.
