[00:00.320 --> 00:05.320]  Welcome to the show podcast world. It's time for episode 382 of the Grow From Your Heart podcast.
[24:20.320 --> 24:22.320]  The FDA is going to take away CBD now.
[24:23.320 --> 24:25.320]  The cannabis industry is the biggest conspiracy theorist.
[24:26.320 --> 24:30.320]  As soon as one thing happens, they start projecting seven thoughts into the future.
[24:31.320 --> 24:35.320]  You remember the old hippie cliche to sit around and smoke a joint?
[24:36.320 --> 24:37.320]  Freak out about the government, man.
[24:38.320 --> 24:40.320]  That's what they fucking do for real in our industry a lot.
[24:40.320 --> 24:41.320]  A little bit too much.
[24:42.320 --> 24:45.320]  Yeah, it's not necessarily our fault.
[24:46.320 --> 24:47.320]  It comes from an honest place.
[24:48.320 --> 24:53.320]  For a long time in our history, if you stood up and were pro-cannabis, you were risking a lot.
[24:54.320 --> 24:56.320]  And so the only people that stood up had nothing to lose.
[24:57.320 --> 25:01.320]  And the people with nothing to lose, usually they never had anything to lose.
[25:02.320 --> 25:04.320]  And that's why they have nothing to lose now.
[25:05.320 --> 25:06.320]  And that's not necessarily the best spokesman.
[25:07.320 --> 25:08.320]  And that didn't help us at all.
[25:08.320 --> 25:14.320]  And our fringe and black market conspiracy theories have always been part of the community.
[25:15.320 --> 25:16.320]  Since the good old days.
[25:17.320 --> 25:20.320]  It's something about that type of person, the black market grower, the recluse.
[25:21.320 --> 25:22.320]  We're all super extra paranoid.
[25:23.320 --> 25:25.320]  You got to stand and peek out the windows and then your only friend is the internet.
[25:26.320 --> 25:30.320]  And YouTube starts telling you that everyone's watching you and that the Illuminati wants to steal your bacon.
[25:31.320 --> 25:32.320]  Right.
[25:33.320 --> 25:34.320]  It starts getting weird.
[25:36.650 --> 25:37.650]  So that's the Farm Bill, everybody.
[25:37.650 --> 25:48.650]  If you have questions about the Farm Bill, other provisions, if you want me to elaborate more about what it means for textile production or what other stuff you can make from hemp, you can Google most of that shit.
[25:49.650 --> 25:50.650]  But if you want to tweet at me, it's at Nemopunk15.
[25:51.650 --> 25:52.650]  Nemopunk15 on the tweeter.
[25:53.650 --> 25:55.650]  Or also, what about Pueblo for Sensible Cannabis Laws?
[25:56.650 --> 26:00.650]  You can find me on Facebook at Pueblo for Sensible Cannabis Laws as well.
[26:01.650 --> 26:02.650]  There you go. Or email me.
[26:02.650 --> 26:06.650]  You might have to search for that one a little harder if you're not already familiar with the Facebook page.
[26:07.650 --> 26:08.650]  Are they blocking the cannabis pages?
[26:09.650 --> 26:10.650]  Facebook's been doing that for months now.
[26:11.650 --> 26:12.650]  Okay. No search for you. Ha ha.
[26:13.650 --> 26:27.650]  Maybe six, eight months ago, Facebook decided to make it much harder to find anything cannabis related, which made me laugh my ass off because both sides of the conversation tend to use the words cannabis or marijuana.
[26:28.650 --> 26:29.650]  Oh, yeah.
[26:29.650 --> 26:35.650]  And so all of the anti-pot and cannabis pages vanished just as thoroughly as all of the pro.
[26:36.650 --> 26:37.650]  It makes me laugh.
[26:38.650 --> 26:39.650]  Yeah. Well, it's got to play fair.
[26:40.650 --> 26:41.650]  Got to play fair.
[26:42.650 --> 26:55.650]  So with this farm bill, do you see in the future that hemp will be tested in the same manner as cannabis, not just for cannabinoid content to ensure that it is not hot is the word we use for THC.
[26:56.650 --> 27:05.650]  If it's got too much THC, we call it hot and it's got to be destroyed or reallocated for different purposes, or it can be ran into a concentrate and then that concentrate can be separated.
[27:06.650 --> 27:07.650]  Yeah. It's something I learned recently.
[27:08.650 --> 27:10.650]  Do you feel that they will be doing pesticide testing?
[27:11.650 --> 27:13.650]  They're going to do.
[27:14.650 --> 27:16.650]  So it depends what the crops being produced for.
[27:17.650 --> 27:18.650]  Right. That's what I was going to get to.
[27:19.650 --> 27:20.650]  You're going to eat it.
[27:21.650 --> 27:22.650]  It's going to go through very separate testing.
[27:22.650 --> 27:33.650]  So when you buy whole hemp seed at the health food store, which you've been able to do for decades, it goes through the same food testing as the sunflower seeds at the gas station.
[27:34.650 --> 27:36.650]  Okay. All right. So there's no Michael butanol in those.
[27:37.650 --> 27:38.650]  There fucking shouldn't be.
[27:39.650 --> 27:41.650]  The same things with the textiles.
[27:42.650 --> 27:51.650]  Like if you buy a hemp T-shirt at the mall or online or whatever, it should have gone, all the material that went into that should have gone through the same testing is the cotton shirt or the polyester shirt that you bought.
[27:52.650 --> 27:55.650]  So that will in the future, all of the hemp will have to be tested for pesticides.
[27:56.650 --> 27:58.650]  It's currently not to my best understanding.
[27:59.650 --> 28:00.650]  Like if we went out to one of the local hemp farms, they don't have to.
[28:01.650 --> 28:05.650]  They do have to adhere to department of agriculture, pesticide rules and laws.
[28:06.650 --> 28:12.650]  But after that, there's no testing for pesticide presence or mold and mildews like we also test for in the industry.
[28:13.650 --> 28:14.650]  They don't test for any of that stuff.
[28:15.650 --> 28:16.650]  So I look forward to when they have to test for that.
[28:17.650 --> 28:18.650]  Sorry, you guys in the hemp industry.
[28:19.650 --> 28:20.650]  We're a smokable product.
[28:21.650 --> 28:22.650]  We're going to be eating a lot of this stuff.
[28:23.650 --> 28:24.650]  We mentioned earlier, it goes into gummy bears.
[28:25.650 --> 28:27.650]  What if it goes into a salve or I have family members.
[28:28.650 --> 28:29.650]  I don't want to call anybody out and get anybody in any trouble.
[28:30.650 --> 28:33.650]  I have a family member who has very bad arthritis and they use a lotion quite frequently.
[28:34.650 --> 28:37.650]  I don't want them rubbing fucking flora, my lotion for their skin.
[28:38.650 --> 28:39.650]  They're getting old.
[28:40.650 --> 28:41.650]  I don't need that.
[28:42.650 --> 28:44.650]  That should go through all the same testing that that everything else goes through.
[28:45.650 --> 28:56.650]  One of the big upsides to federal legalization that we just got with hemp is we already solved all those fucking problems for 90% of what we deal with every day.
[28:57.650 --> 29:00.650]  You don't have these worries when you buy a shirt or a hat or shoes online.
[29:01.650 --> 29:03.650]  You never think, were these socks treated with pesticides?
[29:04.650 --> 29:17.650]  Nope. I make a point to wash new clothes when they come into my house, but that's more like a paranoia thing because there's three episodes of shows I watched as a kid where the plot line was kid gets sick from jeans that didn't get washed.
[29:18.650 --> 29:23.650]  We've already solved all these problems for food safety, for clothing, textile safety.
[29:23.650 --> 29:26.650]  All these rules are already in place for a thousand other products.
[29:27.650 --> 29:33.650]  We just weren't allowed to use that infrastructure for hemp because hemp was federally illegal.
[29:34.650 --> 29:37.650]  It was a schedule one substance just like cannabis.
[29:38.650 --> 29:47.650]  The Farm Bill actually removed hemp from schedule one and changed the official wording of our federal drug statutes.
[29:48.650 --> 29:58.650]  That's what I mean when I say that it's weird that the DEA and the drug czar's office and all of that federal machinery didn't have fuck all to say about this.
[29:59.650 --> 30:04.650]  When they were quiet about it, this was leading up to, is it going to get put in the Farm Bill?
[30:05.650 --> 30:11.650]  Oh, it's in. Is it going to get passed by the Senate? Is it going to get passed by the House? Oh, is the president going to sign it?
[30:11.650 --> 30:19.650]  All of that, they were quiet. People like me that have been following this for 20 years were like, well, where's the normal chorus of dipshits?
[30:20.650 --> 30:22.650]  They just weren't there. It was just really kind of big news.
[30:23.650 --> 30:32.650]  Did, once again, I'm going back to the devil's advocate, was that the right hand going like this so that the left hand could come over here and pull some shit while we were going, look at the Farm Bill thing, look at the Farm Bill thing.
[30:33.650 --> 30:35.650]  They're over here just fucking carrying merchandise out the back door.
[30:36.650 --> 30:41.650]  It wasn't like when they're doing something for a distraction, they shout about it.
[30:42.650 --> 30:46.650]  There's some sparkle, there's some waving, there's some blood, something.
[30:47.650 --> 30:53.650]  With this, they were just like, hey, we've got bipartisan support for a Farm Bill. Isn't that nice?
[30:54.650 --> 30:59.650]  Everybody was like, yeah, but what about, and they were like, no, that's cool. We're just doing this real quick. It's done.
[31:00.650 --> 31:05.650]  End of the day, pro cannabis news outlets and a couple of others were like, yay, hemp's legal.
[31:06.650 --> 31:11.650]  The FDA was like, yeah, but CBD and THC are under the same rules that applied as always.
[31:12.650 --> 31:14.650]  That was pretty much it outside of the cannabis community.
[31:15.650 --> 31:20.650]  Even the people like Dr. Bronner's weren't like, we're going to bring up Dr. Bronner's.
[31:21.650 --> 31:24.650]  I wanted to make a joke earlier. Has anybody heard from Dr. Bronner? I think he passed.
[31:25.650 --> 31:31.650]  I kind of expected someone from his company or from a similar industry to be like, we're really thrilled about this.
[31:32.650 --> 31:34.650]  More tonight at nine, but there was none of that.
[31:35.650 --> 31:36.650]  I use that Dr. Bronner soap every single day.
[31:37.650 --> 31:45.650]  I own a number of hemp clothing items that I've had for years because they just last longer.
[31:46.650 --> 31:48.650]  You pay a little more, but it never wears out ever.
[31:49.650 --> 31:53.650]  That is the truth. Good hemp quality. I'm looking to see what I'm wearing now and there's no hemp on me.
[31:54.650 --> 31:55.650]  It's maybe hemp. I'm not sure though.
[31:56.650 --> 31:58.650]  I've known countless people that were into that Dr. Bronner soap.
[31:59.650 --> 32:05.650]  One of the things that made me laugh is the anti-pot crowd kind of freaked out with this.
[32:06.650 --> 32:09.650]  They're like, I'm sure this is just backdoor legalization again.
[32:10.650 --> 32:13.650]  The farm bill's bad. Look at this hemp product.
[32:14.650 --> 32:17.650]  I found it at Target the other day and it was actually the hemp's brand.
[32:18.650 --> 32:22.650]  I just laughed so hard. I'm like, wait, you're half the age of my mom.
[32:22.650 --> 32:25.650]  She's been using that lotion the whole time we've been alive.
[32:26.650 --> 32:30.650]  You think this has something to do with the farm bill that goes into effect on January 1st?
[32:31.650 --> 32:32.650]  It's not even January 1st, ya lady.
[32:33.650 --> 32:34.650]  They're just so fucking stupid.
[32:35.650 --> 32:36.650]  Once you're against something, you're against it.
[32:37.650 --> 32:38.650]  Once you're programmed, you're programmed.
[32:39.650 --> 32:41.650]  Unless you get reprogrammed or unprogrammed, you might be stuck.
[32:42.650 --> 32:49.650]  That's true for most topics, but at this point, anyone who cares enough to have an opinion either way
[32:49.650 --> 32:50.650]  has checked on it a little bit.
[32:51.650 --> 32:57.650]  The only people left in the hardcore anti-camp are either, a long time ago,
[32:58.650 --> 33:02.650]  they committed to a life of talking bad about pot and getting paid for it.
[33:03.650 --> 33:04.650]  That's their thing.
[33:06.650 --> 33:10.650]  If they go outside of that at all, they have to come up with a whole new everything.
[33:11.650 --> 33:14.650]  A lot of those people have that story of how, I sound like an asshole right now,
[33:14.650 --> 33:19.650]  how one of their friends drank 17 beers at a party and smoked a joint and then left
[33:20.650 --> 33:22.650]  and got in a wreck and killed themselves and they blame cannabis.
[33:23.650 --> 33:24.650]  Yeah, that's a bunch of them.
[33:25.650 --> 33:28.650]  The big one, Kevin Sebette, he figured out when he was in college
[33:29.650 --> 33:32.650]  that he could get people to give him money for being the guy that wears a suit
[33:33.650 --> 33:36.650]  and is like, I'm kind of likable and marijuana is terrible.
[33:37.650 --> 33:39.650]  He's made a pretty good life.
[33:40.650 --> 33:41.650]  That's a basic good description of that guy too.
[33:41.650 --> 33:42.650]  I wear a suit and kind of likable.
[33:43.650 --> 33:46.650]  He's worked for three presidents, two or three presidents.
[33:47.650 --> 33:51.650]  I think he might've worked two administrations for Bush and then one for Obama.
[33:52.650 --> 33:55.650]  I think it's his claim to fame, but he might've been Clinton, Bush, Obama.
[33:56.650 --> 33:57.650]  I'm not sure.
[33:58.650 --> 34:01.650]  But he worked for the drug czar's office for a while and now he's got a company
[34:02.650 --> 34:04.650]  where people just give him money that they worked hard for
[34:05.650 --> 34:08.650]  so that he can continue to go around the country and bash legal weed.
[34:08.650 --> 34:09.650]  It's kind of nuts.
[34:10.650 --> 34:13.650]  And he, uh, about five years ago made a point to stop taking donations
[34:14.650 --> 34:17.650]  from these people's companies that like drug tests or run rehabs and stuff.
[34:18.650 --> 34:21.650]  And he only takes checks from the person themselves.
[34:22.650 --> 34:24.650]  And so like, if Jeff, if you were to send me a check in this manner,
[34:25.650 --> 34:27.650]  you wouldn't send it from Irish Genetics, Colorado.
[34:28.650 --> 34:29.650]  You would send it from Jeff.
[34:30.650 --> 34:31.650]  Really?
[34:31.650 --> 34:34.650]  And so that way I could be like, I only take donations from private citizens.
[34:35.650 --> 34:37.650]  I don't take donations from private citizens.
[34:38.650 --> 34:39.650]  I take corporate money.
[34:40.650 --> 34:41.650]  That's whack.
[34:42.650 --> 34:43.650]  Um, but it's a cute little play that he's been running.
[34:44.650 --> 34:45.650]  Yeah.
[34:45.650 --> 34:46.650]  I don't know where this tangent came from, but enjoy that tidbit folks.
[34:47.650 --> 34:48.650]  There you go.
[34:49.650 --> 34:50.650]  That's a great way to start segwaying since I'm getting Mike a dab ready.
[34:51.650 --> 34:52.650]  Anyway.
[34:52.650 --> 34:53.650]  Um, guys, thank you for enduring 38.
[34:54.650 --> 34:55.650]  I don't know how much of that got edited.
[34:56.650 --> 34:57.650]  Approximately 38 minutes of a podcast.
[34:58.650 --> 34:59.650]  That's that's you should finish it.
[35:00.650 --> 35:01.650]  Like that's my report on the farm bill guys.
[35:02.650 --> 35:03.650]  Thank you so much for listening.
[35:04.650 --> 35:05.650]  Oh, you had to do it.
[35:06.650 --> 35:07.650]  You bastard.
[35:08.650 --> 35:09.650]  I get why a lot of people can't wade through this shit on their own and make
[35:10.650 --> 35:11.650]  sense of it.
[35:12.650 --> 35:13.650]  Like it's designed to be really complicated and kind of hard to
[35:14.650 --> 35:15.650]  understand.
[35:16.650 --> 35:17.650]  Yeah.
[35:17.650 --> 35:18.650]  I just tried to kill Mike with the dab.
[35:19.650 --> 35:20.650]  I was going to give him, I had to rethink.
[35:21.650 --> 35:22.650]  Yeah.
[35:22.650 --> 35:23.650]  I don't need all the dabs.
[35:24.650 --> 35:25.650]  I would just like a small one.
[35:26.650 --> 35:27.650]  I'm going to just knock most of this off the dab and give you the part that
[35:28.650 --> 35:29.650]  sticks.
[35:30.650 --> 35:31.650]  So I'm going to put this back on track.
[35:32.650 --> 35:33.650]  I thought it was hilarious.
[35:34.650 --> 35:35.650]  It might come in.
[35:36.650 --> 35:37.650]  That was a good burn.
[35:38.650 --> 35:39.650]  I'm not sure if you got bored as fuck, but some people are really interested
[35:40.650 --> 35:41.650]  in that too.
[35:42.650 --> 35:43.650]  That was for if you got bored, then there'll be a Monday show.
[35:44.650 --> 35:45.650]  It'll be about growing canvases.
[35:46.650 --> 35:47.650]  We'll be back on track.
[35:48.650 --> 35:49.650]  I've probably seen 300 people online in our community arguing about what the
[35:50.650 --> 35:51.650]  farm bill did and didn't do.
[35:52.650 --> 35:53.650]  And two hundred ninety nine of them had no fucking idea what they were
[35:54.650 --> 35:55.650]  talking about.
[35:56.650 --> 35:57.650]  So I'm glad to help clear up the air for anyone who wanted to listen.
[35:58.650 --> 35:59.650]  That's what we brought you here for.
[36:00.650 --> 36:01.650]  All right.
[36:01.650 --> 36:02.650]  I'm going to give you a dab.
[36:03.650 --> 36:04.650]  You're going to take a dab.
[36:05.650 --> 36:06.650]  All right.
[36:06.650 --> 36:07.650]  I'm going to give Mike a dab.
[36:08.650 --> 36:09.650]  He is probably still coughing.
[36:10.650 --> 36:11.650]  We had to wrap up the show.
[36:12.650 --> 36:13.650]  You can find Mike on social media.
[36:14.650 --> 36:15.650]  Make sure you find him on Facebook at Pueblo for sensible cannabis laws.
[36:16.650 --> 36:17.650]  You can also find him on Twitter.
[36:18.650 --> 36:19.650]  He's Nemo Punk 15 on Twitter.
[36:20.650 --> 36:21.650]  Give him a follow.
[36:22.650 --> 36:23.650]  I would appreciate it if you also follow the show on Twitter.
[36:24.650 --> 36:25.650]  You can find the show at GFYH podcast on Twitter.
[36:26.650 --> 36:27.650]  If you'd like to follow my personal Twitter account, it's at Rostagef420.
[36:28.650 --> 36:29.650]  Give me a follow.
[36:30.650 --> 36:31.650]  I would appreciate the support.
[36:32.650 --> 36:33.650]  I would also appreciate it if you support the show on Patreon.
[36:34.650 --> 36:35.650]  Simply go to Patreon.
[36:36.650 --> 36:37.650]  All the information you need will be right there on the screen.
[36:38.650 --> 36:39.650]  Ladies and gentlemen, I want to thank you for listening to this episode.
[36:40.650 --> 36:41.650]  I want to thank Mike again for coming and hanging out,
[36:42.650 --> 36:43.650]  taking time away from his family to come record a podcast.
[36:44.650 --> 36:45.650]  I will be back Monday with a fresh new grow lesson.
[36:46.650 --> 36:47.650]  I hope you guys join me for that.
[36:48.650 --> 36:49.650]  I want to give a huge shout out to my friend Slaughterhouse Cannabis.
[36:50.650 --> 36:51.650]  Until next time, take a fat dab and give your mom a hug for me.
