[00:00.000 --> 00:03.080]  What's up, podcast world?
[19:18.440 --> 19:23.360]  it's got to get replaced more frequently than something like probably the chem
[19:23.360 --> 19:25.480]  four, the chem four doesn't grow super fast.
[19:25.680 --> 19:29.400]  That redheaded stranger grows super fast. Uh, the chem four,
[19:29.600 --> 19:31.760]  it doesn't get as root bound as quickly.
[19:31.800 --> 19:33.640]  That redheaded stranger will grow up into the lights.
[19:33.840 --> 19:36.480]  I'll top it a couple of times. It'll bush out real wide.
[19:36.480 --> 19:38.800]  I'll top it a couple more times. It'll bush out even wider.
[19:38.800 --> 19:41.800]  It'll start tipping itself over and want a bigger pot. It's got to go.
[19:41.800 --> 19:44.120]  It's either got to go in a bigger pot, which I don't really have room for.
[19:44.120 --> 19:45.800]  I don't need that big of a mother plant.
[19:46.120 --> 19:49.080]  So then it just gets recloned off of I cut a couple of clones. Anyway,
[19:49.200 --> 19:51.880]  we'll keep talking about that. It's time to replace your mother plants.
[19:52.320 --> 19:53.320]  It's a simple process.
[19:53.720 --> 19:57.440]  I reclone all of the large moms and create fresh new mom stock.
[19:57.440 --> 20:01.440]  So just go to all of my mother plants and pull off like one row,
[20:01.480 --> 20:04.600]  like five or 10, however many you think you need for one row of your cloner.
[20:04.800 --> 20:07.560]  Just pull off enough so that you've got plenty of clones for that keeper.
[20:07.840 --> 20:08.680]  Pull them off of there.
[20:09.160 --> 20:13.400]  Or if you need a large batch like a hundred or whatever extra take those hundred
[20:13.400 --> 20:15.240]  clones. I'll cut like a hundred. If I need a hundred,
[20:15.240 --> 20:17.800]  I'll cut a solid hundred plus a 20 extra for backups.
[20:18.280 --> 20:21.240]  That way if something goes wrong, then I've got some better selection.
[20:21.520 --> 20:24.800]  Then I'll cut as many clones as I can get off that bigger mother plant.
[20:25.160 --> 20:28.760]  And then I'll use one of the really good looking clones as my replacement
[20:28.760 --> 20:29.560]  mother.
[20:29.560 --> 20:33.040]  Now sometimes I keep the old mom around until I've got roots on my new clones,
[20:33.240 --> 20:36.560]  but my clone skills are pretty reliable. So those, those,
[20:36.560 --> 20:39.040]  all those clones I cut, I'm pretty sure something's going to root.
[20:39.040 --> 20:42.640]  But if you don't have super good clone skills,
[20:42.800 --> 20:47.520]  maybe take a few extra clones in case something happens or, uh, the,
[20:47.520 --> 20:50.160]  the always the fucking clones in the corners of the trays.
[20:50.200 --> 20:53.400]  They're always a challenge. So we cut a few extras just so you know,
[20:53.400 --> 20:57.440]  you have a survivor. If you're cutting new mother stock, you want that to survive.
[20:57.440 --> 20:59.400]  So cut as many as you can.
[20:59.640 --> 21:03.120]  And then maybe consider leaving a little portion of that plant alive,
[21:03.120 --> 21:04.720]  just like one or two small branches,
[21:04.920 --> 21:08.240]  leave yourself one or two more clones to cut in case you failed.
[21:08.400 --> 21:11.280]  And you've still got that mother plant. You can still keep that cultivar.
[21:11.480 --> 21:14.640]  You've got a little preserve over there that it totally looks like shit,
[21:14.800 --> 21:16.200]  but it's there. It exists.
[21:16.800 --> 21:20.520]  So that's basically my process of keeping and replacing a mother plant.
[21:20.520 --> 21:23.800]  It's fairly similar when I'm doing it in a small home growth,
[21:23.800 --> 21:26.520]  I'm doing it in a private growth. I'm doing it in a breeder grow.
[21:26.960 --> 21:30.360]  It's fairly similar. If I'm doing it in a commercial grow, when I say 100,
[21:30.360 --> 21:33.920]  120 plants, consider that the commercial grow all the time, the home grow,
[21:34.160 --> 21:35.640]  it's very small numbers nowadays.
[21:35.640 --> 21:39.320]  They've limited us so ridiculously in Colorado that I'm taking like three clones
[21:39.320 --> 21:43.560]  at a time just to make sure I've got a copy of that plant. So when I say 120,
[21:43.560 --> 21:45.920]  that's the commercial grow kind of scale. Don't get confused.
[21:46.480 --> 21:48.320]  When I say smaller numbers, that's the home grow,
[21:48.320 --> 21:50.960]  but it's all a similar process. When you're keeping mother plants,
[21:51.240 --> 21:53.640]  you've got a plant, you need to keep it in veg perpetually.
[21:54.000 --> 21:56.280]  Then eventually you need to replace it.
[21:56.520 --> 22:00.000]  So now when we're replacing these plants, we're cutting clones from it,
[22:00.360 --> 22:03.280]  and then we're going to take that clone and we're going to grow it up big again.
[22:03.480 --> 22:05.520]  And then we're going to cut clones from it. Like I said earlier,
[22:05.520 --> 22:07.160]  if that one's going to grow, then it's going to,
[22:07.360 --> 22:09.800]  we're just going to keep cutting clones off of clones off of clones.
[22:10.560 --> 22:15.560]  That starts to lead us into where genetic drift is suspected to start happening.
[22:16.760 --> 22:20.840]  Through several rounds of cloning and vegging and then creating new moms and
[22:20.840 --> 22:22.920]  then clones and then vegging, like I said,
[22:22.920 --> 22:26.760]  we give the opportunity for what has been referred to as genetic drift.
[22:27.360 --> 22:31.520]  A lot of growers suspect that these plants get tired or that their genetics
[22:31.560 --> 22:36.440]  change over generations and the subsequent generations become less vigorous,
[22:36.480 --> 22:41.280]  less potent, and more prone to pest and pathogenic attacks.
[22:42.120 --> 22:47.120]  Now I personally have always been skeptical of genetic drift and I always blamed
[22:47.160 --> 22:51.640]  it on poor plant health or I blamed it on the grower or the person who cut the
[22:51.640 --> 22:52.480]  clone.
[22:52.480 --> 22:56.120]  And I feel like most of your genetic drift issues are probably caused within the
[22:56.120 --> 22:58.000]  first 24 hours of propagation.
[22:58.720 --> 23:02.920]  It's probably from inexperienced clone techniques, poor vapor pressure deficit,
[23:03.160 --> 23:08.040]  improper lighting, lack of nutrients, or the presence of pathogens,
[23:08.400 --> 23:12.080]  were usually my assumptions on what was causing what people were calling genetic
[23:12.080 --> 23:12.360]  drift.
[23:12.360 --> 23:15.200]  Because we would see it early on when people were saying that they had it.
[23:15.880 --> 23:17.200]  So I've always been skeptical.
[23:17.400 --> 23:22.400]  I've had my flow plant since 2007 or 2008.
[23:23.080 --> 23:24.840]  I'm not sure exactly when I got it.
[23:24.840 --> 23:28.040]  That timeframe is kind of fuzzy. And of course I got a traumatic brain injury,
[23:28.040 --> 23:30.880]  but I know where I was when I got it. I know who gave it to me.
[23:31.160 --> 23:33.920]  So I know it was about 2007, 2008 ish.
[23:34.320 --> 23:38.320]  I'm actually running that same flow plant for her very last time.
[23:38.320 --> 23:42.560]  Now there's nothing wrong with her. I'm just, I've ran it for so long.
[23:42.560 --> 23:45.080]  It's been crossed with everything. It's been there, done that.
[23:45.480 --> 23:48.440]  And like I keep saying that they've changed the rules in Colorado to where our
[23:48.440 --> 23:51.120]  numbers are limited. I would like to play with something new.
[23:51.280 --> 23:54.680]  And if I want to do that, I have to retire something old and flow.
[23:55.000 --> 23:59.640]  It's time for her to go. So I'm running flow for her last time right now.
[24:00.080 --> 24:04.200]  She is just a few days away from being pollinated by King Solomon to make one
[24:04.200 --> 24:07.360]  last batch of piranha seeds. So she's had a long fun run,
[24:07.360 --> 24:08.960]  but I need to move on to something new. Anyway,
[24:09.360 --> 24:12.520]  I got that flow clone from my friend in 2007 or eight ish.
[24:12.520 --> 24:16.880]  Now imagine how many times I've had to re clone and remodel this one cultivar
[24:16.920 --> 24:18.320]  over the past 10 years.
[24:19.000 --> 24:22.440]  It would be at least 20 times if I've done it every six months.
[24:22.440 --> 24:23.280]  So I'm sure it was more.
[24:23.880 --> 24:26.560]  I'm sure it was more than that because there were times when I've moved,
[24:26.560 --> 24:28.960]  I've moved different houses. I've moved different facilities.
[24:29.320 --> 24:33.280]  I have taken it from the house where I lived to the new house,
[24:33.280 --> 24:34.240]  to the other house.
[24:34.560 --> 24:37.640]  Then I took it from the house to the house, to a grow facility,
[24:37.880 --> 24:42.760]  to another facility. And it still looks amazing. It still looks the same.
[24:43.640 --> 24:47.960]  It performs exactly as I remember in all of those conditions.
[24:48.000 --> 24:50.920]  It does the same thing since I got her in 2007,
[24:51.320 --> 24:54.240]  somebody else was growing her in 2007 and gave it to me.
[24:54.240 --> 24:57.720]  And it looks like the way that person grew it still. So again,
[24:57.840 --> 25:01.400]  I've been skeptical of genetic drift and I've played with a lot of plants,
[25:02.000 --> 25:06.800]  but since I'm writing a podcast, I have to come at it unbiased and open-minded.
[25:06.800 --> 25:11.800]  So I didn't want my opinion to get in the way of the opportunity to learn and
[25:11.840 --> 25:12.680]  also teach.
[25:12.840 --> 25:17.840]  So I did some Google research to open my mind and I totally rattled my current
[25:18.080 --> 25:18.920]  opinion.
[25:19.400 --> 25:24.400]  I found a wonderful article on CannabisIndustryInstitute.com by a guy named
[25:25.000 --> 25:30.120]  Randy Robinson about genetic drift. And I wanted to share what I learned.
[25:30.440 --> 25:31.480]  This article says,
[25:32.560 --> 25:36.120]  the true concept of genetic drift started in the 1920s.
[25:36.120 --> 25:40.640]  This was several decades after Darwin had already revolutionized biology with his
[25:40.640 --> 25:41.760]  theory of evolution,
[25:41.760 --> 25:45.280]  but scientists still didn't know how certain traits were passed on.
[25:45.720 --> 25:49.480]  We had some clues from Mendel's pea studies, excuse me,
[25:49.480 --> 25:54.040]  but Mendelian genetics and Darwinian evolution hadn't been combined yet.
[25:54.440 --> 25:55.160]  In the twenties,
[25:55.160 --> 25:59.280]  biologists recognized that certain genes and traits changed a population without
[25:59.520 --> 26:02.000]  any adaptive or environmental pressures.
[26:02.160 --> 26:03.880]  So that's where we need to make a note.
[26:04.120 --> 26:09.120]  Biologists recognized that certain genes and traits changed a population without
[26:10.200 --> 26:13.280]  any adaptive or environmental pressures. For example,
[26:13.520 --> 26:17.080]  let's say there are two types of the same bird species on an island,
[26:17.320 --> 26:19.800]  some with silver feathers and some with gold feathers.
[26:20.120 --> 26:24.400]  The color of their feathers confers no special survival advantages and the
[26:24.400 --> 26:29.120]  colors don't harm the birds either. So these colors are neutral mutations.
[26:30.000 --> 26:31.920]  After studying these birds for several years,
[26:31.920 --> 26:35.480]  we noticed that the ratio of silver feathered birds to gold feather birds
[26:35.680 --> 26:40.160]  begins to change. There used to be a ratio of one silver to one gold,
[26:40.200 --> 26:43.040]  but now it's 10 silvers to one gold.
[26:43.440 --> 26:47.080]  Nothing happened on the island that should have selected one color of bird over
[26:47.100 --> 26:49.280]  the other. It just happened randomly.
[26:49.680 --> 26:53.360]  This is what is known as genetic drift. Today,
[26:53.520 --> 26:57.720]  population geneticists refer to genetic drift as sampling error.
[26:58.200 --> 27:01.560]  This is something that happens with real world populations.
[27:01.840 --> 27:03.840]  No sampling is ever perfect.
[27:04.480 --> 27:06.600]  And that's what we're seeing with genetic drift.
[27:06.840 --> 27:11.320]  The sampling error happens over and over again until it's amplified and becomes
[27:11.320 --> 27:15.160]  the most prevalent, or in some cases, the only gene.
[27:16.000 --> 27:20.160]  Now what does genetic drift have to do with cloning? Probably nothing,
[27:20.200 --> 27:22.240]  because pay attention to this part.
[27:22.260 --> 27:26.600]  Genetic drift only applies to populations of organisms that produce
[27:26.720 --> 27:29.560]  sexually. So when we're talking about cloning cannabis,
[27:29.920 --> 27:32.720]  we're dealing with only one organism. Of course,
[27:32.880 --> 27:35.640]  we may produce thousands of copies of that individual plant,
[27:35.660 --> 27:40.720]  but it's still only one plant. So genetic drift does not apply.
[27:41.040 --> 27:45.240]  So you guys, all this time, we've been saying genetic drift from cloning.
[27:45.560 --> 27:50.680]  That's not even possible because genetic drift only applies to populations
[27:50.760 --> 27:55.800]  of organisms that reproduce sexually. So we are not doing that.
[27:55.880 --> 28:00.200]  We are cloning. There's no sexual reproduction here. So that can't even apply.
[28:00.200 --> 28:03.760]  Genetic drift is not even a label that can be applied to this situation.
[28:03.760 --> 28:05.680]  So that's where we're going to change some things today.
[28:06.120 --> 28:08.280]  And this was not my knowledge.
[28:08.280 --> 28:10.760]  This is our friend Randy in this article that wrote this here.
[28:10.780 --> 28:12.800]  So let's keep moving forward.
[28:13.880 --> 28:18.440]  The question of why all of plants clones aren't 100% the same is not easy to
[28:18.440 --> 28:22.360]  answer. Mainly because we haven't studied cannabis as much as we'd like,
[28:22.520 --> 28:24.440]  especially in large scale grows.
[28:24.880 --> 28:28.840]  Most of the research was performed in labs on lower potency plants and small
[28:28.840 --> 28:33.760]  sample sizes. However, we have taken a ton of research on other plants.
[28:34.320 --> 28:38.800]  It is possible that clones are themselves producing new genes or deleting old
[28:38.800 --> 28:41.040]  genes. Back in 2011,
[28:41.400 --> 28:45.480]  a study from Oxford university showed that no clone was a perfect copy.
[28:45.840 --> 28:50.200]  Genetic analysts showed that when genes regenerate new tissue,
[28:50.240 --> 28:54.400]  they tend to spontaneously create new genes. You guys hear that?
[28:54.760 --> 28:58.800]  When genes regenerate new tissue,
[28:58.960 --> 29:01.600]  they tend to spontaneously create new genes.
[29:01.840 --> 29:04.680]  It hasn't been confirmed whether or not cannabis does this,
[29:04.960 --> 29:09.200]  but it is possible. Now the Oxford study called the phenomenon,
[29:09.440 --> 29:11.400]  regenerative mutation.
[29:11.680 --> 29:15.200]  Some genes would be duplicated in the process while other genes were deleted
[29:15.200 --> 29:17.400]  from the clone altogether. However,
[29:17.420 --> 29:22.240]  this study looked at the Thale Cress plant and as similar as regenerative
[29:22.260 --> 29:26.960]  mutation and genetic drift may seem, there's still not the same thing.
[29:27.560 --> 29:29.840]  So that thing we've been calling genetic drift, you guys,
[29:29.880 --> 29:31.320]  we have got to change the word.
[29:31.340 --> 29:35.960]  I think that is more appropriately known as regenerative mutation is what's
[29:35.960 --> 29:39.600]  happening there. So let's move forward with this article.
[29:40.720 --> 29:44.160]  It says another reason we may see changes in some clones is stress.
[29:44.360 --> 29:46.720]  Stress doesn't change the genetic makeup of a clone,
[29:46.740 --> 29:50.480]  but it can change how its genes are expressed through a process called
[29:50.480 --> 29:54.080]  epigenetics, a relatively new field of biology.
[29:54.200 --> 29:55.400]  Over the last few decades,
[29:55.400 --> 29:59.960]  we realized that DNA and genetic expression are not set in stone.
[30:00.240 --> 30:04.360]  The experiences of a parent can change the way their DNA is expressed and they
[30:04.360 --> 30:07.120]  can pass those changes onto their offspring.
[30:08.080 --> 30:11.280]  Epigenetics may explain why people who experienced severe trauma,
[30:11.300 --> 30:15.680]  such as war might beget children who are more prone to disease and mental
[30:15.680 --> 30:16.520]  illness.
[30:16.520 --> 30:20.200]  The stress changed the way the parents genes were expressed and those changes
[30:20.220 --> 30:24.120]  were passed on to their children. Again, the DNA itself didn't change,
[30:24.120 --> 30:28.280]  but little control mechanisms such as chemicals produced to the body or
[30:28.280 --> 30:29.640]  produced by the body, excuse me,
[30:29.840 --> 30:33.960]  changed whether those genes were turned on off or set to overdrive.
[30:34.560 --> 30:36.920]  What are these stress culprits in our cannabis plants?
[30:37.080 --> 30:39.440]  Sometimes a mother plant just gets old.
[30:39.680 --> 30:43.640]  Sometimes her feeding cycle has changed or she gets sick or injured or both.
[30:44.360 --> 30:48.080]  Some growers suspect the heavy use of synthetic fertilizers or hormones may
[30:48.080 --> 30:49.740]  epigenetically alter their mothers,
[30:50.000 --> 30:52.680]  causing the clones to lose some desired trait.
[30:53.200 --> 30:55.160]  When it comes to making clones, remember this,
[30:55.160 --> 30:58.120]  the act of cloning is a stressful act.
[30:58.160 --> 31:01.720]  You're damaging tissue by severing part of the plant from itself.
[31:02.120 --> 31:05.240]  Clones also get transplanted and transported all over the place,
[31:05.260 --> 31:08.560]  which can induce stress. Once this happens dozens,
[31:08.580 --> 31:10.800]  if not hundreds of times to a series of clones,
[31:11.040 --> 31:15.480]  we may end up with different qualities in our clones than we started with.
[31:15.880 --> 31:20.840]  Again, that article was from CannabisIndustryInstitute.com by Randy Robinson.
[31:21.040 --> 31:24.800]  I hope you guys learned as much as I did because I thought that article got
[31:24.800 --> 31:28.040]  right to the point. It taught me a lot and I really enjoyed it.
[31:28.080 --> 31:33.080]  So we can't say genetic drift anymore because genetic drift only happens in
[31:33.320 --> 31:35.400]  something that produces sexually.
[31:35.400 --> 31:40.040]  The new word is regenerative mutation, regenerative mutation.
[31:40.040 --> 31:43.280]  You guys drop that one in the clone room tomorrow when you're working and watch
[31:43.280 --> 31:46.000]  the lead grower look confused. Watch him look intimidated. Like, oh shit,
[31:46.000 --> 31:48.760]  this guy knows more than me. Also keep in mind,
[31:49.200 --> 31:50.960]  they mentioned the phrase sampling error.
[31:51.000 --> 31:55.200]  That's from people taking shitty clones or taking clones improperly or improper
[31:55.200 --> 31:58.120]  care of plants or taking a clone from an unhealthy mother plant.
[31:58.400 --> 31:59.480]  That's a sampling error.
[31:59.480 --> 32:03.280]  And also another cause for what we used to think was genetic drift.
[32:03.300 --> 32:05.600]  Now we're going to call it regenerative mutation.
[32:05.800 --> 32:09.000]  So that's a new conversation in the grow room. Have fun with that tomorrow.
[32:09.160 --> 32:11.080]  Now what we thought we were seeing may be happening,
[32:11.400 --> 32:15.040]  but we were just identifying it incorrectly. Again, it's not genetic drift,
[32:15.040 --> 32:16.720]  but a regenerative mutation.
[32:16.720 --> 32:18.880]  I would assume the health of the donor plant,
[32:19.160 --> 32:22.240]  the stress and experience of cloning, the environment,
[32:22.240 --> 32:23.800]  it's all got a lot to do with this process.
[32:23.800 --> 32:28.760]  I still suspect most of what we see as grower error or plant reaction to poor
[32:28.760 --> 32:33.560]  stress or poor environment or poor cloning technique or unclean cloning area.
[32:33.560 --> 32:36.960]  It's usually a vapor pressure deficit issue or pest or pathogen issue,
[32:37.320 --> 32:39.600]  if not some sort of shock during the cloning process.
[32:39.600 --> 32:43.280]  We basically we're grabbing a plant and we're amputating the arm and we're
[32:43.280 --> 32:44.480]  trying to make it regrow.
[32:45.240 --> 32:48.280]  So we give a lot of opportunity for problems during cloning.
[32:48.280 --> 32:50.160]  Imagine if I cut off your arm in the clone room, right?
[32:50.160 --> 32:53.080]  Go think about wherever you take clones, stand in the middle there.
[32:53.520 --> 32:56.560]  Now I'm just going to grab a giant fucking knife and I'm going to cut your arm
[32:56.560 --> 33:01.560]  off. Now, would you feel clean and safe with an open wound in that room?
[33:01.560 --> 33:03.640]  Are you cool with that? Like, are you going to be like, yeah,
[33:03.640 --> 33:06.480]  this is totally sanitary. Go ahead and set my arm on that table.
[33:06.720 --> 33:08.600]  Like do you think that table where you set your clones,
[33:08.600 --> 33:11.280]  do you think that's cool for your freshly amputated arm?
[33:11.600 --> 33:13.480]  Like do you think that's going to be all right? Do you?
[33:13.960 --> 33:18.680]  And then also would you want me to cut your arm off while you're feeling strong
[33:18.680 --> 33:22.200]  and healthy? Like, let me give you a month to work out and get fucking tough.
[33:22.200 --> 33:24.600]  To where when you cut it off, you still got like some strength to you.
[33:24.600 --> 33:27.640]  Maybe we could get it stapled back on or something and we can get it to
[33:27.640 --> 33:30.320]  regenerate because you're still young and you're still healthy and you just got
[33:30.320 --> 33:31.880]  super strong and you've been eating well.
[33:32.280 --> 33:36.000]  Or do you want us to wait until you're 90 years old and cut your arm off and try
[33:36.000 --> 33:39.360]  to super glue and staple that bitch back on when you're using most of your
[33:39.360 --> 33:42.560]  energy just to live because you haven't been eating well and your body's all
[33:42.560 --> 33:45.720]  frail by now. So think about where the clones come from.
[33:45.720 --> 33:49.840]  The best way to prevent regenerative mutation is to keep healthy mother plants.
[33:49.840 --> 33:51.640]  Take your clones from healthy mother plants,
[33:51.640 --> 33:55.600]  have a sterile cloning area and a solid cloning method.
[33:55.600 --> 33:58.440]  Write some SOPs, go read some cloning techniques.
[33:58.680 --> 34:02.320]  I'll put out another cloning podcast very soon here. I've got one out already.
[34:02.560 --> 34:07.200]  I plan on putting out a revised cloning episode here in just a few
[34:07.200 --> 34:10.520]  weeks. So if you see your mother plant getting weak,
[34:10.600 --> 34:12.920]  cut some clones right away for safekeeping.
[34:12.960 --> 34:15.480]  As soon as you see her looking shitty, just take a few clones.
[34:15.680 --> 34:17.880]  I'm always pulling clones off of plants all the time anyway,
[34:17.880 --> 34:20.920]  just to have fresh mother plants, just to keep the cycle going. Uh,
[34:20.920 --> 34:23.960]  sometimes I know that I'm going to want a whole bunch of this plant.
[34:23.960 --> 34:27.480]  So I'll cut like four clones of that and I'll veg those out to get them kind of
[34:27.480 --> 34:27.760]  big.
[34:27.760 --> 34:30.240]  And then I'll take all my clones off of those four and they just become
[34:30.240 --> 34:33.800]  sacrificial plants. They die. But then I've got tons of clones from them.
[34:34.080 --> 34:35.880]  Just get good at cloning,
[34:35.880 --> 34:39.760]  get good at identifying problems in your mother plants and have timing and know
[34:39.960 --> 34:41.680]  when that mother plant starting to burn out.
[34:42.000 --> 34:44.720]  But you also have to be able to tell if you've got issues. Do you have spider
[34:44.720 --> 34:47.480]  mites? Do you have russet mites? Do you have something eating at the roots?
[34:47.480 --> 34:51.240]  Do you have a problem making that mother plant get tired? So figure that out.
[34:51.400 --> 34:54.360]  And if it looks like she's healthy and she's just burning out on you,
[34:54.720 --> 34:55.520]  clone off of her,
[34:55.560 --> 34:58.360]  get some plenty of clones and then get those clones rooted,
[34:58.360 --> 34:59.800]  put them under a lot of light,
[34:59.840 --> 35:04.040]  feed them very well and get those back to super health.
[35:04.080 --> 35:06.080]  And then clone off of those for your next run.
[35:06.360 --> 35:08.960]  Also, if you're doing the clone off your veg plants,
[35:08.960 --> 35:12.360]  clone off your veg plants, clone off your veg plants. Again, same thing.
[35:12.360 --> 35:15.320]  Just make sure your veg plants are super healthy. You know what I mean?
[35:15.320 --> 35:17.840]  If you're doing it, you grow your veg plants right before you flower.
[35:17.840 --> 35:21.000]  You take a couple clones off of those. Those become the next generation.
[35:21.320 --> 35:24.120]  You put everything into flower except your little clones. The clones root,
[35:24.440 --> 35:27.080]  those become the next generation. You take a couple of clones off of those,
[35:27.080 --> 35:29.840]  put them into the flower room. You guys understand how it goes.
[35:30.040 --> 35:32.800]  So that's how a lot of perpetual grows work. You guys,
[35:32.920 --> 35:35.960]  you're not going to get problems if you do things correctly.
[35:35.960 --> 35:37.240]  If you keep everybody healthy,
[35:37.760 --> 35:42.040]  it'll take a long time to cause regenerative mutation problems.
[35:42.720 --> 35:44.960]  All right, you guys, that is my report on genetic drift.
[35:44.960 --> 35:48.560]  Now known as regenerative mutation. I hope you learned as much as I did.
[35:49.120 --> 35:52.600]  Visit the website where I found the article that is cannabisindustryinstitute.com.
[35:54.560 --> 35:56.800]  They have a lot of great informative articles.
[35:56.800 --> 36:00.640]  This was the first time I visited the website, but it will not be the last.
[36:01.360 --> 36:03.360]  All right, podcast world. I'm going to start wrapping up the show.
[36:03.360 --> 36:04.600]  I want to thank you guys for hanging out.
[36:04.880 --> 36:06.760]  Make sure you support the Hella Dank Seed company.
[36:06.760 --> 36:08.720]  You can find them at dankseed.store.
[36:08.920 --> 36:12.640]  I would appreciate it if you find me on all of the social media on Facebook.
[36:12.840 --> 36:16.440]  It's the Grow From Your Heart podcast on Instagram. It's IreeGenetics,
[36:16.440 --> 36:20.640]  Iree underscore genetics on Instagram, on Twitter. It's at GFYH podcast.
[36:20.640 --> 36:23.840]  If you want to follow my personal Twitter, it's at RastaJeff420.
[36:24.040 --> 36:25.960]  Give me a follow. I would appreciate that.
[36:26.200 --> 36:29.200]  If you've got something you'd like to say and you're not into the social media,
[36:29.400 --> 36:31.440]  or if you've got a product you'd like me to review,
[36:31.440 --> 36:34.360]  or perhaps you'd like to sponsor the show, you can send me an email.
[36:34.480 --> 36:37.400]  The email address is growfromyourheart at hotmail.com.
[36:37.520 --> 36:41.000]  You know I would love to hear from you. Don't forget about the YouTube channel.
[36:41.040 --> 36:43.760]  All of the old episodes are available on YouTube.
[36:43.760 --> 36:46.000]  Just simply search for the Grow From Your Heart podcast.
[36:46.280 --> 36:48.720]  You can find every single episode.
[36:49.560 --> 36:51.960]  And if you guys feel that this podcast was educational,
[36:51.960 --> 36:53.320]  informative and or entertaining,
[36:53.320 --> 36:55.480]  and you would like to contribute financially to the show,
[36:55.680 --> 37:00.000]  you can do so by going to patreon.com slash growfromyourheart.
[37:00.280 --> 37:03.040]  All of the information that you need will be right there.
[37:03.160 --> 37:06.720]  And I do appreciate all of the support. Thank you. Ladies and gentlemen,
[37:06.720 --> 37:09.360]  my throat is burning out, so I'm going to wrap up this show.
[37:09.600 --> 37:13.000]  I'll be back in just a few days with a fresh voice and some fresh new content.
[37:13.280 --> 37:16.520]  I'm going to give a huge happy birthday shout out to my buddy Gibbs.
[37:16.720 --> 37:20.280]  And until next time, take a fat dab and give your mom a hug for me.
[37:36.680 --> 37:51.680]  So we do that by having a mother plant. Holy shit.
[37:51.680 --> 37:53.480]  A spider just fell out of the sky at me.
[37:53.920 --> 37:57.360]  Well, that's a little clip we're going to have to fucking save for the end of the show or put somewhere.
[37:57.360 --> 37:58.240]  That was interesting.
