[00:17.920 --> 00:19.720]  Hi-de-lee-ho, Podcast World.
[19:11.560 --> 19:12.560]  Get some skeeter dunks.
[19:12.560 --> 19:13.740]  They're good for you.
[19:13.740 --> 19:15.560]  Get something that makes small bubbles.
[19:15.560 --> 19:20.200]  I don't necessarily use a fogger, but get something that makes the best small bubbles
[19:20.200 --> 19:21.200]  you can find.
[19:21.200 --> 19:27.800]  Again, use a mask and goggles and gloves when you're doing any sort of spray application.
[19:27.800 --> 19:31.720]  Remember, if you put any pesticides in here, let's talk about this.
[19:31.720 --> 19:36.160]  You can foliar feed and apply a pesticide application at the same time.
[19:36.160 --> 19:38.680]  I've mentioned this a couple of times before.
[19:38.680 --> 19:41.640]  My favorite foliar feeding product is Push.
[19:41.640 --> 19:46.360]  That is from the VegBloom company, which is actually hydroponicresearch.com.
[19:46.360 --> 19:48.800]  It's hydroponic-research.com.
[19:48.800 --> 19:53.440]  To the best of my recollection, that is where I remember finding that and buying that, things
[19:53.440 --> 19:54.440]  change on the internet.
[19:54.440 --> 19:58.560]  That may be totally different by now, but Push from the people that make VegBloom is
[19:58.560 --> 19:59.560]  a great product.
[19:59.560 --> 20:03.800]  I will add Push in with other products and pesticides.
[20:03.800 --> 20:10.320]  It would not be uncommon for me to add Push, cow mag, and a little bit of evergreen, and
[20:10.320 --> 20:12.200]  possibly one more pesticide.
[20:12.200 --> 20:13.200]  Let's just pick one.
[20:13.200 --> 20:16.080]  I don't want to even imagine I don't have my notes in front of me.
[20:16.080 --> 20:18.880]  You'd pick another pesticide and mix it right on in there.
[20:18.880 --> 20:20.760]  You're getting your cow mag fixed.
[20:20.760 --> 20:24.680]  You're getting a good push of a boost, and you're getting two pesticide applications
[20:24.680 --> 20:29.240]  at once, attacking from multiple angles to get rid of those pests.
[20:29.240 --> 20:31.680]  That is okay to do in my experience.
[20:31.680 --> 20:35.960]  Maybe mix small batches before you go hard and spray everything and test it out, but
[20:35.960 --> 20:40.880]  in most of my experience, I can mix pesticides and foliar feeds at the same time.
[20:40.880 --> 20:44.120]  When you're doing that, personal protective equipment, I keep saying that.
[20:44.160 --> 20:47.120]  I put some of my notes here in capital bold letters, PPE.
[20:47.120 --> 20:50.160]  I don't want to be the one responsible for getting you sick or injured.
[20:50.160 --> 20:53.080]  I want to make sure you set yourself up for success.
[20:53.080 --> 20:57.680]  Part of success is setting yourself up for the long run by taking good care of yourself
[20:57.680 --> 21:01.640]  with personal protective equipment.
[21:01.640 --> 21:04.840]  There will be a humidity spike after any sort of spray.
[21:04.840 --> 21:06.200]  Be prepared for that.
[21:06.200 --> 21:07.740]  Keep an eye on that on your equipment.
[21:07.740 --> 21:12.400]  Maybe learn to adjust the fans and the blowers to take care of that humidity spike.
[21:12.840 --> 21:17.440]  You may have to dump the humidifier early because there will be more water in the air.
[21:17.440 --> 21:18.480]  I've said this before.
[21:18.480 --> 21:23.200]  If there are no buds, your pesticide and foliar applications will be just fine.
[21:23.200 --> 21:27.200]  If you do have buds, spray lightly.
[21:27.200 --> 21:28.840]  Only spray if you've got a reason.
[21:28.840 --> 21:33.000]  Don't just spray because it's fun, because you heard of a foliar application idea that
[21:33.000 --> 21:34.320]  looked cool.
[21:34.320 --> 21:39.640]  Spray with purpose and intent or it will cause problems, but it can correct a lot of things.
[21:39.640 --> 21:43.520]  If you're applying nutrients directly to the leaf where you see an issue, you'll be
[21:43.520 --> 21:47.440]  amazed at how quickly, if you've got a light issue.
[21:47.440 --> 21:51.240]  If those spider mites have been sucking the life out of your plants, put a touch of base
[21:51.240 --> 21:55.040]  nutrients in with your pesticide, your spider mite spray.
[21:55.040 --> 21:59.440]  I'm going to say evergreen and a little bit of cow mag and a little bit of base nutrients
[21:59.440 --> 22:00.440]  together.
[22:00.440 --> 22:05.440]  After a spider mite infestation, you'll be wiping out the bugs and replenishing the nutrients
[22:05.440 --> 22:06.440]  at the same time.
[22:06.440 --> 22:09.480]  You'll go in and the leaves won't be green or yellow and funky.
[22:09.480 --> 22:10.840]  They'll be green and healthy again.
[22:10.840 --> 22:11.840]  It'll be amazing.
[22:11.840 --> 22:16.080]  All right, I'm going over the notes, making sure I covered all of the notes on the iPad.
[22:16.080 --> 22:19.520]  Then we're going to stare at the computer paper here for a moment, make sure we got
[22:19.520 --> 22:21.080]  all of those.
[22:21.080 --> 22:27.220]  This question was inspired by my friend, GreenVet88224, who did send me a question that I just skipped
[22:27.220 --> 22:31.040]  right over because I wanted to get right to the topic.
[22:31.040 --> 22:35.060]  The leaves can take the nutrients, helps move immobile nutrients.
[22:35.060 --> 22:37.880]  You can feed while the roots are saturated.
[22:37.880 --> 22:38.880]  What else did I write?
[22:38.880 --> 22:40.680]  You can overfeed, so be careful.
[22:40.680 --> 22:45.720]  It's a good way to get pesticides and push products together.
[22:45.720 --> 22:47.680]  And don't over spray your buds.
[22:47.680 --> 22:50.120]  It looks like I have covered all of my notes.
[22:50.120 --> 22:54.920]  Ladies and gentlemen, boys, girls, pimps, hoes, friends, foes, smokers, growers, clone
[22:54.920 --> 23:00.400]  cutters, pollen chuckers, foliar feeders, and root feeders, I want to thank every one
[23:00.400 --> 23:04.240]  of you once again for listening to another episode of this podcast.
[23:04.240 --> 23:06.440]  I said episode, what number is this?
[23:06.440 --> 23:07.440]  708.
[23:07.720 --> 23:11.520]  That is incredible to me to have gotten to 708 episodes.
[23:11.520 --> 23:15.320]  I could not have done it without each and every one of you listening, watching, clicking
[23:15.320 --> 23:18.160]  like, clicking subscribe, supporting me.
[23:18.160 --> 23:20.120]  Thank you, I do appreciate it.
[23:20.120 --> 23:21.760]  Really thank you, thank you.
[23:21.760 --> 23:23.400]  I'm going to keep it going as long as I can.
[23:23.400 --> 23:27.920]  I've got another episode lined up for you talking about prepping for 710.
[23:27.920 --> 23:31.480]  Then the 710 episode is going to be marvelous.
[23:31.480 --> 23:33.840]  We've got our friends, Roz and Ryan joining us.
[23:33.840 --> 23:36.720]  And of course, Pedro from Pedro's Grow Room.
[23:36.720 --> 23:41.600]  Roz and his legal fuckers, whatever you want to call Pedro, I call him my friend Pedro.
[23:41.600 --> 23:42.800]  He's got a lot of cool names.
[23:42.800 --> 23:46.320]  Both of those great gentlemen will be on the show for episode 710.
[23:46.320 --> 23:48.160]  So I've got a lot of great shit lined up for you.
[23:48.160 --> 23:51.080]  I should quit rambling because this was a good podcast.
[23:51.080 --> 23:53.440]  All we can do is ruin it from here.
[23:53.440 --> 23:54.560]  Thanks again for listening.
[23:54.560 --> 23:59.320]  Support the show on Patreon at patreon.com forward slash grow from your heart.
[23:59.320 --> 24:02.480]  Any questions, corrections, comments, or concerns, send me an email.
[24:02.480 --> 24:05.560]  The email address is growfromyourheartathotmail.com.
[24:05.560 --> 24:06.640]  Don't be shy.
[24:06.680 --> 24:08.680]  That is all I've got for you for this episode.
[24:08.680 --> 24:11.400]  I'll be back in a few days with fresh new content.
[24:11.400 --> 24:14.440]  Let's give a big shout out to my buddy Bong Stain Bear.
[24:14.440 --> 24:17.960]  And until next time, take a fat dab and give your mom a hug for me.
