[00:00.000 --> 00:02.000]  3, 2, 1...
[22:20.000 --> 22:26.000]  There's some bud swell in there. There's some green sensation in there. There's a little bit of veg bloom products in there.
[22:26.000 --> 22:30.000]  I use the Shine, but I'm mainly using high quality inputs.
[22:31.000 --> 22:39.000]  So as long as I've got a good substrate for my plants to hang out and the roots to be in, as long as I'm feeding them while I'm not super picky about my soil or my medium,
[22:39.000 --> 22:45.000]  as long as it's kind of fluffy and it's well aerated and it's a good quality and it's clean, then that's what I'm using.
[22:45.000 --> 22:50.000]  But I usually don't use any sort of compost, no manure, anything like that. I live in the city.
[22:50.000 --> 22:56.000]  My neighbors are close. I don't have a lot of space, a lot of yard space, a lot of room for like composting and shit like that.
[22:56.000 --> 23:01.000]  I just got a lot of storage and shit like that, taking up all my space. So that's not my style.
[23:01.000 --> 23:10.000]  So no, never done that. Probably won't do that. Just not the way that I grow. I'm more of a commercial grower with a different mindset, doing things a little bit of a different way.
[23:10.000 --> 23:19.000]  The next weird question that I got was, is your real name Jeff? Yeah, the name is Jeff. I am the Lemon Jeffrey. I'm the Jeff behind Lemon Jeffrey.
[23:19.000 --> 23:26.000]  That's why it was named Lemon Jeffrey. That's me, bro. Rasta. Oh God, I'm not even editing that out. Rasta Jeff, Lemon Jeff.
[23:26.000 --> 23:32.000]  That's where all the Jeff stuff comes from. Yes, the name is Jeff. Real name's Jeffrey if you want to get technical.
[23:32.000 --> 23:41.000]  All right. What about old bottles of nutrients? I have unopened quarts of cow mag and containers of great white that are three or more years old.
[23:41.000 --> 23:50.000]  How should I flush them into my septic tank? There's a lot to unpack in that question. A lot of your products should have an expiration date printed on them.
[23:50.000 --> 23:55.000]  If you look on the lid or on the bottom of the bottle somewhere, there should be an expiration date.
[23:55.000 --> 24:04.000]  I don't know what those companies recommend for storage for long term use. If they're more than a year old, I generally get rid of them.
[24:04.000 --> 24:10.000]  The quarts of cow mag. I would open up and smell it. See what it smells like. If it smells like cow mag should.
[24:10.000 --> 24:15.000]  If you've been using cow mag for a while, you know what it smells like. It smells like cow mag, like a bottle of cow mag.
[24:15.000 --> 24:22.000]  It's got a very distinct smell to it. When you get it on your fingers, you smell it all day. It's not terrible, but it's got a very noticeable aroma.
[24:22.000 --> 24:28.000]  Smell them. See if they're okay. I would consider using the cow mag maybe if it's past its expiration date.
[24:28.000 --> 24:36.000]  If you can toss it and get another one, if it's affordable, I would just do that. Don't risk it. If it's chunky, if it smells bad, then toss it immediately.
[24:36.000 --> 24:47.000]  Check for an expiration date. The great white. I don't know how hot or cold you've had those stored. I don't know how dry or moist in which the environment in which those were stored has been.
[24:48.000 --> 24:58.000]  But if it hasn't changed colors, I think it starts off like a whitish gray. If it hasn't turned purple or too dark and it hasn't clumped up and gotten chunky, it's probably okay to use.
[24:58.000 --> 25:06.000]  The good thing is if you use that product and it is expired, you're probably not. Let me try to fucking get my tongue under control here.
[25:06.000 --> 25:14.000]  You're probably not going to cause any harm by using that product. Should it be expired? You've just got a bunch of dead microbes.
[25:14.000 --> 25:20.000]  It'll just be a bunch of inert matter that'll just be just sand basically floating around in your water when you mix it in.
[25:20.000 --> 25:27.000]  So I don't think there will be a problem if you do attempt to use it. However, I would look for a an expiration date on both of those.
[25:27.000 --> 25:36.000]  Maybe I do not work for those companies. I would say maybe contact the vendors, the manufacturers and see how long they recommend you keep them around.
[25:36.000 --> 25:47.000]  If they were in a cool, dry, dark, safe environment, maybe they'll last a little longer. If you had adverse conditions, extremes of one end or the other, they're probably toast and I would consider getting rid of them.
[25:47.000 --> 26:00.000]  If you can afford it, toss them out, get some fresh shit, not talking trash about your budget. I know everybody has shit tightened down right now because of the pandemic, because of the situation in which we are all facing.
[26:00.000 --> 26:11.000]  So I don't really have any solid advice for you. Contact the vendors or check out the products. If the dried products have become purple or chunky and dried up and stuck together, I would toss that.
[26:11.000 --> 26:24.000]  If it's gummy, I would definitely toss that. If the other product is chunky as well, smells bad, if they smell bad, don't use them, get rid of them. Contact the vendors, see what they say, look for that expiration date.
[26:25.000 --> 26:38.000]  Here's another question I found to be kind of funny. This is not grow related. This is just random. It says, what did Walmart do to piss you off? I did not know that I had expressed anywhere that I had any sort of hatred or anger toward Walmart, but I just thought this was funny.
[26:38.000 --> 26:49.000]  It was something I could just address really quickly. I do try to answer all of the Patreon questions and this one came in. So I'm standing by my word and doing my best to answer this. And it could be real quick if I'd quit rambling about it.
[26:49.000 --> 27:03.000]  What did Walmart do to piss me off? Nothing like directly, nothing like they didn't stab me, they didn't punch me. I just don't like the way that Walmart treats the community. I don't think that they're, it's not cool, man. It's Babylon, man.
[27:03.000 --> 27:18.000]  They come to communities and they shut down mom and pop stores and then they build the big Walmart store and then every three blocks you got a Walmart neighborhood market and it makes it hard for the small mom and shop community stores, stores, yes, those two, to stay in business and survive.
[27:18.000 --> 27:36.000]  And as a small business myself, I understand what it's like. We need to make ends meet. We need to pay our employees and fucking handle things. It's a struggle sometimes. So seeing Walmart crush things was kind of weird. And then if you want to get closer to home, my mom no longer works there so I could talk about it. My mom worked at Walmart and they didn't give a fuck about her.
[27:36.000 --> 27:57.000]  I love my mom dearly. She's the most important person in my world, in my life. And Walmart treated my mom like shit. So watching somebody or a company or an entity treat somebody you love more than anything that you wish you could solve all their problems and fucking just pay their way for life, to see that company treat my mama like shit, that made me salty to be quite honest with you.
[27:58.000 --> 28:22.000]  She worked there for years. You guys don't care about what my mom did for Walmart. My mom probably doesn't want her business broadcasted out. But I feel like Walmart did her dirty. So, and not just one time. I just feel like it was a continued fuck you from Walmart to her and to the family just because the way they treated her. She was a kickass employee. I got my work ethic from my mom. And if you guys know me, you know I fucking work my ass off.
[28:22.000 --> 28:45.000]  My mom will work circles around me. She's old enough to be my mama obviously and she will still fucking work circles around me. So I'm salty at Walmart for treating my mama like shit. Anybody that treats your mama like shit you're going to have some hatred for. I don't know that it's hatred. Salty is the word. If I can shop anywhere else, I just go there. There's no need for me to give my money that I work for. My mama works hard for her money.
[28:46.000 --> 29:11.000]  There's no need to spend my money at a company that doesn't give a shit about the people. That does kind of sketchy shady things. I should be careful with what I'm saying because they may fucking delete my sku tag and I may fucking disappear. I may be taken out of inventory and never fucking return here if I keep talking. So I just didn't like the way they treated my mom. She doesn't work there anymore. So we can talk shit now. They can't fire. They can't do a fucking thing. But I just didn't like it. So that's pretty much why I'm salty on Walmart.
[29:11.000 --> 29:40.000]  They didn't do anything directly. They just a bunch of years of just fucking jabs, just being dicks. I don't know. I just didn't care for it. That's not cool. There's probably better places to work. And if you work for Walmart, do your thing. I understand it's a pandemic. Get your fucking paycheck. But, oh man. Yeah, I wouldn't do it. I wouldn't work there. And I'm privileged and blessed. So I understand things are different. But that's what Walmart did to piss me off. They was mean to my mama. And anybody that's got a problem with my mama got a problem with me.
[29:42.000 --> 29:55.000]  Kind of fucking joking, mostly fucking serious. So let's keep moving forward. This is a fun podcast. I like these short questions. This is a good Thursday show. I think this comes out on Thursday. Happy Thursday, y'all. This one goes like this. I'm never going to say y'all again either.
[29:55.000 --> 30:18.000]  Hey, bro. Big fan with a big question. Is flash photography bad for the plants? Could it go as far as making our plants turn into hermaphrodites or express intersex traits? I do not think that flash photography is bad for the plants during the lights on cycle. Don't disrupt the nighttime cycle with flash photography. That will probably piss them off.
[30:19.000 --> 30:41.000]  You can think of it like this. What do you accept when you're sleeping? You want it still dark and quiet, right? Shut the fuck up. Turn off the lights and don't bother me. That's what you want when you're sleeping. Guess what? That's what the plants want. Also, they want to be in a cool temperature, a cool environment. They just don't want to be fucked with. They want it dark. They want it quiet. They want to be left the fuck alone.
[30:42.000 --> 30:58.000]  If I walked into your bedroom when you fell asleep, two or three hours after, just walk in there and start going, hey, could I get you to maybe strike a pose, bitch, and then start taking pictures with flash photography, you're going to throw everything in reach at me. I'm going to have photos of it. It's going to be really funny. I'm going to post them and tag you.
[30:58.000 --> 31:23.000]  But fucking shit's going to come flying at me from all directions. Your glass of water you got by the bedside, that's coming. The book you were reading before bed, that's coming. If I haven't ran yet, you're probably shooting at me by now for taking flash photography of you trying to sleep. You're probably in your undies. Probably don't look your best. Probably all puffy faced and fucking confused. The plants feel the same way. Don't go taking pictures of the ladies in there. Don't take any pictures of ladies in their sleep unless you got their permission, you guys.
[31:24.000 --> 31:38.000]  No ladies, even none of the ladies, all you guys out there listening to me, no ladies want you taking their pictures when they're asleep and that comes down to the cannabis plants and all ladies in our lives don't do it. Skip that. Be a better person than that. That's partly a joke again. Again, completely fucking serious.
[31:38.000 --> 31:56.000]  When they're awake, let them get dressed up. Let them pose. Let them do their thing. Let them be prepared and take all the flash photography you want. I don't think flash photography will harm the plants in the daylight cycle. In the nighttime cycle, yes, you've got the potential to cause huge catastrophic problems with flash photography in my opinion.
[31:56.000 --> 32:13.000]  Just because you're walking in there, you probably got a light on when you go in there. You got to maneuver around the room. You're taking pictures. You're looking at the camera screen, probably using your phone for a flashlight, not even thinking about that being a light. Just take pictures when the lights are on. Use your flash photography at that point. They will be cool. I don't think that'll make them harm.
[32:13.000 --> 32:38.000]  I've been going for a long time. I've got one more question. We're going to finish this page of questions. Then we'll wrap up this random questions episode. This one says another soil question for you. Hey, Ross to Jeff. I know you've worked at a commercial grow in your youth. That's funny in my youth. In my youth, I was a shithead. Most of my commercial growing has been as an adult, but thank you. I appreciate that. Maybe I'm still in my youth. Fuck yeah. Still in my youth.
[32:39.000 --> 32:59.000]  Anyway, it says with all of the craft breweries in Colorado, have you ever heard of anyone making a soil blend containing a percentage of spent barley grains from the brewery? Then they sign their name. I don't know if they want their name said I did not ask. I did not verify, clarify or confirm or deny. So I'm not going to say that. But let's answer the question.
[33:00.000 --> 33:26.000]  I have never heard of that. Honestly, I'm sure it's happening somewhere. I don't think it's happening in a commercial grow because there's probably some stupid rule that bans the brewery from giving out that spent stuff and another stupid rule that would ban the commercial grow from accepting that spent stuff. Honestly, there's probably some logistics that put a big piece of red tape from allowing that to happen.
[33:27.000 --> 33:51.000]  That's just how both of those industries work. They're both highly overly regulated and there would just be I'd probably have to pay a million dollars to buy it and then probably they have to spend a fucking million dollars just to sell it to me. Only the governing agencies would make the $2 million. Both of us would be fucked out of money. That's just how the shit works in commercial cannabis and commercial alcohol production.
[33:51.000 --> 34:15.000]  So I don't know anybody doing that. That's my assumption. By the way. Once again, bro science, bro news, bro info. I don't know anybody doing it. Never heard of it done. Is that a good idea? Containing a percentage of barley grains from the brewery. I don't know. I never thought of that. Never heard of that idea. That's a new one for me, but very creative. And thank you for the podcast content.
[34:15.000 --> 34:42.000]  All right. I think that's as far as I'm going to go with all of these random questions that I've printed out here. This was a fun episode. I had a good time. You guys, thank you for letting me regroup. We had a couple of episodes that were kind of off the rails there. We had a rest in peace episode. Once again, shout out and rest in peace to my buddy, Stoney Scholar. Hope the whole family is recovering well. Hope extended family and all the podcast gang is recovering well. Then we had a birthday episode where the podcast had a birthday. That one wasn't very informative.
[34:42.000 --> 35:05.000]  Now this one we've, uh, we had another episode where I tried to do some educating, answer some questions. Now we've got this episode here where I just did 20 questions with Ross to Jeff. Thank you. Jeez. Excuse me for that. Thank you guys for giving me the opportunity to get my shit back together. Uh, I'm back on the rails. The show will only continue to improve from here. Thank you for hanging out. I think it is time to wrap up this episode. My throat's obviously done. I'm over here.
[35:05.000 --> 35:34.000]  What are the words choking and coughing? I tried to say chalking, which I don't think is a real word. Maybe it is now. All right. This was a fun episode. You guys, thank you for hanging out. Thank you for letting me ramble at you for over 30 minutes. You got a long show out of me. Thank you for hanging out on a Thursday. I'll be back in a couple of days with fresh new content. If you feel like this episode was educational, informative, entertaining, maybe you learned a couple of things. Maybe I improved your garden. Maybe I increased your harvest weight. Maybe you'd like to contribute to the show. All you have to do is visit debbie.com.
[35:35.000 --> 36:02.000]  www.patreon.com forward slash grow from your heart. All of the information you need to support the show will be right there on the screen. Where else do we go from there? Email address. If you've got any questions, corrections, comments, or concerns, you know, I would love to hear from you again. That email address is grow from your heart at hotmail.com. Don't be shy. Send me your questions. We'll get you answered here on the podcast. Again, don't forget about the website at ireegenetics.com.
[36:02.000 --> 36:24.000]  That is all I've got you guys. My voice is done. I need a drink. I need a dab. I need some good food in my life. Then we're going to take some more dabs. Then we're going to take some more dabs. Ladies and gentlemen, be good to one another. Be good to yourself. Be good to the garden. I'll catch you in a couple of days. Let's give a big giant shout out to my friend, Black Thumb Grower. And until next time, take a fat dab and give your mom a hug for me.
