[00:00.000 --> 00:01.000]  Hey, everybody.
[17:40.680 --> 17:44.480]  I wanted to make sure to say thank you to the important people that deserve the thanks.
[17:44.480 --> 17:46.320]  Big thanks to Doug Benson again.
[17:46.320 --> 17:48.280]  Thanks to Jeff Tate, Taylor Tomlinson.
[17:48.280 --> 17:51.080]  Of course, a big shout out to all of my friends at Comedy Works.
[17:51.080 --> 17:54.360]  An extra big shout out to Miss Amy for making the night extra perfect.
[17:54.360 --> 17:56.840]  All right, you guys, I do have more stuff to talk about.
[17:56.840 --> 18:00.800]  I hope you were still listening after I just rambled for 15 minutes about being on a podcast.
[18:00.800 --> 18:02.240]  I hope you didn't get bored with that.
[18:02.240 --> 18:03.240]  Thanks for listening to me.
[18:03.240 --> 18:04.520]  I just wanted to talk about how much fun I have.
[18:04.520 --> 18:06.680]  I used to talk about all kinds of comedy shows.
[18:06.680 --> 18:08.760]  I haven't gotten to do something like that in a while.
[18:08.760 --> 18:10.080]  Really meant a lot to me.
[18:10.080 --> 18:12.280]  Let's talk about the next fun event that is coming up.
[18:12.280 --> 18:15.880]  Ladies and gentlemen, if you listen to the Dude Grows show, you know that we have got
[18:15.880 --> 18:23.200]  the Dude Grows show, concentration celebration coming up on July 13th at Cultivated Synergy.
[18:23.200 --> 18:24.320]  I will be there.
[18:24.320 --> 18:25.800]  Scotty Real will be there.
[18:25.800 --> 18:28.200]  Hopefully the Dude will make it down from Canada.
[18:28.200 --> 18:29.560]  Guru will be there.
[18:29.560 --> 18:31.200]  The Dude Grows crew will be there.
[18:31.200 --> 18:32.640]  I hope you will come join us.
[18:32.640 --> 18:37.080]  Come hang out at the Dude Grows concentration celebration.
[18:37.080 --> 18:42.360]  Join us in a celebration and an educational experience about concentrates.
[18:42.360 --> 18:43.520]  We've got a lot of great ideas.
[18:43.520 --> 18:44.520]  We've got a lot of great people.
[18:44.920 --> 18:46.760]  A lot of great companies coming out.
[18:46.760 --> 18:52.280]  If you are into concentrates, if you are a concentrate connoisseur, a concentrate producer,
[18:52.280 --> 18:56.200]  if you just want to smoke some dabs and meet some people, if you are into the Dude Grows
[18:56.200 --> 19:00.280]  show or the Grow From Your Heart podcast, if you are into cannabis culture and community,
[19:00.280 --> 19:06.600]  I think you will have a great time at the Dude Grows show, concentration celebration.
[19:06.600 --> 19:07.600]  Come hang out.
[19:07.600 --> 19:08.800]  Come take a fat dab.
[19:08.800 --> 19:09.880]  Come grab some seeds.
[19:09.880 --> 19:11.060]  Come meet some friends.
[19:11.060 --> 19:12.960]  Come learn all about concentrates.
[19:12.960 --> 19:13.960]  Join us.
[19:14.400 --> 19:16.160]  Thank you and I look forward to seeing you there.
[19:16.160 --> 19:21.320]  For all of the information that you do need, make sure you check out dudegrows.com.
[19:21.320 --> 19:24.480]  They will have all the ticket info, all the event info.
[19:24.480 --> 19:25.720]  Post it up very soon.
[19:25.720 --> 19:29.960]  I want to give a huge shout out to my buddy Scotty Real for putting together this event.
[19:29.960 --> 19:35.400]  This event started off as a kind of a carbon copy of the original Dude Grows cup, but we
[19:35.400 --> 19:39.760]  realized that we had to change up a few things and it took a lot more effort than we anticipated
[19:39.760 --> 19:43.520]  and it is becoming a really great event because we had to try harder.
[19:43.520 --> 19:45.800]  It made it become an even better event.
[19:45.800 --> 19:50.040]  So I look forward to seeing you, Scotty, the Dude Grows crew, the whole Irie Army and the
[19:50.040 --> 19:57.240]  Grow From Your Heart crew at the Dude Grows concentration celebration, July 13th at Cultivated
[19:57.240 --> 19:58.240]  Synergy.
[19:58.240 --> 20:02.240]  All right, that is a great way to segue into the next note I have got written down.
[20:02.240 --> 20:07.800]  The next note says, tell them about your breeding project and upcoming strains and drop.
[20:07.800 --> 20:08.800]  What?
[20:08.800 --> 20:09.800]  That's right.
[20:09.800 --> 20:15.880]  Around the same time as the Dude Grows concentration celebration, I will have some new seeds available.
[20:15.880 --> 20:16.880]  That's right.
[20:16.880 --> 20:19.600]  I will have Golden Goat feminized seeds available.
[20:19.600 --> 20:23.400]  I will have more Lemon Jeffrey feminized seeds available.
[20:23.400 --> 20:27.320]  I'm also going to release the brand new Orange Gasm.
[20:27.320 --> 20:30.120]  It will be released live at the 710 Cup.
[20:30.120 --> 20:35.360]  It will be available online on 710, but the first place you can get your hands on it will
[20:35.360 --> 20:41.240]  be at the Dude Grows concentration celebration on 713 at Cultivated Synergy.
[20:41.240 --> 20:45.960]  So come say what's up, visit my booth, grab yourself a pack of Golden Goat feminized seeds,
[20:45.960 --> 20:52.020]  get some Lemon Jeffrey fem seeds, and check out that brand new Orange Gasm feminized seeds.
[20:52.020 --> 20:53.020]  What is Orange Gasm?
[20:53.020 --> 20:54.020]  What?
[20:54.020 --> 20:57.640]  That one is platinum tangy pollinated by a reversed Golden Goat.
[20:57.640 --> 21:03.080]  Oh my goodness, it makes the most ridiculous orange sweet candy.
[21:03.080 --> 21:07.400]  It's almost like an orange marmalade, almost like a sweet orange covered in sugar.
[21:07.400 --> 21:08.820]  It is just potent and pungent.
[21:08.820 --> 21:10.080]  It is covered in trichomes.
[21:10.080 --> 21:11.360]  It makes big giant buds.
[21:11.360 --> 21:13.020]  It grows super easily.
[21:13.020 --> 21:15.120]  It takes about eight or nine weeks to finish.
[21:15.120 --> 21:17.840]  I think Orange Gasm is amazing.
[21:17.840 --> 21:20.760]  Hopefully you find that O-Face Pheno in the package.
[21:20.760 --> 21:21.760]  They'll be ready.
[21:21.760 --> 21:27.840]  They will be available at the Dude Grows concentration celebration on 713, and they should be available
[21:27.840 --> 21:31.080]  online at select vendors by 710.
[21:32.080 --> 21:35.640]  All right, podcast world, that is all I've got for you for this quick Thursday episode.
[21:35.640 --> 21:38.360]  Thanks for listening to me talk about the Doug Loves Movies podcast.
[21:38.360 --> 21:42.120]  I hope you go listen to the full episode, have some laughs on me.
[21:42.120 --> 21:46.960]  I also hope you check out my Patreon campaign at patreon.com slash growfromyourheart.
[21:46.960 --> 21:50.960]  Also don't forget about my Facebook page, the Grow From Your Heart podcast on Facebook.
[21:50.960 --> 21:53.720]  Also it's at GFYH podcast on Twitter.
[21:53.720 --> 21:55.160]  Don't forget about the Instagram.
[21:55.160 --> 22:00.240]  And of course, make sure you join the new cannabis social media app called Cannabuzz.
[22:00.240 --> 22:01.240]  I am on Cannabuzz.
[22:01.240 --> 22:03.160]  I post there quite frequently.
[22:03.160 --> 22:04.680]  Please check us out.
[22:04.680 --> 22:07.400]  If you've got something you'd like to say and you're not into all that social media
[22:07.400 --> 22:08.960]  nonsense, you can send me an email.
[22:08.960 --> 22:12.340]  My email address is growfromyourheart at hotmail.com.
[22:12.340 --> 22:14.400]  You know I would love to hear from you.
[22:14.400 --> 22:16.600]  Ladies and gentlemen, I'll be back Monday with a fresh new episode.
[22:16.600 --> 22:20.160]  I want to give a huge shout out to my friends Jordan and Baker.
[22:20.160 --> 22:23.560]  And until next time, take a fat dab and give your mom a hug for me.
