[00:00.000 --> 00:13.360]  Right here we go.
[17:22.640 --> 17:25.240]  means you're getting bigger, better buds at the end.
[17:25.240 --> 17:30.440]  So the overall thing that you're going to see with CO2, if you do it right, is a bigger
[17:30.440 --> 17:31.440]  harvest.
[17:31.440 --> 17:32.440]  You're going to have bigger, fatter buds.
[17:32.440 --> 17:33.440]  You're going to have more vigorous plants.
[17:33.440 --> 17:36.200]  You're going to have healthier plants that eat more and they're going to be able to take
[17:36.200 --> 17:37.520]  a little bit higher temperature.
[17:37.520 --> 17:39.580]  They'll be able to take stress a little bit better.
[17:39.580 --> 17:42.360]  And at the end, you're going to get big, fat, juicy, more potent buds.
[17:42.360 --> 17:44.760]  I don't know about more potent, but bigger and fatter buds.
[17:44.760 --> 17:45.920]  Excuse the more potent part.
[17:45.920 --> 17:48.760]  I tried to sound like a salesman, over-talked myself.
[17:48.760 --> 17:53.320]  Now it goes on to say, are both quality and quantity increased?
[17:53.320 --> 17:56.980]  And what are some best practices regarding feeding temperature and light levels when
[17:56.980 --> 17:59.880]  running moderate to high levels of CO2?
[17:59.880 --> 18:02.680]  Great follow-up question.
[18:02.680 --> 18:05.160]  Quantity will be increased if you do it correctly.
[18:05.160 --> 18:07.800]  I cannot guarantee that quality will be increased.
[18:07.800 --> 18:09.880]  This is another thing that will turbocharge the plants.
[18:09.880 --> 18:14.880]  It may push them to the next level, but it may not increase potency, but it will increase
[18:14.880 --> 18:15.880]  the size of the plants.
[18:15.880 --> 18:17.720]  You'll have more of it there.
[18:17.720 --> 18:22.720]  So I can't guarantee an increase in quality, but I can almost promise an increase in quantity.
[18:22.720 --> 18:26.880]  It says, what are some of the best practices regarding feeding?
[18:26.880 --> 18:29.080]  You're going to keep an eye on the plants.
[18:29.080 --> 18:31.360]  Best practices is always keep an eye on the plants.
[18:31.360 --> 18:35.640]  Let the plants be the fucking boss, but you may be able to increase feeding because now
[18:35.640 --> 18:37.480]  they're metabolizing a little better.
[18:37.480 --> 18:39.320]  You just gave them a little bit of a turbo.
[18:39.320 --> 18:40.560]  Now they could take more.
[18:40.560 --> 18:42.080]  You put a turbocharger on the engine.
[18:42.080 --> 18:43.080]  Now they could take more gas.
[18:43.080 --> 18:44.400]  They could burn more rubber.
[18:44.400 --> 18:46.760]  They might want to eat just a little bit more.
[18:46.760 --> 18:47.760]  You're making them work out.
[18:47.760 --> 18:48.760]  They're going to need more food.
[18:48.760 --> 18:52.720]  It's like you're exercising them more, feed them more.
[18:52.720 --> 18:55.920]  Regarding temperature, you may be able to get them a little bit more warm.
[18:55.920 --> 18:59.760]  I'm not going to promise, but now they may tolerate a little bit higher temperatures
[18:59.760 --> 19:02.120]  with more CO2 in there.
[19:02.120 --> 19:04.120]  Light levels.
[19:04.120 --> 19:06.240]  Always run the most light you can put in there.
[19:06.480 --> 19:10.360]  You can go ridiculous, but always try to have the most lights you can put in there.
[19:10.360 --> 19:12.800]  I'm sure that you're not running ridiculous amounts of light.
[19:12.800 --> 19:13.960]  I would know about that by now.
[19:13.960 --> 19:15.760]  You would have included that in your description.
[19:15.760 --> 19:18.520]  If you've got a thousand watt light, turn it up to a thousand.
[19:18.520 --> 19:20.720]  If you've got LEDs, crank them up.
[19:20.720 --> 19:25.840]  I always say run that light as high as you can for your space and for your allowance.
[19:25.840 --> 19:30.680]  Do your thing, but more light, more light, and then more light.
[19:30.680 --> 19:32.920]  Moderate to high levels of CO2.
[19:32.920 --> 19:35.320]  What do you consider moderate to high levels of CO2?
[19:35.320 --> 19:36.680]  800 is a good start.
[19:36.680 --> 19:37.960]  You can get up to 1600.
[19:37.960 --> 19:40.240]  That's a good range to get into.
[19:40.240 --> 19:43.040]  You'll notice that the higher you go, the more they may eat.
[19:43.040 --> 19:44.720]  They may start speeding up on you.
[19:44.720 --> 19:49.920]  One thing I'm going to mention is once you start feeding them a high level of CO2, don't stop.
[19:49.920 --> 19:53.920]  If you, like you said before, you weren't confident you can keep it at 1600,
[19:53.920 --> 19:56.200]  get to a level you're confident at which you can keep it,
[19:56.200 --> 19:57.600]  and then don't back off from there.
[19:57.600 --> 19:59.160]  Stay there.
[19:59.160 --> 20:02.440]  Run your CO2 during the lights, but not during the dark cycle.
[20:02.440 --> 20:03.960]  We don't need CO2 during the dark.
[20:03.960 --> 20:05.760]  They're putting out their own CO2.
[20:05.760 --> 20:09.760]  If you've got a veg area, pump that air from the veg area into your flower area
[20:09.760 --> 20:11.800]  while it's sleeping, and you'll move that CO2.
[20:11.800 --> 20:15.440]  If the lights are on in your flower area, they can take advantage of that CO2,
[20:15.440 --> 20:20.120]  but run them, run the CO2 during the light cycle, not during the dark cycle.
[20:20.120 --> 20:23.000]  Another thing is smart venting.
[20:23.000 --> 20:26.400]  CO2 is heavier than oxygen, so it's going to fall to the bottom,
[20:26.400 --> 20:29.640]  but if you've got a big carbon filter, and you've got a bunch of air moving,
[20:29.640 --> 20:33.880]  and you're exhausting the room, getting heat out of the room, getting humidity out,
[20:33.880 --> 20:36.000]  you may also be venting out your CO2.
[20:36.000 --> 20:37.880]  So think about your venting.
[20:37.880 --> 20:40.080]  Think about where the CO2 is going to go.
[20:40.080 --> 20:43.000]  A lot of times I've seen guys do it a couple of ways.
[20:43.000 --> 20:45.600]  You get some dry ice and a bucket of water, and you put that in there,
[20:45.600 --> 20:46.800]  and you can see where the air goes.
[20:46.800 --> 20:49.440]  The dry ice will make smoke, and you can see where it goes.
[20:49.440 --> 20:53.000]  Or if you're me, take a fat dab in the room and let it out real slow.
[20:53.000 --> 20:54.320]  Don't blow it, because it'll go that way.
[20:54.320 --> 20:55.440]  Just let it out.
[20:55.440 --> 20:57.320]  Just let your dab out kind of just out of your lungs.
[20:57.320 --> 20:59.480]  You can see where the air flows into your room.
[20:59.480 --> 21:01.640]  Is the shit getting sucked right out of the vent?
[21:01.680 --> 21:03.400]  You have some opportunity for airflow in the room.
[21:03.400 --> 21:04.560]  Adjust some fans.
[21:04.560 --> 21:06.000]  See where the air is flowing.
[21:06.000 --> 21:09.160]  CO2 is slightly heavier than oxygen, so it will fall.
[21:09.160 --> 21:13.080]  So put a fan blowing it back up if you want it to come back up to canopy level.
[21:13.080 --> 21:15.720]  Also, a fan facing up will deter insects.
[21:15.720 --> 21:17.000]  Bugs want to land on the leaves.
[21:17.000 --> 21:18.960]  If you've got a fan going up, they can't land.
[21:18.960 --> 21:19.880]  They get annoyed.
[21:19.880 --> 21:21.440]  They find somewhere else to fucking land.
[21:21.440 --> 21:23.960]  So keep the air moving if you've got CO2.
[21:23.960 --> 21:25.120]  Think about your exhaust.
[21:25.120 --> 21:26.720]  Don't let it get out of the room.
[21:26.720 --> 21:28.080]  I think those are the main things.
[21:28.080 --> 21:28.960]  And don't let the CO...
[21:28.960 --> 21:31.760]  Once you've started giving it CO2, don't stop giving it CO2.
[21:31.760 --> 21:32.840]  There might be something about dreads.
[21:32.840 --> 21:33.280]  What is that?
[21:33.280 --> 21:34.120]  Nope, just a shadow.
[21:34.120 --> 21:34.840]  We're good.
[21:34.840 --> 21:36.240]  All right.
[21:36.240 --> 21:37.040]  We're going to keep moving.
[21:37.040 --> 21:40.720]  It says, I have the ability to dial in my environment perfectly,
[21:40.720 --> 21:43.120]  and I also have a PAR meter to adjust my lighting
[21:43.120 --> 21:48.880]  and can maintain over 1,000 ppfd evenly if needed.
[21:48.880 --> 21:50.520]  Pay attention to the plants there.
[21:50.520 --> 21:52.480]  See if they start acting like they're angry.
[21:52.480 --> 21:54.560]  Give them as much light as you think they'll take,
[21:54.560 --> 21:55.440]  and then pay attention.
[21:55.440 --> 21:57.280]  If they start drooping, if they start curling,
[21:57.280 --> 21:59.200]  if they show you they're angry, they're angry.
[21:59.200 --> 21:59.840]  Pay attention.
[21:59.840 --> 22:02.680]  The plants are the boss.
[22:02.680 --> 22:05.080]  And what kind of room do you have that you can dial in perfectly
[22:05.080 --> 22:08.080]  and get 1,000 ppfd evenly?
[22:08.080 --> 22:09.640]  Bro, good job building that room.
[22:09.640 --> 22:11.160]  Excellent work there.
[22:11.160 --> 22:13.800]  So let the plants decide if they're getting enough light or too much light.
[22:13.800 --> 22:14.680]  Pay attention.
[22:14.680 --> 22:16.520]  By now, you should be able to tell what they're looking like
[22:16.520 --> 22:17.920]  when they've got enough light.
[22:17.920 --> 22:20.520]  Then it goes on to say, thank you for everything you do,
[22:20.520 --> 22:24.360]  and may the only corona in your life have a lime in it.
[22:24.360 --> 22:26.120]  That's a great fucking catchphrase.
[22:26.120 --> 22:26.960]  I love that.
[22:27.000 --> 22:30.000]  I do not drink, but I will have a kombucha with a lime in it.
[22:30.000 --> 22:30.920]  I've got some tea over here.
[22:30.920 --> 22:33.240]  Maybe we'll drop a lime in that for you.
[22:33.240 --> 22:35.120]  Then he sent me a link to some music.
[22:35.120 --> 22:36.400]  A local Detroit rapper.
[22:36.400 --> 22:37.960]  Hopefully he puts a smile on my face.
[22:37.960 --> 22:39.360]  We'll have to check that out.
[22:39.360 --> 22:42.200]  Big shout out to my friend Stone Troutbum for the great message.
[22:42.200 --> 22:42.640]  Thank you, bro.
[22:42.640 --> 22:43.920]  I do appreciate that.
[22:43.920 --> 22:46.520]  I hope I answered your CO2 questions.
[22:46.520 --> 22:48.920]  I know you're a smart guy, so you should be able to make
[22:48.920 --> 22:50.840]  use of the info I gave you.
[22:50.840 --> 22:53.080]  If anybody else out there has a question, of course,
[22:53.080 --> 22:55.040]  patreon.com forward slash grow from your heart,
[22:55.040 --> 22:59.760]  or this one came from growfromyourheartathotmail.com.
[22:59.760 --> 23:01.520]  All right, I want to read one more question.
[23:01.520 --> 23:03.480]  I think that'll be enough for this episode.
[23:03.480 --> 23:06.040]  Trying to get these pages unstuck because I've got concentrates
[23:06.040 --> 23:08.160]  on the table and now everything is sticky.
[23:08.160 --> 23:09.600]  You've heard this story before.
[23:09.600 --> 23:10.280]  This one goes on.
[23:10.280 --> 23:12.560]  It says, hey, Ross to Jeff.
[23:12.560 --> 23:13.960]  And then it says his Instagram name.
[23:13.960 --> 23:18.040]  I go by greenthumbkels on Instagram.
[23:18.040 --> 23:19.160]  It's cool to use my name.
[23:19.160 --> 23:21.480]  You guys give greenthumbkels a follow.
[23:21.480 --> 23:25.160]  It says, I just want to know your rec for a water schedule.
[23:25.160 --> 23:29.920]  I have one res, one pump, and two tents on a 12-hour schedule,
[23:29.920 --> 23:35.240]  one at 7 AM to 7 PM, and the other at 7 PM to 7 AM.
[23:35.240 --> 23:37.800]  I have to water all of my plants at once.
[23:37.800 --> 23:41.400]  When should I set watering for both to get maximum efficiency?
[23:41.400 --> 23:42.600]  Thanks and grow on.
[23:42.600 --> 23:45.920]  I'll be listening as I always do.
[23:45.920 --> 23:47.240]  Yeah, that's a struggle.
[23:47.240 --> 23:49.800]  Not everybody has access to their grow space.
[23:49.800 --> 23:51.440]  Not everybody has perfect conditions.
[23:51.440 --> 23:54.720]  It sounds like our friend has one opportunity per day to water,
[23:54.720 --> 23:57.840]  but they are running two tents on opposite cycles.
[23:57.840 --> 23:59.000]  That is a very good idea.
[23:59.000 --> 24:00.720]  I have done this in one room before.
[24:00.720 --> 24:03.480]  I've got a room that fits two 5 by 5 tents perfectly.
[24:03.480 --> 24:05.000]  It's a spare bedroom.
[24:05.000 --> 24:06.800]  I cannot upgrade the electricity in there,
[24:06.800 --> 24:08.280]  so I can't run both tents at once.
[24:08.280 --> 24:10.280]  It also gets too hot in there.
[24:10.280 --> 24:12.840]  So I've decided to run one.
[24:12.840 --> 24:14.000]  That's harder than it sounds.
[24:14.000 --> 24:16.560]  Run one from 9 AM to 9 PM.
[24:16.560 --> 24:18.640]  The other runs from 9 PM to 9 AM.
[24:18.640 --> 24:20.560]  So I've always got a light on in that room.
[24:20.560 --> 24:23.440]  I'm using that electricity to its maximum efficiency
[24:23.440 --> 24:26.280]  while not blowing anything out and having to do any upgrades.
[24:26.280 --> 24:27.280]  That was a great tent.
[24:27.280 --> 24:28.200]  That worked really well.
[24:28.200 --> 24:29.320]  That was a good cycle.
[24:29.320 --> 24:30.400]  That lasted a long time.
[24:30.400 --> 24:31.920]  That was very productive.
[24:31.920 --> 24:34.880]  Should go back to doing that one day, but it's too hot in that room.
[24:34.880 --> 24:36.920]  So I know I feel your pain.
[24:36.920 --> 24:38.960]  You've got one opportunity to get in there and water.
[24:38.960 --> 24:41.960]  We can't disrupt the dark cycle of the tent that's asleep,
[24:41.960 --> 24:44.240]  but we've got to water the tent that's awake.
[24:44.240 --> 24:49.840]  If you're in there doing it, I would say the time to do it is 645 to 715.
[24:49.880 --> 24:52.200]  That way you're in there 15 minutes before one goes off.
[24:52.200 --> 24:54.240]  You're watering it right as the light goes off.
[24:54.240 --> 24:55.280]  You zip your tent.
[24:55.280 --> 24:56.720]  Good night, sweet dreams.
[24:56.720 --> 24:59.280]  We would rather water in the morning right at the start of the day,
[24:59.280 --> 25:01.120]  but we don't have that opportunity.
[25:01.120 --> 25:03.840]  So that tent gets watered right before nighttime.
[25:03.840 --> 25:05.240]  And this is if this works for you.
[25:05.240 --> 25:07.240]  I don't know if you're watering yourself or if you're...
[25:07.240 --> 25:08.520]  It says you got a pump and a res,
[25:08.520 --> 25:10.520]  so you might be doing fucking auto watering,
[25:10.520 --> 25:11.720]  and we'll talk about that next.
[25:11.720 --> 25:15.360]  But I would get in there 15 minutes before that first light went off.
[25:15.360 --> 25:17.240]  Give yourself 15 minutes to water.
[25:17.240 --> 25:19.080]  It should be long enough to water a tent.
[25:19.080 --> 25:21.360]  Hit them with water, get them wet, do some defoliating,
[25:21.360 --> 25:23.920]  check out whatever needs to be done in the room, zip it up.
[25:23.920 --> 25:24.760]  The lights will go off.
[25:24.760 --> 25:26.080]  The other tent comes on.
[25:26.080 --> 25:28.200]  Water that bad bitch in 15 minutes.
[25:28.200 --> 25:30.720]  Do your defoliating, zip them up and get them out of there.
[25:30.720 --> 25:33.000]  Should take you about 30 minutes to water both of those tents.
[25:33.000 --> 25:35.600]  If you need more time, extend your time, both sides.
[25:35.600 --> 25:36.200]  Make it happen.
[25:36.200 --> 25:38.160]  That way you're in there when the flip happens
[25:38.160 --> 25:40.400]  and you're not disrupting any light cycles.
[25:40.400 --> 25:43.720]  Of course, it is ideal to water right at the lights on time,
[25:43.720 --> 25:44.600]  right at sunrise.
[25:44.600 --> 25:47.720]  That gives the plants all day to metabolize those nutrients you gave them.
[25:47.720 --> 25:49.440]  Then they can rest and sleep at night.
[25:49.440 --> 25:50.600]  They can grow.
[25:50.600 --> 25:52.880]  Babies do their growing when they're sleeping.
[25:52.880 --> 25:54.280]  But you don't have that opportunity.
[25:54.280 --> 25:59.160]  Now, if you can't get in there and water yourself, if you're using a pump
[25:59.160 --> 26:01.080]  and you're using an auto system and a reservoir,
[26:01.080 --> 26:04.640]  why can't we set two timers and have them water at two different times?
[26:04.640 --> 26:06.000]  Maybe you don't have a splitter.
[26:06.000 --> 26:07.320]  Maybe you got to water it all at once.
[26:07.320 --> 26:08.360]  Maybe it's on one split.
[26:08.360 --> 26:10.600]  Maybe it's all on one watering system.
[26:10.600 --> 26:14.160]  In that case, water whenever is best for you.
[26:14.160 --> 26:16.600]  Water when one comes on.
[26:16.600 --> 26:19.320]  Or maybe in the middle of one night cycle.
[26:19.320 --> 26:22.200]  That way one's in the middle of the day and one's in the middle of the night.
[26:22.200 --> 26:22.480]  I don't know.
[26:22.480 --> 26:26.240]  You're going to have to adjust to what works for your life right there, I guess.
[26:26.240 --> 26:29.280]  Because I keep saying it, it's best to water when the lights come on.
[26:29.280 --> 26:33.520]  So maybe your best bet is to water right in the middle of one flower cycle.
[26:33.520 --> 26:35.040]  So you got seven to seven.
[26:35.040 --> 26:35.720]  What's in the middle there?
[26:35.720 --> 26:37.960]  Eight, nine, 10, 11, 12, 1 o'clock.
[26:37.960 --> 26:39.760]  So water at 1 PM.
[26:39.760 --> 26:41.400]  No, water at 1 AM.
[26:41.400 --> 26:44.080]  And that way, one is sleeping and it's only got six hours
[26:44.080 --> 26:44.840]  till the lights come on.
[26:44.840 --> 26:47.520]  You don't spend too much time super wet in the dark.
[26:47.520 --> 26:50.320]  And that way, the other one still got six hours to metabolize.
[26:50.320 --> 26:52.240]  It's still got some water for the dark time.
[26:52.240 --> 26:55.160]  You're going to be OK at any time of the day that you do it, honestly.
[26:55.160 --> 26:57.600]  I know you were looking for a more specific piece of advice,
[26:57.600 --> 27:00.520]  but without knowing if you're the one watering them by hand
[27:00.520 --> 27:03.720]  or if you've got a system to do it, I'm not sure what to tell you.
[27:03.720 --> 27:06.760]  Again, if you're doing it by hand, get in there 15, 20 minutes
[27:06.760 --> 27:10.280]  before one goes off, water it, close it up, open up the next one, do it,
[27:10.280 --> 27:12.680]  get the fuck out for the day, call it a done deal.
[27:12.720 --> 27:16.960]  If it's a machine doing it, anytime, bro, anytime, it's all going to be
[27:17.320 --> 27:20.760]  one of them is going to get watered at a dark cycle at an inopportune time.
[27:21.040 --> 27:22.320]  But they're cannabis plants.
[27:22.320 --> 27:25.200]  They'll survive. They will work. It's not going to be detrimental.
[27:25.360 --> 27:26.800]  All right. I want to thank you for the great message.
[27:26.800 --> 27:30.160]  Big shout out to my friend Green Thumb Kells from Instagram.
[27:30.360 --> 27:32.040]  I do appreciate the message.
[27:32.040 --> 27:36.040]  If anybody else out there has a cannabis cultivation or cannabis culture question,
[27:36.040 --> 27:36.920]  I would love to hear from you.
[27:36.920 --> 27:40.480]  The email address again is growfromyourheartathotmail.com.
[27:40.480 --> 27:41.400]  Don't be shy.
[27:41.440 --> 27:44.000]  Of course, another way to get your question right to the top of the list
[27:44.000 --> 27:48.080]  is through Patreon, patreon.com forward slash grow from your heart.
[27:48.200 --> 27:50.600]  All the info you need is right there on the screen.
[27:51.280 --> 27:53.760]  All right, ladies and gentlemen, boys and girls, pimps and hoes,
[27:53.760 --> 27:56.880]  friends and foes, smokers, growers, clone cutters, pollen chuckers,
[27:57.160 --> 28:00.720]  seed hoarders, joint rollers, blunt smokers and dab takers.
[28:00.920 --> 28:02.800]  I think that includes everybody.
[28:02.800 --> 28:04.840]  I want to thank you guys for listening to this podcast.
[28:04.840 --> 28:05.600]  Thank you for hanging out.
[28:05.600 --> 28:07.920]  This was a fun episode. This flowed quite smoothly.
[28:08.080 --> 28:10.040]  This was all one take. I enjoy that.
[28:10.040 --> 28:11.560]  One take episodes are always great.
[28:12.760 --> 28:15.480]  I want to give a big shout out to my friends at seedsherenow.com.
[28:15.480 --> 28:17.560]  Make sure you check out seedsherenow.com.
[28:17.920 --> 28:21.960]  Use coupon code GFYH10 while you're checking out. Save yourself a few bucks.
[28:22.200 --> 28:24.040]  They do have that under 30 section.
[28:24.240 --> 28:28.320]  I am proud to announce that there is a pack of iRegenetics on the under $30
[28:28.320 --> 28:32.560]  section. You can get a pack of the cream for $30. Make sure you check them out.
[28:32.680 --> 28:36.040]  Use coupon code GFYH10. Save yourself some bucks.
[28:36.040 --> 28:37.800]  Also that lets them know that I sent you,
[28:38.000 --> 28:41.840]  lets them know their advertising is working. Um, if you've got any questions,
[28:41.840 --> 28:45.080]  did I say that part of questions, concerns, corrections, I did email addresses,
[28:45.080 --> 28:48.520]  growfromyourheartathotmail.com can never say that too many times.
[28:48.720 --> 28:51.000]  I'll be back in a couple of days with fresh new content.
[28:51.200 --> 28:54.400]  I want to give a giant shout out to my buddy lemur priest. And until next time,
[28:54.400 --> 28:56.760]  take a fat dab and give your mom a hug for me.
