[00:16.890 --> 00:17.730]  Is that working?
[15:34.320 --> 15:35.900]  They're not doctors, they're bud tenders.
[15:35.900 --> 15:38.160]  Most of them are just 20 something year old chicks
[15:38.160 --> 15:40.280]  and bros that definitely have no qualification
[15:41.000 --> 15:41.840]  to give any medical advice.
[15:41.840 --> 15:42.680]  Don't go in there and ask them
[15:42.680 --> 15:44.160]  what to smoke for your seizures.
[15:44.160 --> 15:45.000]  Don't do that.
[15:45.000 --> 15:46.440]  Do your own research, find the strains that work for you.
[15:46.440 --> 15:47.960]  Don't rely on those folks.
[15:47.960 --> 15:49.080]  Don't put that pressure on them.
[15:49.080 --> 15:49.920]  Don't do that.
[15:49.920 --> 15:51.920]  Don't put your devil magic on me, Ricky Bobby.
[15:51.920 --> 15:53.760]  Then it says any questions related to the health
[15:53.760 --> 15:55.520]  or safety of marijuana concentrates
[15:55.520 --> 15:58.080]  should be discussed with a patient's recommending physician
[15:58.080 --> 16:02.280]  or an adult consumer's primary care physician.
[16:02.280 --> 16:04.000]  And then it has a little disclaimer on the bottom.
[16:04.000 --> 16:05.760]  This will be what we wrap up with.
[16:05.760 --> 16:08.440]  The risks are, these risks are based on Colorado
[16:08.440 --> 16:09.920]  Department of Public Health and Environment
[16:10.560 --> 16:12.120]  evidence statements where there is either moderate
[16:12.120 --> 16:13.200]  or substantial evidence.
[16:13.200 --> 16:15.840]  Where moderate means strong scientific findings
[16:15.840 --> 16:17.320]  that support the outcome, but these findings
[16:17.320 --> 16:20.000]  have some limitations and substantial means.
[16:20.000 --> 16:22.280]  Robust scientific findings that support the outcome
[16:22.280 --> 16:24.280]  with no credible opposing scientific evidence.
[16:24.280 --> 16:26.880]  That's a lot of scientific gibberish that means
[16:26.880 --> 16:28.680]  we did a study and nobody challenged it.
[16:28.680 --> 16:31.240]  Is what I think, no credible opposing scientific,
[16:31.240 --> 16:32.600]  yeah, nobody challenged it.
[16:32.600 --> 16:34.600]  That's what I think that says.
[16:34.600 --> 16:37.160]  On the other side it says the following statements
[16:37.160 --> 16:39.480]  must be included on every container of marijuana
[16:40.040 --> 16:40.880]  and then it shows you some regulations
[16:40.880 --> 16:43.440]  and some other things and some other stuff
[16:43.440 --> 16:44.960]  that doesn't really matter on this one.
[16:44.960 --> 16:48.120]  Then on the back here we have a bunch of reporting agencies.
[16:48.120 --> 16:50.800]  The Rocky Mountain Poison and Drug Center,
[16:50.800 --> 16:54.400]  Suicide Prevention Line, Youth and Marijuana,
[16:54.400 --> 16:56.440]  just weird propaganda phone numbers on the back here.
[16:56.440 --> 16:57.920]  If you do have some problems with something like that,
[16:57.920 --> 16:59.000]  please do reach out to somebody.
[16:59.000 --> 17:01.080]  Take care of your mental and physical well-being
[17:01.080 --> 17:03.720]  and if somebody you know is in immediate,
[17:03.720 --> 17:05.120]  imminent danger, please do reach out
[17:05.120 --> 17:06.600]  and get them the proper care.
[17:06.600 --> 17:09.360]  That's a responsible thing to say as an adult with a show.
[17:10.200 --> 17:11.040]  There's a lot of stuff here on the back
[17:11.040 --> 17:13.280]  that I really honestly found this to be entertaining.
[17:13.280 --> 17:14.520]  When he handed it to me, he's like,
[17:14.520 --> 17:16.200]  here bro, I have to give you this when you dab.
[17:16.200 --> 17:18.680]  I was like, bro, we've been buying dabs for years
[17:18.680 --> 17:20.480]  and they just now realized we needed
[17:20.480 --> 17:22.840]  a little propaganda pamphlet.
[17:22.840 --> 17:24.000]  Pretty funny, pretty cool.
[17:24.000 --> 17:25.120]  Hope you guys enjoyed it.
[17:25.120 --> 17:26.520]  I'm gonna take a quick drink,
[17:26.520 --> 17:29.000]  then we're gonna talk about a mail plant question
[17:29.000 --> 17:31.160]  that I got from our friends on YouTube.
[17:34.670 --> 17:36.350]  All right, as promised, I took a drink
[17:36.350 --> 17:38.710]  and now I am back to talk about a mail question
[17:38.710 --> 17:40.590]  that I did get from YouTube.
[17:41.430 --> 17:42.270]  Most of the time, I don't check a lot
[17:42.270 --> 17:43.750]  of the YouTube comments and answer a lot of the questions
[17:43.750 --> 17:45.510]  from there because I prefer them to come in an email.
[17:45.510 --> 17:47.030]  It's easier to print and manage.
[17:47.030 --> 17:48.990]  However, this one did get my attention.
[17:49.910 --> 17:51.190]  It goes a lot like this.
[17:51.190 --> 17:52.950]  First of all, it came from Be Real,
[17:52.950 --> 17:54.230]  but not the original Be Real.
[17:54.230 --> 17:57.310]  It is B-E-E Real, the other Be Real.
[17:57.310 --> 18:00.350]  And it says, how do you measure the potency of a mail plant?
[18:00.350 --> 18:02.030]  That's a very good question.
[18:02.030 --> 18:04.070]  With a female plant, we get buds, we get flowers.
[18:04.070 --> 18:06.430]  You dry them, cure them, smoke them, enjoy them.
[18:06.430 --> 18:08.270]  Then you go, that one's good, that one's not as good,
[18:08.270 --> 18:09.390]  that one tastes good.
[18:09.390 --> 18:11.270]  You get your own judgment, your own opinions.
[18:11.270 --> 18:13.630]  Or you can take it to the lab, that's always an option.
[18:13.630 --> 18:16.390]  But you don't get that option with a male plant.
[18:16.390 --> 18:17.910]  There's a different process with that.
[18:17.910 --> 18:18.990]  I do have a bunch of notes here.
[18:18.990 --> 18:20.150]  Let me keep myself on track
[18:20.150 --> 18:22.990]  because I do like to start rambling, talk over my notes.
[18:22.990 --> 18:24.470]  So mail potency question,
[18:24.470 --> 18:25.870]  how do you measure the potency of a mail?
[18:25.870 --> 18:28.950]  The first thing I do when I'm growing a mail plant
[18:28.950 --> 18:30.510]  and looking to work with the mail plant
[18:30.510 --> 18:32.230]  is it's always a visual inspection.
[18:32.230 --> 18:33.050]  You gotta look at it.
[18:33.050 --> 18:33.890]  What does it look like?
[18:33.890 --> 18:35.190]  Does it have the traits you're looking for?
[18:35.190 --> 18:38.310]  Does it reach the criteria, meet the criteria
[18:38.310 --> 18:39.750]  which you have set for that mail plant?
[18:39.750 --> 18:40.590]  What's your goal?
[18:40.590 --> 18:41.410]  What are you trying to do?
[18:41.410 --> 18:44.870]  Now potency, if it makes trichomes, it's gonna be potent.
[18:44.870 --> 18:46.910]  That's one of the visual cues for potency,
[18:46.910 --> 18:48.390]  probably the main visual cue.
[18:48.390 --> 18:50.290]  But make sure it's got all the other criteria.
[18:50.290 --> 18:52.990]  Potency isn't the only thing that you're looking for
[18:52.990 --> 18:53.870]  when it comes to a mail.
[18:53.870 --> 18:56.790]  You need structure, vigor, shape,
[18:56.790 --> 18:59.510]  resistance to pathogens, resistance to bugs,
[19:00.750 --> 19:04.350]  appropriate flowering time, amount of pollen that it dumps.
[19:04.350 --> 19:05.710]  There's a lot of other things to think about.
[19:05.710 --> 19:07.350]  I've done a lot of shows about that.
[19:07.350 --> 19:08.750]  So visually look at the plant.
[19:08.750 --> 19:10.110]  Make sure it's something you wanna work with.
[19:10.110 --> 19:11.130]  Do you see trichomes?
[19:11.130 --> 19:14.890]  That is going to be a good indicator of a nice, potent mail.
[19:14.890 --> 19:16.350]  Now, the next step,
[19:16.350 --> 19:17.950]  since we don't get to smoke the mail plant,
[19:17.950 --> 19:20.250]  I mean, you can, but DJ Short does it.
[19:20.250 --> 19:21.090]  That's not my style.
[19:21.090 --> 19:22.070]  I don't wanna smoke the mail plants.
[19:22.070 --> 19:23.590]  I don't wanna drive out and smoke them.
[19:23.590 --> 19:25.430]  I, instead, I do this.
[19:25.430 --> 19:27.450]  I find multiple female plants.
[19:27.450 --> 19:28.550]  I've got one mail plant,
[19:28.550 --> 19:30.030]  a dude that I think is gonna be good.
[19:30.030 --> 19:31.430]  This is why breeding takes a while.
[19:31.430 --> 19:33.150]  This is why selection takes a minute.
[19:33.150 --> 19:34.670]  This is why seeds are expensive.
[19:34.670 --> 19:36.830]  You find one mail plant that you wanna work with.
[19:37.350 --> 19:38.590]  This is at least how I would.
[19:38.590 --> 19:39.870]  So I'd grow a few mails.
[19:39.870 --> 19:42.030]  I'd grow a few mails and I'd look visually
[19:42.030 --> 19:43.950]  and I'd pick one out of those.
[19:43.950 --> 19:45.310]  And that one that I selected,
[19:45.310 --> 19:46.310]  all the others would be gone.
[19:46.310 --> 19:47.550]  All the pollen would be cleaned up.
[19:47.550 --> 19:49.830]  Now, if you've got a fresh room with one mail plant,
[19:49.830 --> 19:52.870]  I would introduce multiple female plants
[19:52.870 --> 19:54.750]  of different genetics.
[19:54.750 --> 19:56.530]  There'd be like, in my case,
[19:56.530 --> 19:58.510]  it'd probably be a strawberry starburst plant,
[19:58.510 --> 20:00.710]  a sun kiss plant, a blueberry cookies plant,
[20:00.710 --> 20:02.230]  a lemon skunk plant.
[20:02.230 --> 20:05.350]  Those plants are all different enough in growth,
[20:05.350 --> 20:09.310]  flavor, aroma, leaf shape, plant structure,
[20:09.310 --> 20:11.630]  that I can tell what the mail plant is going to add
[20:11.630 --> 20:13.530]  when I breed to those.
[20:13.530 --> 20:16.190]  So I would pollinate several female plants
[20:16.190 --> 20:18.270]  that are different in lots of ways,
[20:18.270 --> 20:22.230]  visually, aromatically, buzz-wise, flowering times,
[20:22.230 --> 20:23.630]  so that we can kind of,
[20:23.630 --> 20:25.710]  what we're trying to do is we're mixing this paint
[20:25.710 --> 20:28.510]  with other colors to see what other colors we create.
[20:28.510 --> 20:29.450]  That's really what we're doing,
[20:29.450 --> 20:32.070]  but we wanna be able to see the other colors
[20:32.070 --> 20:33.350]  and we wanna see what mixes,
[20:33.350 --> 20:35.070]  what these two colors mix like.
[20:35.790 --> 20:36.630]  So we're trying to put reds and blues together
[20:36.630 --> 20:37.450]  to get purple.
[20:37.450 --> 20:38.430]  If you put a bunch of purple together,
[20:38.430 --> 20:40.230]  you're just gonna get more fucking purple
[20:40.230 --> 20:41.430]  and you won't know what happened.
[20:41.430 --> 20:43.710]  So try to find reds, try to find blues,
[20:43.710 --> 20:45.030]  try to find things that are opposite
[20:45.030 --> 20:47.110]  so we can blend those, breed those together
[20:47.110 --> 20:48.210]  and see what we've created.
[20:48.210 --> 20:49.790]  So the first step, pollinate.
[20:49.790 --> 20:51.790]  No, first step, selection.
[20:51.790 --> 20:55.470]  Select males, select females, do a pollination.
[20:55.470 --> 20:58.150]  One male to several female plants.
[20:58.150 --> 21:01.110]  Finish them, gather the seeds, keep the seeds separate.
[21:01.110 --> 21:02.830]  The seeds that came out of the strawberry plant,
[21:02.830 --> 21:03.770]  they're staying over here.
[21:03.770 --> 21:05.330]  The seeds that came out of the sun kiss,
[21:05.330 --> 21:06.170]  staying over here.
[21:06.170 --> 21:07.670]  Seeds that came out of blueberry cookies,
[21:07.670 --> 21:08.510]  staying over here.
[21:08.510 --> 21:09.370]  Same with all the way down the line.
[21:09.370 --> 21:11.230]  I think lemon skunk was the other one I said.
[21:11.230 --> 21:12.610]  We're gonna keep all those seeds separate,
[21:12.610 --> 21:14.690]  labeled, sealed, safe, secure.
[21:14.690 --> 21:16.970]  Then I'm gonna grow as many as I can
[21:16.970 --> 21:19.250]  of each one of those batches of seeds
[21:19.250 --> 21:22.270]  in the same, as close to the same environment
[21:22.270 --> 21:23.290]  as I possibly can.
[21:23.290 --> 21:26.170]  I'm gonna try to get somewhere between 10 and 100 seeds.
[21:26.170 --> 21:28.810]  We're just gonna say the blueberry cookies to our new male.
[21:28.810 --> 21:30.530]  I'm gonna bust out 100 seeds of those
[21:30.530 --> 21:32.490]  and grow them and see what I get.
[21:32.490 --> 21:33.650]  I'm gonna take a lot of notes.
[21:34.610 --> 21:35.930]  I'm gonna note the growth structure,
[21:35.930 --> 21:37.550]  the speed of the growth, the leaf shape,
[21:37.550 --> 21:40.770]  the shape of the plant, different phenotypes that I see.
[21:40.770 --> 21:41.730]  I'm just gonna make notes.
[21:41.730 --> 21:43.330]  Are there any weird anomalies?
[21:43.330 --> 21:46.470]  Are there any weird mutations or strange things
[21:46.470 --> 21:48.370]  that I notice in that batch?
[21:48.370 --> 21:50.290]  Make all of the notes you can think about.
[21:50.290 --> 21:52.230]  Then, once you've grown that batch,
[21:52.230 --> 21:53.770]  run another batch of something different.
[21:53.770 --> 21:54.810]  I said the blueberry this time.
[21:54.810 --> 21:56.050]  Let's do the strawberry next time
[21:56.050 --> 21:57.130]  because that's gonna be way different.
[21:57.130 --> 21:59.450]  You got blueberry and kind of funky Skittles
[21:59.450 --> 22:01.890]  and you got sweet strawberry, bubblegum, watermelon.
[22:01.890 --> 22:02.730]  Let's do that one.
[22:02.730 --> 22:04.570]  Run the strawberry to our new male.
[22:04.570 --> 22:07.490]  Once again, look for anomalies, look for growth structure,
[22:07.490 --> 22:10.650]  look for shape, look for any sort of things that stand out.
[22:10.650 --> 22:13.250]  Document everything that you can.
[22:13.250 --> 22:14.890]  We're gonna do this with all of the seeds
[22:14.890 --> 22:16.610]  that we have made with every batch,
[22:16.610 --> 22:20.770]  the strawberry, blueberry, sunkiss, and the lemon skunk.
[22:20.770 --> 22:22.650]  And now what we're gonna start to see
[22:22.650 --> 22:26.130]  is what that male adds to the mix with each plant
[22:26.130 --> 22:28.270]  because if you only pollinate one plant,
[22:28.270 --> 22:30.250]  then you only know it's kind of a,
[22:30.250 --> 22:32.010]  what is it, a 50-50 crapshoot.
[22:32.010 --> 22:33.450]  Maybe that's what it does.
[22:33.450 --> 22:35.650]  But if you pollinate multiple different females,
[22:35.650 --> 22:38.990]  then you can see what that male does,
[22:38.990 --> 22:40.770]  what it provides, what it offers
[22:40.770 --> 22:43.050]  to other female plants when you breed to it
[22:43.050 --> 22:45.430]  because it's all about the combination of what comes out.
[22:45.430 --> 22:49.850]  We want a new plant that outperforms the original plant
[22:49.850 --> 22:52.350]  in a couple of ways, but we also need vigor,
[22:52.350 --> 22:55.750]  structure, resistance, potency, aroma.
[22:55.750 --> 22:58.050]  We need all of that stuff and it needs to be better
[22:58.050 --> 22:59.690]  than the original plant we started with
[22:59.690 --> 23:01.830]  or we're not doing the plant any good.
[23:02.790 --> 23:04.230]  So, let's take a look at some of the things
[23:04.230 --> 23:06.430]  that are happening in the evolution of cannabis.
[23:06.430 --> 23:09.110]  So, pollinate a bunch of females, grow them out,
[23:09.110 --> 23:11.270]  then take a lot of notes and see what you've got.
[23:11.270 --> 23:14.030]  Then compare your notes as the grower, as the breeder.
[23:14.030 --> 23:16.470]  This will start coming to you naturally as you're doing it.
[23:16.470 --> 23:19.470]  You'll say, oh, I added, let's just say that your male,
[23:19.470 --> 23:21.470]  maybe I'm gonna say that it had chocolate.
[23:21.470 --> 23:22.550]  We're just gonna guess chocolate.
[23:22.550 --> 23:24.150]  Chocolate's a good flavor, a good trait,
[23:24.150 --> 23:25.630]  something we would all enjoy.
[23:25.630 --> 23:27.430]  We're gonna say that male adds chocolate.
[23:27.430 --> 23:29.950]  We don't know that yet, but we're going to breed
[23:29.950 --> 23:32.830]  orange and lemon, padau, it happened, now we grow it.
[23:32.830 --> 23:34.630]  Now we're starting to get, in the blueberry,
[23:34.630 --> 23:38.470]  I noticed like a chocolate, dark chocolate, blueberry,
[23:38.470 --> 23:39.950]  peanut butter sort of a smell going on.
[23:39.950 --> 23:40.790]  That's kind of interesting.
[23:40.790 --> 23:42.710]  Some of the phenotypes have a lot of chocolate in them.
[23:42.710 --> 23:45.470]  I grew the strawberry out, got a lot of strawberry turps.
[23:45.470 --> 23:47.470]  There's some watermelon turps like we expected,
[23:47.470 --> 23:49.710]  but then some of them have chocolate.
[23:49.710 --> 23:50.550]  Hey, guess what?
[23:50.550 --> 23:53.030]  I wonder if that male is contributing chocolate turps.
[23:53.030 --> 23:54.270]  Is that what it's doing?
[23:54.270 --> 23:57.070]  Also, I noticed that they all grow super wildly tall.
[23:57.070 --> 23:58.590]  Is that what the male's doing?
[23:58.590 --> 24:00.310]  You'll start noticing commonalities
[24:00.310 --> 24:02.590]  amongst the different crosses that you've made,
[24:02.590 --> 24:05.350]  and that's how you identify what the male is doing.
[24:05.350 --> 24:07.550]  You'll start noticing when I cross it to the lemon skunk
[24:07.550 --> 24:10.230]  that I get chocolate and lemons, and that's how you say,
[24:10.230 --> 24:12.930]  oh, maybe that plant puts out chocolate turps,
[24:12.930 --> 24:15.430]  or maybe it makes, I said a minute ago, it gets really tall,
[24:15.430 --> 24:17.710]  or maybe you'll notice that everything you bred it to
[24:17.710 --> 24:19.710]  flowers super quickly.
[24:19.710 --> 24:21.510]  Also, there could be negative traits.
[24:21.510 --> 24:23.730]  Sometimes the male plants, if they don't get enough light,
[24:23.730 --> 24:25.630]  if they start to get root bound, if they get thirsty,
[24:25.630 --> 24:28.070]  if they get overfed, they'll just start auto flowering
[24:28.070 --> 24:29.510]  without you telling them to.
[24:29.510 --> 24:30.990]  That's a problem for a male plant
[24:30.990 --> 24:33.550]  because that trait will be passed on to its progeny.
[24:33.550 --> 24:34.950]  Those plants will start flowering
[24:34.950 --> 24:36.790]  whenever there's a problem, and your customers,
[24:36.790 --> 24:38.870]  or you, or whoever ends up with those seeds
[24:38.870 --> 24:41.410]  will not be happy with that if they're looking for
[24:41.410 --> 24:43.430]  a regular photo period plant.
[24:43.430 --> 24:46.430]  So, the best way to do it, pollinate them.
[24:46.430 --> 24:49.190]  Pollinate a bunch of females, keep the seeds separate,
[24:49.190 --> 24:52.610]  grow them, observe, take notes, then find commonalities
[24:52.610 --> 24:54.790]  to see what that male plant is doing.
[24:54.790 --> 24:57.890]  I know it sounds like a lot of work, and it is.
[24:58.710 --> 25:00.570]  Each pollination is going just to veg and flower the plants.
[25:00.570 --> 25:02.250]  You got 100 days right there.
[25:02.250 --> 25:03.650]  Then you've gotta grow out those seeds.
[25:03.650 --> 25:05.690]  There's another 100 days right there.
[25:05.690 --> 25:06.990]  Depending on how many you can grow,
[25:06.990 --> 25:08.370]  you've gotta do multiple cycles.
[25:08.370 --> 25:10.050]  So, that could take you quite a while.
[25:10.050 --> 25:11.390]  That's why seeds are expensive.
[25:11.390 --> 25:14.070]  That's why breeders charge money for our work.
[25:14.070 --> 25:15.970]  That's why we ask for a compensation
[25:15.970 --> 25:16.930]  for the seeds we give you.
[25:16.930 --> 25:18.770]  That's how we build a reputation,
[25:18.770 --> 25:20.610]  is by doing that work and putting out seeds
[25:20.610 --> 25:22.010]  that we know will be reliable,
[25:22.010 --> 25:23.650]  that you have shown a track record
[25:23.650 --> 25:25.970]  that we do make good selections with.
[25:25.970 --> 25:27.150]  Let me get back on my notes.
[25:27.510 --> 25:29.070]  Let's see, visually, pollinate, grow the seeds,
[25:29.070 --> 25:30.630]  find the females, finish them.
[25:30.630 --> 25:32.510]  Oh yeah, here's one of the best parts.
[25:32.510 --> 25:33.350]  Smoke them.
[25:33.350 --> 25:34.550]  You get to grow out these plants,
[25:34.550 --> 25:36.390]  these female plants that you just made,
[25:36.390 --> 25:37.910]  and you get to smoke them.
[25:37.910 --> 25:40.910]  That's how we find out what is really the best.
[25:40.910 --> 25:43.650]  Now, here's what you have to do next.
[25:43.650 --> 25:44.630]  Once you've got a bunch of seeds,
[25:44.630 --> 25:45.470]  and you've grown them and smoked them,
[25:45.470 --> 25:46.830]  you have to do it again with a different male
[25:46.830 --> 25:48.010]  and see which one's better.
[25:48.010 --> 25:49.910]  That's a whole nother, what did I say,
[25:49.910 --> 25:51.470]  300 days worth of research.
[25:51.470 --> 25:53.170]  Now, we're already at two years into this project,
[25:53.170 --> 25:54.710]  just finding a male plant.
[25:54.710 --> 25:56.110]  That's why seeds get expensive.
[25:56.110 --> 25:59.350]  So you get to grow them, then you get to smoke them,
[25:59.350 --> 26:01.070]  and then you get to find out what those traits are
[26:01.070 --> 26:02.470]  that were passed along.
[26:02.470 --> 26:05.670]  There are some other options that you can do.
[26:05.670 --> 26:08.830]  You can send your male plant to the lab,
[26:08.830 --> 26:10.650]  and they can test your male plant
[26:10.650 --> 26:13.790]  for the presence of cannabinoid precursors.
[26:13.790 --> 26:15.630]  You can also test your finished plant.
[26:15.630 --> 26:17.210]  If you've got a male plant that kicks off flowers,
[26:17.210 --> 26:19.730]  you can send it to the lab for testing for potency.
[26:19.730 --> 26:21.310]  That is a thing.
[26:21.310 --> 26:25.650]  You could get precursor plants from multiple male plants
[26:26.170 --> 26:27.610]  and send those to the lab and test for the presence
[26:27.610 --> 26:30.010]  of cannabinoid precursors in your males,
[26:30.010 --> 26:34.210]  and that may help you speed up your selection process.
[26:34.210 --> 26:37.570]  You could do precursory tests on males and females.
[26:37.570 --> 26:39.090]  That'll definitely speed up your process.
[26:39.090 --> 26:40.710]  Should we talk about that a little bit?
[26:40.710 --> 26:42.090]  Does that make any sense?
[26:42.090 --> 26:45.490]  What we're able to do, let's just say we're looking,
[26:45.490 --> 26:46.450]  we're gonna breed plants,
[26:46.450 --> 26:48.910]  and I'm looking for a female plant that is super,
[26:48.910 --> 26:51.850]  well, I'm looking for only plants that are super high in THC.
[26:51.850 --> 26:55.210]  That's a silly goal, but with this project,
[26:55.770 --> 26:57.410]  it will work for what I'm gonna talk about.
[26:58.370 --> 27:00.170]  We would grow these plants until we were big enough
[27:00.170 --> 27:01.690]  to get a leaf sample.
[27:01.690 --> 27:03.130]  I only need two true leaves.
[27:03.130 --> 27:05.050]  Once these plants have two true leaves,
[27:05.050 --> 27:07.970]  I take a sample that is the size of the back end
[27:07.970 --> 27:10.050]  of this pin, the part you click, the annoying part.
[27:10.050 --> 27:12.410]  I need a sample that big from each plant.
[27:12.410 --> 27:13.970]  We send that sample to a lab.
[27:13.970 --> 27:15.050]  They test it.
[27:15.050 --> 27:19.410]  That lab can identify the presence of the precursors
[27:19.410 --> 27:22.850]  that will later turn into THC,
[27:22.890 --> 27:26.090]  so it knows that the precursors to those cannabinoids
[27:26.090 --> 27:28.170]  are available in that plant.
[27:28.170 --> 27:30.550]  They will say, this plant shows markers
[27:30.550 --> 27:32.550]  that are high in the precursors.
[27:32.550 --> 27:33.970]  This plant's not so high in it.
[27:33.970 --> 27:35.810]  This plant is super high in it.
[27:35.810 --> 27:37.970]  At that point, if we were breeding for potency,
[27:37.970 --> 27:39.530]  what you would do is just eliminate
[27:39.530 --> 27:42.930]  all of the low testing number plants at that time.
[27:42.930 --> 27:44.570]  If you're looking for boys, looking for girls,
[27:44.570 --> 27:46.570]  you can run the test at the same time
[27:46.570 --> 27:47.890]  to find male and female.
[27:47.890 --> 27:49.890]  If you're looking for that highly potent female,
[27:49.890 --> 27:50.730]  you got her.
[27:50.730 --> 27:52.130]  If you're looking for that highly potent male,
[27:52.130 --> 27:52.970]  you got it.
[27:52.970 --> 27:55.010]  Now what you would do, what I would do,
[27:55.010 --> 27:57.770]  since I've already eliminated the low number of plants,
[27:57.770 --> 28:00.330]  I already know that my high potency plants are in the batch.
[28:00.330 --> 28:03.250]  Now I will look for structure, vigor, growth,
[28:03.250 --> 28:06.810]  aroma, color, resistance, all of the other things
[28:06.810 --> 28:10.170]  that may be desirable at this point for the plant.
[28:10.170 --> 28:11.650]  We already know that they're super potent,
[28:11.650 --> 28:13.210]  so now I'm phenohunting backwards.
[28:13.210 --> 28:14.490]  Now I don't have to smoke it.
[28:14.490 --> 28:17.290]  I've already eliminated a bunch of plants through science,
[28:17.290 --> 28:19.490]  through what is known as predicative testing,
[28:19.490 --> 28:23.130]  through looking for the presence of cannabinoid precursors.
[28:23.130 --> 28:25.270]  I would assume you could do that with the male plants.
[28:25.270 --> 28:27.450]  I don't know anybody that is doing that yet.
[28:27.450 --> 28:28.530]  You would be revolutionary.
[28:28.530 --> 28:30.050]  You would be the first.
[28:30.050 --> 28:33.450]  Send that bitch in, get it tested, see what pops up.
[28:33.450 --> 28:35.930]  Breed the same male to several females,
[28:35.930 --> 28:38.530]  and experience and see what that male does.
[28:38.530 --> 28:39.590]  Take notes and have fun.
[28:39.590 --> 28:42.070]  That is the last of my notes that I've got down.
[28:42.070 --> 28:43.650]  The most important part is that you have fun.
[28:43.650 --> 28:45.490]  If you're not having fun with your breeding projects,
[28:45.490 --> 28:46.610]  if you're stressing yourself out,
[28:46.610 --> 28:49.210]  if it's driving you crazy, take a big breath
[28:49.930 --> 28:51.890]  and step back, smoke some good weed,
[28:51.890 --> 28:54.410]  take some dabs, dab yourself into a state of,
[28:54.410 --> 28:57.170]  which word do we want to use, cannabis use disorder,
[28:57.170 --> 28:59.010]  or maybe get yourself some psychotic symptoms
[28:59.010 --> 29:01.510]  or psychotic disorder, walk around the block,
[29:01.510 --> 29:03.210]  giggle a couple times, think about it,
[29:03.210 --> 29:05.490]  snap out of it, then go back to the grow room,
[29:05.490 --> 29:07.650]  back to the drawing board, and have fun.
[29:07.650 --> 29:09.530]  Grow from your heart, breed with love.
[29:09.530 --> 29:11.610]  That is what it is all about.
[29:11.610 --> 29:13.930]  The goal here is to create plants that were better
[29:13.930 --> 29:15.510]  than the plants we started with.
[29:15.510 --> 29:18.010]  It sounds like you're very interested in breeding.
[29:18.010 --> 29:18.870]  This is a great question.
[29:19.530 --> 29:21.430]  I hope I gave you some good information here.
[29:21.430 --> 29:23.950]  My friend, Be Real, thank you for the YouTube question.
[29:23.950 --> 29:25.910]  Everybody else out there, this is a good reminder,
[29:25.910 --> 29:29.150]  please do like and subscribe to the YouTube channel.
[29:29.150 --> 29:30.270]  That's right, go to YouTube,
[29:30.270 --> 29:31.830]  search Grow From Your Heart Podcast.
[29:31.830 --> 29:33.390]  You will see the little subscribe button.
[29:33.390 --> 29:34.430]  You know how to do it.
[29:34.430 --> 29:36.070]  Also, click on that notification bell.
[29:36.070 --> 29:37.510]  Then every time I put out an episode,
[29:37.510 --> 29:38.750]  you will get notified.
[29:38.750 --> 29:43.750]  You'll never miss a moment of my cannabis psychosis ramblings.
[29:44.550 --> 29:46.510]  All right, ladies and gentlemen, boys, girls, pimps,
[29:46.510 --> 29:49.710]  foes, friends, foes, smokers, growers, clone cutters,
[29:49.710 --> 29:52.550]  pollen chuckers, flower smokers, and dab heads,
[29:52.550 --> 29:53.790]  I wanna thank each and every one of you
[29:53.790 --> 29:55.010]  for listening to another episode
[29:55.010 --> 29:56.750]  of the Grow From Your Heart Podcast.
[29:56.750 --> 29:58.150]  If you feel like this episode
[29:58.150 --> 30:00.730]  was educational, informative, entertaining,
[30:00.730 --> 30:02.190]  maybe you'd just like to throw me a couple of bucks
[30:02.190 --> 30:03.950]  because you learned something or had a good time,
[30:03.950 --> 30:07.870]  all you have to do is visit www.patreon.com
[30:07.870 --> 30:09.590]  forward slash growfromyourheart.
[30:09.590 --> 30:11.510]  All of the information you need to support the show
[30:11.510 --> 30:13.130]  will be right there on the screen.
[30:13.130 --> 30:14.770]  Big thanks to everybody
[30:14.770 --> 30:17.970]  who does continue to support the show.
[30:17.970 --> 30:19.210]  Also, if you have any questions,
[30:19.210 --> 30:20.450]  corrections, comments, or concerns,
[30:20.450 --> 30:22.010]  you know that I would love to hear from you,
[30:22.010 --> 30:26.090]  the email address is growfromyourheart at hotmail.com.
[30:26.090 --> 30:27.050]  Don't be shy.
[30:27.050 --> 30:29.810]  If I said that too fast, if I did any of that too fast,
[30:29.810 --> 30:34.810]  all of the info is on my website at iregenetics.com.
[30:35.170 --> 30:37.310]  All right, that's all I've got for you for this episode.
[30:37.310 --> 30:38.610]  You know I'll be back in a couple of days
[30:38.610 --> 30:40.010]  with fresh new content.
[30:40.010 --> 30:43.110]  I wanna give a big shout out to my friend, Anything Grows.
[30:44.090 --> 30:45.430]  And until next time, take a fat dab
[30:45.430 --> 30:46.990]  and give your mom a hug for me.
