[00:11.130 --> 00:18.930]  Yeah. Welcome back.
[19:17.390 --> 19:19.870]  if you're smoking shatter like this shatter, you can put it on there.
[19:19.870 --> 19:23.590]  Kind of hot. I've had some wax. I'd probably go hotter if I smoke in libraries,
[19:23.590 --> 19:26.110]  I might turn it down just a bit to get more of that taste.
[19:26.430 --> 19:29.950]  So it depends on the concentrate you've got. You guys get the concentrate that
[19:29.950 --> 19:32.590]  you've got, get the nail set a little bit low, put the dab on there.
[19:32.590 --> 19:35.110]  If it doesn't put the carb cap on, start smoking.
[19:35.110 --> 19:36.550]  If that dad doesn't melt enough,
[19:36.590 --> 19:40.350]  obviously turn that shit up and just go five or 10 degrees higher every time
[19:40.350 --> 19:41.830]  until you get the dab you want.
[19:42.190 --> 19:44.310]  I can't recommend the carb cap enough.
[19:44.550 --> 19:48.790]  The first time you use one, when you throw it on top of the nail,
[19:49.070 --> 19:53.310]  the first thing that goes through your head is where'd all that come from is you
[19:53.310 --> 19:57.790]  watch the vapor going through your rig quadruple and thicken. Um,
[19:57.830 --> 19:59.910]  because that wasn't on your nail a second ago,
[19:59.910 --> 20:01.710]  had you taken a breath and hit it,
[20:01.750 --> 20:03.430]  you wouldn't have gotten any of that.
[20:03.430 --> 20:06.830]  And suddenly you've got a huge milked out rig going for you again.
[20:07.110 --> 20:10.430]  It's so sweet. I love just when you cap it and you just see it and you just
[20:10.430 --> 20:12.110]  start pulling like, ah, there you go.
[20:12.230 --> 20:14.230]  Yup. That's part of the reason I've been so baked.
[20:14.230 --> 20:18.110]  The last couple of shows I've done is cause I didn't have one at home for the
[20:18.110 --> 20:22.950]  last several months and was not getting nearly as stoned at home because I
[20:22.950 --> 20:24.270]  didn't have all the tools with me.
[20:24.430 --> 20:26.790]  So when you drop the carb cap on there, you guys, you're pulling your hit,
[20:26.790 --> 20:28.910]  you're taking your hit and then you get enough smoke to fill your lungs.
[20:28.910 --> 20:31.070]  You want to blow out so that you could pull the rest of that.
[20:31.430 --> 20:35.470]  Don't take the carb cap off because at that time you're letting all that vapor
[20:35.470 --> 20:38.070]  and that pressure and that vacuum that you've created,
[20:38.070 --> 20:40.030]  you've just ruined that by letting the carb cap off,
[20:40.030 --> 20:42.870]  leave that carb cap on there almost until you're done dabbing.
[20:42.870 --> 20:44.990]  Sometimes it's a good idea to lift it cause that fucker gets hot,
[20:45.390 --> 20:48.510]  but just put it on there. Inhale, blow your head out, leave the cap on,
[20:48.510 --> 20:52.110]  inhale the rest and then take it off as soon as you're done. Uh, don't,
[20:52.150 --> 20:53.790]  don't take it off until you're done dabbing.
[20:53.790 --> 20:57.150]  Cause a lot of folks lose part of their dab that I've seen people feather them
[20:57.150 --> 21:00.190]  and try to get fancy with it and just set it on there and let her go.
[21:00.510 --> 21:02.830]  One thing I do, I honestly do turn it a little bit.
[21:02.830 --> 21:05.350]  There's one hole in there and the top of that carb cap.
[21:05.350 --> 21:07.830]  And I like to turn it just because I think that I move my,
[21:08.230 --> 21:09.550]  I take a larger dab than most folks.
[21:09.550 --> 21:10.670]  I agree with you and that's one of the things.
[21:10.670 --> 21:13.870]  So I need to spread it across the top of the nail just a little bit more than
[21:13.870 --> 21:17.110]  some, and I'm not trying to be an elitist, I just take big fucking dabs.
[21:17.150 --> 21:18.470]  When we're talking temperature,
[21:18.510 --> 21:23.510]  I can get away with a much lower temp and not waste anything because I'm putting
[21:23.910 --> 21:27.190]  a much smaller dab to the nail each time.
[21:29.190 --> 21:33.510]  You can't do a low temp half gram or a gram dab.
[21:34.430 --> 21:38.910]  You end up doing a 0.2 dab and the rest of it puddles and then you feel like a
[21:38.910 --> 21:41.790]  dick for wasting a bunch of your hat.
[21:41.790 --> 21:43.830]  So that I want, I want to mention one more thing.
[21:43.830 --> 21:46.670]  And then you just kind of segued me into another part I want to talk about.
[21:47.070 --> 21:50.590]  You guys, when you're taking a dab with a carb cap and you're using an email,
[21:51.030 --> 21:54.630]  um, this happened at the Cana Canyon and it happens here occasionally.
[21:54.830 --> 21:57.670]  I just wanted to bring this up for the folks that are learning to dab and even
[21:57.670 --> 22:00.830]  the experienced dabbers brah, when you're done dabbing,
[22:01.510 --> 22:06.110]  take the carb cap off the email because that email is turned on and it's hot and
[22:06.110 --> 22:08.990]  you leave that carb cap on there and it heats up the carb cap.
[22:09.310 --> 22:12.350]  And then whoever, whoever sees it wants to take a dab.
[22:12.350 --> 22:13.910]  They're not thinking about that as hot.
[22:13.950 --> 22:17.190]  They're thinking I want to dab and they reach for the carb cap and they burn the
[22:17.190 --> 22:21.270]  shit out of themselves. So be careful. Please take that. Yeah.
[22:21.270 --> 22:25.310]  Please take that carb cap off of the email. Just set it on an oil slick pad.
[22:25.670 --> 22:27.910]  I see so many people, there's an oil slick pad on my table.
[22:27.910 --> 22:31.630]  This pad is designed to catch hash. It will not stick to here.
[22:31.750 --> 22:34.910]  My table right here, this wood part, the hash will stick to this all fucking day.
[22:35.350 --> 22:39.190]  Uh, put, just put the, put the carb cap down on the oil slick pad. If you see one,
[22:39.230 --> 22:42.190]  that's what that's for. Utilize that. All right.
[22:42.430 --> 22:46.350]  Now I said that would segue me into another part that I wanted to talk about.
[22:47.670 --> 22:52.670]  When we're giving dabs to somebody, is it up to me to heat that?
[22:53.230 --> 22:55.590]  I feel like if I give you a dab and I'm like,
[22:55.590 --> 22:56.910]  this will be another question I'm going to ask.
[22:57.070 --> 22:59.630]  One of us pulls a dab off the parchment paper for you.
[22:59.870 --> 23:03.070]  I'll heat the rig to be nice just because we're dabbing at my spot or in my car
[23:03.070 --> 23:06.270]  or wherever we happen to be. I'm going to heat this. I know Mike, I know.
[23:06.270 --> 23:08.790]  I'm sorry. I'm going to heat the nail to the appropriate temperature.
[23:09.070 --> 23:09.510]  And then I'm going to,
[23:09.510 --> 23:12.230]  maybe we're camping and I'm going to heat and I'm going to heat the nail to the
[23:12.230 --> 23:14.310]  appropriate temperature and I'm going to hand it to you.
[23:14.550 --> 23:18.270]  Do I hang onto that fucker until it's the right temp or do I give it to you and
[23:18.270 --> 23:20.990]  let you decide when to dab that thing?
[23:21.350 --> 23:22.190]  Yeah.
[23:23.150 --> 23:26.950]  That so much just depends on who you're talking about handing it to and that
[23:26.950 --> 23:28.310]  level of experience.
[23:28.350 --> 23:30.230]  So that that's what I was just going to say.
[23:30.230 --> 23:35.310]  If it's someone new and new to dabbing, I would just be like, okay,
[23:35.510 --> 23:38.430]  like I would just probably hold on to it until it was ready and then give it to
[23:38.450 --> 23:42.910]  him. But if it's somebody, you know, dabs a lot,
[23:43.470 --> 23:44.750]  let them make that choice.
[23:44.750 --> 23:47.350]  Heat it up, hand it to them, let them do the hand over the nail,
[23:47.350 --> 23:48.270]  like a wizard trick.
[23:48.670 --> 23:51.590]  Because do you remember a couple of weeks ago when we were having a
[23:51.590 --> 23:55.030]  conversation about how somebody heated up a torch for like a,
[23:55.710 --> 23:57.750]  this is all about. Yeah, that's where this came from.
[23:58.390 --> 24:01.430]  Somebody tried to be nice and give me a big fat dab and they heated the nail
[24:01.430 --> 24:03.310]  nice and hot. And when I went to pick up the rig,
[24:03.510 --> 24:07.590]  they put their hand on it and said, it's too hot. And I try, I'm polite.
[24:07.590 --> 24:09.590]  I'm like, cool, you're giving me a dab. I'll let you do your thing.
[24:09.990 --> 24:13.510]  But in my mind I thought it's going to cool down way too much in this big dab is
[24:13.510 --> 24:15.230]  just going to end up as a puddle on your nail.
[24:15.710 --> 24:18.870]  And these guys are like proud of how much they clean out of their rig with the
[24:18.870 --> 24:23.470]  Q-tip. And I want to smoke that bro. Put that in my lungs. We paid for it.
[24:23.950 --> 24:27.230]  The dispensary wasn't like, Oh, you're going to Q-tip it. Here's 30% off.
[24:27.510 --> 24:30.430]  I don't understand how people can waste that amount of hat.
[24:30.470 --> 24:35.550]  It's like when you're paying 20, 30, 60, 80, a hundred a gram
[24:36.030 --> 24:36.910]  for hash,
[24:36.990 --> 24:41.150]  how do you waste half of it on the just letting it puddle and then Q-tipping it
[24:41.150 --> 24:42.110]  into the trash?
[24:42.950 --> 24:46.270]  That's like taking two sips off your beer and putting the whole bottle,
[24:46.270 --> 24:48.990]  the rest of the bottle of the trash and ordering another beer and driving that
[24:48.990 --> 24:50.430]  way all night. Like, what are you doing?
[24:50.430 --> 24:54.550]  So if it's an experienced dabber, if you're an, if it's an experienced ever,
[24:54.550 --> 24:56.550]  let that dude choose how hot he wants it. If I want to,
[24:56.830 --> 25:00.070]  if I want to burn my lungs, if I want to roast my esophagus, let me,
[25:00.150 --> 25:00.990]  let me do it please.
[25:01.150 --> 25:05.070]  But when you're bringing new people in, be gentle. Um,
[25:05.110 --> 25:07.430]  a lot of us have a good story about the,
[25:07.470 --> 25:10.550]  the introducing someone to hash where they were like, no,
[25:10.830 --> 25:15.430]  I want to take the hit you took and we give it one or two. No,
[25:15.430 --> 25:19.310]  you don't bro. Like just a bit of advice, go slow,
[25:19.750 --> 25:22.510]  very strong and they resist a little bit.
[25:22.510 --> 25:26.550]  So we say fuck it and let them jump off the cliff. That's not necessarily.
[25:26.590 --> 25:28.830]  I've told this story of the dude, uh, a guy,
[25:28.830 --> 25:32.270]  I was at a cannabis company that's taking dabs and a guy walked up and he's
[25:32.270 --> 25:34.350]  like, what are you doing there, bro? And I was like smoking dabs.
[25:34.350 --> 25:36.590]  And he's like, I ain't never seen dabs before. Can I get a dad?
[25:36.590 --> 25:37.150]  And I was like, sure.
[25:37.150 --> 25:40.310]  And I gave him what I thought would be a normal first dad for a guy.
[25:40.590 --> 25:43.710]  And he got offended. He's like, that's a little, little, I saw what you smoke.
[25:43.710 --> 25:46.150]  Give me what you smoked. And I was like, I've been doing this, bro.
[25:46.150 --> 25:48.830]  That's going to fuck you up. Cause I don't care. I'm I'm, I can smoke.
[25:49.350 --> 25:52.790]  And so I did what he asked for. And I gave him a Jeff size dab, heated up,
[25:52.790 --> 25:53.630]  hooked him up.
[25:53.710 --> 25:57.710]  That dude took that hit and pulled in the smoke and blew it out and vanished.
[25:57.830 --> 26:00.870]  He walked into the crowd like, bye, I gotta go. He was so high.
[26:00.870 --> 26:03.390]  He didn't know what to do with himself. He couldn't look me in the eye anymore.
[26:03.590 --> 26:06.390]  He was done, but I thought it was kind of funny,
[26:06.630 --> 26:11.190]  but I smashed like a good chunk of my day explaining to people who aren't
[26:11.190 --> 26:15.950]  familiar with hash and edibles to, to please go slow. Um,
[26:16.310 --> 26:20.790]  I talk to people all the time that have, uh, I, I took the way too big a dab.
[26:21.190 --> 26:25.350]  And it was like the longest 12 hours of my life while I waited to come down.
[26:26.110 --> 26:29.190]  Um, and I feel bad for those people and it's unnecessary.
[26:29.190 --> 26:31.190]  Like we used to be a little gentler with it.
[26:31.750 --> 26:36.030]  And there used to be an initiation process before these products were available.
[26:36.630 --> 26:40.430]  Um, and it negated the necessity to do, to,
[26:40.430 --> 26:41.870]  to say that a lot of this stuff,
[26:41.870 --> 26:45.110]  there are people out there whose first experience with cannabis was a dab.
[26:45.670 --> 26:47.150]  Yeah. That's unfair.
[26:47.670 --> 26:52.310]  That's like the first time you drank when you were in middle school or a teenager
[26:52.310 --> 26:56.350]  or whatever, you had moonshine and you guys were fucking beer funneling it.
[26:56.790 --> 26:59.670]  It's, it's so unnecessary.
[27:00.510 --> 27:01.350]  Oh God.
[27:02.070 --> 27:03.910]  That they're boof and shine for your first time.
[27:04.350 --> 27:07.390]  Like it's like, why would you do that? And it's the same thing when I hear,
[27:07.390 --> 27:12.390]  like my first, my first intro to marijuana was, uh,
[27:12.830 --> 27:16.830]  a giant dab alive resident. And it's like in, in what happened next,
[27:16.870 --> 27:20.430]  you spent seven hours in your hotel room wondering if you were dead or not.
[27:20.910 --> 27:24.990]  And it's just, you were too big to handle it. And it never should have happened.
[27:24.990 --> 27:27.630]  Like you didn't need to be in that end of the pool. Go slow.
[27:27.870 --> 27:31.190]  Do I need to put a disclaimer on my dad videos? Do not try this at home.
[27:31.350 --> 27:32.190]  Probably.
[27:32.190 --> 27:33.350]  That might be a good idea, huh?
[27:34.430 --> 27:38.430]  So I think what that going back to your original question here, Jeff,
[27:38.510 --> 27:43.310]  I think it's about knowing your audience and about knowing like who's in your
[27:43.310 --> 27:48.430]  car. Like if it's a, you know, experienced dabber, let them do it.
[27:48.430 --> 27:51.790]  But if not, then, uh, whatever. Screw you guys.
[27:52.790 --> 27:53.870]  That's the worst night.
[27:55.270 --> 27:58.550]  I'm sitting here mostly looking at my, no, no, we're, we're,
[27:58.550 --> 28:00.830]  we're mad at ourselves because we're setting a bad example.
[28:00.830 --> 28:02.870]  We're talking about dabbing in the car, which shouldn't happen.
[28:02.870 --> 28:07.430]  We're hypocrites. We're, uh, I didn't even mean in the car. I just meant in general.
[28:07.870 --> 28:08.830]  Did I say in the car?
[28:08.830 --> 28:13.470]  We've all I, you and I each have slipped about dabbing in the car. Yeah.
[28:13.670 --> 28:16.390]  Like we're outdoorsy. It's Colorado. We spent a lot of time.
[28:19.030 --> 28:23.270]  I actually do take, I do smoke a lot more in nature.
[28:23.390 --> 28:26.230]  I think it's fucking fun to dab in the carwash when you're getting the carwash.
[28:26.670 --> 28:27.510]  I've never done that before.
[28:28.790 --> 28:30.750]  No one can see you. You're just blasting dabs.
[28:30.750 --> 28:33.510]  I don't dab in the car. I don't, none of my shit's portable.
[28:33.550 --> 28:36.470]  Like that's not something I do. It's all portable to me, bro. Yeah.
[28:36.470 --> 28:41.430]  I've had the, yeah, no, I know. I know they make an adapter for the Eno.
[28:41.430 --> 28:43.270]  It's a beautiful thing. Yes they do. All right. Let's get,
[28:43.270 --> 28:46.990]  let's get out of the incrimination zone here. Um, so dab size,
[28:47.110 --> 28:50.590]  I like the temp thing. If it's somebody new, yeah. If it, yeah.
[28:51.750 --> 28:55.550]  Just bring them along. Maybe decide the temp for your girlfriend's dab for her,
[28:55.550 --> 28:59.590]  but it's such a wonderful, we can decide our own, our own temp of our own dabs.
[28:59.590 --> 29:00.870]  We can handle that. If, if,
[29:01.310 --> 29:05.150]  if I'm wearing my logo on my shirt and I'm at every fucking secret session,
[29:05.150 --> 29:08.150]  you see me at, let me choose my temp on my dad. I want to go hot and hurty.
[29:09.270 --> 29:13.630]  Red means go. You guys don't do glowy's that, that, that we call those glowy's.
[29:13.630 --> 29:16.710]  Don't do those. Those hurt your lungs. Those are, don't do that. Yeah.
[29:16.990 --> 29:21.150]  So let's talk about dab size. Uh, we're, we're all friends here.
[29:21.150 --> 29:23.350]  So when we have dabs, we come to the table, we just,
[29:23.350 --> 29:25.870]  there's some of my hash on the table. Lindsay's got some hash on the table.
[29:25.870 --> 29:27.630]  Mike didn't bring any today, but I'm not calling him out.
[29:27.630 --> 29:30.270]  Last time he brought some hash that tasted fucking tremendous.
[29:30.830 --> 29:33.590]  I racked myself with that shit was so flavorful.
[29:33.590 --> 29:37.750]  You're excused this time cause it was so good last time. But we all,
[29:37.790 --> 29:42.390]  if somebody wants a dab, this is my, what is this? This is, uh, this way I do.
[29:42.550 --> 29:46.990]  This is, um, Trez star shatter. Uh, and Mike wants a debit.
[29:46.990 --> 29:48.150]  I'm just going to pass him the parchment.
[29:48.150 --> 29:50.830]  He's going to pull off a dab for himself. Cause that's my homie over there.
[29:51.790 --> 29:55.350]  Is that how are you supposed to, am I supposed to pull him off a dab?
[29:55.350 --> 29:56.950]  Or is that his job? Or
[29:58.710 --> 30:01.990]  I think Lindsay said it perfectly a second ago. It's about knowing your audience.
[30:01.990 --> 30:05.750]  Depends on who's who. Huh? Yeah. I guess that's true. Like,
[30:06.110 --> 30:09.870]  you know, you always get that one kid. Uh, you know, exactly.
[30:09.870 --> 30:13.270]  So say we're hanging out at the secret satch and we're all a bunch of friends.
[30:13.270 --> 30:14.510]  We're a bunch of heads. We're a bunch of family.
[30:14.510 --> 30:16.270]  And there's always one guy in every fucking group.
[30:16.270 --> 30:18.470]  And you know who I'm thinking about right now, that guy,
[30:18.470 --> 30:19.590]  if you hand him your shatter,
[30:19.590 --> 30:21.470]  he's going to try to smoke all of this in one dab,
[30:21.750 --> 30:24.830]  just because he wants to smoke as much as he can while he's there and get as
[30:24.830 --> 30:29.190]  high as he can. Everybody, every group has that one guy, that one friend.
[30:29.790 --> 30:32.790]  Uh, I think it's funny when people ask me for a dab and they try to do that
[30:32.790 --> 30:36.430]  because then I get to watch them cough and turn red and turn purple and blow
[30:36.430 --> 30:38.790]  snot out of their face. It's worth it to me.
[30:41.110 --> 30:45.390]  Now the best part for me is watching them function after that or fail to
[30:45.390 --> 30:48.270]  function. Yeah, exactly. Because you know what, Jeff,
[30:48.270 --> 30:53.270]  the thing about it is is they watch people like you take huge dabs and you know,
[30:54.310 --> 30:57.830]  be able to just take 0.5, you know,
[30:58.070 --> 31:01.030]  or bigger dabs and they sit here and go, well,
[31:01.030 --> 31:05.470]  I can go on this level with this guy and they take this one,
[31:06.030 --> 31:10.110]  they die and then they can't function. And do you know what you do?
[31:10.790 --> 31:15.790]  You continue to take 0.5 or bigger dabs and you keep going through the night and
[31:16.350 --> 31:20.390]  they're just like, what is this guy doing? I've been training bro.
[31:20.950 --> 31:23.470]  Been training. This is your triathlon. I've been going deep.
[31:23.670 --> 31:24.870]  This is your Olympics.
[31:25.430 --> 31:26.790]  It just for comparison,
[31:26.790 --> 31:31.790]  there's more residue on the dabber I just used than the dab I just took.
[31:34.230 --> 31:38.910]  Mike, you're the segue champion because I want to talk about Ninja dabs right
[31:38.950 --> 31:41.310]  now. Oh, I love Ninja dabs.
[31:43.110 --> 31:44.430]  So a lot of people, we've,
[31:44.430 --> 31:47.430]  we take for granted that a lot of folks listening to this podcast are not
[31:47.430 --> 31:50.310]  Colorado based people. I can tell by looking at the stats,
[31:50.310 --> 31:53.230]  I try to ignore them because I don't want it to influence my performance.
[31:53.670 --> 31:56.630]  But I could tell by looking at the stats that a large portion of our audience is
[31:56.650 --> 31:57.350]  in Colorado,
[31:57.350 --> 32:02.350]  but more than 50% is not Colorado based and a large portion is not even in
[32:02.350 --> 32:05.550]  America. Those people don't get to dab. They don't know what dabs are.
[32:06.270 --> 32:08.230]  Somebody put me back on track. Ninja dabs.
[32:08.230 --> 32:10.750]  I'm just saying what the fuck Ninja dabs are. Ninja dabs.
[32:11.390 --> 32:14.470]  So if Lindsay was to get herself a dab and she was to start dabbing,
[32:14.790 --> 32:17.870]  I would sneakily, I've got my Mac book here open. Uh, I would,
[32:17.870 --> 32:19.670]  while she can't see me by behind the computer,
[32:19.670 --> 32:21.470]  I'd put another dab on another dabber.
[32:21.470 --> 32:24.430]  And as soon as Lindsay starts inhaling that dab right before she puts the carb
[32:24.430 --> 32:24.830]  cap on,
[32:24.830 --> 32:29.110]  I would reach over and put a sizable amount of hash on the nail for her and
[32:29.110 --> 32:31.430]  Ninja dabber. Uh, just get that,
[32:31.470 --> 32:34.530]  just add a little to her and make her cough and get her a little extra fucked
[32:34.530 --> 32:35.670]  up more than she expected.
[32:36.350 --> 32:38.310]  I've also seen it, uh,
[32:38.350 --> 32:41.390]  refer to putting a dab underneath the carb cap.
[32:42.150 --> 32:44.430]  So you like the carb cap is just a,
[32:44.430 --> 32:47.670]  it's a hunk of metal with a hole in it that you set on top of the hot nail.
[32:47.990 --> 32:52.430]  So if you take some hash and surreptitiously place it underneath the carb cap
[32:52.910 --> 32:56.750]  while that car or the, while they, their carb caps on their cap and their dab,
[32:56.750 --> 33:00.710]  it's going to heat up enough to drop that on the nail. So yeah, a good three,
[33:00.710 --> 33:04.630]  four, five, 10 seconds into their hit, their hit quadruples all of a sudden.
[33:04.750 --> 33:06.030]  And they don't even know where it came from.
[33:06.390 --> 33:08.070]  That's happened to me more than once.
[33:08.070 --> 33:10.390]  It has led to some less than productive afternoons.
[33:10.430 --> 33:14.710]  I've called those time bombs or, uh, uh, landmines,
[33:14.710 --> 33:17.790]  but I've also heard them called sniper dabs from other folks.
[33:17.950 --> 33:21.310]  I've got multiple landmines and Ninja dabs where it was always what I heard.
[33:21.310 --> 33:21.870]  Those calls,
[33:21.870 --> 33:24.670]  we've got multiple carb caps and I'll just set them out on the table and
[33:24.670 --> 33:26.750]  occasionally one will have a little snake underneath it.
[33:27.390 --> 33:30.150]  Someone will take a dab and it just keeps going and they turn red and they blow
[33:30.150 --> 33:32.030]  snot out of their face and they choke for a few minutes.
[33:32.030 --> 33:33.710]  And it's really funny to me. I laugh a lot.
[33:34.270 --> 33:37.310]  Cause I always know which one it is. It's the blue one. If it ever happens,
[33:37.310 --> 33:40.230]  it's the blue one. I've got one blue one and the rest are silver.
[33:40.270 --> 33:43.670]  So that makes it easy for me to know. Don't use that fucking blue one.
[33:43.670 --> 33:47.990]  If you come over here or do do some people like, yeah, right. Yeah.
[33:48.310 --> 33:52.430]  Um, so let's see, we're talking about dad stuff. I've got notes. Sorry. Uh,
[33:52.470 --> 33:55.310]  let's, let's give some dab hints. It's uh,
[33:55.630 --> 33:59.830]  it's summertime and it's hot as shit here in Colorado and your dads are going to
[33:59.830 --> 34:03.310]  be stuck to the parchment paper and hard to find. Okay. First of all,
[34:03.590 --> 34:08.590]  I saw a dispensary on Instagram today selling their hash in little plastic
[34:08.630 --> 34:12.950]  disks. Uh, fuck that. Step up your game, use parchment paper. It's cheap. Uh,
[34:12.970 --> 34:13.790]  get some parchment paper,
[34:13.830 --> 34:17.190]  put your dabs in parchment paper or one of those like silicone containers.
[34:17.190 --> 34:19.950]  Let's get away from the plastic things where all your dabs stick to it and you
[34:19.950 --> 34:21.310]  got to scrape it for fucking days.
[34:21.310 --> 34:23.390]  You're wasting like a quarter gram of hash in the packaging.
[34:23.390 --> 34:26.750]  No one wants to scrape out of that little plastic dish. Yeah.
[34:26.790 --> 34:28.950]  That's the first time you go to scrape out of it.
[34:28.950 --> 34:33.150]  You realize that it's plastic and half the divers out here aren't gentle enough
[34:33.150 --> 34:37.750]  to, I mean it's, it quickly becomes a question of,
[34:37.910 --> 34:40.230]  am I willing to dab little strips of plastic?
[34:41.110 --> 34:45.910]  Uh, scrape that off my nail or do I just have to kiss the rest of this hash?
[34:45.910 --> 34:50.350]  Go just let it go. Um, yeah. Honestly, step your packaging up a little bit.
[34:50.350 --> 34:53.110]  I'm sensitive to this. I never mind.
[34:53.510 --> 34:55.830]  No, do it. Do it. You're a blood tender. Let us have it.
[34:56.110 --> 34:59.150]  Well, the, like the packaging matters and a lot of people don't think it through
[34:59.150 --> 35:02.830]  to the end stage. They come up with the dope product. I mean,
[35:02.830 --> 35:06.350]  it's like putting a Lamborghini engine in a fucking pinto. Sometimes it's
[35:06.350 --> 35:10.430]  ridiculous. Um, and it's that it's gotta move.
[35:10.670 --> 35:12.830]  It doesn't matter how good your product is.
[35:12.830 --> 35:15.750]  If the packaging is hideous and it's not displayable,
[35:15.990 --> 35:18.750]  it's going to annoy the people that sell it just a little.
[35:19.230 --> 35:20.830]  Even if they're annoyed just a little,
[35:21.070 --> 35:23.910]  they're going to reference the product that isn't annoying more.
[35:24.390 --> 35:26.230]  That's going to move 10 times faster.
[35:26.230 --> 35:28.590]  You're going to make a lot less money all because you didn't think your
[35:28.590 --> 35:32.030]  packaging through to the end. Um, and I mean,
[35:32.030 --> 35:34.550]  we're watching it change in waves in Colorado right now.
[35:34.590 --> 35:38.550]  Every hash company had their cool, unique shaped logo package.
[35:39.070 --> 35:43.070]  And all of those are transitioning to almost identical envelopes now.
[35:43.670 --> 35:46.790]  And you guys are seeing it just as fast as I am up in the Springs. I'm sure.
[35:48.390 --> 35:51.710]  Yeah. It's all folks. Sorry to go on a little tangent,
[35:51.750 --> 35:53.350]  but like the packaging matters.
[35:53.350 --> 35:57.150]  And while the original point of this was it's summer,
[35:57.190 --> 36:00.510]  the shatters a little tacky right now. Um,
[36:00.950 --> 36:04.190]  that's a problem when it's a plastic container. Yeah. Use parchment.
[36:04.190 --> 36:07.190]  But where I was headed with that is, uh, air conditioner tech.
[36:07.190 --> 36:11.030]  You guys, when your shatter is getting all funky, go just set that shatter, uh,
[36:11.070 --> 36:12.110]  put it in a baggie. Well,
[36:12.110 --> 36:14.110]  if you're not going to be in there for more than four or five minutes,
[36:14.110 --> 36:16.830]  you don't have to put it in a baggie. Just set that parchment in the freezer,
[36:16.870 --> 36:19.590]  close the door, make sure you set it on a dry area, close the door,
[36:19.830 --> 36:22.190]  let that shit get nice and cold for a few minutes and pull it out.
[36:22.190 --> 36:23.710]  And now you can function with that shatter.
[36:23.710 --> 36:25.350]  It's going to be a whole lot easier to deal with.
[36:25.350 --> 36:29.670]  It's going to be real snappy, real crunchy. Uh, if you may be, you know,
[36:29.710 --> 36:33.470]  there's an air conditioner in places you can turn on that vent and turn that
[36:33.470 --> 36:36.590]  fucker up, cool down your carb cap, cool down your dabber.
[36:36.990 --> 36:38.670]  And then you can cool down your shatter also,
[36:39.350 --> 36:41.190]  but make it a whole lot easier for you guys to function.
[36:41.270 --> 36:42.110]  That's just honestly,
[36:42.110 --> 36:44.830]  I don't buy a lot of shatter during the summer for this exact reason.
[36:44.830 --> 36:49.150]  I just don't want to bother. Like if I go with a butter or a wax or a live resin,
[36:49.150 --> 36:52.190]  it's already a little tacky or soupy.
[36:52.630 --> 36:54.390]  The room temperature is not going to mess with it much.
[36:54.430 --> 36:56.550]  Ain't no season going to stop me from dabbing.
[36:57.710 --> 37:01.070]  I just got different. This ain't seasonal.
[37:01.150 --> 37:04.990]  This is something I do all day, every day. I'm not no fair weather fan. Right?
[37:05.030 --> 37:08.590]  I just throw that extra money on hash and go live resin all summer.
[37:08.590 --> 37:09.430]  It's not a bad thing.
[37:09.510 --> 37:12.830]  Have you ever been in the cold that were so cold or torch wouldn't light? Yeah,
[37:12.910 --> 37:15.910]  no. It just goes click, click, click. And then one like smoker.
[37:15.910 --> 37:17.950]  I can make fire anywhere, sir.
[37:18.270 --> 37:21.830]  I believe you. I've seen your dedication to your cigarettes.
[37:21.990 --> 37:24.470]  I can make fire anywhere. Guaranteed. Yeah.
[37:24.590 --> 37:26.270]  I wish you had been on my hike yesterday.
[37:26.670 --> 37:30.590]  Yeah. Well me and the hike don't happen in the same sense a lot,
[37:30.630 --> 37:32.990]  but like I could teach you some things.
[37:32.990 --> 37:35.550]  Lindsay seems to be really good at forgetting us fire source.
[37:36.270 --> 37:39.790]  Let's see. That's what us like tumor ridden fucks are for.
[37:40.430 --> 37:42.590]  Like we've always got seven BICs.
[37:43.110 --> 37:46.310]  Like we can find a way to get that nail hot. Give us a minute.
[37:46.390 --> 37:47.150]  So you should always have,
[37:47.150 --> 37:49.270]  you're going to be dabbing and you're on the go and you're going somewhere to
[37:49.270 --> 37:51.310]  dab. Somebody take a can of butane. You have no money,
[37:51.550 --> 37:55.430]  no idea how many times everybody's had everything we've needed to take dabs and
[37:55.430 --> 37:58.750]  nobody had any butane. So I'm the guy with the can of butane in my backpack.
[37:58.750 --> 38:01.030]  So I'm like, I'll treat you guys a fat dab for this butane.
[38:01.030 --> 38:03.670]  And I get the next dab that comes out of that. As soon as that torch is filled,
[38:03.670 --> 38:05.870]  guess who gets a dab? That would be me. Cause I had the butane.
[38:05.870 --> 38:06.710]  I saved the day.
[38:06.750 --> 38:09.990]  I don't know if it's the boy scout in me or the smoker or the stoner,
[38:09.990 --> 38:13.870]  but I've always got a couple of lighters. Like if I'm going to go dab somewhere,
[38:13.870 --> 38:17.470]  I like a can of butane, two torches, two nails,
[38:17.470 --> 38:21.390]  two rigs because rigs get dropped, nails get lost.
[38:22.110 --> 38:26.030]  Like all sorts of weird shit happens and it ruins the session. If, Oh dude,
[38:26.030 --> 38:29.510]  we could all be high right now, but we forgot a part in our weeds fancies.
[38:29.510 --> 38:30.350]  So now we're sober.
[38:30.430 --> 38:33.670]  Lindsay texted me one night. She's like, dude, uh, I'm somewhere.
