[00:00.060 --> 00:01.060]  Let's do it.
[14:04.580 --> 14:07.580]  Yeah, I think you guys are crazy that smoke cigarettes and still take...
[14:07.580 --> 14:09.580]  Are able to take dabs and shit.
[14:09.580 --> 14:10.580]  Man.
[14:10.580 --> 14:11.580]  I'm trying, brother.
[14:11.580 --> 14:12.580]  I'm trying to get rid of it.
[14:12.580 --> 14:13.580]  Trust me.
[14:13.580 --> 14:14.580]  It's killing me.
[14:14.580 --> 14:16.580]  Well, you got a nice outdoor harvest coming up.
[14:16.980 --> 14:18.980]  So you should just roll a bunch of...
[14:18.980 --> 14:22.980]  You should get some tobacco, like some fucking pouch tobacco.
[14:22.980 --> 14:23.980]  I can't mix it.
[14:23.980 --> 14:24.980]  Well, then just roll some joints.
[14:24.980 --> 14:25.980]  Well, then you'll get your nicotine fit that way.
[14:25.980 --> 14:27.980]  And then just slowly take the nicotine out.
[14:27.980 --> 14:28.980]  I can...
[14:28.980 --> 14:30.980]  Like I said, I've done the jail thing.
[14:30.980 --> 14:31.980]  I can just quit.
[14:31.980 --> 14:32.980]  Okay.
[14:32.980 --> 14:35.980]  That's my problem is her smoking next to me.
[14:35.980 --> 14:36.980]  You know, we both have to quit.
[14:36.980 --> 14:37.980]  Yeah.
[14:37.980 --> 14:39.980]  And she's not that strong willed.
[14:39.980 --> 14:41.980]  So if she doesn't want to quit, then she won't quit.
[14:41.980 --> 14:42.980]  She doesn't want to.
[14:42.980 --> 14:43.980]  So I'm trying to...
[14:44.380 --> 14:47.380]  I've told her, get a pen and just smoke wax.
[14:47.380 --> 14:48.380]  You know, like you don't...
[14:48.380 --> 14:49.380]  You don't...
[14:49.380 --> 14:50.380]  Exactly.
[14:50.380 --> 14:51.380]  Exactly.
[14:51.380 --> 14:53.380]  He's got a little pen, pulls it out of nowhere.
[14:53.380 --> 14:54.380]  What is that?
[14:54.380 --> 14:55.380]  What's the...
[14:55.380 --> 14:57.380]  You want to say what kind of brand it is?
[14:57.380 --> 14:59.380]  Or I don't know if you want to shout it out.
[14:59.380 --> 15:01.380]  Yeah, well, they gave him that product to test out.
[15:01.380 --> 15:03.380]  And he doesn't really have a platform to give a review.
[15:03.380 --> 15:05.380]  You're tied up in the headphone cable.
[15:05.380 --> 15:07.380]  So you're going to be stuck for life now.
[15:07.380 --> 15:09.380]  But go ahead and tell him the name of the thing.
[15:09.380 --> 15:11.380]  And then I hit it once.
[15:11.380 --> 15:12.380]  I'll tell you my opinion.
[15:12.380 --> 15:13.380]  It's a Neos.
[15:13.780 --> 15:15.780]  I'll shut up so you can talk.
[15:15.780 --> 15:17.780]  The company is Neos.
[15:17.780 --> 15:25.780]  In my opinion, it's an easier draw and better tasting and more effective than some of the other companies.
[15:25.780 --> 15:26.780]  It's good.
[15:26.780 --> 15:29.780]  That's an interesting piece.
[15:29.780 --> 15:34.780]  They gave us some samples to try out to see if, you know, we wanted to carry their stuff.
[15:34.780 --> 15:35.780]  They're a fairly new company.
[15:35.780 --> 15:36.780]  Okay.
[15:36.780 --> 15:38.780]  So they're just trying to get their name out there pretty much.
[15:38.780 --> 15:39.780]  A lot of that's going down right now.
[15:40.180 --> 15:45.180]  The battery is a little bit bigger than some of the other companies that are a similar style.
[15:45.180 --> 15:50.180]  They have strain specific cartridges.
[15:50.180 --> 15:51.180]  It's CO2 oil.
[15:51.180 --> 15:52.180]  I don't know if you mentioned that yet.
[15:52.180 --> 15:53.180]  Yeah, CO2 oil.
[15:53.180 --> 15:54.180]  Yeah.
[15:54.180 --> 15:58.180]  It's a good product.
[15:58.180 --> 16:01.180]  It is not pro level.
[16:01.180 --> 16:03.180]  It's not dab kid dabs.
[16:03.180 --> 16:09.180]  But if you're looking for a vape pen like this, it's really attractive.
[16:09.580 --> 16:12.580]  Okay, so you just replaced the cartridge on the end.
[16:12.580 --> 16:13.580]  Okay, I see it now.
[16:13.580 --> 16:14.580]  Cool.
[16:14.580 --> 16:15.580]  I was looking for the unscrewy part, but you had your finger right there.
[16:15.580 --> 16:18.580]  There's a USB that attaches to the other end.
[16:18.580 --> 16:19.580]  Cool.
[16:19.580 --> 16:20.580]  And the very end of it is a stylus.
[16:20.580 --> 16:21.580]  What does that cost?
[16:21.580 --> 16:24.580]  If I were a rec patient, what would that cost me?
[16:24.580 --> 16:27.580]  We haven't started carrying them yet, so I'm not sure.
[16:27.580 --> 16:31.580]  But similar companies with smaller batteries, like I said, that aren't as great.
[16:31.580 --> 16:35.580]  A starter package is about $58 and some change.
[16:35.980 --> 16:41.980]  For a small cartridge, just a 150 milligram cartridge and a battery.
[16:41.980 --> 16:42.980]  You don't have to replace the battery.
[16:42.980 --> 16:43.980]  You can recharge it.
[16:43.980 --> 16:47.980]  So you just have to come get cartridges, and they make them in three different sizes.
[16:47.980 --> 16:53.980]  But these new ones that we're testing out, we're probably going to start carrying those.
[16:53.980 --> 16:55.980]  And I'm not sure what the price will be on those.
[16:55.980 --> 16:57.980]  It'll be similar, definitely.
[16:57.980 --> 16:59.980]  But it's a cool little piece.
[16:59.980 --> 17:01.980]  I noticed a different high.
[17:01.980 --> 17:02.980]  I noticed a different high from it.
[17:02.980 --> 17:04.980]  We've been dabbing for a while, and I just took another rip off that.
[17:05.380 --> 17:06.380]  And my high changed.
[17:06.380 --> 17:08.380]  It got me a little different.
[17:08.380 --> 17:09.380]  It's a cool product.
[17:09.380 --> 17:12.380]  It's lemon diesel, this particular cartridge.
[17:12.380 --> 17:14.380]  I'm going to take a dab of some Turpex, of course.
[17:14.380 --> 17:17.380]  I might have friends that are Turpex.
[17:17.380 --> 17:19.380]  Something may have hooked me up with some hash there.
[17:19.380 --> 17:20.380]  Someone might have.
[17:20.380 --> 17:21.380]  Turpex is badass.
[17:21.380 --> 17:24.380]  Yeah, Jordan, Jordan, Grammy Gatsby.
[17:24.380 --> 17:27.380]  There are more of the guys, but those are the guys I kick with mostly.
[17:27.380 --> 17:28.380]  I'm going to take this dab.
[17:28.380 --> 17:29.380]  Somebody talk for me for a couple seconds.
[17:29.380 --> 17:33.380]  But no, it's definitely a very attractive case and all that stuff.
[17:33.780 --> 17:34.780]  That's what I'm talking about.
[17:34.780 --> 17:39.780]  Why not get something like that and fill it full of wax that she'll hit maybe.
[17:39.780 --> 17:42.780]  She probably won't clear the damn thing in a week.
[17:44.780 --> 17:45.780]  That would last your wife a week?
[17:45.780 --> 17:47.780]  Oh, that would last a while, dude.
[17:47.780 --> 17:48.780]  I don't know.
[17:48.780 --> 17:50.780]  Those cartridges will last a bit.
[17:50.780 --> 17:52.780]  I can't say if it will or not.
[17:52.780 --> 17:55.780]  But it's very, it's a smooth pull.
[17:55.780 --> 17:56.780]  You don't have to push a button.
[17:56.780 --> 17:57.780]  It's simple.
[17:57.780 --> 18:00.780]  Like I said, you wear it with a black shirt.
[18:00.780 --> 18:01.780]  I didn't even see it.
[18:02.180 --> 18:03.180]  You know, like.
[18:05.180 --> 18:06.180]  All right.
[18:06.180 --> 18:08.180]  That was enough of a free shout out.
[18:10.180 --> 18:13.180]  I got a message on Facebook from a listener named Fred.
[18:13.180 --> 18:18.180]  And ironically, he was asking me to talk about acquiring seeds.
[18:18.180 --> 18:22.180]  It's really great because this email came today while I was preparing for the show.
[18:24.180 --> 18:25.180]  Sorry, excuse my cough, guys.
[18:25.180 --> 18:26.180]  That's from dabs.
[18:26.180 --> 18:28.180]  That's from big dabs.
[18:28.580 --> 18:31.580]  So, I want to talk about acquiring seeds.
[18:31.580 --> 18:35.580]  But before I do that, let me give a little bit of a legal disclaimer.
[18:35.580 --> 18:38.580]  Because we don't want to be the next Mark Emory.
[18:38.580 --> 18:42.580]  It may be illegal to acquire cannabis seeds in your location.
[18:42.580 --> 18:44.580]  It is your responsibility to.
[18:45.580 --> 18:46.580]  Awesome.
[18:47.580 --> 18:48.580]  Let's start that again.
[18:48.580 --> 18:51.580]  I'm not even going to try to edit any of that.
[18:51.580 --> 18:55.580]  It is your responsibility to know the laws in your location.
[18:55.980 --> 19:00.980]  Any company online that will send you seeds is only sending them to you for souvenir purposes.
[19:00.980 --> 19:06.980]  Germinating cannabis seeds is illegal in most places.
[19:06.980 --> 19:08.980]  I'm not here to help you break the law.
[19:08.980 --> 19:12.980]  If you decide to buy and or germinate cannabis seeds, I cannot be responsible for you.
[19:14.980 --> 19:16.980]  I live in Colorado where cannabis is legalized.
[19:16.980 --> 19:21.980]  So, most of my advice is for Colorado, California, Oregon, Washington, or Michigan residents.
[19:22.380 --> 19:25.380]  Be careful and don't get your ass into trouble.
[19:25.380 --> 19:27.380]  Because I'm not a lawyer and I'm not responsible.
[19:27.380 --> 19:31.380]  I'm simply the host of a badass podcast.
[19:31.380 --> 19:33.380]  That's a cool fucking disclaimer, right?
[19:33.380 --> 19:34.380]  Absolutely.
[19:34.380 --> 19:36.380]  I just had to do that because I don't.
[19:36.380 --> 19:40.380]  Guys, if you're ordering seeds, you must be 18 or 21.
[19:40.380 --> 19:42.380]  And you got to be responsible.
[19:42.380 --> 19:44.380]  You have to be smart.
[19:45.380 --> 19:47.380]  Know the rules where you are.
[19:48.380 --> 19:49.380]  In your location.
[19:49.380 --> 19:50.380]  I think they might have used.
[19:50.380 --> 19:51.380]  That's not good.
[19:51.780 --> 19:52.780]  Know the rules in your location.
[19:52.780 --> 19:54.780]  I've used poor grammar, but still.
[19:54.780 --> 19:55.780]  Do that shit.
[19:55.780 --> 20:01.780]  So, now with all that being said, here's what I can tell you about acquiring yourself some seeds.
[20:01.780 --> 20:02.780]  Yourself.
[20:02.780 --> 20:03.780]  Acquiring some seeds.
[20:04.780 --> 20:06.780]  I like quality seeds from reputable breeders.
[20:08.780 --> 20:10.780]  You guys want to rant on breeders for a minute?
[20:10.780 --> 20:11.780]  Who are some of your favorites?
[20:11.780 --> 20:12.780]  I know who you're going to say.
[20:12.780 --> 20:13.780]  Go for it.
[20:13.780 --> 20:14.780]  Say whoever you want.
[20:14.780 --> 20:15.780]  I mean, I've only heard of a few.
[20:15.780 --> 20:16.780]  You know what I'm saying?
[20:16.780 --> 20:18.780]  TGA's definitely got the respect.
[20:18.780 --> 20:19.780]  TGA's sub 4 seeds.
[20:19.780 --> 20:20.780]  Rare Dankness.
[20:21.180 --> 20:22.180]  Rare Dankness is definitely great.
[20:22.180 --> 20:23.180]  I respect both of those guys.
[20:23.180 --> 20:25.180]  And of course, you know, I'm a geneticist.
[20:25.180 --> 20:26.180]  They'll be mentioned in here.
[20:26.180 --> 20:27.180]  That's me, of course.
[20:27.180 --> 20:28.180]  So, you don't have to.
[20:28.180 --> 20:29.180]  Whatever.
[20:29.180 --> 20:30.180]  Alright, whatever.
[20:30.180 --> 20:31.180]  You're already here getting dabs.
[20:31.180 --> 20:32.180]  Don't worry about that.
[20:32.180 --> 20:33.180]  Okay, sure.
[20:33.180 --> 20:34.180]  I was just going to put it out there.
[20:34.180 --> 20:35.180]  Kelly Connection.
[20:35.180 --> 20:36.180]  Who are you thinking?
[20:36.180 --> 20:37.180]  I'm honestly a fan.
[20:37.180 --> 20:38.180]  MTG seeds.
[20:38.180 --> 20:41.180]  I'm honestly a fan of a lot of the new seed breeders coming out.
[20:41.180 --> 20:42.180]  The new guys?
[20:42.180 --> 20:50.180]  Not to take anything away from some of the old guys who have really paved the way and helped a lot of the new seed breeders get good genetic information.
[20:50.580 --> 20:52.580]  Get good genetics to breed with.
[20:52.580 --> 20:55.580]  So, you can't take anything away from those guys.
[20:55.580 --> 21:01.580]  But, I mean, some of the IRI Genetics, La Plata Labs, Gage Green Genetics.
[21:01.580 --> 21:03.580]  Like, they're all doing some really awesome stuff.
[21:03.580 --> 21:07.580]  And they're thinking about what they're crossing and what they're trying to get out of their crosses.
[21:07.580 --> 21:10.580]  And not just finding a good phenotype.
[21:10.580 --> 21:15.580]  They're actually looking for flavor profiles and cannabinoid profiles.
[21:15.580 --> 21:18.580]  And they're getting what they want out of it.
[21:18.980 --> 21:22.980]  And a lot of that has to do with the way they do things.
[21:22.980 --> 21:28.980]  A lot of the new seed breeders are really community friendly and dispersing a lot of seeds to a lot of people.
[21:28.980 --> 21:35.980]  And allowing them to perform their methods of growing and find different types of plants.
[21:35.980 --> 21:44.980]  There's an occasional secret meeting at a place in Denver where a few of us are chosen to meet at this mansion.
[21:44.980 --> 21:45.980]  Shout out to the King of Quality.
[21:45.980 --> 21:46.980]  Mile High Seeds?
[21:47.380 --> 21:48.380]  Yeah.
[21:48.380 --> 21:49.380]  Mile High is there.
[21:49.380 --> 21:50.380]  La Plata Labs is there.
[21:50.380 --> 21:51.380]  Sin City goes.
[21:51.380 --> 21:53.380]  Alpha Chronic shows up.
[21:53.380 --> 21:54.380]  A bunch of us breeders.
[21:54.380 --> 21:55.380]  IRI Genetics goes.
[21:55.380 --> 21:58.380]  And we all take packages of our newest shit or whatever.
[21:58.380 --> 21:59.380]  Our secret weapon.
[21:59.380 --> 22:00.380]  And we trade.
[22:00.380 --> 22:01.380]  Yeah.
[22:01.380 --> 22:06.380]  And, like, Mile High has given me his Apollo Times Brothers Hayes.
[22:06.380 --> 22:08.380]  And I give him my Grateful Dog.
[22:08.380 --> 22:11.380]  You know, like, just trade packs of seeds around the table.
[22:11.380 --> 22:15.380]  And we all, yeah, we try to keep it together with each other instead of trying to compete.
[22:15.780 --> 22:19.780]  We're trying to be like, well, here, bro, here's some face-off OG for some heart of gold.
[22:19.780 --> 22:20.780]  You know, like.
[22:20.780 --> 22:21.780]  Barter.
[22:21.780 --> 22:22.780]  Trade.
[22:22.780 --> 22:24.780]  Then you don't need a bank account.
[22:24.780 --> 22:25.780]  That's right.
[22:25.780 --> 22:26.780]  That's right.
[22:26.780 --> 22:28.780]  So that's a few of our favorite breeders.
[22:28.780 --> 22:30.780]  Buy some seeds from reputable breeders.
[22:30.780 --> 22:31.780]  I'm a breeder.
[22:31.780 --> 22:33.780]  I am IRI Genetics.
[22:33.780 --> 22:39.780]  I would say, since it's hard to get IRI Genetics seeds, Gage Green is one of my favorites.
[22:39.780 --> 22:41.780]  I use Gage Green for breeding stuff.
[22:42.180 --> 22:47.180]  If you want to get into a breeding stuff and you want a reliable male, I can't believe I'm fucking telling the world this,
[22:47.180 --> 22:50.180]  but Gage Green is a good place to find a nice, reliable male.
[22:50.180 --> 22:52.180]  That's true shit right there.
[22:52.180 --> 22:54.180]  That's how friendly I am.
[22:54.180 --> 22:58.180]  But be careful with your breeding because you can still fuck up even with that good male.
[22:58.180 --> 22:59.180]  It's how much I like you guys.
[22:59.180 --> 23:00.180]  You listen to my show.
[23:00.180 --> 23:01.180]  It's awesome.
[23:01.180 --> 23:03.180]  So bag seeds are fun, but they're not as reliable.
[23:03.180 --> 23:07.180]  Bag seeds are seeds that you find in weed, of course, right?
[23:07.180 --> 23:10.180]  They're not as reliable as something you'd find.
[23:10.580 --> 23:14.580]  I'm going to give you something with a specific Paris bred for certain traits like Kevin was saying earlier.
[23:14.580 --> 23:16.580]  So it's kind of cool that he touched on that.
[23:16.580 --> 23:18.580]  Your first option is bag seed.
[23:18.580 --> 23:22.580]  That's shit that you, of course, found in that cush that you bought from that guy in the park and it had a seed in it.
[23:22.580 --> 23:23.580]  Grow that out.
[23:23.580 --> 23:24.580]  See what happens.
[23:24.580 --> 23:29.580]  But keep a close eye on any bag seed because it could be a male or it could be a hermaphrodite.
[23:29.580 --> 23:30.580]  Yep.
[23:30.580 --> 23:31.580]  Yep.
[23:31.580 --> 23:33.580]  Adam's got a yard full of herms.
[23:33.580 --> 23:34.580]  Mm-hmm.
[23:34.580 --> 23:35.580]  Mm-hmm.
[23:35.580 --> 23:36.580]  Mm-hmm.
[23:36.580 --> 23:37.580]  Mm-hmm.
[23:37.980 --> 23:39.980]  Get seeds at a dispensary or a co-op.
[23:39.980 --> 23:48.980]  Many of the shops in California, Colorado, Washington, and Michigan have seeds from reputable breeders available on the shelves in the dispensaries.
[23:48.980 --> 23:55.980]  Almost everywhere in the Pacific Northwest has fucking TGA sub cool seeds all over the place.
[23:55.980 --> 23:59.980]  Most of the shops in Colorado, you can pick up yourself some rare dankness.
[24:00.380 --> 24:11.380]  Michigan's got, oddly enough, they've got Gage Green Genetics because our friend Yankee trolls up and down the East Coast there and takes care of them with the Gage Green.
[24:11.380 --> 24:13.380]  He's a Gage Green rep and he's awesome.
[24:13.380 --> 24:14.380]  They're taken care of.
[24:14.380 --> 24:16.380]  There are seeds on shops and shelves.
[24:16.380 --> 24:17.380]  I was reading.
[24:17.380 --> 24:18.380]  I forgot.
[24:18.380 --> 24:19.380]  There you go.
[24:19.380 --> 24:27.380]  You can also pick up seeds at cannabis events like the Cannabis Cup and Hemfest or whatever else is happening this month because there seems to be an event every damn month now.
[24:27.380 --> 24:28.380]  The breeders go.
[24:28.380 --> 24:29.380]  They set up a tent.
[24:29.780 --> 24:30.780]  Do a little bit of research online.
[24:30.780 --> 24:31.780]  Look what you're...
[24:31.780 --> 24:32.780]  Find out what you're looking for.
[24:32.780 --> 24:34.780]  Find out what you should be paying.
[24:34.780 --> 24:42.780]  Expect to pay about a hundred bucks for a ten-pack of seeds, honestly, between 60 and 120, but about a hundred bucks for a ten-pack of seeds.
[24:42.780 --> 24:49.780]  So, before you go to the events, go and find out what you want and then go there and see if you can find those breeders and you'll have a little shopping done.
[24:49.780 --> 24:51.780]  It'll be a little easier for you.
[24:52.180 --> 25:00.180]  But those are only viable options if you live in or if you can travel to a legal state like Colorado or to Hemfest, which is happening right now.
[25:00.180 --> 25:02.180]  It'll be over by the time you hear this.
[25:02.180 --> 25:03.180]  Sorry.
[25:03.180 --> 25:05.180]  That may not be an option for most of you guys.
[25:05.180 --> 25:09.180]  So, in this case, you're going to need to order your seeds online.
[25:09.180 --> 25:15.180]  Now, if you're in the United States, I strongly recommend naturesgreenremedies.com.
[25:15.180 --> 25:18.180]  My company has a great working relationship with Nature's Green Remedies.
[25:18.580 --> 25:25.580]  I'm friends with most of the breeders stocked on Nature's Green Remedies and I trust everyone that I've done business with involved with Nature's Green Remedies.
[25:25.580 --> 25:29.580]  So, I strongly recommend naturesgreenremedies.com for seeds in the U.S.
[25:29.580 --> 25:33.580]  Like I said, expect to pay around a hundred dollars for a ten-pack of seeds.
[25:33.580 --> 25:35.580]  Sometimes you get a twelve-pack.
[25:35.580 --> 25:37.580]  Some brands are a little cheaper.
[25:37.580 --> 25:38.580]  Some are slightly higher.
[25:38.580 --> 25:42.580]  Feminized seeds often run a little more expensive because they're harder to produce.
[25:42.580 --> 25:47.580]  You get way less feminized seeds out of a breeding project than you do regular seeds.
[25:47.980 --> 25:49.980]  It takes more time. It takes more space. It takes more energy.
[25:49.980 --> 25:52.980]  So, of course, we want more money for that.
[25:52.980 --> 25:54.980]  I do not charge my regular seeds.
[25:54.980 --> 25:56.980]  My feminized seeds are the same price.
[25:56.980 --> 25:58.980]  I charge the same price all the way around.
[25:58.980 --> 26:02.980]  Nature's Green Remedies uses discreet.
[26:02.980 --> 26:03.980]  That's discreet.
[26:03.980 --> 26:06.980]  That means they don't write, these are seeds on the package.
[26:06.980 --> 26:10.980]  Nature's Green Remedies uses discreet priority shipping.
[26:10.980 --> 26:12.980]  And they're right here in the United States.
[26:12.980 --> 26:15.980]  So, you know your seeds will arrive in just a few short days.
[26:16.380 --> 26:18.380]  They don't have to pass through customs and get held up.
[26:18.380 --> 26:20.380]  They take all kinds of time.
[26:20.380 --> 26:22.380]  America. They're right here in America.
[26:22.380 --> 26:25.380]  So, speaking of Nature's Green Remedies.
[26:27.380 --> 26:31.380]  This podcast is brought to you by Nature's Green Remedies dot com.
[26:31.380 --> 26:34.380]  Visit Nature's Green Remedies dot com for Gage Green Genetics,
[26:34.380 --> 26:38.380]  La Plata Labs, Sin City, Rare Dankness, Mile High, Canaventure,
[26:38.380 --> 26:41.380]  Irie Genetics, and many more trusted brands.
[26:41.380 --> 26:43.380]  They add new stuff all the time.
[26:43.380 --> 26:45.380]  There's some stuff that I'm not aware of.
[26:45.780 --> 26:46.780]  Some stuff that I'm not familiar with.
[26:46.780 --> 26:47.780]  So, check them out.
[26:47.780 --> 26:50.780]  Nature's Green Remedies is running a special for our loyal podcast listeners.
[26:50.780 --> 26:51.780]  I'm going to drop the music out.
[26:51.780 --> 26:52.780]  This part's important.
[26:53.780 --> 26:54.780]  Check it out guys and gals.
[26:54.780 --> 26:57.780]  Here's a special promo offer from Irie Genetics.
[26:58.780 --> 27:00.780]  What are you guys signaling at each other over there?
[27:00.780 --> 27:02.780]  You got some sign language happening.
[27:02.780 --> 27:03.780]  I want to know.
[27:03.780 --> 27:04.780]  I feel left out.
[27:04.780 --> 27:05.780]  That his pen got me set back in my seat.
[27:05.780 --> 27:06.780]  Nice.
[27:06.780 --> 27:07.780]  So, the pen works.
[27:07.780 --> 27:08.780]  That's awesome.
[27:08.780 --> 27:09.780]  I'm glad I got it.
[27:09.780 --> 27:10.780]  I'm trying to signal that.
[27:10.780 --> 27:11.780]  That's good.
[27:11.780 --> 27:12.780]  I'm just fucking.
[27:12.780 --> 27:13.780]  Dude, you had me excited.
[27:13.780 --> 27:14.780]  I was more.
[27:15.180 --> 27:17.180]  I wanted to know what you were doing.
[27:17.180 --> 27:18.180]  This ad will be here.
[27:18.180 --> 27:22.180]  That was interesting watching you do fucking redneck sign language over there.
[27:22.180 --> 27:23.180]  Yeah, yeah.
[27:23.180 --> 27:24.180]  I see.
[27:24.180 --> 27:25.180]  I was trying to figure out what was happening.
[27:25.180 --> 27:27.180]  It's like giving monkeys tools for the first time.
[27:27.180 --> 27:28.180]  You're like.
[27:28.180 --> 27:29.180]  You're fucking.
[27:31.180 --> 27:32.180]  Alright.
[27:32.180 --> 27:33.180]  That's fucking great.
[27:33.180 --> 27:34.180]  Alright, so here we go.
[27:34.180 --> 27:35.180]  That's not my joke anyway.
[27:35.180 --> 27:36.180]  Giving monkeys tools for.
[27:36.180 --> 27:37.180]  Okay, sure.
[27:37.180 --> 27:38.180]  Sure.
[27:38.180 --> 27:39.180]  That's not me.
[27:39.180 --> 27:40.180]  It's like watching monkeys use tools.
[27:40.180 --> 27:41.180]  I don't know where I heard it, but that's not mine.
[27:41.180 --> 27:42.180]  Alright.
[27:42.180 --> 27:43.180]  I'm going to back up.
[27:43.180 --> 27:44.180]  Rewind.
[27:44.580 --> 27:48.580]  Alright, here's a special promo offer from IRI Genetics, Nature's Green Remedies, and
[27:48.580 --> 27:49.580]  Agriculture.
[27:49.580 --> 27:50.580]  You guys ready?
[27:50.580 --> 27:56.380]  From 7 a.m. Monday morning when this podcast launches until 1159 p.m.
[27:56.380 --> 28:03.220]  Mountain Time Sunday night on August 24th, any order over $25 on naturesgreenremedies.com
[28:03.220 --> 28:07.540]  will receive a free five pack of Arise from IRI Genetics.
[28:07.540 --> 28:11.220]  If you use coupon code episode 25.
[28:11.220 --> 28:12.220]  Episode 25.
[28:12.220 --> 28:13.220]  All one word.
[28:13.260 --> 28:18.860]  You will also receive 15% off your entire order and you will receive a free priority
[28:18.860 --> 28:19.860]  shipping.
[28:19.860 --> 28:20.860]  So here it is again.
[28:20.860 --> 28:28.140]  Any order over $25 gets a free five pack of Arise, 15% off and free priority shipping
[28:28.140 --> 28:33.340]  if you use coupon code episode 25 before Sunday night at midnight.
[28:33.340 --> 28:37.520]  You can order any brand in this promo and the price is still valid.
[28:37.520 --> 28:43.840]  You can get Rare Dankness, Gage Green Genetics, IRI Genetics, La Plata Labs, Sin City, Mile
[28:43.840 --> 28:49.240]  High, Alpha Chronic, Bog, or any other brand available at naturesgreenremedies.com and
[28:49.240 --> 28:57.360]  you still get 15% off your entire order with the coupon code episode 25 at naturesgreenremedies.com.
[28:57.360 --> 29:01.500]  I'm trying to hook up the loyal podcast listeners with a free five pack of seeds because I fucking
[29:01.500 --> 29:02.500]  love you guys.
[29:02.500 --> 29:03.500]  I need a drink right quick.
[29:03.500 --> 29:04.500]  Hold on.
[29:04.500 --> 29:05.500]  That is a bad ass deal.
[29:05.500 --> 29:09.500]  That was a long promo to say without taking a breath or a drink.
[29:09.500 --> 29:11.340]  Arise is the new stuff, right?
[29:11.340 --> 29:17.500]  That's your, um, it's a golden goat female that was pollinated by a Gage Green Genetics
[29:17.500 --> 29:18.980]  Daybreaker male.
[29:18.980 --> 29:19.980]  Bomb.
[29:19.980 --> 29:20.980]  Sounds tasty.
[29:20.980 --> 29:22.980]  Uh, it grows, uh, it grows.
[29:22.980 --> 29:25.140]  There are phenos that look like the golden goat.
[29:25.140 --> 29:29.700]  There are phenos that look like the Daybreaker and there's one right in the middle, buddy.
[29:29.700 --> 29:31.380]  There's almost no leaf on it.
[29:31.380 --> 29:35.180]  Daybreaker has big long fan leaves and no leaf so you don't have to trim it.
[29:35.180 --> 29:36.180]  Darn.
[29:36.180 --> 29:38.980]  And it's, uh, it's, it's, it's some head kicker.
[29:38.980 --> 29:39.980]  All right.
[29:39.980 --> 29:43.340]  So, uh, that lasts for one week, you guys.
[29:43.340 --> 29:46.980]  Uh, hopefully I don't run out because I packaged up a bunch.
[29:46.980 --> 29:47.980]  Hopefully I do run out.
[29:47.980 --> 29:51.420]  Hopefully I have to fucking message you guys and be like, I have to give you a 10 pack
[29:51.420 --> 29:54.140]  of something in substitute because you ran me out.
[29:54.140 --> 29:55.580]  I hope that's what happens.
[29:55.580 --> 30:00.460]  Uh, guys, please try to just do one order per household or one order per person.
[30:00.540 --> 30:02.780]  Don't try to, uh, it's a freebie dude.
[30:02.780 --> 30:04.940]  Come on, just be kind with the freebies is what I'm trying to say.
[30:04.940 --> 30:05.940]  Share the wealth.
[30:05.940 --> 30:10.620]  So, uh, big thanks, much respect to nature's green remedies.com for the promotion and for
[30:10.620 --> 30:11.620]  the continued support.
[30:11.620 --> 30:14.660]  And thank you to you guys for participating in the promos that we do.
[30:14.660 --> 30:16.100]  I hope that helps you guys out.
[30:16.100 --> 30:18.900]  Hope that shows that, uh, I love my listeners.
[30:18.900 --> 30:22.500]  So while we're on this little advertising kick, let's just do this podcast is brought
[30:22.500 --> 30:24.940]  to you by high grow indoor growing supplies.
[30:24.940 --> 30:28.220]  High grow indoor growing supplies has two locations to serve Colorado.
[30:28.860 --> 30:33.620]  Visit the Denver store at 62 71 beach street unit F or stop by the new Pueblo location
[30:33.620 --> 30:36.220]  on six 18 East fourth street in Pueblo, Colorado.
[30:36.220 --> 30:37.980]  Did you guys hear my voice crack on that one?
[30:37.980 --> 30:38.980]  That's from a dab.
[30:38.980 --> 30:44.140]  I'm trying to keep it going over here, but I'm running out of moisture.
[30:44.140 --> 30:48.460]  Check out high grow for competitive pricing and a great selection of indoor grow supplies.
[30:48.460 --> 30:54.300]  Don't forget to visit www.highgrowdenver.com for current store hours and special sales.
[30:54.300 --> 30:57.080]  Go check out the new Pueblo location and tell them Rasta Jeff sent you.
[30:57.280 --> 31:03.880]  Don't forget about the deal on a tote of soil for 550 bucks or $600 delivered anywhere in
[31:03.880 --> 31:05.320]  the state of Colorado.
[31:05.320 --> 31:10.080]  Uh, also shout out to our friends at oil slick, oil slick tools to help you concentrate.
[31:10.080 --> 31:12.840]  Check out oil slick pad.com for more information.
[31:12.840 --> 31:14.840]  Make sure you follow oil slick on Twitter.
[31:14.840 --> 31:18.240]  Find them under at oil slick pad, send them a tweet and let them know you're listening
[31:18.240 --> 31:20.960]  to the I grow culture podcast.
[31:20.960 --> 31:22.560]  One more commercial guys.
[31:22.560 --> 31:24.480]  Big love to tree thugger.com.
[31:24.480 --> 31:28.880]  This episode is brought to you in part by tree thugger.com live music lifestyle magazine.
[31:28.880 --> 31:33.760]  Check out tree thugger.com for concert and festival news and reviews.
[31:33.760 --> 31:40.080]  www.tree thugger.com much respect to all of our sponsors for making this show possible.
[31:40.080 --> 31:41.480]  Dude, I got to take another drink.
