[00:01.660 --> 00:03.660]  Anyway!
[18:47.660 --> 18:48.660]  the humidity,
[18:48.660 --> 18:49.660]  the temperature.
[18:49.660 --> 18:50.660]  That's what we're trying to do.
[18:50.660 --> 18:53.660]  We're trying to build a room that we can control to set the ideal climate
[18:53.660 --> 18:54.660]  for these plants.
[18:55.660 --> 18:56.660]  I guess we should,
[18:56.660 --> 18:57.660]  instead of just starting building a room,
[18:57.660 --> 18:58.660]  we should know what we're trying to build.
[18:58.660 --> 18:59.660]  That's what you want.
[18:59.660 --> 19:05.660]  You want a room that you can almost automate and let that happen and just
[19:05.660 --> 19:07.660]  turn everything on properly,
[19:07.660 --> 19:09.660]  get everything set up properly and let it run.
[19:09.660 --> 19:10.660]  Then when the nighttime comes,
[19:10.660 --> 19:12.660]  you have a nighttime temperature selected.
[19:12.660 --> 19:13.660]  It'll get to that.
[19:13.660 --> 19:14.660]  When the daytime comes again,
[19:14.660 --> 19:15.660]  you have a daytime temp selected.
[19:15.660 --> 19:17.660]  The air conditioner kicks on at the right time.
[19:17.660 --> 19:19.660]  Your fans move at the right time.
[19:19.660 --> 19:20.660]  Your blowers are all at the right schedule.
[19:21.660 --> 19:27.660]  Then you can hit that perfect 50% humidity or 40% humidity mark.
[19:27.660 --> 19:30.660]  You can get your 77 degree mark in there.
[19:30.660 --> 19:32.660]  You can get it all perfect.
[19:32.660 --> 19:34.660]  You can have just a little bit of wind.
[19:34.660 --> 19:36.660]  That's what you're trying to do.
[19:36.660 --> 19:37.660]  You're trying to build that super happy,
[19:37.660 --> 19:40.660]  trying to build an aquarium for your plants or a cage for plants,
[19:40.660 --> 19:42.660]  the perfect habitat for these plants.
[19:42.660 --> 19:44.660]  A subclimate inside your house.
[19:44.660 --> 19:45.660]  Inside your house.
[19:45.660 --> 19:46.660]  Yeah, that's your goal.
[19:46.660 --> 19:48.660]  I guess I should have talked more about that at the beginning.
[19:49.660 --> 19:53.660]  Once you achieve that pretty dialed in perfect climate,
[19:53.660 --> 19:55.660]  growing becomes a lot easier.
[19:55.660 --> 19:57.660]  A lot, lot easier.
[19:57.660 --> 20:03.660]  The room, the genetics, what you're feeding,
[20:03.660 --> 20:05.660]  and then the grow, how you grow,
[20:05.660 --> 20:07.660]  that's pretty much what your components are.
[20:07.660 --> 20:10.660]  Light air, water, soil, and love.
[20:10.660 --> 20:12.660]  Cleanliness.
[20:12.660 --> 20:14.660]  Cleanliness is next to godliness when it comes to growing.
[20:14.660 --> 20:16.660]  Every little piece of trash or scrap,
[20:17.660 --> 20:18.660]  and not just in your grow room.
[20:18.660 --> 20:23.660]  If your grow room is in your mom's basement or your grandma's attic
[20:23.660 --> 20:28.660]  or your bedroom closet, all of those clothes, all those books,
[20:28.660 --> 20:31.660]  all those scraps of paper, all those cigarette butts, all the dust,
[20:31.660 --> 20:34.660]  that's all a place for a spider mite to hide.
[20:34.660 --> 20:36.660]  That's all a place for a thrip to lay a bug.
[20:36.660 --> 20:40.660]  Also, all that dust and cigarette smoke will end up in your concentrate
[20:40.660 --> 20:42.660]  and in your flowers.
[20:43.660 --> 20:47.660]  I've stopped sweeping my grow room now after about week six
[20:47.660 --> 20:50.660]  because I don't want to stir up the dust and put it in my flowers.
[20:50.660 --> 20:53.660]  I will let my grow room look a little shitty on the floor for a week
[20:53.660 --> 20:55.660]  to not sweep it up as often.
[20:55.660 --> 20:59.660]  I'll turn off all the fans and blowers and air conditioners now to sweep up
[20:59.660 --> 21:03.660]  because I don't want that sticking to my buds because that ends up in the hash.
[21:03.660 --> 21:05.660]  We're trying to make the best hash we can now.
[21:05.660 --> 21:08.660]  That seems to be the point that everybody's headed to.
[21:08.660 --> 21:09.660]  I still try to grow the best flowers,
[21:09.660 --> 21:11.660]  but of course we want the best hash to go with that.
[21:13.660 --> 21:15.660]  All right. That was a long rant.
[21:15.660 --> 21:20.660]  Other than things to consider, there are responsibilities that I think
[21:20.660 --> 21:24.660]  you should practice being a good grower.
[21:24.660 --> 21:28.660]  When you're setting up to grow, you don't want to piss off the neighbors.
[21:28.660 --> 21:32.660]  You don't want to attract unwanted attention by thieves or thugs.
[21:32.660 --> 21:34.660]  You don't want to get cop attention.
[21:34.660 --> 21:36.660]  This is something people don't think about.
[21:36.660 --> 21:39.660]  There are kids out there that love to steal pot plants now.
[21:39.660 --> 21:40.660]  Kids are getting braver.
[21:40.660 --> 21:43.660]  The younger kids are getting dumber and braver.
[21:43.660 --> 21:44.660]  They know what pot is.
[21:44.660 --> 21:47.660]  They know how to find a grow, and they don't want to steal your shit.
[21:47.660 --> 21:48.660]  Keep the pot.
[21:48.660 --> 21:51.660]  There are also innocent kids that will just see your pot and want to steal it
[21:51.660 --> 21:52.660]  just because they're curious.
[21:52.660 --> 21:54.660]  Be careful. Keep your pot away from the kids.
[21:54.660 --> 21:58.660]  I know I stress that, but I'm a father, so I don't want my kid finding your pot.
[21:58.660 --> 22:03.830]  Sorry. I needed a drink. That was a long rant.
[22:03.830 --> 22:06.830]  Some of the responsibilities that I think,
[22:06.830 --> 22:08.830]  and I want to thank my friends on Facebook for helping me out.
[22:08.830 --> 22:11.830]  I asked for a couple of pieces of advice on this topic
[22:11.830 --> 22:12.830]  and a few people chimed in.
[22:12.830 --> 22:15.830]  I owe a huge shout out to Mr. Chris Barkowitz.
[22:15.830 --> 22:18.830]  If you guys know Chris Barkowitz, you'll know why this is funny.
[22:18.830 --> 22:20.830]  You can Google his name if you want.
[22:20.830 --> 22:23.830]  I asked Chris Barkowitz, or I asked on Facebook,
[22:23.830 --> 22:25.830]  what would be a few things you could do to be a responsible grower
[22:25.830 --> 22:27.830]  and not get yourself in trouble?
[22:27.830 --> 22:29.830]  Chris's reply was, don't do interviews.
[22:29.830 --> 22:31.830]  Great answer. I love it.
[22:31.830 --> 22:33.830]  That's the golden answer right there.
[22:33.830 --> 22:36.830]  Chris is finally free after that interview, and welcome home, bro.
[22:36.830 --> 22:39.830]  You look good in that iRegenetics t-shirt.
[22:40.830 --> 22:42.830]  A few responsibilities being a grower.
[22:42.830 --> 22:45.830]  Make sure your lights are not visible from the outside.
[22:45.830 --> 22:48.830]  When you set up your grow room, when the sun goes down,
[22:48.830 --> 22:51.830]  turn on all your grow lights, walk outside,
[22:51.830 --> 22:54.830]  whatever, if you're in the basement, attic, bedroom,
[22:54.830 --> 22:57.830]  walk outside and see if you can see your grow lights.
[22:57.830 --> 23:00.830]  If you can see your grow lights, fix it. You're failing.
[23:00.830 --> 23:02.830]  That's the problem. That also means you have a light leak.
[23:02.830 --> 23:05.830]  Yeah, that means the lights are getting in during your flowering cycle,
[23:05.830 --> 23:08.830]  which you're just going to cause a bunch of hermaphrodites.
[23:08.830 --> 23:10.830]  Also, your next responsibility.
[23:10.830 --> 23:12.830]  Make sure the blowers and fans are not heard by neighbors
[23:12.830 --> 23:14.830]  or people walking past your grow.
[23:16.830 --> 23:19.830]  If there's a spot where you don't think people will ever walk,
[23:19.830 --> 23:21.830]  the day you build a damn grow, someone's going to walk there.
[23:21.830 --> 23:25.830]  The meter maid, the gas guy, some kid chasing his dog,
[23:25.830 --> 23:27.830]  some cop looking for someone else.
[23:27.830 --> 23:29.830]  They're going to walk right past that blower,
[23:29.830 --> 23:31.830]  and they're going to go, what is this?
[23:31.830 --> 23:33.830]  And you're going to think, no one's ever going to walk there.
[23:33.830 --> 23:35.830]  But as soon as you put a blower there, dude, they will.
[23:35.830 --> 23:37.830]  That's the way life works.
[23:37.830 --> 23:39.830]  So just be careful, plan ahead.
[23:39.830 --> 23:41.830]  Make sure no one can hear your blowers.
[23:41.830 --> 23:43.830]  Make sure no one can see your lights.
[23:43.830 --> 23:45.830]  There's ways to muffle.
[23:45.830 --> 23:48.830]  Insulating the duct, insulating the blower.
[23:48.830 --> 23:51.830]  You can disguise outlets as a dryer outlet.
[23:51.830 --> 23:54.830]  You can try to put it through the roof.
[23:54.830 --> 23:58.830]  Just move the blower to the other end of the chain so it's not so noisy.
[23:58.830 --> 24:00.830]  Not right at the window.
[24:00.830 --> 24:02.830]  Those mufflers are a great idea.
[24:02.830 --> 24:05.830]  They're actually available at a high-grow window or growing supplies.
[24:06.830 --> 24:09.830]  And actually, a cheaper alternative to the mufflers
[24:09.830 --> 24:13.830]  and better for your grow is a HEPA filter.
[24:13.830 --> 24:14.830]  Yes.
[24:14.830 --> 24:17.830]  Those will, if it's sucking in, those will help.
[24:17.830 --> 24:22.830]  Over all of my ends where I have drilled 6-inch holes or 8-inch holes
[24:22.830 --> 24:25.830]  to have my ends coming in, I get those little square HEPA filters
[24:25.830 --> 24:27.830]  that are just a sheet, I guess they're a rectangle,
[24:27.830 --> 24:30.830]  and I just staple those right over it with a staple gun onto the wall.
[24:30.830 --> 24:31.830]  For sure.
[24:31.830 --> 24:34.830]  Wherever I do a grow, yeah, that keeps your bugs out,
[24:34.830 --> 24:36.830]  all the stuff that you don't want in your hash, it keeps all that out of there.
[24:36.830 --> 24:38.830]  Filter everything twice.
[24:38.830 --> 24:40.830]  Yes, twice if you can.
[24:40.830 --> 24:43.830]  People are going, oh my God, how much is this going to cost?
[24:43.830 --> 24:46.830]  Building a good grow room does cost a little bit of money.
[24:46.830 --> 24:49.830]  People were asking last night, they're like, we've got this much budget,
[24:49.830 --> 24:52.830]  should we buy better this or better this?
[24:52.830 --> 24:56.830]  And that's kind of where I think you should get the best bulbs and ballasts you can.
[24:56.830 --> 24:57.830]  That's your first start.
[24:57.830 --> 24:59.830]  And then move your air.
[24:59.830 --> 25:02.830]  And then if you have to buy in chunks, I think you buy the lights
[25:02.830 --> 25:04.830]  and your air moving stuff, like your ducting, your blowers,
[25:04.830 --> 25:09.830]  and then your air conditioner, and then you buy your pots and soil and nutrients.
[25:09.830 --> 25:13.830]  Start with the room and just buy slowly instead of, but yeah.
[25:13.830 --> 25:17.830]  It's all about choosing where, the weakest link is always going to be the weakest link.
[25:17.830 --> 25:19.830]  It's hard to decide where to pinch your budget there.
[25:19.830 --> 25:21.830]  Get the good bulbs and good ballasts.
[25:21.830 --> 25:23.830]  That's definitely my opinion.
[25:23.830 --> 25:27.830]  So here's a big issue that we've been dealing with here in Pueblo.
[25:27.830 --> 25:31.830]  This caused a lot of, most of our new laws here that are being proposed in Pueblo
[25:31.830 --> 25:32.830]  are because of this issue.
[25:32.830 --> 25:35.830]  Make sure nobody can smell your grow.
[25:35.830 --> 25:38.830]  The smell is the most offensive and revealing part of your grow.
[25:38.830 --> 25:39.830]  Yes, I said offensive.
[25:39.830 --> 25:44.830]  There are some people that do not love the smell of sweet, sweet, sticky ganja in the morning.
[25:44.830 --> 25:46.830]  There's a guy here in our city that keeps complaining to city council
[25:46.830 --> 25:51.830]  that he can smell pot every day when he wakes up because his neighbors are growing the dank.
[25:51.830 --> 25:52.830]  Not a fan.
[25:52.830 --> 25:53.830]  Yeah.
[25:53.830 --> 25:55.830]  Keep that smell down.
[25:55.830 --> 25:58.830]  If you build your grow discreetly and you don't bring attention to yourself,
[25:58.830 --> 26:01.830]  your neighbors will never know you've got a grow in your home.
[26:01.830 --> 26:03.830]  It's a security issue too.
[26:03.830 --> 26:09.830]  Being able to, I mean, don't, that's just inviting people in, man.
[26:09.830 --> 26:10.830]  Or people.
[26:10.830 --> 26:12.830]  Not only thieves, but mooches.
[26:12.830 --> 26:16.830]  You make more friends than you've ever wanted when people find out you grow weed.
[26:16.830 --> 26:18.830]  Can I get one of those buds?
[26:18.830 --> 26:19.830]  No, dude.
[26:19.830 --> 26:20.830]  What are you talking about, man?
[26:20.830 --> 26:21.830]  What buds?
[26:21.830 --> 26:22.830]  There's a dead skunk in my backyard.
[26:22.830 --> 26:23.830]  I don't know what you're talking about.
[26:23.830 --> 26:26.830]  Fucking dog got sprayed again.
[26:27.830 --> 26:32.830]  Several years ago, I lived in another house and I had a grow in the basement there.
[26:32.830 --> 26:37.830]  The power went out and I was mid-flower, so it stinks, dude.
[26:37.830 --> 26:42.830]  The power guys had to come through everybody's backyard looking for the problem.
[26:42.830 --> 26:45.830]  I wasn't at the place, but my girlfriend was there.
[26:45.830 --> 26:47.830]  The power guy told my girlfriend,
[26:47.830 --> 26:51.830]  ma'am, I'd go in the house, it smells like you've got a skunk in the backyard.
[26:51.830 --> 26:55.830]  He could smell my grow completely.
[26:55.830 --> 26:58.830]  She just made a cringing face and went in the house and told me about it later.
[26:58.830 --> 27:02.830]  People can smell your, even if you can't smell it, people can smell your grow.
[27:02.830 --> 27:03.830]  You're around it.
[27:03.830 --> 27:04.830]  You sleep by it.
[27:04.830 --> 27:05.830]  You're in there.
[27:05.830 --> 27:06.830]  You wake up.
[27:06.830 --> 27:07.830]  You're smoking it.
[27:07.830 --> 27:10.830]  You're the last person that's going to smell it.
[27:10.830 --> 27:14.830]  Yeah, the church lady down the block can smell it down the street.
[27:14.830 --> 27:15.830]  Don't let anybody smell your grow.
[27:15.830 --> 27:19.830]  Here's step number four to be a good, responsible grower when you're building a grow room.
[27:19.830 --> 27:22.830]  Do whatever it takes to make sure no kids ever get into your grow space.
[27:22.830 --> 27:24.830]  I stuttered when I said that because I mean it.
[27:24.830 --> 27:26.830]  Make sure no kids ever get into your grow space.
[27:26.830 --> 27:28.830]  That's important.
[27:28.830 --> 27:33.830]  That's like the biggest black eye you can put on the cannabis community right now is letting kids get caught with your weed.
[27:33.830 --> 27:34.830]  Yeah.
[27:34.830 --> 27:35.830]  Here's something you might not think about.
[27:35.830 --> 27:39.830]  Most of the stuff was kind of obvious, but here's a good one.
[27:39.830 --> 27:41.830]  You're going to create a lot of waste growing plants in your house.
[27:41.830 --> 27:42.830]  You're going to have soil.
[27:42.830 --> 27:44.830]  You're going to have plant stems and stalks.
[27:44.830 --> 27:45.830]  You're going to have root balls.
[27:45.830 --> 27:49.830]  Find a responsible way to dispose of everything.
[27:49.830 --> 27:51.830]  Some of you guys live out in the rural areas.
[27:51.830 --> 27:53.830]  Burn that shit if you can.
[27:54.830 --> 27:55.830]  Compost it.
[27:55.830 --> 27:56.830]  Compost it if you can.
[27:56.830 --> 28:07.830]  Yeah, but see I live in the city and my grow is in a city facility, and so it's all got to be chopped up into little tiny pieces and put into secured trash bags, and it's got to be destroyed on site.
[28:07.830 --> 28:14.830]  So, you other guys, you're going to have to find what if the trash guy is dumping your trash and finds all your pot leaves in Connecticut when you're growing pot?
[28:14.830 --> 28:15.830]  What if he's not cool?
[28:15.830 --> 28:16.830]  What if he is cool?
[28:16.830 --> 28:18.830]  Then he's going to want your weed and he's going to rob you.
[28:18.830 --> 28:20.830]  If he's not cool, he's calling the cops.
[28:20.830 --> 28:21.830]  So be careful.
[28:22.830 --> 28:23.830]  They might find your trash.
[28:23.830 --> 28:36.830]  They cannot, from Jorge's book that I read, they cannot start a case based on your trash that does not justify a search warrant, but the trash can be used in court as part of the case.
[28:36.830 --> 28:38.830]  So, keep an eye on the trash.
[28:38.830 --> 28:39.830]  Evidence.
[28:39.830 --> 28:40.830]  Physical evidence.
[28:40.830 --> 28:41.830]  I actually know people.
[28:41.830 --> 28:47.830]  I lived in Lawrence, Kansas, and now that I think about it, I know people that got busted and had their trash used as evidence in court.
[28:48.830 --> 28:51.830]  I can't remember their names, but a couple of kids I worked at a place with.
[28:51.830 --> 28:52.830]  What's up, guys?
[28:52.830 --> 28:57.830]  I've heard that for drug dealing cases back in the day and stuff.
[28:57.830 --> 29:00.830]  Find that tape they wrap around the packaging?
[29:00.830 --> 29:02.830]  I had that happen to a friend, too.
[29:02.830 --> 29:10.830]  I worked at a bowling alley, and I found a bunch of that tape, that dark colored tape, and you could tell it was wrapped around like a – I've seen plenty of pounds of weed, like brick pounds of weed.
[29:10.830 --> 29:14.830]  I don't know if it was wrapped around weed or some cocaine or something, but it was that kind of tape, and I know exactly.
[29:14.830 --> 29:18.830]  Somebody had a nice bulk of something in my bowling alley one night.
[29:18.830 --> 29:19.830]  Wow.
[29:19.830 --> 29:21.830]  You found that in the trash at the bowling alley?
[29:21.830 --> 29:23.830]  In the trash in the bathroom, just sitting on the top.
[29:23.830 --> 29:27.830]  So, you're telling me that someone at evidence lockup may have been crooked?
[29:27.830 --> 29:29.830]  No, not the evidence tape.
[29:29.830 --> 29:30.830]  Oh, oh, oh.
[29:30.830 --> 29:32.830]  That would be a lot cooler.
[29:32.830 --> 29:34.830]  You know that brown tape they wrap the kilos with?
[29:34.830 --> 29:35.830]  Oh, yeah, yeah, yeah.
[29:35.830 --> 29:36.830]  It was a bunch of that.
[29:36.830 --> 29:37.830]  Gotcha.
[29:37.830 --> 29:43.830]  You know, a kilo of coke or a pound of weed in the bowling alley, which isn't really surprising now that I'm thinking about it.
[29:43.830 --> 29:44.830]  Oh, yeah.
[29:44.830 --> 29:47.830]  Bowling alleys are kind of sketchy places that people don't think about.
[29:47.830 --> 29:49.830]  So, think about what you guys are going to do with your trash.
[29:49.830 --> 29:53.830]  Guys, you've got a bunch of shit that you're going to have to throw away and not look obvious with it.
[29:53.830 --> 29:59.830]  If you've got more than two lights, when you harvest four lights worth of stuff, three lights worth of stuff, that's a lot of trash to take care of.
[29:59.830 --> 30:04.830]  And if you don't know what to do, if you don't know how to recycle and compost your soil, you've got soil to deal with, too.
[30:04.830 --> 30:06.830]  It's got perlite in it.
[30:06.830 --> 30:07.830]  It's got old nutrients in it.
[30:07.830 --> 30:08.830]  You've got to be careful.
[30:09.830 --> 30:10.830]  Here's another one.
[30:10.830 --> 30:12.830]  Keep your yard and house clean and presentable.
[30:12.830 --> 30:16.830]  Don't give your neighbors or anyone in the neighborhood a reason to dislike you.
[30:16.830 --> 30:17.830]  Don't stand out.
[30:17.830 --> 30:21.830]  If the house is on your block, get the lawn mowed once a week.
[30:21.830 --> 30:22.830]  Go mow the lawn once a week.
[30:22.830 --> 30:28.830]  If they've got flowers growing outside and it's a bunch of yuppies, look like a bunch of yuppies and grow flowers outside, dude.
[30:28.830 --> 30:30.830]  Try to fit in the best you can.
[30:31.830 --> 30:34.830]  Just don't be the neighborhood asshole if you're going to grow cannabis.
[30:34.830 --> 30:35.830]  Help out.
[30:35.830 --> 30:40.830]  When it snows, shovel the extra house next door on each side of you.
[30:40.830 --> 30:42.830]  Just do what you can to kind of be friendly.
[30:42.830 --> 30:49.830]  A friend of mine, Amanda, on Facebook said she actually just moved into a new house and she's building her grow in there in a legal state so I can talk about her.
[30:49.830 --> 30:53.830]  She said she walked to her neighbors on either side and introduced herself and said,
[30:54.830 --> 30:55.830]  I'm the new neighbor.
[30:55.830 --> 30:56.830]  Here's my phone number.
[30:56.830 --> 30:58.830]  If you ever have any problems, feel free to call me.
[30:58.830 --> 31:00.830]  If you guys ever want to hang out, just let me know.
[31:00.830 --> 31:03.830]  So by making friends and giving them her number, she's done two things.
[31:03.830 --> 31:06.830]  If they get pissed off at her, they won't call the cops.
[31:06.830 --> 31:10.830]  They'll call her or they'll come over and be like, hey, dude, your Grateful Dead music's too damn loud.
[31:10.830 --> 31:12.830]  Can you hippies chill out with the drum circle in here?
[31:12.830 --> 31:13.830]  Sorry, Amanda.
[31:13.830 --> 31:14.830]  I hope you're listening to that.
[31:14.830 --> 31:16.830]  And then she'll stop, you know.
[31:16.830 --> 31:20.830]  And then also if something's wrong, they don't have to call 911.
[31:20.830 --> 31:23.830]  They can call her and be like, your house is glowing.
[31:23.830 --> 31:25.830]  Like there's a bunch of light coming from the basement window.
[31:25.830 --> 31:26.830]  Your curtain fell.
[31:26.830 --> 31:27.830]  What's happening?
[31:27.830 --> 31:28.830]  They don't have to get to the cops right away.
[31:28.830 --> 31:30.830]  So just be a good neighbor.
[31:30.830 --> 31:31.830]  Introduce yourself.
[31:31.830 --> 31:32.830]  Make friends.
[31:32.830 --> 31:33.830]  Be social.
[31:33.830 --> 31:34.830]  That's my point.
[31:34.830 --> 31:36.830]  Number seven, we've talked about this.
[31:36.830 --> 31:40.830]  Don't burn the place down and make us all look like assholes.
[31:40.830 --> 31:42.830]  This cannabis revolution is new.
[31:42.830 --> 31:44.830]  There are tons of people who hate the movement.
[31:44.830 --> 31:46.830]  Fox News hates us.
[31:46.830 --> 31:50.830]  Anytime some dipshit burns down a house by blasting in doors or overpowering his breaker box,
[31:50.830 --> 31:52.830]  it makes the entire movement look stupid.
[31:52.830 --> 31:55.830]  So please, guys, don't be the asshole we see on Fox News.
[31:55.830 --> 31:59.830]  Like I said earlier, they're not going to say this medical marijuana provider had a snafu.
[31:59.830 --> 32:02.830]  They're going to say this drug lab erupted in flames.
[32:02.830 --> 32:06.830]  And you're going to be on the news in handcuffs in the back of a cop car looking like a dipshit.
[32:06.830 --> 32:08.830]  Please don't be that guy.
[32:08.830 --> 32:09.830]  Please.
[32:09.830 --> 32:12.830]  And there's no reason to.
[32:12.830 --> 32:14.830]  Grow equipment is pretty cheap nowadays.
[32:14.830 --> 32:17.830]  Don't use some sketchy asshole shit.
[32:17.830 --> 32:22.830]  If you're running a bunch of lights, get yourself a power box, plug it into the 240, and plug all the lights into that,
[32:22.830 --> 32:23.830]  and you're pretty much legit.
[32:23.830 --> 32:25.830]  You can run like eight lights on that thing.
[32:25.830 --> 32:27.830]  I think you can run nine or 12.
[32:27.830 --> 32:30.830]  I've seen like 16 light ones.
[32:30.830 --> 32:36.830]  But, yeah, if you know, and electrical upgrades aren't really that expensive.
[32:36.830 --> 32:40.830]  So if you're going nuts, you know, do it the right way.
[32:40.830 --> 32:42.830]  Don't run extension cords all over the damn place.
[32:42.830 --> 32:44.830]  No, each extension cord is a fire hazard.
[32:44.830 --> 32:45.830]  Each one.
[32:45.830 --> 32:48.830]  If you need electrical upgrades, guys, just call.
[32:48.830 --> 32:55.830]  Craigslist is filled with electricians that advertise that they're MMJ friendly or 420 friendly.
[32:55.830 --> 33:00.830]  Get one of those guys to come wire up your shit because when they do it, you'll be so impressed.
[33:00.830 --> 33:02.830]  It looks so cool to have your stuff.
[33:02.830 --> 33:05.830]  The first time you get a professionally wired up grow room, you got the wire going,
[33:05.830 --> 33:10.830]  like the little conduit going all the way across the room with the box every like eight feet or six feet for a plug in,
[33:10.830 --> 33:15.830]  and then like a big one big breaker box on the outside of the room that you can shut everything off
[33:15.830 --> 33:18.830]  so that you know you can work on shit and not get any electricity.
[33:18.830 --> 33:21.830]  Man, that is so sweet looking the first time you get that.
[33:21.830 --> 33:23.830]  So have a pro come do that.
[33:23.830 --> 33:25.830]  Find them on Craigslist if you need to.
[33:25.830 --> 33:29.830]  If you're in the southern Colorado area, I've got a guy, I got two guys for you.
[33:29.830 --> 33:33.830]  So if this first guy is busy, we can send his old boss to come help you out.
[33:33.830 --> 33:37.830]  Yeah, don't bring the shit down.
[33:37.830 --> 33:38.830]  That's what we're talking about.
[33:38.830 --> 33:40.830]  There's no reason for it.
[33:40.830 --> 33:45.830]  That should be one of the number one things when you're setting up a grow room.
[33:45.830 --> 33:49.830]  Guys, I always add a fire extinguisher and a smoke alarm.
[33:49.830 --> 33:51.830]  Put a smoke detector in the grow rooms.
[33:51.830 --> 33:53.830]  Put it near the exhaust fan.
[33:53.830 --> 33:59.830]  Like if you've got a carbon filter sucking air out, put it near there because the smoke is going to get sucked toward that.
[33:59.830 --> 34:01.830]  That way, put the smoke alarm there.
[34:01.830 --> 34:07.830]  I put a fire extinguisher outside of the damn grow room because you don't want to have to run in there and get the extinguisher
[34:07.830 --> 34:08.830]  if that room is on fire.
[34:08.830 --> 34:12.830]  You want to be able to kick in the door and just start spraying that shit.
[34:12.830 --> 34:16.830]  At Hygro Indoor Growing Supplies, you can pick up an item called the Flame Defender.
[34:16.830 --> 34:17.830]  I haven't used it.
[34:17.830 --> 34:19.830]  I've done a lot of research about it.
[34:19.830 --> 34:21.830]  I need those.
[34:21.830 --> 34:22.830]  Those look like the way to go.
[34:22.830 --> 34:24.830]  I think we're going to get ourselves set up with those.
[34:24.830 --> 34:25.830]  Yeah.
[34:25.830 --> 34:26.830]  We'll test them.
[34:26.830 --> 34:28.830]  Hopefully, we never have to test them out.
[34:28.830 --> 34:30.830]  Hopefully, we never find out how good those work.
[34:30.830 --> 34:31.830]  Yeah.
[34:31.830 --> 34:32.830]  All right.
[34:32.830 --> 34:38.830]  Guys, once you've figured out how much herb you need to produce, that's when you can start designing your grow space.
[34:38.830 --> 34:41.830]  Actually, sometimes your space dictates how you build your grow.
[34:41.830 --> 34:45.830]  That's where the fun kicks in, in my opinion.
[34:45.830 --> 34:48.830]  Building a grow is all about adapting to the space you're provided.
[34:48.830 --> 34:50.830]  Some of you guys are going to use a small closet.
[34:50.830 --> 34:52.830]  Some of you might use a spare bedroom.
[34:52.830 --> 34:54.830]  Some of you guys are going to buy a grow hut and set that up.
[34:54.830 --> 34:56.830]  I will do a lot of talking about a grow hut.
[34:56.830 --> 34:57.830]  Maybe not on this episode.
[34:57.830 --> 34:59.830]  We're already 35 minutes in.
[34:59.830 --> 35:00.830]  But I will definitely.
[35:00.830 --> 35:01.830]  I'm writing that down.
[35:01.830 --> 35:02.830]  Grow hut.
[35:02.830 --> 35:03.830]  They're very versatile.
[35:03.830 --> 35:04.830]  Yeah.
[35:04.830 --> 35:07.830]  A lot of people made fun of them at first.
[35:07.830 --> 35:09.830]  But I have done some breeding.
[35:09.830 --> 35:10.830]  I've done some phenoselection.
[35:10.830 --> 35:13.830]  I've done some great growing in just a grow hut.
[35:13.830 --> 35:15.830]  They're great if you have limited space.
[35:15.830 --> 35:18.830]  You can put it in the corner of your bedroom, and it's awesome.
[35:18.830 --> 35:24.830]  I've seen a whole bedroom full of them that was quite the little production area.
[35:24.830 --> 35:26.830]  It's pretty neat.
[35:27.830 --> 35:31.830]  Since I'm only allowed a small plant count here in Pueblo in my house,
[35:31.830 --> 35:39.830]  in a spare bedroom, I run two 5x5 hydro huts on a flip box with a 600-watt light in each hut.
[35:39.830 --> 35:41.830]  But what happens, I run one ballast.
[35:41.830 --> 35:44.830]  The ballast plugs into the wall on a timer.
[35:44.830 --> 35:48.830]  So it goes ballast, and then there's a cord that goes to the flip box.
[35:48.830 --> 35:52.830]  And then the flip box has two cords that come out, and a bulb comes from each one.
[35:52.830 --> 35:55.830]  And every 12 hours, side A lights up.
[35:55.830 --> 35:59.830]  And then for 12 hours, it stays on, and then it shuts off, and the other side comes on for 12 hours.
[35:59.830 --> 36:05.830]  So instead of adding electrical upgrades to that bedroom that I'm just using in the winter as a grow space,
[36:05.830 --> 36:07.830]  it keeps the house warm up here, actually.
[36:07.830 --> 36:09.830]  So I just run that.
[36:09.830 --> 36:14.830]  Using the flip box, I can use that room all the time and have it flowering constantly
[36:14.830 --> 36:16.830]  and not have any downtime in that room.
[36:16.830 --> 36:17.830]  Nice.
[36:17.830 --> 36:23.830]  Yeah, so it's like a 14x9 room, so those two 5x5 huts fit perfectly in there.
[36:23.830 --> 36:26.830]  It gives me a little bit of room to work because I really like the grow huts.
[36:26.830 --> 36:28.830]  A lot of people talk shit about them and hate on them.
[36:28.830 --> 36:29.830]  They're amazing.
[36:29.830 --> 36:32.830]  That's my friend that was doing it.
[36:32.830 --> 36:36.830]  He didn't have the flip box, but he had two different ballasts.
[36:36.830 --> 36:40.830]  So one was on for 12 hours, and the other was on for 12 hours.
[36:40.830 --> 36:42.830]  Same thing.
[36:42.830 --> 36:43.830]  He just had the extra ballast.
[36:43.830 --> 36:45.830]  I didn't want to go buy another one.
[36:45.830 --> 36:48.830]  I was like, that flip box was the price of another ballast and everything.
[36:48.830 --> 36:50.830]  So I was like, I'll just do it this way.
[36:50.830 --> 36:52.830]  And it's kind of a test idea.
[36:52.830 --> 36:56.830]  I wanted to see if I could do that on a larger scale because I've designed an 18-light room
[36:56.830 --> 37:00.830]  that's two 9-light rooms on a flip box.
[37:00.830 --> 37:05.830]  And then I actually did some research, and a guy named Eric Bixa kind of beat me to the punch
