[00:00.000 --> 00:01.440]  What's up, ganja world?
[17:41.380 --> 17:44.020]  Big fist bump, more green hearts back at you, bro.
[17:44.020 --> 17:45.500]  Growers love, gang gang.
[17:45.500 --> 17:47.380]  They signed the message with Giant Mike.
[17:47.380 --> 17:51.340]  Hey Giant Mike, thank you for the continued correspondence.
[17:51.340 --> 17:55.140]  I think this is the second or third message I've read from you on the show.
[17:55.140 --> 17:56.940]  Big thanks for all of the support.
[17:56.940 --> 17:58.420]  You guys, I got to press pause and take a drink.
[17:58.420 --> 18:00.020]  My voice is doing that thing.
[18:00.220 --> 18:02.580]  I'll be right back after I get some hydration going on.
[18:02.580 --> 18:03.580]  Take a dab while I'm gone.
[18:03.580 --> 18:05.660]  All right, all right, all right, I'm back.
[18:05.660 --> 18:06.660]  Guess what?
[18:06.660 --> 18:10.340]  I hit some of that orange Skittles live batter from Apothecary Farms.
[18:10.340 --> 18:14.180]  The THC is 66.7% THC.
[18:14.180 --> 18:17.020]  Total cannabinoids is 77.2%.
[18:17.020 --> 18:21.060]  I'm cracking it open to give you guys an accurate smell description.
[18:21.060 --> 18:24.300]  As soon as I open it, it's funky oranges.
[18:24.300 --> 18:26.580]  I can't describe it better than funky oranges.
[18:26.580 --> 18:31.180]  It's orange, but there's something nasty to it that I really enjoy.
[18:31.180 --> 18:32.180]  Orange Skittles, you guys.
[18:32.180 --> 18:35.460]  Skittles with a Z so they don't get in any trouble.
[18:35.460 --> 18:37.180]  Live batter from Apothecary Farms.
[18:37.180 --> 18:38.420]  I'm digging it.
[18:38.420 --> 18:41.300]  The first thing I noticed is it made my eyes nice and heavy.
[18:41.300 --> 18:43.660]  I got those heavy eyeballs now.
[18:43.660 --> 18:47.780]  Big shout out to our friends at Apothecary Farms for getting me nicely stoned here on
[18:47.780 --> 18:48.780]  a podcast.
[18:48.780 --> 18:51.020]  I've got one more email that I'm going to read.
[18:51.020 --> 18:54.740]  This one comes from our friend who calls themselves David W. from STL.
[18:54.740 --> 18:55.740]  What up?
[18:55.900 --> 18:57.540]  Shout out to my friends in the STL.
[18:57.540 --> 19:00.300]  The message goes a lot just like this.
[19:00.300 --> 19:04.620]  It says, yo, Rasta Jeff, thank you for all of the knowledge you drop on us every week.
[19:04.620 --> 19:08.100]  You were doing great things for the community and the movement.
[19:08.100 --> 19:09.100]  Thank you, bro.
[19:09.100 --> 19:10.100]  That means a lot to me.
[19:10.100 --> 19:11.540]  I appreciate the words of encouragement.
[19:11.540 --> 19:14.500]  I'm out here trying to do what I can, man, just doing my part.
[19:14.500 --> 19:17.780]  So thank you for the motivation and for acknowledging my work.
[19:17.780 --> 19:19.380]  I do appreciate it.
[19:19.380 --> 19:21.420]  It goes on to say, here is my question.
[19:21.420 --> 19:27.180]  The supposed feminized seeds I got from a dude I know ended up being auto flowers.
[19:27.180 --> 19:32.300]  They are in my garden along with a few other photo period regs.
[19:32.300 --> 19:36.860]  Since the autos have started flowering, what effect would it have on them if I were to
[19:36.860 --> 19:43.260]  switch to a 12-12 light cycle for the photo period regulars to start flowering?
[19:43.260 --> 19:47.380]  Thanks again from your friend David W. from the STL.
[19:47.380 --> 19:48.860]  He says, you can use my name.
[19:48.860 --> 19:49.860]  Thank you.
[19:49.860 --> 19:52.500]  It's so much easier when you give me permission to use your name.
[19:52.500 --> 19:54.940]  All right, let's talk about this.
[19:54.940 --> 19:58.340]  Our new friend David was growing some seeds, which he thought were feminized.
[19:58.340 --> 20:02.580]  They are probably feminized, but it turns out that they are auto flowers.
[20:02.580 --> 20:06.680]  I'm assuming you think they're auto flowers because they have probably auto flowered while
[20:06.680 --> 20:10.500]  you've got them under a veg light situation.
[20:10.500 --> 20:14.900]  That may have been caused because they were root bound, but it is probably accurate that
[20:14.900 --> 20:15.900]  they are auto flowers.
[20:16.140 --> 20:20.260]  The main question is, he has got some other plants in there that he wants to put into
[20:20.260 --> 20:24.220]  the flower cycle, but they are photo period regular seeds.
[20:24.220 --> 20:27.620]  They are going to require a 12-12 light cycle.
[20:27.620 --> 20:33.460]  The auto flowering plants will do best under a 16-8 or 18-6 light cycle.
[20:33.460 --> 20:34.980]  I'm not an auto flower guy.
[20:34.980 --> 20:39.940]  I don't breed or grow auto flowers, so that time period may be off, but they do better
[20:39.940 --> 20:47.500]  with a longer photo period of daylight hours because they're bred to flower without a reduced
[20:47.500 --> 20:48.500]  light period.
[20:48.500 --> 20:53.940]  Now, what is going to happen if we reduce the lights to 12-12 to trigger our photo period
[20:53.940 --> 20:55.580]  seeds into flower?
[20:55.580 --> 21:00.540]  The main thing you will notice is that those auto flowers may slow down in growth a little
[21:00.540 --> 21:05.820]  bit because they are not getting as much light energy as they would prefer.
[21:05.820 --> 21:10.300]  They've been used to getting 18 or 16 hours worth of light all day, every day, and now
[21:10.300 --> 21:11.300]  you've cut that down.
[21:11.300 --> 21:15.180]  They're going to go, hey, I thought we were going to get more light than that, bro.
[21:15.180 --> 21:19.100]  They're going to act like they're not going to grow as rapidly and as vigorously.
[21:19.100 --> 21:21.380]  They may take a little bit longer to finish.
[21:21.380 --> 21:24.180]  Also, they may take a little bit shorter to finish.
[21:24.180 --> 21:28.100]  I'm not sure how they're going to respond to this, but you won't get as much growth
[21:28.100 --> 21:33.860]  as you would have because the light, the sun is the most effective, most desired nutrient
[21:33.860 --> 21:34.860]  for a plant.
[21:34.900 --> 21:38.460]  It's the most important building block for big buds, but we have to do the compromise.
[21:38.460 --> 21:42.500]  We have to reduce the light cycle enough to encourage the plants to flower so they think
[21:42.500 --> 21:46.540]  that the season is ending, but we also have to give them enough light to create big fat
[21:46.540 --> 21:47.540]  buds.
[21:47.540 --> 21:50.120]  So you can easily switch your lights to 12-12.
[21:50.120 --> 21:52.340]  Those auto flowers will continue to flower.
[21:52.340 --> 21:58.020]  You're just not going to see the productivity that you would hope to see from those plants.
[21:58.020 --> 22:00.980]  So my overall advice is to don't be scared.
[22:00.980 --> 22:05.780]  Put those plants on 12-12, get those photo period plants going, and then just move forward
[22:05.780 --> 22:07.420]  and get those autos out of there.
[22:07.420 --> 22:08.420]  That's an experience.
[22:08.420 --> 22:09.420]  That's something that happened.
[22:09.420 --> 22:13.060]  They're not going to be the most amazing plants, but you will get something out of them.
[22:13.060 --> 22:14.060]  Just let them finish.
[22:14.060 --> 22:16.020]  You may want to reduce the feed.
[22:16.020 --> 22:19.620]  They may not eat as much nutrients because they're not getting as much light.
[22:19.620 --> 22:24.600]  They can't metabolize and photosynthesize as much, so they're not going to be as active.
[22:24.600 --> 22:26.820]  They may not even drink as much for a little while.
[22:26.820 --> 22:30.780]  So pay attention to the plants, how they respond and how they react.
[22:31.580 --> 22:32.980]  I think everything will be okay.
[22:32.980 --> 22:35.540]  You're just not going to get as much productivity.
[22:35.540 --> 22:39.220]  Pay attention to the feeding, pay attention to the frequency and the strength of your
[22:39.220 --> 22:42.140]  feeding solution, and I think you will be just fine.
[22:42.140 --> 22:43.140]  All right.
[22:43.140 --> 22:46.620]  I want to thank my new friend, David W. from STL.
[22:46.620 --> 22:49.420]  I may have called you David from West STL.
[22:49.420 --> 22:51.700]  Either way, thanks for the great message, bro.
[22:51.700 --> 22:53.180]  David W. from STL.
[22:53.180 --> 22:55.340]  I do appreciate the great question.
[22:55.340 --> 22:58.900]  Ladies and gentlemen, if anybody else out there has a cannabis culture or a cannabis
[22:58.940 --> 23:01.500]  cultivation question, I would love to hear from you.
[23:01.500 --> 23:06.380]  My email address is growfromyourheartathotmail.com.
[23:06.380 --> 23:09.780]  All right, ladies and gentlemen, boys and girls, pimps and hoes, friends and foes, smokers
[23:09.780 --> 23:14.460]  and growers, clone cutters and pollen chuckers, that is all I've got for you for this quick
[23:14.460 --> 23:15.460]  Thursday episode.
[23:15.460 --> 23:17.140]  I want to thank you for listening.
[23:17.140 --> 23:19.920]  I'll be back Monday with a fresh new episode.
[23:19.920 --> 23:23.340]  If you feel like this episode was educational, informative or entertaining, and you would
[23:23.340 --> 23:29.740]  like to make a financial contribution to the show, you can do so by visiting www.patreon.com
[23:29.740 --> 23:31.740]  forward slash growfromyourheart.
[23:31.740 --> 23:35.140]  Again, I did include a link in the show notes.
[23:35.140 --> 23:39.480]  Big thanks again to everybody who supports the show on Patreon.
[23:39.480 --> 23:43.020]  Also make sure you support our sponsor at seedsherenow.com.
[23:43.020 --> 23:44.940]  That's right, seedsherenow.com.
[23:44.940 --> 23:50.180]  Make sure you use coupon code GFYH10 at checkout to save 10%.
[23:50.180 --> 23:52.140]  Ladies and gentlemen, that is all I've got for you this week.
[23:52.140 --> 23:54.820]  I want to give a giant shout out to my buddy Nick dude.
[23:54.820 --> 23:58.220]  And until next time, take a fat dab and give your mom a hug for me.
[23:58.220 --> 24:02.220]  Hey, tell them boy they no better get covered in a car fire just get out of it.
[24:02.220 --> 24:05.220]  You can block me proper rise or reach me on the top, non stop.
[24:05.220 --> 24:07.220]  Listen, I know it's a Israel, so I'll keep this up.
[24:07.220 --> 24:10.220]  I take it and all the Anthrostophorex is a perfect welcome, not.
[24:10.220 --> 24:13.220]  We always conquer whatsoever they disguise and trap.
[24:13.220 --> 24:14.220]  Yo, hey.
[24:14.220 --> 24:17.220]  At the day and the minute, I'm a go get slow.
[24:17.220 --> 24:20.220]  Babylon people, no free us out of the show, yeah.
[24:20.300 --> 24:22.300]  At the day and the minute, I'm a go get slow.
[24:22.300 --> 24:25.300]  Burn up them pussy and wipe out them crew, yeah.
[24:25.300 --> 24:27.300]  At the day and the minute, I'm a go get slow.
[24:27.300 --> 24:30.300]  Babylon a burn up for the wrong things they do, yeah.
[24:30.300 --> 24:35.300]  At the day and the minute, at the day and the minute, we a burn boogaloo, yeah.
[24:35.300 --> 24:37.300]  And anywhere we go, we a go burn pagan.
[24:37.300 --> 24:40.300]  Everywhere we go, we a go burn Satan.
[24:40.300 --> 24:42.300]  Me know where them sleep and me know where them turn.
[24:42.300 --> 24:45.300]  We know where them a eat and we know where them a nyam.
[24:45.300 --> 24:47.300]  Me still say them a creep, that's why them put no state on.
[24:47.380 --> 24:50.380]  Them a fuck, them a wolf, them a no shit, no lion.
[24:50.380 --> 24:52.380]  Still I say I see it up in the limo, Zion.
[24:52.380 --> 24:55.380]  Them a race like Babylon, like Zion.
[24:55.380 --> 24:58.380]  You a where them going and where them come from.
[24:58.380 --> 25:00.380]  Me listen when them speak with them flattering tongue.
[25:00.380 --> 25:03.380]  Black people they suffer from a long, long, long.
[25:03.380 --> 25:05.380]  They live with will and repatriation.
[25:05.380 --> 25:08.380]  No for them go back to them get a million.
[25:08.380 --> 25:11.380]  I defend them while it's on, the million.
[25:11.380 --> 25:13.380]  No for them bank, it not be a corruption.
[25:13.380 --> 25:16.380]  No, go make them put me under no sun.
[25:16.460 --> 25:18.460]  Can't stop the black woman or the black man.
[25:18.460 --> 25:21.460]  Can't go up, you come for the CB Nation.
[25:21.460 --> 25:23.460]  No, go make you come kill another one.
[25:23.460 --> 25:25.460]  We ready fi go kick it, Gideon.
[25:25.460 --> 25:28.460]  Yo, ready fi go kick it, Gideon.
[25:28.460 --> 25:31.460]  Call on to say, attack the enemy, them a go get slow.
[25:31.460 --> 25:34.460]  Babylon a run up, we a shout out to you.
[25:34.460 --> 25:36.460]  Attack the enemy, them a go get slow.
[25:36.460 --> 25:39.460]  Things will I say, I a almighty fitro you.
[25:39.460 --> 25:41.460]  Attack the enemy, them a go get slow.
[25:41.460 --> 25:44.460]  So don't diss Emmanuel, we don't care how you.
[25:44.540 --> 25:47.540]  Attack the enemy, them a go get slow.
[25:47.540 --> 25:49.540]  Babylon a get slow.
[25:49.540 --> 25:51.540]  Bridge of the earth, seek righteousness.
[25:51.540 --> 25:53.540]  That's where the curse, tell the black woman,
[25:53.540 --> 25:55.540]  say, if you hear them, start to search.
[25:55.540 --> 25:56.540]  Tell the gate to you, three years,
[25:56.540 --> 25:58.540]  and let's hear the verse.
[25:58.540 --> 26:00.540]  No corruption, we a touch man with earth.
[26:00.540 --> 26:03.540]  Lightning flash, and we kill people as blood.
[26:03.540 --> 26:05.540]  Love Emmanuel and make the pagan reverse.
[26:05.540 --> 26:08.540]  This mama me, you a go get hurt.
[26:08.540 --> 26:10.540]  Things out there, that's how we go to get worse.
[26:10.540 --> 26:12.540]  But tell your children back,
[26:12.620 --> 26:14.620]  righteousness we a preserve.
[26:14.620 --> 26:16.620]  Please don't come more.
[26:16.620 --> 26:18.620]  No bad mind, we true, we clean and pure.
[26:18.620 --> 26:20.620]  Yell Emmanuel and we sword.
[26:20.620 --> 26:22.620]  Babylon you should go get it all.
[26:22.620 --> 26:25.620]  Lightning, attack the enemy, them a go get slow.
[26:25.620 --> 26:28.620]  Babylon a run up, we a shout out to you.
[26:28.620 --> 26:30.620]  Attack the enemy, them a go get slow.
[26:30.620 --> 26:33.620]  Gun up them pussy and burn down them crew.
[26:33.620 --> 26:35.620]  Attack the enemy, them a go get slow.
[26:35.620 --> 26:38.620]  Babylon a run up, we a shout out to you.
[26:38.620 --> 26:41.620]  Attack the enemy, them a go get slow.
[26:41.700 --> 26:43.700]  So don't diss Emmanuel, we don't care a who.
[26:43.700 --> 26:45.700]  Anywhere we go, we a go burn.
[26:45.700 --> 26:48.700]  Pagan, everywhere we go, we a go burn.
[26:48.700 --> 26:50.700]  Watch them man, run what they might.
[26:50.700 --> 26:53.700]  Fire up the burn, so them could not disguise.
[26:53.700 --> 26:55.700]  Fire blast, them a ball and cry.
[26:55.700 --> 26:58.700]  Well, you can't take this to not the sky.
[26:58.700 --> 27:01.700]  Babylon, me say you not get no fly.
[27:01.700 --> 27:03.700]  No better you to not stop from try.
[27:03.700 --> 27:06.700]  No better you to not shun and deny.
[27:06.700 --> 27:09.700]  Yo, me come for you king, so don't say aye.
[27:09.780 --> 27:11.780]  Attack the enemy, them a go get slow.
[27:11.780 --> 27:14.780]  Babylon a run up, we a shout out to you.
[27:14.780 --> 27:16.780]  Attack the enemy, them a go get slow.
[27:16.780 --> 27:19.780]  Gun up them pussy and burn down them crew.
[27:19.780 --> 27:21.780]  Attack the enemy, them a go get slow.
[27:21.780 --> 27:24.780]  Babylon a run up, we a shout out to you.
