[00:00.000 --> 00:02.040]  What's up, cannabis community?
[20:46.380 --> 20:48.300]  The pot, the soil, and the space.
[20:48.300 --> 20:50.060]  I really recommend that.
[20:50.060 --> 20:53.820]  Then we've got to feed these plants a vegetative mix.
[20:53.820 --> 20:56.900]  Then over time, you'll see that new growth start coming out.
[20:56.900 --> 20:58.440]  Pay attention to that.
[20:58.440 --> 21:00.220]  Don't cut off any of that funky shit.
[21:00.220 --> 21:01.220]  Just let it grow.
[21:01.220 --> 21:02.420]  The hormones are moving around.
[21:02.420 --> 21:04.380]  The plant's doing what it needs to do.
[21:04.380 --> 21:05.860]  Let that weird shit grow.
[21:05.860 --> 21:06.860]  It'll stop happening.
[21:06.860 --> 21:10.820]  Then eventually, you'll see beautiful new growth coming out of it.
[21:10.820 --> 21:15.500]  Once you see that new growth that looks normal, that looks like the old familiar plant, take
[21:15.500 --> 21:16.940]  a few clones.
[21:16.940 --> 21:19.380]  Use those clones as future clone donors.
[21:19.380 --> 21:23.980]  We also call those mother plants, but grow those plants up and take clones off of those
[21:23.980 --> 21:26.820]  and use those clones as your next crop.
[21:26.820 --> 21:29.580]  So yes, you do have to revege the plant.
[21:29.580 --> 21:30.780]  Then you have to clone it.
[21:30.780 --> 21:32.740]  Then you have to clone that clone.
[21:32.740 --> 21:34.300]  Those clones will be reliable.
[21:34.300 --> 21:36.820]  I feel like those plants will be back to normal.
[21:36.820 --> 21:39.460]  You won't see any stress or any issues.
[21:39.460 --> 21:44.340]  Like I said before, they will not even remember that the plant they came from had ever been
[21:44.340 --> 21:45.340]  flowered.
[21:45.340 --> 21:47.880]  So that is my quick lesson on revege.
[21:47.880 --> 21:49.380]  That is my quick recap.
[21:49.380 --> 21:50.980]  I hope you guys followed along.
[21:50.980 --> 21:52.500]  I hope I made it clear.
[21:52.500 --> 21:56.460]  If you've got any questions or concerns, please send me an email.
[21:56.460 --> 21:57.540]  I would love to hear from you.
[21:57.540 --> 22:01.060]  My email address is growfromyourheart at hotmail.com.
[22:01.060 --> 22:03.740]  I look forward to all of the feedback.
[22:03.740 --> 22:05.660]  Ladies and gentlemen, this was a fun episode.
[22:05.660 --> 22:07.060]  Thanks again for hanging out.
[22:07.060 --> 22:10.900]  If you feel like this episode was educational, informative, or entertaining, and you'd like
[22:10.900 --> 22:18.180]  to make a financial contribution to the show, once again, you can do so by visiting www.patreon.com
[22:18.180 --> 22:20.300]  forward slash growfromyourheart.
[22:20.300 --> 22:23.140]  All of the information you need will be right there on the screen.
[22:23.140 --> 22:26.420]  And I did include a link in the show notes.
[22:26.420 --> 22:31.460]  Don't forget to check out our friends at seedsherenow.com and use coupon code GFYH10
[22:31.460 --> 22:33.180]  at checkout to save a few bucks.
[22:33.180 --> 22:38.340]  Again, that is coupon code GFYH, then the number 10 at checkout.
[22:38.340 --> 22:46.100]  All together, one word, GFYH10 at checkout to save a few bucks at seedsherenow.com.
[22:46.100 --> 22:48.220]  Don't forget to subscribe to my YouTube channel.
[22:48.220 --> 22:49.220]  It's really easy.
[22:49.220 --> 22:53.800]  Go to YouTube, search for the Grow From Your Heart podcast, click subscribe, maybe leave
[22:53.800 --> 22:55.440]  some comments on some videos.
[22:55.460 --> 22:56.720]  Let me know what you think of the show.
[22:56.720 --> 22:59.020]  I do appreciate that type of support.
[22:59.020 --> 23:02.860]  Ladies and gentlemen, boys and girls, pimps and hoes, friends and foes, smokers and growers,
[23:02.860 --> 23:05.180]  that is all I've got for you for this episode.
[23:05.180 --> 23:08.060]  I'll be back in just a couple of days with fresh new content.
[23:08.060 --> 23:11.020]  I want to give a giant shout out to my buddy, Jack Greenstock.
[23:11.020 --> 23:14.500]  And until next time, take a fat dab and give your mom a hug for me.
[23:14.500 --> 23:41.400]  Down with disease, freaks in my bed.
[23:41.400 --> 23:44.400]  Trying to stop these demons that eat.
[23:44.400 --> 23:46.400]  Dancing in my head.
[23:46.460 --> 23:55.410]  Down with disease.
[23:55.410 --> 23:57.410]  And I'm up before the dawn.
[23:57.410 --> 23:59.410]  A thousand barefoot children outside.
[23:59.410 --> 24:01.410]  Dancing on my lawn.
[24:07.110 --> 24:09.110]  Dancing on my lawn.
[24:09.110 --> 24:13.110]  Waiting for the time when I can finally say,
[24:13.110 --> 24:15.110]  This is all been wonderful.
[24:15.110 --> 24:17.110]  But now I'm on my way.
[24:17.110 --> 24:21.110]  When I think it's time to leave it all behind.
[24:21.110 --> 24:25.110]  I try to find a way to, but there's nothing I can say to make it stop.
[24:26.110 --> 24:32.110]  Stop, stop, stop, stop, stop, stop, stop, stop, stop, stop, stop, stop, stop.
[24:40.770 --> 24:42.770]  Down with disease.
[24:42.770 --> 24:44.770]  And the jungle's in my mind.
[24:44.770 --> 24:46.770]  I'm climbing up my waterfall thing.
[24:46.770 --> 24:48.770]  Swinging off my vines.
[24:56.180 --> 24:58.180]  So I try to hear the music.
[24:58.180 --> 25:00.180]  But I'm always losing time.
[25:00.240 --> 25:02.240]  I'm always stepping on my rhythm.
[25:02.240 --> 25:04.240]  And they're stealing all my lines.
[25:09.660 --> 25:11.660]  Stealing all my lines.
[25:11.660 --> 25:15.660]  And I keep waiting for the time when I can finally say,
[25:15.660 --> 25:17.660]  That this is all been wonderful.
[25:17.660 --> 25:19.660]  But now I'm on my way.
[25:19.660 --> 25:23.660]  When I think it's time to leave it all behind.
[25:23.660 --> 25:27.660]  I try to find a way to, but there's nothing I can say to make it stop.
[25:27.660 --> 25:31.660]  Stop, stop, stop, stop, stop, stop, stop, stop, stop, stop, stop, stop, stop.
[25:32.660 --> 25:58.420]  Stop, stop, stop, stop, stop, stop, stop, stop, stop, stop, stop.
[25:58.420 --> 26:00.420]  Waiting for the time when I can finally say,
[26:00.420 --> 26:03.420]  That this is all been wonderful.
[26:03.420 --> 26:05.420]  But now I'm on my way.
[26:05.420 --> 26:09.420]  When I think it's time to leave it all behind.
[26:09.420 --> 26:15.420]  I try to find a way to, but there's nothing I can say to make it stop.
