[00:00.000 --> 00:01.960]  What's up, cannabis community?
[18:07.520 --> 18:13.000]  That's when the THC is allowed to dry slowly, and that's when it becomes more psychoactive.
[18:13.000 --> 18:17.400]  I'm not completely sure about the terpenoids, but it sounds like we need to give these terpenoids
[18:17.400 --> 18:19.680]  a little bit of time to cure, and they're also.
[18:19.680 --> 18:23.600]  If they're not getting destroyed or taken out along with the chlorophyll or with the
[18:23.600 --> 18:26.960]  moisture, if we let it go slowly, I think we're making it smell better because we're
[18:26.960 --> 18:29.640]  doing something to the terps.
[18:29.640 --> 18:32.640]  From what I know about them, they seem very fragile, too.
[18:32.640 --> 18:39.280]  This is mild to moderate temperatures and darkness, I think, are all very key to this.
[18:39.280 --> 18:45.960]  I think I read that terpenoids evaporate at approximately 85 degrees.
[18:45.960 --> 18:51.120]  We read on another episode about 106 degrees was, I think, where we said.
[18:51.120 --> 18:55.320]  I think it's right around 100 degrees, and some of your guys' drying and curing rooms
[18:55.320 --> 18:56.320]  are getting that hot.
[18:56.320 --> 18:59.320]  Excuse me, I need a sip.
[18:59.320 --> 19:03.200]  Nice, all those dabs got me all dried out and thirsty.
[19:03.200 --> 19:05.240]  Dude, we took some monster dabs before the show.
[19:05.240 --> 19:08.920]  That was pretty killer.
[19:08.920 --> 19:14.200]  You need to keep opening those jars until you're confident that it's not going to mold
[19:14.200 --> 19:15.420]  up in there.
[19:15.420 --> 19:17.100]  You want a little bit of moisture.
[19:17.100 --> 19:19.060]  Kyle Cushman prefers a bud.
[19:19.060 --> 19:22.820]  He likes to open his jar and take out a couple of nugs and set them on the table.
[19:22.820 --> 19:25.900]  He would have sat here and talked for 20 minutes before he would have been able to roll them
[19:25.900 --> 19:26.900]  up.
[19:26.900 --> 19:29.580]  He would have had to give you a lecture about veganics.
[19:29.580 --> 19:33.540]  Then after that, the bud would be almost dry enough to roll up.
[19:33.540 --> 19:35.860]  Sorry, Kyle, I'm just picking on you, bro.
[19:35.860 --> 19:36.860]  You're great.
[19:36.860 --> 19:38.780]  Kyle likes his buds a little more moist.
[19:38.780 --> 19:43.220]  Our buddy Adam will take a nicely dried and cured bud that I've given him, and he'll set
[19:43.380 --> 19:46.180]  that shit out all day until it's crispy dry.
[19:46.180 --> 19:51.140]  He grinds it up in the grinder to where it's dust and takes heroic-sized bong hits out
[19:51.140 --> 19:54.980]  of it because that's what he likes to do.
[19:54.980 --> 20:00.240]  What you want to do is, I like to get it to where it's not fluffy, but it's got some squishy
[20:00.240 --> 20:01.240]  to it.
[20:01.240 --> 20:03.580]  If you've got a nice, hard, dense nug, you want to be able to give it a squeeze and it
[20:03.580 --> 20:05.140]  just pops back up.
[20:05.140 --> 20:07.260]  You don't want to crush it, and you don't want dust.
[20:07.260 --> 20:10.260]  You definitely don't want that dry, dusty buds.
[20:10.260 --> 20:13.140]  No, God no.
[20:13.180 --> 20:16.980]  How long do you try to store your cannabis?
[20:16.980 --> 20:21.580]  Some of it gets stored for up to nine months, I suppose.
[20:21.580 --> 20:24.540]  Some of the outdoor stuff.
[20:24.540 --> 20:29.340]  Some of my patients, I can give them their whole year supply at once, and they're fine
[20:29.340 --> 20:30.500]  with it.
[20:30.500 --> 20:33.980]  Some of my other patients ask me to hold onto it for them.
[20:33.980 --> 20:39.180]  Then some of them want indoor bud throughout the year.
[20:39.180 --> 20:42.580]  It's all a balance.
[20:43.020 --> 20:48.060]  The last couple of years, my stuff that's gotten nine, 10 months, I really wasn't happy
[20:48.060 --> 20:52.220]  with it by the time it was that age.
[20:52.220 --> 20:55.980]  Let's work on curing a little better, and I bet that those buds will store longer.
[20:55.980 --> 20:59.140]  I think I messed up in the beginning.
[20:59.140 --> 21:05.420]  I do pretty much what you do for the two hour, pull it out of the jar, then the four hour.
[21:05.420 --> 21:11.020]  But then it normally, it'll go 24 hours, 18 hours before I mess with it again.
[21:11.020 --> 21:12.300]  You got to set some alarms.
[21:13.020 --> 21:16.620]  I've got my iPhone full of alarms, just ridiculous beeps.
[21:16.620 --> 21:19.780]  People think I'm doing something crazy because every two hours I got to run away.
[21:19.780 --> 21:20.780]  I'll be back, dude.
[21:20.780 --> 21:24.420]  Got to go somewhere, go pop open a bunch of jars, and then go back and get them.
[21:24.420 --> 21:25.420]  For sure.
[21:25.420 --> 21:28.200]  If you're using larger batches, I guess I should have covered this.
[21:28.200 --> 21:32.580]  What I like to do is get one of those big, they're like purple Tupperware containers,
[21:32.580 --> 21:34.420]  rubber made containers.
[21:34.420 --> 21:37.440]  Fill that up with your, you can leave it on the sticks a little bit.
[21:37.440 --> 21:38.700]  If you have to, it's easier.
[21:38.700 --> 21:41.820]  I prefer it off the stick for this curing process.
[21:41.820 --> 21:46.060]  Fill those containers, and then I actually flip them upside down and take the container
[21:46.060 --> 21:48.740]  off the lid instead of taking the lid off the container.
[21:48.740 --> 21:53.460]  So you leave a more exposed area, and then just pop that container back onto the lid.
[21:53.460 --> 21:54.460]  Try not to squish any buds.
[21:54.460 --> 21:55.820]  I hope that makes sense.
[21:55.820 --> 21:58.940]  Pop it open, lift the container off, the lid's sitting there like a tray full of buds.
[21:58.940 --> 21:59.940]  For sure.
[21:59.940 --> 22:00.940]  Yeah.
[22:00.940 --> 22:01.940]  That gets a lot of air flow in there.
[22:01.940 --> 22:02.940]  Yeah.
[22:02.940 --> 22:08.980]  I like to use those, actually the same ones, or same year size, but they're like the size
[22:08.980 --> 22:09.980]  of a brownie pan.
[22:09.980 --> 22:10.980]  Yeah.
[22:11.140 --> 22:14.660]  And those work for short term storage pretty good.
[22:14.660 --> 22:15.660]  Okay.
[22:15.660 --> 22:20.860]  Now in the beginning I talked about we should have a dehumidifier, an AC unit, fans, a hygrometer.
[22:20.860 --> 22:25.420]  I'm going to back up and talk a little bit about how Ed Rosenthal says curing starts
[22:25.420 --> 22:26.420]  at harvest.
[22:26.420 --> 22:27.420]  Wait, hold on.
[22:27.420 --> 22:28.700]  I got one thing.
[22:28.700 --> 22:29.700]  Let's do it.
[22:29.700 --> 22:30.700]  I like it.
[22:30.700 --> 22:32.180]  How you pack your jar.
[22:32.180 --> 22:33.180]  Ah.
[22:33.180 --> 22:34.180]  Yeah.
[22:34.180 --> 22:36.780]  I don't like to overpack it.
[22:36.780 --> 22:45.180]  This is something I am learning, but I think there's a lot of validity to it.
[22:45.180 --> 22:51.740]  I think when you overpack it, you create possible different little microclimates in there.
[22:51.740 --> 22:56.300]  You almost prevent the aerobic acid from being able to form in there when you don't have
[22:56.300 --> 22:57.300]  enough oxygen.
[22:57.300 --> 22:58.300]  For sure.
[22:58.300 --> 23:02.820]  What creates aerobic acid, I think I said before, was oxygen, light, and moisture, and so we
[23:02.820 --> 23:06.180]  need plenty of that air in there.
[23:06.180 --> 23:07.180]  Don't worry about giving it light.
[23:07.180 --> 23:09.820]  You guys, a little bit of light will start it off, and once you get it started, it's
[23:09.820 --> 23:10.820]  going.
[23:10.820 --> 23:11.820]  I'm fixing the echoes in here.
[23:11.820 --> 23:15.540]  We are in a really small space that's real echoey today.
[23:15.540 --> 23:17.740]  There's a fan that we're fighting with, but I'm going to make it happen.
[23:17.740 --> 23:19.500]  I think I got it just there.
[23:19.500 --> 23:20.500]  Sweet.
[23:20.500 --> 23:21.500]  All right.
[23:21.500 --> 23:26.900]  So like I said, Ed Rosenthal says that curing starts from pretty much when you cut it down.
[23:26.900 --> 23:30.420]  So if your buds have gotten too dry, they're not going to cure.
[23:30.420 --> 23:31.420]  They're going to crumble.
[23:31.420 --> 23:35.260]  If your buds are too moist, you still have a chance, but hopefully they didn't dry too
[23:35.260 --> 23:36.260]  quickly.
[23:36.260 --> 23:41.100]  You got to cut down the plant and get all those leaves off and let it dry nice and slowly.
[23:41.100 --> 23:44.620]  That's why we're talking about a room with a dehumidifier, with an air conditioner, and
[23:44.620 --> 23:46.620]  some fans and a hygrometer.
[23:46.620 --> 23:53.660]  You want to keep your plants between 60 and 75 degrees at about 50% humidity until you
[23:53.660 --> 23:58.820]  put them in this jar, until they reach that stick snap in period.
[23:58.820 --> 24:00.820]  That's how you keep them from not drying too fast.
[24:01.220 --> 24:06.060]  I had a guy that a long time ago, I used to have to buy some herb, and this guy usually
[24:06.060 --> 24:07.460]  had the greatest bud.
[24:07.460 --> 24:10.340]  A long time ago.
[24:10.340 --> 24:11.340]  And I was bugging him.
[24:11.340 --> 24:12.700]  I was like, dude, you got any more of that LA Confidential?
[24:12.700 --> 24:14.460]  Do you have any more of that LA Confidential?
[24:14.460 --> 24:15.460]  And he didn't.
[24:15.460 --> 24:16.900]  And he kept telling me, I harvested it.
[24:16.900 --> 24:17.900]  It's almost ready.
[24:17.900 --> 24:18.900]  I harvested it.
[24:18.900 --> 24:19.900]  It's almost ready.
[24:19.900 --> 24:20.900]  And I was getting eager.
[24:20.900 --> 24:23.100]  And so I asked him and he's like, sure, man, I'll bring it to you tonight.
[24:23.100 --> 24:27.420]  And he brought it to me and it was a really weird texture.
[24:27.420 --> 24:29.700]  It felt like a pine cone.
[24:29.700 --> 24:31.620]  It was hard, but it was also squeezy.
[24:31.620 --> 24:33.220]  But the outside was really hard.
[24:33.220 --> 24:36.380]  And then you broke it open and the middle was soft and it was kind of fluffy on the
[24:36.380 --> 24:37.380]  inside.
[24:37.380 --> 24:38.380]  So I immediately called him.
[24:38.380 --> 24:40.180]  I was like, what the hell happened, bro?
[24:40.180 --> 24:44.940]  And he said that he dried it by opening the oven and setting it next to the oven so that
[24:44.940 --> 24:46.580]  it would dry it out all night.
[24:46.580 --> 24:47.580]  Oh, shit.
[24:47.580 --> 24:48.580]  Yeah.
[24:48.580 --> 24:51.460]  So that is a prime example of what not to do to dry your herb.
[24:51.460 --> 24:53.260]  I could taste it and smell it.
[24:53.260 --> 24:55.580]  I made the weed smell like spaghetti sauce.
[24:55.580 --> 24:58.060]  Like it smelled like marinara for some reason.
[24:58.420 --> 24:59.780]  That was the first thing that came to mind.
[24:59.780 --> 25:01.580]  Yeah, it's going to kill all the turps.
[25:01.580 --> 25:02.580]  Yeah.
[25:02.580 --> 25:03.580]  Yeah.
[25:03.580 --> 25:04.820]  You know, some sort of tomatoey paste or something.
[25:04.820 --> 25:05.820]  It was terrible.
[25:05.820 --> 25:06.820]  That sucks.
[25:06.820 --> 25:09.940]  So you got to get that herb dried properly and slowly.
[25:09.940 --> 25:11.460]  You don't want to dry it up too fast.
[25:11.460 --> 25:13.500]  You got anything to add to curing, bro?
[25:13.500 --> 25:15.820]  I feel like we went over that really super quickly.
[25:15.820 --> 25:16.820]  Yeah.
[25:16.820 --> 25:17.820]  I'm just really stoned.
[25:17.820 --> 25:18.820]  It's me too.
[25:18.820 --> 25:19.820]  Me too.
[25:19.820 --> 25:22.700]  It's hard to project a lot of my thoughts.
[25:22.700 --> 25:25.740]  Do you need crayons?
[25:25.740 --> 25:32.060]  So the dehumidifier, the AC unit, the fans, the hygrometer, you need that regardless of
[25:32.060 --> 25:33.060]  where you're at.
[25:33.060 --> 25:36.100]  Yeah, you got to keep, you need a proper room for drying.
[25:36.100 --> 25:38.460]  A lot of guys are just throwing it in their closet or something.
[25:38.460 --> 25:40.380]  You need a good area for drying.
[25:40.380 --> 25:42.700]  You want to keep the air moving.
[25:42.700 --> 25:47.140]  The reason for the dehumidifier, what we're trying to do is we are pulling water out of
[25:47.140 --> 25:48.140]  these plants.
[25:48.140 --> 25:50.900]  That water ends up in the atmosphere around your plants and then it has nowhere to go.
[25:50.900 --> 25:53.020]  So you got to suck that water out of there.
[25:53.020 --> 25:57.460]  The dehumidifier is a perfect place for that water to go and you can reuse that water to
[25:57.460 --> 25:58.460]  water your plants later.
[25:58.460 --> 26:00.460]  Oh yeah, that's some good water.
[26:00.460 --> 26:01.460]  Yeah.
[26:01.460 --> 26:12.380]  However, I do know if say you're drying not a lot of plants in a large room in the Southwest,
[26:12.380 --> 26:15.860]  you might actually want a humidifier to help slow things down.
[26:15.860 --> 26:16.860]  Right.
[26:16.860 --> 26:18.740]  I'm trying to kind of help out people regionally.
[26:18.740 --> 26:20.420]  Yeah, that's a good idea.
[26:20.420 --> 26:25.220]  We're kind of talking about Colorado, but yeah, as long as you need to keep it about
[26:25.220 --> 26:30.940]  60 to 75 degrees that cool, actually I think will make your buds dry a little more dense.
[26:30.940 --> 26:33.460]  I think it hardens them up a little bit.
[26:33.460 --> 26:34.820]  Also I got to mention dark.
[26:34.820 --> 26:36.700]  You want that dry room dark.
[26:36.700 --> 26:39.420]  Drying and curing should happen in mostly a dark area.
[26:39.420 --> 26:46.100]  I feel like literally a room, exact two same climates, one that's dark and one that's light.
[26:46.100 --> 26:50.060]  The room with lights, the plants are going to dry faster.
[26:50.700 --> 26:55.980]  Yeah, just kind of experience I have with my dry room and keeping a window open sometimes
[26:55.980 --> 27:01.260]  and I know nothing else changed.
[27:01.260 --> 27:04.020]  So guys, it is going to take a little bit of practice to get your drying and curing
[27:04.020 --> 27:05.620]  method down right.
[27:05.620 --> 27:08.420]  You may have to ruin a jar or two.
[27:08.420 --> 27:12.620]  Seal that jar up, go to sleep, open it the next day and you open it and it smells like
[27:12.620 --> 27:13.620]  ammonia.
[27:13.620 --> 27:15.300]  You might've just kind of killed that crop.
[27:15.300 --> 27:18.900]  If it's not moldy, if you don't see any mold, break it open as small as you can get those
[27:18.940 --> 27:22.100]  buds, pour it out on a tray, let it dry.
[27:22.100 --> 27:23.860]  Taste it, give it a smoke, see if it tastes alright.
[27:23.860 --> 27:25.700]  It might be alright, it might be smokeable.
[27:25.700 --> 27:29.020]  If you left it in there too long and it molded up, throw it away.
[27:29.020 --> 27:31.100]  Remember what you did, fix it next time.
[27:31.100 --> 27:32.500]  Don't do that same shit again.
[27:32.500 --> 27:35.060]  Yeah, always start with clean jars.
[27:35.060 --> 27:36.060]  Clean jars, yeah.
[27:36.060 --> 27:41.740]  I spent a lot of time today cleaning jars and thinking, man, this really sucks.
[27:41.740 --> 27:47.100]  This isn't, you know, but it's, you know, every little thing counts.
[27:47.100 --> 27:50.540]  Has anybody tried to cut off their feet and stick cloning gel on their ankles so that
[27:50.540 --> 27:51.540]  we can clone ourselves?
[27:51.540 --> 27:54.200]  Because we need to make more growers.
[27:54.200 --> 27:56.220]  It's hard to be a good grower sometimes.
[27:56.220 --> 28:01.100]  There is so much, like you got to do the growing work, you got to do life and then you got
[28:01.100 --> 28:04.500]  to clean up after yourself and that's always the part that gets skipped and then you got
[28:04.500 --> 28:05.900]  to go start by cleaning tomorrow.
[28:05.900 --> 28:09.900]  You guys keep your grow rooms clean because it builds up quickly and then you got to clone
[28:09.900 --> 28:12.220]  yourself because you just can't keep everything going.
[28:12.220 --> 28:14.500]  I could, two of me would crush.
[28:14.500 --> 28:16.420]  Yeah, yeah.
[28:16.420 --> 28:22.060]  If you have a lot of money and you have no shame and you want to clean pots and scrub
[28:22.060 --> 28:27.020]  floors and all that and come to Colorado and learn how to grow weed, get in contact with
[28:27.020 --> 28:28.020]  us.
[28:28.020 --> 28:31.820]  Did you just make, did you just offer an apprenticeship almost?
[28:31.820 --> 28:34.020]  Yeah, but they got to pay to start the company.
[28:34.020 --> 28:38.060]  They're going to pay to start it and then they're going to be the employee that carries
[28:38.060 --> 28:41.100]  buckets and sweeps floors and mops up the shit for us.
[28:41.100 --> 28:42.100]  Yep.
[28:42.100 --> 28:44.580]  And someday they'll be the bombest dispensary owner there is.
[28:44.740 --> 28:45.740]  Yeah, we'll teach them how to grow.
[28:45.740 --> 28:46.740]  Definitely.
[28:46.740 --> 28:50.420]  I need to pass on these skills to people because one day I'm going to be not here.
[28:50.420 --> 28:54.660]  I was going to say get hit by a truck or something, but I didn't want to jinx myself.
[28:54.660 --> 28:57.020]  One day I'm going to get hit by a bus, you know, and I'm not going to be able to grow
[28:57.020 --> 28:58.020]  weed anymore.
[28:58.020 --> 29:00.180]  A bus just flies through the house.
[29:00.180 --> 29:04.260]  Isn't that a line in a sublime song or something like that?
[29:04.260 --> 29:05.940]  I don't know.
[29:05.940 --> 29:08.060]  Yeah, something bulletproof vest.
[29:08.060 --> 29:09.060]  Oh, okay.
[29:09.060 --> 29:10.060]  Ran over by a truck.
[29:10.060 --> 29:11.060]  Yeah.
[29:11.060 --> 29:12.060]  Yeah.
[29:12.060 --> 29:13.060]  I can't remember off the top of my head.
[29:13.060 --> 29:14.780]  I can't remember most things off the top of your head.
[29:14.780 --> 29:18.220]  Well, yeah, but I'm the second biggest blind fan in the world.
[29:18.220 --> 29:19.220]  The second, the second.
[29:19.220 --> 29:21.500]  You just try to take number one.
[29:21.500 --> 29:22.500]  Yeah.
[29:22.500 --> 29:23.500]  Yeah.
[29:23.500 --> 29:24.500]  Never do.
[29:24.500 --> 29:26.620]  All right, guys, I feel like we've covered curing.
[29:26.620 --> 29:28.940]  I don't know what else to add to this.
[29:28.940 --> 29:29.940]  You're going to mess up some stuff.
[29:29.940 --> 29:30.940]  That's where I was.
[29:30.940 --> 29:32.320]  It takes practice and patience.
[29:32.320 --> 29:34.140]  You're not going to get it right the first time.
[29:34.140 --> 29:35.140]  Yeah.
[29:35.140 --> 29:38.580]  What you can do is go.
[29:38.580 --> 29:41.220]  You can open it too often.
[29:41.220 --> 29:42.740]  That's a good thing.
[29:43.420 --> 29:44.420]  If you're keeping it closed too long, it'll screw you up.
[29:44.420 --> 29:45.580]  So go in there and open it.
[29:45.580 --> 29:48.340]  If you think maybe I need to open it, do.
[29:48.340 --> 29:51.460]  And then if you have another jar next to it, don't open that one and just kind of compare.
[29:51.460 --> 29:52.580]  Take notes.
[29:52.580 --> 29:56.700]  That's the best way to become a good grower and a good cure and dryer is to practice it
[29:56.700 --> 29:58.300]  and take notes.
[29:58.300 --> 30:02.620]  What's your thoughts on rehydrating dry weed?
[30:02.620 --> 30:09.780]  You know, I'm not sponsored by this company, but the Humidipax work great for rehydrating
[30:09.780 --> 30:10.780]  your buds.
[30:10.780 --> 30:15.180]  I've been wondering what they'd be like for long term storage as well.
[30:15.180 --> 30:19.540]  I've seen a lot of people throw their herb in a sea vault, which doesn't sponsor me either,
[30:19.540 --> 30:24.140]  with a couple of Humidipax and leave it for a really long time.
[30:24.140 --> 30:26.780]  Back to the dried out herb.
[30:26.780 --> 30:29.940]  Don't put lettuce or orange peels in your bags, please.
[30:29.940 --> 30:31.180]  That's kind of what I was getting at.
[30:31.180 --> 30:32.180]  I see.
[30:32.180 --> 30:33.180]  Yeah.
[30:33.180 --> 30:34.180]  Yeah.
[30:34.180 --> 30:35.180]  That'll make mold.
[30:35.180 --> 30:36.180]  Yeah.
[30:36.180 --> 30:37.180]  That'll make your stuff not taste right.
[30:37.180 --> 30:38.180]  It doesn't add flavor.
[30:38.180 --> 30:40.180]  It may will, but not the flavor you want added.
[30:40.580 --> 30:41.580]  Yeah.
[30:41.580 --> 30:42.580]  Yeah.
[30:42.580 --> 30:43.580]  It'll be funky flavor.
[30:43.580 --> 30:44.580]  Unfortunately, it doesn't work that way.
[30:44.580 --> 30:47.780]  What else was I...
[30:47.780 --> 30:54.620]  Curing a herb that you've possibly purchased from someone, you know, just trying to help
[30:54.620 --> 30:56.100]  out listeners here.
[30:56.100 --> 30:57.100]  There you go.
[30:57.100 --> 30:58.100]  Ask them.
[30:58.100 --> 31:03.060]  So if you've got an herb that you don't feel is dry enough, if you've got some patience,
[31:03.060 --> 31:04.260]  you can cure it.
[31:04.260 --> 31:08.660]  If it's sticky, you can leave it in the jar and let it kind of dry real slowly in the
[31:08.660 --> 31:09.660]  jar.
[31:09.660 --> 31:12.340]  Leave it in there overnight, open it up, check on it in the morning and leave it open for
[31:12.340 --> 31:17.060]  like 15 minutes and just repeat that every day until it's good or open it every six hours
[31:17.060 --> 31:19.100]  and check on it if you're impatient.
[31:19.100 --> 31:20.100]  Yeah.
[31:20.100 --> 31:21.100]  Yeah.
[31:21.100 --> 31:22.380]  Brown paper sack possibly.
[31:22.380 --> 31:24.860]  Brown paper sacks are great because they kind of...
[31:24.860 --> 31:26.220]  I did this when I was just starting.
[31:26.220 --> 31:30.060]  I kind of think that they kind of make a little bit of a flavor in my buds now.
[31:30.060 --> 31:31.060]  I do too.
[31:31.060 --> 31:35.900]  And I've also lost a nice amount of weed, a whole brown paper sandwich bag to mold.
[31:35.900 --> 31:38.340]  I feel like it sped up the mold process.
[31:39.020 --> 31:41.820]  I kind of feel like they may absorb oils as well too.
[31:41.820 --> 31:42.820]  Very true.
[31:42.820 --> 31:49.500]  But if you can time it right, it's a great step between the hanging process and the jar.
[31:49.500 --> 31:51.500]  It's that one, if you have to leave it out for...
[31:51.500 --> 31:54.860]  If you've got to be away at work all day, but you know it should be in the jar, but
[31:54.860 --> 31:58.660]  it's not dry enough for the jar, that bag is probably going to work for you.
[31:58.660 --> 32:02.580]  There's a company ideal for someone.
[32:02.580 --> 32:06.220]  Come up with a brown paper sack that doesn't have all those issues we just mentioned.
[32:06.220 --> 32:07.900]  It's a canvas bag.
[32:08.460 --> 32:13.780]  Those old vitamin cottage shopping bags, I've cured urban those before.
[32:13.780 --> 32:14.780]  Really?
[32:14.780 --> 32:15.780]  That's been great.
[32:15.780 --> 32:17.700]  I've seen it done in a five gallon bucket as well.
[32:17.700 --> 32:18.700]  Oh yeah.
[32:18.700 --> 32:20.660]  I've done and seen that too.
[32:20.660 --> 32:22.300]  I just prefer the glass.
[32:22.300 --> 32:24.860]  I feel like it doesn't give me any flavor.
[32:24.860 --> 32:25.860]  For sure.
[32:25.860 --> 32:32.300]  If you're doing five gallon buckets, try to find the good lids that have the rubber seals
[32:32.300 --> 32:37.620]  in them and black buckets from the grocery store or Sherwin-Williams.
[32:37.620 --> 32:41.140]  If your weed came in a turkey bag, it was not dried and cured properly.
[32:41.140 --> 32:42.140]  No.
[32:42.140 --> 32:46.820]  It was possibly dried and stacked in a corner.
[32:46.820 --> 32:47.860]  Yes.
[32:47.860 --> 32:49.700]  With all of the others.
[32:49.700 --> 32:54.860]  Before it got shipped off to wherever it's in Colorado Springs.
[32:54.860 --> 32:56.860]  So I mentioned this at the beginning of the episode.
[32:56.860 --> 33:00.420]  Guys, I'm going to say that we've covered the dry and curing for the most part.
[33:00.420 --> 33:04.740]  If you have any more questions, specific questions, please send me those questions.
[33:04.740 --> 33:06.860]  There's a listener that this episode was for.
[33:06.860 --> 33:09.620]  I don't know if she wants her name said on the air, but she just recently emailed me
[33:09.620 --> 33:11.940]  saying she was excited because I told her it was coming.
[33:11.940 --> 33:13.260]  She said she was excited.
[33:13.260 --> 33:16.500]  If I missed anything for you, please let me know.
[33:16.500 --> 33:17.500]  Anybody else let me know also.
[33:17.500 --> 33:19.420]  I want to make this work for you.
[33:19.420 --> 33:22.220]  Everybody needs to be a good dryer and cure.
[33:22.220 --> 33:24.020]  I know I skipped a whole bunch of grow lessons.
[33:24.020 --> 33:26.340]  We were doing grow lessons on the show.
[33:26.340 --> 33:27.620]  We got all the way through veg.
[33:27.620 --> 33:31.940]  We're in mid veg phase just before we were going to flower and we've jumped all over
[33:31.940 --> 33:32.940]  the place.
[33:32.940 --> 33:33.940]  We've harvested.
[33:33.940 --> 33:34.940]  We've done outdoor grow.
[33:34.940 --> 33:35.940]  We're now curing.
[33:36.020 --> 33:37.020]  We'll get back to the lessons.
[33:37.020 --> 33:39.540]  I've just been trying to do what's current and what's relevant.
[33:39.540 --> 33:42.260]  I'm not trying to mess you up, throw you around.
[33:42.260 --> 33:44.580]  We'll get back to the lessons.
[33:44.580 --> 33:49.200]  At the beginning of the show, I mentioned that the city council meeting has been moved.
[33:49.200 --> 33:51.060]  City council first planned the meeting for Monday.
[33:51.060 --> 33:52.220]  They knew it was a holiday.
[33:52.220 --> 33:55.780]  They still wanted to meet, but they changed their mind.
[33:55.780 --> 34:00.980]  The meeting will now be Tuesday at seven o'clock at city hall at one city hall plaza.
[34:00.980 --> 34:01.980]  I wrote it down.
[34:01.980 --> 34:02.980]  I said at the beginning of the show.
[34:02.980 --> 34:03.980]  It's on my phone.
[34:03.980 --> 34:04.980]  I better make sure, but go there.
[34:04.980 --> 34:05.980]  Jesse, are you going to be there, bro?
[34:05.980 --> 34:06.980]  Oh, you know, I will be there.
[34:06.980 --> 34:07.980]  I'm committing right now.
[34:07.980 --> 34:08.980]  I got a little posse coming with me.
[34:08.980 --> 34:09.980]  You got a posse.
[34:09.980 --> 34:10.980]  Nice.
[34:10.980 --> 34:11.980]  Yeah.
[34:11.980 --> 34:12.980]  Tuesdays are actually much better for me.
[34:12.980 --> 34:13.980]  Tuesday was kind of hard or Monday was kind of hard.
[34:13.980 --> 34:14.980]  So Tuesday is way better.
[34:14.980 --> 34:15.980]  So it's one city hall place Tuesday at 7pm.
[34:15.980 --> 34:16.980]  If you want to speak, you have to be there about 630 and sign up, please.
[34:16.980 --> 34:17.980]  If you're going to speak, I'm trying to have some education.
[34:17.980 --> 34:18.980]  I'm trying to get some experience.
[34:18.980 --> 34:19.980]  I'm trying to get some experience.
[34:19.980 --> 34:20.980]  I'm trying to get some experience.
[34:20.980 --> 34:21.980]  I'm trying to get some experience.
[34:21.980 --> 34:22.980]  I'm trying to get some experience.
[34:22.980 --> 34:23.980]  I'm trying to get some experience.
[34:54.040 --> 34:55.040]  I'm trying to get some experience.
[34:55.040 --> 34:56.040]  I'm trying to get some experience.
[34:56.040 --> 34:57.040]  I'm trying to get some experience.
[34:57.040 --> 34:58.040]  I'm trying to get some experience.
[34:58.040 --> 34:59.040]  I'm trying to get some experience.
[34:59.040 --> 35:00.040]  I'm trying to get some experience.
[35:00.040 --> 35:01.040]  I'm trying to get some experience.
[35:01.040 --> 35:02.040]  I'm trying to get some experience.
[35:02.040 --> 35:03.040]  I'm trying to get some experience.
[35:03.040 --> 35:04.040]  I'm trying to get some experience.
[35:04.040 --> 35:05.040]  I'm trying to get some experience.
[35:05.040 --> 35:06.040]  I'm trying to get some experience.
[35:06.040 --> 35:07.040]  I've seen people yell at city council before trying to prove a point and that doesn't help.
[35:07.040 --> 35:08.040]  And slowly but surely it fakes out as well.
[35:08.040 --> 35:09.040]  Just kind of, I don't know, I have some experience.
[35:09.040 --> 35:10.040]  I know.
[35:10.040 --> 35:14.920]  Deny the thing what they're looking for hasn't even been submitted to or what they're talking about hasn't been shown to them yet
[35:14.920 --> 35:19.120]  We're gonna preempt this so they'll be like oh shit, then maybe we shouldn't do that
[35:20.640 --> 35:25.160]  Yeah, they don't want to mess with all 60 of us sitting there at the City Council meeting telling them why it sucks
[35:25.160 --> 35:26.920]  They'll just go okay. You're right
[35:26.920 --> 35:28.920]  They're pretty easy sometimes sometimes
[35:29.920 --> 35:33.240]  Especially on a Tuesday after a holiday no one's gonna be in the mood to sit there
[35:34.200 --> 35:35.200]  I
[35:35.200 --> 35:36.600]  Hope this was a holiday
[35:36.600 --> 35:40.120]  So you guys come out please come out and support us at the City Council if you're in Pueblo, Colorado
[35:40.200 --> 35:43.760]  and you are not working or babysitting or supporting your own children or
[35:44.800 --> 35:46.920]  Harvesting your own plants or something like that
[35:46.920 --> 35:50.840]  You need a really good excuse if you smoke pot if you grow cannabis in the city of Pueblo
[35:51.200 --> 35:55.720]  Or the county you need to come to this meeting because this applies to you. Please come support us
[35:55.960 --> 36:02.120]  Yeah, this is a chance to be this is real activism this you know not Facebook or Instagram bullshit
[36:02.120 --> 36:06.000]  This is you know and come meet Jesse, and I yeah, yeah
[36:06.560 --> 36:10.760]  That doesn't sound like a real huge deal, but I mean that's some incentive. We'll shake your hand you can talk to us
[36:10.760 --> 36:15.640]  You can give me show ideas for sure yeah, I'd love to meet you guys. I like to meet the listeners. It really it's fun
[36:15.640 --> 36:17.000]  I've had a couple of people
[36:17.000 --> 36:19.000]  Yeah
[36:20.160 --> 36:22.160]  Sometimes it's awkward
