[00:00.000 --> 00:02.000]  Summarize this and I
[31:55.780 --> 31:58.140]  Want to talk about another technique of
[32:00.620 --> 32:02.140]  Calculating this
[32:02.140 --> 32:03.500]  that
[32:03.500 --> 32:10.220]  Well first of all there are at least 20 equations in the literature for calculating
[32:10.820 --> 32:12.620]  evapotranspiration
[32:12.660 --> 32:18.020]  From weather variables all over the place and they're in there in this they discussed in this book
[32:19.140 --> 32:21.140]  Blaney Criddle
[32:21.140 --> 32:22.220]  I
[32:22.220 --> 32:26.340]  Forgotten all the names, but many many people have worked on this
[32:27.420 --> 32:32.060]  This is becoming the standard because our weather stations are getting better
[32:32.060 --> 32:37.620]  And we have instruments to measure all the parameters to do this and it is the most
[32:38.180 --> 32:42.980]  Biophysical it's based on physical principles, so we've come to trust this
[32:43.940 --> 32:47.220]  But it lots of people don't have all the instruments to
[32:47.740 --> 32:49.740]  Measure the inputs to this
[32:49.940 --> 32:55.180]  So what are they going to do and what did they do before the Penman Monteith was?
[32:55.740 --> 32:57.740]  was usable
[32:57.780 --> 32:59.540]  here's a
[32:59.540 --> 33:01.540]  one page handout
[33:01.700 --> 33:03.700]  We keep two pages
[33:05.380 --> 33:07.380]  That
[33:07.900 --> 33:09.900]  Wrote this for the
[33:09.900 --> 33:15.500]  Was some of the introduction to this Utah climate book about ways to do ET
[33:16.780 --> 33:21.380]  And I'm it's a hopefully easy to read, but it shows
[33:22.220 --> 33:28.780]  More than 20 equations have been developed to do this. Here's the potential it summarizes all this stuff, then we get to this
[33:29.420 --> 33:31.420]  the Hargraves equation
[33:32.340 --> 33:36.260]  George Hargraves was on the faculty here at Utah State University
[33:36.660 --> 33:40.020]  And of the 20 equations I
[33:40.740 --> 33:43.540]  Would say next to the Penman Monteith
[33:44.300 --> 33:50.060]  His is one of the best it works the best and it is way simpler
[33:50.620 --> 33:52.740]  Than the Penman Monteith to run
[33:53.340 --> 33:55.340]  Here's the equation
[33:55.340 --> 34:01.340]  And I've been told this story by Rick Allen who was on the faculty who has written much
[34:02.820 --> 34:04.820]  He is a
[34:05.140 --> 34:08.180]  Award-winning paper called a Penman for all seasons
[34:08.180 --> 34:15.260]  And it's about the use of the Penman Monteith equation in all conditions all around the world and Rick tells me even
[34:15.460 --> 34:19.860]  He and Hargraves died about two years ago. He lived here in Logan
[34:20.420 --> 34:23.620]  he said Hargraves would come in his office and the
[34:24.540 --> 34:28.420]  Models didn't match the measurements and and he'd say yeah
[34:28.420 --> 34:33.740]  And the two models wouldn't agree that Hargraves and the Penman Monteith and he'd say yeah
[34:33.740 --> 34:37.620]  Well, that's because your model is too complicated and you're gonna get bad data in it
[34:37.620 --> 34:43.740]  And if you just use my model, it's simple and it works and it does work for a wide range of conditions
[34:43.740 --> 34:45.740]  And look at the inputs to this
[34:45.940 --> 34:47.700]  min and max
[34:47.700 --> 34:49.060]  temperature
[34:49.060 --> 34:55.620]  Wow, this was from the days when there were no data loggers. We just had min max thermometers. That was it
[34:55.820 --> 34:57.820]  that's all we had to go on and
[34:58.660 --> 35:02.100]  his his brilliance in developing this was
[35:03.020 --> 35:09.740]  To empirically correlate min and max temperature with pan evaporation and
[35:11.540 --> 35:17.860]  He's got mean right here, but that was the mean was in between min and max so he still had min and max
[35:18.660 --> 35:21.700]  This is the point of five. This is the square root
[35:22.700 --> 35:28.580]  RA you say oh we had to do net radiation. No, I didn't he calculated it based on
[35:29.500 --> 35:31.500]  Radiation above the Earth's atmosphere
[35:31.660 --> 35:33.900]  That was a completely a model based on
[35:34.500 --> 35:37.620]  Latitude he didn't have to measure net radiation. He
[35:38.820 --> 35:46.020]  calculated it from the time of year and the Sun above the atmosphere and then here's a coefficient and
[35:47.060 --> 35:49.060]  This equation for ETO
[35:49.780 --> 35:51.780]  Works remarkably well
[35:51.980 --> 35:53.980]  And it's way
[35:54.500 --> 36:00.860]  Simpler but we we don't use it much anymore because we've got lots of instruments and we can use them far more complex
[36:01.220 --> 36:06.500]  Penman Monteith when you get into the literature on this and you turn the page
[36:09.140 --> 36:16.940]  This is with my colleague Larry hips talking about this this Hargraves tends to under predict under high wind
[36:17.100 --> 36:18.660]  conditions and
[36:18.660 --> 36:21.300]  over-predict in high relative humidity
[36:21.620 --> 36:26.460]  So it's not perfect and then when it gets to minus 17.8 C
[36:26.460 --> 36:33.080]  It goes nuts because it values go negative, but you're not too worried about that because those are super cold days
[36:33.420 --> 36:38.460]  it's it's made for the summer, but I show this just because it's a it's a
[36:39.260 --> 36:43.140]  Brilliant empirical equation then does a pretty good job
[36:43.860 --> 36:46.500]  matching the evapotranspiration data
[36:54.170 --> 36:56.890]  I'm going to close with this picture
[36:58.770 --> 37:00.970]  As we work and work and work to
[37:01.850 --> 37:03.850]  model this and calculate it
[37:04.690 --> 37:07.490]  we keep going back to lysimeters a
[37:08.610 --> 37:14.170]  Big container that we can weigh water is heavy we can accurately measure
[37:15.330 --> 37:16.410]  transpiration
[37:16.410 --> 37:23.230]  Use by weight, but you have to contain the plants in something you can weigh and all of a sudden you're into
[37:23.550 --> 37:29.390]  Ten twenty thousand dollars per container in the field to set up a system to weigh the plants
[37:29.710 --> 37:34.990]  So this is a system in our and the research greenhouses that my students
[37:34.990 --> 37:38.070]  And I built and each one of these has a load cell
[37:38.470 --> 37:44.510]  Underneath it and here's some corn plants in a bucket to get evaporation low we covered them with tinfoil
[37:44.990 --> 37:48.270]  But we can do various levels of water stress in here
[37:49.030 --> 37:55.670]  Using lysimeters and look at these principles and see how well they apply to different kinds of plants
[37:55.750 --> 38:01.990]  We can do precision water stress with this because we can bring them down to a low weight and keep them there
[38:01.990 --> 38:06.590]  Just water enough to keep them there. We can tell it well how well water stress
[38:06.590 --> 38:10.750]  They are we can determine obviously hourly transpiration rates with this
[38:11.390 --> 38:17.430]  This is all hooked up to multiplexers and Campbell scientific data loggers to and that we watch them
[38:18.310 --> 38:21.110]  Transpire on the screen. This has been a really useful
[38:21.950 --> 38:26.910]  Technique of course it constrains the roots, so there's our big interacting factor
[38:26.910 --> 38:32.710]  What would they do in the field if they had more roots and we can get bigger lysimeters we can get bigger load cells
[38:33.230 --> 38:35.230]  but they
[38:35.630 --> 38:42.350]  Don't have the precision so it's all then you can't have as many replicates if you have big load cells
[38:43.510 --> 38:44.550]  so
[38:44.550 --> 38:46.550]  mark question
[38:47.430 --> 38:49.430]  in the class
[38:49.790 --> 38:56.070]  We have a photosynthesis term in the energy balance, but because photosynthesis is small and a lot of our
[38:57.990 --> 38:59.990]  Equations are approximation
[39:00.750 --> 39:02.750]  some photosynthesis manageable
[39:03.430 --> 39:09.150]  This application however you have high precision instruments to very accurately weigh the water
[39:10.350 --> 39:12.350]  You know exactly what?
[39:13.150 --> 39:18.710]  What water loss is but there's going to be a mass gain because of carbon, right?
[39:19.190 --> 39:21.110]  Yes
[39:21.110 --> 39:22.510]  Yes
[39:22.510 --> 39:24.510]  Now we're into the details
[39:24.910 --> 39:26.790]  so
[39:26.790 --> 39:28.790]  the the question is
[39:29.070 --> 39:33.670]  The weight of this will change because the plants are getting bigger and not just the dry weight
[39:33.670 --> 39:36.190]  But the fresh weight of the plants are getting bigger
[39:36.190 --> 39:42.470]  And we do worry about that and in some cases we calculate it out in most cases we calculate it out
[39:43.070 --> 39:49.270]  But this brings up a really interesting opportunity to make a point you would think wow aren't you using this to measure the size of?
[39:49.270 --> 39:51.270]  The plants and not no
[39:51.790 --> 39:53.790]  It's the amount of water in the soil
[39:54.310 --> 40:00.590]  Because the weight of the water down here is several orders of magnitude greater than the fresh weight of the plants
[40:01.470 --> 40:03.470]  and
[40:03.590 --> 40:06.710]  The water use efficiency of these plants
[40:07.270 --> 40:12.950]  Might be one gram of dry weight per thousand grams of water transpired
[40:13.750 --> 40:19.270]  So that says something about and it might be 10 grams of fresh weight per thousand grams of water
[40:19.950 --> 40:21.230]  but the
[40:21.230 --> 40:28.110]  water transpiration and the water flux through this is at least a hundred times bigger than the fresh weight gain and
[40:28.910 --> 40:36.230]  We back calculate the fresh weight gain by the water lost if we've transpired 100 grams of water then
[40:37.510 --> 40:43.830]  0.3 grams of fresh weight is added to the system, so it does matter, but it's small
[40:46.070 --> 40:53.030]  Because of the poor water use efficiency because if water is fluxing through those and the fresh weight gains tiny
[40:58.110 --> 41:00.110]  10 grams of carbon 10 grams
[41:03.270 --> 41:07.470]  Thousand water that's 1% right yes
[41:20.670 --> 41:22.670]  Yes
[41:23.670 --> 41:25.670]  This
[41:27.150 --> 41:28.350]  So
[41:28.350 --> 41:34.870]  1 to 100 it might be fresh weight, but photosynthesis makes dry weight, and that's more like 1 to a thousand
[41:35.830 --> 41:40.830]  You know thousand grams of water lost and 1 gram of dry weight showing up
[41:41.790 --> 41:43.790]  which kind of
[41:43.830 --> 41:45.830]  it's small and
[41:47.590 --> 41:49.590]  Depending on the model
[41:50.590 --> 41:52.510]  It
[41:52.510 --> 41:57.310]  Photosynthesis can be 5% and so now if we're really tweaking this model
[41:57.550 --> 42:02.910]  We can start to put coefficients in for this, but this leads to a larger issue with models
[42:05.270 --> 42:07.270]  At least in my experience
[42:07.550 --> 42:14.110]  We start putting more coefficients into this thing and we forget about the importance of the two big things
[42:14.110 --> 42:19.510]  I love simple models you get the relationships right in your head, and you start to think about it
[42:19.990 --> 42:22.510]  And then we start to add more coefficients
[42:22.510 --> 42:28.230]  and the tendency is to think we've made a better model because we have 14 coefficients instead of two and
[42:28.630 --> 42:33.270]  it gets in the way of people's thinking to have extra coefficients and
[42:33.710 --> 42:34.990]  they're
[42:34.990 --> 42:37.190]  In many cases they don't add
[42:38.110 --> 42:42.950]  they don't fundamentally add to the precision of the model this is obviously a
[42:43.590 --> 42:44.670]  a
[42:44.670 --> 42:50.030]  Big discussion among lots of people is how many coefficients to put and how many are useful?
[42:50.030 --> 42:54.470]  I think it's analogous to how many significant digits you show in a spreadsheet
[42:55.230 --> 42:56.110]  Well great
[42:56.110 --> 43:03.230]  We can calculate a spreadsheet and Excel puts six six or eight significant digits on every number and now you're scanning that
[43:03.630 --> 43:05.830]  spreadsheet looking for patterns in the data and
[43:06.190 --> 43:13.470]  All those extra digits are just noise and they they block our ability to see the big picture patterns
[43:14.710 --> 43:19.110]  these are all sidebars related to your question, but but
[43:21.430 --> 43:23.970]  Photosynthesis is in some of the models
[43:24.470 --> 43:29.150]  And for sure when you apply this to soils now the now you'd have storage
[43:29.190 --> 43:34.470]  we didn't talk about storage at all, but the book goes into storage quite a bit and
[43:35.470 --> 43:42.630]  That's a whole nother subject for getting that storage component right which is why we have heat flux sensors in the soil to try and
[43:42.790 --> 43:48.030]  measure that and it's hard to measure so we model back and forth measure and model and
[43:48.950 --> 43:50.950]  Hope we got that part of it, right?
[43:55.650 --> 43:57.650]  So I'll end there
[43:58.530 --> 44:05.690]  You've been a great audience. Thank you for coming to these lectures and hopefully you find places to apply this stuff
[44:07.210 --> 44:09.210]  Thank you
